-aç	ɑtʃ
fanyol	fɑnjɔɫ
far	faf
far	faɾ
farad	färɑts
faraday	faɾaːdaɾ
faraza	fɑɾˈza
farazi	faɾazi
farazi	parazi
faraziye	faraziˈjæ
faraş	faræʃ
farba	farba
farbala	fɑrbɑɫɑ
fare	faːɾe
fare	fãːrɛ
farekuyruğu	farɛqojɾuɣu
fareler	faˈɾelɛɾ
fareler	fɑːrɪlɛr
fareleri	faɾeleɾi
farelerin	faːɾeˈɫeɾin
faren	foɾiːn
farenin	faɾenin
faresi	faˈɾesi
fareye	faˈɾej
fareyi	faˈɾej
farfara	fɑrfɑra
farfaracı	bɑɾfɑɾɑdʒɯ
farfaralık	fɑɾfɑrɑɫɯ̞k
fargo	faɾgo
farika	fariːqɑ
faril	farɛl
faris	fɾˈis
farisi	fɾsi
fariza	fɑːrɪzɑ
fark	faɾk
farkeder	faɾkedeɾ
farketmeden	faɾkɛtˈmedɛn
farketmemiştim	faɾketmemʃtɯm
farketmez	faɾketmɒs
farketmez	faɾketˈmez
farketmez	fæɾkʰetmæs
farketti	faɾketti
farkettim	faɾketim
farkettin	faɾkettin
farkla	faɾkɫɑ
farkları	faɾkɫɯɾɯ
farkli	faɾkɫi
farklilaştiramadiklarimizdanmisiniz	ɑɾtɯlɑˈʃɯɾamɑdɯklaɾɯmɯzlanɯsɯnɯz
farklı	faɾˈkɫɯ
farklı	fɑɾkɫɯ
farklıca	faɾplɯdʒa
farklıdır	faɾˈkɫɯdɯɾ
farklılar	faɾˈkɫɯlaɾ
farklılaştırma	faɾtɯdɑʃtɯrmɑ
farklılık	faɾklɯɫɯk
farklılık	faɾkɫɯɫɯk
farklılıkları	faɾkliɫɯkɫaɾɯ
farklısın	faɾkɫɯˈsɯn
farklıydı	faɾˈkɫɯjˈdɯ
farklıyım	fartˈljmm
farklıyım	faɾˈkɫɯjɯm
farklıyız	faɾkɫɯˈjɯz
farksız	faɾkˈsɯz
farksızlaşma	fɑɾkɯzlaʃmɑ
farksızlaşmak	fɑrqsizlɑʃmɑk
farkı	faɾˈkɯ
farkım	faɾˈkɯm
farkımız	faɾˈkimɯz
farkın	faɾˈkɯn
farkına	faɾkɯna
farkında	faɾkɯnˈda
farkında	ɑɾtɯmda
farkındalar	faɾˈkɯndalaɾ
farkındalık	faɾkɯndɑɫɯk
farkındasın	faɾˈkɯndasɯn
farkındasındır	faɾkɯndasiɳˈdɯɾ
farkındasınız	faɾkɯnˈdasɯnɯz
farkındasınızdır	faɾkɯndaˈsɯnˈdɯɾ
farkındaydı	faɾˈkɯnˈdajdɯ
farkındaydım	faɾkɯnˈdajdɯm
farkındaysan	faɾkɯndajsan
farkındayım	faɾˈkɯndɑjɯm
farkındayız	faɾˈkɯnˈdɑjɯz
farkını	faɾˈkɯnɯ
farları	faɾaɾɯ
farley	faɾˈleɾ
farmakodinamik	faɾmɑkɑːdinɛmik
farmakokinetik	faɾmɑkoːˈkɪnɛti
farmakokinetik	faɾmɑkɔkinetik
farmakoloji	ɑɾmɑkɔlɔʒiː
farmakolojik	faɾmɑkɔlɔʒik
farmakope	faɾmakopɛ
farmason	fɑɾmɑsɔn
farmasonluk	faɾmɑsonluːk
farmasötik	faɾmɑsetiːk
farmer	faɾˈmeɾ
farrell	faɾˈɛl
farrow	faˈɾo
fars	fɑːrs
farsca	farʃtʃa
faruk	faˈɾuk
farz	faɾz
farzedelim	faɾzedeˈlim
farzet	faɾˈzet
farıma	fɑrma
farımak	fɑrmɑk
fas	fas
fas	fɑːs
faset	fasˈɛt
fasik	fasˈik
fasile	fasiːlɛ
fasile	fɒsile
fasit	fasˈit
fasit	fɑːsˈtˤ
faska	fasqa
fasletmek	asletmek
faslı	faʃɫɯ
faslı	fɑsɫɯ
faslıgül	fɑsˈɫʊgʏl
fason	kason
fassal	fasˈl
fassallık	fæsɑɫˈɫɯ̞k
fast	faʃt
fasulye	fasulye
fasulyegiller	fɑsyljɑginˈleɾ
fasulyesi	fasulyˈje
fasıla	fæˈsɯlɑ
fasılasız	fasalɑsɯz
fat	fat
fatalist	fatˈalɪst
fatalite	fatˈlite
fatalizm	fatsɑlizm
fatih	fate
fatih	fati
fatih	fatˈi
fatih	faˈtiː
fatiha	fat˦iːhɑː
fatihane	fəkʰɑne
fatima	fatima
fatin	fatˈin
fatma	fatma
fatoş	fatʊʃ
fatsa	patsa
fatura	fatuɾa
fatura	qɑtʏlæ
faturalama	fatˈuɾɑlamɑ
faturalamak	ɑtɯɾalɑmɑk
faturalandırmak	fɑtˈrɑlɑndɯɾmɑk
faturalar	fatuɾalɑɾ
faturaları	fatuɾalaɾɯ
faturalarını	fatuɾalaɾɯna
faturalı	fɑtˈuɾɑlɯ
faturası	fatuɾasɯ
faturasını	fatuɾasɯˈnɯ
faturasız	fatʊɾasɯz
faturayı	fatuɾaˈɯ
faul	fawːl
faul	foɫ
faulsüz	foalsis
faulsüz	foɾozeʃ
faust	faust
fausto	fausto
fava	fɑˈmɑ
favori	fabori
favori	favoɾi
favorim	faʋoɾim
favorisi	favoɾisi
fawlty	faʊ̯ɫtɯ
fax-001	fæksɯ
fax-002	fæks
fax-02	fæks
fax-027	fæks027
fax-03	fæksøʃeː
fay	faɯ
fay01	faɯˈjɯ
fayda	faɯda
faydalanabilmek	feˈajdɑlɫɑbilmæk
faydalandırma	fejˈdɑlɑndɯɾma
faydalandırmak	fajdɑlɑŋdɯˈɾmɑk
faydalandırılma	fiʝdɑlɑndɯɾɯlmɑ
faydalandırılmak	fiʝˈɑlɑndɯɾɯlmɑk
faydalanma	fæjtɑlɑnmɑɦ
faydalanmak	faɯdɑɫɑnmɑk
faydalanmaya	faɯdɑɫɑnmaɯ
faydalanılmak	fajdɑˈɫɑnɯlmak
faydaları	faɯdaˈlaɾɯ
faydalı	faɯdaˈɫɯ
faydam	faɯˈdam
faydan	faɯˈdan
faydası	faɯˈdɑsɯ
faydasını	faɯdɑsɯˈnɯ
faydasız	faɯˈdɑsɯz
faydasızlık	fɑjdɑˈsɯzlɯk
faydasızsın	fajdasɯsˈsɯ
faye	faɪ̯e
fayed	faɪed
fayeed	faɯˈjeː
fayrap	fˈaɪɚˈʌp
faysal	fɑjˈsɑl
faytonculuk	fɑjtɔntʃuluk
faz	faːz
faz	fos
fazahat	fɑzɑːhɑt
fazer	faˈzeɾ
fazilet	fɑːziːlɛts
faziletsiz	ɑziˈlɛksiz
faziletsizlik	fazilɛtsizlik
faziletsizlik	faˈziletsizlik
fazla	faʒla
fazla	fɑzˈlɑ
fazlaca	fazɫadʒa
fazlaca	faːzɫɑdʒɑ
fazladan	fazaladaːn
fazladan	fɑzɫɑdɑm
fazladır	fazaɫadɯɾ
fazlalar	faːzɫɑɫɑɾ
fazlalaştırma	faːzɫɑɫɑʃtɪɾmɑ
fazlalaştırmak	fazlalæʃtɯˈɾmɑk
fazlalık	fazɫaɫɯk
fazlalık	faːzɫɑːɫɯk
fazlalık	fɑzɫɑlɯk
fazlası	faʒlasɯ
fazlasıdır	faːzɫɑsɯdɯr
fazlasına	faʒɫasɯˈna
fazlasını	faʒɫasɯˈnɯ
fazlasının	faʒɫasɯˈnɯn
fazlasıydı	faːzɫɑːˈsɯj
fazlasıyla	faːzɫɑːsɯjɑː
fazlasıyla	fɑzɫasɯˈilɑ
fazlaydı	faːzɫajdɯ
fazlı	fɑˈzɫɯ
faça	fetʃa
façalı	fɑtʃɑɫɯ
façeta	fatʃata
façetalı	fɑtʃɑtɑˈlɯ
façuna	fatʃona
façunalık	fɑtʃʊnɑɫɯk
fağfur	fafur
fağfur	fɑːfˈʊr
faş	fastʃ
faş	fˈaʃ
faşist	faʃist
faşist	fʃʃiːst
faşistler	faʃistɫeɾ
faşistleşmek	faʃistlɒʃmak
faşistleştirme	fɑʃɪsɯlɛʃtɯrmæ
faşistleştirmek	paʃistlɛʃtiɾmɛk
faşistlik	paʃistlik
faşizan	fɑʃɪzɑn
faşizm	faʃɪzɯm
fbi	feːbiˈaɪ
fe	fe
feci	fedʒiː
feci	feˈdʒi
feda	fedɑ
feda	ˈaɪ
fedailik	fɛdɑjlik
fedakar	feˈdɑkæɾ
fedakarcasına	fædɑːkæɾdʒɑsna
fedakarlık	fedakaɾɫɯk
fedakarlıklar	fedakaɾɫɯkɫɯɾ
fedakarlığı	fedakaɾɫɯɣɯ
fedakârlık	fedakaːɾɫɯk
fedakârlık	feˈdɑkæɾlɯp
federal	fedeɾal
federal	feˈdɾɑl
federalist	fˌɛdɚˈɑlɪst
federaller	fedeɾɑllɛr
federallere	federaɫleɾe
federallerin	fedeɾɑɫɫɛɾin
federasyon	fedeɾasjon
federasyonu	fedeɾasjonu
federico	fedeɾiko
fedon	fɛdon
feel	feːl
feet	feːt
fehime	fejˈme
fehmetme	fahmɛtmɛ
fehmetmek	fahmetmɛk
fehmi	sehmi
fehmiye	fɛhmiɛ
fehva	fahvɑ
fei	fej
fei-hung	fejhʊŋ
feke	fake
fekül	fɛkyl
fel	fˈɛl
felahiye	fɾɑːjɦijæ
felaket	felaːket
felaket	feˈlaket
felaket	fe̞ɫaket
felakete	felakete
felaketi	felaketi
felaketin	felaːketin
felaketle	felaketle
felaketler	felaket̪le̞r
felaketli	fɛlɑkɛtˈli
felaketten	felaket̪ˈten
felaketti	felaketi
felaketzede	ˈɛlɑːkɛtɯzɛdi
felan	feˈlan
felci	feɫdʒi
feldman	feɫdman
felek	feˈle
felekmeşreb	fɛlɛkmæʃʁæp
felemenkli	fælæmɛnklɪ
felfelek	fɛlfɛlɛk
felicia	feliːdʒiɑ
felipe	felipe
felix	feˈlic
felsefe	filˈsefe
felsefe	fɒlsefe
felsefecilik	felsɛfecɾlik
felsefede	tɛlsɛfɛde
felsefesi	ˈfelsefesi
felsefi	fɛlˈsefi
felâket	feˈlɑket
felç	feɫtʃ
felç	fɛlʃ
felçli	feɫtʃɫi
felçli	fæ̹lʃlʲi
feminen	eminen
feminist	feminist
feminist	heminiʃt
feminizm	feminisi
fen	fen
fen	fən
fena	fena
fenalaştırma	fænɑɫɑʃtiɾma
fenayab	tɛnɑjɑk
fenaydı	fenaɯdɯ
fenci	senʒi
fendi	fendi
fener	fenes
fener	feˈneɾ
fenerbahçe	fenærbatʃe
fenerbahçe	fænɑrbatʃe
fenerbahçe	fænɛrbatʃe
fenerbahçe	fæˈnæɾbɑːtʃe
fenerci	fanaːldʒi
fenercilik	fenerdʒilɪk
feneri	feˈneɾi
fenerini	feneɾini
feng	fɛŋ
fenik	seniːk
fenike	venike
fenilalanin	femilalportu
fenni	kaniː
fennî	fenni
fennî	fɑnˈniː
fenol	fennʊl
fenoloji	ʃenoloʒi
fenolojik	fənolɔʒik
fenomen	fenoˈmen
fenomenal	fenomenˈal
fenomenist	fonomanist
fenomenizm	senomanizm
fenomenolojik	fenomenoloʒik
fent	fˈɛnt
fenton	feɾˈton
feodalizm	fɛodɑɫɪzɯm
fer	fˈæɾ
ferace	seɾadʒe
feraceli	feɾaʒili
feracelik	feɾɑdʒɯlɯk
feracelik	feˈɾɑːdʒeɾik
feragat	feɾaːˈgat
ferah	feɾah
ferah	seɾa
ferahi	fʌɾɑːhiː
ferahlandırma	fɛrɑhlɑndɯrmɑ
ferahlandırmak	færæhɫändɯ̞rmɑk
ferahlanma	færæhlɑnmɑ
ferahlanmak	fɛrɑhlɑnmɑq
ferahlatmak	fɛrɑhlatmɑk
ferahlatıcı	feɾahlɑtɯdʒɯ
ferahlık	feɾahɫɯc
ferahnak	farɑhnɑk
ferasetli	fæɾɑsɛtlɛ
feray	feɾaɪ
ferağ	feˈraːm
ferd	fæɾts
ferdane	seɾdane
ferde	sɛrdɛ
ferdi	feɾdi
ferdi	fe̞ɾˈdi
ferdinand	feɾdinɑnd
ferdiye	væɾdijɛ
ferdiyetçilik	tæɾdijetʃɯɫɯk
ferengi	feɾɛnɟi
fereç	feɾeʃ
ferforje	falfoɾge
fergana	fæɾgɑnɑ
fergus	feɾˈgus
ferguson	feɾguʃon
ferhan	fæɾˈhɑːn
ferhane	fæˈrɑːmæ
ferhun	kʰeɾhi
feribe	heɾiːbe
feribot	feɾibot
feridun	senidɔn
ferih	fæɾiː
feriklik	feɾitlik
ferio	feɾio
ferit	fˈɾˈit
ferizli	tɛrizdi
ferma	ferma
ferman	salmaːm
fermanlı	ɟɑrmɑnɫɯ
ferment	færmˈɛnt
fermuar	fermuɑɾ
fermuarı	feɾmuɑɾɯ
fermuarını	feɾmuɑɾɯnɯ
fern	feːrn
fernandez	feɾnɑnˈdes
fernando	feɾˈnando
ferrari	feraˈɾi
ferrik	fˈelˈ
ferris	feɾis
ferröz	fæɾˈzæ
fersah	fæɾˈsɑh
fertik	ɛrtik
fertleri	fɛrtsliri
feruze	feɾuzˈɛ
feruzet	feɾuzɛts
ferve	færve
feryal	sˌɐɾiˈol
feryat	feɾˈjɑt
ferz	frz
ferzan	seɾˈzan
ferç	fɛrsʃ
ferî	feɾiː
fesahat	fɛsɑhɑt
fesatlık	fæsɑtˈlɯk
feshedilmek	feˈsɛdɪlmak
fesleğen	fesleˈɾen
festival	estival
festivale	feʃtivɑle
festivali	feʃtiˈvali
festivali	fɛstivali
festivalinde	feʃtiˈvalinde
festivaline	feʃtɑvɑliˈnɛ
fethedilmez	fethedilmɛs
fethetme	fetˈhetˈmɛ
fethetmek	feˈthetmek
fethettirme	fethetˈtiɾmɛ
fethettirmek	fɛthetliˈrmɛk
fethi	feti
fethullah	fetullah
fetiş	fet̪is
fetiş	feˈtis
fetret	fetˈret
fettane	fætˈɑnæ
fettanlık	fætːɑnɫɯ̞k
fetö	fˈɛtɚ
fetüs	feˈtʏs
feveran	ɛˈveɾa
fevk	fɛʊk
fevkalade	fevkɑlɑde
fevkalade	fe̞fkælɑːde
fevkalbeşer	hevkɑːbbeʃer
fevri	fevɾi
fevri	fevɾiː
fevrilik	sɛvɾɪlik
fevziye	fifziːɛ
fevç	fauːt
feyiz	plˈiz
feyizlendirmek	sejizlendiɾmɒk
feyizlenmek	sejizlenmɛk
feyizli	feizli
feylesofça	fjlæsofˈʃa
feylozof	fejɫezɔlf
feyyaz	fæiːos
feyza	fejˈza
feyzalma	fajzɑlmɑ
feyziye	fe̞ʔiːzjæ
fez	fez
feşmekan	feʃmekkan
fi	fi
fiagor	fjaɣ̞o̞s
fiba	fipa
fiber	fiːber
fiberlemek	siːbæɾlæmæk
fibrin	fibˈrin
fibula	fibˈla
fidan	fidˈɑ̃
fidan	fˈɛzˈa
fidancık	fidɑːnˈdʒɯk
fidanlık	fidaːmlak
fide	fidˈɛ
fideci	fidɛj
fideist	fideˈist
fidel	feˈdel
fidelemek	fidellemɛk
fidye	tɛdjɛ
fidye	ˈfidje
fidyeyi	ˈfidjeji
field	feɪld
fielding	filˈdɪŋ
fifi	fiːfi
figür	figyɾ
figür	figʉɾ
figüran	figyɾan
figüran	fiːguːˈɾɑn
figüranlık	figyɾɑnˈlɯk
figüratif	pigyɾatif
figürsüz	figursz
figürü	figyɾy
fiil	fiːl
fiil	fˈil
fiilen	fʲila
fiili	fili
fiilimsi	fijlimsɯ
fiilimsi	filɪmsɪ
fiiliyat	fɪljˈat
fiiller	fiːnlɛɾ
fiji	fiːdʒi
fikir	fiˈkɪɾ
fikir	itʃiɾ
fikir	rikːe
fikirde	fiːˈkɪɾde
fikirden	fiːˈkɪɾden
fikirdeyim	fiːˈkɪɾdɛjim
fikirdeyiz	fiːˈkɪɾdɛjiz
fikirdi	fikiɾdi
fikirdir	fikiɾdiɾ
fikirle	fiˈkɪɾɫe
fikirler	fiˈkɪɾɫeɾ
fikirlere	fikiɾleɾe
fikirleri	fikiːɾleɾi
fikirlerim	fikiɾleɾim
fikirlerin	fiːˈkiɾɫeɾin
fikirlerine	fikiɾijeɾine
fikirlerini	fikiɾɫeɾi
fikirlerinizi	fiːkiɾleɾiˈniːzi
fikirlerle	fikiɾɫe
fikirleşme	fikɪɾɫɛʃmɛ
fikirleşmek	fiqɪnɫeʃmɛk
fikirleştirme	fikjɾɫeʃtɪrmɛ
fikirleştirmek	fiqɯɾlɛʃtɪɾmɛk
fikirli	fikiɾɫi
fikirlilik	fitʃj�ˈɾilik
fikirmiş	fikiɾˈmiʃ
fikirsizlik	fiqɛrsɛzlik
fikirtepe	fikɪrtɛpɛ
fikoloji	fikɔlɔʒi
fikret	fikret
fikret	fikʁeʁs
fikrettin	fikrettiŋ
fikrim	fiˈkɾim
fikrimdi	fikiɾimdi
fikrime	fikiɾime
fikrimi	fikɾimi
fikrimiz	fikiˈɾimis
fikrin	fiɾin
fikrinden	ficɾinˈden
fikrindi	ficɾinˈdi
fikrine	fikɾine
fikrini	fikɾiˈni
fikriniz	fiɾiniz
fikrinizi	fiɾinizɯ
fikriydi	fiɾiˈjdi
fikriye	fikɾijɛ
fikstür	fiˈkstœˈ
fil	fil
fil	fˈil
filaman	flaman
filan	filɑn
filateli	flatili
fildişi	filˈdiʃi
file	filɛ
filebotomi	fi̞ɫebo̞tʊmʲi
filet	fijlt
fileto	filɛto
fili	filɪ
filigranlı	filigɾandɯ
filimiz	fiˈlimiz
filin	filin
filinta	filintaː
filipinler	filipinˈlɛɾ
filipinler	fɯlɯpimleɾ
filipinli	filiˈpinmi
filistin	filistɪn
filistin	filɪstɪn
filistinli	filistɯnˈli
filit	fɛʁˈt
filiz	filiz
filizcik	ilizdʒik
filizi	filiˈzɪ
filizlenme	filizlɛnmɛ
filizî	filizi
filler	filˈleɾ
filleri	finleɾi
film	film
film	flim
film	fˈɪŋ
filmcilik	fiɫimdʒɯɾɯk
filmde	filmde
filmdeki	filmˈdeki
filmden	filmden
filmdi	filmdi
filmdir	filmˈdir
filme	filme
filmi	filmi
filmim	filmiːm
filmimi	filmiˈmi
filmimiz	filmiˈmiz
filmin	filmin
filminde	filmiːnde
filmindeki	filmɛnˈdɛci
filminden	filmiˈnden
filmine	filmiˈne
filmini	filmiˈni
filmle	filmlə
filmler	filmlɛɾ
filmler	ˈfɪlmɛɾ
filmlerde	filmˈɫeɾde
filmlerdeki	filmˈɫɛɾdɛci
filmlere	filmlɛɾɛ
filmleri	filmˈleɾi
filmlerin	filmləɾin
filmlerine	filmjɛniˈɾɛ
filmlerini	filmleɾinɪ
filmleştirmek	flimnɛʃt̪iɾmɛk
filo	filo
filogenez	felogenes
filoksera	flˈoːqsɛɾɑ
filolojik	θiːloːloːʒiːk
filolojist	filoloʒist
filonun	filɔˈnun
filosu	filɔsu
filosunun	filosunun
filoyu	filoʊu
filozof	filɔˈzof
filozof	fiːloːzɑːf
filozofik	finozɔfˈik
filozoflaşmak	flɑzɑlflɑʃmɑk
filozofça	fiɫozofˈtʃɑm
filtre	filtɾe
filtre	iltrˈe
filtreli	feltɾjli
filtresi	filtɾesi
filum	fʏlum
fin	fin
fin	fˈɪn
final	finɑl
final	fion
finalde	fiˈnalde
finale	fiˈnalɛ
finali	fiˈnɑlɯ
finaller	finɑllɛɾ
finans	finɑns
finansal	finaːnˈsɑf
finansal	finɑnsɑl
finanse	finɑnˈse
fincan	findʒɐ̃m
fincan	findʒɑn
fincan	kɪnʤaːn
fincanlar	findʒanlɑt
fincanlık	fingɾɑnlɯk
fincanı	finˈdʒanɯ
finch	finʃ
fine	finɛ
fingirdek	siŋgɯɾˈdek
fingirdeşmek	fiŋgɾˈdæʃmæk
finike	senike
finiş	finiʃ
finiş	fɪnɪʃ
fink	fiŋk
fink	fˈink
finlandiya	finlanˈdija
finley	finleɪ
finn	fin
finnegan	finnegan
fiona	fiːɑn
firak	frak
firar	fiˈɾɑɾ
firar	θiːrar
firari	firaːri
firavun	fiɾɑˈvun
firavunlaşmak	ʃiɾovunlaʃmɑk
firavunluk	fiɾɑvuŋluq
firez	frɛz
firfiri	fiɾfiɾiː
firfiri	fɛrfriː
firik	fɛʁikˈ
firkat	fɯ̞rqɑt
firkateyn	fiːrkatˈˈn
firkete	birkɪ̞tæ
firketelemek	fikɛˈtælɛmæk
firma	firma
firma	fiɾma
firmada	fiɾmaːda
firması	fiɾmaˈsɯ
firmasının	fiɾmaˈsɯn
firuz	fɪɾˈuz
firuzan	filoza
firuze	fiːruːzɛ
firuzenur	fiɾuzjænʊɾ
fish	fiʃ
fishlegs	fiʃˈlegs
fiskal	fisqɑl
fiske	fise
fiskos	biskos
fistanlı	ɪstɑmɫɯ
fistolu	fɪstɔlu
fistül	feˈɛstʁ
fisür	fisˈe
fit	fit
fit	ʃit
fitil	fitil
fitili	fitilɪ
fitillenmek	fetæɾlænmɛk
fitin	tɛciŋ
fitlenme	tʃitlɛnmɑ
fitne	fɪtmɛ
fitopatoloji	fitopatoloʒi
fitopatolojik	sitopatoloʒik
five-o	ɑɪv
fiyaka	fiːakˈa
fiyasko	fijasko
fiyasko	fjˈɔsgɔ
fiyat	fiat˩
fiyat	fiˈjɑt
fiyata	fiˈjɑtɑ
fiyatlandırmak	hɪjɑtlɑŋdɯɾmɑk
fiyatlanmak	fiˈjɑtlɑnmɑk
fiyatları	fijɑtɫɑɾɯ
fiyatlarını	fijaːtlaɾɯn
fiyatlı	fiˈjɑtɫɯ̞
fiyatı	fiˈjati
fiyatı	hijatɯ
fiyatın	fiˈjatɯn
fiyatına	fiˈjɑtɯˈnɑ
fiyatını	fiˈjatinɯ
fiyonk	fjonk
fiyort	fjoːlt
fizik	fizˈik
fizik	fiˈzɯk
fiziki	fiziki
fiziki	fizˈikˈ
fiziksel	fiziksel
fizikte	fiziktɛ
fizikçi	fiziktʃiː
fizikçi	fɪzɪkˈtʃe
fizikçiler	feziktʃileɾ
fiziği	fiziːˈi
fiziğin	fiziːn
fizyokrat	fɪzjɔkɾat
fizyoloji	fizjoloʒi
fizyoloji	lisiøloʒi
fizyolojik	fizoloʒɯk
fizyonomi	fiʒjɔnɔmi
fizyoterapi	fizjɔtɾəpi
fiş	fiʃ
fişe	kɪ̞ʃɪ̞
fişek	fiʃec
fişek	fiʃɛc
fişek	fiʃˈek
fişekhane	fiʃɛkɑne
fişekler	fiʃecˈleɾ
fişekleri	fiʃecleɾi
fişekli	fisikli
fişeklik	beʃeklik
fişeksiz	gyʃɛksiz
fişekçi	fiʃektʃe
fişeği	fiʃeɣi
fişeği	piʃeji
fişeğidir	fiʃejdiɾ
fişi	fiʃi
fişini	fiʃiˈni
fişka	fesˈka
fişkeçi	fiʃektʃi
fişleme	fiʃɫeme
fişlenme	fiʃlænme
fişleri	fiʃˈleɾi
fişletme	fiʃɾetlɛn
fişli	fʲisɫæ
fişlik	fjsɫɪk
fişsiz	viʃsiz
fiştekleme	fɪstɛkleˈmɛ
flama	flamˈe
flaman	flamˈɑ̃
flaman	flɒman
flamanca	flamanˈdʒa
flamanlar	flɑmɑnɫɑɾ
flamanlar	sɫɑmɑnˈlɑɾ
flamingo	flɑːmɪŋgo
flanders	flɑnˈdɛɾs
flanel	flɔ̃eˈl
flanel	fɯ̞ɫɑnɛl
flash	flɑʃ
flavonoit	flafanoid
flaş	flaʃ
flaş	fles
flaş	flɑʃ
flegmon	felejmon
fleming	flɛmiŋ
fletcher	flɛtʃɛr
flint	flɪnt
flo	foː
flok	flʊɾ
flor	floɾ
flor	flɔɾ
flora	flora
flora	flɔɾɑ
floransa	florensa
florence	flɔˈɾɛns
flores	flɔˈɾɛs
floresan	kloɾe̞sæm
floresans	flʊɾæsɑnz
flori	flˈʊri
flori	foloɾe
florin	florin
florit	florits
florit	flɔɾits
flormar	flɑɾmaːɾ
florya	floriˈa
florür	flˈɔɾuz
floş	flɔʃ
floş	flʊʃ
flu	fluː
flu	flˈo
fluor	flʊɾ
flurcun	flʊɾdʒɔm
fly	flɯ
flynn	flɯn
flâma	flama
flâman	flaman
flöre	ʏløɾe
flört	fløɾt
flüt	flyt
flüt	flˈɛt
flütçü	flʊtʃy
fm	ɛm
fnakbar	fnɑkˈbɑɾ
fniwata	finjawɑtɑ
fobi	foˈbi
fodra	fodra
fodulluk	fɑdunˈlɯk
fok	foːk
fokgiller	fokjill̪ɒɾ
fokurdak	fokoɾdak
fokurdama	fokurdamɑ
fokurdamak	okuldɑmɑk
fokurdatma	fokoɾdɑtɯmɑ
fokurtu	fokurup
fokus	fokˈɛs
fol	fɔːl
foley	foˈleɪ
folikül	folikˈyl
folitropin	foliːtɾoːpiːn
folk	fok
folk	foɫk
folklorist	foklɔɾɯst
folluk	fɔllɯk
folya	fɔˈljɐ
fon	fɔn
fon	fˈɔn
fonda	fonda
fonda	fɔnda
fondip	foːnˈdip
fondöten	bɒndotæn
fonetik	foːnitik
fonetikçi	fɔnɛtiktʃe
fong	fɔŋ
fonksiyonel	funksijonˈal
fonksiyonları	foŋkʲiʃoɱɫaɾɯ
fonksiyonlarını	foŋkɯʃoɴɯlaɾɯ
fonograf	fonograf
fonojenik	fonojeniɟ
fonolit	fˈɔ̃lɛtˈ
fonolog	fomɔluːk
font	fõŋt̪
fontaine	fontɛn
fontcolor	foːntdʒol
fonu	fɔnu
foo	fuː
food	fuːd
for	foːr
fora	fɔɾˈɑ
forbes	foɾˈbes
ford	foːɾd
foreman	foːɾeˈman
forge	foɾʝe
forklift	foklipt
form	foɾm
form	fˈɔɹm
forma	foɾˈmɑ
formalist	fɔɾmɑːlist
formalite	foɾmaliˈteː
formalite	foɾmɒlite
formaliteci	foɾˈmɑlitetʃi
formalitesiz	fɔɾmɑɫɪtɛsiz
formalizm	fɔɾmɑɫɯzɯm
forman	foɾˈman
format	fɔːmˈʌts
formatlamak	fɔɾmɑtlɑmɑk
formatlatmak	foɾmɑtɫatmak
formatlı	fɔrmɑtˈlɯ
formda	foɾmda
formel	fɔrmæl
formen	fɔrmˈan
formika	forika
formlarını	foɾmɯˈnɯ
formol	fɔːmˈɔl
formu	foɾmu
formuna	foɾmuˈnɑ
formunda	foɾˈmundɑ
formunu	foɾmuˈnu
formül	fɔɾˈmyl
formülasyon	foɾmjlasjɔn
formüle	foɾmule
formülleşme	fɔɾminleʃme
formülleştirmek	fɔɾmuleʃtiɾmɛk
formülsüz	foɾmjˈus
formülü	foɾˈmylu
foroz	foɾos
forrester	foɾˈɾesteɾ
fors	forʃ
forsa	fɔrsa
forslu	fɔɾˈslʊ
fort	foːɾt
fortissimo	fortisimo
fortçu	foɾˈtʃu
fortçuluk	fɔɾtʃuluk
forum	fɔːɾum
forvo	forlɔ
forvo	forvɔ
fosfat	poːsfak
fosfataz	fosfɒtɾˈ
fosfatazemi	fosfɑtɑzɛmˈi
fosfatlama	osjnessnoma
fosfatlı	fɔsfɑtlɪ
fosfogliserit	fosfoʃalisˈeɾit
fosfolipaz	fosfoʎipˈazɐ
fosfor	bosfɔɾ
fosforesans	fosfɒɾɒsans
fosforik	fosfoɾig
fosforilaz	fosfoɾiːlaz
fosforimetri	fosfoɾjmeːtːrˈi
fosforlu	foʃfoʃɔbu
fosforsuz	foʃfoɾkuz
fosil	foˈsil
fosilleşme	fosileʃme
fosilleşmiş	fosileʃmiʃ
fosilli	fɔsˈil
foslatma	fosˈlɑtma
fosurdamak	fosuɾdemag
fosurdatma	fɔsuɾtɑtmɑ
fosurdatmak	fɔsuɾdɑtmɑk
fosurtu	fɒsutˈvˈ
fota	fˈɔtɚ
foto	foto
fotoakım	fɔtɔɑqɯm
fotodermatit	fɔtɔdɑrmaːtʰet
fotoelektrik	ɑˈtɯɛlɛktˈɾik
fotojenik	fotoːʒeniːk
fotokopi	fotokopi
fotokopi	tɔtɔkopi
fotokopicilik	fɔtɔkɔpɛtʃlˈigi
fotometre	potometsa
fotometri	fɔtometˈɾi
fotomodel	fɔtɔmɑdɑr
foton	fatɒn
foton	fotoːn
fotonik	futˈunik
fotonu	fɔtˈvɑ
fotoototrof	fɔtɔtɔtrof
fotoroman	futʊɾuman
fototaksi	fotɔtɑksi
