ᆜ	jɯ
로어	ɾo̞ʌ̹
로이터통신이	loitʰʌtʰoŋsini
로조	ɾo̞dʑo̞
로즈를	lodʑɯɾɯl
로천	ɾo̞tɕʰʌ̹n
로케트	ɾo̞kʰe̞tʰɯ
로켓	ɾo̞kʰe̞t̚
로켓과	lokʰɛt̚k͈wa
로크포르	ɾo̞kxɯpʰo̞ɾɯ
로터리	ɾo̞tʰʌ̹ɾi
로테르담	ɾo̞tʰe̞ɾɯda̠m
로텔레	ɾo̞tʰe̞ɭɭe̞
로토	ɾo̞tʰo̞
로티니	ɾo̞tʰini
로판	ɾo̞pʰa̠n
록	ɾo̞k̚
록음기	ɾo̞gɯmgi
록히드마틴이	lokʰidɯmatʰini
론	ɾo̞n
론단	ɾo̞nda̠n
론문	ɾo̞nmun
롤	ɾo̞ɭ
롤러코스터	ɾo̞ɭɭʌ̹kʰo̞sʰɯtʰʌ̹
롤모델로	lolmodɛllo
롬곡	ɾo̞mgo̞k̚
롯	ɾo̞t̚
롯데	lot̚t͈ɛ
롯데그룹의	lot̚t͈ɛgɯɾubɰi
롯데복지재단	lot̚t͈ɛbok̚tɕ͈idʑɛda
롯데에서	not̚t͈ɛɛsʌ
롯데와	lot̚t͈ɛwa
롯데의	lot̚t͈ɛɰi
롯데의	not̚t͈ɛɰi
롯데홀딩스	lot̚t͈ɛholtiŋsɯ
롯삼파가	lot̚s͈ampʰaga
롱구	ɾo̞ŋgu
롱담	ɾo̞ːŋda̠m
롱드장브	ɾo̞ŋdɯdʑa̠ŋbɯ
뢴트게늄	ɾwe̞ntʰɯge̞ɲum
뢴트겐	ɾwe̞ntʰɯge̞n
료금	ɾjoːgɯm
료리	ɾjoɾi
료리사	ɾjoɾisʰa̠
료리하다	ɾjoɾiɦa̠da̠
료법	ɾjobʌ̹p̚
룡	ɾjoŋ
루	ɾu
루마니아	ɾuma̠nia̠
루마니아어	ɾuma̠nia̠ʌ̹
루머	ɾumʌ̹
루멘	ɾume̞n
루므니야	ɾumɯnija̠
루바슈카	ɾuba̠ɕʰukʰa̠
루베	ɾube̞
루비	ɾubi
루비듐	ɾubidjum
루사카	ɾusʰa̠kʰa̠
루스	ɾusʰɯ
루시	ɾuɕʰi
루시가	lusiga
루시퍼	ɾuɕʰipʰʌ̹
루안다	ɾua̠nda̠
루이	ɾui
루이스	ɾuisʰɯ
루이지아나	ɾuidʑia̠na̠
루저	ɾudʑʌ̹
루주	ɾudʑu
루카	ɾukʰa̠
루테늄	ɾutʰe̞ɲum
루테튬	ɾutʰe̞tʰjum
루트를	lutʰɯɾɯl
루페	ɾupʰe̞
루프	ɾupʰɯ
룩	ɾuk̚
룩셈부르크	ɾuks͈e̞mbuɾɯkxɯ
룰	ɾuɭ
룰렛	ɾuɭɭe̞t̚
룸메이트	ɾumme̞itʰɯ
룻	ɾut̚
뤄양	ɾwʌ̹ja̠ŋ
류	lju
류	ɾjuː
류머티즘을	ljumʌtʰidʑɯmɯ
류월	ɾjuwʌ̹ɭ
류음	ɾjuɯm
류혈	ɾjuʝʌ̹ɭ
류형	ɾjuːʝʌ̹ŋ
륙	ɾjuk̚
륙군	ɾjuk̚k͈un
륙지	ɾjuk̚tɕ͈i
륙진방언	ɾjuk̚tɕ͈inba̠ŋʌ̹n
륜곽	ɾjungwa̠k̚
률	ɾjuɭ
르네상스	ɾɯne̞s͈a̠ŋs͈ɯ
르완다	ɾɯwa̠nda̠
를	lɯl
리	ɾi
리	ɾiː
리가	liga
리가	ɾiga̠
리가토니	ɾiga̠tʰo̞ni
리그	ɾigɯ
리눅스	ɾinuks͈ɯ
리더	ɾidʌ̹
리두	ɾiːdu
리듬	ɾidɯm
리듬도	lidɯmto
리똬	ɾit͈wa̠
리뜨바	ɾit͈ɯba̠
리메스였는지를	limɛsɯjʌnnɯntɕiɾɯ
리모넨	ɾimo̞ne̞n
리모델링	limodɛlliŋ
리무진	ɾimudʑin
리믹스	ɾimiks͈ɯ
리베이트	libɛitʰɯ
리벤지	libɛntɕi
리본	ɾibo̞n
리본들도	libontɯlto
리볼버	ɾibo̞ɭbʌ̹
리브르빌	ɾibɯɾɯbiɭ
리비도	ɾibido̞
리비아	ɾibia̠
리비프	ɾibipʰɯ
리사이틀	ɾisʰa̠itʰɯɭ
리상	ɾisʰa̠ŋ
리상주의	ɾiːsʰa̠ŋdʑuɰi
리상향	ɾisʰa̠ŋʝa̠ŋ
리셉션	ɾis͈e̞pɕ͈ʌ̹n
리스본	ɾisʰɯbo̞n
리스크	lisɯkʰɯ
리스크	nisɯkʰɯ
리스크	ɾisʰɯkxɯ
리스크로	nisɯkʰɯɾo
리스트	nisɯtʰɯ
리스트를	lisɯtʰɯɾɯl
리스트를	nisɯtʰɯɾɯl
리스트의	lisɯtʰɯɰi
리신	lisin
리신이	lisini
리야드	ɾija̠dɯ
리어카	ɾiʌ̹kʰa̠
리언에게도	liʌnɛgɛdo
리얼	ɾiʌ̹ɭ
리옹	ɾio̞ŋ
리왕조	ɾiwa̠ŋdʑo̞
리우데자네이루	ɾiude̞dʑa̠ne̞iɾu
리원	ɾiwʌ̹n
리유	ɾiːju
리을	ɾiɯɭ
리자이나	ɾidʑa̠ina̠
리조트	ɾidʑo̞tʰɯ
리치	ɾitɕʰi
리콜	likʰol
리크	ɾikxɯ
리터	ɾitʰʌ̹
리터당	litʰʌdaŋ
리터씩	nitʰʌs͈i
리투아니아	ɾitʰua̠nia̠
리투아니아어	ɾitʰua̠nia̠ʌ̹
리튬	litʰjum
리튬	ɾitʰjum
리포트	lipʰotʰɯ
리포트	ɾipʰo̞tʰɯ
리플레이	ɾipʰɯɭɭe̞i
리허설	ɾiɦʌ̹sʰʌ̹ɭ
리히텐슈타인	ɾiʝitʰe̞nɕʰutʰa̠in
린다와	lintawa
린스	ɾins͈ɯ
린우드	ɾinudɯ
릴	ɾiɭ
릴롱궤	ɾiɭɭo̞ŋgwe̞
릴리스	ɾiʎʎis͈ɯ
림	ɾim
림프계로서	limpʰɯgjɛɾosʌ
립	ɾip̚
립자	ɾip̚tɕ͈a̠
링	ɾiŋ
링겐	liŋkɛn
링귀네	ɾiŋgɥine̞
링크	ɾiŋkxɯ
마	ma̠
마	ma̠ː
마감	ma̠ga̠m
마개를	magɛɾɯl
마경	ma̠gjʌ̹ŋ
마계	ma̠gje̞
마계	ma̠ːgje̞
마고	ma̠go̞
마고자	ma̠ːgo̞dʑa̠
마구	magu
마구	ma̠gu
마구	ma̠ːgu
마구간	ma̠ːguk͈a̠n
마귀상어	ma̠gɥisʰa̠ŋʌ̹
마그마는	magɯmanɯn
마기	ma̠gi
마께도니아	ma̠k͈e̞do̞nia̠
마나과	ma̠na̠gwa̠
마네킹들이	manɛkʰiŋtɯɾi
마녀	ma̠ɲʌ̹
마노	ma̠no̞
마누	ma̠nu
마누라	ma̠ːnuɾa̠
마니	ma̠ni
마니교	ma̠nigjo
마니토바	ma̠nitʰo̞ba̠
마님	ma̠ːnim
마다	ma̠ːda̠
마다가스카르	ma̠da̠ga̠sʰɯkʰa̠ɾɯ
마달	ma̠da̠ɭ
마당	ma̠da̠ŋ
마당너구리	ma̠da̠ŋnʌ̹guɾi
마더	ma̠dʌ̹
마도	ma̠do̞
마도	ma̠ːdo̞
마두금	ma̠dugɯm
마드라스	ma̠dɯɾa̠sʰɯ
마드리드	madɯɾidɯ
마드리드	ma̠dɯɾidɯ
마디	madi
마디	ma̠di
마디로	madiɾo
마디만	madiman
마땅하다	ma̠t͈a̠ŋɦa̠da̠
마땅히	mat͈aŋhi
마라샹궈	ma̠ɾa̠ɕʰa̠ŋgwʌ̹
마라탕	ma̠ɾa̠tʰa̠ŋ
마력	ma̠ːɾjʌ̹k̚
마련	maɾjʌn
마련	ma̠ɾjʌ̹n
마련되다	ma̠ɾjʌ̹ndwe̞da̠
마련된	maɾjʌntwɛn
마련에	maɾjʌnɛ
마련은	maɾjʌnɯ
마련을	maɾjʌnɯ
마련하려고	maɾjʌnhaɾjʌgo
마련한	maɾjʌnhan
마련해	maɾjʌnhɛ
마로끄	ma̠ɾo̞k͈ɯ
마로니에	maɾoniɛ
마루	ma̠ɾu
마루타	ma̠ɾutʰa̠
마르다	ma̠ɾɯda̠
마르멜로	ma̠ɾɯme̞ɭɭo̞
마르스	ma̠ɾɯsʰɯ
마르코	ma̠ɾɯkʰo̞
마르크스주의	ma̠ɾɯkxɯsʰɯdʑuɰi
마르티니크	ma̠ɾɯtʰinikxɯ
마르틴	maɾɯtʰin
마른	ma̠ɾɯn
마름	ma̠ɾɯm
마름모	ma̠ɾɯmmo̞
마리	maɾi
마리	ma̠ɾi
마리가	maɾiga
마리아주	ma̠ɾia̠dʑu
마리안은	maɾianɯ
마리에	maɾiɛ
마리우폴	ma̠ɾiupʰo̞ɭ
마리의	maɾiɰi
마리화나	ma̠ɾiβwa̠na̠
마리후아나	ma̠ɾiβua̠na̠
마립간	ma̠ɾip̚k͈a̠n
마마	ma̠ːma̠
마마보이	ma̠ma̠bo̞i
마멀레이드	ma̠mʌ̹ɭɭe̞idɯ
마멋	ma̠mʌ̹t̚
마모	mamo
마모되면서	mamodwɛmjʌnsʌ
마모셋	ma̠mo̞sʰe̞t̚
마모셋원숭이	ma̠mo̞sʰe̞dwʌ̹nsʰuŋi
마무르다	ma̠muɾɯda̠
마무리	ma̠muɾi
마무리한	mamuɾihan
마법소녀	ma̠p͈ʌ̹ps͈o̞ɲʌ̹
마부	ma̠bu
마부작침	ma̠budʑa̠k̚tɕʰim
마비	ma̠ːbi
마사유키	masajukʰi
마사지	ma̠s͈a̠dʑi
마사지하다	ma̠s͈a̠dʑiɦa̠da̠
마사회	masahwɛ
마선	ma̠sʰʌ̹n
마세루	ma̠sʰe̞ɾu
마소	ma̠sʰo̞
마술	ma̠sʰuɭ
마술사	ma̠sʰuɭs͈a̠
마스다	ma̠sʰɯda̠
마스카라	ma̠sʰɯkʰa̠ɾa̠
마스크	ma̠sʰɯkxɯ
마스터베이션	ma̠sʰɯtʰʌ̹be̞iɕʰʌ̹n
마시기에	masigiɛ
마시나	ma̠ɕʰina̠
마시는	masinɯ
마시는	masinɯn
마시다	ma̠ɕʰida̠
마시자며	masidʑamjʌ
마신	masin
마실	ma̠ɕʰiɭ
마싸지	ma̠s͈a̠dʑi
마씨는	mas͈inɯn
마약	majak
마약	majaŋ
마약	ma̠ja̠k̚
마약상과	majak̚s͈aŋkwa
마약성	majak̚s͈ʌŋ
마약이	majagi
마와리	ma̠wa̠ɾi
마왕	ma̠wa̠ŋ
마요네즈	ma̠jone̞dʑɯ
마우리츠	mauɾitɕʰɯ
마우스	ma̠us͈ɯ
마우자	ma̠udʑa̠
마유	ma̠ːju
마육	ma̠ːjuk̚
마을	maɯl
마을들은	maɯltɯɾɯn
마을로	maɯllo
마을버스	ma̠ɯɭbʌ̹sʰɯ
마을버스의	maɯlpʌsɯɰi
마을에서	maɯɾɛsʌ
마음	maɯm
마음	ma̠ɯm
마음껏	ma̠ɯmk͈ʌ̹t̚
마음도	maɯmto
마음만	maɯmman
마음먹다	ma̠ɯmmʌ̹k̚t͈a̠
마음성	ma̠ɯms͈ʌ̹ŋ
마음속	ma̠ɯms͈o̞k̚
마음속에서	maɯmsogɛsʌ
마음쓰다	ma̠ɯms͈ɯda̠
마음씨	ma̠ɯmɕ͈i
마음에	maɯmɛ
마음에서	maɯmɛsʌ
마음을	maɯmɯl
마음의	maɯmɰi
마음이	maɯmi
마이무는	maimunɯ
마이무의	maimuɰi
마이웨이	ma̠iwe̞i
마이크	ma̠ikxɯ
마이크로버스	ma̠ikxɯɾo̞bʌ̹sʰɯ
마이크로소프트	ma̠ikxɯɾo̞s͈o̞pʰɯtʰɯ
마이크로파	ma̠ikxɯɾo̞pʰa̠
마이크로폰	ma̠ikxɯɾo̞pʰo̞n
마이크와	maikʰɯwa
마인어	ma̠ːinʌ̹
마일	ma̠iɭ
마작	ma̠ːdʑa̠k̚
마장	ma̠dʑa̠ŋ
마쟈르	ma̠dʑa̠ɾɯ
마주	ma̠dʑu
마주치다	ma̠dʑutɕʰida̠
마주한	madʑuhan
마중	madʑuŋ
마중	ma̠dʑuŋ
마중하다	ma̠dʑuŋɦa̠da̠
마지막	ma̠dʑima̠k̚
마지막으로	madʑimagɯɾo
마진이	madʑini
마차	ma̠ːtɕʰa̠
마찬가지	matɕʰankadʑi
마찬가지	ma̠tɕʰa̠nga̠dʑi
마찬가지일	matɕʰankadʑiil
마찰	ma̠tɕʰa̠ɭ
마찰되다	ma̠tɕʰa̠ɭdwe̞da̠
마체테	ma̠tɕʰe̞tʰe̞
마취	ma̠tɕʰɥi
마취약	ma̠tɕʰɥija̠k̚
마취제	ma̠tɕʰɥidʑe̞
마치	ma̠tɕʰi
마치고	matɕʰigo
마치다	ma̠tɕʰida̠
마친	matɕʰin
마침	ma̠tɕʰim
마침내	matɕʰimnɛ
마침표	ma̠tɕʰimpʰjo
마침표를	matɕʰimpʰjoɾɯl
마카다미아	makʰadamia
마카로니	ma̠kʰa̠ɾo̞ni
마케도니아	ma̠kʰe̞do̞nia̠
마케도니아어	ma̠kʰe̞do̞nia̠ʌ̹
마케팅	makʰɛtʰiŋ
마케팅	ma̠kʰe̞tʰiŋ
마케팅에	makʰɛtʰiŋɛ
마케팅을	makʰɛtʰiŋɯl
마케팅이	makʰɛtʰiŋi
마켓	ma̠kʰe̞t̚
마크	makʰɯ
마크	ma̠kxɯ
마크롱	ma̠kxɯɾo̞ŋ
마테오	matʰɛo
마트	matʰɯ
마트	ma̠tʰɯ
마트료시카	ma̠tʰɯɾjoɕʰikʰa̠
마트에서	matʰɯɛsʌ
마티아	ma̠tʰia̠
마파두부	ma̠pʰa̠dubu
마파람	ma̠pʰa̠ɾa̠m
마팔데	ma̠pʰa̠ɭde̞
마팔디네	ma̠pʰa̠ɭdine̞
마포	ma̠pʰo̞
마포구	mapʰogu
마푸토	ma̠pʰutʰo̞
마피아	ma̠pʰia̠
마하	ma̠ɦa̠
마한	ma̠ːɦa̠n
마흐디	ma̠ɣɯdi
마흔	mahɯ
마흔	mahɯn
마흔	ma̠ɣɯn
막	mak
막	ma̠k̚
막강한	mak̚k͈aŋhan
막국수를	mak̚k͈uk̚s͈uɾɯl
막기	mak̚k͈i
막내딸	maŋnɛt͈a
막내딸	maŋnɛt͈al
막다	ma̠k̚t͈a̠
막다르다	ma̠k̚t͈a̠ɾɯda̠
막다른	mak̚t͈aɾɯn
막돌	ma̠k̚t͈o̞ɭ
막무가내로	maŋmuganɛɾo
막바지	mak̚p͈adʑi
막바지	ma̠k̚p͈a̠dʑi
막부	ma̠k̚p͈u
막아야	magaja
막아주는	magadʑunɯ
막으려면	magɯɾjʌmjʌn
막은	magɯn
막을	magɯl
막이	ma̠gi
막장	ma̠k̚tɕ͈a̠ŋ
막차	ma̠k̚tɕʰa̠
막창	ma̠k̚tɕʰa̠ŋ
막창구이	ma̠k̚tɕʰa̠ŋgui
막창자	ma̠k̚tɕʰa̠ŋdʑa̠
막히면	makʰimjʌn
막힌	makʰin
만	ma
만	man
만	ma̠n
만가구	mankagu
만가구의	mankaguɰi
만개가	mankɛga
만국기	ma̠ːnguk̚k͈i
만기	manki
만끽할	mank͈ikʰal
만나	manna
만나기	ma̠nna̠gi
만나는	mannanɯn
만나다	ma̠nna̠da̠
만나던	mannadʌn
만나도	mannado
만나러	mannaɾʌ
만나서	mannasʌ
만나주지	mannadʑutɕi
만난	mannan
만난다든가	mannantadɯnka
만날	mannal
만날	ma̠ːnna̠ɭ
만남	ma̠nna̠m
만남은	mannamɯn
만남을	mannamɯl
만년필	ma̠ːnɲʌ̹npʰiɭ
만담	ma̠nda̠m
만대를	mantɛɾɯl
만두	ma̠ndu
만두국	ma̠nduk͈uk̚
만드는	mantɯnɯ
만드는	mantɯnɯn
만드니	mantɯni
만든	mantɯn
만들	mantɯl
만들게	mantɯlkɛ
만들고	mantɯlko
만들기	mantɯlki
만들기는	mantɯlkinɯn
만들기도	mantɯlkido
만들다	ma̠ndɯɭda̠
만들던	mantɯltʌn
만들어	mantɯɾʌ
만들어내는	mantɯɾʌnɛnɯn
만들어내지	mantɯɾʌnɛdʑi
만들어졌고	mantɯɾʌdʑʌt̚k͈o
만들어졌다면서	mantɯɾʌdʑʌt̚t͈amjʌnsʌ
만들어졌을	mantɯɾʌdʑʌs͈ɯl
만들어지다	ma̠ndɯɾʌ̹dʑida̠
만들어진	mantɯɾʌdʑin
만들었고	mantɯɾʌt̚k͈o
만들자라는	mantɯltɕaɾanɯn
만루	ma̠ːɭɭu
만마리나	manmaɾina
만만	ma̠nma̠n
만만세	ma̠ːnma̠nsʰe̞
만만하게	manmanhagɛ
만만하다	ma̠nma̠nɦa̠da̠
만명	manmjʌŋ
만명에서	manmjʌŋɛsʌ
만명으로	manmjʌŋɯɾo
만명을	manmjʌŋɯl
만명의	manmjʌŋɰi
만명이	manmjʌŋi
만물	ma̠ːnmuɭ
만배럴을	manpɛɾʌlɯl
만병통치약	ma̠ːnbjʌ̹ŋtʰo̞ŋtɕʰija̠k̚
만성	ma̠nsʰʌ̹ŋ
만성적	ma̠nsʰʌ̹ŋtɕ͈ʌ̹k̚
만성적인	mansʌŋtɕʌgi
만수국	ma̠nsʰuguk̚
만수대	mansudɛ
만수르	ma̠ns͈uɾɯ
만약	manja
만약	manjak
만약	ma̠ːɲa̠k̚
만약에	manjagɛ
만약의	manjagɰi
만억	ma̠ːnʌ̹k̚
만에	manɛ
만여	manjʌ
만여명의	manjʌmjʌŋɰi
만연체	ma̠ɲʌ̹ɲtɕʰe̞
만연하다	ma̠ɲʌ̹nɦa̠da̠
만용	ma̠ɲoŋ
만우절	ma̠ːnudʑʌ̹ɭ
만원	manwʌ
만원	manwʌn
만원까지	manwʌnk͈adʑi
만원대에	manwʌntɛɛ
만원만	manwʌnman
만원밖에	manwʌnpak͈ɛ
만원에	manwʌnɛ
만원에서	manwʌnɛsʌ
만원으로	manwʌnɯɾo
만원을	manwʌnɯ
만원을	manwʌnɯl
만원의	manwʌnɰi
만원이	manwʌni
만원이었는데	manwʌniʌnnɯntɛ
만원짜리	manwʌntɕ͈aɾi
만원쯤	manwʌntɕ͈ɯm
만월	ma̠nwʌ̹ɭ
만유하다	ma̠ːɲuɦa̠da̠
만이	ma̠ni
만인이	manini
만장일치	ma̠ːɲdʑa̠ŋiʎtɕʰi
만재배수량	mantɕɛbɛsuɾjaŋ
만졌다고	mantɕʌt̚t͈ago
만족감은	mantɕok̚k͈amɯ
만족되지	mantɕok̚t͈wɛdʑi
만족스러운	mantɕok̚s͈ɯɾʌun
만족하지	mantɕokʰadʑi
만지면	mantɕimjʌ
만취한	mantɕʰwiha
만큼	mankʰɯ
만큼	mankʰɯm
만큼	ma̠nkxɯm
만포	ma̠ːnpʰo̞
만포장이다	ma̠npʰo̞dʑa̠ŋida̠
만하다	ma̠nɦa̠da̠
만한	manha
만한	manhan
만행의	manhɛŋɰi
만화	manhwa
만화경	ma̠ːnβwa̠gjʌ̹ŋ
만회	ma̠nβwe̞
만회되다	ma̠nβwe̞dwe̞da̠
만회하기	manhwɛhagi
만회하다	ma̠nβwe̞ɦa̠da̠
많고	mankʰo
많아	mana
많아서	manasʌ
많아졌고	manadʑʌt̚k͈o
많았고	manat̚k͈o
많았는데	manannɯntɛ
많았다는	manat̚t͈anɯn
많았던	manat̚t͈ʌn
많았을	manas͈ɯl
많은	manɯ
많은듯	manɯntɯ
많이	ma̠ːni
맏이	ma̠dʑi
맏형	ma̠tʰjʌ̹ŋ
맏형의	matʰjʌŋɰi
말	ma
말	mal
말	ma̠ɭ
말가난	malkana
말거머리	ma̠ɭgʌ̹mʌ̹ɾi
말고	malko
말고가	malkoga
말과	malkwa
말기	malki
말기	ma̠ɭgi
말기다	ma̠ɭgida̠
말까지	malk͈adʑi
말나리	ma̠ɭɭa̠ɾi
말나식	ma̠ɭɭa̠ɕʰik̚
말다	ma̠ɭda̠
말다	ma̠ːɭda̠
말다툼	ma̠ːɭda̠tʰum
말다툼을	maltatʰumɯl
말다툼이	maltatʰumi
말도	malto
말들이	maltɯɾi
말디브	ma̠ɭdibɯ
말똥가리	ma̠ɭt͈o̞ŋga̠ɾi
말똥구리	ma̠ɭt͈o̞ŋguɾi
말뚝	ma̠ɭt͈uk̚
말뚝망둥어	ma̠ɭt͈uŋma̠ŋduŋʌ̹
말라고	mallago
말라는	mallanɯn
말라리아	mallaɾia
말라보	ma̠ɭɭa̠bo̞
말라빠지다	ma̠ɭɭa̠p͈a̠dʑida̠
말라얄람어	ma̠ɭɭa̠ja̠ɭɭa̠mʌ̹
말라위	ma̠ɭɭa̠ɥi
말레	ma̠ɭɭe̞
말레이	ma̠ɭɭe̞i
말레이시아	mallɛisia
말레이시아	ma̠ɭɭe̞iɕʰia̠
말레이어	ma̠ɭɭe̞iʌ̹
말렸다고	malljʌt̚t͈ago
말로	mallo
말리는	mallinɯn
말린	mallin
말만	malman
말문	ma̠ːɭmun
말뭉치	ma̠ːɭmuŋtɕʰi
말미	ma̠ɭmi
말미암다	ma̠ɭmia̠mt͈a̠
말벌	malpʌl
말벌	ma̠ɭbʌ̹ɭ
말벌은	malpʌɾɯn
말베이크역	malpɛikʰɯjʌk
말뿌리	ma̠ːɭp͈uɾi
말세	ma̠ɭs͈e̞
말승냥이	ma̠ɭsʰɯŋɲa̠ŋi
말씀	mals͈ɯ
말씀	mals͈ɯm
말씀도	mals͈ɯmto
말씀드리는	mals͈ɯmtɯɾinɯn
말씀에	mals͈ɯmɛ
말씀은	mals͈ɯmɯn
말씀을	mals͈ɯmɯl
말씀이라며	mals͈ɯmiɾamjʌ
말씀이었다고	mals͈ɯmiʌt̚t͈ago
말씀인	mals͈ɯmin
말씀자료	mals͈ɯmtɕaɾjo
말씀처럼	mals͈ɯmtɕʰʌɾʌm
말씀하다	ma̠ːɭs͈ɯmɦa̠da̠
말씀하신	mals͈ɯmhasin
말씀해	mals͈ɯmhɛ
말씨	ma̠ːɭɕ͈i
말아서는	maɾasʌnɯ
말아야	maɾaja
말았어야	maɾas͈ʌja
말없이	maɾʌp̚s͈i
말에	maɾɛ
말에는	maɾɛnɯn
말은	maɾɯ
말은	maɾɯn
말을	maɾɯ
말을	maɾɯl
말이	maɾi
말이라도	maɾilado
말일	ma̠ɾiɭ
말장난	maltɕaŋnan
말장난에	maltɕaŋnanɛ
말차	ma̠ʎtɕʰa̠
말투	ma̠ːɭtʰu
말투를	maltʰuɾɯl
말풍선	ma̠ɭpʰuŋsʰʌ̹n
말하기	ma̠ːɾɦa̠gi
말하기까지	malhagik͈adʑi
말하는	malhanɯn
말하며	malhamjʌ
말하면	malhamjʌ
말하면	malhamjʌn
말하면서	malhamjʌnsʌ
말하자	malhadʑa
말하자면	malhadʑamjʌn
말하지	malhadʑi
말하지만	malhadʑiman
말한	malhan
말할	malhal
말해	malhɛ
말했고	malhɛt̚k͈o
말했는데	malhɛnnɯntɛ
말했다가	malhɛt̚t͈aga
맘	ma̠ːm
맘마	ma̠mma̠
맘마통	ma̠mma̠tʰo̞ŋ
맘속	ma̠ːms͈o̞k̚
맘카페	ma̠mkʰa̠pʰe̞
맙소사	ma̠ːps͈o̞sʰa̠
맛	ma̠t̚
맛보다	ma̠t̚p͈o̞da̠
맛보려고	mat̚p͈oɾjʌgo
맛없다	ma̠dʌ̹p̚t͈a̠
맛이	masi
맛있게	masit̚k͈ɛ
맛있는	masinnɯn
맛있다	ma̠ɕʰit̚t͈a̠
맛있다를	masit̚t͈aɾɯl
맛젓	ma̠t̚tɕ͈ʌ̹t̚
맛집	ma̠t̚tɕ͈ip̚
망	ma̠ŋ
망	ma̠ːŋ
망가니즈	ma̠ŋga̠nidʑɯ
망가지다	ma̠ŋga̠dʑida̠
망각	ma̠ŋga̠k̚
망간	ma̠ŋga̠n
망고	ma̠ŋgo̞
망극	ma̠ŋgɯk̚
망기	ma̠ŋgi
망기	ma̠ːŋgi
망나니	ma̠ŋna̠ni
망둑	ma̠ŋduk̚
망령	ma̠ŋɲʌ̹ŋ
망루	ma̠ːŋnu
망막	ma̠ŋma̠k̚
망명	ma̠ŋmjʌ̹ŋ
망명설도	maŋmjʌŋsʌlto
망부석	ma̠ːŋbusʰʌ̹k̚
망상	ma̠ŋsʰa̠ŋ
망설이거나	maŋsʌɾigʌna
망설이다	ma̠ŋsʰʌ̹ɾida̠
망시민	ma̠ŋɕʰimin
망신	ma̠ŋɕʰin
망아지	ma̠ŋa̠dʑi
망연	ma̠ŋjʌ̹n
망연하다	ma̠ŋjʌ̹nɦa̠da̠
망울	ma̠ŋuɭ
망원경	ma̠ːŋwʌ̹ngjʌ̹ŋ
망원경이나	maŋwʌnkjʌŋina
망월	ma̠ŋwʌ̹ɭ
망초	ma̠ŋtɕʰo̞
망치	ma̠ŋtɕʰi
망치다	ma̠ŋtɕʰida̠
망토	ma̠ŋtʰo̞
망하다	ma̠ŋɦa̠da̠
망한민국	ma̠ŋɦa̠nminguk̚
망향	ma̠ːŋʝa̠ŋ
맞거나	mat̚k͈ʌna
맞게	mat̚k͈ɛ
맞고	mat̚k͈o
맞는	mannɯn
맞는데	mannɯntɛ
맞다는	mat̚t͈anɯn
맞닿아	mat̚t͈aa
맞대고	mat̚t͈ɛgo
맞물리면서	manmullimjʌnsʌ
맞벌이	mat̚p͈ʌɾi
맞벌이	ma̠t̚p͈ʌ̹ɾi
맞벌이와	mat̚p͈ʌɾiwa
맞부딪치다	ma̠t̚p͈udit̚tɕʰida̠
맞서기까지	mat̚s͈ʌgik͈adʑi
맞서서	mat̚s͈ʌsʌ
맞서야	mat̚s͈ʌja
맞아	madʑa
맞으면서도	madʑɯmjʌnsʌdo
맞은	madʑɯ
맞이	ma̠dʑi
맞이하다	ma̠dʑiɦa̠da̠
맞추다	ma̠t̚tɕʰuda̠
맞출	mat̚tɕʰul
맞춤	ma̠t̚tɕʰum
맞춤반에	mat̚tɕʰumpanɛ
맞춤법	ma̠t̚tɕʰump͈ʌ̹p̚
맞춤형	mat̚tɕʰumhjʌŋ
맞춰	mat̚tɕʰwʌ
맞춰야	mat̚tɕʰwʌja
맞춰져	mat̚tɕʰwʌdʑʌ
맞흥정	ma̠tʰɯŋdʑʌ̹ŋ
맡고	mat̚k͈o
맡기다	ma̠t̚k͈ida̠
맡긴	mat̚k͈in
맡길	mat̚k͈il
맡는	mannɯn
맡을	matʰɯl
매	mɛ
매	mɛː
매각	mɛgak
매각해	mɛgakʰɛ
매개하지	mɛgɛhadʑi
매고	mɛgo
매국노	mɛːguŋno̞
매년	mɛnjʌ
매년	mɛnjʌn
매년	mɛːɲʌ̹n
매뉴얼을	mɛnjuʌɾɯl
매다	mɛːda̠
매단	mɛdal
매달	mɛdal
매달	mɛːda̠ɭ
매도	mɛːdo̞
매도하다	mɛːdo̞ɦa̠da̠
매들린	mɛdɯlli
매력은	mɛɾjʌgɯn
매력적인	mɛɾjʌk̚tɕ͈ʌgin
매매를	mɛmɛɾɯl
매매에	mɛmɛɛ
매미	mɛːmi
매번	mɛːbʌ̹n
매사추세츠의	mɛsatɕʰusɛtɕʰɯɰi
매사추세츠주에	mɛsatɕʰusɛtɕʰɯdʑuɛ
매수자들이	mɛsudʑadɯɾi
매슈는	mɛsjunɯ
매우	mɛu
매월	mɛːwʌ̹ɭ
매음	mɛːɯm
매음굴	mɛːɯmguɭ
매음하다	mɛːɯmɦa̠da̠
매일	mɛi
매일	mɛːiɭ
매입을	mɛibɯl
매입할	mɛipʰal
매입해	mɛipʰɛ
매장	mɛdʑaŋ
매장	mɛːdʑa̠ŋ
매장된다는	mɛdʑaŋtwɛntanɯn
매장에	mɛdʑaŋɛ
매장에서	mɛdʑaŋɛsʌ
