-อืม--	ʔɯ̌ːm
คุณพูดถูก	kʰunpʰuːttʰɯ̀k
คุณพูดถูกนะ	kʰunpʰuːttʰɯ̀kna
คุณพูดถูกแล้ว	kʰunpʰuːttʰɯ̀klɛ̄ːw
คุณพูดบ้าอะไร	kʰunpʰuːtbaːʔrai
คุณพูดว่า	kʰunpʰuːtwaː
คุณพูดว่าอะไร	kʰunpʰûːtwâːʔaːrai
คุณพูดว่าอะไรนะ	kʰunpʰûːtwâːʔaːnainaː
คุณพูดว่าอะไรนะคะ	kʰunpʰuːtwaːʔaːnainaːkaː
คุณพูดอะไร	kʰunpʰuːtaːrai
คุณพูดอะไรนะ	kʰunpʰûːtʔaːrajná
คุณพูดอะไรน่ะ	kʰunpʰûːtʔaːrainâː
คุณพูดอะไรเนี่ย	kʰunpʰuːtʔaːrajnia
คุณพูดเรื่องอะไร	kʰunpʰuːtrɤːŋʔaːj
คุณพูดเรื่องอะไรของคุณ	kʰunpʰûdrɛ̄ːŋʔaːraikʰun
คุณพูดเรื่องอะไรน่ะ	kʰunpʰûdrɛ̄ːŋʔaːnaina
คุณพูดเอง	kʰunpʰuːtʔɛːŋ
คุณพูดเองนะ	kʰunpʰuːtʰɛːŋna
คุณพูดได้	kʰunpʰuːtdâj
คุณพูลคะ	kʰunpʰuːnkʰa
คุณพ่อ	kʰunpʰɔ̀
คุณพ่อของคุณ	kʰun˥pʰɔː˧kʰɔ̌ːn˥
คุณพ่อครับ	kʰunpʰɔːkʰráp
คุณพ่อคะ	kʰunpʰɔːkʰa
คุณฟรอสต์	kʰunfɔ̄ːt
คุณฟังฉัน	kʰunfaŋʈʰan
คุณฟังนะ	kʰunfaŋna
คุณฟังผมนะ	kʰunfaŋpʰomna
คุณฟังอยู่รึเปล่า	kʰunfaŋjuːlɯ̄a
คุณฟิชเชอร์	kʰunfittɕʰeː
คุณฟิตซ์	kʰunfittʰɯt
คุณฟินช์	kʰunfintɕʰ
คุณฟิลลิปส์	kʰunfɪlːíp
คุณฟ็อกก์	kʰunfɔk
คุณภาพ	kʰunpʰâap
คุณมังก์	kʰun˨maŋ˧
คุณมัน	kʰunman
คุณมันงี่เง่า	kʰunmanŋiŋʔa
คุณมันทุเรศ	kʰunmaːtʰuːrɛːtʰ
คุณมันบ้า	kʰunmanbaː
คุณมันบ้าไปแล้ว	kʰunmanbaːlɛ́w
คุณมันเลว	kʰunmanlɛw
คุณมันโง่	kʰunmannō
คุณมา	kʰunma˨˩
คุณมาช้า	kʰunmaːtɕʰáː
คุณมาช้านะ	kʰunmaːtʃʰáː
คุณมาถึงแล้ว	kʰunmaːtʰɯŋlɛ̄w
คุณมาทำ	kʰunmaːtʰam
คุณมาทำบ้าอะไรที่นี่	kʰunmaːtʰambaːʔnaiʔtʰiːnî
คุณมาทำอะไร	kʰunmaːtʰɑːrai
คุณมาทำอะไรตรงนี้	kʰunmaːtʰamʔaːraitʰraŋniː
คุณมาทำอะไรที่นี่	kʰunmaːtʰamʔaːraiʈʰɲ
คุณมาทำอะไรที่นี่คะ	kʰunmaːtaːʔraiʔtʰɲiːkʰa
คุณมาทำอะไรที่นี่น่ะ	kʰunmaːtʰamʔaːraiʈʰīnīnâ
คุณมาทำอะไรที่นี่ล่ะ	kʰunmaːtʰamʔaːraiʈʰɯ̄nîlâ
คุณมาทำอะไรที่นี้	kʰunmaːtʰamʔaːrai̯tʰiː
คุณมาทำไม	kʰunmaːtʰamaj
คุณมาที่นี่	kʰunmaː˨˦tʰɤj˥niː˩
คุณมาที่นี่ทำไม	kʰunmaːtʰiːnîːtʰamaj
คุณมาที่นี่ได้ยังไง	kʰunmaːtʰiːnɪːdâɪŋnai
คุณมานี่	kʰunmaːniː
คุณมาร์ติน	kʰunmáːtin
คุณมาสาย	kʰunmaːsaj
คุณมาเหรอ	kʰunmaʔhɛ̀ɛ̀
คุณมาแล้ว	kʰunmaːlɛ̄w
คุณมาแล้วเหรอ	kʰunmaːlɛ̄ːwɛ̄ː
คุณมาได้	kʰunma˥daj˧
คุณมิชิมะ	kʰunmitɕʰima˥
คุณมินามิดะ	kʰunmīnāmidā
คุณมิลส์	kʰunmils
คุณมิลเลอร์	kʰunmillɛ́ː
คุณมี	kʰunmi˨˩
คุณมีครอบครัว	kʰunmiːkʰrɔːpkrʉa
คุณมีทางเลือก	kʰunmiːtaːŋlɛ̂ʔ
คุณมีปัญหา	kʰunmiʔbanʰa
คุณมีปืน	kʰunmiːpʰɯːn
คุณมีลูกมั้ย	kʰunmiːlûkmaj
คุณมีลูกสาว	kʰunmiːlûːksǎw
คุณมีลูกไหม	kʰunmiːluk̚maɪ
คุณมีสิทธิ	kʰunmiːsìtʰi
คุณมีสิทธิทั้งหมดหรือไม่	kʰunmisìttʰɛ̀ŋmòtrɯ̄ə̯
คุณมีสิทธิ์	kʰunmisìt
คุณมีอะไร	kʰunmiʔaʰrai
คุณมีเวลา	kʰunmiwela
คุณมีโอกาส	kʰunmiwɔːkɑːs
คุณมูน	kʰunmuːn
คุณยัง	kʰunjaŋ
คุณยังจำ	kʰunjaŋtɕam
คุณยังมี	kʰunjaŋmiː
คุณยังมีชีวิตอยู่	kʰunjaŋmiːtɕʰiːwitjʊʔ
คุณยังอยู่	kʰunjaŋjuʔ
คุณยังอยู่ที่นี่	kʰunjaŋʔuːtʰiniː
คุณยังอยู่มั้ย	kʰunjaŋʔuːmaː
คุณยังไม่พร้อม	kʰunjaŋmɔɔ
คุณยาย	kʰunjaː
คุณยายครับ	kʰunjaːkʰráp
คุณยายคะ	kʰunjaːkʰa
คุณยิ้ม	kʰun˥jɪm˧
คุณยูโกะ	kʰunjuːkoʔ
คุณย่า	kʰunjâː
คุณย่าครับ	kʰunjaːkʰrap
คุณย่าคะ	kʰunjaːkʰaː
คุณย่าค่ะ	kʰunjaːkʰaʔ
คุณรัก	kʰunrak
คุณรักผม	kʰunrakpʰɔm
คุณรักเขา	kʰunrakkʰaw
คุณรักเธอ	kʰunrakʰtʰɤ
คุณริชาร์ด	kʰunrìːtɕʰɑ̀ːt
คุณริวซากิ	kʰunriwsaːki
คุณริเวอร์ส	kʰunriʋeːs
คุณรีส	kʰunrʉ̄ːs
คุณรุ้ไหม	kʰunruːm
คุณรู้	kʰunruː
คุณรู้จัก	kʰunruːtɕak
คุณรู้จักผม	kʰunruːtɕakpʰom
คุณรู้จักผมดี	kʰunruːtɕakpʰomdi
คุณรู้จักมั้ย	kʰunruːtɕakmaːj
คุณรู้จักเขา	kʰunruːtɕakkhɔ̀
คุณรู้จักเขาหรือ	kʰunruːtɕakkʰɔːrʉ̌ʔ
คุณรู้จักเขาเหรอ	kʰunruːtɕakkʰɔ̄ː
คุณรู้จักเขาไหม	kʰunruːtɕakkhǎːm
คุณรู้จักเธอ	kʰunruːʔtɕaktʰɤ
คุณรู้จักเธอเหรอ	kʰunruːtɕakthɤhɤ
คุณรู้จักเธอไหม	kʰunruːtɕak̚tʰɤːm
คุณรู้จักเหรอ	kʰunruːtɕakhɤː
คุณรู้จักไหม	kʰunruːtɕakmaɪ
คุณรู้ดี	kʰunruːdi
คุณรู้นะ	kʰunruːná
คุณรู้นะว่า	kʰunruːnɑːwɑː
คุณรู้นิ	kʰunruːni
คุณรู้นี่	kʰunruːniː
คุณรู้มัย	kʰunruːmaɪ
คุณรู้มัยว่า	kʰunruːmaɪʋaː
คุณรู้มั้ย	kʰunruːmaɪ
คุณรู้มั้ยว่า	kʰunruːmájwɑː
คุณรู้มั้ยว่าทำไม	kʰunruːmájwátʰamai
คุณรู้มั๊ย	kʰunruːmjaj
คุณรู้รึเปล่า	kʰunruːrɯːplaː
คุณรู้รึเปล่าว่า	kʰunruːrɯ̄ːbɛ̀ːwɑː
คุณรู้ว่า	kʰunruːwaː
คุณรู้ว่าคุณรักฉัน	kʰunruːwaːkʰunrakʰʉan
คุณรู้ว่าทำไม	kʰunruːwaːtʰamai
คุณรู้ว่ามันคืออะไร	kʰunruːwʰaːmankʰɯʔaʔrai
คุณรู้ว่ามันมี	kʰunruːwaːmanmiː
คุณรู้สิ	kʰunruːsi
คุณรู้สึก	kʰunruːsɯ̆k
คุณรู้สึกมั้ย	kʰunruːsɯ̆kmaːj
คุณรู้สึกยังไง	kʰunruːsɯ̀kjaŋ
คุณรู้หรอ	kʰunruːhɔ̀
คุณรู้หรือเปล่าว่า	kʰunruːʔplɛ̀ːwâː
คุณรู้หรือไม่	kʰunruːnɛ̀
คุณรู้หรือไม่ว่า	kʰunruːnʉʉnʉa
คุณรู้อยู่แล้ว	kʰunruːjlɛ̀ːw
คุณรู้อะไร	kʰunruːʔaːrai
คุณรู้อะไรบ้าง	kʰunruːʔaʔraiʔbaːŋ
คุณรู้อะไรมั้ย	kʰunruːʔaʔrajmaːj
คุณรู้อะไรมั๊ย	kʰunruːʔaːjmaɪ
คุณรู้อะไรไม๊	kʰunruːʔaʔraiʔ
คุณรู้อะไรไหม	kʰunruːʔaʔraiʔmaɪ
คุณรู้เรื่อง	kʰunruːrʉ̄ː
คุณรู้เรื่องนี้ได้ยังไง	kʰunruːrʉːŋniːdajjaŋaj
คุณรู้เรื่องนี้ได้อย่างไร	kʰunruːrʉːŋniːdajlaŋrai
คุณรู้เหรอ	kʰunruːrɛ̀
คุณรู้แล้ว	kʰunruːlɛ̄w
คุณรู้ใช่มั้ย	kʰunruːtɕʰajmáj
คุณรู้ใช่มั้ยว่า	kʰunruːtɕʰajmaːjʋaː
คุณรู้ใช่มั๊ย	kʰunruːtɕʰajmáj
คุณรู้ใช่ไหม	kʰunruːʔtɕʰajmaɪ̯
คุณรู้ใหม	kʰunruː˥maː˥
คุณรู้ได้ยังงัย	kʰunruːdajŋaj
คุณรู้ได้ยังไง	kʰunruːdajŋaj
คุณรู้ได้ยังไงกัน	kʰunruːdaɪjaŋkaːn
คุณรู้ได้ยังไงคะ	kʰunruːdajŋajkʰa
คุณรู้ได้ยังไงว่า	kʰunruːdajŋajʋa
คุณรู้ได้อย่างไร	kʰunruːdajlaŋrai
คุณรู้ได้ไง	kʰunruːdaj
คุณรู้ไม๊	kʰunruːmaɪ
คุณรู้ไหม	kʰunruːmaɪ
คุณรู้ไหมว่า	kʰunruːmaɪwɑː
คุณรู้ไหมว่าทำไม	kʰunruːmʰwɑːt̚tʰamʰaj
คุณร้องไห้เหรอ	kʰunrɔ̀ŋhajhɛ̀ː
คุณร้ายแรง	kʰunraːj˥laːŋ˥
คุณละ	kʰunlaː
คุณลินคอล์น	kʰunlinkɔːln
คุณลิสเตอร์	kʰunlɪs˥tɛː
คุณลี	kʰun˥li˧
คุณลียุนซอง	kʰunliːa̰nsoŋ
คุณลียูนซอง	kʰunliːawsɔːŋ
คุณลืม	kʰunlɯːm
คุณลืมไปแล้วหรือ	kʰunlɯːmpajlɛ́wrɯ̄a
คุณลุง	kʰun˥luŋ˧
คุณลุงค่ะ	kʰunluŋkʰa
คุณลูกค้า	kʰunluːkkʰɑː
คุณล่ะ	kʰunla˥
คุณล่ะคะ	kʰunlaʔkʰa
คุณล้อเล่น	kʰunlɔːlɛ̀ːn
คุณล้อเล่นน่า	kʰunlɔːlɛ̄ːnâː
คุณล้อเล่นเหรอ	kʰunlɔːlɛ̀ːnhɛ̀ː
คุณวอร์ด	kʰunwɔ̄ːt
คุณวอลค์เกอร์	kʰunwɔːlkɛ̀ː
คุณวอลดอร์ฟ	kʰunwɔːldɔ̀ːf
คุณวอล์คเกอร์	kʰunwɔːkkɛː
คุณวาซีรี	kʰunwasiriː
คุณวิค	kʰunʋik
คุณวิงเกอร์	kʰunwɪŋkɛː
คุณวินเทอร์ส	kʰunwintʰɛ̀ːts
คุณวิลเลี่ยม	kʰunʋilːɛːm
คุณวิลเลี่ยมส์	kʰunʋilːɛːmʔ
คุณวิเศษมาก	kʰunwɪsɛ̀ːmâak
คุณวีเวอร์	kʰunʷiːwɛ̀ː
คุณว่างไหม	kʰunwaːŋmaɪ
คุณว่ามั้ย	kʰunwaːmaj
คุณว่ายังไง	kʰunwajaŋʔaj
คุณว่ายังไงนะ	kʰunwajaŋnaina
คุณว่าอะไรนะ	kʰunwáʔaːnainaː
คุณว่าไง	kʰunwanai
คุณว่าไงล่ะ	kʰunwaːŋajlâ
คุณว่าไหม	kʰunwǎːmǐː
คุณสกาโว	kʰunsakaw
คุณสตีล	kʰunstiːl
คุณสบายดีมั้ย	kʰunsabaajdimaj
คุณสมิธ	kʰunsamit
คุณสวยจัง	kʰunsuajʰaŋ
คุณสวยมาก	kʰunsuajmaːk
คุณสวอน	kʰunsɔ̌ːn
คุณสองคน	kʰunsɔːŋkʰon
คุณสัญญา	kʰunsaɲaː
คุณสัญญานะ	kʰunsaɲaːnaː
คุณสัญญาว่า	kʰunsaɲaːwɑː
คุณสัญญาแล้ว	kʰunsaɲaːlɛ̄w
คุณสัญญาแล้วนะ	kʰunsaɲaːlɛːwɛ̀ná
คุณสามารถ	kʰunsaːmʰaːt
คุณสามารถทำได้	kʰunsaːmʰaːttʰamdiː
คุณสาย	kʰunsaj
คุณสเปคเตอร์	kʰunsapʰɛːktʰɛː
คุณสโตน	kʰunsɔːn
คุณสโมค	kʰunsɔ̌ːk
คุณหญิง	kʰun˧jiŋ˩˩˦
คุณหนู	kʰunnuː
คุณหนูครับ	kʰunnuːkʰrab
คุณหนูคะ	kʰunnuːka
คุณหนูเล็ก	kʰunnuːlék
คุณหนูแบลร์	kʰunnuːʔbɛːlɛ̀ː
คุณหมอ	kʰunmɔ̀
คุณหมอครับ	kʰunmɔːkʰráp
คุณหมอคะ	kʰunmɔːkʰa
คุณหมอทากุจิ	kʰunmɔːtʰaːkɯntɕi
คุณหมอบอกว่า	kʰunmɔːbɔ̀ːkwâː
คุณหมอมัสซึดะ	kʰunmɔːmassɯːdaː
คุณหมอเบนฟอร์ด	kʰunmɔːbeːnfɔːt
คุณหมายความว่ายังไง	kʰunmaɪkʰʰaːwɑːj
คุณหมายความว่าไง	kʰunʰmaɪ˥kʰwaː˨˦
คุณหมายถึง	kʰunmaɪtʰɯa
คุณหมายถึงอะไร	kʰunʰmaɪtʰaʔrai
คุณหรือไม่	kʰunʰrɯəmaɯ
คุณหลอกฉัน	kʰunlɔ̀ːkʰʉ̀ːn
คุณหลอกผม	kʰunlɔ̀ːkpʰom
คุณหละ	kʰunlā
คุณหล่ะ	kʰunlâ
คุณหัวหน้า	kʰunhɯ̀anáː
คุณหัวเราะทำไม	kʰunʰɯ̄a̯˥ra̯˧tʰamʰaj˥
คุณหิว	kʰunhɨu
คุณหิวมั้ย	kʰunhiːwɑːmɛ̀
คุณหึงเหรอ	kʰunhɯ̄ːŋhɛ̀ː
คุณอยาก	kʰunʔɑːk
คุณอยากจะ	kʰunʔɑːkʰtɕʰaː
คุณอยากรู้จริงๆเหรอ	kʰunʔaːkʰruːtɕɪŋʔaːhɛ̀
คุณอยากรู้อะไรล่ะ	kʰunʔaːkʰɔ̀ːʔaːlaj
คุณอยากรู้เรื่องอะไร	kʰunʔaːkʰɔ̄ːrɯ̄ːʔaː
คุณอยากให้ฉัน	kʰunʔajakʰajʰan
คุณอยากให้ผม	kʰunʔɑːkʰɑɑʔpʰom
คุณอยากได้	kʰunʌjɑːk˨˦daj˥
คุณอยากได้อะไร	kʰunʔɑːk˥dâj˥ʔa˥
คุณอยากไป	kʰunʌjɑːkpɑj
คุณอยู่	kʰunʊ̄
คุณอยู่ตรงนี้	kʰunʊʔtrɔŋniː
คุณอยู่ตรงไหน	kʰunʊʔtrɔŋhǎːn
คุณอยู่ที่	kʰunʊʔtʰiː
คุณอยู่ที่นี่	kʰunʊʔtʰiːniː
คุณอยู่ที่นี่นะ	kʰunʊjθinʲna
คุณอยู่ที่นี่หรอ	kʰunʊjθinɪːrɔː
คุณอยู่ที่ไหนคะ	kʰunʊjʰtʰajɛnʰkʰa
คุณอยู่นี่	kʰunʔɔjʉːnîː
คุณอยู่นี่แล้ว	kʰunɔjʉːnîːlɛ̀w
คุณอยู่บ้าน	kʰunʊ̄ːbaːn
คุณอยู่ใน	kʰunʊ̄ːnɑɯ̀
คุณออกไป	kʰunɔ̀ːpai
คุณออกไปได้แล้ว	kʰunɔ̀ːpaiʔdaɨ̀ːlɛ̀w
คุณอัยการ	kʰunʔajkɑːn
คุณอัลเลน	kʰunʔɑlɛːn
คุณอา	kʰunʔa
คุณอากิยาม่า	kʰunʔaːkiːaʔmaː
คุณอาคิยาม่า	kʰunʔaːkiːaʔmaː
คุณอาจจะ	kʰunʔaːtʰa˥
คุณอายุเท่าไหร่	kʰunʰaːjʉːtʰâːlâi
คุณอาโออิ	kʰunʔaːwɔɪ
คุณอีกแล้ว	kʰunʔiːklaw
คุณอีลิซาเบธ	kʰunʔiːliːsɛːtʰ
คุณอีแวน	kʰunʔiːwɛn
คุณอูออนดอล	kʰunʔuːʔɔːndɔːl
คุณฮอง	kʰunhoːŋ
คุณฮะ	kʰunʰá
คุณฮัตโตริ	kʰunhattɔːri
คุณฮัน	kʰunhan˥
คุณฮันท์	kʰunhan˧tʰ
คุณฮาน	kʰunʰaːn
คุณฮาร์มอน	kʰunhɑːmnon
คุณฮิราสึกะ	kʰunhiraːsʊk˧
คุณฮิวส์	kʰunhɯ̂ːs
คุณฮีบอน	kʰunhiːbɔn
คุณเกรย์	kʰun˥kɛː˧
คุณเกลียดฉัน	kʰun˥kliːat˩tɕʰan˥
คุณเข้าใจที่ผมพูดไหม	kʰunkʰɔ̂ːjajtʰipʰompuːtmaj
คุณเข้าใจนะ	kʰunkʰɔ̂ːjajnɑ̀
คุณเข้าใจหรือเปล่า	kʰunkʰɔ̂ːjairɯəbɛ̀lɔ̀ː
คุณเคน	kʰunkʰeːn
คุณเคย	kʰunkeɔ
คุณเคยบอกว่า	kʰunkʰɛːjɔːbɔ̀ːkwâː
คุณเคยพูดว่า	kʰunkʰeːʔuːtwaː
คุณเคยได้ยิน	kʰunkʰɛɔɛdâjjin
คุณเคยได้ยินชื่อ	kʰunkʰɤjdâjjɪnʨʰɤj
คุณเครน	kʰunkʰeːn
คุณเจน	kʰunʈen
คุณเจมส์	kʰun˥tɕem˧
คุณเจอ	kʰunʔdɛ̀
คุณเจออะไร	kʰundɛ̀ʔʔaːrai
คุณเจออะไรเหรอ	kʰundɛ̀ʔʔaːlɛ̀w
คุณเจออะไรไหม	kʰundɛ̀ʔʔaːjmaɪ̯
คุณเจ๋งมาก	kʰundɛ̀ŋmaːk
คุณเชื่อไหม	kʰunʰtʃʰɯ̀ːmaɪ̯
คุณเชื่อไหมล่ะ	kʰuntɕʰɯ̂ːmajlâ
คุณเซทสึโกะ	kʰunsetsʉːkoʔ
คุณเดวิส	kʰundɛːwis
คุณเดอ	kʰundɛ̀w
คุณเท่านั้น	kʰun˥taː˧naː˥
คุณเนี่ยนะ	kʰunniʔná
คุณเบรย์	kʰun˥bɛː˧
คุณเบ็นเนต	kʰunbenet
คุณเปล่า	kʰunpʰlâː
คุณเป็น	kʰunben
คุณเป็นคนดีนะ	kʰunpʰɛnkhɔndiːnɑː
คุณเป็นคนทำ	kʰunpʰenkontʰam
คุณเป็นคนที่	kʰunpʰɛnkʰontʰiː
คุณเป็นคนเดียว	kʰunpʰenkʰondiːaʊ
คุณเป็นคนแรก	kʰunpʰɛnkʰɔnrɛːk
คุณเป็นตำรวจ	kʰunbentamruat
คุณเป็นตำรวจที่ดี	kʰunpʰentamruattʰidee
คุณเป็นตำรวจเหรอ	kʰunbentamruathɛ̀
คุณเป็นนักวิทยาศาสตร์	kʰunbennaːkʰwitʰaʰsɔ̀ːt
คุณเป็นบ้าอะไร	kʰunpenbaːrai
คุณเป็นบ้าอะไรของคุณ	kʰunpʰɛnbaːʔaːrajkʰʰuʔ
คุณเป็นบ้าอะไรเนี่ย	kʰunpenbaːʔajnaː
คุณเป็นผู้ชาย	kʰunpʰɛnpʰuːtɕʰaj
คุณเป็นผู้หญิง	kʰunbenpʰuhɲiŋ
คุณเป็นยังไงบ้าง	kʰunpʰɛnjaŋɲaːŋ
คุณเป็นยังไงบ้างคะ	kʰunpʰenjaŋŋajbaŋka
คุณเป็นสายลับ	kʰunpʰensajlap
คุณเป็นหนี้ฉัน	kʰunpʰenniːʈʰan
คุณเป็นหมอ	kʰunpʰɛnmɔ̀
คุณเป็นอะไรกันแน่	kʰunpʰɛnaʔaraʔkanneː
คุณเป็นอะไรมั๊ย	kʰunpʰɛnʔaːjmaj
คุณเป็นอะไรไป	kʰunpʰɛnʔaːjpaj
คุณเป็นอะไรไปน่ะ	kʰunpʰɛnaʔraipaɪnâ
คุณเป็นอะไรไหม	kʰunpʰɛnaʔraima
คุณเป็นอิสระ	kʰunpʰɛnʔisrɛ̀
คุณเป็นอิสระแล้ว	kʰunpʰɛnʔisrɑːlɛːw
คุณเป็นเพื่อนที่ดี	kʰunpenpʰɯ̀ːntʰidiː
คุณเป็นเหยื่อ	kʰunpʰɛnjɯ̄a
คุณเป็นแวมไพร์	kʰunpʰenwɛmprai
คุณเป็นใครกัน	kʰunpʰɛnkʰrajkan
คุณเป็นใครครับ	kʰunpʰɛnkʰrajkʰráp
คุณเป็นใครคะ	kʰunpʰɛnaikʰa
คุณเป็นใครน่ะ	kʰunpʰɛnkʰrajná
คุณเป็นใครเนี่ย	kʰunpʰɛnkʰrajnɛ̀
คุณเป็นใครเหรอ	kʰunpʰɛnkʰrajhɛ̀
คุณเป็นไง	kʰunpʰɛnʔaj
คุณเป็นไงบ้าง	kʰunpʰɛnʔajbaːŋ
คุณเป็นไงมั่ง	kʰunpʰɛnŋajmaŋ
คุณเป็นไรมั้ย	kʰunpʰenrajmaːj
คุณเป็นไรมั๊ย	kʰunpʰenrajmaj
คุณเพอร์เซล	kʰunpʰeːsɛ̌ːl
คุณเพิ่ง	kʰunpʰɛŋ
คุณเพิ่งพูดว่า	kʰunpʰɛŋpʰuːtwaː
คุณเฟรดริคเซ่น	kʰunfreːtdrɪksɤn
คุณเมอร์ฟี่	kʰunmɛ̀ːfiː
คุณเมา	kʰunmaʊ̯
คุณเมาแล้ว	kʰunmaːlɛ̄w
คุณเยี่ยมมาก	kʰunjɛ̂mmaːk
คุณเรียกผมว่า	kʰunriːakpʰomwɑː
คุณเรียวมะ	kʰunriːaʊʔmaː
คุณเลน	kʰunlen
คุณเลย	kʰun˨˦lɤj˥
คุณเลอฟรอย	kʰunlɛ́ːfraj
คุณเลือกเอง	kʰunlɛ̄ʔɛŋ
คุณเวนย์	kʰunwɛn
คุณเวย์น	kʰunʋejn˥
คุณเวแลน	kʰunʷelaːn
คุณเสียสติไปแล้วเหรอ	kʰunsiːsʔtʰiːpajlɛ̌ːwɛ̀
คุณเสียเวลาเปล่า	kʰunsiːawelaː
คุณเหมือน	kʰunmɯ̄an
คุณเหรอ	kʰunhɛ̀
คุณเห็น	kʰunhɛ̀n
คุณเห็นด้วยมั้ย	kʰunhɛnduajmaːj
คุณเห็นด้วยไหม	kʰunhenduaimai
คุณเห็นนั่นมั้ย	kʰunhɛnnaːmɛɛ
คุณเห็นนั่นไหม	kʰun˥hɛn˧nãː˥maɪ˧
คุณเห็นนี่ไหม	kʰun˥hɛn˧ni˥mai˥
คุณเห็นมัน	kʰunhěnman
คุณเห็นมันมั้ย	kʰun˥hɛn˧man˥ma˥
คุณเห็นมั๊ย	kʰunhɛnmáj
คุณเห็นรึเปล่า	kʰunhɛnɾɯaʔplaː
คุณเห็นว่า	kʰunhɛnwɑː
คุณเห็นอะไรไหม	kʰun˥hɛn˧ʔa˥rai˥mai˥
คุณเห็นไหม	kʰunhɛnmaɪ
คุณเอง	kʰun˥ʔeːŋ˧
คุณเอนสลิน	kʰun˩ʔen˧sɔː˥lin˥
คุณเอลลิสัน	kʰunʔeːlːisɔ̌ːn
คุณเอาจริงเหรอ	kʰunʔæːtɕɪŋhɤː
คุณเอามาจากไหน	kʰunʰəːmâːkʰɑ̀ːn
คุณแคช	kʰun˥kɛːtɕ˥
คุณแคฟฟรีย์	kʰun˥kʰɛː˧frɨː˥
คุณแค่	kʰunkʰɛ̂
คุณแจอิน	kʰundʑɛːn
คุณแจ็คสัน	kʰundʒɛksɔn
คุณแซนเดอร์	kʰunsɛːndɛ̀ː
คุณแซนเดอร์สัน	kʰunsɛːndɛ̀ːsɔ̄ːn
คุณแดร์โรว์	kʰun˥dɛː˧˥lɔːw˥
คุณแต่งงานรึยัง	kʰun˥tɛ̄ːŋ˧ŋɛ̄ːn˥rɯ˥
คุณแทซอง	kʰuntɛːsɔ̀ːŋ
คุณแน่ใจ	kʰunnɛːjaj
คุณแน่ใจน่ะ	kʰun˥nɛː˧˥cɛː˥nâ˥
คุณแน่ใจหรือ	kʰunnɛːjajhɯa
คุณแน่ใจหรือว่า	kʰunnɛːjajhɯ̀wɑː
คุณแน่ใจหรือไม่	kʰunnɛːjajrɯ̌ənaj
คุณแน่ใจเหรอ	kʰunnɛːjajhɛ̀ː
คุณแน่ใจแล้วหรือ	kʰun˥nɛː˧˥ʨaj˥˩lɛː˧˥rɯː˥
คุณแบลร์	kʰun˥bɛː˧lɛː˥
คุณแบส	kʰun˨bɛː˧˥s˥
คุณแบ็คเก็ต	kʰunbɛkkɛt
คุณแม่	kʰunmɛː
คุณแม่ขา	kʰunmɛːkʰaː
คุณแม่ครับ	kʰunmɛːkʰráp
คุณแม่คะ	kʰunmɛːkʰa˥
คุณแม่ค่ะ	kʰunmɛːkʰā
คุณแม่บ้าน	kʰunmɛ̄ːbɑ̀ːn
คุณแรนดัล	kʰunrɛːnɗal
คุณแลนซ์	kʰunlanʔ
คุณและ	kʰunlɛː
คุณและคุณนาย	kʰunlaːkʰunnaːj
คุณและผม	kʰunlɛːpʰʰam
คุณแวน	kʰunʋɑːn
คุณแอนเดอร์สัน	kʰunʔɛ̀ːndeː̀sɔ̄ːn
คุณแฮตฟิลด์	kʰunhɛ̀ːtfil
คุณแฮร์ริส	kʰunʰhɛ̀ːrɪ̂ːs
คุณแฮร์เร่อ	kʰunʰhɛ̀ːrɛ̀ː
คุณโกรธ	kʰun˥kɔː˧˥
คุณโกลด์	kʰun˥kɔːl˧
คุณโกหกฉัน	kʰunkoːhɔkʈʰan
คุณโค	kʰunkoʔ
คุณโคงะ	kʰunkoʔ
คุณโง่	kʰun˥ŋoː˧
คุณโชคดี	kʰun˥ʃoʔ˧di˥
คุณโซเมส	kʰun˥so˧meː˧
คุณโดเวอร์	kʰundɔːwɛː
คุณโดโนแวน	kʰundoːnaːw
คุณโทมัส	kʰun˨to˧ma˥s
คุณโมริตะ	kʰun̩mɔːrìtá
คุณโยนมาให้ผมเลย	kʰunjɔːnmaːhɪjpʰomlɤj
คุณโอ	kʰunɔː
คุณโอทาเกะ	kʰunʔoʔtaʔkeː
คุณโอเค	kʰunʔɔːkɛ̀
คุณโอเคนะ	kʰunʔoːkɛ̀nɛ̀
คุณโอเคมั้ย	kʰunʔoːk̚mɛ̀
คุณโอเคมั๊ย	kʰunʔoːk̚mɛ̀
คุณโอเคหรือเปล่า	kʰunʔoːkʰeːlɯa̯˥bɛ̀ː˩
คุณโอเคไหม	kʰunʌ̀ʔkɛ̀m
คุณโอไบรอัน	kʰunʔɔːjbrɑːn
คุณโฮมส์	kʰun̩hoːm
คุณโฮล์ม	kʰun̩hoːl̥m
คุณไซอนจิ	kʰunsajɲiː
คุณได้	kʰun˨daɪ˧
คุณได้มันมาจากไหน	kʰundaɪmɛːmɑːtɕɑːkʰɑːn
คุณได้ยิน	kʰun˩daj˥jin˧
คุณได้ยินฉันไหม	kʰundaɪ˥jɪn˧tɕʰan˩maj˥
คุณได้ยินผมไหม	kʰundaɪ˨jɪn˧pʰʰɔm˥maɪ˧
คุณได้ยินมั๊ย	kʰun˩daj˧jɪn˥mɛɛ˧
