'day	daɪ̯
abestrus	ʔɐbɛstɾus
abeto	ʔɐbɛto
abilaw	ʔɐbɪlaʊ̯
abilidad	ʔɐbɪlɪdad
abilo	ʔɐbilo
abintestato	ʔɐbɪntɛstato
abismal	ʔɐbɪsmal
abismo	ʔɐbismo
abiso	ʔɐbiso
abisuhan	ʔɐbɪsuhɐn
abito	ʔabɪto
abitsuwela	ʔɐbɪtʃwɛlɐ
abitsuwelas	ʔɐbɪtʃwɛlɐs
abiyohenesis	ʔɐbjohɛnɛsɪs
abiyolohiya	ʔɐbjolohiɐ
abla	ʔablɐ
abla	ʔɐbla
ablatibo	ʔɐblɐtibo
ablepsiya	ʔɐblɛpʃɐ
ablepsya	ʔɐblɛpʃɐ
ablusyon	ʔɐblʊʃon
abnegada	ʔɐbnɛɣadɐ
abnegado	ʔɐbnɛɣado
abnegasyon	ʔɐbnɛɣɐʃon
abno	ʔɐbnoʔ
abnormalidad	ʔɐbnoɾmɐlɪdad
abnoy	ʔɐbnoɪ̯
abog	ʔɐboɡ
abogada	ʔɐboɣadɐ
abogadilyo	ʔɐboɣɐdiljo
abogado	ʔɐboɣado
abogasiya	ʔɐboɣɐsiɐ
abogasya	ʔɐboɣaʃɐ
abogasya	ʔɐboɣɐʃa
abok	ʔɐbok
abokado	ʔɐboxado
aboli	ʔɐboli
abolisyon	ʔɐbolɪʃon
abolisyonista	ʔɐbolɪʃonistɐ
abonada	ʔɐbonadɐ
abonado	ʔɐbonado
aborsiyon	ʔɐboɾʃon
aborsiyonista	ʔɐboɾʃonistɐ
aborsyonista	ʔɐboɾʃonistɐ
abot	ʔabot
abot	ʔɐbot
aboy	ʔɐboɪ̯
abrasete	ʔɐbɾɐsɛtɛ
abrasiyete	ʔɐbɾɐʃɛtɛ
abrasyete	ʔɐbɾɐʃɛtɛ
abrelata	ʔɐbɾɛlatɐ
abridor	ʔɐbɾɪdoɾ
abrigo	ʔɐbɾiɣo
absik	ʔɐbsik
absolusyon	ʔɐbsolʊʃon
absolutismo	ʔɐbsolʊtismo
absuwelto	ʔɐbswɛlto
abuab	ʔɐbʊʔab
abubot	ʔɐbubot
abuhan	ʔabuhɐn
abuhan	ʔɐbʊhan
abuhin	ʔabuhɪn
abuhin	ʔɐbʊhin
abukado	ʔɐbʊxado
abukanin	ʔɐbʊxanɪn
abukay	ʔɐbuxaɪ̯
abukay	ʔɐbʊxaɪ̯
abuloy	ʔɐbuloɪ̯
abuluyan	ʔabʊlʊjan
abuluyan	ʔɐbʊlujɐn
aburan	ʔɐbʊɾan
aburido	ʔɐbʊɾido
aburido	ʔɐbʊɾɪdo
abusado	ʔɐbʊsado
abuso	ʔɐbuso
abusuhin	ʔɐbʊsuhɪn
abutab	ʔɐbʊtab
abutan	ʔabutɐn
abutan	ʔɐbutɐn
abutan	ʔɐbʊtan
abutin	ʔɐbutɪn
abutin	ʔɐbʊtin
abutra	ʔɐbutɾɐ
abuwab	ʔɐbwab
abwab	ʔɐbwab
abyad	ʔɐbjad
abyador	ʔɐbjɐdoɾ
abyarin	ʔɐbjɐɾin
abyasyon	ʔɐbjɐʃon
abyerta	ʔɐbjɛɾtɐ
abyerto	ʔɐbjɛɾto
abyog	ʔɐbjoɡ
abyugin	ʔɐbjʊɣin
ada	ʔadɐ
adberbiyo	ʔɐdbɛɾbjo
adbokasiya	ʔɐdboxɐsiɐ
adelantado	ʔɐdɛlɐntado
adelanto	ʔɐdɛlanto
adelpa	ʔɐdɛlpɐ
aders	ʔadɛɹs
adhika	ʔɐdhɪxaʔ
adhikain	ʔɐdhɪxaʔɪn
adidas	ʔɐdidɐs
adik	ʔadɪk
adiksiyon	ʔɐdɪkʃon
adiksyon	ʔɐdɪkʃon
adikto	ʔɐdikto
adisyon	ʔɐdɪʃon
adisyonal	ʔɐdɪʃonal
adisyunal	ʔɐdɪʃʊnal
adiyaw	ʔɐdiaʊ̯
adiyos	ʔɐdʒos
adlaw	ʔɐdlaʊ̯
administrador	ʔɐdmɪnɪstɾɐdoɾ
administradora	ʔɐdmɪnɪstɾɐdoɾɐ
administrasyon	ʔɐdmɪnɪstɾɐʃon
administratibo	ʔɐdmɪnɪstɾɐtibo
admiral	ʔadmɪɾɐl
admirasyon	ʔɐdmɪɾɐʃon
admisyon	ʔɐdmɪʃon
adobe	ʔɐdobɛ
adobo	ʔɐdobo
adopsiyon	ʔɐdopʃon
adopsyon	ʔɐdopʃon
adorador	ʔɐdoɾɐdoɾ
adorno	ʔɐdoɾno
adres	ʔadɾɛs
adres	ʔɐdɾɛs
adulto	ʔɐdulto
aduwa	ʔɐduɐʔ
aduwana	ʔɐdwanɐ
adwa	ʔɐdwaʔ
adwana	ʔɐdwanɐ
adya	ʔɐdʒa
adya	ʔɐdʒaʔ
adyaw	ʔɐdʒaʊ̯
adyenda	ʔɐdʒɛndɐ
adyo	ʔɐdʒo
adyo	ʔɐdʒoʔ
aga	ʔaɣɐ
agaas	ʔɐɣaʔɐs
agaas	ʔɐɣɐʔas
agad	ʔɐɣad
agahan	ʔɐɣahɐn
agahas	ʔɐɣahɐs
agahas	ʔɐɣɐhas
agalya	ʔɐɣaljɐ
agam	ʔaɣɐm
agamahan	ʔɐɣɐmahɐn
agap	ʔaɣɐp
agapay	ʔɐɣapaɪ̯
agaran	ʔaɣaɾɐn
agas	ʔaɣɐs
agas	ʔɐɣas
agata	ʔaɣɐtɐ
agatat	ʔɐɣɐtat
agatsona	ʔɐɣɐtʃonɐ
agaw	ʔaɣaʊ̯
agaw	ʔɐɣaʊ̯
agawin	ʔɐɣawɪn
agbarog	ʔɐɡbaɾoɡ
agbarugan	ʔɐɡbɐɾuɣɐn
agham	ʔɐɡham
aghambuhay	ʔɐɡhɐmbuhaɪ̯
aghamwika	ʔɐɡhɐmwixɐʔ
aghimo	ʔɐɡhimoʔ
aghimuan	ʔɐɡhɪmuʔɐn
aghimuin	ʔɐɡhɪmuʔɪn
agihap	ʔɐɣihɐp
agila	ʔaɣɪlɐ
agimat	ʔɐɣimɐt
agimatan	ʔɐɣɪmatɐn
aginaldo	ʔɐɣɪnaldo
agingay	ʔɐɣiŋaɪ̯
agipo	ʔɐɣɪpo
agiw	ʔaɣiʊ̯
agkap	ʔaɡkɐp
agkap	ʔɐɡkap
aglahi	ʔɐɡlahɪʔ
agnas	ʔɐɡnas
agnos	ʔɐɡnos
agnostiko	ʔɐɡnostɪxo
agong	ʔaɣoŋ
agos	ʔaɣos
agoy	ʔaɣoɪ̯
agpang	ʔɐɡpaŋ
agrabyado	ʔɐɡɾɐbjado
agresibo	ʔɐɡɾɛsibo
agrikultura	ʔɐɡɾɪxʊltuɾɐ
agrimensor	ʔɐɡɾɪmɛnsoɾ
agsikap	ʔɐɡsixɐp
agsikapan	ʔɐɡsɪxapɐn
aguha	ʔɐɣuhɐ
aguhilya	ʔɐɣʊhiljɐ
aguho	ʔɐɣuhoʔ
aguho	ʔɐɣʊhoʔ
aguhon	ʔɐɣʊhon
agulo	ʔɐɣulo
agunyas	ʔɐɣʊɲas
agusil	ʔɐɣʊsil
agwa	ʔaɡwɐ
agwa	ʔɐɡwa
agwahas	ʔɐɡwahɐs
agwahe	ʔɐɡwahɛ
agwamarina	ʔɐɡwɐmɐɾinɐ
agwanta	ʔɐɡwɐnta
agwaras	ʔɐɡwɐɾas
agwardiyente	ʔɐɡwɐɾdʒɛntɛ
agwardyente	ʔɐɡwɐɾdʒɛntɛ
agwas	ʔaɡwɐs
agwas	ʔɐɡwas
agwasero	ʔɐɡwɐsɛɾo
agwat	ʔɐɡwat
agwela	ʔɐɡwɛlɐ
agwelo	ʔɐɡwɛlo
ahang	ʔahɐŋ
ahang	ʔɐhaŋ
ahas	ʔahɐs
ahedres	ʔɐhɛdɾɛs
ahensiya	ʔɐhɛnʃɐ
ahensya	ʔɐhɛnʃɐ
ahente	ʔɐhɛntɛ
ahit	ʔahɪt
ahit	ʔɐhit
ahitin	ʔɐhitɪn
ahiya	ʔahɪɐ
aho	ʔaho
ahon	ʔahon
ahunin	ʔɐhunɪn
aikido	ʔaɪ̯xido
akademya	ʔɐxɐdɛmjɐ
akala	ʔɐxalɐʔ
akap	ʔaxɐp
akasya	ʔɐxaʃɐ
akawnt	ʔɐxaʊ̯nt
akawntant	ʔɐxaʊ̯ntɐnt
akay	ʔaxaɪ̯
akayin	ʔɐxajɪn
akayin	ʔɐxɐjin
akba	ʔakbɐ
akba	ʔɐkba
akbay	ʔɐkbaɪ̯
akda	ʔɐkdaʔ
akibat	ʔɐxibɐt
akin	ʔaxɛn
akin	ʔaxɪn
akit	ʔaxɪt
akit	ʔɐxit
aklas	ʔɐklas
aklat	ʔɐklat
aklatan	ʔɐklatɐn
akma	ʔɐkma
akma	ʔɐkmaʔ
ako	ʔaxoʔ
ako	ʔɐxo
akom	ʔaxom
akom	ʔɐxom
akompanya	ʔɐxompɐɲa
akordeon	ʔɐxoɾdɛon
akordeon	ʔɐxoɾdʒon
akreditasyon	ʔɐkɾɛdɪtɐʃon
akronim	ʔakɾonɪm
akrostik	ʔɐkɾostɪk
aksaya	ʔɐksɐja
aksayado	ʔɐksɐjado
akses	ʔaksɛs
aksibal	ʔɐksibɐl
aksidente	ʔɐksɪdɛntɛ
aksis	ʔaksɪs
aksiyon	ʔɐkʃon
aksyon	ʔɐkʃon
aktibidad	ʔɐktɪbɪdad
aktibidades	ʔɐktɪbɪdadɛs
aktibismo	ʔɐktɪbismo
aktibista	ʔɐktɪbistɐ
aktibo	ʔɐktibo
akto	ʔakto
aktor	ʔɐktoɾ
aktres	ʔaktɾɛs
aktres	ʔɐktɾɛs
aktuwal	ʔɐktwal
aktwal	ʔɐktwɐl
akuin	ʔɐxuʔɪn
akumulasyon	ʔɐxʊmʊlɐʃon
akurdiyon	ʔɐxʊɾdʒon
akusa	ʔɐxʊsa
akusado	ʔɐxʊsado
akusasyon	ʔɐxʊsɐʃon
akwarela	ʔɐkwɐɾɛlɐ
akwaryo	ʔɐkwaɾjo
akwaryum	ʔɐkwaɾjʊm
akwatiko	ʔɐkwatɪxo
akyat	ʔɐkjat
akyatan	ʔɐkjatɐn
akyatan	ʔɐkjɐtan
akyatin	ʔɐkjɐtin
ala	ʔalɐ
ala	ʔɐla
ala	ʔɐlaʔ
alaala	ʔɐlɐʔalɐ
alaala	ʔɐlɐʔɐla
alab	ʔalɐb
alabastro	ʔɐlɐbastɾo
alabok	ʔɐlɐbok
alabwab	ʔɐlɐbwab
alaga	ʔɐlaɣɐʔ
alaga	ʔɐlɐɣaʔ
alagad	ʔɐlɐɣad
alagaw	ʔɐlɐɣaʊ̯
alahado	ʔɐlɐhado
alahas	ʔɐlahɐs
alahero	ʔɐlɐhɛɾo
alahibi	ʔɐlɐhibɪ
alak	ʔalɐk
alakdan	ʔɐlɐkdan
alakibot	ʔɐlaxɪbot
alakos	ʔɐlɐxos
alala	ʔɐlalɐ
alala	ʔɐlɐla
alalahanin	ʔɐlɐlɐhanɪn
alalahanin	ʔɐlɐlɐhɐnin
alalawa	ʔalɐlawɐʔ
alalay	ʔɐlalaɪ̯
alalay	ʔɐlɐlaɪ̯
alalayan	ʔɐlɐlajɐn
alam	ʔalɐm
alam	ʔɐlam
alaman	ʔɐlamɐn
alamang	ʔɐlɐmaŋ
alamat	ʔɐlɐmat
alambre	ʔɐlambɾɛ
alambrera	ʔɐlɐmbɾɛɾɐ
alamid	ʔɐlɐmid
alamin	ʔɐlɐmin
alampay	ʔɐlɐmpaɪ̯
alandahaw	ʔɐlɐndahaʊ̯
alangaang	ʔɐlɐŋaʔɐŋ
alangan	ʔɐlɐŋan
alanganin	ʔɐlɐŋanɪn
alangilan	ʔɐlɐŋilɐn
alap	ʔalɐp
alapaap	ʔɐlɐpaʔɐp
alapaap	ʔɐlɐpɐʔap
alapap	ʔɐlapɐp
alapap	ʔɐlɐpap
alapaw	ʔɐlapaʊ̯
alarma	ʔɐlaɾmɐ
alaskador	ʔɐlɐskɐdoɾ
alat	ʔalɐt
alatiit	ʔɐlɐtiʔɪt
alatiit	ʔɐlɐtɪʔit
alay	ʔalaɪ̯
alayan	ʔɐlajɐn
alba	ʔalbɐ
albahaka	ʔɐlbɐhaxɐ
albakora	ʔɐlbɐxoɾɐ
albarikoke	ʔɐlbɐɾɪxoxɛ
albay	ʔɐlbaɪ̯
alboroto	ʔɐlboɾoto
albularyo	ʔɐlbʊlaɾjo
alburnos	ʔɐlbʊɾnos
aldaba	ʔɐldabɐ
aldabis	ʔɐldɐbis
ale	ʔalɛ
alegasyon	ʔɐlɛɣɐʃon
alegoriya	ʔɐlɛɣoɾiɐ
alegorya	ʔɐlɛɣoɾjɐ
aleluya	ʔɐlɛlujɐ
alembong	ʔɐlɛmboŋ
algodon	ʔɐlɡodon
alguwasil	ʔɐlɡwɐsil
alhibe	ʔɐlhibɛ
ali	ʔalɪ
alibadbad	ʔɐlɪbɐdbad
alibangbang	ʔɐlɪbɐmbaŋ
alibarbar	ʔɐlɪbɐɾbaɾ
alibata	ʔɐlɪbatɐ
alibugha	ʔɐlɪbʊɡhaʔ
alibukay	ʔɐlɪbʊxaɪ̯
alibutdan	ʔɐlɪbʊtdan
alibutran	ʔɐlɪbʊtɾan
aligaga	ʔɐlɪɣɐɣaʔ
aligamgam	ʔɐlɪɣɐmɡam
aligasin	ʔɐlɪɣɐsin
aligi	ʔɐlɪɣi
aligid	ʔɐliɣɪd
aligid	ʔɐlɪɣid
alikabok	ʔɐlɪxɐbok
alikate	ʔɐlɪxatɛ
alikate	ʔɐlɪxatɛʔ
alikmata	ʔɐlɪkmatɐʔ
alikmata	ʔɐlɪkmɐta
alila	ʔɐlilɐʔ
alilis	ʔɐlilɪs
alilis	ʔɐlɪlis
alilisan	ʔalɪlisɐn
alilisan	ʔalɪlɪsan
alilisan	ʔɐlɪlisɐn
alimango	ʔɐlɪmaŋo
alimasag	ʔɐlɪmasɐɡ
alimbukay	ʔɐlɪmbʊxaɪ̯
alimis	ʔɐlɪmis
alimpayawan	ʔɐlɪmpɐjawɐn
alimpungat	ʔɐlɪmpʊŋat
alimpuyo	ʔɐlɪmpʊjo
alimuom	ʔɐlɪmuʔom
alimuom	ʔɐlɪmʊʔom
alimuran	ʔɐlɪmʊɾan
alin	ʔɐlin
alin	ʔɐlɛn
alindog	ʔɐlɪndoɡ
aling	ʔalɪŋ
aling	ʔɐliŋ
alingasaw	ʔɐlɪŋasaʊ̯
alingasngas	ʔɐlɪŋɐsŋas
alingawngaw	ʔɐlɪŋaʊ̯ŋaʊ̯
alinlangan	ʔɐlɪnlaŋɐn
alinman	ʔɐlɪnman
alinsunod	ʔɐlɪnsunod
alinsunod	ʔɐlɪnsʊnod
alintana	ʔɐlɪntanɐ
alintataw	ʔɐlɪntataʊ̯
alintataw	ʔɐlɪntɐtaʊ̯
alipala	ʔɐlɪpalɐ
alipala	ʔɐlɪpalɐʔ
alipato	ʔɐlɪpato
alipin	ʔɐlipɪn
alipores	ʔɐlɪpoɾɛs
alipunga	ʔɐlɪpʊŋa
alipusta	ʔɐlɪpʊstaʔ
alis	ʔɐlis
alisaga	ʔɐlɪsɐɣaʔ
alisagsag	ʔɐlɪsɐɡsaɡ
alisan	ʔalisɐn
alisan	ʔɐlɪsan
alisangsang	ʔɐlɪsɐnsaŋ
alisin	ʔɐlɪsin
alisto	ʔɐlisto
alisuas	ʔɐlɪsuʔɐs
alit	ʔalɪt
alitan	ʔɐlitɐn
alitangya	ʔɐlɪtɐŋja
alitaptap	ʔɐlɪtɐptap
aliterasyon	ʔɐlɪtɛɾɐʃon
alitiit	ʔɐlɪtiʔɪt
alitiit	ʔɐlɪtɪʔit
alituntunin	ʔɐlɪtʊntunɪn
alituntunin	ʔɐlɪtʊntʊnin
aliw	ʔaliʊ̯
aliw	ʔɐliʊ̯
aliwalas	ʔɐlɪwalɐs
alkabus	ʔɐlkɐbus
alkabusero	ʔɐlkɐbʊsɛɾo
alkagwete	ʔɐlkɐɡwɛtɛ
alkahuwete	ʔɐlkɐhwɛtɛ
alkalde	ʔɐlkaldɛ
alkaldesa	ʔɐlkɐldɛsɐ
alkampor	ʔɐlkɐmpoɾ
alkansiya	ʔɐlkɐnsiɐ
alkansiya	ʔɐlkɐnʃa
alkansya	ʔɐlkanʃɐ
alkansya	ʔɐlkɐnʃa
alkantarilya	ʔɐlkɐntɐɾiljɐ
alkatsopas	ʔɐlkɐtʃopɐs
alkayseriya	ʔɐlkaɪ̯sɛɾiɐ
alkimiya	ʔɐlkɪmiɐ
alkimya	ʔɐlkimjɐ
alkitran	ʔɐlkɪtɾan
alkohol	ʔɐlkohol
alma	ʔɐlma
almanake	ʔɐlmɐnaxɛ
almasen	ʔɐlmɐsɛn
almasiga	ʔɐlmasɪɣɐ
almasiga	ʔɐlmɐsiɣɐ
almeha	ʔɐlmɛhɐ
almendras	ʔɐlmɛndɾɐs
almete	ʔɐlmɛtɛ
almirante	ʔɐlmɪɾantɛ
almirol	ʔɐlmɪɾol
almohada	ʔɐlmohadɐ
almohadilya	ʔɐlmohɐdiljɐ
almon	ʔɐlmon
almondigas	ʔɐlmondɪɣas
almoranas	ʔɐlmoɾanɐs
almowada	ʔɐlmoadɐ
almusal	ʔɐlmʊsal
almuwada	ʔɐlmwadɐ
almuwerso	ʔɐlmwɛɾso
alo	ʔaloʔ
alod	ʔalod
alog	ʔaloɡ
alog	ʔɐloɡ
alok	ʔɐlok
alon	ʔalon
aloy	ʔaloɪ̯
alpa	ʔalpɐ
alpa	ʔɐlpa
alpabeto	ʔɐlpɐbɛto
alpahol	ʔɐlpɐhol
alpaka	ʔɐlpaxɐ
alpapa	ʔɐlpapɐ
alpas	ʔɐlpas
alpay	ʔalpaɪ̯
alpay	ʔɐlpaɪ̯
alperes	ʔɐlpɛɾɛs
alpil	ʔɐlpil
alpiler	ʔɐlpɪlɛɾ
alpombra	ʔɐlpombɾɐ
alsa	ʔɐlsa
alsan	ʔɐlsan
alsin	ʔɐlsin
also	ʔalso
alta	ʔɐlta
altanghap	ʔaltɐŋhap
altapresyon	ʔaltɐpɾɛʃon
altar	ʔɐltaɾ
alternatibo	ʔɐltɛɾnɐtibo
altruismo	ʔɐltɾwismo
alugin	ʔɐlʊɣin
aluhipan	ʔɐlʊhipɐn
alulod	ʔɐlʊlod
alulong	ʔɐlʊloŋ
alumahan	ʔɐlʊmahɐn
aluminyo	ʔɐlʊmiɲo
alupihan	ʔɐlʊpihɐn
alusema	ʔɐlʊsɛmɐ
alusitha	ʔɐlʊsɪthaʔ
alusyon	ʔɐlʊʃon
alwagi	ʔɐlwaɣɪ
alyado	ʔɐljado
alyansa	ʔɐljansɐ
alyas	ʔaljɐs
alyas	ʔɐljas
am	ʔam
ama	ʔamɐ
ama	ʔɐma
amag	ʔamɐɡ
amain	ʔɐmɐʔin
amak	ʔamɐk
amak	ʔɐmak
amam	ʔamɐm
amama	ʔɐmamɐ
amapola	ʔɐmɐpolɐ
amaranto	ʔɐmɐɾanto
amarilyo	ʔɐmɐɾiljo
amas	ʔɐmas
amatista	ʔɐmɐtistɐ
amba	ʔɐmbaʔ
ambag	ʔɐmbaɡ
ambi	ʔɐmbiʔ
ambigwidad	ʔɐmbɪɡwɪdad
ambisyon	ʔɐmbɪʃon
ambisyosa	ʔɐmbɪʃosɐ
ambisyoso	ʔɐmbɪʃoso
ambon	ʔɐmbon
ambubuyog	ʔɐmbʊbujoɡ
ambulansiya	ʔɐmbʊlanʃɐ
ambuwang	ʔɐmbwaŋ
amen	ʔamɛn
amen	ʔɐmɛn
amerikana	ʔɐmɛɾɪxanɐ
amihan	ʔɐmihɐn
amil	ʔamɪl
amil	ʔɐmil
amilyar	ʔɐmɪljaɾ
amilyaramyento	ʔɐmɪljɐɾɐmjɛnto
amin	ʔamɛn
amin	ʔamɪn
aminado	ʔɐmɪnado
aminin	ʔɐminɪn
amis	ʔamɪs
amis	ʔɐmis
amistad	ʔɐmɪstad
amnestiya	ʔɐmnɛstiɐ
amnesya	ʔɐmnɛʃɐ
amo	ʔamo
amo	ʔamoʔ
amo	ʔɐmoʔ
amogis	ʔɐmoɣɪs
amol	ʔamol
among	ʔamoŋ
amonya	ʔɐmoɲɐ
amor	ʔɐmoɾ
amoritis	ʔɐmoɾitɪs
amorseko	ʔɐmoɾsɛxo
amorsiko	ʔɐmoɾsixo
amos	ʔamos
amot	ʔamot
amoy	ʔɐmoɪ̯
ampalaya	ʔɐmpɐlɐja
ampang	ʔɐmpaŋ
ampaw	ʔampaʊ̯
ampaw	ʔɐmpaʊ̯
amperyo	ʔɐmpɛɾjo
ampibyan	ʔɐmpibjɐn
ampiteatro	ʔɐmpɪtɛatɾo
ampiyon	ʔɐmpjon
ampon	ʔɐmpon
ampunan	ʔɐmpunɐn
ampunan	ʔɐmpʊnan
amugis	ʔɐmuɣɪs
amuyong	ʔɐmujoŋ
amuyong	ʔɐmʊjoŋ
amyenda	ʔɐmjɛndɐ
amyendahan	ʔɐmjɛndɐhan
anahaw	ʔɐnahaʊ̯
anak	ʔanɐk
anak	ʔɐnak
anaki	ʔɐnaxɪ
anaki	ʔɐnaxɪʔ
anaklang	ʔɐnɐklaŋ
anakpawis	ʔɐnɐkpawɪs
anakroniko	ʔɐnɐkɾonɪxo
anakronismo	ʔɐnɐkɾonismo
analisador	ʔɐnɐlɪsɐdoɾ
analisis	ʔɐnalɪsɪs
analitika	ʔɐnɐlitɪxɐ
analitiko	ʔɐnɐlitɪxo
analohiya	ʔɐnɐlohiɐ
anaman	ʔɐnɐman
ananapla	ʔɐnɐnaplɐ
ananapla	ʔɐnɐnɐpla
anang	ʔɐnaŋ
anarkiya	ʔɐnɐɾkiɐ
anas	ʔɐnas
anasan	ʔanasɐn
anatomista	ʔɐnɐtomistɐ
anatomiya	ʔɐnɐtomiɐ
anatomiya	ʔɐnɐtomja
anawnser	ʔɐnaʊ̯nsɛɾ
anayad	ʔɐnajɐd
anayin	ʔɐnajɪn
anayo	ʔɐnajo
anayo	ʔɐnajoʔ
ancha	ʔɐntʃa
anda	ʔandɐ
andaderas	ʔɐndɐdɛɾɐs
andam	ʔɐndam
andap	ʔɐndap
andar	ʔɐndaɾ
andas	ʔɐndas
anek	ʔɐnɛk
anemometro	ʔɐnɛmomɛtɾo
anemya	ʔɐnɛmjɐ
ang	ʔɐŋ
anga	ʔɐŋa
anga	ʔɐŋaʔ
angal	ʔaŋɐl
angal	ʔɐŋal
angas	ʔaŋɐs
angas	ʔɐŋas
angat	ʔɐŋat
angaw	ʔaŋaʊ̯
angaw	ʔɐŋaʊ̯
anggo	ʔɐŋɡo
anggulo	ʔaŋɡʊlo
anghang	ʔɐŋhaŋ
anghel	ʔɐŋhɛl
anghit	ʔɐŋhit
angi	ʔɐŋi
angil	ʔaŋɪl
angis	ʔɐŋis
angkak	ʔɐŋkak
angkan	ʔɐŋkan
angkas	ʔɐŋkas
angkat	ʔɐŋkat
angkin	ʔɐŋkin
angkla	ʔaŋklɐ
angkong	ʔaŋkoŋ
angkop	ʔɐŋkop
ango	ʔɐŋo
angot	ʔɐŋot
angpao	ʔampaʊ̯
anhin	ʔɐnhin
ani	ʔanɪ
ani	ʔɐni
anib	ʔanɪb
anibersaryo	ʔɐnɪbɛɾsaɾjo
anila	ʔanɪlɐ
anila	ʔɐnilɐ
anilaw	ʔɐnilaʊ̯
anilyo	ʔɐniljo
anim	ʔanɪm
animal	ʔɐnɪmal
animismo	ʔɐnɪmismo
animnapu	ʔanɪmnɐpuʔ
animnaraan	ʔanɪmnɐɾɐʔan
aninag	ʔɐninɐɡ
aninaw	ʔɐninaʊ̯
aninaw	ʔɐnɪnaʊ̯
anino	ʔɐnino
anis	ʔɐnis
anislag	ʔɐnislɐɡ
anit	ʔanɪt
anit	ʔɐnit
anito	ʔanɪto
anito	ʔɐnito
aniya	ʔaɲɐ
anlaw	ʔɐnlaʊ̯
anlowage	ʔɐnloaɣɛ
anluwagi	ʔɐnlwaɣɪ
anod	ʔanod
anomalya	ʔɐnomɐlja
anonang	ʔɐnonɐŋ
anonas	ʔɐnonɐs
anos	ʔanos
anos	ʔɐnos
anot	ʔɐnot
ansiles	ʔɐnsɪlɛs
ansilis	ʔɐnsɪlis
ansiyano	ʔɐnʃano
anta	ʔantɐ
anta	ʔɐnta
antabay	ʔɐntabaɪ̯
antak	ʔɐntak
antala	ʔɐntalɐ
antala	ʔɐntalɐʔ
antanda	ʔɐntɐndaʔ
antas	ʔɐntas
antay	ʔɐntaɪ̯
antemano	ʔɐntɛmano
antena	ʔɐntɛnɐ
antibiyotiko	ʔɐntɪbjotɪxo
antig	ʔɐntiɡ
antigo	ʔɐntiɣo
antik	ʔɐntik
antilano	ʔɐntɪlano
antilope	ʔɐntilopɛ
antilope	ʔɐntɪlopɛ
antipalo	ʔɐntɪpalo
antipara	ʔɐntɪpaɾɐ
antipatika	ʔɐntɪpatɪxɐ
antipatiko	ʔɐntɪpatɪxo
antipolo	ʔɐntɪpolo
antipona	ʔɐntiponɐ
antisipasyon	ʔɐntɪsɪpɐʃon
antisipo	ʔɐntɪsipo
antok	ʔɐntok
antot	ʔɐntot
antraks	ʔantɾɐks
antropolohiya	ʔɐntɾopolohiɐ
antsa	ʔɐntʃa
antukin	ʔɐntuxɪn
antukin	ʔɐntʊxin
anubing	ʔɐnubɪŋ
anubing	ʔɐnʊbiŋ
anuhin	ʔɐnʊhin
anuman	ʔɐnʊman
anunsiyasyon	ʔɐnʊnʃɐʃon
anunsiyo	ʔɐnunʃo
anunsyo	ʔɐnunʃo
anuwang	ʔɐnwaŋ
anwang	ʔɐnwaŋ
anyare	ʔɐɲaɾɛ
anyaya	ʔɐɲajɐ
anyaya	ʔɐɲajɐʔ
anyo	ʔaɲo
anyo	ʔɐɲoʔ
anyos	ʔaɲos
apa	ʔapɐ
apa	ʔɐpaʔ
apahap	ʔɐpahɐp
apak	ʔapɐk
apak	ʔɐpak
apalit	ʔɐpalɪt
apalya	ʔɐpɐlja
aparato	ʔɐpɐɾato
apat	ʔapɐt
apatita	ʔɐpɐtitɐ
apatnapu	ʔapɐtnɐpuʔ
apatnaraan	ʔapɐtnɐɾɐʔan
apaw	ʔapaʊ̯
apaw	ʔɐpaʊ̯
apaya	ʔɐpajɐ
apdo	ʔɐpdo
apektado	ʔɐpɛktado
apekto	ʔɐpɛkto
apela	ʔɐpɛla
apelasyon	ʔɐpɛlɐʃon
apelyido	ʔɐpɛljido
apendisitis	ʔɐpɛndɪsitɪs
api	ʔɐpi
apid	ʔɐpid
apidabit	ʔɐpɪdabɪt
apihin	ʔɐpɪhin
apila	ʔɐpɪla
apir	ʔɐpiɾ
apitong	ʔɐpitoŋ
aplay	ʔɐplaɪ̯
aplaya	ʔɐplajɐ
aplikado	ʔɐplɪxado
aplikant	ʔaplɪxɐnt
aplikante	ʔɐplɪxantɛ
aplikasyon	ʔɐplɪxɐʃon
apo	ʔapoʔ
apo	ʔɐpo
apog	ʔapoɡ
apoheo	ʔɐpohɛo
apostasiya	ʔɐpostɐsiɐ
apostata	ʔɐpostɐta
apostol	ʔɐpostol
apostolado	ʔɐpostolado
apostoles	ʔɐpostolɛs
apostoliko	ʔɐpostolɪxo
apostrope	ʔɐpostɾopɛ
apoy	ʔɐpoɪ̯
apresasyon	ʔɐpɾɛsɐʃon
apresyasyon	ʔɐpɾɛʃɐʃon
aprikot	ʔapɾɪxot
apritada	ʔɐpɾɪtadɐ
aproba	ʔɐpɾoba
aprobado	ʔɐpɾobado
aproksimasyon	ʔɐpɾoksɪmɐʃon
aptitud	ʔɐptɪtud
apuhap	ʔɐpuhɐp
apuhap	ʔɐpʊhap
apula	ʔɐpulɐʔ
apula	ʔɐpʊlaʔ
apunta	ʔɐpʊnta
