ԱԱ	ɑɑ́
բունկեր	buŋkéɾ
բունոց	bunótsʰ
բուշտ	buʃt
բուռ	bur
բուռն	búrən
բուսաբան	busɑbɑ́n
բուսաբանական	busɑbɑnɑkɑ́n
բուսաբանություն	busɑbɑnutsʰjún
բուսական	busɑkɑ́n
բուսակեր	busɑkéɾ
բուսակերություն	busɑkeɾutsʰjún
բուսանել	busɑnél
բուսնել	busnél
բուստ	bust
բուտ	but
բուրաստան	buɾɑstɑ́n
բուրբոն	buɾbón
բուրգ	buɾɡ
բուրգեր	buɾɡéɾ
բուրգունդյան	buɾɡundjɑ́n
բուրդ	buɾtʰ
բուրել	buɾél
բուրժուա	buɾʒuɑ́
բուրժուազիա	buɾʒuɑzijɑ́
բուրմունք	buɾmúŋkʰ
բուրում	buɾúm
բուրվառ	buɾvɑ́r
բուք	bukʰ
բոքս	bokʰs
բջիջ	bədʒídʒ
բջջաբան	bədʒədʒɑbɑ́n
բջջաբանական	bədʒədʒɑbɑnɑkɑ́n
բջջաբանություն	bədʒədʒɑbɑnutsʰjún
բջջային	bədʒədʒɑjín
բռի	bərí
բռինչ	bəríntʃʰ
բռնաբար	bərnɑbɑ́ɾ
բռնաբարել	bərnɑbɑɾél
բռնաբարող	bərnɑbɑɾóʁ
բռնաբարություն	bərnɑbɑɾutsʰjún
բռնադատել	bərnɑdɑtél
բռնազավթում	bərnɑzɑftʰúm
բռնակ	bərnɑ́k
բռնակալ	bərnɑkɑ́l
բռնակալություն	bərnɑkɑlutsʰjún
բռնապետ	bərnɑpét
բռնապետություն	bərnɑpetutsʰjún
բռնել	bərnél
բռնոցի	bərnotsʰí
բռնություն	bərnutsʰjún
բռնչի	bərəntʃʰí
բռնցքամարտ	bərəntsʰkʰɑmɑ́ɾt
բռունցք	bərúntsʰkʰ
բվեճ	bəvétʃ
բտել	bətél
բրավո	bəɾɑvó
բրդել	bəɾtʰél
բրդյա	bəɾtʰjɑ́
բրետ	bəɾét
բրետոներեն	bɾetoneɾén
բրեցել	bɾetsʰél
բրեցել	bɾétsʰel
բրթել	bəɾtʰél
բրիգադ	bɾiɡɑ́d
բրինձ	bəɾíndz
բրիչ	bəɾítʃʰ
բրիտանական	bɾitɑnɑkɑ́n
բրիտանացի	bɾitɑnɑtsʰí
բրիտվա	bɾitvɑ́
բրիտվա	bɾítvɑ
բրնձապուր	bəɾəndzɑpúɾ
բրոմ	bɾom
բրոնզ	bəɾónz
բրոշ	bəɾóʃ
բրոունյան	bɾounjɑ́n
բրուտ	bəɾút
բրուցելյոզ	bɾutsʰeljóz
բրուցելոզ	bɾutsʰelóz
բևեռ	bevér
բևեռային	beverɑjín
բևեռացույց	beverɑtsʰújtsʰ
գ	ɡə
գʻ	ɡ̤
գագաթ	ɡɑɡɑ́tʰ
գագաթաժողով	ɡɑɡɑtʰɑʒoʁóv
գագաթնաժողով	ɡɑɡɑtʰnɑʒoʁóv
գադոլինիում	ɡɑdolinijúm
գադոլինիում	ɡɑdolínijum
գազ	ɡɑz
գազալցակայան	ɡɑzɑlətsʰɑkɑjɑ́n
գազախ	ɡɑzɑ́χ
գազային	ɡɑzɑjín
գազան	ɡɑzɑ́n
գազանանոց	ɡɑzɑnɑnótsʰ
գազանություն	ɡɑzɑnutsʰjún
գազար	ɡɑzɑ́ɾ
գազարագույն	ɡɑzɑɾɑɡújn
գազոն	ɡɑzón
գազոնահնձիչ	ɡɑzonɑhəndzítʃʰ
գազօջախ	ɡɑzodʒɑ́χ
գաթա	ɡɑtʰɑ́
գալ	ɡɑl
գալակտիկա	ɡɑlɑktikɑ́
գալակտիկական	ɡɑlɑktikɑkɑ́n
գալար	ɡɑlɑ́ɾ
գալարել	ɡɑlɑɾél
գալարվել	ɡɑlɑɾvél
գալիում	ɡɑlijúm
գալիում	ɡɑlíjum
գալիս	ɡɑlís
գալլերեն	ɡɑlːeɾén
գալյեգո	ɡɑljéɡo
գալուստ	ɡɑlúst
գալստուկ	ɡɑlstúk
գալստուկ	ɡɑləstúk
գահ	ɡɑh
գահակալել	ɡɑhɑkɑlél
գահասրահ	ɡɑhɑsəɾɑ́h
գահավանդ	ɡɑhɑvɑ́nd
գահավանդակ	ɡɑhɑvɑndɑ́k
գահույք	ɡɑhújkʰ
գաղափար	ɡɑʁɑpʰɑ́ɾ
գաղափարագիր	ɡɑʁɑpʰɑɾɑɡíɾ
գաղափարախոս	ɡɑʁɑpʰɑɾɑχós
գաղափարախոսական	ɡɑʁɑpʰɑɾɑχosɑkɑ́n
գաղափարախոսություն	ɡɑʁɑpʰɑɾɑχosutsʰjún
գաղափարապաշտ	ɡɑʁɑpʰɑɾɑpɑ́ʃt
գաղել	ɡɑʁél
գաղթ	ɡɑχtʰ
գաղթել	ɡɑχtʰél
գաղթեցում	ɡɑχtʰetsʰúm
գաղձ	ɡɑʁdz
գաղութ	ɡɑʁútʰ
գաղութատեր	ɡɑʁutʰɑtéɾ
գաղութատիրական	ɡɑʁutʰɑtiɾɑkɑ́n
գաղութատիրություն	ɡɑʁutʰɑtiɾutsʰjún
գաղութարար	ɡɑʁutʰɑɾɑ́ɾ
գաղութացնել	ɡɑʁutʰɑtsʰnél
գաղութացում	ɡɑʁutʰɑtsʰúm
գաղութացվել	ɡɑʁutʰɑtsʰvél
գաղջ	ɡɑʁdʒ
գաղտ	ɡɑχt
գաղտակուր	ɡɑχtɑkúɾ
գաղտնաբառ	ɡɑχtnɑbɑ́r
գաղտնի	ɡɑχtní
գաղտնիք	ɡɑχtníkʰ
գաղտրիկ	ɡɑχtɾík
գամ	ɡɑm
գամակ	ɡɑmɑ́k
գամել	ɡɑmél
գամետ	ɡɑmét
գամփռ	ɡɑ́mpʰər
գայթակղել	ɡɑjtʰɑkəʁél
գայթակղություն	ɡɑjtʰɑkəʁutsʰjún
գայիսոն	ɡɑjisón
գայլ	ɡɑjl
գայլաձուկ	ɡɑjlɑdzúk
գայլաշուն	ɡɑjlɑʃún
գայլենի	ɡɑjlení
գայլիկոն	ɡɑjlikón
գայկա	ɡɑjkɑ́
գայկա	ɡɑ́jkɑ
գայռ	ɡɑjr
գան	ɡɑn
գանգ	ɡɑŋɡ
գանգաթիթեռ	ɡɑŋɡɑtʰitʰér
գանգատ	ɡɑŋɡɑ́t
գանգուր	ɡɑŋɡúɾ
գանգրագեղ	ɡɑŋɡɾɑɡéʁ
գանգրածածկ	ɡɑŋɡɾɑtsɑ́tsk
գանգրածայր	ɡɑŋɡɾɑtsɑ́jɾ
գանգրահեր	ɡɑŋɡɾɑhéɾ
գանգրաձև	ɡɑŋɡɾɑdzév
գանգրամազ	ɡɑŋɡɾɑmɑ́z
գանգրանալ	ɡɑŋɡɾɑnɑ́l
գանգրանման	ɡɑŋɡɾɑnəmɑ́n
գանգրաշուք	ɡɑŋɡɾɑʃúkʰ
գանգրավարս	ɡɑŋɡɾɑvɑ́ɾs
գանգրավոր	ɡɑŋɡɾɑvóɾ
գանգրավուն	ɡɑŋɡɾɑvún
գանգրացնել	ɡɑŋɡɾɑtsʰnél
գանգրացում	ɡɑŋɡɾɑtsʰúm
գանգրացվել	ɡɑŋɡɾɑtsʰvél
գանգրափունջ	ɡɑŋɡɾɑpʰúndʒ
գանգրել	ɡɑŋɡɾél
գանգրենա	ɡɑŋɡɾénɑ
գանգրիկ	ɡɑŋɡɾík
գանգրոց	ɡɑŋɡɾótsʰ
գանգրություն	ɡɑŋɡɾutsʰjún
գանգրվել	ɡɑŋɡəɾvél
գանդոն	ɡɑndón
գանձ	ɡɑndz
գանձապահ	ɡɑndzɑpɑ́h
գանձավոր	ɡɑndzɑvóɾ
գանձատուփ	ɡɑndzɑtúpʰ
գանձարան	ɡɑndzɑɾɑ́n
գանք	ɡɑŋkʰ
գաուչո	ɡɑutʃʰó
գաջ	ɡɑdʒ
գառ	ɡɑr
գառագեղ	ɡɑrɑɡéʁ
գառաժ	ɡɑrɑ́ʒ
գառնանգղ	ɡɑrnɑ́ŋɡəʁ
գառնարած	ɡɑrnɑɾɑ́ts
գառնենի	ɡɑrnení
գառնուկ	ɡɑrnúk
գասկոնցի	ɡɑskontsʰí
գաստնիցա	ɡɑstnitsʰɑ́
գավազան	ɡɑvɑzɑ́n
գավաթ	ɡɑvɑ́tʰ
գավակ	ɡɑvɑ́k
գավառ	ɡɑvɑ́r
գավառական	ɡɑvɑrɑkɑ́n
գավիթ	ɡɑvítʰ
գավոտ	ɡɑvót
գարաժ	ɡɑɾɑ́ʒ
գարեջուր	ɡɑɾedʒúɾ
գարեջրատուն	ɡɑɾedʒəɾɑtún
գարի	ɡɑɾí
գարնային	ɡɑɾnɑjín
գարնանային	ɡɑɾnɑnɑjín
գարշ	ɡɑɾʃ
գարշապար	ɡɑɾʃɑpɑ́ɾ
գարշել	ɡɑɾʃél
գարշելի	ɡɑɾʃelí
գարուն	ɡɑɾún
գափ	ɡɑpʰ
գգվանք	ɡəkʰvɑ́ŋkʰ
գգվել	ɡəkʰvél
գդալ	ɡətʰɑ́l
գդակ	ɡədɑ́k
գդակագործ	ɡədɑkɑɡóɾts
գել	ɡel
գելարան	ɡelɑɾɑ́n
գելել	ɡelél
գելոց	ɡelótsʰ
գեղ	ɡeʁ
գեղագանգուր	ɡeʁɑɡɑŋɡúɾ
գեղագետ	ɡeʁɑɡét
գեղագիտություն	ɡeʁɑɡitutsʰjún
գեղանի	ɡeʁɑní
գեղասահք	ɡeʁɑsɑ́hkʰ
գեղարդ	ɡeʁɑ́ɾtʰ
գեղարվեստական	ɡeʁɑɾvestɑkɑ́n
գեղարվեստականացնել	ɡeʁɑɾvestɑkɑnɑtsʰnél
գեղարքունի	ɡeʁɑɾkʰuní
գեղացի	ɡeʁɑtsʰí
գեղգեղել	ɡeʁɡeʁél
գեղեցիկ	ɡeʁetsʰík
գեղեցկահարմար	ɡeʁetsʰkɑhɑɾmɑ́ɾ
գեղեցկություն	ɡeʁetsʰkutsʰjún
գեղեցկուհի	ɡeʁetsʰkuhí
գեղեցկուհին	ɡeʁetsʰkuhín
գեղձ	ɡeʁdz
գեղձի	ɡeʁdzí
գեղմ	ɡeʁm
գեղմնավոր	ɡeʁmnɑvóɾ
գեղոն	ɡeʁón
գեղջուկ	ɡeʁdʒúk
գեղցի	ɡeχtsʰí
գեյզեր	ɡéjzeɾ
գեն	ɡen
գեներալ	ɡeneɾɑ́l
գեշ	ɡeʃ
գեոլոգիա	ɡejoloɡijɑ́
գեպարդ	ɡepɑ́ɾd
գեջ	ɡedʒ
գես	ɡes
գեստապո	ɡestɑpó
գեստապոյական	ɡestɑpojɑkɑ́n
գետ	ɡet
գետաբերան	ɡetɑbeɾɑ́n
գետակ	ɡetɑ́k
գետակինճ	ɡetɑkíntʃ
գետահովիտ	ɡetɑhovít
գետաձի	ɡetɑdzí
գետառ	ɡetɑ́r
գետափ	ɡetɑ́pʰ
գետին	ɡetín
գետնախնձոր	ɡetnɑχəndzóɾ
գետնահարկ	ɡetnɑhɑ́ɾk
գետնանուշ	ɡetnɑnúʃ
գետնաշարժ	ɡetnɑʃɑ́ɾʒ
գետնառյուծ	ɡetnɑrjúts
գետնասունկ	ɡetnɑsúŋk
գետնից	ɡetnítsʰ
գեր	ɡeɾ
գերագնահատել	ɡeɾɑɡənɑhɑtél
գերագնահատում	ɡeɾɑɡənɑhɑtúm
գերագույն	ɡeɾɑɡújn
գերադրական	ɡeɾɑdɾɑkɑ́n
գերազանց	ɡeɾɑzɑ́ntsʰ
գերազանցություն	ɡeɾɑzɑntsʰutsʰjún
գերակա	ɡeɾɑkɑ́
գերան	ɡeɾɑ́n
գերանդի	ɡeɾɑndí
գերատեսչություն	ɡeɾɑtestʃʰutsʰjún
գերդաստան	ɡeɾdɑstɑ́n
գերեզման	ɡeɾezmɑ́n
գերեզմանաքար	ɡeɾezmɑnɑkʰɑ́ɾ
գերեզմանոց	ɡeɾezmɑnótsʰ
գերել	ɡeɾél
գերեվարել	ɡeɾevɑɾél
գերեվարում	ɡeɾevɑɾúm
գերի	ɡeɾí
գերիշխան	ɡeɾiʃχɑ́n
գերիշխանություն	ɡeɾiʃχɑnutsʰjún
գերիրապաշտություն	ɡeɾiɾɑpɑʃtutsʰjún
գերխնդիր	ɡeɾχəntʰíɾ
գերծել	ɡeɾtsél
գերճշտում	ɡeɾtʃəʃtúm
գերմակ	ɡeɾmɑ́k
գերմանական	ɡeɾmɑnɑkɑ́n
գերմանացի	ɡeɾmɑnɑtsʰí
գերմաներեն	ɡeɾmɑneɾén
գերմանիում	ɡeɾmɑnijúm
գերմանիում	ɡeɾmɑ́nijum
գերմանուհի	ɡeɾmɑnuhí
գերմաստի	ɡeɾmɑstí
գերշուկա	ɡeɾʃukɑ́
գերշտկում	ɡeɾʃətkúm
գերքաղաք	ɡeɾkʰɑʁɑ́kʰ
գզաթ	ɡəzɑ́tʰ
գթալ	ɡətʰɑ́l
գթասիրտ	ɡətʰɑsíɾt
գթություն	ɡətʰutsʰjún
գժանոց	ɡəʒɑnótsʰ
գժտվել	ɡəʒtvél
գի	ɡi
գիժ	ɡiʒ
գիլ	ɡil
գիլաս	ɡilɑ́s
գիլյոտին	ɡiljotín
գիծ	ɡits
գիհի	ɡihí
գիմ	ɡim
գին	ɡin
գինարբու	ɡinɑɾbú
գինարբուք	ɡinɑɾbúkʰ
գինդ	ɡind
գինեմոլ	ɡinemól
գինետուն	ɡinetún
գինի	ɡiní
գինձ	ɡindz
գինով	ɡinóv
գիշակեր	ɡiʃɑkéɾ
գիշատել	ɡiʃɑtél
գիշատիչ	ɡiʃɑtítʃʰ
գիշեր	ɡiʃéɾ
գիշերահավասար	ɡiʃeɾɑhɑvɑsɑ́ɾ
գիշերային	ɡiʃeɾɑjín
գիշերօթիկ	ɡiʃeɾotʰík
գիսակ	ɡisɑ́k
գիսաստղ	ɡisɑ́stəʁ
գիտաժողով	ɡitɑʒoʁóv
գիտական	ɡitɑkɑ́n
գիտակարգ	ɡitɑkɑ́ɾkʰ
գիտակարգային	ɡitɑkɑɾkʰɑjín
գիտակից	ɡitɑkítsʰ
գիտակցաբար	ɡitɑktsʰɑbɑ́ɾ
գիտակցական	ɡitɑktsʰɑkɑ́n
գիտակցականություն	ɡitɑktsʰɑkɑnutsʰjún
գիտակցել	ɡitɑktsʰél
գիտակցորեն	ɡitɑktsʰoɾén
գիտակցություն	ɡitɑktsʰutsʰjún
գիտակցում	ɡitɑktsʰúm
գիտակցվել	ɡitɑktsʰvél
գիտափորձ	ɡitɑpʰóɾtsʰ
գիտելիք	ɡitelíkʰ
գիտեմ	ɡitém
գիտենալ	ɡitenɑ́l
գիտնական	ɡitnɑkɑ́n
գիտություն	ɡitutsʰjún
գիտուն	ɡitún
գիտունիկ	ɡituník
գիր	ɡiɾ
գիրգ	ɡiɾɡ
գիրկ	ɡiɾk
գիրություն	ɡiɾutsʰjún
գիրուկ	ɡiɾúk
գիրք	ɡiɾkʰ
գիրքը	ɡíɾkʰə
գիրքն	ɡiɾkʰn
գլադիատոր	ɡlɑdijɑtóɾ
գլան	ɡəlɑ́n
գլանդ	ɡəlɑ́nd
գլանիկ	ɡəlɑník
գլասնոստ	ɡlɑ́snost
գլաքար	ɡəlɑkʰɑ́ɾ
գլդորել	ɡəldoɾél
գլել	ɡəlél
գլխաբառ	ɡəlχɑbɑ́r
գլխագիր	ɡəlχɑɡíɾ
գլխաշոր	ɡəlχɑʃóɾ
գլխապտույտ	ɡəlχɑpətújt
գլխավոր	ɡəlχɑvóɾ
գլխատառ	ɡəlχɑtɑ́r
գլխատել	ɡəlχɑtél
գլխարկ	ɡəlχɑ́ɾk
գլխարկագործ	ɡəlχɑɾkɑɡóɾts
գլխացավ	ɡəlχɑtsʰɑ́v
գլխովին	ɡəlχovín
գլխուղեղ	ɡəlχuʁéʁ
գլյուոն	ɡljujón
գլոր	ɡəlóɾ
գլորել	ɡəloɾél
գլուխ	ɡəlúχ
գլուխկոտրուկ	ɡəluχkotɾúk
գլտորել	ɡəltoɾél
գծիկ	ɡətsík
գմբեթ	ɡəmbétʰ
գյ	ɡʲ
գյադա	ɡjɑdɑ́
գյազար	ɡjɑzɑ́ɾ
գյավուր	ɡjɑvúɾ
գյափիկ	ɡjɑpʰík
գյոզ	ɡjoz
գյոզալ	ɡjozɑ́l
գյոթ	ɡjotʰ
գյոթվերան	ɡjotʰveɾɑ́n
գյոլ	ɡjol
գյոռ	ɡjor
գյոռբագյոռ	ɡjorbɑɡjór
գյորմամիշ	ɡjoɾmɑmíʃ
գյուղ	ɡjuʁ
գյուղական	ɡjuʁɑkɑ́n
գյուղապետ	ɡjuʁɑpét
գյուղատնտես	ɡjuʁɑtəntés
գյուղատնտեսական	ɡjuʁɑtəntesɑkɑ́n
գյուղատնտեսություն	ɡjuʁɑtəntesutsʰjún
գյուղացի	ɡjuʁɑtsʰí
գյուտ	ɡjut
գյուտարար	ɡjutɑɾɑ́ɾ
գյուրզա	ɡjuɾzɑ́
գնալ	ɡənɑ́l
գնալով	ɡənɑlóv
գնահատական	ɡənɑhɑtɑkɑ́n
գնահատել	ɡənɑhɑtél
գնահատելի	ɡənɑhɑtelí
գնաճ	ɡənɑ́tʃ
գնապիտակ	ɡənɑpitɑ́k
գնարբուկ	ɡənɑɾbúk
գնացուցակ	ɡənɑtsʰutsʰɑ́k
գնացք	ɡənɑ́tsʰkʰ
գնդակ	ɡəndɑ́k
գնդակահարություն	ɡəndɑkɑhɑɾutsʰjún
գնդակով	ɡəndɑkóv
գնդաձև	ɡəndɑdzév
գնդապետ	ɡəndɑpét
գնդացիր	ɡəndɑtsʰíɾ
գնդիկ	ɡəndík
գնդոլորտ	ɡəndolóɾt
գնել	ɡənél
գնհատել	ɡənhɑtél
գնող	ɡənóʁ
գնոստիկ	ɡənostík
գնոստիկական	ɡənostikɑkɑ́n
գնոստիկություն	ɡənostikutsʰjún
գնոստիցիզմ	ɡənostitsʰízm
գնորդ	ɡənóɾtʰ
գնում	ɡənúm
գնչել	ɡəntʃʰél
գնչու	ɡəntʃʰú
գնչուերեն	ɡəntʃʰueɾén
գնչուհի	ɡəntʃʰuhí
գնվածք	ɡənvɑ́tskʰ
գոգ	ɡokʰ
գոգաթիակ	ɡokʰɑtʰijɑ́k
գոգավորվել	ɡokʰɑvoɾvél
գոգել	ɡokʰél
գոգնոց	ɡokʰnótsʰ
գոդի	ɡotʰí
գոթերեն	ɡotʰeɾén
գոթի	ɡotʰí
գոլ	ɡol
գոլանալ	ɡolɑnɑ́l
գոլորշի	ɡoloɾʃí
գոլֆ	ɡolf
գոհ	ɡoh
գոհանալ	ɡohɑnɑ́l
գոհար	ɡohɑ́ɾ
գոհացնել	ɡohɑtsʰnél
գոհացում	ɡohɑtsʰúm
գոհունակություն	ɡohunɑkutsʰjún
գող	ɡoʁ
գողանալ	ɡoʁɑnɑ́l
գողոն	ɡoʁón
գողոնք	ɡoʁóŋkʰ
գողունի	ɡoʁuní
գողտր	ɡóχtəɾ
գողտրիկ	ɡoχtɾík
գոճի	ɡotʃí
գոմ	ɡom
գոմաղբ	ɡomɑ́χp
գոմեշ	ɡoméʃ
գոյ	ɡoj
գոյական	ɡojɑkɑ́n
գոյակցություն	ɡojɑktsʰutsʰjún
գոյանալ	ɡojɑnɑ́l
գոյատևել	ɡojɑtevél
գոյություն	ɡojutsʰjún
գոնադ	ɡonɑ́d
գոնդոլ	ɡondól
գոնե	ɡoné
գոնե	ɡóne
գոչ	ɡotʃʰ
գոչել	ɡotʃʰél
գոչյուն	ɡotʃʰjún
գոչում	ɡotʃʰúm
գոռ	ɡor
գոռալ	ɡorɑ́l
գոռոզ	ɡoróz
գոռոզություն	ɡorozutsʰjún
գոս	ɡos
գով	ɡov
գովազդ	ɡovɑ́zd
գովալ	ɡovɑ́l
գովասան	ɡovɑsɑ́n
գովել	ɡovél
գովեստ	ɡovést
գովք	ɡofkʰ
գոտի	ɡotí
գոտկատեղի	ɡotkɑteʁí
գորգ	ɡoɾɡ
գործ	ɡoɾts
գործադուլ	ɡoɾtsɑdúl
գործազուրկ	ɡoɾtsɑzúɾk
գործազրկություն	ɡoɾtsɑzəɾkutsʰjún
գործածել	ɡoɾtsɑtsél
գործակցություն	ɡoɾtsɑktsʰutsʰjún
գործառնական	ɡoɾtsɑrnɑkɑ́n
գործառնություն	ɡoɾtsɑrnutsʰjún
գործառույթ	ɡoɾtsɑrújtʰ
գործառույթը	ɡoɾtsɑrújtʰə
գործարան	ɡoɾtsɑɾɑ́n
գործարար	ɡoɾtsɑɾɑ́ɾ
գործարկել	ɡoɾtsɑɾkél
գործարք	ɡoɾtsɑ́ɾkʰ
գործել	ɡoɾtsél
գործելաոճ	ɡoɾtselɑvótʃ
գործելի	ɡoɾtselí
գործընթաց	ɡoɾtsəntʰɑ́tsʰ
գործընկեր	ɡoɾtsəŋkéɾ
գործի	ɡoɾtsí
գործիական	ɡoɾtsijɑkɑ́n
գործիչ	ɡoɾtsítʃʰ
գործիք	ɡoɾtsíkʰ
գործիքակազմ	ɡoɾtsikʰɑkɑ́zm
գործնական	ɡoɾtsnɑkɑ́n
գործող	ɡoɾtsóʁ
գործողություն	ɡoɾtsoʁutsʰjún
գործոն	ɡoɾtsón
գործում	ɡoɾtsúm
գործուն	ɡoɾtsún
գործունեություն	ɡoɾtsuneutsʰjún
գործվածք	ɡoɾtsvɑ́tskʰ
գորշ	ɡoɾʃ
գորշավուն	ɡoɾʃɑvún
գորշուկ	ɡoɾʃúk
գորովագին	ɡoɾovɑɡín
գորովել	ɡoɾovél
գորտ	ɡoɾt
գորտնուկ	ɡoɾtnúk
գուավա	ɡuɑvɑ́
գուարանի	ɡuɑɾɑní
գուբ	ɡub
գութ	ɡutʰ
գութան	ɡutʰɑ́n
գուժում	ɡuʒúm
գուլ	ɡul
գուլպա	ɡulpɑ́
գուղձ	ɡuʁdz
գումար	ɡumɑ́ɾ
գումարել	ɡumɑɾél
գումարում	ɡumɑɾúm
գումարտակ	ɡumɑɾtɑ́k
գույժ	ɡujʒ
գույն	ɡujn
գույք	ɡujkʰ
գուն	ɡun
գունագեղ	ɡunɑɡéʁ
գունային	ɡunɑjín
գունատ	ɡunɑ́t
գունդ	ɡund
գուներանգ	ɡuneɾɑ́ŋɡ
գուշակ	ɡuʃɑ́k
գուշակաբար	ɡuʃɑkɑbɑ́ɾ
գուշակել	ɡuʃɑkél
գուշակիչ	ɡuʃɑkítʃʰ
գուշակողական	ɡuʃɑkoʁɑkɑ́n
գուշակություն	ɡuʃɑkutsʰjún
գուշակում	ɡuʃɑkúm
գուշակվել	ɡuʃɑkvél
գուշպ	ɡuʃp
գուպար	ɡupɑ́ɾ
գուջարաթի	ɡudʒɑɾɑ́tʰi
գուռ	ɡur
գուսան	ɡusɑ́n
գուրալ	ɡuɾɑ́l
գուրգուրալ	ɡuɾɡuɾɑ́l
գուրգուրել	ɡuɾɡuɾél
գուրզ	ɡuɾz
գուցե	ɡutsʰé
գռեհիկ	ɡərehík
գռուզ	ɡərúz
գտածո	ɡətɑtsó
գտանք	ɡətɑ́ŋkʰ
գտնել	ɡətnél
գտնվել	ɡətnəvél
գրաբար	ɡəɾɑpʰɑ́ɾ
գրաբարյան	ɡəɾɑpʰɑɾjɑ́n
գրագետ	ɡəɾɑɡét
գրագիտուհի	ɡəɾɑɡituhí
գրադարակ	ɡəɾɑdɑɾɑ́k
գրադարան	ɡəɾɑdɑɾɑ́n
գրադարանավար	ɡəɾɑdɑɾɑnɑvɑ́ɾ
գրադարձել	ɡəɾɑdɑɾtsʰél
գրադարձություն	ɡəɾɑdɑɾtsʰutsʰjún
գրադիենտ	ɡəɾɑdijént
գրադիենտ	ɡɾɑdijént
գրազ	ɡəɾɑ́z
գրախանութ	ɡəɾɑχɑnútʰ
գրախոսություն	ɡəɾɑχosutsʰjún
գրական	ɡəɾɑkɑ́n
գրականագետ	ɡəɾɑkɑnɑɡét
գրականագիտություն	ɡəɾɑkɑnɑɡitutsʰjún
գրականություն	ɡəɾɑkɑnutsʰjún
գրամ	ɡəɾɑ́m
գրամեքենա	ɡəɾɑmekʰenɑ́
գրանիտ	ɡɾɑnít
գրանտ	ɡəɾɑ́nt
գրանտակեր	ɡəɾɑntɑkéɾ
գրանցել	ɡəɾɑntsʰél
գրանցիչ	ɡəɾɑntsʰítʃʰ
գրանցում	ɡəɾɑntsʰúm
գրանցվել	ɡəɾɑntsʰvél
գրառել	ɡəɾɑrél
գրառում	ɡəɾɑrúm
գրասեղան	ɡəɾɑseʁɑ́n
գրասենյակ	ɡəɾɑsenjɑ́k
գրաստ	ɡəɾɑ́st
գրավ	ɡəɾɑ́v
գրավել	ɡəɾɑvél
գրավիտոն	ɡɾɑvitón
գրատախտակ	ɡəɾɑtɑχtɑ́k
գրատուն	ɡəɾɑtún
գրատպություն	ɡəɾɑtputsʰjún
գրացուցակ	ɡəɾɑtsʰutsʰɑ́k
գրաքննություն	ɡəɾɑkʰənːutsʰjún
գրգիռ	ɡəɾɡír
գրգռել	ɡəɾɡərél
գրգռված	ɡəɾɡərvɑ́ts
գրեթե	ɡəɾétʰe
գրել	ɡəɾél
գրելկա	ɡəɾelkɑ́
գրելկա	ɡəɾélkɑ
գրեյպֆրուտ	ɡɾejpfɾút
գրենա	ɡɾenɑ́
գրենական	ɡəɾenɑkɑ́n
գրենական	ɡɾenɑkɑ́n
գրենլանդերեն	ɡɾenlɑndeɾén
գրիժա	ɡɾiʒɑ́
գրիժա	ɡɾíʒɑ
գրիչ	ɡəɾítʃʰ
գրիպ	ɡəɾíp
գրկախառնել	ɡəɾkɑχɑrnél
գրկախառնվել	ɡəɾkɑχɑrnəvél
գրկել	ɡəɾkél
գրկում	ɡəɾkúm
գրյանք	ɡəɾjɑ́ŋkʰ
գրոհ	ɡəɾóh
գրոհային	ɡəɾohɑjín
գրոհել	ɡəɾohél
գրող	ɡəɾóʁ
գրոսմայստեր	ɡɾosmɑjstéɾ
գրություն	ɡəɾutsʰjún
գրույթ	ɡəɾújtʰ
գրչահատ	ɡəɾtʃʰɑhɑ́t
գրչատուփ	ɡəɾtʃʰɑtúpʰ
գրչություն	ɡəɾtʃʰutsʰjún
գրպան	ɡəɾpɑ́n
գրպանահատ	ɡəɾpɑnɑhɑ́t
գրպանի	ɡəɾpɑní
գրտնակ	ɡəɾtnɑ́k
գցել	ɡətsʰél
դ	də
դʻ	d̤
դա	dɑ
դաբաղ	dɑbɑ́ʁ
դաբաղանոց	dɑbɑʁɑnótsʰ
դաբաղխանա	dɑbɑʁχɑnɑ́
դաբիր	dɑbíɾ
դաբրո	dɑbɾó
դագաղ	dɑɡɑ́ʁ
դագանակ	dɑɡɑnɑ́k
դագուր	dɑɡúɾ
դադար	dɑtʰɑ́ɾ
դադարած	dɑtʰɑɾɑ́ts
դադարգյուն	dɑdɑɾɡjún
դադարգուն	dɑdɑɾɡún
դադարել	dɑtʰɑɾél
դադարեցնել	dɑtʰɑɾetsʰnél
դադարեցում	dɑtʰɑɾetsʰúm
դադարեցվել	dɑtʰɑɾetsʰvél
դազգահ	dɑzɡɑ́h
դաժան	dɑʒɑ́n
դաժե	dɑ́ʒe
դաժը	dɑ́ʒə
դալ	dɑl
դալան	dɑlɑ́n
դալար	dɑlɑ́ɾ
դալարի	dɑlɑɾí
դալարուտ	dɑlɑɾút
դալբ	dɑlb
դալբայոբ	dɑlbɑjób
դալկադեմ	dɑlkɑdém
դալուկ	dɑlúk
դակու	dɑkú
դակուր	dɑkúɾ
դահանակ	dɑhɑnɑ́k
դահիճ	dɑhítʃ
դահիրա	dɑhiɾɑ́
դահլիճ	dɑhlítʃ
դահճապետ	dɑhtʃɑpét
դահուկ	dɑhúk
դաղալ	dɑʁɑ́l
դամբան	dɑmbɑ́n
