abadžija	âbadʒija
držak	dr̂ʒak
držati	dřʒati
država	dřʒaʋa
državljanka	dřʒaʋʎaːnka
državljanstvo	dr̩ʒaʋʎǎːnstʋo
državni	dřʒaːʋniː
državnički	dřʒaːʋnitʃki
državnički	dřʒaːʋnitʃkiː
dualizam	dualǐzam
dubina	dubǐna
dubiti	dǔːbiti
dubok	dǔbok
duboko	dubǒko
dubokouman	dûbokouːman
dubrovački	dǔbroʋatʃkiː
dubrovnik	dǔbroːʋniːk
dud	dûd
dug	dûg
dug	dûːg
duga	dǔːga
dugajlija	dugǎjlija
dugačak	dugǎtʃak
dugmad	dûgmaːd
dugo	dûgo
dugokos	dûgokos
dugonog	dugǒnog
dugoročan	dûgorotʃan
dugotrajan	dûgotraːjan
dugotrajno	dûgotraːjno
dugovati	dugǒʋati
dugovečan	dûgoʋetʃan
dugovječan	dûgoʋjetʃan
duh	dûx
duhan	dǔxaːn
duhati	dǔːxati
duhnuti	dǔːxnuti
duhovit	duxǒʋit
duhovnik	duxǒʋniːk
duhovno	dǔxoːʋno
dukat	dǔkaːt
dunav	dǔnaʋ
dunavski	dûnaʋskiː
dunjaluk	duɲǎːluk
dunst	dûnst
dunstati	dûnstati
dunuti	dǔːnuti
dupe	dûpe
dupeglavac	dupěglaʋats
dupence	dupěːntse
dupin	dǔpiːn
dupli	dûpliː
duplikat	duplǐkaːt
dupsti	dûːpsti
durati	dǔrati
durašan	dûraːʃan
duvan	dǔʋaːn
duvar	dûʋaːr
duvati	dǔːʋati
duvnuti	dǔːʋnuti
dućan	dǔtɕaːn
duša	dǔːʃa
dušman	dûʃman
dušman	dǔʃmaːn
dušmanin	dûʃmanin
dušoslovje	duʃoslovje
duž	dûʒ
duž	dûːʒ
dužan	dǔːʒan
dužnik	dǔʒniːk
dužnosnica	dǔːʒnosnitsa
dužnosnik	dǔːʒnosniːk
dužnost	dǔːʒnoːst
dva	dʋâː
dvadeset	dʋǎːdeset
dvadesetak	dʋadesěːtak
dvanaesnik	dʋǎːnaesniːk
dvanaestero	dʋǎːnaestero
dvanaestorica	dʋanaestǒritsa
dvanaestoro	dʋǎːnaestoro
dvaput	dʋǎːput
dvar	dʋar
dve	dʋêː
dveri	dʋêːri
dvesto	dʋêsto
dvica	dʋîtsa
dvije	dʋîje
dvjesto	dʋjêsto
dvoboj	dʋǒboj
dvoglasnik	dʋǒglasniːk
dvogled	dʋôgleːd
dvojba	dʋǒjba
dvojben	dʋǒjben
dvoje	dʋôje
dvojica	dʋǒjitsa
dvojina	dʋojǐna
dvojiti	dʋǒjiti
dvojka	dʋǒːjka
dvojnik	dʋôːjniːk
dvoličan	dʋǒlitʃan
dvoličnica	dʋǒlitʃnitsa
dvoličnik	dʋǒlitʃniːk
dvoličnjak	dʋǒlitʃɲaːk
dvoličnjački	dʋǒlitʃɲatʃki
dvoličnjački	dʋǒlitʃɲatʃkiː
dvoličnost	dʋǒlitʃnoːst
dvor	dʋôːr
dvorac	dʋǒːrats
dvorana	dʋorǎna
dvoranin	dʋǒranin
dvoriti	dʋǒriti
dvorište	dʋǒriːʃte
dvorski	dʋǒrskiː
dvosložan	dʋǒsloʒan
dvosmislen	dʋǒsmislen
dvosmislenost	dʋǒsmislenoːst
dvostruk	dʋǒstruk
dvoumica	dʋǒumitsa
dvousneni	dʋǒusneniː
dvovidan	dʋǒʋiːdan
dvoženstvo	dʋǒʒeːnstʋo
dž	dʒ
džaba	dʒâba
džabe	dʒâbeː
džak	dʒâːk
džamija	dʒǎːmija
džanarika	dʒânarika
dželat	dʒělaːt
džem	dʒêm
džemat	dʒěmaːt
džemper	dʒěmper
dženaza	dʒenǎːza
džep	dʒêp
džepar	dʒêpaːr
dževahir	dʒeʋǎːxir
dževajir	dʒeʋǎːjir
džever	dʒěʋeːr
džez	dʒêz
džibuti	dʒibûti
džidža	dʒǐːdʒa
džigerica	dʒǐgeritsa
džihad	dʒǐxaːd
džin	dʒîn
džins	dʒîːns
džoging	dʒǒging
džoint	dʒǒint
džokej	dʒǒkeːj
džoker	dʒǒker
džudo	dʒûdo
džukela	dʒǔkela
e	e
efekat	ěfekt
efekt	ěfekt
efektan	ěfektan
efektivan	êfektiːʋan
efektno	ěfektno
efektnost	ěfektnoːst
efemeran	êfemeːran
efemerno	êfemeːrno
efemernost	efeměːrnoːst
efendija	efěndija
efikasan	êfikasan
efikasno	êfikasno
egipat	ěgipat
egipatski	ěgipatskiː
egiptolog	egiptǒlog
egipćanin	ěgiptɕanin
ego	êːgo
egocentričan	egotsěntritʃan
egoističan	egoǐstitʃan
egoistički	egoǐstitʃki
egoistički	egoǐstitʃkiː
egoizam	egoǐzam
egzaktan	ěgzaktan
egzaktno	ěgzaktno
egzaltacija	egzaltǎːtsija
egzekucija	egzekǔːtsija
egzekutor	egzěkuːtor
egzemplaran	êgzemplaːran
egzil	ěgziːl
egzistencija	egzistěntsija
egzistencijalan	êgzistentsijaːlan
egzistencijalist	egzistentsijǎlist
egzistencijalistički	egzistentsijalǐstitʃkiː
egzistencijalizam	egzistentsijalǐzam
egzistirati	egzistǐːrati
egzodus	egzǒːdus
egzogamija	egzogǎmija
egzorcist	egzǒrtsist
egzorcizam	egzortsǐzam
egzosfera	egzosfěːra
egzoteričan	egzotěritʃan
egzotika	egzǒtika
egzotičan	egzǒtitʃan
eholalija	exolǎlija
ejakulacija	ejakulǎːtsija
ejakulat	ejakǔlaːt
ekaterinburg	ekǎterinburg
ekavica	ěːkaʋitsa
ekavski	ěːkaʋski
ekavski	ěːkaʋskiː
ekipa	ekǐːpa
eklatantan	eklatǎntan
ekleziologija	ekleziolǒgija
eklipsa	eklǐpsa
eklisiologija	eklisiolǒgija
ekološki	ekǒloʃki
ekološki	ekǒloʃkiː
ekonomičan	ekonǒmitʃan
ekonomično	ekonǒmitʃno
ekonomski	ekǒnomski
ekonomski	ekǒnomskiː
ekosistem	ekosǐsteːm
ekosustav	ekosǔːstaʋ
ekranizacija	ekranizǎːtsija
eks	êks
ekscentrik	ekstsěntrik
ekscentričan	ekstsěntritʃan
ekscentrično	ekstsěntritʃno
ekscentričnost	ekstsěntritʃnoːst
ekscerpt	ěkstserpt
eksces	ěkstses
ekser	ěkser
ekskluzivan	êkskluziːʋan
ekskluzivno	êkskluziːʋno
ekskomunikacija	ekskomunikǎːtsija
ekskrement	ekskrěment
ekspanzija	ekspǎnzija
ekspedicija	ekspedǐːtsija
eksperiment	eksperǐment
ekspert	ěkspert
eksplodirati	eksplodǐːrati
eksplozivan	êksploziːʋan
eksplozivno	êksploziːʋno
eksport	ěksport
ekspresionizam	ekspresionǐzam
ekspresivan	êkspresiːʋan
ekspresivno	êkspresiːʋno
eksproprijacija	eksproprijǎːtsija
ekstatičan	ekstǎtitʃan
ekstatično	ekstǎtitʃno
ekstaza	ekstǎːza
ekstenzivan	êkstenziːʋan
ekstenzivno	êkstenziːʋno
eksterni	ěksteːrniː
ekstrakt	ěkstrakt
ekstravagantan	ekstraʋagǎntan
ekstravagantno	ekstraʋagǎntno
ekstreman	ěkstreːman
ekstremizam	ekstremǐzam
ekstremno	ěkstreːmno
ekumenizam	ekumenǐzam
ekvador	ěkʋaːdor
ekvadorac	ekʋadǒːrats
ekvadorka	ekʋǎdoːrka
ekvadorski	ěkʋaːdorskiː
ekvator	ěkʋaːtor
ekvinocij	ekʋǐnoːtsij
ekvivalentan	ekʋiʋǎlentan
ekvivalentno	ekʋiʋǎlentno
elaborat	elabǒraːt
elastičan	elǎstitʃan
elegantan	elegǎntan
elegantno	elegǎntno
elektrana	elektrǎna
elektricitet	elektritsǐteːt
elektrifikacija	elektrifikǎːtsija
električar	elěktritʃaːr
električni	elěktritʃniː
elektroda	elektrǒːda
elektrolit	elektrǒliːt
elektroliza	elektrolǐːza
elektromagnet	elektromǎgneːt
elektromagnetizam	elektromagnetǐzam
elektromagnetni	elektromǎgneːtniː
elektromagnetski	elektromǎgneːtskiː
elektron	elěktroːn
elektronika	elektrǒnika
elektronski	elěktroːnskiː
elektrotehnika	elektrotěxnika
elemenat	elěmenat
element	elěment
elementaran	êlementaːran
elidirati	elidǐːrati
eliksir	elǐksiːr
eliminacija	eliminǎːtsija
elipsa	elǐpsa
eliptičan	elǐptitʃan
elitni	ěliːtniː
elizija	elǐːzija
elokvencija	elokʋěntsija
elokventan	elokʋěntan
elzas	ělzas
em	em
emancipacija	emantsipǎːtsija
embrij	êmbrij
embrio	êmbrio
embrion	êmbrioːn
emigracija	emigrǎːtsija
emigrant	emǐgrant
eminentan	eminěntan
emocija	emǒːtsija
emocionalan	êmotsionaːlan
emocionalno	êmotsionaːlno
emotivan	êmotiːʋan
empirijski	empǐriːjskiː
enciklopedijski	entsiklopěːdiːjski
enciklopedijski	entsiklopěːdiːjskiː
enciklopedist	entsiklopědist
endogamija	endogǎmija
energetika	energětika
energija	eněrgija
energičan	eněrgitʃan
energično	eněrgitʃno
engleska	ěngleːskaː
engleski	ěngleːski
engleski	ěngleːskiː
engleskinja	ěngleskiɲa
englez	ěngleːz
enigmatičan	enigmǎtitʃan
enklava	enklǎːʋa
enklitika	enklǐtika
entomologija	entomolǒgija
entuzijast	entuzǐjast
entuzijastičan	entuzijǎstitʃan
entuzijastkinja	entuzǐjastkiɲa
entuzijazam	entuzijǎzam
eon	ěoːn
ep	êːp
eparh	ěparx
eparhija	epǎrxija
eparhijski	epǎrxiːjskiː
epenteza	epentěːza
epidemija	epiděmija
epidemijski	epiděmiːjskiː
epifanija	epifǎnija
epigraf	epǐgraf
epigram	epǐgram
epikurejac	epikurěːjats
epikurejski	epikǔreːjski
epikurejski	epikǔreːjskiː
epilepsija	epilěpsija
epileptičan	epilěptitʃan
epileptičar	epilěptitʃaːr
epileptičarka	epilěptitʃaːrka
epileptički	epilěptitʃkiː
epilog	epǐlog
epir	ěpiːr
episkop	ěpiskop
epistemolog	epistemǒlog
epistemologija	epistemolǒgija
epistola	epǐstola
epitaf	epǐtaf
epitet	epǐteːt
epizoda	epizǒːda
epoha	epǒːxa
epohalan	êpoxaːlan
epruveta	epruʋěta
epsilon	ěpsiloːn
era	ěːra
erekcija	erěktsija
erevan	ěreʋaːn
eritreja	eritrěːja
ermenija	ěrmeːnija
erotičan	erǒtitʃan
erotski	ěrotski
erotski	ěrotskiː
erudicija	erudǐːtsija
erudit	erǔdiːt
erupcija	erǔptsija
eruptivan	êruptiːʋan
escajg	êstsajg
esej	ěseːj
esencija	esěntsija
esencijalan	êsentsijaːlan
esencijalno	êsentsijaːlno
eshatolog	esxatǒlog
eshatologija	esxatolǒgija
eshatološki	esxatǒloʃkiː
eskalator	eskǎlaːtor
eskapizam	eskapǐzam
eskimski	ěskiːmskiː
esperanto	esperǎnto
esteticizam	estetitsǐzam
estetika	estětika
estetizam	estetǐzam
estetski	ěsteːtski
estetski	ěsteːtskiː
estonac	estǒːnats
estonija	ěstoːnija
estonski	ěstoːnskiː
estuarij	estǔaːrij
etanol	etǎnoːl
etapa	etǎpa
etaža	etǎːʒa
etika	ětika
etimolog	etimǒlog
etimologija	etimolǒgija
etimološki	etimǒloʃkiː
etiologija	etiolǒgija
etiopija	etiǒpija
etiopljanin	etiǒːpʎanin
etiopski	etǐopskiː
etički	ětitʃkiː
etnologija	etnolǒgija
etnomuzikologija	etnomuzikolǒgija
etologija	etolǒgija
etruščanski	etrǔːʃtʃanskiː
eufemizam	eufemǐzam
euforija	eufǒrija
euforičan	eufǒritʃan
euforično	eufǒritʃno
eulogija	eulǒgija
euro	euro
europa	eurǒːpa
europski	ěuropski
europski	ěuropskiː
eutanazija	eutanǎːzija
evakuacija	eʋakuǎːtsija
evanđelje	eʋǎndʑeːʎe
evanđeoski	eʋandʑeǒski
evanđeoski	eʋandʑeǒskiː
eventualan	êʋentuaːlan
eventualno	êʋentuaːlno
evidentan	eʋiděntan
evidentno	eʋiděntno
evlad	ěʋlaːd
evolucija	eʋolǔːtsija
evolucijski	eʋolǔːtsiːjskiː
evolucionist	eʋolutsiǒnist
evolucionizam	eʋolutsionǐzam
evro	eʋro
evropa	eʋrǒːpa
evropski	ěʋropski
evropski	ěʋropskiː
ezoteričan	ezotěritʃan
ezoterično	ezotěritʃno
ešarpa	ěʃaːrpa
f	f
fabrika	fǎbrika
fabrikant	fabrǐkant
fabrički	fǎbritʃkiː
faca	fâtsa
fajda	fǎjda
fajerunt	fǎjerunt
fajl	fâːjl
fajront	fǎjront
fajrunt	fǎjrunt
fakat	fâkat
fakin	fǎkiːn
fakinarija	fakinǎrija
fakinariti	fakinǎːriti
fakinaža	fakinǎːʒa
fakinka	fakǐːnka
fakinski	fǎkiːnski
fakinski	fǎkiːnskiː
fakinčina	fakǐntʃina
fakinčić	fakǐntʃitɕ
fakir	fǎkiːr
fakirski	fǎkiːrski
fakirski	fǎkiːrskiː
faks	fâks
faksirati	faksǐːrati
fakt	fâkt
faktičan	fǎktitʃan
faktički	fǎktitʃki
faktično	fǎktitʃno
fakultet	fakǔlteːt
fala	fǎːla
faliti	fâliti
faličan	fǎlitʃan
falos	fâlos
falset	fǎlset
falsifikacija	falsifikǎːtsija
falsifikat	falsifǐkaːt
falsifikator	falsifǐkaːtor
falus	fâlus
familija	fǎmiːlija
familijaran	fâmilijaːran
famozan	fâmoːzan
famozno	fâmoːzno
fanatik	fanǎtik
fanatizam	fanatǐzam
fanatičan	fanǎtitʃan
fanatičnost	fanǎtitʃnoːst
fanta	fâːnta
fantastičan	fantǎstitʃan
fantastično	fantǎstitʃno
fantazija	fǎntaːzija
fantazma	fantǎzma
fantazmagorija	fantazmagǒrija
fantitelj	fǎntiteʎ
fantom	fǎntoːm
faraon	farǎoːn
farba	fâːrba
farbati	fâːrbati
farma	fâːrma
farmakolog	farmakǒlog
farmakologija	farmakolǒgija
farmer	fârmer
fasada	fasǎːda
fascikl	fastsǐkl
fascinacija	fastsinǎːtsija
fascinantan	fastsinǎntan
fascinirati	fastsinǐːrati
fatalan	fâtaːlan
fatalist	fatǎlist
fatalistički	fatalǐstitʃki
fatalistički	fatalǐstitʃkiː
fatalistkinja	fatǎlistkiɲa
fatalizam	fatalǐzam
fatalno	fǎtaːlno
fatum	fǎːtum
faustovski	fǎustoʋski
faustovski	fǎustoʋskiː
favorit	faʋǒriːt
faširanac	faʃirǎːnats
fašist	fǎʃist
fašistički	faʃǐstitʃki
fašistički	faʃǐstitʃkiː
fašistkinja	fǎʃistkiɲa
fašizam	faʃǐzam
februar	fêbruaːr
februarski	fêbruarskiː
federacija	federǎːtsija
federalist	federǎlist
federalistički	federalǐstitʃki
federalistički	federalǐstitʃkiː
federalistkinja	federǎlistkiɲa
federalizam	federalǐzam
federalni	fêderaːlan
federativan	fêderatiːʋan
fekalije	fěkaːlije
felacija	felǎːtsija
feljton	fěʎtoːn
feministički	feminǐstitʃki
feministički	feminǐstitʃkiː
feminizam	feminǐzam
fenicija	fenǐːtsija
feniks	fěːniks
feničanin	fenǐːtʃanin
fenički	fěniːtʃkiː
fenjer	fěɲer
fenologija	fenolǒgija
fenomenalan	fênomenaːlan
fercihtati	fertsǐxtati
fergismajniht	fergǐsmajnixt
ferije	fêːrije
ferplej	fêːrplej
fes	fês
feta	fêta
fetiš	fětiʃ
fetišizam	fetiʃǐzam
fetus	fěːtus
feudalac	feudǎːlats
feudalan	fêudaːlan
feudalizam	feudalǐzam
fešta	fêʃta
fibula	fîbula
figura	figǔːra
figurativan	fîguratiːʋan
figurativno	fîguratiːʋno
figurica	figǔːritsa
fijasko	fijǎsko
fijola	fîjola
fikcija	fǐktsija
fiksan	fîksan
fil	fîl
fil	fîːl
filantrop	filǎntrop
filantropija	filantrǒpija
filantropkinja	filǎntropkiɲa
filantropski	filǎntropski
filantropski	filǎntropskiː
filc	fîlts
fildiš	fǐldiʃ
fildžan	fǐldʒaːn
filipini	filipǐːni
filmski	fîlmski
filmski	fîlmskiː
filogeneza	filogěneza
filogenija	filogěːnija
filolog	filǒlog
filologija	filolǒgija
filološki	filǒloʃki
filološki	filǒloʃkiː
filozof	filǒzof
filtar	fǐltar
filter	fǐlter
filtrirati	filtrǐːrati
fin	fîːn
finac	fǐːnats
finale	finǎːle
finalist	finǎlist
finalistkinja	finǎlistkiɲa
finalni	fǐnaːlniː
financije	finǎntsije
financijski	finǎntsiːjski
financijski	finǎntsiːjskiː
financirati	finantsǐːrati
finansije	finǎnsije
finansijski	finǎnsiːjski
finansijski	finǎnsiːjskiː
findžan	fǐndʒaːn
finger	finger
finik	fǐnik
finiti	fǐːniti
finoća	finǒtɕa
finska	fîːnskaː
finski	fîːnskiː
firma	fîːrma
fisija	fǐːsija
fiskalni	fǐskaːlniː
fitilj	fǐtiːʎ
fizika	fǐzika
fiziolog	fiziǒlog
fiziologija	fiziolǒgija
fiziološki	fiziǒloʃki
fiziološki	fiziǒloʃkiː
fizioterapeut	fizioterapěut
fizioterapeutkinja	fizioterapěutkiɲa
fizioterapeutski	fizioterapěutski
fizioterapeutski	fizioterapěutskiː
fizioterapija	fizioterǎpija
fizioterapijski	fizioterǎpiːjskiː
fizički	fǐzitʃkiː
fišek	fǐʃek
fišeklija	fiʃěklija
fišekluk	fiʃěkluk
fištar	fîʃtar
fjaka	fjâka
fjord	fjôrd
flajš	flâjʃ
flamanski	flǎmaːnski
flamanski	flǎmaːnskiː
flatulencija	flatulěntsija
flauta	flǎuta
flautaš	flaǔtist
flautist	flaǔtist
flaša	flâʃa
flaširati	flaʃǐːrati
flebitis	flebǐtis
flegma	flěgma
flegmatičan	flegmǎtitʃan
flegmatično	flegmǎtitʃno
flek	flêk
fleka	flêka
fleksibilan	flêksibiːlan
fleksibilno	flêksibiːlno
fleksija	flěksija
flert	flêrt
flertovati	flêrtoʋati
flora	flôːra
florida	flǒrida
floskula	flôskula
flota	flôta
fluid	flûiːd
fluidan	flûiːdan
fluks	flûks
fluktuacija	fluktuǎːtsija
fluktuirati	fluktuǐːrati
fluorescencija	fluorestsěntsija
fluorescentan	fluorestsěntan
fluorid	fluǒriːd
fluvijalan	flûʋijaːlan
foaje	foǎjeː
fobija	fǒbija
foka	fôka
fokus	fǒːkus
fokusirati	fokusǐːrati
folklor	fǒlkloːr
folklorist	folklǒrist
folkloristika	folklorǐstika
fon	fôːn
fondacija	fondǎːtsija
fonem	fǒneːm
fonemski	fǒneːmskiː
fonetički	fonětitʃkiː
fonetski	fǒnetskiː
fonograf	fonǒgraf
fonolog	fonǒlog
fonologija	fonolǒgija
fonološki	fonǒloʃkiː
fontana	fǒntaːna
forca	fôːrtsa
forint	fǒriːnt
forinta	forǐːnta
forma	fôːrma
formacija	formǎːtsija
formalan	fǒrmaːlan
formalist	formǎlist
formalistički	formalǐstitʃki
formalizam	formalǐzam
formalno	fǒrmaːlno
formalnost	formǎːlnoːst
formant	fǒrmant
formirati	formǐːrati
formulacija	formulǎːtsija
formulirati	formulǐːrati
fortifikacija	fortifikǎːtsija
forum	fǒːrum
forši	forʃi
foršpan	fǒrʃpan
fosfor	fôsfor
fosforni	fôsfoːrniː
fosil	fǒsiːl
fosilni	fǒsiːlniː
fotka	fôtka
fotoaparat	fotoapǎraːt
fotogeničan	fotogěnitʃan
fotograf	fotǒgraf
fotografija	fotogrǎfija
fotomontaža	fotomontǎːʒa
fotoreportaža	fotoreportǎːʒa
fotoreporter	fotorepǒrteːr
fotorobot	fotorǒbot
fotosinteza	fotosintěːza
fotoćelija	fototɕělija
fragilan	frâgiːlan
fragment	frǎgment
fragmentaran	frâgmentaːran
frajer	frâjer
framason	framǎsoːn
franački	frânatʃkiː
francuska	frǎntsuːskaː
francuski	frǎntsuːski
francuski	frǎntsuːskiː
francuskinja	frǎntsuskiɲa
francuz	frǎntsuːz
fratar	frâːtar
fratricid	fratrǐtsiːd
frazeologija	frazeolǒgija
fregata	fregǎta
frekventan	frekʋěntan
frend	frênd
frendica	frênditsa
frenetičan	frenětitʃan
frenđija	frěndʑija
freska	frêska
frigati	frîgati
frigidan	frǐgiːdan
frikativ	frîkatiːʋ
frikcija	frǐktsija
frivolan	frîʋoːlan
frivolno	frîʋoːlno
friz	frîːz
frižider	friʒǐdeːr
frkati	fřːkati
front	frônt
frontalan	frǒntaːlan
frontalno	frǒntaːlno
fruktoza	fruktǒːza
frumantin	frumǎntiːn
frustracija	frustrǎːtsija
frustriran	frǔstriːran
fudbal	fûdbaːl
fudbaler	fudbǎleːr
fuga	fûga
fuga	fǔːga
fuj	fuj
fukara	fukǎra
fukara	fûkara
fukati	fûkati
fumar	fǔmaːr
fumati	fǔmati
fundamentalan	fûndamentaːlan
fundamentalistički	fundamentalǐstitʃkiː
fundamentalizam	fundamentalǐzam
funkcija	fǔnktsija
funkcionalan	fûnktsionaːlan
funkcionalizam	funktsionalǐzam
funkcionalno	fǔnktsionaːlno
funkcionirati	funktsionǐːrati
funta	fûːnta
furiozan	fûrioːzan
furiozno	fûrioːzno
furnir	fǔrniːr
furundžija	furǔndʒija
fusnota	fûsnoːta
futur	fǔtuːr
futurist	futǔrist
futuristički	futurǐstitʃki
futuristički	futurǐstitʃkiː
futuristkinja	futǔristkiɲa
futurizam	futurǐzam
g	g
gablec	gǎblets
gabon	gǎboːn
gabor	gâːbor
gabula	gâbula
gadan	gǎdan
gaditi	gâditi
gaj	gâːj
gajba	gâːjba
gajde	gâːjde
gajica	gǎjitsa
gajtan	gǎjtan
gakati	gǎːkati
gaknuti	gǎːknuti
gaktati	gâktati
gal	gâːl
galaktika	galǎktika
galama	galǎːma
galamiti	galǎːmiti
galantan	galǎntan
galantno	galǎntno
galantnost	galǎntnoːst
galeb	gâleːb
galebica	gâlebitsa
galeblji	gâlebʎiː
galge	gâːlge
galica	gâlitsa
galicija	gǎliːtsija
galicijski	gǎliːtsiːjskiː
galija	gǎlija
galjan	gǎʎan
galop	gǎlop
galski	gâːlskiː
galženjak	galʒěɲaːk
gama	gâma
gamad	gâmaːd
gambija	gǎmbija
gana	gâna
ganac	gǎːnats
gandža	gândʒa
gandža	gâːndʒa
ganeš	ganêʃ
gangster	gǎngster
gangsterski	gǎngsterski
gangsterski	gǎngsterskiː
ganjak	gǎɲak
ganjati	gǎːɲati
ganski	gâːnskiː
ganuti	gǎnuti
ganutljiv	ganǔtʎiʋ
ganutljivo	ganǔtʎiʋo
gao	gâːo
garancija	garǎntsija
garant	gǎrant
garantirati	garantǐːrati
garantovati	gǎrantoʋati
garaža	garǎːʒa
garbagologija	garbagolǒgija
garda	gâːrda
garderoba	garderǒːba
garnitura	garnitǔːra
gas	gâːs
gasiti	gǎːsiti
gasnuti	gâsnuti
gat	gât
gavez	gâʋeːz
gavran	gâʋraːn
gaz	gâːz
gaza	gǎːza
gaziti	gâziti
gaće	gâtɕe
gaćice	gâtɕitse
gaćnik	gâtɕniːk
gađati	gǎːdʑati
gađenje	gâdʑeːɲe
gda	gdaː
gdaj	gdaːj
gde	gdê
gdegde	gděgde
gdekad	gděkad
gdje	gdjê
gdjegdje	gdjěgdje
gdjekad	gdjěkad
gdo	gdoː
gegati	gěːgati
gej	gêːj
gejša	gêːjʃa
gemišt	gěmiʃt
genealogija	genealǒgija
generacija	generǎːtsija
general	geněraːl
generalan	gêneraːlan
generalica	generǎlitsa
genetika	genětika
genetičar	genětitʃaːr
genetički	genětitʃkiː
genij	gêːniːj
genijalan	gênijaːlan
genijalno	gênijaːlno
genijalnost	genijǎːlnoːst
genitivni	gênitiːʋniː
genom	gěnoːm
geografija	geogrǎfija
geografski	geǒgrafski
geografski	geǒgrafskiː
geometrijski	geomětriːjskiː
geomorfologija	geomorfolǒgija
geopolitika	geopolǐtika
gerijatrija	gerijǎtrija
gerijatrijski	gerijǎtriːjskiː
gerilac	gerǐːlats
german	gěrmaːn
germanizirati	germanizǐːrati
germanski	gěrmaːnskiː
gerontofobija	gerontofǒbija
gerontologija	gerontolǒgija
geslo	gêslo
geto	gêto
getriba	getrǐːba
gib	gîːb
gibak	gîbak
gibanica	gǐbanitsa
gibati	gǐːbati
gibraltar	gǐbraltaːr
gibraltarski	gǐbraltarskiː
gic	gîts
gica	gǐːtsa
gigabajt	gîgabaːjt
gigametar	gîgametar
gigant	gǐgant
gigantski	gǐgantskiː
gilgameš	gǐlgameʃ
giljotina	gǐʎotina
giljotinirati	giʎotinǐːrati
gimnastika	gimnǎstika
gimnazija	gǐmnaːzija
ginekolog	ginekǒlog
ginekologija	ginekolǒgija
ginekološki	ginekǒloʃki
ginekološki	ginekǒloʃkiː
gingivitis	gingiʋǐtis
ginko	gǐːnko
ginuti	gînuti
gips	gîps
gitarski	gǐtaːrskiː
glacijacija	glatsijǎːtsija
glacijalan	glâtsijaːlan
glad	glâːd
gladak	glâdak
gladan	glǎːdan
gladijator	gladǐjaːtor
gladijatorski	gladǐjaːtorski
gladijatorski	gladǐjaːtorskiː
gladiti	glâditi
glagol	glâgol
glagolj	glǎːgoʎ
glagoljati	glagǒʎati
glagoljaški	glagǒʎaːʃki
glagoljaški	glagǒʎaːʃkiː
glagoljica	glagǒʎitsa
glagoljički	glagǒʎitʃkiː
glagoljski	glâgoʎskiː
glagolski	glâgolskiː
glamur	glǎmuːr
glanc	glânts
glancati	glâːntsati
glas	glâːs
glasan	glâsan
glasati	glǎsati
glasač	glǎsaːtʃ
glasačica	glasǎtʃitsa
glasina	glǎsina
glasiti	glǎːsiti
glasnik	glâːsniːk
glasno	glâsno
glasnogovornik	glasnogoʋǒrniːk
glasnost	glâsnoːst
glasnoća	glasnǒtɕa
glasonoša	glasǒnoʃa
glasovati	glâsoʋati
glasovir	glâsoʋiːr
glasovit	glasǒʋit
glava	glǎːʋa
glavar	glǎʋaːr
glavat	glǎʋat
glavetina	glaʋětina
glavešina	glaʋěʃina
glavica	glǎʋitsa
glavić	glǎʋiːtɕ
glavni	glǎʋniː
glavnica	glǎʋnitsa
glavnina	glaʋnǐna
glavobolja	glaʋǒboʎa
glavolomka	glaʋǒlomka
glavonja	glǎːʋoɲa
glavonožac	glavonoːʒats
glavonožac	glavǒnoʒats
glavurda	glǎʋuːrda
glazba	glǎzba
glazben	glǎzben
glazbenica	glǎzbenitsa
glazbenik	glǎzbeniːk
gle	glê
gledalac	glědalats
gledatelj	glědateʎ
gledati	glêdati
glede	glêde
gledište	glêdiːʃte
glečer	glêtʃer
gležanj	glêʒaɲ
glib	glîːb
glibav	glîbaʋ
glibovit	glibǒʋit
glicerin	glitsěriːn
glina	glǐːna
glinast	glînast
glinen	glǐnen
glinovit	glinǒʋit
glista	glǐːsta
gljivar	gʎǐʋaːr
globa	glǒba
globalan	glǒbaːlan
globalizacija	globalizǎːtsija
globalno	glǒbaːlno
globalnost	globǎːlnoːst
globiti	glǒbiti
globus	glǒːbus
glodati	glǒdati
glodavac	glôdaʋats
glodač	glǒdaːtʃ
glog	glôg
glogov	glǒgoʋ
glogovik	glogǒʋiːk
glogovina	glǒgoʋina
glomazan	glômaːzan
glomazno	glômaːzno
glomaznost	glômaːznoːst
glorificirati	glorifitsǐːrati
glorifikacija	glorifikǎːtsija
glosar	glǒsaːr
glotalan	glôtaːlan
glubina	glubǐna
gluh	glûːx
gluhan	glǔxan
gluhonijem	glûxonijeːm
gluhoća	gluxǒtɕa
glumiti	glǔːmiti
glup	glûːp
glupan	glǔpan
glupav	glûpaʋ
glupača	glǔpatʃa
glupost	glǔːpoːst
gluv	glûːʋ
gluvoća	gluʋǒtɕa
gmaz	gmâːz
gmizati	gmîzati
gmizavac	gmîzaʋats
gnajs	gnâjs
gnevan	gněːʋan
gnevno	gnêːʋno
gnezdo	gněːzdo
gnijezdo	gnjěːzdo
gnjat	gɲâːt
gnjavator	gɲǎʋaːtor
gnjaviti	gɲǎːʋiti
gnjetao	gɲetao
gnjetel	gɲetel
gnjeteo	gɲeteo
gnjevan	gɲěːʋan
