অ	a
খাজনা	kʰadʑnaˑ
খাজনা	kʰadʒnaˑ
খাজনা	kʰaznaˑ
খাট	kʰäːʈ̟
খাড়া	kʰaɹaˑ
খাড়া	kʰaɽaˑ
খাড়া	kʰaɾaˑ
খাতা	kʰat̪aˑ
খাতির	kʰat̪iɹ
খাতির	kʰat̪iɾ
খাদেম	kʰad̪em
খান	klan
খান	kʰan
খান	kʰaːn
খানকি	kʰankiˑ
খানকি	kˈʌnki
খানদান	kʰand̪an
খানা	kʰanaˑ
খাব	kabo
খাবার	kʰabaɹ
খাবার	kʰabaɾ
খাবি	kabiː
খাবে	kabe
খাবেন	kʰabɛn
খাম	tam
খামাখা	kʰamakʰaˑ
খায়েশ	kʰae̯ʃ
খারাপ	kʰaɹap
খারাপ	kʰaɾap
খারাব	kʰaɹab
খারাব	kʰaɾab
খাল	kʰal
খালি	kʰaliˑ
খালেদ	kʰaled̪
খাসী	kʰaʃiˑ
খাহেশ	kʰaɦeʃ
খায়	kʰaː˥˩
খিদা	kʰid̪aˑ
খিলান	kilan
খুজুটিপাড়া	kʰudʑutipaɹaˑ
খুজুটিপাড়া	kʰudʒuʈipaɽaˑ
খুজুটিপাড়া	kʰudʒuʈipaɾaˑ
খুব	kʰub
খুব	kʰuːb
খুবসুরত	kʰubsuɹɔt̪
খুবসুরত	kʰubsuɾɔt̪
খুবসুরতি	kʰubʃuɹot̪iˑ
খুবসুরতি	kʰubʃuɾot̪iˑ
খুলনা	xʊlna
খুশকি	kʰuʃkiˑ
খুশবু	kʰuʃbuˑ
খুশি	kʰuʃiˑ
খুষি	kʰuʃi
খেও	kio
খেজুর	kidʒuɾ
খেত	kʰet̪
খেতে	kete
খেদমত	kʰed̪mɔt̪
খেয়ানত	kʰeanɔt̪
খেয়াল	kʰeal
খেলনা	kʰælnaˑ
খেলা	kælɑ
খেয়ে	kʰeː
খৈ	kɔʎ
খোঁজা	koʒa
খোঁজা	kʰodʑaˑ
খোঁজা	kʰõdʑaˑ
খোঁজা	kʰõdʒaˑ
খোঁড়া	kʰoɽ̟a
খোঁড়ানো	kʰoɽ̟ano
খোঁপা	kʰõpa
খোকা	kˈuka
খোদ	kʰod̪
খোদ	xod̪
খোয়াব	kʰo̯ab
খোলা	kʰola
খোশ	kʰoʃ
খোশ	kʰoːʃ
খ্রিস্ট	kʰɹistoˑ
খ্রিস্ট	kʰɹiʃtoˑ
খ্রিস্ট	kʰɾiʂʈoˑ
খ্রিস্টধর্ম	kʰɹistɔd̪ʱɔɹmoˑ
খ্রিস্টধর্ম	kʰɾisʈɔd̪ʱɔɾmoˑ
খ্রিস্টধর্ম	kʰɾiʂʈɔd̪ʱɔɾmoˑ
খ্রিস্টান	kʰɹistan
খ্রিস্টান	kʰɹiʃtan
খ্রিস্টান	kʰɾiʂʈan
গ	gɔ
গগন	gɔgon
গঙ্গা	gõŋga
গঙ্গা	gɔŋgaˑ
গঙ্গোপাধ্যায়	gɔŋgopad̪ʱːae̯
গজল	gɔdʑol
গজল	gɔdʒol
গজল	gɔzol
গঞ্জ	gɔndʑ
গঞ্জ	gɔndʒ
গঠন	gɔtʰɔn
গঠন	gɔʈʰɔn
গড়	gɔɹ
গড়	gɔɽ
গড়াই	ɣoɾai
গণ	gɔn
গণতন্ত্র	gɔnot̪ɔnt̪ːɹoˑ
গণতন্ত্র	gɔnot̪ɔnt̪ːɾoˑ
গণতান্ত্রিক	gɔnot̪ant̪ːɹik
গণতান্ত্রিক	gɔnot̪ant̪ːɾik
গণনা	gɔnonaˑ
গণপ্রজাতন্ত্রী	gɔnopɹodʑat̪ɔnt̪ːɹiˑ
গণপ্রজাতন্ত্রী	gɔnopɾodʒat̪ɔnt̪ːɾiˑ
গণহত্যা	gɔnoɦot̪ːaˑ
গণেশ	gɔneʃ
গণ্ডার	gɔndaɹ
গণ্ডার	gɔɳɖaɾ
গতি	gɔt̪iˑ
গতিধারা	gt̪iːd̪ʱaɾa
গতিবেগ	gɔt̪ibeg
গদ্দার	gɔd̪ːaɹ
গদ্দার	gɔd̪ːaɾ
গন্ডার	gɔndaɹ
গন্ডার	gɔndaɾ
গন্ডার	gɔɳɖaɾ
গন্ধ	gɔnd̪ʱoˑ
গপ	gɔp
গভীর	gobʱiɹ
গভীর	gobʱiɾ
গভীর	goviɹ
গভীর	goviɾ
গম	gɔm
গয়না	gɔe̯naˑ
গয়না	gɔjna
গরম	gɔɹom
গরম	gɔɾom
গরমকাল	gɔɹomkal
গরমকাল	gɔɾomkal
গরিলা	goɹilaˑ
গরিলা	goɾilaˑ
গরীব	goɹib
গরীব	goɾib
গরু	goɹuˑ
গরু	goɾuˑ
গরুড়	goɾuɹ
গরুড়	goɾuɽ
গর্ত	gɔɾt̪oˑ
গর্দান	gɔɹd̪an
গর্দান	gɔɾd̪an
গর্ব	gɔrbo
গল	gɔl
গলা	gɔlaˑ
গলি	goliˑ
গল্প	gɔlpo
গল্প	gɔlpoˑ
গহনা	gɔɦonaˑ
গহির	goɦiˑɾ
গহির	gɔ̝̜ɦiˑɾ
গা	da
গা	gaˑ
গাঁ	gaˑ
গাঁ	gãˑ
গাঁইয়া	gai̯aˑ
গাঁইয়া	gãi̯aˑ
গাঁও	gao̯
গাঁও	gãoˑ
গাঁওয়ালী	gao̯aliˑ
গাঁওয়ালী	gão̯aliˑ
গাঁজা	gadʑaˑ
গাঁজা	gãdʒaˑ
গাঁট	gat
গাঁট	gãʈ
গাই	gai̯
গাওয়া	gao̯aˑ
গাওয়া	gau̯a
গাঙ্গেয়	gaŋgeoˑ
গাছ	gas
গাছ	gatɕ
গাছ	gatʃ
গাছপালা	katʃpala
গাজর	gadʑoɹ
গাজর	gadʒoɾ
গাজী	gadʑiˑ
গাজী	gadʒiˑ
গাড়া	gaɹaˑ
গাড়া	gaɽaˑ
গাড়া	gaɾaˑ
গাড়ি	gaɹiˑ
গাড়ি	gaɽiˑ
গাড়ি	gaɾiˑ
গাড়ি	gˈaɾi
গাড়ী	gaɽ̟i
গাঢ়	gaɹoˑ
গাঢ়	gaɽoˑ
গাঢ়	gaɽʱoˑ
গাঢ়	gaɾɦoˑ
গান	gan
গান্ধী	gand̪ʱiˑ
গাভিন	gabʱin
গামছা	gamtɕʰaˑ
গামছা	gamtʃʰaˑ
গামছা	gmtʃʰa
গামলা	amla
গামলা	gamlaˑ
গারবা	gaɹbaˑ
গারবা	gaɾbaˑ
গাল	gal
গালি	galiˑ
গালিচা	galitɕaˑ
গালিচা	galitʃaˑ
গাড়ি	gaɾi
গিজার	gid̪ʒaɾ
গিজার	gizaɾ
গিটার	gitaɹ
গিটার	giʈaɾ
গিনি	vini
গিফট	gˈɪft
গির্জা	giɹdʑaˑ
গির্জা	giɾdʒaˑ
গু	guˑ
গু	gˈu
গুঁড়া	gũɽa
গুঁড়ি	guɾi
গুইমারা	gujmaɾa
গুগল	gugloˑ
গুগল	gugɔl
গুজরাত	gudʑɹat̪
গুজরাত	gudʒɾat̪
গুণা	gunaˑ
গুদাম	gud̪am
গুন	ˈun
গুনাগার	gunagaɹ
গুনাগার	gunagaɾ
গুনাহ	gunaˑ
গুপ্ত	gupt̪oˑ
গুফা	gufaˑ
গুম	gum
গুমোট	gumot
গুমোট	gumoʈ
গুম্ফা	gumfaˑ
গুরু	guɹuˑ
গুরু	guɾuˑ
গুরুত্ব	guɹut̪ːoˑ
গুরুত্ব	guɾut̪ːoˑ
গুরুত্বপূর্ণ	guɹut̪ːɔpuɹnoˑ
গুরুত্বপূর্ণ	guɾut̪ːɔpuɾnoˑ
গুল	gul
গুলজার	gulzaɹ
গুলজার	gulzaɾ
গুলদাস্তা	gul̪d̪ast̪aˑ
গুলবনফ্‌শা	gulbɔnofʃaˑ
গুলশান	gulʃan
গুলি	guliˑ
গুলিবিদ্ধ	gulibidˈo
গুলিস্তান	gulist̪an
গুহা	guɦaˑ
গৃহ	gɹiɦoˑ
গৃহ	gɾiɦoˑ
গৃহিণী	gɾixini
গেঁয়ো	geoˑ
গেঁয়ো	gẽe̯oˑ
গেছে	getʃe
গেঞ্জি	gendʑiˑ
গেঞ্জি	gendʒiˑ
গেঞ্জি	genziˑ
গেরাম	geɹam
গেরাম	geɾam
গেলা	gela
গেলাম	gɛlam
গেলি	gæli
গৈরিক	goi̯ɹik
গৈরিক	goi̯ɾik
গোখরা	gukra
গোনা	gona
গোনা	guna
গোপাল	gopal
গোফা	gofäˑ
গোফা	gopʰäˑ
গোফা	goɸäˑ
গোবর	gɔboɹ
গোবর	gɔboɾ
গোমূত্র	gomut̪ːɹoˑ
গোমূত্র	gomut̪ːɾoˑ
গোয়া	go̯aˑ
গোয়েন্দা	goend̪aˑ
গোরু	goɹuˑ
গোরু	goɾuˑ
গোলক	gɔlɔk
গোলন্দাজ	golɔnd̪adʑ
গোলন্দাজ	golɔnd̪adʒ
গোলপাতা	golpatːa
গোলাপ	golap
গোলাপজল	golapdʑɔl
গোলাপজল	golapdʒɔl
গোলাম	golam
গোশত	gɔst̪oˑ
গোশত	gɔʃt̪
গোশত	gɔʃt̪oˑ
গোষ্ঠী	gostʰiˑ
গোষ্ঠী	goʂʈʰiˑ
গোষ্ঠী	goʃtʰiˑ
গোসল	gosol
গোসাঁই	goʃai̯
গোসাঁই	goʃãiˑ
গোস্বামী	goʃːamiˑ
গৌড়	gou̯ɹ
গৌড়	gou̯ɽ
গৌতম	gou̯t̪om
গৌরব	gˈoʊɹˈɑb
গ্যাস	gæʃ
গ্যাস	gɛʃ
গ্রন্থাগার	gɹont̪ʰagaɹ
গ্রন্থাগার	gɾont̪ʰagaɾ
গ্রন্থি	gɹɔnt̪ʰiˑ
গ্রন্থি	gɾɔnt̪ʰiˑ
গ্রহ	gɹoɦoˑ
গ্রহ	gɾoɦoˑ
গ্রাম	gɹam
গ্রাম	gɾam
গ্রাহিকা	gɾahika
গ্রিসের	gɾiseɾ
গ্রীবা	griba
গ্রীষ্ম	gɹiʃːoˑ
গ্রীষ্ম	gɾiʃːoˑ
গ্রীষ্মকাল	gɾiʃmokalː
গ্রীসের	gɾisˈeɾ
গ্রেপ্তার	gɹept̪aɹ
গ্রেপ্তার	gɾept̪aɾ
গ্রেফতার	gɹeft̪aɹ
গ্রেফতার	gɾeft̪aɾ
গ্লাস	glaʃ
গ্লোব	glob
ঘ	gɔ
ঘটা	gʱɔʈa
ঘটানো	gʱɔʈano
ঘড়ি	gʱoɹiˑ
ঘড়ি	gʱoɽiˑ
ঘড়ি	gʱoɾiˑ
ঘণ্টা	gʱɔntaˑ
ঘণ্টা	gʱɔɳʈaˑ
ঘর	gʱɔɹ
ঘর	gʱɔɾ
ঘষা	gʱɔʃaˑ
ঘাঁটা	gʱãʈ̟ɑˑ
ঘাড়	gʱaɹ
ঘাড়	gʱaɽ
ঘাম	gʱam
ঘামা	gʱama
ঘামানো	gʱamano
ঘি	gʱiˑ
ঘুড়ি	gʱuɹiˑ
ঘুড়ি	gʱuɽiˑ
ঘুড়ি	gʱuɾiˑ
ঘুমা	guma
ঘুমাই	gumai
ঘুমাও	gʱumaw
ঘুমাক	gumak
ঘুমান	gʱumɑːn
ঘুমানো	gʱumano
ঘুমালে	gʱuməle
ঘুমিয়ে	bʱumie
ঘৃণা	gʱɹinaˑ
ঘৃণা	gʱɾinaˑ
ঘেঁষা	gʱæ̃ʃaˑ
ঘেঁষা	gʱɛʃaˑ
ঘেয়ো	gɛɔ
ঘেরা	gʱeraˑ
ঘোঙ্গা	gʱoŋgäˑ
ঘোমটা	gʱomtaˑ
ঘোমটা	gʱomtɕa
ঘোমটা	gʱomʈaˑ
ঘোরা	gʱora
ঘোষ	gʱoʃ
ঘোষ	gʱoːs̠
ঘোষাল	gʱos̠äˑl
ঘোষাল	gʱoʃal
ঘৌ	gˈoʊ
চ	tɕɔː
চ	tɕɔˑ
চ	tʃa
চ	tʃɔː
চ	tʃɔˑ
চউখ	sɔux
চউখ	t̪sɔuk
চওড়া	tɕɔo̯ɹaˑ
চওড়া	tʃɔo̯ɽaˑ
চওড়া	tʃɔo̯ɾaˑ
চওড়া	tʃoɾa
চকলেট	tɕɔklet
চকলেট	tɕɔkolet
চকলেট	tʃɔkleʈ
চকলেট	tʃɔkoleʈ
চক্র	tɕɔkɹoˑ
চক্র	tʃɔkɾoˑ
চক্রবর্তী	tɕɔkɹɔboɹt̪iˑ
চক্রবর্তী	tʃɔkɾɔboɾt̪iˑ
চচ্চড়ি	tɕɔtɕːoɹiˑ
চচ্চড়ি	tʃɔtʃːoɽiˑ
চচ্চড়ি	tʃɔtʃːoɾiˑ
চট্টগ্রাম	tɕɔtːogɹam
চট্টগ্রাম	tʃɔʈːogɾam
চট্টোপাধ্যায়	tɕɔtːopad̪ʱːae̯
চট্টোপাধ্যায়	tʃɔʈːopad̪ʱːae̯
চড়	tʃɔɽ̟
চড়া	tɕɔɹaˑ
চড়া	tʃoɾa
চড়া	tʃɔɽaˑ
চড়া	tʃɔɾaˑ
চড়াই	tʃɔɽai̯
চন্দন	tɕɔnd̪ɔn
চন্দন	tʃɔnd̪ɔn
চন্দ্র	tɕɔnd̪ːɹoˑ
চন্দ্র	tʃɔnd̪ːɾoˑ
চন্দ্রগ্রহণ	tɕɔnd̪ːɹɔgɹɔɦon
চন্দ্রগ্রহণ	tʃɔnd̪ːɾɔgɾɔɦon
চন্দ্রবিন্দু	tɕɔnd̪ːɹobind̪uˑ
চন্দ্রবিন্দু	tʃɔnd̪ːɾobind̪uˑ
চন্দ্রমুখী	t̪sɔ̃n̪d̪ɾɔmukʰi
চব্বিশ	tɕobːiʃ
চব্বিশ	tʃobːiʃ
চমক	tʃoˈmok
চম্পা	tɕɔmpaˑ
চম্পা	tʃɔmpaˑ
চমৎকার	tɕɔmɔt̪kaɹ
চমৎকার	tʃɔmɔt̪kaɾ
চরম	tɕɔɹom
চরম	tʃaɾom
চরম	tʃɔɾom
চরাচর	tʃoɾatʃoɾ
চর্বি	tɕoɹbiˑ
চর্বি	tʃoɾbiˑ
চর্যাপদ	tɕɔɹdʑapɔd̪
চর্যাপদ	tʃɔɾdʒapɔd̪
চলচ্চিত্র	tɕɔlotɕːit̪ːɹoˑ
চলচ্চিত্র	tʃɔlotʃːit̪ːɾoˑ
চলা	tʃɔlaˑ
চলে	tʃole
চশম	tɕɔʃom
চশম	tʃɔʃom
চশমা	tɕɔʃmaˑ
চশমা	tʃɔʃmaˑ
চা	tɕaː
চা	tɕaˑ
চা	tʃaː
চা	tʃaˑ
চাঁছা	tɕatɕʰaˑ
চাঁছা	tʃãtʃʰaˑ
চাঁটগাঁ	satgaˑ
চাঁটগাঁ	tɕatgaˑ
চাঁটগাঁ	tʃãʈgãˑ
চাঁটগাঁ	t̪satgaˑ
চাঁদ	tɕad̪
চাঁদ	tʃãd̪
চাঁপা	tɕapaˑ
চাঁপা	tʃãpaˑ
চাউর	tɕau̯ɹ
চাউর	tʃau̯ɾ
চাউল	sau̯l
চাউল	tɕau̯l
চাউল	tʃau̯l
চাউল	t̪sau̯l
চাওয়া	tʃawaˑ
চাওয়া	tʃaˈa
চাকমা	tɕakmaˑ
চাকমা	tʃakmaˑ
চাকরানী	tɕakɹaniˑ
চাকরানী	tʃakɾaniˑ
চাকরী	tɕakɹiˑ
চাকরী	tʃakɾiˑ
চাকা	tɕakaˑ
চাকা	tʃakaˑ
চাকু	tɕakuˑ
চাকু	tʃakuˑ
চাটগাঁ	satgaˑ
চাটগাঁ	tɕatgaˑ
চাটগাঁ	tʃaʈgãˑ
চাটগাঁ	t̪satgaˑ
চাটনি	tɕatniˑ
চাটনি	tʃaʈniˑ
চাটা	tɕataˑ
চাটা	tʃaʈaˑ
চাটুজ্জে	tɕatudʑːeˑ
চাটুজ্জে	tʃaʈudʒːeˑ
চাতক	tɕat̪ok
চাতক	tʃat̪ok
চাদর	tɕad̪oɹ
চাদর	tʃaduɾ
চাদর	tʃad̪oɾ
চান্দ্র	tɕand̪ːɹoˑ
চান্দ্র	tʃand̪ːɾoˑ
চাপ	tɕap
চাপ	tɕaːp
চাপ	tʃap
চাপ	tʃaːp
চাপা।	tʃapa
চাপাতি	tɕapat̪iˑ
চাপাতি	tʃapat̪iˑ
চাবি	tsiabi
চাবি	tɕabiˑ
চাবি	tʃabiˑ
চাবুক	tɕabuk
চাবুক	tʃabuk
চামচ	tɕamotɕ
চামচ	tɕamutɕ
চামচ	tʃamotʃ
চামচ	tʃamutʃ
চামচড়া	santɕɔɾa
চামচড়া	tsantɕɔɾa
চামড়া	tɕamɹaˑ
চামড়া	tʃamɽaˑ
চামড়া	tʃamɾaˑ
চামেলি	tɕameliˑ
চামেলি	tʃameliˑ
চার	tɕaɹ
চার	tʃaɾ
চার	tʃaːr
চার	tʃaːɾ
চারপাশ	tʃarpaːs
চারু	tʃaɾuz
চার্চ	tɕaɹtɕ
চার্চ	tʃaɾtʃ
চার্লস	tɕaɹls
চার্লস	tʃaɾls
চাল	sal
চাল	tɕal
চাল	tɕaːl
চাল	tʃal
চাল	tʃaˈlu
চাল	tʃaːl
চাল	t̪sal
চালানো	tʃalano
চালু	tɕaluˑ
চালু	tʃaluˑ
চাষ	tɕaʃ
চাষ	tɕaːʃ
চাষ	tʃaʃ
চাষ	tʃaːʃ
চাষি	tʃaʃi
চি	tɕi˥˩
চিংড়ি	tɕiŋɹiˑ
চিংড়ি	tʃiŋɽiˑ
চিংড়ি	tʃiŋɾiˑ
চিকন	tɕikon
চিকন	tʃikon
চিটাগুড়	tɕitaguɹ
চিটাগুড়	tʃiʈaguɽ
চিটাগুড়	tʃiʈaguɾ
চিঠা	tʃiʈʰa
চিঠি	tɕitʰiˑ
চিঠি	tʃiʈʰiˑ
চিড়িয়াখানা	tɕiɹi̯akʰanaˑ
চিড়িয়াখানা	tʃiɽi̯akʰanaˑ
চিড়িয়াখানা	tʃiɾi̯akʰanaˑ
চিতা	tɕit̪aˑ
চিতা	tʃita
চিতা	tʃit̪aˑ
চিত্র	tɕit̪ːɹoˑ
চিত্র	tʃit̪ːɾoˑ
চিনি	tɕiniˑ
চিনি	tʃiniˑ
চিন্তা	tʃin̪t̪aˑ
চিবানো	tɕibanoˑ
চিবানো	tʃibanoˑ
চিমটি	tsinti
চিমনি	tɕimniˑ
চিমনি	tʃimniˑ
চিলি	tɕiliˑ
চিলি	tʃiliˑ
চিহ্ন	tɕinɦoˑ
চিহ্ন	tɕinːoˑ
চিহ্ন	tʃinɦoˑ
চিহ্ন	tʃinːoˑ
চিৎ	tɕit̪
চিৎ	tʃit̪
চীন	tʃin
চীনামাটি	tɕinamatiˑ
চীনামাটি	tʃinamaʈiˑ
চীনের	tʃineɾ
চুঁচি	tsũtsiˑ
চুঁচি	tʃũtʃiˑ
চুদা	tɕud̪aˑ
চুদা	tʃud̪aˑ
চুন	tɕun
চুন	tɕuːn
চুন	tʃun
চুন	tʃuːn
চুপ	tʃup
চুম্বন	tɕumbon
চুরি	tɕuɹiˑ
চুরি	tʃuɾiˑ
চুরুট	tɕuɹut
চুরুট	tʃuɾuʈ
চুরুলিয়া	tɕuɹuli̯aˑ
চুরুলিয়া	tʃuɾuli̯aˑ
চুল	sul
চুল	tɕul
চুল	tɕuːl
চুল	tʃul
চুল	tʃuːl
চুল	t̪sul
চুলা	tsula
চুলা	tɕulaˑ
চুলা	tʃulaˑ
চেনা	tʃena
চেনা	tʃɛna
চেপটা	tɕeptaˑ
চেপটা	tʃepʈaˑ
চেপে	tʃepe
চেয়ার	tɕeaɹ
চেয়ার	tʃeaɾ
চেয়ে	tɕeeˑ
চেয়ে	tɕeː
চেয়ে	tɕeˑ
চেয়ে	tʃeeˑ
চেয়ে	tʃeː
চেয়ে	tʃeˑ
চেষ্টা	tɕˈæʃta
চেহারা	tɕeɦaɹaˑ
চেহারা	tɕæɦaɹaˑ
চেহারা	tʃeɦaɾaˑ
চেহারা	tʃæɦaɾaˑ
চৈত্র	tɕoi̯t̪ːɹoˑ
চৈত্র	tʃoi̯t̪ːɾoˑ
চোখ	tɕox
চোখ	tɕoːk
চোখ	tʃox
চোখ	tʃoːk
চোদা	tɕod̪aˑ
চোদা	tʃod̪aˑ
চোর	tɕoɹ
চোর	tʃoɾ
চোর	tʃoːɾ
চোর	ʃuɾ
চোষা	tɕoʃaˑ
চোষা	tʃoʃaˑ
চোয়াল	tʃual
চৌধুরি	tsou̯d̪ʱuɾiˑ
চৌধুরি	tʃou̯d̪ʱuɾiˑ
চ্যাটার্জী	tɕɛtaɹdʑiˑ
চ্যাটার্জী	tʃæʈaɾdʒiˑ
চ্যাপটা	tɕɛptaˑ
চ্যাপটা	tʃæpʈaˑ
চড়ুই	tʃue
ছ	tɕja˥˥
ছক	tɕʰok
ছড়া	tʃoɾa
ছত্তিশগড়	tɕʰɔt̪ːisgɔɹ
ছত্তিশগড়	tʃʰɔt̪ːisgɔɽ
ছত্তিশগড়	tʃʰɔt̪ːisgɔɾ
ছত্তীসগঢ়	tʃɔt̪̚tisgɔɽ
ছত্রাক	tʃotˈrak
ছদ্মনাম	tɕʰɔd̪ːonam
ছদ্মনাম	tʃʰɔd̪ːonam
ছবি	tɕʰo˥˩bi˧˧
ছবি	tʃʰobi
ছয়	tɕʰɔe̯
ছয়	tʃʰɔe̯
ছা	tɕʰaː
ছা	tɕʰaˑ
ছা	tʃʰaː
ছা	tʃʰaˑ
ছাই	tɕʰai̯
ছাই	tʃʰai̯
ছাড়া	tʃʰaɽ̟a
ছাতা	tʃʰat̪a
ছাদ	tɕʰad̪
ছাদ	tʃʰad̪
ছানা	tɕʰanaˑ
ছানা	tʃʰanaˑ
ছাপা	tɕʰapaˑ
ছাপা	tʃʰapaˑ
ছাপান্ন	tɕʰapanːoˑ
ছাপান্ন	tʃʰapanːoˑ
ছায়াছবি	tɕʰae̯atɕʰbiˑ
ছায়াছবি	tʃʰae̯atʃʰbiˑ
ছাড়	tɕʰaɾ
ছি	siˑ
ছি	tɕʰiː
ছি	tɕʰiˑ
ছি	tɕʰi˥˥
ছি	tʃʰiː
ছি	tʃʰiˑ
ছিঃ	tɕʰi˥˩
ছিটকানো	tɕʰitkanoˑ
ছিটকানো	tʃʰiʈkanoˑ
ছিটমহল	tɕʰitmɔɦol
ছিটমহল	tʃʰiʈmɔɦol
ছিলাম	tʃʰlam
ছিলি	tɕʰi˥˥li˨˩˦
ছিলে	tʃile
ছুঁচ	tɕʰutɕ
ছুঁচ	tʃʰũtʃ
ছুটি	tɕʰutiˑ
ছুটি	tʃʰuʈiˑ
ছুড়ান	t̪ʃʰuɾä̃n̪
ছুরি	tɕʰuɹiˑ
ছুরি	tʃʰuɾiˑ
ছেঁচকি	tɕʰetɕkiˑ
ছেঁচকি	tʃʰẽtʃkiˑ
ছেঁড়া	tʃʰẽɽ̟aˑ
ছেচল্লিশ	tɕʰetɕɔlːiʃ
ছেচল্লিশ	tʃʰetʃɔlːiʃ
ছেলে	tɕʰeleˑ
ছেলে	tʃʰeleˑ
ছেলেধরা	tɕʰeled̪ʱɔɹaˑ
ছেলেধরা	tʃʰeled̪ʱɔɾaˑ
ছোঁয়া	tɕʰo̯aˑ
ছোঁয়া	tɕʰõaˑ
ছোঁয়া	tʃʰõaˑ
ছোঁয়া	tɕʰoŋa
ছোকরা	tɕʰokɹaˑ
ছোকরা	tʃʰokɾaˑ
ছোট	tɕʰotoˑ
ছোট	tʃʰoʈoˑ
ছোড়া	tʃʰoɽ̟aˑ
ছোলা	tɕʰolaˑ
ছোলা	tʃʰolaˑ
ছৌ	tɕʰou˥
জ	dʑɔː
জ	dʑɔˑ
জ	dʒa
জ	dʒɔˑ
জ	zɔˑ
জংলি	dʑoŋliˑ
জংলি	dʒoŋliˑ
জংশন	dzɔŋʃɔˑn
জংশন	dʒɔŋʃɔˑn
জওজ	dʑɔo̯dʑ
জওজ	dʒɔo̯dʒ
জওহর	dʑɔo̯ɦoɹ
জওহর	dʒɔo̯ɦoɾ
জখম	dʑɔkʰom
জখম	dʒɔkʰom
জগ	dʑɔg
জগ	dʒɔg
জঘন্য	dʑɔgʱonːoˑ
জঘন্য	dʒɔgʱonːoˑ
জঙ্গল	dʑɔngol
জঙ্গল	dʒɔngol
জজ	dʑɔdʑ
জজ	dʒɔdʒ
জটামাংসী	dʑɔtamaŋʃiˑ
জটামাংসী	dʒɔʈamaŋʃiˑ
জটিল	dʑotil
জটিল	dʒoʈil
জনসংখ্যা	dʑɔnoʃɔŋkʰaˑ
জনসংখ্যা	dʒɔnoʃɔŋkʰaˑ
জন্তু	dʑɔnt̪uˑ
জন্তু	dʒɔnt̪uˑ
জন্ম	dʑɔnmoˑ
জন্ম	dʒɔnmoˑ
জন্মদিন	dʑɔnmod̪in
জন্মদিন	dʒɔnmod̪in
জন্মভূমি	dʒɔnːmobʱmi
জন্মস্থান	dʑɔnmɔst̪ʰan
জন্মস্থান	dʒɔnmɔst̪ʰan
জন্য	dʑɔnːoˑ
জন্য	dʒɔnːoˑ
জন্যে	dʑɔnːeˑ
জন্যে	dʒɔnːeˑ
জপ	dʑɔp
জপ	dʑɔːp
জপ	dʒɔp
জপা	dʑɔpaˑ
জপা	dʒɔpaˑ
জফর	dʑɔfoɹ
জফর	dʒɔfoɾ
জফর	zɔfoɹ
জফর	zɔfoɾ
জবা	dʒɔbaˑ
জবাই	dʑɔbai̯
জবাই	dʒɔbai̯
জবাই	d̪zɔbai̯
জবাই	zɔbai̯
জবান	dʑɔban
জবান	dʒɔban
জবান	zɔban
জবাব	dʑɔbab
জবাব	dʒɔbab
জব্দ	dʑɔbd̪oˑ
জব্দ	dʒɔbd̪oˑ
জমাট	dʒɔmatʰ
জমানা	dʑɔmanaˑ
জমানা	dʒɔmanaˑ
জমানা	zɔmanaˑ
জমি	dʑomiˑ
জমি	dʒomiˑ
জমিদার	dʑomid̪aɹ
জমিদার	dʒomid̪aɾ
জয়ন্ত	dʑɔe̯ont̪oˑ
জয়ন্ত	dʒɔe̯ont̪oˑ
জয়পুরহাট	dʑɔɪ̯pʊɹɦaʈ
জরুরি	dʑoɹuɹiˑ
জরুরি	dʒoɾuɾiˑ
জরুরী	dʑoɹuɹiˑ
জরুরী	dʒoɾuɾiˑ
জল	dʑɔl
জল	dʑɔːl
জল	dʒɔl
জলকাক	dʒolka
জলদ	dʑɔlod̪
জলদ	dʒɔlod̪
জলদি	dʑol̪d̪iˑ
জলদি	dʒol̪d̪iˑ
জলপথে	dʑloˑpɔt̪ʰeˑ
জলবায়ু	dʑɔlobau̯
জলবায়ু	dʒɔlobau̯
জলসা	dʑɔlʃaˑ
জলসা	dʒɔlʃaˑ
জলহস্তী	dʑɔloɦɔst̪iˑ
জলহস্তী	dʒɔloɦɔst̪iˑ
জল্লাদ	dʑɔlːad̪
জল্লাদ	dʒɔlːad̪
জা	dʑaː
জা	dʑaˑ
জা	dʒaˑ
জাকারিয়া	dʑakaɹi̯aˑ
জাকারিয়া	dʒakaɾi̯aˑ
জাকারিয়া	zakaɹi̯aˑ
জাকারিয়া	zakaɾi̯aˑ
জাগরেব	dʒagrebe
জাগা	dʒaga
জাগানো	dʒagano
জাঙ্গিয়া	dʑaŋi̯aˑ
জাঙ্গিয়া	dʒaŋi̯aˑ
জাত	dʑat̪
জাত	dʒat̪
জাতি	dʑat̪iˑ
জাতি	dʒat̪iˑ
জাতিভ্রংশ	dʑat̪ibʱɹɔŋʃoˑ
জাতিভ্রংশ	dʑat̪ivɹɔŋʃoˑ
জাতিভ্রংশ	dʒat̪ibʱɾɔŋʃoˑ
জাতিভ্রংশ	dʒat̪ivɾɔŋʃoˑ
জাতিসংঘ	dʑat̪iʃɔngʱoˑ
জাতিসংঘ	dʒat̪iʃɔngʱoˑ
জাতীয়	dʑat̪i̯oˑ
জাতীয়	dʒat̪i̯oˑ
