a	ɑ
disipliene	ˈdisɪplinə
disipline	ˈdisɪplɪn
diskoers	ˈdiskʊə̯rs
diskresie	ˈdiskrisi
dislojaal	ɪsloːχɑːl
dissels	ˈdɪsəls
dissipels	ˈdisipəls
dissipline	ˈdɪsɪplɪn
dissiplinêre	ˈdisipəˌlinə
distansie	ˈdɪstɑnsiə
distansieer	ˈdɪstɑnsiə̯r
distilleer	ðɪˈstɪləʁ
distilleerder	ɪˈstɪləɾər
distorsie	ˈdistɔrsi
distrik	tɛstrɛk
distrik	ˈdistrik
distriksdokter	ˈdistrɪksdɔktər
distriksleier	ˈdistrɪkslɪə̯r
distrikte	dɛstrɛktɛ
dit	dˈɛt
dit	ɪt
dividende	ˈdiviðəndə
divine	ˈdiːvinə
divisie	ˈdɪsiə
divisie-bevelspos	ɪˈdiːsiəbəˈfɛlsˌpɔs
divisie-pos	ˈdiːvizipɔs
divisie-vergadering	ˈdiviziəvərˌgaːdərɪŋ
divisies	ɖiβiˈsiəs
dié	diə
dié	dˈi
diëet	ˈdiəɛt
dna	daː
do	doː
dobbel	ˈdɔbəɫ
dobosz	ˈdɔbɔs
doboszowa	dobɔsʃɔva
doc	ɔk
doctor	ˈdɔktər
dode	doːdə
dode-tempels	ˈdɔdətempəls
dodefees	ˈdɔːdəfiːs
dodelik	ˈdɔːdəlɪk
dodemis	ˈdɔːdɛmis
doder	ˈdɔːdər
doders	ˈdɔːdərs
dodesel	ˈdɔdəsəl
doe	duː
doeane	duəne
doed	duːt
doei	ɖœi̯
doek	duk
doek	dˈɛk
doeke	duːkə
doel	doʊ̯l
doel	dˈu
doelbewus	duːəlbəˈʋʏs
doelbewuste	tˈuːbəvˈʌstə
doelgerig	ɖʊəlχəˈrɪχ
doelloos	ˈdœʊ̯əloːs
doelskop	duːəlskɔp
doelwit	ɹɔɪ̯lʋɪt
doelwitte	ɖʊəlˈvɪtə
doen	doʊ̯n
doen	dˈøn
doene	duːnə
does	doʊs
doesn	doːs
dof	doːf
dog	doχ
dogter	ˈdɔχtər
dogterjie	ˈdɔχtərχi
dogters	doχtərs
dogtertjie	ˈdɔχtərtʃiə
doken	ˈdɔkən
dokke	ɔkə
dokter	tʊ̞ktʊ̞r
dokter	ˈdɔktər
dokters	ˈdɔkəts
doktor	ˈdɔktər
doktorsgraad	ˈdɔktərsχraːt
dokument	dokimɛnt
dokument	ˈdɔkʏmɛnt
dokumente	ˈdɔkʏmɛntə
dokumentêr	ˌdɔkʏmɛnˈtɛːr
dokumentêre	ˌdɔkʏmɛnˈtɛːrə
dokwerker	ˈdɔkfɛrɪkər
dol	ɖɔl
dolk	ɖɔlk
dollar	ˈdɔləʁ
dollars	ˈdɔləʃ
dolverlief	ˈdɔlvərˌlif
dom	tum
dom	ðɔm
domein	ˈdoməɪn
domheid	ðɔmˈɦɛit
dominante	ˈdɔːminəntə
dominee	tuːemənə
dominee	ˈdomiːnə
domineer	ˈdominəɾ
dominerend	ˈdɔːminəˌrɛnt
dominick	ˈdɔːminɪk
dominie	ˈdominiə
dominique	ðoʊmiˈnikə
dominisse	ˈdɔːminɪsə
domino-tafel	ˈdominoˌtɑfəɫ
domkop	ðɔmˈkɔp
domme	ðɔmə
dommer	ðɔməʁ
dommerd	ðɔməɹə
dommerig	ðɔməˈrɪχ
domste	ðɔmste
domweg	ðɔmˈvɛχ
don	ðɔn
don-boog	ðɔnbuχ
donasie	ˈdɔnəsi
donateur	ðɔnəˈtœːr
donder	tˈɔndɜ
donder	ˈdɔndər
donderdae	ˈdɔndərdaː
donderdag	tuːnəɾdaːx
donderdag	ˈdɔndərdɑχ
donderdagvergadering	ˈdɔndərˌdɑχfərˌɦaːrɪŋ
donders	ˈdɔndərs
done	doʊnə
donga	tʊŋgə
donker	tˈunkɚ
donker	ˈdɔŋkər
donkerblou	ðunkeɾβ̞l̟au̯
donkerblou	ˈdɔŋkərˌbluː
donkerbruin	ˈdonkərˌbrœyn
donkerder	ˈdɔŋkərdər
donkeroog-kind	ˈdɔŋkəruχkɪnt
donkerte	tʊ̞ŋkʊ̞rtʊ̞
donkie	ˈdɔŋkə
donkies	tɔ̃nkˌis
donna	ðɔna
donner	ˈdonər
donnerwetter	ˈdonəˌvɛtər
donou	doʊˈnuː
donserig	dontsarax
donsig	tʊ̞nsæx
dood	doːt
doodbang	doːdbɑŋ
doodbloei	doːdbloi̯
doodernstig	doːdəɹnstɪχ
doodgaan	doːg̊ɑːn
doodgemaak	doːdχəmaːk
doodgery	duːgəɾi
doodgeskiet	doːɣəskit
doodgeskop	doːgəskɔp
doodgeskrik	doːdɣəskrɪk
doodgeslaan	doːdɣəˈslɑːn
doodgesteek	doːtxəsteːk
doodgeval	doːɣəˈfɑl
doodhonger	doːhoŋgər
doodhuil	doːduːɪ̯l
doodlag	doːdlɑχ
doodle	doʊ̯lə
doodloopstraat	doːdlʊpstrɑːt
doodmaak	doːdmaːk
doodmoeg	doːdmøːχ
doodsangs	doːtsɑŋs
doodsberig	doːtsbəˈrɪχ
doodsberigte	doːtsbærɪktə
doodsbleek	doːtsblɪk
doodsdrank	doːtsdrɑŋk
doodse	doːtsə
doodsertifikaat	doːtsɛrt̪fɪkɑːt
doodskaam	doːtskaːm
doodskis	tʊɛtskɑs
doodskrik	doːtskrik
doodskruis	doːtskrœi̯s
doodslaan	doːtsɫɑːn
doodsteek	doːtʃtɪk
doodstil	doːdstil
doodstoneel	doːtstonəl
doodstraf	doːtstraːf
doodstraf	doːtstrˈɑf
doodstrawwe	doːdstɹɑːvə
doodsvonnisse	doːtsfɔnɪsə
doodsvyand	doːtsfjɑnt
doodvonnis	doːdvɔnɪs
doodvries	doːdvris
doodwens	doːdwɛns
doof	doːf
doof	tuf
doofheid	doːfɦeɪt
doofstomme	doːfstomə
dooi	tˈoɪ
dooie	duːi
dooie	dˈoːjˈɑ
dooies	duːjəs
doolhof	duːlɦɔf
doom	doːm
doop	dup
doop	dˈuɪp
doopnaam	dupˈnam
doopsertifikaat	dupsərt̪ifiˈkʰɑːt
door	doːr
doos	duːs
doos	tˈuɾz
dop	ðɔp
dopgehou	ˈdɔpχəʊ
dophou	topau
dophou	ɖɔfʰu
dor	dˈoɾ
dordrecht	ˈdɔːrdrɛχt
doring	tuaɾem
doringbome	ˈdɔːrɪŋbʊmə
doringdraad	ˈdɔːrɪŋdraːt
dorings	ˈdɔːrɪŋs
dorneget	ˈdɔrnəχɛt
dorothy	doːroti
dorp	ɖɔrp
dorpe	ɖɔrpə
dorpenaar	tɔrpɛnɔɾ
dorpenaars	ɖɔrpəˈnɑːrs
dorpie	tɔrpi
dorpie	ɖɔrpi
dorpies	ɖɔrpiəs
dorps-idioot	ˈdɔrpsidiʊt
dorpshuis	ɖɔrpsɦœi̯s
dorpsingang	ˈdɔrpsɪŋɑŋ
dorpsonderwyser	ˈdɔrpsɔndərˌvɪsər
dorpsplein	ɖɔrpsplɛin
dorptoe	ˈdɔrptuə
dorre	ɔrɛ
dors	dals
dors	ɔrs
dorstige	ˈdɔrstɪfə
dort	ɖɔrt
dorus	ˈdɔːrs
doseer	doʃɛːr
dosent	dɨsˈentʊ
dosent	ˈdosənt
dosente	dʊsˈɛntɚ
dosis	ˈdɔsəs
dossier	ˈdɔsjər
dosyn	ˈdosən
dou	da
dou	duː
doubt	daʊ̯t
dover	ˈdɔːvər
dowes	daʊ̯s
dowwe	daʊə
doëe	duə
dr	dr
dr	dr̥
dra	drɑː
dra	dɾɔ
draad	draː
draadtrek	tro˥˩ːtra˥˩ːk
draagbaar	draːɣbɑːr
draaglik	draːɣlək
draai	draɪ
draai-ding	drɑːi̯diŋ
draaiboek	draɪ̯bʊk
draaiboekskrywer	draːi̯boːkskrəi̯vər
draaie	draːi
draaijakkals	draɪχakəls
draailoop	draːɪloʊp
draak	draːk
draak	traːk
draer	draːr
draf	tɾaf
drag	drɑχ
dragon	ˈdrɑgən
dragonder	ˈdraːɣɔndər
drama	drɑːmə
drama	tɾɔma
dramas	drɑːməʃ
dramatiese	ˈdrɑːmətiːsə
dramaturg	drɑməˈtʏχ
dramaturge	drɑːməˈtʏrʃə
drank	drank
drank	drɑŋk
drankie	trankiː
drankie	ˈdrɑŋki
drankies	drɑŋkiəs
drasties	ˈdrɑːstiəs
drawwers	drɑːvərs
dreig	drɛɪχ
dreigend	ˈdrɛi̯əχənt
dreigende	ˈdrɛiχəndə
dreineer	drɛi̯ˈnɪə̯r
dreinering	drɛi̯ˈnɛrɪŋ
drek	drɛk
drenkeling	drɛŋkəlɪŋ
dresden	drɛsdən
dreyman	drɛɪ̯man
drie	tr̝e
drie	θriː
drie-eenheid	driːəi̯nheit
drie-kwartier	ˈdrɪəˌkʋɑrtiər
drieband	driːbɑːnt
driehoek	driːɦuk
driehoeke	driːˈɦukə
driehoekig	drˈiˈukˈax
driekwartuur	ˈdrɪkfɑrtʏr
driepoot	driːpuːt
driepuntseil	ˈdrɪə̯pʊntsɛɪ̯l
drietand	ˈdrɪə̯tɑnt
drievoudige	ˈdrɪəvuɪdiχə
drif	t̪rɛf
driftig	drɪftəx
dring	drɪŋ
dringend	ˈdrɪŋənt
dringende	drɪŋəntə
drink	drank
drink	drɪŋk
drinke	drɪŋkə
drinkebroers	drɪŋkəbrœrs
drinker	ˈdrɪŋkər
drinkgoed	drɪŋχuːt
drive	draɪ̯f
drives	ˈdraɪ̯vəs
droefheid	ˈdrœfɦit
droeë	droːe
drome	drʊmə
dromend	ˈdrʊmənt
dromerig	ˈdrʊməˌrɪχ
dromers	ˈdrʊməʃ
drones	drɔːns
dronk	drɔŋk
dronk	drˈʌŋk
dronkenskap	drɔŋkəskɑs
dronkheid	drɔŋxɪə̯t
dronkie	tronkj
dronklap	drɔŋklɑp
dronklappe	drɔŋkˈlɑpə
droog	drʊχ
droog	trʊa
droogmaak	drʊəχmɑːk
droogte	drʊχtə
droom	drʊm
droom	trɔbɛ
dros	drɔs
drosters	ˈdrɔstrəʃ
drostery	ˈdrɔstrɛri
droë	droː
druif	drœyf
druif	tɾrɑjf
druip	trojp
druiwe	drʉiβe
druiwe	trajvɛ
druiwesmaak	drœyʋəsmaːk
druk	drʏk
druk	dˈrɯk
druk-tegnieke	ðrɪktəgəˈniːkə
drukker	drʏkər
drukkers	drʏkərs
drukkery	drʏkəˈri
drukkie	drʏkʰi
drukkies	drʏkə
drukkuns	drʏkˈkʰœns
drukmakery	drʏməˈkɛəri
drukstuk	drʏkˈstʏk
drukwerk	ðʀʏkʋɛrk
drummer	drʏmə
drumpel	drʏmˈpəl
drup	drʏp
druppel	drʏpəl
druppels	drʏpəl̥s
druppend	drʏpənt
dryf	drɪf
dryfkrag	drɪfkrɑχ
du	duː
du	dˈø
dubbel	ðʏbəl
dubbel-penetrasie	ˈdʏbəlpənəˌtrɑːsiə
dubbele	ˈdʏbələ
dubbelkamer	ðʏbəlˈkɑːməʁ
dubbelpilare	ðœbəlpiləɹə
dubel	ˈdʏbəl
dublow	ðʏˈblɔː
duck	ðʏk
ducky	dukɪ
dude	duːdɛ
dudevant	duːdɑːfɑːnt
duet	dyːt
duhgeier	ðʏχiːr
dui	ɯi
duidelik	duɪ̯ˈdɛlik
duidelike	duɪ̯dəlɪkə
duideliker	duɪ̯ˈdiːləχər
duidelikheid	dui̯dəlɪkɦɪət
duif	ɟœf
duifie	duːfjə
duifies	duːfiəs
duikboot	ɟœykˈbʊət
duiker	dɛkjɛr
duikers	ɯi̯kərs
duim	duːm
duim	dˈɛm
duimafdruk	duːmɑfdrʏk
duimbreedte	duːmbretə
duime	duːmə
duimskroewe	duːmskruːə
duine	ðœɪ̯nə
duiselig	duɪ̯səlɪχ
duisend	duɪsənt
duisend	dˈɔɪsən
duisende	duɪsəntə
duisendjarige	ˈdœy̯səntχraːɣə
duister	duːstə
duister	noiʃt̪eɾ
duisternis	ˈdœy̯stərnis
duit	ðœɪt
duite	duitə
duits	ðœits
duits-hongaars	duitʃˈɦɔŋɑːrs
duits-hongaarse	duitʃˈɦɔŋɑːrsə
duits-portuguese	duitspɔrtɪˈgɛːz
duits-russiese	ɟœitsˈrʏsiə
duitse	ðœɪ̯tsə
duitser	ɟœitsər
duitsers	duit̪sərs
duitsland	duit̪slɑnt
duiwe	ɯiʋə
duiwel	duiʍəl
duiwel	dˈaɪvəl
duiwels	duɪ̯əls
duiwelse	ɟœi̯ˈvɛlsə
duiwepaar	dui̯əpɑːr
duiwer	duɪ̯fər
dulcamara	ˈdʏlkəmɑra
duld	ðʏld
duma	ðʊmə
dump	ðʌmp
dun	tøn
dun	ðœn
dunner	dˈønər
dupliseer	dupəliˈseː
durand-ruel	ˈdʏrɑːndrɪəl
durf	dʊɾf
durf	ðœrf
dus	ðʏs
dusk	ðʏsk
dust	ðʏst
dusty	ˈdʏstɪ
duty	duːti
duur	diːɾ
duur	dyr
duur	dyːr
duurste	dyːrstə
duval	duˈvɑl
duvel	duːvəl
dwaal	daːl
dwaas	daːs
dwaas	d̪uɔs
dwalende	ˈdwaːləndə
dwaling	ˈdwaːlɪŋ
dwars	ˈdʋɑrs
dwarsboom	ˈdʋɑrsbʊə̯m
dwarsdeur	ˈdʋɑrsdœr
dwase	ˈdwasə
dweil	dwˈaɪl
dwelmhandelaar	ˈdʋɛlmˌɦɑndəlɑːr
dwelmiddels	ɖʊə̯lˈmɪɾəɫs
dwelmmisbruik	ðʋɛlmisbrœyk
dwelms	ðʋɛlms
dwelmverslaafde	ˈdʋɛlmfərˌslɑːftə
dwelmvry	ðʋɛlmfrɪ
dweper	dʒuɛpɾ
dwerg	tʊβɑr
dwergie	ˈdʋɛrχi
dwing	tues
dwing	ɖʋəŋ
dy	də̟i̯
dy	ɪ
dye	ɟə
dyke	ɪkə
détaché	ˈdɛtɑʃe
dít	ɪt
e	ə
e-mail	əˈmeɪl
e-pos	əˈpɔs
e2	ə
e4	ɛ
e5	ə
e7	ə
each	ɛtʃ
earth	ɑːrθ
eb	ebi
eberswalde-hospitaal	əβərsʋɑldəɦɔspiˈtɑːl
eboshi	əˈbɔʃi
ede	əˈde
edel	lidau
edel	əˈdɛl
edelagbare	əˈdɛlaχbərə
edele	əˈdɛlə
edeles	əˈdɛlə
edelman	əˈdəlˌmɑn
edelmoedig	əˈdɛlmuəɪtʃ
edelste	əˈdɛlstə
edelstes	əˈdɛlstəs
edelweiss	əˈdɛlʋɛs
eden	əˈdɛn
edikte	əˈdɪktə
eed	bjɾt
eed	ɪt
eekhoring	əi̯kɔrɪŋ
eelt	ɛːlt
eelte	ɛːltə
een	iːn
een	əːn
een-vir-een	jˈɛnfˈrɪˈɛn
een-woord	əːnˈvœrət
eend	jˈɪnt
eend	əi̯nt
eendag	iːndax
eendag	əi̯nˈdɑχ
eender	ɪndər
eendeweer	əi̯ndəʋɪr
eendjie	əi̯ndʒi
eendragtig	əi̯ntrɑχtəx
eenhede	əi̯nˈɦɛdə
eenheid	əi̯nˈɦit
eenheid-bevelvoerder	əi̯nˈɦɪtbəβəlˌfɪːɾdər
eenheidslied	əi̯nˈhɪtsliət
eenheidsmaat	əˈnəitsmɑːt
eenheidsparty	əi̯nˈɦɪtspɑrti
eenkant	əŋkɑːnt
eenkeer	jɛnkɪ̞ɾ
eenkeer	əˈnχɪr
eenmaal	əˈnmaːl
eenmalige	əˈnmaːlɪχə
eenman-koets	əːnmanˈkœts
eens	ɛns
eensaam	jɛ̀nsɔm
eensaam	əi̯nˈsɑːm
eensaamheid	əi̯nˈsɑːmɦeɪ̯t
eensame	ɛnˈsɑmə
eensamer	əi̯nsəˈməɾ
eentje	əntjə
eentonig	əˈtɔːnəx
eentonige	əˈtɔŋə
eenuur	əˈnyːr
eenvoud	əi̯nˈfʌut
eenvoudig	jɪnfoːdəx
eenvoudig	əi̯nˈvʌui̯tχ
eenvoudige	əi̯nˈfœʏ̯diχə
eenvoudiger	əi̯nˈvudɪχər
eenwoord-plan	əˈnʊə̯rɪtplan
eenwording	əˈnvəɹtɪŋ
eer	iɾ
eer	ɪə̯r
eerbaar	ɪrˈbɑːr
eerbare	ɪə̯rˈbɑːrə
eerbetoon	ɛrˈbətʊə̯n
eerbied	ɛrbiːt
eerbiedig	ɛrbiːdiχ
eerder	jørdeɾ
eerder	ɛːrɘː
eergevoel	ɛːrgəfuːl
eergister	je̞rχɪ̞stær
eergister	ɪə̯rχɪstə
eerlik	ɪə̯rˈlik
eerlike	ɪə̯rˈlikə
eerliker	ɪə̯rˈlikər
eerlikheid	ɪə̯rˈlikɦɪət
eerlikwaar	ɪə̯rˈlikfɑːr
eers	iə̯ɹ̠̊˔
eers	jɪ̞rs
eers	ɪə̯rs
eersdaags	ɪrsˈdɑːχs
eerskomende	ɪə̯rsˈkʊməde
eerste	əˈrɪstə
eerstehulp	ɪə̯rstəˈɦʏlp
eersteklas	ɪrstɛkɫɑs
eersteminister	əˈrstəmiˌnɪstə
eerstens	ɪrstəns
eertyds	iɾtaits
eervol	ɛːrfoːl
eet	iət
eet	ɪt
eetbaar	jetˈdɔr
eetgerei	ɪtχəˈrɛi̯
eetgoed	ɪtχuːt
eetkamer	jɛtkɔmɛr
eetkamer	ɪtˈkɑːməɾ
eetkamertafel	ɪtˈkɑːməˌtɑːfəl
eetlus	iːtlɛs
eetlus	ɪtlys
eetluswekker	ɪtˈlʏsʋɛkər
eetmaal	ɪtˈmɑːl
eetsaal	əɪtsɑːl
eetstaking	ɪtˈstɑːkɪŋ
eetstakings	ɪtˈstɑːkɪŋs
eetstelle	ɪtˈstɛlə
eeu	iu˨
eeu	əʊ
eeue	əʊə
eeue-oue	əʊəʊ
eeuelang	əʊʃəlɑŋ
eeuelank	əʊʋəlɑŋk
eeuse	əːsə
effek	esfek
effek	ɛfək
effekte	əˈfɪktə
effektief	əˈfɪktifə
effektiewe	əˈfɪktifə
effens	əˈfɛns
eg	ax
eg	əg
egbrekers	əχˈbreɪkərs
eggenoot	əˈχənʊt
eggenootontrou	əˈχənutˌontɹœu
eggenote	əˈχnʊtə
eggo	əgoː
egipte	əgɪptə
egipteland	əgɪptaːlɑnt
egiptenaar	əɣipˈtɪə̯nɑːr
egiptenare	əɣiˈptəˌnɑːr
egiptiese	əgiˈpɪtsə
egiptoloë	əɣɪptoʊˈlœ
ego	ɛχo
egoïs	əˈgœɪ̯s
egpaar	ɑxˈpɑr
egskeiding	afsgajdˈe
egskeiding	əgskɛi̯ŋ
egskeidings	əχˈskɛi̯dəns
egte	əχtə
egter	æxtɪ̞r
egter	ɛχtər
egypte	əˈχiptə
ei	ai̯
eie	aija
eie	əi
eiehandig	əiəˈhɑːntəx
eiemagtige	əi̯əmaχtəiχə
eienaar	əi̯əˈnɑːr
eienaardig	əi̯əˈnɑːrdiχ
eienaardige	əi̯nɑːrdiχə
eienaardighede	əi̯nɑːrdiχəde
eienaares	əi̯ˈnɑːrəs
eienaarskap	əi̯nɑːrsχɑp
eienares	əi̯əˈnɑːrəs
eiendom	ai̯əˈnɔm
eiendomme	ɛi̯nˈdɔmə
eienskappe	ɛi̯nˈskɑpə
eier	ai̯ər
eier	ajjeɾ
eier	əɪ̯jər
eierkop	ɛɪ̯ərkɔp
eiers	əjˈɾs
eiers	ɛjəɹ̠̊˔
eiers	ɛɪ̯ərs
eiervrug	ɛi̯ərˈfrʏχ
eiesinnigheid	əi̯sɪnəχɪçt
eiesoortige	əi̯sɔːrtʃə
eiffel	ɛfəl
eiffeltoring	ɛi̯fəlˈtɔrɪŋ
eigenste	ɛi̯ɣənsteː
eigenwijs	ɛi̯ɣəʊnʍɪs
eik	əjk
eik	ɛɪk
eikebome	ɛi̯kəˈbʊmə
eikedeur	ɛɪkəˈdœr
eiland	ajlɔnt
eiland	ɛi̯lɑnt
eilande	ajlɑndɑ
eilande	ɛi̯ˈlɑːndə
eilandjie	ɛilɑndʒi
ein	ɛin
eina	ajnɛ
eina	əi̯nə
eind	ajnd
einde	ajndɑ
einde	ɪndə
einde-van	ɛindəˈfɑn
eindelik	ɛinˈdɛlik
eindeloos	ɪnˈdiːlʊs
eindelose	əi̯nˈdəlʊsə
eindes	ɪndəs
eindig	əi̯nˈdiχ
eindpunt	ɛin̪tˈpʰynt
eindresultaat	ɛindəˌrɛsʏˈlɑːt
eindwerk	ɛi̯ndʋɛrk
eine	əi̯nə
einlik	əi̯nˈlik
einmal	əɪnˈmɑːl
eintlik	əi̯ntlɪk
eintlike	əi̯ntlikə
eis	ais
eis	ɛɪ̯s
eisbein	ɛisbəi̯n
eise	ɛjsə
eisenhower	ˈaɪzənˌhaʊər
eisenstein	ˈaɪsənʃtaɪ̯n
either	ɪəˈtɛr
ek	nur
ek	əʊk
ek	ɛt
ekeng	ikːẽŋ
eklektisisme	ɛkˈlɛktɪsɪsmə
ekologie	əˈkɔlɔgi
ekologiese	əˈkɔlɔgiəˌsi
ekonomie	ekonomˈi
ekonomie	ɛkɔnɔmiə
ekonomies	əkʊnəˈmiə
ekonomiese	əkʊnuːmisə
ekosisteem	əˈkɔsistim
eks	ɛks
eks-man	ɛksˈmɑːn
eks-vrou	ɛksˈfruː
eksakte	ɛkˈsɑktə
eksamen	əksˈɔmen
eksamen	ɛkˈsɑmən
ekseem	əˈkʰsɪəm
eksekusie	əˈkʰsɛkusi
ekselensie	əˈkʃələnsi
ekselensies	əˈkʃələnsiəs
ekself	əksfəlf
eksellensie	ɛksəˈlɛnsiə
eksemplaar	ɛksɛmplɑːr
eksemplare	ɛkˈsɛmplɑːrɛ
eksentriek	ɛksɛntrəi̯k
eksilensie	ɛksilənsiə
eksklusief	əksklʏsifə
ekskommunikasie	əkskommuniˈkɑːsi
ekskusies	əksˈkɪsi
ekskuus	əksˈkʰœs
eksperiment	ɛksipeːrmənt
ekspert	ɛkspɛrt
ekspressionisme	ɛkspɾɛssɪõŋɪsmɛ
ekstase	əkˈstɑːsə
ekstatiese	əkstəˈtɪə̯sə
ekstensiewe	əkˈstɛnsiə
eksterogeen	ɛkstəˈɣiːn
eksters	ɛkˈstərs
ekstirminasiekamp	əkstɪrmɪnɑsɪə̯kɑmp
ekstra	ekstro
ekstra	əˈkrɑ
ekstreme	əˈkstrɛmə
ekstremistiese	əkˈstrɛmɪsɪə
ekstrovert	əkstrɔvərt
el	ɛl
eland	ɛˈlant
elbe	ɛlbə
elbie	ˈɛlbi
elders	ɛldərs
elders	ˈɛldˈɛs
electra	ɛˈlɛktra
elegante	ɛləˈgɑːntə
elektries	elektris
elektriese	elɛktrisæ
elektriese	ɛˈlɛktriəsə
elektrisiteit	ɛˌlɛktriˈsɪtɛt
elektrisiteitsverskaffer	əˌlɛktriˌsɪtɛitsfərˈkɑfər
elektrisiëns	əˈlɛktriːsɪə̯ns
elektron	elektron
elektronies	əˈlɛktroːnɪəs
elektroniese	əˈlɛktrʊnɪsə
elektroniese	ˌelektroniˈse
elektronika	ɛlɛktrɔˈnikə
element	elemˈent
element	ɛləˈmɛnt
elemente	ɛləˈmɛntə
elementêr	ɛlɛmɛntaa
elena	əˈlɛna
elende	əˈlɛndə
elf	ɛlf
elf	ˈɛlf
eli	ɛli
elias	əˈliəʃ
elijah	əliχə
elikser	əˈlɪkʃər
elina	əˈlina
eline	əˈlinə
elisabeth	əlizibəɾt
elite	əˈlɪtə
elite-soldaat	əˈlɪtəˌsɔlˈdɑːt
elitisme	əliˈtɪsmə
elizabeth	əliːˈβɪətə
elizabeth	ɛlisabɛθ
elk	ɛlk
elke	ɛlçə
elkeen	aʊkən
elkeen	əˈliːkə
elkgeval	ɛlkχəˈfɑl
elkridge	ɛlkˈrɪtʃ
ellende	əˈlɛndə
ellende	ˈæləndə
ellendig	əˈlɛndəx
ellendige	əˈlɛndiχə
ellesmere	ɛləˈsɪməɾə
ellispark	allespɔr
elmboog	ɛlmˈbʊəχ
elmire	ɛlmɪrə
elsie	ɛlsi
em	ə
embrio	əmˈbriːo
embroglio	əmbɹuˈiːloʊ
embroguglio	əmbruˈχuʃlo
emigrasie	əmiɣrɑsi
emil	əˈməl
emile	əˈmɪlə
emilie	əˈmɪliə
eminensie	əminənsi
emishi	əˈmɪʃi
emma	əˈma
emmanuelle	əˈmɑnɛl
emmausgangers	əˈmaʊ̯sχaŋərs
emmer	əˈmər
emmers	əˈmərs
emosie	əˈmuːsiə
emosies	əˈmʊəsi
emosioneel	əmoʃuːnɛːl
emosionele	jamiʃiɲeːlaːd
emosionele	əmoʃuːnələ
empty	əˈməti
en	en
en	ən
end	ind
end	ɛnd
endgame	ɛndχæːm
enduit	əndœɪt
ene	əne
energie	əˈnɛrʒi
energiebronne	əˈnɛrʒiəbrɔnə
energiek	əˈnɛrχiːk
energiek	ɪnɪrxʲiːk
energieloos	əˈnɛrɣiəˌlʊə̯s
energiestrome	əˈnerχiəˌstrumə
enerse	əˈnɛrsə
enetjie	əˈnɛtʃiə
eng	en
eng	əŋ
enge	əŋə
engel	eŋɔ
engel	əŋəl
engeland	əŋˈgɛlant
engele	əŋgələ
engelgesig	əŋəlxəsiχ
engels	əŋəls
engels	ˈɪŋəlz
engelse	əŋəlsə
engelsman	əŋəlsman
engelvingers	əŋəlˈfɪŋərs
engerd	əŋχɛrt
engerling	əŋgəlɪŋ
engineering	ɪndʒɪˈnɪəŋ
enginieur	əŋʃiniːr
enginieurs	əŋʃiniˈrɪə̯s
english	ɪŋglɪʃ
english	ˈæŋglˌɪʃ
enguerrand	əŋgɥɛrɑːnt
enig	iːnə
enige	əˈniχə
enigeen	əˈniχən
eniggebore	əˈnɪχbɔːrə
enigiemand	əˈnɪəmɑnt
enigiets	əˈnɪχəts
enigsens	əˈnɪχsəns
enigsins	əˈnɪχsɪns
enigste	iːnˈaxtl
enigste	əˈnɪkstə
enigstes	əˈnɪkstə
enjin	əŋʝɪn
enkel	imkoʊ
enkel	əŋkəl
enkele	ənˈkɛlə
enkeles	əŋkələs
enkelfraktuur	ˈɛŋkəlfrɑktyr
enkellopende	əŋkəlˈlɔːpəntə
enkellopers	əŋkəlˈlopərs
enkelma	əŋkəlma
enkripsie	əŋˈkrɪpsiə
enorme	əˈnɔrmə
enough	əˈnʌχ
ens	eɪns
ens	əns
enso	ənˈsoː
ensovoorts	ənsɔfʊrts
ent	ənt
ente	əntə
enterprise	əntəˈraɪ̯ns
entjie	əntjɪ
entoesiasme	əntuəsiɑsmə
entoesiaste	əntuəsiˈɑːstə
entoesiasties	əntuəsiəstəs
entoesiasties	ɛnθusˈiastis
entstof	əntˈstɔf
epidemie	əpɪdiːmi
epidemies	əpɪdiːmiəs
epidermiese	əpiˈdɛrmiːsə
epiese	əˈpiːsə
epileptiese	əpiləptiːsə
episode	əˈpiːsəp
episodes	əˈpɪsiːds
epistemologie	epistemologi
er	ə
era	əˈraː
eras	əˈrɑs
erasmus	iɛrasmis
erbarm	ərˈbɑrm
erdeware	ərdeʋɑːr
erdvark	ɛrtfarːk
erdwolf	ɛrtvoɫf
erdwurms	əɹdʋʏɹms
ere	əˈre
ere-brandweer-span	əˈreˌbrɑːnvɪrˌspɑːn
eredoktorsgraad	əˌrɛdɔkˈtrɔsχraːt
eregaste	əˈrɛχastə
ereksie	əˈrɛksiə
eremoord	əˈrɪmʊːrt
eremoorde	əˈrɪmʊə̯rde
erens	ərəns
eresaluut	əˈreːsalut
erewoord	əˈreʊ̯vəɾt
erf	arf
erf	ɛrf
erf-gesondheidsdepartement	ərfχɛsɔntχɛltsdɛpɑrmɑŋ
erfenis	ærfɛnɪ̞s
erfenisjagter	ərˈfɛnisjɑxtər
erfgeld	ɛrfgɛlt
erfgenaam	ərfχəˈnɑːm
erfgename	ərfgəˈnɑːmə
erflating	ərˈflɑːtɪŋ
erfopvolgertjie	ərfɔpˈfɛltʃi
erfporsie	ɛrfɔrsi
erfstuk	ərfstyːk
erfurt	ɛrfʀt
erg	æχ
