'nen	nen
brennmulde	bɾˈɛnmˈʊldə
brennnessel	bɾˈɛnɛsəl
brennnessel-zünsler	bɾˈɛnnˈɛsəltsˈʏntslɜ
brennnesseln	bɾˈɛnɛsəln
brennofen	bɾˈɛnˈoːfˌn
brennpunkt	bɾˈɛnpʊŋkt
brennpunkte	bɾˈɛnpʊŋktə
brennpunkten	bɾˈɛnpʊŋktən
brennpunktes	bɾˈɛnpʊŋktəs
brennpunktlage	bɾˈɛnpʊŋktlˌɑːgə
brennraumdruckanstieg	bɾˈɛnɾaʊmdɾˈʊkanʃtˈiːk
brennraumdruckverlauf	bɾˈɛnɾaʊmdɾˈʊkfɜlaʊf
brennschablone	brˈɛnʃablˌoːnə
brennschachtmauerwerk	bɾˈɛnˈnʃˌahtmaʊɜvˈɛɾk
brennschere	bɾˈɛnʃɛɾə
brennschlacke	bɾˈɛnʃlɑːkə
brennschluss	bɾˈɛnʃlʊs
brennschneiden	bɾˈɛnʃnˌaɪdən
brennschneidteil	bɾˈɛntʃnˈaɪttˈaɪl
brennspiegel	bɾˈɛnspiːgəl
brennspiegeln	bɾˈɛnspiːgəln
brennspiegels	bɾˈɛnspiːgəls
brennspiritus	bɾˈɛnspiːrˌiːtʊs
brennst	bɾˈɛnst
brennst	bɾˈɛntst
brennstabverdichtung	bɾˈɛnstaɾbfɜdɪçtʊŋ
brennstelle	bɾˈɛnʃtɛllɛ
brennstoff	bɾˈɛnstɔf
brennstoffart	bɾˈɛnstoːfˈaɾt
brennstoffbeheizt	bɾˈɛnstɔfbəhˈaɪtst
brennstoffe	bɾˈɛnstɔfə
brennstoffe	bɾˈɛnʃtˌoːffə
brennstoffeinsatz	bɾˈɛnˈtstoːfˈfˈˈaɪnzˌats
brennstoffen	bɾˈɛnstɔfən
brennstoffes	bɾˈɛnstɔfəs
brennstofffrei	bɾɛnnspɔfˈfrˈaɪ
brennstoffkorb	bɾˈɛnstɔfkˌɔɾp
brennstoffkosten	bɾˈɛnstɔfkˌɔstən
brennstoffkreislauf	bɾənˈstˈoːfˈkɾaɪzlˈauːf
brennstofflagerung	bɾˈɛnstɔfˌlˈagɛɾʊng
brennstofflaufkarte	bɾˈɛnstɔflˈaʊfkaɾtə
brennstoffumwandlung	bɾˈɛnstɔfʊmvˈandlʊŋ
brennstoffverbrauch	bɾˈɛnstɔffɜbɾˌaʊx
brennstoffverdichtungsmodell	bɾˈɛnʃtoːffˈɛɾtɪçtˌʊngʃmoːdˈɛl
brennstoffversorgung	bɾˈɛnstɔffɜzˌɔɾgʊŋ
brennstoffvorwärmung	bɾˈɛnstoːffˌoːɾvˈɛɾmʊŋ
brennstoffzellen	bɾˌɛnstɔftsˈɛlən
brennstoffzugabe	bɾɛnˌstˈoːfˈtsˈʊgˌabə
brennstäben	bɾˈɛnʃtɛːbən
brennt	bɾˈɛnt
brenntisch	bɾˈɛntɪʃ
brenntrog	bɾˈɛntɾoːk
brennverfahren	bɾˈɛnfɜfˌɑːrən
brennverhalten	bɾˈɛntfɜhˌaltən
brennweite	bɾˈɛnvaɪtə
brennwertanlage	bɾˈɛnɛvɜtˌanlˌagɛ
brennwertkessel	bɾˈɛnveːɾtkɛsʃəl
brennwerttechnologie	brˈɛnvˈɛɾtˈɛçnoːlˌoːgiː
brennzeichnung	brɛntsɛˈɪçnʊŋ
brennzeit	brɛntsaɪt
brennöfen	bɾˈɛnøːfən
brentano	bɾɛntˈɑːnoː
brenten	rˈɛntən
brenz	bɾˈɛnts
brenzelig	bɾˈɛntsəlˌɪç
brenzelige	bɾˈɛntsəlˌɪgə
brenzeligem	bɾˈɛntsəlˌɪgəm
brenzeligen	bɾˈɛntsəlˌɪgən
brenzeliger	bɾˈɛntsəlˌɪgɜ
brenzeliges	bɾˈɛntsəlˌɪgəs
brenzlig	bɾˈɛntslɪç
brenzlige	bɾˈɛntslɪgə
brenzligem	bɾˈɛntslɪgəm
brenzligen	bɾˈɛntslɪgən
brenzliger	bɾˈɛntslɪgɜ
brenzliges	bɾˈɛntslɪgəs
brenzligkeit	bɾˈɛntslɪçkˌaɪt
brepols	brɛpˌoːlˈs
bresan	brɛjzaːn
bresch	bɾˈɛʃ
bresch	rˈɛʃ
bresche	bɾˈɛʃə
breschen	bɾˈɛʃən
bresinsky	bɾɛsɪnskʰi
breslau	bɾɛslau
breslau	bɾˈɛslauː
breslau	bɾˈɛslaʊ
bresselschmitt	bɾˈɛsəlʃmˈɪt
bressem	brɛsɛm
bressler	brɛsla
brest	bɾˈɛst
brestenberg	bˈɛstɛnˌbɜg
brestling	bɾˈɛstlɪŋ
bret	bɾˈɛt
bretfeld	bɾeːbfˈɛlt
bretonisch	bɾeːtˈoːnɪʃ
bretonische	bɾeːtˈoːnɪʃə
bretonischem	bɾeːtˈoːnɪʃəm
bretonischen	bɾeːtˈoːnɪʃən
bretonischen	bɾətˈoːnˈɪzˈeːn
bretonischer	bɾeːtˈoːnɪʃɜ
bretonisches	bɾeːtˈoːnɪʃəs
brett	brˈɛt
brett	bɾˈɛt
brett	pʁˈɛt
brettartig	briːtˌaɾtɪç
brettchen	bɾˈɛtçən
brettchens	bɾˈɛttçəns
brettchenweberei	bɾˈɛtçənvˈeːbərˌaɪ
bretten	bɾˈɛtən
bretter	bɾˈɛtɜ
bretterboden	bɾˈaɪtɜbˌoːdən
bretterbuden	bɾˈɛtɜbˌuːdən
bretterhäuschen	bɾˈɛtɜhˌɔøsçən
brettern	bɾˈɛtɜn
bretterverschlag	bɾˈɑttɜfɜʃlˌɑːk
bretterwänden	bɾˈɛtɜvˌɛndən
bretterzaun	bɾˈɛtɜtsˌaʊn
bretterzäune	bɾˈɛtɜtsˈɔynə
bretterzäune	bɾˈɛtɜtsˌɔønə
bretterzäunen	bɾˈɛtɜtsˌɔønən
brettes	bɾˈɛtəs
bretthauer	bɾˈɛthaʊɜ
bretthauer	bɾˈɛtˌhˈaʊɜ
brettl	bɾəttˌl
brettle	brɛtlɛ
brettmitte	bɾˈɛtmɪtə
brettnagel	bɾˈɛtnɑːgə
bretts	bɾˈɛts
brettschicht	bɾˈɛtʃɪç
brettschichtholzquerschnitt	bɾˈɛtʃɪçthˈɔltskvˈɛɾʃnˌɪt
brettschichthölzer	bɾˈɛtʃɪçtshœltsɜ
brettspiel	brətzpˌiːl
brettspiel	bɾˈɛtʃpiːl
brettspiele	bɾˈɛtspˈiːlə
brettspiele	bɾˈɛtʃpiːlə
brettspielen	bɾˈɛtʃpiːlən
brettspielentwickler	bɾˈɛtʃpiːlɛntvˈɪklɜ
brettspiels	bɾˈɛtʃpiːls
brettstapelelement	bɾɛtˌstapɛlˌləmˈɛnt
bretttragen	bɾˈɛttɾˈɑːgən
brettware	bɾətˈvˈaɾˌ
brettwurzel	bɾˈɛtvʊɐtsəl
bretzel	pɾˈɛtsə
bretzenheim	bɾətseːnhˈˈaɪm
bretzinger	pɾɛtsɪŋa
breu	bɾˈɔø
breughel	bɾˈɔøkhəl
breughels	bɾˈɔøkhəls
breuna	brˈɔønɜ
breuning	rˈɔønɪŋ
breustedt	bɾˈɔøstˈeːt
breves	tɾeːvəs
brevet	brɛvˈe
brevier	bɾeːvˈiːɾ
breviers	bɾeːvˈiːɾs
brexit	bɹˈɛksɪt
brezel	bɾˈeːtsəl
brezel	bɾˈɛtəl
brezelsalzabpopler	bɾɛtsəlsalsappˈoːplɜ
brian	bɾiːˈɑːn
brichst	bɾˈɪkst
brichst	rˈɪçst
bricht	bɾˈɪçt
bricht	bˈɾɪçt
brickeln	pɾˈɪkəln
brickenstein	bɾˈɪkɛnˈstaɪn
brie	bɾˈiː
bried	bʁˈiːt
brief	bɾˈiːf
brief	bʁˈiːf
brief	bˈiːf
brief	bˈɾiːf
briefadresse	bɾˈiːfadɾˌɛsə
briefadressen	bɾˈiːfadɾˌɛsən
briefaktion	bɾˌiːfaktsɪˈoːn
briefaktionen	bɾˌiːfaktsɪˈoːnən
briefanreden	bɾˈiːfanrˌeːdən
briefbereich	bɾˈiːfbərˌaɪç
briefbeschwerer	bɾˈiːfbɛʃvˌeːrɜ
briefbeschwerern	bɾˈiːfbɛʃvˌeːrɜn
briefbogen	bɾiːfbˈoːgən
briefbogen	pliːfpˈoːɾən
briefbogens	bɾˈiːfboːgəns
briefbote	bɾˈiːfboːtə
briefbote	pliːfpɔtɛ
briefbotin	pliːfbˈoːtən
briefbund	bɾˈiːfbʊnt
briefbögen	bɾˈiːfbøːgən
briefdumping	pɾˈiːfdampɪŋ
briefe	bɾˈiːfə
briefe	rˈiːfə
briefempfänger	bɾˈiːfɛmpfˌɛŋɜ
briefen	bɾˈiːfən
briefendstelle	bɾˈiːfɛntstˈɛlə
briefes	bɾˈiːfəs
briefeschreiber	bɾˈiːfəʃvˈaɪbɜ
briefformat	pɾˈiːffˈoːɾmˌɑːt
brieffreund	briːffrˈɔønt
brieffreundin	bɾˈiːffrˈɔøndən
briefgeheimnis	bɾˈiːfgeːhˌaɪmnɪs
briefgeheimnis	bɾˈiːfgeːˌaɪmnɪs
briefgeheimnisse	bɾˈiːfgeːˌaɪmnɪsə
briefgeheimnissen	bɾˈiːfgeːˌaɪmnɪsən
briefgeheimnisses	bɾˈiːfgeːˌaɪmnɪsəs
briefkarten	bɾˈiːfkaɾtən
briefkasten	bɾˈiːfkastən
briefkastenanlage	bɾˈiːfkˈasˌt�ənˈanlˈɑːgə
briefkastenfirmen	bɾˈiːfkastˌɛnfɪɾmən
briefkastengesellschaft	bɾˌiːfkastˌɛngeːzˈɛlʃaft
briefkastengesellschaften	bɾˈiːfkastˌɛngeːzˌɛlʃaftən
briefkastens	bɾˈiːfkastəns
briefklammer	pɾiːfklˈamɜ
briefkopf	bɾˈiːfkɔpf
briefkopf	bɾˈiːfkˌɔpf
briefkopf	ɾiːfkˈɔpf
briefkopfs	bɾˈiːfkɔpfs
briefkorb	bɾˈiːfkˌɔɾp
briefkurs	brˈiːfkˌʊɐs
briefkästen	bɾˈiːfkɛstən
brieflich	brˈiːflɪç
brieflich	bɾˈiːflɪç
briefliche	bɾˈiːflɪçə
brieflichem	bɾˈiːflɪçəm
brieflichen	bɾˈiːflɪçən
brieflicher	bɾˈiːflɪçɜ
briefliches	bɾˈiːflɪçəs
briefliteratur	briːflˈiːteːrˌɑːtʊɐ
briefmappe	bɾˈiːfmapə
briefmarke	brˈiːfmaɾkə
briefmarke	bɾˈiːfmaɾkə
briefmarken	bɾˈiːfmaɾkən
briefmarken	bɾˈiːfmɑːkən
briefmarkenalben	ɾˈiːfmˈaɾkənˈalbən
briefmarkenausstellung	bɾˈiːfmaɾkənˌaʊsʃtˌɛlʊŋ
briefmarkenberge	bɾˈiːfmaɾkˌɛnbɜgə
briefmarkenblock	bɾˈiːfmaɾkənblˈɔk
briefmarkenhandelshauses	bɾˈiːfmaɾkˌɛnhandˌɛlshaʊzəs
briefmarkenhandlung	brˈiːfmˈaɾkənhˈandlʊŋ
briefmarkenlösung	briːfmˈɑːkənlˈøːzʊŋ
briefmarkenmesse	bɾˈiːfmaɾkˈɛnˌməʃˌeː
briefmarkenpräsentation	bɾˈiːfmaɾkənpɾˌɛːzɛntˌatsɪˈoːn
briefmarkensammeln	bɾˈiːfmaɾkˌɛnzaməln
briefmarkensammler	bɾˈiːfmaɾkənzˌamlɜ
briefmarkensammler	bɾˈiːfmaɾkˌɛnzamlɜ
briefmarkensammlerin	bɾˈiːfmaɾkˌɛnzamlərˌɪn
briefmarkensammlerinnen	bɾˈiːfmaɾkˌɛnzamlˌeːrɪnən
briefmarkensammlern	bɾˈiːfmaɾkˌɛnzamlɜn
briefmarkensammlers	bɾˈiːfmaɾkˌɛnzamlɜs
briefmarkensammlung	bɾˈiːfmaɾkˌɛnzamlˌʊŋ
briefmarkensammlungen	bɾˈiːfmaɾkˌɛnzamlˌʊŋən
briefmarkenverkaufs	bɾˈiːfmaɾkˌɛnfɜkˌaʊfs
briefmonolog	bɾˌiːfmoːnoːlˈoːk
briefnotiz	bɾˈiːfnoːtˌiːts
briefnotizen	bɾˈiːfnoːtˌiːtsən
briefpaket	bɾˈiːfpakˈeːt
briefpapier	bɾˌiːfpapˈiːɾ
briefpapiers	bɾˌiːfpapˈiːɾs
briefporti	bɾiːfpˈɔɾtiː
briefporto	bɾiːfpˈɔɾtoː
briefporto	bˈɾiːfpɔɾtˈoː
briefportos	bɾˈiːfpɔɾtˌoːs
briefroman	bɾˈiːfroːmˈɑːn
briefs	bɾˈiːfs
briefsache	bɾˈiːfzaxə
briefsachen	bɾˈiːfzaxən
briefsammlung	bɾˈiːfzˈamlʊŋ
briefschlitz	bɾˈiːfʃlɪts
briefschreiben	brˈiːfʃrˈaɪbən
briefschreiberin	bɾˈiːfʃraɪbərˌɪn
briefstelle	bɾˈiːfʃtɛlə
briefsteller	bɾiːfztɛlˈlˈɜ
briefstil	bɾiːfstˈiːl
brieftasche	bɾˈiːftaʃə
brieftasche	pɾˈiːftɑːʃˈɛ
brieftaschen	briːftˈaʃən
brieftaschen	bɾˈiːftaʃən
brieftauben	bɾˈiːftaʊbən
brieftelegramm	bɾˌiːftəlɛgɾˈam
brieftelegramme	bɾˌiːftəlɛgɾˈamə
brieftelegrammen	bɾˌiːftəlɛgɾˈamən
brieftelegramms	bɾˌiːftəlɛgɾˈams
briefträger	bɾˈiːftɾɛːgɜ
briefträgerin	rˈiːftɾɛgərˌɪn
briefträgern	bɾˈiːftɾɛːgɜn
briefumschlag	bɾˈiːfʊmʃlˌɑːk
briefumschlags	bɾˈiːfʊmʃlˌɑːks
briefumschläge	bɾˈiːfʊmʃlˌɛːgə
briefumschlägen	bɾˈiːfʊmʃlˌɛːgən
briefversand	rˈiːffɛɾzˈant
briefvorlage	pɾˈiːfoːɾlˌagɛ
briefwechsel	bɾˈiːfvɛksəl
briefwechseln	bɾˈiːfvɛksəln
briefwechsels	bɾˈiːfvɛksəls
briefwerk	bɾˈiːfvˌɛɾk
briefzusteller	bɾiːftsuːʃtˈɛlɜ
briefzustellerin	bɾˈiːftsuːʃtˌɛlərˌɪn
brieföffner	bɾˈiːfœfnɜ
brieföffnern	bɾˈiːfœfnɜn
brieföffners	bɾˈiːfœfnɜs
brielach	bɾˈiːlˌaç
brielstraße	bɾˈeːɛstɾˈasə
briem	brim
brienz	pɾˈiːnts
brieschal	dɾˈiːʃˌal
briese	prɪsɛ
brieselang	brˈiːsəlˈaŋ
briesemeister	bɾˈiːsəmˈaɪstɜ
briesen	bɾˈeːzən
briesenick	brˈiːsəniːkk
briet	bʁˈiːt
brigachtal	briːgˌahtˈal
brigade	bɾigˈaɾdə
brigade	bɾˈiːgɑːdə
brigadeführer	bɾˈiːgadˌeːfyːrɜ
brigadegeneral	bɾˌiːgadˌeːgeːnɛrˈal
brigaden	bɾˈiːgɑːdən
brigadier	bɾˌiːgadˈiːɾ
brigadiers	bɾˌiːgadˈiːɾs
brighton	bɹˈaɪtən
brigitte	brˈɪgʏtə
brigitte	bɾˈiːgɪtə
brigittes	bɾˈiːgɪtəs
brikett	bɾiːkˈɛt
brikettbestände	bɾˈiːkɛtbˌɛʃtɛndə
brikette	bɾˈiːkɛtə
briketten	bɾiːkˈɛtən
brikettfabrik	bɾˌiːkɛtfabɾˈiːk
brikettfabrikation	bɾˌiːkɛtfˌabɾiːkˌatsɪˈoːn
brikettherstellung	bɾˈiːkɛttɜʃtˌɛlʊŋ
brikettpreis	bɾˈiːkɛtpɾˌaɪs
brikettpreise	bɾˈiːkɛtpɾˌaɪzə
brikettpresse	bɾˈiːkɛtpɾˌɛsə
brikettpressen	bɾˈiːkɛtpɾˌɛsən
briketts	bɾiːkˈɛts
brikettsorte	briːkˈɛtzˈɔɾtˈɛ
brill	bɾˈɛl
brillant	bɾɪlˈant
brillantbrosche	bɾˈɪlantbɾˌɔʃə
brillante	bɾɪlˈantə
brillantem	bɾɪlˈantəm
brillanten	bɾɪlˈantən
brillanten	bɾˌɪliːˈantən
brillanter	bɾɪlˈantɜ
brillantere	bɾɪlˈantərə
brillanterem	bɾɪlˈantərəm
brillanteren	bɾɪlˈantərən
brillanterer	bɾɪlˈantərɜ
brillanteres	bɾɪlˈantərəs
brillantes	briljˈantəs
brillantes	bɾɪlˈantəs
brillanteste	bɾɪlˈantəstə
brillantestem	bɾɪlˈantəstəm
brillantesten	bɾɪlˈantəstən
brillantester	bɾɪlˈantəstɜ
brillantestes	bɾɪlˈantəstəs
brillantring	brɪljˈantrɪŋ
brillantring	bɾˈɪlantɾˌɪŋ
brillantringe	bɾˈɪlantɾˌɪŋə
brillantringen	bɾˈɪlantɾˌɪŋən
brillantringes	bɾˈɪlantɾˌɪŋəs
brillanz	bɾˈɪlants
brille	bɾˈɪlə
brillen	bɾiːlən
brillen	bɾˈɪlən
brillenaustausch	bɾˈɪlənˌaʊstaʊʃ
brillenglas	bɾˈɪlənglˌɑːs
brillengläsern	bɾˈɪlənglˌɛːzɜn
brillenlast	bɾˈɪlənlˈast
brillenrand	brilˈeːnrˈant
brillenschlangen	bɾˈɪlənʃlˌaŋən
brillenträger	bɾiːlləntɾˈɛgɜ
brillenträger	bɾˈɪləntɾˌɛːgɜ
brillenträgerin	bɾˈɪləntɾˌɛːgərˌɪn
brillenträgerinnen	bɾˈɪləntɾˌɛːgeːrˌɪnən
brillenträgern	bɾˈɪləntɾˌɛːgɜn
brillenträgers	bɾˈɪləntɾˌɛːgɜs
brillenwand	gɾiːlˌlˈeːnˈvˈˈanˈd
brilling	bɾˈiːlɪŋ
brilon	brilon
brinckmeier	bɾˈɪŋmˈaɪɜ
bring	bɾˈɪŋ
bringdienst	brˈɪndˌiːnst
bringe	bɾˈɪŋə
bringe	bɾˈɪŋən
bringen	bɾˈɪŋən
bringen	bʁˈɪŋən
bringend	bɾˈɪŋənt
bringende	bɾˈɪŋəndə
bringendem	bɾˈɪŋəndəm
bringenden	bɾˈɪŋəndən
bringender	bɾˈɪŋəndɜ
bringendes	bɾˈɪŋəndəs
bringest	brˈɪŋəst
bringfriede	brˈɪŋfrˌiːdə
bringgeld	brˈɪŋgəlt
bringlohn	brɪngloːn
bringpflicht	brˈɪŋpflˈɪçt
bringprinzip	bɾˈɪŋpɾˈɪntsiːp
bringschuld	bɾˈɪŋʃʊlt
bringst	bɾˈɪŋst
bringst	ɾˈɪŋst
bringt	brˈɪnt
bringt	brˈɪŋts
bringt	bɾeŋt
bringt	bɾˈɪŋt
brinitze	prinɪtsɛ
brink-hafen	bɾˈɪŋhˈɑːfən
brinkbäumer	bɾˈɪŋbˈɔømɜ
brisant	bɾiːzˈant
brisante	bɾiːzˈantə
brisante	pɾɛzˈantə
brisantem	bɾiːzˈantəm
brisanten	bɾiːzˈantən
brisanter	bɾiːzˈantɜ
brisantes	bɾiːzˈantəs
brisanz	bɾˈiːzants
brisanz	ɾɪzants
brisau	pɾizau
brise	bɾˈiːzə
brisen	bɾˈiːzən
brisen	rˈiːzən
brislow	bɾˈɪsloːn
bristle	brɪstlæ
bristol	bɾɪstˈoːl
bristolkanal	bɾˈɪstɔlkanˌɑːl
brita	bɾitɑ
brite	bɾˈiːtə
brite	bɾˈɪtə
briten	bɾˈiːtən
britenwährung	bɾˈiːtənvˌɛːrʊŋ
britin	bɾˈiːtɪn
britinnen	bɾˈiːtɪnən
britisch	bɾˈiːtɪʃ
britische	bɾˈiːtɪʃə
britische	bʁˈɪtɪʃə
britischem	bɾˈiːtɪʃəm
britischen	bɾˈiːtɪʃən
britischen	bɾˈɪtɪʃən
britischer	bɾˈiːtɪʃɜ
britisches	bɾˈiːtɪʃəs
britsch	bɾˈɪtʃ
britta	britˈa
brittinger	bɾɪtɪŋɜ
britz	bʁˈɪts
britzelmaier	dɾˈɪtsəlmˌaɪɜ
brix	bɾˈɪks
brixen	bɾˈɪksən
brochhagen	bɾˈɔxhˈɑːgən
brochhaus	bˈɔxhˈaʊs
brock	bɾɔk
brockdorf	bɾˈɔkdɔɾf
brocken	bɾˈɔkən
brocken-granit	bɾˈɔkəngɾanˈɪt
brockenkonflikt	bɾˈɔkənkɔn̪flˈɪkt
brockens	bɾˈɔkəns
brockhaus	bɾˈɔkhaʊs
brockhausen	bɾˈɔkhˈˈaʊsɛn
brockig	bɾˈɔkɪç
brockmöller	bɾoːkkmˈœlɜ
brocks	bˈɔks
broda	bˈoːdə
brodbecker	bɾˈɔtbɛkɜ
brodbek	bɾˈoːtbˈɛk
brodel-scheiße	bɾˈoːdəlʃaɪsɛ
brodele	bɾˈoːdələ
brodeln	bɾˈoːdəln
brodelnd	bɾˈoːdəlnt
brodelnde	bɾˈoːdəlndə
brodelndem	bɾˈoːdəlndəm
brodelnden	bɾˈoːdəlndən
brodelnder	bɾˈoːdəlndɜ
brodelndes	bɾˈoːdəlndəs
brodelst	bɾˈoːdəlst
brodelt	bɾˈoːdəlt
brodelte	bɾˈoːdəltə
brodelten	bɾˈoːdəltən
brodeltest	bɾˈoːdəltəst
brodeltet	bɾˈoːdəltət
brodersdorf	bˈoːtɜstˌɔɾf
broderstorf	pɾˈoːdɜstoːf
brodesser	bɾˈoːtəʃɜ
brodhag	pɾoːtˈaːk
brodle	bɾˈɔdlə
brodner	brodna
brodt	pɾot̪
brodten	bɾˈɔtən
brohmann	bɾˈoːmˈan
brok	bɾˈoːk
brok	bˈɔk
brokat	bɾoːkˈɑːt
brokatelle	prokˈatˌeːlə
brokaten	bɾˈɔkɑːtˈɛn
brokdorf	bɾˈɔkdɔɾf
broker	bɾˈoːkɜ
brokerhaus	bɾˈoːkɜhˌaʊs
brokerhauses	bɾˈoːkɜhˌaʊzəs
brokerhäuser	bɾˈoːkɜhˌɔøzɜ
brokerhäusern	bɾˈoːkɜhˌɔøzɜn
brokerin	bɾˈoːkərˌɪn
brokerinnen	bɾˈoːkeːrˌɪnən
brokerkontos	bɾˈoːkɜkˌɔntoːs
brokerkreisen	bɾˈoːkɜkɾˌaɪzən
brokern	bɾˈoːkɜn
brokers	bɾˈoːkɜs
brokerspesen	bɾˈoːkɜspˌeːzən
brokerverbindung	bɾˈoːkɛɾfɛɾbˌɪndʊŋ
brom	bɾˈoːm
brom	ʁˈoːm
brombeere	bɾˈɔmbeːrə
brombeeren	bɾˈɔmbeːrən
brombergstraße	pɾɔmbərgstɾɑːsɛ
brombutansäure	bɾˈɔmbʊtˈaɾnzɔørˌə
bromidfrei	bɾˈoːmɪtfrˌaɪ
bromidfreie	bɾˈoːmɪtfrˌaɪə
bromidfreiem	bɾˈoːmɪtfrˌaɪəm
bromidfreien	bɾˈoːmɪtfrˌaɪən
bromidfreier	bɾˈoːmɪtfrˌaɪɜ
bromidfreies	bɾˈoːmɪtfrˌaɪəs
bromokomplex	proːmˈoːkɔmplˈɛks
bronau	proːnau
bronchialtropfen	bɾˈɔnxəaltɾˈɔpfən
bronchie	bɾˈɔnkjə
bronchie	bɾˈɔnçɪɜ
bronchien	bɾˈɔnçən
bronchitis	bɾˈɔnçiːtˌɪs
bronchus	rˈɔnʃʊz
bronfen	tɾˈɔnfən
bronsert	bɾˈɔnzət
brontosaurus	brontosaʊros
bronzeauflage	bɾˈɔnkseːˈaʊflˌɑːgə
bronzebraun	bɾˈɔŋkəbɾˈaʊn
bronzefarben	bɾˈɔntseːfˌaɾbən
bronzefarbene	bɾˈɔntseːfˌaɾbənə
bronzefarbenem	bɾˈɔntseːfˌaɾbənəm
bronzefarbenen	bɾˈɔntseːfˌaɾbənən
bronzefarbener	bɾˈɔntseːfˌaɾbənɜ
bronzefarbenes	bɾˈɔntseːfˌaɾbənəs
bronzegießen	pɾɔnˈsˈɛgˈiːsən
bronzegruppe	bɾˈɔntsɛgɾˌʊpə
bronzekanone	bɾˈɔ̃səkˈanˈɔnə
bronzen	bɾˈɔntsən
bronzene	bɾˈɔntsənə
bronzene	bˈɔ̃sənˈ
bronzenem	bɾˈɔntsənəm
bronzenen	bɾˈɔntsənən
bronzener	bɾˈɔntsənɜ
bronzenes	bɾˈɔntsənəs
bronzeplastik	bɾˌɔntsɛplˈastiːk
bronzewarenfabrik	bɾˈɔnsəvɑːrənfabɾˈiːk
bronzezeit	bɾˈɔntseːtsˌaɪt
bronzezeitlich	bɾˈɔŋstətsˈaɪtlɪç
brosame	prozɑːmə
brosamen	bɾˈoːzˈɑːmən
brosch	bʁˈɔʃ
brosche	bɾˈɔʃə
broschen	bɾˈɔʃən
broschiere	bɾɔʃˈiːrə
broschieren	bɾɔʃˈiːrən
broschierend	bɾɔʃˈiːrənt
broschierende	bɾɔʃˈiːrəndə
broschierendem	bɾɔʃˈiːrəndəm
broschierenden	bɾɔʃˈiːrəndən
broschierender	bɾɔʃˈiːrəndɜ
broschierendes	bɾɔʃˈiːrəndəs
broschierst	bɾɔʃˈiːɾst
broschiert	bɾɔʃˈiːɾt
broschierte	bɾɔʃˈiːɾtə
broschiertem	bɾɔʃˈiːɾtəm
broschierten	bɾɔʃˈiːɾtən
broschierter	bɾɔʃˈiːɾtɜ
broschiertes	bɾɔʃˈiːɾtəs
broschiertest	bɾɔʃˈiːɾtəst
broschiertet	bɾɔʃˈiːɾtət
broschüre	bɾˈɔʃyːrə
broschüre	pɾoːʃyːʁˈ
broschüren	bɾˈɔʃyːrən
broschüreneinhänger	bɾˈɔʃyːrənˈaɪnhˌɛŋɜ
broschütz	proːʃʏtːs
brose	bʁˈoːzə
brosewitz	prooːsəvˈɪts
brosig	poːzˈɪç
brosin	pɾˈɔzin
bross	bˈɔs
brost	bɔst
brot	bɾˈoːt
brot	bˈoʊt
brot	bˈɔ̃t
brot	pɔt
brotauflauf	bɾˈɔtˈaʊfˌlauːf
brotaufstrich	bɾˈoːtaʊfstɾˌɪç
brotaufstriche	bɾˈoːtaʊfstɾˌɪçə
brotaufstrichen	bɾˈoːtaʊfstɾˌɪçən
brotaufstrichs	bɾˈoːtaʊfstɾˌɪks
brotbackautomat	bɾˈoːtbakˈauːtˈoːmˈat
brotbacken	bɾˈoːtbˈakən
brotbackend	bɾˈɔtbakənt
brotbackende	bɾˈɔtbakəndə
brotbackendem	bɾˈɔtbakəndəm
brotbackenden	bɾˈɔtbakəndən
brotbackender	bɾˈɔtbakəndɜ
brotbackendes	bɾˈɔtbakəndəs
brotbelag	bɾˈɔtbelˌɑːk
brotbeutel	bɾˈɔtbɔøtəl
brotbeuteln	bɾˈɔtbɔøtəln
brotbeutels	bɾˈɔtbɔøtəls
brotbrocken	bɾˈoːtbɾˈɔkən
brotbrösel	bɾˈɔtbrʏsəl
brotbäcker	bɾˈɔtbɛkɜ
brote	bɾˈoːtə
broteinheit	pɾoːtˈaɪnhˈˈat
broteinlage	bɾˈɔtaɪnlˌɑːgə
broten	bɾˈoːtən
broterwerb	bɾˈoːtɜvɜp
broterwerbe	bɾˈoːtɜvɜbə
broterwerben	bɾˈoːtɜvɜbən
broterwerbers	bɾˈoːtɜvɜbɜs
broterwerbs	bɾˈoːtɜvɜps
brotes	bɾˈoːtəs
brotes	proːtˌɛz
brotfabrik	pɾoːtfɑːbrˈɪk
brotfabriken	bɾˌɔtfabɾˈiːkən
brotfehler	bɾˈɔtfæˈlˈɜ
brotgeber	bɾˈɔtgeːbɜ
brotgebern	bɾˈɔtgeːbɜn
brotgerechtigkeit	bɾˈɔtgɜɛçtˌɪçkˌaɪt
brotgetreide	bɾˈɔtgətrˌˈaɪdə
brotgewürz	bɾˈɔtgəvˌʏɾts
brotkanten	bɾˈɔtkɑːnˈtˌeːn
brotkarte	prodkartɛ
brotkasten	bɾˈɔtkastən
brotkonsum	bɾˈɔtkɔnzˌum
brotkorb	bɾˈɔtgˌɔɾp
brotkorb	bɾˈɔtkɔɾp
brotkorbes	bɾˈɔtkɔɾbəs
brotkorbs	bɾˈɔtkɔɾps
brotkrume	bɾˈɔtkɾʊmə
