cәғәт	sɛʁɛt
ваҡлау	uäqɫäu
ваҡсыл	waqsɯ̞ɫ
ваҡыт	waqɑt
ваҡыт	wɑqɯ̞t
ваҡытта	waqtˈta
ваҡытынан	bɑqɯ̞tɯ̞nɑn
ваҡытында	wɑqɯ̞tɯ̞ndɑ
ваһиба	væibɑ
вегетатив	vʲeɣʲitatʲif
венер	vˈɛnˈɪr
венера	vɛnʲera
википедия	vʲikʲpʲedʲijä
вилдан	vʲildän
вилдан	wi̠ɫdɑn
вилдан	ɪldˈɑn
вис	vis
витамин	vitamɪn
выждан	wɯ̞ʐdɑn
вьетнам	wjĕtnɑm
вәзир	væziːr
вәзих	vɛzɪs
вәкил	wækʲil
вәкилә	vækjɪlæ
вәкәләт	vækælet
вәлидә	væljde
вәлиев	vɛljɪv
вәлимә	vælimɛ
вәлит	veljt
вәлиша	vˈɛliʃˈa
вәлүк	vˈɛlˈʏk
вәрис	ɣaris
вәриҙә	wɛrʲiðæ
вәрәҡә	ɫæræqɛ
вәсил	væsæl
вәсилә	wæsʲiɫæ
вәсим	væsiːm
вәсиф	ʋɛsˈif
вәғәҙә	wæʁæðæ
вәғәҙәләшергә	ðæʁæðɛlæʃɪ̞rgæ
вәғәҙәләшкән	væɢæðtʲɛlɛʃkɛn
вәҡиф	vɑqif
габардин	gabardʲin
габарит	gabarit
гага	agɑ
гагара	agara
гагауз	gagau̯s
газета	gazʲeta
галет	gɐɫˈet
гармун	gärmun
гармунсы	gärmunsɯ̞
гармунсы	gɑɾmʊ̞nsɯ̞
гексахлоран	gʲɪksɑχɫɑrɑn
гектометр	gʲɪktʊmʲɛtr
гел	gæl
гел	gɪ̞l
германия	gʲirmänʲijä
геүләргә	gʲɪwˈlʲɛrgæ
гибрид	gibrit
гиҙергә	gʲiðʊ̞rgæ
гонаһ	gəˈnɑh
гонаһ	gʊ̞nɑh
гонаһ	gʊ̞nɑχ
гонаһ	ɢʊ̞nɑχ
гонаһ	ʁʊ̞nɑχ
гравюра	gravjura
градус	gravus
граждан	gräʐdän
грамматик	grɐmmatik
грамматика	gramˈɑtika
грамоталыҡ	grämʊtɑɫɯ̞q
гранит	gɾanit̪
график	gɾafik
греция	grʲetsɨ̞jä
грузин	gɾuzˈin
гүзәл	guzɛl
гүзәл	gɵzæl
гүзәл	gʏzæl
гүзәлиә	gʏzɛlijɛ
гүйә	gˈujˈɛ
гүр	gɵɾ
гәзит	gæzʲit
гәлсәр	gəlsɛr
гәрәбә	gæræbæ
гәрәбә	gæræβæ
гәрәй	gʲæɾæj
гәүһәр	gæwhær
гөбөргәйел	gʏ̞βʏ̞rgæjɪ̞l
гөл	gʏ̞l
гөлбаныу	gʏlpənəw
гөлбаныу	gʏ̞lbänɯ̞w
гөлбаҙыян	gʏlbɑðˈɪjɑn
гөлбикә	gylbʲekæ
гөлбинур	gʏlbʲinʏɾ
гөлбүләк	gʏlbylæk
гөлбәзир	gɪ̞lbæzɪ̞r
гөлбәзирә	gʏ̞lbæzɪ̞ræ
гөлбәҙиға	gʏlbæðiʁaː
гөлбәһәр	gjlbæhær
гөлгизәр	gʏlgʲizær
гөлгөнә	gylgʏ̞næ
гөлзада	glˈzˈada
гөлзаһиҙа	glˈzˈahˈiðɑ
гөлзәйнәп	gylzæjnæp
гөлисә	gəljsɛ
гөлйемеш	gʏ̞ljɪ̞mɪ̞ʃ
гөлләмә	gʏ̞nlɛmæ
гөлләриә	gʏlˈlɛrijɛ
гөлназ	gʏlnäz
гөлназ	gʏlnˈɑz
гөлназа	gɪlnəza
гөлназар	gɪ̞lnazɑr
гөлнара	gɪ̞lnara
гөлнур	gjlnuɾ
гөлнәзирә	gɪ̞lnæzʲiɾæ
гөлнәзифә	gulnɛzʲifæ
гөлсара	gɪ̞lsɑrɑ
гөлсибәр	gʏlsibɛr
гөлсимә	gjlsimæ
гөлсәсәк	gylsɛsɛk
гөлфара	gʏlfara
гөлфруз	gʏlfruːz
гөлфруза	gʏlfrʊzˈa
гөлфәриҙә	gʏlfæriðæ
гөлфәриә	gʏlfɛrʲɪjæ
гөлшан	gɛlʃan
гөлғәйшә	gʲɪlʁæjʂæ
гөлһиҙәп	gʏlhʲiðæp
гөрләүек	gɪ̞rɫɛwæk
гөрһөлдәп	gʏ̞rhʏ̞ldæp
дабырлау	dapɨɾlau
даими	dajimɪ
даими	dɑimʲi
даимилыҡ	ðæjmi̠ɫɯ̞q
даирә	däi̯ræ
дайса	dajsa
дала	dɐˈla
дала	dɑɫɑ
далан	davan
далха	dɑlχa
дама	dama
дамин	damin
дамира	dˈɐmiːrˈa
дамка	damka
дан	dɔn
дана	dana
дана	dɑnɑ
даналап	dɑnɑlɑp
данил	dɔnˈil
данила	dɐnˈiɭa
дания	dɔniˈjɑ
данияр	danijɑːr
данлы	d̪ænlʊ̞
данлыҡ	ðɑnɫɯ̞q
дансинг	dˈænsɪŋ
дантист	dantist
дары	dara
дарыу	darow
дарыу	dɑrɯ̞w
дарыухана	dɑrɯ̞wχɑnɑ
дау	dɔu̯
дауа	dɑwɑ
дауам	dawˈam
дауам	dɑwɑm
дауар	dawar
дауахана	dɑwɑχɑnɑ
даулай	d̪olaj
дауыл	dɑwɯ̞ɫ
дауыт	dɑwɯ̞t
дауыт-ҡайып	ðɑuɯ̞tqɑjɯ̞p
даян	dɑjɑn
даға	dɑʁɑ
дағалау	d̪aɣ̞alɑo
дағалаусы	dɑʁɑlaʊsɑ
дағстан	dɑʁɯ̞̆stɑn
дағстанлылар	dɑqstɑnɫɯ̞ɫɑɾ
двигатель	dvʲigatʲilʲ
дебет	dɪ̞βɪ̞t
дежур	dˈeʒuɾ
десантсы	dɪsantsɯ
десерт	dʲessʲrt
диалект	dʲialʲekt
диалектологик	d̪ʲiɐlɪ̞ktʊ̞ɫʊ̞gik
диана	djˈɑnˈa
диарама	dijarama
диктант	dɪtˈant
дилара	dˈiːlaɾˈa
дилбегә	dʲilbɪ̞gæ
дилбегә	dʲilβɪ̞ɣæ
дилбәр	dʲilbær
дилбәр	dʲilβær
дилбәрә	d̪ilbæɾæ
дилдар	d̪iʝd̪aɾ
дилә	dʲilæ
дим	diːm
дим	dʲim
димләп	ðimlæp
димләргә	ti̠mlærgæ
димләү	dimlew˨
дин	dʲin
дин	d̪e̞n
динара	d̪iɾaɾa
дини	ðini
динислам	d̪ineslam
динмөхәмәт	dʲinmʏ̞χæmæt
динә	dinæ
диуана	dʲewɑnɑ
диуар	dʲiwär
дияз	dˈiːz
дияс	dijos
диңгеҙ	dʲiŋgɪ̞ð
доза	doza
донжуан	dˈɔnʒoˈan
донъя	dʊ̞njɑ
донъя-мазар	dɯ̞njɑmɑzɑr
донъяһына	dʊ̞njɑhɯ̞nɑ
донға	dunˈʁɑ
дошман	dʊ̞ʂmɑn
дошманлашырға	dʊ̞ʂmɑnɫæʂɪ̞rʁɑ
дошманһыҙ	dʊ̞ʂmɑnhæð
доға	dʊ̞ʁɑ
дуға	dˈuɣa
дуғаланырға	duʁɑɫɑnʊ̞rʁɑ
дуғалы	duʁɑɫæ
дуғаһын	dugɑhɯ̞n
дуңғыҙ	duŋɢɯ̞ð
дуҫ	duθ
дуҫ	dˈus
дуҫлыҡ	duθɫɯ̞q
дуҫтарса	duθt̪arsɑ
дым	dɯ̞m
дымларға	dɯ̞mɫärʁa
дымлы	ðɯ̞mɫɯ̞
дымлылыҡ	dɯ̞mɫɯ̞ɫɯ̞q
дүрт	dɵɾt
дүртенсенән	d̪ɪrtʰɪnsɪ̞næn
дүрткел	dʏrtkæl
дүртәү	dɵɾtæw
дүртәү	zurtɛw
дүшәмбе	dʏʃæmbɪ̞
дәлил	dæliːl
дәлил	dælʲil
дәрдеман	dærdæmɑn
дәрес	dærɪ̞s
дәрт	dæɾ
дәртле	dærtlæ
дәртләнеү	dærtlænɪ̞w
дәрүиш	dˈɛrwˈɪʃ
дәрәжә	dæræʒæ
дәрәжә	ðɛrɛʒɛ
дәрәжәһеҙ	dæɾæʒæhɯ̞ð
дәфтәр	dæftær
дәфтәр	dæftæɾ
дәғибә	dæɣʲibæ
дәғүә	dæʁwæ
дәғүәләргә	ðæɢwælærgæ
дәү	dˈɛʊ
дәүер	dæwɪ̞r
дәүләт	dæwlæt
дәүләт-ара	dæwlætara
дәүләтбикә	dæwlætbʲiʲkæ
дәүләтгәрәй	ðæwlætgæɾæj
дәүләткирәй	ðæwlætkʲiræj
дәүләтсура	dæwlætʃuɾa
дәүләтша	dæwlʲɑtʃɑ
дәүләтъяр	tɛwlætjɑr
дәүләтьяр	dæwlætjɑr
дәүләтҡол	dæwlætqɯ̞ɫ
дәүләтҡолов	dæwlætqʊ̞ɫɯ̞f
дәүмәл	dau̯mɛl
дөгө	dʏ̞gʏ̞
дөйә	dʏ̞jæ
дөйөм	dʏ̞jʏ̞m
дөм-ҡараңғы	dɪ̞mqɑrɑŋʁɯ̞
дөрөҫ	dʏ̞rʏ̞θ
ебегән	jɪ̞bɪ̞gæn
ебетергә	jɪ̞bɪ̞ðɪ̞rgæ
ебәк	jɪ̞bæk
ебәргәйне	jɪ̞bærgæjnʲɪ
ебәргән	jɪ̞bɛrgæn
ебәргәс	jɪ̞bɛrgʲɛs
ебәреүсе	jɪ̞bærɪ̞wsæ
ебәрмәйне	ɪ̞bɛrmæjnɯ̞
ебәрмәҫ	jɯ̞bærmæθ
ебәрмәһен	jɪ̞bɛrmæhɪ̞n
европа	je̞vro̞pa
егергә	jɪ̞gɪ̞rgæ
егерме	jɪ̞gʲɪrmæ
егерменсе	jɪ̞gɪ̞rmɪ̞nsɪ̞
егет	jɪ̞gɪ̞t
егет	jɪ̞ɣɪ̞t
егетләнеү	jɪ̞gɪ̞tlænæw
егеттәрсә	jɯ̞gɯ̞ttærsæ
егән	jɑgɛn
егәр	jɪ̞gær
егәрле	jɪ̞gærlɪ̞
егәрле	jɪ̞gærɫæ
ейән	jɪ̞jæn
ейәнбикә	jɪ̞gænbʲekæ
ейәнбирҙе	jɪ̞jænbʲirðɪ̞
ейәнсәр	jɪ̞jænsær
ек	jɪk
екеренде	jɪ̞kɪ̞rɪ̞ntæ
ел	jɯ̞ɫ
елдереп	jɪ̞ɫdɪ̞rɪ̞t
елдерергә	jɪ̞ɫdɪ̞rɪ̞ðgæ
елдерә	jɪldɪ̞ræ
елдерәсәк	jɪ̞ɫdɪ̞rɛsæk
елдән	jɯ̞ɫdæn
елек	jɪ̞lɪ̞k
елем	jɪlɪ̞m
елен	jɪ̞lɪ̞n
елкә	jɪ̞lkæ
елкән	jɪ̞lkæn
елкәнле	jɪ̞lkændʲɪ
елкәнһеҙ	i̠ɫkænhɯ̞ð
елләнергә	jɪ̞llɛnirgæ
елтерәт	jɪltɪ̞rɛt
елтерәтеп	jɪ̞ɫtɪ̞rɛtɪ̞p
елтерәтергә	jɪltɪ̞rætɪ̞rgæ
еләк	jɪ̞læk
еләкле	jɪ̞ɫɛkɫɪ̞
еләкһеҙ	jɪlækhɪ̞ð
еләнле	jɪ̞ɫˈɛnɫe
еләнһеҙ	jɪ̞ɫɛnhɪ̞ð
емереклек	jɪ̞mɪ̞rɪ̞klɪ̞k
емерелеп	jɪ̞mɪ̞rɪ̞ɫæp
емеш	jɪ̞mɪ̞ʃ
емеш-еләк	ʲɪmʲɪʃkʲiɫæk
емтек	jɪ̞mtɪ̞k
ентекле	jɪ̞ntɪ̞kɫɪ̞
ентекләп	jɪ̞ntɪ̞klæp
енәйәт	jɪ̞næjæt
ер	jɪ̞r
ергә	jɪ̞mgæ
ерек	jɪ̞rɛk
ерек	jɪ̞rɪ̞k
ерлек	jɪ̞rlʲɪk
ерлекле	jɪ̞rɫɪ̞kɫɛ
ерләгән	jɪ̞rɫægæn
ерләгәндән	jɪ̞rɫægændæn
ерләп	jɪ̞rɫɛp
ерләү	jɪ̞rɫɛʏ
ерҙә	jɪ̞rdæ
ерҙән	jɪ̞rðæn
ерән	i̠ræn
ерәнергә	jɪ̞rɛnɪ̞rgæ
етди	jɪ̞dʲːi
ете	jɪ̞tɛ
ете	jɪ̞tɪ̞
етегән	jɪ̞tɪ̞gæn
етем	jɪ̞tɪ̞m
етергә	jɪ̞tɪ̞rgæ
етешергә	jɪ̞θɪ̞ʂɪ̞rgæ
етешкәнсе	jɪ̞tɪ̞ʂkɛnsɪ̞
етештерергә	jɪ̞tɪ̞ʂtɪ̞rɪ̞rgæ
етештереү	jɪ̞tɪ̞ʃtɪ̞rɪ̞w
етешһеҙ	jɪ̞tɪ̞ʂhɪ̞ð
етешһеҙлек	jɪ̞tɪ̞ʃhɪ̞ðlɪ̞k
етешһеҙлек	jɪ̞tɪ̞ʃhɪ̞ðːɪ̞k
етеҙ	jɪ̞tɪ̞ð
еткерергә	jɪ̞tkɪ̞rɪ̞rgæ
еткән	jɪ̞tgæn
етмәгән	jɪ̞tmægæn
етмәйсе	jɪ̞tmæjsɪ̞
етмәһен	jɪ̞tmɛhɪ̞n
етмәһә	jɪ̞tmæhæ
етте	jɪ̞tːæ
еттеме	jɪ̞tːɪ̞mɛ
етә	jɪ̞tæ
етәкләргә	jɪ̞tæklærgæ
етәксе	jɪ̞tæksɪ̞
етәр	jɪ̞tær
етәр	jɪ̞tɛr
етәү	jɪ̞tæw
етәүләшеп	jɪ̞tɛwɫɛʂɪ̞p
етәһе	jɪ̞tæhʲɪ
еҙ	jɪ̞ð
еҙ	ɪv
еҙнә	jɪ̞ðnæ
еҙнә	jɯ̞ðnæ
ең	jɪ̞ŋ
еңгә	jɪ̞ŋgæ
еңгәләр	jɪ̞ŋgæ̹lær
еңел	jɪŋɪ̞l
еңелсә	jɯ̞ŋɪ̞ɫsæ
еңеләйтергә	jɪ̞ŋjɪ̞ɫæjtɪ̞rgæ
еңеүсе	jɪ̞ŋɪ̞wsɪ̞
еңеүсе	jɪ̞ŋɪ̞wsʊ̞
еңмешләнеп	jɪ̞ŋmɪ̞ʂɫænɪ̞p
еҫ	jɪ̞θ
еҫкәргә	jɪ̞ðkærgæ
еүеш	jɪ̞wɪ̞ʃ
жалюзи	ʒaljuzi
жаматай	ʒamataj
жандарм	ʒandɑrm
жаргон	ʒärgɔn
желатин	ʒɛɫatˈin
желе	ʒɛlʲe
жетон	ʒɪtɔn
жираф	ɣ̞iɾaf
жулик	ʒulik
журнал	ʐurnäɫ
журнал	ʒurnɑl
журналист	ʒurnalˈist
журналистика	ʒurnalʲistika
жәлил	ʒɛlˈil
жәүзә	ʒɛuzæ
жәүит	ʒɛbʲit
жәүәт	ʒɛu̯t
завод	zavot
завуч	zavut
зада	zada
заим	zajɯm
заира	zajra
зайлал	zajlɑl
закариа	zˈakariːɑ
закир	zɑkʲir
закирйән	zækʲirjæn
закон	zakon
законлаштырырға	zakonlɑʃtɯ̞rɯ̞rʁä
законлашып	zakonɫɑʂʊ̞p
залдағы	zɑldɑʁɑ
заман	zɑmɑn
заман	zɑˈmɑːn
замана	zɑmɑnɑ
заманда	zamanˈda
заманса	zamantsa
заманында	zɑmɑnɯˈndɑ
зарар	zəˈrɑr
зарарларға	zärɑrɫɑnʁɑ
зарарлау	zərärlau
зарем	zɑrɛm
зарим	zorim
зариф	zˈɑrɪf
зарифа	zorifa
зарланырға	zɑrɫɑnirɢa
зарланыу	zarlɑnɔw
зарур	zæɾuɾ
зат	zɒt
зауыҡ	zɑwɑq
зая	zajɑ
заян	zajɑn
зағафуран	zʁafoˈrɑn
заҡуан	zæqwaːn
заһир	zæhʲiːr
заһир	zɑhïr
заһира	zahira
заһит	zɑhʲiːt
заһиҙа	zˈɐhɪdˈa
заһри	zɑhri
зенит	zʲenʲit
зиада	zijada
зиафа	zˈiːfˈa
зилә	zile
зинасылыҡ	zʲinɑsɯ̞ɫɯ̞q
зиндан	zˈɪndɐn
зинира	zjˈnˈiːɾˈa
зиннәт	zʲinːɛt
зиннәтулла	zinnætuɫla
зинфира	zˈinfˈira
зинһар	zʲinɦaɾ
зирәк	zʲirɛk
зифа	zʲefɑ
зифа	zʲïfä
зияда	zˈiɐdɐ
зыя	zˈɪjɑ
зыян	zɯ̞jɑn
зыянланыу	zɯjɑnlɑrnɯ̞w
зыярат	zɯ̞jɑrɑt
зыяҡай	zɯjɑqɑj
зәбиб	zæbʲip
зәбибә	zæbibæ
зәбир	zævʲir
зәбих	zæbʲiχ
зәбиҙә	zəbiðæ
зәит	zˈæjːt
зәйни	zˈˈɛˈinˈe
зәйниә	zˈajnˈɪjɛ
зәйнулла	zajnullɑ
зәйнәб	zæjnæp
зәйнәп	zæjnæp
зәйнәп	zæjˈnæp
зәйнәшева	zajnæʃɯ̞ɫɑ
зәйтүнә	zæjtʏnæ
зәки	zɛki
зәкир	zækjɪr
зәкирйән	zɛkʲiːrjæn
зәкирә	zækʲi̯ræ
зәкиә	zɛkiɛ
зәлиә	zˈɛlijɛ
зәриә	zæɾjæ
зәғиф	saʁˈif
зәғифләнергә	zæɢeflænɪ̞rgæ
зәңгәр	zæŋgær
зәңгәрләнергә	zæŋgærlænirgæ
зәүжән	zɛvʒɛn
зәүрә	zɛʊrɛ
зөбәйҙә	zɪ̞bɛjðe
зөлфиә	zʏ̞lfʲiʲæ
зөлфәт	zælfæt
зөлфәҡәр	zɪ̞lfæqɛr
зөлхизә	zɪlχizæ
зөлхизә	zʏ̞lχɨ̯izæ
зөлҡәзә	ðɪ̞lqɛzɛ
зөлҡәғиҙә	zɪ̞lqæɢiðæ
зөләйха	zʏ̞læjχa
зөләйха	zʏ̞læjχæ
зөләйхә	zʏ̞læjχæ
зөмәрә	zɪ̞mærʲɪ
зөфәр	zʏ̞fær
зөфәр	zˈˈfˈɛr
зөһрә	zʏ̞hræ
иçергә	iðɪ̞rgæ
иçке	ʲiskɪ̞
иçкәртергә	i̠ðkæɾtɪ̞rgæ
иçәнләшергә	i̠θænlɛʃɪ̞rgæ
ибис	iːbɪs
иблис	iblis
иблис	iblʲis
иблистәрсә	jblistɛrsæ
ибнеәмин	ibnɛmɪn
ибрай	ibraj
ибраһим	ɪbɾɑhɪm
ибраһим	ɪbɾɑhˈim
ибәт	iːbˈɛt
ибәтулла	ibætuɫːɑ
ибәтәйһеҙ	ibætæjhɯ̞ð
иван-казанка	ivanakazanka
иван-ҡыуалат	ʲivɑnqɯ̞uɑɫɑt
иген	igɪ̞n
игенсе	jɪgɪ̞nsɪ̞
игеҙ	igɯ̞ð
игеҙәк	igɪ̞ðæk
игеҙәктәр	igɪ̞ðæktær
игәргә	igærgæ
игәү	igæw
идара	iðɑrɑ
идаралыҡтағы	iðɑrɑɫɯ̞qtɑʁɯ̞
ижад	i̠ʐät
ижади	iʒadɨ
ижек	eʒɪ̞k
ижек	iʒɪk
изге	izgɪ̞
ике	ekɪ̞
икебеҙ	ikɪ̞bɪ̞ð
икегә	iːkɪ̞gæ
икеләнеп	i̠kɪ̞lænɪ̞p
икеләнергә	i̠kjɪlɛnɪ̞rgæ
икеләнә	i̠kɪ̞ðɛnæ
икенде	ekɪ̞ndɪ̞
икенсенеке	ikɪ̞nsɪ̞nɪ̞kæ
икмәк	ikmæk
икмәк	itmɛk
икәү	ekæw
икәүләп	ikæʏlæp
ил	il
ил	iːl
илама	ɫama
иларга	ilɑrʁɑ
иларға	iɫɑrʁɑ
илат	ilat
илатма	ilatma
илау	ilow
илағас	ilɐgas
илаһа	ilaha
илбаçар	ilbɑsɑr
илбар	ilbɑɾ
илбарис	ilbariˈs
илбатыр	ilˈbɑtˈr
илбикә	ilbʲikæ
илбул	ilbɔɫ
илбәк	iːlbæk
илгиз	ilgiz
илгизә	ilgizæ
илгизәр	ilgizær
илдар	ildär
илдар	ilð̞aɾ
илдәре	ilðærɪ̞
илембәт	ʲiɫɪ̞mbæt
илйән	iːljˈɛn
илле	ilːe
илмир	ilmiːr
илморат	ilmɯ̞rɑt
илназ	ilnˈɔz
илнур	elnuɾ
илнур	ilnˈɔɾ
илсе	ilse
илсебай	ilsɪbɑj
илсен	ilsen
илсенбәт	jɪlsɪnbæt
илсөйәр	ilsijɛɾ
илтабан	iltˈɑbˈɑn
илтенбай	ʲiltɪ̞nbɑj
илтер	ɪltɛr
илтергә	i̠ɫt̪ɪ̞rgæ
илтеүсе	i̠ɫtɪ̞wsɛ
илфар	ilfor
илфат	iːlfat̪
илфир	ilfiːr
илшат	iːlʃat
ильяс	ɪljɑs
илүсә	ilusæ
илһам	ilhäm
илһам	iɫhɑm
илһам	ɪlɦɑːm
илһамландырырға	ilhɑmɫɑntɯ̞rɯ̞ðʁä
илһамландырыусы	ilhɑmɫɑntɯ̞rɯ̞ɫsʊ̞
иләк	elæk
иләк	iːlɛk
иләнмәгән	ʲilænmæˈgæn
иләү	elæw
имай-утар	imajʊ̞wt̪ɑɾ
имамғол	imɑmʁi̠ɫ
иман	imɑn
иман	ïmɑn
иманбай	ʲimɑnbɑːj
иманғол	imɑnɢɯ̞ɫ
иманһыҙ	ɪ̞mɑnhɯ̞ð
имаш	imˈaɾʃ
имгәнергә	ʲimgɛnɪ̞rgæ
именлектең	dʲemɪ̞nɫʲɪktʲɪŋ
имеп	imɛp
имергә	imɪ̞rgæ
имеш	iːmɪ̞ʃ
имеҙергә	ʲimɪ̞ðɪ̞rgæ
имза	imˌzaː
имза	ïmzä
имза	ïmzɑ
имлә	ʲimlæ
имсәк	imsæk
имтихан	i̠mtʲi̠χän
имшеү	imʃɪ̞w
имән	imen
имән	imæn
имәнбәк	ʲimænbæk
ин	ɪn
ингән	iŋgæn
ингәс	jɛngɛs
индереп	ʲintɪ̞rʊ̞p
индерергә	ʲintɪ̞rʊ̞rgæ
индерешергә	ʲintɪ̞rɪ̞ʂɪ̞rgæ
индермәй	ɪ̞ndɪ̞rmæj
инер	iːnɯ̞r
инес	iˈnes
инеш	iːnɪ̞ʃ
инйәр	injæɾ
инмәне	i̠nmænæ
инсан	ïnsän
инсаф	ɪnˈsɑf
инсебикә	insɪ̞bʲikæ
институт	ˌiŋstitˈut
институты	institutɯ
инструмент	instrumʲɛnt
инсур	insuɾ
интегергә	ɪ̞ntɪ̞gɪ̞rgæ
интектереү	i̠n̪t̪ɪ̞kt̪ɪ̞rɪ̞w
интенсив	intensif
интернет	intɤrnɛt
интернет	intɨrnɛt
инша	i̠nʂä
инша	ɪn˥˩ʂɑː˥˩
иншалла	ïnʂäɫːä
иншар	enʃaɾ
инһә	ʲiŋhæ
инә	iːnɛ
инәй	inæj
инәй	iːnɛj
инәл	iːnɛl
инәлергә	ʲinælɪ̞rgæ
инәсәк	iˈnesɛk
инәүле	iˈnæwlæ
инәһенән	i̠næhænæn
ипләп	iplæp
ипләп	ip̞lɛp
иптәш	iptæʃ
ир	irĕ
ир	ir̥
ир	i̠ɾ
ир-ат	irɑt
ираман	iramɑn
иран	iːɾˈɑn
ирбай	rbɑj
ирбул	i̠ɾbɔɫ
ирбулат	i̠ɾbwɫät
ирегәс	irʊgɛs
ирек	irɪ̞k
ирекле	irɪ̞klɪ̞
ирекмән	irɪ̞kmæn
ирекһеҙҙән	i̠rɪ̞khɪ̞zːæn
ирен	irɪ̞n
иренеү	iːrɪ̞nɪ̞w
иретмә	ɪ̞rɪ̞tmæ
ирешергә	i̯rɪ̞ʂærgæ
ирештерергә	i̯rɪ̞ʂtʲɪrɪ̞wgæ
иреү	ɪ̞rɪ̞w
иркә	irkæ
иркә	i̠ɾkæ
иркәбикә	iɾkæbʲekæ
иркәгөл	i̠r̥kɛgɪ̞l
иркәк	irkæk
иркәк	irtæk
иркәләү	irgæ̹læʏ
иркәләүсе	irkælɛwsɪ̞
ирле	irɫe
ирлән	irlæn
ирлән	ir̥læn̪
ирмәк	irmæk
ирмәк	rmæk
ирназар	iɾnäzɑr
ирнур	iɾnoɾ
иртүк	irtʏ̞k
иртә	irtæ
иртәгә	irtægæ
иртәгәгә	irtægægæ
иртәгәһе	i̠ɾtægæhɪ̞
иртәгәһенә	i̠ɾtægæhɪ̞næ
иртәләү	ʲirtælæʏ
иртән	irtæn
иртәнге	irtængæ
иртәнсәк	irtænsak
иртәнсәк	irtænsæk
иртәнсәктән	irtænsæktæn
иртәнән	irtænæn
иртәрәк	iθˈtɛrˌɛk
ирхан	i̠ɾʁɑn
иршат	i̠ɾʃɑt
ирғужа	irɣuʒa
ирҙәр	irðær
ирәмәл	iɾæmæl
исем	esɪ̞m
исемгөл	ʲisʲɪmgʏ̞l
исемлек	isɪ̞mlɪ̞k
исемләргә	ʲisɪ̞ɴɫærgæ
искәндәр	iskændær
искәндәр	ʲiskændær
искәндәриә	iskændærijæ
ислам	izˈɫɑm
ислам	i̠sɫɑm
исланд	jisland
исмаҡай	ɪ̞smɑqɑj
исмаһам	esmähäm
исмаһам	jsmɑhɑm
исмәғзәм	ʁ̝ɪsmɛʁzæm
исмәғәзәм	esmɛʁɛzɛm
исмәғәләм	isˈmɛgælæm
испан	ɛspan
исрафил	ïsɾɑfʲïɫ
исәргәп	isærgæp
ит	it
итек	itɪ̞k
итек	itˈɛk
ител	ɪ̞tɪ̞l
ителгән	jtlgæn
ителергә	ʲitjɪlɪ̞rgæ
ителмәндәр	i̠tjɪlmændær
итеп	iːtɪ̞p
итер	itɛr
итергә	iːtɪ̞rgæ
иткәйнем	i̠tgɛjnɪ̞m
итләс	iːtlɛs
итмәгән	iːtmɛgæn
итмәгәс	ʲitmɛgɛs
итте	itːɛ
иттем	iːtːɪ̞m
иттереп	itɪ̞rɪ̞p
иттерер	i̠tːɪ̞rɪ̞ð
иттифаҡ	itːɪfəq
итә	itæ
итәйек	ʲitæjɪ̞k
итәк	itæk
итәк	itɛk
итәкле	itæklɪ
иудаизм	iːudˈaˈizm
ифрат	iːfrat
ихаталарға	iχɑtɑɫɑrʁɑ
ихаталаусы	iχɑtɑɫɑɫsɯ̞
ихтилал	ïχtʲïɫɑɫ
ихтимал	iɾtimˈɑl
ихтималлыҡ	ʲiχtʲimɑnɫɯ̞q
ихтирам	ïχtʲïrɑm
ихтирамларға	iχtʲiɾɑmɫɑrʁɑ
ихтыяж	ïχtɯ̞jɑʐ
ихтыяр	ïχtɯ̞jɑr
иш	iʃ
ишара	esarˈa
ишбулат	iʃbulɑt
ишбулды	iʃbwɫdɯ̞
ишдәүләт	iʃdæwlæt
ишек	iʃɛk
ишек	iʃɪ̞k
ишембәт	iʃɪ̞mbæt
ишетергә	iʃɪ̞tɪ̞rgæ
ишеттереү	iʃɪ̞tːɪ̞rɪ̞w
ишетһә	i̠ʂɪ̞ðhæ
ишеү	iʃɪˈv
ишим	iʃiːm
ишйәр	iʃjɛr
ишкилде	iʃkildæ
ишкәк	iʃkæk
ишкәксе	tɪʃkɛksɪ̞
ишле	iʃlæ
ишмеяр	iʃmijɑɾ
ишмырҙа	iʃmɐrða
ишмәкәй	iʃmækæj
ишмәт	esmɛt
ишсолтан	iʃsʊ̞ɫtɑn
иштимер	iʃtʲimɯ̞r
иштуған	iʃtugɑn
иштәктәр	iztɛktɛr
ишҡол	iʃqʊ̞ɫd
ишҡыуат	iʃqɯ̞uɑt
ишҡәле	iʂqælʲɪ
ишәйгән	iʃeˈjgæn
ишәк	eʃæk
ишәк	iʃæk
иғдәүләт	iʁdæwlæt
иғлан	iʁlɑn
иғлан	ïʁɫɑn
иғтибар	eχtɪbär
иғтибар	eχtɪbɑr
иғтибар	iɣtibɑr
иғтибарһыҙ	iχtɪ̞bɑrhɯ̞ð
иғәнәсе	iɣænɛsɪ̞
иҙел	iðɪ̞l
иҙелергә	iðɯ̞ɫɪ̞rgæ
иҙергә	iðɪ̞rgæ
иҙән	iðæn
иҡбал	iqbɑl
иҡсан	ɑqsɑn
иҡтисад	i̠qtʲi̠sät
иҡтисади	aqtisadj
иң	iŋ
иңкәйергә	i̠nkæjɪ̞rgæ
