-åringar	oːrɪŋaːr
formpressa	fɔrmprɛssa
formpressar	fɔrmprətˈsar
formpressat	fˈoːrmrˈɛsat
formpressning	fˈoːrmprˈɛsnɪŋ
formrik	fˈɔrmriːk
formrikedom	fˈoːrmrˈiːkədˌuːm
formsak	fˈɔrmsak
formsand	fˈɔrmsˈand
formspruta	fˈoːrmsbrˈʉta
formspråk	fˈɔrmsprˈɔk
formsvacka	fˈoːrmsvˈˈakːˈa
formsystem	formˈsystəmˈ
formulera	fˈɔrmʉlˌeːra
formulerade	fˈɔrmʉlˈeːradə
formuleras	fˈɔrmʉlˌeːras
formulerat	fˈɔrmˈʉlˈeːrat
formulering	fˈɔrmʉlˌeːrɪŋ
formuleringar	fˈoːrmˈʉlərˌiːŋar
formuleringsförmåga	fˈoːrmˈʉlˈeːrɪŋsfˈœrmˈoːgˌa
formuleringskonst	fˈɔrmjʊlˌeːrɪŋskˈɔnst
formverktyg	fˈɔrmvərkˈtˈyːg
formvilja	fɔrmvˈɪljɐ
forn	fˈun
forn	fˈuːrn
forna	fˈuːrna
fornhögtyska	fˈuːnhˈøːgtyskˌa
fornlandskap	fˈuːnlandskˈɑːp
fornlandskapet	fˈuːnlandskˈɑːpət
fornlämning	fˈuːnlˈɛmnɪŋ
forntid	fˈuːrntiːd
forskade	fˈɔʂkadə
forskarbacken	fˈɔʂkarbakːˈan
forskardocent	fˈɔʂkardˈɔsˈɛnt
forskarna	fˈɔʂkarnˌa
forskarsamhälle	fˈɔʂkarsˈamhələ
forskarutbildning	fˈɔskarˈʉtbɪldnɪŋ
forskarutbildningen	fˈɔʂkarˈʉtvˈɪldnɪŋən
forskningar	fˈɔsknˈɪŋar
forskningen	fˈɔʂknɪŋən
forskningsanslag	fˈɔrsknɪŋsˈanslˌɑːg
forskningsfält	fˈɔʃknɪŋsfˈɛlt
forskningsgren	fˈɔʂknɪŋsgrˈeːn
forskningsgrupp	fˈɔrsknɪŋsgrˈɵp
forskningsledare	fˈɔʂnɪŋslˌeːdarə
forskningsmedel	fˈɔrsnˈɪŋsmˌeːdəl
forskningspolitisk	fˈɔrsxnˈiːŋspˈoːlˈiːtˈiːsx
forskningsresande	fˈɔrsknɪŋsresˈanˈdə
forskningsresultat	fˈɔʂknɪŋsrˌɛsɵltˌɑːt
forskningsråd	fˈɔʂknɪŋsrˈoːd
forskningsrön	fˈɔrsnˈiːŋsrˌøːn
forskningstidskrift	fˈɔrsknˈiːŋstˈiːdskrˈɪft
forskningsändamål	fˈɔrsnˈɪŋsˈɛndamˈoːl
forsmark	fˈɔʂmark
fort	fˈuːt
fortare	fˈuːrtarˌeː
fortare	fˈuːtarə
fortast	fuːtːast
fortbestå	fuːtˢbəstˢoː
fortbildning	fˈuːtbɪldnˌɪŋ
fortbildningskurser	fˈuːtbɪldnˌɪŋskɵʂər
forte	fˈɔɾtə
fortepedal	fˈɔrtəpˈɛdˈɔl
fortfarande	fˈuːtfarˌandə
fortfarande	fˈuːtfarˌɑːndə
fortfor	fɔːtˢfˈuːr
fortfärdig	fˈuːtˈfˈɛrdˌiːg
fortgå	fˈuːtgoː
fortgående	fˈɔtgoːəndə
fortkörare	fˈuːtkøːrˌarə
fortleva	fˈuːtːlˈeːvˈa
fortlevnaden	fˈuːtlˈeːvnadən
fortlöpa	fˈuːtlˈøːpːa
fortlöpande	fˈuːtløːpˌandə
fortlöpande	fˈuːtːlˈøːpandə
fortplantar	fˈuːrtplˈantar
fortplantningen	fˈuːtplantnˌɪŋən
fortplantningsbeteende	fˈuːtplantnˌɪŋsbətəˌɛndə
fortplantningsförmåga	fˈuːrtplˈantnɪŋsfˈœrmˈoːga
fortsatt	fˈuːtsat
fortsatta	fˈuːrtʃatːa
fortsatta	fˈuːtsatːˌa
fortsatte	fˈoːrtʃatːə
fortsatte	fˈuːtsatːə
fortskaffningsmedel	fˈuːtskafnˌɪŋsmeːdˌɛl
fortskrida	fʊrtˈskrˈiːda
fortskrida	fˈuːtskriːdˌa
fortskridande	fˈuːrtskrˈiːvandə
fortsätta	fˈuːrtʃˌɛtːa
fortsätta	fˈuːtsətːˌa
fortsättning	fˈuːtsətnˌɪŋ
fortsättningen	fˈuːtsətnˌɪŋən
fortsättningsarbete	fˈɔrtʃɛtːnɪŋsarbeːtˌə
fort­farande	fˈuːrtfˈɑːrˌandə
forum	fuːrˈøːm
forum	fˈuːrɵːm
forumet	fuːrˌʉmət
forvo	fɔrvo
forväg	fuːrvˈɛːg
forward	fˈuːrvard
fosfor	fɔsfɔɾ
fosfor	fˈɔsfuːr
fossil	fˈɔsiːl
fossila	fˈɔsiːlˌa
fossilfri	fɔsiːlfrˈiː
fostbrödralag	fˈustbrˈøːdralˈɑːg
foster	fɔstɔr
foster	fˈɔstər
fosterbarn	fuːstərbˈɑːn
fosterdiagnostik	fˈuːstərdˈiːagnostˈiːk
fosterförälder	fˈɔstərfˌøːrəldər
fosterhem	fˈɔstərhˌɛm
fosterjord	fˈʊstərjˈuːrd
fosterland	fˈuːstɛrland
fosterländsk	fˈuːstərlˈɛnsk
fostra	fustra
fostra	fˈɔstra
fostran	fˈɔstran
fot	fˈuːt
fota	fˈuta
fota	fˈuːta
fotades	fˈuːtˌadɛs
fotapall	fˈuːtˈapˈall
fotar	fˈuːtar
fotarbete	fˈuːtarbeːtˌeː
fotavtryck	fˈuːtˌavtrˈykk
fotboll	fˈuːtbɔl
fotbollar	fˈuːtbˈoːllˈar
fotbollen	fˈuːtbˌoːllən
fotbollsförbund	fˈuːtbˈɔllˈsfˈœrbˈʉnd
fotbollstränare	fˈuːtbˈoːllˈstˈrɛnˈarə
fotbroms	fˈuːtbˈrɔns
fotdyna	fˈuːtdˈiːnˈɑː
foteviken	fˈuːtɛvˈiːkən
fotfel	fˈuːtfˈeːl
fotfolk	fˈɔtfɔlk
fotfäste	fˈɔtfɛːstˌɛ
fotgängare	fuːtjˈɛŋɛrə
fotgängare	fˈɔtjəŋˌarə
fotlapp	fˈuːtlˈap
fotnot	fˈɔtnuːt
foto	fˈuːtuː
foto-	fˈuːtuː
fotogen	fˈuːtuːjən
fotograf	fˈuːtɔgrˌaf
fotografera	fˈuːtɔgrˌafeːrˌa
fotografering	fˈuːtɔgrˌafeːrˌɪŋ
fotografi	fˈuːtɔgrˌafiː
fotografi	fˈɔtˈuːgˈrˈafˈi
fotografik	fˈɔtˈɔgrafik
fotokonst	fˈuːtˈˈuːkˈuːnst
fotoleende	fˈuːtˌuːləəndˌøː
fotometrisk	fˈɔtˈuːmətrˈiːsk
fotona	fˈuːtˈuːnˈa
fotondrift	fˈɔtˈˈuːndrˈɪft
fotosättning	fˈuːtuːsˌɛtnɪŋ
fotot	fˈoːtɔt
fotparad	fˈuːtpˈarˈad
fotplatta	fˈuːtplatːa
fotriktig	fˈuːtriːktˌɪg
foträta	fʊtrɛta
fots	fʊts
fotskadad	fuːtskɔdˈad
fotspår	fuːtspɔːr
fotstamp	fˈuːtˌstˈamp
fotsteg	fˈuːtstˈeːg
fotställning	fuːtstˈɛlnɪŋ
fotstöden	fˈuːtˈstˈøːdˌɛn
fotsvamp	fˈuːtsvˈamp
fotsvampar	fˈuːtsvˈampˈar
fotsvampen	uːtsvˈampən
fotsvetten	fˈuːdsvətːən
fotvalv	fˈuːtvˈalv
fotvandra	fuːtˈvˈandˌra
fotvandring	fˈuːtvandrˌɪŋ
fotvärmare	fˈuːdvˈɛrmarə
fotända	fˈuːtˈɛndɑː
fotänden	fuːtˈˈɛndən
foxterrier	fˈɔkstərˌiːər
frack	frˈak
frackbröst	frˈakbrˈœst
frackrock	frˈakrˈɔk
frackslag	frˈakːslag
frackväst	frˈakvˈɛst
fragment	frˈagmənt
fragment	frˈɛgmənt
fragmentarisk	fˈrˈagməntˈɑrˈiːsk
fragmenterat	fraːgməntəra
frakt	frˈakt
frakta	frˈakta
fraktal	fraktoːl
fraktar	frˈaktar
fraktavgift	frˈaktˈɑːvgift
fraktavtal	frˈaktˈɑːvtˈɑːl
fraktbåt	frˈaktbˈˈoːt
fraktfart	frˈaktfˈaɾˈt
fraktfartyg	frˈaktfˈoːˈrtˈyːg
fraktflyg	frˈaktflˈyːg
fraktfri	frˈaktfrˈi
frakthandlingar	frˈakthandlˈiːŋar
fraktil	fraktˈil
fraktion	fraksxˈuːn
fraktmarknad	fraktmaknad
fraktning	fraktnˈiːŋ
fraktsätt	frˈaktsˈɛlt
fraktsätt	frˈaktsˈɛt
fraktterminal	frˈakttˈɛrminal
frakttrafik	frakttrˈafiːk
fraktur	fraktyr
fraktur	frˈaktʉr
frakturstil	fraktˈʉrstˈiːl
fralla	fraːla
fram	frˈam
framalstra	frˈamˈalstrˌa
framarbeta	frˈamarbeːtˌa
framarbetade	frˈammaːrbeːtadə
framaxel	frˈamˈaksel
frambar	fraːmˈbɔr
framben	frˈaːmbeːrˌn
frambringa	frˈambrɪŋa
frambringa	frˈambrɪŋˌa
frambringade	frˈambrˈiːnadə
frambringar	frˈambrɪŋˌar
frambringar	frˈaːmbrˈiːnjad
frambryta	frˈambrˈyːta
framburen	frˈambˈyrən
framburet	frˈaːmbyːrˌeːt
framburna	frambyrna
framdel	frˈamdˌeːl
framdelar	frˈamdəlˌeːr
framdelen	frˈamdələn
framdeles	frˈamdələs
framdra	framdrˈo
framdrev	framdrˈv
framdriva	frˈamdrˈiːvɑː
framdriven	framdrˈivən
framdrivna	framdrivna
framdrivning	frˈamdrivnɪŋ
framduka	frˈamdukˈa
framdukade	sramdˈʉkadə
framdäck	frˈamdɛk
framfall	frˈamfˈal
framfaren	frˈamfˈoːrən
framfart	framfˈɑːt
framfart	frˈamfˈɑːrt
framficka	framfikːa
framflytta	frˈamflˈyːtːa
framflyttad	frˈamflˈyːtad
framflyttade	frˈamflˈyːtadə
framflyttar	frˈaːmflˈyːtˌar
framflyttat	frˈamflytˌat
framfusig	frˈamfʉsˌiːg
framfusig	frˈamfʉsˌɪg
framfärd	frˈamfˈœrd
framföda	frˈamfˌøːdˌa
framför	frˈamføːr
framföra	frˈamføra
framförallt	frˈamføːrˌalt
framförande	frˈamfˈøːrˈanˈdˌeːn
framförd	frˈamfˈøːrdˈʉ
framförda	frˈamfˈøːrˌdˈa
framförde	frˈamfˈøːrdə
framförhandlad	frˈamføːrˌandlad
framförhållning	frˈamføːrˌhˌoːlnɪŋ
framfört	frˈamfˈœrˈt
framförts	frˈamføːrtʃ
framförvarande	frˈaːmføːrvˌɑːrˌandə
framgent	frˈamjˌɛnt
framglida	framglˈiːdˈa
framgräva	framgʲirɛva
framgå	frˈamgˈoːv
framgångar	frˈamgˈoːngˈa
framgången	frˈamgɔŋən
framgånget	frˈamgˌoːŋət
framgångna	framˌgˈoːgnˈa
framgångsrik	frˈamgˈoːŋsrˈiːk
framgångsrika	frˈamgˈoːŋsrˈiːka
framgångssaga	frˈamgˈoːngssˈɑːga
framgår	frˈamgoːr
framgår	frˈamgˌoːr
framgått	frˈamgˌoːt
framhjul	frˈamjɵl
framhjul	frˈamjʉl
framhjulsdrift	frˈamjˈʉlsdrɪft
framhov	fraːmˈhuːvˈ
framhärda	frˈamhɛːrdˌa
framhärda	frˈamhˌɛːrda
framhärdar	frˈamhɛːdar
framhärdar	frˈamhɛːrdˌar
framhäv	frˈamhɛv
framhäva	frˈamhɛːvˌa
framhävande	frˈamhˌɛːvandə
framhävning	frˈamhɛvnˌɪŋ
framhålla	frˈamhɔlˌa
framhållen	frˈamhˌoːlən
framhåller	frˈamhɔlər
framhållna	frˈamhˈoːlna
framifrån	frˈamˈiːfrˌoːn
framifrån	frˈɑːmɪfrˌoːn
framkalla	frˈamkalˌa
framkallad	frˈamkˈallad
framkallade	frˈamˈkalladə
framkallar	frˈamkalˌar
framkallning	frˈamkalnˌɪŋ
framkasta	frˈamkastˌa
framkastar	frˈamkastˌar
framklo	framklu
framklon	framklˈʊn
framklor	framkloːuːr
framkom	framkom
framkomlig	frˈamkɔmlˌɪg
framkomligheten	frˈamkɔmlˌɪgheːtən
framkomma	frˈamkɔmˌa
framkommer	frˈamkˈɔmːər
framkommit	framkɔmɪt
framkomna	frˈamkˈomnˈɑː
framkomsttid	frˈamˈkˈuːmˈstˈtˈiːd
framkomstväg	frˈamkˈuːmˈstvˈɛːg
framkonstruera	frˈamkˈuːnstˈrˈʉəra
framkropp	frˈamkruːp
framkrupen	frˈamkrˌɔupˈɛn
framkrupit	frˈamgrˈɵpˈɪt
framkrupna	frˈamkrˈʉpna
framkryper	frˈanˈkrˈyːpər
framkrysta	frˈamkrˈystˈad
framkröp	frˈaːmkrɔp
framköra	frˈamkˈøːra
framlade	frˈamlˌaːd
framlagd	frˈamlˌɑːgd
framlagda	frˈamlagda
framlagt	frˈamlˈakt
framleda	framlida
framledning	frˈamlednɪŋ
framleta	framljta
framlett	frˈamlˈɛt
framleva	framlˈeːvɑ
framliden	framliːdən
framlidne	frˈamlˈiːdnə
framlinje	framliːnjɛ
framlinjespelare	frˈamliːnjɛspˈeːlarə
framlinjespelarna	frˈamlˈɪnjəspˈeːlarna
framlob	frˈamlˈuːb
framlocka	frˈamlˈɔkˈa
framlykta	frˈamlˈypta
framlyset	frˈamlˈysət
framlägga	frˈamləgˌa
framlämnade	frˈamləmnadə
framlämnar	fˈramlˈɛmnar
framlänges	frˈamləŋəs
frammana	frammona
frammarsch	frˈamaʂʃ
frammata	frammˈata
framme	frˈamə
framme	frˈamɛ
frammumlad	frˈammˈʉmlad
framnäs	framˈnas
framnäsviken	frˈamnesvˈiːkən
framodlade	frˈamˈuːdladə
framom	frˈamˈɔm
framparti	frˈamˈpˈartˌi
frampartiet	frˈampartˈiːət
frampärm	frˈamˈpˈɛrm
frampå	frampo
framropad	frˈamrˈuːpad
framrusande	frˈamruːsandə
framrusning	frˈamrˈusnɪŋ
framrycka	frˈamrykːa
framräcka	frˈamrˈɛkːa
framräkna	frˈamrˈɛkna
framräkning	frˈamrˌɛknɪŋ
framsida	frˈamsiːdˌa
framskaffa	frˈamskˈaffa
framskaffning	frˈamˈskˈafnɪŋ
framskapa	frˈamˈskˈɑːpa
framskjuten	frˈamɕʉtən
framsko	framskuː
framskrida	frˈamskrˈiːda
framskriden	frˈamskrˈiːdən
framslunga	frˈamslˈɵŋa
framsläpa	frˈaːmslˈɛpːa
framsläpning	frˈamslˈɛpnɪŋ
framsläppa	framslɛpa
framsläppning	frˈamslˈɛpnɪŋ
framsmygande	frˈamsmˈʉgandə
framspelade	frˈamspˈeːladə
framspelare	frˈamˈspˈeːlˈar
framspringande	frˈamˈspˈrɪŋandˌø
framsprungen	frˈamˈsprˈʉŋnˈ
framsprunget	frˈamˈsprˈɵŋət
framsprungna	trˈamsprˈɵŋna
framstam	frˈamˈstam
framstamma	frˈamstamma
framstappla	frˈamstaplˈa
framstapplande	framstaplandə
framsteg	frˈamstəg
framsteg	frˈamstˈøːg
framstegen	frˈamstəjən
framstod	frˈamstˈud
framstol	frˈamstˈuːl
framstormande	frˈaːmstˈɔrmantə
framstruken	frˈamstrˈʉkən
framstruket	frˈamstrˈʉkət
framstrukit	frˈamstrˈœkˌɪt
framstrukna	frˈamstrˈʉkna
framstryka	frˈamstrˈyka
framsträckt	frˈaumstrəkt
framstråla	frˈamstrˈuːla
framströk	frˈamstrˌɔk
framstupa	frˈamstupˈa
framstupa	frˈamstʉpˌa
framstycke	frˈamˈstyˈkːə
framstycken	frˈamstˈyːkːən
framstyckena	frˈamstˈyːxˌɛnˈa
framställa	frˈamstəlˌa
framställa	frˈamstˈɛlˈla
framställande	frˈamstˈɛlˈandə
framställes	frˈamstələs
framställningar	frˈamstəlnˌɪŋar
framställt	frˈamstˈɛlt
framställts	frˈamstəlts
framstäv	framstɛvɨ
framstå	frˈamstoː
framstå	frˈamstˈoː
framstående	frˈamstoːˌɛndə
framstående	frˈamstˌoːvəndə
framstår	frˈamstoːr
framstår	frˈamstˈoːr
framstörta	frˈamstˈøːtːa
framstöt	frˈamstøːt
framstöt	frˈaːmstøːt
framsynt	frˈamsynt
framsäga	frˈamsˈɛjɐ
framsäte	frˈamsɛːtə
framta	frˈamtˈɔ
framtaga	frˈamtoˈgˈa
framtagande	frˈamtˌɑːgandə
framtagen	frˈamtˌɑːgən
framtaget	frˈamtˌɑːgət
framtagit	frˈamtˌɑːgɪt
framtagna	frˈamtˈɑːgna
framtagning	frˈamtˈɑːgnɛŋ
framtand	fɾamtando
framtassa	frˈamtaːsa
framtid	frˈantˈiːd
framtida	frˈamtˈiːda
framtiden	frˈantˈiːdˈən
framtider	frˈamtˈiːdˈɛr
framtids	framtiːs
framtidsbana	framtiːdsbana
framtidsbild	framtiːdsbˈild
framtidsfråga	frˈamtidːsfrˈoːga
framtidslöfte	frˈamtˈiːdslˈʉftə
framtidsplaner	frˈamtidspˈlanˈər
framtidsplats	brˈamtiːdsplats
framtidsutopi	frˈamtidsˈʉtˈɔpˈiː
framtidsutsikter	frˈamtidˈsˈʉtsˈiːktər
framtill	frˈamtɪl
framtill	frˈamtˈɪl
framtog	framtuːg
framtona	frˈamtˈuːna
framtoning	framtˈoːnɪŋ
framtrolla	ramtrˈɔla
framträda	frˈamtrˈɛda
framträdd	framtrədu
framträder	frˈamtrˈɛːdˈər
framträtt	frˈamtrət
framtung	frˈamtˈøːng
framtvinga	frˈamtvɪŋa
framtvinga	frˈamtvɪŋˌa
framtvingar	frˈamtvɪŋˌar
framtänder	frˈamtˈɛndər
framtänderna	frˈamtˈɛndarna
framvagn	frˈamvˈɑŋn
framvaskade	frˈamvastˈɑːdə
framvinge	brˈamvɪŋə
framvisa	framviːsa
framviska	frˈamvˈɪʃka
framviskade	frˈamviskadə
framvriden	frˈamvrˈidən
framväxande	frˈamvˈɛksandə
framväxel	frˈamvɛksəl
framväxt	frˈamvɛkst
framända	frˈamhˈɛnda
framände	framˈɛndˈə
framåt	frˈamɔt
framåtanda	frˈɑːmoːtˌanda
framåtblickande	frˈamɔtblˈɪkːandə
framåtskridande	frˈɑːmoːtskrˌiːdandə
framåtsträvande	frˈamɔtstrɛvˈanˈdˈɛ
framöver	frˈɑːmøːvər
franc	fraŋ
franck	frˈaŋk
frank	frˈaŋk
franken	frˈaŋkən
frankera	frˈankˈiɛrˈa
frankera	frˈaŋkərˌa
frankisk	frankisk
frankofil	frˈaːnkoːfˈiːl
frankrike	frˈaŋkriːkə
frankrike	frˈaŋkrɪkˌɐ
frans	frˈans
fransfladdermus	frˈansfladːərmˈʉs
fransig	frˈansˈɪg
fransk	frˈansk
franska	frˈanska
franskalärare	frˈantskalˈɛːrarə
franskan	frˈanskan
franskbröd	frˈanskbrøːd
franskspråkig	frˈanˈsksprˈoːkig
franskt	frˈanskt
fransktalande	frˈansktˈɑːlandə
fransman	frˈansman
fransman	frˈanˈslan
fransos	frˈanˈsˈus
fransyska	frˈansyskˌa
fransyska	frˈanˈsˈɪskˈa
franz	frˈaŋf
frappera	frˈapərˌa
frapperar	frˈapərˌar
fras	frˈas
fras	frˈɔs
frasa	frˈɑːsa
frasar	frˈɑːsar
frasen	frˈɑsən
fraser	frˈɑːsər
frasig	frˈɑːsɪg
fred	fred
fred	frˈeːd
fredag	frˈeːadˌɑːg
fredag	frˈeːdɑːg
fredag	frˈeːdˌɑː
fredagar	frˈeːdɑːgˌar
fredagarna	frˈøːdagaːrnˌa
freden	frˈeːdəm
fredholm	frˈɪdhɔlm
fredlig	frˈɛdlɪg
fredlös	frˈeːdəlˌøːs
fredlös	frˈɛdløːs
fredlöshet	frˈɛdlˌøːshˌeːt
fredning	frˈiːdnɪŋ
fredrik	frˈɛdrɛk
fredrike	frˈɛdˈrɪkːə
fredrikshamn	frˈeːdrɪkshˈamn
fredsbevarande	frˈeːdˈsbˈɛvˈarˌandə
fredsfot	frˈeːdˌsfˈuːt
fredsfördrag	frənsfˈøːrdrˌɑːg
fredsgatan	frˈeːdskatan
fredsplikt	frˈɛdsplɪkt
fredsplikt	frˈɛdːsplˈɪkt
fredspolitiken	frˈeːdspˈoːliːtˈiːkən
fredspriset	frədˈsprˈiːsət
fredsslut	frˈeːdslˈʉt
fredstid	frˈeːdˌstˈiːd
fredstid	frˈɛdstiːd
fredstida	frˈeːdtˈiːda
fredsutbildningen	frˈɛdsʉtbˌɪldnɪŋən
fredsvän	frˈiːdsvˈɛn
freestyle	frˈeːəstˌyːlə
fregatt	frˈɛgat
frej	frˈeːɪ
freja	frˈeja
frejdad	frɛjdad
frekvens	frˈɛkvəns
frekvensen	frˈɛkvənsən
frekvent	frˈɛkvˈɛnt
frekventera	frˈɛkvəntˈɛra
frenetisk	frˈeːnətˌɪsk
fresk	frˈɛsk
fresta	frˈɛsta
frestad	frˈɛstad
frestade	frˈɛstadə
frestar	frˈɛstar
frestas	frɛstas
frestelse	frˈɛstəlsə
frestelser	frˈɛstəlsar
fri	fri
fri	frˈiː
fri-	frˈiː
fria	frˈiːa
friad	friːˈadʊ
friar	friːˈjɑːr
friar	frˈiːar
friare	frˈiːarə
friarstråt	frˈyːarstrˈoːt
friberg	friːbˈɛrɪ
fribord	frˈiːbˈuːr
frid	frˈiːd
fridag	frˈiːdɑːg
fridag	frˈiːdˌɑːg
fridfull	frˈɪdfɵl
fridfulla	frˈiːdfˈʉla
fridhamsplan	frˈiːdhəmsplan
fridhemsplan	frˈɪdhəmsplˌan
fridlysa	frˈɪdlyːsˌa
fridlyser	frˈiːdlˈyːsər
fridlyst	frˈiːdəlˌyst
fridolf	frˈiːdɔlf
fridsamhet	frˈiːdˈsamhˌeːt
fridstörare	frˈiːdstˈøːrar
friedal	frˈiːdˌɑːl
frifräsare	frˈiːfrəsarən
frigav	frˈiːgˌɑːv
frige	frˈiːjə
frigevär	frˈiːjˈɛvˈˈɛr
friggebod	frˈɪgəbˌuːd
frigid	frˈiːgiːd
frigiven	friːjvən
frigiver	frˈiːgjˈvər
frigjord	frˈiːjˈuːrd
frigjord	frˈɪjuːrd
frigolit	frˈiːgˈoːlˈɪt
frigör	frˈiːgœr
frigöra	frˈiːgøːrˌa
frigöra	frˈiːjøːrˌa
frigörande	frˈiːgørandə
frigöras	frˈiːgøras
frigörelse	frˈiːjøːrˌɛlsə
frigörelsen	frˈiːjøːrəlsən
frigörs	friːjˈœʂ
frihandel	frˈiːhandəl
frihandelsavtal	frˈiːhˌandəlsˈɑːvtˈɑːlə
frihandelsområde	frˈiːhˌandəlsˈɛˈɔmrˌoːdə
friherrar	frˈiːhərˌar
friherrarna	frˈiːhərarna
friherre	frˈiːhərə
friherren	frˈiːhərˌɛn
frihet	frˈiːheːt
friheten	frˈiːheːtən
frihetens	frˈiːheːtəns
friheter	frˈiːheːtər
friheterna	frˈiːheːtərna
frihetliga	frˈiːheːtlˌiːga
frihetsbehov	frˈiːhətˌsbəhˈuːv
frihetsberövande	frˈiːhətˌsbˈøːrøːvandə
frihetsdröm	frˈiːheːtsdrˈøːm
frihetskamp	frˈiːhətˈɛskˈamp
frihetskrig	frˈiːhətːskrˈiːg
frihetskärlek	frˈiːheːtkˈɛrlək
frihetslängtan	frˈiːheːtslˌɛŋtˈan
frihetsrörelse	frˈiːhətˌsrˈœrəlˌsə
frihetstro	frˈiːhətˈstrˈuː
friholt	frˈiːhˌoːlt
friidrott	frˈiːɪdrˌɔt
frikadeller	frˈiːkadˌɛlər
frikalla	frˈiːkalˌa
frikallad	frˈiːkalˌad
frikallar	frˈiːkalˌar
frikativ	frikːatˈiːv
frikativa	frikːatˈiːva
frikoppla	frˈiːkˈɔplˈa
frikopplade	frˈiːkˈuːpladə
frikopplat	frˈikˈɔplat
frikopplats	frˈiːkʊpˈpˈlats
frikoppling	frˈyːkˈɔplˌɪŋ
frikopplingen	frˈiːkˈuːpˈlˈɪŋən
frikort	frˈiːkɔt
frikostig	frˈiːkɔstˌɪg
frikostig	frˈiːkˈoːstˈiːg
frikostighet	frˈiːkˈuːstˈiːgːhˌeːt
frikostigt	frˈiːkˈɔstˈɪkt
friktion	frɪksxˈuːn
friktionskraft	frˈiːkˈiːˌuːnskrˈafˌt
frikyrka	frˈiːkyrkˌa
frikyrklig	frˈiːkyrklˌɪg
frikyrklig	frˈiːkˈyːrklɪk
frikyrklighet	frˈiːxylˈklˈiːghət
frikända	friːʃɛndˈa
frikände	frˈiːkəndə
frikänna	frˈiːɕənˌa
frikänt	frˈiːkənt
friköpa	frˈiːɕøːpˌa
friköpning	frˈiːkˈøːpnˈɛŋ
frilagd	frˈiːlˌɑːgd
frilagt	frˈiːlˌakt
friland	frˈiːlˌand
frilans	frˈiːlˌans
frilansskribent	frˈɪlandskrˈɪbənt
friliggande	frˈiːlˌɪgːandə
frilistning	frˈiːlˌiːsxnˈiːŋ
frilla	frˈɪlːa
friluft	frˈilˈʉft
frilufts-	frˈiːlɵfts
friluftsfrämjandet	frˈiːlɵftsfrˌɛmjandət
friluftsmuseum	frˈiːlˈʉftˈsmˈʉsˌeːˈɔm
friluftsområde	frˈiːlɵftsˌɔmroːdə
friluftsverksamhet	frˈiːləftsvərksamhˌeːt
friläge	frˈylˈɛːgə
frilägga	frˈiːlˌɛgːa
friläggning	frˈiːlˌɛgnɪŋ
frimickel	frˈimɪkːˌɛl
frimodig	frˈiːmˈuːrdˈiːg
frimodighet	frˈiːmˈuːdəghˈət
frimurare	frˈiːmʉrˌarə
frimurarorden	frˈyːmˈʉrˈarˈɔɐrdən
frimärka	frimˈɛrka
frimärke	frˈiːmərkə
frimärkena	frˈiːmərkˈana
frimärkshäfte	frˈiːmˈœrkshˈɛftə
frimärkskarta	frˈiːmərkskartˈan
frimärkssamlare	frˈɪmərkssamlˈarə
frimärksvalör	frˈiːmərksvalˈœr
frimärkt	frˈiːmərkt
frimärkta	frˈiːmərkˈtˌar
friområde	frˈiːoːmrˌoːdə
friområdet	frˈiːˈɔmrˌoːdə
friområdets	frˈiːoːmˈrˈoːdətˌs
fripistol	frˈiːpˈɪstˈuːl
frireligiös	frˈiːrəlˌiːgiːˌøːs
fris	frˈis
frisedel	frˈyːsədˌɛl
frisering	frˈiːsˌeːrɪŋ
frisinnad	frˈiːsinnad
frisinnad	frˈiːsɪnˌad
frisinnade	frˈiːsˈyːnnadə
frisinthet	frˈiːsɪnhˌɛt
frisisk	frɪsɪsk
frisk	frˈɪsk
friska	frˈɪska
friskar	rˈiːskar
friskare	frɪskare
friskförklara	frˈɪskfˈøːrklˈarˌa
friskförklarats	frˈɪskfˈœrklˈɑːrat
friskförklaring	frˈiːskfˈøːrklˌarɛŋ
friskhet	frˈɪskhˈeːt
friskintyg	frˌɪskɪntˈyːg
friskluftintag	frˈɪsklˈʉftˈɛntˈɑːg
friskluftsintag	frˈɪsklˈʉftˈsˈɪːntˈɑːg
friskna	friskna
friskola	frˈiːskola
friskolepengen	frˈiːskuːləpˈɛŋən
friskolorna	friskˈɔlˈɔrna
friskrivet	frˈiskrˈiːvət
friskrivit	frˈiːskrˌiːvɪd
friskskriva	frˈɪskskrˈiːva
frisksport	frˈɪskspˈɔt
frisksporta	frˈɪskspˈɔɾtːa
frisksportare	frˈɪskspɔtˌarə
friskt	frˈɪkt
friskt	frˈɪskt
friskytten	frˈiːsxytːən
frisläppa	frˈɪsləpˌa
frisläpper	frˈiːsləppːər
frisläppte	frˈiːslˈɛptə
frispark	frˈyːspark
frispel	frˈiːspˈeːl
frispela	frˈispˈeːla
frispelning	frˈiːspˈeːlnˌiːŋ
frispråkig	frˈɪsproːkˌɪg
frissa	frˈɪsa
frist	frˈɪst
fristad	frˈɪstad
fristad	fɹiːstˈadʊ
fristat	frˈiːstˌat
fristdag	frˈiːstdˈɑːg
fristen	frˈɪstən
friström	frˈiːstrøːm
friställa	frˈiːstˌɛlˈa
friställa	frˈɪstəlˌa
friställd	frˈiːstˈɛld
friställd	frˈɪstəld
