a	a˧˥
gòn-gia	ɣɔŋm˦˨-ja˧˥
gờn	ɣɤŋ˦˨
gợn	ɣɤŋ˨ˀ˩ʔ
gòn	ɣɔŋm˦˨
gọn	ɣɔŋm˨ˀ˩ʔ
goòng	ɣɔŋm˦˨
gộp	ɣop˨ˀ˩ʔ
góp	ɣɔp˦˥
gột	ɣokp˨ˀ˩ʔ
gót	ɣɔkp˦˥
gọt	ɣɔkp˨ˀ˩ʔ
gục	ɣukp˨ˀ˩ʔ
gừ	ɣɯ˦˨
gửi	ɣɯj˧˩˨
gừng	ɣɯŋ˦˨
gùn	ɣuŋm˦˨
guốc	ɣuək˦˥
guốc,	ɣuək˦˥
gươm	ɣɯəm˧˥
gườm	ɣɯəm˦˨
guồng	ɣuəŋ˦˨
gương	ɣɯəŋ˧˥
gường	ɣɯəŋ˦˨
gượng	ɣɯəŋ˨ˀ˩ʔ
guột	ɣuək˨ˀ˩ʔ
gút	ɣukp˦˥
hắc	hăk˦˥
hạc	hak˨ˀ˩ʔ
hặc	hăk˨ˀ˩ʔ
hách	hak˦˥
hạch	hak˨ˀ˩ʔ
hà-đông	ha˦˨-doŋm˧˥
ha	ha˧˥
há	ha˩˧
hà	ha˦˨
hả	ha˧˩˨
hạ	ha˨ˀ˩ʔ
hai	haj˧˥
hai,	haj˧˥
hái	haj˩˧
hài	haj˦˨
hãi	haj˧˩˨
hải	haj˧˩˨
hại	haj˨ˀ˩ʔ
ham	ham˧˥
hám	ham˩˧
hàm	ham˦˨
hăm	hăm˧˥
hằm	hăm˦˨
hãm	ham˧˩˨
hạm	ham˨ˀ˩ʔ
hặm	hăm˨ˀ˩ʔ
hâm	hɤ̆m˧˥
hấm	hɤ̆m˩˧
hầm	hɤ̆m˦˨
hẩm	hɤ̆m˧˩˨
hậm	hɤ̆m˨ˀ˩ʔ
hang	haŋ˧˥
hàng	haŋ˦˨
hăng	hăŋ˧˥
hắng	hăŋ˩˧
hằng	hăŋ˦˨
hãng	haŋ˧˩˨
hạng	haŋ˨ˀ˩ʔ
hẫng	hɤ̆ŋ˧˩˨
han	haŋ˧˥
hán	haŋ˩˧
hàn	haŋ˦˨
hắn	hăŋ˩˧
hằn	hăŋ˦˨
hẳn	hăŋ˧˩˨
hãn	haŋ˧˩˨
hạn	haŋ˨ˀ˩ʔ
hân	hɤ̆ŋ˧˥
hấn	hɤ̆ŋ˩˧
hận	hɤ̆ŋ˨ˀ˩ʔ
hanh	han˧˥
hánh	han˩˧
hành	han˦˨
hãnh	han˧˩˨
hạnh	han˨ˀ˩ʔ
hao	haw˧˥
háo	haw˩˧
hào	haw˦˨
hão	haw˧˩˨
hảo	haw˧˩˨
hạo	haw˨ˀ˩ʔ
hạp	hap˨ˀ˩ʔ
hấp	hɤ̆p˦˥
hát	hak˦˥
hắt	hăk˦˥
hạt	hak˨ˀ˩ʔ
hất	hɤ̆k˦˥
hau	hăw˧˥
háu	hăw˩˧
hầu	hɤ̆w˦˨
hẩu	hɤ̆w˧˩˨
hậu	hɤ̆w˨ˀ˩ʔ
hậu,	hɤ̆w˨ˀ˩ʔ
hay	hăj˧˥
háy	hăj˩˧
hãy	hăj˧˩˨
hây	hɤ̆j˧˥
héc	hɛk˦˥
hếch	het˦˥
hệch	het˨ˀ˩ʔ
hề	he˦˨
hể	he˧˩˨
hệ	he˨ˀ˩ʔ
hé	hɛ˩˧
hè	hɛ˦˨
hèm	hɛm˦˨
hẻm	hɛm˧˩˨
hên	hen˧˥
hen	hɛŋ˧˥
hèn	hɛŋ˦˨
hẹn	hɛŋ˨ˀ˩ʔ
hênh	hen˧˥
hềnh	hen˦˨
hểnh	hen˧˩˨
heo	heo˧˥
héo	heo˩˧
hèo	heo˦˨
hẻo	heo˧˩˨
hẹp	hɛp˨ˀ˩ʔ
hết	het˦˥
hét	hɛk˦˥
hểu	hɛu˧˩˨
hịch	hit˨ˀ˩ʔ
hiếm	hiəm˩˧
hiềm	hiəm˦˨
hiểm	hiəm˧˩˨
hiêng	hiəŋ˧˥
hiên	hiəŋ˧˥
hiến	hiəŋ˩˧
hiền	hiəŋ˦˨
hiển	hiəŋ˧˩˨
hiện	hiəŋ˨ˀ˩ʔ
hiếp	hiəp˦˥
hiệp	hiəp˨ˀ˩ʔ
hiếu	hiəw˩˧
hiểu	hiəw˧˩˨
hiệu	hiəw˨ˀ˩ʔ
hi	hi˧˥
hí	hi˩˧
hì	hi˦˨
hỉ	hi˧˩˨
him	him˧˥
hinh	hin˧˥
hình	hin˦˨
hình,	hin˦˨
hỉnh	hin˧˩˨
híp	hip˦˥
hít	hit˦˥
hiu	hiw˧˥
hoạch	hwak˨ˀ˩ʔ
hoác	hwak˦˥
hoắc	hwăk˦˥
hoặc	hwăk˨ˀ˩ʔ
hoa	hwa˧˥
hoa,	hwa˧˥
hoá	hwa˩˧
hoà	hwa˦˨
hoả	hwa˧˩˨
hóa	hwa˩˧
hòa	hwa˦˨
hỏa	hwa˧˩˨
hoạ	hwa˨ˀ˩ʔ
họa	hwa˨ˀ˩ʔ
hoài	hwaj˦˨
hoải	hwaj˧˩˨
hoại	hwaj˨ˀ˩ʔ
hoăm	hwăm˧˥
hoắm	hwăm˩˧
hoang	hwaŋ˧˥
hoàng	hwaŋ˦˨
hoăng	hwăŋ˧˥
hoảng	hwaŋ˧˩˨
hoành	hwan˦˨
hoạnh	hwan˨ˀ˩ʔ
hoan	hwaŋ˧˥
hoán	hwaŋ˩˧
hoàn	hwaŋ˦˨
hoãn	hwaŋ˧˩˨
hoạn	hwaŋ˨ˀ˩ʔ
hoặn	hwăŋ˨ˀ˩ʔ
hoạt	hwak˨ˀ˩ʔ
hoay	hwăj˧˥
hốc	hokp˦˥
hộc	hokp˨ˀ˩ʔ
hóc	hɔkp˦˥
học	hɔkp˨ˀ˩ʔ
hoe	hwe˧˥
hoè	hwe˦˨
hoen	hwen˧˥
hơ	hɤ˧˥
hớ	hɤ˩˧
hờ	hɤ˦˨
hở	hɤ˧˩˨
hô	ho˧˥
hố	ho˩˧
hồ	ho˦˨
hồ,	ho˦˨
hỗ	ho˧˩˨
hổ	ho˧˩˨
hộ	ho˨ˀ˩ʔ
ho	hɔ˧˥
hó	hɔ˩˧
hò	hɔ˦˨
họ	hɔ˨ˀ˩ʔ
họ,	hɔ˨ˀ˩ʔ
hơi	hɤj˧˥
hời	hɤj˦˨
hỡi	hɤj˧˩˨
hởi	hɤj˧˩˨
hôi	hoj˧˥
hối	hoj˩˧
hồi	hoj˦˨
hổi	hoj˧˩˨
hội	hoj˨ˀ˩ʔ
hoi	hɔj˧˥
hói	hɔj˩˧
hỏi	hɔj˧˩˨
hợm	hɤm˨ˀ˩ʔ
hôm	hom˧˥
hôm,	hom˧˥
hổm	hom˧˩˨
hom	hɔm˧˥
hóm	hɔm˩˧
hòm	hɔm˦˨
hỏm	hɔm˧˩˨
hông	hoŋm˧˥
hống	hoŋm˩˧
hồng	hoŋm˦˨
hỗng	hoŋm˧˩˨
hổng	hoŋm˧˩˨
hong	hɔŋm˧˥
hóng	hɔŋm˩˧
hòng	hɔŋm˦˨
hỏng	hɔŋm˧˩˨
hỏng,	hɔŋm˧˩˨
họng	hɔŋm˨ˀ˩ʔ
hơn	hɤŋ˧˥
hớn	hɤŋ˩˧
hờn	hɤŋ˦˨
hôn	hoŋm˧˥
hồn	hoŋm˦˨
hỗn	hoŋm˧˩˨
hổn	hoŋm˧˩˨
hộn	hoŋm˨ˀ˩ʔ
hon	hɔŋm˧˥
hòn	hɔŋm˦˨
hỏn	hɔŋm˧˩˨
hớp	hɤp˦˥
hợp	hɤp˨ˀ˩ʔ
hộp	hop˨ˀ˩ʔ
hóp	hɔp˦˥
họp	hɔp˨ˀ˩ʔ
hớt	hɤk˦˥
hốt	hokp˦˥
hột	hokp˨ˀ˩ʔ
hót	hɔkp˦˥
hứa	hɯə˩˧
huân	hwɤ̆ŋ˧˥
huấn	hwɤ̆ŋ˩˧
húc	hukp˦˥
hục	hukp˨ˀ˩ʔ
hực	hɯk˨ˀ˩ʔ
huếch	hwet˦˥
huê	hwe˧˥
huề	hwe˦˨
huệ	hwe˨ˀ˩ʔ
huênh	hwen˧˥
hu	hu˧˥
hú	hu˩˧
hù	hu˦˨
hũ	hu˧˩˨
hủ	hu˧˩˨
hư	hɯ˧˥
hừ	hɯ˦˨
hui	huj˧˥
hùi	huj˦˨
hum	hum˧˥
hùm	hum˦˨
hung	huŋm˧˥
húng	huŋm˩˧
hùng	huŋm˦˨
hùng,	huŋm˦˨
hủng	huŋm˧˩˨
hưng	hɯŋ˧˥
hứng	hɯŋ˩˧
hừng	hɯŋ˦˨
hững	hɯŋ˧˩˨
hửng	hɯŋ˧˩˨
hun	huŋm˧˥
hùn	huŋm˦˨
hủn	huŋm˧˩˨
huơ	huə˧˥
huống	huəŋ˩˧
hương	hɯəŋ˧˥
hương;	hɯəŋ˧˥
hướng	hɯəŋ˩˧
hưởng	hɯəŋ˧˩˨
hươu	hɯəw˧˥
húp	hup˦˥
hụp	hup˨ˀ˩ʔ
hút	hukp˦˥
hụt	hukp˨ˀ˩ʔ
hưu	hɯw˧˥
hữu	hɯw˧˩˨
hữu,	hɯw˧˩˨
huých	hwit˦˥
huỵch	hwit˨ˀ˩ʔ
huyên	hwiəŋ˧˥
huyền	hwiəŋ˦˨
huyễn	hwiəŋ˧˩˨
huyện	hwiəŋ˨ˀ˩ʔ
huyết	hwiək˦˥
huyệt	hwiək˨ˀ˩ʔ
húy	huj˩˧
hủy	huj˧˩˨
huy	hwi˧˥
huý	hwi˩˧
huỷ	hwi˧˩˨
huynh	hwin˧˥
huỳnh	hwin˦˨
huýt	hwit˦˥
hy	hi˧˥
ỉa	iə˧˩˨
ích	it˦˥
ic,	it˧˥
i	i˧˥
í	i˩˧
ì	i˦˨
ỉ	i˧˩˨
ị	i˨ˀ˩ʔ
im	im˧˥
ỉm	im˧˩˨
inh	in˧˥
ình	in˦˨
ĩnh	in˧˩˨
in	in˧˥
ìn	in˦˨
i-ôn	i˧˥-oŋm˧˥
ít	it˦˥
ít,	it˦˥
ịt	it˨ˀ˩ʔ
iu	iw˧˥
ỉu	iw˧˩˨
ka	ka˧˥
ka-li	ka˧˥-li˧˥
kếch	ket˦˥
kệch	ket˨ˀ˩ʔ
kê	ke˧˥
kế	ke˩˧
kề	ke˦˨
kể	ke˧˩˨
kệ	ke˨ˀ˩ʔ
ke	kɛ˧˥
ké	kɛ˩˧
kè	kɛ˦˨
kẽ	kɛ˧˩˨
kẻ	kɛ˧˩˨
kềm	kem˦˨
kem	kɛm˧˥
kém	kɛm˩˧
kèm	kɛm˦˨
kẽm	kɛm˧˩˨
kẻm	kɛm˧˩˨
keng	kɛŋ˧˥
kênh	ken˧˥
kềnh	ken˦˨
kễnh	ken˧˩˨
kên	ken˧˥
kền	ken˦˨
ken	kɛŋ˧˥
kén	kɛŋ˩˧
kèn	kɛŋ˦˨
kẹn	kɛŋ˨ˀ˩ʔ
keo	keo˧˥
keo,	keo˧˥
kéo	keo˩˧
kèo	keo˦˨
kẽo	keo˧˩˨
kẻo	keo˧˩˨
kẹo	keo˨ˀ˩ʔ
kép	kɛp˦˥
kẹp	kɛp˨ˀ˩ʔ
kết	ket˦˥
két	kɛk˦˥
két,	kɛk˦˥
kẹt	kɛk˨ˀ˩ʔ
kêu	kɛu˧˥
khách	xak˦˥
khảch	xak˧˩˨
khác	xak˦˥
khắc	xăk˦˥
khạc	xak˨ˀ˩ʔ
khặc	xăk˨ˀ˩ʔ
khai	xaj˧˥
khái	xaj˩˧
khải	xaj˧˩˨
kham	xam˧˥
khám	xam˩˧
khăm	xăm˧˥
khắm	xăm˩˧
khảm	xam˧˩˨
khâm	xɤ̆m˧˥
khấm	xɤ̆m˩˧
khậm	xɤ̆m˨ˀ˩ʔ
khang	xaŋ˧˥
kháng	xaŋ˩˧
khăng	xăŋ˧˥
khắng	xăŋ˩˧
khằng	xăŋ˦˨
khẳng	xăŋ˧˩˨
khảng	xaŋ˧˩˨
khảng;	xaŋ˧˩˨
khạng	xaŋ˨ˀ˩ʔ
khâng	xɤ̆ŋ˧˥
khầng	xɤ̆ŋ˦˨
khánh-hạ	xan˩˧-ha˨ˀ˩ʔ
khanh	xan˧˥
khánh	xan˩˧
khành	xan˦˨
khảnh	xan˧˩˨
khan	xaŋ˧˥
khán	xaŋ˩˧
khàn	xaŋ˦˨
khăn	xăŋ˧˥
khắn	xăŋ˩˧
khẳn	xăŋ˧˩˨
khản	xaŋ˧˩˨
khấn	xɤ̆ŋ˩˧
khẩn	xɤ̆ŋ˧˩˨
khao	xaw˧˥
khảo	xaw˧˩˨
khắp	xăp˦˥
khấp	xɤ̆p˦˥
khập	xɤ̆p˨ˀ˩ʔ
khát	xak˦˥
khắt	xăk˦˥
khất	xɤ̆k˦˥
khật	xɤ̆k˨ˀ˩ʔ
kháu	xăw˩˧
khâu	xɤ̆w˧˥
khấu	xɤ̆w˩˧
khẩu	xɤ̆w˧˩˨
kha	xa˧˥
khá	xa˩˧
khà	xa˦˨
khả	xa˧˩˨
khạ	xa˨ˀ˩ʔ
khay	xăj˧˥
khem	xɛm˧˥
khèng	xɛŋ˦˨
khềnh	xen˦˨
khễnh;	xen˧˩˨
khểnh	xen˧˩˨
khệnh	xen˨ˀ˩ʔ
khen	xɛŋ˧˥
khèn	xɛŋ˦˨
kheo	xeo˧˥
kheo;	xeo˧˥
khéo	xeo˩˧
khép	xɛp˦˥
khét	xɛk˦˥
khêu	xɛu˧˥
khều	xɛu˦˨
khê	xe˧˥
khế	xe˩˧
khề	xe˦˨
khệ	xe˨ˀ˩ʔ
khe	xɛ˧˥
khé	xɛ˩˧
khè	xɛ˦˨
khẽ	xɛ˧˩˨
khẻ	xɛ˧˩˨
khía	xiə˩˧
khích	xit˦˥
khiêm	xiəm˧˥
khiếm	xiəm˩˧
khiêng	xiəŋ˧˥
khiên	xiəŋ˧˥
khiển	xiəŋ˧˩˨
khiếp	xiəp˦˥
khiêu	xiəw˧˥
khiếu	xiəw˩˧
khinh	xin˧˥
khin	xin˧˥
khìn	xin˦˨
khít	xit˦˥
khịt	xit˨ˀ˩ʔ
khi	xi˧˥
khí	xi˩˧
khì	xi˦˨
khỉ	xi˧˩˨
khoác	xwak˦˥
khoai	xwaj˧˥
khoái	xwaj˩˧
khoăm	xwăm˧˥
khoằm	xwăm˦˨
khoang	xwaŋ˧˥
khoáng	xwaŋ˩˧
khoảng	xwaŋ˧˩˨
khoanh	xwan˧˥
khoành	xwan˦˨
khoảnh	xwan˧˩˨
khoan	xwaŋ˧˥
khoán	xwaŋ˩˧
khoản	xwaŋ˧˩˨
khoát	xwak˦˥
khoa	xwa˧˥
khoá	xwa˩˧
khoả	xwa˧˩˨
khóa	xwa˩˧
khỏa	xwa˧˩˨
khốc	xokp˦˥
khóc	xɔkp˦˥
khóc,	xɔkp˦˥
khoen	xwen˧˥
khoeo	xwew˧˥
khoèo	xwew˦˨
khoét	xwet˦˥
khoe	xwe˧˥
khoé	xwe˩˧
khoẻ	xwe˧˩˨
khóe	xwe˩˧
khòe	xwe˦˨
khỏe	xwe˧˩˨
khơi	xɤj˧˥
khởi	xɤj˧˩˨
khôi	xoj˧˥
khối	xoj˩˧
khói	xɔj˩˧
khỏi	xɔj˧˩˨
khơ-me	xɤ˧˥-mɛ˧˥
khơ-mú	xɤ˧˥-mu˩˧
khom	xɔm˧˥
khòm	xɔm˦˨
khọm	xɔm˨ˀ˩ʔ
không	xoŋm˧˥
không	xoŋm˧˥
khống	xoŋm˩˧
khổng	xoŋm˧˩˨
khòng	xɔŋm˦˨
khôn	xoŋm˧˥
khốn	xoŋm˩˧
khổn	xoŋm˧˩˨
khớp	xɤp˦˥
khơ	xɤ˧˥
khờ	xɤ˦˨
khô	xo˧˥
khố	xo˩˧
khổ	xo˧˩˨
kho	xɔ˧˥
khó	xɔ˩˧
khó,	xɔ˩˧
khò	xɔ˦˨
khuân	xwɤ̆ŋ˧˥
khuẩn	xwɤ̆ŋ˧˩˨
khuất	xwɤ̆k˦˥
khua	xuə˧˥
khuây	xwɤ̆j˧˥
khuấy	xwɤ̆j˩˧
khúc	xukp˦˥
khúc,	xukp˦˥
khục	xukp˨ˀ˩ʔ
khuếch	xwet˦˥
khuê	xwe˧˥
khum	xum˧˥
khúm	xum˩˧
khung	xuŋm˧˥
khúng	xuŋm˩˧
khùng	xuŋm˦˨
khủng	xuŋm˧˩˨
khụng	xuŋm˨ˀ˩ʔ
khước	xɯək˦˥
khươm	xɯəm˧˥
khuông	xuəŋ˧˥
khuôn	xuəŋ˧˥
khướt	xɯək˦˥
khướu	xɯəw˩˧
khuờ	xuə˦˨
khụt	xukp˨ˀ˩ʔ
khứu	xɯw˩˧
khu	xu˧˥
khú	xu˩˧
khù	xu˦˨
khủ	xu˧˩˨
khụ	xu˨ˀ˩ʔ
khư	xɯ˧˥
khứ	xɯ˩˧
khừ	xɯ˦˨
khử	xɯ˧˩˨
khự	xɯ˨ˀ˩ʔ
khuya	xwiə˧˥
khuyên	xwiəŋ˧˥
khuyến	xwiəŋ˩˧
khuyển	xwiəŋ˧˩˨
khuyết	xwiək˦˥
khuynh	xwin˧˥
khuỳnh	xwin˦˨
khuy	xwi˧˥
khyển	xiɛŋ˧˩˨
kia	kiə˧˥
kìa	kiə˦˨
kích	kit˦˥
kịch	kit˨ˀ˩ʔ
kiêm	kiəm˧˥
kiếm	kiəm˩˧
kiềm	kiəm˦˨
kiểm	kiəm˧˩˨
kiệm	kiəm˨ˀ˩ʔ
kiêng	kiəŋ˧˥
kiềng	kiəŋ˦˨
kiên	kiəŋ˧˥
kiến	kiəŋ˩˧
kiền	kiəŋ˦˨
kiện	kiəŋ˨ˀ˩ʔ
kiếp	kiəp˦˥
kiết	kiək˦˥
kiệt	kiək˨ˀ˩ʔ
kiệt;	kiək˨ˀ˩ʔ
kiêu	kiəw˧˥
kiếu	kiəw˩˧
kiều	kiəw˦˨
kiểu	kiəw˧˩˨
kiệu	kiəw˨ˀ˩ʔ
ki	ki˧˥
kí	ki˩˧
kì	ki˦˨
kì,	ki˦˨
kĩ	ki˧˩˨
kỉ	ki˧˩˨
kỉ,	ki˧˩˨
kị	ki˨ˀ˩ʔ
ki-lô	ki˧˥-lo˧˥
ki-lô-oát	ki˧˥-lo˧˥-wak˦˥
kim	kim˧˥
kìm	kim˦˨
kinh	kin˧˥
kính	kin˩˧
kính,	kin˩˧
kình	kin˦˨
kin	kin˧˥
kín	kin˩˧
kín,	kin˩˧
kìn	kin˦˨
kíp	kip˦˥
kịp	kip˨ˀ˩ʔ
ki-tô	ki˧˥-to˧˥
kíu	kiw˩˧
kĩu	kiw˧˩˨
ky	ki˧˥
ký	ki˩˧
kỳ	ki˦˨
kỹ	ki˧˩˨
kỷ	ki˧˩˨
kỵ	ki˨ˀ˩ʔ
lách	lak˦˥
lạch	lak˨ˀ˩ʔ
lác	lak˦˥
lác;	lak˦˥
lắc	lăk˦˥
lạc	lak˨ˀ˩ʔ
lặc	lăk˨ˀ˩ʔ
lấc	lɤ̆k˦˥
lai-Đa	laj˧˥-da˧˥
lai	laj˧˥
lai,	laj˧˥
lái	laj˩˧
lái,	laj˩˧
lài	laj˦˨
lãi	laj˧˩˨
lải	laj˧˩˨
lại	laj˨ˀ˩ʔ
lại,	laj˨ˀ˩ʔ
lai-ly	laj˧˥-li˧˥
la	la˧˥
lá	la˩˧
lá,	la˩˧
là	la˦˨
lã	la˧˩˨
lả	la˧˩˨
lạ	la˨ˀ˩ʔ
lạ,	la˨ˀ˩ʔ
la-mã	la˧˥-ma˧˩˨
lam	lam˧˥
làm	lam˦˨
làm,	lam˦˨
lăm	lăm˧˥
(lắm)	lăm˩˧
lắm	lăm˩˧
lắm,	lăm˩˧
lằm	lăm˦˨
lãm	lam˧˩˨
lảm	lam˧˩˨
lạm	lam˨ˀ˩ʔ
lâm	lɤ̆m˧˥
lấm	lɤ̆m˩˧
lầm	lɤ̆m˦˨
lẫm	lɤ̆m˧˩˨
lẩm	lɤ̆m˧˩˨
lang	laŋ˧˥
láng	laŋ˩˧
làng	laŋ˦˨
lăng	lăŋ˧˥
lắng	lăŋ˩˧
lằng	lăŋ˦˨
lẵng	lăŋ˧˩˨
lẳng	lăŋ˧˩˨
lãng	laŋ˧˩˨
lảng	laŋ˧˩˨
lạng	laŋ˨ˀ˩ʔ
lạng,	laŋ˨ˀ˩ʔ
lặng	lăŋ˨ˀ˩ʔ
lặng,	lăŋ˨ˀ˩ʔ
lâng	lɤ̆ŋ˧˥
lanh	lan˧˥
lánh	lan˩˧
lành	lan˦˨
lành,	lan˦˨
lãnh	lan˧˩˨
lảnh	lan˧˩˨
lạnh	lan˨ˀ˩ʔ
lan	laŋ˧˥
lan;	laŋ˧˥
lán	laŋ˩˧
làn	laŋ˦˨
lăn	lăŋ˧˥
lằn	lăŋ˦˨
lẳn	lăŋ˧˩˨
lãn	laŋ˧˩˨
lặn	lăŋ˨ˀ˩ʔ
lân	lɤ̆ŋ˧˥
lấn	lɤ̆ŋ˩˧
lần	lɤ̆ŋ˦˨
lẫn	lɤ̆ŋ˧˩˨
lẩn	lɤ̆ŋ˧˩˨
lận	lɤ̆ŋ˨ˀ˩ʔ
lao	law˧˥
lao,	law˧˥
láo	law˩˧
lào	law˦˨
lão	law˧˩˨
lảo	law˧˩˨
lạo	law˨ˀ˩ʔ
láp	lap˦˥
lắp	lăp˦˥
lạp	lap˨ˀ˩ʔ
lặp	lăp˨ˀ˩ʔ
lâp	lɤ̆p˧˥
lấp	lɤ̆p˦˥
lập	lɤ̆p˨ˀ˩ʔ
la-tê-rít	la˧˥-te˧˥-ʐit˦˥
la-tinh	la˧˥-tin˧˥
lát	lak˦˥
lắt	lăk˦˥
lạt	lak˨ˀ˩ʔ
lạt,	lak˨ˀ˩ʔ
lặt	lăk˨ˀ˩ʔ
lất	lɤ̆k˦˥
lật	lɤ̆k˨ˀ˩ʔ
lau	lăw˧˥
láu	lăw˩˧
làu	lăw˦˨
lảu	lăw˧˩˨
lạu	lăw˨ˀ˩ʔ
lâu	lɤ̆w˧˥
lấu	lɤ̆w˩˧
lầu	lɤ̆w˦˨
lẩu	lɤ̆w˧˩˨
lậu	lɤ̆w˨ˀ˩ʔ
lay	lăj˧˥
láy	lăj˩˧
lày	lăj˦˨
lảy	lăj˧˩˨
lạy	lăj˨ˀ˩ʔ
lây	lɤ̆j˧˥
lấy	lɤ̆j˩˧
lầy	lɤ̆j˦˨
lẫy	lɤ̆j˧˩˨
lẩy	lɤ̆j˧˩˨
lậy	lɤ̆j˨ˀ˩ʔ
lếch	let˦˥
lệch	let˨ˀ˩ʔ
lê	le˧˥
lê,	le˧˥
lề	le˦˨
lề,	le˦˨
lễ	le˧˩˨
lễ,	le˧˩˨
lể	le˧˩˨
lệ	le˨ˀ˩ʔ
le	lɛ˧˥
lé	lɛ˩˧
lè	lɛ˦˨
lẽ	lɛ˧˩˨
lẽ,	lɛ˧˩˨
lẻ	lɛ˧˩˨
lẹ	lɛ˨ˀ˩ʔ
lem	lɛm˧˥
lém	lɛm˩˧
lèm	lɛm˦˨
lẹm	lɛm˨ˀ˩ʔ
leng	lɛŋ˧˥
léng	lɛŋ˩˧
lẻng	lɛŋ˧˩˨
lênh	len˧˥
lềnh	len˦˨
lệnh	len˨ˀ˩ʔ
lệnh,	len˨ˀ˩ʔ
lên	len˧˥
len	lɛŋ˧˥
lén	lɛŋ˩˧
lèn	lɛŋ˦˨
lẻn	lɛŋ˧˩˨
leo	leo˧˥
leo,	leo˧˥
léo	leo˩˧
lèo	leo˦˨
lẽo	leo˧˩˨
lẻo	leo˧˩˨
lẹo	leo˨ˀ˩ʔ
lép	lɛp˦˥
lẹp	lɛp˨ˀ˩ʔ
lết	let˦˥
lệt	let˨ˀ˩ʔ
lét	lɛk˦˥
lẹt	lɛk˨ˀ˩ʔ
lêu	lɛu˧˥
lếu	lɛu˩˧
lều	lɛu˦˨
lễu	lɛu˧˩˨
lểu	lɛu˧˩˨
lia	liə˧˥
lìa	liə˦˨
lích	lit˦˥
lịch	lit˨ˀ˩ʔ
liếc	liək˦˥
liêm	liəm˧˥
liếm	liəm˩˧
liềm	liəm˦˨
liệm	liəm˨ˀ˩ʔ
liêng	liəŋ˧˥
liểng	liəŋ˧˩˨
liên	liəŋ˧˥
liến	liəŋ˩˧
liền	liəŋ˦˨
liếp	liəp˦˥
liệt	liək˨ˀ˩ʔ
liêu	liəw˧˥
liếu	liəw˩˧
liều	liəw˦˨
liễu	liəw˧˩˨
liệu	liəw˨ˀ˩ʔ
li	li˧˥
lí	li˩˧
lì	li˦˨
lị	li˨ˀ˩ʔ
lị,	li˨ˀ˩ʔ
lim	lim˧˥
lìm	lim˦˨
linh	lin˧˥
lính	lin˩˧
lình	lin˦˨
lĩnh	lin˧˩˨
lỉnh	lin˧˩˨
líp	lip˦˥
lít	lit˦˥
liu	liw˧˥
líu	liw˩˧
lịu	liw˨ˀ˩ʔ
loạch	lwak˨ˀ˩ʔ
loạc	lwak˨ˀ˩ʔ
loai	lwaj˧˥
loài	lwaj˦˨
loại	lwaj˨ˀ˩ʔ
loại;	lwaj˨ˀ˩ʔ
loa	lwa˧˥
loá	lwa˩˧
loà	lwa˦˨
loã	lwa˧˩˨
loả	lwa˧˩˨
lòa	lwa˦˨
lõa	lwa˧˩˨
lỏa	lwa˧˩˨
loang	lwaŋ˧˥
loáng	lwaŋ˩˧
loàng	lwaŋ˦˨
loăng	lwăŋ˧˥
loằng	lwăŋ˦˨
loãng	lwaŋ˧˩˨
loảng	lwaŋ˧˩˨
loạng	lwaŋ˨ˀ˩ʔ
loanh	lwan˧˥
loan	lwaŋ˧˥
loăn	lwăŋ˧˥
loắn	lwăŋ˩˧
loằn	lwăŋ˦˨
loạn	lwaŋ˨ˀ˩ʔ
loạn,	lwaŋ˨ˀ˩ʔ
loáo	lwaw˩˧
loát	lwak˦˥
loắt	lwăk˦˥
loạt	lwak˨ˀ˩ʔ
loay	lwăj˧˥
loáy	lwăj˩˧
lốc	lokp˦˥
lộc	lokp˨ˀ˩ʔ
lóc	lɔkp˦˥
lọc	lɔkp˨ˀ˩ʔ
loe	lwe˧˥
loé	lwe˩˧
loè	lwe˦˨
lòe	lwe˦˨
loẻng	lwen˧˩˨
loen	lwen˧˥
loẻo	lwew˧˩˨
loét	lwet˦˥
loẹt	lwet˨ˀ˩ʔ
lô-gích	lo˧˥-ɣit˦˥
lơi	lɤj˧˥
lời	lɤj˦˨
lợi	lɤj˨ˀ˩ʔ
lôi	loj˧˥
lối	loj˩˧
lối,	loj˩˧
lồi	loj˦˨
lỗi	loj˧˩˨
lội	loj˨ˀ˩ʔ
loi	lɔj˧˥
lòi	lɔj˦˨
lõi	lɔj˧˩˨
lọi	lɔj˨ˀ˩ʔ
lơ	lɤ˧˥
lớ	lɤ˩˧
lờ	lɤ˦˨
lỡ	lɤ˧˩˨
lở	lɤ˧˩˨
lợ	lɤ˨ˀ˩ʔ
lô	lo˧˥
lố	lo˩˧
lồ	lo˦˨
lỗ	lo˧˩˨
lỗ,	lo˧˩˨
lổ	lo˧˩˨
lộ	lo˨ˀ˩ʔ
lo	lɔ˧˥
lo,	lɔ˧˥
ló	lɔ˩˧
lò	lɔ˦˨
lõ	lɔ˧˩˨
lọ	lɔ˨ˀ˩ʔ
lờm	lɤm˦˨
lởm	lɤm˧˩˨
lợm	lɤm˨ˀ˩ʔ
lôm	lom˧˥
lốm	lom˩˧
lồm	lom˦˨
lỗm	lom˧˩˨
lổm	lom˧˩˨
lộm	lom˨ˀ˩ʔ
lom	lɔm˧˥
lóm	lɔm˩˧
lòm	lɔm˦˨
lõm	lɔm˧˩˨
