абажур	abaʒur
наша	nɑʃɑ
нашар	nɑʃɑr
нәсілшіл	næsɘlʃɘl
нәсілшілдік	næsɘlʃɘldɘk
нәтижелі	nætɘjʒelɘ
нәтижелілік	nætɘjʒelɘlɘk
нәтижесіз	nætɘjʒesɘz
нейтрон	nʲɪjtron
ноктюрн	nɐktʲurn
норвегия	nɐrvʲegʲɪjə
норматив	nərmɐtʲif
ноутбук	noʊdbʊk
нөл	nɵl
нумизматика	nʊmʲɪzmatʲɪkə
нутация	nʊtatsɨɪ̯ə
нұр	nur
ньютон	nʲjʊton
облигация	ɐblʲɪgatsɨjə
облыс	wo̞bləs
объект	ɐbjekt
оганесон	ɐgənʲɪson
одақ	wodɑq
одиссея	ɐdʲɪsʲeɪ̯ə
одометр	ɐdomʲɪtr
ойнап	wojnɑp
ойыншы	wojʊnʃɯ
океания	ɐkʲɪanʲɪjə
округ	okrʊg
оқиға	woqɯjɣɑ
оқулық	woqʊwɫʊq
олигархия	ɐlʲɪgarxʲɪjə
олигомер	wolʲɪgɐmʲer
олиготроф	wolʲɪgɐtrof
ом	om
омбы	wombɯ
омоним	ɐmonʲɪm
оникс	onʲɪks
онлайн	onlajn
ономастика	ɤnɐmastʲɪkə
оңтүстік	woŋtstʉ̞k
операция	ɐpʲɪratsɨɪ̯ə
опоссум	ɐposʊm
оппортунизм	ɐpərtʊnʲizm
орал	worɑɫ
оратория	ɐrɐtorʲɪɪ̯ə
орман	wormɑn
орфография	ɐrfɐgrafʲɪɪ̯ə
орфографиялық	ɐrfɐgrafʲɪɪ̯ələq
орынбасар	worʊnbɑsɑr
орыс	wo̙rʊs
от	wot
отан	wo̞tɑn
отбасы	wotbɑsɯ
отын	wotən
өзара	øzɑrɑ
Өзбекстан	œzbʲekstɑn
Өзбекстан	œzbʲɪkstɑn
өзбекстандық	wøzbekstɑndəq
өйткені	ʏ̯œjtkenɘ
өлі	wøly
өлім	wølʏm
өлтіру	wøltʏrʏw
өмірбаян	yømyrbɑjɑn
өнім	wønʏm
өсиет	wøsɘjjet
өсиетші	yøsyjːetʃɪ
өсімдік	wøsʏmdɘk
өсу	wøsʏw
өтем	wøtøm
өтініш	wøtʏnɘʃ
павлодар	pɑvɫədɑr
пайғамбар	pajɣambar
палата	pɐɫatə
палеобиология	palʲɪəbʲɪɐɫogʲɪɪ̯ə
палеография	pəlʲɪɐgrafʲɪɪ̯ə
палеоклиматология	palʲɪəklʲɪmətɐɫogʲɪɪ̯ə
панк	pank
панорама	pənɐramə
папирос	pəpʲɪros
парагвай	pərɐgvaj
парадигма	pərɐdʲigmə
парадокс	pərɐdoks
паразит	pərɐzʲit
парақор	pɑrɑqor
парақорлық	pɑrɑqorɫɯq
параллакс	pərɐɫaks
параллелограмм	pərəlʲɪɫɐgram
параметр	pɐramʲɪtr
паранойя	pərɐnoɪ̯ːə
парламент	pɐrɫamʲɪnt
партизан	pərtʲɪzan
партизандық	pərtʲɪzandəq
партия	partʲɪjə
парфюмерия	pərfʲʉmʲerʲɪɪ̯ə
пастор	pastər
патент	pɐtʲent
патоген	pətɐgʲen
патогенез	patəgʲɪnɛs
патриарх	pətrʲɪarx
пацифизм	pətsɨfʲizm
паштет	pɐʃtʲet
пәкістан	pækɘstɑn
пәкістан	pækistan
пәкістан	pækistɑn
пәкістан	pækɪstɑn
пәлсапа	pæɫsɑpɑ
педагог	pʲɪdɐgog
пептид	pʲɪptʲid
перғауын	pʲerɣɑwɯn
пері	pʲerɘ
періште	pʲerɘʃte
петиция	pʲɪtʲitsɨjə
пиксель	pʲiksʲɪlʲ
пилотка	pʲɪɫotkə
пирамида	pʲɪrɐmʲidə
пиримидин	pʲɪrʲɪmʲɪdʲin
плазмид	pɫɐzmʲid
плазмида	pɫɐzmʲidə
пластик	pɫasʲtʲɪk
пленум	plʲenʊm
позитивизм	pəzʲɪtʲɪvʲizm
позитрон	pəzʲɪtron
полимер	pəlʲɪmʲer
полиомиелит	polʲɪəmʲɪɪ̯ɪlʲit
полонез	pəɫɐnɛz
порнография	pərnɐgrafʲɪɪ̯ə
порт	port
постмодернизм	postmədɛrnʲizm
пошта	poʃta
пошталық	poʃtaɫɯq
пошташы	poʃtaʃɯ
поэзия	pɐɛzʲɪjə
поэтика	pɐɛtʲɪkə
преамбула	prʲɪambwʊɫə
предикат	prʲɪdʲɪkat
предикатив	prʲɪdʲɪkɐtʲif
президент	prʲɪzʲɪdʲent
призма	prʲizmə
примат	prʲɪmat
принтер	prʲintɛr
провинция	prɐvʲintsɨɪ̯ə
прогестерон	prəgʲɪstɛron
прокуратура	prəkʊrɐturə
прокурор	prəkʊror
протекционизм	prətʲɪktsɨɐnʲizm
прототип	prətɐtʲip
профиль	profʲɪlʲ
психиатрия	psʲɪxʲɪɐtrʲijə
психоз	psʲɪxoz
психология	psʲɪxɐlogʲɪjə
публицистика	pʊblʲɪtsɨsʲtʲɪkə
пульмонология	pʊlʲmənɐɫogʲɪɪ̯ə
пьеса	pjesə
раввин	rɐvʲin
радиан	rədʲɪan
радиозонд	radʲɪozond
радиостанция	rədʲɪɐstantsɨjə
раритет	rərʲɪtʲet
рахмет	ɾæχmje̘t
рәміз	ræmɘz
реализм	rʲɪɐlʲizm
ревматизм	rʲɪvmɐtʲizm
регрессия	rʲɪgrɛsʲɪjə
редакция	rʲɪdaktsɨjə
режим	reʒɪm
резерват	rʲɪzʲɪrvat
резерфордий	rʲɪzʲɪrfordʲɪj
резистор	rʲɪzʲistər
рейтинг	rɛjtʲɪnk
ректор	rʲektor
ресми	resmɘj
реституция	rʲɪsʲtʲɪtutsɨɪ̯ə
референдум	rʲɪfʲɪrʲendʊm
реформа	rʲɪformə
реформатор	rʲɪfɐrmatər
реформизм	rʲɪfɐrmʲizm
рецептор	rʲɪtsɛptər
риддер	ɾɪddɛɾ
робототехника	rəbətɐtʲexnʲɪkə
романтизм	rəmɐnʲtʲizm
романтикалық	rɐmantʲɪkəɫɯq
россия	rɐsʲijə
рота	rotə
руанда	rʊandə
рұқсат	rʊqsɑt
рұқсатнама	rʊqsɑtnɑmɑ
сабыр	sɑbɯr
сага	sagə
сағатшы	sɑɣɑtʃɯ
садақ	sɑdɑq
сазгер	sɑzgʲer
сайлаушы	sɑjɫɑwʃɯ
сақал	sɑqɑɫ
сақтандырғыш	sɑqtɑndɯrɣɯʃ
сала	saɫa
саламандра	səɫɐmandrə
салат	sɐɫat
салауат	sɑɫɑwɑt
салт	sɑɫt
салық	sɑɫɯq
салым	sɑɫɯm
сальвадор	səlʲvɐdor
самоа	sɐmoə
сандуғаш	sanduwʁaʃ
сандық	sɑndɯq
санкция	sanktsɨjə
саңырауқұлақ	sɑŋɯrɑwɣʊɫɑq
саран	sɑɾɑn
сарғылт	sɑrɣɯɫt
саркома	sɐrkomə
сая	sɑ̝̙jɑ̝̙
саяжол	sɑjɑʒoɫ
саясат	sɑjɑsɑt
саясаткер	sɑjɑsɑtkʲer
саясаттанушы	sɑjɑsɑtɑnʊwʃɯ
саясатшы	sɑjɑsɑtʃɯ
саяхатшы	sɑjɑxɑtʃɯ
сәбихана	sæbɪjxɑnɑ
сәлем	sælje̘m
сәтбаев	sætpɑjef
сәуле	sæwlʲe
сәулет	sæwlet
сегіз	sʲegiz
сейсмограф	sʲɪjsmogrəf
секанс	sɛkəns
секстант	sʲɪkstant
секстет	sɛksʲtʲet
секунд	sʲekʊnd
селен	sʲɪlʲen
селенит	sʲɪlʲɪnʲit
семантика	sʲɪmanʲtʲɪkə
семей	sʲemʲej
семинар	sʲɪmʲɪnar
семиотика	sʲɪmʲɪotʲɪkə
сенат	sʲɪnat
сепсис	sɛpsʲɪs
сербия	sʲerbʲɪjə
серпентинит	sʲɪrpʲɪnʲtʲɪnʲit
сертификат	sʲɪrtʲɪfʲɪkat
сессия	sɛsʲɪɪ̯ə
сигнал	sʲɪgnaɫ
силикоз	sʲɪlʲɪkoz
символизм	sʲɪmvɐlʲizm
сименс	sʲimʲɪns
синагога	sʲɪnɐgogə
сингапур	sʲɪngɐpur
синдикализм	sʲɪnʲdʲɪkɐlʲizm
синдикат	sʲɪnʲdʲɪkat
синдром	sʲɪndrom
синкретизм	sʲɪnkrʲɪtʲizm
синоним	sʲɪnonʲɪm
синтезатор	sʲɪntɨzatər
синус	sʲinʊs
сілеусін	sɪlewsɪn
сіріңке	sɘrɘŋkʲe
скейтбординг	skʲɪɪ̯dbordʲɪnk
скипидар	skʲɪpʲɪdar
словения	slɐvʲenʲɪjə
соғысу	soɣʊsʊw
содан	sodɑn
солитон	səlʲɪton
соло	soɫo
сомали	səmɐlʲi
сору	sorʊw
сот	sot
софтбол	sɐftboɫ
социализм	sətsɨɐlʲizm
социалистік	sətsɨəlʲɪstɘk
сөздік	søzdʏk
сөздікжасам	søzdʏkʒɑsɑm
спам	spam
спектроскопия	spʲɪktrəskɐpʲijə
спидометр	spʲɪdomʲɪtr
спорт	sport
стақан	stɐqan
стандартты	stɐndartɯ
стандарттық	stɐndartɯq
статика	statʲɪkə
стационар	stətsɨɐnar
степлер	stɛplʲɪr
степногорск	stʲepnɐgɔɾsk
стерадиан	stɛrədʲɪan
стероид	stʲɪroɪd
стратиграфия	strətʲɪgrafʲɪjə
студент	stʊdʲent
су	suw
субъект	sʊbjekt
сулы	suwlˠə
сумо	sʊmo
супермаркет	sʊpʲɪrmarkʲɪt
сурет	sʉwrʲet
суретші	sʉwrʲetʃɘ
суринам	sʊrʲɪnam
суфле	sʊflʲe
суық	sʊwʊq
сүйек	sʏjø̞k
сүйіс	sʉjɘs
сұрақ	sʊrɑq
сылақшы	sɯlɑqʃɯ
сыра	sɯrɑ
сыртқы	sɯrtqɯ
сюрреализм	sʲʉrʲɪɐlʲizm
сюрреалистік	sʲʉrʲɪəlʲɪsʲtik
таба	tɑbɑ
табан	tɑbɑn
табиғат	tɑbɯjɣɑt
табыс	tɑbɯs
таға	tɑɣɑ
тағдыр	tɑɣdɯr
таж	tɑʒ
тайфун	tɐjfun
тақта	tɑqtɑ
талап	tɑɫɑp
талдықорған	tɑɫdɯqɔɾɣɑn
тамақ	tɑmɑq
тамам	tɑmɑm
тамарин	təmɐrʲin
тамаринд	təmɐrʲind
тамыз	tamɯz
тамыр	tɑmɯr
танау	tɑnɑw
тангенс	tangʲɪns
танк	tank
тану	tɑnʊw
таңертең	tɑŋerteŋ
таңқурай	tɑŋqʊwrɑj
тапанша	tɑpɑnʃɑ
тараз	taɾaz
таразы	tɑrɑzɯ
тарих	tɑrɪx
тарихшы	tɑrɯjxʃɯ
тау	tʰɑw
таулық	tɑwɫɯq
тауық	tɑwʊq
тахометр	tɐxomʲɪtr
таяқ	tɑjɑq
тәжірибе	tæʒɘrɘjbʲe
тәсбих	tæsbʲix
тәсіл	tæsɪl
тезис	tɛzʲɪs
тек	tek
телевидение	tʲɪlʲɪvʲidʲɪnʲɪje
телеграф	tʲɪlʲɪgraf
телескоп	tʲɛlʲɛskop
телефон	tʲilʲifon
теміртау	tʲemɘɾtɑw
температура	tʲɪmpʲɪrɐturə
теңдік	teŋdɘk
теңізші	teŋɘʃʃɘ
теңсіздік	teŋsɘzdɘk
теократия	tʲɪɐkratʲɪjə
теорема	tʲɪɐrʲemə
теория	tʲɪorʲɪjə
терең	tereŋ
термин	tʲermʲɪn
терминология	tʲɪrmʲɪnɐɫogʲɪjə
термодинамика	tʲermədʲɪnamʲɪkə
термометр	tʲɪrmomʲɪtr
террариум	tɛrarʲɪʊm
территория	tʲɪrʲɪtorʲɪjə
терроризм	tʲɪrɐrʲizm
тесік	tesɘk
тетраэдр	tʲɪtraɪdr
техник	tʲexnʲɪk
техникум	tʲexnʲɪkʊm
технология	tʲɪxnɐɫogʲɪɪ̯ə
тибеттану	tʲɪbʲetanʊw
типология	tʲɪpɐɫogʲɪjə
тікбұрыш	tɘkbʊrʊʃ
тілмаш	tɘlmɑʃ
тоғай	toɣɑj
токсикология	təksʲɪkɐɫogʲɪɪ̯ə
тоқсан	tʰoqsɑn
тоқылдақ	toqʊɫdɑq
толқын	toɫqən
толы	toɫə
толықтауыш	toɫɯqtɑwɯʃ
тоңазытқыш	toŋɑzɯtqɯʃ
топ	top
топырақ	topɯrɑq
төбе	tøbø
төбелес	tøbøles
төгу	tøgʏw
төлеу	tøløw
төлеуші	tøløwʃɘ
төраға	tørɑɣɑ
төсек	tøsøk
трагедия	trɐgʲedʲɪjə
трактор	traktor
транзистор	trɐnzʲistər
транскрипция	trɐnskrʲiptsɨjə
трансұлттық	transʊɫttʊq
трапеция	trɐpʲetsɨjə
трахома	trɐxomə
триангуляция	trʲɪəngʊlʲatsɨɪ̯ə
триатлон	trʲɪɐtlon
триод	trʲɪod
тромбон	trɐmbon
тротуар	trətʊar
ту	tʊw
туба	tubə
турбина	tʊrbʲinə
туризм	tʊrʲizm
турист	tʊrʲist
туу	tʰuwuw
туф	tuf
туыстық	tʊwəstəq
түйме	tʏjmø
түнек	tʏnøk
түркістан	tʏɾkɘstɑn
түркітану	tyrkɪtɑnʊw
түркітанушы	tyrkɪtɑnʊwʃɯ
түрме	tʏrmø
түс	tʏs
тұл	tʊɫ
тұман	tʊmɑn
тұрғын	turɣɨn
тұрғын	tʊrɣɨn
тұту	tʰʊtuw
тұяқты	tʊjɑqtɯ
тыл	tɯl
тың	tɯŋ
тырнақ	tɯrnɑq
уганда	ʊgandə
улы	ʊwɫʊ
ультрамикроскоп	ulʲtrəmʲɪkrɐskop
университет	ʊnʲɪvʲɪrsʲɪtʲet
униформа	ʊnʲɪformə
уругвай	ʊrʊgvaj
утилитаризм	ʊtʲɪlʲɪtɐrʲizm
учаске	ʊtɕaskʲe
үйрету	ʏjrøtʏw
үйретуші	ʏjrøtʏwʃɘ
үкі	ʏkʏ
үкімет	ʉ̞kmet
үкіметаралық	ʏkʏmʲetɑrɑɫɯq
үлкен	ʏlkøn
үміт	ʏmʏt
үмітсіздік	ʏmʏtsɘzdɘk
үндемеу	ʏndømʲew
үст	ʏst
ұғым	ʊɣʊm
ұжым	ʊʒʊm
ұзындық	ʊzʊndɯq
ұйғыр	joʁor
ұйғыр	ojʁor
ұйықтапты	ŏ̙jo̙qtɑ̝̙ptə̝̙
ұйықтау	ʊjʊqtɑw
ұл	ʊɫ
ұлттық	ʊɫttʊq
ұлтшылдық	ʊɫtʃʊɫdɯq
ұрпақ	ʊrpɑq
ұшақ	ʊʃɑq
ұя	ʊjɑ
ұят	ʊjɑt
ұятсыздық	ʊjɑtsɯzdɯq
фагот	fɐgot
факт	fakt
фактор	faktər
факториал	fəktərʲɪal
факультет	fəkʊlʲtʲet
фантастика	fɐntasʲtʲɪkə
фарад	fɐrad
фармацевт	fərmɐtsɛft
фастфуд	fɐstfud
фәлсапа	fæɫsɑpɑ
фәлсафа	fæɫsɑfɑ
федерация	fʲɪdʲɪratsɨjə
феминизм	fʲɪmʲɪnʲizm
феноменология	fʲɪnəmʲɪnɐɫogʲɪjə
фенотип	fʲɪnɐtʲip
феодализм	fʲɪədɐlʲizm
фетиш	fɛtʲiʃ
фибриноген	fʲɪbrʲɪnɐgʲen
физиология	fʲɪzʲɪɐlogʲɪjə
филиппиндер	fʲɪlʲɪpʲindʲer
филология	fʲɪɫɐɫogʲɪjə
философия	fʲɪɫɐsofʲɪɪ̯ə
финляндия	fʲɪnlʲænʲdʲɪjə
фобия	fobʲɪɪ̯ə
фовизм	fɐvʲizm
фонема	fɐnɛmə
фонетика	fɐnɛtʲɪkə
фонон	fɐnon
формализм	fərmɐlʲizm
формула	formʊɫə
форум	forʊm
фосфор	fosfər
фуга	fugə
фундаментализм	fʊndəmʲɪntɐlʲizm
функционал	fʊnktsɨɐnaɫ
функционализм	fʊnktsɨənɐlʲizm
функция	funktsɨɪ̯ə
футуризм	fʊtʊrʲizm
фюзеляж	fʲʊzelʲɑʒ
халық	χɑɫəq
хан	χɑ̝n
хаос	xɐos
хассий	xasʲɪj
хатшы	xɑtʃɯ
химия	xʲimʲɪjə
хирург	xʲɪrurg
хирургия	xʲɪrʊrgʲiɪ̯ə
хлор	xlor
хлоропласт	xlərɐplast
хлороформ	xlərɐform
холестерин	xəlʲɪstɨrʲin
хорватия	xɐrvatʲɪjə
храм	xram
христиан	xrʲɪsʲtʲɪan
хроматин	xrəmɐtʲin
хромосома	xrəmɐsomə
хронология	xrənɐɫogʲɪɪ̯ə
чемпионат	tɕɪmpʲɪɐnat
шабдалы	ʃɐbdɑlə
шағыр	ʃɑɣɯr
шай	ʃæj
шай	ʃɑ̝j
шақыру	ʃɑqɯrʊw
шалғам	ʃɑɫɣɑm
шам	ʃam
шаң	ʃɑŋ
шаңхай	ʃaŋxaj
шара	ʃara
шарманка	ʃɐrmankə
шаршы	ʃɑrʃɯ
шахтинск	ʂɑχtʲɪnsk
шаштараз	ʃɑʃtɑrɑz
швеция	ʃvʲetsɨjə
шекарашы	ʃeqɑrɑʃɯ
шие	ʃɘjje
шизофрения	ʃɨzəfrʲɪnʲijə
шимпанзе	ʃɨmpɐnzɛ
шина	ʃina
шифр	ʃɨfr
шоколад	ʃɔkəlad
шөл	ʃøl
шүбә	ʃʏbæ
шығанақ	ʃɯɣɑnɑq
шығыстану	ʃɯɣɯstɑnʊw
шығыстанушы	ʃɯɣɯstɑnʊwʃɯ
шымкент	ʃɯmkʲɪnt
щучинск	ɕutʃɪnsk
ықпал	ɯqpɑɫ
ылғал	ɯɫɣɑɫ
ылғалды	ɯɫɣɑɫdɯ
ым	ɯm
ыңғайлы	ɯŋɣɑjɫɯ
ырым	ɯrɯm
ыстық	ɯstɯq
эвакуация	ɛvəkʊatsɨɪ̯ə
эволюция	ɪvɐlʲutsɨjə
экзистенциализм	ɛgzʲɪstɛntsɨɐlʲizm
эклектизм	ɛklʲɪktʲizm
экология	ɪkɐlogʲɪjə
экосфера	ɛkɐsfʲerə
экотоксикология	ɛkətəksʲɪkɐɫogʲɪɪ̯ə
экскаватор	ɛkskɐvatər
экскурсия	ɪkskursʲɪjə
экспансия	ɛkspansʲɪɪ̯ə
экспрессионизм	ɪksprʲɪsʲɪɐnʲizm
экстремизм	ɛkstrʲɪmʲizm
экстремум	ɛkstrʲemʊm
электрокардиография	ɛlʲektrəkərdʲɪɐgrafʲɪɪ̯ə
электролиз	ɪlʲɪktrolʲɪs
электролит	ɛlʲɪktrɐlʲit
электрон	ɪlʲɪktron
электроника	ɪlʲɪktronʲɪkə
электроскоп	ɛlʲɪktrɐskop
элемент	ɪlʲɪmʲent
эллипс	ɛlʲɪps
эллипсоид	ɛlʲɪpsoɪd
эмансипация	ɛmənsʲɪpatsɨɪ̯ə
эмблема	ɛmblʲemə
эмбриология	ɛmbrʲɪɐlogʲɪɪ̯ə
эмигрант	ɛmʲɪgrant
эмиссия	ɛmʲisʲɪɪ̯ə
энтальпия	ɛntɐlʲpʲiɪ̯ə
энтропия	ɪntrɐpʲijə
энциклопедия	ɪntsɨklɐpʲedʲɪjə
эпиграф	ɪpʲigrəf
эпистемология	ɪpʲɪsʲtʲɪmɐɫogʲɪjə
эрозия	ɛrozʲɪɪ̯ə
эстетизм	ɛstɛtʲizm
эстетика	ɪstɛtʲɪkə
этика	ɛtʲɪkə
этиология	ɪtʲɪɐlogʲɪjə
этноним	ɛtnonʲɪm
этюд	ɛtʲud
эфиопия	ɪfʲɪopʲɪjə
яхта	jaxtə
абайлашы	ɑbɑjlɑʃɯ
автобус	ɑfˈtobʊs
автрия	ɑftˈrijɑ
агент	ɑgʲent
агенті	ɑgʲɪntɪ
агентім	ɑgʲɛnˈtɪm
агентімін	ɑgʲɛntɪˈmɪn
агентін	ɑgʲɪtɪn
агентінің	ɑgʲɛtnʲɪˈnʲɪ
агентіңіздің	ɑgʲɛntɪŋɪzˈdɪŋ
агентпен	ɑgʲentˈpen
агентте	ɑgʲentˈte
агентті	ɑgʲentˈti
агенттің	ɑgʲentˈtɪŋ
ағашқа	ɑɣɑʃqɑ
ағылшын	ɑɣɯɫʃɯn
ағылшындарды	ɑɣɯɫʃɯndɑɾdɯ
ағылшынша	ɑɣɯɫʃɯnʃɑ
ад	ɑd
адал	ɑˈdɑɫ
адам	ɑˈdɑm
адамадары	ɑdɑmɑˈdɯrɯ
адамбыз	ɑdɑmˈbɯz
адамға	ɑdɑmʁɑ
адамда	ɑdɑmdɑ
адамдар	ɑdɑmdɑr
адамдарға	ɑdɑmdɑrɣɑ
адамдарды	ɑdɑmdɑɾdɑ
адамдармен	ɑdɑmdɑrmʲɪn
адамдары	ɑdɑmdɑrɯ
адамдарым	ɑdɑmdɑˈrɯm
адамдарымның	ɑdɑmdɑrɯmɯnɯ
адамдарыңа	ɑdɑmdɑɾɯŋɑ
адамдарыңды	ɑdɑmdɑɾɯŋdɯ
адаммен	ɑdɑmˈmɛn
адаммын	ɑdɑmˈmɯn
адамнан	ɑdɑmnɑn
адамның	ɑdɑmˈnɯŋ
адамсың	ɑdɑmsɯŋ
адамсыңдар	ɑdɑmsɯŋdɑr
адаса	ɑdɑsɑ
ажыраталмай	ɑʒɯɾɑtɑɫmɑj
аз	ɑz
азабын	ɑzɑbɯn
азамат	ɑzɑˈmɑt
азаматпын	ɑzɑmɑtˈpɯn
азаматтық	ɑzɑmɑtɯq
азап	ɑzɑp
азаттық	ɑzɑtˈtɯq
азғана	ɑzɣɑnɑ
аздап	ɑzˈdɑp
азиаттарға	ɑziɑtːɑrɑ
азиаттарды	ɑzʲiɑtːɑɾdɯ
азып	ɑzɯp
ай	aj
айда	ajdɑ
айдағаныңды	ajdɑɣɑŋɯndɯ
айдайсың	ajdajsɯŋ
айдалуда	ajdɑɫʊdɑ
айдап	ajdap
айдаһар	ajdɑˈhɑr
айдаһарға	ajdɑhɑrɣɑ
айдаһарды	ajdɑhɑrdɯ
айдаһардың	ajdɑhɑrdɯŋ
айди	ajdi
айқайлама	ajqajlɑmɑ
айландырып	ajlɑndɯˈrɯp
айлар	ajˈlɑr
айларда	ajlɑrdɑ
аймағы	ajmɑɣɯ
аймақта	ajmaχtə
аймақтың	ajmɑqˈtɯŋ
айналада	ajnalɑdɑ
айналайын	ajnalajɯn
айналамның	ajnalɑmˈnɯŋ
айналасың	ajnɑlɑˈsɯŋ
айналатын	ajnalɑtɯn
айналдырайын	ajnaldɯrajɯn
айналдырам	ajnaldɯɾam
айналдыратын	ajnalˈdɯrɑtɯn
айналдырды	ajnaldɯrdɯ
айналдырып	ajnalˈdɯrɯp
айналмайсың	ajnalmajˈsɯŋ
айналып	ajnɑɫɯp
айналысатынымды	ajnalɯsɑtɯmˈdɯ
айналысқанмын	ajnalɯsqanmɯn
айналыспаймын	ajnalɯspajmɯn
айналысуым	ajnalɯsujm
айнер	ajˈner
айныдық	ajnɯðɯq
айт	ajt
айта	ajˈtɑ
айтады	ajtɑdɯ
айтайын	ajtaˈjɯn
айтам	ajˈtɑm
айтамыз	ajtɑmɯz
айтамын	ajtɑmɯn
айтамың	ajtɑˈmɯŋ
айтарым	ajtɑrɯm
айтарымды	ajtɑrɯmdɯ
айтарыңыз	ajtɑɾɯŋɯz
айтасыз	ajtɑsɯz
айтасың	ajtɑˈsɯŋ
айтатындығымды	ajtɑjndɯɣɯmdɯ
айтқан	ajtqɑn
айтқанда	ajtqɑnˈdɑ
айтқандай	ajtqɑnˈdaj
айтқанмын	ajtqɑnˈmɯn
айтқаны	ajtqɑnɯ
айтқанымдай	ajtqanɯmdaj
айтқанымды	ajtqɑnɯmdɯ
айтқанын	ajtqɑnɯn
айтқым	ajtqɯm
айтқыңыз	ajtqɯŋɯz
айтқысы	ajtqɯsɯ
айтпа	ajtpa
айтпадың	ajtpaˈðɯŋ
айтпай	ajtpaɪ
айтпаймын	ajtpajmɯn
айтпайсың	ajtpaɪsɯŋ
айтпақшы	ajtpaqʃɯ
айтпақшымын	ajtpaqʃɯmɯn
айтпасқа	ajtpaʃqɑ
айтсам	ajtsam
айтты	ajtɯ
айттың	ajtɯŋ
айттыңыз	ajtɯŋɯz
айтуға	ajtuʁa
айтудан	ajtʊdɑn
айтуым	ajtujm
айтуынша	ajtujenʃɑ
айтуың	ajtuɯŋ
айтшы	ajtʃɯ
айтылған	ajtɯɫɣɑn
айтыңыз	ajtɯŋɯz
айтыңызшы	ajtɯŋɯʃ
айтып	ajˈtɯp
айыптағың	ajɯptɑˈʁɯŋ
айыптап	ajɯptɑp
айырылдым	ajɯrɯɫdɯm
аколи	ɑqɑˈlɯ
ақ	ɑq
ақкөңіл	ɑqkøŋɪl
ақпарат	ɑqpɑˈrɑt
ақтау	ɑqˈtɑw
ақша	ɑqˈʃɑ
ақшаны	ɑqʃɑnɯ
ақылдастым	ɑqɯɫdɑstɯm
ақылдым	ɑqɯɫdɯm
ақылсыз	ɑqɯlsɯz
ақылы	ɑqɯˈlɯ
ақымақ	ɑqɯˈmɑq
ақымақтық	ɑqɯmɑqɯtqɯ
ақыры	ɑqɯˈrɯ
ақысына	ɑqɯsɯnɑ
ақыт	ɑqɯt
ақытты	ɑqɯtˈtɯ
ақытым	ɑqɯtɯm
ақытыңызды	ɑqɯtɯŋɯzdɯ
ал	ɑɫ
ала	ɑˈɫɑ
алады	ɑlɑdɯ
алайда	ɑlɑjˈdɑ
алайын	ɑɫɑjɯn
алақай	ɑlɑqɑj
алам	ɑˈlɑm
аламыз	ɑlɑmɯz
аламын	ɑlɑmɯn
алаңдата	ɑlɑŋdɑtɑ
алар	ɑˈɫɑr
аларсың	ɑlɑrsɯŋ
аласыз	ɑlɑsɯz
аласың	ɑɫɑˈsɯŋ
алатын	ɑlɑˈtɯn
алатыныңды	ɑɫɑtɯŋɯdɯ
алға	ɑɫˈʁɑ
алған	ɑɫˈʁɑn
алғанда	ɑɫˈʁɑndɑ
алғаш	ɑɫˈʁɑʃ
алғашқы	ɑɫˈʁɑʃqɯ
алғыр	ɑlɣɯr
алғырдай	ɑlɣɯɾdɑj
алғыс	ɑɫˈʁɯs
алғысым	ɑɫɣɯˈsɯm
алғысымды	ɑɫɣɯsɯmˈdɯ
алдағы	ɑɫˈdɑɣɯ
алдақашан	ɑɫdɑqɑʃɑn
алдамасаңшы	ɑɫdɑmɑsɑŋʃɯ
алдап	ɑɫˈdɑp
алды	ɑɫˈdɯ
алдыға	ɑɫdɯɣɑ
алдық	ɑɫˈdɯq
алдым	ɑɫˈdɯm
алдымен	ɑɫdɯˈmʲɪn
алдымызға	ɑɫdɯmɯzɣɑ
алдында	ɑɫdɯnˈdɑ
алдың	ɑɫˈdɯŋ
алдыңғы	ɑɫdɯŋɣɯ
алдыңда	ɑɫdɯŋdɑ
алдыңыз	ɑɫˈdɯŋɯz
алдыртты	ɑɫdɯrtˈtɯ
алла	ɑɫː
алло	ɑlːo
алма	ɑlmɑ
алмадым	ɑlmɑˈdɯm
алмадың	ɑlmɑˈdɯŋ
алмай	ɑɫˈmɑj
алмайды	ɑɫmɑjˈdɯ
алмаймыз	ɑɫmɑjˈmɯz
алмаймын	ɑɫmɑjˈmɯn
алмайсың	ɑɫmɑjsɯŋ
алмайсыңдар	ɑɫmɑjsɯŋdɑr
алмайтын	ɑɫmɑjtɯn
алмақшы	ɑlmɑqʃɯ
алмаңдар	ɑlmɑŋdɑr
алмаңыз	ɑlmɑɲɯz
алмас	ɑlmɑs
алмасам	ɑlmɑsɑm
алмастыртпақшы	ɑlmɑstɯrtpɑqʃɯ
алмасуы	ɑlmɑsʉwɯ
алсам	ɑɫˈsɑm
алсын	ɑɫˈsɯn
алты	ɑɫˈtə
алтын	ɑlˈtɯn
алтынмен	ɑɫtɯmʲɪn
алтыншы	ɑɫˈtɯnʃɯ
алтынын	ɑɫtəˈnɯn
алу	ɑˈɫʊ
алуға	ɑɫʊʁɑ
алуда	ɑɫʊdɑ
алушы	ɑɫʊʃɯ
