oн	uŋ
баскетбол	bəskʲɪdbol
баспасөзі	ˈbɑspɑsøˈzɪ
бассаңдар	ˈbɑsːɑɴdɑr
бассейні	ˈbɑsːejni
бассейнінде	ˈbɑsːejniːnˈde
бастады	ˈbɑstɑdɯ
бастадың	ˈbɑstɑˈdɯŋ
бастадыңдар	ˈbɑstɑjɯŋdɑr
бастайды	ˈbɑstɑjˈdɯ
бастаймыз	ˈbɑstɑjmɯz
басталсын	baˈtɑɫsɯn
басталу	bastaɫo
бастамасы	bastɑmasɑ
бастан	astan
бастап	baˈstɑp
бастау	bast̪aw
бастау	ˈbɑstɑw
бастауға	ˈbɑstɑwɑ
бастағанда	ˈbɑstɑʁɑnˈdɑ
басты	ˈbɑstɯ
бастысы	bastɯsɯ
бастысы	ˈbɑstɯsɯ
бастықпен	ˈbɑstɯqpɛn
бастықты	ˈbɑstɯqtɯ
басшыңыз	ˈbɑsʃɯŋɯz
басы	ˈbɑsɯ
басым	baˈsɯm
басымды	basɯmˈdɯ
басын	baˈsɯn
басына	baˈsɯnə
басынан	basɯnan
басында	baˈsɯnˈdɑ
басып	baˈsɯp
басып	bɑːrsɯp
басқа	ˈbɑsqɑ
басқалары	baʃqɑlɑˈrɯ
басқаларын	baʃqɑɫɑˈrɯn
басқармасы	baʃqɑrmɑsɯ
басқармақшы	baʃqɑrmɑqʃɯ
басқару	baʃqɑrʊ
басқарып	baʃqɑˈrɯp
басқасына	baʃqɑˈsɯnɑ
басқаша	baʃqɑʃɑ
батарея	batɛˈrijə
батпақ	batpaq
баттың	ˈbɑtːɯŋ
батыл	baˈtɯɫ
батып	baˈtɯp
батыр	batar
батыс	batas
батыс	baˈtɯs
бауыр	bauɾ
бауыр	baʊɯr
бауырмалдық	bɑwʊrmɑɫdɯq
бауырын	baʊɯˈrɯn
бауырыңа	baʊɯˈrɯŋa
бахрейн	bɐxrʲejn
баянды	βɑjɯ̞ndɯ̞
баяу	bajau
баяғыда	bajɑɣɯda
баға	baˈɣa
бағаламаппын	baɣɑlɑmɑpɯn
бағалы	baɣɑɫɯ
бағана	baɣɑnɑ
бағбан	bɑɣbɑn
бағдарламалық	bɑɣdɑrɫɑmɑɫɯq
бағдаршам	bɑɣdɑrʃɑm
бағындыру	baɣɯndɯrʊ
бағыт	baɣɯt
бағыңды	baˈɣɯŋdɯ
бақ	bɑq
бақа	bɑqɑ
бақалардың	baqɑɫɯɾɯŋ
бақсыға	baqsɯʁɑ
бақташы	bɑqtɑʃɯ
бақырайтып	baqɯraɯˈtɯp
бақыт	pɑqˈit
бақытты	baqɯtˈtɯ
бақыттымын	baqɯtːɯmɯn
бе	be
беде	bede
беделіңе	bedelɪŋe
безгек	be̞sˈgek
безгің	be̞zgɯ̞ŋ
бей	bˈeɪ
бейбақ	bejˈbɑq
бейнемізді	bejnenimɪzdɪ
бейнеттенем	bejnettenem
бейсбол	bʲɪjzbol
бейшара	bejʃɑrɑ
бейім	βeim
бейімделу	biːjimdetu
бейәдеби	bejædebɘj
бек	bʲek
бек	bʲe̞kʰ
бекер	beˈkɘr
бекер	biːkeɾ
бел	βɘɫ
белгілі	beɫɣɯˈli
белгілі	bɪ̞ɫgʏ̞lɪ̞
белгісіз	beɫɣɯˈsɯz
белес	piliːs
беллфлауэр	βɘɫfɫɑwɘr
беліңді	beˈlɪŋdɪ
бен	ben
бензин	benˈzɪn
бер	ber
бер	bjer
бергем	beɾˈgem
берген	beɾˈgen
бергенді	beɾgenˈdɯ
бергенсіз	beɾge̞nsɯ
бергенсің	beɾge̞nsɪ̞ŋ
бергенің	be̞ɾge̞ˈniŋ
бергеніңізді	be̞ɾge̞niŋɨzˈdɨ
бергім	beɾgɪm
берді	berˈdi
бердің	beriŋ
береді	beredi
береді	bʲirɛdɪ
берейін	beɾejin
береке	beɾɛjke
берем	berem
береміз	beɾemiz
беремін	beremɪn
бересіз	be̞ɾe̞sɪ̞s
бересің	be̞ɾe̞ˈsiŋ
берет	bʲɪrʲet
берешек	beɾeʃek
бермеген	bʲirmɛjgæn
бермей	beɾˈmej
бермейді	bermɛjˈdi
берсеңші	beɾsɪŋʃɪ
берсін	βɘrˈsɘn
беруге	beˈruɣe
берудеміз	beɾʉdeˈmɪz
беруді	berʊˈdi
беруің	beɾuj
берші	berʃi
бері	beri
берілетін	beriletin
берілме	beɾɪlˈme
беріп	beˈrip
беріпті	beˈripti
беріңіз	beɾiŋɪz
беріңізші	beɾiŋɨʃi
бес	bes
бет	bʲe̞tʰ
бетон	beˈton
бетон	bʲɪton
бетпақ	βetˈpɑq
бетін	beˈtin
бетінше	βetɪnʃe
би	bʲij
биатлон	bʲɪɐtɫon
бидай	bɪjdɑj
бие	bʲije̞
бизон	bizoːn
бикини	bʲɪkʲinʲɪ
билеттері	biletteri
биология	bʲɪɐɫogʲɪɪ̯ə
бихевиоризм	bʲɪxʲɪvʲɪɐrʲizm
биші	biʃi
биік	bʲijɪ̞k
бланк	blank
бо	bo
боггз	boɣːz
бозарып	bozɑrɯp
бозбала	kozbɑɫa
бойы	bojɯ
бойымен	bojɯˈmen
бойынша	bojɯnʃa
бол	bol
бола	bola
болады	bolɑdɯ
болам	bolɑm
боламын	boɫɑˈmɯn
болар	boˈɫɑr
боларсың	bolaɾsəŋ
боласыздар	bolɑsɯzdɑr
боласың	bolɑˈsɯŋ
болатынмын	bolɑtɯmɯn
болатынын	bolɑtɯnɯn
болашағының	boɫɑʃɑɣɯˈnɯ
болашақ	bolaʃaq
болашақта	bolɑʃɑqˈtɑ
болағн	bolaʁn
болды	boldɯ
болды	bɔɫdɯ̞
болдым	boldɯm
болдың	bolˈdɯŋ
болжау	bolʒɑw
болма	bolmɑ
болмады	bolmɑdɯ
болмайды	bolmɑjdɯ
болмайды	olmajdɯ
болмайтын	bolmajˈtɯn
болмасын	bolmɑsɯn
болмауым	bolmɑjym
болмаған	bolmɑˈʁɑn
болмағанда	bolmɑˈɣɑndɑ
болмағанымда	bolmɑɣɑnɯmda
болмақ	bolˈmɑq
болмаңыз	bolmɑŋɯz
болмысы	bolmɯsɯ
болса	bolsɑ
болсам	bolsam
болсақ	bolsɑq
болсаң	bolˈsaŋ
болсаңыз	bolsɑŋɯz
болсын	bolsɯn
болсын	bɔːsɨm
болу	bɔːl
болуды	bolʊdɯ
болуым	bolojum
болшы	bolʃɯ
болыппа	boɫɯpˈpɑ
болыпты	boləptɯ
болыңдар	boləŋdɑr
болыңыз	boɫəŋɯz
болған	bolɣan
болғанда	bolɣɑndɑ
болғандар	bʊ̞ɫʁændær
болғанды	bolɣɑndɯ
болғандықтан	bolɣɑnˈdɯqˈtɑn
болғансың	bolɣɑnsɯŋ
болғанша	boɫɣaɲʃa
болғаны	bolʁɑnɯ
болғаным	bolɣanɯm
болғанымыз	bolɣanɯmɯz
болғанына	bolɣanɯna
болғыларың	bolɣɯlaˈrɯŋ
болғым	bolɣɯm
болғысы	bolɣɯsɯ
болғың	bolɣɯŋ
болғыңыз	boɫɣəŋɯz
бонни	boni
боны	boˈnɯ
боп	βop
бопты	boptɯ
боралдай	borɑldɑj
боран	borɑn
бос	bos
бос	βoʃ
босатты	bo̞sɑtːɯ
босатылды	bo̞sɑtɯɫdɯ
босатылып	bo̞sătɯ̆lɯ̆p
босатыңдар	bo̞sátɯŋdɑr
боссыңдар	boˈsɯŋdɑr
бостандығы	boʃtandɯɣɯ
бостандық	bɔstɑndɯk
босқа	boʃqɑ
ботам	botam
боқ	boq
бракман	brɑkmɑn
брдеңе	brdeŋe
бригадир	brʲɪgɐdʲir
британ	brʲitɑn
британдықсыз	brʲitɑnˈdɯqˈsɯz
британия	brʲitɑnʲiʝɑ
бруней	brʊnʲej
брунер	brʊˈnɛr
бульдозер	bʊlʲdozʲɪr
бума	buma
буржуазия	bʊrʒʊɐzʲijə
бутерброд	bʊtɨrbrod
бутербродты	butɪrbrodtɨ
былай	balaj
былай	ɯɫɑj
былық	byˈlɯq
былықтарды	byˈlɯqtarˈdɯ
бэннанды	benːɑnːdɯ
бэннандікі	benːandɪki
бэннанмен	benanmen
бэннанның	benːanːɯ
бюллетень	bʲʉlʲɪtʲenʲ
бюретка	bʲʉrʲetkə
бюро	bʲʊro
бюрократ	bʲʊrɐkrat
біз	bɪz
біз	βɯz
бізбен	biβbæn
бізге	biːzge
бізде	βɯzˈdæ
бізді	biˈzdi
біздің	biˈzɪŋ
бізідң	biˈzɪŋ
білген	biɫˈgen
білгенге	biɫgeŋe
білгің	biɫɣɯŋ
білдіреді	biɫdiɾeɾi
білдіремін	biɫdiredimɪn
білдірмей	biɫdɪrmɛj
білдіруді	biɫdiɾuɾi
білдің	biɫˈdɪŋ
білемін	bilemin
білесіз	bilesiːz
білесің	bilesiŋ
білесіңбе	bileˈsiŋbe
білесіңдер	bileˈsiŋdɘr
білетін	biletin
білетіндеймін	biletʲindejˈmin
білетінім	biletinim
білмегенсіп	biɫmege̞nsip
білмей	biɫˈmej
білмейм	biɫmej
білмейміз	biɫmæjˈmɪz
білмеймін	biɫmejˈmɪn
білмеймін	bɛlmiːjmin
білмейсіз	biɫmejˈsɯz
білмейсің	biɫmejˈsiŋ
білмеппіз	biɫmæpˈpɪs
білсе	biɫse
білсем	biɫsæm
білу	bɘlʉw
білуге	bɘlʉwgʲe
білуден	bɘlʉwdʲen
білуім	biluːm
білуіңіз	biɫʉiŋɨz
біліктілігіңізге	biɫɪkˈtɪlɪɣe
білімді	biˈlimdi
білімімді	bilimimdi
біліппін	bɘlɘppɘn
біліпті	bɘlɘptɘ
бір	biɾ
біраз	biˈrɑz
біратала	biɾɑtɑɫɑ
бірге	biɾgɛ
бірге	brɛgɛ
біргемін	biɾɣeˈmin
бірде	biɾde
бірдеме	biɾdeˈme
бірден	biɾˈdɪn
бірдеңе	biɾdeŋe
біреудің	biɾewˈdiŋ
біреуі	biɾewi
біржаққа	biɾʒɑqˈqɑ
бірлескен	biɾlesqen
бірнеше	biɾneʃe
бірнәрсе	biɾnæɾsɛ
біртүрлі	biɾtyɾˈli
бірі	biri
бірқалыпты	bɪ̞rqɑɫɯ̞ptɑ
бітетін	bitetin
біткен	bitken
бітті	biti
бітті	βɯ̞tːæ
бітуде	bitʊde
бітіруге	biˈtiruɣe
бүгін	byˈgin
бүгіннен	byˈgɪnen
бүгіп	byˈgɪp
бүкіл	bykiɫ
бүлдірген	buldirgen
бүлдірдің	buɫdɪrɪŋ
бүтін	bytin
бүіг	byj
бұдан	boˈdɑn
бұзады	buzɑdɯ
бұзау	bʊzɑw
бұзақылық	buzɑqɯˈlɯq
бұзды	buzdɯ
бұзушылықтар	buzuʃɯɫɯqtaɾ
бұйрығы	bujɯˈrɯqɯ
бұл	bol
бұл	buɫ
бұлар	buˈɫɑr
бұлардың	buɫɯɾɯŋ
бұлбұл	bʊɫbʊɫ
бұнда	bo̙nˈdɑ
бұндай	bo̙nˈdɑj
бұнымен	boˈnɯmen
бұның	buˈnɯŋ
бұрылма	buˈrəlmɑ
бұрылыс	buˈrəlɯs
бұрылыңыз	buˈrɯləˈɯz
бұрын	boræn
бұрын	buˈrɯn
бұрында	buɯrˈɯndɑ
бұрыннан	buˈrɯnːan
бұрынғы	buˈrɯŋɯ
бұрынғысы	buˈrɯŋɯsɯ
бұрып	buˈrɯp
бұрыс	boros
бұрыңғы	buˈrɯŋɣɯ
бұт	but
бұта	bʊtɑ
бұтақ	bʊtɑq
бұған	boɣɑn
бәз	βæz
бәйге	bejjɛ
бәлесің	be̞lesiŋ
бәліш	baliʃ
бәліш	beˈlɪʃ
бәлішті	be̞lɪʃtɪ
бәр	ber
бәрі	βæri
бәрін	berin
бәріне	beɾine
бәрінен	beriˈnɪn
бәрің	βæɾɪŋ
бәріңе	βæɾɪŋ
бөксесін	ˈbøksɪsɪn
бөксесінен	ˈbøksæsinɪn
бөлгеніме	bolgɛniˈmɛ
бөлесіз	bolɪˈsɪz
бөлме	bolˈmɘ
бөлме	bølmø
бөлмеге	bolmɛge
бөлмелеріңізге	bolmelerinizɣe
бөлмесі	bolmɛsi
бөлмесіне	bolmɛsɪnɛ
бөлу	bolˈu
бөлшек	bølʃøk
бөлшектері	bolʃekeˈteɾi
бөлшектерін	bolʃekteˈrin
бөлік	bølʏk
бөлім	bolɪm
бөліміміздің	boliːmimɪzɪŋ
бөліп	bolɪp
бөлісуіңізді	boliˈsuɪŋɪzdi
бөтен	bøtøn
бөтен	βøˈtɛn
вагон	vɐgon
вакуоль	vəkʊolʲ
вакцина	vɐktsɨnə
вакцинация	vəktsɨnatsɨjə
валторна	vɐltornə
ванна	ʋɑnːə
ваннаны	ʋɑnːɑnɯ
васваның	ʋɑsˈwɑnɯŋ
ватиканға	ʋɑtɪkɑŋɑ
ватт	vat
вашингтон	ʋɑʃɪŋˈtɑn
вашингтоннан	ʋɑʃɪŋˈtɑnːɑn
вебер	vʲebʲɪr
ведомство	vʲedəmstvə
вектор	vʲektor
веленанге	βelɪnɑŋge
вермишель	vʲɪrmʲɪʂɛlʲ
вилда	ʋildɑ
вирджиния	ʋɪrdʒɪnʲiʌ
вирус	vʲirʊs
вирусология	vʲɪrʊsɐlogʲɪjə
виски	vʲiskʲɪ
виски	ʋiskʲɪ
волейбол	vəlʲɪjbol
вотум	votʊm
гадолиний	gədɐlʲinʲɪj
газеттер	gɑˈzetər
галактика	gɐlaktʲɪkə
галерея	gəlʲɪrʲejə
галлюциноген	gəlʲʊtsɨnɐgʲen
галоген	gəlɐgʲen
галстук	gaɫstʊk
гангрена	gɐngrʲenə
гаражы	gɑrɑʃɯ
гардероб	gərdʲɪrob
гариган	gɑrɪˈɣɑn
гариганмен	ɣɑrɯɣɑnˈmɛn
гариганмын	gɑrɯɣɑnˈmɯn
гастроль	gɐstrolʲ
гастрономия	gəstrɐnomʲɪɪ̯ə
гаухар	gʊχɑr
гафний	gafnʲɪj
гватемала	gvətɨmalə
гексозаминдас	gɛksozɑmɪndɑs
гемоглобин	gʲɪməglɐbʲin
генерал	gɛnɛraɫ
геодезия	gʲɪɐdɛzʲɪjə
герц	gʲerts
гидравлика	gʲɪdravlʲɪkə
гидрид	gʲɪdrʲit
гидрография	gʲɪdrɐgrafʲɪɪ̯ə
гидроксид	gʲɪdrɐksʲid
гидролиз	gʲɪdrolʲɪz
гидромеханика	gʲidrəmʲɪxanʲɪkə
гимнаст	gʲɪmnast
гипербола	gʲɪpʲerbələ
гипноз	gʲɪpnoz
гистамин	gʲɪstɐmʲin
гистология	gʲɪstɐlogʲɪjə
глицерин	glʲɪtsɨrʲin
глобус	gɫobʊs
глюкагон	glʲʊkɐgon
глюкоза	glʲʊkozə
гном	gnom
гну	gnu
гоблин	goblʲɪn
годограф	gɐdogrəf
госпиталь	gospʲɪtəlʲ
госпитальда	ɣo̞spʲi̞tɑ̆ɫdɑ
госпиталі	ɣospitɑlʏ
гравитон	grəvʲɪton
градус	gradʊs
грамматика	grɐmatʲɪkə
гранит	grɐnʲit
грант	grant
граффити	grɐfʲitʲɪ
гректер	grekˈtɛr
грин	grɪn
гроссмейстер	grɐsmʲejsʲtʲɪr
гуаңжоу	gwɑŋdʒoʊ
губка	gupkə
гугл	guɣl
гүл	gʏl
гүлдер	ɣʏldɘr
гөрі	gʏ̞rʏ̞
да	da
дайын	dajɯn
дайын	dɑjɯn
дайынбысың	dajɯnbɯsɯŋ
дайындалыңыздар	daɪɯ̽ndɑɯ̽ɫɯŋɯzɯɾ
дайынсыз	dajɯnsɯz
дакота	dakotə
дала	naːla
далбаса	daɫbɑsɑ
дамыту	damɯtʊ
дана	dana
дара	dara
дармштадтий	dɐrmʃtatʲːɪj
даршын	dɑrʃɯn
дастархан	ˈdɑstɑrxɑn
дауыл	dɑwʊɫ
дауыс	daʊɯs
дауыс	dɑwʊs
дауысын	daʊsɯn
дауысқа	daʊɯsqɑ
даярмысыз	dajaɾmɯsɯz
даярмысың	dajɑrmɯsɯŋ
дағдарыс	dɑɣdɑrɯs
дағдарыссыз	dɑɣdɑrɯssɯz
дақпырт	dɑqfɯrt
даңқ	daŋq
де	ðe
деген	dʒegen
деген	ˈdegen
дегенге	denˈgeŋe
дегенде	ˈdegendɘ
дегендей	ˈdegendɛj
дегеннің	deniɲi
дегені	deni
дегенім	deniːm
дегенің	deniŋ
дегеніңіз	deniŋiz
дегің	ˈdeɣɪŋ
деді	ˈdʲedi
дедім	ˈdɛdɪm
дедіңіз	ˈdejdiŋiz
дей	ˈdej
дейді	ˈdɛjdi
деймін	dejˈmin
деймісің	dejmiˈsiŋ
дейсіз	ˈdɛjsɪz
дейсің	dejsɪŋ
дейсіңдер	dejˈsiŋdɪr
дейтін	dejˈtin
дейін	ˈdejɪn
делегация	dʲɪlʲɪgatsɨɪ̯ə
дем	ðæm
демалуға	ˈdʲemɑɫʊʁə
демалыс	demɑɫɯs
демалыста	demɑlɯstɑ
демеймін	ˈdʲemʲejmʲin
демейсіз	ˈdʲemʲesɪs
демі	ˈdemi
деміңді	ˈdemiŋdi
ден	den
дене	dene
денеге	denege
денелерін	deneleriɳ
денесіне	denjesine
денең	deneŋ
денсаулығы	densɑwɫɯɣɯ
денсаулық	densɑwɯɫɯq
деонтология	dɛəntɐɫogʲɪɪ̯ə
деп	ˈdɛp
деппедің	ˈdɛpːɘtɘŋ
дер	der
дереу	derɘw
десе	desʲe
деседі	desiːdɪ
десейші	desejʃi
десең	desɪŋ
деспотизм	dʲɪspɐtʲizm
десіп	desip
дефис	djefis
деші	ˈdeʃi
деңгей	denˈgej
деңгейін	dengejɪn
деңіз	denʲɪs
деңізші	deniʃʃi
джанджу	dʒɑnˈdʒu
джеральд	dʒeɾɑɫd
джо	dʒo
джозеф	dʒoˈzʲef
джой	dʒɔj
джолли	dʒɔlɯ
джона	dʒɔnɑ
джонада	dʒɔnɑdɑ
джонас	dʒɔnɑs
джонастың	dʒɔnɑsˈtɯŋ
джунджу	dʒundʒu
дзэнибаның	ʐænibɑˈnɯŋ
диагноз	daɪɑgˈnɔs
диагональ	dʲɪəgɐnalʲ
диалектика	dʲɪɐlʲektʲɪkə
диамагнетизм	dʲiəməgnʲɪtʲizm
диахрония	dʲɪəxrɐnʲiɪ̯ə
дизайн	dʲɪzajn
дизель	ˈdizʲɪlʲ
диктатор	dʲɪktatər
диктатура	dʲɪktɐturə
динозавр	dinɔzaw̜r
диод	dʲɪod
дирижабль	dʲɪrʲɪʒablʲ
дискотека	dʲɪskɐtʲekə
диспансер	dʲɪspɐnsɛr
дисплей	dʲɪsplɛj
диссертация	dʲɪsʲɪrtatsɨjə
дифтерия	dʲɪftʲɪrʲijə
диффузия	dʲɪfuzʲɪjə
доктор	doˈktoɾ
доктормын	doqtoɾmɯn
докторына	doqtoɾɯˈnə
долана	dolana
долырып	doloɾɯp
домна	domnə
донор	doˈnor
дос	dˈos
достар	dostɑɾ
достар	doˈstɑr
достарым	doˈstɑrɯm
достарымызға	dostaɾɯmɯzɣɑ
достарыңның	doʃtɑrɯŋˈnɯŋ
достық	dostɨk
досы	doˈsɯ
досым	doˈsɯm
досымсың	doˈsɯmsɯŋ
досың	doˈsɯŋ
досыңды	doˈsɯŋdɯ
доғар	doʁɑr
доғарыңдар	doʁɑrɯŋdɑr
доғарыңыз	doʁɑrɯŋɯz
драма	dramə
драматург	drəmɐturk
драматургия	drəmətʊrgʲiɪ̯ə
дуа	duɑ
дуаладым	duɑlɑdɯm
дуаны	duɑnɯ
дуаның	duɑˈnɯŋ
дубляж	dʊblʲaʒ
дубний	dubnʲɪj
дыбысын	ɯβɯsɯn
дым	ɯm
дэвид	ˈdæβɪt
дізесін	ˈdɪzɪsɪn
діл	ɖɪl
діни	ˈdɪnɪ
дірілдейсің	gɪrɪɫdʲeˈsɪŋ
дірілдеп	ɖɪrɪlˈdæp
дүкен	dʉ̞kø̞n
дүние	ˈdynje
дүниежүзілік	dʉnyjːeʒʉzʉɫik
дүниетаным	dʉnɨjetɐnɯm
дүршіккеннен	ɯɾʃɪkʲːe̞nːe̞n
дұрын	duˈrɯn
дұрыс	doˈrɯs
дұрыс	dʊrʊs
дұрыспысың	duˈrɯspɯsɯŋ
дұшпан	dʊʃpɑn
дұға	dʊɣɑ
дәл	den
дәл	ɘl
дәлел	ˈdæleɫ
дәлелдеймін	ðælældæjmɪn
дәлелдеп	ˈdælældæp
дәлірек	ˈdælirɪk
дәмдіге	daemdiɣe
дәмхана	dɛmxana
дәмқосар	dæmqosɑr
дәніне	danine
дәреже	ˈdæɾeʒe
дәрежелі	ˈdæɾeʒeli
дәретхана	ˈdæɾetχɑnɑ
дәртің	ðærtɯŋ
дәрі	dærɪ
дәрі	ˈdæɾi
дәрігер	dærɘgʲer
дәрігер	ˈdæɾiɣer
дәрігерге	ˈdæɾiɣɛɾɣe
дәрігердің	ˈdæɾiɣeɾiŋ
дәрігерлердің	ˈdæɾiɣerleɾiŋ
дәрігермін	ˈdæɾiɣɘrmɘn
дәрігерсіз	ˈdæɾiɣɘɾsɘz
дәрігерсің	ˈdæɾiɣɘɾsɘŋ
дәрігері	ˈdæɾigeɾi
дәрігерімді	ðæɾiɣeɾimˈdi
дәрігерімін	ˈdæɾiɣeɾimɪn
дәрігерісіз	ˈdæɾiɣeɾɪsɪz
дәрігеріңіз	ðæɾiɣeɾiŋiz
дәріні	ˈdæɾini
дәрінің	ðæriˈnʲiŋ
дәрісі	ˈdæɾɪsɪ
дәрісін	ˈdæɾɪsɪn
дәріханашы	dærɘxɑnɑʃɯ
дәтің	ˈdæteɪŋ
дөнен	døɲe
дөрекілік	dōrekílik
дөң	døŋ
е	ʲɛ
ебедейсізсің	jebɪɟesiˈsɪʃ
ева	jeˈβɑ
егер	jeger
егіз	jegɪz
еді	jedʲi
едік	jedɪk
едім	jedim
едің	jeːtiŋ
едіңіз	jedinɪz
едіңіздер	jedʲiŋɪzˈdɪr
ежелгі	jeʒelgɘ
ей	ej
ек	ɛk
екен	ɪkʲɪn
екенбіз	ɛkʲenˈbɪs
екендігін	ɪkʲɪndɪˈɣɪn
екендігіңді	ɪkʲɪndɪɣɪŋdɪ
екенмін	ɪkʲɪnˈmɪn
екенсің	ɪkʲɪnˈsɪŋ
екенін	ɪkɪˈnɪn
екенің	ɪkæˈnɪŋ
екеніңіді	ɪkæniŋɪdɪ
екеуі	jekewi
екеуіміз	jɪkɪwɪˈmɪz
екеуін	jekewɪn
екеуінде	jekewinde
екібастұз	jekɘbɑsto̙z
екінші	jeˈkɪnʃi
екіншісі	jeˈkɪnʃɪsɪ
елде	jelde
елден	jɪldɪn
еледің	jɪlɪˈdiŋ
елемей	jelemej
елорда	jelordɑ
елшісі	jæɫʃɪsɪ
ем	ɘm
емдеген	emdegen
емдеу	emdew
емдеуге	emdewge
емдеуін	emdewiːn
емді	emdi
емес	emes
емес	nɛmɛs
емеспе	ɘmɘspɘ
емеспін	emɪspɪn
емессіз	emɪsːɪz
емессің	emɪsɪŋ
еместей	emɪstej
емле	jemle
емнің	emˈnʏj
емспін	jɪmspɪn
емхана	emχɑnɑ
емхана	jemxɑnɑ
енген	jɪŋɪn
ендеше	endeʃe
енді	ɘndʲi
ендігі	ɘndɪɣɯ
ендігәрі	endʲiɣæri
енжар	iːndʒaɾ
ентебиге	jɛntɛbigɛ
ер	jer
ереже	ereʒe
ережелер	ereʒeˈler
ережені	ereʒeɲi
ерекше	erekʃe
ерке	iɾke
еркек	ɪɾkɪk
еркімен	jɜrkɪˈmɛn
еркін	ɪ̞rkɪ̞n
ертегі	jertegɘ
ертемен	jɪrtɪˈmɪn
ертең	jɘrtɘŋ
ертеңмен	jɘrtɘŋmɘn
еріп	erɪp
есебі	jɪsɪbi
есебімнен	jɪsɪbɪmˈnʲe
есептер	jɪsɪpˈtɪr
есептесем	jɪsɪpˈtɪsɪm
естерінде	jestɪrindɛ
естимісің	jɪstɪmisɪŋ
естисің	jɪsˈtɪsɪŋ
естуімше	jestuimʃe
естіген	jestʲiˈgen
естігіміз	jestʰiɣimiʑ
естідік	jestɪdɪk
естідім	jɪsteˈdim
естімей	jestimɛj
естімеймін	jɪstimɪmɪn
есуас	iswas
есікті	jɪˈsɪktɪ
есім	jɪ̞sɪ̞m
есіме	jesime
есімнен	jɪˈsɪmˌnʲɪn
есімі	jesimi
есімім	je̞si̞mi̞m
есімімді	jɪsɪmɪmˈdɪ
есіміңді	je̞simɪŋˈdi
есітіп	jɪsɪtɪp
есіңде	jeˈsɪŋdɛ
ет	et
етем	jetem
етеміз	jetemɪz
ететін	jetetɪn
еткім	etˈkim
еткіңіз	etkiŋɨz
етпейді	etpejdi
етпеймін	etpejˈmɪn
етпексіз	etpɛkˈsɯz
етпес	etpes
еттім	etˈtim
еттің	etːiŋ
етуіміз	etʊɪˈmɪz
етуіңе	etujɪŋe
еті	etɪ
етіп	etɪp
етіңіз	etɪŋɪz
етіңізші	jetɪŋɪʃːɪ
еш	jɪʃ
ешкі	jɪʃˈkɪ
ешкім	jeʃkim
ешкім	jeʃkɘm
ешкімге	jɪʃkɪmge
ешкіммен	jɪʃkɪmˈmen
ештеме	jɪʃtɪˈmɛ
ештеңеге	jeʃteŋege
ештеңеміз	jeʃteŋemiːz
ешқандай	jeʃqɑndɑj
ешқашан	jeʃqɑʃɑn
ешқашан	jɪʃqɑʃɑn
ең	jeŋ
ең	jɛn
еңбегіммен	jeŋbeɣimmen
ж	dʒ
жабатын	dʒɑbɑtɯn
жабуға	ʒɑβʊʁɑ
жабысқақ	ʒɑβɯsqɑq
жабық	dʒɑβɯq
жабыңдар	dʒɑβɯŋdɑɾ
жад	zæn
жаз	dʒɑz
жаза	dʒɑzɑ
жазам	ʒɑˈzɑm
жазамын	ʒazɑmɯn
жазбаған	dʒɑzβɑɣɑn
жазда	aʒazda
жаздадым	dʒɑzˈdɑdɯm
жаздаппыз	ʒɑzdɑpˈpɯz
жаздаппын	ʒɑzˈdɑpɯn
жаздағам	ʒɑzˈdɑɣɑm
жаздым	ʒɑzˈdɯm
жаздың	ʒɑzˈdɯŋ
жазу	ʒazo
жазылды	dʒɑzɯɫdɯ
жазылу	ʒazlu
жазылым	ɾɑzɑɫɑm
жазылыпты	ʒɑzɯɫɯptɯ
жазылған	dʒɑzɯɫɣɑn
жазым	dʒɑˈzɯm
жазыпсың	ʒɑˈzɯpsɯŋ
жазған	dʒɑzˈɣɑn
жай	ʒaj
жайдарман	zæjdærmɑn
жаймен	ʒajˈmen
жайында	ʒajɯnˈdɑ
жайып	ʒɑjɯp
жайға	ʒajˈʁɑ
жайғас	ʒajˈʁɑs
жайғастырады	ʒajɣɑstɯrɑdɯ
жаксы	ʃæqsɯ̞
жалақы	ʒɑɫɑqɯ
жалаңаш	ʒɑɫɑɲɑʃ
жалпы	ʒɑlˈpɯ
жалынды	ʒɑɫɯndɯ
жалған	ʒɑɫˈʁɑn
жалғастырмайды	ʒɑɫɣɑstɯrmɑj
жалғыз	ʒɑlɣɯz
жалқау	ʐɑɫqɑu
жаман	dʒɑmɑn
жаман	ʒɑmɑn
жаман	ʒɑˈmɑn
жамандық	ʒɑmɑndɯq
жаманы	ʒɑmɑnɯ
жамбас	ʃambas
жамбыл	ʒˈambəl
жамшит	ʒɑmˈʃɯt
жан	ʒɑn
жан	ʒɑ̝n
жанның	ʒɑnˈnɯŋ
жантану	dʒɑntɑnʊw
жануар	ʒɑnuɑr
жануарға	ʒɑnuɑɾə
жануда	ʒɑnʊˈdɑ
жаншып	ʒɑnʃɯp
жаным	ʒɑˈnɯm
жанымда	ʒɑˈnɯmˈdɑ
жанына	ʒɑnɯnɑ
жанында	ʒɑnɯnˈdɑ
жанындасың	ʒɑnɯndɑsɯŋ
жанындағы	ʒɑnɯndɑɣɯ
жанып	ʒɑnɯp
жаныңда	ʒɑˈnɯŋdɑ
жап	ʒɑp
