--من	mæn
بازمیرساندیم	bɒːzmiːɾe̞sɒːndiːm
بازمیرسانم	bɒːzmiːɾe̞sɒːnæm
بازمیرسانند	bɒːzmiːɾe̞sɒːnænd
بازمیرسانی	bɒːzmiːɾe̞sɒːniː
بازمیرسانید	bɒːzmiːɾe̞sɒːniːd
بازمیرسانیم	bɒːzmiːɾe̞sɒːniːm
بازمیستاند	bɒːzmiːse̞tɒːnæd
بازمیستاندم	bɒːzmiːse̞tɒːndæm
بازمیستاندند	bɒːzmiːse̞tɒːndænd
بازمیستاندهام	bɒːzmiːse̞tɒːnde̞æm
بازمیستاندهاند	bɒːzmiːse̞tɒːnde̞ænd
بازمیستاندهای	bɒːzmiːse̞tɒːnde̞iː
بازمیستاندهایم	bɒːzmiːse̞tɒːnde̞iːm
بازمیستاندی	bɒːzmiːse̞tɒːndiː
بازمیستاندید	bɒːzmiːse̞tɒːndiːd
بازمیستاندیم	bɒːzmiːse̞tɒːndiːm
بازمیستانم	bɒːzmiːse̞tɒːnæm
بازمیستانند	bɒːzmiːse̞tɒːnænd
بازمیستانی	bɒːzmiːse̞tɒːniː
بازمیستانید	bɒːzmiːse̞tɒːniːd
بازمیستانیم	bɒːzmiːse̞tɒːniːm
بازمیشمارد	bɒːzmiːʃomɒːɾæd
بازمیشمارم	bɒːzmiːʃomɒːɾæm
بازمیشماری	bɒːzmiːʃomɒːɾiː
بازمیشمارید	bɒːzmiːʃomɒːɾiːd
بازمیشماریم	bɒːzmiːʃomɒːɾiːm
بازمیشمرد	bɒːzmiːʃomoɾd
بازمیشمردند	bɒːzmiːʃomoɾdænd
بازمیشمردهام	bɒːzmiːʃomoɾde̞æm
بازمیشمردهاند	bɒːzmiːʃomoɾde̞ænd
بازمیشمردهای	bɒːzmiːʃomoɾde̞iː
بازمیشمردهایم	bɒːzmiːʃomoɾde̞iːm
بازمیشمردی	bɒːzmiːʃomoɾdiː
بازمیشمردید	bɒːzmiːʃomoɾdiːd
بازمیشمردیم	bɒːzmiːʃomoɾdiːm
بازمیماندم	bɒːzmiːmɒːndæm
بازمیماندند	bɒːzmiːmɒːndænd
بازمیماندهام	bɒːzmiːmɒːnde̞æm
بازمیماندهاند	bɒːzmiːmɒːnde̞ænd
بازمیماندهای	bɒːzmiːmɒːnde̞iː
بازمیماندهایم	bɒːzmiːmɒːnde̞iːm
بازمیماندی	bɒːzmiːmɒːndiː
بازمیماندید	bɒːzmiːmɒːndiːd
بازمیماندیم	bɒːzmiːmɒːndiːm
بازمیمانم	bɒːzmiːmɒːnæm
بازمیمانند	bɒːzmiːmɒːnænd
بازمیمانی	bɒːzmiːmɒːniː
بازمیمانید	bɒːzmiːmɒːniːd
بازمیمانیم	bɒːzmiːmɒːniːm
بازمینمایاند	bɒːzmiːnæmɒːjɒːnæd
بازمینمایاندم	bɒːzmiːnæmɒːjɒːndæm
بازمینمایاندند	bɒːzmiːnæmɒːjɒːndænd
بازمینمایاندهام	bɒːzmiːnæmɒːjɒːnde̞æm
بازمینمایاندهاند	bɒːzmiːnæmɒːjɒːnde̞ænd
بازمینمایاندهای	bɒːzmiːnæmɒːjɒːnde̞iː
بازمینمایاندهاید	bɒːzmiːnæmɒːjɒːnde̞iːd
بازمینمایاندهایم	bɒːzmiːnæmɒːjɒːnde̞iːm
بازمینمایاندی	bɒːzmiːnæmɒːjɒːndiː
بازمینمایاندید	bɒːzmiːnæmɒːjɒːndiːd
بازمینمایاندیم	bɒːzmiːnæmɒːjɒːndiːm
بازمینمایانم	bɒːzmiːnæmɒːjɒːnæm
بازمینمایانند	bɒːzmiːnæmɒːjɒːnænd
بازمینمایانی	bɒːzmiːnæmɒːjɒːniː
بازمینمایانید	bɒːzmiːnæmɒːjɒːniːd
بازمینمایانیم	bɒːzmiːnæmɒːjɒːniːm
بازمینهاد	bɒːzmiːnæhɒːd
بازمینهادم	bɒːzmiːnæhɒːdæm
بازمینهادند	bɒːzmiːnæhɒːdænd
بازمینهادهاند	bɒːzmiːnæhɒːde̞ænd
بازمینهادهایم	bɒːzmiːnæhɒːde̞iːm
بازمینهادی	bɒːzmiːnæhɒːdiː
بازمینهادیم	bɒːzmiːnæhɒːdiːm
بازمینهد	bɒːzmiːne̞hæd
بازمینهم	bɒːzmiːne̞hæm
بازمینهند	bɒːzmiːne̞hænd
بازمینهی	bɒːzmiːne̞hiː
بازمینهید	bɒːzmiːne̞hiːd
بازمینهیم	bɒːzmiːne̞hiːm
بازمینگرد	bɒːzmiːne̞gæɾæd
بازمینگرم	bɒːzmiːne̞gæɾæm
بازمینگرند	bɒːzmiːne̞gæɾænd
بازمینگری	bɒːzmiːne̞gæɾiː
بازمینگرید	bɒːzmiːne̞gæɾiːd
بازمینگریست	bɒːzmiːne̞gæɾiːst
بازمینگریستم	bɒːzmiːne̞gæɾiːstæm
بازمینگریستند	bɒːzmiːne̞gæɾiːstænd
بازمینگریستهام	bɒːzmiːne̞gæɾiːste̞æm
بازمینگریستهاند	bɒːzmiːne̞gæɾiːste̞ænd
بازمینگریستهای	bɒːzmiːne̞gæɾiːste̞iː
بازمینگریستهاید	bɒːzmiːne̞gæɾiːste̞iːd
بازمینگریستهایم	bɒːzmiːne̞gæɾiːste̞iːm
بازمینگریستی	bɒːzmiːne̞gæɾiːstiː
بازمینگریستید	bɒːzmiːne̞gæɾiːstiːd
بازمینگریستیم	bɒːzmiːne̞gæɾiːstiːm
بازمینگریم	bɒːzmiːne̞gæɾiːm
بازمیپرسد	bɒːzmiːpoɾsæd
بازمیپرسم	bɒːzmiːpoɾsæm
بازمیپرسند	bɒːzmiːpoɾsænd
بازمیپرسی	bɒːzmiːpoɾsiː
بازمیپرسید	bɒːzmiːpoɾsiːd
بازمیپرسیدم	bɒːzmiːpoɾsiːdæm
بازمیپرسیدند	bɒːzmiːpoɾsiːdænd
بازمیپرسیدهام	bɒːzmiːpoɾsiːde̞æm
بازمیپرسیدهاند	bɒːzmiːpoɾsiːde̞ænd
بازمیپرسیدهای	bɒːzmiːpoɾsiːde̞iː
بازمیپرسیدهایم	bɒːzmiːpoɾsiːde̞iːm
بازمیپرسیدی	bɒːzmiːpoɾsiːdiː
بازمیپرسیدید	bɒːzmiːpoɾsiːdiːd
بازمیپرسیم	bɒːzmiːpoɾsiːm
بازمیگذارد	bɒːzmiːgozɒːɾæd
بازمیگذاردم	bɒːzmiːgozɒːɾdæm
بازمیگذاردند	bɒːzmiːgozɒːɾdænd
بازمیگذاردهام	bɒːzmiːgozɒːɾde̞æm
بازمیگذاردهاند	bɒːzmiːgozɒːɾde̞ænd
بازمیگذاردهای	bɒːzmiːgozɒːɾde̞iː
بازمیگذاردهاید	bɒːzmiːgozɒːɾde̞iːd
بازمیگذاردهایم	bɒːzmiːgozɒːɾde̞iːm
بازمیگذاردی	bɒːzmiːgozɒːɾdiː
بازمیگذاردید	bɒːzmiːgozɒːɾdiːd
بازمیگذاردیم	bɒːzmiːgozɒːɾdiːm
بازمیگذارم	bɒːzmiːgozɒːɾæm
بازمیگذارند	bɒːzmiːgozɒːɾænd
بازمیگذاری	bɒːzmiːgozɒːɾiː
بازمیگذارید	bɒːzmiːgozɒːɾiːd
بازمیگذاریم	bɒːzmiːgozɒːɾiːm
بازمیگذاشت	bɒːzmiːgozɒːʃt
بازمیگذاشتم	bɒːzmiːgozɒːʃtæm
بازمیگذاشتند	bɒːzmiːgozɒːʃtænd
بازمیگذاشتهام	bɒːzmiːgozɒːʃte̞æm
بازمیگذاشتهاند	bɒːzmiːgozɒːʃte̞ænd
بازمیگذاشتهای	bɒːzmiːgozɒːʃte̞iː
بازمیگذاشتهاید	bɒːzmiːgozɒːʃte̞iːd
بازمیگذاشتهایم	bɒːzmiːgozɒːʃte̞iːm
بازمیگذاشتی	bɒːzmiːgozɒːʃtiː
بازمیگذاشتید	bɒːzmiːgozɒːʃtiːd
بازمیگذاشتیم	bɒːzmiːgozɒːʃtiːm
بازمیگرداند	bɒːzmiːgæɾdɒːnæd
بازمیگرداندم	bɒːzmiːgæɾdɒːnædæm
بازمیگرداندند	bɒːzmiːgæɾdɒːnædænd
بازمیگرداندهام	bɒːzmiːgæɾdɒːnæde̞æm
بازمیگرداندهاند	bɒːzmiːgæɾdɒːnæde̞ænd
بازمیگرداندهای	bɒːzmiːgæɾdɒːnæde̞iː
بازمیگرداندهاید	bɒːzmiːgæɾdɒːnæde̞iːd
بازمیگرداندهایم	bɒːzmiːgæɾdɒːnæde̞iːm
بازمیگرداندی	bɒːzmiːgæɾdɒːnædiː
بازمیگرداندید	bɒːzmiːgæɾdɒːnædiːd
بازمیگرداندیم	bɒːzmiːgæɾdɒːnædiːm
بازمیگردانم	bɒːzmiːgæɾdɒːnæm
بازمیگردانند	bɒːzmiːgæɾdɒːnænd
بازمیگردانی	bɒːzmiːgæɾdɒːniː
بازمیگردانید	bɒːzmiːgæɾdɒːniːd
بازمیگردانیم	bɒːzmiːgæɾdɒːniːm
بازمیگردد	bɒːzmiːgæɾdæd
بازمیگردم	bɒːzmiːgæɾdæm
بازمیگردند	bɒːzmiːgæɾdænd
بازمیگردی	bɒːzmiːgæɾdiː
بازمیگردید	bɒːzmiːgæɾdiːd
بازمیگردیدم	bɒːzmiːgæɾdiːdæm
بازمیگردیدند	bɒːzmiːgæɾdiːdænd
بازمیگردیدهام	bɒːzmiːgæɾdiːde̞æm
بازمیگردیدهاند	bɒːzmiːgæɾdiːde̞ænd
بازمیگردیدهای	bɒːzmiːgæɾdiːde̞iː
بازمیگردیدهاید	bɒːzmiːgæɾdiːde̞iːd
بازمیگردیدهایم	bɒːzmiːgæɾdiːde̞iːm
بازمیگردیدی	bɒːzmiːgæɾdiːdiː
بازمیگردیدید	bɒːzmiːgæɾdiːdiːd
بازمیگردیدیم	bɒːzmiːgæɾdiːdiːm
بازمیگردیم	bɒːzmiːgæɾdiːm
بازمیگرفت	bɒːzmiːge̞ɾe̞ft
بازمیگرفتم	bɒːzmiːge̞ɾe̞ftæm
بازمیگرفتند	bɒːzmiːge̞ɾe̞ftænd
بازمیگرفتهام	bɒːzmiːge̞ɾe̞fte̞æm
بازمیگرفتهاند	bɒːzmiːge̞ɾe̞fte̞ænd
بازمیگرفتهای	bɒːzmiːge̞ɾe̞fte̞iː
بازمیگرفتهاید	bɒːzmiːge̞ɾe̞fte̞iːd
بازمیگرفتهایم	bɒːzmiːge̞ɾe̞fte̞iːm
بازمیگرفتی	bɒːzmiːge̞ɾe̞ftiː
بازمیگرفتید	bɒːzmiːge̞ɾe̞ftiːd
بازمیگرفتیم	bɒːzmiːge̞ɾe̞ftiːm
بازمیگشاید	bɒːzmiːgoʃɒːjæd
بازمیگشایم	bɒːzmiːgoʃɒːjæm
بازمیگشایند	bɒːzmiːgoʃɒːjænd
بازمیگشایی	bɒːzmiːgoʃɒːjiː
بازمیگشایید	bɒːzmiːgoʃɒːjiːd
بازمیگشاییم	bɒːzmiːgoʃɒːjiːm
بازمیگشت	bɒːzmiːgæʃt
بازمیگشتم	bɒːzmiːgæʃtæm
بازمیگشتند	bɒːzmiːgæʃtænd
بازمیگشتهام	bɒːzmiːgæʃte̞æm
بازمیگشتهاند	bɒːzmiːgæʃte̞ænd
بازمیگشتهای	bɒːzmiːgæʃte̞iː
بازمیگشتهاید	bɒːzmiːgæʃte̞iːd
بازمیگشتهایم	bɒːzmiːgæʃte̞iːm
بازمیگشتی	bɒːzmiːgæʃtiː
بازمیگشتیم	bɒːzmiːgæʃtiːm
بازمیگشود	bɒːzmiːgoʃuːd
بازمیگشودم	bɒːzmiːgoʃuːdæm
بازمیگشودند	bɒːzmiːgoʃuːdænd
بازمیگشودهام	bɒːzmiːgoʃuːde̞æm
بازمیگشودهاند	bɒːzmiːgoʃuːde̞ænd
بازمیگشودهای	bɒːzmiːgoʃuːde̞iː
بازمیگشودهاید	bɒːzmiːgoʃuːde̞iːd
بازمیگشودهایم	bɒːzmiːgoʃuːde̞iːm
بازمیگشودی	bɒːzmiːgoʃuːdiː
بازمیگشودید	bɒːzmiːgoʃuːdiːd
بازمیگشودیم	bɒːzmiːgoʃuːdiːm
بازمیگفت	bɒːzmiːgoft
بازمیگفتم	bɒːzmiːgoftæm
بازمیگفتند	bɒːzmiːgoftænd
بازمیگفتهام	bɒːzmiːgofte̞æm
بازمیگفتهاند	bɒːzmiːgofte̞ænd
بازمیگفتهای	bɒːzmiːgofte̞iː
بازمیگفتهاید	bɒːzmiːgofte̞iːd
بازمیگفتهایم	bɒːzmiːgofte̞iːm
بازمیگفتی	bɒːzmiːgoftiː
بازمیگفتید	bɒːzmiːgoftiːd
بازمیگفتیم	bɒːzmiːgoftiːm
بازمیگوید	bɒːzmiːguːjæd
بازمیگویم	bɒːzmiːguːjæm
بازمیگویند	bɒːzmiːguːjænd
بازمیگویی	bɒːzmiːguːjiː
بازمیگویید	bɒːzmiːguːjiːd
بازمیگوییم	bɒːzmiːguːjiːm
بازمیگیرد	bɒːzmiːgiːɾæd
بازمیگیرم	bɒːzmiːgiːɾæm
بازمیگیرند	bɒːzmiːgiːɾænd
بازمیگیری	bɒːzmiːgiːɾiː
بازمیگیرید	bɒːzmiːgiːɾiːd
بازمیگیریم	bɒːzmiːgiːɾiːm
بازمییابد	bɒːzmiːjɒːbæd
بازمییابم	bɒːzmiːjɒːbæm
بازمییابند	bɒːzmiːjɒːbænd
بازمییابی	bɒːzmiːjɒːbiː
بازمییابید	bɒːzmiːjɒːbiːd
بازمییابیم	bɒːzmiːjɒːbiːm
بازمییافت	bɒːzmiːjɒːft
بازمییافتم	bɒːzmiːjɒːftæm
بازمییافتند	bɒːzmiːjɒːftænd
بازمییافتهام	bɒːzmiːjɒːfte̞æm
بازمییافتهاند	bɒːzmiːjɒːfte̞ænd
بازمییافتهای	bɒːzmiːjɒːfte̞iː
بازمییافتهاید	bɒːzmiːjɒːfte̞iːd
بازمییافتهایم	bɒːzmiːjɒːfte̞iːm
بازمییافتی	bɒːzmiːjɒːftiː
بازمییافتید	bɒːzmiːjɒːftiːd
بازمییافتیم	bɒːzmiːjɒːftiːm
بازن	bɑːzen
بازنایست	bɒːznæiːst
بازنایستاد	bɒːznæiːstɒːd
بازنایستادم	bɒːznæiːstɒːdæm
بازنایستادند	bɒːznæiːstɒːdænd
بازنایستادهام	bɒːznæiːstɒːde̞æm
بازنایستادهاند	bɒːznæiːstɒːde̞ænd
بازنایستادهای	bɒːznæiːstɒːde̞iː
بازنایستادهاید	bɒːznæiːstɒːde̞iːd
بازنایستادهایم	bɒːznæiːstɒːde̞iːm
بازنایستادی	bɒːznæiːstɒːdiː
بازنایستادید	bɒːznæiːstɒːdiːd
بازنایستادیم	bɒːznæiːstɒːdiːm
بازنایستد	bɒːznæiːstæd
بازنایستم	bɒːznæiːstæm
بازنایستند	bɒːznæiːstænd
بازنایستی	bɒːznæiːstiː
بازنایستید	bɒːznæiːstiːd
بازنایستیم	bɒːznæiːstiːm
بازنتاب	bɒːznætɒːb
بازنتابد	bɒːznætɒːbæd
بازنتابم	bɒːznætɒːbæm
بازنتابند	bɒːznætɒːbænd
بازنتابی	bɒːznætɒːbiː
بازنتابید	bɒːznætɒːbiːd
بازنتابیدم	bɒːznætɒːbiːdæm
بازنتابیدند	bɒːznætɒːbiːdænd
بازنتابیدهاند	bɒːznætɒːbiːde̞ænd
بازنتابیدهای	bɒːznætɒːbiːde̞iː
بازنتابیدهاید	bɒːznætɒːbiːde̞iːd
بازنتابیدهایم	bɒːznætɒːbiːde̞iːm
بازنتابیدی	bɒːznætɒːbiːdiː
بازنتابیدید	bɒːznætɒːbiːdiːd
بازنتابیدیم	bɒːznætɒːbiːdiːm
بازنتابیم	bɒːznætɒːbiːm
بازنجست	bɒːznæʒæst
بازنجستم	bɒːznæʒæstæm
بازنجستند	bɒːznæʒæstænd
بازنجستهام	bɒːznæʒæste̞æm
بازنجستهاند	bɒːznæʒæste̞ænd
بازنجستهای	bɒːznæʒæste̞iː
بازنجستهاید	bɒːznæʒæste̞iːd
بازنجستهایم	bɒːznæʒæste̞iːm
بازنجستی	bɒːznæʒæstiː
بازنجستید	bɒːznæʒæstiːd
بازنجستیم	bɒːznæʒæstiːm
بازنجو	bɒːznæʒuː
بازنجوید	bɒːznæʒuːjæd
بازنجویم	bɒːznæʒuːjæm
بازنجویند	bɒːznæʒuːjænd
بازنجویی	bɒːznæʒuːjiː
بازنجویید	bɒːznæʒuːjiːd
بازنجوییم	bɒːznæʒuːjiːm
بازنخوان	bɒːznæxɒːn
بازنخواند	bɒːznæxɒːnæd
بازنخواندم	bɒːznæxɒːndæm
بازنخواندند	bɒːznæxɒːndænd
بازنخواندهام	bɒːznæxɒːnde̞æm
بازنخواندهاند	bɒːznæxɒːnde̞ænd
بازنخواندهای	bɒːznæxɒːnde̞iː
بازنخواندهاید	bɒːznæxɒːnde̞iːd
بازنخواندهایم	bɒːznæxɒːnde̞iːm
بازنخواندی	bɒːznæxɒːndiː
بازنخواندید	bɒːznæxɒːndiːd
بازنخواندیم	bɒːznæxɒːndiːm
بازنخوانم	bɒːznæxɒːnæm
بازنخوانند	bɒːznæxɒːnænd
بازنخوانی	bɒːznæxɒːniː
بازنخوانید	bɒːznæxɒːniːd
بازنخوانیم	bɒːznæxɒːniːm
بازند	bɒːzænd
بازندار	bɒːznædɒːɾ
بازندارم	bɒːznædɒːɾæm
بازندارند	bɒːznædɒːɾænd
بازنداری	bɒːznædɒːɾiː
بازندارید	bɒːznædɒːɾiːd
بازنداریم	bɒːznædɒːɾiːm
بازنداشت	bɒːznædɒːʃt
بازنداشتم	bɒːznædɒːʃtæm
بازنداشتهام	bɒːznædɒːʃte̞æm
بازنداشتهاند	bɒːznædɒːʃte̞ænd
بازنداشتهای	bɒːznædɒːʃte̞iː
بازنداشتهاید	bɒːznædɒːʃte̞iːd
بازنداشتهایم	bɒːznædɒːʃte̞iːm
بازنداشتی	bɒːznædɒːʃtiː
بازنداشتیم	bɒːznædɒːʃtiːm
بازنده	bɑːzænˈde
بازنده	bɑːzɪnˈdʒe
بازنرسان	bɒːznæɾe̞sɒːn
بازنرساند	bɒːznæɾe̞sɒːnæd
بازنرساندم	bɒːznæɾe̞sɒːndæm
بازنرساندند	bɒːznæɾe̞sɒːndænd
بازنرساندهام	bɒːznæɾe̞sɒːnde̞æm
بازنرساندهاند	bɒːznæɾe̞sɒːnde̞ænd
بازنرساندهای	bɒːznæɾe̞sɒːnde̞iː
بازنرساندهاید	bɒːznæɾe̞sɒːnde̞iːd
بازنرساندهایم	bɒːznæɾe̞sɒːnde̞iːm
بازنرساندی	bɒːznæɾe̞sɒːndiː
بازنرساندید	bɒːznæɾe̞sɒːndiːd
بازنرساندیم	bɒːznæɾe̞sɒːndiːm
بازنرسانم	bɒːznæɾe̞sɒːnæm
بازنرسانند	bɒːznæɾe̞sɒːnænd
بازنرسانی	bɒːznæɾe̞sɒːniː
بازنرسانید	bɒːznæɾe̞sɒːniːd
بازنرسانیم	bɒːznæɾe̞sɒːniːm
بازنستاند	bɒːznæse̞tɒːnæd
بازنستاندند	bɒːznæse̞tɒːndænd
بازنستاندهام	bɒːznæse̞tɒːnde̞æm
بازنستاندهاید	bɒːznæse̞tɒːnde̞iːd
بازنستانید	bɒːznæse̞tɒːniːd
بازنستانیم	bɒːznæse̞tɒːniːm
بازنشست	bɑːzænæʃæst
بازنشسته	bɑːzænæʃtʰe
بازنشستگان	kɑːzneʃæstækɒːn
بازنشستگيم	bɑːzæneʃæstægiːm
بازنشستگی	bɑːzneʃæstgiː
بازنشستگی	bɒːzneʃestgiː
بازنشمار	bɒːznæʃomɒːɾ
بازنشمارد	bɒːznæʃomɒːɾæd
بازنشمارم	bɒːznæʃomɒːɾæm
بازنشمارند	bɒːznæʃomɒːɾænd
بازنشماریم	bɒːznæʃomɒːɾiːm
بازنشمرد	bɒːznæʃomoɾd
بازنشمردم	bɒːznæʃomoɾdæm
بازنشمردند	bɒːznæʃomoɾdænd
بازنشمردهام	bɒːznæʃomoɾde̞æm
بازنشمردهاند	bɒːznæʃomoɾde̞ænd
بازنشمردهای	bɒːznæʃomoɾde̞iː
بازنشمردی	bɒːznæʃomoɾdiː
بازنشمردید	bɒːznæʃomoɾdiːd
بازنمان	bɒːznæmɒːn
بازنماند	bɒːznæmɒːnæd
بازنماندم	bɒːznæmɒːndæm
بازنماندند	bɒːznæmɒːndænd
بازنماندهام	bɒːznæmɒːnde̞æm
بازنماندهاند	bɒːznæmɒːnde̞ænd
بازنماندهای	bɒːznæmɒːnde̞iː
بازنماندهاید	bɒːznæmɒːnde̞iːd
بازنماندهایم	bɒːznæmɒːnde̞iːm
بازنماندی	bɒːznæmɒːndiː
بازنماندید	bɒːznæmɒːndiːd
بازنماندیم	bɒːznæmɒːndiːm
بازنمانم	bɒːznæmɒːnæm
بازنمانی	bɒːznæmɒːniː
بازنمانید	bɒːznæmɒːniːd
بازنمانیم	bɒːznæmɒːniːm
بازنمایاند	bɒːznæmɒːjɒːnæd
بازنمایاندم	bɒːznæmɒːjɒːndæm
بازنمایاندند	bɒːznæmɒːjɒːndænd
بازنمایاندهام	bɒːznæmɒːjɒːnde̞æm
بازنمایاندهاند	bɒːznæmɒːjɒːnde̞ænd
بازنمایاندهای	bɒːznæmɒːjɒːnde̞iː
بازنمایاندهاید	bɒːznæmɒːjɒːnde̞iːd
بازنمایاندهایم	bɒːznæmɒːjɒːnde̞iːm
بازنمایاندی	bɒːznæmɒːjɒːndiː
بازنمایاندید	bɒːznæmɒːjɒːndiːd
بازنمایاندیم	bɒːznæmɒːjɒːndiːm
بازنمایانم	bɒːznæmɒːjɒːnæm
بازنمایانند	bɒːznæmɒːjɒːnænd
بازنمایانی	bɒːznæmɒːjɒːniː
بازنمایانید	bɒːznæmɒːjɒːniːd
بازنمایانیم	bɒːznæmɒːjɒːniːm
بازنمیآفرید	bɒːzne̞miːɒːfæɾiːd
بازنمیآفریدم	bɒːzne̞miːɒːfæɾiːdæm
بازنمیآفریدهام	bɒːzne̞miːɒːfæɾiːde̞æm
بازنمیآفریدهاند	bɒːzne̞miːɒːfæɾiːde̞ænd
بازنمیآفریدهای	bɒːzne̞miːɒːfæɾiːde̞iː
بازنمیآفریدهاید	bɒːzne̞miːɒːfæɾiːde̞iːd
بازنمیآفریدهایم	bɒːzne̞miːɒːfæɾiːde̞iːm
بازنمیآفریدی	bɒːzne̞miːɒːfæɾiːdiː
بازنمیآفریدید	bɒːzne̞miːɒːfæɾiːdiːd
بازنمیآفریدیم	bɒːzne̞miːɒːfæɾiːdiːm
بازنمیآفرینند	bɒːzne̞miːɒːfæɾiːnænd
بازنمیآفرینی	bɒːzne̞miːɒːfæɾiːniː
بازنمیآفرینید	bɒːzne̞miːɒːfæɾiːniːd
بازنمیآفرینیم	bɒːzne̞miːɒːfæɾiːniːm
بازنمیآمد	bɒːzne̞miːɒːmæd
بازنمیآمدهام	bɒːzne̞miːɒːmæde̞æm
بازنمیآمدهاند	bɒːzne̞miːɒːmæde̞ænd
بازنمیآمدهای	bɒːzne̞miːɒːmæde̞iː
بازنمیآمدهاید	bɒːzne̞miːɒːmæde̞iːd
بازنمیآمدهایم	bɒːzne̞miːɒːmæde̞iːm
بازنمیآمدی	bɒːzne̞miːɒːmædiː
بازنمیآمدید	bɒːzne̞miːɒːmædiːd
بازنمیآمدیم	bɒːzne̞miːɒːmædiːm
بازنمیآموخت	bɒːzne̞miːɒːmuːxt
بازنمیآموختند	bɒːzne̞miːɒːmuːxtænd
بازنمیآموختهام	bɒːzne̞miːɒːmuːxte̞æm
بازنمیآموختهاند	bɒːzne̞miːɒːmuːxte̞ænd
بازنمیآموختهای	bɒːzne̞miːɒːmuːxte̞iː
بازنمیآموختهاید	bɒːzne̞miːɒːmuːxte̞iːd
بازنمیآموختهایم	bɒːzne̞miːɒːmuːxte̞iːm
بازنمیآموختی	bɒːzne̞miːɒːmuːxtiː
بازنمیآموختید	bɒːzne̞miːɒːmuːxtiːd
بازنمیآموختیم	bɒːzne̞miːɒːmuːxtiːm
بازنمیآموزد	bɒːzne̞miːɒːmuːzæd
بازنمیآموزند	bɒːzne̞miːɒːmuːzænd
بازنمیآموزی	bɒːzne̞miːɒːmuːziː
بازنمیآموزید	bɒːzne̞miːɒːmuːziːd
بازنمیآموزیم	bɒːzne̞miːɒːmuːziːm
بازنمیآورد	bɒːzne̞miːɒːvæɾæd
بازنمیآوردم	bɒːzne̞miːɒːvæɾdæm
بازنمیآوردند	bɒːzne̞miːɒːvæɾdænd
بازنمیآوردهام	bɒːzne̞miːɒːvæɾde̞æm
بازنمیآوردهاند	bɒːzne̞miːɒːvæɾde̞ænd
بازنمیآوردهای	bɒːzne̞miːɒːvæɾde̞iː
بازنمیآوردهاید	bɒːzne̞miːɒːvæɾde̞iːd
بازنمیآوردهایم	bɒːzne̞miːɒːvæɾde̞iːm
بازنمیآوردی	bɒːzne̞miːɒːvæɾdiː
بازنمیآوردید	bɒːzne̞miːɒːvæɾdiːd
بازنمیآوردیم	bɒːzne̞miːɒːvæɾdiːm
بازنمیآورم	bɒːzne̞miːɒːvæɾæm
بازنمیآورند	bɒːzne̞miːɒːvæɾænd
بازنمیآوری	bɒːzne̞miːɒːvæɾiː
بازنمیآورید	bɒːzne̞miːɒːvæɾiːd
بازنمیآوریم	bɒːzne̞miːɒːvæɾiːm
بازنمیآید	bɒːzne̞miːɒːjæd
بازنمیآیم	bɒːzne̞miːɒːjæm
بازنمیآیند	bɒːzne̞miːɒːjænd
بازنمیآیی	bɒːzne̞miːɒːjiː
بازنمیآیید	bɒːzne̞miːɒːjiːd
بازنمیآییم	bɒːzne̞miːɒːjiːm
بازنمیایستاد	bɒːzne̞miːiːstɒːd
بازنمیایستادم	bɒːzne̞miːiːstɒːdæm
بازنمیایستادهام	bɒːzne̞miːiːstɒːde̞æm
بازنمیایستادهاند	bɒːzne̞miːiːstɒːde̞ænd
بازنمیایستادهای	bɒːzne̞miːiːstɒːde̞iː
بازنمیایستادهاید	bɒːzne̞miːiːstɒːde̞iːd
بازنمیایستادهایم	bɒːzne̞miːiːstɒːde̞iːm
بازنمیایستادی	bɒːzne̞miːiːstɒːdiː
بازنمیایستادید	bɒːzne̞miːiːstɒːdiːd
بازنمیایستادیم	bɒːzne̞miːiːstɒːdiːm
بازنمیایستد	bɒːzne̞miːiːstæd
بازنمیایستند	bɒːzne̞miːiːstænd
بازنمیایستی	bɒːzne̞miːiːstiː
بازنمیایستید	bɒːzne̞miːiːstiːd
بازنمیتابد	bɒːzne̞miːtɒːbæd
بازنمیتابم	bɒːzne̞miːtɒːbæm
بازنمیتابند	bɒːzne̞miːtɒːbænd
بازنمیتابی	bɒːzne̞miːtɒːbiː
بازنمیتابید	bɒːzne̞miːtɒːbiːd
بازنمیتابیدم	bɒːzne̞miːtɒːbiːdæm
بازنمیتابیدند	bɒːzne̞miːtɒːbiːdænd
بازنمیتابیدهام	bɒːzne̞miːtɒːbiːde̞æm
بازنمیتابیدهاند	bɒːzne̞miːtɒːbiːde̞ænd
بازنمیتابیدهای	bɒːzne̞miːtɒːbiːde̞iː
بازنمیتابیدهاید	bɒːzne̞miːtɒːbiːde̞iːd
بازنمیتابیدهایم	bɒːzne̞miːtɒːbiːde̞iːm
بازنمیتابیدی	bɒːzne̞miːtɒːbiːdiː
بازنمیتابیدید	bɒːzne̞miːtɒːbiːdiːd
بازنمیتابیدیم	bɒːzne̞miːtɒːbiːdiːm
بازنمیتابیم	bɒːzne̞miːtɒːbiːm
بازنمیجست	bɒːzne̞miːʒæst
بازنمیجستم	bɒːzne̞miːʒæstæm
بازنمیجستهام	bɒːzne̞miːʒæste̞æm
بازنمیجستهاند	bɒːzne̞miːʒæste̞ænd
