0χι	oxi
απομακρύνσου	ʔapomakrɨ̞nsu
απομακρύνω	ˈapomakrɨno
απομακρυσμένα	ɑpo̞mɑkr̥isˈmena
απομακρυσμένη	ˈapomakrismi
απομακρυσμένο	ˌapomakriˈzmeno
απομεινάρι	ˈapominari
απομεινάρια	apomiˈnarja
απόμεινε	afomiːne
απομείνει	ˈapomini
απομένει	ˈapomeni
απομένουν	ˈapomenon
απομιμήσεις	apomiˈmisis
απομίμηση	ɑpoˈmimiːsi
απομνημονεύματα	ɑpomnimɔˈnevmata
απομνημονεύματά	ɑpomnimɔnɛˈvɛmata
απομνημονεύσει	ˈapomnimoˈnevsi
απομονωθεί	ɑpo̞mo̞no̞ˈθi
απομονωμένα	ˈapomoɲima
απομονωμένη	ɑpo̞mo̞no̞ˈmi̞nɛ̞
απομονωμένο	ˈapomo̞no̞ˌme̞no̞
απομονωμένοι	ɑpo̞mo̞no̞ˈme̞no̞i̯
απομονωμένος	ɑpo̞mo̞no̞ˈmɛnos
απομόνωσε	ɑpoˈmonose
απομονώσει	ɑpo̞mo̞ˈno̞si
απομόνωση	ɑpoˈmonosi
απομόνωσης	ɑpoˈmonosis
απομονώσουμε	ˈaponomosume
απομονώσω	ˈaponomosɔ
απονέμεται	aponémeti
απονομή	apoˈnomi
αποξηραμένα	ˈapɔksirame
απόπειρα	ˈapopira
αποπειράθηκε	ˈapopiraθice
απόπειρας	ˈapopiras
απόπειρες	ˈapopiɾes
αποπλάνησε	ɑpoˈplanise
αποπλανήσει	ɑpo̞ˈplanɛsi
αποπλανήσεις	ˈapoplaneˌisɛs
αποπλάνηση	ɑpoˈplaːnisɪ
αποπλανήσω	ɑpo̞planˈisɔ
αποπληρωμή	ˈapopliromi
αποπνικτικά	apopniktika
απορεί	ˈapɔɾi
απορείς	apoˈris
απορία	apoˈria
απορίες	ɑpoˈriɾi
άπορους	ˈaporus
απόρρητα	ˈaporɾita
απόρρητες	ˈaporɾites
απόρρητη	ˈaporɾiti
απόρρητο	ˈaporɾito
απορρήτου	ˈapɔɾitu
απορριμμάτων	ɑpo̞riˈmːa
απορρίπτει	ɑpo̞ˈɾiːpti
απορρίπτεις	ˈapɔriːptis
απορρίπτεται	ˈapɔriːptɛtis
απορρίπτουν	ˈapɔɾiptun
απορρίπτω	ɑpo̞ˈriptɔ
απορριφθεί	ɑpo̞riθiˈfi
απορρίφθηκε	ˈapɔriθike
απορρίψει	ˈapɔripsi
απορρίψεις	ɑpo̞ˈripsis
απόρριψη	ˈaporpsi
απόρριψης	ˈapɔripsis
απορρίψουμε	aporɾiˈpsume
απορρίψουν	ˈapɔɾipsun
απορρίψω	ˈapɔripsɔ
απορροφά	ɑpo̞ro̞ˈfo̞
απορροφηθεί	ɑpo̞rofiˈθi
απορροφημένος	ˈaporoɸimenos
απορρόφησε	ɑpoˈroɾoɸise
απορροφήσει	ˈaporoˌfisi
απορροφούν	ɑpo̞ro̞ˈfon
απορρυπαντικό	ˌaporipandiˈko
απορώ	ˈaporo
αποσκευές	ˈapɔskɛfes
αποσκευή	afoskeví
αποσκευών	afoskevɔn
αποσμητικό	apsmitiˈko
αποσπά	apsa
αποσπάς	apsas
αποσπάσει	apsaˈsi
αποσπάσεις	ˈapospasizi
απόσπαση	ˈapospasi
απόσπασμα	ˈaposlasma
αποσπάσματα	apsˈspazmata
αποσπάσουμε	apsaˈsume
αποσπάσουν	apsˈpasun
αποσπάσω	apsaˈsaso
αποσπάται	apsˈpati
αποσπούν	ˈapospun
απόσταγμα	ˈapostaɣma
αποστακτήριο	ˈapostaktiɾio
αποσταλεί	ˈapostali
αποστάσεις	apsotasi'ses
αποστάσεως	ˈapostaseos
αποσταση	ˈapostasi
απόσταση	ˈapostiŋɣi
απόστασης	ˈapostasi
αποστάτες	ˈapostates
αποστάτη	ˈapostati
αποστάτης	ʔaposˈtatis
αποστειρωμένο	ˈapostiɾino
απόστημα	ˈapostima
αποστολέα	ˈapostolea
αποστολέας	ˈapostoleas
αποστολές	ˈapostoles
αποστολη	ˈapostoli
αποστολή	ˈapostoli
αποστολής	ˈapostolis
απόστολος	ˈapostolos
αποστολών	ˈapostolɔn
αποστροφή	ɑpo̞stro̞fi̞
αποσυμπίεση	ˈaposiɱˈbiese
αποσυμπίεσης	aposimpiˈesis
αποσυνδεθεί	ˈaposinðeˈti
αποσύνδεση	apsinˈðesi
αποσύνθεση	apsinˈθosi
αποσύνθεσης	ˈaposinθesis
αποσυντίθεται	ˈaposiɲdiθeti
αποσύρει	apsuˈri
αποσύρεις	apoˈsiris
αποσύρεται	ˈaposiɾete
αποσύρετε	apsiˈrete
αποσυρθεί	ˈapɔsirtʰi
αποσυρθείς	apsirˈθis
αποσυρθείτε	ˈaposirθite
αποσύρθηκα	ˈaposiɾθika
αποσύρθηκαν	ˈaposirˈxons
αποσύρθηκε	ˈaposiɾiθe
αποσυρθούμε	ˈapɔsɪɾθuːme
αποσυρθούν	ˈaposirθin
αποσυρθώ	apsirθo
αποσύρομαι	ˈaposiromi
αποσύρονται	ʔapoˈsirontes
αποσύρουμε	apsuˈɾume
αποσύρουν	ˈaposiɾun
απόσυρση	ˈaposirsi
αποσύρω	ˈaposiɾo
αποταμιεύσεις	ˈapɔtamiˈɛfses
αποτελεί	ˈapɔtɛli
αποτελείς	ˈapoteˈlis
αποτελείται	ˌapɔtiˈlitɛi̯
αποτελείωσέ	ˌapɔtɛˈlios
αποτελείωσε	ɑpoˈteliˈose
αποτελειώσει	ɑpo̞teliˈosi
αποτελειώσεις	apoteliˈosis
αποτελειώσουμε	ˈapɔtɛlioˈsume
αποτελειώσω	ˈapɔtɛliɔˈsɔ
αποτελέσει	ˈapoteˌlesi
αποτελεσμα	ˈapotelesma
αποτέλεσμα	ˈapotelesma
αποτελεσματα	ˈapotelemas
αποτελέσματα	apotelesamata
αποτελέσματά	ˈapotelesmata
αποτελεσματικά	afoteleʃmatika
αποτελεσματικές	ˈapotelematikes
αποτελεσματική	afoteleˈsmatikɪ
αποτελεσματικό	afoteleʃˈmiko
αποτελεσματικοί	afotelezmatiˈci
αποτελεσματικός	ˈapɔtelesmatikɔs
αποτελεσματικότητα	ˌapɔtɛlesmaˈtikotiθa
αποτελεσμάτων	ˌapɔtɛleˈsmatɔn
αποτελούν	ˈapɔtelun
αποτελούνται	ˈapɔtiloːndin
αποτελούσε	ˈapoteˈluse
αποτελώ	ˈapotelo
αποτεφρωθεί	ˈapoteftʰoriti
αποτέφρωση	ɑpoˈtefrosi
απ`ότι	ˈapɔti
απότομα	ˈapota
απότομες	ˈapotomɛs
απότομη	ˈapotomi
απότομο	ˈapoto̞mo
απότομος	ˈapotosmos
αποτοξίνωση	ˈapotoˈksinosi
αποτοξίνωσης	ˈapɔtoksinɔsi
αποτραπεί	ˈapotropi
αποτρέπει	ˈapɔtɾepe
αποτρέψει	ˈapɔtrepsi
αποτρέψεις	ˈapotrepsis
αποτρέψουμε	ˈapotrepsisume
αποτρέψουν	ˈapɔtrepsun
αποτρέψω	ˈapotrepso
αποτρίχωση	ˈapɔtrixɔsi
αποτρόπαια	ɑpoˈtropaja
αποτρόπαιο	ɑpoˈtɾopio
αποτυγχάνει	ˈapotinci
αποτυγχάνεις	ˈapotiŋˌçaneːs
αποτυγχάνουν	ˈapotincan
αποτυγχάνω	ˈapotincano
αποτύπωμά	ˈapotiploma
αποτύπωμα	ˈapotipɔma
αποτυπώματα	ˈapotipoˌmata
αποτυπώματά	apotiˈpomata
αποτυπωμάτων	ʔapotypoˈmatɔn
αποτύπωση	ˈapotipsi
αποτύχαμε	ɑpoˈtixame
αποτύχατε	ˈapotiçaˌte
αποτύχει	ˈapɔtiçi
αποτύχεις	ˈapotiçis
αποτύχετε	ˈapotiçete
αποτυχημένε	ˈapotiximene
αποτυχημένες	ˈapotiximɛs
αποτυχημένη	ˈapɔtiçimeni
αποτυχημένο	ˈapotiximeno
αποτυχημένοι	ɑpo̞tixiˈme̞no̞i̯
αποτυχημένος	ˈapotiximenos
αποτυχημένους	ˈapotiximenos
αποτυχία	afotiˈçi̯a
αποτυχίας	ɑpo̞ˈtixias
αποτυχίες	ˈapotixiˌzɛs
αποτύχουμε	ˈapɔtiçume
αποτύχουν	ɑpoˈtixun
αποτύχω	ˈapɔtiço
απού	ˈapu
απούσα	ˈapusa
απουσία	afuˈsia
απουσιάζει	ˈapusiˈezi
απουσίας	afuˈsias
απουσίες	afuˈsiɔs
αποφάγια	afɔˈfɑʝa
αποφανθεί	afɔfanˈθi
αποφάσεις	afɔˈfasiɛs
αποφάσεων	afɔˈfaseɔn
αποφαση	afɔˈfasi
απόφασή	afɔfaˈsi
απόφαση	ˈapofasi
απόφασης	ˈapofasis
αποφάσιζα	afɔˈfasiˈza
αποφάσιζε	afɔˈfasize
αποφασίζει	afɔfaˈsizi
αποφασίζεις	afɔfaˈsizi
αποφασίζετε	afɔfaˈsiziˈte
αποφασίζουμε	afɔfaˈsizume
αποφασίζουν	afɔfaˈsizun
αποφασίζω	afɔfaˈsizi
αποφασισα	afɔfaˈsisa
αποφάσισα	afɔˈfasisɔ
αποφασίσαμε	afɔfaˈsisame
αποφάσισαν	afɔˈfasisan
αποφασίσατε	afɔfaˈsisate
αποφάσισε	afɔˈfasisɛ
αποφασίσει	afɔfaˈsisi
αποφασίσεις	afɔfaˈsisɛs
αποφάσισες	afɔˈfasisɛs
αποφασίσετε	afɔfaˈsiste
αποφασισμένη	afɔfasizˈmeni
αποφασισμένοι	afɔfasizˈmeni
αποφασισμένος	afɔfasismɛnos
αποφασίσουμε	afɔfaˈsisume
αποφασίσουν	afɔfaˈsisun
αποφασίστε	afɔfaˈsiste
αποφασιστεί	afɔfasiˈsti
αποφασίστηκε	afɔfaˈsilis
αποφασιστικά	afɔfasistika
αποφασιστική	afɔfasistisɪkɪ
αποφασιστικό	afɔfasiˈstiko
αποφασιστικός	afɔfasistikɔs
αποφασιστικότητα	afɔfasistikoˈtita
αποφασιστικότητά	afɔfasiˈstikotita
αποφασίσω	afɔfaˈsiso
αποφέρει	afɔˈfɛri
αποφεύγει	afuˈvʝi
αποφεύγεις	afuˈfʝis
αποφεύγετε	afɔˈfɛɣete
αποφεύγοντας	afɔˈfɛvɣons
αποφεύγουμε	afɔˈfɛɣome
αποφεύγουν	afɔˈfɛɣun
αποφεύγω	afuˈvɣo
αποφευχθεί	afofixθi
απόφις	ˈapofis
αποφοίτησα	afofiˈtisɛ
αποφοίτησε	afofiˈtse
αποφοιτήσει	ˈapofitiˈsi
αποφοιτήσεις	afofiˈtisis
αποφοίτησες	afofiˈtisɛs
αποφοίτησή	afofiˈtisɪ
αποφοίτηση	ˈapofoitisi
αποφοίτησης	afofiˈtisis
αποφοιτήσω	ˈapofitiˈsɔ
απόφοιτοι	ˈapofoti
απόφοιτος	ˈapofoi̯tos
αποφοίτων	afofiˈton
απόφραξη	ˈapofɾiksi
αποφύγει	afɔˈfʝi
αποφύγεις	afɔˈfʝis
αποφύγετε	afɔˈfiʝete
αποφυγή	afofiˈʝi
αποφυγής	afofiˈʝis
αποφύγουμε	afɔˈfiɣume
αποφύγουν	afɔˈfiɣun
αποφύγω	afɔˈfiɣo
αποφυλάκισή	afiflaˈcisi
αποφυλάκιση	afɔˈfilakisi
αποφυλάκισης	afɔˈfilakisis
αποφυλακιστεί	ˈapoɸilakisti
αποφυλακίστηκε	afifɫakisɪˈdi
απόφυση	afɔˈfisi
αποχαιρέτα	ɑpoxɪˈɾɛta
αποχαιρέτησε	ɑpoçɛˈɾɛtse
αποχαιρετήσει	ɑpoçeretiˈsi
αποχαιρετήσεις	ˈapɔxɛɾetiˈsises
αποχαιρετήσουμε	ˌapɔçɛɾeˈtisume
αποχαιρετήσω	ˌapɔçɛɾeˈtiso
αποχαιρετίσεις	ɑpoçɛɾɛˈtis
αποχαιρετισμό	ˈapoxeritismo
αποχαιρετισμός	ɑpoçɛritiˈzmos
αποχαιρετισμού	ɑpoçeritimuːs
αποχαιρετισμούς	ɑpoçeritismus
αποχαιρετιστήρια	ˌapɔçɛɾiˈtistiɾiɑ
αποχαιρετιστήριο	ˌapoçeretiˈstirio
αποχαιρετιστούμε	ˈapɔxɛɾetiˈstume
αποχαιρετίσω	ˈapɔçɛɾetiso
αποχαιρετώ	ˈapoxereto
αποχέτευση	afoxeˈtifsa
αποχέτευσης	ˈapoxetvisis
αποχή	afɔˈçi
αποχρώσεις	ɑpoˈxɾoːsis
απόχρωση	ˈapoxri
αποχωρεί	apoˈxori
αποχώρησε	apoˈxorize
αποχωρήσει	ˈapoxoriˌsi
αποχωρήσεις	ˌapoçoˈrises
αποχωρήσετε	ɑpoxɔˈrisete
αποχώρηση	ˈapoxoriθi
αποχώρησή	ɑpoˈxoriˈsi
αποχώρησης	ɑpoˈxoriːsis
αποχωρήσω	ˈapoxoriˈso
αποχωρητήριο	ˌapoxoriˈtiɾio
αποχωριστώ	apoˈçɔristo
αποχωρώ	ˈapoxoro
απόψε	ˈapopse
αποψε	ˈapopsi
απόψεις	ˈapopsis
απόψεων	ˈapopsɛɔn
απόψεως	ˈapopses
αποψη	ˈapopsi
άποψη	ˈapopsi
άποψή	ˈapopsi
άποψης	ˈapo̞psi
αποψινή	ˈapopsini
αποψινό	ˈapopsino
άπραγη	ˈapraʝi
άπραγοι	ˈapraɣi
άπραγος	ˈapɾaʝos
απρεπές	ʔapɾeˈpes
απρεπή	ˈapɾeɾi
απρίλη	ˈaprili
απρίλιο	ˈaprilio
απρίλιος	ɑpriˈlios
απριλιου	ˈapriliu
απριλίου	ɑpriˈliu
απρόβλεπτα	ˈaprovlepta
απρόβλεπτες	ˈapɾovlepetes
απρόβλεπτη	ˈaproɾvlepti
απρόβλεπτο	ˈaproˌvlepto
απρόβλεπτος	ˈaproˌvleptos
απροειδοποίητα	ˌapɾoiðoˈpiça
απροετοίμαστη	ˌapɾoetiˈmasti
απροετοίμαστο	ˈaproetoimasto
απροετοίμαστος	ˌapɾoetiˈmasto
απροθυμία	ˌapɾoθiˈmia
απρόθυμος	ˈaproθimos
απροσδόκητα	ˈaprosðocita
απροσδόκητη	ˌapɾosðoˈciti
απροσδόκητο	ˌapɾosˈðocito
απρόσεκτη	ˈaprosekti
απρόσεκτος	ˈaprosekto
απροσεξία	ˌapɾosɛkˈsia
απρόσεχτος	ˈaproˌsɛxtos
απρόσκλητη	ˈaprosklitɪ
απρόσκλητος	ˈaprosklitos
απρόσμενα	ʔaˈprosmena
απρόσμενη	ˈapɾosmeni
απρόσμενο	ˈaprosmeno
απ`τα	ˈapatɑ
άπταιστα	ˈaptista
απτές	aptes
απ`τη	ˈapi
απτη	ˈapti
απ`την	ˈapɪtin
απτην	aptin
απ`το	ˈapto
απτο	ˈapto
απ`τον	ˈapton
απ`τους	apsotuz
απωθεί	ˈapoti
απωθημένα	ˈapɔθimena
απωθητικό	ˈapɔθitiko
απώλεια	ˈapolia
απώλειά	ˈapolia
απώλειας	ˈapolias
απώλειες	ˈapolies
απώλειές	ˈapolies
απωλειών	ˈapɔlion
απών	ˈapon
απώτερο	ˈapotero
αρ	ar
αρα	ara
αρά	ara
άρα	ˈara
άραβα	ˈarava
άραβας	ˈaraβas
άραβες	ˈaɾaves
αραβία	araˈviə
αραβίας	aravi̯as
αραβικά	arabiˈka
αραβική	araviˈci
αραβικό	arabiˈko
αραγε	arage
άραγε	ˈaɾaʝe
αράζει	arazei
αράζεις	arazis
αράζουμε	arazume
αράζω	aradzo
αραιά	arajɑ
αρακά	araˈka
αράμ	aram
αραμπέλα	aramˈbela
αρανγκ	arɑŋg
άραξε	ˈaraksɛ
αράξει	ˈaraksi
αράξεις	ˈaraçis
αράξουμε	ˈaraˌksume
αράξω	araˈksɔ
αράπη	ˈarapi
αράπηδες	ˈarapisdes
αράπης	ˈarapis
αράχνες	ˈaraxnes
αράχνη	araˈxni
αράχνης	ˈaraxnis
αργα	arɣa
αργά	arˈɣa
αργεί	arˈʝi
αργείς	arˈʝis
αργείτε	arˈʝite
αργεντινή	arʝentiˈni
αργεντινής	arʝentiˈnis
αργές	arˈʝes
αργή	arɣi
αργησα	arɣiˈsa
άργησα	ˈaɾʝisa
αργήσαμε	arˈʝisame
άργησαν	ˈaɾʝisan
αργήσατε	arˈʝisate
άργησε	ˈaɾʝise
αργησει	arɣisi
αργήσει	arɣiˈsi
αργήσεις	arˈʝisis
αργησες	arɣisɛs
άργησες	ˈaɾʝisɛs
αργήσετε	arˈʝisɛte
αργήσουμε	arˈʝisume
αργήσουν	arˈʝisun
αργήσω	arˈʝiso
αργία	arˈʝia
άργιλος	aɾʝilos
αργκό	ˈaɾŋo
αργό	arɣo
αργοί	arɣi
αργοπορημένη	arɣoporiˈmene
αργοπορημένος	arɣoporiˈmenos
αργοπορία	arɣoporiˈa
αργός	arɣos
αργός	aɾˈɣo̞s
αργοτερα	arɣotera
αργότερα	arɣoˈtomas
αργότερο	arɣoɾo
αργούμε	arˈɣumi
αργούν	arɣun
αργούσε	arɣuˈse
αργώ	arɣo
άρεζε	ˈaɾeze
αρειανοί	arɛaˈni
αρένα	ˈarena
άρεσα	ˈaresa
άρεσαν	ˈaɾesan
αρεσε	arese
άρεσε	ˈaɾese
αρεσει	areˈsi
αρέσει	areˈsi
αρέσεις	aresis
άρεσες	ˈareses
αρέσετε	aresete
αρέσκεται	areskete
αρέσουμε	areˈsume
αρέσουν	arɛˈsun
αρεσουν	arisuɲ
αρέσω	are̞so̞
αρετές	are'tes
αρετή	arɛti
αρετής	arɛtis
άρη	ˈari
αρη	arɪ
άρης	ˈaris
αρθουρ	arθur
άρθουρ	ˈaɾθur
αρθούρε	arθuˈre
αρθούρο	arθuɾo
αρθούρος	arθuˈros
αρθούρου	arθuːru
άρθρα	ˈaɾθɾa
αρθρίτιδα	arθriˈtida
αρθρο	arθro
άρθρο	ˈaɾθɾo
αρθρογράφος	arθroˈɣrafos
άρθρου	ˈaɾθɾu
αρθρώσεις	arθɾoˈsis
άρθρωση	ˈaɾθɾosi
άρι	ari
άρια	ˈaɾia
αριάδνη	ariˈaðni
άριαν	ˈaɾian
αριάνα	ariˈana
άριελ	ariɛl
αριζόνα	ariˈzona
αριθ	ariθ
αριθμητικά	ariθmitika
αριθμητική	ariθmitiˈki
αριθμο	ariθmo
αριθμό	ariˈθomo
αριθμοί	ariθmi
αριθμόν	arimˈton
αριθμός	ariθmos
αριθμός	arɪθmos
αριθμού	arimˈu
αριθμούς	arimˈbos
αριθμών	arimˈton
άριστα	ˈaɾista
αριστερά	aristelɛra
αριστερα	aristera
αριστεράς	aristelɛ́ras
αριστερή	aristere
αριστερο	aristero
αριστερό	aristero
αριστερός	aristero̞s
αριστερού	aristero̞
αριστερόχειρας	aristeroˈçiras
άριστη	ariˈsti
άριστο	ˈaristɔ
αριστοκράτες	aristokɾatis
αριστοκράτης	aristokɾatis
αριστοκρατία	aristokɾaˈtia
αριστοκρατική	aristokɾatikí
αριστοκρατικό	aristokɾatikó
άριστος	ˈaristos
αριστούργημα	arisˈtuɾʝima
αριστούργημά	aristuɾʝima
αριστουργήματα	aristurʝi'mata
αριστούχος	aristuːxos
αρκ	ark
αρκάνσας	ɑɾˈkɑnsas
αρκάντι	arˈkandi
αρκεί	arˈcei
αρκει	arci
αρκεστώ	arkestɔː
αρκετα	arketa
αρκετά	arketa
αρκετές	arketes
αρκετη	arketi
αρκετή	arketi
αρκετο	arketo
αρκετό	arketo
αρκετοί	arketi
αρκετός	arketos
αρκετούς	arketuːs
αρκετών	arketon
αρκούδα	arˈkudi
αρκουδάκι	arkudɑki
αρκουδάκια	arkudɑˈkia
αρκούδας	arkuðas
αρκούδε	arkuðe
αρκούδες	arkuðes
αρκούδο	arkuðo
αρκούδος	arˈkuðos
αρκούν	arkun
αρκούσε	arkuːse
αρκτική	ɑɾktikí
αρκτικής	ɑɾkˈtisɪkɪ
αρκτικό	ɑɾktikɔ
αρλίν	arlin
άρλο	ˈarlo
άρμα	arma
αρμαγεδδών	armaˈʝeðɔn
αρμάδα	armaða
αρμάνι	arˈmani
αρμάντ	armant
αρμαντίλο	armandilo
αρμάντο	arˈmando
άρματα	arma'ta
αρμόδιο	armoˈðjo
αρμόδιος	arˈmoðios
αρμοδιότητα	armodiˈotita
αρμοδιότητες	armodiotis
αρμόζει	arˈmozi
αρμονία	armoˈnia
αρμονίας	armoˈnis
αρμονικά	armonika
αρμονική	armoniˈci
άρμστρονγκ	ˈarmstrɔŋ
αρμστρονγκ	armstɾɔŋ
αρν	arn
αρνάκι	arˈnaki
αρνείσαι	arnisai
αρνείστε	arnɛːste
αρνειται	arˈnitɛ
αρνείται	arniˈti
αρνέτ	arnét
αρνηθεί	arniti
αρνηθείς	arnitiːs
αρνηθείτε	arnitiːte
αρνήθηκα	arnitiça
αρνήθηκαν	arnisɛks
αρνηθήκατε	arnitʰiˈkate
αρνήθηκε	arnˈʝile
αρνήθηκες	arnitis
αρνηθούμε	arnitoʊme
αρνηθούν	arninˈθun
αρνηθώ	arnito
άρνηση	ˈaɾnisi
άρνησή	ˈaɾnisi
άρνησης	ˈaɾnisis
αρνήσου	arnisu
αρνητικά	arnitika
αρνητικές	arnitikes
αρνητική	arnitiˈki
αρνητικό	arnitiˈko
αρνητικός	arnitikos
αρνί	arní
άρνι	ɑːrni
αρνιόμουν	arniˈomun
αρνιόταν	arniˈotan
αρνολντ	arnold
άρνολντ	ˈaɾnoɫð
αρνούμαι	arnuˈmi
αρνούμαστε	arnuːmaʃte
αρνούνται	arnuˈʝont
αρον	arɔn
αρουραίε	aruraˈi
αρουραίο	aroɾiˈo
αρουραίοι	aro̞u̯ɾi̯o̞i̯
αρουραίος	aro'rios
αρουραίου	arorio
αρουραίους	aro̞u̯rai̯os
αρουραίων	aruraˈon
άρπα	arpa
αρπαγή	arpaˈʝi
αρπάζει	arˈpazi
αρπάζεις	arˈpazi
αρπάζουμε	arˈpazome
αρπάζουν	arˈpazon
αρπάζω	arˈpazo
αρπακτικά	arpaktika
αρπακτικό	arpaktiko
άρπαξα	arpaksa
άρπαξαν	ˈaɾpaksan
άρπαξε	ˈaɾpaksɛ
αρπάξει	arˈpakse
αρπάξεις	arˈpaktis
άρπαξες	arpakses
αρπάξουμε	arˈbaksume
αρπάξουν	arˈbaksun
αρπάξτε	arˈbakste
αρπάξω	arˈbaksɔ
αρραβώνα	arɑvɔ́na
αρραβώνας	aravɔnas
αρραβώνες	arabaˈnons
αρραβωνιασμένη	arɛβoni̯asˈmeni
αρραβωνιασμένοι	arɣoviaˈsmeni
αρραβωνιασμένος	arɛβoni̯asˈmos
αρραβωνιαστεί	arɣoviaˈsti
αρραβωνιάστηκα	arɣɔviˈʝastiʝa
αρραβωνιαστήκαμε	arɛvoniastaˈkeme
αρραβωνιάστηκε	arɣoviˈatise
αρραβωνιάστηκες	arɣoɾviˈastikes
αρραβωνιαστικιά	aravoniasticiˈa
αρραβωνιαστικό	arɑvoniastiko
αρραβωνιαστικός	arɣoviastiˈkos
αρραβώνων	arɑˈvonon
άρρεν	ˈaren
αρρενωπό	arenoˈpo
αρρενωπός	arenoˈpos
αρρυθμία	arithˈmia
άρρωστα	ˈarosta
αρρώσταινε	aroˈstene
αρρωσταίνει	aroˈstjenε
αρρωσταίνεις	aroˈstjenis
αρρωσταίνουν	aroˈstjenun
αρρωσταίνω	aroˈstino
αρρώστεια	aroˈstja
άρρωστες	ˈarostes
αρρωστη	aro̞sti
άρρωστη	ˈarosti
αρρωστημένα	arostiˈmena
αρρωστημένη	arostiˈmini
αρρωστημένο	aro̞stimen̪o
αρρωστημένος	arostiˈmenos
αρρώστησα	aroˈstisa
αρρώστησαν	aroˈstisan
αρρώστησε	aroˈstise
αρρωστήσει	aroˈstisi
αρρωστήσεις	aroˈstisis
αρρώστησες	aroˈstis
αρρωστήσουν	aroˈstisun
αρρωστήσω	aroˈstisɔ
αρρώστια	arˈostia
αρρώστιας	arɔˈstias
αρρώστιες	arˈostiɛs
άρρωστο	ˈaɾo̞sto
άρρωστοι	ˈarosti
αρρωστος	arostos
άρρωστος	ˈaɾo̞stos
αρρώστους	arˈrostus
άρρωστους	ˈaɾostus
αρσένης	arsɛnis
αρσενικά	arsenika
αρσενική	arseniˈci
αρσενικό	arseniˈko
αρσενικός	arsenikos
αρσενικού	arseniˈku
άρση	ˈaɾsi
αρσί	arˈsi
αρτ	art
αρτανιάν	artaniˈaɲ
αρτζούν	ɑɾdzˈun
αρτηρία	artiˈria
αρτηριακή	artiɾiˈaci
αρτηρίας	artiˈrjas
αρτηρίες	artiˈris
αρτι	arti
άρτι	arti
άρτον	ˈardon
αρτοποιός	artopiˈos
αρτούρο	arˈturo
άρτσερ	ˈartsɛr
άρτσι	ɑɾtsi
αρχ	ar̥x
αρχάγγελος	arˈçaŋɟelos
αρχαία	arˈçia
αρχαίας	arˈçias
αρχαίες	arˈçiai
αρχαίο	arˈçeo
αρχαίοι	arˈçeoi
αρχαιολογία	arˈçeoloʝia
αρχαιολόγοι	arçaloloɣi
αρχαιολόγος	arçaloˈɣos
αρχαίος	arˈçeos
αρχαιότητα	arçaˈiotita
αρχαίου	arˈçio
αρχαίους	arˈxai̯os
αρχαίων	arˈçɔːn
αρχάρια	arˈxaria
αρχάριος	arˈxarios
αρχάριους	arˈxaris
αρχάς	arˈxas
αρχέγονη	arˈçeɣoni
αρχεια	arˈçeɪ
αρχεία	arˈcia
αρχείο	arˈçio
αρχειοθέτηση	arçioˈθetis
αρχείου	arˈçeo
αρχείων	arˈçion
αρχές	arˈçis
αρχή	ar̥ˈçi
αρχη	ar̥çɪ
αρχηγε	arçi'ʝe
αρχηγέ	arçiˈʝe
αρχηγεία	arçiˈʝia
αρχηγείο	arçiˈʝo
αρχηγειο	arçʝiɣo
αρχηγία	arçiˈʝia
αρχηγό	arçi'go
αρχηγο	arçiɣo
αρχηγοί	arçiˈɣoi
αρχηγος	arçiɣos
αρχηγός	arçiˈɣos
αρχηγού	arçi'ɣu
αρχηγούς	arçiˈɣus
αρχηγών	arçiˈɣon
αρχήν	arˈçin
αρχής	arˈçis
αρχίδι	arçiði
αρχίδια	arçidi̯a
αρχιεπιθεωρητά	arçiepiθeorita
αρχιεπιθεωρητής	arçiepiθiotis
αρχιεπίσκοπο	arçiepiˈskopo
αρχιεπίσκοπος	arçʰiepiˈskɔpɔs
αρχιεπίσκοπος	arçiepiskopos
αρχιερέα	arçieˈrea
αρχιερέας	arçieˈres
άρχιζα	ˈaɾçiza
αρχίζαμε	arçiˈzime
άρχιζαν	ˈaɾçizan
άρχιζε	ˈaɾçize
αρχιζει	arçizɛ
αρχίζει	arˈçizi
αρχίζεις	arçiˈzi
άρχιζες	ˈaɾçizɛs
αρχίζετε	arçi'zete
αρχίζοντας	arçiˈzondas
αρχίζουμε	arçizumi
αρχίζουν	arçizun
αρχίζω	arçizo
αρχικά	arçɪka
αρχικές	arçisɛs
αρχική	arçiki
αρχικής	arçikis
αρχικό	arçiko
αρχικός	arçikos
αρχικού	arçíku
αρχιλοχία	arçixoloxi
αρχιλοχίας	arçiloxi̯as
αρχιμηχανικός	arçimixanikɔs
άρχισα	arçisa
αρχισα	arçisɑ
αρχίσαμε	arçisame
αρχισαν	arçisɑn
άρχισαν	ˈaɾçisan
αρχίσατε	arçisate
άρχισε	ˈarçise
αρχισε	arçisɛ
αρχισει	arçisɛ
αρχίσει	arˈçisi
αρχίσεις	arˈçis
αρχισεις	arçisɛs
αρχισες	arçisɛs
άρχισες	ˈaɾçisɛs
αρχίσετε	arçiseˈte
αρχίσουμε	arçisume
αρχισουμε	arçisuˈmi
αρχίσουν	arçisun
αρχίστε	arˈçiste
αρχιστράτηγος	arçis'tratiɣos
αρχισυντάκτη	arçisindakti
αρχισυντάκτης	arçisindaktis
