00h	ɔh
влече	ʋlɛtʃɛ
влечеа	ˈvɫɛtʃɛa
влечев	ʋlɛtʃɛf
влечејќи	vlɛtʃɛjci
влечел	ʋlɛtʃɛɫ
влечеме	ˈvɫɛtʃɛmɛ
влечен	vlɛtʃɛn
влечење	vlɛtʃɛɲɛ
влечење	ʋlɛˈʃɛɲɛ
влечете	ˈvɫɛtʃɛtɛ
влечеш	ʋlɛtʃɛʃ
влечеше	ʋlɛtʃɛʃɛ
влечи	ʋlɛtʃi
влечка	vlɛtʃka
влечка	ʋlɛtʃka
влечкајќи	vlɛtʃkajci
влечкам	ˈvɫɛtʃkam
влечкан	vlɛtʃkan
влечкање	vlɛtʃkaɲɛ
влечки	vlɛtʃki
влечко	vlɛtʃkɔ
влечковци	vlɛtʃkɔftsi
влечна	ʋlɛtʃna
влечуга	vlɛtʃuga
влечуги	vlɛtʃugi
влива	vliva
вливајќи	vlivajci
вливање	vlivaɲɛ
влие	vlijɛ
влијаам	ʋliˈjam
влијаат	ʋliˈjat
влијае	vlijaɛ
влијае	ʋliˈjæ
влијаејќи	vlijaɛjci
влијаел	ʋlʲaˈjɛɫ
влијаело	ʋliˈjajɛɫo
влијаење	vlijaɛɲɛ
влијаеш	ʋliˈjajɛʃ
влијаеше	ʋliˈjajɛʃɛ
влијание	vlijanijɛ
влијание	ʋliˈjanɛ
влијанието	ʋliˈjaniɛtɔ
влијанија	vlijanija
влијанија	ʋliˈjaniʔa
влијателен	vlijatɛlɛn
влијателни	ʋliˈjatsɛlni
влијателно	vlijatɛɫnɔ
влијателност	vlijatɛɫnɔst
влог	vɫɔk
влог	ʋɫɔk
влогер	vɫɔgɛr
влогери	vɫɔgɛɾi
влогерка	vɫɔgɛrka
влогерки	vɫɔgɛrki
влогерски	vɫɔgɛrski
влогови	ʋɫɔgɔvi
влоговите	ʋɫɔgɔˈvitɛ
влогот	ʋɫɔt
вложам	ʋɫɔʃam
вложен	vɫɔʒɛn
вложи	vɫɔʒi
вложи	ʋɫɔʃi
вложив	ʋɫɔʒif
вложивме	ʋɫɔʒifmɛ
вложил	ʋɫɔʒɪɫ
вложиме	ˈvɫɔʒimɛ
вложиш	ʋɫɔʒiʃ
вложува	vɫɔʒuva
вложува	ʋɫɔʒuʋa
вложуваат	ʋɫɔʃˈkuju
вложувајќи	vɫɔʒuvajci
вложувам	ʋɫɔˈʒuvam
вложување	vɫɔʒuvaɲɛ
вложување	ʋɫɔˈʒuvaɲɛ
вложуваш	ʋɫɔˈʒuvaʃ
влошат	ˈvɫɔʃat
влошен	vɫɔʃɛn
влоши	vɫɔʃi
влоши	ʋɫɔʃi
влошија	ʋɫɔʃiʝa
влошиш	ˈvɫɔʃiʃ
влошка	vɫɔʃka
влошки	ˈvɫɔʃki
влошува	vɫɔʃuva
влошува	ʋɫɔˈʃuva
влошуваат	ʋɫɔʃuˈvaat
влошувајќи	vɫɔʃuvajci
влошуван	vɫɔʃuvan
влошување	vɫɔʃuvaɲɛ
влошуваш	ʋɫɔˈʃuvaʃ
в’лтава	vəɫtava
вљубам	vlʲuˈbam
вљубен	vʎubɛn
вљубен	ʋɫuˈbɛn
вљубена	ʋɫuˈbɛna
вљубени	vlʲuˈbɛni
вљубеник	vʎubɛnik
вљубените	ʋɫubɛˈnitɛ
вљубеничка	vʎubɛnitʃka
вљубено	vʎubɛnɔ
вљубеност	vʎubɛnɔst
вљуби	vlʲubi
вљубив	vlʲubiw
вљубил	vlʲuˈbiɫ
вљубила	ʋʎuˈbila
вљубиш	vlʲubiʃ
вљубленикс	ʋɫubˈlɛniks
вљубуваат	vlʲuˈbujə
вљубување	vʎubuvaɲɛ
вљубуваш	ʋɫuˈbuvaʃ
вмаршира	vmarʃiɾa
вметнам	ʋmɛtnam
вметнат	vmɛtnat
вметне	vmɛtnɛ
вметне	ʋmɛtnɛ
вметнеме	ʋmɛtnɛmɛ
вметнете	ʋmɛtnɛtɛ
вметнува	vmɛtnuva
вметнувајќи	vmɛtnuvajci
вметнуван	vmɛtnuvan
вметнување	vmɛtnuvaɲɛ
вметнување	ʋmɛtnuˈvaɲɛ
вмеша	vmɛʃa
вмешаа	ˈvmeʃa
вмешав	vmɛʃaf
вмешал	ʋmɛˈʃaɫ
вмешала	ʋmɛˈʃaɫa
вмешам	ʋmɛˈʃam
вмешаме	ˈvmeʃamɛ
вмешан	vmɛʃan
вмешана	ˈvmeʃana
вмешани	ˈvmeʃani
вмешано	ʋmɛˈʃano
вмешаност	ʋmɛʃanɔst
вмешаш	ˈvmeʃaʃ
вмешува	vmɛˈʃuva
вмешува	vmɛʃuva
вмешувај	ʋmɛʃuˈvaj
вмешувајќи	vmɛʃuvajci
вмешувам	ˈvmiʃuam
вмешуван	vmɛʃuvan
вмешување	vmɛʃuvaɲɛ
вмешуваш	vmɛˈʃuvaʃ
вмрежен	vmrɛʒɛn
вмрежи	vmrɛʒi
вмрежува	vmrɛʒuva
вмрежувајќи	vmrɛʒuvajci
вмрежуван	vmrɛʒuvan
вмрежување	vmrɛʒuvaɲɛ
вмровец	vəmərɔvɛts
вмровка	vəmərɔfka
вмровци	vəmərɔftsi
вмровче	vəmərɔftʃɛ
внатре	vnatrɛ
внатре	vn̪atɾɛ
внатрешен	vnatrɛʃɛn
внатрешен	vn̪atrɛʃɛn
внатрешна	vn̪atˈrɛʃna
внатрешната	vn̪atˈrɛʃnata
внатрешни	vn̪atˈrɛʃni
внатрешнина	vnatrɛʃnina
внатрешниот	vn̪atˈrɛʃn̪iɔn
внатрешните	vn̪atˈrɛʃn̪itɛ
внатрешно	vnatrɛʃnɔ
внатрешно	vn̪atˈrɛʃnɔ
внатрешност	vnatrɛʃnɔst
внатрешност	vn̪at̪r̪ɛʃn̪ɔst
внатрешноста	vn̪atɾɛʃˈnɔsta
внатрешното	vn̪atˈrɛʃn̪ɔ
внедрен	vnɛdrɛn
внедри	vnɛdri
внедрува	vnɛdruva
внедрувајќи	vnɛdruvajci
внедруван	vnɛdruvan
внедрување	vnɛdruvaɲɛ
внел	vnɛɫ
внеле	vnɛlɛ
внес	vnɛs
внесам	vnɛsɑm
внесат	vnɛˈsat
внесе	vnɛsɛ
внесеме	vnɛsɛmɛ
внесен	vnɛsɛn
внесена	vnɛˈsɛna
внесени	vnɛˈsɛni
внесете	vnɛsɛtɛ
внесеш	vnɛsɛʃ
внеси	vnɛsi
внесов	vnɛsɔf
внесол	vnɛˈsɔɫ
внесува	vnɛsuva
внесува	ʋɛnˈsɔva
внесуваат	ʋnɛˈsuvaɛ̯
внесувајќи	vnɛsuvajci
внесувам	ˈvɛnsuvam
внесуван	vnɛsuvan
внесување	vnɛsuvaɲɛ
внесување	ʋɛnˈsuvɑŋɛ
внесуваш	ˈvɛnsuvɑʃ
внимава	vnimava
внимава	vnʲiˈmava
внимаваат	vnʲiˈmaːvɑːt
внимавав	vnʲiˈmaːva
внимавај	vnʲiˈmavaj
внимавајќи	vnimavajci
внимавајте	vnʲiˈmavajtɛ
внимавал	vnʲiˈmaːval
внимавам	vnʲiˈmaʋam
внимаваме	vnʲiˈmaʋamɛ
внимавање	vnimavaɲɛ
внимавате	vnʲiˈmavate
внимаваш	vnʲiˈmaʋaʃ
внимаваше	vnʲiˈmavaʃɛ
внимание	vnimanijɛ
внимание	vnʲiˈmanʲɛ
вниманието	vnʲiˈmanʲɛtɔ
вниманија	vnimanija
внимателен	vnimatɛlɛn
внимателен	vnʲiˈmatɛlɛn
внимателна	vnʲiˈmatɛlna
внимателни	vnʲiˈmatɛlni
внимателно	vnimatɛɫnɔ
внимателно	vnʲiˈmatɛɫnɔ
внимателност	vnimatɛɫnɔst
внимателност	vnʲiˈmatɛlnɔst
внук	vnuk
внука	vn̪uːka
внука	vnuka
внуката	vn̪uˈkata
внуки	vnuki
внуков	vnukɔf
внукот	vn̪ukɔt
внуци	vn̪uːtsi
внуци	vnutsi
внуците	vnukitʃɛ
внуче	vnutʃɛ
внуче	vn̪uʧɛ
внученце	vnutʃɛntsɛ
внучиња	vn̪uˈtʃiɲa
внучка	vnutʃka
внучко	vn̪uʧkɔ
внуши	vnuʃi
внушува	vnuʃuva
внушувајќи	vnuʃuvajci
внушуван	vnuʃuvan
внушување	vnuʃuvaɲɛ
воjна	vojna
воjната	vojˈnata
воjска	vojska
во	vo
во	vɔ
воа	voa
воа	vɔa
воајер	vɔajɛr
воајерски	vɔajɛrski
воајерство	vɔajɛrstvɔ
воала	voala
вов	vof
вовед	voˈvɛt
вовед	vɔvɛt
воведам	voˈvɛdam
воведе	voˈvɛdɛ
воведе	vɔvɛdɛ
воведеме	voˈvɛdɛmɛ
воведен	ˈvɔvɛdɛn
воведен	vɔvɛdɛn
воведно	vɔvɛdnɔ
воведува	vɔvɛduva
воведувајќи	vɔvɛduvajci
воведуван	vɔvɛduvan
воведување	vɔvɛduvaɲɛ
вовлеков	voˈvɫɛkɔf
вовлекол	voˈvɫɛkɔɫ
вовлекува	voɫɛˈkuva
вовлекува	vɔvlɛkuva
вовлекувај	voɫɛˈkuvaɛ
вовлекувајќи	vɔvlɛkuvajci
вовлекувам	voɫɛˈkuvaːm
вовлекуван	vɔvlɛkuvan
вовлекување	vɔvlɛkuvaɲɛ
вовлекуваш	voɫɛˈkuvaʃ
вовлечам	voˈvɫɛtʃam
вовлече	voˈvɫɛtʃɛ
вовлече	vɔvlɛtʃɛ
вовлечеме	voˈvɫɛtʃɛmɛ
вовлечен	voˈvʎɛtʃɛn
вовлечен	vɔvlɛtʃɛn
вовлечени	voɫɛˈtʃɛni
вовлечеш	voɫɛˈtʃɛʃ
вовре	vɔvrɛ
воврен	vɔvrɛn
воврува	vɔvruva
воврувајќи	vɔvruvajci
вовруван	vɔvruvan
воврување	vɔvruvaɲɛ
вовче	vɔftʃɛ
вовчиња	vɔftʃiɲa
вог	vog
воѓе	vɔɟɛ
вогел	vogɛɫ
воглавно	vogɫavno
воглавно	vɔgɫavnɔ
вод	vod
вод	vɔt
вода	ɔda
вода	vɔda
водава	ɔdɑva
водава	vɔdava
водам	vodam
водам	vɔdam
водана	vɔdana
водар	vɔdar
водари	vɔdaɾi
водариве	vɔdaɾivɛ
водарина	vɔdaɾina
водарине	vɔdaɾinɛ
водарини	vɔdaɾini
водарите	vɔdaɾitɛ
водаров	vɔdaɾɔf
водарон	vɔdaɾɔn
водарот	vɔdaɾɔt
водару	vɔdaɾu
водат	vodat
водат	vɔdat
водата	vodata
водата	vɔdata
водач	vodatʃ
водач	vɔdatʃ
водачи	vodatʃi
водачи	vɔdatʃi
водачите	vodatʃitɛ
водачот	ɔˈdatʃɔt
водачу	vodatʃu
водвиљ	vɔdviʎ
воде	voˈde
водеа	voˈdɛa
водев	vodɛf
водевме	voˈdɛvmɛ
водевте	vodɛftɛ
водејќи	voˈdɛjti
водејќи	vɔdɛjci
водел	vodɛɫ
водела	voˈdɛla
воделе	voˈdɛlɛ
воден	vodɛn
воден	vɔdɛn
водена	voˈdɛna
водената	voˈdenata
воденејќи	vɔdɛnɛjci
воденење	vɔdɛnɛɲɛ
воденет	vɔdɛnɛt
воденец	vɔdɛnɛts
водени	voˈdeni
водени	vɔdɛni
воденикав	vɔdɛnikaf
водениот	voˈdɛniɔt
водените	vodɛˈnitɛ
воденица	vɔdɛnitsa
воденици	vɔdɛnitsi
воденичар	vɔdɛnitʃar
воденичарка	vɔdɛnitʃarka
воденичарски	vɔdɛnitʃarski
воденичен	vɔdɛnitʃɛn
воденички	vɔdɛnitʃki
воденка	vɔdɛŋka
воденки	vɔdɛŋki
водено	vodɛnɔ
воденски	vɔdɛnski
воденско	vɔdɛnskɔ
воденци	vɔdɛntsi
водењакот	vodɛɲatʃɔt
водење	voˈdɛɲɛ
водење	vɔdɛɲɛ
водењето	voˈdɛɲatsɛ
водест	vɔdɛst
водете	vodɛtɛ
водете	vɔdɛtɛ
водечка	voˈdɛtʃka
водечки	voˈdɛtʃki
водечки	vɔdɛtʃki
водечкиот	vodɛtʃkiɔt
водечките	voˈdɛtʃki
водеше	voˈdɛʃɛ
води	voˈdi
води	vɔdi
водиве	vɔdivɛ
водилка	vɔdiɫka
водиме	vodimɛ
водиме	vɔdimɛ
водине	vɔdinɛ
водите	voˈdite
водите	vɔditɛ
водител	voditɛɫ
водител	vɔditɛɫ
водители	vɔditɛli
водителка	vɔditɛɫka
водителот	voditɛˈlɔt
водица	vɔditsa
водици	vɔditsi
водич	voˈditʃ
водич	vɔditʃ
водичар	vɔditʃar
водичари	vɔditʃaɾi
водичарка	vɔditʃarka
водичарки	vɔditʃarki
водичи	voditʃi
водичка	vɔditʃka
водичот	voˈditʃɔt
водиш	voˈdiʃ
водиш	vɔdiʃ
водиште	vɔdiʃtɛ
водје	vɔdjɛ
водка	vodka
водката	vodkaˈta
водлест	vɔdlɛst
водна	vodna
воднест	vɔdnɛst
водник	vodnik
водник	vɔdnik
водникот	vodnikɔt
воднику	vodnikʊ
водниот	vodnɪɔt
водници	vɔdnitsi
водно	vɔdnɔ
водо	vɔdɔ
водови	vodɔvi
водови	vɔdɔvi
водовод	vodɔvɔt
водовод	vɔdɔvɔt
водоводен	vɔdɔvɔdɛn
водоводот	vodɔˈvodɔt
водоводџија	vodɔvɔdʒija
водоводџија	vɔdɔvɔddʒija
водоводџијата	vodɔvɔdʒiˈja
водоводџика	vɔdɔvɔddʒika
водоводџиски	vɔdɔvɔddʒiski
водовртеж	vɔdɔvr̩tɛʃ
вододелница	vɔdɔdɛɫnitsa
вододелницата	vɔdɔdɛɫnitsata
вододелници	vɔdɔdɛɫnitsi
водоземен	vɔdɔzɛmɛn
водоземец	vɔdɔzɛmɛts
водоинсталатер	vodoinstalatɛr
водоинсталатер	vɔdɔinstaɫatɛr
водоинсталатерот	vodoinstalaterot
водокрст	vɔdɔkr̩st
водолеец	vɔdɔlɛɛts
водолејци	vɔdɔlɛjtsi
водолии	vɔdɔlii
водолија	vɔdɔlija
водомер	vɔdɔmɛr
водомери	vɔdɔmɛɾi
водоносец	vɔdɔnɔsɛts
водоносецов	vɔdɔnɔsɛtsɔf
водоносецон	vɔdɔnɔsɛtsɔn
водоносецот	vɔdɔnɔsɛtsɔt
водоносецу	vɔdɔnɔsɛtsu
водоносци	vɔdɔnɔstsi
водоносциве	vɔdɔnɔstsivɛ
водоносцине	vɔdɔnɔstsinɛ
водоносците	vɔdɔnɔstsitɛ
водоотпорен	vɔdɔɔtpɔɾɛn
водоотпорно	vɔdɔɔtpɔrnɔ
водоотпорност	vɔdɔɔtpɔrnɔst
водопад	vodɔpad
водопад	vɔdɔpat
водопаден	vɔdɔpadɛn
водопади	vodɔpadi
водопади	vɔdɔpadi
водопадите	vodɔpadiɛ
водопадот	vodɔpaːdɔt
водопиец	vɔdɔpijɛts
водопијци	vɔdɔpijtsi
водопои	vɔdɔpɔi
водопој	vɔdɔpɔj
водопост	vɔdɔpɔst
водорамен	vɔdɔramɛn
водорамно	vɔdɔɾamnɔ
водород	vodɔrɔt
водород	vɔdɔɾɔt
водороден	vɔdɔɾɔdɛn
водосвет	vɔdɔsvɛt
водоскок	vɔdɔskɔk
водоскоци	vɔdɔskɔtsi
водостој	vɔdɔstɔj
водот	vodɔt
водотек	vɔdɔtɛk
водотеци	vɔdɔtɛtsi
водство	vodstvɔ
водство	vɔtstvɔ
водството	vodʃtʋo
воедно	vojɛdno
воедно	vɔɛdnɔ
воен	vɔɛn
воен	ʋɔɛn
воена	voˈɛna
воена	vɔɛna
воената	voɛˈnata
воени	voˈeni
воениот	voˈɛnit
воените	vojeˈniːtɛ
воено	voˈɛnɔ
воено	vɔɛnɔ
военото	voˈenoto
вожд	voʃt
вожд	vɔʃt
вожде	voʒdɛ
воже	voʒɛ
вожња	voʒɲa
вожња	vɔʒɲa
воз	voz
воз	vɔs
воза	vɔza
возам	voˈzam
возарина	vɔzaɾina
возат	voz̪at
возач	voˈzatʃ
возач	vɔzatʃ
возачи	voˈzatʃi
возачи	vɔzatʃi
возачите	vozaˈtʃitɛ
возачка	voˈzaʧka
возачката	voˈzaʧka
возачки	voˈzatʃki
возачки	vɔzatʃki
возачот	voˈzatʃɔt
возачу	vozaˈtʃu
возбуда	vɔzbuda
возбудам	vozˈbudam
возбудата	vozˈbudata
возбуден	vozˈbudɛn
возбуден	vɔzbudɛn
возбудена	vozbudɛna
возбудени	vozˈbudɛni
возбудено	vozˈbudeno
возбудено	vɔzbudɛnɔ
возбуденост	vozˈbudɛnost
возбуденост	vɔzbudɛnɔst
возбуди	vozˈbudi
возбуди	vɔzbudi
возбудив	vɔzbudiʋ
возбудиш	vozˈbudiʃ
возбудлив	vozˈbudlif
возбудлив	vɔzbudlif
возбудлива	vozˈbudliva
возбудливи	vozbudlivi
возбудливо	vozˈbudlivɔ
возбудливо	vɔzbudlivɔ
возбудливост	vɔzbudlivɔst
возбудува	vozbuˈduva
возбудува	vɔzbuduva
возбудувај	vozbuɾuɾaɛ
возбудувајќи	vɔzbuduvajci
возбудувајте	vozˈbuduʋajtɛ
возбудувам	vozˈbuduʋam
возбудуван	vɔzbuduvan
возбудувања	vozbuˈduvaɲa
возбудување	vozˈbuduʋaɲɛ
возбудување	vɔzbuduvaɲɛ
возбудувањето	vozˈbudadʒɛ
возбудувачки	vɔzbuduvatʃki
возбудуваш	vozbuˈduvaʃ
возвеличува	vɔzvɛlitʃuva
возвеличувајќи	vɔzvɛlitʃuvajci
возвеличуван	vɔzvɛlitʃuvan
возвеличување	vɔzvɛlitʃuvaɲɛ
возвишен	vɔzviʃɛn
возвишена	vozvifʃɛna
возвишени	vozviʃɛni
возвишение	vɔzviʃɛnijɛ
возвишено	vozviʃeno
возвишено	vɔzviʃɛnɔ
возвиши	vɔzviʃi
возвишува	vɔzviʃuva
возвишувајќи	vɔzviʃuvajci
возвишуван	vɔzviʃuvan
возвишување	vɔzviʃuvaɲɛ
возвраќа	vɔzvraca
возвраќа	vɔzˈvratsa
возвраќајќи	vɔzvracajci
возвраќан	vɔzvracan
возвраќање	vɔzvracaɲɛ
возврат	vozvrat
возврат	vɔzvrat
возвратам	vozˈvratam
возвратат	vozˈvrat
возвратен	vɔzvratɛn
возврати	voˈzvrati
возврати	vɔzvrati
возвратив	vɔzˈvratif
возвратиме	vozˈvratimɛ
возвратиш	vozˈvratʲiʃ
возгордеан	vɔzgɔrdɛan
воздејство	vɔzdɛjstvɔ
воздејствува	vɔzdɛjstvuva
воздејствувајќи	vɔzdɛjstvuvajci
воздејствување	vɔzdɛjstvuvaɲɛ
воздивне	vɔzdivnɛ
воздивнува	vɔzdivnuva
воздивнувајќи	vɔzdivnuvajci
воздивнување	vɔzdivnuva
воздига	vɔzdiga
воздигајќи	vɔzdigajci
воздиган	vɔzdigan
воздигање	vɔzdigaɲɛ
воздигна	vozˈdigna
воздигнат	vozdignat
воздигнат	vɔzdignat
воздигне	vozdignɛ
воздигне	vɔzdignɛ
воздигнеме	vozdignɛmɛ
воздишка	vozˈdiʃka
воздишка	vɔzdiʃka
воздишки	vozdiʃki
воздишките	vozdʲiʃkitɛ
воздржам	vozˈdrʒam
воздржан	vozɖrʒan
воздржан	vɔzdr̩ʒan
воздржани	vozˈdrʒani
воздржано	vɔzdr̩ʒanɔ
воздржаност	vozˈdrʒanɔst
воздржаност	vɔzdr̩ʒanɔst
воздржи	vozˈdrʒi
воздржиш	vozˈdrʒiʃ
воздржлив	vɔzdr̩ʒlif
воздржливо	vɔzdr̩ʒlivɔ
воздржувам	vozˈdrʒuvam
воздржување	vozɾˈʒavaɲɛ
воздржување	vɔzdr̩ʒuvaɲɛ
воздржуваш	vozɾˈʒovaʃ
воздршка	vɔzdr̩ʃka
воздух	vɔzdux
воздухопловен	vɔzduxɔpɫɔvɛn
воздухопловец	vɔzduxɔpɫɔvɛts
воздухопловна	vozduxɔplɔvna
воздухопловство	vozduxɔplɔfstvɔ
воздухопловство	vɔzduxɔpɫɔfstvɔ
воздухопловството	vozdruxɔplɔfstvɔ
воздухот	vɔzˈduxɔt
воздушен	vozduʃɛn
воздушен	vɔzduʃɛn
воздушест	vɔzduʃɛst
воздушна	vɔzˈduʃna
воздушната	vɔzduʃna
воздушни	vozdʊʃni
воздушниот	vozdruʃniɔt
воздушните	vozduʃniti
воздушно	vozduʃnɔ
воздушно	vɔzduʃnɔ
воздушното	vɔzduʃnɔ
возеа	voˈzɛa
возев	vozɛf
возевме	vozɛvmɛ
возевте	voˈzɛftɛ
возејќи	voˈzɛjti
возејќи	vɔzɛjci
возел	voˈzɛɫ
возела	voˈzɛla
возеле	voˈzɛlɛ
возен	vɔzɛn
возење	voˈzɛɲɛ
возење	vɔzɛɲɛ
возењето	vozɛɲɛɲɛ
возете	vozɛtɛ
возеше	voˈzɛʃɛ
вози	voˈzi
вози	vɔzi
возила	voˈzila
возила	vɔziɫa
возилата	voziˈlata
возило	voˈzilo
возило	vɔziɫɔ
возилото	voˈzilitɔ
возиме	voˈzime
возите	voˈzitɛ
возиш	voˈziʃ
возлага	vɔzɫaga
возлаган	vɔzɫagan
возлагање	vɔzɫagaɲɛ
возложи	vɔzɫɔʒi
возљубен	vɔzʎubɛn
возможен	vozˈmoʃɛn
возможен	vɔzmɔʒɛn
возможна	vozˈmoʃna
возможни	vozˈmoʃni
возможно	voʃˈmoʃtɛ
возмутен	vɔzmutɛn
возмути	vɔzmuti
возмутува	vɔzmutuva
возмутуван	vɔzmutuva
возмутување	vɔzmutuva
вознемирам	vozˈnimiram
вознемирен	vozˈnɛmiɾɛn
вознемирен	vɔznɛmiɾɛn
вознемирена	vozˈnɛmɪrɛna
вознемирени	vozˈnɛmɪrɛni
вознемирено	vozˈnɛmɪrɛnɔ
вознемиреност	vozˈnɛmɪrɛnɔst
вознемиреност	vɔznɛmiɾɛnɔst
вознемири	vozˈnɛmiɾi
вознемири	vɔznɛmiɾi
вознемирив	vozˈnemiriv
вознемирил	vozˈnɛmɪril
вознемирило	voznɛmiɾilo
вознемириш	vozˈnɛmiɾiʃ
вознемирува	vozˈnemiruva
вознемирува	vɔznɛmiɾuva
вознемируваат	vozˈnɛmiɾujatɛ
вознемирувај	vozˈnɛmiruvaɪ̯
вознемирувајте	vozˈnɛmiruvajtɛ
вознемирувам	vozˈnɛmiram
вознемируваме	vozˈnɛmiramɛ
вознемируван	vɔznɛmiɾuvan
вознемирување	vozˈnɛmiɾuvaɲɛ
вознемирување	vɔznɛmiruvaɲɛ
вознемирувате	vozˈnɛmiruvaˈtɛ
вознемирувачка	vozˈnɛmiruvaʧka
вознемирувачки	vozˈnɛmiruvaʧki
вознемирувачки	vɔznɛmiruvatʃki
вознемирувачко	vozˈnemiruvaʧkɔ
вознемируваш	vozˈnɛmiruvaʃ
вознес	vɔznɛs
вознесе	vɔznɛsɛ
вознесен	vɔznɛsɛn
вознесение	vɔznɛsɛnijɛ
вознесението	vɔznɛsɛnijɛtɔ
вознесува	vɔznɛsuva
вознесуван	vɔznɛsuvan
вознесување	vɔznɛsuvaɲɛ
возникне	vɔzniknɛ
возникнува	vɔzniknuva
возникнување	vɔzniknuvaɲɛ
возниот	vozˈnɔj
возобновен	vɔzɔbnɔvɛn
возобнови	vɔzɔbnɔvi
возобновува	vɔzɔbnɔvuva
возобновуван	vɔzɔbnɔvuvan
возобновување	vɔzɔbnɔvuvaɲɛ
возов	vozɔf
возов	vɔzɔf
возови	voˈzɔvi
возови	vɔzɔvi
возовиве	vɔzɔvivɛ
возовине	vɔzɔvinɛ
возовите	vozoˈvité
возовите	vɔzɔvitɛ
возон	vɔzɔn
возот	vozɔt
возот	vɔzɔt
возрази	vɔzrazi
возразува	vɔzrazuva
возразување	vɔzrazuvaɲɛ
возрасен	voˈzrasɛn
возрасен	vɔzrasɛn
возрасна	voˈzrasna
возрасни	voˈzrasni
возрасните	voˈzrasnɪtɛ
возрасно	vɔzˈrasnɔ
возрасно	vɔzrasnɔ
возраст	vɔzˈrast
возраст	vɔzrast
возраста	vɔzˈrasta
возрастен	vɔzrastɛn
возрасти	vozˈrasti
возроден	vɔzrɔdɛn
возу	vɔzu
воин	voin
воин	vɔin
воини	voiˈni
воини	vɔini
воините	voˈinitɛ
воинка	vɔiŋka
воинот	voiˈnot
воински	vɔinski
воинствен	vɔinstvɛn
воинствено	vɔinstvɛnɔ
воинственост	vɔinstvɛnɔst
воинство	vɔinstvɔ
воину	vojinu
вој	voj
вој	vɔj
војаџер	vojadʒɛr
војвода	vojvɔda
војвода	vɔjvɔda
војводата	vojˈvɔdata
војводи	vɔjvɔdi
војводина	vɔjvɔdina
војводински	vɔjvɔdinski
војводката	vojvɔtka
војводо	vojˈvɔdɔ
војводски	vɔjvɔtski
војводство	vɔjvɔtstvɔ
војвотка	vojˈvɔtka
војвотка	vɔjvɔtka
војвотката	vojvɔtˈkata
војвотки	vɔjvɔtki
војвотски	vɔjvɔtski
војвотство	vɔjvɔtstvɔ
војдан	vɔjdan
војна	vojna
војна	vɔjna
војнава	vojnaʋa
војната	vojˈnata
војни	vojni
војни	vɔjni
војник	vojnik
војник	vɔjnik
војника	vojnika
војникот	vojˈnikɔt
војнику	vojnikʊ
војните	vojˈnitɛ
војници	vojnitsi
војници	vɔjnitsi
војниците	vojnitsɪtɛ
војниче	vojniʧɛ
војниче	vɔjnitʃɛ
војничиште	vɔjnitʃiʃtɛ
војничка	vojˈnitʃka
војнички	vojˈnitʃki
војнички	vɔjnitʃki
војничко	vojnikʃtʃo
војно	vojno
војска	vojska
војска	vɔjska
војската	vojˈskata
војски	vojski
војски	vɔjski
војските	vojˈiskitɛ
војско	vojsko
војсководач	vɔjskɔvɔdatʃ
војсководачи	vɔjskɔvɔdatʃi
војсководец	vɔjskɔvɔdɛts
војсководечки	vɔjskɔvɔdɛtʃki
војсководител	vɔjskɔvɔditɛɫ
војсководци	vɔjskɔvɔttsi
војува	vojuva
војува	vɔjuva
војуваат	vojuˈvajat
војувајќи	vɔjuvajci
војувам	vojuvam
војуваме	vojuˈvame
војување	vojuˈvanʲɛ
војување	vɔjuvaɲɛ
војувањето	vojuˈvatsijɛ
војувате	vojuˈvate
војуваш	vojuvaʃ
војца	vɔjtsa
вокабулар	vɔkabuɫar
вокал	voˈkal
вокал	vɔkaɫ
вокален	vɔkalɛn
вокализација	vɔkalizatsija
вокализира	vɔkaliziɾa
вокализиран	vɔkaliziɾan
вокализирање	vɔkaliziɾaɲɛ
вокалист	vɔkalist
вокалистка	vɔkalistka
вокатив	vɔkatif
вокативен	vɔkativɛn
вокер	voˈkɛr
воки-токи	voˈkʲi ˈtɔki
вол	vol
вол	vɔɫ
вола	vɔɫa
волан	volan
волан	vɔɫan
воланот	volanɔt
волантис	voˈlantiːs
волас	volas
волбриџ	volbridʒ
волверин	volvɛrin
волво	volvo
волга	volga
волга	vɔɫga
волд	volt
волдеморд	volde'mɔrd
волдеморт	volde'mɔrt
волден	volden
волдер	voldeɾ
волен	vɔlɛn
волер	volɛr
воли	voli
волис	volis
волја	volja
волја	vɔʎa
волјата	voljɑtɑ
волк	volk
волк	vɔɫk
волка	vɔɫka
волкав	volkaf
волкав	vɔɫkaf
волкава	volˈkava
волкер	volkɛr
волкот	volkot
волку	volku
волку	vɔɫku
волмарт	volmart
волна	volna
волна	vɔɫna
волнар	vɔɫnar
волнари	vɔɫnaɾi
волнарство	vɔɫnarstvɔ
волнен	vɔɫnɛn
волнени	volnɛni
волница	vɔɫnitsa
волници	vɔɫnitsi
волниче	vɔɫnitʃɛ
волничка	vɔɫnitʃka
волниште	vɔɫniʃtɛ
волно	vɔɫnɔ
волов	vɔɫɔf
волови	volɔvi
волови	vɔɫɔvi
воловиц	volɔvits
воловски	vɔɫɔfski
володја	volɔdja
волонтер	voˈɫɔntɛr
волонтер	vɔɫɔntɛr
волонтери	volɔnɛri
