00h	ɔh
епилепсија	ɛpilɛpsija
епилептичар	ɛpileptitʃaɾ
епилептичар	ɛpilɛptitʃar
епилептичарка	ɛpilɛptitʃarka
епилептичен	ɛpilɛptitʃɛn
епилептично	ɛpilɛptitʃnɔ
епилог	ɛpiɫɔk
епинефрин	ɛpiˈnɛfrin
епир	ɛpir
епископ	ɛpiskɔp
епископија	ɛpiskɔpija
епископски	ɛpiskɔpski
епистемолог	ɛpistɛmɔɫɔk
епистемологија	ɛpistɛmɔɫɔgija
епистемолошки	ɛpistɛmɔɫɔʃki
епистемски	ɛpistɛmski
епистоларен	ɛpistɔɫaɾɛn
епистоларно	ɛpistɔɫarnɔ
епитаф	ɛpitaf
епител	ɛpitɛɫ
епитет	ɛpitɛt
епитети	ɛpitɛti
епитетски	ɛpitɛtsk
епитроп	ɛpitrɔp
епитропи	ɛpitrɔpi
епифора	ɛpifɔɾa
епицентар	ɛpitsɛntar
епицентарот	ɛpiˈtsɛntarɔt
епл	ɛpɫ
еполета	ɛpɔlɛta
епопеја	ɛpɔpɛja
епоха	ɛpɔxa
епрувета	ɛpruvɛta
епрувети	ɛpruvɛti
епс	ɛps
епсилон	ɛpsiɫɔn
епска	ɛpska
епски	ɛpski
епски	ɛp̚ski
епско	ɛp̚sko
ептен	ɛptɛn
ер	ɛr
ера	ɛra
ера	ɛɾa
ерагон	ɛragɔn
ерам	ɛram
ерата	ɛratɑ
ербап	ɛrbap
ербаплија	ɛrbaplija
ербиум	ɛrbijum
ерв	ɛrv
ерве	ɛrvɛ
ервик	ɛrvik
ервин	ɛrvɪn
ергативен	ɛrgativɛn
ерген	ɛrgɛn
ергени	ɛrgɛni
ергенска	ɛrgɛnska
ергенската	ɛrgɛnska
ергенски	ɛrgɛnski
ергенство	ɛrgɛnstvɔ
ергенува	ɛrgɛnuva
ергенување	ɛrgɛnuvaɲɛ
еребица	ɛrɛbitsa
еребици	ɛrɛbitsi
еребор	ɛrɛˈbɔr
ереван	ɛɾɛvan
ереванец	ɛrɛvanɛts
ереванка	ɛrɛvaŋka
еревански	ɛrɛvanski
еректилен	ɛɾɛktilɛn
ерекции	ɛrɛktsii
ерекција	ɛrɛktsija
ерекција	ɛrɛktsiʝa
ерекцијата	ɛrɛkʲiʃɛ
еремија	ɛrɛmiʝa
ерен	ɛrɛn
ерес	ɛɾɛs
еретик	ɛrɛtik
еретик	ɛˈrɛtik
еретици	ɛrɛˈtitsi
еретички	ɛrɛtitʃki
ерик	ɛrik
ерика	ɛriˈka
ериксен	ɛrikˈsɛn
ериксон	ɛrikson
ерин	ɛˈrin
ериндел	ɛriˈndɛɫ
еритреец	ɛɾitrɛɛts
еритреја	ɛɾitrɛja
еритрејка	ɛɾitrɛjka
еритрејски	ɛɾitrɛjski
ерл	ɛrɫ
ерл	ɛrɫ̩
ерлендур	ɛrˈlɛndur
ерлот	ɛrlɔt
ерменец	ɛrmɛnɛts
ерменија	ɛrmɛnija
ерменка	ɛrmɛŋka
ерменски	ɛrmɛnski
ерменски	ɛrˈmɛnski
ерментраут	ɛrmɛntraʊt
ерменци	ɛrmɛntsi
ерменците	ɛrmɛntsi
ернест	ɛrnɛst
ернесто	ɛrnɛsto
ерни	ɛrni
ернст	ɛrnst
ероген	ɛɾɔgɛn
ерозија	ɛrɔzija
ерол	ɛrɔɫ
ерон	ɛrɔn
еротика	ɛrɔtika
еротска	ɛrɔtska
еротски	ɛrɔt̪ski
еротски	ɛɾɔtski
ероу	ɛrɔu
ерскин	ɛrskiːn
ерсо	ɛrˈsɔ
ерудит	ɛɾudit
ерудити	ɛɾuditi
ерудиција	ɛɾuditsija
еруптивен	ɛɾuptivɛn
еруптивно	ɛɾuptivnɔ
еруптивност	ɛɾuptivnɔst
еруптира	ɛrupˈtira
ерупции	ɛruptsii
ерупции	ɛrupˈtsijɛ
ерупција	ɛruptsija
ерупција	ɛrupˈtsija
ерупцијата	ɛrupʦijɛ
ерусалим	ɛruzaliːm
ерусалим	ɛɾusalim
ерусалимец	ɛɾusalimɛts
ерусалимка	ɛɾusalimka
ерусалимски	ɛɾusalimski
ершон	ɛrʃɔn
ес	ɛs
есам	ɛsɑm
есап	ɛsap
есапчија	ɛsaptʃija
есеи	ɛsɛi
есеист	ɛsɛist
есеистика	ɛsɛistika
есеистички	ɛsɛistitʃki
есеистка	ɛsɛistka
есекс	ɛsɛks
есен	ɛsɛn
есенва	ɛsɛɱva
есенин	ɛsɛnin
есеноска	ɛsɛnɔska
есенска	ɛsɛnska
есенски	ɛsɛnski
есента	ɛsɛnta
есенција	ɛsɛntsija
есетра	ɛsɛtra
есеј	ɛsɛj
есејот	ɛsɛjɔt
есид	ɛsɪd
ескадрила	ɛskaˈdriɫa
ескадрон	ɛskadrɔn
ескадрони	ɛskaˈdroni
ескалатор	ɛskaɫatɔr
ескалација	ɛskaɫatsija
ескалира	ɛskaliɾa
ескалира	ɛskaˈliɾa
ескалирање	ɛskaliɾaɲɛ
ескандидо	ɛskaɲdiɛdo
ескепизам	ɛskɛpizam
ескепист	ɛskɛpist
ескепистички	ɛskɛpistitʃki
ескепистка	ɛskɛpistka
ескивира	ɛskiviɾa
ескивиран	ɛskiviɾan
ескивирање	ɛskiviɾaɲɛ
еским	ɛskim
ескими	ɛskimi
ескимка	ɛskimka
ескимки	ɛskimki
ескимски	ɛskimski
еско	ɛsko
ескобар	ɛsˈkɔbar
есме	ɛsmɛ
есмералда	ɛsmɛˈralda
еснаф	ɛsnaf
еснафлија	ɛsnaflija
еснафски	ɛsnafski
есперанса	ɛspɛˈransa
есперантист	ɛspɛɾantist
есперантистка	ɛspɛɾantistka
еспресо	ɛsprɛsɔ
еспресо	ɛsˈprɛsɔ
ест	ɛst
естаблишментот	ɛstaˈbliʃmentɔt
естебан	ɛstɛban
естел	ɛstɛɫ
естела	ɛstɛla
естен	ɛstɛn
естер	ɛstɛr
естергом	ɛstɛrgɔm
естес	ɛsˈtɛs
естествен	ɛstɛstvɛn
естет	ɛstɛt
естетизира	ɛstɛtiziɾa
естетизиран	ɛstɛtiziɾan
естетизирање	ɛstɛtiziɾaɲɛ
естетика	ɛstɛtika
естетичар	ɛstɛtitʃar
естетичарка	ɛstɛtitʃarka
естетка	ɛstɛtka
естетски	ɛstɛtski
ести	ɛsti
естира	ɛsˈtira
естонец	ɛstɔnɛts
естонија	ɛstɔnija
естонија	ɛstɔniʝa
естонка	ɛstɔŋka
естонски	ɛstɔnski
естрагон	ɛstragɔn
естрада	ɛstrada
естрада	ɛstraːda
естроген	ɛstrɔgɛn
естроген	ˈjɛstrɔgɛn
есхатологија	ɛsxatɔɫɔgija
есхатолошки	ɛsxatɔɫɔʃki
есцајг	ɛstsajk
ет	ɛt
ета	ɛta
еталон	ɛtaɫɔn
етан	ɛt̪an
етапа	ɛtapa
ете	ɛtɛ
етел	ɛtɛɫ
етер	ɛtɛr
етериа	ɛtɛriʝa
етеричен	ɛtɛɾitʃɛn
етерично	ɛtɛɾitʃnɔ
етернет	ɛtɛrnɛt
етерниа	ɛtɛrˈniʔa
етерот	ɛtɛrɔt
етерски	ɛtɛrski
етида	ɛtida
етиен	ɛtiɛn
етика	ɛtika
етиката	ɛtiˈkata
етикета	ɛtikitɛ
етикета	ɛtikɛta
етикетата	ɛtikitɛta
етикети	ɛtikɛti
етикети	ɛtiˈkɛti
етикетира	ɛtikɛtiɾa
етикетиран	ɛtikɛtiɾan
етикетирање	ɛtikɛtiɾaɲɛ
етикетиче	ɛtikɛtitʃɛ
етикетичка	ɛtikɛtitʃka
етимолог	ɛtimɔɫɔk
етимологија	ɛtimɔɫɔgija
етимолошки	ɛtimɔɫɔʃki
етиологија	ɛtijɔɫɔgija
етиолошки	ɛtiɔɫɔʃki
етиопија	ɛtiɔpija
етиопија	ɛtɔpija
етиопски	ɛtijɔpski
етиопјанец	ɛtiɔpjanɛts
етиопјанка	ɛtiɔpjaŋka
етичар	ɛtitʃar
етички	ɛtitʃki
етички	ɛtiːtʃkiː
етникум	ɛtnikum
етничка	ɛtnitʃka
етничка	ɛtˈnitʃka
етнички	ɛtnitʃki
етнички	ɛtˈnitʃki
етничко	ɛtˈnitʃkɔ
етногенеза	ɛtnɔgɛnɛza
етнограф	ɛtnɔgraf
етнографија	ɛtnɔgrafija
етнографски	ɛtnɔgrafski
етнолог	ɛtnɔɫɔk
етнологија	ɛtnɔɫɔgija
етнолошки	ɛtnɔɫɔʃki
етноним	ɛtnɔnim
етнос	ɛtnɔs
етноси	ɛtnɔsi
етноцентризам	ɛtnɔtsɛntrizam
етноцентричен	ɛtnɔtsɛntritʃɛn
етноцентрично	ɛtnɔtsɛntritʃnɔ
ето	ɛtɔ
етон	ɛtɔn
еу	ɛu
еуген	ɛu̯ˈgɛn
еугеника	ɛugɛnika
еугениски	ɛugɛniski
еукалиптус	ɛukaɫiptus
еунхио	ɛu̯nxiɔ
еурека	ɛu̯rɛka
еуфемизам	ɛufɛmizam
еуфемистичен	ɛufɛmistitʃɛn
еуфемистички	ɛufɛmistitʃki
еуфоничен	ɛufɔnitʃɛn
еуфонично	ɛufɔnitʃnɔ
еуфонија	ɛufɔnija
еуфоричен	ɛufɔɾitʃɛn
еуфорично	ɛufɔɾitʃnɔ
еуфорија	jɔˈfɔɾija
еуфорија	ɛufɔɾija
еф	ɛf
ефект	ɛfɛkt
ефектен	ɛfɛktɛn
ефекти	ɛfɛkˈti
ефектива	ɛfɛktiva
ефективен	ɛfɛktivɛn
ефективен	ɛfɛkˈtivɛn
ефективна	ɛfɛk'tivna
ефективни	ɛfɛkˈtivni
ефективно	ɛfɛktivnɔ
ефективност	ɛfɛktivnɔst
ефектите	ɛfɛkˈtɪtɛ
ефектно	ɛfɛktnɔ
ефектот	ɛfɛkˈtɔt
ефемерен	ɛfɛmɛɾɛn
ефемерно	ɛfɛmɛrnɔ
ефемерност	ɛfɛmɛrnɔst
ефендија	ɛfɛndija
еферентен	ɛfɛrɛntɛn
ефес	ɛfɛs
ефески	ɛfɛski
ефикасен	ɛfikasɛn
ефикасен	ɛfiˈkasɛn
ефикасна	ɛfikaːsna
ефикасни	ɛfikaːsni
ефикасно	ɛfikasnɔ
ефикасно	ɛfikaːsno
ефикасност	ɛfikasnɔst
ефикасност	ɛfikaˈsnɔst
ефикасноста	ɛfikaːsnosta
ефтин	ɛftin
ефтина	ɛftina
ефтини	ɛfˈtini
ефтино	ɛftino
ех	ɛx
еха	ɛxɑ
ехе	ɛxɛ
ехидна	ɛxidna
ехнатон	ɛxnaˈtɔn
ехо	ɛxɔ
ехото	ɛxɔtɔ
еци	ɛtsi
ечење	ɛtʃɛɲɛ
ечи	ɛtʃi
еш	ɛʃ
ешалон	ɛʃaɫɔn
ешби	ɛʃbi
ешко	ɛʃkɔ
ешленд	ɛʃlɛnd
ешли	ɛʃli
ештон	ɛʃtɔn
еј	ej
еј	ɛj
ејакулат	ɛjakuɫat
ејакулации	ɛjakuɫatsii
ејакулација	ɛjakuɫatsija
ејакулира	ɛjakuliɾa
ејакулирање	ɛjakuliɾaɲɛ
ејб	ejb
ејбелин	ejbɛlin
ејби	ejbi
ејвон	ejvon
ејвори	ejvɔri
ејврил	ejvril
ејдан	ejdan
ејден	ejden
ејла	ejla
ејми	ejmi
ејмон	ejmon
ејмс	ejms
ејнџел	ɛɲdʒɛɫ
ејприл	ejpril
ејс	ejtʃ
ејј	ej
ејјј	ejj
ејџин	ejdin
ење	ɛɲɛ
еќе	ɛtʃɛ
еџ	ɛdʒ
еџингтон	ɛdʒiŋton
ж	ʒ
ж	ʒə
жа	ʒa
жаба	ʒaba
жабар	ʒabar
жабари	ʒabaɾi
жабариве	ʒabaɾivɛ
жабарине	ʒabaɾinɛ
жабарите	ʒabaɾitɛ
жабарка	ʒabarka
жабаров	ʒabaɾɔf
жабарон	ʒabaɾɔn
жабарот	ʒabaɾɔt
жабару	ʒabaɾu
жабата	ʒaˈbata
жабец	ʒabɛts
жаби	ʒabi
жаби	ʒaˈbi
жабите	ʒaˈbite
жабичка	ʒabitʃka
жабишта	ʒabiʃta
жабиште	ʒabiʃtɛ
жабок	ʒabɔk
жабоци	ʒabɔtsi
жабра	ʒabra
жабри	ʒabri
жабурка	ʒaburka
жабуркање	ʒaburkaɲɛ
жабче	ʒaptʃɛ
жабји	ʒabji
жавер	ʒavɛr
жад	ʒad
жад	ʒat
жак	ʒak
жакетче	ʒakɛttʃɛ
жаклин	ʒaklin
жаклина	ʒaklina
жал	ʒaɫ
жалам	ʒaˈlam
жалат	ʒaˈlat
жалба	ʒaɫba
жалбата	ʒaɫˈbata
жалбен	ʒaɫbɛn
жалбено	ʒaɫbɛnɔ
жалби	ʒalbi
жалбите	ʒaɫˈbite
жалеа	ʒaˈlɛa
жалев	ʒaˈlɛf
жалел	ʒaˈlɛɫ
жален	ʒalɛn
жален	ʒaˈlɛn
жалеше	ʒaˈlɛʃɛ
жалење	ʒalɛɲɛ
жалење	ʒaˈlɛɲɛ
жалењето	ʒaˈlɛɲɛ
жали	ʒali
жали	ʒaˈli
жалиме	ʒaˈlime
жалите	ʒaˈlite
жалител	ʒalitɛɫ
жалиш	ʒaˈliʃ
жално	ʒaɫnɔ
жаловен	ʒaɫɔvɛn
жаловит	ʒaɫɔvit
жаловито	ʒaɫɔvitɔ
жаловно	ʒaɫɔvnɔ
жалопојка	ʒaɫɔpɔjka
жалосен	ʒaɫɔsɛn
жалослив	ʒaɫɔslif
жалосливо	ʒaɫɔslivɔ
жалосна	ʒaˈɫɔsna
жалосно	ʒaɫɔsnɔ
жалосно	ʒaˈɫɔsno
жалост	ʒaɫɔst
жалост	ʒaˈɫɔst
жалостен	ʒaɫɔstɛn
жалузина	ʒaɫuzina
жалфија	ʒaɫfija
жан	ʒan
жан-батист	ʒanˈbatiʃt
жан-клод	ʒanˈkɫɔd
жан-миш	ʒanmiʃ
жан-пјер	ʒanpjɛr
жан-франсоа	ʒanfrɑ̃swa
жана	ʒana
жана	ʒaːna
жандармерија	ʒandarmɛɾija
жанеиро	ʒanɛi̯ro
жанет	ʒanɛt
жанета	ʒanɛta
жанка	ʒaŋka
жанко	ʒaŋkɔ
жанр	ʒanr
жанр	ʒanr̩
жанровски	ʒanrɔfski
жао	ʒaɔ
жапка	ʒapka
жапче	ʒaptʃɛ
жар	ʒar
жара	ʒaɾa
жаргон	ʒargɔn
жаргон	ʒarˈgɔn
жаргонски	ʒargɔnski
жардиниера	ʒardiniɛɾa
жардиниера	ʒardiɲɛɾa
жардиниери	ʒardinijɛɾi
жарен	ʒaɾɛn
жарење	ʒaɾɛɲɛ
жари	ʒaɾi
жариште	ʒaɾiʃtɛ
жариште	ʒaˈriʃtɛ
жарко	ʒarkɔ
жарови	ʒaɾɔvi
жаровит	ʒaɾɔvit
жарок	ʒaɾɔk
жарот	ʒaɾɔt
жарот	ʒaˈrɔt
жарој	ʒaɾɔj
жарта	ʒarta
жарче	ʒartʃɛ
жарје	ʒarjɛ
жбура	ʒbuɾa
ждере	ʒdɛɾɛ
ждерен	ʒdɛɾɛn
ждерење	ʒdɛɾɛɲɛ
ждреб	ʒdrɛp
ждребе	ʒdrɛbɛ
ждребец	ʒdrɛbɛts
ждребица	ʒdrɛbitsa
ждребиња	ʒdrɛbiɲa
ждребови	ʒdrɛbɔvi
ждрело	ʒdrɛɫɔ
ждрепка	ʒdrɛpka
ждриг	ʒdrik
ждрига	ʒdriga
ждригање	ʒdrigaɲɛ
ждригне	ʒdrignɛ
ждригнува	ʒdrignuva
ждригнување	ʒdrignuvaɲɛ
ждринга	ʒdriŋga
ждрингајќи	ʒdriŋgajci
ждрингот	ʒdriŋgɔt
ждринготејќи	ʒdriŋgɔtɛjci
ждринготи	ʒdriŋgɔti
ждринготна	ʒdriŋgɔtna
ждринготне	ʒdriŋgɔtnɛ
жег	ʒɛk
жега	ʒɛga
жед	ʒɛd
жед	ʒɛt
жеден	ʒɛdɛn
жеден	ʒɛˈdɛn
жедна	ʒɛdna
жеднее	ʒɛdnɛɛ
жеднеење	ʒɛdnɛɛɲɛ
жедни	ʒɛdni
жедните	ʒɛdˈnɪtɛ
жедно	ʒɛdno
жедно	ʒɛdnɔ
жедта	ʒɛdta
жеже	ʒɛʒɛ
жежење	ʒɛʒɛɲɛ
жежи	ʒɛʒi
жежок	ʒɛʒɔk
жезли	ʒɛzli
жезло	ʒɛzɫɔ
жезол	ʒɛzɔɫ
жезол	ʒɛˈzɔɫ
жезолот	ʒɛzɔlɔt
жел	ʒɛɫ
желад	ʒɛɫat
желади	ʒɛɫadi
желание	ʒɛɫanijɛ
желатин	ʒɛɫatin
желатински	ʒɛɫatinski
желатче	ʒɛɫattʃɛ
желба	ʒɛɫba
желбата	ʒɛɫˈbata
желбен	ʒɛɫbɛn
желби	ʒɛɫbi
желбите	ʒɛɫˈbitɛ
желбиче	ʒɛɫbitʃɛ
желбичка	ʒɛɫbitʃka
желе	ʒɛlɛ
желевце	ʒɛlɛftsɛ
железара	ʒɛlɛzaɾa
железари	ʒɛlɛzaɾi
железарија	ʒɛlɛzaɾija
железарница	ʒɛlɛzarnitsa
железарници	ʒɛlɛzarnitsi
железарски	ʒɛlɛzarski
железен	ʒɛlɛzɛn
железен	ʒɛˈlɛzɛn
железна	ʒɛlɛzna
железната	ʒɛlɛzˈnata
железни	ʒɛˈlɛzni
железниот	ʒɛˈlɛznɔt
железните	ʒɛlɛznitɛ
железница	ʒɛlɛznitsa
железницата	ʒɛlɛznitsaˈta
железници	ʒɛlɛznitsi
железничар	ʒɛlɛznitʃar
железничарка	ʒɛlɛznitʃarka
железничарски	ʒɛlɛznitʃarski
железничка	ʒɛlɛznitʃka
железничката	ʒɛlɛznitʃka
железнички	ʒɛlɛznitʃki
железно	ʒɛˈlɛzno
железо	ʒɛlɛzɔ
железо	ʒɛˈlɛzo
железото	ʒɛlɛzɔtɔ
железото	ʒɛlɛˈzɔtɔ
желен	ʒɛlɛn
желен	ʒɛˈlɛn
желето	ʒɛˈlɛtɔ
желка	ʒɛɫka
желката	ʒɛɫˈkata
желки	ʒɛɫki
желкин	ʒɛɫkin
желките	ʒɛɫˈkitɛ
желко	ʒɛɫkɔ
желна	ʒɛlna
желни	ʒɛlni
желно	ʒɛɫnɔ
желудец	ʒɛɫudɛts
желудник	ʒɛɫudnik
желудник	ʒɛɫudɾik
желудникот	ʒɛluˈdnitɔt
желудници	ʒɛɫudnitsi
желудочен	ʒɛɫudɔtʃɛn
желче	ʒɛɫtʃɛ
жена	ʒɛna
женава	ʒɛnava
женава	ʒɛnaʋa
женам	ʒɛnam
женана	ʒɛnana
женат	ʒɛˈnat
жената	ʒɛnata
жената	ʒɛˈnata
женати	ʒɛˈnati
женева	ʒɛnɛva
женевската	ʒɛnɛfˈskata
женел	ʒɛˈnɛɫ
женет	ʒɛnɛt
женет	ʒɛˈnɛt
женети	ʒɛˈnɛti
женетина	ʒɛnɛtina
женетини	ʒɛnɛtini
женење	ʒɛnɛɲɛ
женење	ʒɛˈnɛɲɛ
жени	ʒɛni
жениве	ʒɛnivɛ
жениве	ʒɛniˈvɛ
женидба	ʒɛnidba
женидбен	ʒɛnidbɛn
женидби	ʒɛnidbi
жениме	ʒɛˈnimɛ
женине	ʒɛninɛ
жените	ʒɛnitɛ
жените	ʒɛˈnitɛ
жениче	ʒɛnitʃɛ
женичка	ʒɛnikə
женичка	ʒɛnitʃka
жениш	ʒɛniʃ
жениште	ʒɛniʃtɛ
женка	ʒɛnka
женка	ʒɛŋka
женкар	ʒɛŋkar
женкар	ʒɛŋkɑr
женкари	ʒɛŋkaɾi
женкариште	ʒɛŋkaɾiʃtɛ
женкарски	ʒɛŋkarski
женкарство	ʒɛŋkarstvɔ
женкарче	ʒɛŋkartʃɛ
женката	ʒɛnˈkata
женки	ʒɛnki
женки	ʒɛŋki
женките	ʒɛnˈkitɛ
жено	ʒɛnɔ
женомразец	ʒɛnɔmrazɛts
женомразие	ʒɛnɔmrazijɛ
женомрзец	ʒɛnɔmr̩zɛts
женољубец	ʒɛnɔʎubɛts
женска	ʒɛnska
женскава	ʒɛnskaˈva
женскар	ʒɛnskar
женскари	ʒɛnskaɾi
женскаст	ʒɛnskast
женската	ʒɛnˈskata
женски	ʒɛnski
женскиот	ʒɛnˈski
женските	ʒɛnˈskitʃɛ
женско	ʒɛnsko
женско	ʒɛnskɔ
женското	ʒɛnˈkɔsto
женствен	ʒɛnstvɛn
женствени	ʒɛnˈstvɛni
женствено	ʒɛnstvɛnɔ
женственост	ʒɛnstvɛnɔst
женственост	ʒɛnˈstvɛnɔst
женче	ʒɛntʃɛ
женче	ʒɛnʧɛ
женчуле	ʒɛntʃulɛ
женчуленце	ʒɛntʃulɛntsɛ
жерав	ʒɛɾaf
жерави	ʒɛɾavi
жерар	ʒɛˈraɾ
жерард	ʒɛˈraːrd
жесток	ʒɛstɔk
жесток	ʒɛˈstɔk
жестока	ʒɛˈstɔka
жестоки	ʒɛˈstɔki
жестоко	ʒɛstɔkɔ
жестоко	ʒɛˈstɔkɔ
жестокост	ʒɛstɔkɔst
жетва	ʒɛtva
жетвар	ʒɛtvar
жетварка	ʒɛtvarka
жетвата	ʒɛtˈvata
жетвен	ʒɛtvɛn
жетон	ʒɛtɔn
жетони	ʒɛˈtɔni
жетонче	ʒɛtɔntʃɛ
жешка	ʒɛʃka
жешката	ʒɛʃˈkata
жешки	ʒɛʃki
жешкиот	ʒɛʃkiɔt
жешките	ʒɛʃkiˈtɛ
жешко	ʒɛʃkɔ
жешкото	ʒɛʃkɔtɔ
жештење	ʒɛʃtɛɲɛ
жешти	ʒɛʃti
жештина	ʒɛʃtina
жештина	ʒɛʃˈtina
жештината	ʒɛʃtina
жења	ʒɛɲa
жи	ʒi
жив	ʒif
жива	ʒiva
жива	ʒiʋa
живаго	ʒiˈvago
живата	ʒiˈvata
живеалишта	ʒivɛaliʃta
живеалишта	ʒivɛaˈliʃta
живеалиште	ʒivɛaliʃtɛ
живеалиште	ʒivɛaˈliʃtɛ
живеалиштето	ʒivɛaˈliʃtɛto
живеам	ʒivɛam
живеат	ʒiˈvɛat
живеачка	ʒivɛatʃka
живеачка	ʒiˈvɛatʃka
живее	ʒivɛɛ
живее	ʒiˈvee
живееа	ʒiˈveɛa
живеев	ʒiˈvɛɛf
живеевме	ʒiˈvɛɛvmɛ
живеевте	ʒivɛɛftɛ
живеел	ʒiˈvɛɛɫ
живеела	ʒiˈvɛɛla
живееле	ʒiˈveele
живеело	ʒiˈve̞ɛɫo
живееме	ʒiˈvɛɛmɛ
живеете	ʒivɛɛtɛ
живееш	ʒiˈveɛʃ
живееше	ʒiˈveeʃe
живееја	ʒiˈveja
живеејќи	ʒiˈvejɛtʃi
живеење	ʒivɛɛɲɛ
живеење	ʒiˈvɛɛɲɛ
живеењето	ʒiˈvejɛɲɛ
живели	ʒivɛli
живец	ʒivɛts
живеј	ʒiˈvɛj
живејачка	ʒivɛjatʃka
живејте	ʒiˈvɛjte
живи	ʒivi
живина	ʒivina
живинарски	ʒivinarski
живинарство	ʒivinarstvɔ
живински	ʒivinski
живиот	ʒiviɔt
живите	ʒivitɛ
живица	ʒivitsa
живко	ʒifkɔ
живковиќ	ʒifkɔvitɕ
живнат	ʒivnat
живне	ʒivnɛ
живнете	ʒivnɛtɛ
живнува	ʒivnuva
живнување	ʒivnuvaɲɛ
живо	ʒivo
живо	ʒivɔ
живодер	ʒivɔdɛr
живодери	ʒivɔdɛɾi
живопис	ʒivɔpis
живописен	ʒivɔpisɛn
живописно	ʒivɔpisnɔ
живописност	ʒivɔpisnɔst
живороден	ʒivɔɾɔdɛn
живост	ʒivɔst
живот	ʒivɔt
живота	ʒivoˈta
животворен	ʒivɔtvɔɾɛn
животворно	ʒivɔtvɔrnɔ
животен	ʒivɔtɛn
животен	ʒiˈvɔtɛn
животи	ʒivoˈti
животи	ʒivɔti
животинка	ʒivɔtiŋka
животинска	ʒivoˈtinski
животинската	ʒivoˈtinskiʔa
животински	ʒivɔtinski
животински	ʒiˈvɔtinski
животинско	ʒivoˈtinski
животинче	ʒivoˈtintʃɛ
животинче	ʒivɔtintʃɛ
животите	ʒivɔtɪtɛ
животиште	ʒivɔtiʃtɛ
животна	ʒivɔtna
животната	ʒivɔtna
животни	ʒivoˈtni
животни	ʒivɔtni
животниот	ʒiˈvɔtnɔt
животните	ʒivɔtˈnitɛ
животно	ʒivɔtnɔ
животно	ʒiˈvɔtno
животност	ʒivɔtnɔst
животното	ʒivɔtˈnɔtɔ
живото	ʒivɔtɔ
животов	ʒivɔtɔf
животопис	ʒivɔtɔpis
животоспособен	ʒivɔtɔspɔsɔbɛn
животот	ʒivoˈtɔt
живти	ʒifti
живци	ʒiftsi
живци	ʒivtsi
живците	ʒifˈtsite
жиг	ʒig
жиг	ʒik
жиговина	ʒigɔvina
жиговини	ʒigɔvini
жиголо	ʒigoɫo
жиголо	ʒigɔɫɔ
жигоса	ʒigɔsa
жигосан	ʒigɔsan
жигосува	ʒigɔsuva
жигосуван	ʒigɔsuvan
жигосување	ʒigɔsuvaɲɛ
жигот	ʒiˈgɔt
жижица	ʒiʒitsa
жизел	ʒizɛɫ
жизела	ʒizɛla
жизнерадосност	ʒiznɛradɔsnɔst
жил	ʒɪl
жила	ʒiɫa
жилав	ʒiɫaf
жилав	ʒiˈlav
жилаво	ʒiɫavo
жилавост	ʒiɫavɔst
жилберт	ʒɪlˈbɛrt
жиле	ʒiˈlɛ
жилет	ʒilɛt
жилет	ʒiˈlɛt
жилети	ʒiˈlɛti
жилетка	ʒilɛtka
жилетот	ʒiˈlɛtɔt
жили	ʒili
жили	ʒiˈli
жилиен	ʒiˈliɛn
жиличе	ʒilitʃɛ
жиличка	ʒilitʃka
жилиште	ʒiliʃtɛ
жило	ʒiɫɔ
жими	ʒimi
жин	ʒin
жина	ʒina
жиновите	ʒiˈnɔvitɛ
жиот	ʒiɔt
жиоти	ʒiɔti
жир	ʒir
жирант	ʒirant
жиранти	ʒiranti
жирафа	ʒirafa
жирафичка	ʒirafitʃka
жири	ʒiri
жирито	ʒiˈrito
жиро	ʒiɾɔ
жирови	ʒiɾɔvi
житар	ʒitar
житарица	ʒitaɾitsa
житарици	ʒitaɾitsi
житарици	ʒitaˈritsi
житарки	ʒiˈtarki
житарство	ʒitarstvɔ
жител	ʒitɛɫ
жители	ʒitɛli
жители	ʒiˈtɛli
жителите	ʒiˈtʃɛlɔtɛ
жителка	ʒitɛɫka
жителски	ʒitɛɫski
житен	ʒitɛn
жити	ʒiti
житие	ʒitijɛ
житница	ʒitnitsa
жито	ʒito
жито	ʒitɔ
житомир	ʒitɔmir
житомирски	ʒitɔmirski
житото	ʒito
житје	ʒitjɛ
жица	ʒitsa
жицата	ʒitsa
жици	ʒitsi
жиците	ʒitsɛtɛ
жичара	ʒitʃaɾa
жичарница	ʒitʃarnitsa
жичен	ʒitʃɛn
жичка	ʒitʃka
жично	ʒitʃnɔ
жлеб	ʒlɛp
жлебен	ʒlɛbɛn
жлезда	ʒlɛzda
жлезден	ʒlɛzdɛn
жлезди	ʒlɛzdi
жлепче	ʒlɛptʃɛ
жмигавец	ʒmigavɛts
жмрка	ʒmr̩ka
жмурење	ʒmuɾɛɲɛ
жмури	ʒmuɾi
жмурка	ʒmurka
жнее	ʒnɛɛ
жнеен	ʒnɛɛn
жнееш	ʒnɛɛʃ
жнеејќи	ʒnɛɛjci
жнеење	ʒnɛɛɲɛ
жнеј	ʒnɛj
жозе	ʒɔsɛ
жозефин	ʒɔsɛˈfin
жозефина	ʒɔsɛfiˈna
жолт	ʒɔlt
жолт	ʒɔɫt
жолта	ʒɔlta
жолтата	ʒɔɫˈtata
жолтее	ʒɔɫtɛɛ
жолтеење	ʒɔɫtɛɛɲɛ
