अ	ʌ
दिन	d̪inʌ
दिनको	d̪inko
दिनु	d̪inu
दिन्छ	d̪in̻tsʰʌ
दिल्ली	d̪illi
दिसा	d̪isä
दुःख	d̪uk̚kʰʌ
दुःख	d̪uk̞ʰʌ
दुई	d̪ui̯
दुईवटा	d̪ui̯wʌʈä
दुक्का	d̪uk̚kä
दुख	d̪ukʰʌ
दुखी	d̪uk̞ʰi
दुख्नु	d̪uk̞ʰnu
दुतावास	d̪ut̪äbäs
दुद	d̪ud̪
दुध	d̪ud̪
दुना	d̪unä
दुनु	d̪unu
दुनो	d̪uno
दुलहा	d̪ulä̤ː
दुलही	d̪ulʌi̯
दुश्मन	d̪usmʌn
दुहुनु	d̪uu̯nu
दुहुनु	d̪uːnu
दूतावास	d̪ut̪äbäs
दूध	d̪ud̪
दे	d̪e
देउखुरी	d̪eu̯k̞ʰuɾi
देउरानी	d̪eu̯ɾäni
देओर	d̪eor
देखाउनु	d̪ek̞ʰäu̯nu
देखि	d̪ek̞ʰi
देखिनु	d̪ek̞ʰinu
देख्नु	d̪ek̞ʰnu
देवनागरी	d̪ebʌnäg̞ʌɾi
देवर	d̪ewʌr
देवरानी	d̪eu̯ɾäni
देवरानी	d̪ewräni
देश	d̪es
देसी	d̪esi
दोकान	d̪okän
दौडनु	d̪ʌu̯ɽinu
दौडनु	d̪ʌu̯ɽʌnu
द्यौरानी	d̪eu̯ɾäni
ध	d̪ʱʌ̤
धकेल्नु	d̪ʱʌ̤kelnu
धत्तेरि	d̪ʱʌ̤t̪̚t̪eɾi
धत्तेरी	d̪ʱʌ̤t̪̚t̪eɾi
धनगढी	d̪ʱʌ̤ngʌɽi
धन्यवाद	d̪ʱʌ̤nːebäd̪
धरान	d̪ʱʌ̤ɾän
धराप	d̪ʱʌ̤ɾäp
धरापिलो	d̪ʱʌ̤ɾäpilo
धर्ती	d̪ʱʌ̤rt̪i
धर्म	d̪ʱʌ̤rmʌ
धुनु	d̪ʱṳnu
धुलो	d̪ʱṳlo
धुवाँ	d̪ʱṳwä̃
धेरै	d̪ʱe̤ɾʌi̯
धोतिनी	d̪ʱo̤t̪ini
धोती	d̪ʱo̤t̪i
ध्वाँसे	d̪ʱwä̃se
न	nʌ
नक्सा	nʌksä
नगर	nʌg̞ʌr
नगर	nʌ‿gʌɾʌ
नगर्	nʌg̞ʌr
नङ	nʌŋ
नजिक	nʌdzik
नदी	nʌd̪i
नन्द	nʌn̪d̪ʌ
नब्बे	nʌb̚be
नमस्कार	nʌmʌskär
नमस्ते	nʌmʌst̪e
नयन	nʌen
नयाँ	nʌjä̃
नरक	nʌɾʌk
नराम्रो	nʌɾämro
नर्क	nʌrkʌ
नर्स	nʌrs
नवलपुर	nʌu̯ʌlpur
नहल	nʌ̤ːl
नाइटो	näi̯ʈo
नाउँ	näũ
नाक	näk
नाच	näts
नाच	nätsʌ
नाच्नु	nätsnu
नाति	nät̪i
नातिना	nät̪inä
नातिनी	nät̪ini
नाती	nät̪i
नानी	näni
नाम	näm
नि	ni
निचर्नु	nitsʌrnu
निचोर्नु	nitsornu
निद्रा	nid̪rä
निम्ति	nimt̪i
निलो	nilo
निस्कनु	niskʌnu
नीलो	nilo
नुन	nun
नुहाउनु	nuäu̯nu
नेपाल	nepäl
नेपालका	nepälkä
नेपालको	nepälko
नेपालगंज	nepälgʌn̻dz
नेपालगञ्ज	nepälgʌn̻dz
नेपालमा	nepälmä
नेपाली	nepäli
नै	nʌi̯
नैनु	nʌi̯nu
नौ	nʌu̯
न्यानो	njäno
प	pʌ
पंजा	pʌn̻dzä
पकाउनु	pʌkäu̯nu
पकौडा	pʌkʌu̯ɽä
पक्का	pʌk̚kä
पखाला	pʌk̞ʰälä
पचत्तर	pʌtsʌt̪̚t̪ʌr
पचपन्न	pʌtspʌnːʌ
पचहत्तर	pʌtsʌ̤ːt̪̚t̪ʌr
पचास	pʌtsäs
पचासी	pʌtsäsi
पच्चीस	pʌt̚tsis
पछि	pʌtsʰi
पञ्चानब्बे	pʌn̻tsänʌb̚be
पढ	pʌɖʱʌ̤
पढाउनु	pʌɽäu̯nu
पढ्	pʌɽ
पढ्नु	pʌɽɳu
पढ्नुहोस्	pʌɽɳuos
पत्र	pʌt̪rʌ
पद	pʌd̪
पनाति	pʌnät̪i
पनातिनि	pʌnät̪ini
पनि	pʌni
पन्चानब्बे	pʌn̻tsänʌb̚be
पन्छी	pʌn̻tsʰi
पन्जा	pʌn̻dzä
पन्द्र	pʌn̪d̪rʌ
पन्ध्र	pʌn̪d̪rʌ
पर	pʌɾʌ
पराल	pʌɾäl
परासी	pʌɾäsi
परिचय	pʌɾitsʌe
परिपुर्न	pʌɾipurnʌ
परिपूर्ण	pʌɾipurɽ̃ʌ
परिबार	pʌɾibär
परिवार	pʌɾiwär
परीक्षा	pʌɾik̚tsʰjä
परे	pʌɾe
परेको	pʌɾeko
परेमा	pʌɾemä
परेली	pʌɾeli
पर्खनु	pʌrkʰʌnu
पर्दा	pʌrd̪ä
पर्नु	pʌrnu
पल्टिनु	pʌɭʈinu
पश्चिम	pʌstsim
पसल	pʌsʌl
पस्नु	pʌsnu
पहाड	pä̤ːɽ
पहिला	pʌi̯lä
पहिले	pʌi̯le
पहिलो	pʌi̯lo
पहेँलो	pʌɦẽlo
पहेंलो	pʌɦẽlo
पाँच	pä̃ts
पाइनु	päi̯nu
पाइने	päi̯ne
पाउ	päu̯
पाउनु	päu̯nu
पाक्नु	päknu
पाखुरा	päk̞ʰuɾä
पाठ	päʈʰ
पात	pät̪
पाद्नु	päd̪n̪u
पान	pän
पानी	päni
पानु	pänu
पार्वती	pärbʌt̪i
पाल	päl
पाल्नु	pälnu
पाहुना	päu̯nä
पिउनु	piu̯nu
पिट्नु	piʈɳu
पिठो	piʈʰo
पिता	pit̪ä
पिपीलिका	pipilikä
पिरो	piɾo
पुग्नु	pug̞nu
पुछ्नु	pusnu
पुछ्नु	putsʰnu
पुती	put̪i
पुनः	punʌː
पुरातत्त्वशास्त्र	puɾät̪ʌt̪̚t̪osäst̪rʌ
पुरानो	puɾäno
पुर्न	purnʌ
पुष्टकारी	pus̠t̠ʌkäɾi
पुस	pus
पुस्तक	pust̪ʌk
पुस्तकालय	pust̪ʌkälʌe
पुस्नु	pusnu
पूर्ण	purɽ̃ʌ
पूर्व	purbʌ
पृथ्वी	pirt̪ʰibi
पृथ्वी	pɾit̪ʰbi
पृथ्वी	pɾit̪ʰibi
पृष्ठ	pɾis̠t̠ʰʌ
पेटी	peʈi
पैँचालीस	pʌ̃ĩ̯tsälis
पैँतालीस	pʌ̃ĩ̯t̪älis
पैँतीस	pʌ̃ĩ̯t̪is
पैँसट्ठी	pʌ̃ĩ̯sʌʈ̚ʈʰi
पैंतालीस	pʌ̃ĩ̯t̪älis
पैंतीस	pʌ̃ĩ̯t̪is
पैंसट्ठी	pʌ̃ĩ̯sʌʈ̚ʈʰi
पैंसठ्ठी	pʌ̃ĩ̯sʌʈʰʈʰi
पैसा	pʌi̯sä
पोइ	poi̯
पोखरा	pok̞ʰʌɾä
पोथी	pot̪ʰi
पोलिश	polis
पोल्नु	polnu
पोसाक	posäk
पौडिनु	pʌu̯ɽinu
पौने	pʌu̯ne
पौष	pʌu̯s
प्यारो	pjäɾo
प्रकाशाणु	prʌkäsäɽ̃u
प्रकृति	prʌkɾit̪i
प्रचंड	prʌtsʌɳɖʌ
प्रबिधि	prʌbid̪i
प्रभा	prʌbä
प्रमुख	prʌmuk̞ʰ
प्रयोग	prʌjog̞
प्रयोगकर्ता	prʌjog̞kʌrt̪ä
प्रयोगस्थल	prʌjog̞st̪ʰʌl
प्रविधि	prʌbid̪i
प्रश्न	prʌsnʌ
प्रश्नहरु	prʌsnʌ̤ːru
प्रश्नहरू	prʌsnʌ̤ːru
प्रहरी	prʌʔʌɾi
प्रहरी	prʌ̤ːri
प्राय	präe
प्रेम	prem
फ	pʰʌ
फकाउनु	pʰʌkäu̯nu
फरक	pʰʌɾʌk
फर्सी	pʰʌrsi
फल	pʰʌl
फल	pʰʌlʌ
फलफूल	pʰʌlpʰul
फल्नु	pʰʌlnu
फागुन	pʰäg̞un
फाल्गुन	pʰälgun
फाल्नु	pʰälnu
फुक्नु	pʰuknu
फुपाजु	pʰupädzu
फुपाज्यू	pʰupädzju
फुपु	pʰupu
फुपू	pʰupu
फुल	pʰul
फुसी	pʰusi
फुस्रो	pʰusro
फूल	pʰul
फेब्रुअरी	pʰebruʌɾi
फेरि	pʰeɾi
फेर्नु	pʰernu
फ्याँक्नु	pʰjä̃knu
ब	bʌ
बग्नु	bʌg̞nu
बच्चा	bʌt̚tsä
बजाउनु	bʌdzäu̯nu
बजार	bʌdzär
बजे	bʌdze
बढाउन	bʌɽäu̯nʌ
बढाउनु	bʌɽäu̯nu
बताउनु	bʌt̪äu̯nu
बताउने	bʌt̪äu̯ne
बत्तीस	bʌt̪̚t̪is
बदर	bʌd̪ʌr
बदाम्	bʌd̪äm
बदाम्	bʌd̪ʌm
बधू	bʌd̪u
बन	bʌn
बन	bʌnʌ
बना	bʌnä
बनाउनु	bʌnäu̯nu
बनाउनुहोला	bʌnäu̯nuolä
बनाऔ	bʌnäʌu̯
बनाऔँ	bʌnäʌ̃ũ̯
बनाऔं	bʌnäʌũ̯
बनेर	bʌneɾʌ
बन्द	bʌn̪d̪ʌ
बन्नु	bʌnːu
बबल	bʌbʌl
बयसट्ठी	bʌesʌʈ̚ʈʰi
बयसट्ठी	bʌi̯sʌʈ̚ʈʰi
बयानब्बे	bʌjänʌb̚be
बयालीस	bʌjälis
बयासी	bʌjäsi
बर	bʌr
बरफ	bʌɾʌɸ
बरि	bʌɾi
बर्खा	bʌrkʰä
बर्ग	bʌrgʌ
बर्ष	bʌrsʌ
बस	bʌs
बस	bʌsʌ
बसन्त	bʌsʌn̪t̪ʌ
बस्	bʌs
बस्ती	bʌst̪i
बस्तु	bʌst̪u
बस्नु	bʌsnu
बस‍	bʌsʌ
बहत्तर	bʌ̤ːt̪̚t̪ʌr
बहिनी	bʌi̯ni
बा	bä
बाँकी	bä̃ki
बाँच्नु	bä̃tsnu
बाँड्नु	bä̃ɽɳu
बाँध्नु	bä̃d̪n̪u
बाईस	bäi̯s
बाउ	bäu̯
बाउन्न	bäu̯nːʌ
बाकस	bäkʌs
बाख्रा	bäk̞ʰrä
बागमती	bäg̞mʌt̪i
बाघ	bäg̞
बाटो	bäʈo
बाथ	bät̪ʰ
बादल	bäd̪ʌl
बादशाह	bäd̪sä̤ː
बादशाह	bäsːä
बान्नु	bänːu
बाबा	bäbä
बाबु	bäbu
बारेमा	bäɾemä
बालुवा	bäluwä
बाहिर	bäi̯ɾʌ
बाहुन	bäun
बाह्र	bäɾʌ
बिकास	bikäs
बिगार्नु	big̞ärnu
बिजुली	bidzuli
बिज्ञान	big̞gjän
बिदा	bid̪ä
बिन्ति	bin̪t̪i
बिपना	bipʌnä
बिफर्	biɸʌr
बिबाह	bibä̤ː
बिभिन्न	bibinːʌ
बिमाख्	bimäk̞ʰ
बियर	bier
बियर	bijʌɾ
बिया	bijä
बिराटनगर	biɾäʈɳʌg̞ʌr
बिरामी	biɾämi
बिरालो	biɾälo
बिरुवा	biɾuwä
बिसौनी	bisʌu̯ni
बिस्तारै	bist̪äɾʌi̯
बिस्तारो	bist̪äɾo
बिहा	biɦä
बिहा	biʔä
बिहान	biɦänʌ
बिहिबार	bi̤ːbär
बिहीबार	bii̯bär
बीउ	biu̯
बीर	bir
बीस	bis
बुझ्नु	budznu
बुटवल	buʈol
बुटवल	buʈʌwʌl
बुटि	buʈi
बुढा	buɽä
बुढी	buɽi
बुढो	buɽo
बुद्ध	bud̪̚d̪ʌ
बुद्ध	bud̪̚d̪ʱʌ̤
बुद्धिचाल	bud̪̚d̪ʱi̤tsäl
बुधबार	bud̪ʌbär
बुन्नु	bunːu
बुबा	bubä
बुवा	buwä
बुवा	buä
बुहारी	buäɾi
बूढा	buɽä
बूढी	buɽi
बूढो	buɽo
बेइजिङ	bei̯dziŋ
बेलुका	belukä
बेहुला	beu̯lä
बेहुली	beu̯li
बैंक	beŋk
बैंक	bʌi̯ŋk
बैगनी	bʌi̯g̞ʌni
बैगुने	bʌi̯g̞une
बैजनी	bʌi̯dzʌni
बैनि	bʌi̯ni
बैसट्ठी	bʌi̯sʌʈ̚ʈʰi
बैसठ्ठी	bʌi̯sʌʈ̚ʈʰi
बोका	bokä
बोको	boko
बोट	boʈ
बोधो	bod̪o
बोल्नु	bolnu
ब्रह्मदेश	brʌmːʌd̪es
ब्रह्माण्ड	brʌmːäɳɖʌ
ब्वाँसो	bwä̃so
भ	bʱʌ̤
भए	bʱʌ̤e
भएका	bʱʌːkä
भएका	bʱʌ̤ekä
भएको	bʱʌːko
भएको	bʱʌ̤eko
भएमा	bʱʌ̤emä
भएर	bʱʌːɾʌ
भएर	bʱʌ̤eɾʌ
भक्तपुर	bʱʌ̤k̚t̪ʌpur
भतिज	bʱʌ̤t̪idz
भतिजा	bʱʌ̤t̪idzä
भतिजी	bʱʌ̤t̪idzi
भतिजो	bʱʌ̤t̪idzo
भतीजा	bʱʌ̤t̪idzä
भतीजी	bʱʌ̤t̪idzi
भदौ	bʱʌ̤d̪ʌu̯
भनिनु	bʱʌ̤ninu
भनिन्छ	bʱʌ̤nin̻tsʰʌ
भने	bʱʌ̤ne
भनेको	bʱʌ̤neko
भनेर	bʱʌ̤neɾʌ
भन्दा	bʱʌ̤n̪d̪ä
भन्नु	bʱʌ̤nːu
भन्ने	bʱʌ̤nːe
भरतपुर	bʱʌ̤ɾʌt̪̚pur
भाँच्नु	bʱä̤̃tsnu
भाइ	bʱä̤i̯
भाउजु	bʱä̤u̯dzu
भाउजू	bʱä̤u̯dzu
भाउज्यू	bʱä̤u̯dzju
भाडा	bʱä̤ɽä
भाद्र	bʱä̤d̪rʌ
भानिज	bʱä̤nidz
भान्जा	bʱä̤n̻dzä
भान्जी	bʱä̤n̻dzi
भान्जो	bʱä̤n̻dzo
भारत	bʱä̤ɾʌt̪
भालू	bʱä̤lu
भाषा	bʱä̤sä
भिजेको	bʱi̤dzeko
भिडियो	bʱi̤ɽijo
भित्र	bʱi̤t̪rʌ
भिना	bʱi̤nä
भिनाजु	bʱi̤nädzu
भिनाज्यू	bʱi̤nädzju
भिसा	bʱi̤sä
भीर	bʱi̤r
भुइँ	bʱũĩ̯
भुइँ	bʱʌ̤̃ĩ̯
भुईँचालो	bʱṳ̃ĩ̯tsälo
भुटान	bʱṳʈän
भुत्रो	bʱṳt̪ro
भूगोल	bʱṳg̞ol
भेट्नु	bʱe̤ʈɳu
भेना	bʱe̤nä
भैँसी	bʱʌ̤̃ĩ̯si
भैंसी	bʱʌ̤̃ĩ̯si
भोक	bʱo̤k
भोलि	bʱo̤li
म	mʌ
मःम	mʌmʌ
मःमः	mʌmʌ
मकै	mʌkʌi̯
मङ्गल	mʌŋgʌl
मङ्गलबार	mʌŋgʌlbär
मङ्सिर	mʌŋsir
मजेन्टा	mʌdzeɳʈä
मज्जा	mʌdzdzä
मदत्	mʌd̪ʌt̪
मधेश	mʌd̪es
मन	mʌn
मन्त्र	mʌn̪t̪rʌ
मन्त्रिणी	mʌn̪t̪riɽ̃i
मन्त्रिनी	mʌn̪t̪rini
मन्त्री	mʌn̪t̪ri
ममः	mʌmʌ
ममा	mʌmä
ममि	mʌmi
ममो	mʌmo
मर	mʌɾʌ
मरमरम्मत	mʌɾʌmʌɾʌmːʌt̪
मरमर्मत	mʌɾʌmʌrmʌt̪
मरम्मत	mʌɾʌmːʌt̪
मराठी	mʌɾäʈʰi
मरुभूमि	mʌɾubumi
मर्	mʌr
मर्नु	mʌrnu
मर्मत	mʌrmʌt̪
मलाई	mʌläi̯
महिना	mʌi̯nä
महिला	mʌilä
माँड	mä̃ɽ
माइजु	mäi̯dzu
माइजू	mäi̯dzu
माइज्यू	mäi̯dzju
माकुरा	mäkuɾä
माखो	mäk̞ʰo
माघ	mäg̞
माचिक्नी	mätsikni
माछा	mätsʰä
माझ्नु	mädznu
माता	mät̪ä
मानव	mänʌb
मानवता	mänʌb̚t̪ä
मानविकी	mänʌbiki
मानिस	mänis
मानिसहरू	mänisɦʌɾu
माने	mäne
मान्छे	män̻tsʰe
मान्नु	mänːu
माफ	mäɸ
मामा	mämä
मार्	mär
मार्ग	märgʌ
मार्नु	märnu
माला	mälä
मासु	mäsu
मास्नु	mäsnu
मिच्नु	mitsnu
मिठो	miʈʰo
मिति	mit̪i
मित्र	mit̪rʌ
मित्रता	mit̪rʌt̪ä
मिनेट	mineʈ
मिलाउँदै	miläũd̪ʌi̯
मिलेर	mileɾʌ
मिल्नु	milnu
मिस्सी	misːi
मुख	muk̞ʰ
मुख्य	mukkʰe
मुजी	mudzi
मुटु	muʈu
मुत्नु	mut̪n̪u
मुद्रा	mud̪rä
मेच	mets
मेटाउनु	meʈäu̯nu
मेटी	meʈi
मेट्नु	meʈɳu
मेरो	meɾo
मैले	mʌi̯le
मैलो	mʌi̯lo
मोःमो	momo
मोःमोः	momo
मोजा	modzä
मोटरसाइकल	moʈʌrsäi̯kʌl
मोटो	moʈo
मोड्नु	moɽɳu
मोमो	momo
मोमोः	momo
मोर	moɾʌ
मोर्	mor
मोर्नु	mornu
मौरी	mʌu̯ɾi
मौसम	mʌu̯sʌm
म्वाइँ	mwäĩ
यदि	ed̪i
यस	es
यसको	esko
यसमा	esmä
यसरी	esʌɾi
यसलाई	elläi̯
यसलाई	esläi̯
यसले	elle
यसले	esle
यसै	esʌi̯
यस्तो	est̪o
यहाँ	jä̃ː
यहाँ	jä̆ɦä̤̃
यहाँ	ɦjä̤̃
यहाँ	ɦjä̤̃ː
यहाँका	jä̃ːkä
यहाँको	jä̃ːko
यहाँमा	ɦjä̃ːmä
यहाँलाई	jä̃ːläi̯
यहाँले	jä̃ːle
यही	ei̯
यही	i̯ei̯
यही	jei̯
या	jä
यातायात	jät̪äjät̪
यानाति	jänät̪i
यी	i
युबक	jubʌk
युवक	juwʌk
यूरोप	juɾop
यो	jo
योगदान	jog̞d̪än
योगदानको	jog̞ʌd̪änko
योगदानहरू	jog̞ʌd̪änɦʌɾu
र	rʌ
रंडी	rʌɳɖi
रक्त	rʌk̚t̪ʌ
रक्सी	rɒksi
रक्सी	rʌksi
रगत	rʌg̞ʌt̪
रङ	rʌŋ
रङ्ग	rʌŋ
रङ्ग	rʌŋgʌ
रङ्गीचङ्गी	rʌŋgitsʌŋgi
रचना	rʌtsʌnä
रच्नु	rʌtsnu
रण्डी	rʌɳɖi
रत्न	rʌt̪n̪ʌ
रन्डी	rʌɳɖi
रमाइलो	rʌmäi̯lo
रमाईलो	rʌmäi̯lo
रस	rʌs
रसी	rʌsi
रहनु	rʌ̤ːnu
रहेका	rʌɦekä
रहेको	rʌɦeko
राँबो	rä̃bo
राकस	räkʌs
राख्नु	räk̞ʰnu
राजा	rädzä
रात	rät̪
रातो	rät̪o
रानी	räni
रामो	rämo
राम्ररी	rämrʌɾi
राम्रो	rämro
राष्ट्र	räs̠t̠rʌ
राष्ट्रपति	räs̠t̠rʌpʌt̪i
राष्ट्रिय	räs̠t̠rie
राष्ट्रीय	räs̠t̠rie
रित्तो	rit̪̚t̪o
रुख	ruk̞ʰ
रुनु	runu
रुप	rup
रुपियाँ	rupijä̃
रूख	ruk̞ʰ
रूप	rup
रूपमा	rupmä
रोक्नु	roknu
रोग	rog̞
रोटी	roʈi
रोपनी	ropʌni
ल	lʌ
लक्ष्मी	lʌksmi
लक्ष्मी	lʌk̚tsʰjmi
लक्ष्मी	lʌt̚tsʰimi
लगाउनु	lʌg̞äu̯nu
लगानी	lʌg̞äni
लघ्वातु	lʌg̞wät̪u
लट्ठी	lʌʈ̚ʈʰi
लड्नु	lʌɽɳu
लपक्क	lʌpʌk̚kʌ
लसुन	lʌsun
लाँडो	lä̃ɽo
लाई	läi̯
लाउनु	läu̯nu
लाख	läk̞ʰ
लागि	läg̞i
लाग्नु	läg̞nu
लाठी	läʈʰi
लाडो	läɽo
लामा	lämä
लामो	lämo
लिएको	lieko
लिङ्क	liŋk
लिनु	linu
लुकाउनु	lukäu̯nu
लुक्नु	luknu
लुगा	lug̞ä
लुम्बिनी	lumbini
ले	le
लेख	lekʰʌ
लेख	lek̞ʰ
लेखमा	lek̞ʰmä
लेखहरु	lek̞ʰ‿ɦʌɾu
लेखहरू	lek̞ʰɦʌɾu
लेखिएको	lek̞ʰieko
लेखिदिन्छ	lek̞ʰid̪in̻tsʰʌ
लेखिनु	lek̞ʰinu
लेख्	lek̞ʰ
लेख्न	lek̞ʰnʌ
लेख्नु	lek̞ʰnu
लैङ्गिक	lʌi̯ŋgik
लोग्ने	log̞ne
ल्वाङ	lwäŋ
व	wʌ
वटा	oʈä
वडा	oɽä
वडा	wʌɽä
वन	bʌn
वन्य	bʌnːe
वर्ग	bʌrgʌ
वर्णमाला	bʌrnʌmälä
वर्णमाला	bʌrɽ̃ʌmälä
वर्षा	bʌrsä
वसन्त	bʌsʌn̪t̪ʌ
वहाँ	wä̃ː
वहाँ	wä̆ɦä̤̃
वहाँ	wä̤̃ː
वहाँ	ɦwä̤̃ː
वहाँको	wä̃ːko
वहाँमा	wä̃ːmä
वहाँलाई	wä̃ːläi̯
वहाँले	wä̃ːle
वाक्नु	wäknu
वार्ता	bärt̪ä
वार्तालाप	bärt̪äläp
विकास	bikäs
विकि	biki
विकिपीडिया	wikipiɽijä
विजयादशमी	bidzʌjäd̪ʌsʌmi
विज्ञान	big̞gjän
विडूर	biɽur
विदेश	bid̪es
विद्यार्थी	bid̪̚d̪järt̪ʰi
विनोद	binod̪
विभिन्न	bibinːʌ
विराटनगर	biɾäʈɳʌg̞ʌr
विवाह	bibä̤ː
विश्व	bisːo
विश्वकप	bisːokʌp
विश्वका	bisːokä
विषयका	bisʌekä
विषयमा	bisʌemä
विषयसूचि	bisʌesutsi
विषयसूची	bisʌesutsi
विषाणु	bisäɽ̃u
वीरेन्द्रनगर	biɾen̪d̪rʌnʌg̞ʌr
वृश्चिक	bɾistsik
वेदना	bed̪ʌnä
वैशाख	bʌi̯säk̞ʰ
व्यक्तिलाई	bek̚t̪iläi̯
व्यवस्था	bebʌst̪ʰä
व्यापार	bepär
व्यापार	bjäpär
व्रत	brʌt̪ʌ
व्रत	bʌrt̪ʌ
श	sʌ
श	ʃʌ
शनिबार	sʌnibär
शब्दकोश	sʌb̚d̪ʌkos
शब्दकोष	sʌb̚d̪ʌkos
शरद	sʌɾʌd̪
शहर	sʌ̤ːr
शास्त्र	säst̪rʌ
शाह	sä̆ɦä̤
शाह	sä̤ː
शिकार	sikär
शिक्षक	sik̚tsʰek
शिक्षक	sit̚tsʰʲʌk
शिक्षा	sik̚tsʰjä
शिक्षा	sit̚tsʰjä
शिशिर	sisir
शुक्रबार	sukrʌbär
शुभकामना	subʱkämʌnä
शून्य	sunːe
शून्य	sunːä
शौचालय	sʌu̯tsälʌe
श्रावण	sräu̯ʌɽ̃
श्रावण	sräwʌɽ̃
श्री	sri
श्रीमती	srimʌt̪i
श्रीमान	srimän
ष	kʰʌ
ष	sʌ
षड्यन्त्र	sʌɽen̪t̪rʌ
स	sʌ
सँग	sʌŋgʌ
सँग	sʌŋʌ
सँग	sʌ̃gʌ
संग	sʌŋgʌ
संगति	sʌŋgʌt̪i
संगीत	sʌŋgit̪
संदर्भ	sʌn̪d̪ʌrbʱʌ̤
संवाद	sʌmbäd̪
संस्कृत	sʌnskɾit̪
संस्कृत	sʌ̃skɾit̪
संस्कृति	sʌnskɾit̪i
संस्कृति	sʌ̃skɾit̪i
संस्था	sʌnst̪ʰä
संस्था	sʌ̃st̪ʰä
सकिन्छ	sʌkin̻tsʰʌ
सक्छ	sʌktsʰʌ
सक्नु	sʌknu
सक्नुहुन्छ	sʌknṳːn̻tsʰʌ
सखर	sʌk̞ʰʌr
सगरमाथा	sʌg̞ʌrmät̪ʰä
सङ्गति	sʌŋgʌt̪i
सजिलो	sʌdzilo
सडक	sʌɽʌk
सड्नु	sʌɽɳu
सड्सठ्ठी	sʌɽsʌʈʰʈʰi
सतचालीस	sʌt̪tsälis
सतसट्ठी	sʌt̪ʌsʌʈ̚ʈʰi
सतहत्तर	sʌt̪ʌ̤ːt̪̚t̪ʌr
सतासी	sʌt̪äsi
सत्तरी	sʌt̪̚t̪ʌɾi
सत्ता	sʌt̪̚t̪ä
सत्ताईस	sʌt̪̚t̪äi̯s
सत्र	sʌt̪rʌ
सन्चै	sʌn̻tsʌi̯
सन्ताउन्न	sʌn̪t̪äu̯nːʌ
सन्तानब्बे	sʌn̪t̪änʌb̚be
सन्देश	sʌn̪d̪es
सन्सरबार्	sʌnitsʌrbär
सन्सरबार्	sʌnsʌrbär
सन्सरबार्	sʌn̻tsʌrbär
सपना	sʌpʌnä
सफा	sʌɸä
सब	sʌb
सबै	sʌbʌi̯
सबैको	sʌbʌi̯ko
समय	sʌmʌe
समस्त	sʌmʌst̪ʌ
समस्या	sʌmʌsːjä
समस्याको	sʌmʌsjäko
समात्नु	sʌmät̪n̪u
समाधान	sʌmäd̪än
समिति	sʌmit̪i
समुदायको	sʌmud̪äeko
समुद्र	sʌmud̪rʌ
सम्धिनी	sʌmd̪ʱi̤ni
सम्धी	sʌmd̪ʱi̤
सम्पर्क	sʌmpʌrkʌ
सम्पादन	sʌmpäd̪ʌn
सम्बन्धी	sʌmbʌn̪d̪i
सम्बन्धी	sʌmbʌn̪d̪ʱi̤
सम्म	sʌmːʌ
सय	sʌe
सरकार	sʌrkär
सरिफा	sʌɾiɸä
सरोज	sʌɾodz
सलल	sʌlʌlʌ
सलिफा	sʌliɸä
ससुरा	sʌsuɾä
ससुरो	sʌsuɾo
सहनु	sʌ̤ːnu
सहपाठी	sʌ̤ːpäʈʰi
सहयोग	sʌʔʌjog̞
सहयोग	sʌ̤ːjog̞
सहायता	sä̤ːet̪ä
सहायताका	sä̤ːet̪äkä
सहि	sʌi̯
साँप	sä̃p
सांझ	sä̃dz
सांझ	sä̃dzʌ
साइकल	säi̯kʌl
साउन	säun
साचो	sätso
साट्दै	säʈ̚d̪ʌi̯
साट्नु	säʈɳu
साठी	säʈʰi
साढे	säɽe
सात	sät̪
साता	sät̪ä
सातौं	sät̪ʌ̃ũ̯
साथी	sät̪ʰi
सानो	sjäno
सानो	säno
साप	säp
सामग्रीहरू	sämʌg̞riɦʌɾu
सामान्य	sämänːe
सामुदायिक	sämud̪äik
साला	sälä
साली	säli
साले	säle
सालो	sälo
सासु	säsu
सासू	säsu
साहित्य	säi̯t̪e
सिंह	siŋɦʌ
सिंह	sĩɦʌ
सिउनु	siu̯nu
सिकाउनु	sikäu̯nu
सिकार	sikär
सिक्किम	sik̚kim
सिक्नु	siknu
सिधो	sid̪o
सिपाही	sipäi̯
सिम्रिक	simrik
सिरानी	siɾäni
सिराने	siɾäne
सिलाउनु	siläu̯nu
सिसाकलम	sisäkʌlʌm
सीपाही	sipäi̯
सुँघ्नु	suŋnu
सुँघ्नु	sũg̞nu
सुक्खा	suk̚kʰä
सुझाव	sudzäb
सुझाव	sudzäu̯
सुत्नु	sut̪n̪u
सुदूरपश्चिम	sud̪uɾʌpʌstsim
सुन	sun
सुन	sunʌ
सुन्तला	sun̪t̪ʌlä
सुन्दर	sun̪d̪ʌr
सुन्ना	sunːä
सुन्निनु	sunːinu
सुन्नु	sunːu
सुन्नुहोस्	sunːuos
सुहाउनु	suäu̯nu
सूर्जे	surdze
सूर्य	surːe
सेतो	set̪o
सेप्टेम्बर	sep̚ʈembʌr
सैँतीस	sʌ̃ĩ̯t̪is
सैंतालीस	sʌ̃ĩ̯t̪älis
सैंतीस	sʌ̃ĩ̯t̪is
सैनिक	sʌi̯nik
