's	s̪
drùis	t̪ɾuːʃ
drùiseach	t̪ɾuːʃax
drùisealachd	t̪rˠuːʃɛl̪ˠaxk
drùisear	t̪rˠuːʃɛrˠ
drùisearachd	t̪rˠuːʃɛrˠaxk
drùiseil	truːʃɛl
drùisire	t̪rˠuːʃiɾə
duais	t̪uəʃ
dual	t̪uəɫ̪
dualchasach	tuəl̪ˠxəs̪əx
duan	t̪uən
dubh	t̪uh
dubhan	t̪uan
duda	t̪ət̪ə
duf	t̪əf
duibh	t̪ɯi̯v
duibhse	t̪ɯi̯vʃə
duilich	tɯlʲɪç
duilleach	tɯʎəx
duilleag	tɯʎak
duine	t̪ɯɲ
duine	t̪ɯɲə
duinn	t̪ɯi̯ɲ
duinne	t̪ɯi̯ɲə
duit	t̪uʰtʲ
duitsa	t̪uʰtʲs̪ə
dul	t̪ul̪ˠ
dunnchadh	t̪un̪ˠuxəɣ
dust	t̪us̪t̪
dut	t̪ut̪
dut	t̪uʰt̪
dutsa	t̪uʰt̪s̪ə
dà	t̪aː
dàbhaidh	t̪aːvɪ
dàidh	t̪aːj
dàil	t̪aːl
dàimh	t̪aiv
dàimheach	daivəx
dàn	d̥aːn
dàrna	t̪aːrˠn̪ˠə
dàrnach	daːrˠn̪ˠəx
dè	tʲeː
dè	t̪eː
dèan	tʲian
dèanamh	tʲianəv
dèanamh	tʲianʊ
dèidh	tʲeː
dèine	tʲeːnə
dìbhe	tʲivə
dìcheallach	tʲiːçəl̪ˠəx
dìle	dʲiːlə
dìlleachdach	tʲiːʎəxgəx
dìlleachdan	tʲiːʎəxgan
dìoghaltach	tʲiəəl̪ˠt̪ʰəx
dìoghaltas	tʲiəl̪ˠt̪əs̪
dìomhain	tʲiəvɛɲ
dìomhair	tʲiəvɪɾʲ
dìonadair	dʲiənədɛrʲ
dìosal	tʲiːs̪əl̪ˠ
dìreach	tʲiːɾʲəx
dìreach	tʲɪɾəx
dòbhran	t̪ɔːɾan
dòchas	t̪ɔːxəs
dòchasach	t̪ɔːxəs̪əx
dòigheil	t̪ɔːjalˠ
dòirt	tɔːrˠʃtʲ
dòmhnall	t̪ɔ̃ːəl̪ˠ
dòmhnallan	t̪ɔ̃ːəl̪ˠan
dòrainneach	t̪ɔːɾəɲəx
dòrnan	t̪ɔːɾnan
dòrtadh	t̪ɔːrˠʃt̪əɣ
dùghall	t̪uːəl̪ˠ
dùil	tuːl
dùin	t̪uːɲ
dùinte	t̪uːɲtʲə
dùisg	t̪uːʃkʲ
dùn	t̪uːn
dùrd	t̪uːrˠt̪
dùth	t̪uː
dùthaich	tuːɪç
dùthchas	t̪uːxəs̪
e	a
e	ɛ
eabhrac	joːɾək
eabhraig	joːɾɪkʲ
each	ɛx
eachann	ɛxən̪ˠ
eachdraidh	ɛxkɾɪ
eachdraidh	ɛxt̪ɾɪ
eaconomaidh	ɛkʰɔnəmɪ
eadailteach	etaʎtʲəx
eadar	et̪əɾ
eadhan	ɛɣən
eagalach	ekəl̪ˠəx
eaglais	ekl̪ˠɪʃ
eala	jal̪ˠə
ealachan	jal̪ˠəxən
ealasaid	jal̪ˠəsˠɪtʲ
ealasaid	ɛl̪ˠəs̪ɪtʲ
eallach	jaɫ̪əx
eanraig	ɛnɛɾɪkʲ
earball	ɛɾɛpəl̪ˠ
earrach	jarˠəx
earrann	jarˠən̪ˠ
earrann	ɛrˠən̪ˠ
easbhaidh	es̪vɪ
eideard	etʲərˠt̪
eidheann	eən̪ˠ
eigh	ej
eil	elʲ
eilbheis	elevɪʃ
eile	elə
eileanach	elanəx
eilear	el̪əɾ
eileas	el̪əs̪
eilid	elɪtʲ
eimhir	evɪɾʲ
eireag	eɾʲak
eiridinn	eɾɪtʲɪɲ
eiridnich	erʲɪdʲnɪç
eithre	eɾʲə
esan	ɛs̪ən̪ˠ
esan	ɛʃən̪ˠ
eubha	iəvə
eudail	eːt̪al
eudail	iət̪al
eug	eːk
eul	iəl̪ˠ
eun	ian
eò	jɔː
eòghainn	joːɪɲ
eòin	jɔːɲ
eòlach	jɔːl̪ˠəx
eòlas	jɔːɫ̪əs̪
eòrna	jɔːrˠn̪ˠə
eòrpach	jɔːrbəx
eòsaiph	jɔːs̪ɪf
eòsaph	jɔːs̪əf
faclair	faxklˠ̪əɾʲ
faclan	faxkl̪ˠən
fad	fat̪
fada	fat̪ə
fadalach	fatəl̪ˠəx
faiceallach	façkʲəl̪ˠəx
faicinn	fɛçcɪɲ
faide	fatʲə
faidhle	failə
faidhlichean	failɪçən
faighinn	fajɪɲ
faire	faɾʲə
faireachdainn	faɾəxkɪɲ
fairich	faɾʲəxʲ
faisg	faʃc
falamh	fal̪ˠəv
falbh	faɫ̪av
fallain	fal̪ˠəɲ
falt	fal̪ˠt̪
fang	faŋk
faobh	fɯːv
faobhar	fɯːvəɾ
faod	fɯːt̪
faoileag	fɯːlak
faoilleach	fɯːʎəx
faoin	fɯːɲ
faramach	farəməx
farpais	faɾpɪʃ
farsaing	faɾs̪ɪŋʲkʲ
fasanta	fas̪an̪ˠt̪ə
fastaidh	fas̪t̪ɪ
fathan	fahan
feabhas	fjoəs̪
feabhasach	fjoəsəx
fead	fet̪
feadh	fjɤɣ
feadhainn	feʊɪɲ
feadhainn	fjoɪɲ
feadhainn	fjɤɣɪɲ
feadhainn	fɤʊɪɲ
feagal	fekəl
feamainn	femɪɲ
feannag	fjan̪ˠak
feansa	fɛns̪ə
fear	fɛɾ
fearachas	fɛrəxəs
fearail	fɛral
fearann	fɛɾən̪ˠ
fearchar	fɛɾaxəɾ
fearchar	fɛɾɛxəɾ
fearg	fɛɾɛk
fearghas	fɛraɣəs
fearghas	fɛrɛɣəs
feasgar	fes̪kəɾ
feis	feʃ
feitheamh	fehəv
feud	feːt̪
feum	feːm
feumach	feːməx
feumaidh	feːmɪ
feur	fiəɾ
feàrna	fjaːrˠn̪ˠə
feàrr	fjaːrˠ
feòil	fjɔːl
feòl	fjɔːɫ̪
feòladair	fjɔːl̪ˠət̪əɾʲ
feòrag	fjɔːɾak
fhada	at̪ə
fhaighinn	ajɪɲ
fhaoilleach	ɯːʎəx
fheamainn	emɪɲ
fhionn	jũːn̪ˠ
fhios	is̪
fhliuch	lux
fhraing	rˠaŋʲkʲ
fhuair	huəɾʲ
fhuar	uəɾ
fiabhrais	fiəvɾəʃ
fiabhras	fiəvɾəs̪
fiacaill	fiəxkɪʎ
fiacais	fiəxkɪʃ
fiach	fia̯x
fiaclan	fiəxkl̪ˠən
fiadh	fiə̯ɣ
fiadhaich	fiəɪç
fianais	fianɪʃ
fiar	fiəɾ
fichead	fiçət̪
fichead	fiət̪
fileanta	filən̪ˠt̪ə
film	filim
fionn	fjũːn̪ˠ
fionnadh	fjũn̪ˠəɣ
fionnar	fjun̪ˠəɾ
fionnaradair	fjũn̪ˠəɾətɛɾʲ
fionnghal	fin̪ˠəɣəl̪ˠ
fionnghal	fjũn̪ˠũɣəl̪ˠ
fionnlagh	fjũːl̪ˠəɣ
fireann	fiɾʲən̪ˠ
fiughar	fjuəɾ
fiù	fjuː
fiùghantach	fjuːənt̪əx
fiùran	fjuːran
flaitheas	fl̪ˠaçəs̪
fleadh	flɤɣ
fliche	fliçə
flòraidh	fl̪ˠɔːɾɪ
flùr	fl̪ˠuːɾ
flùraichean	fl̪ˠuːɾəxʲən
fo	fɔ
fodha	foə
fodhad	foət
fodhaibh	foəv
fodhainn	foɪɲ
fodham	foəm
fodhpa	foːpə
foghain	foɪɲ
foghar	foəɾ
foghar	fɤəɾ
fogharach	foəɾəx
foghlaim	fɤːl̪ˠəm
foghlam	fɤːl̪ˠəm
foighidneach	fɤjɪtʲnəx
foileag	fɔlak
foileagan	fɔlakən
foillsich	fɤiʎʃɪç
foipe	fɔʰpə
foirfe	fɤɾʲfə
foirmle	fɤɾʲɤmlə
fois	foʃ
follais	fɔɫ̪ɪʃ
follaiseach	fɔl̪ˠɪʃəx
fon	fɔn̪ˠ
fonn	fɔun̪ˠ
fonnmhor	fɔn̪ˠəɾ
forcan	fɔrˠxkən
fosfor	fɔsfɔɾ
fosgail	fɔskal
fosgladh	fɔskl̪ˠəɣ
fraidhig	fɾajɪc
fraidhigte	fɾajɪctʲə
fraing	frˠaŋʲkʲ
frang	fɾaŋk
frangach	fɾaŋkəx
frangag	fɾaŋkak
frangaich	fɾaŋkɪç
frangais	fɾaŋkɪʃ
fraoch	fɾɯːx
freagair	fɾʲekɪɾʲ
freagarrach	fɾʲekərˠəx
freagarrachd	fɾʲekərˠəxk
freasdalach	fɾʲes̪t̪əl̪ˠəx
freumh	fɾʲɪəv
friseal	fɾʲiʃəl̪ˠ
fuar	fuəɾ
fuasgail	fuəs̪kal
fuil	ful
fuin	fuɲ
fuineadair	fuɲədɛrʲ
fuireach	fuɾʲəx
fuirich	fuɾʲɪç
fulang	fuɫ̪əŋk
fulangach	ful̪ˠəŋkəx
furachas	fuɾəxəs̪
furasta	fuɾəs̪t̪ə
fàg	faːk
fàgail	faːkal
fàileadh	faːləɣ
fàinne	faːɲtʲə
fàinne	faːɲə
fàs	faːs
fáidh	fˠaːj
fáidh	fˠɑːj
fáidh	fˠɑːɟ
fèidh	feːʝ
fèileadh	feːləɣ
fèill	feːʎ
fèineag	fʲeːnʲək
féill	feːʎ
fìgis	fiːkʲɪʃ
fìobha	fiːvə
fìon	fiən
fìor	fiːɾ
fìrinn	fiːɾʲɪɲ
fòdhpa	fɔːpə
fòn	foːn
fòs	fɔːs̪
g	k
gabh	kav
gabhail	kahal
gach	kax
gad	kat̪
gadhar	kɤər
gafann	kafənˠ̪
gairge	kɛɾʲɛcə
gairm	kɤɾʲəm
gairme	kɤɾʲəmʲə
gaisgeach	kaʃcəx
gal	kal̪ˠ
galan	kal̪ˠan
galar	kal̪ˠəɾ
gall	kaul̪ˠ
galla	kaɫ̪ə
gaoid	kɯːtʲ
gaoil	kɯːʎ
gaoisid	gɯːʃidʒ
gaol	kɯːl̪ˠ
gaoth	kɯː
gaothach	kɯːəx
garaids	kaɾɪtʲʃ
garg	kaɾak
gasta	kas̪t̪ə
gath	gah
geal	kʲaɫ̪
geala	cal̪ˠə
geall	kʲaul̪ˠ
gealladh	kʲaɫ̪əɣ
geama	cɛmə
geamannan	cɛmən̪ˠən
geansaidh	kʲɛns̪ɪ
gearan	kʲɛɾan
gearastan	cɛɾəs̪t̪an
gearmailtis	cɛɾɛmaltʲɪʃ
gearran	cɛrˠan
gearran	kʲaran
gearran	kʲarən
geas	kʲes
geasachd	kʲɛsaxk
geata	kʲɛʰt̪ə
geodha	kʲɔə
geug	ceːk
geàrr	kʲaːrˠ
geòidh	cɔːʝ
ghaoth	ɣɯː
gharbh	ɣaɾav
ghasta	ɣas̪t̪ə
gheall	jaul̪ˠ
ghearran	ʝɛrˠan
ghiblean	ʝiplan
ghille	ʝiʎə
ghlac	ɣl̪ˠaxk
ghlais	ɣl̪ˠaʃ
ghob	ɣop
ghoid	ɣɤtʲ
ghoirid	ɣɤɾʲɪtʲ
ghrannd	ɣɾãũn̪ˠt̪
ghràidh	ɣɾaːj
ghualainn	ɣuəl̪ˠɪɲ
ghuth	ɣuh
ghàidhealtachd	ɣɛːəl̪ˠtəxk
giall	kʲiəl̪ˠ
giblean	ciplan
gile	kʲilə
gille	kʲiʎə
gilleasbuig	kʲɪʎes̪pɪkʲ
gimleid	kimilatʲ
gin	gʲin
ginideach	cinɪtʲəx
giomach	giməx
gionach	kʲinəx
giorra	ciɾˠə
giorsal	kʲirˠs̪əl̪ˠ
giotàr	kʲɪt̪ʰaːɾ
glac	kl̪ˠaxk
glacadh	kl̪ˠaxkəɣ
glaine	kl̪ˠaɲə
glainne	kl̪ˠaɲə
glais	kl̪ˠaʃ
glaodh	kl̪ˠɯː
glas	kl̪ˠas̪
glaschu	kl̪ˠas̪əxu
glaschu	kl̪ˠas̪əxɔ
glasraichear	kl̪ˠasˠɾɪçəɾ
gleansach	klɛnsəx
gleoc	klɔxk
gleus	kleːs̪
glic	kliçc
glè	kleː
glòir	kɫ̪ɔːɾʲ
glòr	kl̪ˠɔːɾ
gnothach	grõɪç
gnothach	grɔ̃ɪç
gnìomh	kɾʲĩə̃v
gob	kop
gobha	koə
gobhar	koəɾ
goibhle	kəilə
goibhnean	kəinən
goid	kɤtʲ
goilf	kɔlf
goirid	kɤɾʲɪtʲ
goirt	kɔrtʃʲ
goistidh	gɔʃdʲɪ
goraidh	kɔɾɪ
gort	kɔrˠʃt̪
gram	gram
grannd	kɾãũn̪ˠt̪
greann	kɾʲaun̪ˠ
greas	kɾʲes̪
greim	kɾeim
greim	kɾɤim
grian	cɾʲian
grianach	cɾʲianəx
griogair	g̊ɾʲig̊ɪɾʲ
grod	kɾot
gruagach	kɾuəkəx
gruagaire	kɾuəkɪɾʲə
gruaidh	kɾuəj
gruamach	kɾuəməx
gràdh	kraːɣ
gràdhaich	kɾaːɪç
gràidh	kɾaːj
gràineag	kɾaːɲak
grànda	kɾãːn̪ˠtə
grèine	cɾʲeːɲə
grìbhean	cɾiːvan
gual	kuəl̪ˠ
gualainn	kuəl̪ˠɪɲ
gualann	kuəl̪ˠən̪ˠ
guga	kukə
guib	kɤp
guirmean	kɯɾʲɯman
gum	kəm
gun	kən̪ˠ
gun	kəɲ
gunna	kun̪ˠə
guth	kuh
gàd	gaːd
gàir	kaːɾʲ
gàirdeachas	kaːrtʲəxəs
gàireachdainn	kaːɾʲəxkɪɲ
gàrradh	kaːrˠəɣ
gèadh	ciəɣ
gèar	kʲiaɾ
gèill	kʲeːʎ
gèilleadh	kʲeːʎəɣ
gòrach	kɔːɾəx
gòraiche	kɔːɾɪçə
gòrdan	kɔːrˠt̪an
hallo	haɫoː
halò	haloː
hama	hamə
hearach	hɛɾəx
i	i
iad	iə̯t̪
iad	ət̪
iadsan	iə̯t̪s̪ən̪ˠ
iagan	iəkan
iain	iaɲ
iall	iəl̪ˠ
ialtag	iəl̪ˠt̪ək
iarann	iərˠɪɲ
iarla	iəɾɫ̪ə
iarr	iərˠ
iasg	iəsk
iasgaich	iəskɪç
iasgair	iəs̪kɛɾʲ
idir	itʲɪɾʲ
ifreann	ifrʲən̪ˠ
ifrinn	ifrʲɪɲ
imlich	imilɪç
inghean	inijan
innealta	ĩɲəl̪ˠt̪ə
innseanach	ĩːʃənəx
innte	ə̃ĩɲtʲə
iolair	jul̪ˠɪɾʲ
iomadh	iməɣ
iomain	imɛɲ
iomall	iməl̪ˠ
iomradh	imiɾəɣ
ionga	iŋkə
iongantach	ĩə̃n̪ˠt̪əx
ionnsachadh	jũːn̪ˠs̪əxəɣ
ionnsaich	jũːn̪ˠsɪç
ionnsaichibh	jũːn̪ˠsɪçɪv
ionraic	jũnəɾɪc
is	ɪs̪
is	ɪʃ
ise	iʃə
iseabail	iʃəpal
ist	ɪʃtʲ
ithe	içə
itheann	içən̪ˠ
iubhar	juəɾ
iuchair	juxɪɾʲ
lachaidh	l̪ˠaxɪ
lachan	ɫ̪axan
ladhar	ɫ̪ɤəɾ
ladhran	ɫ̪ɤːɾan
lag	l̪ˠak
lagh	ɫ̪ɤɣ
laghach	l̪ˠɤəx
laghail	ɫ̪ɤɣal
lainnir	ɫ̪aɲɪɾʲ
lann	ɫ̪an̪ˠən
lann	ɫ̪aun̪ˠ
laoch	ɫ̪ɯːx
laogh	l̪ˠɯːɣ
laoghan	l̪ˠɯːɣan
lasadain	l̪ˠas̪ətɛn
lasadan	l̪ˠas̪ətan
le	le
leabaidh	ʎepɪ
leabhar	ʎoəɾ
leabharlann	ʎoəɾl̪ˠən̪ˠ
leabharlannaiche	ʎoəɾl̪ˠan̪ˠɪçə
leac	ʎɛxk
leagsaidh	ʎeks̪ɪ
leam	luːm
leam	ləm
leam	lɛm
lean	ʎɛn
leanabh	ʎɛnəv
leann	ʎaun̪ˠ
leannan	ʎɛn̪ˠan
leas	ʎes
leasan	ʎɛs̪ən
leat	laʰt̪
leat	lɛʰt̪
leatha	leːçə
leatha	lɛhə
leatha	lɛɔ
leatha	lɛə
leatha	ʎɛhə
leathann	lɛhən̪ˠ
leathann	ʎɛhən̪ˠ
leatromach	ʎɛht̪ɾəməx
leibh	leiv
leibh	leːv
leibh	liːv
leibh	ləv
leibh	lɤiv
leibh	lɯib
leig	ʎekʲ
leigheas	ʎeəs̪
leinn	leiɲ
leinn	leɲː
leinn	lɤiɲ
leis	lɛʃ
leisg	ʎeʃkʲ
leisgeadair	ʎeʃkʲətɛɾʲ
leisgeul	ʎeʃkʲəl̪ˠ
leitir	ʎehtʲɪɾʲ
leotha	lɔ
leotha	lɔə
leotha	lɛɔɔ
leotha	ʎoə
leth	ʎe
leum	ʎeːm
leumadair	ʎeːmət̪ɛɾʲ
leòdhas	ʎɔːəs̪
leòmhann	ʎɔːən̪ˠ
leòsan	ɫ̪ʲɔːsan
liogh	ʎɤɣ
liomaid	ʎimɪtʲ
lobhadh	l̪ˠɔvəɣ
lobhte	l̪ˠɔvtə
loch	ɫ̪ɔx
lochan	ɫ̪ɔxan
lochlannach	l̪ˠɔxl̪ˠən̪ˠəx
lofa	ɫ̪ɔfə
loidhne	l̪ˠɔinə
loisgean	lˠɔʃkʲan
loisgte	l̪ˠɔʃtʲə
lon	ɫ̪ɔn
long	l̪ˠɔuŋk
lorg	ɫ̪ɔrɔk
losgann	l̪ˠɔs̪kən̪ˠ
luach	l̪ˠuəx
luaidh	l̪ˠuəj
luaidhe	l̪ˠuəjə
luaithe	l̪ˠuəjə
luaithre	l̪ˠuəɾʲə
luath	l̪ˠuə
luch	ɫ̪ux
luchag	ɫ̪uxak
luchd	ɫ̪uxk
lugha	l̪ˠɤɣə
luinneag	l̪ˠɯɲak
lus	l̪ˠus̪
là	l̪ˠaː
làidir	l̪ˠaːtʲɪɾʲ
làimh	l̪ˠaiv
làimheadh	l̪ˠɛ̃ːəɣ
làir	l̪ˠaːɾʲ
làireach	l̪ˠaːɾʲəx
làmhach	l̪ˠaːvəx
làn	l̪ˠaːn
làraidh	l̪ˠaːɾɪ
làthair	ɫ̪aːɪɾʲ
làthaireach	l̪ˠaːɪɾʲəx
lèigh	ʎeː
lèine	ʎeːɲə
lèir	ʎeːɾʲ
lèirsinn	ʎeːɾʲʃɪɲ
lèirsinneach	ʎeːɾʲʃɪɲəx
lèiruig	ʎɛːɾɪc
lìon	ʎiən
lò	l̪ˠɔː
lòdrach	lɔːdrəx
lòineag	l̪ˠɔːɲak
lòn	l̪ˠɔːn
lùbach	l̪ˠuːpəx
lùnastal	l̪ˠuːnəs̪t̪əl̪ˠ
lùth	l̪ˠuː
m'	m
mac	maʰk
macaoidh	maxkɤj
macaonghais	maxkɯ̃nɯ̃ɪʃ
macrùslaig	maxkɾuːs̪l̪ˠɪkʲ
madadh	matəɣ
madainn	mat̪ɪɲ
madainn	mɛt̪ɪɲ
magadh	makəɣ
magaidh	makɪ
magairle	makərˠʎə
maide	matʃə
maide	matʲə
maide	mɛtʃə
maide	mɛtʲə
maighread	maiɾʲət̪
mair	maɾʲ
mairbh	maɾʲɪv
mairead	maiɾʲət̪
mairead	maɾʲət̪
mairtfheòil	marˠʃtʲɔl
maise	maʃə
maiseach	maʃʲax
mall	maul̪ˠ
mamaidh	mami
manach	manəx
manadh	manəɣ
manaidsear	manɪtʲʃəɾ
manainn	manɪɲ
mand	man̪ˠt̪
maoilios	mɯːləs̪
maoin	mɯːnʲ
maol	mɯːɫ̪
maoldòmhnaich	mɯl̪ˠt̪ɔ̃ːnɪç
maor	mɯːɾ
maoth	mɯː
mapa	mahpə
mar	maɾ
marag	maɾak
marbh	maɾav
margadh	maɾˠakəɣ
marsaili	marˠs̪alɪ
mart	marˠʃt̪
mata	maʰtə
matamataigeach	mat̪ʰəmat̪ʰɪkʲax
math	mah
mathan	mahan
meacan	mɛxkan
meadaigeach	medʲɪgʲəx
meadhan	miaan
meadhanan	miaanən
meal	mjal̪ˠ
meall	mjaul̪ˠ
meall	mɛul̪ˠ
meallan	mjal̪ˠan
mean	mɛn
meanbh	mɛnɛv
mearachd	mɛɾəxk
mearanach	mɛranax
measgaich	meskɪç
meil	mel
meileadh	meləɣ
meud	miat
meòg	mjɔːk
meòir	mjɔːɾʲ
mhac	vaxk
mhadadh	vatəɣ
mhair	vaɾʲ
mhanainn	vanɪɲ
mharc	varxk
mhart	varˠʃt̪
mhath	vah
mhath	vaː
mheall	vjauɫ̪
mhealladh	vjaɫ̪əɣ
mheas	ves
mhil	vjil
mhoire	vɔɾʲə
mholainn	vɔɫ̪ɪɲ
mhàiri	vaːɪri
mhàrt	varˠʃt
mhàthair	vaːhəɾʲ
mhìcheil	viːçɛlʲ
mhìosachan	viəsəxan
mi	mi
mic	miʰkʲ
mil	mil
mil	mʲil
milis	milɪʃ
mill	miːʎ
milleadh	miʎəɣ
millean	miʎan
min	mjin
mionaid	minətʲ
mions	mins
miotag	mihtak
mire	mʲiɾʲə
mise	miʃə
misg	miʃc
misneach	miʃnəx
moch	mɔx
modh	mɔɣ
modhail	mɔɣal
moire	mɔɾʲə
mol	mol
molach	mɔɫ̪əx
molta	mɔɫ̪t̪ʰə
monadh	mɔnəɣ
mu	mə
muc	muxk
mucan	muʰkən
muga	mukə
muicfheòil	muçcɔl
muilcheann	mulɪçən
muilchear	mulɪçɛɾ
muilchill	mulɪçɪʎ
muilchinn	mulɪçɪɲ
muile	mulə
muileann	muʎən̪ˠ
muille	muʎə
muime	muimə
muinichill	munuçɪʎ
muinntir	mɯiɲtʲɪɾʲ
muir	murʲ
muireall	mɯɾʲəl̪ˠ
mullach	mul̪ˠəx
mun	mən
muncaidh	muŋkɪ
mura	muɾə
murchadh	muɾuxəɣ
murchan	muɾuxan
murdag	muːrˠt̪ak
mustais	musdaʃ
màg	maːk
màili	maːlɪ
màiread	maːɾʲət̪
màiri	maːɾʲɪ
màla	maːɫ̪ə
màldachd	maːl̪ˠdəxk
màmag	maːmak
mànran	mãːɾan
mànus	maːnəs̪
màrt	marˠʃt
màrtainn	maːrˠʃt̪ɪɲ
màthair	maːhɪɾʲ
mèirleach	mʲaːrˠləx
mìcheil	miːçɛlʲ
mìle	miːlə
mìltean	miːltʰʲən
mìn	miːn
mìorbhaileach	miəɾvələx
mìos	miəs̪
mìos	miːs̪
mìosachan	miəsəxan
mìosan	miəs̪ən
mòd	mɔːt̪
mòine	mɔːɲə
mòmaid	mɔːmɪtʲ
mòr	moːɾ
mòra	moːɾə
mòrag	moːɾak
mòrail	mɔːral
mùrn	muːɾn
na	na
na	nə
nach	n̪ˠax
naochad	n̪ˠɯːxət̪
naoghas	n̪ˠɯəs̪
naoi	nɯːi
naoinear	n̪ˠɯːɲəɾ
naoinearan	n̪ˠɯːnəɾən
naoineir	n̪ˠɯːnəɾʲ
naonar	n̪ˠɯːnəɾ
nar	naɾ
nas	nəs̪
nathair	n̪ˠahɪɾʲ
neacal	ɲɛxkəl̪ˠ
neach	ɲɛx
nead	ɲet̪
neas	ɲes̪
neasgaid	ɲes̪katʲ
neul	ɲiaɫ̪
niall	ɲiaɫ̪
nigheann	ɲiːan̪ˠ
nighneag	ɲiːnak
nirribhidh	ɲir̪ˠɪvi
nis	niʃ
niseag	ɲiʃag
no	nɔ
no	nə
nobhail	n̪ˠɔval
nodha	n̪ˠoə
nollaig	n̪ˠɔl̪ˠɪkʲ
noraidh	n̪ˠɔɾɪ
norrag	n̪ˠɔrˠak
nuair	n̪ˠuəɾʲ
nur	nuɾ
nàbaidh	n̪ˠaːpi
nàdarrach	n̪ˠaːt̪ərˠəx
nàireach	n̪ˠaːɾʲəx
nàiseantach	n̪ˠaːʃən̪ˠt̪əx
nàmhaid	n̪ˠãːvətʲ
nàmhaid	n̪ˠãːətʲ
nàrach	n̪ˠaːɾəx
nì	niː
nì	ɲiː
o	ɔ
obair	opəɾʲ
obann	opən̪ˠ
obrachadh	obrəxəɣ
obraich	oprɪç
ochd	ɔxk
ochdad	ɔxkət̪
ochdamh	ɔxkəv
ochdnair	ɔxkəɾʲ
ochdnar	ɔxkəɾ
ochdnaran	ɔxkəɾən
odhar	oər
oide	ɤtʲə
oidhche	ɤ̃ĩçə
oifigear	ɔfɪgʲɛɾ
oifigearan	ɔfɪgʲɛɾən
oighre	ɤiɾʲə
oillt	əiʎʲtʰʲ
oillteil	ɤiʎt̪ʲal
oir	ɔir
oirbh	ɔɾu
oirbh	ɔɾʲəv
oirbh	əɾʲəv
oirbhse	ɔɾʲɪvʃə
oirnn	ɔrɪɲ
oirnn	ɔrˠn
oirnne	ɔrˠɲə
oirre	urˠə
oirre	ɔrˠə
oirrese	ɔɾəʃə
oisinn	ɔʃɪɲ
oisir	ɤʃɪɾʲ
ola	ɔl̪ˠə
olann	ɔl̪ˠən̪ˠ
olc	ɔɫ̪xk
ollaimh	ɔl̪ˠɪv
onair	ɔnɪɾʲ
onarach	ɔnaɾəx
oraindsear	ɔɾɪɲtʲʃɛɾ
orainsear	ɔɾɪɲʃɛɾ
ormsa	ɔɾams̪ə
orra	ɔrˠɔ
orra	ɔrˠə
orra	ɔɾhə
orrasan	ɔɾəs̪ən
ort	ɔrˠs̪t̪
ort	ɔrˠʃtʲ
os	ɔs
osna	ɔs̪n̪ˠə
p	pʰ
pana	pʰanə
peacach	pʰɛxkəx
peacadh	pʰɛxkəɣ
peadar	pʰet̪əɾ
peairt	pʰɛrˠʃtʲ
peall	pʰjaul̪ˠ
peann	pʰjaun̪ˠ
peansail	pʰɛns̪al
peansailean	pʰɛns̪alən
peant	pʰɛn̪ˠt̪
peantadh	pʰɛn̪ˠt̪əɣ
peapag	pʰɛhpak
peasair	pʰɛs̪ɪɾʲ
peigi	pʰekʲɪ
peileag	pʰelag̊
peinnsean	pʰeiɲʃan
peitseag	pʰiːt̪ʃak
peitseagach	pʰiːt̪ʃakəx
peitseagan	pʰiːt̪ʃakan
peitseige	pʰiːt̪ʃɛkʲə
peur	pʰiəɾ
phana	fanə
pheadair	fetɪɾʲ
pheann	fjaun̪ˠ
pheantair	fɛn̪ˠt̪ɛɾʲ
pheapag	fɛhpak
pheasair	fɛs̪ɪɾʲ
pheata	fɛʰt̪ə
pheitseag	fiːt̪ʃak
pheitseagan	fiːt̪ʃakan
pheitseige	fiːt̪ʃɛkʲə
phinc	fiɲc
phiuthar	fjuəɾ
phoit	fɔhtʲ
phost	fɔs̪t̪
phrìosan	fɾʲiːs̪ən
phurpaidh	furpi
phàisde	faːʃtʰʲə
piobar	pʰipəɾ
piseag	pʰiʃak
pitheid	pʰiɛtʲ
piuthar	pʰjuəɾ
pleòiteag	pʰʎɔːhtʲak
plèana	pʰlɛːnə
plèanaichean	pʰlɛːnəxʲən
poblachd	pʰɔpl̪ˠəxk
poca	pʰɔxkə
poit	pʰɔhtʲ
poll	pʰɔul̪ˠ
port	pʰɔrˠʃt̪
post	pʰɔs̪t̪
preas	pʰɾʲes̪
priob	prʲib
prionnsa	prʲũːn̪ˠsə
pronn	pʰɾɔun̪ˠ
pràis	pʰɾaːʃ
pràiseach	pʰɾaːʃəx
prìosan	pʰɾʲiːs̪ən
prògramair	pɾoːgɾamɛɾʲ
pròis	prɔːʃ
pròiseact	pʰɾɔːʃəkt̪
pròiseil	pʰɾɔːʃɛl
puing	pʰɯiŋʲkʲ
puist	pʰɯʃtʲ
punnd	pũːn̪ˠt̪
purgadair	pʰuɾukətɛrʲ
putadh	pʰuht̪əɣ
pàdraig	pʰaːt̪ɾɪkʲ
pàidh	pʰaːj
pàirtidh	pʰaːrˠʃtʲi
pàisde	paːʃtʲə
pàra	pʰaːɾa
pàraig	pʰaːɾɪkʲ
pìobaire	pʰiːpɛɾʲə
pìosail	pʰiːsal
pòg	pʰɔːk
pòl	pʰɔːl̪ˠ
pòs	pʰɔːs
pòsadh	pʰɔːs̪əɣ
