ഁ	ɐ̃
കംപ്യൂട്ടര്	kaːmpjuːʈɐr
കംപ്യൂട്ടർ-ji	kəmpɯːʈːəɾ
കംപ്യൂട്ടർ-ജി	kaːm̪pjuːt̪ːəɾgi
കംപ്ലൈന്റ്റ്	kɐmplai̯n̪t̪r̪ɨ
കകോരി	kɐkɔːɾi
കകോരിയില്	kakoːɾiːjil
കക്ക	kɐkːɐ
കക്കാസിയന്	kɐkɐsiːnə
കക്കാൻ	kɐkɐːn
കക്കുന്നു	kɐkːuɳː
കക്കൂസിന്റെ	kɐkːuːsinte
കക്കൂസില്	kɐkːuːsɪl
കക്കൂസിൽ	kɐkːuːsɪɭ
കക്കൂസ്	kɐkːuːs
കക്ഷം	kɐkʂɐm
കക്ഷി	kɐkʂi
കക്ഷികളെ	kɐkʂiɭɐɭe
കക്ഷികള്	kɐkʂiːlɐ
കക്ഷിക്ക്	kɐkʂikːu
കക്ഷിയും	kɐkʂiʝʉm
കക്ഷിയുടെ	kɐkʈiː
കക്ഷിയെ	kɐkʂie
കങ്കാണി	kaŋgaːɳi
കച്ച	kɐt̚tʃɐ
കച്ചറ	kɐtʃɾɐ
കച്ചറ	kɐt̚tʃɐrɐ
കച്ചവട	kɐtʃɐʋɐɖ
കച്ചവടം	kɐtʃɐʋɐɖəm
കച്ചവടം	kɐt̚tʃɐʋɐɖɐm
കച്ചവടക്കാരന്	kɐtʃəʋɐɖəkaːɾə
കച്ചവടക്കാരിയാണെന്ന്	kaʈːəʋəɖəkaːɾiəɳːeɳː
കച്ചവടക്കാരുടെ	kɐtʃəʋɐɖəkaːɾuʈe
കച്ചവടക്കാര്	kaʈːəʋəɖəkaːɾə
കച്ചവടക്കാരൻ	kɐtʃəʋɐɖəkaːɾən
കച്ചവടത്തിന്	kɐtʃɐʋɐɖ̪n̪
കച്ചവടമാണ്	kaʈːəʋəɳɐːm
കച്ചി	kɐt̚tʃi
കച്ചിത്തുറു	kɐt̚tʃit̪t̪uru
കച്ചിൽ	kɐt̚tʃil
കച്ചേരി	kɐtʃeːɾi
കച്ചേരി	kɐt̚tʃeːɾi
കച്ചോടം	kɐtʃoːɖəm
കച്ച്	kɐt̚tʃə̆
കച്ര്യാ	kɐtʃrjɑː
കഞ്ചാവു	kaɳdʒaːʋu
കഞ്ചാവും	kaɳdʒaːʋum
കഞ്ചാവ്	kaɳdʒɑːʋ
കഞ്ചാവ്	kɐn̠ʲdʒaːʋə̆
കഞ്ഞി	kaɳɳi
കഞ്ഞിയും	kaɲɟijum
കട	kɐɖ
കടം	kɐɳ
കടകട-കടകട	kɐɖɐkɐɖ
കടകളിലും	kɐɖɐɭɐɭiːm
കടകളില്	kɐɖɐɭɐɭiɭ
കടകളുണ്ട്	kɐɖɐɭuɭʋɨɭ
കടകള്	kaɖɐkɐɭ
കടക്കട്ടെ	kɐɖɐkɐʈːe
കടക്കണം	kɐɖɐkɳɐm
കടക്കരുത്	kɐɖɐkɐɾuʈ
കടക്കാം	kɐɖɐm
കടക്കാത്ത	kɐɖɐkɐt̪ː
കടക്കാനാവില്ല	kɐɖɐkaːnaːʋilː
കടക്കാനുള്ള	kəɳɳaːnuɭː
കടക്കാന്	kɐɖɐkaːn̪
കടക്കാരന്	kɐɖɐkaːɾɐn
കടക്കാരൻ	kɐɖɐkaːɾɐn
കടക്കാൻ	kɐɖɐkɑːn
കടക്കില്ല	kəɳɳəkilːə
കടക്കു	kɐɖɐku
കടക്കും	kəɳɳə
കടക്കുക	kɐɖɐkːu
കടക്കുകയാണ്	kɐɖɐkːugaːn
കടക്കുകയും	kɐɖɐkːuʋɨ
കടക്കുന്ന	kɐɖɐkːun̪
കടക്കുന്നതിനു	kɐɖɐkːun̪ːiɳu
കടക്കുന്നതിന്	kɐɖɐkːun̪d̪iɳ
കടക്കുന്നത്	kɐɖɐkɐɳɳɛt̪
കടക്കുന്നില്ല	kɐɖɐkʌn̪nɪɭ̆l̆
കടക്കുന്നു	kɐɖɐkɯɳɳu
കടക്കുമ്പോള്	kɐɖɐkumbɔːlɨ
കടക്കൂ	kɐɖɐkuː
കടക്ക്	kɐɖɨ
കടങ്ങള്	kaɳɳaɭ
കടത്താനുള്ള	kɐɖɐt̪ːɐnuɭː
കടത്താന്	kɐɖɐt̪ːɑːn̪
കടത്താൻ	kɐɖɐt̪ːɑːn
കടത്തി	kɐɖɐt̪ːi
കടത്തിന്	kɐɳɳu
കടത്തിലാണ്	kɐɳɖɐt̪t̪ilɐːm
കടത്തിവിടില്ല	kəɳɳɨʋiɳiɭː
കടത്തിവിടൂ	kɐɖɐt̪t̪iʋiɖuː
കടത്തു	kɐɖɐt̪t̪u
കടത്തുക	kɐɖɐt̪ːugɐ
കടത്തുകാരന്	kɐɖɐt̪t̪ugɑːɾɐn̪
കടത്തുന്ന	kɐɖɐt̪ːun̪
കടത്തുന്നത്	kɐɳɳɐt̪ːɨ̆
കടത്തൂ	kɐɳɖɔː
കടത്ത്	kɐɳɳɨ
കടന്	kəɳə
കടന്ന	kəɳɳə
കടന്നതാണ്	kəɳɳətaːm
കടന്നത്	kəɳɳəɖə
കടന്നാലും	kəɳɳɐːlɯm
കടന്നാല്	kɐɳɳɐːl
കടന്നാൽ	kɐɳɳɑːl
കടന്നിട്ടില്ല	kɐɳɳɪt̪ːɪɭ̆
കടന്നിരിക്കുകയാണ്	kɐɳɳiɾikkukɑːɳ
കടന്നിരിക്കുന്നു	kɐɳɳiɾikkɐɳɳɔ
കടന്നു	kɐɳɳu
കടന്നുകയറ്റം	kɐɳɳʊkɑjɛːʈəm
കടന്നുപോ	kɐɳɳʊpoː
കടന്നുപോകും	kɐɳɳupoːkum
കടന്നുപോകുന്ന	kɐɳɳʊpoːkun̪
കടന്നുപോകുന്നത്	kɐɳɳupoːkɐɳɳɯt̪ː
കടന്നുപോകുന്നു	kəɳɳʊpoːkɯɳɳu
കടന്നുപോകുമ്പോള്	kəɳɳʊpoːkoŋbɨlɨ
കടന്നുപോകൂ	kɐɳɳʊpoːkuː
കടന്നുപോയ	kɐɳɳʊpoːj
കടന്നുപോയി	kəɳɳʊpoːj
കടന്നുപോയിട്ടില്ല	kəɳːnupoːjit̪ːɪɭ̆ː
കടന്നുപോവും	kəɳɳupoːʋum
കടന്ന്	kɐɳɳ
കടപെട്ടിരിക്കുന്നു	kɐɖɐpɛɖiɾɪjɐnɳɐ
കടപ്പാടുണ്ട്	kɐɖɐpːɑːɖʌn̪t̪u
കടപ്പാട്	kɐɖɐpːɑːɖ
കടപ്പുറം	kɐɖɐpːuɽɐm
കടപ്പുറത്ത്	kɐɖɐpːurɐt̪ː
കടപ്പെട്ടിട്ടില്ല	kɐɖəppəɭɨtɨlː
കടപ്പെട്ടിരിക്കും	kɐɖəppeɖiɾikkɨm
കടപ്പെട്ടിരിക്കുന്നത്	kɐɖəpːɛɭiɾoːvɐɳɭɐt̪
കടപ്പെട്ടിരിക്കുന്നു	kɐɖəpːəɭiɾɪjːɐ
കടമ	kəɳɐm
കടമയാണ്	kəɳɐmajɑːm
കടമയുണ്ട്	kaɖamajʈuɭt
കടമാണ്	kəɳɳ
കടമായി	kaɳɳaɪmi
കടമുണ്ട്	kɐɖɐmuɳt̪u
കടമോ	kəɳɐmo
കടമ്പ	kɐɖɐmbʌ
കടയാണ്	kaɳɐjaːm
കടയിലെ	kɐɖəjɛ
കടയിലേക്ക്	kɐɖajilɛːk
കടയില്	kəɳɳiːl
കടയിൽ	kəɳɳɨl
കടയുടെ	kɐɳɐɳʈu
കടയുണ്ട്	kəɳɐjuɳt̪
കടല	kɐɖɐl
കടലാസില്	kɐɖɐlɐsiɭ
കടലാസിൽ	kɐɖɐlɐsiɭ
കടലാസു	kɐɖɐlɐsu
കടലാസും	kɐɖɐlɐsu
കടലാസുകള്	kɐɖɐlɐsɐɭ
കടലാസുകൾ	kɐɖɐlɐsuɭe
കടലാസ്	kɐɖɐlɐs
കടലാസ്സുകള്	kɐɖɐlɐsːɐgɐɭ
കടലിടുക്ക്	kɐɖɐliɖukːu
കടലിനടിയില്	kɐɖɐlinɐɖijil
കടലിനു	kɐɖɐlinu
കടലിനെ	kɐɖɐlɪnɛ
കടലിന്	kɐɖɐlinu
കടലിന്റെ	kɐɖɐlɪnʈɨ
കടലിലാണ്	kɐɖɐlilɐːm
കടലിലെ	kɐɖɐliːɛ
കടലിലേക്ക്	kɐɖɐliːgɯ
കടലില്	kɐɖɐlil
കടലിൽ	kɐɖɐliɭ
കടലു	kɐɖɐlu
കടലും	kɐɖɐlum
കടലുകളില്	kɐɖɐloːgɐlil
കടലുകള്	kaɖɐloːgɐɭ
കടല്	kɐɖɐl
കടവില്	kaɖɐʋil
കടവും	kɐɖɐʋɯm
കടവ്	kɐɖɐʋ
കടി	kɐɖi
കടിക്കാൻ	kaɳɳaː
കടിക്കില്ല	kɐɳɪkɪɭː
കടിക്കും	kəɳiʈkum
കടിക്കുന്നു	kəɳʈiʔkɔː
കടിക്കുമ്പോൾ	kɐɳɪkumbɯɭ
കടിച്ച	kəɖiʧːə
കടിച്ചതിന്	kəɳiʈɨt̪iŋu
കടിച്ചത്	kəɳit̪ːə
കടിച്ചാൽ	kəɖiʈɕɑːl
കടിച്ചു	kəɳʈiʈu
കടിച്ച്	kɐɖɪtʃʈɨ
കടിഞ്ഞാണ്	kəɳɳɑːm
കടുംകൈ	kaɖumkaɪ
കടുംവെട്ട്	kɐɖumʋʷeʈʈə̆
കടുത്ത	kɐɖuʈː
കടുത്തതാണ്	kaɖuʈːənɐːm
കടുപ്പം	kɐɖupːəm
കടുപ്പമാണ്	kaɖuppɑːm
കടുപ്പമായി	kɐɖupːɐmaɪ
കടുപ്പമുള്ള	kɐɖuppɐmuɭː
കടുവ	kəɳɳu
കടുവകള്	kɐɖuʋɐɭɯ
കടുവക്ക്	kaɖuʋkːu
കടുവച്ചി	kaɖuʋɐtʃi
കടുവയെ	kɐɖuʋe
കടുവയോ	kaɖuʋajoː
കട്	kəɳʈ
കട്ട	kɐʈː
കട്ടകള്	katːəɭə
കട്ടന്	kat̪ːan̪
കട്ടര്	kɐʈːɐr
കട്ടായി	kɐʈɐːi
കട്ടി	kɐʈːi
കട്ടിയാണ്	kat̪ːijɑːm
കട്ടിയും	kat̪ːijum
കട്ടിയുള്ള	kɐʈːijulːə
കട്ടിലിനടിയില്	kat̪ːilɪnɐɖil
കട്ടിലിനടിയിൽ	kat̪ːilɪnɐɖiʎ
കട്ടിലിന്	kat̪ːilɪnɯ
കട്ടിലില്	kat̪ːiɭiɭ
കട്ടിലിൽ	kaʈːiɭil
കട്ടില്	kɐʈːil
കട്ടിൽ	kɐʈːil
കട്ടു	kat̪ːu
കട്ടെ	kat̪ːe
കട്ടെടുത്ത	kat̪ːeɖoːt̪ːə
കട്ടെടുത്തതാണ്	kat̪ːeɖoːt̪ːɐm
കട്ടെടുത്തു	kat̪ːeɖoːt̪ːu
കട്ട്	kɨʈː
കടൽ	kɐɖɐl
കടൽക്കരയിൽ	kaɖɐɭkɐɾɐjɨɭ
കഠാര	kaɳɳɑːr
കഠിന	kaɖiɳ
കഠിനം	kaɖiɳəm
കഠിനമാകും	kaɖiɳamaːku
കഠിനമാണ്	kaɖɪnam
കഠിനമായ	kaɖɪnəmaɪə
കഠിനമായാണ്	kaɖɪnamɑːjɑːm
കഠിനമായി	kaɖiɳəmaɪe
കഠിനമായിരുന്നു	kəʈinɐmaɪnuːɳɳu
കഠിനാദ്ധ്വാനം	kaɖɪnɐɖʈʋaːnɐm
കഠിനാധ്വാനം	kaɖiɳaːd̪ʋaːnaːm
കണം	kɐɳɐm
കണക്കാ	kəɳəgə
കണക്കാക്കണം	kɐɳɐkɐkɐnɐ
കണക്കാക്കാം	kɐɳɐkɐkɑːm
കണക്കാക്കാന്	kɐɳkɐkɑːkɑːn
കണക്കാക്കി	kaɳakaːki
കണക്കാക്കിയാൽ	kɐɳɐkɐkːijɑːl
കണക്കാക്കിയിരിക്കുന്നത്	kɐɳɐkɐkːiːɾoːɳɳɐt̪ː
കണക്കാക്കുന്നത്	kɐɳɐkɐkɐɳɭɨt̪ː
കണക്കാക്കുന്നു	kɐɳkɐkɐːɳuː
കണക്കാണ്	kaɳakaːm
കണക്കിനു	kɐɳɐkːɪnʊ
കണക്കിന്	kɐɳɐkːiɳ
കണക്കിലെടുക്കണം	kɐɳakːiɳeɖukːɐɳɐ
കണക്കിലെടുത്ത്	kɐɳakkəjɛɳʈuʈ
കണക്കില്	kɐɳɐkːil
കണക്കിൽ	kaɳɐkːil
കണക്കു	kɐɳɐkːu
കണക്കും	kɐɳkɨm
കണക്കുകള്	kaɳakːuɭ
കണക്കുകൂട്ടലില്	kɐɳɐkːuːʈːɐlil
കണക്കുകൂട്ടലുകൾ	kɐɳakkukːuːɭɐlɨkɨ
കണക്കുകൂട്ടല്	kɐɳakkukːuːɭɐl
കണക്കുകൂട്ടി	kɐɳakkukːuʈːi
കണക്കുകൂട്ടുന്നു	kɐɳɐkːuːʈːɯɳɯ
കണക്കുകൾ	kɐɳɐkːuɭɨ
കണക്കെ	kaɳɐkːe
കണക്കെടുപ്പ്	kɐɳakkɛɖupp
കണക്കെഴുത്ത്	kɐɳakkɛʈʈʰ
കണക്ക്	kəɳəkːu
കണക്ട്	kɐɳkɯt̪
കണക്റ്റ്	kɐɳkɐɳt̪ː
കണക്ഷന്	kɐɳkʂɐn̪
കണങ്കൈ	kɐɳəŋgaɪ
കണമീന്	kɐɳamiːn
കണമെന്ന്	kəɳəmɛn̪n̪u
കണാൻ	kɐɳɑːn
കണ്	kɐɳ
കണ്ട	kɑːɳʈə
കണ്ടക്ടര്	kɑːɳɖɛkːɖɛrʊ
കണ്ടക്ടർ	kɑːɳɖɛkʈəɾ
കണ്ടട്ടുണ്ട്	kɑːn̪ɳɐʈːuŋŋə
കണ്ടതല്ലെ	kɐɳɖətɐlːe
കണ്ടതല്ലേ	kɑːɳɖɐtɐllɛː
കണ്ടതാ	kɑːɳt̪ɑː
കണ്ടതാണല്ലോ	kɑːɳt̪ɑːɳɑːɭːoː
കണ്ടതാണ്	kaɳɖɐtaːm
കണ്ടതായി	kɑːɳɖɑːɳɑːj
കണ്ടതായിരിക്കും	kɑːɳt̪ɑːɪɾ̪iːkɨm
കണ്ടതിനു	kaːɳɖitinːu
കണ്ടതിലും	kaːɳɳaːd̪iːlɛːm
കണ്ടതില്	kɑːɳɖɐt̪iɭ
കണ്ടതിൽ	kɐɳɖɐtɪl
കണ്ടതു	kɑːɳɖətuː
കണ്ടതും	kɐɳɖətum
കണ്ടതുപോലെ	kɐɳɖətuːpoːle
കണ്ടതെന്താണെന്ന്	kɑːɳɖɐt̪en̪t̪ɑːɳɛɳɳ
കണ്ടതെന്ന്	kɑːɳɖɐt̪enːə
കണ്ടതെല്ലാം	kɑːɳɖɐt̪ɛɭɭɑːm
കണ്ടതേയില്ല	kɑːn̪d̪ət̪eːjɪlː
കണ്ടതേയുള്ളൂ	kɑːn̪d̪ɐteːuɭːuː
കണ്ടതൊക്കെ	kɑːɳɖɒt̪oːkːe
കണ്ടതോ	kɐɳɖɐto
കണ്ടത്	kɑːɳɖɐʈ
കണ്ടത്തണം	kaːɳɖɐt̪ːɐɳɐ
കണ്ടത്താന്	kɑːɳɖɐt̪ːɑːn̪
കണ്ടത്താൻ	kɑːɳɖɐt̪ːɑːɳ
കണ്ടത്തി	kɑːɳɖɨt̪t̪i
കണ്ടത്തില്	kɑːɳɖɨt̪ːil
കണ്ടത്തും	kɑːɳɖəʈu
കണ്ടത്തൂ	kaːɳɖɐtuː
കണ്ടപോലെ	kaɳɳɐpoːle
കണ്ടപ്പോ	kɑːɳɖɐpoː
കണ്ടപ്പോള്	kɐɳt̪ːɐpoːlɨ
കണ്ടപ്പോഴാണ്	kɑːɳt̪ːɑːpoːʐɑːm
കണ്ടപ്പോഴേ	kɐɳɖɐpoːɻe
കണ്ടപ്പോൾ	kɐɳɖɐpoːɭ
കണ്ടമാനം	kɑːɳt̪ɑːmɑːn̪
കണ്ടറിയാം	kɑːɳɖəɾiːjɑːm
കണ്ടല്	kaɳɖɐl
കണ്ടല്ലേ	kɑːɳɖɑːlːɛː
കണ്ടല്ലോ	kɑːɳɖɑːɭːoː
കണ്ടശേഷം	kɑːɳɖɛːʃɑːm
കണ്ടഹാര്	kɑːɳɳɑːɾɑː
കണ്ടാ	kaɳɳaː
കണ്ടാണ്	kɑːɳtɑːm
കണ്ടായിരുന്നു	kɑːn̪t̪oːrɑː
കണ്ടായിരുന്നോ	kɐɳɳɐɾɨɳŋoː
കണ്ടാലറിയാം	kɑːɳt̪ɑːlɨɾijɑːm
കണ്ടാലും	kaɳɳaːlɯm
കണ്ടാലേ	kɑːɳt̪ɑːl̪eː
കണ്ടാലോ	kɑːɳt̪ɑːlɔ
കണ്ടാല്	kɑːɳtɑːl
കണ്ടാൽ	kɐɳɖɑːl
കണ്ടിടത്തോളം	kɑːn̪ɳiɖɐt̪ːoːlɑːm
കണ്ടിട്ടങ്ങനെ	kɑːɳt̪ːiŋɳe
കണ്ടിട്ടാ	kɑːɳʈiːt̪ɑː
കണ്ടിട്ടാണ്	kɑːɳʈiːtɑːm
കണ്ടിട്ടില്ല	kɐɳʈiɭːɭɐ
കണ്ടിട്ടില്ലല്ലോ	kaɳɖɪt̪ːɪlːɐɭːo
കണ്ടിട്ടില്ലാ	kɐɳɖɪt̪ːɪɭɭɑː
കണ്ടിട്ടില്ലാത്ത	kɐɳʈiːlɪɭɐːt̪ːʰ
കണ്ടിട്ടില്ലായിരുന്നു	kɐɳɖɪt̪ːɪɭːoːŋgɐː
കണ്ടിട്ടില്ലെന്ന്	kaɳɖɪt̪ːilːeɳː
കണ്ടിട്ടില്ലേ	kɑːɳʈiːɭːeː
കണ്ടിട്ടു	kɐɳɖɪt̪ːu
കണ്ടിട്ടും	kɑːɳʈiːd̪uːm
കണ്ടിട്ടുണ്ടല്ലോ	kɑːɳɖɪtːuŋɖɑːɭːoː
കണ്ടിട്ടുണ്ടാകില്ല	kɑːɳʈit̪uŋgɑːd̪ɑːkilːɨ
കണ്ടിട്ടുണ്ടാകും	kaɳɖɨtːuŋɖɨaːkum
കണ്ടിട്ടുണ്ടായിരുന്നില്ല	kɑːɳʈit̪uŋgɯɳɳɪɭɭɪl
കണ്ടിട്ടുണ്ടാവില്ല	kɑːɳʈiːt̪ːuɳɖɑːʋiɭː
കണ്ടിട്ടുണ്ടാവും	kɑːɳʈiːt̪ːuŋgɑːuːm
കണ്ടിട്ടുണ്ടെന്ന്	kɑːɳɖɪt̪ːuɳɖeːn̪n̪ə
കണ്ടിട്ടുണ്ടോ	kɑːɳɖɪt̪ːuɳɖoː
കണ്ടിട്ടുണ്ട്	kɐɳɖɪt̪ːuɭ̆t̪
കണ്ടിട്ടുമില്ല	kaɳɳiʈːumiɭːɭɐ
കണ്ടിട്ടുള്ള	kɐɳʈiːɭɭu
കണ്ടിട്ടുള്ളതാണ്	kɑːɳɖɪt̪ːuɭɭɐt̪ɑːm
കണ്ടിട്ടുള്ളതില്	kɑːɳʈiːlɨlɨtɨlɨ
കണ്ടിട്ടുള്ളതിൽ	kɑːɳɖɪt̪ːuɭːɨʈɨl
കണ്ടിട്ടുള്ളത്	kɑːɳʈiːɭɭɑːt̪
കണ്ടിട്ടുള്ളു	kɑːɳɖɪt̪ːuɭːu
കണ്ടിട്ടുള്ളൂ	kɐɳʈiːɭɯː
കണ്ടിട്ടേ	kɐɳɖɪt̪ːeː
കണ്ടിട്ടേയില്ല	kaɳɳiʈːeːɪɭːɪɭː
കണ്ടിട്ടൊരു	kɑːɳʈiːt̪ːoːɾu
കണ്ടിട്ടോ	kɑːɳʈiːt̪oː
കണ്ടിട്ട്	kɐɳʈiʈʈ
കണ്ടിരിക്കണം	kɑːɳɖiɾikkɑːɳɐ
കണ്ടിരിക്കും	kɑːɳɖiɾikːum
കണ്ടിരിക്കുന്നു	kaɳɖiɾɪjɐɳɳɐ
കണ്ടിരുന്ന	kɐɳɖɾiːɳc
കണ്ടിരുന്നത്	kɑːɳɖɾiːɳcːɑːt̪
കണ്ടിരുന്നില്ല	kɑːɳːɾiːɳːɪɭː
കണ്ടിരുന്നില്ലെങ്കിൽ	kɑːɳːɨɳːiɭːeŋːiɭː
കണ്ടിരുന്നു	kɐɳɖɨɳɳu
കണ്ടിരുന്നെങ്കിലോ	kɑːn̪d̪ɾiːʃeŋgiloː
കണ്ടിരുന്നെങ്കില്	kɐɳɖɾiːɳɳeŋkil
കണ്ടിരുന്നെങ്കിൽ	kɑːɳɳeːɳɳeːŋgɪɭ
കണ്ടിരുന്നോ	kɑːɳːɨɳːoː
കണ്ടില്ല	kɐɳɖɪɭː
കണ്ടില്ലല്ലോ	kɐɳɖɪllɐɭːo
കണ്ടില്ലാ	kɐɳɖɪɭɭɑː
കണ്ടില്ലാന്ന്	kaɳɖɪllaːɳ
കണ്ടില്ലെങ്കില്	kɐɳɖɪlːeŋkil
കണ്ടില്ലെന്നു	kaɳɖɪlːɛn̪n̪u
കണ്ടില്ലെന്ന്	kaɳɖɪlːeːn̪n̪ə
കണ്ടില്ലേ	kɑːɳɖɪɭːeː
കണ്ടീഷനിംഗ്	kɑːɳɖiːʃɑːniŋg
കണ്ടീഷന്	kɑːɳɖiːʃɑːnɯ
കണ്ടു	kɐɳɖu
കണ്ടും	kɐɳɖuṃ
കണ്ടുകഴിഞ്ഞു	kaɳɖʊkɐʐiɳɳu
കണ്ടുകാണും	kɑːɳɖʊkɑːɳɯm
കണ്ടുകൂടെ	kaːɳɖuːɳeː
കണ്ടുകൊണ്ട്	kɐɳɖʊkoːɳʈ
കണ്ടുപിടിക്കണം	kaɳɖupiɖikaɳa
കണ്ടുപിടിക്കണ്ടേ	kaɳɖupiɖikaɳɳe
കണ്ടുപിടിക്കാം	kaɳɖupiɖikaːm
കണ്ടുപിടിക്കാനുള്ള	kaɳɖupiɖikaːɳuɭɭɨ
കണ്ടുപിടിക്കാന്	kaɳɖupiɖikaːɳ
കണ്ടുപിടിക്കാൻ	kɑːɳɖupiɖikaːɳ
കണ്ടുപിടിക്കും	kɑːɳɖupiɖikuːm
കണ്ടുപിടിക്കുക	kaɳɖupiɖikːu
കണ്ടുപിടിക്കുന്നത്	kaɳɖupiɖiŋŋɐt̪
കണ്ടുപിടിക്കുമെന്ന്	kaːɳɖupiɖiːkumɛnːə
കണ്ടുപിടിക്കൂ	kaɳɖupiɖikuː
കണ്ടുപിടിക്കേണ്ടത്	kaɳɖupiɖikeːɳɖɐt̪
കണ്ടുപിടിക്ക്	kaɳɖupiɖik
കണ്ടുപിടിച്ച	kɑːɳɖupiɖiʧːɑ
കണ്ടുപിടിച്ചത്	kaɳɖupiɖit̪t̪ə
കണ്ടുപിടിച്ചപ്പോള്	kɑːɳɖʊpiɖiʧɐpːoːlɐ
കണ്ടുപിടിച്ചല്ലോ	kɑːɳɖupiɖitʃɑːɭːoː
കണ്ടുപിടിച്ചാല്	kɑːɳɖʉpiɖiʧɑːlɑː
കണ്ടുപിടിച്ചാൽ	kɑːɳɖupiɖitʃɑːl̪
കണ്ടുപിടിച്ചിട്ടുണ്ട്	kaːɳɖupiɖiʧːiɳʈu
കണ്ടുപിടിച്ചിരിക്കും	kɑːɳɖʉpiɖiʈiɾikɨm
കണ്ടുപിടിച്ചു	kɑːɳɖupiɖitʃu
കണ്ടുപിടിച്ചോ	kɐɳɖupiɖitʃo
കണ്ടുപിടിച്ചോളാം	kɑːɳɖʊpiɖiʧːoːɭɑːm
കണ്ടുപിടിച്ചോളും	kɑːɳɖupiɖitʃoːlɯm
കണ്ടുപിടിച്ച്	kɑːɳɖupiɖit̪tʃʰ
കണ്ടുപിടിത്തം	kɑːɳɖupiɖit̪ːɑːm
കണ്ടുപിടുത്തം	kaɳɖupiɖuʈːam
കണ്ടുപോകരുത്	kɑːɳɖʊpoːkɑɾʊt̪
കണ്ടുമുട്ടാം	kɐɳɖumːuɖɐm
കണ്ടുമുട്ടാന്	kɑːɳɖumːuɖɑːnɑː
കണ്ടുമുട്ടി	kɑːɳɖumːuɖːi
കണ്ടുമുട്ടിയ	kɑːɳɖumːuɖiː
കണ്ടുമുട്ടിയതില്	kɑːɳɖumːuɖːiɖiːl
കണ്ടുമുട്ടിയത്	kɑːɳɖumːuɖːijɑːt̪
കണ്ടുമുട്ടിയപ്പോള്	kaɳɖumːuɖːijappoːɭ
കണ്ടുമുട്ടിയിട്ടില്ല	kaːɳɖumːuɖːiʈːiɭːɭɐ
കണ്ടുമുട്ടിയിരുന്നു	kaɳɖumːuɖːiɳːuɳːu
കണ്ടുമുട്ടും	kaɳɖumːuɖu
കണ്ടുമുട്ടുക	kɑːɳɖumːuɖug
കണ്ടുമുട്ടുന്ന	kɑːɳɖumːuɖun̪
കണ്ടുമുട്ടുന്നത്	kɑːɳɖumːuɖɳɳɛːt̪ː
കണ്ടുമുട്ടുന്നു	kɑːɳɖumːuɖuɳɳu
കണ്ടുമുട്ടുമെന്ന്	kaɳɖumːuɖumenː
കണ്ടുമുട്ടുമ്പോള്	kɑːɳɖumːuɖumbɯːɭ
കണ്ടുള്ളൂ	kɑːɳɖuːlːuː
കണ്ടുവെച്ചിട്ടുണ്ട്	kɑːɳɖuʋeːtʃːit̪t̪uɭ̥t̪u
കണ്ടുവോ	kɑːɳɖʋoː
കണ്ടൂ	kaɳɳuː
കണ്ടൂടെ	kɐɳɖuːt̪e
കണ്ടൂടേ	kaɳɳɖuːteː
കണ്ടെങ്കിൽ	kaɳɳeŋkil
കണ്ടെടുത്തത്	kaɳɳeɖuʈːɨʈʈɨ
കണ്ടെടുത്തു	kɑːn̪d̪eɖuːt̪ːu
കണ്ടെത്തട്ടെ	kɑːɳɳeːt̪ːe
കണ്ടെത്തണം	kɐɳɖet̪ːəɳɐ
കണ്ടെത്തണമായിരുന്നു	kɑːɳɳɛt̪ːɳɐjɪːɳɐ
കണ്ടെത്തണമെങ്കില്	kɐɳɳeːʈːɐmɛŋkil
കണ്ടെത്തണമെന്ന്	kɑːɳɳeːt̪ːəmeːn̪ː
കണ്ടെത്തലാണ്	kɐɳɖeːt̪t̪ɐːm
കണ്ടെത്തലുകള്	kɑːɳɳeːt̪ːɑːlɯgɑːl
കണ്ടെത്തല്	kɑːɳɳeːt̪t̪ɑːl
കണ്ടെത്താം	kaɳɳeːt̪ːaːm
കണ്ടെത്താനാകും	kaɳɳeːt̪ːaːn̪aːkum
കണ്ടെത്താനാണ്	kɑːn̪d̪eːt̪ːɑːnɑːm
കണ്ടെത്താനായാല്	kɑːɳɖeːt̪ːɑːnɑːjɑːl
കണ്ടെത്താനായി	kɑːɳɖeːt̪ːɑːɳɑːi
കണ്ടെത്താനായിട്ടില്ല	kɑːɳɖeːt̪ːɑːnɑːjɪt̪ːɪɭː
കണ്ടെത്താനായില്ല	kɑːɳɳeːt̪ːɑːɳɑːjɪɭ̪ː
കണ്ടെത്താനായില്ലെങ്കില്	kaɳɳeːt̪ːɑːɑɲɑɲilːeŋkil
കണ്ടെത്താനാവില്ല	kɑːɳɖeːt̪ːɑːɑːʋiɭː
കണ്ടെത്താനാവും	kaɳɳeʈʈaːvaːm
കണ്ടെത്താനും	kɐɳɖet̪ːɐnɨm
കണ്ടെത്താനുള്ള	kaɳɳeːt̪ːaːnuɭː
കണ്ടെത്താന്	kɑːn̪d̪eːt̪ːɑːn̪
കണ്ടെത്താൻ	kaɳɳeːt̪ːaːɳ
കണ്ടെത്തി	kɐɳɖeːt̪t̪i
കണ്ടെത്തിക്കൊള്ളാം	kɑːɳɳeːt̪ːikɔːɭːɑːm
കണ്ടെത്തിയ	kɐɳɖeːt̪ːiʝɐ
