㔂	lan˨˦
叔伯的	tsik˨peʔ˨e˨˦
叔公	tsik˨koŋ˥˥
叔孫	tsik˨sun˥˥
取	tsʰu˥˧
取代	tsʰu˥˧tai˧˧
取得	tsʰu˥˧tit˨
取景	tsʰu˥˧kiŋ˥˧
取消	tsʰu˥˧siau˥˥
取締	tsʰu˥˧te˨˩
受	siu˧˧
受債	siu˧˧tse˨˩
受傷	siu˧˧sioŋ˥˥
受刑人	siu˧˧hiŋ˨˦dzin˨˦
受困	siu˧˧kʰun˨˩
受害	siu˧˧hai˧˧
受害者	siu˧˧hai˧˧tsia˥˧
受教	siu˧˧kau˨˩
受氣	siu˧˧kʰi˨˩
受理	siu˧˧li˥˧
受當袂起	siu˧˧toŋ˥˥be˧˧kʰi˥˧
受益	siu˧˧ik˨
受罪	siu˧˧tsue˧˧
受苦	siu˧˧kʰɔ˥˧
受袂起	siu˧˧be˧˧kʰi˥˧
受訓	siu˧˧hun˨˩
受訓了後	siu˧˧hun˨˩liau˥˧au˧˧
受託人	siu˧˧tʰok˨dzin˨˦
受限	siu˧˧han˧˧
受難	siu˧˧lan˧˧
受騙	siu˧˧pʰian˨˩
叛亂	puan˧˧luan˧˧
口	kʰau˥˧
口供	kʰau˥˧kiŋ˥˥
口味	kʰau˥˧bi˧˧
口座	kʰau˥˧tso˧˧
口才	kʰau˥˧tsai˨˦
口服	kʰau˥˧hok˨
口氣	kʰau˥˧kʰi˨˩
口灶	kʰau˥˧tsau˨˩
口琴	kʰau˥˧kʰim˨˦
口白	kʰau˥˧peʔ˦
口號	kʰau˥˧ho˧˧
口試	kʰau˥˧tsʰi˨˩
口語	kʰau˥˧gi˥˧
口譯	kʰau˥˧ik˦
口面	kʰau˥˧bin˧˧
口音	kʰau˥˧im˥˥
口頭	kʰau˥˧tʰau˨˦
古	kɔ˥˧
古亭	kɔ˥˧tiŋ˨˦
古今	kɔ˥˧kim˥˥
古代	kɔ˥˧tai˧˧
古典	kɔ˥˧tian˥˧
古冊	kɔ˥˧tsʰeʔ˨
古厝	kɔ˥˧tsʰu˨˩
古堡	kɔ˥˧po˥˧
古怪	kɔ˥˧kuai˨˩
古意	kɔ˥˧i˨˩
古意人	kɔ˥˧i˨˩laŋ˨˦
古早	kɔ˥˧tsa˥˧
古早味	kɔ˥˧tsa˥˧bi˧˧
古早時代	kɔ˥˧tsa˥˧si˨˦tai˧˧
古早有的老大人會家己買大厝	kɔ˥˧tsa˥˧u˧˧e˨˦lau˧˧tua˧˧laŋ˨˦e˧˧ka˥˥ki˧˧be˥˧tua˧˧tsʰu˨˩
古書	kɔ˥˧tsu˥˥
古板	kɔ˥˧pan˥˧
古物	kɔ˥˧but˦
古物商	kɔ˥˧but˦sioŋ˥˥
古老	kɔ˥˧lo˥˧
古董	kɔ˥˧toŋ˥˧
古蹟	kɔ˥˧tsik˨
古都	kɔ˥˧tɔ˥˥
古錐	kɔ˥˧tsui˥˥
句	ku˨˩
句讀	ku˨˩tau˧˧
句點	ku˨˩tiam˥˧
另外	liŋ˧˧gua˧˧
另工	liŋ˧˧kaŋ˥˥
另日	liŋ˧˧dzit˦
另日咱才做伙食飯	liŋ˧˧dzit˦lan˥˧tsiaʔ˨tso˨˩hue˥˧tsiaʔ˦pŋ˥˥
叨	lo˥˥
叨錢	lo˥˥tsĩ˨˦
叩	kʰau˨˩
叩謝	kʰau˨˩sia˧˧
叩頭	kʰau˨˩tʰau˨˦
叩首	kʰio˨˩siu˥˧
只	tsi˥˧
只不過	tsi˥˧put˨ko˨˩
只好	tsi˥˧ho˥˧
只好暫時去做臨時工	tsi˥˧ho˥˧tsiam˧˧si˨˦kʰi˨˩tso˨˩lim˨˦si˨˦kaŋ˥˥
只好沓沓仔卯	tsi˥˧ho˥˧tauʔ˦tauʔ˦a˥˧mauʔ˨
只是	tsi˥˧si˧˧
只是一屑仔小意思爾爾	tsi˥˧si˧˧tsit˦sut˨a˥˧sio˥˧i˨˩su˨˩nia˧˧nia˧˧
只有	tsi˥˧u˧˧
只要	tsi˥˧iau˨˩
只要有你	tsi˥˧iau˨˩u˧˧li˥˧
叫	kio˨˩
叫你莫	kio˨˩li˥˧mai˨˩
叫做	kio˨˩tso˨˩
叫客	kio˨˩kʰeʔ˨
叫我欲按怎活落去	kio˨˩gua˥˧beʔ˨an˥˧tsũã˥˧uaʔ˦loʔ˨kʰi˨˩
叫是	kio˨˩si˧˧
叫毋敢	kio˨˩m˥˥kã˥˧
叫苦	kio˨˩kʰɔ˥˧
叫苦連天	kio˨˩kʰɔ˥˧lian˨˦tʰian˥˥
叫菜	kio˨˩tsʰai˨˩
叫車	kio˨˩tsʰia˥˥
叫門	kio˨˩mŋ˥˥
召喚	tiau˨˩huan˨˩
召鏡	tiau˨˩kĩã˨˩
召開	tiau˨˩kʰui˥˥
召集	tiau˨˩tsip˦
召集令	tiau˨˩tsip˦liŋ˧˧
叮	tiŋ˥˥
叮	tiŋ˨˩
叮嚀	tiŋ˥˥liŋ˨˦
可	kʰo˥˧
可以	kʰo˥˧i˥˧
可取	kʰo˥˧tsʰu˥˧
可可仔	kʰɔ˥˥kʰɔ˥˧aʔ˨
可怕	kʰo˥˧pʰa˨˩
可惜	kʰo˥˧sioʔ˨
可惡	kʰo˥˧õ˨˩
可惱	kʰo˥˧nau˥˧
可愛	kʰo˥˧ai˨˩
可憐	kʰo˥˧lian˨˦
可憐代	kʰo˥˧lian˨˦tai˧˧
可比	kʰo˥˧pi˥˧
可疑	kʰo˥˧gi˨˦
可能	kʰo˥˧liŋ˨˦
可見	kʰo˥˧kian˨˩
可貴	kʰo˥˧kui˨˩
可靠	kʰo˥˧kʰo˨˩
台	tai˨˦
台斤	tai˨˦kin˥˥
台詞	tai˨˦su˨˦
台長	tai˨˦tĩũ˥˧
史學	su˥˧hak˦
史料	su˥˧liau˧˧
司令	su˥˥liŋ˧˧
司儀	su˥˥gi˨˦
司公	sai˥˥koŋ˥˥
司公仔象桮	sai˥˥koŋ˥˥a˥˧sĩũ˧˧pue˥˥
司公壇	sai˥˥koŋ˥˥tũã˨˦
司公鈃	sai˥˥koŋ˥˥giaŋ˥˥
司奶	sai˥˥nai˥˥
司機	su˥˥ki˥˥
司法	su˥˥huat˨
司長	su˥˥tĩũ˥˧
各人	kok˨laŋ˨˦
各人有各人的心意	kok˨laŋ˨˦u˧˧kok˨laŋ˨˦e˨˦sim˥˥i˨˩
各位	kok˨ui˧˧
各國	kok˨kok˨
各地	kok˨te˧˧
各樣	koʔ˨ĩũ˧˧
各界	kok˨kai˨˩
各種	kok˨tsioŋ˥˧
各行各業	kok˨haŋ˨˦kok˨giap˦
各馝	kok˨piʔ˨
合	hap˦
合	haʔ˦
合	kap˨
合仔趁	hap˦a˥˧tʰan˨˩
合作	hap˦tsok˨
合併	hap˦piŋ˨˩
合倚	hap˦ua˥˧
合力	hap˦lik˦
合味	haʔ˦bi˧˧
合唱	hap˦tsʰĩũ˨˩
合喙	hap˦tsʰui˨˩
合奏	hap˦tsau˨˩
合家	hap˦ka˥˥
合成	hap˦siŋ˨˦
合掌	hap˦tsioŋ˥˧
合格	hap˦keʔ˨
合法	hap˦huat˨
合理	hap˦li˥˧
合用	haʔ˦iŋ˧˧
合算	hap˦sǹg1
合約	hap˦iok˨
合股	hap˦kɔ˥˧
合興	hap˦hiŋ˥˥
合計	hap˦ke˨˩
合該	hap˦kai˥˥
合該然	hap˦kai˥˥dzian˨˦
合資	hap˦tsu˥˥
合軀	haʔ˦su˥˥
合輯	hap˦tsip˦
合辦	hap˦pan˧˧
吉	kiat˨
吉兆	kiat˨tiau˧˧
吉凶	kiat˨hioŋ˥˥
吉安	kiat˨an˥˥
吉日	kiat˨dzit˦
吉普	dzi˨˩puʔ˨
吉祥	kiat˨sioŋ˨˦
吊	tiau˨˩
吊䘥仔	tiau˨˩kaʔ˨a˥˧
吊傷	tiau˨˩sioŋ˥˥
吊大筒	tiau˨˩tua˧˧taŋ˨˦
吊槔	tiau˨˩ɔ˥˥
吊橋	tiau˨˩kio˨˦
吊死	tiau˨˩si˥˧
吊猴	tiau˨˩kau˨˦
吊癀	tiau˨˩hoŋ˨˦
吊籃	tiau˨˩na˨˦
吊脰	tiau˨˩tau˧˧
吊膏	tiau˨˩ko˥˥
吊車	tiau˨˩tsʰia˥˥
吊車尾	tiau˨˩tsʰia˥˥bue˥˧
吊頷	tiau˨˩am˧˧
吊鬼仔	tiau˨˩kui˥˧a˥˧
吊鼎	tiau˨˩tĩã˥˧
同	toŋ˨˦
同事	toŋ˨˦su˧˧
同仁	toŋ˨˦dzin˨˦
同伴	toŋ˨˦pʰũã˧˧
同僚	toŋ˨˦liau˨˦
同姒仔	taŋ˨˦sai˧˧a˥˧
同學	toŋ˨˦hak˦
同學攏四散去矣	toŋ˨˦hak˦loŋ˥˧si˨˩sũã˨˩kʰi˨˩aʔ˨
同居	toŋ˨˦ki˥˥
同年	taŋ˨˦ni˨˦
同心	toŋ˨˦sim˥˥
同志	toŋ˨˦tsi˨˩
同性	toŋ˨˦siŋ˨˩
同情	toŋ˨˦tsiŋ˨˦
同意	toŋ˨˦i˨˩
同感	toŋ˨˦kam˥˧
同時	toŋ˨˦si˨˦
同業	toŋ˨˦giap˦
同樂	toŋ˨˦lok˨
同窗	toŋ˨˦tsʰoŋ˥˥
同胞	toŋ˨˦pau˥˥
同行	toŋ˨˦haŋ˨˦
同門	taŋ˨˦mŋ˥˥
同齊	taŋ˨˦tse˨˦
名	biŋ˨˦
名	mia˨˦
名冊	mia˨˦tsʰeʔ˨
名利	biŋ˨˦li˧˧
名勝	biŋ˨˦siŋ˨˩
名單	mia˨˦tũã˥˥
名字	mia˨˦dzi˧˧
名望	biŋ˨˦boŋ˧˧
名條	mia˨˦tiau˨˦
名次	mia˨˦tsʰu˨˩
名片	biŋ˨˦pʰĩ˨˩
名牌	mia˨˦pai˨˦
名產	biŋ˨˦san˥˧
名稱	mia˨˦tsʰiŋ˥˥
名簿	mia˨˦pʰɔ˧˧
名義	biŋ˨˦gi˧˧
名聲	mia˨˦sĩã˥˥
名聲迵四海	mia˨˦sĩã˥˥tʰaŋ˨˩su˨˩hai˥˧
名號	mia˨˦ho˧˧
名詞	mia˨˦su˨˦
名譽	biŋ˨˦u˧˧
名醫	biŋ˨˦i˥˥
名額	mia˨˦giaʔ˦
后里	au˧˧li˥˧
吐	tʰɔ˥˧
吐	tʰɔ˨˩
吐吐	tʰɔ˥˧tʰɔ˥˧
吐大氣	tʰɔ˥˧tua˧˧kʰui˨˩
吐憐涎	tʰɔ˨˩lian˨˦sian˨˦
吐氣	tʰɔ˥˧kʰui˨˩
吐目	tʰɔ˥˧bak˦
吐穗	tʰɔ˨˩sui˧˧
吐肉箭	tʰɔ˥˧baʔ˨tsĩ˨˩
吐腸頭	tʰɔ˥˧tŋ˥˥tʰau˨˦
吐舌	tʰɔ˥˧tsiʔ˦
吐血	tʰɔ˨˩hueʔ˨
向	hioŋ˨˩
向	hĩã˨˩
向	ã˨˩
向	ǹg1
向前	hioŋ˨˩tsian˨˦
向向	hĩã˨˩hĩã˨˩
向善	hioŋ˨˩sian˧˧
向時	hiaŋ˨˩si˨˦
向望	ǹg1baŋ˧˧
向腰	ã˨˩io˥˥
君	kun˥˥
君子	kun˥˥tsu˥˧
君王	kun˥˥oŋ˨˦
吞	tʰun˥˥
吞忍	tʰun˥˥lun˥˧
吟	gim˨˦
吟唱	gim˨˦tsʰĩũ˨˩
吟詩	gim˨˦si˥˥
吠	pui˧˧
否定	hõ˥˧tiŋ˧˧
否決	hõ˥˧kuat˨
否認	hõ˥˧dzin˧˧
吧台	pa˥˥tai˨˦
吩咐	huan˥˥hu˨˩
含	kam˨˦
含	kã˨˦
含冤	ham˨˦uan˥˥
含意	ham˨˦i˨˩
含梢	ham˨˦sau˥˥
含笑	ham˨˦tsʰiau˨˩
含血霧天	kam˨˦hueʔ˨bu˧˧tʰĩ˥˥
含量	ham˨˦lioŋ˧˧
吭	kʰoŋ˧˧
吭	kʰŋʔ˨
吭跤翹	kʰoŋ˧˧kʰa˥˥kʰiau˨˩
吮	tshńg1
吱	ki˥˥
吳郭魚	ŋɔ˨˦kueʔ˨hi˨˦
吵	tsʰa˥˧
吵家抐宅	tsʰa˥˧ke˥˥la˧˧tʰeʔ˦
吵家抐計	tsʰa˥˧ke˥˥la˧˧ke˨˩
吵抐	tsʰa˥˧la˧˧
吵鬧	tsʰa˥˧nau˧˧
吶	na˧˧
吸	kʰip˨
吸引	kʰip˨in˥˧
吸收	kʰip˨siu˥˥
吸石	kʰip˨tsioʔ˨
吹	tsʰue˥˥
吹狗螺	tsʰue˥˥kau˥˧le˨˦
吹風	tsʰue˥˥hoŋ˥˥
吹風機	tsʰue˥˥hoŋ˥˥ki˥˥
吼	hau˥˧
呂洞賓	li˧˧toŋ˧˧pin˥˥
呃	eʔ˨
呆	tai˥˥
呈報	tʰiŋ˨˦po˨˩
呈現	tʰiŋ˨˦hian˧˧
告	ko˨˩
告別	ko˨˩piat˦
告白	ko˨˩peʔ˦
告知	ko˨˩ti˥˥
告示	ko˨˩si˧˧
告訴	ko˨˩sɔ˨˩
告辭	ko˨˩si˨˦
呔	tʰai˨˩
呔會	tʰai˨˩e˧˧
呔討	tʰai˨˩tʰo˥˧
呢	neʔ˨
呢	niʔ˨
周全	tsiu˥˥tsuan˨˦
周刊	tsiu˥˥kʰan˥˥
周到	tsiu˥˥to˨˩
周圍	tsiu˥˥ui˨˦
周密	tsiu˥˥bit˦
周至	tsiu˥˥tsi˨˩
周詳	tsiu˥˥sioŋ˨˦
周轉	tsiu˥˥tsuan˥˧
周邊	tsiu˥˥pĩ˥˥
呲	tsʰu˧˧
味	bi˧˧
味素	bi˧˧sɔ˨˩
味素粉	bi˧˧sɔ˨˩hun˥˧
味覺	bi˧˧kak˨
呵咾	o˥˥lo˥˧
呵咾甲會觸舌	o˥˥lo˥˧kaʔ˨e˧˧tak˨tsiʔ˦
呸	pʰui˨˩
呸瀾	pʰui˨˩nua˧˧
呸痰	pʰui˨˩tʰam˨˦
呸血	pʰui˨˩hueʔ˨
呸面	pʰui˨˩bin˧˧
呻	tsʰan˥˥
呼	hɔ˥˥
呼	kʰɔ˥˥
呼叫	hɔ˥˥kio˨˩
呼噎仔	kʰɔ˥˥uʔ˨a˥˧
呼噓仔	kʰɔ˥˥si˥˥a˥˧
呼應	hɔ˥˥iŋ˨˩
呼籲	hɔ˥˥iok˨
呼聲	hɔ˥˥sĩã˥˥
呼蛋	kʰɔ˥˥tũã˥˥
呼觱仔	kʰɔ˥˥pi˥˥a˥˧
呼請	hɔ˥˥tsʰĩã˥˧
呼音	hɔ˥˥im˥˥
命	biŋ˧˧
命	mia˧˧
命令	biŋ˧˧liŋ˧˧
命案	mia˧˧an˨˩
命理	mia˧˧li˥˧
命運	mia˧˧un˧˧
命題	biŋ˧˧te˨˦
呾	tã˨˩
呿呿嗽	kʰuʔ˨kʰuʔ˨sau˨˩
咂	tsap˦
咂咂叫	tsap˦tsap˦kio˨˩
咇咇掣	pʰiʔ˦pʰiʔ˦tsʰuaʔ˨
咇噗跳	pʰiʔ˦pʰok˨tʰiau˨˩
和	ham˧˧
和	ho˨˦
和仁	ho˨˦dzin˨˦
和好	ho˨˦ho˥˧
和尚	hue˨˦sĩũ˧˧
和尚頭掠蝨母	hue˨˦sĩũ˧˧tʰau˨˦liaʔ˦sat˨bo˥˧
和平	ho˨˦piŋ˨˦
和氣	ho˨˦kʰi˨˩
和睦	ho˨˦bok˨
和解	ho˨˦kai˥˧
和諧	ho˨˦hai˨˦
和順	ho˨˦sun˧˧
和齊	ho˨˦tse˨˦
咒	tsiu˨˩
咒罵	tsiu˨˩me˧˧
咒誓	tsiu˨˩tsua˧˧
咒讖	tsiu˨˩tsʰam˨˩
咖哩	ka˥˥li˥˧
咖哩嗹囉	ka˥˥li˥˧lian˨˦lo˨˦
咖啡	ka˥˥pi˥˥
咖啡色	ka˥˥pi˥˥sik˨
咧	leʔ˨
咧	teʔ˨
咧欲	teʔ˨beʔ˨
咩	meʔ˨
咬	ka˧˧
咬人三寸深	ka˧˧laŋ˨˦sã˥˥tsʰun˨˩tsʰim˥˥
咬喙	ka˧˧tsʰui˨˩
咬喙齒根	ka˧˧tsʰui˨˩kʰi˥˧kin˥˥
咬布袋	ka˧˧pɔ˨˩te˧˧
咬舌	ka˧˧tsiʔ˦
咯	kok˨
咯	kʰak˦
咯痰	kʰak˦tʰam˨˦
咯血	kʰak˦hueʔ˨
咱	lan˥˧
咱人	lan˥˧laŋ˨˦
咱人歹代誌毋通做	lan˥˧laŋ˨˦pʰãĩ˥˧tai˧˧tsi˨˩m˥˥tʰaŋ˥˥tso˨˩
咱兜少缺！	lan˥˧tau˥˥tsio˥˧khueh!1
咱共伊鬥分伻淡薄仔	lan˥˧ka˧˧i˥˥tau˨˩pun˥˥pʰẽ˥˥tam˧˧poʔ˨a˥˧
咱國家的元首叫做總統	lan˥˧kok˨ka˥˥e˨˦guan˨˦siu˥˧kio˨˩tso˨˩tsoŋ˥˧tʰoŋ˥˧
咱已經品好矣	lan˥˧i˥˧kiŋ˥˥pʰin˥˧ho˥˧aʔ˨
咱愛包禮共伊入厝	lan˥˧ai˨˩pau˥˥le˥˧ka˧˧i˥˥dzip˦tsʰu˨˩
咱愛好好仔招待人客	lan˥˧ai˨˩ho˥˧ho˥˧a˥˧tsiau˥˥tʰai˧˧laŋ˨˦kʰeʔ˨
咱愛靠家己的力量拚出咱家己的前途	lan˥˧ai˨˩kʰo˨˩ka˥˥ki˧˧e˨˦lik˦lioŋ˧˧pĩã˨˩tsʰut˨lan˥˧ka˥˥ki˧˧e˨˦tsian˨˦tɔ˨˦
咱攏是熟似人	lan˥˧loŋ˥˧si˧˧sik˦sai˧˧laŋ˨˦
咱會佇遮相拄	lan˥˧e˧˧ti˧˧tsia˥˥sio˥˥tu˥˧
咱著愛綴會著社會的改變	lan˥˧tioʔ˨ai˨˩tue˨˩e˧˧tioʔ˨sia˧˧hue˧˧e˨˦kai˥˧pian˨˩
咱規庄頭攏總有五百戶	lan˥˧kui˥˥tsŋ˥˥tʰau˨˦loŋ˥˧tsoŋ˥˧u˧˧gɔ˧˧paʔ˨hɔ˧˧
咱蹛這角圍仔	lan˥˧tua˨˩tsit˨kak˨ui˨˦a˥˧
咳嗽	ka˥˥sau˨˩
咻	hiu˥˥
咻咻叫	hiu˥˥hiu˥˥kio˨˩
哀	ai˥˥
哀傷	ai˥˥sioŋ˥˥
哀怨	ai˥˥uan˨˩
哀求	ai˥˥kiu˨˦
哀爸叫母	ai˥˥pe˧˧kio˨˩bu˥˧
品	pʰin˥˧
品並	pʰin˥˧pʰiŋ˧˧
品明	pʰin˥˧biŋ˨˦
品牌	pʰin˥˧pai˨˦
品種	pʰin˥˧tsiŋ˥˧
品管	pʰin˥˧kuan˥˧
品行	pʰin˥˧hiŋ˧˧
品質	pʰin˥˧tsit˨
哈	ha˥˥
哈唏	haʔ˨hi˨˩
哈啾	haʔ˨tsʰĩũ˨˩
哈瑪星	ha˥˧ma˥˧siŋ˥˥
哎	aih˨
哎喲喂	ai˥˥io˧˧ue˨˦
員	uan˨˦
員外	uan˨˦gue˧˧
員工	uan˨˦kaŋ˥˥
員林	uan˨˦lim˨˦
員警	uan˨˦kiŋ˥˧
哥	ko˥˥
哥哥	ko˥˥koʔ˨
哩	liʔ˨
哩	mai˥˥
哩哩囉囉	li˥˥li˥˥lo˥˥lo˥˥
哪	na˥˧
哪會	na˥˧e˧˧
哪會使反悔	na˥˧e˧˧sai˥˧huan˥˧hue˥˧
哪會未曾未就共大壽買好矣	na˥˧e˧˧bue˧˧tsiŋ˨˦bue˧˧to˧˧ka˧˧tua˧˧siu˧˧be˥˧ho˥˧aʔ˨
哪會無代無誌共人拍	na˥˧e˧˧bo˨˦tai˧˧bo˨˦tsi˨˩ka˧˧laŋ˨˦pʰaʔ˨
哪有通曝乾	na˥˧u˧˧tʰaŋ˥˥pʰak˦kũã˥˥
哪未	na˥˧bue˧˧
哪毋	na˥˧m˥˥
哪著	na˥˧tioʔ˨
哪通	na˥˧tʰaŋ˥˥
哭	kʰau˨˩
哭呻	kʰau˨˩tsʰan˥˥
哭枵	kʰau˨˩iau˥˥
哭爸	kʰau˨˩pe˧˧
哭爸哭母	kʰau˨˩pe˧˧kʰau˨˩bu˥˧
哭調仔	kʰau˨˩tiau˧˧a˥˧
哭賴	kʰau˨˩lua˧˧
哭路頭	kʰau˨˩lɔ˧˧tʰau˨˦
哲學	tiat˨hak˦
哲學入門	tiat˨hak˦dzip˦mŋ˥˥
哲理	tiat˨li˥˧
哹	pu˥˥
哺	pɔ˧˧
哼	hãĩ˥˥
哼	hŋʔ˨
哼哼叫	hãĩ˥˥hãĩ˥˥kio˨˩
哽	kẽ˥˧
哽胿	kẽ˥˧kui˥˥
哽著	kẽ˥˧tioʔ˨
唅	hãʔ˨
唉	haih˨
唌	sĩã˨˦
唌人	sĩã˨˦laŋ˨˦
唐山	tŋ˥˥sũã˥˥
唐詩	toŋ˨˦si˥˥
唔	õ˥˥
唔唔睏	õ˥˥õ˥˥kʰun˨˩
唚	tsim˥˥
唚喙	tsim˥˥tsʰui˨˩
唬	hɔ˥˧
唬人	hɔ˥˧laŋ˨˦
唬秤頭	hɔ˥˧tsʰin˨˩tʰau˨˦
唭哩岸	ki˥˥li˥˧gan˧˧
售價	siu˧˧ke˨˩
唯一	ui˨˦it˨
唱	tsʰiaŋ˨˩
唱	tsʰĩũ˨˩
唱出	tsʰĩũ˨˩tsʰut˨
唱歌	tsʰĩũ˨˩kua˥˥
唱法	tsʰĩũ˨˩huat˨
唱片	tsʰĩũ˨˩pʰĩ˨˩
唱盤	tsʰĩũ˨˩pũã˨˦
唱聲	tsʰiaŋ˨˩sĩã˥˥
唷	ioʔ˨
唸	liam˧˧
唸歌	liam˧˧kua˥˥
唸謠	liam˧˧iau˨˦
啄	tok˨
啄鼻仔	tok˨pʰĩ˧˧a˥˧
啄龜	tok˨ku˥˥
商務	sioŋ˥˥bu˧˧
商品	sioŋ˥˥pʰin˥˧
商圈	sioŋ˥˥kʰuan˥˥
商場	sioŋ˥˥tĩũ˨˦
商家	sioŋ˥˥ka˥˥
商展	sioŋ˥˥tian˥˧
商店	sioŋ˥˥tiam˨˩
商業	sioŋ˥˥giap˦
商標	sioŋ˥˥pʰiau˥˥
商機	sioŋ˥˥ki˥˥
商用	sioŋ˥˥ioŋ˧˧
商船	sioŋ˥˥tsun˨˦
商行	sioŋ˥˥haŋ˨˦
商量	sioŋ˥˥lioŋ˨˦
商隊	sioŋ˥˥tui˧˧
啉	lim˥˥
啉水	lim˥˥tsui˥˧
啉水止喙焦	lim˥˥tsui˥˧tsi˥˧tsʰui˨˩ta˥˥
啉湯	lim˥˥tʰŋ˥˥
啉茶	lim˥˥te˨˦
啉酒	lim˥˥tsiu˥˧
啉酒醉	lim˥˥tsiu˥˧tsui˨˩
啊	aʔ˨
問	mŋ˥˥
問卷	bun˧˧kuan˨˩
問政	bun˧˧tsiŋ˨˩
問答	bun˧˧tap˨
問話	mŋ˥˥ue˧˧
問題	bun˧˧te˨˦
啖	tam˥˥
啖糝	tam˧˧sam˥˧
啞口	e˥˧kau˥˧
啟事	kʰe˥˧su˧˧
啟明	kʰe˥˧biŋ˨˦
啟發	kʰe˥˧huat˨
啟示	kʰe˥˧si˧˧
啥	sĩã˥˧
啥人	sĩã˥˧laŋ˨˦
啥人叫你大主大意做這件代誌	sĩã˥˧laŋ˨˦kio˨˩li˥˧tua˧˧tsu˥˧tua˧˧i˨˩tso˨˩tsit˨kĩã˧˧tai˧˧tsi˨˩
啥款	sĩã˥˧kʰuan˥˧
啥潲	sĩã˥˧siau˨˦
啥物	sĩã˥˧miʔ˨
啥物夭壽代誌做袂出來！	sĩã˥˧miʔ˨iau˥˧siu˧˧tai˧˧tsi˨˩tso˨˩be˧˧tsʰut˨lai!5
啥貨	sĩã˥˧hue˨˩
啦	laʔ˨
啼	tʰi˨˦
啼哭	tʰi˨˦kʰau˨˩
啼啼哭哭	tʰi˨˦tʰi˨˦kʰau˨˩kʰau˨˩
喀	kʰẽʔ˦
喀痰	kʰẽʔ˦tʰam˨˦
喂	eʔ˨
喂	ueʔ˨
喃	nauʔ˨
善	sian˧˧
善化	sian˧˧hua˨˩
善導寺	sian˧˧to˧˧si˧˧
善心	sian˧˧sim˥˥
善惡	sian˧˧ok˨
善意	sian˧˧i˨˩
善男信女	sian˧˧lam˨˦sin˨˩li˥˧
善良	sian˧˧lioŋ˨˦
喇叭	la˥˧paʔ˨
喈	kãĩ˥˥
喉滇	au˨˦tĩ˧˧
喉鐘	au˨˦tsiŋ˥˥
喉韻	au˨˦un˧˧
喊	han˥˧
喊	hiam˨˩
喋	tʰiʔ˦
喋詳	tʰiʔ˦sioŋ˨˦
喌	tsu˨˦
喑噁	ĩ˨˩õ˨˩
喓	ĩãũ˥˥
喔	ɔʔ˨
喘	tsʰuan˥˧
喘大氣	tsʰuan˥˧tua˧˧kʰui˨˩
喘氣	tsʰuan˥˧kʰui˨˩
喙	tsʰui˨˩
喙䫌	tsʰui˨˩pʰue˥˧
喙䫌肉	tsʰui˨˩pʰue˥˧baʔ˨
喙下斗	tsʰui˨˩e˧˧tau˥˧
喙共弓開才會當灌藥仔	tsʰui˨˩ka˧˧kiŋ˥˥kʰui˥˥tsiaʔ˨e˧˧taŋ˨˩kuan˨˩ioʔ˨a˥˧
喙凊	tsʰui˨˩tsʰin˨˩
喙卯卯	tsʰui˨˩mauʔ˨mauʔ˨
喙口	tsʰui˨˩kʰau˥˧
喙尾	tsʰui˨˩bue˥˧
喙斗	tsʰui˨˩tau˥˧
喙桮	tsʰui˨˩pue˥˥
喙歹上厲害	tsʰui˨˩pʰãĩ˥˧sioŋ˧˧li˧˧hai˧˧
喙殘	tsʰui˨˩tsũã˨˦
喙水	tsʰui˨˩sui˥˧
喙瀾	tsʰui˨˩nua˧˧
喙焦	tsʰui˨˩ta˥˥
喙焦喉渴	tsʰui˨˩ta˥˥au˨˦kʰuaʔ˨
喙白	tsʰui˨˩peʔ˦
喙空	tsʰui˨˩kʰaŋ˥˥
喙笑目笑	tsʰui˨˩tsʰio˨˩bak˦tsʰio˨˩
喙箍	tsʰui˨˩kʰɔ˥˥
喙罨	tsʰui˨˩am˥˥
喙脣	tsʰui˨˩tun˨˦
喙脣皮	tsʰui˨˩tun˨˦pʰue˨˦
喙脣皮相款待	tsʰui˨˩tun˨˦pʰue˨˦sio˥˥kʰuan˥˧tʰai˧˧
喙臭	tsʰui˨˩tsʰau˨˩
喙舌	tsʰui˨˩tsiʔ˦
喙花	tsʰui˨˩hue˥˥
喙角	tsʰui˨˩kak˨
喙食	tsʰui˨˩tsiaʔ˦
喙飽目睭枵	tsʰui˨˩pa˥˧bak˦tsiu˥˥iau˥˥
喙鬚	tsʰui˨˩tsʰiu˥˥
喙齒	tsʰui˨˩kʰi˥˧
喙齒根	tsʰui˨˩kʰi˥˧kin˥˥
喙齒縫	tsʰui˨˩kʰi˥˧pʰaŋ˧˧
喜事	hi˥˧su˧˧
喜劇	hi˥˧kiok˨
喜宴	hi˥˧ian˨˩
喜帖	hi˥˧tʰiap˨
喜氣	hi˥˧kʰi˨˩
喜酒	hi˥˧tsiu˥˧
喝	huaʔ˨
喝咻	huaʔ˨hiu˥˥
喝拳	huaʔ˨kun˨˦
喝救人	huaʔ˨kiu˨˩laŋ˨˦
喝玲瑯	huaʔ˨lin˥˥loŋ˥˥
喝聲	huaʔ˨sĩã˥˥
喝起喝倒	huaʔ˨kʰi˥˧huaʔ˨to˥˧
喝魚仔	huaʔ˨hi˨˦a˥˧
