5	t
интуитиван	întuitiːʋan
интуитивно	întuitiːʋno
интуиција	intuǐːtsija
инфаман	ǐnfaːman
инфантилан	înfantiːlan
инфантилизам	infantilǐzam
инфантилно	înfantiːlno
инфаркт	ǐnfarkt
инфекција	infěktsija
инфериоран	înferioːran
инфериорно	înferioːrno
инфинитив	înfinitiːʋ
инфлација	inflǎːtsija
инфлацијски	inflǎːtsiːjski
инфлацијски	inflǎːtsiːjskiː
инфлексија	inflěksija
инфлоресценција	inflorestsěːntsija
информативан	înformatiːʋan
информативно	înformatiːʋno
информатика	informǎtika
информатичар	informǎtitʃaːr
информација	informǎːtsija
информирати	informǐːrati
информисан	imformissan
информисања	imformizsaɲa
инфраструктура	infrastruktǔːra
инфраструктурни	infrastrǔktuːrniː
инфрацрвен	ǐnfratsr̩ʋen
инфузија	ǐnfuːzija
инхалатор	inxǎlaːtor
инхалација	inxalǎːtsija
инхерентан	inxerěntan
инхибиција	inxibǐːtsija
инцест	ǐntsest
инцестуозан	întsestuoːzan
инцидент	intsǐdent
инч	întʃ
иншалах	ǐnʃalaːx
инјекција	injěktsija
инћун	ǐntɕuːn
иоле	îole
ионако	ionǎkoː
ипак	îpaːk
ирак	ǐraːk
иран	ǐraːn
иранац	irǎːnats
ирански	ǐraːnskiː
ирац	ǐːrats
ирационалан	îratsionaːlan
ирационализам	iratsionalǐzam
ирационално	îratsionaːlno
ирачанин	irǎːtʃanin
ирачанка	irǎːtʃaːnka
ирачки	ǐraːtʃki
ирачки	ǐraːtʃkiː
иреалан	îreaːlan
иреално	îreaːlno
иреалност	ireǎːlnoːst
иреверзибилан	îreʋerzibiːlan
иреверзибилност	ireʋerzibǐːlnoːst
ирегуларан	îregulaːran
иредентизам	iredentǐzam
ирелевантан	ireleʋǎntan
ирелевантно	ireleʋǎntno
иригација	irigǎːtsija
иритација	iritǎːtsija
иритирати	iritǐːrati
ироничан	irǒnitʃan
иронично	irǒnitʃno
иронија	iɾˈoːnija
ирска	îːrskaː
ирски	jrski
ирски	îːrskiː
ирха	ǐrxa
иселити	isěliti
исецати	isěːtsati
исељавати	iseʎǎːʋati
исећи	ǐsetɕi
исијецати	isijěːtsati
исказати	iskǎːzati
исказивати	iskazǐːʋati
исказница	ǐskaznitsa
искакати	iskǎːkati
искалити	iskǎːliti
искати	ǐskati
искашљавати	iskaʃʎǎːʋati
искашљати	iskǎʃʎati
искаљивати	iskaʎǐːʋati
искварити	iskʋǎːriti
искидати	iskǐːdati
искидати	ǐskidati
искитити	ǐskititi
искон	ǐskon
исконски	ǐskonskiː
ископавати	iskopǎːʋati
ископати	iskǒpati
искорак	îskoraːk
искоренити	iskorěːniti
искорењивати	iskoreɲǐːʋati
искористив	iskorǐstiʋ
искористивост	iskorǐstiʋoːst
искористити	iskorǐstiti
искориштавати	iskoriʃtǎːʋati
искоријенити	iskorjěːniti
искорјењивати	iskorjeɲǐːʋati
искочити	iskǒtʃiti
искра	îskra
искрадати	iskrǎːdati
искрасти	ǐskrasti
искрвавити	iskrʋǎːʋiti
искрварити	iskrʋǎːriti
искрен	îskren
искрено	îskreno
искреност	îskrenoːst
искрити	îskriti
искрица	îskritsa
искричав	îskritʃaʋ
искричаво	îskritʃaʋo
искрцавати	iskr̩tsǎːʋati
искрчивати	iskr̩tʃǐːʋati
искусан	îskuːsan
искусити	iskǔːsiti
искуствен	iskǔstʋen
искуство	iskǔːstʋo
искушавати	iskuʃǎːʋati
искушати	ǐskuʃati
искључив	iskʎǔtʃiʋ
искључивати	iskʎutʃǐːʋati
искључиво	iskiutʃivo
искључиво	iskʎǔtʃiʋo
искључивост	iskʎǔtʃiʋoːst
искључити	iskʎǔːtʃiti
ислам	ǐslaːm
исламизација	islamizǎːtsija
исламизирати	islamizǐːrati
исламски	ǐslaːmski
исламски	ǐslaːmskiː
исланд	ǐsland
исландски	ǐslandskiː
исланђанин	islǎːndʑanin
исмејавати	ismejǎːʋati
исмејати	ismějati
исмијавати	ismijǎːʋati
исмијати	ismǐjati
испадати	ǐspadati
испасти	ǐspasti
испатити	ǐspatiti
испећи	ǐspetɕi
испилити	ispǐːliti
испирати	ǐspirati
исписати	ispǐːsati
исписивати	ispisǐːʋati
испит	ispet
испит	ǐspit
испитати	ispǐːtati
испити	ǐspiti
испитивалац	ispitǐʋalats
испитивати	ispitǐːʋati
испитивач	ispitǐʋaːtʃ
испитивачки	ispitǐʋaːtʃkiː
испитивање	ispitǐːʋaːɲe
испитни	ǐspitniː
испијати	ispǐːjati
исплата	îsplata
исплатив	isplǎtiʋ
исплативост	isplǎtiʋoːst
исплатити	isplǎːtiti
исплаћивати	isplatɕǐːʋati
исплести	ǐsplesti
исплетати	ǐspletati
испливати	ǐspliʋati
испловити	isplǒʋiti
исповед	îspoʋeːd
исповест	ǐspoʋeːst
исповијед	îspoʋjeːd
исповијест	ǐspoʋjeːst
испод	îspod
испомоћ	îspomoːtɕ
испорука	îsporuka
испоручивати	isporutʃǐːʋati
испоручити	isporǔːtʃiti
испоставити	ispǒstaʋiti
испостављати	ispǒstaʋʎati
исправа	îspraʋa
исправак	ǐspraʋak
исправан	îspraːʋan
исправити	ǐspraʋiti
исправљати	ǐspraʋʎati
испражњавати	ispraʒɲǎːʋati
испразан	îspraːzan
испразнити	isprǎːzniti
испрати	ǐsprati
испред	îspred
испрести	ǐspresti
испричавати	ispritʃǎːʋati
испричате	ispriŋtʃate
испричати	isprǐːtʃati
испробати	isprǒːbati
испрљати	ispřːʎati
испунило	isˈpˈunilo
испунити	ǐspuniti
испустити	ispǔstiti
испухати	ispǔːxati
испушити	ǐspuʃiti
испуштати	ispǔːʃtati
испуњавати	ispuɲaˈvati
испуњавати	ispuɲǎːʋati
испуњив	ispǔɲiʋ
истакнут	ǐstaknuːt
истакнути	istǎknuti
истакнутост	ǐstaknuːtoːst
истанбул	ǐstanbul
истапати	istǎːpati
истарски	îstarski
истарски	îstarskiː
истаћи	ǐstatɕi
истека	istɛka
истеку	istɛku
истеравати	isterǎːʋati
истерати	ǐsterati
истеривати	isterǐːʋati
исти	istɪ
исти	îstiː
истина	îstina
истинит	îstinit
истинољубив	istinoʎǔbiʋ
истинољубивост	istinoʎǔbiʋoːst
истинољубље	îstinoʎuːbʎe
истински	îstiːnski
истински	îstiːnskiː
истицати	ǐstitsati
исто	istɔ
истобојан	îstoboːjan
истовар	îstoʋaːr
истоваривати	istoʋarǐːʋati
истоваривач	istoʋarǐʋaːtʃ
истоварити	istǒʋariti
истоверац	istǒʋerats
истоветан	istǒʋetan
истоветност	istǒʋetnoːst
истовремено	istǒʋremeno
истоврстан	istǒʋrstan
истовјерац	istǒʋjerats
истовјетан	istǒʋjetan
истовјетност	istǒʋjetnoːst
истодобан	istǒdoban
истодобно	istǒdobno
истодобност	istǒdobnoːst
истозначан	istǒznatʃan
истоимен	istǒimen
исток	istɔk
исток	ǐstok
истокрван	îstokrːʋan
истомишљеник	istǒmiʃʎeniːk
истомишљеништво	istǒmiʃʎeniːʃtʋo
истопити	istǒpiti
историја	ǐstoːrija
истородан	îstorodan
истородност	îstorodnoːst
истосмеран	îstosmeːran
истосмерно	îstosmeːrno
истосмјеран	îstosmjeːran
истосмјерно	îstosmjeːrno
источни	ǐstotʃniː
источно	ǐstotʃno
источњак	ǐstotʃɲaːk
истра	îstra
истрага	îstraga
истраживати	istraʒǐːʋati
истраживач	istraʒǐʋaːtʃ
истраживачки	istraʒǐʋaːtʃkiː
истраживање	istraʒivaɲiɛ
истраживање	istraʒǐːʋaːɲe
истражитељ	istrǎʒiteʎ
истражити	istrǎːʒiti
истранин	îstranin
истребити	istrěːbiti
истребљење	istrebʎěːɲe
истребљивати	istrebʎǐːʋati
истребљивач	istrebʎǐʋaːtʃ
истренирати	istrenǐːrati
истријебити	istrjěːbiti
истрошен	ǐstroʃen
истрошити	istrǒʃiti
иступати	istǔːpati
иступити	istǔːpiti
истући	ǐstuːtɕi
истјеравати	istjerǎːʋati
истјерати	ǐstjerati
истјеривати	istjerǐːʋati
исус	ǐsus
исуса	iːsusa
исусове	isusovɛ
исушивати	isuʃǐːʋati
исушити	isǔːʃiti
исхабати	ǐsxabati
исход	ǐsxod
исходиште	ǐsxodiːʃte
исхрана	îsxrana
исцедак	ǐstsedak
исцедити	istsěːditi
исцелитељ	istsěliteʎ
исцелити	istsěːliti
исцеђивати	istsedʑǐːʋati
исцељивати	istseʎǐːʋati
исциједити	istsijěːditi
исцијелити	istsijěːliti
исцрпан	îstsr̩pan
исцрпно	ǐstsr̩pno
исцрпљивати	istsr̩pʎǐːʋati
исцуривати	istsurǐːʋati
исцурити	istsǔːriti
исцједак	ǐstsjedak
исцјелитељ	istsjěliteʎ
исцјеђивати	istsjedʑǐːʋati
исцјељивати	istsjeʎǐːʋati
исјећи	ǐsjetɕi
италија	ǐtaːlija
италијан	italǐjaːn
италијан	italˈian
италијанка	italǐjaːnka
италијански	italǐjaːnski
италијански	italǐjaːnskiː
италски	ǐtalskiː
итеративан	îteratiːʋan
итко	îtko
их	ix
ихтиолог	ixtiǒlog
ихтиологија	ixtiolǒgija
ихтиолошки	ixtiǒloʃkiː
ич	itʃ
ичији	îtʃijiː
ишао	iʃau̯
ишао	iːʃa
ишарати	iʃǎːrati
ишарет	iʃǎːret
ишибати	îʃibati
ишта	îʃta
иштван	îʃtʋaːn
ишчупати	iʃtʃǔpati
иједанпут	ijedǎnput
иједном	ijědnoːm
ијекавац	ijěːkaʋats
ијекавица	ijěːkaʋitsa
ијекавка	ijěːkaːʋka
ијекавски	ijěːkaʋski
ијекавски	ijěːkaʋskiː
ијекавчев	ijěːkaʋtʃeʋ
ијекавштина	ijekǎːʋʃtina
иње	îːɲe
ићи	ǐtɕi
к	k
ка	kaːm
каба	kǎːba
кабао	kǎbao
кабаре	kabarêː
кабарет	kabǎret
кабел	kǎːbel
кабила	kabǐla
кабул	kǎːbul
кава	kâːʋa
кавана	kaʋǎna
кавга	kauˈga
кавга	kâːʋga
кавез	kǎʋez
кавказ	kǎʋkaz
кавкаски	kǎʋkaskiː
кад	kâd
кад	kâːd
када	kǎda
када	kǎːda
када	kˈadɐ
каденца	kaděntsa
кадет	kǎdeːt
кадеш	kǎdeʃ
кадило	kǎdilo
кадионица	kǎdionitsa
каже	kaʒe
кажете	kaʒate
кажипрст	kaʒɨprst
кажипрст	kaːʒiːprst
кажипрст	kǎʒiprst
кажњавати	kaʒɲǎːʋati
кажњеник	kâʒɲeniːk
кажњив	kǎʒɲiʋ
казалишни	kǎzaliːʃniː
казалиште	kǎzaliːʃte
казало	kǎzalo
казан	kǎzan
казати	kǎːzati
казахстан	kâzaxstaːn
казаљка	kǎzaːʎka
казивати	kazǐːʋati
казна	kâzna
казнени	kǎzneniː
казнено	kǎzneno
казнити	kâzniti
каин	kǎin
каиро	kǎiro
каиш	kaʲiʂ
каиш	kǎiʃ
какав	kǎkaːʋ
какаовац	kǎkaoʋats
какви	kakvi
каквоћа	kakʋǒtɕa
како	kâko
како	kǎko
какофоничан	kakofǒnitʃan
какофонично	kakofǒnitʃno
какофонија	kakofǒnija
кал	kâːl
калај	kalˈaj
калај	kǎlaj
калварија	kǎlʋaːrija
калвинизам	kalʋinǐzam
калем	kǎlem
калемити	kǎlemiti
калиграфија	kaligrǎfija
калити	kǎːliti
калиф	kǎliːf
калифорнија	kalifǒrnija
калифорнијски	kalifǒrniːjskiː
калк	kâlk
калкирати	kalkǐːrati
калкулатор	kalkǔlaːtor
калкулација	kalkulǎːtsija
калокагатија	kalokagǎtija
калуп	kǎlup
калуђер	kǎludʑer
калцијум	kaltsium
кам	kâːm
кама	kâma
кама	kâːma
камата	kâmata
каматни	kâmatniː
камбоџа	kambǒdʒa
камбоџански	kambǒdʒaːnskiː
камелеон	kameleõn
камелеон	kamelěoːn
камен	kâmeːn
каменац	kaměːnats
камени	kâmeniː
каменит	kaměnit
каменовати	kâmenoʋati
каменолом	kamenǒlom
камерун	kâmeruːn
камерунац	kamerǔːnats
камерунски	kâmeruːnskiː
камење	kǎmeːɲe
камила	kaːmiːwa
камила	kǎmila
камин	kǎmiːn
камион	kamǐoːn
камионски	kamǐoːnskiː
камионџија	kamiǒndʒija
камичак	kamǐːtʃak
камо	kâmo
камоли	kamɔli
камоли	kâmoli
кампанологија	kampanolǒgija
кампања	kampǎɲa
кампидољ	kampǐdoʎ
кампидољски	kampǐdoʎskiː
кампирати	kampǐːrati
кампућија	kampǔtɕija
камрикуша	kamrikuʃa
камуфлажа	kamuflǎːʒa
кан	kâːn
кана	kâna
кана	kǎna
канабис	kǎnabis
канада	kǎnada
канадски	kǎnadskiː
канал	kǎnaːl
канализација	kanalizǎːtsija
канализирати	kanalizǐːrati
каналски	kǎnaːlskiː
канап	kǎnaːp
канаринац	kanarǐːnats
канађанин	kanǎːdʑanin
канађанка	kanǎːdʑaːnka
кандела	kandɛla
кандидат	kandǐdaːt
кандидатура	kandidatǔːra
кандидирати	kandidǐːrati
кандило	kǎndilo
канибал	kǎnibal
канибализам	kanibalǐzam
канити	kǎːniti
канта	kǎːnta
кантата	kantat
кантонски	kantunski
кантонски	kǎntonskiː
кану	kǎnuː
канцелар	kantsělaːr
канцеларија	kantselǎrija
канцероген	kântserogeːn
канцерозан	kântseroːzan
канџа	kâːndʒa
канџија	kǎndʒija
као	kâo
каолин	kaǒliːn
каолинит	kaolǐniːt
каос	kâos
каотичан	kaǒtitʃan
каотично	kaǒtitʃno
капа	kâpa
капати	kâpati
капацитет	kapatsǐteːt
капела	kapěːla
капелан	kapělaːn
капелица	kapěːlitsa
капетан	kapětaːn
капилара	kapilǎːra
капирати	kapǐːrati
капиталан	kâpitaːlan
капиталистички	kapitalǐstitʃki
капиталистички	kapitalǐstitʃkiː
капитално	kâpitaːlno
капитулација	kapitulǎːtsija
капитулирати	kapitulǐːrati
капица	kâpitsa
капија	kǎpija
каплар	kâplaːr
капнути	kâpnuti
каприц	kǎprits
каприциозан	kâpritsioːzan
каприциозно	kâpritsioːzno
каприциозност	kapritsiǒːznoːst
капура	kǎpura
капут	kǎpuːt
капуљача	kapǔʎatʃa
капљица	kâpʎitsa
караван	karǎʋaːn
каравана	karaʋǎna
каравански	karǎʋaːnskiː
карактеран	karǎkteːran
карактеристика	karakterǐstika
карактеристика	karaktɛristika
карактеристичан	karakterǐstitʃan
карантена	karantěːna
каранфил	karaːnfil
каранфил	karǎnfil
каранфилић	karanfǐlitɕ
карати	kaːraːti
карати	kǎːrati
карбоксилан	kârboksiːlan
карбонат	karbǒnaːt
кардинал	kardǐnaːl
кардиналски	kardǐnaːlski
кардиналски	kardǐnaːlskiː
кардиолог	kardiǒlog
кардиологија	kardiolǒgija
кардиолошки	kardiǒloʃki
кардиолошки	kardiǒloʃkiː
каризма	karǐzma
каризматичан	karizmǎtitʃan
каризматично	karizmǎtitʃno
каризматичност	karizmǎtitʃnoːst
карика	kǎrika
карикатура	karikatǔːra
карикатурист	karikatǔrist
карикатуристички	karikaturǐstitʃkiː
карипски	kǎripskiː
кариран	kǎriːran
каријера	karijěːra
каријес	kâːrijes
карлица	kǎrlitsa
карловац	kâːrloʋats
карловци	karlo˩˥ːtsi
карловци	kɑrlovtsi
карма	kârma
кармелићанин	karmelǐːtɕanin
кармелићанка	karmelǐːtɕaːnka
карневал	karněʋaːl
карневалски	karněʋaːlski
карневалски	karněʋaːlskiː
каросерија	karosěrija
карпати	karpǎːti
карпатски	kǎrpaːtskiː
карпуза	kǎrpuza
карта	kart̪a
карта	kâːrta
картати	kâːrtati
карташ	kǎrtaːʃ
картел	kǎrtel
картица	kǎrtitsa
картограф	kartǒgraf
картографија	kartogrǎfija
картографски	kartǒgrafski
картографски	kartǒgrafskiː
картон	kǎrtoːn
картонски	kǎrtoːnskiː
карфиол	kaɾfiol
карцином	kartsǐnoːm
кас	kâːs
касаба	kasǎba
касан	kâsan
касапин	kǎsapin
касарна	kǎsaːrna
касати	kâsati
касијан	kǎsijan
каскада	kaskǎːda
каскати	kâskati
каснити	kǎsniti
касније	kǎsnijeː
касно	kastno
касно	kâsno
каспијски	kǎspiːjskiː
кат	kât
катаболизам	katabolǐzam
катакана	katakǎna
каталог	katǎlog
каталонац	katalǒːnats
каталонија	katǎloːnija
каталонски	katǎloːnskiː
катанац	kǎtanats
катапулт	katǎpult
катапултирати	katapultǐːrati
катар	kâtar
катарза	katǎrza
катастрофалан	katastrofalɛn
катастрофалан	kâtastrofaːlan
катастрофално	kâtastrofaːlno
категоричан	kategǒritʃan
категорички	kategǒritʃki
категорички	kategǒritʃkiː
категорија	kategǒrija
катедра	kǎteːdra
катедрала	katedrǎːla
катекизам	katekǐzam
катета	katěːta
катехета	katexěːta
катић	katitʃ
каткад	kǎtkad
каткада	kǎtkada
катода	katǒːda
катодни	kǎtoːdniː
католик	kâtoliːk
католицизам	katolitsǐzam
католичанство	katolitʃǎːnstʋo
католички	kâtolitʃkiː
катран	kǎtran
катрански	kǎtranskiː
каубој	kǎuboj
каубојски	kǎubojski
каубојски	kǎubojskiː
каузалан	kâuzaːlan
каузативан	kâuzatiːʋan
каук	kǎuk
кауч	kau̯tʃ
кафа	kǎfa
кафа	kˈafɐ
кафана	kafǎna
кафтан	kǎftan
кахла	kâxla
кахлица	kâxlitsa
кацига	kǎtsiga
качкет	kartʃket
качкет	kǎtʃkeːt
каша	kâʃa
кашика	kǎʃika
кашупски	kǎʃupskiː
кашљати	kǎʃʎati
кајак	kâjaːk
кајати	kâjati
кајгана	kâjgana
кајиш	kǎjiʃ
кајкавац	kǎjkaʋats
кајкавски	kǎjkaʋski
кајкавски	kǎjkaʋskiː
кајкавштина	kajkǎːʋʃtina
кајмак	kaːjmak
кајмак	kǎjmak
кајсија	kǎjsija
каљуга	kǎʎuga
каљужа	kǎʎuʒa
кањон	kǎɲoːn
квадрант	kʋǎdrant
квадрат	kvaːdrat
квадрат	kʋǎdraːt
квадрате	kvadraːtɛ
квадратни	kʋǎdraːtniː
квака	kʋâka
квалитативан	kʋâlitatiːʋan
квалитет	kvalitˈɛt
квалитетан	kʋâliteːtan
квалитету	kvalitɛːtu
квалификација	kʋalifikǎːtsija
квалификован	kvalifikovan
квант	kʋânt
квантитативан	kʋântitatiːʋan
квантитативно	kʋântitatiːʋno
квантитет	kʋantǐteːt
квантитета	kʋantitěːta
квантни	kʋântniː
квар	kʋâːr
кваран	kʋǎːran
кварити	kʋǎːriti
кварк	kʋârk
кварт	kvɑrt
кварт	kʋârt
квартал	kʋǎrtaːl
квартални	kʋǎrtaːlniː
квартално	kʋǎrtaːlno
квартет	kʋǎrteːt
кварц	kvart
кварц	kʋârts
квас	kʋâːs
квасац	kʋǎːsats
квасити	kʋâsiti
квачило	kʋâtʃilo
квачица	kʋâtʃitsa
квебек	kʋebêk
квекер	kʋêker
квибек	kʋibêk
квинтет	kʋǐnteːt
квислинг	kʋǐsling
квислиншки	kʋǐslinʃki
квислиншки	kʋǐslinʃkiː
кворум	kʋǒːrum
квота	kʋǒːta
кврагу	kʋrâːgu
кврга	kʋr̂ga
кекс	kêks
келвин	kělʋiːn
келнер	kêlner
келт	kêlt
келткиња	kêltkiɲa
келтски	kěltskiː
кемичар	kěmitʃaːr
кемичарка	kěmitʃaːrka
кемија	kěːmija
кемијски	kěːmiːjskiː
кенгур	kênguːr
кенија	kêːnija
кенијац	kenǐːjats
кенијски	kêːniːjskiː
кентаур	kentǎur
кепец	kěpets
кер	kêːr
керамика	kerǎmika
керамичар	kerǎmitʃaːr
керамичарка	kerǎmitʃaːrka
керамички	kerǎmitʃkiː
кербер	kêrber
керозин	kerǒziːn
кеса	kêsa
кесити	kěːsiti
кестен	kêsteːn
кестенов	kêsteːnoʋ
кестењаст	kêsteɲast
кец	kêːts
кецеља	kětseʎa
кечап	kětʃap
кечеви	kěːtʃeʋi
кечига	kětʃiga
кеш	kæˈʃ
кеш	kêʃ
кељ	kêʎ
кењати	kěːɲati
кењац	kěːɲats
кибернетика	kibernětika
кибла	kǐːbla
киван	kǐːʋan
кивно	kîːʋno
кивност	kǐːʋnoːst
кивња	kǐːʋɲa
кидати	kîdati
киднапер	kidnǎpeːr
киднапирати	kidnapǐːrati
киклоп	kǐklop
киклопски	kǐklopski
киклопски	kǐklopskiː
кикотати	kikǒtati
килобајт	kîlobajt
килограм	kîlogram
ким	kîm
ким	kîːm
киме	kǐːme
кина	kǐːna
кинез	kǐneːz
кинески	kǐneːski
кинески	kǐneːskiː
кинин	kǐniːn
кинологија	kinolǒgija
кинта	kîːnta
кинути	kǐːnuti
кип	kîːp
кипар	kîpar
кипер	kîper
кипети	kǐːpeti
киптети	kǐpteti
киптјети	kǐptjeti
кипјети	kǐːpjeti
киргистан	kîrgistaːn
кирија	kǐrija
кисао	kîsao
киселина	kiselǐna
киселина	kisilina
кисеоник	kiseǒniːk
кисик	kǐsiːk
кисмет	kǐsmet
киснути	kîsnuti
кист	kîst
кит	dˌitˈ
кита	kîta
китити	kijtˈiti
китити	kîtiti
китов	kǐtoʋ
китолов	kîtoloʋ
китоловац	kitolǒːʋats
кифла	kǐːfla
кихати	kǐːxati
кихнути	kǐːxnuti
кич	kîtʃ
кичма	kîːtʃma
кичмени	kǐtʃmeniː
киша	kîʃa
кишан	kǐʃan
кишити	kǐːʃiti
кишница	kîʃnitsa
кишобран	kîʃobraːn
кишобранар	kiʃobrǎnaːr
кишовит	kiʃǒʋit
киштра	kîʃtra
кијамет	kijǎːmet
кијев	kîjeʋ
кићен	kîtɕen
клавир	klǎʋiːr
клавирист	klaʋǐrist
клавиристица	klaʋǐristitsa
клавиристкиња	klaʋǐristkiɲa
клавијатура	klaʋijatǔːra
клада	klâda
кладиво	klâdiːʋo
кладити	klâditi
кланац	klǎːnats
клаоница	klaǒːnitsa
кларинет	klariːnɛt
кларинет	klarǐneːt
клас	klâːs
класа	klassa
класа	klǎsa
класик	klǎsik
класификација	klasifikǎːtsija
класичан	klǎsitʃan
класни	klâsniː
клати	klâti
клатно	klǎːtno
клаун	klâun
клањати	klâɲati
клаћу	klatʃu
клевета	klěʋeta
клеветати	klevet̪ati
клемпав	klêmpaʋ
клен	klên
клептоман	kleptǒmaːn
клептоманија	kleptomǎnija
клептоманка	kleptǒmaːnka
клептомански	kleptǒmaːnski
клептомански	kleptǒmaːnskiː
клетва	klêːtʋa
клети	klêːti
клети	klêːtiː
клешта	klěːʃta
клизав	klîzaʋ
клизавост	klîzaʋoːst
клизак	klîzak
клизалиште	klǐzaliːʃte
клизати	klǐːzati
клизач	klǐzaːtʃ
клизаљка	klǐːzaːʎka
клизити	klǐːziti
клизиште	klîziːʃte
клизнути	klǐːznuti
клик	klîk
кликер	klǐker
кликнути	klîknuti
кликтати	klǐktati
клима	klǐːma
климав	klîmaʋ
климакс	klǐmaks
климактеријски	klimǎkteːriːjski
климактеријски	klimǎkteːriːjskiː
климатологија	klimatolǒgija
клин	klîn
клинац	klînats
клинка	klîːnka
клинч	klimʃ
клинч	klîntʃ
клип	klîːp
клипа	klîpa
клипан	klǐpan
клипњача	klǐpɲatʃa
клисура	klǐsura
клиторис	klǐtoːris
клицати	klîtsati
клише	klǐʃeː
клијент	klient
клијента	klienta
клијешта	kljěːʃta
клињо	klǐːɲo
клобук	klǒbuːk
клобучар	klǒbutʃaːr
клокан	klǒkan
клонити	klǒniti
клонулост	klǒnuloːst
клопа	klǒːpa
клопати	klǒːpati
клопка	klôpka
клорофил	klorǒfiːl
клороформ	klôroform
клошар	klǒʃaːr
клуб	klûːb
клупа	klǔːpa
клупко	klûpko
клупски	klûːpskiː
кмет	kmêt
кметица	kmětitsa
кметство	kmětstʋo
кнегиња	kněgiɲa
кнежев	knêːʒeʋ
кнежевина	kněːʒeʋina
кнез	knêːz
кнут	knût
ко	ho
ко	kô
коjа	koja
коагулација	koagulǎːtsija
коаксијалан	kôaksijaːlan
коалирати	koalǐːrati
коалиција	koalǐːtsija
коаутор	koǎutor
коауторски	koǎutorski
коауторски	koǎutorskiː
коауторство	koautǒːrstʋo
коб	kôːb
кобалт	kɔbalt
кобан	kôːban
кобасица	kobǎsitsa
кобац	kǒːbats
кобајаги	kobajǎgi
кобилица	kǒbilitsa
кобиљи	kǒbiʎiː
кобно	kôːbno
кобра	kôbra
ковак	kôʋak
кованица	koʋǎnitsa
ковара	kǒʋara
коварнути	koʋǎːrnuti
ковати	kǒʋati
ковач	kɔvatʃ
ковачевац	koʋǎːtʃeʋats
ковачевачки	koʋǎːtʃeʋatʃkiː
ковачица	koʋǎtʃitsa
ковачићевац	kôʋatʃitɕeʋats
ковачићи	kôʋatʃitɕi
ковачићки	kôʋatʃitɕkiː
ковачница	kǒʋaːtʃnitsa
коверта	kǒʋeːrta
ковертирати	koʋertǐːrati
ковин	kovin
ковинотокар	kôʋinotokaːr
ковитлати	koʋǐtlati
ковитлац	koʋǐtlats
ковиље	kôʋiːʎe
ковница	kǒːʋnitsa
ковртач	koʋřtaːtʃ
коврча	kǒʋr̩tʃa
коврчав	kǒʋr̩tʃaʋ
коврчавост	koʋřtʃaʋoːst
коврчаст	kǒʋr̩tʃast
коврчица	kǒʋrtʃitsa
коврџа	kǒʋr̩dʒa
коврџав	kǒʋr̩dʒaʋ
коврџаст	kǒʋr̩dʒast
ковчег	kǒʋtʃeg
ковчежина	kǒʋtʃeʒina
ковчежић	kǒʋtʃeʒitɕ
ког	kôg
кога	kǒga
кога	kɔga
когнитиван	kôgnitiːʋan
когод	kǒgod
код	kôd
код	kôːd
кодекс	kǒdeks
кодификација	kodifikǎːtsija
коду	kɔdu
коегзистенција	koegzistěntsija
коефицијенат	koefitsǐjenat
коефицијент	koefitsǐjent
кожа	kôʒa
кожар	kôʒaːr
кожара	kǒʒara
кожарница	kǒʒaːrnitsa
кожарски	kôʒarski
кожарски	kôʒarskiː
кожарство	koʒǎːrstʋo
кожица	kôʒitsa
кожнат	kǒʒnat
кожни	kôʒniː
кожун	kǒʒuːn
кожурица	kǒʒuritsa
кожух	kǒʒux
коза	kosa
коза	kǒza
козак	kǒzaːk
козар	kǒzaːr
козарац	kozǎːrats
козарац	kǒzarats
козарачки	kǒzaratʃkiː
козаревац	kozǎːreʋats
козаревачки	kozǎːreʋatʃkiː
козаревчанин	kozǎːreʋtʃanin
козарење	kozǎːreːɲe
козарити	kozǎːriti
козарски	kǒzaːrski
козарски	kǒzaːrskiː
козарство	kozǎːrstʋo
козарчанин	kozǎːrtʃanin
козачки	kǒzaːtʃki
козачки	kǒzaːtʃkiː
козер	kǒzeːr
козерија	kozěːrija
козерство	kozěːrstʋo
козетина	kozětina
козетина	kǒzetina
козина	kôzina
козиншчак	kozǐnʃtʃaːk
козити	kǒziti
козица	kǒzitsa
козице	kǒzitse
козичав	kǒzitʃaʋ
козичавост	kǒzitʃaʋoːst
козлац	kǒzlats
козлачица	kozlǎtʃitsa
козлетина	kǒzletina
козлинац	kǒzlinats
козличина	kǒzlitʃina
козлић	kôzlitɕ
козметика	kozmětika
козметичар	kozmětitʃaːr
козметичарски	kozmětitʃarski
козметичарски	kozmětitʃarskiː
козметички	kozmětitʃki
козметички	kozmětitʃkiː
козметологија	kozmetolǒgija
козмички	kǒzmitʃkiː
козмогонија	kozmogǒnija
козмографија	kozmogrǎfija
козмодром	kôzmodrom
козмологија	kozmolǒgija
козмополит	kozmopǒliːt
козмополитизам	kozmopolitǐzam
козмополитски	kozmopǒliːtski
козмополитски	kozmopǒliːtskiː
козмос	kôzmos
козоношка	kozǒnoʃka
козорепац	kozorěːpats
козорог	kôzoroːg
козјак	kôzjaːk
козјетина	kǒzjetina
козји	kôzjiː
коинцидентан	kointsiděntan
коинциденција	kointsiděntsija
кокаин	kokǎiːn
кокета	kokěta
кокетан	kǒketan
кокодакати	kokodǎːkati
кокошка	kǒkoːʃka
