!ਨਵੀਂ	nəviː
ਓਵੈਸੀ	ɔʋeːsi
ਓਸ਼ੀਅਨ	ɒʃiːən
ਓਸ਼ੇਨ	oʃeːn
ਓਸ਼ੋ	ɔʃo
ਓਸਵਾਲ	ɔsʋɑːl
ਓਸਾਕਾ	ɔsɑkɑ
ਓਹ	ɔː
ਓਹਰੀ	ɔːrɪ
ਓਹੀ	ɔːi
ਓੜੀਸ਼ਾ	ɔɽiːʃɑː
ਓੜੀਸਾ	oːɽiːsäː
ਔ	ɔː
ਔਂਸ	ɔ̃ːs
ਔਕੜਾਂ	ɔkɑɽɑ̃ː
ਔਖ	ɔk
ਔਖਾ	ɔkʰɑ
ਔਖੀ	ɔkʰi
ਔਖੀਆਂ	ɔkʰiːə̃
ਔਖੇ	ɔkʰe
ਔਰ	ɔːr
ਔਰਤਮੁਖੀ	ɔːɾt̪mʊkʰi
ਔਰਤਾਂ	ɔːɾt̪ɑ̃ː
ਔਸ਼ਧੀ	ɔːʃd̪iː
ਔਸ	ɔːs
ਔਸਤ	ɔːst
ਔਸਤਨ	ɔːstən
ਕ	k
ਕਈ	kɛː
ਕਚਹਿਰੀ	kətʃɛːɾiː
ਕਚੂਰਾ	kətʃuːɾə
ਕਚੂਰਾਗੋਲਡੀਘੁਬਾਇਆ	kətʃʊɾɑːgɔːləd̪iːgʊbɑːjɑː
ਕਜਿਨ	kɪdʒɪn
ਕਝ	kɑʐ
ਕਟਕ	kɑʈk
ਕਟਘਰ	kəʈgʱəɾ
ਕਟਾਈ	kɑʈɑi
ਕਟਾਰੀਆ	kʈɑːɾiɑː
ਕਟਿਆਰ	kɪʈjɑːɾ
ਕਟਿਹਾਰ	kɪt̪iːɦɑːɾ
ਕਠੋਰ	kəʈoːr
ਕਢਵਾ	kəɖʋa
ਕਢਵਾਈ	kəɖʋaːi
ਕਢਵਾਉਣ	kəɖʋaːuɳ
ਕਣਕ	kəɳk
ਕਤਰ	kʈəɾ
ਕਤਰਾ	kʈəɾɑ
ਕਤਰਿਆਂ	kʊt̪ɾɪæ̃ː
ਕਤਰੇ	kʈəɾe
ਕਤਾਰ	kətɑːr
ਕਥਿਤ	kəθɪt
ਕਦ	kɑːd
ਕਦਮ	kəd̪m
ਕਦਮ'	kad̪əm̪
ਕਦਮੀਂ	kad̪əmiː̃
ਕਦਰ	kəd̪ɾ
ਕਦਰਾਂ	kədɾɑ̃
ਕਦਾਵਰ	kəd̪ɑːʋəɾ
ਕਨਫੈਡਰੇਸ਼ਨ	kənfɛɖəɾeːʃən
ਕਨਵੀਨਰ	kənʋiːnər
ਕਨਵੈਨਸ਼ਨ	kənʋejə́ʃən
ਕਨਸੋਆਂ	kənsɔ̃
ਕਨਹਾਈ	kənaːɪ̯
ਕਨੂ	kənuː
ਕਨੇਡਾ	kəneːɖɑ
ਕਪਤਾਨ'	kəp̚t̪aːn̪
ਕਪਤਾਨ)	kapt̪aːn
ਕਪਤਾਨਾਂ	kəptɑːnɑ̃
ਕਪਤਾਨੀ	kəp̚t̪aːniː
ਕਪਲ	kəpəl
ਕਪਾਡੀਆ	kəpɑːɗiɑː
ਕਪਾਹ	kəpɑː
ਕਪਿਲ	kapɪl
ਕਪਿਲ	kəpɪl
ਕਪੂਰ	kəpuːr
ਕਪੂਰ)	kəpuːr
ਕਪੂਰਥਲਾ	kapuːɾt̪ɑːlə
ਕਪੜਿਆਂ	kapɽjɑ̃
ਕਪੜੇ	kapɽe
ਕਬ	kəβ
ਕਬਜਾ	kəbdʒɑ
ਕਬਰ	kəβər
ਕਬਰਿਸਤਾਨ	kəbɾɪst̪ɑːn
ਕਬਾਬ	kbɑːb
ਕਬੀਰ	kɪbɪr
ਕਬੂਲ	kəbuːl
ਕਬਜ਼ਾ	kabɻɑ
ਕਬਜ਼ੇ	kəβzɛ
ਕਬੱਡੀ	kəbːɖiː
ਕਮ	kə̃m
ਕਮਜ਼ੋਰ	kəmdʒoːɾ
ਕਮਫਰਟ	kʌmpʰəɾt
ਕਮਬੈਕ	kʌmbɛːk
ਕਮਰ	kəmər
ਕਮਰਾ	kəmɾɑː
ਕਮਰੇ	kəməɾe
ਕਮਲ	kəml̪
ਕਮਲਜੀਤ	kəmləɟiːt
ਕਮਲਨਾਥ	kəmlənɑːt̪ʰ
ਕਮਾ	kəma
ਕਮਾਂਡਰ	kəˈmɑːnɖəɾ
ਕਮਾਂਡੋ	kəˈmɑːnɖoː
ਕਮਾਇਆ	kəmaːjaː
ਕਮਾਇਆ।	kəmaːjɑː
ਕਮਾਈ	kəmaːi
ਕਮਾਉਣ	kəmaʊ̯ɳ
ਕਮਾਊ	kəmaʊ
ਕਮਾਏ	kəmaːe
ਕਮਾਤੀ	kəmaːti
ਕਮਾਨ	kəˈmaːn
ਕਮਾਰ	kəmaːr
ਕਮਾਲ	kəmaːl
ਕਮਾਲਿਸਤਾਨ	kəmaːlɪstaːn
ਕਮਾਲੂ	kəmaːlu
ਕਮਿਊਨਿਕੇਸ਼ਨ	kəmiːuːnikɛʃən
ਕਮਿਊਨਿਸਟ	kəmiːnisʈ
ਕਮਿਊਨੀਕੇਸ਼ਨਸ	ˌkəmiːniːkɛːʃəns
ਕਮਿਟਮੈਂਟ	kəmɪt̪mənt̪
ਕਮਿਨਜ਼	kəmingʒ
ਕਮਿਸ਼ਨ	kəmiʃən
ਕਮਿਸ਼ਨਰ	kəmiʃənəɾ
ਕਮਿਸ਼ਨਰਾਂ	kəmiʃənɾɑ̃
ਕਮਿਸ਼ਨਾਂ	kəmiʃɑ̃ː
ਕਮਿਸ਼ਨ	kəmiʃːn
ਕਮਿਸ਼ਨਰ	kəmiʂɳər
ਕਮਿੰਸ	kəminʃ
ਕਮੀ	kəmi
ਕਮੀਆਂ	kəmiːə̃
ਕਮੀਪੇਸ਼ੀ	kəmiːpeːʃiː
ਕਮੀਸ਼ਨ	kʌmiːʃən
ਕਮੀਜ਼	kəmiʐ
ਕਮੇਡੀ	kəmeːɪ
ਕਮੈਂਟ	kəmeːnt
ਕਮੋਡਿਟੀ	koːmoːɖɪtiː
ਕਮੋਬੇਸ਼	kəmoːbeʃ
ਕਯਾ	kɑjɑ
ਕਯਾ'	kɑjɑ
ਕਰ	kəɾ
ਕਰਕਰੇ	kɑɾkɑɾe
ਕਰਕੇ	kɑɾkɛ
ਕਰਜ	kəɾdʒ
ਕਰਜ਼ਾ	kəɾzə
ਕਰਜ਼ੇ	kəɾze
ਕਰਜਾ	kəɾdʒə
ਕਰਟਿੰਸ	kɑɾt̪ɪns
ਕਰਣਵੀਰ	kəɾɳviːɾ
ਕਰਤਾਰ	kɑɾtɑːɾ
ਕਰਤਾਰਪੁਰ	kɑɾtɑɾpʊɾ
ਕਰਤਾਵਾਂ	kɑɾtɑʋɑ̃
ਕਰਤੱਬ	kɑɾtəbː
ਕਰਦਾ।'	kɑːɾd̪ə
ਕਰਦਾਤਾ	kɑːɾdɑːt̪ɑː
ਕਰਦਾਤਾਵਾਂ	kɑːɾdɑːtɑːʋɑ̃ː
ਕਰਦਿਆ	kɑɾdɪə
ਕਰਦੀ।	kɑːɾd̪iː
ਕਰਦੀਆਂ	kɑɾdɪɑ̃ː
ਕਰਦੇ	kɑːɾde
ਕਰਦੇ?	kɑːɾde
ਕਰਦੇ।	kɑːɾde
ਕਰਦੇਕਰਦੇ	kɑɾdeːkɑɾdeː
ਕਰਨ	kəɾən
ਕਰਨਗੇ	kəɾəŋe
ਕਰਨਗੇ।	kərn̪ge
ਕਰਨਗੇ।'	kəɾn̪geː
ਕਰਨਣ	kərnəɳ
ਕਰਨਲ	kəɾnəl
ਕਰਨਵੀਰ	kɑːɾnʋiːɾ
ਕਰਨਾ	kəɾnə
ਕਰਨਾ।	kəɾnə
ਕਰਨਾਡ	kəɾnɑːɖ
ਕਰਨਾਲ	kəɾnɑːl
ਕਰਨੀਆਂ	kərniːə̃
ਕਰਨੇ	kərn̪e
ਕਰਨੈਲ	kəɾnɛl
ਕਰਬਰ	kɑːrbər
ਕਰਮਚਾਰੀਆਂ	kəɾmtʃɑːɾiə̃
ਕਰਮਨ	kɑɾmən
ਕਰਮਭੂਮੀ	kəɾmbʱuːmiː
ਕਰਮਾਕਰ	kəɾmɑːkəɾ
ਕਰਮੀਆਂ	kəɾmīə̄
ਕਰਲ	kɑːɾəl
ਕਰਵਟ	kəɾʋəʈ
ਕਰਵਾਈ	kəɾʋaːi
ਕਰਵਾਈ।	kɾʋaːi
ਕਰਵਾਈਆਂ	kəɾʋaːi̯ə̃
ਕਰਵਾਉਂਦਾ	kɾəʋaʊ̯n̪d̪ə
ਕਰਵਾਉਂਦੇ	kɑɾʋɑ̃ːd̪e
ਕਰਵਾਉਣ	kɑɾʋɑuɳ
ਕਰਵਾਉਣ।	kəɾʋaːuɳ
ਕਰਵਾਉਣਗੇ	kəɾʋaːuɳge
ਕਰਵਾਉਣਗੇ।	kəɾʋaːuɳgeː
ਕਰਵਾਉਣੀ	kɾəʋaːuɲi
ਕਰਵਾਉਣੇ	kɾəʋɑ̃ːɳe
ਕਰਵਾਏ।	kɑːɾʋɑːe
ਕਰਵਾਏਗੀ।	kɑːɾʋɑːigi
ਕਰਵਾਚੌਥ	kɾʋɑːtʃoːt̪ʰ
ਕਰਾਂਗੀ	kɑːɾɑːŋgiː
ਕਰਾਇਆ	kəɾaːiːə
ਕਰਾਈ	kɑɾiː
ਕਰਾਊਨ	kɔːn
ਕਰਾਏ	kɑːɾɑːe
ਕਰਾਚੀ	kəɾɑːtʃiː
ਕਰਾਟੇ	kɑːɾɑːt̪e
ਕਰਾਰ	kəɾɑːɾ
ਕਰਾਰਾਂ	kəɾɑːɾɑ̃
ਕਰਾਰੀ	kəɾɑːɾi
ਕਰਾਰੇ	kəɾɑːɾe
ਕਰਾਸ	kɑːɾɑːs
ਕਰਿ	kəɾɪ
ਕਰਿਅਰ	kəɾiəɾ
ਕਰੀ	kɪɾi
ਕਰੀਅਰ	kɑɾiːɛɾ
ਕਰੀਏ	kɑɾiːe
ਕਰੀਏ।	kɑɾiːe
ਕਰੀਨਾ	kɾiːnɑː
ਕਰੀਬ	kɑɾiːb
ਕਰੀਬਕਰੀਬ	kɾiːbkɾiːb
ਕਰੀਬੀ	kəɾiːbiː
ਕਰੀਬੀਆਂ	kɑɾiːbiːɑ̃
ਕਰੀਮ	kɾiːm
ਕਰੁਣ	kəɾʊɳ
ਕਰੁਣਾ	kɾʊɳa
ਕਰੁਣਾਲ	kɾʊɳɑːl
ਕਰੁਨਾਲ	kɾunɑːl
ਕਰੂ	kɾuː
ਕਰੂਡ	kɾuːɖ
ਕਰੂਣਾਨਿਧੀ	kɾuːɳɑːnɪd̪ʱiː
ਕਰੂਸ	kɾuːs
ਕਰੂਸੇਲਨਿਟਸਕੀ	kr̥uːs̪eːl̪nɪt̪s̪kɪ
ਕਰੂਜ਼ਰ	kɾuːzɾ
ਕਰੂੰਗਾ।	kɾuːŋgə
ਕਰੇ	kɛː
ਕਰੇ'	kɛː
ਕਰੇ।	kɛː
ਕਰੇਗਾ	kɾeːgə
ਕਰੇਗਾ?	kɛːgə
ਕਰੇਗਾ।	kɾeːgə
ਕਰੇਗੀ	kɾeːgiː
ਕਰੇਗੀ।	kəɾeːgi
ਕਰੇਗੀ।	kɛgi
ਕਰੈਕਟਿਵ	kɛɾɛkt̪ɪv
ਕਰੈਡਿਟ	kɾɛːɖɪt
ਕਰੋ	kəro
ਕਰੋ।'	kɔːro
ਕਰੋਗੀ	kəroːgi
ਕਰੋਗੇ	kəroːge
ਕਰੋਗੇ।	kɔːge
ਕਰੋਗੇ।'	kɾoːge
ਕਰੋਡ਼	kɔːɽ
ਕਰੋੋੜ	kɔːɽ
ਕਰੋੜ	kɔːɽ
ਕਰੋੜ)	kɔːɽ
ਕਰੋੜਪਤੀ	kɔːɽpʰəʈi
ਕਰੋੜਪਤੀ	kəroːɖpəti
ਕਰੋੜਪਤੀਆਂ	kɔːɽpət̪iːə̯
ਕਰੋੜਾਂ	kɔːɽɑ̃
ਕਰਜ਼ੇ)	kɑɻe
ਕਰੰਡੀ	kəɾənɖi
ਕਰੰਸੀ	kɑːɾənsiː
ਕਰੰਸੀਆਂ	kɑːɾənsiːɑː
ਕਲਕੱਤਾ	kəlkəʈːə
ਕਲਤ	kɛlt̪
ਕਲਪ	kəlp
ਕਲਪਨਾ	kəlpənɑ
ਕਲਮ	kəlm
ਕਲਰ	kəlɾ
ਕਲਰਕ	kəlɾk
ਕਲਰਜ਼	kəlɾz
ਕਲਰਸ	kəlɾs
ਕਲਰਾਜ	kəlɾɑːdʒ
ਕਲਰਜ਼	kəlɾɛz
ਕਲਸੀ	kəlsi
ਕਲਾ	kəlɑː
ਕਲਾਈਮੈਕਸ	kɑlɑːɪmɛks
ਕਲਾਈਵਡੇਲ	kəlɑɪvdeːl
ਕਲਾਤਮਿਕ	kəlaːt̪mɪk
ਕਲਾਰਕ	kɑlɑɾk
ਕਲਾਸ	kɑlɑs
ਕਲਾਸਿਕ	kɑlɑːsɪk
ਕਲਾਸਿਕੋ	kɑlɑːsɪkɔː
ਕਲਾਸੀਫਿਕੇਸ਼ਨ	kɑlɑːsɪfɪkɛʃən
ਕਲਾਸੇਨ	kɑlɑseːn
ਕਲਿਕ	kɫɪk
ਕਲਿਪ	kɫɪp
ਕਲਿਪਿੰਗ	kɫɪpɪŋ
ਕਲਿੰਗਾ	kəlɪŋgə
ਕਲਿੱਕ	kəlɪkː
ਕਲਿੱਪ	kəlɪp
ਕਲੀ	kɫiː
ਕਲੀਅਰ	klɪ́ːr
ਕਲੀਅਰਿੰਗ	kɫiːɾɪŋ
ਕਲੀਨ	kɫiːn
ਕਲੀਨਿਕ	kl̪iːnɪk
ਕਲੇ	k̟l̺e
ਕਲੇਮ	klɛːm
ਕਲੇਸ਼	kɫeːʃ
ਕਲੈਕਟ੍ਰੇਟ	kalɛktɾɛːt
ਕਲੈਕਸ਼ਨ	kalɛkʃən
ਕਲੈਕਸ਼ਨ	kɛlɛkʃɔn
ਕਲੈਸ਼	kɛlɛʃ
ਕਲੋਪ	klɔp
ਕਲੋਲ	kəloːlᵊ
ਕਲੋਜ਼ੇ	kɔːɻe
ਕਲੱਬ	kəlːb
ਕਲੱਬਾਂ	kəlːbɑ̃ː
ਕਵਚ	kʋtʃ
ਕਵਰ	kʊɾ
ਕਵਰਿੰਗ	kaʋɾɪŋ
ਕਵਰੇਜ	kʊɾeːdʒ
ਕਵਾਇਆ	kaʋaːjɑː
ਕਵਾਗਲੀਆਰੇਲਾ	kaʋaːgliːaːɾeːlaː
ਕਵਿਤਾ	kəʋɪt̪ə
ਕਵਿਤਾਵਾਂ	kəʋɪt̪ɑːʋɑ̃ː
ਕਵਿੰਟਨ	kwɪnt̪n
ਕਵਿੰਨਟ	kʋɪnːt̪
ਕਵੀਤੋਵਾ	kʋiːt̪oːʋaː
ਕਵੀਨ	kʊiːn
ਕਵੀਨਜ਼	kʊi̯nz̪
ਕਵੇ	kʰeː
ਕਵੇਟ	kaʋeːt
ਕਵੇਟਾ	kwɛːt̪ə
ਕਵੋਕ	kɔːʋoʔ
ਕਸ਼ਮੀਰ	kəʃmiːr
ਕਸ਼ਮੀਰਾ	kəʃmiːrɑ
ਕਸ਼ਮੀਰੀ	kəʃmiːriː
ਕਸ਼ਯਪ	kəʃəp
ਕਸ਼ਿਅਪ	kəʃɪəp
ਕਸਟਮ	kʌst̪m
ਕਸਟਮਰ	kʌst̪mər
ਕਸਬਾ	kəsɪbɑ
ਕਸਬੇ	kəsbeː
ਕਸਰ	kɑsər
ਕਸਰਤ	kɑsɾʌt
ਕਸ਼	kʃ
ਕਸ਼ਮੀਰ	kʃmiːr
ਕਹਤਾ	kʰət̪a
ਕਹਾਂ	kəhɔ̃ː
ਕਹਾਂਗਾ	kɑːɦɑːŋgɑː
ਕਹਾਣੀ	kɑ̄hɑ̄ːnɪ
ਕਹਾਣੀਆਂ	kəɦɑːɳiːo̯
ਕਹਿ	kəɪ
ਕਹਿਣ	kəɳ
ਕਹਿਣਾ	kəɦɪɳə
ਕਹਿਣੀ	kəɦɪ̃ː
ਕਹਿਰ	kəɪr
ਕਹਿੰਦੇ	kəɪ̯ɦɪ̀nd̪e
ਕਹੀ	kəi
ਕਹੀ।	kəhi
ਕਹੀ।	kəɪ
ਕਹੀਆਂ	kəɦiːə̃
ਕਹੀਆਂ।	kəhiːə̃
ਕਹੀਏ	kaɦiː
ਕਹੇ।	kəhe
ਕਹੋ	kəʔo
ਕਾ	kɑː
ਕਾਂਗ	kaːŋ
ਕਾਂਗਰਸ	kaːŋgərs
ਕਾਂਗਰਸ	kaːŋgəɾs
ਕਾਂਗਰਸਐੱਨਸੀਪੀ	kaːŋgərsɛnsiːpiː
ਕਾਂਗਰਸੀ	kaːŋgəɾsi
ਕਾਂਗਰਸੀਆਂ	kaːŋgəɾsiːə̯
ਕਾਂਗੜਾ	kɑ̃ːŋgəɽɑ
ਕਾਂਡ	kɑ̃ːɳɖ
ਕਾਂਤ	kaːnt
ਕਾਂਤਾ	kaːnt̪ə
ਕਾਂਤੀਲਾਲ	kaːɳʈiːlaːl
ਕਾਂਦਿਵਲੀ	kaːɳɖɪbɪliː
ਕਾਂਸ਼ੀ	kaːnʃiː
ਕਾਂਸਟੇਨਟਾਈਨ	kaːnst̪eːn̪t̪ai̯n̪
ਕਾਂਸਟੇਨਾਈਨ	kaːnst̪eːnɑ̄iːn
ਕਾਂਸੀ	kɑ̃ːsɪ
ਕਾਂਸੇ	kɑ̃ːse
ਕਾਇਆ	kɑːjɑː
ਕਾਇਮ	kaːim
ਕਾਇਲ	kaɪl
ਕਾਈਲ	kaɪl
ਕਾਊਂਟਰ	kaʊ̯n̪t̪ɾ
ਕਾਊਂਟਰਾਂ	kaʊ̯n̪t̪ɾɑ̃ː
ਕਾਏਸ	kɑːeːs
ਕਾਕ	kɑːk
ਕਾਕਾ	kɑːkɑː
ਕਾਗਜ਼	kɑːgɪz
ਕਾਗਜ਼ਾਤ	kaːgzɑːt̪
ਕਾਗਜ਼ੀ	kaːgɻiː
ਕਾਜੋਲ	kaːdʒoːl
ਕਾਟਨ	kɔːt̪n̪
ਕਾਡਰ	kaːɖəɾ
ਕਾਤਲ	kɑːtəl
ਕਾਤਲਾਂ	kaːt̪ɑːlɑ̃ː
ਕਾਤਲਾਨਾ	kaːt̪ɑːlɑːnɑː
ਕਾਦਰ	kaːd̪əɾ
ਕਾਦਿਰ	kaːd̪ɪr
ਕਾਦੀਆਂ	kaːdiːə̃
ਕਾਦੀਆਨ	kaːdi̯ɑːn
ਕਾਨ	kɑːn
ਕਾਨਪੁਰ	kɑːnpʊɾ
ਕਾਨਫਰੰਸ	kɑːnfəɾəns
ਕਾਨਫਰੰਸਾਂ	kaːnpəɾənsɑ̃ː
ਕਾਨਫ਼ਰੰਸ	kaːnfəɾəns
ਕਾਨਵੈਂਟ	kaːnʋæ̀ːɳt
ਕਾਨੂੰਨ	kaːnuːn
ਕਾਨੂੰਨਾਂ	kɑːn̪uːnɑ̃ː
ਕਾਨੂੰਨੀ	kɑːn̪uːniː
ਕਾਨਫ਼ਰੰਸ	kaːnpʰəɾə̃s
ਕਾਪ	kaːp
ਕਾਪੀ	kɑːpɪ
ਕਾਪੀਆਂ	kɑːpiːɑ̃
ਕਾਫਲੇ	kaːpʰələ
ਕਾਫ਼ਿਲੇ	kɑːfɪle
ਕਾਫ਼ੀ	kaːfɪ
ਕਾਫੀ	kaːpʰiː
ਕਾਬਜ	kɑːbɪ
ਕਾਬਲ	kaːbəl
ਕਾਬਲੀਅਤ	kaːbəliːət̪
ਕਾਬਿਲ	kɑːbɪl
ਕਾਬਿਲੇਗ਼ੌਰ	kaːbɪlegɔːr
ਕਾਬਿਲੇਗ਼ੌਰ	kaːbɪleːgoːr
ਕਾਬਿਜ਼	kaːbɪz
ਕਾਬੂ	kɑːbuː
ਕਾਬਜ਼	kɑːbɪz
ਕਾਮ	kɑːm
ਕਾਮਤਾ	kaːmt̪aː
ਕਾਮਨ	kaːmən
ਕਾਮਨਵੈਲਥ	kaːmənʋæɪlθ
ਕਾਮਨਾ	kɑːmːnɑː
ਕਾਮਨਾਵਾਂ।	kaːmənɑ̃ː
ਕਾਮਯਾਬ	kaːmjɑːb
ਕਾਮਯਾਬੀ	kaːmjɑːbiː
ਕਾਮਰਸ	kaːmɾs
ਕਾਮਰਾਨ	kaːmɾaːn
ਕਾਮਰੇਡ	kaːmɾɛːɖ
ਕਾਮਿਆ	kɑːmiːə
ਕਾਮਿਆਂ	kaːmijɑ̃
ਕਾਮਿਕ	kaːmɪk
ਕਾਮਿਲ	kaːmɪl
ਕਾਮੇ	kɑːme
ਕਾਮੇਡੀ	kaːmeːɖiː
ਕਾਮੇਡੀਅਨ	kaːmeːɖiːən
ਕਾਮੈਕਸ	kaːmeːks
ਕਾਰ	kɑːr
ਕਾਰ।	kɑːr
ਕਾਰਕੁੰਨ	kɑːɾkʊ̃ːn
ਕਾਰਕੁੰਨਾਂ	kɑːɾkʊnnɑ̃ː
ਕਾਰਖਾਨਿਆਂ	kɑːɾkʰɑːɳjɑ̃ː
ਕਾਰਗਿਲ	kɑːɾgɪl
ਕਾਰਗੁਜ਼ਾਰੀ	kɑːɾgʊzɑːɾi
ਕਾਰਗੁਜ਼ਾਰੀ	kɑːɾgʊzɑːɾi
ਕਾਰਗੋ	kɑːɾgo
ਕਾਰਜ	kɑːɾdʒ
ਕਾਰਜਕਾਰਨੀ	kaːɾdʒkɑːɾniː
ਕਾਰਜਕਾਰੀ	kaːɾdʒkaːɾi
ਕਾਰਜਭਾਰ	kɑːɾdʒbʱɑːɾ
ਕਾਰਜਸ਼ੈਲੀ	kɑːɾdʒʃɛlɪ
ਕਾਰਜਾਂ	kɑːɾdʒɑ̃
ਕਾਰਟੂਨ	kɑːɾt̪uːn
ਕਾਰਡ	kaːɾɖ
ਕਾਰਡ)	kaːɾɖ
ਕਾਰਡ।	kaːɾɖ
ਕਾਰਡਾਂ	kɑːɾɖɑ̃
ਕਾਰਡਿਫ	kaːɾɗɪf
ਕਾਰਣ	kɑːɾən
ਕਾਰਤਿਕ	kɑːɾt̪ɪk
ਕਾਰਨ	kɑːrn
ਕਾਰਨਰ	kɑːrn̪r
ਕਾਰਨਵਾਲ	kɑːrnəwaːl
ਕਾਰਨਾਂ	kaːrnɑ̃ː
ਕਾਰਨਾਮਾ	kaːɾnaːmə
ਕਾਰਨਾਮੇ	kɑːɾnɑːme
ਕਾਰਨੇਵਰ	kɑːrnɛʋəɾ
ਕਾਰਪ	kɑːɾp
ਕਾਰਪੈਟ	kɑːɾpɛːt̪
ਕਾਰਪੋਰੇਟ	kɑːɾpoːɾeːt̪
ਕਾਰਪੋਰੇਟਸ	kɑːrpɔːɾeːts
ਕਾਰਪੋਰੇਸ਼ਨ	kaːɾpoːɾeːʃən
ਕਾਰਪੋਰੇਸ਼ਨ	kɑːɾpɔɾeːʃən
ਕਾਰਬਨ	kɑːrbən
ਕਾਰਬੇਟ	kɑːɾbɛːt
ਕਾਰਬੋਨੇਟਡ	kɑːrboːnɛːʈʈʰ
ਕਾਰਲ	kɑːɾl
ਕਾਰਲੋਸ	kɑːɾloːs
ਕਾਰਵਾਂ	kɑːɾʋɑ̃ː
ਕਾਰਵਾਈ	kɑːɾʋaːi
ਕਾਰਵਾਈਆਂ	kɑːɾʋɑːiːɑ̃ː
ਕਾਰਵਾਹੀ	kɑːɾʋɑ̄hɪ
ਕਾਰਸੇਵਾ	kɑːɾseːʋɑː
ਕਾਰਾਂ	kɑːɾɑ̃ː
ਕਾਰੀਡੋਰ	kɑːɾiːd̪oːɾ
ਕਾਰੇ	kaːre
ਕਾਰੇਨ	kaːrẽː
ਕਾਰੋਬਰ	kɑːroːbər
ਕਾਰੋਬਾਰ	kɑːɾoːbɑːɾ
ਕਾਰੋਬਾਰਾਂ	kaːroːbaːrɑ̃
ਕਾਰੋਬਾਰੀ	kɑːɾoːbɑːɾi
ਕਾਰੋਬਾਰੀਆਂ	kɑːɾoːbɑːɾiːɑ̃
ਕਾਰੋਲੀਨਾ	kaːroːliːnə
ਕਾਰਖ਼ਾਨਾ	kaːɾɣɑːnɑː
ਕਾਲ	kɑːl
ਕਾਲਜ	kaːlgɪ
ਕਾਲਜਾਂ	kaːldʒə̃ː
ਕਾਲਜੀਏਟ	kaːlgiːɛːt̪
ਕਾਲਪਨਿਕ	kaːlpənɪk
ਕਾਲਮ	kaːlm
ਕਾਲਵਾਦ	kaːlʋaːd
ਕਾਲਾ	kaːlə
ਕਾਲਿਨ	kaːlɪn
ਕਾਲਿੰਗ	kɑːlɪŋ
ਕਾਲੀ	kaːliː
ਕਾਲੀਆ	kaːli̯aː
ਕਾਲੀਆਂ	kaːliːe̯
ਕਾਲੀਕਟ	kaːlɪkʈ
ਕਾਲੀਦਾਸ	kaːliːdaːs
ਕਾਲੇ	kaːle
ਕਾਲੋਨੀ	kaːl̪oːniː
ਕਾਲੜਾ	kaːlɑːɽɑː
ਕਾਵਲੇਕਰ	kaːʋleːkəɾ
ਕਾਸ਼ੀ	kɑːʃi
ਕਾਸਟ	kɑːst
ਕਾਸਟਿਊਮ	kɑːst̪iːm
ਕਾਹਨੂੰਵਾਨ	kaːnuːwaːn
ਕਾਹਨੇਵਾਲਾ	kaːɳeːwaːlə
ਕਾਹਲਾ	kaːɦɑːlɑː
ਕਾਹਲਾ	kɑ˦l̪ɑː˧
ਕਾਹਲੀ	kaːɦliː
ਕਾਹਲੋਂ	kaːɦloːn
ਕਾਹਲੋਂ	käːɦ˥lõː
ਕਾਹਿਲ	kɑːɪl
ਕਾਗ਼ਜ਼	kaːgʐ
ਕਾੱਲ	kɔːl
ਕਿ	ki
ਕਿ	kɪ
ਕਿਆ	kɪ́ə
ਕਿਆ'	kɪ́ə
ਕਿਆਸ	kiːəs
ਕਿਉਂ	kiː̃
ਕਿਉਂ'	ki̯u̯n̪
ਕਿਉਂ?	kiː̃
ਕਿਉਂਕਿ	kiːŋki
ਕਿਊ	kiːu
ਕਿਊ5	kjuː
ਕਿਊ7	kjuː
ਕਿਊਟ	kiːt̪
ਕਿਊਟਨੈਸ	kiːʈnɛːs
ਕਿਊਟਨੈੱਸ	kʲʊːt̪nɛːs
ਕਿਊਬਾ	kiːbɑː
ਕਿਊਬਿਕ	kiːbɪk
ਕਿਊਰੇਟਰ	kiːreːt̪əɾ
ਕਿਓਂਝਰ	kiə̃ːʐər
ਕਿਕਟ	kiːkʈ
ਕਿਚਨ	kitʃən
ਕਿਡਨੀ	kɪɳɳi
ਕਿਤਾਬ	kɪtɑːb
ਕਿਤਾਬਾਂ	kitɑːbɑ̃ː
ਕਿਤੇ	kɪt̪e
ਕਿਤੇਕਿਤੇ	kiːt̪eːkiːt̪eː
ਕਿਦਾਂਬੀ	kiːd̪aːmb̪iː
ਕਿਨਾਬਾਲੂ	kinɑbɑluː
ਕਿਨਾਰਾ	kinɑːɾɑː
ਕਿਨਾਰੇ	kinɑːɾe
ਕਿਨ੍ਹਾਂ	kin̪ɑ̃ː
ਕਿਮ	kim
ਕਿਮੀ	kimi
ਕਿਮੀ	kɪmi
ਕਿਰਕਿਰੀ	kɪɾkɪɾiː
ਕਿਰਗਿਓਸ	kɪɾgiɔs
ਕਿਰਤ	kɪɾt̪
ਕਿਰਤਾਂ	kiːɾtɑ̃ː
ਕਿਰਤੋਵਾਲ	kiːɾtoʋaːl
ਕਿਰਦਾਰਾਂ	kiːɾdaːɾɑ̃
ਕਿਰਨਜੀਤ	kɪɾnɟiːt
ਕਿਰਪਾ	kɪɾpə
ਕਿਰਪਾਲ	kiːɾpaːl
ਕਿਰਮਾਨੀ	kiːɾmɑːniː
