a	aː
clāvibus	klaːu̯ibus
clāvicornis	klaːu̯ikornis
clāvicula	klaːu̯ikula
clāviculae	klaːu̯ikulae̯
clāviculārius	klaːu̯ikulaːrius
clāvile	klaːu̯ile
clāvis	klaːu̯is
clāvium	klaːu̯ium
clāvula	klaːu̯ula
clāvus	klaːu̯us
clāvārium	klaːu̯aːrium
clāvātus	klaːu̯aːtus
clāvēs	klaːu̯eːs
clāvī	klaːu̯iː
clāvīchordium	klaːu̯iːkʰordium
clāzomenae	klaːzzomenae̯
clēmentia	kleːmentia
clēmēns	kleːmens
clēricia	kleːrikia
clēricālis	kleːrikaːlis
clīdion	kliːdion
clīdēs	kliːdeːs
clīmactēricus	kliːmakteːrikus
clīnicus	kliːnikus
clīnō	kliːnoː
clīoe	kliːoe̯
clīsthenēs	kliːstʰeneːs
clītarchus	kliːtarkʰus
clītellae	kliːtellae̯
clītellārius	kliːtellaːrius
clīternia	kliːternia
clītumnus	kliːtumnus
clītōr	kliːtoːr
clīvius	kliːu̯ius
clīvus	kliːu̯us
clīvōsus	kliːu̯oːsus
clīō	kliːoː
clīūs	kliːuːs
clōdicō	kloːdikoː
clōdius	kloːdius
clōdus	kloːdus
clōstra	kloːstra
clūdō	kluːdoː
clūnis	kluːnis
clūsium	kluːsium
clūsius	klusius
cnaeus	nae̯u̯us
cneōron	kneoːron
cnidos	knidos
cnidus	knidus
cnāsōnae	knaːsoːnae̯
cnēmis	kneːmis
coa	koa
coacervātiō	koakeru̯aːtioː
coacervō	koakeru̯oː
coacēscō	koakeːskoː
coadūnō	koaduːnoː
coaedificō	koae̯difikoː
coaequālis	koae̯kʷaːlis
coaequō	koae̯kʷoː
coaevus	koae̯u̯us
coagitō	koaɡitoː
coagmentum	koaɡmentum
coagmentātiō	koaɡmentaːtioː
coagmentō	koaɡmentoː
coalitiō	koalitioː
coalitus	koalitus
coalēsce	koaleːske
coalēscō	koaleːskoː
coalō	koaloː
coambulō	koambuloː
coangustō	koanɡustoː
coarctāte	koarktaːte
coarctātiō	koarktaːtioː
coarctātus	koarktaːtus
coarctō	koarktoː
coarguō	koarɡuoː
coartat	koartat
coartā	koartaː
coartātiō	koartaːtioː
coartātus	koartaːtus
coartō	koartoː
cobanēnsis	kobanensis
coboea	koboe̯a
cobulātus	kobulatus
cocceus	kokkeus
cocciferus	kokkiferus
coccineum	kokkineum
coccineus	kokkineus
coccinus	kokkinus
coccum	kokkum
coccēius	kokkeːius
coccȳx	kokkyːks
cochinchinēnsis	kokʰinkʰinensis
cochinēnsis	kokʰinensis
cochlear	kokʰlear
cocilius	kokilius
cocistrō	kokistroː
coclea	koklea
coclear	koklear
cocles	kokles
cocolobis	kokolobis
cocondae	kokondae̯
cocosa	kokosa
cocosatēs	kokosateːs
coctile	koktile
coctilia	koktilia
coctilis	koktilis
coctiō	koktioː
coctor	koktor
coctūra	koktuːra
cocus	kokus
cocō	kokoː
codānī	kodaːniː
coefficiēns	koeffikiens
coelebs	koe̯lebs
coelernī	koe̯lerniː
coelestis	koe̯lestis
coelicolor	koe̯likolor
coeliger	koe̯liɡer
coelum	koe̯lum
coelus	koe̯lus
coelī	koe̯liː
coelō	koe̯loː
coemētērium	koe̯meːteːrium
coenobia	koe̯nobia
coenobium	koe̯nobium
coenobī	koe̯nobiː
coenulentus	koe̯nulentus
coenāculum	koe̯naːkulum
coenō	koe̯noː
coepiō	koe̯pioː
coeptus	koe̯ptus
coepī	koe̯piː
coerceō	koerkeoː
coercitiō	koerkitioː
coeruleus	koe̯ruleus
coerātor	koe̯raːtor
coetus	koe̯tus
coetānee	koe̯taːnee
coetāneī	koe̯taːneiː
coetāneō	koe̯taːneoː
coeuntis	koeuntis
coeus	koe̯us
coeō	koeoː
coffē̆a	koffea
coffē̆a	koffeːa
cofānus	kofaːnus
cogamus	koɡamus
cognitiō	koɡnitioː
cognātiō	koɡnaːtioː
cognātus	koɡnaːtus
cognōmen	koɡnoːmen
cognōminō	koɡnoːminoː
cognōscere	koɡnoːskere
cognōscere	koɡnoːskeːre
cognōscibilis	koɡnoːskibilis
cohabitō	kohabitoː
cohaereō	kohae̯reoː
cohaerēscō	kohae̯reːskoː
cohibeō	kohibeoː
cohibitiō	kohibitioː
cohibēre	kohibeːre
cohonestō	kohonestoː
cohorrēscō	kohorreːskoː
cohors	kohors
cohortor	kohortor
cohortātis	kohortaːtis
cohortātiō	kohortaːtioː
cohortātīs	kohortaːtiːs
cohortō	kohortoː
cohum	kohum
coiciō	koi̯i̯ikioː
coiector	koi̯i̯ektor
coincidam	koinkidam
coincide	koinkide
coincidentia	koinkidentia
coincidentēs	koinkidenteːs
coincidis	koinkidis
coincidisse	koinkidisse
coincidissem	koinkidissem
coincidissēs	koinkidisseːs
coincidās	koinkidaːs
coincidēre	koinkidere
coincidēre	koinkideːre
coincidēs	koinkideːs
coincidō	koinkidoː
coinquinātiō	koinkʷinaːtioː
coinquinātus	koinkʷinaːtus
coinquinō	koinkʷinoː
coitae	koitae̯
coitiō	koitioː
coitus	koitus
coitūrus	koituːrus
coix	koiks
coiēns	koiens
colaphizō	kolapʰizzoː
colapis	kolapis
colarnī	kolarniː
colchicus	kolkʰikus
colchis	kolkʰis
colebae	kolebae̯
coleoptrātus	koleoptraːtus
colimēnsis	kolimensis
coliās	koliaːs
collabōrō	kollaboːroː
collacrimō	kollakrimoː
collactea	kollaktea
collacteus	kollakteus
collactānea	kollaktaːnea
collactāneus	kollaktaːneus
collaudātiō	kollau̯daːtioː
collaudō	kollau̯doː
colligātiō	kolliɡaːtioː
collippō	kollippoː
colliquātiō	kollikʷaːtioː
colliquēscō	kollikʷeːskoː
colliquō	kollikʷoː
collis	kollis
collocātiō	kollokaːtioː
collocō	kollokoː
collocūtus	kollokuːtus
colloquium	kollokʷium
colloquor	kollokʷor
collum	kollum
colluviō	kolluu̯ioː
collybus	kollybus
collytus	kollytus
collābor	kollaːbor
collābundus	kollaːbundus
collāris	kollaːris
collārium	kollaːrium
collātia	kollaːtia
collātiō	kollaːtioː
collātīnus	kollaːtiːnus
collēcta	kolleːkta
collēctiō	kolleːktioː
collēctīvus	kolleːktiːu̯us
collēga	kolleːɡa
collēgium	kolleːɡium
collēgiālis	kolleːɡiaːlis
collēgiāte	kolleːɡiaːte
collēgiātus	kolleːɡiaːtus
collēgiō	kolleːɡioː
collī	kolliː
collīdō	kolliːdoː
collīne	kolliːne
collīnus	kolliːnus
collīsiō	kolliːsioː
collūceō	kolluːkeoː
collūctor	kolluːktor
collūctātiō	kolluːktaːtioː
collūdō	kolluːdoː
collūsiō	kolluːsioː
collūsor	kolluːsor
collūstrium	kolluːstrium
collūstrō	kolluːstroː
collȳrium	kollyːrium
colobium	kolobium
colobona	kolobona
colocāsia	kolokaːsia
colombiāna	kolombiaːna
colombiāna	kolombiaːnaː
colombiāne	kolombiaːne
colombiānus	kolombiaːnus
colombiānās	kolombiaːnaːs
colombiānī	kolombiaːniː
colombiānō	kolombiaːnoː
colombiānōs	kolombiaːnoːs
colombiēnsis	kolombiensis
colon	kolon
colophōn	kolopʰoːn
color	kolor
coloradēnsis	koloradensis
colossae	kolossae̯
colossus	kolossus
colossēum	kolosseːum
colossēus	kolosseːus
colostrum	kolostrum
coluber	koluber
colubra	kolubra
colubrifer	kolubrifer
colubrīnus	kolubriːnus
columba	kolumba
columbiānus	kolumbiaːnus
columbiēnsis	kolumbiensis
columbus	kolumbus
columbārium	kolumbaːrium
columbīnus	kolumbiːnus
columella	kolumella
columen	kolumen
columna	kolumna
columnārium	kolumnaːrium
colus	kolus
colycantiī	kolykantiiː
colēre	kolere
colī	koliː
colō	koloː
colōna	koloːna
colōnia	koloːnia
colōnica	koloːnika
colōnicus	koloːnikus
colōniārius	koloːniaːrius
colōnus	koloːnus
colōnārius	koloːnaːrius
colōnēus	koloːneːus
colōrem	koloːrem
colōribus	koloːribus
colōrius	koloːrius
colōrātum	koloːraːtum
colōrātus	koloːraːtus
colōrī	koloːriː
colōrō	koloːroː
colūrus	koluːrus
colūthia	koluːtʰia
coma	koma
comam	komam
comanda	komanda
comaron	komaron
combaristum	kombaristum
combibōnibus	kombiboːnibus
combrētum	kombreːtum
combīnandō	kombiːnandoː
combīnem	kombiːnem
combīnā	kombiːnaː
combīnāre	kombiːnaːre
combīnārem	kombiːnaːrem
combīnārās	kombiːnaːraːs
combīnārēs	kombiːnaːreːs
combīnās	kombiːnaːs
combīnāsse	kombiːnaːsse
combīnāssem	kombiːnaːssem
combīnāssēs	kombiːnaːsseːs
combīnātiō	kombiːnaːtioː
combīnēs	kombiːneːs
combīnō	kombiːnoː
combūrō	kombuːroː
comedit	komedit
comedit	komeːdit
comedō	komedoː
comes	komes
comeste	komeste
comicius	komikius
cominius	kominius
comitia	komitia
comitissa	komitissa
comitium	komitium
comitiālis	komitiaːlis
comitiō	komitioː
comitor	komitor
comitābilis	komitaːbilis
comitātus	komitaːtus
comitō	komitoː
comma	komma
commaculō	kommakuloː
commadeō	kommadeoː
commagēnē	kommaɡeːneː
commandō	kommandoː
commandūcō	kommanduːkoː
commaneō	kommaneoː
commanipulāris	kommanipulaːris
commarceō	kommarkeoː
commata	kommata
commeminī	kommeminiː
commemorat	kommemorat
commemorābilis	kommemoraːbilis
commemorātiō	kommemoraːtioː
commemorō	kommemoroː
commendābilis	kommendaːbilis
commendātitius	kommendaːtitius
commendātiō	kommendaːtioː
commendātor	kommendaːtor
commendātrīx	kommendaːtriːks
commendō	kommendoː
commentor	kommentor
commentārius	kommentaːrius
commentātiō	kommentaːtioː
commentīcius	kommentiːkius
commercium	kommerkium
commerciālis	kommerkiaːlis
commercor	kommerkor
commereō	kommereoː
commeō	kommeoː
commi	kommi
commictus	kommiktus
commigrō	kommiɡroː
commingō	komminɡoː
comminor	komminor
comminuō	komminuoː
comminābundus	komminaːbundus
comminātiō	komminaːtioː
comminīscor	komminiːskor
comminūtiō	komminuːtioː
commis	kommis
commisceō	kommiskeoː
commiscibilis	kommiskibilis
commiseror	kommiseror
commiserātiō	kommiseraːtioː
commiserēscō	kommisereːskoː
commissātiō	kommissaːtioː
commissūra	kommissuːra
committō	kommittoː
commodus	kommodus
commodō	kommodoː
commolō	kommoloː
commonefaciō	kommonefakioː
commonefactum	kommonefaktum
commonefactūrus	kommonefaktuːrus
commoneō	kommoneoː
commonitiō	kommonitioː
commonitum	kommonitum
commonitūrus	kommonituːrus
commonē	kommoneː
commordeō	kommordeoː
commorior	kommorior
commoror	kommoror
commortuus	kommortuus
commorābitur	kommoraːbitur
commorātiō	kommoraːtioː
commorātus	kommoraːtus
commorī	kommoriː
commoveō	kommou̯eoː
commulceō	kommulkeoː
commurmurō	kommurmuroː
commācerō	kommaːkeroː
commēnsūrābilis	kommensuːraːbilis
commētior	kommeːtior
commētō	kommeːtoː
commīlitium	kommiːlitium
commītigō	kommiːtiɡoː
commōlior	kommoːlior
commōnstrō	kommonstroː
commūnicābilis	kommuːnikaːbilis
commūnicārius	kommuːnikaːrius
commūnicātīvus	kommuːnikaːtiːu̯us
commūnicō	kommuːnikoː
commūnis	kommuːnis
commūnismus	kommuːnismus
commūnisticus	kommuːnistikus
commūniter	kommuːniter
commūnitārius	kommuːnitaːrius
commūnitās	kommuːnitaːs
commūniō	kommuːnioː
commūnāle	kommuːnaːle
commūnālis	kommuːnaːlis
commūnālēs	kommuːnaːleːs
commūnītiō	kommuːniːtioː
commūtābilis	kommuːtaːbilis
commūtātiō	kommuːtaːtioː
commūtō	kommuːtoː
compactus	kompaktus
compacīscor	kompakiːskor
compalpō	kompalpoː
comparcō	komparkoː
comparticeps	kompartikeps
compartior	kompartior
comparābilis	komparaːbilis
comparātīvus	komparaːtiːu̯us
comparō	komparoː
compassibilis	kompassibilis
compassiō	kompassioː
compater	kompater
compatior	kompatior
compecīscor	kompekiːskor
compediō	kompedioː
compellātiō	kompellaːtioː
compendium	kompendium
compendiārius	kompendiaːrius
compendō	kompendoː
compercō	komperkoː
comperendinō	komperendinoː
comperiō	komperioː
compescō	kompeskoː
competenter	kompetenter
competentia	kompetentia
competentī	kompetentiː
competītiō	kompetiːtioː
competītor	kompetiːtor
competītrīx	kompetiːtriːks
compitum	kompitum
compitālicius	kompitaːlikius
compitālis	kompitaːlis
complaceō	komplakeoː
complantō	komplantoː
complector	komplektor
complectō	komplektoː
complexiō	kompleksioː
complexus	kompleksus
complexō	kompleksoː
compleō	kompleoː
complicā	komplikaː
complicārem	komplikaːrem
complicārās	komplikaraːs
complicārēs	komplikaːreːs
complicās	komplikaːs
complicāsse	komplikasse
complicāssem	komplikassem
complicāssēs	komplikasseːs
complicō	komplikoː
compluit	kompluit
compluor	kompluor
compluvium	kompluu̯ium
complānō	komplaːnoː
complēmentārius	kompleːmentaːrius
complētam	kompleːtam
complēte	kompleːte
complētus	kompleːtus
complētās	kompleːtaːs
complētīvus	kompleːtiːu̯us
complētōrĭum	kompleːtoːrium
complōdō	komploːdoː
complōrātiō	komploːraːtioː
complōrō	komploːroː
complūsculī	kompluːskuliː
complūtum	kompluːtum
comportō	komportoː
compos	kompos
composite	komposite
compositiō	kompositioː
compositor	kompositor
compositus	kompositus
compositō	kompositoː
compote	kompote
compotis	kompotis
compotīs	kompotiːs
compotōrum	kompotoːrum
comprehendō	komprehendoː
comprehēnsibilis	komprehensibilis
comprehēnsiō	komprehensioː
comprehēnsīvus	komprehensiːu̯us
comprehēnsō	komprehensoː
compressa	kompressa
compressa	kompressaː
compresse	kompresse
compressiō	kompressioː
comprimō	komprimoː
comprobātor	komprobaːtor
comprobō	komproboː
comprānsor	kompransor
comprēndō	kompreːndoː
comprōmissum	komproːmissum
comprōmittō	komproːmittoː
compsa	kompsa
compsatus	kompsatus
compugnō	kompuɡnoː
compungō	kompunɡoː
computandō	komputandoː
computem	komputem
computrēscō	komputreːskoː
computā	komputaː
computārem	komputaːrem
computārās	komputaːraːs
computārēs	komputaːreːs
computās	komputaːs
computāsse	komputaːsse
computāssēs	komputaːsseːs
computātrum	komputaːtrum
computātrālis	komputaːtraːlis
computātōrius	komputaːtoːrius
computēs	komputeːs
computī	komputiː
computō	komputoː
compācta	kompaːkta
compācta	kompaːktaː
compāctiō	kompaːktioː
compāctor	kompaːktor
compāctus	kompaːktus
compāctās	kompaːktaːs
compāctō	kompaːktoː
compāctōs	kompaːktoːs
compācō	kompaːkoː
compāgēs	kompaːɡeːs
compāniō	kompaːnioː
compār	kompaːr
compāreō	kompaːreoː
compāscuus	kompaːskuus
compāscō	kompaːskoː
compēnsandō	kompensandoː
compēnsat	kompensat
compēnsem	kompensem
compēnsā	kompensaː
compēnsārem	kompensaːrem
compēnsārās	kompensaːraːs
compēnsārēs	kompensaːreːs
compēnsās	kompensaːs
compēnsāsse	kompensaːsse
compēnsāssem	kompensaːssem
compēnsāssēs	kompensaːsseːs
compēnsātīva	kompensaːtiːu̯a
compēnsātīva	kompensaːtiːu̯aː
compēnsātīve	kompensaːtiːu̯e
compēnsātīvus	kompensaːtiːu̯us
compēnsātīvī	kompensaːtiːu̯iː
compēnsātīvō	kompensaːtiːu̯oː
compēnsēs	kompenseːs
compēnsō	kompensoː
compīlāre	kompiːlaːre
compīlātiō	kompiːlaːtioː
compīlātor	kompiːlaːtor
compīlō	kompiːloː
compōnō	kompoːnoː
compōtrīx	kompoːtriːks
compōtātiō	kompoːtaːtioː
compōtōrum	kompoːtoːrum
compūnctiō	kompuːnktioː
comāna	komaːna
comās	komaːs
comātius	komaːtius
comēsse	komeːsse
comēta	komeːta
comētam	komeːtam
comētās	komeːtaːs
comētē	komeːteː
comētēs	komeːteːs
comōsus	komoːsus
conbibō	konbiboː
conbūrō	konbuːroː
conca	konka
concalefaciō	konkalefakioː
concaleō	konkaleoː
concallēscō	konkalleːskoː
concalēscō	konkaleːskoː
concamarātus	konkamaraːtus
concanicus	konkanikus
concanī	konkaniː
concarnō	konkarnoː
concatēnō	konkateːnoː
concavus	konkau̯us
concelēbrō	konkeleːbroː
concentiō	konkentioː
concentus	konkentus
conceptiō	konkeptioː
conceptus	konkeptus
conceptuālis	konkeptuaːlis
concernō	konkernoː
concerpō	konkerpoː
concertātiō	konkertaːtioː
concertātōrius	konkertaːtoːrius
concertō	konkertoː
concessibilis	konkessibilis
concessiō	konkessioː
concha	konkʰa
concheus	konkʰeus
conchȳliātus	konkʰyːliaːtus
concidere	konkidere
concidere	konkideːre
concidō	konkidoː
concieō	konkieoː
conciliante	konkiliante
concilium	konkilium
conciliābulum	konkiliaːbulum
conciliātiō	konkiliaːtioː
conciliātor	konkiliaːtor
conciliātrīx	konkiliaːtriːks
conciliō	konkilio
concinnior	konkinnior
concinnitās	konkinnitaːs
concinnus	konkinnus
concinnātiō	konkinnaːtioː
concinō	konkinoː
concionor	konkionor
concipiō	konkipioː
concitātiō	konkitaːtioː
conciāre	konkiaːre
conciō	konkioː
conclāmātiō	konklaːmaːtioː
conclāmātus	konklaːmaːtus
conclāmō	konklaːmoː
conclāve	konklaːu̯e
conclūdēre	konkluːdere
conclūdēre	konkluːdeːre
conclūdō	konkluːdoː
conclūsiuncula	konkluːsiunkula
concoctiō	konkoktioː
concolor	konkolor
concomitor	konkomitor
concoquō	konkokʷoː
concordem	konkordem
concordia	konkordia
concorditer	konkorditer
concordiālis	konkordiaːlis
concordēs	konkordeːs
concordō	konkordoː
concors	konkors
concremō	konkremoː
concrepō	konkrepoː
concreō	konkreoː
concrēdō	konkreːdoː
concrēscō	konkreːskoː
concubeō	konkubeoː
concubius	konkubius
concubīna	konkubiːna
concubīnus	konkubiːnus
conculcō	konkulkoː
concumbō	konkumboː
concupiscibilis	konkupiskibilis
concupiō	konkupioː
concupīscēns	konkupiːskens
concupīscō	konkupiːskoː
concurrentia	konkurrentia
concurrō	konkurroː
concussī	konkussiː
concutiō	konkutioː
concēdō	konkeːdoː
concēlō	konkeːloː
concēna	konkeːna
concēnātiō	konkeːnaːtioː
concīdere	konkiːdere
concīdō	konkiːdoː
conde	konde
condecet	kondeket
condecorō	kondekoroː
condemnātiō	kondemnaːtioː
condemnō	kondemnoː
condiciōnābilis	kondikioːnaːbilis
condiciōnālis	kondikioːnaːlis
condiciōnāliter	kondikioːnaːliter
condictiō	kondiktioː
condictum	kondiktum
condictīcius	kondiktiːkius
condictītius	kondiktiːtius
condignus	kondiɡnus
condiscipulus	kondiskipulus
condiscipulātus	kondiskipulaːtus
condiscō	kondiskoː
conditiō	konditioː
conditiōnālis	konditioːnaːlis
conditor	konditor
conditīvus	konditiːu̯us
condivincum	kondiu̯inkum
condiō	kondioː
condocefaciō	kondokefakioː
condoceō	kondokeoː
condoleō	kondoleoː
condolēscō	kondoleːskoː
condominium	kondominium
condormiō	kondormioː
condrūsī	kondruːsiː
conductor	konduktor
conductrīx	konduktriːks
conductēla	kondukteːla
conductīcius	konduktiːkius
conductītius	konduktiːtius
condulcō	kondulkoː
condumnō	kondumnoː
conduplicō	konduplikoː
condurdum	kondurdum
condux	konduks
condylus	kondylus
condātē	kondaːteː
condēcernō	kondeːkernoː
condēlector	kondeːlektor
condēnsat	kondensat
condēnsus	kondensus
condēnsātiō	kondensaːtioː
condēnsō	kondensoː
condēscendō	kondeːskendoː
condēscēnsiō	kondeːskensioː
condīcō	kondiːkoː
condīmentum	kondiːmentum
condītiō	kondiːtioː
condītor	kondiːtor
condō	kondoː
condōnātiō	kondoːnaːtioː
condōnō	kondoːnoː
condūcenter	konduːkenter
condūcibilis	konduːkibilis
condūcibiliter	konduːkibiliter
condūcō	konduːkoː
congaudeō	konɡau̯deoː
congelābilis	konɡelaːbilis
congelātiō	konɡelaːtioː
congelō	konɡeloː
congeminō	konɡeminoː
congemō	konɡemoː
conger	konɡer
congestiō	konɡestioː
congestīcius	konɡestiːkius
congius	konɡius
congiārius	konɡiaːrius
conglaciō	konɡlakioː
conglobātiō	konɡlobaːtioː
conglobō	konɡloboː
conglomerō	konɡlomeroː
conglōrificō	konɡloːrifikoː
conglūtinātiō	konɡluːtinaːtioː
conglūtinō	konɡluːtinoː
congoānus	konɡoaːnus
congoēnsis	konɡoensis
congredior	konɡredior
congregābilis	konɡreɡaːbilis
congregātiō	konɡreɡaːtioː
congregātīvus	konɡreɡaːtiːu̯us
congregō	konɡreɡoː
congressiō	konɡressioː
congrua	konɡrua
congrua	konɡruaː
congrue	konɡrue
congruentia	konɡruentia
congruus	konɡruus
congruī	konɡruiː
congruō	konɡruoː
congrātulor	konɡraːtulor
congrātulātiō	konɡraːtulaːtioː
congāvīsūrus	konɡaːu̯iːsuːrus
congȳrō	konɡyːroː
coniciō	koni̯ikioː
coniectiō	koni̯ektioː
coniector	koni̯ektor
coniectrīx	koni̯ektriːks
coniectānea	koni̯ektaːnea
coniectārius	koni̯ektaːrius
coniectātiō	koni̯ektaːtioː
coniectō	koni̯ektoː
coniectūra	koni̯ektuːra
coniectūrālis	koni̯ektuːraːlis
coniectūrāliter	koni̯ektuːraːliter
coniiciō	koni̯ikioː
conimbrīga	konimbriːɡa
conisium	konisium
conistērium	konisteːrium
coniugium	koni̯uɡium
coniugālis	koni̯uɡaːlis
coniugātiō	koni̯uɡaːtioː
coniugēns	koni̯uɡens
coniugō	koni̯uɡoː
coniungō	koni̯unɡoː
coniī	koni̯iː
coniūcundor	koni̯uːkundor
coniūncte	koni̯uːnkte
coniūnctim	koni̯uːnktim
coniūnctiō	koni̯uːnktioː
coniūnctum	koni̯uːnktum
coniūnctē	koni̯uːnkteː
coniūnctīva	koni̯uːnktiːu̯a
coniūnctīva	koni̯uːnktiːu̯aː
coniūnctīvae	koni̯uːnktiːu̯ae̯
coniūnx	koni̯uːnks
coniūrātiō	koni̯uːraːtioː
coniūrātum	koni̯uːraːtum
coniūrātus	koni̯uːraːtus
coniūrō	koni̯uːroː
conjiciō	koni̯ikioː
conjūnctīva	koni̯uːnktiːu̯a
conjūnctīva	koni̯uːnktiːu̯aː
conjūnctīvae	koni̯uːnktiːu̯ae̯
conlabōrō	konlaboːroː
conlacrimō	konlakrimoː
conlaudō	konlau̯doː
conlocō	konlokoː
conloquor	konlokʷor
conlābor	konlaːbor
conlīdō	konliːdoː
conlūctor	konluːktor
conlūdō	konluːdoː
conmandūcō	konmanduːkoː
conmorior	konmorior
conmētior	konmeːtior
connecticūta	konnektikuːta
connectō	konnektoː
connexa	konneksa
connexa	konneksaː
connexum	konneksum
connexī	konneksiː
connexīs	konneksiːs
connexō	konneksoː
connexōrum	konneksoːrum
connumerō	konnumeroː
connītor	konniːtor
connōnius	konnoːnius
conparticeps	konpartikeps
conpartior	konpartior
conparābilis	konparaːbilis
conparō	konparoː
conpatior	konpatior
conpediō	konpedioː
conpellō	konpelloː
conperiō	konperioː
conpescō	konpeskoː
conpetō	konpetoː
conpingō	konpinɡoː
conplaceō	konplakeoː
conplantō	konplantoː
conplector	konplektor
conplexō	konpleksoː
conplicō	konplikoː
conpluor	konpluor
conplānō	konplaːnoː
conplōdō	konploːdoː
conplūrēs	konpluːreːs
conponō	konponoː
conportō	konportoː
conpos	konpos
conprehendō	konprehendoː
conprimō	konprimoː
conprobō	konproboː
conprānsor	konpransor
conpugnō	konpuɡnoː
conpulsō	konpulso
conpungō	konpunɡoː
conputrēscō	konputreːskoː
conputō	konputoː
conpār	konpaːr
conpīlō	konpiːloː
conquaerō	konkʷae̯roː
conquassātiō	konkʷassaːtioː
conquassō	konkʷassoː
conqueror	konkʷeror
conquestiō	konkʷestioː
conquestāre	konkʷestaːre
conquestō	konkʷestoː
conquinīscō	konkʷiniːskoː
conquiēscō	konkʷieːskoː
conquiētum	konkʷieːtum
conquīrō	konkʷiːroː
conquīsītiō	konkʷiːsiːtioː
conresurgō	konresurɡoː
conresuscitō	konresuskitoː
conrogō	konroɡoː
conrēgnō	konreːɡnoː
conrōborō	konroːboroː
conrōdō	konroːdoː
consōpiō	konsoːpioː
contabulātiō	kontabulaːtioː
contabulātum	kontabulaːtum
contabulātūrus	kontabulaːtuːrus
contabulō	kontabuloː
conte	konte
contegō	konteɡoː
contemerō	kontemeroː
contemnō	kontemnoː
contemperō	kontemperoː
contemplat	kontemplat
contemplor	kontemplor
contemplābilis	kontemplaːbilis
contemplābiliter	kontemplaːbiliter
contemplābundus	kontemplaːbundus
contemplātim	kontemplaːtim
contemplātiō	kontemplaːtioː
contemplātrīx	kontemplaːtriːks
contemplātīvus	kontemplaːtiːu̯us
contemplātōr	kontemplaːtoːr
contemplātōrius	kontemplaːtoːrius
contemplō	kontemploː
contemptibilis	kontemptibilis
contemptus	kontemptus
contendō	kontendoː
contenebra	kontenebra
contentiōsus	kontentioːsus
contenēbrō	konteneːbroː
conterminum	konterminum
conterminus	konterminus
conterreō	konterreoː
conterō	konteroː
contestor	kontestor
contestānī	kontestaːniː
contextus	kontekstus
contexō	konteksoː
conticeō	kontikeoː
conticinium	kontikinium
conticēscō	kontikeːskoː
conticīscō	kontikiːskoː
contiger	kontiɡer
contignātiō	kontiɡnaːtioː
contignō	kontiɡnoː
contiguitās	kontiɡuitaːs
contiguus	kontiɡuus
contineō	kontineoː
contingentia	kontinɡentia
contingō	kontinɡoː
continuum	kontinuum
continuus	kontinuus
continēns	kontinens
contorqueō	kontorkʷeoː
contorreō	kontorreoː
contortiō	kontortioː
contortus	kontortus
contosolia	kontosolia
contractiō	kontraktioː
contractus	kontraktus
contractīvus	kontraktiːu̯us
contrahō	kontrahoː
contrebis	kontrebis
contrectātiō	kontrektaːtioː
contrectō	kontrektoː
contremēscō	kontremeːskoː
contremīscō	kontremiːskoː
contremō	kontremoː
contribulō	kontribuloː
contribuēre	kontribuere
contribuēre	kontribueːre
contribuō	kontribuoː
contribūlis	kontribuːlis
contribūtiō	kontribuːtioː
contristātiō	kontristaːtioː
contrucīdō	kontrukiːdoː
contrā	kontraː
contrādictiuncula	kontraːdiktiunkula
contrādictiō	kontraːdiktioː
contrādictor	kontraːdiktor
contrādictōrius	kontraːdiktoːrius
contrādictōrēs	kontraːdiktoːreːs
contrādīcibilis	kontraːdiːkibilis
contrādīcō	kontraːdiːkoː
contrārius	kontraːrius
contrārētiārius	kontraːreːtiaːrius
contrāscrībō	kontraːskriːboː
contrāstō	kontraːstoː
contrāvenit	kontraːu̯enit
contrāvenit	kontraːu̯eːnit
contrāveniō	kontraːu̯enioː
contrāvenīmus	kontraːu̯eniːmus
contrāvenīmus	kontraːu̯eːnimus
contrāvēnerimus	kontraːu̯eːnerimus
contrāvēnerimus	kontraːu̯eːneriːmus
contrāvēneris	kontraːu̯eːneris
contrāvēneris	kontraːu̯eːneriːs
contrāvēneritis	kontraːu̯eːneritis
contrāvēneritis	kontraːu̯eːneriːtis
contrīstō	kontriːstoː
contrīte	kontriːte
contrītus	kontriːtus
contrōversia	kontroːu̯ersia
contrōversiōsus	kontroːu̯ersioːsus
contrōversus	kontroːu̯ersus
contrūdō	kontruːdoː
contubernium	kontubernium
contuberniō	kontubernioː
contueor	kontueor
contumulō	kontumuloː
contumācia	kontumaːkia
contumāciter	kontumaːkiter
contumāx	kontumaːks
contumēlia	kontumeːlia
contumēliōsus	kontumeːlioːsus
contundō	kontundoː
conturbō	konturboː
contābundus	kontaːbundus
contābēscō	kontaːbeːskoː
contācta	kontaːkta
contāctam	kontaːktam
contācte	kontaːkte
contāctum	kontaːktum
contāctus	kontaːktus
contāctās	kontaːktaːs
contāctō	kontaːktoː
contāgia	kontaːɡia
contāgiōsa	kontaːɡioːsa
contāgiōsa	kontaːɡioːsaː
contāgiōse	kontaːɡioːse
contāgiōsus	kontaːɡioːsus
contāgiōsās	kontaːɡioːsaːs
contāgiōsī	kontaːɡioːsiː
contāgiōsō	kontaːɡioːsoː
contāgiōsōs	kontaːɡioːsoːs
contāminātiō	kontaːminaːtioː
contāminō	kontaːminoː
