3	tʂɚ
budowałyby	budɔvawɨbɨ
budowałybyście	budɔvawɨbɨɕtɕɛ
budowałybyśmy	budɔvawɨbɨɕmɨ
budowałyście	budɔvawɨɕtɕɛ
budowałyśmy	budɔvawɨɕmɨ
budowla	budɔvla
budowlaniec	budɔvlanie
budowlaniec	budɔvlanie̝ts
budowlaniec	budɔvlaɲɛts
budowlanka	budɔvlaŋka
budowlany	budovlami
budowlany	budɔvlanɨ
budowlańcy	budɔvlaɲtsɛ
budownictwo	budɔvɲitstfɔ
budowniczowie	budɔvɲitʂɔvjɛ
budowniczy	budɔvɲitʂɨ
budownik	budɔvɲik
budrewicz	budrɛvitʂ
buduar	buduar
buduarek	buduarɛk
buduarowy	buduarɔvɨ
buduj	buduj
budujcie	budujtɕɛ
budujecie	budujɛtɕɛ
budujemy	budujemif
budujemy	budujɛmɨ
budujesz	budujɛʂ
budujmy	budujmɨ
budują	budujɔw̃
budując	budujɔnts
budująca	budujɔntsa
budujące	budujɔntsɛ
budująco	budujɔːntsɔ
budujący	budujɔntsɨ
buduję	budujɛ
budulcowy	budultsɔvɨ
budulec	budulɛts
budy	budɨ
budych	budɨx
budyneczek	budɨnɛtʂɛk
budynek	budɨnɛk
budynek	budˈeˈnek
budyniowy	budɨɲɔvɨ
budynkiewicz	budɨŋkjɛvitʂ
budynku	budɛnku
budynku	budɨŋku
budyń	budɨɲ
budzenie	budzɛɲɛ
budzi	budʑi
budzi	budʒi
budziak	budʑak
budzianowski	budʑwanɔvski
budzich	budʑix
budziciel	bɔdʑitɕɛl
budzik	budʑik
budzika	budzjika
budzikami	budʑikɔmi
budziki	budʒiki
budzikom	budʑikɔm
budzikowi	budʑikɔvi
budzikowska	budʑikɔfska
budzikowski	budʑikɔfski
budzikur	budʑikur
budzioch	budʑɔx
budziosz	budʑɔʂ
budzisz	budʑiʂ
budziszewice	budzʲiʂavʲitsːa
budziszewice	budʑiʂɛvʲitsɛ
budziszewski	budʑɛʂɛfski
budziszyn	budʑiʂɨn
budziszyniance	budʑiʂɨɲantsɛ
budziszynianek	budʑiʂɨɲanɛk
budziszynianka	budʑiʂɨɲanka
budziszynianka	budʑiʂɨɲaŋka
budziszyniankach	budʑiʂɨɲaŋkax
budziszyniankami	budʑiʂɨɲaŋkami
budziszynianki	budʑiʂɨɲaŋki
budziszynianko	budʑiʂɨɲaŋkɔ
budziszyniankom	budʑiʂɨɲaŋkɔm
budziszynianką	budʑiʂɨɲaŋkɔw̃
budziszyniankę	budʑiʂɨɲaŋkɛ
budzisławski	budʑiswafski
budzić	budʑitɕ
budził	budʑiw
budziła	budʑiwa
budziło	budʑiwɔ
budziłowicz	budʑiwɔvitʂ
budziły	budzʲivɨ
budziński	budʑiɲski
budzoń	budzɔɲ
budzyn	budzɨn
budzyń	budzɨɲ
budzyński	budzɛɲski
budzyński	budzɨɲski
budzów	budzuz
budzą	budzɔw̃
budzę	budzɛ
budź	budʒi
budź	butɕ
budżet	budʐɛt
budżetowy	budʐɛtɔvɨ
budżetówka	budʐɛtufka
bufa	bufa
bufecik	bufɛtɕik
bufet	bufɛt
bufetowy	bufɛtɔvɨ
bufiasty	bufjastɨ
bufiastymi	pufjastɛmi
bufka	bufka
bufon	bufɔn
bufonada	bufɔnada
bufonada	vufɔnada
bufoniasty	bufoɲastɨ
bufor	bufa
bufor	bufɔr
buforowa	buforova
bufory	bufɔrɨ
bug	buk
bug	guk
buga	buga
bugaj	bugaj
bugajski	bugajski
bugatti	bugˈatˈtˈiŋ
bugdal	bugdal
bugdał	bugdaw
bugdol	bugdɔl
bugdoll	bugdɔll
bugdoł	bugdɔw
bugenwilla	bugɛnvilla
bugiel	bugjɛl
buhaj	buxaj
buhaj	buxaˈj
buhaja	buxaja
buhajach	buxajax
buhajami	buxajami
buhaje	buxajɛ
buhajem	buxajɛm
buhajom	buxajɔm
buhajowi	buxajɔvi
buhaju	buxaju
buhajów	buxajuf
buick	bik
buja	buja
bujak	bujak
bujakiewicz	bujakjɛvitʂ
bujakowski	bujakɔfski
bujam	bujam
bujanie	bujaɲɛ
bujanina	bujanina
bujanowicz	bujanɔvitʂ
bujas	bujas
bujać	bujat
bujać	bujatɕ
bujd	bujt
bujda	bujda
bujdach	bujdax
bujdami	bujdami
bujdo	bujdɔ
bujdom	bujdɔm
bujdy	bujde
bujdy	bujdɨ
bujdzie	bujdʑɛ
bujdą	bujdɔw̃
bujdę	bujdɛ
bujewicz	bujɛvitʂ
bujna	bujna
bujne	bujnɛ
bujnicka	bujɲitska
bujnicki	bujɲitski
bujnie	bujɲɛ
bujniej	bujɲej
bujniejszego	bujɲɛjʂɛgɔ
bujniejszy	bujɲɛjʂɨ
bujniewicz	bujɲɛvitʂ
bujnokłosy	bujnɔkuɔsɨ
bujnowicz	bujnɔvitʂ
bujność	bujnɔɕtɕ
bujny	bujnɨ
bujną	bujnɔw̃
bujnąć	bujnɔɲtɕ
bujok	bujɔk
buk	buk
buk	bˈuk
buka	buka
bukach	bukax
bukal	bukal
bukami	bukami
bukareszt	bukarɛʂt
bukaresztenka	bukarɛʂtɛŋka
bukareszteńczyk	bukarɛʂtɛɲtʂɨk
bukareszteński	bukarɛʂtɛɲski
bukała	bukava
buki	buki
bukieciarnia	bukitsiarɲa
bukiecik	bukjɛtɕik
bukiel	bukjɛl
bukiem	bukjɛm
bukiet	bukjɛt
bukiet	bukɛt
bukietnicowate	bukjɛtɲitsovatɛ
bukietnicowaty	bukjɛtɲitsɔvatɨ
bukietnicowce	wukjɛtɲitsɔftsɛ
bukietowy	bukjɛtɔvɨ
bukiew	bukev
bukiew	bukjɛf
bukiewicz	bukjɛvitʂ
bukmacher	bukmaxɛr
bukmacherski	bukmaxɛrski
bukoliczny	bwukɔlitʂnɨ
bukolika	bukɔlika
bukom	bukɔm
bukowali	bukɔvali
bukowaliby	bukɔvalibɨ
bukowalibyście	bukɔvalibɨɕtɕɛ
bukowalibyśmy	bukɔvalibɨɕmɨ
bukowaliście	bukɔvaliɕtɕɛ
bukowaliśmy	bukɔvaliɕmɨ
bukowaty	bukɔvaˈtɛ
bukować	bukɔvatɕ
bukował	bukɔvaw
bukowała	bukɔvawa
bukowałaby	bukɔvawabɨ
bukowałabym	bukɔvawabɨm
bukowałabyś	bukɔvawabɨɕ
bukowałam	bukɔvawam
bukowałaś	bukɔvawaɕ
bukowałby	bukɔvawbɨ
bukowałbym	bukɔvawbɨm
bukowałbyś	bukɔvawbɨɕ
bukowałem	bukɔvawɛm
bukowałeś	bukɔvawɛɕ
bukowało	bukɔvawɔ
bukowałoby	bukɔvawɔbɨ
bukowały	bukɔvawɨ
bukowałyby	bukɔvawɨbɨ
bukowałybyście	bukɔvawɨbɨɕtɕɛ
bukowałybyśmy	bukɔvawɨbɨɕmɨ
bukowałyście	bukɔvawɨɕtɕɛ
bukowałyśmy	bukɔvawɨɕmɨ
bukowczyk	bukɔftʂɨk
bukowi	bukɔvi
bukowicz	bukɔvitʂ
bukowiec	bukɔvjɛts
bukowina	bukɔvina
bukowno	bukɔʑnɔ
bukowska	bukɔfska
bukowski	bukɔfski
bukowski	bukˈovski
bukowy	bukɔvɨ
buksować	buksovatɕ
buksować	buksɔvatɕ
bukszpan	bukʂpan
bukszpan	bukʃpan
bukszpir	bukʂpir
bukszpryt	bukʂprɨt
buku	buku
bukuj	bukuj
bukujcie	bukujtɕɛ
bukuje	bukujɛ
bukujecie	bukujɛtɕɛ
bukujemy	bukujɛmɨ
bukujesz	bukujɛʂ
bukujmy	bukujmɨ
bukują	bukujɔw̃
bukuję	bukujɛ
bukwa	bukfa
bukwica	bukfitsa
buków	bukuf
bukówka	bukuzka
bukłak	bukwak
bul	bul
bula	bula
bula	bʊla
bulach	bulax
bulak	bulak
bulami	bulami
buldog	buldɔk
buldożer	buldɔʐɛr
bule	bulɛ
bulenda	bulɛnda
bulewicz	bulɛvitʂ
bulgot	bulgɔt
bulgotanie	bulgɔtaɲɛ
bulgotać	bulgɔtatɕ
buli	buli
bulicie	bulitɕɛ
bulik	bolik
bulimy	bulimɨ
bulion	bulion
bulion	buljɔn
bulisz	buliʂ
bulić	bulitɕ
bulkiewicz	bulkjɛvitʂ
bulla	bulla
bullterier	bultɛrjɛr
bullying	buliŋk
bulo	bulɔ
bulodrom	bulɔdrɔm
bulom	bulɔm
bulona	bulɔna
bulone	bulɔnɛ
bulony	bulɔnɨ
buloną	bulɔnɔw̃
bulterier	bultɛrjɛr
bulwa	bolva
bulwa	bulva
bulwar	bulvar
bulwar	bulvˈar
bulwers	bulvɛrs
bulwersować	bulvɛrsɔvatɕ
bulwersujące	bulfɛrwsujɔɲtsɛ
bulwiasty	bulvjastɨ
bulwka	bulfka
bulwocebula	bulvɔtsɛbula
bulwowe	bulgɔva
bulą	bulɔw̃
bulę	bulɛ
bum	bum
bumaga	bumaga
bumażka	bumaʂka
bumblerka	bumplərka
bumbul	bumbul
bumelanctwo	bumɛlanntsˈtˈvɔ
bumelanctwo	bumɛlantstfɔ
bumelant	bumɛlant
bumelantka	bumɛlantka
bumelowanie	bumɛlɔvaɲiɛ
bumelować	bumɛlɔvatɕ
bumerang	bumɛraŋk
bumlować	bumnɔvatɕ
buncik	buntɕik
bundowiec	bundɔvjɛts
bundz	bunts
buniowska	buɲɔfska
buniowski	buɲɔfski
bunkier	bunkɪr
bunkier	buŋkjɛr
bunkierka	bunkelka
bunkrować	puŋkrobatɕ
bunsch	bunsx
bunt	bunt
bunt	bunt̪
buntować	buntɔvatɕ
buntowniczka	buntɔvɲitʂka
buntowniczo	buntɔvɲitʂɔ
buntowniczość	buntɔvɲitʂɔɕtɕ
buntowniczość	funtɔfɲitʂɔɕtɕ
buntowniczy	buntɔvɲitʂɨ
buntownik	buntɔvɲik
bur	bur
bura	bura
burach	burax
buractwo	boratstfɔ
buraczana	buɾatʂana
buraczanka	pavatʂanka
buraczaność	buraʂanaɕtɕ
buraczany	buratʂanɨ
buraczek	buratʂɛk
buraczek	buraːtʃɛk
buraczki	buratɕki
buraczki	buraːtʃki
buraczysko	buratʂɨskɔ
burak	burak
buraki	buraki
buraki	buraːki
burakiewicz	burakjɛvitʂ
buraku	buraku
buran	buran
buras	buras
burawy	buˈravɨ
buraś	buraɕ
burce	burtsɛ
burcz	burtʂ
burczenie	burtʂɛɲɛ
burczeć	burtʂɛtɕ
burczy	burtʂɨ
burczybas	burtʂɨbas
burczycie	burtʂɨtɕɛ
burczyk	burtʂɨk
burczymucha	burtʂɨmuxa
burczymusze	burtʂɨmuʂɛ
burczymy	burtʂɨmɨ
burczysz	burtʂɨʂ
burczą	burtʂɔw̃
burczę	burtʂɛ
burda	burda
burdel	burdɛl
burdel	burðel
burdelchata	burdɛlxata
burdelchata	burdɛlχata
burdelik	burdɛlik
burdelmama	burdɛlmama
burdelowy	burdɛlɔvɨ
burdelówa	burdalɔva
burdelówa	burdɛluva
burdelówka	burdalufka
burdelówka	burdɛlufka
burdziński	burdʑiɲski
burdzy	burdzɨ
bure	burɛ
burego	burɛgɔ
burej	burɛj
burek	burɛk
buremu	burɛmu
burger	burgɛr
burgerownia	burgarɔvɲa
burgrabia	burgrabja
burgrabia	burgraːbia
burgrabski	burgrɑpski
burgraf	pwˈrgˈraf
burgundia	burgundja
buriaccy	burjatstsɨ
buriacja	burjatsja
buriacka	burjatska
buriacki	burjatski
buriackich	burjatskix
buriackie	burjatskjɛ
buriackiego	burjatskjɛgɔ
buriackiej	burjatskjɛj
buriackiemu	burjatskjɛmu
buriackim	burjatskim
buriackimi	burjatskimi
buriacką	burjatskɔw̃
burito	buritɔ
burka	burka
burkach	burkax
burkami	burkami
burki	burki
burkiewicz	burkjɛvitʂ
burkniecie	burkɲɛtɕɛ
burknięcie	burkɲɛɲtɕɛ
burknąć	burknɔɲtɕ
burko	burkɔ
burkom	burkɔm
burkot	burkɔt
burkotać	burkɔtatɕ
burkowicz	burkɔvitʂ
burką	burkɔw̃
burkę	burkɛ
burleska	burlɛska
burliga	burliga
burmistrz	bormʲistʂ
burmistrz	burmistʂ
burmistrza	purmiːstʂa
burmistrzyni	burmistʂɨɲi
burmuszy	burmuʂɨ
burmuszyć	burmuʂɨtɕ
burmuszą	burmuʂɔw̃
burmuszę	burmuʂɛ
burniak	burɲæk
burniewicz	burɲɛvitʂ
burnus	burnus
burny	burnɨ
burnóg	burnuk
buro	burɔ
burogranatowy	burogramatɔvɨ
burom	burɔm
buroniebieski	buroɲɛbjɛski
burozielony	burɔzjɛlɔmɨ
buroń	burɔɲ
burość	buroʃtɕ
burrito	burritɔ
bursa	bursa
bursarz	bursaʃ
burski	burski
burszostwo	burʂaʂtˈvˈa
burszowski	burʂovski
bursztyn	burʂtɨn
bursztynach	burʂtɨnax
bursztynami	burʂtɨnami
bursztynce	burʂtɨntsɛ
bursztynek	burʂtɨnɛk
bursztynem	burʂtɨnɛm
bursztynie	burʂtɨɲɛ
bursztynka	burʂtɨŋka
bursztynkach	burʂtɨŋkax
bursztynkami	burʂtɨŋkami
bursztynki	burʂtɨŋki
bursztynkiem	burʂtɨŋkjɛm
bursztynko	burʂtɨŋkɔ
bursztynkom	burʂtɨŋkɔm
bursztynkowi	burʂtɨŋkɔvi
bursztynku	burʂtɨŋku
bursztynków	burʂtɨŋkuf
bursztynką	burʂtɨŋkɔw̃
bursztynkę	burʂtɨŋkɛ
bursztynom	burʂtɨnɔm
bursztynowi	burʂtɨnɔvi
bursztynowy	burʂtɨnɔvɨ
bursztynu	burʂtɨnu
bursztyny	burʂtɨnɨ
bursztynów	burʂtɨnuf
burta	burta
burtnica	burdɲitsa
burtowiec	urtɔvjɛts
burtówka	burʲtufka
burundi	burundi
burundyjczyk	burundɨjtʂɨk
burundyjka	burundɨjka
burundyjscy	burundɨjstsɨ
burundyjska	burundɨjska
burundyjski	burundɨjski
burundyjskich	burundɨjskix
burundyjskie	burundɨjskjɛ
burundyjskiego	burundɨjskjɛgɔ
burundyjskiej	burundɨjskjɛj
burundyjskiemu	burundɨjskjɛmu
burundyjskim	burundɨjskim
burundyjskimi	burundɨjskimi
burundyjską	burundɨjskɔw̃
bury	burɨ
burych	burɨx
burym	burɨm
burymi	burɨmi
burz	buz
burz	buʂ
burza	buʐa
burza	buʒa
burzan	buʐan
burzawa	buʐava
burze	buʐa
burze	buʐɛ
burzenie	buʐɛɲɛ
burzliwie	buʐlivjɛ
burzliwość	buʐlivɔɕtɕ
burzliwy	buʐlivɨ
burzo	buʐɔ
burzowiec	buʐɔvjɛts
burzowy	buʐɔvɨ
burzy	buʐɨ
burzych	buʐɨx
burzycielstwo	buʐɨtɕaɛw̃ztwɔ
burzyk	buʐɨk
burzyć	buʐɨtɕ
burzyńska	buʐɨɲska
burzyński	buʐɨɲski
burzą	buʐɔw̃
burzę	buʐɛ
burą	burɔw̃
burę	burɛ
burłak	burvak
burłak	burwak
burżuazja	burʐuazja
burżuazyjny	burʐuazɨjnɨ
burżuj	burʐuj
burżuj	burʒuj
burżujstwo	burʐujstfɔ
bus	bus
busegak	busegak
bushido	busidɔ
busia	buzi
busiakiewicz	buɕakjɛvitʂ
busiarz	buɕaʂ
busiek	buɕɛk
business	biznɛs
businessman	biznɛsmɛn
businesswoman	biznɛswumɛn
busion	buɕɔn
busola	busɔla
buspas	buspas
bustrofedon	bustrɔfɛdɔn
busz	buʂ
buszczak	buʂtʂak
buszkiewicz	buʂkjɛvitʂ
buszmenka	bɔʂmɛnka
buszować	buʂɔvatɕ
buszujący	buʂujontsɨ
busłowicz	buswɔvitʂ
but	budzʲ
but	but
buta	buta
buta	butˈa
butach	butax
butada	butaːda
butadiyn	butadˈjˈn
butami	butami
butan	butan
butelce	butɛltɕɛ
buteleczce	butɛlɛtʂtsɛ
buteleczek	butɛlɛtʂɛk
buteleczka	butɛlɛtʂka
buteleczkach	butɛlɛtʂkax
buteleczkami	butɛlɛtʂkami
buteleczki	butɛlɛtʂki
buteleczki	butɛlɛtʃki
buteleczko	butɛlɛtʂkɔ
buteleczkom	butɛlɛtʂkɔm
buteleczką	butɛlɛtʂkɔw̃
buteleczkę	butɛlɛtʂkɛ
butelek	butalak
butelka	butɛlka
butelkami	butelkami
butelki	potɛlkˈi
butelkom	budɛlkum
butelkom	butɛlkɔn
butelkowanie	butɛlkɔvaɲiɛ
butelkować	butɛlkɔvatɕ
butelkę	butɛlkɛ
butem	butɛm
buten	butɛn
butersznyt	butɛrʂnɨt
butik	butik
butikowy	butikɔvɨ
butkiewicz	butkjɛvitʂ
butla	butla
butnie	butɲɛ
butniej	butnˈej
butność	butnɔɕtɕ
butny	butnɛ
butny	butnɨ
buto	butɔ
butom	butɔm
butoniera	butɔɲɛra
butonierka	butɔɲɛrka
butowi	butɔvi
butrymowicz	butrɨmɔvitʂ
butwienie	butfjɛɲɛ
butwieć	butfjɛtɕ
butwina	butsfina
buty	bute
buty	butɛ
buty	butɨ
buty	butɯ
butyn	butɛn
butów	butuf
butą	butɔw̃
butę	butɛ
buzała	buzawa
buzdygan	buzdɨgan
buzi	buʑi
buzia	buʑa
buziach	buʑax
buziaczek	buʑatʂɛk
buziak	buzak
buziak	buʑak
buziaki	buʒaki
buziami	buʑami
buzie	buʑɛ
buzieczka	buʑɛtʂka
buziek	buʑɛk
buziewicz	buʑɛvitʂ
buzieńka	buʑɛɲka
buzio	buʑɔ
buziom	buʑɔm
buziuchna	buʑuxna
buziulka	buʑulka
buziunia	buʑuɲa
buzią	buʑɔw̃
buzię	buʑɛ
buzon	buzɔn
buzowanie	buzɔvaɲɛ
buzować	buzɔvatɕ
buzun	buzun
buć	butɕ
buł	buw
buła	buwa
bułach	buwax
bułaj	buwaj
bułami	buwami
bułat	buwat
buława	buwava
buławinka	buwaviŋka
buławinka	buɫavɛnka
buławka	buwafka
bułce	buu̯tsɛ
bułce	buwtsɛ
bułeczce	buwɛtʂtsɛ
bułeczek	buwɛtʂɛk
bułeczka	buwɛtʂka
bułeczka	buɫɛtʃka
bułeczkach	buwɛtʂkax
bułeczkami	buwɛtʂkami
bułeczki	buwɛtʂki
bułeczko	buwɛtʂkɔ
bułeczkom	buwɛtʂkɔm
bułeczką	buwɛtʂkɔw̃
bułeczkę	buwɛtʂkɛ
bułek	buwɛk
bułek	buɫɛk
bułgar	buwgar
bułgara	bufgara
bułgarce	buwgartsɛ
bułgarek	buwgarɛk
bułgaria	buwgarja
bułgarka	buwgarka
bułgarka	buɫgalka
bułgarkach	buwgarkax
bułgarkami	buwgarkami
bułgarki	buwgarki
bułgarko	buwgarkɔ
bułgarkom	buwgarkɔm
bułgarką	buwgarkɔw̃
bułgarkę	buwgarkɛ
bułgarscy	buwgarstsɨ
bułgarska	buwgarska
bułgarski	buwgarski
bułgarskich	buwgarskix
bułgarskie	buwgarskjɛ
bułgarskiego	buwgarskjɛgɔ
bułgarskiego	buwgarszkjɛgɔ
bułgarskiej	buwgarskjɛj
bułgarskiemu	buwgarskjɛmu
bułgarskim	buwgarskim
bułgarskimi	buwgarskimi
bułgarsku	buwgarsku
bułgarską	buwgarskɔw̃
bułgaryzować	puɫgarɨzɔvatɕ
bułgarzy	bywgaʐɨ
bułka	buka
bułka	buwka
bułkach	buwkax
bułkach	bwɫkax
bułkami	buwkami
bułki	buki
bułki	buwki
bułko	buwkɔ
bułkom	buwkɔm
bułką	buwkɔw̃
bułkę	buwkɛ
buło	buwɔ
bułom	buwɔm
buły	buwɨ
bułą	buwɔw̃
bułę	buwɛ
buńczuczna	buntʂutʂna
buńczuczny	buɲtʂutʂnɨ
buńczuk	buɲtʂuk
buńczuk	buɲˈtʃuk
buś	buɕ
buśkiewicz	buɕkjɛvitʂ
buź	buɕ
buźka	buiʃka
buźka	buɕka
buż	buʂ
bużumbura	buʐumbura
by	bɨ
bychowiec	bɨxɔvjɛts
bycia	bɨtɕa
bycie	bɨtɕɛ
bycz	bɨtʂ
bycza	bɨtʂa
bycze	bɨtʂɛ
byczego	bɨtʂɛgɔ
byczej	bɨtʂɛj
byczek	bɨtʂɛk
byczemu	bɨtʂɛmu
byczeć	bɨtʂɛtɕ
byczka	bɨtʂka
byczkach	bɨtʂkax
byczkami	bɨtʂkami
byczki	bɨtʂki
byczkiem	bɨtʂkjɛm
byczkiewicz	bɨtʂkjɛvitʂ
byczkom	bɨtʂkɔm
byczkowi	bɨtʂkɔvi
byczkowy	fɨtʂkɔfɨ
byczku	bɨtʂku
byczków	bɨtʂkuf
byczość	bɨtʂɔɕtɕ
byczy	bɨtʂɨ
byczych	bɨtʂɨx
byczym	bɨtʂɨm
byczymi	bɨtʂɨmi
byczyna	vɨtʂɨna
byczyć	bɨtʂɨtɕ
byczyński	bɨtʂɨɲski
byczą	bɨtʂɔw̃
byczę	bɨtʂɛ
bydełko	bɨdɛwkɔ
bydgoscy	bɨdgɔstsɨ
bydgoska	bɨdgɔska
bydgoski	bɨdgɔski
bydgoskich	bɨdgɔskix
bydgoskie	bɨdgɔskjɛ
bydgoskiego	bɨdgɔskjɛgɔ
bydgoskiej	bɨdgɔskjɛj
bydgoskiemu	bɨdgɔskjɛmu
bydgoskim	bɨdgɔskim
bydgoskimi	bɨdgɔskimi
bydgoską	bɨdgɔskɔw̃
bydgoszcz	bɨdgɔʂtɕ
bydgoszcz	bɨdgɔʂtʂ
bydgoszcz	bɨdgɔʐtɕ
bydlak	bɨdlak
bydle	bɨdlɛ
bydleń	bɨdlɛɲ
bydlino	bedlˈino
bydlątko	bɨdlɔntkɔ
bydlę	bɨdlɛ
bydlęcy	bɨdlɛntsɨ
bydlęcy	bɨtwɛntsɨ
bydła	bɨdwa
bydłem	bɨdwɛm
bydło	bɨdwɔ
bydłoń	bɨdwɔɲ
bydłu	bɨdwu
byjoś	bɨjɔɕ
byk	bɛk
byk	bɨk
byka	bɨka
byki	bɨki
bykiem	bɪkjɛm
bykiewicz	bɨkjɛvitʂ
bykowe	bɨkɔvɛ
bykowicz	bɨkɔvitʂ
bykowiec	bɨkɔvjɛts
bykowski	bɨkɔfski
bykowy	vɨkɔvɨ
byku	bɨku
byków	bɨkuf
bylak	bɨlak
byle	bøl̪e
byle	bɨlɛ
byleby	beˈlɛbi
bylebył	bɨlɛbɨw
byli	bɛli
byli	bɨli
byliby	bɨlibɨ
bylibyście	bɨlibɛɕtɕa
bylibyście	bɨlibɨɕtɕɛ
bylibyśmy	bɨlibɨɕmɨ
bylica	bɨlitsa
bylina	bɨlina
byliny	bɨlinɨ
byliście	bɨliɕtɕɛ
byliśmy	bɨliɕmɨ
bym	bɨm
bynajmniej	bɨnajmjɛj
bynajmniej	bɨnajmɲɛj
bysiec	bɨɕɛts
bysiewicz	bɨɕɛvitʂ
bystra	bɛstra
bystra	bɨstra
bystram	bɨstram
bystre	bistra
bystre	bistrɛ
bystre	bɨstrɛ
bystrego	bɨstrɛgɔ
bystrej	bɨstrɛj
bystremu	bɨstrɛmu
bystro	bɨstrɔ
bystron	bɨstrɔn
bystronogi	bɨstrɔnɔgi
bystrooki	bɨstrɔɔki
bystroń	bɨstrɔɲ
bystrość	bɨstrɔɕtɕ
bystry	bɨstrɨ
bystrych	bɨstrɨx
bystrym	bɨstrɨm
bystrymi	bɨstrɨmi
bystrzak	bɨstʂak
bystrze	bɨstʂɛ
bystrzejszego	bɨstʂɛjʂɛgɔ
bystrzejszy	bɨstʂɛjʂɨ
bystrzy	bɨstʂɨ
bystrzyca	bɨstʂɨtsa
bystrzyk	bɨstʂɨk
bystrzyna	bɨstʂɨna
bystrą	bɨstrɔw̃
byszkiewicz	bɨʂkjɛvitʂ
byt	bɨt
byt	bɪt
bytach	bɨtax
bytami	bɨtami
bytem	bɨtɛm
bytnar	bɨtnar
bytnica	bɨtɲitsa
bytnicki	bɨtsʲːitsgʲi
bytniczanka	bɨtɲitʂanka
bytom	bɨtɔm
bytomscy	bɨtɔmstsɛ
bytomski	bɨtonskʲi
bytomski	bɨtɔmski
bytować	bɨtɔvatɕ
bytowi	bɨtɔvi
bytowy	bɨtɔvɨ
bytu	bɨtu
byty	bɨtɨ
bytów	bɨtuf
bytów	pɛtuf
bywa	bɨva
bywa	bɪva
bywaj	bɨvaj
bywając	bɨvajɔw̃nts
bywający	bɨvajɔw̃ntsɨ
bywalec	bɨvalɛts
bywalec	vɨvalɛts
bywam	vɨvam
bywanie	bɨvaɲɛ
bywać	bɨvatɕ
bywać	ubɨvatɕ
bywały	bɨvawɨ
bywały	bɨvaɫɨ
bywszy	bɨfʂɨ
być	bɨtɕ
był	bɨu
był	bɨw
była	bɨwa
byłaby	bɨwabɨ
byłabym	bɨwabɨm
byłabyś	bɨwabɨɕ
byłam	bɨwam
byłaś	bɨwaɕ
byłby	bɨubɨ
byłby	bɨwbɨ
byłbym	bɨwbɨm
byłbyś	bɨwbɨɕ
byłe	bɨwɛ
byłego	bɨwɛgɔ
byłej	bɨwɛj
byłem	bɨwɛm
byłemu	bɨwɛmu
byłeś	bɨwɛɕ
było	bɨwɔ
było	bɪwɔ
byłoby	bɨwɔbɨ
byłobym	bɨwɔbɨm
byłobyś	bɨwɔbɨɕ
byłom	bɨwɔm
były	bɨwɨ
były	bɨɫɨ
byłyby	bɨwɨbɨ
byłybyście	bɨwɨbɨɕtɕɛ
byłybyśmy	bɨwɨbɨɕmɨ
byłych	bɨwɨx
byłym	bɨwɨm
byłymi	bɨwɨmi
byłyście	bɨwɨɕtɕɛ
byłyśmy	bɨwɨɕmɨ
byłą	bɨwɔw̃
byś	bɨɕ
byście	bɨɕtɕe
byście	bɨɕtɕɛ
byśkiniewicz	bɨɕkiɲɛvitʂ
byśmy	bɨɕmɨ
byśmy	bɨʃmɨ
bzach	bzax
bzami	bzami
bzdak	bzdak
bzdecie	bzdɛtɕɛ
bzdet	bizdat
bzdet	bzdɛt
bzdetach	bzdɛtax
bzdetami	bzdɛtami
bzdetem	bzdɛtɛm
bzdetom	bzdɛtɔm
bzdetowi	bzdɛtɔvi
bzdetu	bzdɛtu
bzdety	bzdɛtɨ
bzdetów	bzdɛtuf
bzdeń	bzdɛɲ
bzdoń	bzdɔɲ
bzdręga	bzdrɛŋga
bzduch	bzdux
bzducha	bzduxa
bzdur	bzdur
bzdura	bzdura
bzdurka	bizdurka
bzdurność	bzduːrnoɕtɕ
bzdurny	bzdurnɨ
bzdury	bzdurɨ
bzdyczyć	bzdɨtʂɨtɕ
bzdyk	bzdɨk
bzdyl	bzdɨl
bzdyra	bzdɨra
bzdzikot	bzdʑikɔt
bzdzion	bzdʑɔn
bzdziuch	bzdʑux
bzdęga	bzdɛŋga
bzem	bzɛm
bzianka	pɕanka
bzie	bʑɛ
bzik	bʑik
bzikać	bʑikatɕ
bzikować	bjgɔvatɕ
bziuk	bʑuk
bziukiewicz	bʑukjɛvitʂ
bzom	bzɔm
bzowi	bzɔvi
bzowy	bizavɨ
bzu	bzu
bzura	bzura
bzy	bzɨ
bzyczenie	bzɨtʂɛɲɛ
bzyczeć	bzɨtʂɛtɕ
bzycząc	bzɨtʂɔnts
bzyg	bzɨk
bzyk	bzɨk
bzykanie	bzɨkaɲɛ
bzykanko	bzɨkaŋkɔ
bzykać	bzɨkatɕ
bzyknąć	bzɨknɔɲtɕ
bzykot	bzɨkɔt
bzymek	bzɨmɛk
bzz	bzː
bzów	bzuf
bób	bup
bóbr	bubr
bóbr	pbr
bódł	budw
bódź	butɕ
bóg	bok
bóg	buk
bój	buj
bój	bɔj
bójce	bujtsɛ
bójcie	bujtɕɛ
bójek	bujɛk
bójka	bujka
bójkach	bujkax
bójkami	bujkami
bójki	bujki
bójko	bujkɔ
bójkom	bujkɔm
bójkę	bujkɛ
bójmy	bujmɨ
ból	bul
ból	bˈuːl
bólach	bulax
bólami	bulami
bóldupić	buldupitɕ
bóle	bulɛ
bólem	bulɛm
bóli	buli
