abacada	ʔàːbàːtʃàːdâː
kamala	kə̀máːlàː
kamaru	kə̀mə̀rɪ́
kambi	kámbíː
kamfas	kámɸàs
kamili	káːmɪ̀líː
kamin	kàːmɪ̀n,kàːmɪ́ŋ
kam	kám
kanar	kə́nàr
kandu	kándúː
kango	káŋgʷóː
kankana	káŋkə́náː
kanki	kɛ́ɲcìː
kanne	kánnèː
kano	kə́nó
kanta	kántáː
kanta	kántàː
kanti	kàntíː
kanumfari	kə̀nɪ́mɸə̀ríː
karahiya	kə̀ráːhɪ́jàː
karama	kə̀ráːmàː
karanta	kə́ràntáː
kare	kə̀ɽéː
karimi	kə̀ríːmìː
karkanda	kárkàndə̀
karuwa	káːrʊ̀wə̀
kasat	káːsàt
kasko	káskʷóː
kasu	kə̀sɪ́
kasuwa	kàːsʊ́wáː
kasuwanci	káːsʊ́wántʃìː
katagum	kə́táːgʷʊ̀ŋ
katibi	káːtɪ̀bíː
katifa	kə̀tíːɸàː
kati	káːtìː
katsina	kə̀sʼɪ́nə̀
kauci	káutʃìː
kawu	káːwʊ̀
kawu	kàːwʊ́
kazaf	kə́zàɸ
kaza	kàːzáː
kazaure	kə̀záuɽé
keso	céːsòː
kibiya	cɪ́bɪ́jàː
kibiya	cɪ́bɪ́jɛ̀
kifa	cɪ́ɸàː
kife	cɪ́ɸèː
kifi	cíːɸíː
kili	cɪ̀lîː
kilishi	cɪ́lɪ̀ʃíː
kimsa	cɪ́msàː
kindirmo	cɪ̀ndɪ̀rmóː
kirsimati	cɪ́rsɪ̀mə́tɪ̀
kirtif	cɪ̀ɽtɪ́p
kishiya	cíːʃɪ̀jáː
kissa	cɪ́ssə̀
kiyama	cɪ̀jáːmàː
kofi	kʷóːɸìː
kofi	kʷòːɸíː
kofur	kʷóːɸʊ̀r
kogi	kʷòːɟíː
koka	kʷóːkàː
koko	kʷóːkʷó
koko	kʷòːkʷóː
kolo	kʷóːlóː
koma	kʷóːmáː
komi	kʷóːmíː
komo	kʷóːmóː
kore	kʷóːrèː
kori	kʷóːrìː
kos	kʷâs
kotu	kʷóːtɪ̀
kowa	kʷóːwáː
kowanne	kʷóːwànnéː
kubbi	kʷʊ́bbɪ̀
kuɓewa	kʷʊ́ɓèːwáː
kucaki	kʷʊ̀tʃáːcíː
kudaku	kʷúːdə́kʷʊ́,kʷúːdə̀kʷúː
kudu	kʷʊ́dɪ̀
kuɗi	kʷʊ́ɗíː
kufai	kʷʊ́ɸéi
kuge	kʷʊ̀ɟéː
kujera	kʷʊ́dʒèːɽáː
kukuma	kʷúːkʷúːmàː
kullum	kʷʊ́llɪ́ŋ
kumallo	kʷʊ̀mállóː
kumama	kʷʊ̀máːmáː
kunama	kʷʊ̀náːmàː
kuni	kʷʊ̀nîː
kunkuru	kʷʊ̀ŋkʷʊ́ɽúː
kunne	kʷʊ́nné
kunne	kʷʊ̂nnéː
kunya	kʷʊ́ɲjáː
kunya	kʷʊ́ɲjàː
kura	kʷúːɽə́
kurkuku	kʷʊ̂rkʷʊ́kʷùː
kurma	kʷʊ́ɽmáː
kurmi	kʷʊ́ɽmìː
kurwa	kʷʊ̀ɽwáː
kusa	kʷʊ́sə́
kuskus	kʷʊ́skʷʊ̀s
kwabo	kʷə́bòː
kwaɗo	kʷàːɗóː
kwaɗo	kʷə́ɗò
kwala	kʷə́làː
kwalekwale	kʷə̀lékʷə̀lé
kwal	kʷâl
kwamanda	kʷə̀mándàː
kwamfyuta	kʷàmɸʲúːtàː
kwana	kʷáːnáː
kwana	kʷáːnə́
kwana	kʷə́nàː
kwango	kʷáŋgʷò
kwano	kʷáːnòː
kwara	kʷáːɽə̀
kwaram	kʷə́ɽàm
kwatsam	kʷə́sʼàm
kwiyat	kʷɪ̀jɛ̂t
kyaftin	cɛ́ɸtɪ̀ŋ
kyanada	cɛ́nə́də̀
kyanwa	cɛ̂mwáː
kyat	cɛ̂t
kyau	cɛ̂u
kyauro	cɛ́uɽóː
ƙabila	kʼə̀bíːlàː
ƙadangare	kʼə̀dáŋgə́ɽèː
ƙaddara	kʼáddə̀ráː
ƙaddara	kʼàddə́ràː
ƙafa	kʼə́ɸàː
ƙaho	kʼə̀hóː
ƙa'ida	kʼáːʔɪ́dàː
ƙa'imi	kʼáːʔɪ̀míː
ƙala	kʼáːlàː
ƙal	kʼál
ƙamus	kʼáːmʊ̀s
ƙanana	kʼə́náːnàː
ƙandas	kʼándás
ƙanƙane	kʼàŋkʼə́nèː
ƙarami	kʼə̀ɽə́míː
ƙarƙaf	kʼàɽkʼáp
ƙarni	kʼárnìː
ƙasa	kʼə́sáː
ƙasa	kʼə́sə̀
ƙashi	kʼə̀ʃíː
ƙasida	kʼə̀síːdàː
ƙas	kʼás
ƙato	kʼáːtòː
ƙaura	kʼáuɽáː
ƙauye	kʼáujèː
ƙazaf	kʼə́zàɸ
ƙazami	kʼə̀záːmíː
ƙazanta	kʼə̀zântáː
ƙerere	cʼèːɽèːɽèː
ƙififiya	cʼɪ́ɸɪ́ɸɪ́jɛ́
ƙiƙam	cʼìːkʼàm
ƙirin	cʼɪ́ɽɪ́ŋ
ƙirji	cʼɪ̀ɽdʒíː
ƙissa	cʼɪ́ssàː
ƙiyasi	cʼɪ̀jáːsìː
ƙoda	kʷʼóːdàː
ƙoƙari	kʷʼòːkʼə́ɽɪ́
ƙoƙiƙoƙi	kʷʼóːcɪ̀kʷʼóːcʼɪ̀
ƙorama	kʷʼòːɽə́màː
ƙosai	kʷʼóːséi
Ƙosau	kʷʼòːsáu
ƙube	kʷʼúːbè
Ƙudus	kʷʼʊ́dɪ̀s
ƙugiya	kʷʼúːɟɪ̀jáː
ƙuƙut	kʷʼʊ́kʷʼʊ́t
ƙulumi	kʷʼúːlɪ́míː
ƙumba	kʷʼʊ̀mbáː
ƙundu	kʷʼʊ̀ndúː
ƙuri'a	kʷʼʊ̀rɪ́ʔàː
ƙursunsun	kʷʼʊ̀ɽsɪ̀nsɪ̀ŋ
ƙurungu	kʷʼʊ̀ɽɪ́ŋgʷʊ̀
ƙut	kʷʼʊ́t
ƙwai	kʷʼéi
ƙwaro	kʷʼàːɽóː
la'ada	lə̀ʔádàː
la'alla	lə̀ʔállàː
la'asariyya	lə̀ʔàsə́rɪ́jjàː
la'asar	lə̀ʔásàr
laba	láːbàː
labari	làːbáːrìː
labudda	làːbʊ́ddə̀
lacca	láttʃàː
ladabi	lə́də̀bìː
lada	láːdáː
ladani	làːdáːnìː
ladan	làːdâŋ
ladi	láːdɪ̀
lafazi	lə́ɸə̀zíː
lafi	láːɸìː
lafiya	láːɸɪ́jàː
lahadi	lə́hàdɪ̀
lahira	láːhɪ́ràː
laifi	lêiɸíː
la'ifi	lə̀ʔíːɸìː
laima	léimàː
laita	léitàː
laka	láːkáː
laka	lə́káː
lakwaja	lə́kʷə́dʒə̀
lale	láːlèː
lalle	lálléː
lalle	lállèː
lalo	láːlòː
lamba	lámbàː
lambu	làmbúː
lami	làːmîː
lamiri	lə̀míːrìː
lam	láŋ
landan	lándàŋ
laraba	làːrə̀báː
lardi	lárdìː
larura	lə̀rúːràː
lasin	láːsɪ̀ŋ
lasisi	láːsíːsìː
laskofur	lâskʷóːɸʊ̀r
latsa	láːsʼàː
launi	láunìː
lauya	láujàː
lawur	láːwʊ́ɽ
laya	láːjàː
lazza	lázzàː
legas	léːgàs
lemo	lèːmóː
lif	lɪ̂ɸ
likita	lɪ́cɪ́tə̀
limam	lìːmâŋ
liman	lìːmâŋ
linjila	lɪ̀ndʒíːláː
linzami	lɪ̀nzáːmìː
lisha	lìːʃáː
lissafi	lɪ̀ssáːɸìː
litinin	lìːtɪ̀nɪ̂ŋ
littafi	lɪ́ttáːɸìː
loga	lóːgàː
lokaci	lóːkə̀tʃíː
lori	lóːrìː
lubayya	lɪ̀bɛ́jjɛ̀
lugga	lɪ́ggàː
luƙwi	lɪ́kʷʼíː
lula	lúːlàː
lu	lûː
lumana	lɪ̀máːnàː
luwaɗi	lʊ̀wáːɗìː
ma'aikata	mə́ʔáikə́táː
ma'amala	mə̀ʔáːmə́làː
ma'ana	mə̀ʔànáː
mabiyi	mə́bɪ̀jíː
mace	mə̀tʃèː
maciji	mə́tʃìːdʒíː
madina	mə̀díːnə̀
madubi	mə́dúːbíː
maɗaba'a	mə́ɗáːbə́ʔáː
maɗaci	mə́ɗàːtʃíː
mafaka	mə́ɸə́káː
mafari	mə́ɸə́ɽíː
magaji	mə́gàːdʒíː
magaji	mə́gàːdʒɪ́
magajiya	mə́gáːdʒɪ̀jáː
magana	mə̀gə́nàː
magani	màːzóː
magariba	mə̀gə̀rɪ́bàː
magini	mə́ɟìːníː
mago	mə́gʷó
mahalli	mə̀hâllíː
mahawara	mə̀háːwə́ràː
mahmudu	màːmúːdɪ̀
maiduguri	mèidɪ́gʷʊ̀rɪ́
maiɗaki	mèiɗáːcɪ̀
maigado	mèigə́dó
maigari	mèigə̀ɽɪ́
maikuɗi	mèikʷʊ́ɗɪ́
mai	mâi
maina	méinə̀
mairiga	mèiɽìːgə̀
maiso	méisóː
maitama	mèitə́mə́
maita	mêitáː
maiwada	mèiwə̀dáː
majalisa	mə̀dʒə̀lɪ́sàː
majami'a	mə̀dʒáːmɪ́ʔàː
majanuni	mə̀dʒə̀núːnìː
makabarta	mə́kə́bártáː
makaɗi	mə́kə́ɗíː
makaɗi	mə́kə̀ɗíː
makama	mə́káːmáː
makama	mə́kàːmáː
maka	mə́kə̀
makara	mə̀kə̀ɽáː
makaranta	mə́kə́rántáː
makari	mə́kə́ɽíː
makero	mə̀céːɽòː
makiyaya	mə́cɪ́jáːjáː
makiyayi	mə́cɪ̀jàːjíː
makka	mákkə̀
mako	máːkʷòː
makwanci	mə́kʷántʃíː
maƙala	mə̀kʼáːlàː
maƙari	mə́kʼáːɽíː
maƙil	màːcʼɪ́l
maƙiyi	mə́cʼɪ̀jíː
maƙoƙo	màːkʷʼóːkʷʼòː
maƙoshi	mə́kʷʼóːʃíː
maƙwabci	mə́kʷʼàbtʃíː
mala'ika	mə̀láːʔɪ́kàː
malama	máːlə̀máː
malami	máːlə̀míː
malam	máːlàŋ
mamaki	màːmáːcìː
mama	màːmə́
mamaye	màːmɛ̀jéː
mandiri	màndíːrìː
mangariba	màŋgə̀rɪ́bàː
manhaja	máŋhádʒàː
manja	mándʒə̀
manjo	mándʒɔ̀
mantau	màntáu
manzo	mànzóː
maraba	mə́ràːbə́
maraba	mə́ɽə́báː
maraɗi	mə́ɽáːɗɪ́
maraya	máːɽɛ̀jáː
maraya	mə̀ɽáːjàː
maraya	mə́ɽáːjɛ́
marhabin	màrhábɪ̀ŋ
marili	mə̀ríːlìː
marini	mə́ɽɪ̀níː
mariri	màːɽíːɽíː
maris	máːrɪ̀s
marke	máɽcéː
maroko	mə̀róːkʷò
maroƙi	mə́ɽòːcʼíː
maru	máːɽɪ̀
maryamu	márjɛ́mʊ̀
masaƙi	mə́sàːcʼíː
masallaci	mə́sálláːtʃíː
masaniya	mə́sə́nɪ̀jáː
masara	mə́sə̀ráː
masarauta	mə́sə́ɽáutáː
masar	mə́sàr
masassaƙi	mə́sássə́cʼíː
masassaƙi	mə́sàssə̀cʼíː
masauki	mə́sáucíː
masaya	mə́sáːjáː
masaya	mə́sɛ́jáː
mashahuri	mə̀ʃə̀húːrìː
mashaidi	mə́ʃèidíː
mashar̃ci	mə́ʃártʃíː
mashawar̃ta	mə́ʃáːwártáː
mashi	máːʃìː
mashin	mə̀ʃɪ̂ŋ
masinja	máːsɪ́ndʒə̀
masoro	mə̀sóːɽó
matalauci	mə́tə̀làutʃíː
mata	máːtáː
mata	màːtáː
matsala	mə̀sʼə́làː
matukar̃	mə́tɪ́kár
matuƙa	mə́tɪ́kʼáː
maya	màːjáː
mayani	mɛ́jáːníː
maye	màːjéː
mayu	máːjùː
maza	mə́záː
maza	mə́zə́
mazauni	mə́záuníː
mazauni	mə́zàuníː
mazo	màːzóː
mele	méːléː
mena	méːnàː
mesa	méːsàː
mesin	méːsɪ̀ŋ
metso	mèːsʼóː
miji	mɪ́dʒìː
mim	mɪ́ŋ
minista	mɪ́nɪ́stə̀
minti	mɪ́ntìː
mirya	mɪ́ɽjɛ̀
misali	mɪ̀sáːlìː
mishi	mɪ́ʃíː
misira	mɪ́sɪ́rə̀
miski	mɪ́scìː
miskini	mɪ̀scíːnìː
miya	mɪ́jàː
mizani	míːzáːnìː
mohammed	mʊ̀hámmàd
molo	móːlóː
mota	móːtàː
mowa	móːwàː
mu'amala	mʊ̀ʔáːmə́làː
mubazzari	mʊ̀bázzə̀ríː
muddin	mʊ́ddɪ̀ŋ
mugu	múːgʷùː
muhammadiyya	mʊ̀hàmmə̀dɪ́jjàː
muhammadu	mʊ̀hámmə́dɪ̀
muharram	mʊ̀hárràŋ
muhibba	mʊ̀hɪ́bbàː
muhimmi	mʊ̀hɪ́mmìː
muhtari	mʊ̀ktáːrɪ́
muhuri	mʊ́húːɽíː
mujaddadi	mʊ̀dʒáddə̀díː
mujalla	mʊ̀dʒállàː
mujiya	múːdʒɪ̀jáː
muƙami	mʊ̀kʼáːmìː
mula	mʊ̀lə́
mulki	mʊ́lcìː
mulukiya	mʊ́lúːcɪ́jàː
mumbari	mʊ́mbə̀ríː
mumini	múːmɪ̀níː
mu	múː
munafuki	mʊ̀náːɸʊ̀cíː
muradi	mʊ̀ráːdìː
murfi	mʊ́ɽɸíː
murhu	mʊ́ɽhùː
murjani	mʊ̀rdʒáːnìː
mur	mʊ̂r
murtuk	mʊ̀rtɪ́k
murza	mʊ́ɽzàː
murza	mʊ̀ɽzáː
murzani	mʊ̀rzáːnìː
musamman	mʊ̀sámmàŋ
musa	múːsáː
musawa	múːsáːwáː
mushe	múːʃèː
mushiriki	mʊ́ʃɪ́rɪ̀cíː
mustapha	mʊ́stə̀ɸáː
musulmi	mʊ̀sɪ̀lmíː
mutum	mʊ̀tɪ̂ŋ
mutu	mʊ́tɪ̀
mutunci	mʊ́tɪ́ntʃìː
mutuwa	mʊ́tʊ́wàː
mu'ujiza	mʊ̀ʔʊ̀dʒɪ́zàː
muzi	múːzíː
muzuru	mʊ̀zúːɽúː
na'am	nə́ʔàm
na'am	nə̀ʔám
nafila	náːɸɪ́làː
nahawu	nə́háwùː
nahiya	náːhɪ́jàː
na'ibi	náːʔɪ̀bíː
naijeriya	nèidʒéːrɪ́jàː
naira	néiràː
najeriya	nàːdʒéːrɪ́jàː
nakiya	nàːcɪ́jàː
nama	náːmàː
nasaba	nə́sə́bàː
nasara	nə́sáːràː
nasara	nə́sə́ràː
nasaru	nə̀sàːrúː
nasiha	nə̀síːhàː
nas	nâs
nau'i	náuʔìː
na'ura	nàːʔúːràː
nazari	nə́zə̀ríː
neja	néːdʒə̀
nesa	néːsə̀
ni'ima	nɪ́ʔɪ́màː
nijeriya	nìːdʒéːrɪ́jɛ̀
nil	nɪ̂l
nim	nɪ̂ŋ
ni	níː
nisa	níːsáː
nishaɗi	nɪ̀ʃáːɗìː
nono	nóːnòː
noti	nóːtìː
notis	nóːtɪ̀s
nuhu	nɪ́hʊ̀
nukus	nɪ̀kʷʊ̀s
nuna	núːnàː
nun	nɪ́ŋ
nuwamba	nʊ̀wámbàː
obin	ʔóːbɪ̀ŋ
ofis	ʔóːɸɪ̀s
oga	ʔògáː
oktoba	ʔɔ̀któːbàː
omo	ʔóːmòː
oza	ʔóːzàː
pakistan	páːcɪ́stàŋ
palasɗinu	pə̀làsɗíːnɪ̀
paris	páːrɪ̀s
pasha	páːʃə̀
pijo	pɪ̀dʒó
po	pôː
ra'ayi	rə́ʔɛ̀jíː
raɓa	ɽáːɓáː
raɗau	rə́ɗáu
rafani	ráːɸàːníː
ragama	ɽə́gə̀máː
rahama	rə́hámàː
rahila	ɽə̀híːláː
rahusa	rə̀húːsáː
ra'i	ráːʔìː
rairai	ɽèiɽéi
rairayi	ɽèiɽɛ̀jíː
rai	ɽâi
rajab	ɽə́dʒàb
raka'a	rə́kə́ʔàː
rake	ɽə̀céː
raki	ɽáːcìː
raƙumi	ɽàːkʷʼʊ́míː
ramalan	ɽə̀mə̀lâŋ
rama	ɽàːmə́
rama	ɽə́màː
ramɓasɓas	ràmɓàsɓàs
rami	ɽáːmìː
rana	ɽáːnáː
rana	ɽáːnə́
randa	ɽàndáː
rano	ɽə́nó
rasha	ɽáːʃə̀
rashawa	rə́ʃə́wáː
rawani	ɽə́wə̀níː
rawaya	ɽàːwɛ́jàː
rema	ɽéːmáː
reras	rèːrás
reza	réːzàː
riba	ríːbàː
riba	rɪ̀bə́
ridda	rɪ́ddáː
riɗi	ɽíːɗíː
riga	ɽìːgáː
rige	ɽɪ́ɟé
rijiya	ɽíːdʒíːjáː
rimi	ɽíːmíː
rimi	ɽíːmɪ́
ringim	ɽɪ́ɲɟɪ̀ŋ
rinjaye	ɽɪ́ndʒáːjèː
ri	rìː
riris	ɽɪ́ɽɪ̀s
rogo	ɽóːgʷò
rogo	ɽóːgʷòː
romo	ɽóːmóː
rubu'i	rɪ́bʊ̀ʔíː
rubuta	rɪ́bùːtáː
ruhu	rúːhʊ̀
ruƙayyatu	ɽɪ́kʼɛ̀jjɛ́tɪ̀
rula	rúːlàː
rumbu	ɽɪ̀mbúː
rumfa	ɽɪ̀mɸáː
runji	ɽɪ́ndʒìː
rututu	rɪ́tɪ́tɪ́
ru'uya	rɪ̀ʔìjáː
ruwa	ɽʊ́wáː
ruwa	ɽʊ́wə́
sa'a	sáːʔàː
sa'a	sə́ʔàː
sababi	sə́bə̀bíː
saba'in	sə̀bə̀ʔɪ́ŋ
saboda	sə́bòːdə̀
sabo	sáːbó
sabo	sáːbóː
sadaka	sə́də́kàː
sadaki	sə̀dâːcíː
sada	sáːdàː
sadau	sàːdáu
sadin	sàːdɪ̂ŋ
saɗara	sə̀ɗə́ràː
safara	sə́ɸə́ràː
safar	sə́ɸàr
safa	sàːɸáː
safa	sə̀ɸâː
safe	sáːɸé
safi	sáːɸíː
sagara	sàːgə́ɽáː
sage	sə́ɟèː
sago	sə́gʷóː
sahani	sə̀háːnìː
sahibi	sáːhɪ̀bíː
sahihi	sə̀híːhìː
sahur	sə̀hʊ̂r
sa'ida	sə̀ʔíːdàː
saiwa	sêiwáː
saja	sáːdʒàː
sakamako	sàːkə̀mə́kʷóː
sakan	sə́kàŋ
sakarai	sáːkə́réi
sake	sə̀céː
sakiya	sáːcɪ́jɛ́
sakkwato	sákʷkʷə́tó
sako	sə̀kʷóː
salama	sə̀láːmàː
salati	sə̀láːtìː
salga	sálgáː
salihi	sáːlɪ̀híː
saliyo	sàːlɪ̀jôː
salka	sàlkáː
salla	sállàː
sallau	sàlláu
salo	sə́lóː
samame	sə̀màːméː
samanja	sàːmándʒə̀
sama	sə́mə̀
samɓala	sámɓə́láː
samɓalɓal	sàmɓàlɓàl
samɓali	sámɓə́lɪ́
samɓal	sàmɓál
sana'a	sə̀nə́ʔàː
sanar̃wa	sə́nârwáː
sanata	sə́nə́tàː
sandal	sándàl
sanda	sàndə́
sanduƙi	sàndúːcʼìː
sani	sə́nìː
saniya	sáːnɪ̀jáː
sanka	sáŋkáː
sannu	sánnɪ̀
sannu	sànnɪ́
sansani	sànsə́níː
sansan	sánsàŋ
santambul	sàntàmbʊ̂l
santi	sàntɪ́
sarai	sə́réi
sarara	sə̀ɽə̀ɽə̀
sara	sàːɽáː
saratu	sáːrə́tɪ̀
sarauniya	sə́ɽáunɪ̀jáː
sardauna	sàrdáunə́
sarka	sàrkáː
sarki	sáɽcíː
sarki	sáɽcɪ́
sarƙa	sáɽkʼàː
sa	sâː
sashi	sáːʃìː
sata	sáːtàː
sati	sáːtíː
satumba	sə̀tɪ́mbàː
saudiyya	sàudɪ́jjàː
sauka	sàukáː
sauka	sàukə́
sauna	sáunàː
sau	sáu
sau	sàu
sauti	sáutìː
saye	sàːjéː
saye	sɛ̀jéː
sef	sêɸ
sha'aban	ʃə̀ʔàbâŋ
sha'ani	ʃə́ʔàníː
shaci	ʃáːtʃìː
shadda	ʃáddàː
shadda	ʃâddáː
shafa	ʃáːɸàː
shafa	ʃàːɸáː
shahada	ʃə̀háːdàː
shaho	ʃáːhòː
shai'an	ʃéiʔàŋ
shaiɗan	ʃèiɗâŋ
shaihi	ʃéihìː
sham	ʃâŋ
shanono	ʃàːnóːnò
sharaɗi	ʃə́rə̀ɗíː
sharhi	ʃárhìː
shari'a	ʃə̀rɪ́ʔàː
sharifi	ʃə̀ríːɸìː
sharif	ʃə̀rɪ̂ɸ
sharo	ʃə́rò
sharri	ʃárrìː
sharu	ʃə̀rûː
sha	ʃə́
shata	ʃə́tàː
shat	ʃât
shawar̃a	ʃáːwə́ràː
shawwal	ʃàwwâl
shayi	ʃàːjíː
shayi	ʃáːjɪ̀
shehi	ʃéːhìː
shehu	ʃéːhùː
shekara	ʃèːkə́ɽàː
shekarau	ʃèːkə̀ɽáu
sheƙeƙe	ʃèːcʼèːcʼèː
shida	ʃɪ́də̀
shifta	ʃɪ́ɸtàː
shiga	ʃɪ̀gáː
shinge	ʃɪ́ɲɟéː
shinkafa	ʃɪ̀ŋkáːɸáː
shin	ʃɪ́ŋ
shirim	ʃɪ̀ɽɪ̀m
shirka	ʃɪ́rkàː
shiru	ʃɪ́ɽúː
shirwa	ʃɪ́ɽwàː
shi	ʃɪ́
shuɗi	ʃúːɗìː
shugabanci	ʃúːgə́bántʃìː
shuka	ʃúːkàː
shuri	ʃúːɽìː
shu'umi	ʃɪ́ʔʊ̀míː
siɗik	sɪ́ɗɪ́k
sifiri	sɪ́ɸɪ̀ríː
siga	síːgàː
siket	sɪ̀cát
sila	sɪ́làː
silin	síːlɪ̀ŋ
sili	síːlìː
sin	sɪ́ŋ
sirdi	sɪ́rdìː
siriya	síːrɪ́jɛ̀
sista	sɪ́stàː
sitampi	sɪ̀támpìː
sitam	sɪ̀tâŋ
sitira	sɪ̀tɪ́ràː
sito	sɪ̀tó
sittin	sɪ̀ttɪ́ŋ
siyaki	sɪ̀jáːcíː
siyasa	sɪ̀jáːsàː
soba	sòːbə́
soci	sóːtʃɪ̀
soja	sóːdʒə̀
sol	sɔ́l
somi	sóːmìː
soso	sòːsóː
soye	sòːjéː
sufana	sɪ̀ɸáːnàː
sujjada	sɪ̀ddʒə́dàː
sukari	sɪ́kə̀ríː
sukuku	sɪ̀kʷʊ̀kʷʊ̀
sulemanu	sɪ́lèːmáːnɪ̀
sulhu	sɪ́lhùː
sum	sɪ̀m
sumul	sɪ́mʊ́l
suna	súːnáː
sunduƙi	sɪ̀ndúːcʼìː
sunna	sɪ́nnàː
sura	súːràː
sura	sùːráː
su	sùː
suya	súːjàː
ta'adda	tə́ʔàddə́
tabarau	tə̀bàːɽáu
tabarma	tàːbáɽmáː
tabbatarwa	tábbə́târwáː
tabo	tə́bòː
taɓo	tə̀ɓóː
tadawa	tə̀də́wàː
tafarki	tə́ɸáɽcìː
tafarnuwa	tə̀ɸárnʊ́wáː
tafiya	tə̀ɸɪ́jàː
tafki	táɸcìː
tafsiri	tàɸsíːrìː
taga	táːgàː
tagomashi	tə́gʷóːmə̀ʃíː
taguwa	tàːgʷʊ́wàː
taguwa	tə́gʷʊ́wàː
taimako	tèimə́kʷóː
tajiri	táːdʒɪ̀ríː
takalmi	tàːkàlmíː
takarda	tə́kàrdáː
takila	táːcɪ̀lə̀
takobi	tə́kʷòːbíː
takum	táːkʷʊ̀ŋ
takunkumi	tàːkʷʊ́ŋkʷʊ̀míː
takwas	tə́kʷàs
talaka	tə́lə̀kə̀
talata	tə̀láːtə̀
talatin	tə̀làːtɪ́ŋ
talatu	tə̀láːtɪ̀
taliki	táːlɪ̀cíː
tallafa	tálláːɸə̀
tallafa	tàllə́ɸàː
talla	tàllə̀
talle	tálléː
talotalo	tə̀lótə̀ló
tamanin	tə̀màːnɪ́ŋ
tama	tə́máː
tambari	támbə̀ɽíː
tambaya	tàmbɛ́jàː
tambutu	tàmbúːtɪ̀,támbúːtɪ̀
tanaka	tàːnáːkàː
tana	táːnáː
tandu	tándúː
tanimu	tə̀níːmʊ̀
tankarki	tàŋkáɽcìː
tano	tə̀nôː
tantabara	tàntə́bə̀ráː
tantakwashi	tàntə́kʷə̀ʃíː
tanti	tántìː
tarabulus	tə́ráːbʊ́lɪ̀s
tara	táːɽàː
tara	tàːɽáː
tara	tə́rə̀
tara	tə̀ɽáː
tarbiyya	tàrbɪ́jjàː
tarihi	táːríːhìː
tarnatsa	tárnə́sʼáː
taru	táːɽúː
tasalla	tə́sállə̀
tasa	táːsàː
tasiri	táːsíːɽìː
tasi	tàːsîː
taska	táskàː
tasku	táskʷʊ̀
taswira	tàːswíːràː
tattabara	tàttə́bə̀ráː
tattasai	tàːttàːséi
tattaunawa	táttàunâːwáː
tatul	tàːtɪ́l
taubashi	táubàːʃíː
tauhidi	tàuhíːdìː
tauna	táunàː
tauraro	tàuɽáːɽòː
taure	táuɽèː
tausa	tàusáː
tautau	táutàu
tawada	tə̀wə́dàː
tef	téɸ
teku	tèːkʷʊ́
tela	téːlə̀
tifa	tíːɸàː
tif	tɪ̂ɸ
tijara	tɪ̀dʒáːràː
tik	tɪ̂k
tiƙis	tɪ́cʼɪ́s
tilas	tíːlàs
tilo	tìːlóː
tim	tɪ̂m
tim	tɪ̂ŋ
tire	tɪ̀ré
tis'in	tɪ̀sʔɪ́ŋ
ti	tîː
titi	tíːtìː
tofa	tóːɸáː
toka	tòːkáː
ton	táŋ
toshiya	tóːʃɪ́jáː
tozali	tóːzə̀líː
tozo	tóːzóː
tsabga	sʼábgàː
tsada	sʼáːdə́
tsaf	sʼáp
tsagagi	sʼə́gə́ɟíː
tsai	sʼéi
tsakani	sʼə̀káːníː
tsaka	sʼə́káː
tsaka	sʼə́kə̀
tsakiya	sʼə́cɪ́jàː
tsalala	sʼə́lə́lə́
tsamiya	sʼáːmɪ́jáː
tsanyawa	sʼɛ́ɲjáːwáː
tsari	sʼáːɽìː
tsarki	sʼáɽcíː
tsaro	sʼə̀ɽóː
tsatsa	sʼáːsʼàː
tsauni	sʼáunìː
tsawo	sʼə́wóː
tsere	sʼéːɽé
tsibiri	sʼɪ̀bɪ́ɽíː
tsigi	sʼíːɟíː
tsila	sʼíːlə́
tsintsiya	sʼɪ́nsʼɪ́ɲjáː
tsit	sʼɪ́t
tsoho	sʼóːhóː
tsokana	sʼóːkə̀náː
tsoka	sʼóːkàː
tsololo	sʼòːlòːlòː
tsundum	sʼɪ̀ndɪ́m
tsundum	sʼɪ̀ndɪ̀m
tsuntsu	sʼɪ́nsʼúː
tubali	túːbə̀líː
tubarkalla	tɪ̀bárkállàː
tuhuma	tɪ̀hʊ́màː
tukuf	tɪ́kʷʊ́p
tulu	tùːlúː
tunau	tɪ̀náu
tuni	tɪ́nìː
tuni	tɪ̀nɪ́
tunkiya	tɪ́ɲcɪ̀jáː
tun	tɪ́ŋ
tuntunmi	tɪ́ntɪ́mmíː
tuntu	tɪ́ntúː
turai	túːréi
turanci	túːrántʃíː
turare	tɪ̀ɽàːɽéː
turba	tɪ́ɽbàː
tururi	tɪ̀ɽɪ̀ɽíː
tusa	túːsàː
tuta	túːtàː
tutu	túːtɪ̀
tuwo	tʊ́wóː
uba	ʔʊ̀báː
uda	ʔúːdə̀
uku	ʔʊ́kʷʊ̀
uƙuba	ʔʊ̀kʷʼúːbàː
ulu	ʔúːlɪ̀
umaru	ʔʊ̀mə́rɪ̀
umra	ʔʊ́mráː
ungozoma	ʔʊ̀ŋgʷóːzòːmə̀
ungulu	ʔʊ̀ŋgʷʊ̀lɪ́
usaina	ʔʊ́sèináː
ushira	ʔʊ́ʃɪ̀ráː
ushiri	ʔʊ́ʃɪ̀ríː
usumanu	ʔʊ̀sɪ̀máːnɪ̀
