'anar'	anaɾ
decimoquintas	d̪eθimokĩn̪t̪as
decimoquinto	d̪eθimokĩn̪t̪o
decimoquintos	d̪eθimokĩn̪t̪os
decimos	d̪eθimos
decimosegunda	d̪eθimoseɣ̞ũn̪d̪a
decimosegundas	d̪eθimoseɣ̞ũn̪d̪as
decimosegundo	d̪eθimoseɣ̞ũn̪d̪o
decimosegundos	d̪eθimoseɣ̞ũn̪d̪os
decimosexto	d̪eθimoseɣ̞st̪o
decimoséptimo	d̪eθimoseβ̞t̪imo
decimotercero	d̪eθimot̪eɾθeɾo
decinos	d̪eθinos
decir	d̪eθiɾ
decisionismo	d̪eθisjonizmo
decisiu	d̪eθiziu
decisiva	d̪ekisiβ̞a
decisiva	d̪eθisiβ̞a
decisivas	d̪eθisiβ̞as
decisivo	d̪eθisiβ̞o
decisivos	d̪eθisiβ̞os
decisión	d̪eθisjõn
decisori	ð̞ekjsõɾi
decisoria	d̪eθisoɾja
decisorias	d̪eθisoɾjas
decisorio	d̪eθisoɾjo
decisorios	d̪eθisoɾjos
decisòria	ð̞ekjsɾie
decite	d̪eθit̪e
declamació	d̪eklamakio
declamación	d̪eklamaθjõn
declamada	d̪eklamað̞a
declamadas	d̪eklamað̞as
declamado	d̪eklamað̞o
declamador	d̪eklamað̞oɾ
declamadora	d̪eklamað̞oɾa
declamados	d̪eklamað̞os
declamar	d̪eklamaɾ
declamare	d̪eklamaɾe
declamatòria	d̪eklamat̪ɾia
declamatòriament	ð̞eklamat̪oɾiamẽn̪t̪
declamo	d̪eklamo
declara	d̪eklaɾa
declaració	d̪eklaɾakio
declaración	d̪eklaɾaθjõn
declarada	d̪eklaɾað̞a
declaradament	d̪eklaɾað̞amẽn̪t̪
declaradamente	d̪eklaɾað̞amẽn̪t̪e
declaradas	d̪eklaɾað̞as
declarado	d̪eklaɾað̞o
declaradora	d̪eklaɾað̞oɾa
declarados	d̪eklaɾað̞os
declarament	d̪eklaɾamẽn̪t̪
declaramos	d̪eklaɾamos
declarando	d̪eklaɾãn̪d̪o
declarant	ɾeklaɾant̪
declarar	d̪eklaɾaɾ
declarara	d̪eklaɾaɾa
declararas	d̪eklaɾaɾas
declarareis	d̪eklaɾaɾei̯s
declararemos	d̪eklaɾaɾemos
declarares	d̪eklaɾaɾes
declarará	d̪eklaɾaɾa
declararás	d̪eklaɾaɾas
declararíamos	d̪eklaɾaɾiamos
declaras	d̪eklaɾas
declaraste	d̪eklaɾast̪e
declaratiu	d̪eklaɾat̪iu
declarativa	d̪eklaɾat̪iβ̞a
declarativo	d̪eklaɾat̪iβ̞o
declaratori	d̪eklaɾat̪oɾi
declaratorias	d̪eklaɾat̪oɾjas
declaratorio	d̪eklaɾat̪oɾjo
declaratorios	d̪eklaɾat̪oɾjos
declare	d̪eklaɾe
declaremos	d̪eklaɾemos
declares	d̪eklaɾes
declaro	d̪eklaɾo
declaráramos	d̪eklaɾaɾamos
declarársele	d̪eklaɾaɾsele
declinable	d̪eklinaβ̞le
declinació	d̪eɣ̞linakio
declinación	d̪eklinaθjõn
declinada	d̪eklinað̞a
declinadas	d̪eklinað̞as
declinado	d̪eklinað̞o
declinados	d̪eklinað̞os
declinamiento	d̪eklinamjẽn̪t̪o
declinar	d̪eklinaɾ
declinatori	d̪ekɾinat̪oɾi
declinatorio	d̪eklinat̪oɾjo
declive	d̪ekliβ̞e
declivitat	d̪ekliβ̞it̪at̪
decocció	d̪ekokkio
decodificada	d̪ekoð̞ifikað̞a
decodificadas	d̪ekoð̞ifikað̞as
decodificado	d̪ekoð̞ifikað̞o
decodificados	d̪ekoð̞ifikað̞os
decodificar	d̪ekoð̞ifikaɾ
decoherencia	d̪ekoeɾẽn̟θja
decolada	d̪ekolað̞a
decoladas	d̪ekolað̞as
decolado	d̪ekolað̞o
decolados	d̪ekolað̞os
decolar	d̪ekolaɾ
decoloración	d̪ekoloɾaθjõn
decolorada	d̪ekoloɾað̞a
decoloradas	d̪ekoloɾað̞as
decolorado	d̪ekoloɾað̞o
decolorados	d̪ekoloɾað̞os
decolorant	d̪ekoloɾant̪
decolorar	d̪ekoloɾaɾ
decomisada	d̪ekomisað̞a
decomisadas	d̪ekomisað̞as
decomisado	d̪ekomisað̞o
decomisados	d̪ekomisað̞os
decomisar	d̪ekomisaɾ
decomisionar	d̪ekomisjonaɾ
decomiso	d̪ekomiso
decomissar	d̪ekomiszaɾ
decomposición	d̪ekõmposiθjõn
deconstruir	d̪ekõnst̪ɾwiɾ
decora	d̪ekoɾa
decoració	d̪ekoɾakjo
decoración	d̪ekoɾaθjõn
decorada	d̪ekoɾað̞a
decoradas	d̪ekoɾað̞as
decorado	d̪ekoɾað̞o
decorador	d̪ekoɾað̞oɾ
decoradora	d̪ekoɾað̞oɾa
decorados	d̪ekoɾað̞os
decorar	d̪ekoɾaɾ
decorat	d̪ekoɾat̪
decoratiu	d̪ekoɾat̪iu
decoratius	d̪ekoɾat̪ius
decorativa	d̪ekoɾat̪iβ̞a
decorativas	d̪ekoɾat̪iβ̞as
decorativisme	d̪ekoɾat̪jβ̞isme
decorativismo	d̪ekoɾat̪iβ̞izmo
decorativista	d̪ekoɾat̪iβ̞ist̪a
decorativista	d̪ekoɾat̪jβ̞ist̪a
decorativo	d̪ekoɾat̪iβ̞o
decorativos	d̪ekoɾat̪iβ̞os
decoro	d̪ekoɾo
decorosa	d̪ekoɾosa
decorosament	t̪ekoɾosamẽn̪t̪
decoroso	d̪ekoɾoso
decorriment	d̪ekoɾɾimẽn̪t̪
decorticaciones	d̪ekoɾt̪ikaθjones
decorticació	d̪ekoɾt̪ikakio
decorticación	d̪ekoɾt̪ikaθjõn
decrecentista	d̪ekɾeθẽn̪t̪ist̪a
decrecida	d̪ekɾeθið̞a
decrecidas	d̪ekɾeθið̞as
decrecido	d̪ekɾeθið̞o
decrecidos	d̪ekɾeθið̞os
decrecimiento	d̪ekɾeθimjẽn̪t̪o
decreixement	d̪ekɾeiɣ̞semẽn̪t̪
decrement	d̪ekɾemẽn̪t̪
decrementar	d̪ekɾemẽn̪t̪aɾ
decremento	d̪ekɾemẽn̪t̪o
decrepitació	d̪ekɾepit̪akio
decrepitud	d̪ekɾeβ̞it̪uð̞
decret	d̪ekɾet̪
decretació	d̪ekɾet̪akio
decretada	d̪ekɾet̪að̞a
decretadas	d̪ekɾet̪að̞as
decretado	d̪ekɾet̪að̞o
decretados	d̪ekɾet̪að̞os
decretalista	d̪ekɾet̪elist̪a
decretar	d̪ekɾet̪a
decretar	d̪ekɾet̪aɾ
decretari	d̪ekɾet̪aɾi
decretista	d̪ekɾet̪ist̪a
decretito	d̪ekɾet̪it̪o
decreto	d̪ekɾet̪o
decretori	d̪ekɾat̪oɾj
decretòria	ð̞ekɾet̪ɾia
decrèpit	d̪ekɾepit̪
decrèpita	d̪ekɾepit̪a
decréixer	d̪ekɾeiɣ̞seɾ
decrépita	d̪ekɾepit̪a
decrépitas	d̪ekɾepit̪as
decrépito	d̪ekɾepit̪o
decrépitos	d̪ekɾepit̪os
decuit	d̪ekwjt̪
decumano	d̪ekumano
decuplar	d̪ekuplaɾ
decuplicar	d̪ekuplikaɾ
decurrent	d̪ekorent̪
decurs	d̪ekuuɾs
decursiu	d̪ekuɾziu
decursiva	d̪ekuɾsiβ̞a
decusado	d̪ekusað̞o
decàleg	ð̞ekleɣ̞
decálogo	d̪ekaloɣ̞o
decència	ð̞esnkia
decí	d̪eθi
decía	d̪eθia
decíais	d̪eθiai̯s
decíamos	d̪eθiamos
decían	d̪eθiãn
decías	d̪eθias
decídua	ð̞esið̞ua
decímetre	ð̞eskimet̪ɾe
decímetro	d̪eθimet̪ɾo
decímetros	d̪eθimet̪ɾos
decíos	d̪eθios
decís	d̪eθis
decúria	d̪ekuɾja
dedal	d̪eð̞al
dedazo	d̪eð̞aθo
dedear	d̪eð̞eaɾ
dedica	d̪eð̞ika
dedicaciones	d̪eð̞ikaθjones
dedicació	d̪eð̞ikakio
dedicación	d̪eð̞ikaθjõn
dedicada	d̪eð̞ikað̞a
dedicadas	d̪eð̞ikað̞as
dedicado	d̪eð̞ikað̞o
dedicados	d̪eð̞ikað̞os
dedicamos	d̪eð̞ikamos
dedicando	d̪eð̞ikãn̪d̪o
dedicar	d̪eð̞ikaɾ
dedicara	d̪eð̞ikaɾa
dedicaras	d̪eð̞ikaɾas
dedicareis	d̪eð̞ikaɾei̯s
dedicaremos	d̪eð̞ikaɾemos
dedicares	d̪eð̞ikaɾes
dedicará	d̪eð̞ikaɾa
dedicarás	d̪eð̞ikaɾas
dedicaréis	d̪eð̞ikaɾei̯s
dedicaríamos	d̪eð̞ikaɾiamos
dedicarías	d̪eð̞ikaɾias
dedicas	d̪eð̞ikas
dedicaste	d̪eð̞ikast̪e
dedicat	d̪eð̞ikat̪
dedicatorio	d̪eð̞ikat̪oɾjo
dedicatòria	d̪eð̞jkat̪ɾja
dedico	d̪eð̞iko
dedico	d̪eð̞jku
dedicáis	d̪eð̞ikai̯s
dedicáramos	d̪eð̞ikaɾamos
dedicársela	d̪eð̞ikaɾsela
dedique	d̪eð̞ike
dediquemos	d̪eð̞ikemos
dediques	d̪eð̞ikes
dediquéis	d̪eð̞ikei̯s
dedo	d̪eð̞o
dedocracia	d̪eð̞okɾaθja
deducibilidad	d̪eð̞uθiβ̞ilið̞að̞
deducible	d̪eð̞uθiβ̞le
deducida	d̪eð̞uθið̞a
deducidas	d̪eð̞uθið̞as
deducido	d̪eð̞uθið̞o
deducidos	d̪eð̞uθið̞os
deducir	d̪eð̞uθiɾ
deductiu	d̪eð̞ukt̪iu
deductiva	d̪eð̞ukt̪iβ̞a
deductiva	d̪eð̞uɣ̞t̪iβ̞a
deductivament	d̪eð̞oɣ̞t̪iβ̞amẽn̪t̪
deductivas	d̪eð̞uɣ̞t̪iβ̞as
deductivo	d̪eð̞uɣ̞t̪iβ̞o
deductivos	d̪eð̞uɣ̞t̪iβ̞os
dedues	d̪eð̞ãẽs
deduïble	d̪eð̞uβ̞le
deduït	d̪eð̞uit̪
dedàlica	ð̞að̞ljka
deesa	d̪eesa
defalca	d̪efala
defallença	d̪efaʝẽn̪θa
defalliment	d̪efeʝimẽn̪t̪
defallir	d̪efaʝi
defalt	d̪efal
default	d̪efol̪t̪
defecación	d̪efekaθjõn
defecada	d̪efekað̞a
defecadas	d̪efekað̞as
defecado	d̪efekað̞o
defecados	d̪efekað̞os
defecar	d̪efekaɾ
defeccionar	d̪efeɣ̞θjonaɾ
defección	d̪efeɣ̞θjõn
defectillo	d̪efeɣ̞t̪iʝo
defectiva	d̪efekt̪iβ̞a
defectivo	d̪efeɣ̞t̪iβ̞o
defecto	d̪efeɣ̞t̪o
defectuosidad	d̪efeɣ̞t̪wosið̞að̞
defectuositat	d̪efakt̪uosit̪at̪
defectuoso	d̪efeɣ̞t̪woso
defectuós	ð̞efekt̪wos
defeminació	d̪efẽmjnakjo
defendamos	d̪efẽn̪d̪amos
defendemos	d̪efẽn̪d̪emos
defender	d̪efẽn̪d̪eɾ
defenderemos	d̪efẽn̪d̪eɾemos
defenderá	d̪efẽn̪d̪eɾa
defenderás	d̪efẽn̪d̪eɾas
defenderíamos	d̪efẽn̪d̪eɾiamos
defendida	d̪efẽn̪d̪ið̞a
defendidas	d̪efẽn̪d̪ið̞as
defendido	d̪efẽn̪d̪ið̞o
defendidos	d̪efẽn̪d̪ið̞os
defendimiento	d̪efẽn̪d̪imjẽn̪t̪o
defendre	d̪efẽn̪d̪ɾe
defendíamos	d̪efẽn̪d̪iamos
defenedor	d̪efẽn̪að̞oɾ
defenedoria	d̪efẽn̪eð̞oɾja
defenent	d̪efẽn̪ẽn̪t̪
defenestraciones	d̪efenest̪ɾaθjones
defenestració	d̪efenest̪ɾakio
defenestración	d̪efenest̪ɾaθjõn
defenestrada	d̪efenest̪ɾað̞a
defenestradas	d̪efenest̪ɾað̞as
defenestrado	d̪efenest̪ɾað̞o
defenestrados	d̪efenest̪ɾað̞os
defenestramiento	d̪efenest̪ɾamjẽn̪t̪o
defenestrar	d̪efenest̪ɾaɾ
defenestro	d̪efenest̪ɾo
defensa	d̪efẽnsa
defensa	ð̞efẽnsa
defensada	d̪efẽnsað̞a
defensadas	d̪efẽnsað̞as
defensado	d̪efẽnsað̞o
defensados	d̪efẽnsað̞os
defensar	d̪efẽnsaɾ
defensar	d̪epẽnsaɾ
defense	d̪efẽnse
defensiu	d̪efẽnsiõ
defensiva	d̪efẽnsiβ̞a
defensivament	ð̞efẽnsiβ̞amẽn̪t̪
defensivas	d̪efẽnsiβ̞as
defensivo	d̪efẽnsiβ̞o
defensivos	d̪efẽnsiβ̞os
defensión	d̪efẽnsjõn
defensor	d̪efẽnsoɾ
defensor	d̪efẽn̪soɾ
defensora	d̪efẽnsoɾa
defensora	d̪efẽn̪soɾa
defensoras	d̪efẽnsoɾas
defensores	d̪efẽnsoɾes
defensori	ð̞efẽnsaɾi
defensoria	ð̞efẽnsoɾia
defensors	d̪efẽn̪soɾs
defensívol	d̪efẽnsiβ̞ol
deferencia	d̪efeɾẽn̟θja
deferencial	d̪efeɾẽn̟θjal
deferent	d̪efeɾẽn
deferida	d̪efeɾið̞a
deferidas	d̪efeɾið̞as
deferido	d̪efeɾið̞o
deferidos	d̪efeɾið̞os
deferir	d̪efeɾiɾ
deferència	d̪efeɾnkja
defeña	d̪efeɲa
defeñas	d̪efeɲas
defeño	d̪efeɲo
defeños	d̪efeɲos
deficiencia	d̪efiθjẽn̟θja
deficiencias	d̪efiθjẽn̟θjas
deficiente	d̪efiθjẽn̪t̪e
deficientes	d̪efiθjẽn̪t̪es
deficitari	ð̞efikjt̪t̪aɾi
deficitària	ð̞efikjt̪oɾja
deficiència	ð̞efiknkia
defina	d̪efina
definamos	d̪efinamos
definas	d̪efinas
define	d̪efine
defines	d̪efines
definibilitat	d̪efjnjβ̞jlit̪at̪
definible	d̪efiniβ̞le
definicional	d̪efiniθjonal
definició	d̪efinikjo
definición	d̪efiniθjõn
definida	d̪efinið̞a
definidas	d̪efinið̞as
definido	d̪efinið̞o
definidor	d̪efinið̞oɾ
definidora	d̪efinið̞oɾa
definidoras	d̪efinið̞oɾas
definidos	d̪efinið̞os
definimos	d̪efinimos
definir	d̪efiniɾ
definiremos	d̪efiniɾemos
definirá	d̪efiniɾa
definirás	d̪efiniɾas
definiríamos	d̪efiniɾiamos
definiste	d̪efinist̪e
definit	d̪efinit̪
definitiu	d̪efinit̪iu
definitiva	d̪efinit̪iβ̞a
definitivament	d̪efinit̪iβ̞amẽn̪t̪
definitivamente	d̪efinit̪iβ̞amẽn̪t̪e
definitivas	d̪efinit̪iβ̞as
definitivo	d̪efinit̪iβ̞o
definitivos	d̪efinit̪iβ̞os
definitori	d̪efinit̪oɾi
definitorio	d̪efinit̪oɾjo
defino	d̪efino
definíamos	d̪efiniamos
deflacionaria	d̪eflaθjonaɾja
deflacionarias	d̪eflaθjonaɾjas
deflacionario	d̪eflaθjonaɾjo
deflacionarios	d̪eflaθjonaɾjos
deflacionista	d̪eflakiõn̪ist̪a
deflació	ð̞iflakiõ
deflación	d̪eflaθjõn
deflactar	d̪eflaɣ̞t̪aɾ
deflactar	d̪eflẽkt̪aɾ
deflactor	d̪eflakt̪oɾ
deflagración	d̪eflaɣ̞ɾaθjõn
deflagrada	d̪eflaɣ̞ɾað̞a
deflagradas	d̪eflaɣ̞ɾað̞as
deflagrado	d̪eflaɣ̞ɾað̞o
deflagrados	d̪eflaɣ̞ɾað̞os
deflagrar	d̪eflaɣ̞ɾaɾ
deflección	d̪efleɣ̞θjõn
deflectada	d̪efleɣ̞t̪að̞a
deflectadas	d̪efleɣ̞t̪að̞as
deflectado	d̪efleɣ̞t̪að̞o
deflectados	d̪efleɣ̞t̪að̞os
deflectar	d̪efleɣ̞t̪aɾ
deflex	d̪efleɣ̞s
deflexa	d̪efliɣ̞sa
defloració	d̪efloɾakjõ
deflorada	d̪efloɾað̞a
defloradas	d̪efloɾað̞as
deflorado	d̪efloɾað̞o
deflorados	d̪efloɾað̞os
deflorar	d̪efloɾaɾ
defloras	d̪efloɾas
defoliació	d̪efuljakiõ
defoliada	d̪efoljað̞a
defoliadas	d̪efoljað̞as
defoliado	d̪efoljað̞o
defoliador	d̪efoliað̞oɾ
defoliadora	d̪efoliad̪oɾa
defoliados	d̪efoljað̞os
defoliar	d̪efoljaɾ
defora	d̪efoɾa
deforestación	d̪efoɾest̪aθjõn
deforestar	d̪efoɾest̪aɾ
deformable	d̪efoɾmaβ̞le
deformació	d̪efõɾmakio
deformada	d̪efoɾmað̞a
deformadas	d̪efoɾmað̞as
deformado	d̪efoɾmað̞o
deformador	d̪efoɾmað̞oɾ
deformadora	d̪efoɾmað̞oɾa
deformados	d̪efoɾmað̞os
deformante	d̪efoɾmãn̪t̪e
deformar	d̪efoɾmaɾ
deforme	d̪efoɾma
deforme	d̪efoɾme
deformement	d̪efoɾmamẽn̪t̪
deformes	d̪efoɾmes
deformitat	d̪efoɾmjt̪at̪
defosforilación	d̪efosfoɾilaθjõn
defraudación	d̪efɾau̯ð̞aθjõn
defraudada	d̪efɾau̯ð̞að̞a
defraudadas	d̪efɾau̯ð̞að̞as
defraudado	d̪efɾau̯ð̞að̞o
defraudador	d̪efɾau̯ð̞að̞oɾ
defraudados	d̪efɾau̯ð̞að̞os
defraudar	d̪efɾau̯ð̞aɾ
defraudatoria	d̪efɾau̯ð̞at̪oɾja
defraudatorias	d̪efɾau̯ð̞at̪oɾjas
defraudatorio	d̪efɾau̯ð̞at̪oɾjo
defraudatorios	d̪efɾau̯ð̞at̪oɾjos
defugi	d̪efuɣ̞i
defugir	d̪efuɣ̞iɾ
defunció	d̪efunkio
defunción	d̪efũn̟θjõn
deganat	d̪eɣ̞anat̪
degano	d̪eɣ̞ano
degenera	d̪exeneɾa
degeneración	d̪exeneɾaθjõn
degenerada	d̪exeneɾað̞a
degeneradas	d̪exeneɾað̞as
degenerado	d̪exeneɾað̞o
degenerados	d̪exeneɾað̞os
degenerando	d̪exeneɾãn̪d̪o
degenerar	d̪exeneɾat̪
degenerar	d̪exeneɾaɾ
degenerare	d̪exeneɾaɾe
degeneratiu	d̪eɣ̞eneɾat̪iu
degenerativa	d̪exeneɾat̪iβ̞a
degenerativa	d̪eɣ̞eneɾat̪iβ̞a
degenerativas	d̪exeneɾat̪iβ̞as
degenerativo	d̪exeneɾat̪iβ̞o
degenerativos	d̪exeneɾat̪iβ̞os
degenere	d̪exeneɾe
degenero	d̪exeneɾo
deglaciación	d̪eɣ̞laθjaθjõn
deglución	d̪eɣ̞luθjõn
deglutició	ð̞eɣ̞lut̪ikio
deglutida	d̪eɣ̞lut̪ið̞a
deglutidas	d̪eɣ̞lut̪ið̞as
deglutido	d̪eɣ̞lut̪ið̞o
deglutidos	d̪eɣ̞lut̪ið̞os
deglutinació	ð̞eɣ̞lut̪inakio
deglutir	d̪eɣ̞lut̪iɾ
degolla	d̪eɣ̞oʝa
degollación	d̪eɣ̞oʝaθjõn
degollada	d̪eɣ̞oʝað̞a
degolladas	d̪eɣ̞oʝað̞as
degolladero	d̪eɣ̞oʝað̞eɾo
degolladissa	d̪eɣ̞oʝað̞isa
degollado	d̪eɣ̞oʝað̞o
degollador	d̪eɣ̞oʝað̞oɾ
degollador	d̪eɣ̞wʝað̞oɾ
degollados	d̪eɣ̞oʝað̞os
degollamiento	d̪eɣ̞oʝamjẽn̪t̪o
degollar	d̪eɣ̞oʝaɾ
degollat	ð̞eɣ̞wʝat̪
degollé	d̪eɣ̞oʝe
degollés	d̪eɣ̞oʝes
degolló	d̪eɣ̞oʝo
degotador	d̪eɣ̞ot̪að̞oɾ
degotall	d̪eɣ̞ot̪aʝ
degotament	ð̞eɣ̞ut̪amẽn̪t̪
degotant	ð̞eɣ̞ut̪ant̪
degoteig	d̪eɣ̞ut̪eiɣ̞
degoter	d̪eɣ̞ot̪e
degotim	d̪eɣ̞ut̪im
degotís	d̪eɣ̞ot̪is
degradable	d̪eɣ̞ɾað̞aβ̞le
degradació	ð̞eɣ̞ɾað̞akio
degradación	d̪eɣ̞ɾað̞aθjõn
degradada	d̪eɣ̞ɾað̞að̞a
degradadas	d̪eɣ̞ɾað̞að̞as
degradado	d̪eɣ̞ɾað̞að̞o
degradador	d̪eɣ̞ɾað̞að̞oɾ
degradados	d̪eɣ̞ɾað̞að̞os
degradamiento	d̪eɣ̞ɾað̞amjẽn̪t̪o
degradant	d̪eɣ̞ɾað̞ant̪
degradante	d̪eɣ̞ɾað̞ãn̪t̪e
degradantes	d̪eɣ̞ɾað̞ãn̪t̪es
degradar	d̪eɣ̞ɾað̞aɾ
degradat	d̪eɣ̞ɾað̞at̪
degranulación	d̪eɣ̞ɾanulaθjõn
degudament	d̪eɣ̞uð̞amẽn̪t̪
deguem	d̪eɣ̞em
degueres	d̪eɣ̞ueɾes
deguessin	nˈeɣ̞ueszin
degueu	ð̞eɣ̞eu
degustació	ð̞eɣ̞ust̪akjo
degustación	d̪eɣ̞ust̪aθjõn
degustada	d̪eɣ̞ust̪að̞a
degustadas	d̪eɣ̞ust̪að̞as
degustado	d̪eɣ̞ust̪að̞o
degustador	d̪eɣ̞ust̪að̞oɾ
degustadora	d̪egust̪ad̪oɾa
degustados	d̪eɣ̞ust̪að̞os
degustar	d̪eɣ̞ust̪aɾ
degà	d̪eɣ̞
degú	d̪eɣ̞u
degüello	d̪eɣ̞weʝo
dehesa	d̪eesa
deia	d̪eia
deidad	d̪ei̯ð̞að̞
deidades	d̪ei̯ð̞að̞es
deies	ðeies
deificación	d̪ei̯fikaθjõn
deificada	d̪ei̯fikað̞a
deificadas	d̪ei̯fikað̞as
deificado	d̪ei̯fikað̞o
deificados	d̪ei̯fikað̞os
deificar	d̪ei̯fikaɾ
deificare	d̪ei̯fikaɾe
deifico	d̪ei̯fiko
deilamita	d̪ei̯lamit̪a
deimos	d̪ei̯mos
deis	d̪ei̯s
deista	beist̪a
deixadora	d̪eiɣ̞sað̞oɾa
deixalla	ð̞ejɣ̞saʝe
deixalleria	d̪eɣ̞saʝeɾia
deixament	ð̞ejɣ̞samem
deixem	oð̞eiɣ̞sem
deixiu	d̪eɣ̞siu
deixonador	d̪eɣ̞sonað̞oɾ
deixondida	d̪eɣ̞sõn̪d̪ið̞a
deja	d̪exa
dejada	d̪exað̞a
dejadas	d̪exað̞as
dejadez	d̪exað̞eθ
dejado	d̪exað̞o
dejados	d̪exað̞os
dejao	d̪exao
dejar	d̪exaɾ
dejavú	d̪eʝaβ̞u
dejecta	d̪exekt̪e
dejecte	ð̞eɣ̞ekt̪e
dejectiu	ð̞eɣ̞eɣ̞t̪iu
dejectiva	ð̞eɣ̞ekt̪iβ̞a
dejector	d̪exekt̪o
dejo	d̪exo
dejos	d̪exos
dejuna	d̪exuna
dejunador	t̪exunað̞oɾ
dejunadora	d̪exunað̞oɾa
dejunar	d̪exuna
dejunat	d̪exuna
dejuni	t̪exuni
del	d̪e
del	d̪el
dela	d̪ela
delació	d̪elakio
delada	d̪elað̞a
delantal	d̪elãn̪t̪al
delantalito	d̪elãn̪t̪alit̪o
delante	d̪elãn̪t̪e
delantera	d̪elãn̪t̪eɾa
delantero	d̪elãn̪t̪eɾo
delat	d̪elat̪
delatable	d̪elat̪aβ̞la
delatable	d̪elat̪ãple
delatada	d̪elat̪að̞a
delatadas	d̪elat̪að̞as
delatado	d̪elat̪að̞o
delatados	d̪elat̪að̞os
delatant	d̪elat̪ãn̪t̪
delatar	d̪elat̪aɾ
delator	d̪elat̪oɾ
delatora	d̪elat̪oɾa
delawareño	d̪elawaɾeɲo
delco	ð̞elkw
deleble	d̪aleble
delección	d̪eleɣ̞θjõn
deleción	d̪eleθjõn
delectable	d̪elekt̪aβ̞le
delectablement	d̪elakt̪aβ̞lemẽn̪t̪
delectación	d̪eleɣ̞t̪aθjõn
delectança	ð̞elekt̪anθa
delegable	d̪eleɣ̞aβ̞le
delegacional	d̪eleɣ̞aθjonal
delegación	d̪eleɣ̞aθjõn
delegada	d̪eleɣ̞að̞a
delegadas	d̪eleɣ̞að̞as
delegado	d̪eleɣ̞að̞o
delegados	d̪eleɣ̞að̞os
delegar	d̪eleɣ̞aɾ
delegat	d̪eleɣ̞at̪
delegatori	d̪eleɣ̞at̪oɾi
deleitable	d̪elei̯t̪aβ̞le
deleitada	d̪elei̯t̪að̞a
deleitadas	d̪elei̯t̪að̞as
deleitado	d̪elei̯t̪að̞o
deleitados	d̪elei̯t̪að̞os
deleitar	d̪elei̯t̪aɾ
deleite	d̪elei̯t̪e
delera	d̪eleɾa
delerosa	d̪eleɾosa
delerosament	d̪eleɾosament̪
delerós	d̪eleɾos
deletear	d̪elet̪eaɾ
deletreada	d̪elet̪ɾeað̞a
deletreadas	d̪elet̪ɾeað̞as
deletreado	d̪elet̪ɾeað̞o
deletreador	d̪elet̪ɾeað̞oɾ
deletreados	d̪elet̪ɾeað̞os
deletrear	d̪elet̪ɾeaɾ
deletérea	d̪elet̪eɾea
deletéreas	d̪elet̪eɾeas
deletéreos	d̪elet̪eɾeos
deleznable	d̪eleθ̬naβ̞le
delezná	d̪eleθ̬na
delfina	d̪elfina
delfinaptèrids	d̪elfjnapt̪ɾið̞s
delfinari	d̪elfinali
delfinario	d̪elfinaɾjo
delfinato	d̪elfinat̪o
delfio	d̪elfjo
delfià	d̪elfj
delfí	d̪elfi
delfín	d̪elfĩn
delga	d̪elɣ̞a
delgada	d̪elɣ̞að̞a
delgadas	d̪elɣ̞að̞as
delgadense	d̪elɣ̞að̞ẽnse
delgadez	d̪elɣ̞að̞eθ
delgadito	d̪elɣ̞að̞it̪o
delgado	d̪elɣ̞að̞o
delgados	d̪elɣ̞að̞os
delgaducho	d̪elɣ̞að̞utʃo
delgat	d̪elgat̪
delgazar	d̪elɣ̞aθaɾ
delhi	d̪eli
delhita	d̪elit̪a
delia	d̪elja
delibat	d̪eljβ̞at̪
deliber	d̪eliβ̞eɾ
deliberación	d̪eliβ̞eɾaθjõn
deliberada	d̪eliβ̞eɾað̞a
deliberadament	d̪eliβ̞eɾað̞amẽn̪t̪
deliberadamente	d̪eliβ̞eɾað̞amẽn̪t̪e
deliberadas	d̪eliβ̞eɾað̞as
deliberado	d̪eliβ̞eɾað̞o
deliberados	d̪eliβ̞eɾað̞os
deliberar	d̪eliβ̞eɾaɾ
deliberar	d̪eljβ̞eɾaɾ
deliberat	d̪eljβ̞eɾat̪
deliberatiu	d̪eliβ̞eɾat̪iu
deliberativo	d̪eliβ̞eɾat̪iβ̞o
delicada	d̪elikað̞a
delicadament	d̪elikað̞amẽn̪t̪
delicadamente	d̪elikað̞amẽn̪t̪e
delicadas	d̪elikað̞as
delicades	d̪elikad̪es
delicadez	d̪elikað̞eθ
delicadeza	d̪elikað̞eθa
delicadezas	d̪elikað̞eθas
delicado	d̪elikað̞o
delicados	d̪elikað̞os
delicadura	d̪elikað̞uɾa
delicat	d̪elikat̪
delicatessen	d̪elikat̪esẽn
delicia	d̪eliθja
delicias	d̪eliθjas
deliciosa	d̪elikosa
delicioso	d̪eliθjoso
deliciós	d̪elikjos
delicte	d̪elikt̪e
delictiu	d̪elikt̪ju
delictiva	d̪elikt̪iβ̞a
delictiva	d̪eliɣ̞t̪iβ̞a
delictivas	d̪eliɣ̞t̪iβ̞as
delictivo	d̪eliɣ̞t̪iβ̞o
delictivos	d̪eliɣ̞t̪iβ̞os
delictuosa	d̪elikt̪wosa
delimitació	d̪elimit̪akio
delimitación	d̪elimit̪aθjõn
delimitada	d̪elimit̪að̞a
delimitadas	d̪elimit̪að̞as
delimitado	d̪elimit̪að̞o
delimitados	d̪elimit̪að̞os
delimitar	d̪elimit̪aɾ
delimitatiu	d̪elimit̪at̪iu
