a	aː
babi	babi
babi	baːbi
babis	babiz
babis	baːbiz
babwnod	babuːnɔd
babwnod	babʊnɔd
babŵn	babuːn
bac	bak
bach	baːχ
bachan	baχan
bachan	baːχan
bachau	baːχai̯
bachau	baːχɛ
bachgen	baχɡɛn
bachgennes	baχɡɛnɛs
bachgennyn	baχɡɛnɪn
bachu	baχi
bachu	baːχi
bachwr	baχʊr
bachwr	baːχʊr
bachwyr	baχwɪr
bacio	bakjɔ
baciodd	bakjɔð
bacteria	baktɛrja
bacwn	bakʊn
bad	baːd
bae	bai̯
baeau	bei̯ai̯
baeau	bei̯ɛ
baedd	bai̯ð
baeddod	bei̯ðɔd
baeddu	bai̯ðɪ
baen	bai̯n
baent	bai̯nt
baet	bai̯t
bag	baɡ
bagiau	baɡjai̯
bagiau	baɡjɛ
baglu	baɡli
bagét	baɡɛt
bagéts	baɡɛts
bai	bai̯
baich	bai̯χ
baidd	bai̯ð
baith	bai̯θ
balaclafa	balaklaːva
balch	balχ
balchder	balχdar
balchder	balχdɛr
baled	balɛd
baled	baːlɛd
baledi	baleːdi
baledi	balɛdi
baledwr	baleːdʊr
baledwr	balɛdʊr
baledwyr	balɛdwɪr
balm	balm
bambŵ	bambuː
ban	ban
banadl	baːnadl
banadl	baːnal
banana	banaːna
bananas	banaːnaz
banc	baŋk
banciau	baŋkjai̯
banciau	baŋkjɛ
bancio	baŋkjɔ
bancio	baŋkɔ
band	band
bandiau	bandjai̯
bandiau	bandjɛ
baned	banɛd
baned	baːnɛd
baner	baːnɛr
baneri	baneːri
baneri	banɛri
bangeibrau	baŋɡei̯brai̯
bangeibrau	baŋɡei̯brɛ
banjo	band͡ʒɔ
banjos	band͡ʒɔz
banllawr	banɬau̯r
banlloriau	banɬɔrjai̯
banlloriau	banɬɔrjɛ
bannau	banai̯
bannau	banɛ
bannod	banɔd
bant	bant
banw	baːnu
bapur	bapɪr
bara	baːra
baratoi	baratɔi̯
baratôdd	baratoːð
barbeciw	barbɛkɪu̯
barbeciwiau	barbɛkɪu̯jai̯
barbeciwiau	barbɛkɪu̯jɛ
barbeciwio	barbɛkɪu̯jɔ
barbeciwio	barbɛkɪu̯ɔ
barbeciws	barbɛkɪu̯z
barc	bark
barch	barχ
barcio	barkjɔ
barcio	barkɔ
barcud	barkɪd
barcutiaid	barkɪtjai̯d
barcutiaid	barkɪtjɛd
bardd	barð
barddas	barðas
barddoniaeth	barðɔnjai̯θ
barf	barv
barfau	barvai̯
barfau	barvɛ
barfog	barvɔɡ
bargeinio	barɡei̯njɔ
bargeinion	barɡei̯njɔn
bargen	barɡɛn
barhau	barhai̯
bariwm	barjʊm
barlys	barlɪs
barn	barn
barnau	barnai̯
barnau	barnɛ
barnu	barni
barnwr	barnʊr
barnwyr	barnwɪr
barod	barɔd
barod	baːrɔd
barotach	barɔtaχ
baroted	barɔtɛd
barrug	barɪɡ
barti	barti
bartner	bartnar
bartner	bartnɛr
bartïon	bartiːɔn
barus	barɪs
barus	baːrɪs
bas	baːs
basau	basai̯
basau	basɛ
basbort	basbɔrt
basech	basɛχ
basen	basɛn
basen	bəsɛn
basen	sɛn
baset	basɛt
basgad	basɡad
basged	basɡɛd
basgedi	basɡeːdi
basgedi	basɡɛdi
basgrwth	baskrʊθ
basgrwth	basɡrʊθ
basgrythau	basɡrəθai̯
basgrythau	basɡrəθɛ
basio	basjɔ
basio	baʃɔ
basta	basda
bastai	basdai̯
baswn	basʊn
baswnau	basuːnai̯
baswnau	basuːnɛ
baswnau	basʊnai̯
baswnau	basʊnɛ
basynnau	basənai̯
basynnau	basənɛ
basŵn	basuːn
bath	baːθ
bathau	baθai̯
bathau	baθɛ
bathawd	baːθau̯d
bathdai	baθdai̯
bathdy	baθdi
bathodyn	baθoːdɪn
bathodyn	baθɔdɪn
baths	baθs
bathu	baːθi
baw	bau̯
bawb	bau̯b
bawd	bau̯d
bawdd	bau̯ð
bawn	bau̯n
be'	beː
be'	bɛ
bechan	beːχan
bechan	bɛχan
bechgyn	bɛχɡɪn
becso	bɛksɔ
becws	bɛkʊs
becyn	bɛkɪn
bedair	beːdai̯r
bedair	beːdɛr
bedair	bɛdai̯r
bedair	bɛdɛr
bedd	beːð
bedol	beːdɔl
bedol	bɛdɔl
bedrannu	bɛdrani
bedw	beːdu
bedw	bɛdu
bedwar	bɛdwar
bedwen	bɛdwɛn
bedwos	bɛdwɔs
bedydd	beːdɪð
bedydd	bɛdɪð
bei	bei
beiau	bei̯ai̯
beiau	bei̯ɛ
beic	bei̯k
beichiau	bei̯χjai̯
beichiau	bei̯χjɛ
beichiog	bei̯χjɔɡ
beichiogi	bei̯χjoːɡi
beichiogi	bei̯χjɔɡi
beichiogrwydd	bei̯χjɔɡrʊi̯ð
beiciau	bei̯kjai̯
beiciau	bei̯kjɛ
beicio	bei̯kjɔ
beicio	bei̯kɔ
beiddgar	bei̯ðɡar
beiddio	beiðjɔ
beidio	beidjɔ
beidio	beidɔ
beidio	biːdɔ
beidr	bei̯dr
beidr	bei̯dɪr
beidri	bei̯dri
beint	bei̯nt
beirdd	bei̯rð
beiriannwr	bei̯rjanʊr
beiriannwyr	bei̯rjanwɪr
beiriannydd	bei̯rjanɪð
beirniad	bei̯rnjad
beirniadaeth	bei̯rnjadai̯θ
beirniadaeth	bei̯rnjadɛθ
beirniadaeth	bei̯rnjaːdai̯θ
beirniadaeth	bei̯rnjaːdɛθ
beirniadaethau	bei̯rnjadei̯θai̯
beirniadaethau	bei̯rnjadei̯θɛ
beirniadol	bei̯rnjadɔl
beirniadol	bei̯rnjaːdɔl
beirniadu	bei̯rnjaːdi
beirniaid	bei̯rnjai̯d
beirniaid	bei̯rnjɛd
beis	beiz
bell	beːɬ
bell	bɛɬ
bellach	bɛɬaχ
bellter	bɛɬdɛr
ben	bɛn
bencampwr	bɛŋkampʊr
bencampwriaeth	bɛŋkampʊrjai̯θ
bencampwriaeth	bɛŋkampʊrjɛθ
bencampwriaethau	bɛŋkampʊrjei̯θai̯
bencampwriaethau	bɛŋkampʊrjei̯θɛ
bencampwyr	bɛŋkampwɪr
bendant	bɛndant
benderfynu	bɛndɛrvəni
bendigaid	bɛndiːɡai̯d
bendigaid	bɛndiːɡɛd
bendigaid	bɛndɪɡai̯d
bendigaid	bɛndɪɡɛd
bendigedig	bɛndɪɡeːdɪɡ
bendigedig	bɛndɪɡɛdɪɡ
bendigo	bɛndiːɡɔ
bendigo	bɛndɪɡɔ
bendith	bɛndɪθ
bendithio	bɛndɪθjɔ
benglog	bɛŋɡlɔɡ
bengwin	bɛŋɡwɪn
bengwiniaid	bɛŋɡwɪnjai̯d
bengwiniaid	bɛŋɡwɪnjɛd
benthyciad	bɛnθəkjad
benthycion	bɛnθəkjɔn
benthyg	bɛnθɪɡ
benyw	beːnɪu̯
benyw	bɛnɪu̯
benywaidd	bɛnəu̯ai̯ð
benywaidd	bɛnəu̯ɛð
benywaidd	bɛnɪu̯ai̯ð
benywaidd	bɛnɪu̯ɛð
benywod	bɛnəu̯ɔd
benywod	bɛnɪu̯ɔd
ber	bɛr
berceliwm	bɛrkɛljʊm
berchennog	bɛrχɛnɔɡ
berem	beːrɛm
berem	bɛrɛm
berf	bɛrv
berfau	bɛrvai̯
berfau	bɛrvɛ
berfenw	bɛrveːnu
berfenw	bɛrvɛnu
berfenwau	bɛrvɛnwai̯
berfenwau	bɛrvɛnwɛ
berl	bɛrl
berlau	bɛrlai̯
berlau	bɛrlɛ
berllan	bɛrɬan
berth	bɛrθ
berthnasau	bɛrθnasai̯
berthnasau	bɛrθnasɛ
berthynas	bɛrθənas
berw	beːru
berw	bɛru
berwbwynt	bɛrwbʊi̯nt
berwi	bɛrwi
beryglus	bɛrəɡlɪs
beryliwm	bɛrɪljʊm
beswch	bɛsʊχ
beth	beːθ
bethau	beːθai̯
bethau	beːθɛ
bethau	bɛθai̯
bethau	bɛθɛ
betroliwm	bɛtrɔljʊm
betws	bɛtʊs
betysau	bɛtəsai̯
betysau	bɛtəsɛ
beudai	beɨ̯dai̯
beudy	bei̯di
beunydd	bei̯nɪð
beunyddiol	bei̯nəðjɔl
bi	biː
biau	biːai̯
biau	biːɛ
bib	biːb
bibau	biːbai̯
bibau	biːbɛ
bibau	bɪbai̯
bibau	bɪbɛ
bibgorn	bɪbɡɔrn
bid	biːd
big	biːɡ
bigan	biːɡan
bigan	bɪɡan
bigau	biːɡai̯
bigau	biːɡɛ
bigau	bɪɡai̯
bigau	bɪɡɛ
bigddu	bɪɡði
bigfelyn	bɪɡveːlɪn
bigfelyn	bɪɡvɛlɪn
bigwrn	biːɡʊrn
bigwrn	bɪɡʊrn
bigyn	biːɡɪn
bigyn	bɪɡɪn
bigynnau	bɪɡənai̯
bigynnau	bɪɡənɛ
bil	bɪl
bila	biːla
bila	bɪla
bilaon	bɪlaːɔn
bildar	bɪldar
bildars	bɪldarz
biliau	bɪljai̯
biliau	bɪljɛ
biliwn	bɪljʊn
bin	biːn
bin	bɪn
binc	bɪŋk
bincod	bɪŋkɔd
biniau	bɪnjai̯
biniau	bɪnjɛ
bioddiraddadwy	bioðɪraðaːdʊi̯
bioddiraddiadwy	biɔðɪraðjaːdʊi̯
bioddiraddiadwy	bjɔðɪraðjaːdʊi̯
bioddiraddio	bɪɔðɪraðjɔ
bioleg	bioːlɛɡ
bioleg	biɔlɛɡ
biolegol	biɔleːɡɔl
biolegol	biɔlɛɡɔl
biolegwyr	biɔlɛɡwɪr
biolegydd	biɔleːɡɪð
biolegydd	biɔlɛɡɪð
bipa	bɪpa
bipes	bɪpɛs
bipi	bɪpi
bipo	bɪpɔ
bisged	bɪsɡɛd
bisged	bɪʃɡɛd
bisgedi	bɪskedi
bismwth	bɪzmʊθ
biti	bɪti
biwi	bɪu̯i
biws	bɪu̯s
biwïaid	bɪu̯iːai̯d
biwïaid	bɪu̯iːɛd
bla	blaː
blacmêl	blakmeːl
bladur	blaːdɨɪr
blaen	blai̯n
blaen	blaːn
blaenau	blei̯nai̯
blaenau	blei̯nɛ
blaenor	blei̯nɔr
blaenori	blei̯noːri
blaenori	blei̯nɔri
blaenoriaeth	blei̯nɔrjai̯θ
blaenoriaeth	blei̯nɔrjɛθ
blaenoriaethau	blei̯nɔrjei̯θai̯
blaenoriaethau	blei̯nɔrjei̯θɛ
blaenoriaid	blei̯nɔrjai̯d
blaenoriaid	blei̯nɔrjɛd
blaenorol	blei̯noːrɔl
blaenorol	blei̯nɔrɔl
blaenyrru	blei̯nəri
blagur	blaːɡɪr
blaguriad	blaɡɪrjad
blaguro	blaɡiːrɔ
blaguro	blaɡɪrɔ
blaid	blai̯d
blaidd	blai̯ð
blanced	blaŋkɛd
blancedi	blaŋkeːdi
blancedi	blaŋkɛdi
blaned	blanɛd
blas	blaːs
blasau	blasai̯
blasau	blasɛ
blasu	blasi
blasus	blasɪs
blawd	blau̯d
blawr	blau̯r
ble	bleː
bleiddiaid	blei̯ðjai̯d
bleiddiaid	blei̯ðjɛd
bleiddiau	blei̯ðjai̯
bleiddiau	blei̯ðjɛ
bleidiol	blei̯djɔl
bleidleisio	blei̯dlei̯sjɔ
bleidleisio	blei̯dlei̯ʃɔ
blentynnaidd	blɛntənai̯ð
blew	blɛu̯
blewog	blɛu̯ɔɡ
blewyn	blɛu̯ɪn
blin	bliːn
blinder	blɪndɛr
blinderog	blɪndeːrɔɡ
blinderog	blɪndɛrɔɡ
blinedig	blɪneːdɪɡ
blinedig	blɪnɛdɪɡ
blingo	blɪŋɔ
blino	bliːnɔ
blino	blɪnɔ
blith	bliːθ
blodau	bloːdai̯
blodau	bloːdɛ
blodau	blɔdai̯
blodau	blɔdɛ
blodeuad	blɔdei̯ad
blodeuo	blɔdei̯ɔ
blodeuyn	blɔdei̯ɪn
blodfresych	blɔdvrɛsɪχ
blodfresychen	blɔdvrɛsəχɛn
blodyn	bloːdɪn
blodyn	blɔdɪn
blog	blɔɡ
blogiau	blɔɡjai̯
blogiau	blɔɡjɛ
blogio	blɔɡjɔ
blogiwr	blɔɡjʊr
blogwyr	blɔɡwɪr
bloneg	bloːnɛɡ
bloneg	blɔnɛɡ
blorai	bloːrai̯
blorai	blɔrai̯
bloreion	blɔrei̯ɔn
blows	blou̯z
blowsys	blou̯sɪz
blu	bliː
blwch	bluːχ
blwydd	blʊi̯ð
blwyddi	blʊi̯ði
blwyddyn	blʊi̯ðɪn
blychau	bləχai̯
blymio	bləmjɔ
blynedd	blənɛð
blynyddoedd	blənəðɔi̯ð
blynyddoedd	blənəðɔð
blêr	bleːr
bob	boːb
bobl	boːbɔl
bobl	bɔbl
bobl	bɔbɔl
bobloedd	bɔblɔi̯ð
boch	boːχ
bochdew	bɔχdɛu̯
bochgoch	bɔχɡɔχ
bochlwyd	bɔχlʊi̯d
bocs	bɔks
bocsio	bɔksjɔ
bocsio	bɔkʃɔ
bocsiwr	bɔksjʊr
bocsiwr	bɔkʃʊr
bocswyr	bɔkswɪr
bod	boːd
bodd	boːð
boddi	boːði
boddi	bɔði
bodiau	bɔdjai̯
bodiau	bɔdjɛ
bodlon	bɔdlɔn
bodoli	bɔdoːli
bodoli	bɔdɔli
boed	bɔi̯d
boenen	bɔi̯nɛn
boeni	bɔi̯ni
boeth	boːθ
boeth	bɔi̯θ
boethach	bɔi̯θaχ
bogail	boːɡai̯l
bogail	bɔɡai̯l
bohriwm	bɔrjʊm
boi	bɔi̯
bol	bɔl
bola	bɔla
bonclust	bɔŋklɪsd
bonclustiad	bɔŋklɪsdjad
bonclustio	bɔŋklɪsdjɔ
boncyff	bɔŋkɪf
bondigrybwyll	bɔndɪɡrəbʊi̯ɬ
boneddiges	bɔnɛðiːɡɛs
boneddiges	bɔnɛðɪɡɛs
boneddigesau	bɔnɛðɪɡɛsai̯
boneddigesau	bɔnɛðɪɡɛsɛ
boneddigion	bɔnɛðɪɡjɔn
bongorff	bɔŋɡɔrf
bonheddig	bɔnheːðɪɡ
bonheddig	bɔnhɛðɪɡ
bontinog	bɔntiːnɔɡ
bontinog	bɔntɪnɔɡ
bop	bɔp
boptai	bɔptai̯
bopty	bɔpti
bord	bɔrd
bordydd	bɔrdɪð
bore	boːrɛ
bore	bɔrɛ
boron	boːrɔn
boron	bɔrɔn
bosib	bɔsɪb
botel	bɔtal
botel	bɔtɛl
both	boːθ
bothau	bɔθai̯
bothau	bɔθɛ
bowlio	bɔu̯ljɔ
brad	braːd
bradu	braːdi
braen	brai̯n
braf	braːv
brag	braːɡ
bragur	braːɡɪr
braich	brai̯χ
brain	brai̯n
braint	brai̯nt
braith	brai̯θ
bras	braːs
braster	brasdɛr
brasterog	brasdeːrɔɡ
brasterog	brasdɛrɔɡ
brat	brat
brath	braːθ
brathu	braθi
brau	brai̯
brau	brɔi̯
braw	brau̯
brawd	brau̯d
brawddeg	brau̯ðɛɡ
brawiau	brau̯jai̯
brawiau	brau̯jɛ
brawychdod	brau̯əχdɔd
brawychiad	brau̯əχjad
brawychiadau	brau̯əχjadai̯
brawychiadau	brau̯əχjadɛ
brawychiadau	brau̯əχjaːdai̯
brawychiadau	brau̯əχjaːdɛ
brawychiaeth	brau̯əχjai̯θ
brawychiaeth	brau̯əχjɛθ
brawychus	brau̯əχɪs
brawychwr	brau̯əχʊr
brawychwyr	brau̯əχwɪr
brech	breːχ
brechdan	brɛχdan
brechlyn	brɛχɬɪn
brecwast	brɛkwast
bref	breːv
brefu	breːvi
brefu	brɛvi
breichiau	brei̯χjai̯
breichiau	brei̯χjɛ
breifat	brei̯vat
breinlen	brei̯nlɛn
brenhines	brɛnhiːnɛs
brenhines	brɛnhɪnɛs
brenhinoedd	brɛnhiːnɔi̯ð
brenhinoedd	brɛnhɪnɔi̯ð
brenhinol	brɛnhiːnɔl
brenhinol	brɛnhɪnɔl
brenin	breːnɪn
brenin	brɛnɪn
breninesau	brɛnɪnɛsai̯
breninesau	brɛnɪnɛsɛ
brest	brɛsd
breswyl	brɛsʊi̯l
bresych	brɛsɪχ
bresychen	brɛsəχɛn
brethyn	brɛθɪn
breuan	brei̯an
breuddwyd	brei̯ðʊi̯d
breuddwydio	brei̯ðʊi̯djɔ
breuddwydion	brei̯ðʊi̯djɔn
breuwydd	brɛi̯wɪð
bri	briː
briallen	briaɬɛn
briallen	brjaɬɛn
briallu	briaɬi
briallu	brjaɬi
bric	brɪk
briciau	brikjai̯
briciau	brikjɛ
brics	brɪks
bricsen	brɪksɛn
bricyll	brɪkɪɬ
bricyllen	brɪkəɬɛn
brid	briːd
bridge	brɪd͡ʒ
brif	briːv
brifddinas	briːvðiːnas
brifddinas	briːvðɪnas
brifddinas	brɪvðiːnas
brifddinas	brɪvðɪnas
brifo	briːvɔ
brifo	brɪvɔ
brig	briːɡ
briger	briːɡɛr
briger	brɪɡɛr
brigerog	brɪɡeːrɔɡ
brigerog	brɪɡɛrɔɡ
brigâd	briɡaːd
briod	briɔd
briodas	brjoːdas
briodas	brjɔdas
briodas	brɪoːdas
briodas	brɪɔdas
briodi	briɔdi
bris	briːs
bris	briːʃ
brith	briːθ
brithddu	brɪθði
britheg	briθɛɡ
brithion	brɪθjɔn
briw	brɪu̯
bro	broː
broblem	brɔblɛm
broblemau	brɔbleːmai̯
broblemau	brɔbleːmɛ
broblemau	brɔblɛmai̯
broblemau	brɔblɛmɛ
broc	brɔk
broch	broːχ
brochell	broːχɛɬ
brochell	brɔχɛɬ
brochion	brɔχjɔn
brochod	broːχɔd
brochod	brɔχɔd
brodyr	broːdɪr
brodyr	brɔdɪr
broga	broːɡa
broga	brɔɡa
bromid	brɔmɪd
bromin	broːmɪn
bromin	brɔmɪn
bron	brɔn
brongoch	brɔŋɡɔχ
bronlas	brɔnlas
bronnau	brɔnai̯
bronnau	brɔnɛ
bronrhuddyn	brɔnr̥iːðɪn
bronrhuddyn	brɔnr̥ɪðɪn
bronwen	brɔnwɛn
bronwyn	brɔnwɪn
brotest	brɔtɛst
brown	brou̯n
brwd	bruːd
brwdfrydedd	brʊdvrədɛð
brwmstan	brʊmsdan
brwnt	brʊnt
brws	brʊʃ
brwsh	brʊʃ
brwshys	brʊʃɪz
brwsiau	brʊʃai̯
brwsiau	brʊʃɛ
brwsio	brʊʃɔ
brwsioch	brʊʃɔχ
brwsiodd	brʊʃɔð
brwsion	brʊʃɔn
brwsys	brʊʃɪz
brwydr	brʊi̯dr
brwydr	brʊi̯dɪr
brwydrau	brʊi̯drai̯
brwydrau	brʊi̯drɛ
brwydro	brʊi̯drɔ
brwydrwr	brʊi̯drʊr
brwydrwyr	brʊi̯drwɪr
brwyn	brʊi̯n
brwyna	brʊi̯na
brwynen	brʊi̯nɛn
brwysg	brʊi̯sɡ
brych	briːχ
bryd	briːd
brydferth	brədvɛθ
bryf	briːv
bryfed	brəvɛd
bryn	brɪn
bryna	brəna
bryngaer	brəŋɡai̯r
bryngaer	brɪŋɡai̯r
bryniau	brənjai̯
bryniau	brənjɛ
brynoch	brənɔχ
brynodd	brənɔð
brynon	brənɔð
brynu	brəni
bryoffyt	briːɔfɪt
brys	briːs
brysio	brəsjɔ
brysio	brəʃɔ
brysur	brəsɪr
brân	braːn
brëyr	breːɪr
bu	biː
buail	biai̯l
bual	bial
bual	biːal
buan	biːan
buarth	biːarθ
budd	biːð
buddai	biːðai̯
buddai	bɪðai̯
buddion	bɪðjɔn
buddsoddi	bɪðsoːði
buddsoddi	bɪðsɔði
buddug	biːðɪɡ
buddug	bɪðɪɡ
buddugol	bɪðiːɡɔl
buddugol	bɪðɪɡɔl
buddugoliaeth	bɪðɪɡɔljai̯θ
buddugoliaeth	bɪðɪɡɔljɛθ
buddugwr	bɪðiːɡʊr
buddugwr	bɪðɪɡʊr
buddugwyr	bɪðɪɡwɪr
budr	biːdɪr
budr	bɪdɪr
bues	biːɛs
buest	bɨːɛst
bugail	biːɡai̯l
bugail	biːɡɛl
bugail	bɪɡai̯l
bugail	bɪɡɛl
bum	bɪm
bumdegau	bɪmdeːɡɛ
bunnau	bɪnai̯
bunnau	bɪnɛ
bunt	bɪnt
buoch	biːɔχ
buodd	biːɔð
buon	biːɔn
bur	biːr
busnes	bɪsnɛs
busnes	bɪznɛs
buwch	bɪu̯χ
bwa	buːa
bwced	bʊkɛd
bwch	buːχ
bwci	bʊki
bwffe	bʊfɛ
bwgan	buːɡan
bwgan	bʊɡan
bwl	bʊl
bwlch	bʊlχ
bwletin	bʊlɛtɪn
bwletinau	bʊlɛtiːnai̯
bwletinau	bʊlɛtiːnɛ
bwletinau	bʊlɛtɪnai̯
bwletinau	bʊlɛtɪnɛ
bwmpen	bʊmpan
bwmpen	bʊmpɛn
bwn	bʊn
bwrdd	bʊrð
bwriadol	bʊrjadɔl
bwriadol	bʊrjaːdɔl
bwriadu	bʊrjaːdi
bwrlwm	bʊrlʊm
bwrw	buːru
bwrw	bʊru
bws	bʊs
bwth	buːθ
bwthyn	bʊθɪn
bwyd	bʊi̯d
bwydlen	bʊi̯dlɛn
bwydo	bʊi̯dɔ
bwydwch	bʊi̯dʊχ
bwydydd	bʊi̯dɪð
bwyeill	bʊi̯ei̯ɬ
bwyell	bʊi̯ɛɬ
bwyelli	bʊi̯ɛɬi
bwyll	bʊi̯ɬ
bwys	bʊi̯s
bwysig	bʊi̯sɪɡ
bwyst	bʊi̯sd
bwyta	bɪta
bwyta	bʊi̯ta
bwytadwy	bʊi̯tadʊi̯
bwytadwy	bʊi̯taːdʊi̯
bwytais	bui̯tai̯s
bwytais	bɪtɛs
bwytaist	bui̯tai̯sd
bwytaist	bɪtɛsd
bwytoch	bɪtɔχ
bwytoch	bʊi̯tɔχ
bwytodd	bɪtɔð
bwytodd	bʊi̯tɔð
bwyton	bɪtɔn
bwyton	bʊi̯tɔn
bwytwch	bʊi̯tʊχ
bwyty	bʊi̯ti
bychain	bəχai̯n
bychain	bəχɛn
bychan	bəχan
bychod	bəχɔd
byd	biːd
bydd	biːð
bydda	bəða
byddai	bəðai̯
byddai	bəðɛ
byddan	bəðan
byddar	bəðar
byddarol	bəðarɔl
byddarol	bəðaːrɔl
byddaru	bəðaːri
bydded	bəðdɛd
byddi	bəði
byddin	bəðɪn
byddwch	bəðʊχ
byddwn	bəðʊn
bydysawd	bədəsau̯d
bylchog	bəlχɔɡ
byliau	bəljai̯
byliau	bəljɛ
byngalo	bəŋɡalɔ
bynnag	bənaɡ
bynnen	bənɛn
byns	bənz
bynsen	bənsan
bynsen	bənsɛn
byr	bɪr
byrddau	bərðai̯
byrddau	bərðɛ
byrddydd	bərðɪð
byrdra	bərdra
byrhoedlog	bɪrhɔi̯dlɔɡ
byrlymau	bərləmai̯
byrlymu	bərləmi
byrraf	bərav
bys	biːs
bysbrint	bəsbrɪnt
bysedd	bəsɛð
bysedd	bɪsɛ
bysedd	bɪsɛð
bysell	bəsɛɬ
bysellfwrdd	bəsɛɬvʊrð
bysgod	bəsɡɔd
bysgodyn	bəsɡoːdɪn
bysgota	bəsɡɔta
bysys	bəsɪz
byth	bɪθ
bythynnod	bəθənɔd
byw	bɪu̯
bywgraffiadur	bɪu̯ɡrafjadɪr
bywgraffiadur	bɪu̯ɡrafjaːdɪr
bywiocáu	bɪu̯jɔkai̯
bywiog	bɪu̯jɔɡ
bywiogrwydd	bɪu̯jɔɡrʊɨ̯ð
bywyd	bou̯ɪd
bywyd	bəu̯ɪd
bywydeg	bəu̯ədɛɡ
bàth	baθ
bêl	beːl
bêr	beːr
bòs	bɔs
bôm	boːm
bôn	boːn
bônt	boːnt
bûm	biːm
bŵt	buːt
ca	kaː
cacen	kakɛn
cacennau	kakɛnai̯
cacennau	kakɛnɛ
cach	kaːχ
cacha	kaχa
cacha	kaːχa
cachai	kaχai̯
cachai	kaχɛ
cachai	kaːχai̯
cachai	kaːχɛ
cachais	kaχai̯s
cachais	kaχɛs
cachais	kaːχai̯s
cachais	kaːχɛs
cachan	kaχan
cachan	kaːχan
cachen	kaχɛn
cachen	kaːχɛn
caches	kaχɛs
caches	kaːχɛs
cachet	kaχɛt
cachet	kaːχɛt
cachgi	kaχɡi
cachi	kaχi
cachi	kaːχi
cachlwyth	kaχlʊi̯θ
cachu	kaχi
cachu	kaːχi
cacs	kaks
cactws	kaktʊs
cacwn	kakʊn
cacynen	kakənɛn
cad	kaːd
cadach	kadaχ
cadach	kaːdaχ
cadair	kadai̯r
cadair	kadɛr
cadair	kaːdai̯r
cadair	kaːdɛr
cadarn	kaːdarn
cadarnhaol	kadarnhau̯ɔl
cadarnhaol	kadarnhaːɔl
cadarnhau	kadarnhai̯
cadarnwedd	kadarnwɛð
cadd	kaːð
cadeiriau	kadei̯rjai̯
cadeiriau	kadei̯rjɛ
cadeiriau	kadei̯rɛ
cadeirio	kadeɪ̯rjɔ
cadeiriol	kadei̯rjɔl
cadeirlan	kadei̯rlan
cader	kadɛr
cader	kaːdɛr
cadernid	kadɛrnɪd
cadlas	kadlas
cadmiwm	kadmjʊm
cadnawes	kadnau̯ɛs
cadno	kadnɔ
cadnöes	kadnoːɛs
cadw	kaːdu
cadwch	kadwʊχ
cadwch	kaːdʊχ
cadwyn	kadʊi̯n
cadwyn	kaːdʊi̯n
cae	kai̯
cae	kaː
caeaf	kei̯a
caeaf	kei̯av
caeau	kei̯ai̯
caeau	kei̯ɛ
caed	kai̯d
caeir	kei̯ɪr
cael	kai̯l
cael	kaːl
caem	kai̯m
caen	kai̯n
caer	kai̯r
caerau	kei̯rai̯
caerau	kei̯rɛ
caeriwrch	kei̯rjʊrχ
caeth	kai̯θ
caeth	kaːθ
caethiwed	kei̯θɪu̯ɛd
caethiwo	kei̯θɪu̯ɔ
caethoch	kei̯θɔχ
caethon	kei̯θɔn
caethwas	kei̯θwas
caethwasiaeth	kei̯θwasjai̯θ
caethwasiaeth	kei̯θwasjɛθ
caethwasiaeth	kei̯θwaʃai̯θ
caethwasiaeth	kei̯θwaʃɛθ
caethweision	kei̯θwei̯sjɔn
caethweision	kei̯θwei̯ʃɔn
caf	kaː
caf	kaːv
cafas	kavas
cafas	kaːvas
caffai	kafai̯
caffed	kafɛd
caffel	kafɛl
caffent	kafɛnt
caffer	kafɛr
caffi	kafi
caffis	kafiz
caffîn	kafiːn
cafiar	kavjar
cafiâr	kavjaːr
cafod	kaːvɔd
cafodd	kavɔð
cafodd	kaːvɔð
cafon	kavɔn
cafon	kaːvɔn
cafwyd	kavʊi̯d
cafwyd	kaːvʊi̯d
caifn	kai̯vn
caill	kai̯ɬ
cain	kai̯n
cais	kai̯s
cait	kai̯t
cala	kala
cala	kaːla
calan	kalan
calan	kaːlan
calch	kalχ
calchfaen	kalχvai̯n
caled	kaːlɛd
caledu	kaleːdi
caledu	kalɛdi
caledwedd	kalɛdwɛð
calenigion	kalɛnɪɡjɔn
caleted	kalɛtɛd
califforniwm	kalɪfɔrnjʊm
call	kaːɬ
callestr	kaɬɛsd
callestr	kaɬɛsdr
callio	kaɬjɔ
calon	kalɔn
calonnau	kalɔnai̯
calonnau	kalɔnɛ
calsiwm	kalsjʊm
cam	kam
camau	kamai̯
camau	kamɛ
camddealltwriaeth	kamðɛaɬdʊrjai̯θ
camddealltwriaeth	kamðɛaɬdʊrjɛθ
camdreiglad	kamdrei̯ɡlad
camdreiglo	kamdrei̯ɡlɔ
camesgor	kamɛsɡɔr
camesgoriad	kamɛsɡoːrjad
camesgoriad	kamɛsɡɔrjad
camfa	kamva
camgymeriad	kamɡəmɛrjad
camlas	kamlas
camlesi	kamlɛsi
camlwrw	kamluːru
camlwrw	kamlʊru
camp	kamp
campfa	kampva
campus	kampɪs
campwaith	kampwai̯θ
campwr	kampʊr
camsefyll	kamseːvɪɬ
camsefyll	kamsɛvɪɬ
camu	kami
camwedd	kamwɛð
camweinyddu	kamwei̯nəðiː
can	kan
cana	kana
cana	kaːna
