"бацькаўшчына"	batsʲkau̯ʂtʂɨna
бочку	potʂku
бою	boju
боўдзіла	bou̯dzʲeɫa
боўдзіла	bou̯tʲiɫa
бра	bɾa
бравурны	bravurnɨ
бравэрка	bravɨrka
брага	braɣa
брагай	braɣaj
брагінскі	braɦinski
брадзілі	bradzʲiɫʲi
бразільскі	brazʲilʲskʲi
бразілія	brazʲilʲija
брак	brak
бракавала	prakavaɫa
бракам	brakam
бракуе	prakuje
брала	brala
бралі	braɫʲi
брама	brama
брамай	pramaj
брамкай	bramkaj
брамкаю	bramkaju
брамкі	bramkʲi
брамнікам	bramnʲikam
браму	bramu
брамы	pramɨ
бранзалет	brantzolʲet
бранзалеты	branzaɫɛtɨ
бранск	branˈsx
бранскі	branskʲi
бранскіх	branskʲix
браняносец	branʲanosjatsʲ
браніслава	branʲisɫava
браніслаў	branʲisɫau̯
браслаў	brasɫau̯
браслаўскі	brasɫau̯skʲi
брат	brat
брата	brata
братавай	bratavaj
братам	protam
братамі	bratamʲi
братанік	bratanʲik
братаніца	bratanʲitsa
братаніч	bratanʲitʂ
братка	bradka
братні	bratnʲi
браток	pradok
братоў	bratow
брату	bratu
браты	brotɨ
брахалі	braxaɫji
брахалі	braxaɫʲi
брахаць	braxatsʲ
брахня	braxnʲa
браце	bratsʲe
браценік	bratˈenˈik
брацкай	bratskaj
брацкімі	bratskʲimʲi
брацтва	bratstva
браць	bratsʲ
браціслава	bratsʲisɫava
брашуры	brasurɨ
брашы	braʂɨ
браўся	brawsa
бровар	brovar
бровары	provarɨ
бровы	brovɨ
брод	brot
бродам	brodam
броду	brodu
бром	brom
бронза	branza
бронза	bronza
бронзавая	bronzovaja
бронзавых	bronzavɨx
бронзавыя	bronzavɨja
бронзу	bronzu
броня	bronʲa
броснеюць	brosʲːejutsʲ
бруд	brut
брудна	brudna
бруднай	brudnoj
брудны	brudnɨ
брудных	brudnɨx
бруду	prudu
брук	bruk
брукаваны	brukavonˈy
брус	brus
бруса	brusa
брускоў	bruskou̯
брусы	brusɨ
бруха	bruxa
бруха	bruxɐ
бруху	bruxu
брушку	brusku
брушная	bruʂnaja
брушны	bruʂnɨ
брушным	bruʂnɨm
бры	brɨ
брыво	brɨvo
брыгада	brɨɣada
брыгадай	prɨxadaj
брыгады	brɨɣadɨ
брыдка	brɛtka
брыдка	brɨdka
брыдкая	prɨdkaja
брыдкі	brɨtkʲi
брыдкі	brɾɨtki
брыдота	brɨdota
брыду	brɨtu
брызгліна	brɛzgʲːina
брызы	brɨzɨ
брыла	brɨɫa
брыль	brɨlʲ
брынза	rɨnza
брытанкі	prɨtankʲi
брытанская	brɨtanskaja
брытанскіх	brɨtanskʲix
брытанцы	brɨtanʲtsɨ
брытва	brɨtva
брыты	brɨtɨ
брычкі	brɨtʂkʲi
брэйкс	brɛjks
брэнд	brɛnt
брэндам	prɛntom
брэндзі	brɛnʲdzʲi
брэнды	prɛndɨ
брэст	brɛst
брэсцкі	brɛstskʲi
брэсцкі	brɛsʲtsʲːi
брэтонскага	prɛtonskaɣa
брэтонскі	brɛtonskʲi
брэх	brɛx
брэхам	prɛxam
брэша	brɛʂa
бубен	bubʲen
бубна	bubna
бубнач	bubnatʂ
бубны	bubnɨ
бубнявая	bumnʲavaja
будаваліся	budavalʲisja
будаванне	budavanʲːe
будаваным	budavanɨm
будавацца	budovatsːa
будаваць	budavatsʲ
будаваўся	budavau̯sja
будам	budam
будан	budan
будаўнікоў	budou̯nʲikou̯
будаўнічыя	budau̯nʲitʂɨja
буджу	budʒu
будзе	budzʲe
будзем	budzʲem
будзеце	budzʲetsʲe
будзеш	budzʲeʂ
будзь	butsʲ
будзьце	butsʲːe
будзільнік	budzʲilʲnʲik
будка	budka
будкі	butkʲi
будова	budova
будовай	budovaj
будовы	budovɨ
будоўля	budou̯lʲa
будоўлі	budou̯lʲi
буду	budu
будуе	buduɣe
будуецца	budujetsːa
будуецца	buduʲetstso
будуць	budutsʲ
будучае	budutʂaʲe
будучы	budutʂɨ
будучымі	budutʂɨmʲi
будучыню	budɛtʂɨʲːu
будучыня	budutʂɨnʲa
будучыняй	budutʂɨnʲaj
будучыні	budutʂɨnʲi
будую	budoju
будую	buduju
буды	budɨ
будызму	budɨzmu
будынак	budɨnak
будынка	budɨnko
будынкам	butɨnkam
будынках	budɨnkax
будынкаў	budɨnkau̯
будынку	budɨnku
будынкі	budɯnki
будыніна	budɨnʲina
буйвал	bujvɨɫ
буйна	bujna
буйная	bujnaja
буйней	bujnʲej
буйнога	bujnoɣa
буйное	bujnoʲe
буйной	bujnoj
буйную	bujnuju
буйны	bujnɨ
буйным	pujnɨm
буйнымі	bujnɨmɨ
буйных	pujnɨx
буйныя	bujnɨʲa
бук	buk
бук	nˈuk
бука	buka
букавых	bukavɨx
букавыя	bukavɨja
буква	bukva
буквар	bukvara
букет	bukjed
букет	bukˈet
букетам	bukʲetam
букеты	bukʲetɨ
буклет	buklʲed
буксы	buksɨ
букініст	budʲinʲist
букініст	bukʲinʲist
булава	buɫava
булавы	buɫavɨ
бульба	bulba
бульба	bulʲba
бульбай	bulʲbaj
бульбакапалка	bulʲbakapaɫka
бульбаю	bulʲbaju
бульбе	bulʲbʲe
бульбу	bulʲbu
бульбы	bulʲbɨ
бульбянік	bulʲbʲanʲik
бульвар	buɫʲvar
бульвара	puɫʲvara
булён	bolʲon
булён	bulʲon
булёну	buɫʲonu
бум	bum
буму	bumu
бунтам	buntam
бунту	buntu
бунты	bundɨ
бур	bur
бура	bura
бураватая	buravataja
бураватыя	burovatɨja
бурай	buraj
бурак	burak
буралом	buralom
бурачковы	buradʐkovɨ
бурачным	buratʂnɨm
бурая	buraja
бурбалка	burbaɫka
бурду	burdu
бурку	burku
буркі	burkʲi
бурнай	burnaj
бурную	burnuju
бурным	burnɨm
буру	buru
бурундук	burunduk
бурую	buruju
бурштыну	burʂtɨnu
буры	burɨ
бурым	burɨm
бурых	burɨx
бурыя	burɨja
бусел	busʲau̯
бусел	busʲeɫ
бусел	busˈeɭ
буслы	buzɫɨ
бусліха	busʲlʲixa
бутан	butan
бутафорыяй	butaforɨʲaj
бутоны	butonɨ
бутэлек	butɛlʲek
бутэлька	butɛlʲka
бутэльцы	butɛɫʲtsɨ
буфет	buxet
бухаць	puxaʲtsʲ
бухло	buxɫo
бухнулі	buxnuɫɨ
бухту	buxtu
бухты	buxtɨ
бухчу	buxtʂu
буццам	butsam
буш	buʂ
буякі	bujakʲi
буяную	bujanuju
буяць	bujatʲ
бы	bɨ
бывае	bɨvaje
бываеш	bɨvajeʂ
бывай	bɨvaj
бывалі	bɨvaɫʲi
бываць	bɨvatsʲ
бываю	bɨvaju
бываў	bɨvau̯
быдла	bɪdla
бык	bɨk
быка	bɨka
быкава	bɨkava
быкаў	bɨkau̯
быку	bɨku
была	bɨɫa
былая	bɨɫaja
было	bɨɫo
былога	bɨɫoɣa
былое	bɨɫoje
былой	bɨɫoj
былою	bɨɫoju
былую	bɨɫuju
былы	bɨɫɨ
былым	bɨɫɨm
былымі	bɨɫɨmʲi
былых	bɨɫɨx
былыя	bɨɫɨja
быльнік	bɨɫʲnʲik
былі	bɨlʲi
былі	bɨɫʲik
быстры	bɨstrɨ
быстрымі	bɨstrɨmʲi
быстрыня	bɨstrɨnʲa
быт	bɨt
бытавуха	bɨtavuxa
бытавую	bɨtavuju
бытавым	bɨtavɨm
бытавыя	pɨtavɨja
быту	bɨtu
быхаў	bɨxau̯
быць	bɨtsʲ
быў	bɨu̯
быўшага	bɨu̯ʂaɣa
быўшае	bɨu̯ʂaje
быўшай	bɨu̯ʂaj
быўшаму	bɨu̯ʂamu
быўшаю	bɨu̯ʂaju
быўшая	bɨu̯ʂaja
быўшую	bɨu̯ʂuju
быўшы	bɨu̯ʂɨ
быўшым	bɨu̯ʂɨm
быўшымі	bɨu̯ʂɨmʲi
быўшых	bɨu̯ʂɨx
быўшыя	bɨu̯ʂɨja
бэзу	bɛzu
бэзы	bɛˈzi
бэльгія	bɛlʲɣʲija
бэльку	bɛɫʲku
бэлькі	bɛɫʲkʲi
бэту	bɛtu
бюджэт	bʲudʐɛt
бюджэта	bjudʐɛta
бюджэтнай	bjudʐɛtnaj
бюджэтнікі	bjudʐɛtnʲikʲi
бюро	bʲuro
бягом	bjaɣom
бягу	bjaɣu
бягуць	bjaxutsʲ
бягучых	bʲaɣutʂɨx
бяда	bʲada
бяднеюць	bjadnʲejutsʲ
бядняцкі	bjadnʲatskʲi
бядро	bʲadro
бяду	bjadu
бядуй	bʲaduj
бядую	bjaduʲu
бяжы	bʲaʐɨ
бяжым	bʲaʂɨm
бязважкасць	bʲesvaʐkostsʲ
бязглузда	bʲesɣɫuzda
бязглузды	bʲazgɫuzdɨ
бяздонны	bʲezdonnɨ
бязладзіца	bjazɫadzʲitsːa
бязлюддзе	bʲazʲlʲudzʲːe
бязлюдны	bʲazʲlʲudnɨ
бязлітасны	bjazilitaznɨ
бязлітасны	bjazlʲidɛznɨ
бязмежжа	bʲesmʲeʐːa
бязмен	bjazmeˈn
бязь	bʲasʲ
бялград	bʲaɫɣrat
бялелася	bjaɫɛɫasja
бялынічы	bʲaɫɨnʲitʂɨ
бялявы	bjaɫʲavɨ
бяляш	bʲalʲaʂ
бялізна	bjalizna
бярог	bʲarox
бяроза	bjarɔza
бяроза	bʲaroza
бярозавым	bjarozavɨm
бярозавік	bʲarozavʲik
бярозах	bʲarozax
бярозаўка	bʲarozau̯ka
бярозу	bʲarozu
бярозы	bjarosɨ
бяром	bjarom
бяру	bɛru
бяруся	bjarusja
бяруць	bjarutsʲ
бяры	bjarɨ
бярыце	bʲarɨtsʲe
бярэ	bʲarɛ
бярэмя	bʲarɛmʲa
бярэсце	bjarɛzːɛ
бярэш	bʲarɛʂ
бяседа	bjaʂʲada
бясконца	bjeskontsa
бясконцы	bjeskontsɨ
бясконцыя	bjaskontsɨja
бяспека	bʲasʲpʲeka
бяспецы	bʲaspʲetsɨ
бяспечную	bʲaspʲetʂnuju
бяспечны	bʲasʲpʲetʂnɨ
бяссонны	bʲasːonːɨ
бясспрэчныя	bjazprɛtʂnɨja
бі	bʲi
біблія	biblia
бібліятэка	bʲiblʲijatɛka
бібліятэкар	bʲiblʲijatɛkar
бібліятэкарка	bʲiblʲijatɛkarka
бігборды	bʲixbordɨ
бізнес	bʲizʲnʲes
бізнесмен	bʲiznɛsmɛn
бізнесмен	bʲizʲnʲesmɛn
бізнесмен	bʲizʲnʲesmʲen
бізнэс	bʲiznɛs
бізон	bizoːn
бізун	bizun
бізун	bʲizun
білася	bʲiɫasʲa
бінокль	bʲinoklʲ
бінты	bʲintɨ
біржы	bʲirʐɨ
бірка	pʲirka
бірманскі	bʲirmanskʲi
біруза	bʲiruza
бірузовы	bʲiruzovɨ
біс	bʲis
біскуп	bʲiskup
біскупы	biskupɨ
бісмарка	bizmorka
бітва	bʲitva
бітву	bʲitvu
бітком	pʲitkom
біфштэкс	bifʃtɛks
біцця	bʲitsʲtsʲa
біць	bʲitsʲ
біць	bˈits
бічы	bʲitʂɨ
бішкек	bʲiʂkʲek
біяграфія	bʲijaɣrafʲija
біялагічных	bʲijaɫagʲitʂnɨx
біялогія	bʲijaɫoɣʲija
б’ю	bju
б’юць	bjutʂʲ
в	ɫɯ̞
в'етнам	vjetnam
в'етнамскі	vjetnamskʲi
вaбольнікі	vaboɫʲnʲikʲi
ва	va
вабяць	vabʲatsʲ
вабіла	vabʲiɫa
вавёрка	vavjorka
вавёрка	vavʲorka
ваг	vax
вага	vaɣa
вагам	vaɣam
вагамі	vaɣamʲi
вагах	vaɣax
вагонам	vaɣonam
вагоне	vaɣonʲe
вагоны	vaɣonɨ
вагі	vaɣʲi
вада	vada
вадарод	vadarot
вадаспад	vadaspat
вадаспаду	vadaʂpadu
вадаспады	vadaspadɨ
вадасховішча	vatazxovʲiʂtʂɨ
вадаём	vadaʲom
вадаёмах	vadaʲomax
вадаёмы	vadajomɨ
вадзяны	vadzʲanɨ
вадзяным	vadzʲanɨm
вадзянік	vadzʲanʲik
вадзім	vadzʲim
вадзіць	vadzʲitsʲ
вадкасць	vatkasʲtsʲ
вадкая	vatkaja
вадкі	vatkʲi
вадкія	vadkʲija
вадою	vadoju
ваду	votu
вады	vadɨ
ваенна-паляўнічы	vaʲennapalʲau̯nʲitʂɨ
ваенна-следчы	vaʲenaslʲettʂɨ
ваенна-ўліковы	vaʲennau̯ɫʲikovɨ
ваеннай	vaʲennaj
ваенная	vʌjˈennaja
ваенную	vajennuju
ваенных	vajennɨx
ваеншчыны	vaʲenʂtʂɨnɨ
важак	vaʐak
важаць	vaʐatsʲ
важкі	vaʂkʲi
важна	vaʐna
важнасці	vaʐnasʲtsʲi
важная	vaʐnoʲa
важней	vaʐʲːej
важнейшай	vaʐnʲejʂaj
важную	vaʐnuʲu
важны	vaʐnɨ
важным	vaʐnɨm
важныя	vaʂnɨja
ваз	vaz
вазамі	vazamji
вазапісу	vazapʲisu
вазах	vazax
вазках	vaskax
вазок	pazok
вазонам	vazonam
вазоны	vaʐonɨ
вазочак	vazotʂak
вазочкамі	vasotʂkamʲi
вазоўня	vazou̯nʲa
вазьму	vazʲmu
вазьмі	vazʲmʲi
вазіла	vazʲiɫa
вазіць	vazʲitsʲ
вайна	ajna
вайна	vajna
вайне	vajnʲe
вайной	vajnoj
вайною	vajnoju
вайну	vajnu
вайны	vajnɨ
вайнярчук	vajnʲartʂuk
вайсковы	pajskovɨ
вайсковымі	vajskovɨmʲi
вакальнай	vakalʲnaj
вакацый	vakatsɨj
вакзал	vaksal
вакзальны	vokzalʲnɨ
вакна	vakna
вакно	vakno
вакол	vakoɫ
ваколіцы	vakolʲitsɨ
вакульскі	vakulʲski
вакуум	vakum
вакцына	vaktsɨna
вакцынацыя	vaktsɨnatsɨja
вакцыну	vaktsɨnu
вал	vaɫ
вала	vaɫa
валакно	vaɫakno
валам	vaɫam
валамі	vaɫamʲi
валаскамі	vaɫaskamʲi
валах	vaɫax
валахаты	vaɫaxatɨ
валачобных	volatʂobnɨx
валачы	vaɫatʂɨ
валерый	valʲerɨj
валоданне	vaɫodanʲːe
валодзька	vaɫotsʲka
валодзька	vaɫutsʲka
валожын	vaɫoʐɨn
валоў	vaɫou̯
валтузіў	vɔltuziw
валуй	vaɫuj
валун	vaɫun
валы	vaɫɨ
валынку	voɫɨnku
валькірыя	valʲkʲirɨja
валэндаецца	valɛndaʲetsːa
валюта	valuta
валютай	vaɫʲutaj
валютных	valjutnɨx
валя	valʲa
валянцін	valʲanʲtsʲin
валяр'ян	valʲaɾɫjan
валёнкі	valʲonkʲi
валі	valʲi
валіза	valʲiza
валізе	valʲizʲe
валізы	valʲizɨ
валійскі	valʲijskʲi
вам	vam
вампір	vampʲir
вамі	vamʲi
ванда	vanda
вандал	vandaɫ
вандравала	vandravaɫa
вандраванне	vandravannʲe
вандроўка	vandrowka
вандроўны	vandrou̯nɨ
вандруеш	vandruʲeʂ
ванна	vanːa
ванная	vanːaja
ванную	vannuju
ванны	vannɨ
вантроба	vantroba
ванюшку	vajnʲuʂku
ваніль	vonʲiɫʲ
ванітаваць	vanʲedavatsʲ
ванітаваць	vanʲitavatsʲ
ваніты	vonʲitɨ
вапна	vapna
вапнавы	vapnavɨ
вапну	vapnu
вапны	vapnɨ
вапнякамі	vapnʲakamji
вапняковы	vapnʲakovɨ
вапняком	vapnʲakom
вар	var
вар'ят	varja
вар'ят	varjat
вар'ятка	varɨjatko
вар'яцець	varjatsʲets
вар'яцкі	varjatskʲi
варажба	varaʒba
варажбіткі	varaʐbʲitkʲi
варажыць	paraʐɨtsʲ
вараную	varanuju
вараны	varanɨ
вараныя	varanɨja
варатар	varatar
варатаром	varatarom
варатары	varatarɨ
варвар	varvar
варвара	varvara
варні	varɲi
варожы	varoʐɨ
варожыш	varoʐɨʂ
варон	varon
варона	varona
варонамі	varonamʲi
варонку	varonku
варону	varonu
варот	varot
варотамі	varotamʲi
вароты	varotɨ
варочаць	varotʂatsʲ
варта	varta
варта	vˈˈaɾtˈa
вартавы	vardavɨ
вартавым	vartavɨm
вартавых	vartavɨx
вартавыя	vartavɨja
вартая	vartaja
вартаўнік	vartau̯nʲik
вартоўня	vortou̯nʲa
варту	vartu
вартую	vartuju
варты	vardɨ
вартыя	vartɨja
варункі	varunkʲi
варухнуцца	varuxnutsːa
варушыліся	varuʂɨɫʲisja
варушыцца	varuʂɨtsːa
варце	vartsʲe
варшава	varʂava
варым	varɨm
варыце	varɨtsʲe
варыцца	varɨtsːa
варыянт	varɨjant
варыянта	varɨjanta
варыянтах	varɨʲantax
варыянту	varɨjantu
варыянты	varɨjantɨ
варыяцый	varɨʲatsɨj
варэнік	varɛnʲik
вар’яцкая	varɨjatskaja
вас	vas
вас	vˈas
васьмярым	vasʲmʲarɨm
васьмярымі	vasʲmʲarɨmʲi
васьмярых	vasʲmʲarɨx
васьмёра	vasʲmʲora
васьмі	vasʲmʲi
васьмідзесяты	vasʲmʲidzʲesʲatɨ
васьмісоты	vasʲmʲisotɨ
васямнаццаты	vasʲamnatsːatɨ
васямнаццаць	vasʲamnatsːatsʲ
васілевічы	vasʲilʲevʲitʂɨ
васіль	vasʲilʲ
васіліса	vasʲilʲisːa
васіліск	vasʲilʲisk
вата	vata
ватовыя	vatovɨja
ватрушкі	votruʂkʲi
вату	vatu
ватыканскі	vatɨkanskʲi
вахтавы	vaxtavɨ
вахтавым	vaxtavɨm
вахце	vaxtsʲe
вахцёр	vaxtsʲor
вачам	vatʂam
вачамі	vatʂamji
вачах	votʂax
вачмі	vatʃmʲi
вачыма	ɣatʂɨma
вачэй	vatʂɛj
ваш	vaʂ
ваша	vaʂa
вашай	vasaj
вашаму	vaʂamu
вашывых	vaʂɨvɨx
вашым	voʂɨm
вашых	vaʂɨx
вашыя	vosɨja
ваяваць	vajavatsʲ
ваяваць	voʲavatsʲ
ваяводзтва	tvajavodsdva
ваяводзіна	vojavodzʲina
ваўкавыск	vau̯kavɨsk
ваўкаві́шкі	vau̯kavʲiʂkʲi
ваўкалак	vau̯kaɫak
ваўкі	vauki
ваўчанск	vau̯tʂansk
ваўчыца	vau̯tʂɨtsːa
ведае	vʲedajɛ
ведаем	vɛdajem
ведай	vʲedaj
ведала	vˈedoɭa
ведалі	vʲadaɫʲi
ведам	vʲedam
веданне	vʲedannʲe
ведах	vʲedax
ведаць	vʲedatsʲ
ведаць	vˈedats
ведаю	vʲedaju
ведаюць	vjedojutsʲ
ведаў	vʲedaw
ведзьма	vetzma
ведзьма	vʲedzʲma
веды	vjedɨ
вежа	vʲeʐa
вежай	vjeʐaj
вежкі	vʲeʂkʲi
вежу	vʲeʐu
вежы	vʲeʐɨ
везлі	vjezlʲi
везці	vʲesʲtsʲi
вейка	vʲejka
век	vʲek
века	vˈeka
векам	vʲekam
веку	vɛku
векі	vʲekʲi
веласіпед	vʲeɫasʲipʲet
вельмі	vʲelʲmʲi
велізарныя	vʲeɫʲizarnɨja
велікамучанік	vʲelʲikamutʂanʲik
велікамучаніца	vʲelʲikamutʂanʲitsa
веліч	vʲelʲitʂ
велічальны	vʲelʲitʂaɫʲnɨ
велічы	vʲelʲitʂɨ
велічыня	vʲelʲitʂɨnʲa
велічыні	vʲeɫʲitʂɨnʲi
вен	vʲen
вена	zʲana
венгерка	vʲenɣʲerka
венгерскі	vʲenɣʲerskʲi
венгр	vʲenɣr
венгры	vʲenɣrɨ
венгрыя	vʲenɣrɨja
венера	vjanʲera
венера	vʲenʲera
венералогія	vʲenʲeraɫoɣʲija
венерычных	vʲenɛrɨtʂnɨx
венесуэла	vʲenʲesuɛɫa
вентыляцыяй	vʲentɨlʲatsɨʲaj
венчыкі	vʲentʂɨkʲi
вер	vʲer
вера	vʲera
верабей	vʲerabʲej
верагодна	vjeraɣodna
верагодны	vʲeraɣodnɨ
верагодных	vʲeraɣodnɨx
верад	vʲerat
верадзіць	vʲeradzʲitsʲ
верай	vʲeraj
веранда	vjeranda
веранды	vʲerandɨ
вераніца	vʲeronʲitsa
верасе	vʲerasʲe
верасень	vʲerasʲenʲ
верасеньскі	vʲerasʲenʲskʲi
верасня	vʲeroʂnʲa
верасні	vʲeraʂnʲi
верасовы	vʲerosovɨ
верасу	vʲerasu
вераць	vʲeratsʲ
верацяно	vʲeratsʲano
вербальнай	vʲerbaɫʲnaj
вербны	vʲerbnɨ
вермахт	vʲermaxt
верна	vɛrna
вернута	vʲernuta
вернуты	vʲernutɨ
вернуцца	vjernutsːa
верны	vʲernɨ
вернік	vˈɛrnik
вернікі	fʲernʲiʲːi
верніца	vʲernʲitsa
версе	vjersʲe
версій	vʲersʲij
версію	vʲersʲiju
версія	vʲersʲija
версіям	vʲersʲijam
версіямі	vʲersʲijamʲi
версіях	vʲersʲijax
версіі	vʲersʲiji
верталёт	vʲertalʲot
веру	vjeru
верфі	vʲerfʲi
верх	vʲerx
верхавіна	vʲerxavʲina
верхнелужыцкі	vʲerxnʲeɫuʐɨtskʲi
верхнядзвінск	vʲerxnʲadzʲvʲinsk
верхні	vʲerxnʲi
верхнім	vʲerxʲːim
верхнія	vʲerxʲːija
верху	vʲerxu
верце	vʲertsʲe
верцяць	vʲertsʲatsʲ
верш	vʲerʂ
вершаліна	vʲarʂalʲina
вершамі	vʲerʂamʲi
вершах	vʲersax
вершаў	vʲerʂau̯
вершы	vɛrʂɨ
вершыкі	vʲerʂɨkʲi
вершыні	vʲerʂɨnʲi
веры	vʲerɨ
верылася	vʲerɨɫaʂja
верым	vʲerɨm
верыць	vʲerɨtsʲ
вестка	vʲestka
вестку	vʲestku
весці	vʲesʲtsʲi
весь	vʲesʲ
весь	vˈes
вета	vɛta
ветка	vʲetka
веткаўскі	vʲatkau̯skʲi
ветла	vʲetɫa
ветлы	vʲetɫɨ
ветлым	vʲetlɨm
ветлівы	vʲetlʲivɨ
ветлівы	vʲetɫʲivɨ
ветравых	vʲetravɨx
ветразь	vʲetrasʲ
ветразі	vʲetrazʲi
ветрака	vʲetraka
ветрам	vʲetram
ветраны	vʲetranɨ
ветраным	vʲetranɨm
ветры	vʲetrɨ
вецер	vʲetsʲer
вецер	vˈetˈer
веча	vʲetʂa
вечар	vjɛtʂar
вечар	vʲetʂar
вечара	vʲetʂara
вечараваць	nʲatʂaravatsʲ
вечарам	vjɛtʂoram
вечарамі	vʲetʂaramʲi
вечаровым	vʲetʂarovɨm
вечароў	vʲetʂarou̯
вечарынак	vʲetʂarɨnak
вечкам	vʲetʂgam
вечна	vʲetʂna
вечнай	vʲetʂnoj
вечная	vʲetʂnoja
вечны	vʲetʂnɨ
вечным	vʲetʂnɨm
вечнымі	vʲetʂnɨmʲi
вечы	vʲetʂɨ
вешаць	vʲeʂatsʲ
влтава	vɔltava
во	vo
во	vˈo
вобад	vobad
воблака	vobɫaka
вобласць	vobɫasʲtsʲ
вобра	vobra
вобраз	vobras
вобразы	vobrazɨ
вова	vova
вогнішча	voɣnʲistʂa
вогнішчавы	voɣnʲiɕtʂavɨ
вод	vot
водам	vodam
водаправод	vodapravod
водар	vodar
водарасць	vodarasʲtsʲ
водарасці	vodarasʲtsʲi
водару	vodaru
водары	vodarɨ
водах	votax
водгалас	vodɣɫas
водгук	vˈodʒuk
водгуку	vodɣuku
водгукі	vodɣukʲi
водгулле	vodɣulʲe
водзяцца	vodzʲatstsa
водка	votka
водна-зялёны	votnazjaɫʲonɨ
воднага	vodnaɣa
водны	vodnɨ
водным	vodnɨm
воднымі	vodnɨmʲi
водных	votnɨx
водныя	vodnɨja
водца	votːsa
воды	vodɨ
водыр	vodɨr
вожык	voʐɨk
вожык-рыба	voʂɨkrɨba
вожыку	voʐɨku
вожыкі	voʐɨkʲi
воз	voz
воз	vus
возгры	vˈozgrʌ
возе	vozʲe
возера	vozʲera
возеры	vozjerɨ
возьме	vozʲmʲe
возьмецца	vosʲmʲetstsa
возьмеш	vozʲmʲeʂ
возьмуцца	vosʲmutsːa
возім	vosʲim
возіць	vozʲitsʲ
войн	vojn
войнах	vojnax
войны	vojnɨ
войск	vojsk
войска	vojska
войскам	vojskam
войску	vojsku
войскі	vojskʲi
войтам	vojtam
войту	vojtu
вока	voka
вока	vˈoka
вокам	vokom
вокладка	vokɫadkɑ
вокнах	voknox
вокнаў	voknaw
вокны	voknɨ
воку	voku
вол	voɫ
вол	vˈɔɫ
волава	voɫava
волакам	volokam
волас	voɫas
воласць	voɫasʲtsʲ
волат	voɫat
вольга	volʲɣa
вользе	volʲzʲe
вольных	volʲnɨx
вольскі	voɫʲskʲi
вольфія	volʲfʲija
вольха	volʲxa
вольхі	volʲxʲi
волю	voɫju
воля	voʲːa
воляй	volʲaj
волі	voɫʲi
вон	von
вонкавае	vonkavaʲe
вонкавай	vongavaj
вонкавы	vonkavɨ
вонкавымі	vonkavɨmʲi
вонкі	vonkʲi
вопратка	vopratka
вопраткай	vopratkaj
вопратку	vopratku
вопраткі	vopratkʲi
вопыт	vopɨt
вопытам	vopɨtam
вопыту	vopɨtu
вопыце	vopɨtsʲe
вораг	vorax
ворага	voroxo
ворагаў	voraxau̯
воран	voran
ворным	vornɨm
ворных	vornɨx
ворыва	vorɨva
ворыва	vorɨvak
вос	vos
восем	vosʲem
восем	vosʲim
восем	vˈosim
восемдзесят	vosʲemdzʲesʲat
восемсот	vosʲemsot
восенню	vosʲenʲːu
восень	vosʲenʲ
восені	vosʲanʲi
воск	vosk
воскам	voskam
воску	vosku
воспа	vospa
воспіны	voʂpʲinɨ
востра	vostra
востраву	vosdravu
востраў	vostrau̯
вострую	vostruju
востры	vostrɨ
вострых	vostrɨx
вострыя	vostrɪja
вострыя	voʂtrɨʲa
вось	vosʲ
вось	vˈos
вось	ʂto
восьмай	vosʲmoj
восьмую	vosʲmuju
восьмы	vosʲmɨ
восьмым	vosʲmɨm
восі	vosji
вотруб'і	votrubʲi
воцат	votsat
воцат	vˈotsʌt
воцату	votsatu
вочка	votʂka
вочкамі	votʂkamʲi
вочках	votʂkax
вочкі	votʂkʲi
вочным	votʂnɨm
вочных	votʂnɨx
вочныя	votʂnɨja
вочы	votʂɨ
вош	voʂ
вош	vˈoʃ
вошы	vosɨ
воін	moin
воіны	vojinɨ
воўк	vok
воўк	vou̯k
воўна	vou̯na
воўчыя	vou̯tʂɨʲa
вроцлаў	vrotsɫau̯
вугал	vuɣaɫ
вугаль	vuɣalʲ
вугаля	vuɣalʲa
вугалі	vuɣalʲi
вугла	vuɣɫa
вуглавым	vuɣlavɨm
вуглы	vuɣlɨ
вуглярод	vuɣlʲarot
вугольчык	vuɣolʲtʂɨk
вугор	vuɣor
вугоршчына	vuɣorʂtʂɨna
вуд	vud
вуда	vuda
вудзяць	vudzʲatsʲ
вуду	vudu
вуды	vudɨ
вуж	vuʂ
вужака	vuʐaka
вужы	vuʐɨ
вуза	vˈuza
вуздэчка	vuzdɛtʂka
вузел	vuzʲeɫ
вузенькім	vuzʲenʲkʲim
вузенькіх	vuzʲenʲkʲix
вузкую	vˈuzgujum
вузкі	vuskʲi
вузкі	vˈuzkiju
вузкімі	vuzkʲimʲi
вузкія	vuzkʲija
вузлах	vuzɫax
вузлом	vuzlom
вузлы	vuzɫɨ
вуй	voj
вулей	vulʲej
вулкан	vuɫkan
вулкана	vuɫkana
вулканы	vuɫganɨ
вуліц	vulʲits
вуліца	vulʲitsa
вуліца	vuˈljitsa
вуліцаю	vuɫʲitsaju
вуліцу	vuɫʲitsu
вуліцы	vuɫjitsɨ
вулічках	vuɫʲitʂkax
вулічкі	vuɫʲitʂkʲi
вулічнай	vuɫʲitʂnaj
вулічныя	vuɫʲitʂnɨja
вунь	vonʲ
вунь	vunʲ
вус	vus
вусень	vusʲenʲ
вусна	vusna
вуснах	vuznax
вусную	vusnuju
