a	a˧˧
comes	ko˨˩m
cometh	kɔ̰m
comet	kɔ̀m
comfortable	kʰom˧ʔfo˨˦tʰaː˧˥lʌː˥
comfort	kʰom˧ʔfo˧˨
comic-con	kɔmɪkkɔn
comic	kɔ̄m˧
comics	kɔm˧ʔjɛk˧
coming	kɔm˧
comin	kɔ̀mɪ̂ŋ
com	kɔm
cốm	kɔm˧
cơm	kɔm˧
cớm	kɔm
cỡm	kɔm
com-lê	kɔm˧le˥
comlê	kɔm˧le˥
commanche	kom˧man˨tʃe˥
commander	kom˧˥˧man˧˥˧deɜ˧˥
command	kɔm˧˥mæːn˨˩
commando	kɔ̆m˧˥mɑ̆ː˨˩
commandos	kom˧˥man˧˥do˧˥
commencing	kɔm˧˥ʔ
commend	kə˧˥mɛn˨˩
comment	kɔ̀m˨˩mɛn˨˩
commissaire	kɔm˧˥mj˨˩j
commission	komiʃɛ̃
commit	kə˧˥mɨt
commitment	kə˨˩mɨ˨˧t˨˩mʌ̰˥t
comm	kɔm
commodius	kɔm˧˥mɔj˧˥j
commodore	kɔm˧˥mo˧˥do˧˥
commodus	kɔm˧˥mɔj˨˩
commo	kom˧ʔ
common	ko˨˩m˧n
commonwealth	kom˨mɨn˧tʰweː˥
commotion	kɔ̀m˧˥mɔ̂n˧˥
comms	kɔm
communicate	kɔm˧˥nuː˧˥jɛ˧˥t˨
communications	kɔm˧˥mʊ̄˨˩nʌː˧˥
community	kʰɔm˧˥tuːn˨˩
cómo	kɔ˨˩
como	kɔ̀m
comolli	kom˧ɔl˨˩li˧
compactor	kɔm˧˥pɑk˨˩tɔ˧˥
compa	kɔm˧pa˥
companies	ko˩m˧pə˧˥ni˥
company	kʰɔm˧˥pəɲ˧˥
compare	ko˨˩m˧˥pʰɛ˧˥
compass	kom˧˥
competition	ko˨˩m˧˥pə˨˩t˦i˥ʃən
compiègne	kɔmbiɛɲ˥
comple	kɔm˧˥lɛ˧˥
complê	kɔm˧˥lɛ˧˥
complete	hōm˧˥
completely	kʰom˧˥liː˧˥tɪ˧˥
complexion	kom˧lɛk˦ʃən˧
complicated	kɔm˧plɛk˨˦
composite	kɔm˧˥po˧˥mɛ˧˥t
compostela	kɔm˧˥po˨˩te˧˥la˧˥
comprehend	kɔm˧˥prɛn˧˥
comprende	kɔm˧˥prɛn˨˩˦dɛ˧˥
compton	kɔm˧˥tɔn˨
computer	kɔm˧˥pju˧˥tɛ˧˥
computers	kɔm˧pu˧˥tɛ˧˥kɛ˧˥
cớm	ʈɔ̀m
cỏn	˨˩
conangọc	kɔn˧aŋ˥
conan	ko˨˩n
conan-kun	kɔn˧aːn˨kɯn˥
concerned	kɔ̀n˧˥tʰiəŋ˧˥
concern	kɔ̄n
concert	kɔ̄n˧tɛ˥
concerto	kɔ̄n˧tɛ˥w
concezio	kɔ̄n˨˩tsei˧˥
concha	˨ɔŋ˧
conchita	kɔn˧tʰiə˧˥
conclusion	kɔnkluːj˧
con-con	kɔ̄nkɔ̂n
concorde	kɔ̄n˧kɔ̂ː˥j˧
concord	kɔ̄n˧kɔ̆ː˨
concourse	kɔ̄n˧kɨ˨
cỡn	cɔ̰n
cọn	cɔn˧
concubinem	kɔn˧kɨ˨˩mɛ˥
conde	kɔ̄n˥
condé	kɔ̀n˧˥dɛ˧˥
condition	tɕoŋ˧˥˧
condo	kɔ̀n˧˥do̰˩
condom	kɔ̄n˧ʔdom˨
condor	kɔ̀n˧do˥
condors	kɔ̄n˧˥dɔ̰˩
condottieri	kɔn˧˥do˩˧tʰiɛ˧˥ri˧˥
conejo	kɔ̀n˧˥jɛ́˧˥
cone	kɔ̀n
conell	kɔ̄n˨˩lɛ̰˧˥
coney	kɔ̀n
conference	kɔ̄n˨fɛ˧n˨˥s
confession	kɔn˧˥fɛ˧˥ʂən˧˥
confessions	kɔɲ˧˥fɛ˧˥sɒn˧˥
confess	kɔn˧˥fɛ˧˥ʔ
confines	kɔn˥fi˧n˦
confirmation	kɔm˧˥fɔm˧˥nɔm˧˥
confirmed	kɔn˧˥fɪ˧˥m˥
confirm	kɔ̀ːm˧˥
conflict	kɔɲ˧˥fʰlɪk˨
confounded	kɔ̄fʊ̄n˧˥
confringo	kɔ̄n˧˥frɪŋ˨˩
confundus	kɔɰ̃˧˥fu˨˩n˧˥
confused	kɔn˧˥fɨ˩˧
confusion	kɔn˨fɨ˧n˨
conga	kɔŋ˧
cóng	cɔŋ˧
cồng	cɔŋ˧
cöng	cɔŋ˧
cõng	cɔŋ˧
công-gô	kɔŋ˧ɣo˨
cong	koŋ˧
còng	kɔ̤ŋ
cống	kɔŋ˧
cống	kɔ́ŋ
cổng	kɔ̀ŋ
cơng	kɔŋ˧
cọng	kɔŋ˧
conglomerate	kɔŋ˧˥lɔ˧˥mɛ˧˥t
congo	kɔ̀ŋ
còng	˨ɔŋ
công	˨˧ɔŋ
cổng	˨˧ɔŋ
cõng	˨ɔŋ
cọng	˨ɔŋ
congratulations	kɔn˧grɑ˥pʰʰʊ˨ʔlə˧jʰʊ˨ʔ
congress	kɔn˧˥
công-tắc	kɔŋ˧˥tak˧˥
công-ten-nơ	kɔŋ˧˥tɛn˧˥nɔ̄˥
công-te-nơ	kɔŋ˧˥te˩˧nɤ˧
çøng	˨˧ʈʊŋ
cóngười	kɔŋ˧˥ɯi˧
cộng	˨˧ʔɔŋ
cộng	˨ʔɔŋ
conie	˥ɔ˧˥ni˨
cõñi	kɔ̀ni
conine	kɔ̄˧˥ni˨
conklin	kɔ̄nklɪ̄n
con	kɔn˨
cón	kɔn˧
còn	kɔ̀n
còn	kɔ̌n
côn	kɔn˧
cổn	kɔ̄n
conley	kɔn˧˥lɛj˧˥
conlon	ʈɔn
con-mẹ-nó	kɔ̄n˨˩mɛ˨˧nɔ̄˨˥
connally	kɔ̀n˧˥lɛ̀˩
connaught	kɔ̄nːaʊ
connected	kə˨˩t̪ə˨˧˥
connecticut	kə˨˩nɛk˨˧tʊ˨˧kʰʊt
connecting	kə˨˩ŋ˧˥
connection	kə˧˥ɲə˧˨ʔ
connections	kəːn˨˩kə˨˧nəw˨˨
connell	kɔ̀n
connelly	kɔn˧˥lɛ˧˥
connely	˨ɔn˨˩lɛ˧
conner	kɔn˧˥
conners	kɔn˧˥
connery	kɔ̄n˧˥
con-nichon-aah	kɔn˧ni˥kɔn˧aː˥
connie	kɔ̄n
conniff	kɔ̀n
conn	kɔn˧
connolly	kɔ̄n˧lɔ́i˥
connor	kɔ̀ːn
connors	koːn˨˩
conolly	kɔ̄n˧˥lɨ˩
conor	kɔn˧ɔ˥
còn	˨ɔ̀n
cồn	˨ɔ̀n
cơn	˨ɔn
conrad	kɔn˧raːt˨
conroy	kɔn˧rɔj˥
consider	kʰi˧˥n˨˩sɪ˧˥
consolata	kɔn˧˥sɔ˧˥lɑ˧˥tɑ˧˥
console	kɔ̄ːn˧˥sɔ̄ːl˧˥
consolidated	kɔn˧˥sɔl˧˥di˧˥t̪eː˨˩
conspiracy	kɔn˨˩sɪ˧˥n˥
constable	kɔ̆˨˩
constance	kɔ̀ːn˧˥ʈaːn˧˥
constantine	kɔ̄n˧ʈi˨˨n
constantin	kɔn˧˥tɪn˨˩
constantinople	kɔn˧˥tɪn˨˩kɔp˥˧lɛ˧˥
constant	kɔ̄n˧˥st
constellations	kɔn˨˩tɛ˧˥n˧˥ləj˧˥ʔ
constitutional	koʊ˨˩tɪ˧˥sɨ˨˩tʊ˧˥nɛ˧˥l
constitution	ku˨˩˦tʰi˨˩˧tʰɔ˨˩˧nɨ˨˩˦
consuela	kɔnswiɛla
consuelo	kɔn˧˥sɛw˧˥
consultants	kɔn˨˩suː˨˩n˧˥tɛn˨˩
consumed	kɔ̄n˧˥sɯ̄m˧˥
consumer	kɔ̄n˨˩sʌ̄˧˥mɛ˧˥
contact	kɔ̰ŋ˧˥tɛk˨
contagious	kɔ̄n˧˥ta˨˩kɨ˧˥
container	kʰwɑ̄ːn˧˥tʰɛ̄ːn˧˥
containers	koŋ˧˥tɛ˨˩nɛ˧˥
con-tai-nơ	kɔ̆ŋtaːjnó
contains	tʰaɲ˥˧
contention	kɔ̰n˨˩˦tʰe˧˥ɲɛ˧˥
content	kɔ̰˧˦˥tɛ̰˧˥n
conti	kɔ̆ŋ˧˥
continental	kɔ̀n˧˥tɪ̄˨˩nə̰˦˥tɨ̄˨˩
continent	kɨ̀˧˥tɨ̄˨˩n˨˩
continued	tʰuən˧˥ti˧˨n˩˥
continue	kɔ̀ːn˨˩tin˨˧
continues	kɔn˧˥ti˨˩n˧˥
cont	kɔ̰̆n
contractors	kɔ̄n˧˥tɾɔ̄˨˩
contracts	kɔ̀ːt
contraire	kɔ̄n˧˥tʰaːj˧˥
control-c	kɔ̄ːl˧tɹɔ̄ːl˧
control	kɔ̄ːn˧˥trɔ̄ːl˧˥
controlled	kɔ̄ːn˧˥tɾōj˧˥n˧˥
control-v	kɔ̄ːn˧ʔtrɔ̄ːl˥vi˧
con	ʈɔn˨
convergence	kɔnvɛrʌŋ
conversation	kɔnvɛrs˧˥
conversations	kɔnvɛrsɛː
convertible	kɔn˧˥vɛ˧˥n˧˥t˨˩ɪb˨˩l
conviction	kɔn˧ʔviʔ˥tʰiɛŋ˧˥
convict	kɔn˥vɪt˩
convinced	kɔn˧˥vi˧˥n˩˧t
convince	kɔn˧ʔviɲ˧˥
conway	kɔn˧wɛj˨
cồn	˥ʔɔ̆n
coochie	koʊ˧ʔʈi˨
coo-coo	koːkoː
coọc-sê	kɔ̀k˧sɛ̂˥
cooc-xê	kɔ̆k˧˥sɛ˧˥
coóc-xê	kɔ̀ksɛ̂
coogan	koʊ˨aʊ˨gan˥
cooing	koʊŋ˧
cooke	kɔ̀ːk
cookie	kʰwɔj˨
cookies	kɔj˨˩
cooking	koʊkɪŋ
cook	koʊk˧
coo	koʊ˧
cooky	koːkʰi
cooler	kʰwɜː˨
cooley	koʊ˧˥li˩
coolidge	koːlɪt
coolio	koʊliːoʊ
cool	koʊl
cools	koːl
coolsville	koːlʃvɪ̄l
coóng	coóng
coong	koʊŋ˧
coon	koʊn
cóóóó	kɔ̀ʔ
cooper	koʊpɜː
coopers	kōːp
coop	kōp
coosa	kɔ̀ː˨
côòt	cɔ̀t
cooze	koː˧
coozeman	koː˨maːn˨
cỗ	˨ɔ̰
cọp	˥˨
copacabana	kɔpa˧ka˨ba˧na˥
copa	kɔ̀p
cop	cop˧
copeland	kɔ˧˥lɛn˧˥
copenhagen	ko˨pe˧ɲ˥
copen	kɔ̄p
copernicus	kɔpɛrnikɨ
copiae	kɔːpiə
copies	kɔ˧˥pʰi˧˥
cøp	kop
cóp	kɔ̆p
còp	kɔ̆p
cốp	kɔp
cốp	kɔ́p
cọp	kɔ̰p
cộp	kɔ̰p
copley	kɔp˧˥lɛj˧˥
copperfield	kɔp˨fɛː˧˥
copperhead	kɔp˧hɛt˥
copper	kop˧
coppola	kɔ̄p˧˥lɑ̄˩
copri	cɔp˧˥
cops	kop˧
copter	kɔp˧˥tɛ˧˥
copuletta	kɔ˨˩pʰɨ˨˦lɛ˧˥tɑ˥
copycat	kɔp˧ʔkaːt˨
copy	kɔp˧
copyright	koʊ˨˩prai˧˥t
cora	kɔ˧˥a˧
coral	kɔ˧˥aː˧˥l˧˥
coram	kɔ˧˥aːm˧˥
corazón	ko˧a˨za˧o˥n˧
corben	kɔ̄˧˥bɛn˨˩
corber	kɔ̄˧˥
corbet	kɔɹ˧˥bɛt˨˩
corbett	kɔr˨˩bɛt˨˩
corbin	kɔː˨˩bɪn˨˧
corcoran	kɔ̰ːkɔ̰ːn
corde	kɔ̄˧
cordelia	kɔ˧ʔɗe˨li˧ə
cordell	kɔː˧˥ʈe˧˥l
cord	kɔː˧˥
córdoba	kɔ˧˥ʈɔ˧˥ba
cordoba	kɔ˧˥ʈɔ˨˩bɑ˧˥
cordona	kɔ˧˥ʈɔ˨˩nɑ˧˥
cordon	kɔ̄ːn
cordova	kɔ˧˥ʈɔ˨˩va
core	kɔ̂ː
coretex	kɔ˧˥ʈɛ˧˥
coretta	kɔ˧˥ʈɛ˨˩
coretti	kɔ˧˥ʈe˨˩ti˧˥
corey	kɔ̂ːj
corgidog	kɔ˧ʔgi˨˩tɔk˧
cori	kɔ˧˥ʐi˧
corinaso	kɔ˧˥ri˧˥na˧˥so˧˥
corine	kɔ˧˥rɪn˨˩
corinne	kɔ˧˥jɛn˧˥
corinth	kɔ˧˥jɪn˨˩
coriolis	ko˧ri˧ɔ˥li˧jɪ˧
cork	kɔ̄k
cor	kɔ̄
corky	kɔk˧
corleone	kɔː˨lɛ˧˥wɛ˥˩
cormac	kɔː˨˩mɑː˨˨k
corman	kɔ̀m
cormier	kɔm˨ʔmjɛ˧
cornelia	kɔːn˧˥lia
cornelius	kɔ̄ː˧˥nɛ˧˥lɨ˧˥
cornel	kɔn˧˥l˩
cornell	kɔ̀ːnɛ́l
cornerback	kɔː˧˥nɛ˧˥bɛk
corner	kɔ̄j
corners	kɔ̄n
cornerstone	kɔːn˧ʔʂəːn˨
cornet	kɔ̄n˧ʔ
cornhill	kɔːnhi
corning	kɔ̄˧ŋ
cornish	kɔn˧ʔ
corn	kɔ̄n
cornwallis	kɔːn˧wɔː˥lɪs˧
cornwall	kɔːn˧wɔː˥
corolla	ko˧ro˧la˥
coronado	kɔː˧˥rɔ˧˥nɔ˧˥
corona	kɔ˧˥lɔ˨˩nɑ˥
coroner	kɔ˧˥nɛ˧˥
coronis	kɔ˧˥lɔ˧˥nɨ˩
coronna	kɔ˧˥rɔ˧˥na˧˥
corp	kɔːp
corporal	kɔ˧˥pɔ˧˥l
corporate	kɔː˧˥pɔː˧˥rɛ˧˥tɨ˧˥
corporation	kɔ˧˥po˧˥ra˧˥tʃɔn˧˥
corps	kɔː
corpus	kɔ˧˥rɔ˨˩pʰɨ˧˥
corrales	kɔː˧˥lɛ˧˥
corral	kɔ˧˥l
correa	kɔ˧˥rɛ˧˥a˧˥
corrected	kɔ˧˥ʈɛ˧˥t
correctional	kɔ˧˥ʈɔ˧˥
correction	kɔ˧˥ʈɨ˨˩
corrections	kɔ˧˥ʈʰəwŋ˧˥
correct	˨˧kɔk˨˩
corregidor	kɔ˧˥rɛ˨˩ɣi˧˥tɔ˧˥
corrick	kɔ˧˥lɪk
corrie	kɔ˧˥ʐi˧
corrigan	kɔ˧˥ri˧˥kɑn˧˥
corr	kɔ̀
corrupt	kɔ˧˥ʈɯ˧˥
corsair	kɔ˧˥ʂaːj
corse	kɔ̄
corset	kɔ˧˥sɛ˧˥t
corsica	kɔ˧˥ʐi˧˥kɑ˧˥
corsican	kɔ˧˥ʈi˨˩kɑn˧˥
corso	kɔ˧˥
corteleoni	kɔ̰ʔte˧le˥o˧ni
cortes	kɔ́t˥tɛ˧
cortexiphan	kɔ˨˩ʈɛ˨˧fi˧˥
cortex	kɔ̄˧ʔtɛ̰˨˩
cortez	kɔ̀˧ʔtɛ˨˩
corticosteroid	kɔ˧ʔtɪ˨˦kɔ˧˥səj˨˦tɤj˥
corticosteroids	kɔ˧ʔtɹi˨kɔ˧ʔtɹi˨˧ʔsɛu˥˧˧ʔdʌi˧˥
cortisol	kɔʈ˧˥tɔ˨˩l
cortizaid	kɔ˧ʈi˨zaːj˥
cort	kɔ̰t˧
cortland	kɔ̄ːtla̰ːŋ
corto	kɔ˧˥tɔ˨
corunđum	ko˧ru˨ŋu˥m
coruscant	kɔ˧˥ʐɯk˧˥sɛn˧˥
corvette	kɔ˥˧vɛ˧˥t
corvin	kɔ˨˩vɨn˨˧
corvinus	kɔ˨˩vi˧˥n˨˩
corvus	kɔ˧˥vɨ˨
corwin	kɔ̰˧ʔwɨn˨
cory	kɔ˧˥j
cosa	ko˨sa˩
cosby	kɔʔ˧ʔbi˧
cosette	kɔ˧˥sɛ˧˥t
cosima	kɔ˧˥sɪ˧˥mɑ˧˥
cosimo	kɔ˧˥sɪ˧˥mɔ˧˥
cos	koʊ˧
cosmic	kɔʔ˧˥sɪk˨˩
cosmo	kɔs˧mo˨
cosmopolitan	kɔ˧˥smo˧˥to˧˥lɛ˧˥tɪn
cossack	kɔ˧˥sɛk
cossak	kɔ˧˥sɑk˧˥
cossetti	kɔ˧˥sɛ˨˩ti˧˥
cossinius	ko˨˩˨si˧˥˧nɨ˨˩
cossutius	ko˨˩su˨˨ti˨˨
costa	kɔ˧˥tɑ˧˥
costanza	kɔ˧˥tɑ˨˩ŋa˧˥
costanzo	kɔ˧˥stɑːn˨˩zo˧˥
costco	kɔs˧˥tɔ˧˥
costel	kɔ˧˥tɛ˧˥l˧˥
costello	kɔ˨˩˨tɛ˧˥˧lɔ˨˩˨
costigan	kɔʔ˧ʔti˧˨gɑːn˥
costilick	kɔ˨˩ʈi˧˥k
costin	kɔ˨˩tɪn˧
cost	kɔs˧
costner	kɔʊ˧˥sʰtɛ˧˥nɛ˧˥
coswell	kɔsʋɛl
cote	kɔ̆t
côte	kɔ̀t
coteral	ko˧˥te˧˥raːl
cotesworth	kɔ̰t˨˩sɔ̰t˨˩
cóthể	kɔ̆θɛ̰
cót	kɔ̆t
cốt	kɔ́t
cốt	kɔ̆t
cợt	kɔ̆t
cọt	kɔ̰t˧
cột	kɔ̆t
cột	kɔ̆t
cốt-len	kɔ̆t˧lɛn˧
cotta	kɔt˧
cotter	kɔ̆t
cotto	kɔ̆t
cotton	kɔ̆t
cợt	˥˧ʈɛt
cotwell	kɔʔwɛ̆l
cotys	kɔ˧˥tʰi˨
cợ	˥˧ʈɜ˨
çò	˥ʈo
couch	kouʔ
cougar	kúːɣa
cougars	kuːag
coughing	kʰɨ̄
coughlin	koʊlɪn
coughlng	koʊ̯ŋ
coughs	kʰɨ̄
cougs	kouk˧
cöu	kou˧
could	kʰuː˧˥
couldn	koʊt
coul	koul˧
coulrophobia	kɔw˥lɔ˧fo˩bi˧ə
coulson	kou˧l˥s˦o˧n
coulter	kɨ̄u
coumadin	kuːmaːj˥
council	kɨ̄w
counsel	kuŋ˧˥
counsellor	kɨ̄w˧˥n˩˧sɔ˧˥l˥
counselor	kɨ̄w˧˥sɛn˨˩
countdown	kəwntdaun
countermeasures	ˈkʰɔntɛ˨˧mɛ˨˧kɨ˥˧
counting	tʰaʊŋ˧
count	kaʊn˧
country	˨˧kuːn˨˧tʃi
countryman	nʊŋ˧˥
county	kuːn˧˥
coupe	koup˧
couple	couplekʰuː˨˩
courage	kuə˧˥raɲ˧˥
courant	kɨə̰ːn
courfeyrac	kɔːfjɛ̄ɛ̀k
courier	kuj˨˩j
course	kɔ̄u
coursematch	kɔː˨˩sɛ˧˥mɐt
coursing	kɨ̄ː
courtesy	kʰuəj˧˥
courtiney	kʰɨ̄ʔ
court	kɔ̄ːt
courtney	kʰuə˨ʔtʰjen˨
couscous	kuː˧˥suː˧˥
cousin	˨˧kuː˨˩sin
cousins	kuː˨sin˨
cousteau	kʰuː˨˩tʰeːu˨˩
coutances	kuə˨˩tɑː˨˧ŋ
coutinho	kɔʊ˧˥tʰɪŋ˧˥
coutta	kuət˧
coutts	kɨ̄w
cove	kɔ̄v
covenant	kɔ˧˥vən˨˩
coven	kɔvɛn˧
covent	koʊ˨vɛn˧˥
coventry	kɔʊ˧˥vɛʔ˥tɛʔ˥
covered	kɔ˧˥vɛ˧˥t
cover	kɔ̄v
covey	kɔ̄v
cowabunga	kɔʊa˧˨bʊŋ˧˥gɑː
cowan	kɔʊ̯n
coward	koʊ˧ʊ˨
cowboy	kəw˨ʔbɔj˥
cowboys	kɔʊ˨˩ʔbi˧˥
cowen	koʊ̯ɛn˧
cowgirl	koʊgɜːl
cow	koʊ˧
cowles	kɔʊl˧
cox	koʊ˨
coxsackie	kɔʊsɛk
coy	ko˧j
coyote	kɔj˥j˧tɛ˥
cô-z	ko˧ʔ
cozy	koː˨
cpa	kaː˨˩paː˨˩
c̃p	cɨp˧
cpd2	ʈəː˨˩
cpd	ʈəːp
cph4	ʈəː˨˩
cph4	ʈəː˩
cpm	ʈəːm
cpr	kaːp
cps	ʈəː
cp	ʈəː
çp	ʈɨp˨
cpu	cpukʰu
cqd	kɨ˨˩tɨ˨˩kɨ˨˩
cqsd	ɣwɪəj˨
crabbe	krab˧
crab	kʰaːp
crabtree	kʰaːpʰtʰɨ̄
cracked	kɛ́k
cracker	kaːk˧
cracking	kɐk
crack	kʰaːk˧
crackles	kɹɐk˧˥lɛ˧˥
crackling	krɛ˧˥kɛ˧˥
cracks	kaːk
cracow	kɐ̰˧ʔkɔw˨
craddock	kɹɑːt
cradle	kaː˨˩
cradles	kaː˨˩lɛ˧˥
craft	krɑːft
crafty	kʰɐft˧
crag	kɑː
craigh	krɑj˧
craig	kaːj˨
craigs	kɹaɪʔ
craigslist	kaːj˥glɛt
craine	krɛ̄j˥
crain	krɛ̀ːn
cra	kaː˧
crakehall	kɛː˧˥
cramer	kʰaː˨˩
cranberries	kɐn˧˥bɛ˧˥ri˧˥
cranberry	kʰaːn˧˥bɛ˧˥ri
cranbury	krɑːn˧˥bɨ˩
crandall	kʰɑːn˧˥dɑːl˧˥
crane	krɛn˧
cranesmuir	kʰaːn˨˩mɨː˨˩
craniacs	kʰaː˨ɲaː˧kɛ˥
crank	kʰaŋ˧
cranston	kɐnʃtɔn
crap	krɐp
craquelure	kɑːk˧lɨ˩
crashed	krâs
crashing	krâːʃ
crash	kʰɐj˧
crassus	krâːs
craster	krɐs˧˥tɛ˧˥
cratchit	krɑtʃit
crate	krɛt˧
crater	kʰaːt
cravat	kʰaː˨˩vɑː˨˩t
crave	kʰaːv˧
craven	kʰaː˨˩
crawe	krɑːw˧
crawford	kɐw˧˥fɐt
crawled	kɹɐw˧˥
crawler	kɑːw˧˥lɛː˧˥
crawley	kɹaː˧˥lɛ˧˥
crawling	krɑːw
crawl	krɔː
crawly	kaː˨˩laː˨˧
cray	kaːj˨
c-rayz	kɨj˧
craze	krɛː˧
craz	kaː˨˧
crazy	kaː˨˩
creaking	krɛːk
creaks	kʰɹɛəks
cream	krɛm˧
crease	krɛː˧˥
creasy	krɛj˧
created	tʰɛː˧˥
create	krɛ˧˥t
creatine	kɾeə˧˥tiːn
creatinine	krɛː˧˥tɪ˧˥ni˧˥tɪn˧˥
creation	tʰɛw˧˥
creature	krɛː˧˥wɛː˧˥
creatures	kreː˨ɲa˧˥tɨ˨˩
credence	krɛ˧˥dɛn˧˥s
credentials	krɛndɛnʃi˧
credit	krɛt˧
credits	krɛdɪt
creech	kɹɛːt
creed	krɛː˧˥
creedy	kreː˥deː˧
creek	krɛːk˧
cree	krɛ̀
creel	kreːl
creely	krɛː˧˥lɛː˧˥
creem	krɛːm
creepers	krɛːp
creep	krɛːp
creepshow	kreːpʰʰɔː
creepy	krɛːp˧
creff	krɛ̀f
creighton	krɛj˧˥tɔn˨
crematoria	krɛmɔːtiə
creme	krɛ˧m
crème	krɛ˧˥m
crenna	krɛ̄n˧nā˥
crenshaw	krɛnʃɑː
creon	kɹɛw˧n
crepe	kreːp
crépin	krɛ̀pɪ̂ŋ
crescent	krɛ˧˥
cressen	krɛ̀s
cressida	krɛ˧˥si˧˥ɗa˥
cress	krɛ˧˥
cresta	kʰɛ˧˥
crest	krɛt˧
crestmont	kɛ˧ʔʂmɔn˨
cresty	krɛ˧˥stʰi˧
cretaceous	krɛtɛkɔj
crete	krɛ̀t
creutzfeldt-jakob	kɹɛːtsfɛlttɕɑkɔp
crewe	kɹɛw˧
crew	kwɛw˥
cribbs	krɨp
cricket	krɨt
crick	ʈrik˥
cried	krɨj˥
cries	krɨ
crighton	krɨː˧ʔtɔn˨˩
crikey	krɨj˥
cri	krɨ
crimea	krêːm
crimean	krêːm
crime	krīːm
criminal	krɪm˧˥ni˨˩l
criminals	krɪm˧˥nɛ˧˥l
crimsen	krɪm˧˥sɛn˩
crimsom	krɪm˧˥sɔm˧
crimson	krɪm˧˥sɔn˨
cripple	krɨp
crips	krɨp
crisco	kɨ̄ʔsɛ̄
crisis	krɪ˧˥
cris	krɨ̄
crispian	krɨːp
crispina	kɹɪp˧˥sɪ˧˥nɐ˩
crispin	krɪp˧ʔsɪn˨
crisp	krɨp
crispus	kɹɪp˧
criss	krɨ̀ʔ
cristal	krɪ˧˥tɑ˧˥l
cristall	krɪs˧˥tɑ˨˩
cristiane	krɪ˨˩ʈi˨˧a˨˨nɛ˥
cristina	kɹi˧˥tɪ˧˥nɑ˥
cristobal	krɪs˧˥tɔ˨˩baːl
cristo	kɹɪ˧˥s˦tɔ˥
cristu	krɨʔ˥
cristy	krɨ˧ʔ
crites	krɨ̄t
critical	krɪ˧˥tɪ˨˩k
crittenden	krɨt˦tɛn˨
critten	krɨ̆t
crixus	krɨ˧˥s
cr	kr
croatia	kɾɔa˧˥ti˨a
crocker	krɔk
crockett	kɯkɛt
crock	kɔk˧
croc	kɔ̄k
crocodile	kɔ˧˥kɔj˧˥ti˧˥
crocs	kɹɔk
croesus	krɨ˧˥sɨ˧˥
crofoot	krɔːfʊt
croft	krɔft
crohn	krɔn˧
croissant	krɔj˧˥sɛn˩
croix	krɔj˧
croker	kɔ˧˥kɛ˧˥
cro-magnon	kɔ˧maɲ˥ɲ˧
cro-magon	kɔ˧ma˧˥ɔn˥
cromartie	kɔm˧ʔaː˨ʔtʃiː˥
crom	kɔm˧
crôm	krɔm˧
cromwell	kɔm˧wɛt˨
cronan	krɔn˧nɑn˥
cronauer	krɔnɑːw
crone	krɔ̄n
cronin	krɔn˧˥in˧
cronkite	kɔn˧ki˨˩tɛ˥
cronos	kɹɔn˧
cronow	krɔ̄n
cronut	krɔnʊt
crood	krɔːt
croods	krɔːt
crooked	ɣɯːk˧
crookedtooth	kɹɔːkɛt
crookshanks	kɹɔːkʰʂaːŋ
crooks	kɹɔːk
crophopper	kɔpʰɔp
crop	krɔp
crosby	kɔʊ˧˥sbi
crosier	kɹɔj˧
crosscut	krɔs˧kɨt˨
crossed	krɔs
crosses	krɔs
crossfit	kɔs˧fɪt˨
crossing	krɔs
crossings	krosiŋ
cross	krɔs
crossroads	kɔs˧˥ʐɔt
crot	krɔt˧
crouch	kɨu
croupon	kɹou˧ʔpɔn˨˩
crowberry	˥ɹaʊ˨˧bɛɹi
crowded	˥ɹaʊ˧˥
crowder	kɾɔj˨
crowd	ɣɯːm˧
crowe	krɔ̄
crow	˥ɣɯ
crowhurst	˥ɹaʊ˧hɨst
crow	krɔʊ˨
crowley	krɔj˥
crowl	krɔːl
crowning	kɨ̄ːŋ
crown	kɨ̄u
crows	kɤː
croydon	kɹɔj˧˥dɔn˨
croy	kɨəj˧
crozier	kɹɔj˧
crp	krɤp
crps	krəp
crs	krəʔ
crt	krəːt
cruces	krɨ̄k
cruchot	krɨʔjɔt˨
crucio	kɹɨ˧ʔ
cruel	krɨə̰l
cruella	kɹɯɛ̰lɛ̰
cruinne-ce	kɨ̄j˨˩
cruise	kɹɨj˧
cruiser	kɨw˨˧
cruisers	kɹɨj˧˥
cruising	kɹɨj˧˥
crumb	krʌm
crunchies	krɨ̄ɲtʰi
crunch	krɨ̄n
crunchys	krɨ̄nʈʰj
crunk	krʊŋ
crush-a-nator	krɨʔ˧naː˧˥tɔ˧˥
crusher	kɨ˧ʔ
crush	krɨʂ
crusoe	krʊsɔ̄
cruz	krɨ̄ʔ
crying	krɨŋ˧
cryin	kɨj˨
cry	kʰi˧
cryoglobulin	kʰiː˧˥ko˧˥lu˧˥bi˧˥kin˧˥
cryo	kɨ˧˥
cryptococcus	kɨp˧ʔtɔk˨ʔkɔk˨
crystal	krɨ˧˥tɛ˧˥l
crythin	krɨ̄ʔ
cs01	csɔ˧˥
cscmt	csə˧ʔmɨə˨ʔ
cs	cs
csf	csf
csgt	ɕʰi˨˩t
csi	ɕi
csny	csɨ˧nɨ˩
