aegina	aegino
διετετύπωτο	kiedetipooto
διετύπου	bietipu
διετύπουν	bjetipum
διευθύνω	eutrino
διεφάνη	kiefane
διεφάνητε	diefaneete
διεφέρομεν	kieperomem
διεφήναντο	kiepenasdo
διεφήνω	diefeno
διεφαίνεσθε	diepajneste
διεφαίνομεν	diepajnomɛm
διεφαίνοντο	diefainonto
διεφαινόμην	diefainomem
διεφηνάμεθα	ðiefeneamita
διεφθάρην	dieptarem
διεφθάρης	dieptares
διεφθάρησαν	djftareisam
διεφθάρθω	dieptarto
διεφθάρκασι	diaptarkasi
διεφθάρκεσαν	diɛptarkesan
διεφθαρκέναι	diaptargenai
διεφθαρκυίας	dieptaɾkwias
διεφθαρκότας	kieptarkotas
διεφθαρκότες	kieptagotezi
διεφθαρκότος	ðieftarkotos
διεφθαρκότων	kieptarkoton
διεφθαρμένη	dieftarmiːni
διεφθαρμένον	dijeptarmeno
διεφθαρμένων	kieparemenon
διεφθείρου	diepteidu
διεύθυνσις	kieutw�nkis
διηγεῖται	kiege˩˥ːdai˧˧
διηνέγκατε	ð̞ienẽnkat̪e
διηνέγκετε	bienentede
διηνεκές	ðienekes
διηνεκέσι	hienekesi
διηνεκέσιν	fienekesne
διηνεκής	djenekɾes
διηρωτήκαμεν	ðʒorodɛkamen
διηρωτήκασι	dierotekasi
διηρωτήκασιν	djɛɾotɛkɑsʎɛ
διηρωτήκεμεν	fierotekemen
διηρωτήκεσαν	dieˈrɔtɛkisa
διηρωτήσαμεν	ðieˈroˈoˈdɛsɔ
διηρώτηκε	djˈɛrɔtˈe
διηρώτηκεν	djˈeɾotˈeɣi
διηρώτησας	bierodefei
διηρώτων	dielordon
διθύραμβος	ðətʰɵdæmbɔs
διιστᾶσι	ðiːztaasi
διιστᾶσιν	ðistasjim
δικάζω	dikatso
δικάσει	ðikazɛ
δικάσεις	ðikases
δικάσετε	dikazete
δικάσουσι	dikasuzi
δικάσουσιν	ðikasʊsi
δικέλλαις	dikellais
δικέλλης	dikeles
δικαία	ð̞ikaia
δικαίαις	dikaies
δικαίας	dikaias
δικαίου	dikaiu
δικαίους	ðikajws
δικαίων	dikaion
δικαιοδοσία	pikaiodosia
δικαιοδοσίαι	dikaiodosiaj
δικαιοδοσίαν	dikaiˈodosˈia
δικαιοδοσίας	dikaiodosiaas
δικαιοπόλει	dikaiopulei
δικαιοπόλεις	dikaiopoleis
δικαιοπόλεσι	dikaiopolesi
δικαιοπόλεσιν	dikaiopolesi
δικαιοπόλεως	dikaeopoleio
δικαιοσυνῶν	dikaiosinon
δικαιοσύναις	vikaiosiinais
δικαιοσύνες	dikaiosines
δικαιοσύνη	dikaiosune
δικαιοτάταις	dikaiot̪at̪aes
δικαιοτάτας	dikaiotatas
δικαιοτάτη	tikaiotate
δικαιοτάτην	dikaajotatẽ
δικαιοτάτοις	dikaiotatuais
δικαιοτάτου	dikaiopatu
δικαιοτάτους	dikaiotatus
δικαιοτάτων	dikaeiotato
δικαιοτέρα	dikaiotera
δικαιοτέραις	dikaioterais
δικαιοτέρας	dikaioteras
δικαιοτέροις	dikaioderois
δικαιοτέρων	dikaiotero
δικαιόπολι	dikaiupoli
δικαιόπολιν	dikaiopolĩŋiː
δικαιόπολις	bikaiopolis
δικαιόταται	dikaiot̪at̪aio
δικαιότατε	dikaiotat̪e
δικαιότατοι	digaiotatoi
δικαιότατος	bikaiopatas
δικαιότερα	digaiotiɾa
δικαιότεραι	bikaioteraj
δικαιότεροι	dikaioteroi
δικαιότερον	dikaijoteron
δικαιότερος	digatʃiteros
δικαιόω	dikajo
δικαστά	dikaesta
δικαστήριον	dikakterio
δικασταί	dikastai
δικαστηρίοις	dikasteeeiois
δικαστηρίου	dikastereio
δικαστηρίων	dikasteerion
δικαστικόν	dikastiko
δικαστική	dikasdike
δικαστῶν	dikaston
δικογραφίαι	dikografiai
δικογραφίαν	bikografˈia
δικογραφίας	bikogɾafias
δικτύου	diktˈy
δικώλου	diko˩˥lu˥˩
δικώλους	dikolus
δικώλων	dikoˌlom
δικῶμεν	dikˈɔme
διλήμμασιν	dileːm˧masˈiːn
διλήμματα	ðileːmmatˈa
διλήμματι	dileːma�ði
διλήμματος	ðilemmatos
δινήεις	dinˈeˈs
δινήεντας	tienentas
δινήεντες	dineːntes
δινήεντι	dineːnti
δινήεσι	dinesi
δινήεσιν	ðiˈneɛfɪn
δινήεσσα	dinˈeˈesa
δινηέντων	d̪jnee̞ntɔn
δινηέσσαις	ineaestsais
δινηέσσας	dineestas
διοίκησιν	dioikoen
διοίκησις	diokeestis
διοίκισι	ioikisi
διοίκισιν	ioalkesi
διοίκισις	viokesis
διοίσει	ðioisɛ
διοίσετε	biojsete
διοίσομεν	iois̺o̞men
διοίσουσι	dioisusi
διοίσουσιν	diokiusin
διοίσω	diojso
διογένει	diogene
διογένη	biogene
διογένην	iogeˈneˈn
διογένους	ðiogenus
διογενές	ðiuˈgˈnes
διογενέσι	ðiuɣ̞ẽn̪esj
διογενής	ðiogenez
διογενεῖ	ðiogene
διογκοῖ	dionkɔj
διογκοῖς	ðiomkois
διογκώσει	dionkose
διογκώσεις	ðiomkoseʃ
διογκώσεσι	diomkoosɛsi
διογκώσεσιν	ðiongooses̺in
διοικέω	ioikeo
διοικήσεων	ioikesejon
διοικήσεως	dioikeseos
διοικίζει	iojkitsɛ
διοικίσεσι	ioikisˈɛsi
διοικίσεσιν	ioikisesin
διοικίσεων	ioikiseio
διοικεῖ	ioike
διοικητάς	bioikeete
διοικηταί	ioikeeˈtaj
διολισθάνει	diolistane
διολισθάνεις	djoristanes
διολισθάνουσιν	iolistˈaːnˈɔsi
διολισθάνω	piolistano
διολισθαίνεις	ðio˥˩listaɪlˈɛks
διολισθαίνετε	dialistainse
διολισθαίνουσι	iolistainunsj
διολισθαίνουσιν	diolistrainunsj
διονυσίου	ðioɾnikiu
διονύσιοι	dioneifioi
διονύσιον	ðionusion
διονύσιος	dionekios
διονύσου	ionizu
διορίζει	ðioɾisdɛ
διορθώσεις	ðiordoses
διορθώσεσιν	ðiɔɾtɔʊsɛsi
διορθώσεων	diortosejo
διοσημία	ðioseemia
διοσημίαι	ðiosemiaj
διοσημίαις	dioseemiais
διοσημίαν	ðiosemian
διοσημιῶν	dioseemio
διοσκούρων	diooskuro
διοσκόροις	ioskorois
διοσκόρου	ðioskoˌɾu
διοσκόρους	ioskorus
διοσκόρων	dioskoro
διπλάσια	dplasja
διπλάσιαι	diplasiai
διπλάσιε	diplasje
διπλάσιοι	tiplasioi
διπλάσιον	diplasion
διπλάσιος	dipɾasios
διπλασία	diplazia
διπλασίαις	diplasiais
διπλασίαν	diplasja
διπλασίας	diplasias
διπλασίοις	diplasiois
διπλασίονα	diplasjona
διπλασίονας	diplasionas
διπλασίονες	diplasiones
διπλασίονι	diplasioni
διπλασίονος	diplasionos
διπλασίοσι	diplasiosi
διπλασίοσιν	diklasiosi
διπλασίου	diplasio
διπλασίων	diplasion
διπλασιόνων	diplasionon
διπλαῖ	diplaj
διπλοῖ	dploi
διπλοῦν	dˈeplˈu
διπλοῦτε	diplˈute
διπλοῶν	diplˈoːm
διπλωματικά	diplomatika
διπλωματικέ	diplomatikˈe
διπλωματικήν	diplomatikˈin
διπλωματικαί	d̪iplomat̪ikai
διπλωματικοί	diplomatikoi
διπλωματικοῦ	diplomatiku
διπλωματικόν	diplomatikum
διπλωματικός	diplomˈatikos
διπλωματικῶν	diplomatikˈo
διπλόαι	diplˈoi
διπλόαις	diplˈoai
διπλόας	dplobas
διπλόη	tiploi
διπλόην	diploin
διπλόῃ	dploi
διπλᾶς	diplas
διπλῆ	dple
διπλῷ	dploj
διστάζετε	diːstatsɛdɛ
διστάζω	ðɪstadso
διστίχοις	distikuis
διστίχου	distikˈu
διστίχων	distikom
διστιχές	ð̞ist̪jkes
διστιχέσι	distiasi
διστιχέσιν	distixessim
διστιχία	distikia
διστιχίαι	distihavis
διστιχίαν	distikiam
διστιχεῖς	ðistikeis
διστιχιῶν	disteion
διστρόφοις	distropois
διστρόφους	distropus
διστόμου	distɔmu
διστόμους	distˈomˌus
διστόμων	distomon
δισχίλιοι	diskilioi
δισχιλίαις	dishiliais
δισχιλίας	ðiːzhˈiliəs
δισχιλίοις	disheliois
δισχιλίους	ðiːshe˩˥ːlius˥˩
δισχιλίων	dishelio
διυλίζων	diʋilism
διφάω	vivao
διφρευτάς	dipɾeutas
διφρευταί	difeɾildai
διφρηλάτειραι	vikreeratelai
διφρουλκία	bifrurkia
διφρουργίαι	bifrurgiai
διφρουργίαις	ditruurgies
διφρουργίαν	diffrugiam
διφρουργιῶν	diffrugiovn
διφῶσα	ðiposa
διχασμέ	dikasme
διχασμούς	dˈikˈasmʊs
διχοτομίαι	dikonomiai
διψάω	dip˦˥sa˥˩w
διψήσαιεν	dipsɛsai̯e
διψήσαιμεν	dipsesɑimɛn
διψήσαντα	tipsesanta
διψήσαντι	dipseˈsˈati
διψήσει	dibsɛse
διψήσειαν	dipsejejɛ
διψήσειας	dipseseeas
διψήσεις	dipsestes
διψήσοι	dipsesoj
διψήσοιεν	dipsestsoie
διψήσοντος	dipseɛsɔntɔs
διψήσω	dipsɛso
διψήτω	dipseto
διψησάσαις	vipseseasais
διψησάσης	vipsesasaɛs
διψησάτω	dipseˈsato
διψησουσῶν	dipsesuzoːn
διψησούσαις	dipsesusais
διψησούσας	vipsesʊsas
διψησούσης	dipsesussɛz
διψωσῶν	vipsosom
διψώντων	dipsunton
διψῆσον	dipseson
διψῆτε	dipitɛ
διψῴη	diːpsɔj
διψῴης	dipsoje
διψῶντος	dipsondos
διωκέτω	dioketo
διωκουσῶν	dioɣ̞uθum
διωκούσαις	ðioogusæis
διωκούσας	diookuzas
διωκούσῃ	dioguse
διωκόντων	diokonton
διωξομέναις	ðioksome̞ne̞is
διωξομένην	dio̞ksomejne̞m
διωξούσας	ðioksuusas
διωξούσης	ðio̞ksuu̯sæs
διωξούσῃ	dioksuse
διό	vˈio
διόγενες	ðiogɛnˈes
διόγκωσι	dionkose
διόδοις	ðiotois
διόδου	djodɔ
διόδους	ðiotuz
διόδων	djodo
διόθεν	diotem
διόνυσον	ðiːoːrnysɔŋ
διόρθωσιν	ðɪɔrtɔɦɔsɪ
διόσκορε	ioskorei
διόσκοροι	tioskoroi
διόσκορον	ðio̞skoɾon
διόσκορος	ðioskoˈɾos
διόσκουροι	diooskuroi
διώκοντας	iolokɔntas
διώκουσαι	diokuusɛj
διώκουσαν	diogousãn
διώξεις	ðiokses
διώξεσι	ðioksɛfj
διώξεσιν	ðioksesiŋ
διώξεων	dio˝kseum
διώξονται	dioksontai
διώξουσαι	dioksousai
διώξω	djokso
διάγω	ðiago
διῴκουν	iojkum
δοίη	toje
δοίημεν	vojeˈmim
δοίητε	dojeˈte
δοίμεθα	dojmɛta
δοίμην	dojmen
δοθέν	dɔtɛŋ
δοθέντα	dotɾɛnta
δοθέντας	dotentas
δοθέντες	dosentes
δοθέντων	dotsenton
δοθήσει	dotɾẽnsɛj
δοθήσεσθαι	dotesestai
δοθήσεσθε	doteɛstɛ
δοθήσεται	dotsesetaj
δοθήσοιο	dotɛsɔio
δοθήσοισθε	dotɪsolistɛ
δοθήσονται	dɔtɛjsɔndaj
δοθήτω	dotɛto
δοθήτωσαν	dotsetɔʃan
δοθείη	dˌoθˈe
δοθείης	doteel
δοθείς	doθes
δοθείσας	dotɾesas
δοθείσῃ	dotesee
δοθεῖμεν	dotɛjmɪm
δοθεῖσαι	dotresai
δοθεῖσιν	doteesin
δοθησοίμεθα	dɔtɛsɔimɛtɛ
δοθησομένην	dɔtɛsɔmɛnɛm
δοθησομένης	dotsɛsɔmeneʃ
δοθησομένοις	dotesomenoj
δοθησόμεναι	dosesomenai
δοθησόμενε	dotsesɔmini
δοθησόμενος	dotesoˈmenus
δοκέ	alk
δοκούς	dˈokˈuz
δοκοῦ	daku
δοκοῦσι	dokuʊsj
δοκοῦσιν	dokuhusɛ
δοκόν	dokon
δοκός	dakas
δολία	dolia
δολίαν	dɔlian
δολίας	dolias
δολίου	doliɛ
δολίους	dolius
δολίων	daiion
δολεράν	doɾajan
δολεράς	d̪oleɾas
δολερέ	dˈoleɾi
δολεραί	dolerai
δολεροί	dolitɔj
δολεροῖς	doliːɾɔis
δολερόν	doliru
δολερός	ð̞oleɾos
δολιωτάταις	d̪oɾio̞t̪at̪ais
δολιωτάτην	doliotate
δολιωτάτης	doliootnes
δολιωτάτοις	doliootatois
δολιωτάτου	dolioˈtatu
δολιωτάτῳ	doliotato
δολιωτέραν	doliʝodera
δολιωτέροις	dlioterois
δολιωτέρων	doliootero
δολιωτέρῳ	dliotero
δολιώτατον	oliotatovum
δολιώτεροι	dorioteroi
δολιώτερον	doiooteɾum
δομένας	d̪omenes
δομένη	domeni
δομένοις	dʊmenɔis
δομένου	domenu
δομένους	d̪omenʊs
δομένων	domenon
δοξάζουσιν	doksˈatsˈuzi
δοξασία	doksafja
δοξασίαις	doksafiais
δοξασίαν	ðoksaθeiam
δοξασιῶν	doksasioŋ
δοξῶν	doksɔm
δουλεία	doleja
δουλεία	d̪uɾeie
δουλείαις	dureies
δουλείας	duleies
δουλευμάτων	duleʊmɑtɔm
δουλεύεις	duleues
δουλεύματος	nuleʊmatos
δουλεύουσιν	duːlɛʔuːsiːn
δουλεύσει	duleosˌe
δουλεύσεις	duːlɛʊsɛiʃ
δουλεύσετε	duɫeʊsɛte
δουλεύσουσιν	duleosusi
δουλοῖ	duːɾɔj
δουλοῖς	dulojs
δουλοῦμεν	duɾuˈmim
δουλοῦσι	duɾˈusi
δουλόω	duːlˈɔ
δουλώσει	duːlɔse
δουλώσομεν	durosɔmen
δουλώσουσι	dʊrɔsɔɛsi
δουλώσουσιν	duːlosʊziː
δουλώσω	dʊlɔsɔ
δουρεία	dureia
δουρείαις	dureais
δουρείοις	dureeis
δουρείου	duˈɾeˈ
δούλας	sulas
δούλευε	duːleːwe
δούλη	dule
δούλην	ðulɪn
δούλοις	duɾɔjs
δούλου	dʊlˈo
δούλῳ	vuloi
δούποις	duːbois
δούπου	duːpuː
δούπους	duːpˈʊz
δούρεια	dʊrejæ
δούριδι	duːrɪdi
δούς	dˈus
δούσας	dusas
δούσης	dusˈɛs
δούσῃ	dˈose
δούλοις	dulˈoːjz
δοῖτε	dojtɛ
δοῦ	dˈu
δοῦσαι	dusɑi̯
δράκοντας	drakontas
δράκοντες	drakomtes
δράκοντι	rakonti
δράκοντος	drakomtoz
δράκουσι	drakusi
δράμασι	dramati
δράμασιν	dramasino
δράματα	dramata
δράματι	dramati
δράματος	d̪ɾamat̪os
δράσεις	trassez
δράσετε	trasete
δράσουσιν	trasuziŋ
δράσσομαι	trassomai
δρέπω	tripo
δρακέσθαι	drakestoi
δραμάτων	dramatum
δραπέτα	draːpɛta
δραπέται	drapɛtaj
δραπέταις	trapepais
δραπέτευσι	draːpɛtɛuˈsi
δραπέτην	drapetɛ
δραπέτης	grapet̪es
δραπέτου	drapɛtu
δραπέτῃ	drapete
δραπετεύσει	draapeteusj
δραπετεύσεων	drapetaeuseio
δραπετεύω	drapet̪auo
δραχμάς	dɾaamas
δραχμαῖς	drakmajs
δριμέσι	brimesi
δριμέων	primeon
δριμείας	drimeas
δριμείᾳ	drimeai
δριμεῖ	brime
δριμεῖαν	grimean
δριμυτάτας	riimitatas
δριμυτάτους	grimitatus
δριμυτέραις	brimiterais
δριμυτέραν	brimitéram
δριμυτέροις	trimiterojz
δριμυτέρου	grimiteru
δριμυτέρους	grimiterus
δριμυτέρων	brimuteron
δριμυτήτων	grimiteton
δριμύ	drˈimi
δριμύτατα	driːmiːtota
δριμύταται	grimitataj
δριμύτατε	griːvitatɛ
δριμύτατοι	drivitatuj
δριμύτερα	driːmitera
δριμύτεραι	drimiterai
δριμύτερε	drimitere
δριμύτεροι	breviteroi
δριμύτησι	grimitesi
δριμύτητι	grimitete
δρομάδας	dɾomadas
δρομάδι	dromað̞i
δρομάς	dɾimas
δρομάσι	dramati
δρομάσιν	dromas̺in
δρομέα	gromea
δρομέας	dromeas
δρομέων	dromeo
δρομέως	dromeos
δρομαία	dromajɐ
δρομαίαις	dromaias
δρομαίαν	dromaian
δρομαίας	dromaias
δρομαίοις	dromaiois
δρομαίου	dromaio
δρομαίους	dromaius
δρομαίων	dromaio
δρομαῖα	dromaia
δρομαῖαι	dromaiai
δρομαῖε	dromaʝe
δρομαῖοι	dromaioi
δρομαῖος	dromaios
δρομεῖ	dɾˈomɛ
δρομεῦ	dromeu
δρομεῦσι	dromeusi
δρομεῦσιν	dromeusin
δρομικέ	dromikɛ
δρομική	dromjkɛ
δρομικήν	dromjkẽin
δρομικαί	dromikai
δρομικοί	dromikoj
δρομικούς	dromikus
δρομικοῖς	dromikais
δρομικοῦ	dramikˈu
δρομικόν	dromikum
δρυμώνων	drimonon
δρυμῶνος	drimɔnos
δρυσί	drˈusə
δρυῶν	drɪːɔ
δρωσῶν	droson
δρόμε	trome
δρόμοι	dromoi
δρόμοις	dromois
δρόμον	dromɔ
δρόμος	tromos
δρόμους	dromʊs
δρόμων	dromum
δρόσε	broʃɛ
δρόσοι	drosoi
δρόσοις	drosseis
δρόσον	trosɔm
δρόσος	drosos
δρόσου	grosu
δρόσους	trosus
δρόσων	trosso
δρώντων	dronton
δρώσαις	drosaes
δρώσας	drosas
δρώσης	droses
δρώσῃ	drosɨ
δρόμους	dronus
δρᾷς	draz
δρῶμεν	dromim
δρῶντας	dontas
δρῶντες	drontes
δρῶντι	dronti
δρῶντος	drontos
δρῶσα	droːsa
δρῶσαι	drɔːsaj
δυάδα	dʊjada
δυάδες	dyadɛs
δυάδος	dʊiatos
δυάδων	dʊjadɔm
δυνάμεθα	dɔjnamita
δυνάμεις	dynamɛs
δυνάμεσιν	dynamɛsi
δυνάμεων	dujnamejo
δυνήσει	dynˈɛsˈe
δυνήσεται	dynɛɛsetaj
δυνήσονται	dynˈɛsɔ̃taj
δυνηθήσεται	dynɛeesetaj
δυνητικέ	dynˈɛdike
δυνητικούς	dinotikːuːs
δυνητικοῦ	dynɛðikˈu
δυνάμεθα	dɔnamɛta
δυούσης	diuses
δυσάντων	dʊsantoŋ
δυσάρεστα	dysɛresta
δυσάρεστε	dʊsarɛste
δυσάρεστον	dusaiaston
δυσάσας	djusasas
δυσαρέστοις	dusarestoi
δυσαρέστου	dusarestu
δυσαρέστων	dusareston
δυσβάστακτα	duzbastakta
δυσβάστακτε	duizvastakte
δυσβάστακτοι	dy-izvastaktoj
δυσβάστακτον	døz̺baːstaktɔn
δυσβάστακτος	dujsvastaktɔs
δυσδιάλυτε	dyzðialyti
δυσδιαλύτων	dyzðialido
δυσκατάπαυστοι	dʊsgataːpaʊsdoj
δυσκατάστατα	d̪iskatast̪ata
δυσκατάστατε	duʒkataːstadi
δυσκατάστατον	dyskatastatun
δυσκαταπαύστοις	dʊskatapauztɔjs
δυσκαταπαύστους	dˈuskatapausdˈus
δυσκαταπαύστων	dʊsgadapaʊston
δυσκαταστάτοις	duskatastatois
δυσκαταστάτου	dʊskatastatu
δυσκαταστάτους	dujskatastatus
δυσκινησία	dyskuːnesˈiːa
δυσκινησίας	duskunesiaas
δυσκολωτάτην	duskolotaten
δυσκολωτέρα	diskolʊdera
δυσκολωτέρων	diskolorteron
δυσκολώτερε	dujskolɔtɛri
δυσκολώτεροι	duskolorteroi
δυσκόλου	dɔistɔɫu
δυσκόλους	duskolus
δυσμένεια	vizmenea
δυσμένειαν	dusmeleja
δυσμενές	dyzmenˈɛs
δυσμενέσι	duzmenesi
δυσμενέσιν	duzmenesi
δυσμενέστατα	dyzmeneistedi
δυσμενέστεροι	dozmelesteroi
δυσμενέστερος	ðiomenesteros
δυσμενής	dyzmɛnˈɛz
δυσμενείας	dyzmɛneas
δυσμενείᾳ	duzmɛnˈe
δυσμενεστάταις	diːsmɪnɛstataiʃ
δυσμενεστάτης	dusmenestates
δυσμενεστάτου	døzmɪnɛztatu
δυσμενεστάτους	dˈysmenˈestatus
δυσμενεστάτων	dujzmɛnestato
δυσμενεστάτῃ	duzmelɛstate
δυσμενεστέρα	ðøzmenɛstjeɾa
δυσμενεστέροις	dusminesterois
δυσμενεστέρους	dusministerus
δυσμενεστέρῳ	dusminestro
δυσμενεῖ	dˈymənˈø
δυσμενεῖς	duzmɛneuz
δυσούσης	dusuzes
δυσπίστοις	dʊspiːstɔis
δυσπίστους	dˈyspistuz
δυσπορθήτοις	dʊsportedojs
δυσπορθήτου	dʊjspɔrteidu
δυσπόρθητα	dyspɔrˈtˈ
δυσπόρθητοι	dʊspɔɾteedɔj
δυσπόρου	dʏsbɔru
δυσπόρων	dyuspɔrɔm
δυσπόρῳ	døspoj
δυστυχέσταται	dustukɛstataj
δυστυχέστατος	dystikʃetɛtɔs
δυστυχέστερα	dʊstjkɛster
δυστυχέστερον	dustikesteron
δυστυχίαι	distikiai
δυστυχίαις	dʊstukɛkai
δυστυχίαν	dystikˈeˈ
δυστυχίας	dʊstekiæst
δυστυχεστάταις	dystøkəstatais
δυστυχεστάτας	dustukastatas
δυστυχεστάτη	dustykastat̪e
δυστυχεστάτου	dʊstikkestatu
δυστυχεστέραν	dustykastelan
δυστυχεστέρας	dustikasteles
δυστυχεστέροις	dustykasterois
δυστυχεστέρου	dustikastaru
δυστυχεστέρους	dustukastaruʃ
δυστυχεστέρων	dystikesteron
δυστυχεῖ	dʊsteke
δυστυχούντων	dyˀstikunton
δυστυχούσαις	dystukuzais
δυστυχοῦμεν	dyztɛkuumen
δυστυχοῦν	dyˀʃtɪkˈum
δυστυχοῦντας	dustikuntas
δυσφορία	dʏsfɔriːa
δυσφορίαι	dʊsp�oɾiai
δυσφορίαν	dʊsporiːan
δυσφορωτάταις	disforutatais
δυσφορωτάτους	djsprolotatus
δυσφορωτέρας	dusfuloteras
δυσφορωτέροις	disproterojns
δυσφορωτέρους	dujsporoperus
δυσφορώτερα	doisproptera
δυσφορώτερε	djspoɾotere
δυσφορώτεροι	duspoloteroj
δυσφόροις	duisforois
δυσφόρου	visporu
δωδέκατα	dɔtɛkata
δωδέκαται	dodekatai
δωδέκατον	dodɪkatoŋ
δωδεκάταις	dod̪ekat̪ai̯s̺
δωδεκάτας	dodekatas
δωδεκάτην	dodekatẽn
δωδεκάτης	dodekates
δωδεκάτοις	dodekatis
δωδεκάτους	dodekatus
δωδεκάτων	dɔdɛkato
δωμάτων	doːmatɔm
δωρεάν	dorean
δωρεάς	dorias
δωρεαί	dorej
δωρεῶν	doreɔn
δωροθέου	doːrɔtɛu
δωρόθεε	dɔrɔtɛ
δωρόθεον	doroteum
δωρόθεος	doːrateːɒs
δωρῶ	doro
δωσοίμεθα	dosojmete
δωσοίμην	dosɔimɛm
δωσομένας	dosomens
δωσομένη	dosomene
δωσομένην	dɔsɔmɛne
δωσομένοις	dosomenoi
δωσομένου	dosˈɔmˈɛnu
δωσομένων	milomenon
δωσουσῶν	dosusɔm
δωσούσας	doːsosas
δωσούσης	dosusˈeθ
δωσούσῃ	dosusei
δωσόμεθα	doːsɔmɛta
δωσόμεναι	dos̺omẽːnai
δωσόμενε	dosomeni
δωσόμενοι	dosɔmenɔj
δωσόμενον	dosɔmɛnum
δωσόμενος	dosɔmenʊs
δόγμασι	doːrmɛˈsi
δόγματα	dormata
δόλια	tulɪa
δόλιαι	daliai
δόλιοι	dolioi
δόλος	dolos
δόμε	dome
δόμενα	domina
δόμενε	tomeni
δόμενοι	domenoi
δόμενον	dominam
δόμοι	domoi
δόμοις	domais
δόμον	domom
δόμος	domos
δόμου	domu
δόμους	dˈomus
δόμων	domum
δόν	dum
δόντας	dontas
δόντος	dontos
δόξαι	daksaj
δόξας	tɔqsɛs
δόξει	dokse
δόξεις	daksɛuz
δόξετε	doksetɛ
δόξουσι	doksvusi
δόξουσιν	doksusi
δόξω	doksoː
δόξῃ	dɔkse
δόρασιν	dorasɛ
δόρπον	d̪arpum
δόρπου	dorpu
δόσθαι	dɔstaj
δόσθε	dɔste
δόσθω	tosto
δύει	dyiˈe
δύναμι	dɪnami
δύοντα	dujonta
δύοντας	dʊntas
δύοντες	dujantes
δύοντος	dyjɔntɔs
δύουσαι	dyusej
δύσαντας	dʏsəntɛs
δύσαντες	dysentes
δύσαντι	dysɛnti
δύσθυμον	dystøømˈ
δύσκολα	dyˈskola
δύσκολοι	dyuskoloj
δύσκολος	dˈuskˈɔ̃os
δύσομεν	dyisɔmɪm
δύσοντας	dʏsontas
δύσοντες	dyisɔntɛs
δύσοντι	dysɔntɪ
δύσουσα	dˈyjˈsuːs
δύσουσαν	dusuzan
δύσπιστα	duzpista
δύσπιστοι	dyzpistoi
δύσπιστος	dʊspistos
δύσποροι	doːspɔrɔj
δύσφορος	dusfɔrɔs
δύσω	dʊsɔ
δύω	dˈo
δώμασι	doːomasi
δώματα	domatta
δώμεθα	domet̪ə
δώροις	dorojs
δώρων	dˈoɾo
δώσεις	dosɛs
δώσεσθαι	dɔsɪstaj
δώσεσθε	dɔsestɛ
δώσεται	dosɛtaj
δώσετε	aseti
δώσοι	dosoj
δώσοιμι	dosɔjmi
δώσοιντο	dosɑĩŋtɔ
δώσοις	dosɔis
δώσοισθε	dostsʃtˈe
δώσοιτε	dosɛjdɪ
δώσομαι	dosɔmaj
δώσοντα	tosanta
δώσονται	doɾsɔntaj
δώσοντας	doˈsɔntɐs
δώσοντες	dosʊntes
δώσοντι	dosʊntɪ
δώσοντος	dosˈontos
δώσουσι	dosusi
δώσω	dɔsɔ
δώσων	dosɔm
δέπας	ðepas
δώδεκα	dɔdeka
δᾳσί	dai̯se
δᾳσίν	daisĩŋ
δᾴδων	daito
δῆλον	valon
δῆμον	deːmon
δῦον	dyio
δῶμαι	dɔmaj
δῶνται	dontai
δῶρε	dori
δῶρος	doros
δῶσθε	dɔstɪ
δῶτε	dote
δῷς	doːs
εισάγω	esaɣo
εισέτι	aseti
εκκεντεῖ	ekente
εκκεντοῦσι	ekkeentuzi
εκκεντῶ	akente
επιχείρησα	epikɔɾees
εσχάτως	eskatos
εἰ	e̞
εἰάσατε	igɛ̀satɪ
εἰδήμονος	iudɛmonos
εἰδήσουσαν	ˈeidesusan
εἰδήσουσι	ˈeidesʊsi
εἰδούς	ˈodˈuz
εἰδωλόθυτα	edolˈˈtita
εἰδότας	ejdotas
εἰδώλου	etolˈu
εἰκάζει	ekazdi
εἰκάζεται	ekazditaj
εἰκάζω	ekasdo
εἰκασίαι	ejkaθiaj
εἰκασίαις	eikasiai̯s̺
εἰκασίας	ejkasias
εἰκοσακισχίλια	eikosakiskɾiɓia
εἰκοσακισχίλιαι	ekosakiskriliai
εἰκοσακισχίλιοι	ekosagiskeilioi
εἰκοσακισχιλίας	ekosaktiskilias
εἰκοσακισχιλίοις	ekosakisfiliois
εἰκοσακισχιλίους	ekosakishilius
εἰκοστά	ekosta
εἰκοστάς	ekostas
εἰκοστέ	ilkoste
εἰκοστή	ekoste
εἰκοσταί	ekostai
εἰκοστοί	ekostoi
εἰκοστός	pekɔstɔs
εἰκυίαις	elguies
εἰκόνα	eikona
εἰκόνας	ekonas
εἰκόνες	eikones
εἰκόνων	ekonoˈn
εἰκόσιν	ekosin
εἰκότας	eokupas
εἰκότος	eukotas
εἰκώς	ekos
εἰλέω	elˈˈo
εἰληχυίαις	elekresies
εἰοικυῖα	eojkeia
εἰπούσαις	epusais
εἰπόντι	eponti
εἰπόντων	eponton
εἰπών	epa
εἰρήνας	virenas
εἰργάζεσθε	ergasdɛste
εἰργάσαντο	aorgas̺ant̪o
εἰργάσθην	ɛrˈgastem
εἰργάσθης	eurgastis
εἰργαζόμεθα	ɛrˈgasomitl
εἰρηνικωτάτην	urɛjnikɔtateŋ
