11-a	ɨˈa
demarcat	demarkat
demarcativ	demarkativ
demarcație	demarkatsije
demarcațiune	demarkatsiune
demarco	ˈdemarko
demaror	demaror
demasca	demaska
demasca	ˈdemaska
demascabil	demaskabil
demascare	demaskare
demascat	demaskat
demascat	ˈdemaskat
demasculiniza	demaskuliniza
demasculinizare	demaskulinizare
demasculinizat	demaskulinizat
dematerializa	dematerijaliza
dematerializare	dematerijalizare
dematerializat	dematerijalizat
dement	dement
dement	ˈdement
dementa	den'menta
dementă	ˈdementa
demenţial	ˌdemenˈtsjal
demenţă	ˈdementsə
demențial	dementsijal
demență	dementsə
demers	demers
demersul	demersul
demersuri	demersur
demersurile	demersurile
demetrius	ˌdemetrʲuʃ
demian	demijan
demilitariza	demilitariza
demilitarizare	demilitarizare
demilitarizat	demilitarizat
demimonden	demimonden
demimondă	demimondə
demina	demina
deminare	deminare
deminat	deminat
demineraliza	demineraliza
demineralizare	demineralizare
demineralizat	demineralizat
demipensiune	demipensiune
demis	demis
demis	ˈdemis
demisec	demisek
demiseci	demisetʃ
demisia	demisija
demisia	ˈdemisʲa
demisie	demisije
demisie	ˈdemisje
demisiona	demisiona
demisiona	ˌdemisjɔˈna
demisionat	ˌdemisjɔˈnat
demisioneze	ˌdemisjoˈneze
demisionezi	ˌdemisjoneˈze̯
demisol	demisol
demistifica	demistifika
demistificare	demistifikare
demistificat	demistifikat
demistificator	demistifikator
demite	demite
demitentă	demitentə
demitere	demitere
demiteri	demiter
demitiza	demitiza
demitizant	demitizant
demitizare	demitizare
demitizat	demitizat
demitizator	demitizator
demiu	demiw
demiurg	demiurg
demiurgic	demiurdʒik
demivoleu	demivolew
demixta	demiksta
demixtare	demikstare
demixtat	demikstat
demn	demn
demna	ˈdemna
demne	ˈdemne
demni	ˈdemni
demnitar	demnitar
demnitari	demnitar
demnitate	demnitate
demnitate	ˈdemnitatʲe
demnitatea	demnitatĕa
demnitatea	ˈdemnitʲatʲa
demnă	ˈdemnə
demo	ˈdemo
demo-ul	ˈdemo̯ul
demoazelă	demŏazelə
demobiliza	demobiliza
demobilizare	demobilizare
demobilizat	demobilizat
demobilizator	demobilizator
democrat	demokrat
democrat	ˈdemokrat
democratic	demokratik
democratic	ˌdemokʲraˈtik
democratice	ˌdemokʊraˈtʃe
democratică	ˌdemokʲraˈtikə
democratie	ˌdemokraˈtije
democratism	demokratism
democratiza	demokratiza
democratizabil	demokratizabil
democratizare	demokratizare
democratizat	demokratizat
democratură	demokraturə
democraţi	ˈdemotʃratsʲ
democraţia	ˌdemoˈkratsia
democraţie	ˌdemoˈkratsie
democraţiei	ˌdemoˈkratsie
democraţii	ˌdemoˈkratsiʲ
democrație	demokratsije
demoda	demoda
demodare	demodare
demodat	demodat
demodat	ˈdemodaʈ
demodate	ˈdemodatʲe
demodată	ˈdemodaˌte
demodulator	demodulator
demodulație	demodulatsije
demofobie	demofobije
demograf	demograf
demografic	demografik
demografie	demografije
demola	demola
demola	ˈdemola
demolare	demolare
demolare	ˈdemolare
demolarea	ˌdemoloˈre̯a
demolat	demolat
demolat	ˌdemolaˈt
demoliție	demolitsije
demolițiune	demolitsiune
demolări	ˈdemoləɾʲ
demon	demon
demon	ˈdemon
demonetiza	demonetiza
demonetizare	demonetizare
demonetizat	demonetizat
demoni	ˈdemonʲ
demoniac	demonijak
demonic	demonik
demonic	ˈdemonik
demonice	ˈdemonitʃe
demonică	ˈdemonika
demonie	demonije
demonilor	ˈdemonilor
demonism	demonism
demoniza	demoniza
demonizare	demonizare
demonizat	demonizat
demonolatrie	demonolatrije
demonolatru	demonolatru
demonologie	demonolodʒije
demonomanie	demonomanije
demonstra	demonstra
demonstra	ˌdemonˈstra
demonstrabil	demonstrabil
demonstrant	demonstrant
demonstrare	demonstrare
demonstrat	demonstrat
demonstrativ	demonstrativ
demonstraţi	ˌdemonˈstɾatsi
demonstraţia	ˌdemonstraˈtsia
demonstraţie	ˌdemonstraˈtsie
demonstraţii	ˌdemonstraˈtsʲi
demonstrație	demonstratsije
demonstreaza	ˈdemonstre̯aʒə
demonstrează	ˈdemonstre̯aʃe̯
demonstrez	ˈdemonstrez
demonstrezi	ˈdemonstrezʲ
demonstrăm	ˌdemonˈstɾəm
demonta	demonta
demontabil	demontabil
demontare	demontare
demontat	demontat
demontat	ˈdemontat
demonteze	demonteze
demonul	demonul
demonul	ˈdemonul
demonule	ˈdemonule
demonului	ˈdemonuluj
demoraliza	demoraliza
demoralizant	demoralizant
demoralizare	demoralizare
demoralizat	demoralizat
demoralizator	demoralizator
demoralizație	demoralizatsije
demorfism	demorfism
demos	demos
demotic	demotik
demotică	demotikə
dempsey	ˈdempsi
demucilaginare	demutʃiladʒinare
demula	demula
demulare	demulare
demulat	demulat
demult	demult
demult	ˈdemult
demultiplica	demultiplika
demultiplicare	demultiplikare
demultiplicat	demultiplikat
demultiplicator	demultiplikator
demultișor	demultiʃor
demutiza	demutiza
demutizare	demutizare
demutizat	demutizat
demâncare	demɨnkare
demâncat	demɨnkat
demă	demə
den	den
denar	denar
denatalitate	denatalitate
denatura	denatura
denaturant	denaturant
denaturare	denaturare
denaturat	denaturat
denazaliza	denazaliza
denazalizare	denazalizare
denazalizat	denazalizat
denazifica	denazifika
denazificare	denazifikare
denazificat	denazifikat
dendrariu	dendrarju
dendritic	dendritik
dendrită	dendritə
dendrografic	dendrografik
dendrografie	dendrografije
dendrolog	dendrolog
dendrologic	dendrolodʒik
dendrologie	dendrolodʒije
dendrometric	dendrometrik
dendrometrie	dendrometrije
dendrometrist	dendrometrist
dendrometru	dendrometru
denega	denega
denegare	denegare
denegat	denegat
denegație	denegatsije
deng	deng
denichela	denikela
denichelare	denikelare
denichelat	denikelat
denicotiniza	denikotiniza
denicotinizare	denikotinizare
denicotinizat	denikotinizat
denie	denije
denier	denijer
denigra	denigra
denigrant	denigrant
denigrare	denigrare
denigrat	denigrat
denigrator	denigrator
denigreze	denigreze
denis	denis
denise	deniˈʃe
denisipator	denisipator
denitrificare	denitrifikare
denivela	denivela
denivelare	denivelare
denivelat	denivelat
dennis	denis
dennison	deniˈson
denny	denʲ
denominal	denominal
denominaliza	denominaliza
denominalizare	denominalizare
denominativ	denominativ
denominație	denominatsije
denota	denota
denotare	denotare
denotat	denotat
denotativ	denotativ
denotație	denotatsije
denotă	deno'tə
dens	dens
dens	denʃ
dense	dense
densifica	densifika
densificare	densifikare
densificat	densifikat
densigramă	densigramə
densimetric	densimetrik
densimetrie	densimetrije
densimetru	densimetru
densitate	densitate
densitate	densiˈtate
densă	densə
dent	den
dental	dental
dentar	dentar
dentar	denˈtar
dentară	den'tɑrɨ
dentară	dentarə
denticul	dentikul
dentiform	dentiform
dentină	dentinə
dentist	dentist
dentistică	dentistikə
dentistul	dentistul
dentiție	dentitsije
dentițiune	dentitsiune
dentiță	dentitsə
denton	den'tɔn
dentăi	dentəj
denudare	denudare
denudație	denudatsije
denumire	denumi're
denumire	denumire
denumirea	denumiˈre̯a
denumit	denumit
denumit	denuˈmit
denumite	denumite
denumită	denumitə
denumită	denumiˈte
denunţ	denunʈ
denunţa	denuntsə
denunţat	denuntsat
denunţe	denunʈe
denunț	denunts
denunța	denuntsa
denunțare	denuntsare
denunțat	denuntsat
denunțăm	denuntsəm
denunțător	denuntsətor
denutriție	denutritsije
denver	denˈvɛr
denzel	denˈzel
deo	deo
deo	dĕo
deoarece	deŏaretʃe
deoarece	deɔraˈtʃe
deocamdata	deokamda
deocamdată	deokamdatə
deocamdată	deokɑmdɑtə
deocheate	ˈdeotʃe̯ate
deochere	deokere
deochetură	deoketurə
deodata	ˈde̯o̯data
deodată	deodate
deodată	deodatə
deodorant	deodorant
deontologic	deontolodʒik
deontologie	deontolodʒije
deoparte	deoparte
deoparte	ˈdeoparte
deopotrivă	deopotrivə
deosebea	deosebĕa
deosebesc	deosebesk
deosebeşte	ˈdeo̯sebe̯ʃte
deosebi	deosebi
deosebi	ˈde̯o̯se̯bi
deosebire	deosebire
deosebire	ˈde̯o̯se̯bi̯re̯
deosebirea	ˈde̯o̯se̯bʲre̯a
deosebit	deosebit
deosebit	deˈosɛbit
deosebita	deˈosebita
deosebite	deosebite
deosebite	ˈde̯o̯se̯bite
deosebită	deosebitə
deosebită	ˈde̯o̯esebitə
deosebiţi	deˈosebiʈʲ
deosebiți	deosebits
deosibire	deosibire
deosibit	deosibit
depalataliza	depalataliza
depalatalizare	depalatalizare
depalatalizat	depalatalizat
depana	depana
depanare	depanare
depanat	depanat
depanator	depanator
depanor	depanor
deparafina	deparafina
deparafinare	deparafinare
deparafinat	deparafinat
deparaia	deparaja
deparaiat	deparajat
deparaiere	deparajere
deparazita	deparazita
deparazitare	deparazitare
deparazitat	deparazitat
depareia	depareja
depareiat	deparejat
depareiere	deparejere
departaja	departaʒa
departajare	departaʒare
departajat	departaʒat
departament	departament
departament	depaɾtement
departamental	departamental
departamente	depaɾt̪aˈmente
departamentele	depaɾt̪amente̞le̞
departamentului	ˌdepaɾtementuˈlu
departare	depaɾˈtare
departe	departe
departe	ˈdeparte
depasesc	ˈdepaʃesk
depaseste	ˈdepaʃeste
depasi	ˈdepasi
depasit	ˈdepaʃit
depava	depava
depavare	depavare
depavat	depavat
depeiza	depeiza
depeizare	depeizare
depeizat	depeizat
dependent	dependent
dependent	ˌdepenˈdent
dependenta	ˌdependenˈta
dependente	ˌdepenˈdente
dependenti	ˌdepenˈdentsi
dependentă	ˌdepenˈdentə
dependenţi	ˌdepenˈdentsʲ
dependenţă	ˌdependentsə
dependență	dependentsə
dependință	dependintsə
depersonaliza	depersonaliza
depersonalizare	depersonalizare
depersonalizat	depersonalizat
depeșa	depeʃa
depeșare	depeʃare
depeșat	depeʃat
depigmenta	depigmenta
depigmentare	depigmentare
depila	depila
depilant	depilant
depilare	depilare
depilat	depilat
depilator	depilator
depilație	depilatsije
depilațiune	depilatsiune
depind	ˈdepind
depinde	depinde
depinde	ˈdepinde
depindea	ˈdepinde̯a
depindeau	depindĕaw
depindem	ˈdepindem
depindere	depindere
depindă	depində
depindă	ˈdepində
depins	ˈdepins
depinzi	depinz
depinzând	ˈdepinzɨnd
depista	depista
depista	ˈdepista
depistare	depistare
depistat	depistat
depistat	ˈdepistat
depistăm	ˈdepistəm
deplanare	deplanare
deplanta	deplanta
deplantare	deplantare
deplantat	deplantat
deplasa	deplasa
deplasa	ˈdeplasə
deplasabil	deplasabil
deplasament	deplasament
deplasare	deplasare
deplasarea	depl̪as̪aˈre̞ə
deplasat	deplasat
deplasat	ˈdeplasat
deplasată	deplas̪a̠te̞
deplaseaza	ˈdeplase̯azə
deplasează	ˈdeplase̯aʃ
deplaseze	ˈdeplaseze
deplastifiant	deplastifijant
deplastificator	deplastifikator
deplasăm	ˈdepləsəm
deplețiune	depletsiune
deplia	deplija
depliat	deplijat
depliere	deplijere
deplin	deplin
deplin	deplɨn
deplina	deplina
deplina	ˈdeplina
depline	ˈdepline
deplină	ˈdeplinə
deplinătate	deplinətate
deplora	deplora
deplorabil	deplorabil
deplorabil	ˌdeploˈrabil
deplorare	deplorare
deplorat	deplorat
deplorație	deploratsije
deplânge	deplɨndʒe
deplângere	deplɨndʒere
deplâns	deplɨns
depolariza	depolariza
depolarizant	depolarizant
depolarizare	depolarizare
depolarizat	depolarizat
depolarizator	depolarizator
depolimeriza	depolimeriza
depolimerizare	depolimerizare
depolimerizat	depolimerizat
depolitiza	depolitiza
depolitizare	depolitizare
depolitizat	depolitizat
depolua	depoluwa
depoluant	depoluwant
depoluare	depoluware
depoluat	depoluwat
deponent	deponent
deponta	deponta
depontare	depontare
depontat	depontat
depopula	depopula
depopulare	depopulare
depopulat	depopulat
deporta	deporta
deportare	deportare
deportat	deportat
deportat	deːpɔrˈtat
deportată	depɔrˈtatə
deportaţi	deːpɔrˈtatsʲ
deposeda	deposeda
deposedare	deposedare
deposedat	deposedat
depot	ˈdɛpot
depou	depow
depou	ˈdepu
depozant	depozant
depozit	depozit
depozit	ˈdepozit
depozita	depozita
depozita	depoˈzita
depozitar	depozitar
depozitare	depozi'tɛre
depozitare	depozitare
depozitat	depozitat
depozitat	depozitát
depozitate	depoˈzit̪ate
depozite	ˈdepozite
depozitează	ˈdepozite̯a̠zə
depozitele	depozitele
depozitele	ˈdepozitele
depozitul	ˈdepozitul
depozitului	depoˈzituluj
depoziţia	ˈdepozitsia
depoziţie	ˈdepozitsie
depoziție	depozitsije
depozițiune	depozitsiune
deprava	deprava
depravare	depravare
depravare	ˈdeprəvaɾe
depravat	depravat
depravat	ˈdepravat
depravațiune	depravatsiune
depre	ˈdepre
deprecatoriu	deprekatorju
deprecație	deprekatsije
deprecațiune	deprekatsiune
depreciere	depretʃijere
depresa	depresa
depresaj	depresaʒ
depresant	depresant
depresare	depresare
depresat	depresat
depresia	ˈdepresia
depresie	depresije
depresie	ˈdepresie
depresiei	ˈdepresie
depresii	ˈdepresi
depresiometru	depresiometru
depresiune	depresiune
depresiv	depresiv
depresiv	ˈdepresiv
depresivă	ˈdepresivə
depresor	depresor
depresuriza	depresuriza
depresurizare	depresurizare
depresurizat	depresurizat
depreună	depreunə
deprima	deprima
deprimant	deprimant
deprimant	ˈdeprimant
deprimantă	ˈdeprimantə
deprimare	deprimare
deprimat	deprimat
deprimat	ˈdeprimat
deprimata	ˈdeprimata
deprimaţi	ˈdeprimatsʲ
deprimă	ˈdeprimə
deprinde	deprinde
deprindere	deprindere
deprins	deprins
deprins	ˈdeprins
deproteiniza	deproteiniza
deproteinizare	deproteinizare
deproteinizat	deproteinizat
depsidă	depsidə
depui	ˈdepuj
depun	depʰun
depuna	ˈdepuna
depuncta	depunkta
depunctare	depunktare
depunctat	depunktat
depune	depune
depune	ˈdepune
depunem	ˈdepunem
depunere	depunere
depunere	ˈdepunere
depunerea	ˈdepune̯re̯ə
depuneri	ˈdepuneri
depuneţi	ˈdepunetʃʲ
depună	depunə
depună	ˈdepunə
depunător	depunətor
depurativ	depurativ
depurator	depurator
depurație	depuratsije
depus	depus
depus	ˈdepus
depuse	depuse
depuse	ˈdepuze
depusă	deˈpusə
deputat	deputat
deputat	ˈdeputat
deputatul	ˈdeputalu
deputați	deputats
deputăție	deputətsije
depănușa	depənuʃa
depănușare	depənuʃare
depănușat	depənuʃat
depănușător	depənuʃətor
depănătoare	depənətŏare
depănătură	depənəturə
depăra	depəra
depărare	depərare
depărat	depərat
depărcior	depərtʃ̩or
depărta	depərta
depărtare	depərtare
depărtare	depɨrt̪are
depărtat	depərtat
depărtat	depɨrt̪at
depărtate	ˈdepərtate
depărtau	depərtaw
depărtează	depɛrte̯aʃ
depărtează-te	depɨrtse̯aˈte
depărtișor	depərtiʃor
depărtător	depərtətor
depăsit	ˈdepasit
depăşească	ˈdepəʃe̯askə
depăşesc	ˈdepəʃesk
depăşeşte	ˈdepəʃeʃte
depăşeşti	ˈdepəʃeʃti
depăşi	ˈdepaʃʲ
depăşim	depaːʃim
depăşirea	ˈdepəʃire̯a
depăşit	ˈdepaʃit
depăşite	depəʃite
depăşită	ˈdepəʃitə
depăşiţi	ˈdepaʃʲtsʲ
depășea	depəʃĕa
depășește	depəʃeʃte
depășire	depəʃire
depășit	depəʃit
depășit	ˈdepaʃit
der	der
deraia	deraja
deraiat	deraˈjat
deraiere	derajere
deranj	deranʒ
deranja	deranʒa
deranja	ˈderanʒa
deranjam	deraɲʒam
deranjament	deranʒament
deranjant	deraɲʒant
deranjante	deraɲˈdʒante
deranjantă	deraɲʒantə
deranjare	deranʒare
deranjat	deranʒat
deranjati	deranʒaˈti
deranjată	deraɲaˈtə
deranjeaza	deranʒe̯aːz̪
deranjează	deranʒe̯aʃ
deranjează	deranʒĕazə
deranjez	deranˈʒeʃ
deranjul	deranʒul
deranjăm	deranʒəm
derapa	derapa
derapaj	derapaʒ
derapare	derapare
derapat	deraˈpat
deratiza	deratiza
deratizant	deratizant
deratizare	deratizare
deratizat	deratizat
derbedei	derbeˈdej
derbedeu	derbedew
derbedeu	derbeˈdew
derbedeule	derbeˈdjule
derby	ˈdɛrbi
derdeluș	derdeluʃ
derdica	derdika
derdicare	derdikare
derdicat	derdikat
derea	derĕa
derege	deredʒe
deregere	deredʒere
deregla	deregla
dereglaj	dereglaʒ
dereglare	dereglare
dereglat	dereglat
dereglat	ˈdereglat
derek	ˈderek
deres	deres
dereteca	dereteka
deretecare	deretekare
deretecat	deretekat
deretica	deretika
dereticare	deretikare
dereticat	deretikat
deriva	deriva
deriva	ˈderiva
derivare	derivare
derivat	deraˈvit
derivat	derivat
derivativ	derivativ
derivatograf	derivatograf
derivație	derivatsije
derivațiune	derivatsiune
derivometru	derivometru
derivor	derivor
deriziune	deriziune
derizoriu	derizorju
dermatalgie	dermataldʒije
dermatină	dermatinə
dermatită	dermatitə
dermatofiție	dermatofitsije
dermatograf	dermatograf
dermatolog	dermatolog
dermatolog	dermatoˈlog
dermatologic	dermatolodʒik
dermatologie	dermatolodʒije
dermatom	dermatom
dermatomicoză	dermatomikozə
dermatonevroză	dermatonevrozə
dermatoree	dermatoree
dermatozoonoză	dermatozoonozə
dermatoză	dermatozə
dermatrop	dermatrop
dermic	dermik
dermită	dermitə
dermografism	dermografism
dermopunctură	dermopunkturə
dermot	ˈdɛrmot
dermotrop	dermotrop
dermă	dermə
deroba	deroba
derobare	derobare
deroca	deroka
derocare	derokare
derocat	derokat
deroga	deroga
derogare	derogare
derogatoriu	derogatorju
derogațiune	derogatsiune
derrick	ˈdɛrɪk
derula	derula
derula	ˈderula
derulare	derulare
derulare	derulaɾe
derularea	derularĕa
derulat	derulat
derulat	deruˈlat
derulator	derulator
derulează	ˈderule̯aʃ
derulor	derulor
derulăm	deruləm
derusifica	derusifika
derusificare	derusifikare
derusificat	derusifikat
deruta	deruta
derutant	derutant
derutant	deruˈtant
derutare	derutare
derutat	derutat
derutat	deruˈtat
derutată	deruˈtəta
derviș	derviʃ
dervișesc	derviʃesk
derâdere	deraːdere
derâdere	derɨdere
derăteca	derəteka
derătecare	derətekare
derătecat	derətekat
derșidan	derʃidan
des	des
desacraliza	desakraliza
desacralizare	desakralizare
desacralizat	desakralizat
desag	desag
desagă	desagə
desai	desaj
desaliniza	desaliniza
desalinizare	desalinizare
desalinizat	desalinizat
desant	desant
desanta	desanta
desantare	desantare
desantat	desantat
descalifica	deskalifika
descalificare	deskalifikare
descalificat	deskalifikat
descalificat	deskaliˈfikat
descarc	deskɑɾk
descarca	deskɑrka
descarcat	deskɑɾˈkat
descarce	deskɑrtʃe
descarcera	deskartʃera
descarcerare	deskartʃerare
descarcerat	deskartʃerat
descarci	deskɑrtʃʲ
descarcă	deskɑɾˈkə
descarcă-te	deskɑɾˈkəte
descendent	destʃendent
descendentă	destʃenˈdet̪ə
descendenţi	deskenˈdʒentsi
descendenţii	deskenˈtsij
descendență	destʃendentsə
descensiune	destʃensiune
descensiv	destʃensiv
descentra	destʃentra
descentraliza	destʃentraliza
descentralizare	destʃentralizare
descentralizat	destʃentralizat
descentrare	destʃentrare
descentrat	destʃentrat
deschega	deskega
deschegare	deskegare
deschegat	deskegat
descheia	deskeja
deschiaburi	deskʲ̩̩aburi
deschid	deskid
deschida	deskiˈda
deschide	deskide
deschide	deskiˈde
deschide-i	deskiˈdej
deschide-l	deskiˈdeɫ
deschide-mi	deskiˈmi
deschide-o	deskiˈde̯o
deschide-te	deskiˈdete
deschide-ti	deskiˈdeti
deschide-ţi	deskiˈteʃʲ
deschidea	deskidĕa
deschidea	deskiˈde̯a
deschidem	deskiˈdem
deschidere	deskidere
deschidere	deskiˈde̯re
deschiderea	deskiˈde̯ere̯a
deschiderii	deskiˈde̯ri
deschideti	deskiˈdetʲ
deschideţi	deskiˈdetʃʲi
deschideți	deskidets
deschideți	deskiˈdetsʲ
deschidă	deskidə
deschidă	deskiða
deschinga	deskinga
deschingare	deskingare
deschingat	deskingat
deschis	deskis
deschis	deskiʃ
deschis-o	deskiʃo
deschisa	deskiˈsa
deschise	deskise
deschise	deskiˈʃe
deschisei	deskisej
deschiseră	deskiserə
deschisese	deskisese
deschisi	deskiʃʲ
deschisă	deskisə
deschizi	deskiʒʲ
deschizând	deskiˈzɨnd
deschizătoare	deskizətŏare
deschizător	deskizətor
deschizător	deskiˈzətor
deschizătură	deskizəturə
deschizătură	deskiˈzəturə
deschişi	deskiʃʲ
deschiși	deskiʃʲ
descifra	destʃifra
descifra	desˈtʃifra
descifrabil	destʃifrabil
descifrare	destʃifrare
descifrat	destʃifrat
descifrat	destʃiˈfrɑt
descifrez	destʃiˈfreʒ
descifreze	destʃiˈfreze
descifrezi	destʃiˈfrezi
descifrăm	destʃiˈfrəm
descinde	destʃinde
descindea	destʃindĕa
descindere	destʃindere
descinge	destʃindʒe
descingere	destʃindʒere
descins	destʃins
descintra	destʃintra
descintrare	destʃintrare
descintrat	destʃintrat
descleia	deskleja
descleiat	desklejat
descleiere	desklejere
descleșta	deskleʃta
descleștare	deskleʃtare
descleștat	deskleʃtat
desclocire	desklotʃire
desclocit	desklotʃit
descoase	deskŏase
descoasere	deskŏasere
descojire	deskoʒire
descojit	deskoʒit
descojitor	deskoʒitor
descolăcire	deskolətʃire
descolăcit	deskolətʃit
descomplecta	deskomplekta
descomplectare	deskomplektare
descomplectat	deskomplektat
descompleta	deskompleta
descompletare	deskompletare
descompletat	deskompletat
descompune	deskompune
descompune	deskomˈpune
descompunere	deskompunere
descompunere	deskompuˈne̯re
descompunerea	deskompuˈne̯era
descompus	deskompus
descompus	deskomˈpus
desconcentra	deskontʃentra
desconcentrare	deskontʃentrare
desconcentrat	deskontʃentrat
descongestionare	deskondʒestionare
desconsidera	deskonsidera
desconsiderare	deskonsiderare
desconsiderat	deskonsiderat
desconsiderație	deskonsideratsije
descopar	deskoˈpar
descopciere	deskoptʃijere
descopera	deskoˈperə
descopere	deskopere
descopere	deskoˈpere
descoperi	deskoperi
descoperi	deskoˈperi
descoperim	deskoˈperim
descoperire	deskoperire
descoperire	deskopeˈrire
descoperirea	deskopeˈri̯e̯a
descoperiri	deskopeˈriʀʲ
descoperirile	deskopeˈrilʲe
descoperise	deskopeˈrise
descoperit	deskoperit
descoperit	deskopeˈrit
descoperit-o	deskopeˈritə
descoperita	deskopeˈrita
descoperite	deskopeˈrite
descoperiti	deskopeˈritʃ
descoperitor	deskoperitor
descoperită	deskopeˈritə
descoperiţi	deskopeˈritʃʲ
descoperta	deskoperta
descopertare	deskopertare
descopertat	deskopertat
descoperă	deskoperə
descoperă	deskoˈperə
descopăr	deskopər
descopăr	deskoˈpɨr
descotorosire	deskotorosire
descotorosit	deskotorosit
descotorosit	deskotoroˈʃit
descotoșmăna	deskotoʃməna
descotoșmănare	deskotoʃmənare
descotoșmănat	deskotoʃmənat
descotoșmănire	deskotoʃmənire
descotoșmănit	deskotoʃmənit
descovoia	deskovoja
descovoiat	deskovojat
descovoiere	deskovojere
descrească	deskrĕaskə
descreierat	deskrejerat
descrescent	deskrestʃent
descrescând	deskreskɨnd
descrescător	deskreskətor
descrește	deskreʃte
descreștere	deskreʃtere
descrețire	deskretsire
descrețit	deskretsit
descrie	deskrije
descrie	desˈkɾie
descriere	deskrijere
descriere	desˈtʃriere
descrierea	deskɾiˈere̯a
descrieri	deskɾiˈerʲ
descrierii	destʃriˈerʲ
descrieţi	desˈkrijetsʲ
descrii	desˈkrij
descriptibil	deskriptibil
descriptiv	deskriptiv
descriptivism	deskriptivism
descriptivist	deskriptivist
descripție	deskriptsije
descripțiune	deskriptsiune
descris	deskris
descris	deskrʲis
descris-o	deskr̥iˈso̯
descrise	deskr'iʃe
descrise	deskrise
descrisă	desˈkrisə
descriu	desˈkriw
descrucișa	deskrutʃiʃa
descrucișare	deskrutʃiʃare
descrucișat	deskrutʃiʃat
descrunta	deskrunta
descruntare	deskruntare
descruntat	deskruntat
descuama	deskwama
descuamare	deskwamare
descuamat	deskwamat
descuamație	deskwamatsije
descuia	deskuja
descuiat	deskujat
descuiat	deskuˈjat
descuiată	deskuˈjɑːtə
descuie	deskwe
descuiere	deskujere
descuind	deskuind
desculţ	deskulʲtʃ
desculț	deskults
desculța	deskultsa
desculțare	deskultsare
desculțat	deskultsat
descumpăni	deskumpəni
descumpănire	deskumpənire
descumpănit	deskumpənit
descuraja	deskuraʒa
descuraja	deskuˈraʒa
descurajant	deskuraʒant
descurajare	deskuraʒare
descurajat	deskura'ʒat
descurajat	deskuraʒat
descurajator	deskuraʒator
descurajeze	deskuraʒeze
descurc	deskurk
descurca	deskurka
descurcam	deskɨrˈkam
descurcare	deskurkare
descurcase	deskurkase
descurcat	deskurkat
descurcat	deskurtʃat
descurcati	deskurka'ti
descurcaţi	deskurˈkətsʲ
descurce	deskurtʃe
descurci	deskurtʃʲ
descurcă	deskurkə
descurcă-te	deskurkəte
descurcăm	deskurkəm
descurcăreț	deskurkərets
descusut	deskusut
descâlci	deskɨltʃi
descâlcire	deskɨltʃire
descâlcit	deskɨltʃit
descânta	deskɨnta
descântare	deskɨntare
descântat	deskɨntat
descântec	deskɨntek
descântecele	deskɨntetʃele
descântător	deskɨntətor
descântătură	deskɨntəturə
descăiera	deskəjera
descăierare	deskəjerare
descălca	deskəlka
descălcare	deskəlkare
descălcat	deskəlkat
descăleca	deskəleka
descălecare	deskəlekare
descălecat	deskəlekat
descălecătoare	deskəlekətŏare
descălecător	deskəlekətor
descălica	deskəlika
descălicare	deskəlikare
descălicat	deskəlikat
descălicătoare	deskəlikətŏare
descălicător	deskəlikətor
descălța	deskəltsa
descălțare	deskəltsare
descălțat	deskəltsat
descăpățâna	deskəpətsɨna
descăpățânare	deskəpətsɨnare
descăpățânat	deskəpətsɨnat
descărca	deskɑrtʃɑ
descărca	deskərka
descărcare	deskərkare
descărcare	deskəɾˈkare
descărcarea	deskərkaˈre̯a
descărcat	deskɑɾˈkat
descărcat	deskərkat
descărcate	deskərˈkate
descărcată	deskɑɾˈkɑtə
descărcaţi	deskərkatsi
descărcăm	deskərkəm
descărcător	deskərkətor
descărcătură	deskərkəturə
descărna	deskərna
descărnare	deskərnare
descărnat	deskərnat
descătușa	deskətuʃa
descătușare	deskətuʃare
descătușat	deskətuʃat
descătărăma	deskətərəma
descătărămare	deskətərəmare
descătărămat	deskətərəmat
descăzut	deskəzut
desdăuna	desdəuna
desdăunare	desdəunare
desdăunat	desdəunat
dese	ˈdese
deseara	desjaˈra
deseară	dese̯aˈra
deseară	desĕarə
deseatină	desĕatinə
deseca	deseka
desecare	desekare
desecat	desekat
desegregație	desegregatsije
desemn	desemn
desemna	desemna
desemnare	desemnare
desemnat	desemnat
desemnat	desemˈnat
desemnată	desemˈnatə
desen	desen
desena	desena
desenare	desenare
desenat	desenat
desenat	desen̪at
desenat-o	desen̪ˈato
desenate	desenaˈte
desenator	desenator
desenator	desenatoɾ
desenatură	desenaturə
desenată	desena'tə
desene	desene
desenează	desene̯a̠zə
desenele	desenele
desenele	desene̯le
desenez	desenez
desenez	deseneʃ
deseneze	deseneze
desenezi	desenezi
desensibiliza	desensibiliza
desensibilizant	desensibilizant
desensibilizare	desensibilizare
desensibilizat	desensibilizat
desenul	desenul
desenând	desenɨnd
deseori	deseor
deseori	dese̯o̯ri
desert	desert
desert	desɛrt
desertiza	desertiza
desertizare	desertizare
desertizat	desertizat
desertul	deser'tul
desertului	desertulʲ
deserturi	desɛr'turi
deserturilor	deserturilor
deservent	deservent
deservire	deservire
deservit	deservit
desesiza	desesiza
desesizare	desesizare
desetină	desetinə
deseuri	desewrʲ
desfac	desfak
desface	desfatʃe
desface	desˈfatʃe
desfacem	desfaˈtʃem
desfacere	desfatʃere
desfaci	desfatʃʲ
desfacă	desfɑˈkə
desfasoara	desfaˈso̯ara
desfasurare	desfasuˈrare
desfereca	desfereka
desferecare	desferekare
