є	jɛ
ввела	ʋːeɫa
ввели	ʋːeɫɪ
ввело	ʋːeɫɔ
ввести	ʋːestɪ
ввесь	ʋːɛsʲ
ввечері	ʋːɛtʃerʲi
вводити	ʋːɔdete
ввозити	ʋːɔzete
вві	ʋʲːi
ввіз	ʋʲːiz
ввійти	ʋʲːii̯tɪ
ввімкнення	ʋʲːimknenʲːɐ
ввімкнути	ʋʲːimknute
ввічливий	ʋʲːitʃɫeʋei̯
ввічливо	ʋʲːitʃɫewɔ
вгадати	wɦɐdate
вгадувати	wɦadʊʋɐte
вголос	wɦɔɫɔs
вгору	wɦɔrʊ
вгорі	wɦorʲi
вдаватися	wdɐʋatesʲɐ
вдався	wdau̯sʲɐ
вдалася	wdɐɫasʲɐ
вдалий	wdaɫei̯
вдалися	wdɐɫɪsʲɐ
вдалося	wdɐɫɔsʲɐ
вдамся	wdamsʲɐ
вдасться	wdasʲtsʲːɐ
вдатися	wdatesʲɐ
вдаюсь	wdɐjusʲ
вдаюся	wdɐjusʲɐ
вдаєтесь	wdɐjetɛsʲ
вдаєтеся	wdɐjetɛsʲɐ
вдається	wdɐjɛtsʲːɐ
вдвоє	wdwɔje
вдвічі	wdʲʋʲitʃʲi
вдень	wdɛnʲ
вдертися	wdɛrtesʲɐ
вдиратися	wderatesʲɐ
вдова	wdɔʋa
вдовець	wdɔʋɛtsʲ
вдовж	wdɔu̯ʒ
вдома	wdɔmɐ
вдосвіта	wdɔsʲʋʲitɐ
вдосконаленню	wdɔskɔnaɫenʲːʊ
вдосконалення	wdɔskɔnaɫenʲːɐ
вдосконаленням	wdɔskɔnaɫenʲːɐm
вдосконаленнями	wdɔskɔnaɫenʲːɐme
вдосконаленнях	wdɔskɔnaɫenʲːɐx
вдосконаленні	wdɔskɔnaɫenʲːi
вдосконалень	wdɔskɔnaɫenʲ
вдосталь	wdɔstɐlʲ
вдруге	wdruɦe
вдягати	wdʲɐɦate
вдягнений	wdʲaɦnenei̯
вдягнув	wdʲɐɦnuu̯
вдягнути	wdʲɐɦnute
вдягнутий	wdʲaɦnʊtei̯
вдягти	wdʲɐɦtɪ
вдячний	wdʲatʃnei̯
вдячність	wdʲatʃnʲisʲtʲ
вдівець	wdʲiʋɛtsʲ
вегетаріанець	ʋeɦetɐrʲianetsʲ
вегетаріанка	ʋeɦetɐrʲiankɐ
вегетаріанки	ʋeɦetɐrʲianke
вегетаріанці	ʋeɦetɐrʲianʲtsʲi
веда	ʋɛdɐ
ведений	ʋɛdenei̯
ведення	ʋɛdenʲːɐ
веди	ʋɛde
ведмедем	ʋedmɛdem
ведмедя	ʋedmɛdʲɐ
ведмедям	ʋedmɛdʲɐm
ведмедями	ʋedmɛdʲɐme
ведмедях	ʋedmɛdʲɐx
ведмеді	ʋedmɛdʲi
ведмедів	ʋedmɛdʲiu̯
ведмежа	ʋedmeʒa
ведмежа	ʋedmɛʒɐ
ведмежий	ʋedmɛʒei̯
ведмідь	ʋedmʲidʲ
веду	ʋedu
ведуча	ʋedutʃɐ
ведучий	ʋedutʃei̯
вежа	ʋɛʒɐ
везти	ʋeztɪ
вела	ʋeɫa
велелюдний	ʋeɫelʲudnei̯
велет	ʋɛɫet
велетенський	ʋeɫetɛnʲsʲkei̯
велетень	ʋɛɫetenʲ
вели	ʋeɫɪ
велика	ʋeɫɪkɐ
велике	ʋeɫɪke
великий	ʋeɫɪkei̯
великим	ʋeɫɪkem
великими	ʋeɫɪkeme
великих	ʋeɫɪkex
великогабаритний	ʋeɫekɔɦɐbɐrɪtnei̯
великого	ʋeɫɪkɔɦɔ
великодній	ʋeɫekɔdʲnʲii̯
великодушний	ʋeɫekoduʃnei̯
великодушність	ʋeɫekoduʃnʲisʲtʲ
великокаліберний	ʋeɫekɔkɐlʲibernei̯
великому	ʋeɫɪkɔmʊ
великомученик	ʋeɫekomutʃenek
великомучениця	ʋeɫekomutʃenetsʲɐ
великою	ʋeɫɪkɔjʊ
великої	ʋeɫɪkɔji
велику	ʋeɫɪkʊ
великі	ʋeɫɪkʲi
великій	ʋeɫɪkʲii̯
великім	ʋeɫɪkʲim
величезна	ʋeɫetʃɛznɐ
величезне	ʋeɫetʃɛzne
величезний	ʋeɫetʃɛznei̯
величезним	ʋeɫetʃɛznem
величезними	ʋeɫetʃɛzneme
величезних	ʋeɫetʃɛznex
величезного	ʋeɫetʃɛznɔɦɔ
величезному	ʋeɫetʃɛznɔmʊ
величезною	ʋeɫetʃɛznɔjʊ
величезної	ʋeɫetʃɛznɔji
величезну	ʋeɫetʃɛznʊ
величезні	ʋeɫetʃɛzʲnʲi
величезній	ʋeɫetʃɛzʲnʲii̯
величезнім	ʋeɫetʃɛzʲnʲim
величина	ʋeɫetʃena
величність	ʋeɫɪtʃnʲisʲtʲ
вело	ʋeɫɔ
велодоріжка	ʋeɫɔdorʲiʒkɐ
велосипед	ʋeɫɔsepɛd
велосипедист	ʋeɫɔsepedɪst
велосипедистка	ʋeɫɔsepedɪstkɐ
велосипедний	ʋeɫɔsepɛdnei̯
велоспорт	ʋeɫɔspɔrt
вельми	ʋɛlʲme
вельмишановний	ʋɛlʲmeʃɐnɔu̯nei̯
вельможа	ʋelʲmɔʒɐ
веліти	ʋelʲite
вен	ʋɛn
вена	ʋɛnɐ
венам	ʋɛnɐm
венами	ʋɛnɐme
венах	ʋɛnɐx
венеціанець	ʋenetsʲianetsʲ
венеціанка	ʋenetsʲiankɐ
венеціанський	ʋenetsʲianʲsʲkei̯
вензель	ʋɛnzelʲ
вени	ʋɛne
вено	ʋɛnɔ
веною	ʋɛnɔjʊ
вентиляція	ʋentelʲatsʲijɐ
вену	ʋɛnʊ
вені	ʋɛnʲi
вепр	ʋɛpr
веранда	ʋerandɐ
верба	ʋerba
вербальний	ʋerbalʲnei̯
верблюд	ʋerblʲud
верблюденя	ʋerblʲʊdenʲa
верблюдячий	ʋerblʲudʲɐtʃei̯
верблюдівництво	ʋerblʲʊdʲiu̯nɪtstwɔ
верблюжа	ʋerblʲuʒɐ
верблюжа	ʋerblʲʊʒa
верблюжий	ʋerblʲuʒei̯
вербний	ʋɛrbnei̯
вербувати	ʋerbʊʋate
вервечка	ʋerʋɛtʃkɐ
вергати	ʋerɦate
вергати	ʋɛrɦɐte
вергнути	ʋɛrɦnʊte
вергти	ʋɛrɦte
вердикт	ʋerdɪkt
веред	ʋɛred
вередити	ʋeredɪte
вередувати	ʋeredʊʋate
верем'я	ʋerɛmjɐ
верес	ʋɛres
вересень	ʋɛresenʲ
вереск	ʋɛresk
вересневий	ʋeresnɛʋei̯
вересня	ʋɛresʲnʲɐ
веретено	ʋeretɛnɔ
верещати	ʋereʃtʃate
верзти	ʋerztɪ
вериги	ʋerɪɦe
верифікація	ʋerefʲikatsʲijɐ
вермут	ʋɛrmʊt
вермішель	ʋermʲiʃɛlʲ
вернути	pɔʋernute
верства	ʋerstʋa
версій	ʋɛrsʲii̯
версію	ʋɛrsʲijʊ
версія	ʋɛrsʲijɐ
версіям	ʋɛrsʲijɐm
версіями	ʋɛrsʲijɐme
версіях	ʋɛrsʲijɐx
версією	ʋɛrsʲijejʊ
версії	ʋɛrsʲiji
вертати	ʋertate
вертеп	ʋertɛp
вертепові	ʋertɛpɔʋʲi
вертепом	ʋertɛpɔm
вертепу	ʋertɛpʊ
вертикальний	ʋertekalʲnei̯
вертоліт	ʋertolʲit
вертіти	ʋertʲite
верф	ʋɛrf
верх	ʋɛrx
верхи	ʋerxɪ
верхи	ʋɛrxe
верхньолужицький	ʋerxnʲoɫuʒetsʲkei̯
верхній	ʋɛrxnʲii̯
верховенство	ʋerxɔʋɛnstwɔ
верховинський	ʋerxɔʋɪnʲsʲkei̯
верховна	ʋerxɔu̯nɐ
верховний	ʋerxɔu̯nei̯
верховної	ʋerxɔu̯nɔji
верхівка	ʋerxʲiu̯kɐ
вершина	ʋerʃɪnɐ
вершити	ʋerʃɪte
вершки	ʋerʃkɪ
вершків	ʋerʃkʲiu̯
вершник	ʋɛrʃnek
весела	ʋesɛɫɐ
веселе	ʋesɛɫe
веселий	ʋesɛɫei̯
веселим	ʋesɛɫem
веселитися	ʋeseɫɪtesʲɐ
веселих	ʋesɛɫex
веселка	ʋesɛɫkɐ
веселки	ʋesɛɫke
веселковий	ʋesɛɫkɔʋei̯
веселку	ʋesɛɫkʊ
весело	ʋɛseɫɔ
веселого	ʋesɛɫɔɦɔ
веселок	ʋesɛɫɔk
веселощі	ʋesɛɫɔʃtʃʲi
веселої	ʋesɛɫɔji
веселу	ʋesɛɫʊ
веселі	ʋesɛlʲi
веселішати	ʋeselʲiʃɐte
веселіший	ʋeselʲiʃei̯
весен	ʋɛsen
весло	ʋesɫɔ
веслування	ʋesɫʊʋanʲːɐ
весляр	ʋesʲlʲar
весна	ʋesna
веснам	ʋɛsnɐm
веснами	ʋɛsnɐme
веснах	ʋɛsnɐx
весни	ʋesnɪ
весни	ʋɛsne
весною	ʋesnɔjʊ
весну	ʋesnu
весну	ʋɛsnʊ
весняний	ʋesʲnʲanei̯
весняний	ʋesʲnʲɐnɪi̯
весні	ʋesʲnʲi
вестернізація	ʋesternʲizatsʲijɐ
вести	ʋestɪ
вестися	ʋestɪsʲɐ
весь	ʋɛsʲ
весілля	ʋesʲilʲːɐ
весільна	ʋesʲilʲnɐ
весільний	ʋesʲilʲnei̯
ветхий	ʋɛtxei̯
вечер	ʋetʃɛr
вечере	ʋetʃɛre
вечерею	ʋetʃɛrejʊ
вечерю	ʋetʃɛrʲʊ
вечеря	ʋetʃɛrʲɐ
вечерям	ʋetʃɛrʲɐm
вечерями	ʋetʃɛrʲɐme
вечеряти	ʋetʃɛrʲɐte
вечерях	ʋetʃɛrʲɐx
вечері	ʋetʃɛrʲi
вечора	ʋɛtʃɔrɐ
вечори	ʋetʃɔrɪ
вечорі	ʋɛtʃɔrʲi
вечорів	ʋetʃorʲiu̯
вечір	ʋɛtʃʲir
вечірка	ʋetʃʲirkɐ
вечірній	ʋetʃʲirnʲii̯
вештатися	ʋɛʃtɐtesʲɐ
вже	wʒɛ
вживаний	wʒɪʋɐnei̯
вживання	wʒeʋanʲːɐ
вживати	wʒeʋate
вжити	wʒɪte
вжитий	wʒɪtei̯
взагалі	wzɐɦɐlʲi
взад	wzad
взаємна	wzɐjɛmnɐ
взаємне	wzɐjɛmne
взаємний	wzɐjɛmnei̯
взаємним	wzɐjɛmnem
взаємними	wzɐjɛmneme
взаємних	wzɐjɛmnex
взаємно	wzɐjɛmnɔ
взаємного	wzɐjɛmnɔɦɔ
взаємному	wzɐjɛmnɔmʊ
взаємною	wzɐjɛmnɔjʊ
взаємної	wzɐjɛmnɔji
взаємну	wzɐjɛmnʊ
взаємні	wzɐjɛmnʲi
взаємній	wzɐjɛmnʲii̯
взаємнім	wzɐjɛmnʲim
взаємність	wzɐjɛmnʲisʲtʲ
взаємовигідний	wzɐjemɔʋɪɦʲidnei̯
взаємовиключний	wzɐjemɔʋɪklʲʊtʃnei̯
взаємовплив	wzɐjemɔu̯pɫɪu̯
взаємодопомога	wzɐjemɔdɔpɔmɔɦɐ
взаємодопомоги	wzɐjemɔdɔpɔmɔɦe
взаємодопомогою	wzɐjemɔdɔpɔmɔɦɔjʊ
взаємодопомогу	wzɐjemɔdɔpɔmɔɦʊ
взаємодопомозі	wzɐjemɔdɔpɔmɔzʲi
взаємодія	wzɐjemodʲijɐ
взаємодіяння	wzɐjemodʲijɐnʲːɐ
взаємодіяти	wzɐjemodʲijɐte
взаємозалежний	wzɐjemɔzɐɫɛʒnei̯
взаємозалежним	wzɐjemɔzɐɫɛʒnem
взаємозалежними	wzɐjemɔzɐɫɛʒneme
взаємозалежних	wzɐjemɔzɐɫɛʒnex
взаємозалежні	wzɐjemɔzɐɫɛʒnʲi
взаємозалежність	wzɐjemɔzɐɫɛʒnʲisʲtʲ
взаємозамінний	wzɐjemɔzɐmʲinːei̯
взаємозамінність	wzɐjemɔzɐmʲinʲːisʲtʲ
взаємозв'язкам	wzɐjemɔzʋjɐzkam
взаємозв'язками	wzɐjemɔzʋjɐzkame
взаємозв'язках	wzɐjemɔzʋjɐzkax
взаємозв'язки	wzɐjemɔzʋjɐzkɪ
взаємозв'язкові	wzɐjemɔzʋjɐzkɔʋʲi
взаємозв'язком	wzɐjemɔzʋjɐzkɔm
взаємозв'язку	wzɐjemɔzʋjɐzku
взаємозв'язків	wzɐjemɔzʋjɐzʲkʲiu̯
взаємозв'язок	wzɐjemɔzʋjɐzɔk
взаємопов'язаний	wzɐjemɔpɔʋjɐzate
взаємопов'язати	wzɐjemɔpɔʋjɐzate
взаємопов'язувати	wzɐjemɔpɔʋjazʊʋɐte
взаємоповага	wzɐjemɔpɔʋaɦɐ
взаємопроникнення	wzɐjemɔprɔnɪknenʲːɐ
взаєморозуміння	wzɐjemɔrɔzʊmʲinʲːɐ
взвод	wzwɔd
взимку	wzɪmkʊ
взуванка	wzuʋɐnkɐ
взувачка	wzʊʋatʃkɐ
взути	wzute
взуттю	wzʊtʲːu
взуття	wzʊtʲːa
взуттям	wzʊtʲːam
взуттєвий	wzʊtʲːɛʋei̯
взутті	wzʊtʲːi
взяти	wzʲate
взір	wzir
взірець	wzʲirɛtsʲ
взірцевий	wzʲirtsɛʋei̯
взірцеві	wzʲirtsɛʋʲi
ви	ʋɪ
вибагливий	ʋebaɦɫeʋei̯
вибач	ʋɪbɐtʃ
вибачати	ʋebɐtʃate
вибачатися	ʋebɐtʃatesʲɐ
вибачать	ʋɪbɐtʃɐtʲ
вибачаюсь	ʋebɐtʃajʊsʲ
вибачаюся	ʋebɐtʃajʊsʲɐ
вибачаєшся	ʋebɐtʃajesʲːɐ
вибачений	ʋɪbɐtʃenei̯
вибачення	ʋɪbɐtʃenʲːɐ
вибачено	ʋɪbɐtʃenɔ
вибачив	ʋɪbɐtʃeu̯
вибачивши	ʋɪbɐtʃeu̯ʃe
вибачила	ʋɪbɐtʃeɫɐ
вибачили	ʋɪbɐtʃeɫe
вибачило	ʋɪbɐtʃeɫɔ
вибачим	ʋɪbɐtʃem
вибачимо	ʋɪbɐtʃemɔ
вибачите	ʋɪbɐtʃete
вибачити	ʋɪbɐtʃete
вибачитися	ʋɪbɐtʃetesʲɐ
вибачить	ʋɪbɐtʃetʲ
вибачиш	ʋɪbɐtʃeʃ
вибачмо	ʋɪbɐtʃmɔ
вибачте	ʋɪbɐtʃte
вибачу	ʋɪbɐtʃʊ
вибив	ʋɪbeu̯
вибирався	ʋeberau̯sʲɐ
вибирайсь	ʋeberai̯sʲ
вибирайся	ʋeberai̯sʲɐ
вибирайтесь	ʋeberai̯tesʲ
вибирайтеся	ʋeberai̯tesʲɐ
вибиралась	ʋeberaɫɐsʲ
вибиралася	ʋeberaɫɐsʲɐ
вибирались	ʋeberaɫesʲ
вибиралися	ʋeberaɫesʲɐ
вибиралось	ʋeberaɫɔsʲ
вибиралося	ʋeberaɫɔsʲɐ
вибирати	ʋeberate
вибиратиметься	ʋeberatemetsʲːɐ
вибиратимуться	ʋeberatemʊtsʲːɐ
вибиратись	ʋeberatesʲ
вибиратися	ʋeberatesʲɐ
вибираюсь	ʋeberajʊsʲ
вибираюся	ʋeberajʊsʲɐ
вибираються	ʋeberajʊtsʲːɐ
вибираючись	ʋeberajʊtʃesʲ
вибирається	ʋeberajetsʲːɐ
вибираєшся	ʋeberajesʲːɐ
вибити	ʋɪbete
виблядок	ʋɪblʲɐdɔk
виборам	ʋɪbɔrɐm
виборами	ʋɪbɔrɐme
виборах	ʋɪbɔrɐx
виборець	ʋɪbɔretsʲ
вибори	ʋɪbɔre
виборниця	ʋɪbɔrnetsʲɐ
виборові	ʋɪbɔrɔʋʲi
вибором	ʋɪbɔrɔm
вибороти	ʋɪbɔrɔte
вибору	ʋɪbɔrʊ
виборчий	ʋɪbɔrtʃei̯
виборювати	ʋebɔrʲʊʋɐte
виборі	ʋɪbɔrʲi
виборів	ʋɪbɔrʲiu̯
вибрати	ʋɪbrɐte
вибратися	ʋɪbrɐtesʲɐ
вибудовувати	ʋebʊdɔwʊʋɐte
вибудувати	ʋɪbʊdʊʋɐte
вибух	ʋɪbʊx
вибухам	ʋɪbʊxɐm
вибухами	ʋɪbʊxɐme
вибухати	ʋebʊxate
вибухах	ʋɪbʊxɐx
вибухи	ʋɪbʊxe
вибухла	ʋɪbʊxɫɐ
вибухли	ʋɪbʊxɫe
вибухло	ʋɪbʊxɫɔ
вибухнув	ʋɪbʊxnʊu̯
вибухнула	ʋɪbʊxnʊɫɐ
вибухнули	ʋɪbʊxnʊɫe
вибухнуло	ʋɪbʊxnʊɫɔ
вибухнути	ʋɪbʊxnʊte
вибуховий	ʋebʊxɔʋei̯
вибухові	ʋebʊxɔʋʲi
вибухові	ʋɪbʊxɔʋʲi
вибухом	ʋɪbʊxɔm
вибухонебезпечний	ʋebʊxɔnebezpɛtʃnei̯
вибуху	ʋɪbʊxʊ
вибухів	ʋɪbʊxʲiu̯
вибухівка	ʋebʊxʲiu̯kɐ
вибір	ʋɪbʲir
виварка	ʋɪʋɐrkɐ
вивезти	ʋɪʋezte
виверження	ʋɪʋerʒenʲːɐ
вивести	ʋɪʋeste
виводити	ʋewɔdete
виводити	ʋɪwɔdete
вивозити	ʋewɔzete
вивозити	ʋɪwɔzete
вивчати	ʋeu̯tʃate
вивчений	ʋɪu̯tʃenei̯
вивчення	ʋɪu̯tʃenʲːɐ
вивчити	ʋɪu̯tʃete
вивільга	ʋɪʋʲilʲɦɐ
вивільнити	ʋɪʋʲilʲnete
вивільніть	ʋɪʋʲilʲnʲitʲ
вивітрювання	ʋeʋʲitʲrʲʊʋɐnʲːɐ
вигаданий	ʋɪɦɐdɐnei̯
вигадати	ʋɪɦɐdɐte
вигадувати	ʋeɦadʊʋɐte
виганяти	ʋeɦɐnʲate
виганяти	ʋɪɦɐnʲɐte
вигинати	ʋeɦenate
вигляд	ʋɪɦlʲɐd
виглядав	ʋeɦlʲɐdau̯
виглядала	ʋeɦlʲɐdaɫɐ
виглядали	ʋeɦlʲɐdaɫe
виглядало	ʋeɦlʲɐdaɫɔ
виглядам	ʋɪɦlʲɐdɐm
виглядами	ʋɪɦlʲɐdɐme
виглядати	ʋeɦlʲɐdate
виглядатиме	ʋeɦlʲɐdateme
виглядатимуть	ʋeɦlʲɐdatemʊtʲ
виглядах	ʋɪɦlʲɐdɐx
виглядають	ʋeɦlʲɐdajʊtʲ
виглядаючи	ʋeɦlʲɐdajʊtʃe
виглядає	ʋeɦlʲɐdaje
вигляде	ʋɪɦlʲɐde
вигляди	ʋɪɦlʲɐde
виглядові	ʋɪɦlʲɐdɔʋʲi
виглядом	ʋɪɦlʲɐdɔm
вигляду	ʋɪɦlʲɐdʊ
вигляді	ʋɪɦlʲɐdʲi
виглядів	ʋɪɦlʲɐdʲiu̯
виглянути	ʋɪɦlʲɐnʊte
вигнанець	ʋeɦnanetsʲ
вигнати	ʋɪɦnɐte
вигнути	ʋɪɦnʊte
вигнутий	ʋɪɦnʊtei̯
вигода	ʋɪɦɔdɐ
виголосити	ʋɪɦɔɫɔsete
виголошувати	ʋeɦɔɫɔʃʊʋɐte
вигоряння	ʋeɦɔrʲanʲːɐ
виготовити	ʋɪɦɔtɔʋete
виготовлення	ʋɪɦɔtɔu̯ɫenʲːɐ
виготовляти	ʋeɦɔtɔu̯lʲate
вигоювати	ʋeɦɔjʊʋɐte
вигоїти	ʋɪɦɔjite
виграв	ʋɪɦrɐu̯
вигравати	ʋeɦrɐʋate
вигравши	ʋɪɦrɐu̯ʃe
виграй	ʋɪɦrɐi̯
виграймо	ʋɪɦrɐi̯mɔ
виграйте	ʋɪɦrɐi̯te
виграла	ʋɪɦrɐɫɐ
виграли	ʋɪɦrɐɫe
виграло	ʋɪɦrɐɫɔ
виграний	ʋɪɦrɐnei̯
виграно	ʋɪɦrɐnɔ
виграти	ʋɪɦrɐte
виграш	ʋɪɦrɐʃ
виграю	ʋɪɦrɐjʊ
виграють	ʋɪɦrɐjʊtʲ
виграє	ʋɪɦrɐje
виграєм	ʋɪɦrɐjem
виграємо	ʋɪɦrɐjemɔ
виграєте	ʋɪɦrɐjete
виграєш	ʋɪɦrɐjeʃ
вигризати	ʋeɦrezate
вигук	ʋɪɦʊk
вигукнути	ʋɪɦʊknʊte
вигукувати	ʋeɦukʊʋɐte
вигул	ʋɪɦʊɫ
вигідний	ʋɪɦʲidnei̯
вид	ʋɪd
видавати	ʋedɐʋate
видавець	ʋedɐʋɛtsʲ
видавництво	ʋedɐu̯nɪtstwɔ
видалити	ʋɪdɐɫete
видаляти	ʋedɐlʲate
видання	ʋedanʲːɐ
видання	ʋedɐnʲːa
видати	ʋedate
видати	ʋɪdɐte
видатний	ʋedɐtnɪi̯
видаток	ʋedatɔk
видача	ʋɪdɐtʃɐ
виделка	ʋedɛɫkɐ
виджу	ʋɪdʒʊ
видимий	ʋɪdemei̯
видимість	ʋɪdemʲisʲtʲ
видиш	ʋɪdeʃ
видно	ʋɪdnɔ
видобування	ʋedɔbʊʋanʲːɐ
видобуток	ʋɪdɔbʊtɔk
видовище	ʋedɔʋeʃtʃe
видовищний	ʋedɔʋeʃtʃnei̯
видра	ʋɪdrɐ
видужати	ʋɪdʊʒɐte
видужувати	ʋeduʒʊʋɐte
видумати	ʋɪdʊmɐte
видумувати	ʋedumʊʋɐte
видь	ʋɪdʲ
видів	ʋɪdʲiu̯
виділений	ʋɪdʲiɫenei̯
виділення	ʋɪdʲiɫenʲːɐ
виділити	ʋɪdʲiɫete
виділяти	ʋedʲilʲate
видіння	ʋedʲinʲːɐ
видіти	ʋɪdʲite
вижив	ʋɪʒeu̯
виживання	ʋeʒeʋanʲːɐ
виживати	ʋeʒeʋate
вижити	ʋɪʒete
вижлоктати	ʋɪʒɫɔktɐte
вижлуктати	ʋɪʒɫʊktɐte
вижлуктити	ʋɪʒɫʊktete
вижницький	ʋɪʒnetsʲkei̯
виз	ʋɪz
визволення	ʋezwɔɫenʲːɐ
визволення	ʋɪzwɔɫenʲːɐ
визволити	ʋɪzwɔɫete
визволяти	ʋezwɔlʲate
визискувати	ʋezɪskʊʋɐte
визнавати	ʋeznɐʋate
визнаний	ʋɪznɐnei̯
визнання	ʋeznanʲːɐ
визнати	ʋɪznɐte
визначав	ʋeznɐtʃau̯
визначала	ʋeznɐtʃaɫɐ
визначали	ʋeznɐtʃaɫe
визначало	ʋeznɐtʃaɫɔ
визначальний	ʋeznɐtʃalʲnei̯
визначати	ʋeznɐtʃate
визначатиме	ʋeznɐtʃateme
визначатимемо	ʋeznɐtʃatememɔ
визначатимете	ʋeznɐtʃatemete
визначатимеш	ʋeznɐtʃatemeʃ
визначатиму	ʋeznɐtʃatemʊ
визначатимуть	ʋeznɐtʃatemʊtʲ
визначатися	ʋeznɐtʃatesʲɐ
визначаю	ʋeznɐtʃajʊ
визначають	ʋeznɐtʃajʊtʲ
визначаються	ʋeznɐtʃajʊtsʲːɐ
визначає	ʋeznɐtʃaje
визначаємо	ʋeznɐtʃajemɔ
визначаєте	ʋeznɐtʃajete
визначається	ʋeznɐtʃajetsʲːɐ
визначаєш	ʋeznɐtʃajeʃ
визначена	ʋɪznɐtʃenɐ
визначене	ʋɪznɐtʃene
визначений	ʋɪznɐtʃenei̯
визначеними	ʋɪznɐtʃeneme
визначених	ʋɪznɐtʃenex
визначення	ʋɪznɐtʃenʲːɐ
визначеному	ʋɪznɐtʃenɔmʊ
визначеної	ʋɪznɐtʃenɔji
визначені	ʋɪznɐtʃenʲi
визначити	ʋɪznɐtʃete
визначитися	ʋɪznɐtʃetesʲɐ
визначний	ʋeznɐtʃnɪi̯
визначніший	ʋeznɐtʃnʲiʃei̯
визнаю	ʋeznɐju
визнаю	ʋɪznɐjʊ
визнають	ʋeznɐjutʲ
визнають	ʋɪznɐjʊtʲ
визнає	ʋeznɐjɛ
визнає	ʋɪznɐje
визнаємо	ʋeznɐjemɔ
визнаємо	ʋɪznɐjemɔ
визнаєте	ʋeznɐjetɛ
визнаєте	ʋɪznɐjete
визнаєш	ʋeznɐjɛʃ
визнаєш	ʋɪznɐjeʃ
вий	ʋɪi̯
виймати	ʋei̯mate
вийняти	ʋɪi̯nʲɐte
вийти	ʋɪi̯te
вийшла	ʋɪi̯ʃɫɐ
вийшли	ʋɪi̯ʃɫe
вийшло	ʋɪi̯ʃɫɔ
вийшов	ʋɪi̯ʃɔu̯
викид	ʋɪked
викидати	ʋekedate
викидати	ʋɪkedɐte
викидень	ʋɪkedenʲ
викинути	ʋɪkenʊte
виклад	ʋɪkɫɐd
викладати	ʋekɫɐdate
викладач	ʋekɫɐdatʃ
викладачка	ʋekɫɐdatʃkɐ
викласти	ʋɪkɫɐste
виклик	ʋɪkɫek
викликати	ʋekɫekate
викликати	ʋɪkɫekɐte
виключати	ʋeklʲʊtʃate
виключаючи	ʋeklʲʊtʃajʊtʃe
виключення	ʋɪklʲʊtʃenʲːɐ
виключити	ʋɪklʲʊtʃete
виключний	ʋɪklʲʊtʃnei̯
виключно	ʋɪklʲʊtʃnɔ
виконав	ʋɪkɔnɐu̯
виконавець	ʋekɔnaʋetsʲ
виконавиця	ʋekɔnaʋetsʲɐ
виконавчий	ʋekɔnau̯tʃei̯
виконала	ʋɪkɔnɐɫɐ
виконали	ʋɪkɔnɐɫe
виконало	ʋɪkɔnɐɫɔ
виконаний	ʋɪkɔnɐnei̯
виконання	ʋekɔnanʲːɐ
виконати	ʋɪkɔnɐte
виконають	ʋɪkɔnɐjʊtʲ
виконає	ʋɪkɔnɐje
виконував	ʋekɔnʊʋɐu̯
виконувався	ʋekɔnʊʋɐu̯sʲɐ
виконувала	ʋekɔnʊʋɐɫɐ
виконувалася	ʋekɔnʊʋɐɫɐsʲɐ
виконували	ʋekɔnʊʋɐɫe
виконувалися	ʋekɔnʊʋɐɫesʲɐ
виконувало	ʋekɔnʊʋɐɫɔ
виконувалося	ʋekɔnʊʋɐɫɔsʲɐ
виконувати	ʋekɔnʊʋɐte
виконуватиме	ʋekɔnʊʋɐteme
виконуватимем	ʋekɔnʊʋɐtemem
виконуватимемо	ʋekɔnʊʋɐtememɔ
виконуватимете	ʋekɔnʊʋɐtemete
виконуватиметься	ʋekɔnʊʋɐtemetsʲːɐ
виконуватимеш	ʋekɔnʊʋɐtemeʃ
виконуватиму	ʋekɔnʊʋɐtemʊ
виконуватимуть	ʋekɔnʊʋɐtemʊtʲ
виконуватимуться	ʋekɔnʊʋɐtemʊtsʲːɐ
виконуватися	ʋekɔnʊʋɐtesʲɐ
виконуй	ʋekɔnʊi̯
виконуймо	ʋekɔnʊi̯mɔ
виконуйте	ʋekɔnʊi̯te
виконую	ʋekɔnʊjʊ
виконують	ʋekɔnʊjʊtʲ
виконуються	ʋekɔnʊjʊtsʲːɐ
виконуючи	ʋekɔnʊjʊtʃe
виконує	ʋekɔnʊje
виконуєм	ʋekɔnʊjem
виконуємо	ʋekɔnʊjemɔ
виконуєте	ʋekɔnʊjete
виконується	ʋekɔnʊjetsʲːɐ
виконуєш	ʋekɔnʊjeʃ
викопати	ʋɪkɔpɐte
викопувати	ʋekɔpʊʋɐte
викоренити	ʋɪkɔrenete
використання	ʋekɔrestanʲːɐ
використання	ʋɪkɔrestɐnʲːɐ
використанням	ʋekɔrestanʲːɐm
використанням	ʋɪkɔrestɐnʲːɐm
використати	ʋɪkɔrestɐte
використовував	ʋekɔrestɔwʊʋɐu̯
використовувався	ʋekɔrestɔwʊʋɐu̯sʲɐ
використовувала	ʋekɔrestɔwʊʋɐɫɐ
використовувалася	ʋekɔrestɔwʊʋɐɫɐsʲɐ
використовували	ʋekɔrestɔwʊʋɐɫe
використовувалися	ʋekɔrestɔwʊʋɐɫesʲɐ
