ಅ	ɐ
ರಕ್ತ	ɾɐkt̪ɐ
ರಕ್ಷಿಸು	ɾəkʃisu
ರವಿವಾರ	ɾəʋɪʋɑːɾə
ರಸ್ತೆ	ɾɐst̪e
ರಹಸ್ಯ	ɾɐhɐsjɐ
ರಾಜ	ɾɑːdʒɑ
ರಾಜಪುತ್ರ	ɾɑːdʒəput̪ɾɑ
ರಾಜ್ಯ	ɾaːdʒjɐ
ರಾತ್ರಿ	ɾaːt̪ɾi
ರಾತ್ರೆ	ɾaːt̪ɾe
ರಾಮ	ɾaːmɐ
ರಾಯ	ɾaːjɐ
ರಾಷ್ಟ್ರ	ɾaːʂʈɾɐ
ರಿಪೇರಿ	ɾipeːɾi
ರೂಪ	ɾuːpɑ
ರೆಕ್ಕೆ	ɾekke
ರೈತ	ɾɐi̯t̪ɐ
ರೋಗ	ɾoːɡɑ
ರೋಗ	ɾoːɡə
ರೋಗ	ɾɔːɡɑ
ರೋದಿಸು	ɾoːd̪isu
ಱ	rɐ
ಲಕ್ಕಣ	lɐkkɐɳɐ
ಲಕ್ಷ	lɐkʂɐ
ಲಗ್ನ	lɐɡn̪ɐ
ಲಜ್ಜೆ	lɑddʒe
ಲಿಂಗ	liŋɡɐ
ವಚನ	ʋɐtʃɐn̪ɐ
ವಡೆ	ʋɐɖe
ವರಕು	ʋɐɾɐku
ವರ್ಗ	ʋɐɾɡɐ
ವರ್ಣ	ʋɐɾɳɐ
ವರ್ಣಭೇದ	ʋɐɾɳɐbʱeːd̪ɐ
ವಳೆ	ʋɐɭe
ವಸಾರಾ	ʋɐsaːɾaː
ವಾ	ʋaː
ವಾಕ್ಕು	ʋaːkku
ವಿಕ್ಷನರಿ	ʋikʂɐn̪ɐɾi
ವಿಜಯಪುರ	ʋidʒɐjɐpuɾɐ
ವಿಧಿ	ʋid̪ʱi
ವಿಭಕ್ತಿ	ʋibʱɐkt̪i
ವಿಷ	ʋiʂɐ
ವಿಷ್ಣು	ʋɪʃɳu
ವೃಕ್ಷ	ʋɾikʂɐ
ವೃಶ್ಚಿಕ	ʋɾiʃtʃikɐ
ವೇಳೆ	ʋeːɭe
ವ್ಯಕ್ತಿ	ʋjɐkt̪i
ವ್ಯತ್ಯಾಸ	ʋjɐt̪jaːsɐ
ಶನಿವಾರ	ʃən̪ɪʋɑːɾə
ಶಬ್ದ	ʃɐbd̪ɐ
ಶಾಲೆ	ʃaːle
ಶಿಕ್ಷಣ	ʃikʂɐɳɐ
ಶಿವಮೊಗ್ಗಾ	ʃiʋɐmoɡɡaː
ಶಿಶು	ʃiʃu
ಶುಂಠಿ	ʃuɳʈʰi
ಶುಕ್ರ	ʃukɾɐ
ಶುಕ್ರವಾರ	ʃukɾəʋɑːɾə
ಶೂನ್ಯ	ʃuːn̪jɐ
ಶೌರ್ಯ	ʃəwɾjɑ
ಶ್ರದ್ಧೆ	ʃɾəd̪d̪ʱe
ಶ್ರೀ	ʃɾiː
ಶ್ರೇಷ್ಠ	ʃɾeːʂʈʰɐ
ಶ್ವಾನ	ʃʋaːn̪ɐ
ಶ್ವಾಸ	ʃʋaːsɐ
ಷಟ್ಕೋನ	ʂɐʈkoːn̪ɐ
ಸಂತೆ	sɐn̪t̪e
ಸಂಪಿಗೆ	sɐmpiɡe
ಸಂಬಳ	sɐmbɐɭɐ
ಸಂಯುಕ್ತ	səj̃jʊkt̪ɑ
ಸಣ್ಣ	sɐɳɳɐ
ಸತ್ಯ	sət̪jɑ
ಸದಾಶಿವ	sɑd̪ɑːʃiʋɑ
ಸದ್ದು	sɐd̪d̪u
ಸಭೆ	sɑbʱe
ಸಮಯ	sɐmɐjɐ
ಸಮುದ್ರ	sɐmud̪ɾɐ
ಸರಿ	sɐɾi
ಸಲ	sɐlɐ
ಸಲಹೆ	sɐlɐhe
ಸಹಾಯ	sɐhaːjɐ
ಸಾಯು	saːju
ಸಾವಿರ	saːʋiɾɐ
ಸಾವು	saːʋu
ಸಾವೆ	saːʋe
ಸಾಸವ	saːsɐʋɐ
ಸಾಸಿವೆ	saːsiʋe
ಸಾಹಿತ್ಯ	saːhit̪jɐ
ಸಿಂಹ	simhɑ
ಸಿಂಹ	sĩwwɑ
ಸಿಂಹಿ	simhi
ಸಿಹಿ	sihi
ಸೀತೆ	siːt̪e
ಸೀರು	siːɾu
ಸೀಳು	siːɭu
ಸುಡು	suɖu
ಸುದ್ದಿ	sud̪d̪i
ಸೂರ್ಯ	suːɾjɐ
ಸೆಪ್ಟೆಂಬರ್	sepʈembɐɾ
ಸೊನ್ನೆ	son̪n̪e
ಸೊಸೆ	sɔsɛ
ಸೋಮವಾರ	soːmɐʋaːɾɐ
ಸ್ತನ	st̪ɐn̪ɐ
ಸ್ತ್ರೀಲಿಂಗ	st̪ɾiːliŋɡɐ
ಸ್ನೇಹ	sn̪eːhɐ
ಸ್ನೇಹಿತ	sn̪eːhit̪ɐ
ಸ್ವಪ್ನ	sʋɐpn̪ɐ
ಸ್ವಲ್ಪ	sʋɐlpɐ
ಹಂಕಣಿ	hɐŋkɐɳi
ಹಂಕಣಿದಲೆ	hɐŋkɐɳid̪ɐle
ಹಂಕರ	hɐŋkɐɾɐ
ಹಂಕೃತಿ	hɐŋkɾit̪i
ಹಂದಿ	hɐn̪d̪i
ಹಂಬಲ	hɐmbɐlɐ
ಹಂಸ	hɐmsɐ
ಹಕ್ಕಿ	hɐkki
ಹಕ್ಕಿಯರಿಮೆ	hɐkkijɐɾime
ಹಕ್ಕು	hɐkku
ಹಗಲು	hɐɡɐlu
ಹಚ್ಚುಮದ್ದು	hɐtʃtʃumɐd̪d̪u
ಹಟ್ಟ	hɐʈʈɐ
ಹಟ್ಟಿ	hɐʈʈi
ಹಠ	hɐʈʰɐ
ಹಡಗು	hɐɖɐɡu
ಹಣ	hɐɳɐ
ಹಣತಿ	hɐɳɐt̪i
ಹಣತೆ	hɐɳɐt̪e
ಹಣ್ಣು	hɐɳɳu
ಹತ್ತಿ	hɐt̪t̪i
ಹತ್ತಿರ	hɐt̪t̪iɾɐ
ಹತ್ತು	hɐt̪t̪u
ಹದ್ದು	hɐd̪d̪u
ಹನ್ನೆರಡು	hɐn̪n̪eɾɐɖu
ಹನ್ನೊಂದು	hɐn̪n̪on̪d̪u
ಹಪ್ಪಳ	hɐppɐɭɐ
ಹಬ್ಬ	hɐbbɐ
ಹರಯ	hɐɾɐjɐ
ಹರಿ	hɐɾi
ಹರಿತ	hɐɾit̪ɐ
ಹಲ	hɐlɐ
ಹಲಗೆ	hɐlɐɡe
ಹಲವು	hɐlɐʋu
ಹಲಸು	hɐlɐsu
ಹಲ್ಲಿ	hɐlli
ಹಲ್ಲು	hɐllu
ಹಳದಿ	hɐɭɐd̪i
ಹಳು	hɐɭu
ಹಳುವು	hɐɭuʋu
ಹಳೆ	hɐɭe
ಹಳೆಗನ್ನಡ	hɐɭeɡɐn̪n̪ɐɖɐ
ಹಳೆಯ	hɐɭejɐ
ಹಳ್ಳಿ	hɐɭɭi
ಹವಳ	hɐʋɐɭɐ
ಹವಾಮಾನ	hɐʋaːmaːn̪ɐ
ಹವೀಕ	hɐʋiːkɐ
ಹವೀಗ	hɐʋiːɡɐ
ಹವ್ಯಕ	hɐʋjɐkɐ
ಹಸಿರು	hɐsiɾu
ಹಸು	hɐsu
ಹಸ್ತ	hɐst̪ɐ
ಹಾಜರಿ	haːdʒɐɾi
ಹಾಡು	haːɖu
ಹಾದರಿ	haːd̪ɐɾi
ಹಾದಿ	haːd̪i
ಹಾಯನ	haːjɐn̪ɐ
ಹಾಲು	haːlu
ಹಾವು	haːʋu
ಹಾಸಿಗೆ	haːsiɡe
ಹಿಂಡು	hiɳɖu
ಹಿಂದಿ	hin̪d̪i
ಹಿಂಸೆ	himse
ಹಿಚುಕು	hitʃuku
ಹಿಟ್ಟು	hiʈʈu
ಹಿಡಿ	hiɖi
ಹಿತ್ತಾಳೆ	hit̪t̪aːɭe
ಹಿನ್ನೋಟ	hin̪n̪oːʈɐ
ಹಿಮ	himɐ
ಹಿಮಪಾತ	himɐpaːt̪ɐ
ಹಿಮವರ್ಷ	himɐʋɐɾʂɐ
ಹಿಮಸರಳು	himɐsɐɾɐɭu
ಹಿರಿಯ	hiɾijɐ
ಹುಟ್ಟು	huʈʈu
ಹುಟ್ಟುಹಬ್ಬ	huʈʈuhɐbbɐ
ಹುಡಿ	huɖi
ಹುಡುಕು	huɖuku
ಹುಡುಗ	huɖuɡɐ
ಹುಡುಗಿ	huɖuɡi
ಹುಣ್ಣಿಮೆ	huɳɳime
ಹುಬ್ಬಳ್ಳಿ	hubbɐɭɭi
ಹುಬ್ಬು	hubbu
ಹುರುಳಿ	huɾuɭi
ಹುಲಿ	huli
ಹುಲ್ಲು	hullu
ಹುಳಿ	huɭi
ಹುಳು	huɭu
ಹೂ	huː
ಹೂಗು	huːɡu
ಹೂವು	huːʋu
ಹೃದಯ	hɾid̪ɐjɐ
ಹೃದ್ರೋಗ	hɾid̪ɾoːɡɐ
ಹೆಂಗಸು	heŋɡɐsu
ಹೆಂಡತಿ	heɳɖɐt̪i
ಹೆಗ್ಗಣ	heɡɡɐɳɐ
ಹೆಟ್ಟುಗೆ	heʈʈuɡe
ಹೆಣ	heɳɐ
ಹೆಣ್ಣಿಗ	heɳɳiɡɐ
ಹೆಣ್ಣು	heɳɳu
ಹೆದರು	hed̪ɐɾu
ಹೆದ್ದೊರೆ	hed̪d̪oɾe
ಹೆಪ್ಪುಗಟ್ಟು	heppuɡɐʈʈu
ಹೆಬ್ಬಾವು	hebbaːʋu
ಹೆಬ್ಬುಲಿ	hebbuli
ಹೆಸರಿಸು	hesɐɾisu
ಹೆಸರು	hesɐɾu
ಹೇನು	heːn̪u
ಹೇಮಂತ	heːmɐn̪t̪ɐ
ಹೇರಿಕೆ	heːɾike
ಹೇಳು	heːɭu
ಹೈಗ	hɐi̯ɡɐ
ಹೊಗೆ	hoɡe
ಹೊಟ್ಟೆ	hoʈʈe
ಹೊಡೆ	hoɖe
ಹೊತ್ತು	hot̪t̪u
ಹೊನ್ನು	hon̪n̪u
ಹೊರಸು	hoɾɐsu
ಹೊಲ	holɐ
ಹೊಳೆ	hoɭe
ಹೊಸ	hosɐ
ಹೊಸಪೇಟೆ	hosɐpeːʈe
ಹೋಮ	hoːmɐ
ಹೋರಾಟ	hoːɾaːʈɐ
ಹೋರಾಡು	hoːɾaːɖu
ಹೋಳಿಗೆ	hoːɭiɡe
ಹೌದು	hɐu̯d̪u
ೝ	n
ೞ	ɻ
ೡ	liː
