ং	ŋ
কানুনগো	kanungoˑ
কান্না	kanːaˑ
কাপড়	kapoɹ
কাপড়	kapoɽ
কাপড়	kapoɾ
কাপাস	kapaʃ
কাফের	kafeɹ
কাফের	kafeɾ
কাফের	kafiɹ
কাফের	kafiɾ
কাফের	kæfeɾ
কাফের	kɛfeɹ
কাফেলা	kafelaˑ
কাবাডি	kabadiˑ
কাবাডি	kabaɖiˑ
কাবাড্ডি	kabadːiˑ
কাবাড্ডি	kabaɖːiˑ
কাবাব	kabab
কাবুল	kabul
কাব্বাডি	kabːadiˑ
কাব্বাডি	kabːaɖiˑ
কাম	kam
কাম	kaːm
কামড়	kamoɽ̟
কামড়ানো	kamɽ̟ano
কামরা	kamɹaˑ
কামরা	kamɾaˑ
কামস্থান	kämɔs̠t̪ʰäˑn
কামানো	kamanoˑ
কামার	kamaɹ
কামার	kamaɾ
কামিজ	kamiz
কামিয়াবি	kami̯abiˑ
কায়দা	kae̯ɔd̪aˑ
কায়েনাত	kae̯nat̪
কায়েম	kae̯m
কার	kaɹ
কার	kaɾ
কার	kaːɾ
কারওয়ান	kaɹo̯an
কারওয়ান	kaɾo̯an
কারণ	karon
কার্ডিয়াক	kaɹdi̯ak
কার্ডিয়াক	kaɾɖi̯ak
কার্তিক	kaɹt̪ik
কার্তিক	kaɾt̪ik
কার্তুজ	kaɹt̪udʑ
কার্তুজ	kaɾt̪udʒ
কার্য	kaɹdʑoˑ
কার্য	kaɾdʒoˑ
কাল	kal
কালি	kaliˑ
কালীপ্রসন্ন	kalipɹoʃɔnːoˑ
কালীপ্রসন্ন	kalipɾoʃɔnːoˑ
কালো	kaloˑ
কাশা	kaʃa
কাশি	kaʃi
কাহিনি	kahiniˑ
কাহিনী	kahiniˑ
কি	kiː
কি	kiˑ
কিংকর্তব্যবিমূঢ়	kiŋkɔɹt̪ɔbːobimuɹoˑ
কিংকর্তব্যবিমূঢ়	kiŋkɔɾt̪ɔbːobimuɽoˑ
কিংকর্তব্যবিমূঢ়	kiŋkɔɾt̪ɔbːobimuɽʱoˑ
কিংকর্তব্যবিমূঢ়	kiŋkɔɾt̪ɔbːobimuɾhoˑ
কিংখাব	kiŋkʰab
কিংবা	kiŋbaˑ
কিছু	kitɕʰuˑ
কিছু	kitʃʰuˑ
কিছুক্ষণ	kitɕʰukʰːɔn
কিছুক্ষণ	kitʃʰukʰːɔn
কিডনি	kidniˑ
কিডনি	kiɖniˑ
কিতাব	kit̪ab
কিপটা	kiptaˑ
কিপটা	kipʈaˑ
কিরগিজস্তান	kiɹgist̪an
কিরগিজস্তান	kiɹgist̪ʰan
কিরগিজস্তান	kiɹgizst̪an
কিরগিজস্তান	kiɾgist̪an
কিরগিজস্তান	kiɾgist̪ʰan
কিরগিজস্তান	kiɾgizst̪an
কিরণ	kiɹon
কিরণ	kiɾon
কিরীট	kiɹit
কিরীট	kiɾiʈ
কিল	kil
কিল	kiːl
কিশমিশ	kismis
কিশমিশ	kiʃmiʃ
কিশোর	kiʃoɹ
কিশোর	kiʃoɾ
কিসমত	kismot̪
কিসিম	kisim
কিসিম	kiʃim
কিস্তিমাত	kist̪imat̪
কুঁকড়া	kukɹaˑ
কুঁকড়া	kũkɽaˑ
কুঁকড়া	kũkɾaˑ
কুঁচ	kutɕ
কুঁচ	kũtʃ
কুঁড়ে	kuɹeˑ
কুঁড়ে	kuɾɛˑ
কুঁড়ে	kũɽeˑ
কুঁড়ে	kũɾeˑ
কুঁড়ে	xuɹɛˑ
কুঁদা	kud̪aˑ
কুঁদা	kũd̪aˑ
কুঁদা	xud̪aˑ
কুইবেক	ku̯ibek
কুউ	ku̯uˑ
কুকুর	kukuɹ
কুকুর	kukuɾ
কুঠরি	kutʰoɹiˑ
কুঠরি	kuʈʰoɾiˑ
কুড়াল	kuɹal
কুড়াল	kuɽal
কুড়াল	kuɾal
কুড়ালি	kuɹaliˑ
কুড়ালি	kuɽaliˑ
কুড়ালি	kuɾaliˑ
কুড়ি	kuɹiˑ
কুড়ি	kuɽiˑ
কুড়ি	kuɾiˑ
কুড়িগ্রাম	kuɹigɹam
কুড়িগ্রাম	kuɽigɾam
কুড়িগ্রাম	kuɾigɾam
কুড়ুল	kuɹul
কুড়ুল	kuɽul
কুড়ুল	kuɾul
কুতুবখানা	kut̪ubkʰanaˑ
কুতুবখানা	xut̪ubxanaˑ
কুত্তা	kut̪ːaˑ
কুদেতা	kud̪et̪aˑ
কুবের	kubeɹ
কুবের	kubeɾ
কুমড়া	kumɹaˑ
কুমড়া	kumɽaˑ
কুমড়া	kumɾaˑ
কুমড়ো	kumɹoˑ
কুমড়ো	kumɽoˑ
কুমড়ো	kumɾoˑ
কুমার	kumaɹ
কুমার	kumaɾ
কুমারীত্ব	kumaɹit̪ːoˑ
কুমারীত্ব	kumaɾit̪ːoˑ
কুমির	kumiɹ
কুমির	kumiɾ
কুমীর	kumiɹ
কুমীর	kumiɾ
কুম্ভ	kumbʱoˑ
কুম্ভ	kumvoˑ
কুম্ভীর	kumbʱiɹ
কুম্ভীর	kumbʱiɾ
কুম্ভীর	kumviɹ
কুম্ভীর	kumviɾ
কুম্ভীর	kumβiɾ
কুম্ভীর	xumβiɹ
কুয়াশা	ku̯aʃaˑ
কুরআন	kuɹan
কুরআন	kuɾan
কুরসি	kuɾsi
কুলখানি	kulkʰaniˑ
কুষ্টিয়া	kuʂʈi̯aˑ
কুষ্ঠ	kustʰoˑ
কুষ্ঠ	kuʂʈʰoˑ
কুষ্ঠ	kuʃtʰoˑ
কুসুম	kuʃum
কুস্তি	kust̪iˑ
কুস্তুন্তুনিয়া	kust̪unt̪uni̯aˑ
কৃত্রিম	kɹit̪ːɹim
কৃত্রিম	kɾit̪ːɾim
কৃষি	kɹiʃiˑ
কৃষি	kɾiʃiˑ
কৃষিকার্য	kɹiʃikaɹdʑoˑ
কৃষিকার্য	kɾiʃikaɾdʒoˑ
কৃষ্ণ	kɾiʃnoˑ
কৃষ্ণ	xɾiʃnoˑ
কে	keː
কে	keˑ
কেঁচি	ketɕiˑ
কেঁচি	kɛt̪siˑ
কেঁচি	kɛ̃siˑ
কেঁচি	kẽtʃiˑ
কেঁচি	xɛsiˑ
কেঁচি	xɛ̃siˑ
কেঁচো	ketɕoˑ
কেঁচো	kẽtʃoˑ
কেউ	keoˑ
কেউ	keuˑ
কেউ	keʊ
কেও	keoˑ
কেও	keʊ
কেওড়া	kæo̯ɹaˑ
কেওড়া	kæo̯ɽaˑ
কেওড়া	kæo̯ɾaˑ
কেক	kek
কেক	keːk
কেচ্ছা	ketɕʰːaˑ
কেচ্ছা	ketʃʰːaˑ
কেচ্ছা	kɛt̪sːaˑ
কেচ্ছা	xɛsːaˑ
কেটলি	ketliˑ
কেটলি	keʈliˑ
কেতকী	ket̪okiˑ
কেতা	ket̪aˑ
কেদারা	ked̪aɾaˑ
কেন	kæn
কেন	kænoˑ
কেন	kæːn
কেন	kɛn
কেন	kɛnoˑ
কেন	kɛːn
কেন	xɛn
কেন	xɛnoˑ
কেনা	kena
কেনানো	kenano
কেনে	kene
কেন্দ্র	kend̪ːɾoˑ
কেবল	kebɔl
কেবল	kɛbol
কেবল	kɛbɔl
কেমন	kæmon
কেমন	kɛmon
কেয়ামত	keamɔt̪
কেরল	keɹɔl
কেরল	keɾɔl
কেরামত	keɹamɔt̪
কেরামত	keɾamɔt̪
কেরামতি	keɹamot̪iˑ
কেরামতি	keɾamot̪iˑ
কেরালা	keɹalaˑ
কেরালা	keɾalaˑ
কেরোসিন	keɹoʃin
কেরোসিন	keɾoʃin
কেল্লা	kelːaˑ
কেল্লাফতে	kelːafot̪eˑ
কেষ্ট	keʂʈo
কেষ্টবিষ্টু	keʂʈobiʂʈuˑ
কৈ	koi̯
কোকিল	kokil
কোটি	koʈ̟iˑ
কোঠা	kotʰaˑ
কোঠা	koʈʰaˑ
কোণ	kon
কোণ	koːn
কোত	kot̪
কোথাও	kot̪ʰao̯
কোথায়	kot̪ʰae̯
কোদাল	kod̪äˑl
কোদালি	kod̪aliˑ
কোন	kon
কোন	koːn
কোনখানে	konkʰaneˑ
কোনা	kona
কোনো	konoˑ
কোমর	komoɹ
কোমর	komoɾ
কোলবালিশ	kolbaliʃ
কোশ	koːs̠
কোশেশ	koʃeʃ
কোষ	koʃ
কোষ	koːʃ
কোষ্টা	koʂʈaˑ
কোহিনূর	kohinuɹ
কোহিনূর	kohinuɾ
কৌঁসুলি	kou̯ʃuliˑ
কৌঁসুলি	koũʃuliˑ
কৌমুদী	kou̯mud̪iˑ
কৌলিক	kou̯liˑk
কৌশল	kou̯ʃɔl
কৌশল	xou̯ʃɔl
ক্যা	kæː
ক্যা	kæˑ
ক্যা	kɛː
ক্যা	kɛˑ
ক্যাঁ	kɛ̃ˑ
ক্যাঁ	xɛ̃ˑ
ক্যাঁয়চি	kæ̃e̯siˑ
ক্যাঁয়চি	kæ̃e̯tʃiˑ
ক্যাঁয়চি	kɛe̯tɕiˑ
ক্যাঁয়চি	kɛe̯t̪siˑ
ক্যাঁয়চি	xɛe̯siˑ
ক্যানোপাস	kænopaʃ
ক্যানোপাস	kɛnopaʃ
ক্যান্ডি	kæɳɖiˑ
ক্যান্ডি	kɛndiˑ
ক্যালগারি	kælgaɾiˑ
ক্যালগারি	kɛlgaɹiˑ
ক্যালিফর্নিয়া	kælifɔɾni̯aˑ
ক্যালিফর্নিয়া	kɛlifɔɹni̯aˑ
ক্রমাগত	kɹɔmagɔt̪oˑ
ক্রমাগত	kɾɔmagɔt̪oˑ
ক্রিকেট	kɹiket
ক্রিকেট	kɹikeʈ
ক্রিকেট	kɾiket
ক্রিকেট	kɾikeʈ
ক্রিয়া	kɹi̯aˑ
ক্রিয়া	kɾi̯aˑ
ক্রিয়াপদ	kɹi̯apɔd̪
ক্রিয়াপদ	kɾi̯apɔd̪
ক্রুশ	kɹuʃ
ক্রুশ	kɾuʃ
ক্রুশ	kɾuːʃ
ক্রোশ	kɾoːs̠
ক্লাস	kläːs̠
ক্ষতি	kʰot̪iˑ
ক্ষতিকর	kʰot̪ikɔɹ
ক্ষতিকর	kʰot̪ikɔɾ
ক্ষত্রিয়	kʰot̪ːɹi̯oˑ
ক্ষত্রিয়	kʰot̪ːɾi̯oˑ
ক্ষমতা	kʰɔmot̪aˑ
ক্ষমতাশালী	kʰɔmot̪aʃaliˑ
ক্ষমা	kʰɔmaˑ
ক্ষার	kʰaɹ
ক্ষার	kʰaɾ
ক্ষার	kʰaːɾ
ক্ষারমৃত্তিকা	kʰaɹɔmɹit̪ːikaˑ
ক্ষারমৃত্তিকা	kʰaɾɔmɾit̪ːikaˑ
ক্ষীর	kʰiɹ
ক্ষীর	kʰiɾ
ক্ষীর	kʰiːɾ
ক্ষুদ্র	kʰud̪ːɾoˑ
ক্ষুধা	kʰud̪aˑ
ক্ষুধা	kʰud̪ʱaˑ
ক্ষুধার্ত	kʰud̪aɾt̪oˑ
ক্ষুধার্ত	kʰud̪ʱaɾt̪oˑ
ক্ষেত্র	kʰet̪ːɹoˑ
ক্ষেত্র	kʰet̪ːɾoˑ
ক্ষেপ	kʰep
ক্ষেপ	kʰeːp
ক্ষ্বীর	kʰiɹ
ক্ষ্বীর	kʰiɾ
ক্ষ্বীর	kʰiːɾ
কৎবেল	kɔt̪bel
খঞ্জর	kʰɔndʑɔɹ
খঞ্জর	kʰɔndʒɔɾ
খড়	kʰɔɽ
খড়্গ	kʰɔɖgoˑ
খড়্গ	kʰɔɹgoˑ
খড়্গ	kʰɔɽgoˑ
খড়্গ	kʰɔɾgoˑ
খড়্গ	kʰɔɾgɔˑ
খড়্গ	xɔɹgɔˑ
খণ্ড	kʰɔndoˑ
খণ্ড	kʰɔɳɖoˑ
খতম	kʰɔt̪om
খত্তম	kʰɔt̪ːom
খত্তম	xɔt̪ːom
খত্ম	kʰɔt̪ːoˑ
খত্ম	xɔt̪ːoˑ
খন্দকার	kʰɔnd̪okaɹ
খন্দকার	kʰɔnd̪okaɾ
খবর	kʰɔboɹ
খবর	kʰɔboɾ
খবরদার	kʰɔboɹd̪aɹ
খবরদার	kʰɔboɾd̪aɾ
খবিশ	kʰobiʃ
খবীস	kʰɔ̝biˑs
খয়রাত	kʰɔe̯ɹat̪
খয়রাত	kʰɔe̯ɾat̪
খয়ের	kʰɔeɹ
খয়ের	kʰɔeɾ
খরগোশ	kʰɔɹgos
খরগোশ	kʰɔɹgoʃ
খরগোশ	kʰɔɾgos
খরগোশ	kʰɔɾgoʃ
খরগোশ	xɔɹgos
খরচ	kʰɔɹotɕ
খরচ	kʰɔɾotʃ
খসরু	kʰosɾuˑ
খসা	kʰɔʃaˑ
খাঁচা	kʰatɕaˑ
খাঁচা	kʰãtʃaˑ
খাঁটি	kʰadiˑ
খাঁটি	kʰatiˑ
খাঁটি	kʰaʈiˑ
খাঁটি	kʰãʈiˑ
খাঁটি	xadiˑ
খাঁটি	xatiˑ
খাঁড়া	kʰaɹaˑ
খাঁড়া	kʰaɾaˑ
খাঁড়া	kʰãɽaˑ
খাঁড়া	kʰãɾaˑ
খাঁড়া	xaɹaˑ
খাঁড়ি	kʰaɹiˑ
খাঁড়ি	kʰãɽiˑ
খাঁড়ি	kʰãɾiˑ
খাই	kʰai̯
খাইশ	kʰai̯ʃ
খাওয়া	kʰao̯aˑ
খাওয়ানো	kʰawano
খাগড়া	kʰagɹaˑ
খাগড়া	kʰagɽaˑ
খাগড়া	kʰagɾaˑ
খাজনা	kʰadʑnaˑ
খাজনা	kʰadʒnaˑ
খাজনা	kʰaznaˑ
খাজা	kʰadʑaˑ
খাজা	kʰad̪zaˑ
খাজা	kʰadʒaˑ
খাজা	xazaˑ
খাট	kʰäːʈ̟
খাটা	kʰataˑ
খাটা	kʰaʈaˑ
খাটুলি	kʰatuliˑ
খাটুলি	kʰaʈuliˑ
খাট্টা	kʰatːaˑ
খাট্টা	kʰaʈːaˑ
খাড়া	kʰaɹaˑ
খাড়া	kʰaɽaˑ
খাড়া	kʰaɾaˑ
খাড়ি	kʰaɹiˑ
খাড়ি	kʰaɽiˑ
খাড়ি	kʰaɾiˑ
খাতা	kʰat̪aˑ
খাতির	kʰat̪iɹ
খাতির	kʰat̪iɾ
খাদেম	kʰad̪em
খাদ্য	kʰad̪ːɔˑ
খাদ্য	xad̪ːɔˑ
খান	kʰan
খান	kʰaːn
খানকি	kʰankiˑ
খানদান	kʰand̪an
খানা	kʰanaˑ
খাবার	kʰabaɹ
খাবার	kʰabaɾ
খাবার	xabaɹ
খামচান	kʰamtɕan
খামচান	kʰamtʃan
খামাখা	kʰamakʰaˑ
খায়েশ	kʰae̯ʃ
খারাপ	kʰaɹap
খারাপ	kʰaɾap
খারাব	kʰaɹab
খারাব	kʰaɾab
খাল	kʰal
খালি	kʰaliˑ
খালেদ	kʰaled̪
খাসী	kʰaʃiˑ
খাহেশ	kʰae̯ʃ
খাহেশ	kʰaheʃ
খিড়কি	kʰiɹɔkiˑ
খিড়কি	kʰiɽɔkiˑ
খিড়কি	kʰiɾɔkiˑ
খিদা	kʰid̪aˑ
খির	kʰiɹ
খির	kʰiɾ
খির	kʰiːɾ
খীর	kʰiɹ
খীর	kʰiɾ
খীর	kʰiːɾ
খুজুটিপাড়া	kʰudʑutipaɹaˑ
খুজুটিপাড়া	kʰudʒuʈipaɽaˑ
খুজুটিপাড়া	kʰudʒuʈipaɾaˑ
খুব	kʰub
খুব	kʰuːb
খুবসুরত	kʰubsuɹɔt̪
খুবসুরত	kʰubsuɾɔt̪
খুবসুরতি	kʰubʃuɹot̪iˑ
খুবসুরতি	kʰubʃuɾot̪iˑ
খুশকি	kʰuʃkiˑ
খুশবু	kʰuʃbuˑ
খুশি	kʰuʃiˑ
খুষি	kʰuʃi
খেঁচা	kʰetɕaˑ
খেঁচা	kʰẽtʃaˑ
খেই	kʰei̯
খেজুর	kʰedʑuɾ
খেজুর	kʰedʒuɾ
খেত	kʰet̪
খেদমত	kʰed̪mɔt̪
খেয়া	kʰeaˑ
খেয়ানত	kʰeanɔt̪
খেয়াল	kʰeal
খেয়াল	kʰæal
খেয়াল	kʰɛal
খেলনা	kʰælnaˑ
খেশী	kʰeʃiˑ
খেশী	kʰɛʃiˑ
খেশী	xɛʃiˑ
খোঁজা	kʰodʑaˑ
খোঁজা	kʰõdʑaˑ
খোঁজা	kʰõdʒaˑ
খোঁড়া	kʰoɽ̟a
খোঁড়ানো	kʰoɽ̟ano
খোঁপা	kʰõpa
খোদ	kʰod̪
খোদ	xod̪
খোয়াব	kʰo̯ab
খোয়াব	xo̯ab
খোলা	kʰola
খোশ	kʰoʃ
খোশ	kʰoːʃ
খ্বাইশ	kʰai̯ʃ
খ্বাব	kʰab
খ্বাব	kʰaːb
খ্রিস্ট	kʰɹistoˑ
খ্রিস্ট	kʰɹiʃtoˑ
খ্রিস্ট	kʰɾiʂʈoˑ
খ্রিস্টধর্ম	kʰɹistɔd̪ʱɔɹmoˑ
খ্রিস্টধর্ম	kʰɾisʈɔd̪ʱɔɾmoˑ
খ্রিস্টধর্ম	kʰɾiʂʈɔd̪ʱɔɾmoˑ
খ্রিস্টান	kʰɹistan
খ্রিস্টান	kʰɹiʃtan
খ্রিস্টান	kʰɾiʂʈan
খৎম	kʰɔt̪m
খৎম	kʰɔt̪moˑ
খৎম	xɔt̪m
খৎম	xɔt̪moˑ
গ	gɔˑ
গগন	gɔgon
গঙ্গা	gɔŋgaˑ
গঙ্গোপাধ্যায়	gɔŋgopad̪ʱːae̯
গজল	gɔdʑol
গজল	gɔdʒol
গজল	gɔzol
গঞ্জ	gɔndʑ
গঞ্জ	gɔndʒ
গঠন	gɔtʰɔn
গঠন	gɔʈʰɔn
গঠিত	gɔtʰit̪oˑ
গঠিত	gɔʈʰit̪oˑ
গড়	gɔɹ
গড়	gɔɽ
গড়ন	gɔɹon
গড়ন	gɔɽon
গড়া	gɔɹaˑ
গড়া	gɔɽaˑ
গড়া	gɔɾaˑ
গণ	gɔn
গণতন্ত্র	gɔnot̪ɔnt̪ːɹoˑ
গণতন্ত্র	gɔnot̪ɔnt̪ːɾoˑ
গণতান্ত্রিক	gɔnot̪ant̪ːɹik
গণতান্ত্রিক	gɔnot̪ant̪ːɾik
গণনা	gɔnonaˑ
গণপ্রজাতন্ত্রী	gɔnopɹodʑat̪ɔnt̪ːɹiˑ
গণপ্রজাতন্ত্রী	gɔnopɾodʒat̪ɔnt̪ːɾiˑ
গণহত্যা	gɔnohot̪ːaˑ
গণেশ	gɔneʃ
গণ্ডার	gɔndaɹ
গণ্ডার	gɔɳɖaɾ
গতি	got̪iˑ
গতিবেগ	gɔt̪ibeg
গদ্দার	gɔd̪ːaɹ
গদ্দার	gɔd̪ːaɾ
গন্ডার	gɔndaɹ
গন্ডার	gɔɳɖaɾ
গন্ধ	gɔnd̪ʱoˑ
গপ	gɔp
গভীর	gobʱiɹ
গভীর	gobʱiɾ
গভীর	goviɹ
গভীর	goviɾ
গম	gɔm
গয়না	gɔe̯naˑ
গরম	gɔɹom
গরম	gɔɾom
গরমকাল	gɔɹomkal
গরমকাল	gɔɾomkal
গরিলা	goɹilaˑ
গরিলা	goɾilaˑ
গরীব	goɹib
গরীব	goɾib
গরু	goɹuˑ
গরু	goɾuˑ
গরুড়	goɾuɹ
গরুড়	goɾuɽ
গর্ত	gɔɾt̪oˑ
গর্দান	gɔɹd̪an
গর্দান	gɔɾd̪an
গলা	gɔlaˑ
গলি	goliˑ
গল্প	gɔlpoˑ
গহনা	gɔhonaˑ
গা	gaˑ
গাঁ	gaˑ
গাঁ	gãˑ
গাঁইয়া	gai̯aˑ
গাঁইয়া	gãi̯aˑ
গাঁও	gao̯
গাঁও	gaõ̯ˑ
গাঁও	gãoˑ
গাঁওয়ালী	gao̯aliˑ
গাঁওয়ালী	gão̯aliˑ
গাঁজা	gadʑaˑ
গাঁজা	gandʑaˑ
গাঁজা	gandʒaˑ
গাঁজা	gãdʒaˑ
গাঁট	gat
গাঁট	gãʈ
গাঁথা	gat̪ʰaˑ
গাঁথা	gãt̪ʰaˑ
গাই	gai̯
গাওয়া	gao̯aˑ
গাঙ্গেয়	gaŋgeoˑ
গাছ	gas
গাছ	gatɕ
গাছ	gatʃ
গাজর	gadʑoɹ
গাজর	gadʒoɾ
গাজী	gadʑiˑ
গাজী	gadʒiˑ
গাড়া	gaɹaˑ
গাড়া	gaɽaˑ
গাড়া	gaɾaˑ
গাড়ি	gaɹiˑ
গাড়ি	gaɽiˑ
গাড়ি	gaɾiˑ
গাড়ী	gaɽ̟i
গাঢ়	gaɹoˑ
গাঢ়	gaɽoˑ
গাঢ়	gaɽʱoˑ
গাঢ়	gaɾhoˑ
গাত্র	gat̪ɹɔˑ
গাত্র	gat̪ɾɔˑ
গাত্র	gat̪ːɹoˑ
গাত্র	gat̪ːɾoˑ
গান	gan
গান্ধী	gand̪ʱiˑ
গাব	gab
গাভিন	gabʱin
গাভিন	gavin
গাভিন	gaβin
গামছা	gamtɕʰaˑ
গামছা	gamtʃʰaˑ
গামলা	gamlaˑ
গায়ক	gae̯ɔk
গারবা	gaɹbaˑ
গারবা	gaɾbaˑ
গাল	gal
গালি	galiˑ
গালিচা	galitɕaˑ
গালিচা	galitʃaˑ
গিজার	gid̪ʒaɾ
গিজার	gizaɾ
গিটার	gitaɹ
গিটার	giʈaɾ
গির্জা	giɹdʑaˑ
গির্জা	giɾdʒaˑ
গু	guˑ
গুঁড়া	gũɽa
গুগল	gugloˑ
গুগল	gugɔl
গুজরাটি	gudʑɹatiˑ
গুজরাটি	gudʒɾaʈiˑ
গুজরাত	gudʑɹat̪
গুজরাত	gudʒɾat̪
গুঞ্জা	gundʑaˑ
গুঞ্জা	gundʒaˑ
গুণা	gunaˑ
গুদাম	gud̪am
গুন	gun
গুনাগার	gunagaɹ
গুনাগার	gunagaɾ
গুনাহ	gunaˑ
গুপ্ত	gupt̪oˑ
গুফা	gufaˑ
গুম	gum
গুমোট	gumot
গুমোট	gumoʈ
গুম্ফা	gumfaˑ
গুরু	guɹuˑ
গুরু	guɾuˑ
গুরুত্ব	guɹut̪ːoˑ
গুরুত্ব	guɾut̪ːoˑ
গুরুত্বপূর্ণ	guɹut̪ːɔpuɹnoˑ
গুরুত্বপূর্ণ	guɾut̪ːɔpuɾnoˑ
গুল	gul
গুলজার	gulzaɹ
গুলজার	gulzaɾ
গুলদাস্তা	gul̪d̪ast̪aˑ
গুলবনফ্‌শা	gulbɔnofʃaˑ
গুলশান	gulʃan
গুলি	guliˑ
গুলিস্তাঁ	gulist̪aˑ
গুলিস্তাঁ	gulist̪ãˑ
গুলিস্তান	gulist̪an
গুহা	guhaˑ
গৃহ	gɹihoˑ
গৃহ	gɾihoˑ
গেঁয়ো	geoˑ
গেঁয়ো	gẽe̯oˑ
গেঞ্জি	gendʑiˑ
গেঞ্জি	gendʒiˑ
গেঞ্জি	genziˑ
গেরাম	geɹam
গেরাম	geɾam
গেলা	gela
গৈরিক	goi̯ɹik
গৈরিক	goi̯ɾik
গোঁড়	gõɹ
গোঁড়	gõɽ
গোঁয়ানো	go̯anoˑ
গোঁয়ানো	gõanoˑ
গোঁষা	goʃaˑ
গোঁষা	gõʃaˑ
গোঁসা	goʃaˑ
গোঁসা	gõʃaˑ
গোচ্ছা	gost̪s̪aˑ
গোচ্ছা	gosːaˑ
গোচ্ছা	gotɕʰːaˑ
গোচ্ছা	got̪sːaˑ
গোচ্ছা	gotʃʰːaˑ
গোছ	gos
গোঠ	gotʰ
গোঠ	goʈ
গোনা	gona
গোপন	gopon
গোপন	gopɔn
গোপাল	gopal
গোফা	gofäˑ
গোফা	gopʰäˑ
গোফা	goɸäˑ
গোবর	gɔboɹ
গোবর	gɔboɾ
গোমূত্র	gomut̪ːɹoˑ
গোমূত্র	gomut̪ːɾoˑ
গোয়া	go̯aˑ
গোয়াল	go̯al
গোয়ালা	go̯alaˑ
গোয়েন্দা	goend̪aˑ
গোরু	goɹuˑ
গোরু	goɾuˑ
গোল	gol
গোলন্দাজ	golɔnd̪adʑ
গোলন্দাজ	golɔnd̪adʒ
গোলসাগু	golʃaguˑ
গোলাপ	golap
গোলাপজল	golabdʑɔl
গোলাপজল	golabdʒɔl
গোলাপজল	golapdʑɔl
গোলাপজল	golapdʒɔl
গোলাম	golam
গোল্লা	golːaˑ
গোশত	gost̪oˑ
গোশত	goʃt̪
গোশত	goʃt̪oˑ
গোশালা	goʃalaˑ
গোষ্ঠী	gostʰiˑ
গোষ্ঠী	goʂʈʰiˑ
গোষ্ঠী	goʃtʰiˑ
গোসল	gosol
গোসল	gosul
গোসল	gotɕʰol
গোসল	gotʃʰol
গোসল	goʃol
গোসাঁই	goʃai̯
গোসাঁই	goʃãiˑ
গোস্বা	gosːaˑ
গোস্বা	goʃːaˑ
গোস্বামী	goʃːamiˑ
গোস্যা	gosːaˑ
গোস্যা	goʃːaˑ
গোস্‌সা	gosːaˑ
গোস্‌সা	goʃːaˑ
গোহাল	gohal
গৌড়	gou̯ɹ
গৌড়	gou̯ɽ
গৌতম	gou̯t̪om
গৌরব	gou̯ɹɔb
গৌরব	gou̯ɾɔb
গ্যাস	gæʃ
গ্যাস	gɛʃ
গ্রন্থকার	gɹont̪ʰokaɹ
গ্রন্থকার	gɾont̪ʰokaɾ
গ্রন্থাগার	gɹont̪ʰagaɹ
গ্রন্থাগার	gɾont̪ʰagaɾ
গ্রন্থি	gɹɔnt̪ʰiˑ
গ্রন্থি	gɾɔnt̪ʰiˑ
গ্রহ	gɹohoˑ
গ্রহ	gɾohoˑ
গ্রাম	gɹam
গ্রাম	gɾam
গ্রীষ্ম	gɹiʃːoˑ
গ্রীষ্ম	gɾiʃːoˑ
গ্রেপ্তার	gɹept̪aɹ
গ্রেপ্তার	gɾept̪aɾ
গ্রেফতার	gɹeft̪aɹ
গ্রেফতার	gɾeft̪aɾ
গ্লাস	glaʃ
গ্লোব	glob
ঘটা	gʱɔʈa
ঘটানো	gʱɔʈano
ঘড়ি	gʱoɹiˑ
ঘড়ি	gʱoɽiˑ
ঘড়ি	gʱoɾiˑ
ঘণ্টা	gʱɔntaˑ
ঘণ্টা	gʱɔɳʈaˑ
ঘনিষ্ঠ	gʱonistʰoˑ
ঘনিষ্ঠ	gʱoniʂʈʰoˑ
ঘনিষ্ঠ	gʱoniʃtʰoˑ
ঘর	gʱɔɾ
ঘষা	gʱɔʃaˑ
ঘাঁটা	gʱãʈ̟ɑˑ
ঘাড়	gʱaɹ
ঘাড়	gʱaɽ
ঘাবড়ান	gʱabɹanoˑ
ঘাবড়ান	gʱabɽanoˑ
ঘাবড়ান	gʱabɾanoˑ
ঘাবড়ানো	gʱabɹanoˑ
ঘাবড়ানো	gʱabɽanoˑ
ঘাবড়ানো	gʱabɾanoˑ
ঘাম	gʱam
ঘামা	gʱama
ঘামানো	gʱamano
ঘি	gʱiˑ
ঘুচা	gʱutɕaˑ
ঘুচা	gʱutʃaˑ
ঘুড়ি	gʱuɹiˑ
ঘুড়ি	gʱuɽiˑ
ঘুড়ি	gʱuɾiˑ
ঘুমানো	gʱumano
ঘৃণা	gʱɹinaˑ
ঘৃণা	gʱɾinaˑ
ঘেঁষা	gʱæ̃ʃaˑ
ঘেঁষা	gʱɛʃaˑ
ঘেরা	gʱeraˑ
ঘোঙ্গা	gʱoŋgäˑ
ঘোড়া	gʱoɹaˑ
ঘোড়া	gʱoɽaˑ
ঘোড়া	gʱoɾaˑ
ঘোমটা	gʱomtaˑ
ঘোমটা	gʱomʈaˑ
ঘোরা	gʱora
ঘোষ	gʱoʃ
ঘোষ	gʱoːs̠
ঘোষাল	gʱos̠äˑl
ঘোষাল	gʱoʃal
ঙ	ŋoˑ
চ	tɕɔː
চ	tɕɔˑ
চ	tʃɔˑ
