0k8	ʊkːɑː
ఆనందంగా	ɑːn̪ɐɳɖəŋgɑː
ఆనందాన్ని	ɑːn̪ɐn̪d̪ɐn̪i
ఆనందించండి	ɑːn̪andiːɳʈi
ఆనందించారు	ɑːn̪andiːntʃɑːruː
ఆనందించే	ɑːn̪andiːtʃ̑e
ఆనందిస్తారని	ɑːn̪andíst̪aːrni
ఆనందోత్సాహాలతో	ɑːn̪ɐn̪d̪oːʈʂɑːhɑːl̪ɑːt̪o
ఆనర్	ɑːnɐr
ఆన్	ɑːn
ఆన్లైన్	ɑːn̪ɭeɪn̪
ఆన్సైట్	ɑːn̪s̪ejʈ
ఆపటం	əpaʈʌm
ఆపడానికి	əːpɐːd̪iː
ఆపండి	ɑːpɐɳɖi
ఆపదు	ɑːpɐɖu
ఆపమని	əːpamani
ఆపరేటర్లు	ɑːpɾɛːt̪eːrɑː
ఆపరేట్	əːpɾeːt̪eː
ఆపరేషన్	ɑːpɐɾɐʃiːn
ఆపరేషన్స్	ɑːpɐɾɛʃʊns
ఆపలేదు	ɑːpɐleːdu
ఆపాదించవచ్చు	əːpaːdiɳtʃoːtsu
ఆపి	əpi
ఆపిన	əpiːn̪
ఆపిల్	əpiːl
ఆపివేయండి	əːpivɛjɐɳɖi
ఆపు	əpu
ఆపేక్ష	əːpeːkʂ
ఆపేక్షపూరిత	əːpeːkʂɐpuːɾit̪
ఆపై	əpaɪ
ఆప్షన్	ɑːpʂɳ
ఆఫర్	ɑːfɛɾ
ఆఫీసర్	ɔːpʰiːsɛːr
ఆఫీసు	ɔːfɪːsuː
ఆఫీస్	ɔːfis
ఆఫ్	ɔːpʰ
ఆఫ్గనిస్తాన్	ɑːfgan̪iʈʌːʈʌːn̪ʌʈʌːn̪
ఆఫ్టర్నూన్	ɑːft̪ɾn̪uːn̪
ఆఫ్రికా	ɑːpʰɾikɑː
ఆఫ్లైన్	ɔːfɭeɪn
ఆఫ్షోర్	ɔːfʂoːr
ఆఫ్స్	ɔːfʃ
ఆభరణాలలో	ɑːbʰɾɐn̪iɭɛndɾo
ఆముదము	aːmudamu
ఆమె	əːme
ఆమెకు	əːmeːku
ఆమెను	əːmeːnu
ఆమెన్	əːmeːn
ఆమోదం	əːmoːɖʌm
ఆమోదయోగ్యమైన	əːmoːɖajgʲɪmɛi̯n
ఆమోదించింది	əːmoːɖiɳdi
ఆమ్	ɑːm
ఆయన	ɑːjən
ఆయనకు	ɑːjəngu
ఆయిల్	ɑːjil
ఆయుధ	ɑːjuɖʌ
ఆయుధం	ɑːjuɖʌm
ఆయుధంగా	ɑːjuːɖəŋɑ
ఆయుధములతో	ɑːjuːðamuɭt̪oː
ఆయుధరూపంగల	ɑːjuːd̪ʱər̪uːpaŋgɑl̪
ఆయుధాలను	ɑːjuːðʌmʌlʊ
ఆయుధాలు	ɑːjuːd̪ʌːlu
ఆయుర్దాయం	ɑːjuɾd̪aːm
ఆయె	ɑːje
ఆరబెట్టేది	ɑːɾabɛʈːedi
ఆరంభంలో	ɑːrɪmbʰɒːn̪loː
ఆరంభించు	aːɾambʱiɲtʃu
ఆరవ	ɑːɾʌʋ
ఆరాటపడుతుంది	ɑːɾɑːʈəpɐɖʋʊndu
ఆరాధన	ɑːɾɑːðɐn̪
ఆరాధిస్తాను	ɑːɾɑːd̪ʱist̪ɑːnu
ఆరు	əru
ఆరోగ్యం	ɑːɾigʲʊd̪ʑam
ఆరోగ్యకరమైన	ɑːɾigʲɪkʌɾamɛi̯n
ఆరోగ్యంగా	ɑːɾigʲʊɳgɑ
ఆరోగ్యానికి	ɑːɾigʲʊɳkiː
ఆరోపణలు	aroːpɐɳɭu
ఆరోపించారు	aroːpɪŋkuː
ఆరోపిస్తున్నారు	aroːpist̪un̪d̪u
ఆర్	ɑːr
ఆర్కిటెక్ట్	ɑːɾkʲitɛkʈʰ
ఆర్చ్	ɑːɾtʃ
ఆర్చ్-ఏంజెల్	ɑːɾtʃʰeːɳgeːl̪
ఆర్ట్	ɑːɾʈ
ఆర్డర్	ɑːɾɖəɾ
ఆర్డినెన్స్	ɑːɾʈiːnɛnːʌs
ఆర్డినేట్	ɑːɾʈiːn̪eːɖɛː
ఆర్థిక	ɑːɾd̪ʱik
ఆర్ధిక	ɑːɾd̪ʱik
ఆర్భాటము	ɑːr̪bʌːʈʌmʌ
ఆర్మగెడాన్	ɑːɾmgeɖɑːn
ఆర్మర్	ɑːɾʋɑːɾ
ఆర్మీ	ɑːɾmiː
ఆర్మ్	ɑːɾm
ఆర్మ్స్	ɑːɾʋs
ఆర్శములు	ɑːɻʃamulu
ఆర్సీనియో	ɑːɾs̪iːɳijoː
ఆలకించు	aːlakiɲtʃu
ఆలము	aːlamu
ఆలయం	ɑːl̪aːj̪am
ఆలయ	ɑːlaj
ఆలయము	aːlajamu
ఆలయానికి	ɑːlajɑ̃ŋki
ఆలయాలు	ɑːlajɑːlu
ఆలవాలము	aːlaʋaːlamu
ఆలస్యం	ɑːlɑːsjɑːm
ఆలస్యంగా	ɑːlɐsʲɳgɑː
ఆలస్యమయ్యింది	ɑːlɐsjɐmijːindi
ఆలస్యము	aːlasjamu
ఆలాపము	aːlaːpamu
ఆలింగనం	ɑːliŋgan̪u
ఆలిస్	ɑːlɪs
ఆలు	aːlu
ఆలోచన	aːloːtʃana
ఆలోచన	aloːtʃanə
ఆలోచనను	aloːtʃanːu
ఆలోచనలను	aloːtʃan̪lan̪u
ఆలోచనలు	aːloːtʃanalu
ఆలోచనలు	aloːtʃən̪ɭu
ఆలోచనాపరులు	aloːtʃanɑːpɑɾulu
ఆలోచించక	aloːtʃiɲːgɑ
ఆలోచించడం	aloːtʃiɳd̪aːm
ఆలోచించడాన్ని	aloːtʃiɳtɕaːnd̪aːni
ఆలోచించండి	aloːtʃiɳʈi
ఆలోచించలేదు	aloːtʃiɳtʃaledu
ఆలోచించవచ్చు	ɑːlɔːtʃiɳtʃɔːsɔː
ఆలోచించాలి	aloːtʃiɳʈali
ఆలోచించి	aloːtʃintʃi
ఆలోచించిన	aloːtʃiɕiɳ
ఆలోచించినట్లు	aloːtʃiɕiɳʈugu
ఆలోచించు	aːloːtʃiɲtʃu
ఆలోచిస్తాడు	aloːtʃiʰt̪aːdu
ఆలోచిస్తుంటారు	aloːtʃiʰt̪un̪t̪aːru
ఆలోచిస్తున్న	aloːtʃiʰstan̪ː
ఆలోచిస్తున్నాను	aloːtʃiʰstanːanʊ
ఆలోచిస్తున్నాము	aloːtʃiʰstanːamu
ఆలోచిస్తున్నారని	aloːtʃiʰstan̪ːaːɾani
ఆలోచిస్తున్నారా	aloːtʃiʰstanːʊːraː
ఆలోచిస్తూ	aloːtʃiːst̪uː
ఆలోచిస్తే	aloːtʃiːst̪eː
ఆల్	ɑːl
ఆల్డ్	ɑːlɖ
ఆల్ఫా	ɑːl̪ɸɑ
ఆల్ఫోన్సే	ɑːl̪ɸoːns̪eː
ఆల్ఫోన్స్	ɑːl̪ɸoːns̪
ఆల్బర్ట్	ɑːlbɑːrt̪
ఆల్బ్రైట్	ɑːlbɾeɪʈ
ఆల్మైటీ	ɑːlmɛɪʈːiː
ఆవరణం	ɑːʋɑːɾɑːɳɑːm
ఆవరిస్తుంది	ɑːʋɐɾɪʈʈʊd̪u
ఆవాలు	ɑːʋɑːlu
ఆవిధంగా	ɑːʋid̪ʱɑːŋgɑ
ఆవిర్భవించినది	ɑːʋiɾbʱɑɾiɳɖi
ఆవిష్కరించారు	ɑːʋiʂkɐɾiŋgu
ఆవేశము	aːʋeːʃamu
ఆవ్	ɑːʋ
ఆశ	aːʃa
ఆశ	əːʃ
ఆశతో	ɑːʃt̪o
ఆశయం	ɑːʃɑːm
ఆశలు	əːʃlʊ
ఆశాజనక	ɑːʃɑːdʒənɑk
ఆశించారు	əːʃiˈnadu
ఆశించు	aːʃiɲtʃu
ఆశించే	əːʃiɳge
ఆశిస్తారో	əːʃɪstaːroː
ఆశిస్తున్నాము	əʃiʈunːamu
ఆశీస్సు	aːʃiːsːu
ఆశ్చర్యం	ɑːʃtʃɐɾɪm
ఆశ్చర్యకరమైన	ɑːʃtʃɐɾjɐkɐɾɐmɛjɳ
ఆశ్చర్యపడి	əːʃtɕaɾjəpaɖi
ఆశ్చర్యపడిన	əːʃtɕarjəpəɖiɳ
ఆశ్చర్యపోతాడు	əːʃtɕarjəpoːt̪aːɖu
ఆశ్చర్యము	aːʃtɕaɾʲmu
ఆశ్చర్యానికి	aːʃtɕaɾjɑːŋki
ఆశ్చర్యాన్ని	əːʃtʃɐɾjon̪ːi
ఆశ్రమంలో	ɑːʃrɐmɳoː
ఆశ్రయం	əːʃrjəmoː
ఆశ్రయించాల్సిన	əːʃrɪɳtɕɐːl̪siɳ
ఆశ్వయుజం	aːʃʋajudʒam̃
ఆశ్వయుజము	aːʃʋajudʒamu
ఆషాఢము	aːʂaːɖʱamu
ఆషెర్	ɑːʃeːr
ఆసక్తి	ɔːsgɐʈi
ఆసక్తికరంగా	ɔːsɐkt̪ikɐrɐŋgɑ
ఆసక్తికరమైన	ɔːsɐkt̪ikɐɾɐmeɪn̪
ఆసక్తులను	ɔːsgɐʈʊnʊ
ఆసనము	aːsanamu
ఆసియన్లు	ɑːsiːjan̪ɭu
ఆసియా	ɑːsiːjɑː
ఆసుపత్రి	ɔːsuɾi
ఆసుపత్రికి	ɔːsuɾiki
ఆసుపత్రిలో	ɔːsuɾiːloː
ఆస్కార్	ɑːskaːr
ఆస్ట్రిడ్	ɔːstɾiːɖ
ఆస్ట్రోనాట్	ɔːst̪roːnɑːʈː
ఆస్తి	ɑːsʈi
ఆస్తుల	ɑːst̪uɭ
ఆస్తులు	ɑːs̪t̪ulu
ఆస్తుల్లో	ɑːsʈul̪ːo
ఆస్త్మా	əːstma
ఆస్థులను	ɔːs̪t̪ʰuːn̪u
ఆస్వాదించగల	ɔːsʋɑːdiɳgɐl
ఆస్వాదించడమే	ɔːsʋaːdiɳʈaːd̪aːmeː
ఆస్వాదించడానికి	ɔːsʋɑːdiɳdʒæːkiː
ఆహరం	ɑːɦɾɑm
ఆహా	ɑːhɑː
ఆహార	ɑːɦɑːɾ
ఆహారం	ɑːɦɑːɾɑːm
ఆహారపదార్ధాలు	ɑːɦaːɾəpɐd̪aːɾd̪ɑːlu
ఆహారపుఅలవాట్లు	ɑːɦɑːɾʌpʌlɑʋɑːʈːu
ఆహారంలో	ɑːɦaːɾɔːn̪d̪oː
ఆహ్	ɑːh
ఆహ్లాదకరమైన	ɑːɦl̪aːd̪kɐɾɐmeɪn̪
ఆహ్లాదంగా	ɑːɦl̪aːd̪əŋgɑ
ఆహ్లాదముగా	ɑːɦl̪ɑːd̪ʌmʌgɑ
ఆహ్వానం	ɑːɦʋɑːnuː
ఆహ్వానాన్ని	ɑːɦʋaːnɑːmni
ఆహ్వానించడానికి	ɑːɦʋaːnintʃaːdʑiː
ఆహ్వానించండి	ɑːʋɑːnintʃɑːɳɖi
ఆహ్వానించబడ్డారు	ɑːɦʋaːn̪aːbʌɖːaːruː
ఆహ్వానించారు	ɑːɦʋaːn̪iŋgɑː
ఆహ్వానించిన	ɑːʋɑːnɪn̪d̪i
ఆహ్వానించు	aːhʋaːniɲtʃu
ఇ	i
ఇక	ɪkɐ
ఇకపై	ɪkɑːpɛː
ఇంకా	ɪŋkɑ
ఇంకెవరూ	ɪŋkɛʋɑɾuː
ఇంకేంటి	ɪŋkɛːɳʈi
ఇంకొక	ɪŋkoːkə
ఇక్కడ	ɪkɐɳɖɐ
ఇక్కడికి	ɪk̟aɳiki
ఇక్కడే	ɪkɐɳɳe
ఇంగ్లిష్	iŋgliʂ
ఇంగ్లీష్	ɪŋgɭiʃ
ఇంచార్జ్	ɪntʃaːɾdʒ
ఇంచు	iɲtʃu
ఇచ్చాడు	ɪtʃːaːɖu
ఇచ్చాను	ɪtʃːaːnu
ఇచ్చారు	ɪtʃːaːruː
ఇచ్చి	ɪtʃːi
ఇచ్చింది	ɪtʃːin̪di
ఇచ్చిన	ɪtʃːiɳ
ఇచ్చినది	ɪtʃːiɳɖi
ఇచ్చు	itʃːu
ఇచ్చుకో	ɪtʃːuːkoː
ఇచ్చె	ɪtʃːe
ఇచ్చే	ɪtʃːeː
ఇచ్చేటప్పుడు	ɪtʃːeːt̪ːapːuɖu
ఇంజక్షను	ɪɲgaʂɳu
ఇంజనీరింగ్	iɳğaːn̪iːɾiŋ
ఇంజనీర్	ɪɲɟaniːr
ఇంజన్	ɪɲɲə
ఇంజన్లు	ɪɲdʒan̪lu
ఇంజిన్	ɪɲiɲ
ఇంజిన్లు	ɪɲiɲiɭu
ఇంటర్నెట్	ɪnt̪eɾneːt̪
ఇంటర్న్స్	ɪnt̪eɾns̪
ఇంటర్వ్యూయర్	ɪnt̪ərʋuːjɾ̩
ఇటలీ	ɪʈaliː
ఇటాలియన్	ɪʈaːliːaɳ
ఇటాలియన్లు	ɪʈaːliʝan̪lu
ఇంటి	ɪnti
ఇంటికి	ɪnt̪iki
ఇంటిని	ɪnt̪iːni
ఇంటిలో	ɪnt̪iːloː
ఇంటిలోకి	ɪnt̪iːloːki
ఇటీవల	it̪ːiʋaɭ
ఇటీవలి	ɪʈːiʋəli
ఇంటు	ɪnt̪u
ఇటుక	ɪʈuk
ఇటుకలతో	ɪʈukɐl̪t̪oː
ఇటువంటి	ɪʈuʋɐɳʈi
ఇంటెంట్	ɪnt̪en̪ʈ̪
ఇంటెలిజెన్స్	ɪnt̪eːlɪdʒeːns̪
ఇంటెల్	ɪnt̪el
ఇట్	ɪʈ
ఇంట్లో	ɪnt̪ɭoː
ఇట్స్	ɪʈʂ
ఇడియట్	ɪɖiʈʌːʈ
ఇడియట్స్	ɪɖiʌʈːʌs
ఇంతకు	ɪnt̪aku
ఇంతకుముందు	in̪t̪akumund̪u
ఇతను	ɪt̪an̪u
ఇతర	ɪt̪aɾ̪
ఇతరుల	ɪt̪ːɾuɭ̆
ఇతరులకు	ɪt̪ɐɾulɐku
ఇతరులతో	ɪt̪aɾul̪t̪oː
ఇతరులు	ɪt̪aɾuɭu
ఇంతలో	ɪnt̪ɭoː
ఇంతవరకూ	ɪnt̪əvɐɾkuː
ఇతిహాసము	itihaːsamu
ఇంతే	ɪnt̪eː
ఇత్తడి	ɪt̪ːaɖi
ఇత్సెల్ఫ్	ɪtsɛɭpʰ
ఇంద	ind̪ə
ఇదంతా	ɪd̪an̪t̪a
ఇది	ɪɖi
ఇదిగో	ɪd̪igoː
ఇందిర	ind̪iɾa
ఇదివరకు	ɪɖɪʋaɾku
ఇందులో	ɪnd̪uːloː
ఇదే	ɪd̪eː
ఇదేమిటి	ɪd̪eːmiʈi
ఇదేముందిలె	ɪd̪eːmund̪ile
ఇద్దరు	ɪɖːɾu
ఇంద్రజాలికుడు	ind̪ɾadʒaːlikuɖu
ఇంద్రజాలికులు	ɪnd̪ɾadʒaːlikulu
ఇంధనం	ind̪ɳani
ఇంధన	ɪn̪d̪ʱɐn̪
ఇంధనంగా	ind̪ʱan̪gɑ
ఇనుము	ɪn̪uːmu
ఇన్	iːn
ఇన్కమింగ్	ɪŋkɑːmiŋ
ఇన్క్రెడిబుల్	ɪŋkrɛd̪iːbuɭ
ఇన్నోసెంట్	ɪnːoːʃɛnʈ
ఇన్ఫర్మేషన్	ɪn̪ɸɾmɪʃɑːm
ఇన్ఫోమెరికల్	ɪn̪foːmerɪkəl̪
ఇన్లు	ɪn̪ɭu
ఇన్వాయిస్	ɪnʋaɪs
ఇన్వెన్షన్	ɪnʋeːɳʃɳɔ
ఇన్సైడ్	ɪn̪s̪ejd̪
ఇన్స్టాల్	ɪn̪st̪aːɭ
ఇప్పటి	ipːʈi
ఇప్పటికి	ɪpːʈiki
ఇప్పటికీ	ɪpːaʈikiː
ఇప్పటికే	ɪpːʈikɛː
ఇప్పటివరకు	ɪpːaːʈiʋɾuku
ఇప్పుడు	ɪpːuɖu
ఇప్పుడే	ɪpːuɖeː
ఇంప్లాంట్లు	imːpl̪aːɳʈuː
ఇబ్బంది	ɪbːan̪d̪i
ఇబ్బందికరమైన	ɪbːɑːnd̪ikiɾɑmeɪn̪
ఇబ్బందికి	ɪbːan̪d̪iki
ఇబ్బందిపడలేదు	ɪbːɑːnd̪iɖɑːlɛːdu
ఇబ్బందులను	ɪbːan̪d̪iːn̪u
ఇబ్బందుల్లో	ɪbːan̪d̪ul̪ːo
ఇబ్బందుల్లోకి	ɪbːan̪d̪ul̪iːkɪŋːu
ఇమాజిన్	imaːdʒiːn
ఇమ్మోర్టల్	ɪmːoːɾʈɑːl
ఇయర్	ir
ఇయర్ఫోన్స్	irfon̪s
ఇరవై	iɾaʋaj
ఇరవై	ɪɾaveɪ
ఇరాక్	ɪɾaːk
ఇరుకైన	ɪrukeɪn̪
ఇరుక్కుపోయి	ɪrukkupoji
ఇరుక్కొనిపోయింది	ɪrukːoːnipoːjindi
ఇలా	ila
ఇలాంటి	ilɑːɳʈi
ఇలానే	ɪl̪aːneː
ఇల్యూషన్	ɪluːʃʌn
ఇల్లు	ɪlːu
ఇవాన్	ɪʋaːn
ఇవి	ivi
ఇవ్వగలిగిన	ɪvːgɐlɪgin
ఇవ్వగలిగే	ivːgəligeː
ఇవ్వచూపారు	ivːtʃuːpɑːruː
ఇవ్వటానికి	ɪvʋʈaŋki
ఇవ్వడం	ɪvːʈaɖi
ఇవ్వండి	ɪvːaɳɖi
ఇవ్వబడింది	ivːbʌɖindi
ఇవ్వమని	ɪvːaman̪i
ఇవ్వరు	ɪvːɾu
ఇవ్వలేదు	ɪvvaledu
ఇవ్వాలని	ɪvːaːlani
ఇవ్వాలనుకున్న	ɪvːaːlanukun̪ː
ఇవ్వాలి	ivvaːli
ఇవ్వాల్సిన	ɪvːaːl̪s̪iɳ
ఇష్టం	ɪʂʈʌm
ఇష్టపడతాము	ɪʂʈəpəɖət̪aːmu
ఇష్టపడతారని	ɪʂʈəpəɖətaːɾni
ఇష్టపడతారు	ɪʂʈəpəɖəɾɑːɾu
ఇష్టపడని	ɪʂʈəpəɳi
ఇష్టపడితే	ɪʂʈaɖiʈe
ఇష్టపడుతున్నాను	ɪʂʈəpaɖuɳːanu
ఇష్టపడుతున్నారు	ɪʂʈəpaɖʌn̪t̪u
ఇష్టపడుతున్నారో	ɪʂʈəpaɖuɳuɳaɾo
ఇష్టపడ్డారు	ɪʂʈəpəɖːɑːruː
ఇష్టమంట	ɪʂʈəmaɳʈ
ఇష్టమని	ɪʂʈəmani
ఇష్టమైన	ɪʂʈamɛi̯n
ఇష్టానుసారం	ɪʂʈɑːnʊsɑːɾɑːm
ఇసుక	ɪsuk̬
ఇస్తాది	ist̪aːdi
ఇస్తాను	ist̪anu
ఇస్తాము	ist̪amu
ఇస్తాయి	istɑːjʲi
ఇస్తాలే	ist̪aːleː
ఇస్తుందని	ist̪un̪d̪ani
ఇస్తుందా	ɪst̪und̪a
ఇస్తుంది	ist̪un̪di
ఇస్తున్న	ist̪un̪ː
ఇస్తున్నారు	ist̪un̪d̪uː
ఇస్తోంది	ist̪oːduːr̪u
ఇస్త్రీ	ist̪riː
ఇస్రేల్	ɪsɾɛːl̪
ఇస్లామాబాద్	ɪs̪l̪ɑːmɑːbɑːd̪
ఇస్లామిక్	ɪs̪l̪aːmɪk
ఇళ్ళు	ɪɭːu
ఈ	iː
ఈఅగ్నిగోళముమటుకు	iːgn̪igoːɭamumaʈuku
ఈకల	ikiːl̪
ఈకలు	ikiːlu
ఈక్విటీ	ikiʈi
ఈగ	iːg
ఈజీ	iːdʒiː
ఈజ్	iːdʒ
ఈటా	iːʈaː
ఈడ్చడం	iːɖʈʌɖʌm
ఈడ్పు	iːɖpu
ఈడ్పులు	iːɖpulu
ఈత	iːt̪
ఈతలో	iːt̪aloː
ఈనాడు	iːn̪aːɖu
ఈనె	iːne
ఈరాత్రి	iːɾaːt̪ri
ఈరోజు	iːɾoːdʒu
ఈర్ష్య	iːrʂja
ఈర్ష్య	iːɾʃj
ఈల	iːl̪
ఈలలు	iːlɐluː
ఈవినింగ్	iːʋiɳiŋ
ఈవెంట్	iːʋeːɳʈ
ఈవెంట్స్	iːʋeːɳʈʃ
ఈవెనింగ్	iːʋen̪iŋ
ఈశాన్యము	iːʃaːnjamu
ఈశాన్యమూల	iːʃaːnjamuːla
ఈశ్వరి	iːʃʋaɾi
ఈశ్వరుడు	iːʃʋaɾuɖu
ఈసారి	iːsaːriː
ఈస్	iːs
ఈస్టర్	iːstaːr
ఈస్ట్	iːst̪
ఉక్కిరిబిక్కిరి	ʊkːiɾibikːiɾi
ఉక్కు	ukːu
ఉక్రేనియన్	ʊkɾeːniːaːn
ఉగ్రతను	ʊgɾɐt̪nu
ఉంచకూడదు	ʊntʃakuːɖu
ఉంచటానికి	ʊntʃaʈaŋki
ఉంచడం	ʊnʈʈaɖi
ఉంచడంలో	ʊn̪tʃaɖɔn̪d̪oː
ఉంచడానికి	ʊntʃaːdʑeː
ఉంచండి	ʊ̀n̪tʃɐɳɖi
ఉంచవచ్చు	ʊntʃəvɔːtʃu
ఉంచవద్దు	ʊntʃəʋɐɖːu
ఉంచవలసిందని	ʊn̪tʃavɐlasiɳdi
ఉంచారు	ʊn̪tʃaːruː
ఉంచాలని	ʊnʈʃaːl̪ni
ఉంచాలి	ʊn̪tʃaːli
ఉంచి	ʋɔɲtʃi
ఉచిత	ʊtɕiɖə
ఉచితంగా	ʊtʃidaŋgɑ
ఉచితము	utʃit̪amu
ఉంచితే	ʊn̪tʃiːt̪eː
ఉంచింది	ʊn̪tʃiɳɖi
ఉంచిన	ʊ̀ɲtʃiɳ
ఉంచు	uːnʈu
ఉంచు	uɲtʃu
ఉంచుకుంటుంది	ʊn̪tʃuk̟un̪ʈuɳɖi
ఉంచుకోవచ్చు	ʊn̪tʃukooʋɔtʃːu
ఉంచుతారు	ʊnʈʈʊd̪aːɾu
ఉంచుతుంది	ʊntʃuɳd̪u
ఉంచుతున్నాము	ʊ̀ɳtʃùt̪un̪ːaːmu
ఉంచేందుకు	ʊnʈʈuːn̪kɛ
ఉచ్చ	utʃːa
ఉచ్చారణ	utʃːaːɾaɳa
ఉచ్చారణ	ʊtɕːaːɾɐɳ
ఉచ్చు	utʃːu
ఉచ్చులు	ʊtʃːuːlu
ఉచ్ఛారణ	ʊtʃːaːɾɐɳ
ఉజియబోడ	udʒijaboːɖa
ఉజ్వలము	udʒʋalamu
ఉంటదిలే	ʊn̪ʈad̪ileː
ఉంటాం	ʋʌn̪t̪aːm
ఉంటాడని	ʊn̪ʈaɖani
ఉంటాడు	ʊn̪t̪aːɖu
ఉంటాము	ʋʈaːmu
ఉంటాయని	ʋɨnt̪aːjni
ఉంటాయి	ʋɨn̪ʈai̯
ఉంటారని	ʋɪnt̪aːɾani
ఉంటారా	ʋʈaɾaː
ఉంటారు	ʊn̪t̪aːɾu
ఉంటుందంటే	ʊn̪t̪un̪d̪en̪t̪e
ఉంటుందనుకుంటున్నాను	ʋʌn̪d̪an̪uŋuŋːan̪u
ఉంటుందా	ʋʊɳd̪ʌd̪a
ఉంటుంది	ʋɨɳʈʊɳʈi
ఉంటున్న	ʋɨɳʈuɳː
ఉంటున్నాను	ʊn̪ʈun̪ːan̪u
ఉంటె	ʋɳte
ఉంటే	ʋeːn̪ʈe
ఉండకపోవచ్చు	ʊɳɖəpɔːʋɔtʃːu
ఉండకూడదు	ʊɳɖakuːɖu
ఉండగలరు	ʋɳɖɐgɐlɐɾu
ఉండగా	ʊɳɖaga
ఉండటం	ʊɳɖʈʌm
ఉండటంతో	ʊɳɖʈʌʈo
ఉండటానికి	ʊɳɖaʈaŋki
ఉండడం	ʊɳɖɐɖʋ
ఉండడానికి	ʊɳɖaːgiː
ఉండండి	ʊɳɖɐɳɖi
ఉండడు	ʊɳɖɐɖu
ఉండదలిచారో	ʊɳɖɐl̪iːtʃaːɾoː
ఉండదు	ʊɳɖɖu
ఉండనే	ʊɳɖanɛ
ఉండమని	ʊɳɖamani
ఉండరాదు	ʊɳɖɑːɾɑːdu
ఉండలేదు	ʊɳɖaleːdu
ఉండలేము	ʋɳɖaleːmu
ఉండవచ్చని	ʋɳɖəvɔtʃːɳi
ఉండవచ్చు	ʊɳɖəʋɒtʃːu
ఉండవని	ʊɳɖʋaɳi
ఉండవలసివచ్చేది	ʊɳɖəvəlasiʋoʈːeɖi
ఉండవు	ʋɳd̪aʋu
ఉండాలని	ʊɳɖaːlani
ఉండాలనుకుంటున్నాను	ʊɳɖaːlənukun̪t̪uːn̪aːnu
ఉండాలనుకుంటున్నారు	ʊɳɖaːlənukun̪t̪un̪d̪uɾu
ఉండాలనే	ʊɳɖaːl̪anɛ
ఉండాలి	ʊɳɖaːli
ఉండాల్సిందని	ʊɳɖaːl̪s̪indiɳi
ఉండాల్సింది	ʊɳɖaːl̪sindi
ఉండి	undi
ఉడికించాలి	ʊɖikiɲtʃaːli
ఉండిపోతుంది	ʊɳɖipːoːt̪uɳɖi
ఉండిపోయాయి	ʊɳɖipojiː
ఉండిపోయింది	ʋɳʈiːpoːjindi
ఉండు	ʊɳɖu
ఉడుత	ʊɖʊt̪
ఉడుతలు	ʊɖʊt̪al̪u
ఉండే	ʊɳɖe
ఉండేది	ʊɳɖeːdi
ఉండేవారు	ʊɳɖeʋaːɾu
ఉండేవి	ʊɳɖeʋi
ఉత్తమ	ʊtːʌm
ఉత్తమం	ʊtːʌmʌ
ఉత్తమంగా	ʊtːamaŋgɑ
ఉత్తమమైన	ʊtːamɛjɳ
ఉత్తమమైనది	ʊtːamæɪn̪di
ఉత్తమైన	ʊtːamai̯n̪
ఉత్తరం	ʊt̪ːaraɱ
ఉత్తర	ʊt̪ːɾɐ
ఉత్తరంగా	ʊt̪ːɾəŋgɑ
ఉత్తరాన	ʊt̪ːɾɑːn̪
ఉత్తరాలు	ʊt̪ːɾɑːlu
ఉత్తీర్ణులు	ʊt̪ːiːɾɳuɭu
ఉత్తేజకరమైన	ʊt̪ːeːgɐkɐɾɛjɛn̪
ఉత్తేజపరుస్తుంది	ʊt̪ːeːgəpɾus̪t̪uɳːʈi
ఉత్తేజపర్చడానికి	ʊt̪ːeːdʒəpɐɾtʃɐgɛː
ఉత్తేజిత	ʊt̪ːeːdʒiɖit̪
ఉత్పత్తి	ʊt̪pɐt̪ːi
ఉత్పత్తులు	ʊt̪pʌt̪ːuɭu
ఉత్పన్న	ʊt̪pann̪a
ఉత్సర్గ	ʊʈsɐɾgɐ
ఉత్సవానికి	ʊʈs̪aʋaːŋki
ఉత్సాహంగా	ʊt̪saːhaŋgɑ
ఉత్సాహంతో	ʊʈʂaːʈoː
ఉత్సాహభరితంగా	ʊʈʂaːbʰɾit̪aŋgɑ
ఉత్సుకత	ʊʈʂukət̪ə
ఉదకము	udakamu
ఉందని	ʋɪndani
ఉందనీ	ʋnd̪aniː
ఉదయం	ʊd̪agaɲ
ఉందా	ʋndɑ
ఉదాహరణ	ʊd̪aːhaɾɳ̪ɐ
ఉదాహరణకు	ʊd̪aːhɐɾɐŋgu
ఉదాహరణగా	ʊd̪aːhaɾɳgɑ
ఉదాహరణలు	ʋad̪aːɦaɾɳɐlu
ఉంది	ʋɐɳdi
ఉందో	ʋndo
ఉద్గార	ʊd̪gaːɾ
ఉద్గారాలు	ʊd̪gaːɾɑːlu
ఉద్దీపన	ʊd̪ːiːp̃ə
ఉద్దీపనలకు	ʊd̪ːiːp̚n̪aɭku
ఉద్దేశం	ʊd̪d̪eːʃam
ఉద్దేశపూర్వకంగా	ʊd̪d̪eʃpoːɾʋakaŋgɑ
ఉద్దేశము	ud̪ːeːʃamu
ఉద్దేశాలను	ʊd̪d̪eːʃɐmuː
ఉద్దేశించబడింది	ʊd̪d̪eʃɐbʌd̪indi
