"sé"	sɛ
automatizadas	ˌaʊtumˌɐtizˈadɐʒ
automatizado	ˌaʊtumˌɐtizˈadw
automatizar	ˌaʊtumɐtizˈaɹ
automatizar	ˌaʊtumˌɐtizˈaɹ
automatização	ˌaʊtumˌɐtizɐsˈɐ̃ʊ̃
automobilismo	ˌaʊtumˌubilˈiʒmw
automobilista	ˌaʊtumˌubilˈiʃtɐ
automobilisticamente	automobilistikɐmˈeɪŋtɨ
automobilística	ˌaʊtumˌubilˈiʃtikɐ
automobilísticas	ˌaʊtumˌubilˈiʃtikɐʒ
automobilístico	awtˌumˌubilˈiʃtikˌu
automobilístico	ˌaʊtumˌubilˈiʃtikw
automobilísticos	ˌaʊtumˌubilˈiʃtikʊʒ
automotiva	ˌaʊtumutˈivɐ
automotivas	ˌaʊtumutˈivɐʒ
automotivo	au̯t̪omot̪iʊ
automotor	automot̪oɣ̞
automotores	ˌaʊtumutˈoɾɨʒ
automática	ˌaʊtumˈatikɐ
automática	ˌɑutumˈatikɐ
automáticas	ˌaʊtomˈatikɐʒ
automáticas	ˌaʊtumˈatikɐʒ
automáticos	ˌaʊtumˈatikʊʒ
automóveis	automɔveis
automóveis	ˌaʊtumˈɔveɪʒ
automóvel	ˌaʊtumˈɔvˌɛl
autonomia	ˌaʊtonumˈiɐ
autonomia	ˌaʊtunumˈiɐ
autonômico	autonomiko
autopeça	au̯t̪opest̪
autopista	au̯tupˈiʃtɐ
autoproclamado	ˌaʊtupɹˌuklɐmˈadw
autopropelido	autopropelˈjdo
autopsia	ˌaʊtupsˈiɐ
autopsiar	awtˌɔpsiˈaɹ
autor	alt̪oɾ
autor	au̯tˈoɾ
autor	aʊtˈoɹ
autora	aʊtɔræ
autora	ˌaʊtˈoɾɐ
autorais	ˌaʊtuɾˈaɪʒ
autoral	ˌaʊtuɾˈɑl
autorama	altoɾɐ̃mɐ
autorama	ˌaʊtuɾˈɐ̃mɐ
autoras	ˌaʊtˈoɾɐʒ
autores	ˌaʊtˈoɾɨʒ
autoretrato	ˌaʊtoʁɨtɹˈatʊ
autoria	ˌaʊtuɾˈiɐ
autoridade	ˌaʊtuɾidˈadɨ
autoridades	ˌaʊtuɾidˈadɨʒ
autoritarismo	ˌɑutuɾitɐɾˈiʒmw
autoritária	ˌaʊtuɾitˈaɾjɐ
autoritária	ˌɑutuɾitˈaɾjɐ
autoritárias	ˌaʊtuɾitˈaɾjɐʒ
autoritário	au̯t̪oɾit̪aɾjʊ
autoritário	ˌaʊtuɾitˈaɾjw
autoritários	ˌaʊtuɾitˈaɾjʊʒ
autoriza	ˌaʊtuɾˈizɐ
autorizada	ˌaʊtuɾizˈadɐ
autorizadas	ˌaʊtuɾizˈadɐʒ
autorizado	ˌaʊtuɾizˈadw
autorizados	ˌaʊtuɾizˈadʊʒ
autorizando	ˌaʊtuɾizˈɐ̃ŋdw
autorizar	ˌaʊtuɾizˈaɹ
autorizaram	ˌaʊtuɾizˈaɾɐ̃ʊ̃
autorizaria	ˌaʊtuɾˌizɐɾˈiɐ
autorizava	ˌaʊtuɾizˈavɐ
autorize	ˌaʊtuɾˈizɨ
autorizou	ˌaʊtuɾizˈow
autos	ˈaʊtʊʒ
autosprint	ˌaʊtuʃpɹˈiŋt
autotutela	au̯t̪ututela
autotóxico	aututˈɔksiko
autran	aʊtɹˈɐ̃ŋ
autua	ˌaʊtˈuɐ
autuadas	ˌaʊtuˈadɐʒ
autuado	ˌaʊtuˈadw
autuados	ˌaʊtuˈadʊʒ
autuar	au̯t̪oɐr
autuar	ˌaʊtuˈaɹ
autuações	ˌaʊtuɐsˈõjʒ
autuou	aʊtwˈow
autêntica	aʊtˈɛntjka
autêntica	ˌaʊtˈeɪŋtikɐ
autócrata	au̯tokrata
autódromo	ˌaʊtˈɔdɹumw
autódromos	ˌaʊtˈɔdɹumʊʒ
autófono	au̯tˈɔfˈonˌu
autópsia	ˌaʊtˈɔpsjɐ
autópsias	ˌaʊtˈɔpsjɐʒ
autômato	au̯tomato
autômato	au̯tomatˈo
autônoma	ˌaʊtˈonumɐ
autônomas	ˌaʊtˈonumɐʒ
autônomo	awtˈonʊmʊ
autônomo	ˌaʊtˈonumw
autônomos	ˌaʊtˈonumʊʒ
auvers	aʊvˈeɾəʒ
aux	ˈaʊs
auxilia	ˌaʊsilˈiɐ
auxiliada	ˌaʊsiliˈadɐ
auxiliados	ˌaʊsiliˈadʊʒ
auxiliar	ˌaʊsiliˈaɹ
auxiliares	ˌaʊsiliˈaɾɨʒ
auxiliavam	auʃilˈjˈavˌɐ̃ʊ̃
auxiliemo	auʃiliemʊs
auxiliemos	auʃiliemos
auxilio	auɣljlio
auxiliou	ˌaʊsiliˈow
auxiliá	ˌaʊsiliˈa
auxo	aɫsʊ
auxílio	awsi˥˧ljw˨
auxílio	ˌaʊsˈiljw
auxílios	ˌaʊsˈiljʊʒ
auê	au
auô	auː
av	ˈav
ava	aθa
ava	ˈavɐ
avacado	avakado
avacalhado	avakˌɐʎadˈo
avacalhamento	ˌɐvɐkˌɐʎɐmˈeɪŋtʊ
avacalhação	ɐvˌɐkɐlˌiɐsˈɐ̃ʊ̃
avacote	avakɔtjɛ
avacá	avˈakːa
avaduta	avˈadutˈɐ
avagarar	avagara
avais	ɐvˈaɪʒ
avaitanhês	avˈaɪtɐɲˈeʒ
aval	ɐvˈɑl
avaladar	avˈɛladaɹ
avalanche	avˈɐ̃lɐ̃nʃɨ
avalanche	ˌɐvɐlˈɐ̃ŋʃɨ
avalia	ˌɐvɐlˈiɐ
avaliada	ˌɐvɐliˈadɐ
avaliadas	ˌɐvɐliˈadɐʒ
avaliado	ˌɐvɐliˈadw
avaliador	ɐvˌɐʎɪɐdˈɔɹ
avaliadores	ˌɐvɐlˌiɐdˈoɾɨʒ
avaliados	ˌɐvɐliˈadʊʒ
avaliam	ˌɐvɐlˈiɐ̃ʊ̃
avaliamos	ˌɐvɐliˈɐ̃mʊʒ
avaliando	ˌɐvɐliˈɐ̃ŋdw
avaliar	avaliar
avaliar	aːvˈaliɑɾ
avaliar	ˌɐvɐliˈaɹ
avaliar	ˌɐvˌaliɐɾ
avaliaram	ˌɐvɐliˈaɾɐ̃ʊ̃
avaliará	ˌɐvɐlˌiɐɾˈa
avaliativo	avaliatʃivu
avaliatório	ɐvˌɐlˌiɐtˈɔɾjw
avaliava	ˌɐvɐliˈavɐ
avaliavam	ˌɐvɐliˈavɐ̃ʊ̃
avaliação	ˌɐvɐlˌiɐsˈɐ̃ʊ̃
avalie	avvalie
avalie	ˌɐvɐlˈiɨ
avaliem	ˌɐvɐlˈieɪŋ
avaliou	ˌɐvɐliˈow
avalista	ˌɐvɐlˈiʃtɐ
avaliza	ˌɐvɐlˈizɐ
avalizado	ˌɐvɐlizˈadw
avalizar	ˌɐvɐlizˈaɹ
avalização	ˌɐvɐlˌizɐsˈɐ̃ʊ̃
avalizável	avˌɐlizˈavˌɛl
avaliá	ˌɐvɐliˈa
avallone	ˌɐvɐlˈonɨ
avaloar	ɑːvɑluaɾ
avaluar	avaluat̪
avampirar	avˌɐ̃mpiɾˈaɹ
avance	ɐvˈɐ̃ŋsjɐ
avance	ˌɐvˈɐ̃ŋsɨ
avancem	ˌɐvˈɐ̃ŋseɪŋ
avancini	ˌɐvɐ̃ŋsinˈi
avanguarda	avˌɐ̃ŋgwˈaɾədɐ
avanhadavense	ɐvˌɐ̃ɲˈadɐvˈeɪŋsɨ
avanhandava	avaɲɛndava
avanhandava	ˌɐvɐ̃ɲɐ̃ŋdˈavɐ
avanir	ˌɐvɐnˈiɹ
avant	ɐvˈɐ̃ŋt
avantado	ˌɐvɐ̃ŋtˈadw
avantagem	ˌɐvɐ̃ŋtˈaʒeɪŋ
avantajada	ˌɐvɐ̃ŋtɐʒˈadɐ
avantajadas	ˌɐvɐ̃ŋtɐʒˈadɨʒ
avantajado	ˌɐvɐ̃ŋtɐʒˈadw
avantajar	avˌɐ̃ŋtɐʒˈaɹ
avante	avantˈe
avante	ˌɐvˈɐ̃ŋtɨ
avantes	ˌɐvˈɐ̃ŋtɨʒ
avantesma	ˌɐvɐ̃ŋtˈeʃmɐ
avança	ˌɐvˈɐ̃ŋsɐ
avançada	ˌɐvɐ̃ŋsˈadɐ
avançadas	ˌɐvɐ̃ŋsˈadɐʒ
avançado	ˌɐvɐ̃ŋsˈadw
avançados	ˌɐvɐ̃ŋsˈadʊʒ
avançam	ˌɐvˈɐ̃ŋsɐ̃ʊ̃
avançamos	ˌɐvɐ̃ŋsˈɐ̃mʊʒ
avançando	ˌɐvɐ̃ŋsˈɐ̃ŋdw
avançar	avˈanʃɐɹ
avançar	ˌɐvɐ̃ŋsˈaɹ
avançaram	ˌɐvɐ̃ŋsˈaɾɐ̃ʊ̃
avançava	ˌɐvuŋsˈˌɐvɐ
avançava	ˌɐvɐ̃ŋsˈavɐ
avançavam	ˌɐvɐ̃ŋsˈavɐ̃ʊ̃
avanço	ˌɐvˈɐ̃ŋsw
avanços	ˌɐvˈɐ̃ŋsʊɐʒ
avanços	ˌɐvˈɐ̃ŋsʊʒ
avançou	avɐ̃sˈow
avançou	ˌɐvɐ̃ŋsˈow
avarado	avarado
avareense	ˌɐvɐɾɨˈeɪŋsj
avaremotemo	avaɾemotɛmo
avarento	avˈaɾiŋtˈu
avaretado	ˌɐvɐɾɨtˈadw
avareza	ˌɐvɐɾˈezɐ
avaria	avaɾiˈɐ
avariada	ˌɐvɐɾiˈadɐ
avarias	ˌɐvɐɾˈiɐʒ
avarigênese	aˈvarɪʒˈeːnɨsi
avarismo	avvarismw
avarita	aˈvaritˌɐ
avarjador	ˌɐvɐɾəʒˈaðˈoɹ
avaro	avaru
avaro	aːværo
avary	ˌɐvˈaɾi
avarzeado	avɐɾəseɐdˈo
avará	avara
avaré	ˌɐvɐɾˈɛ
avarícia	ˌɐvɐɾˈiʒjɐ
avasita	aːvazitˈɐ
avassalador	ˌɐvɐsˌɐlɐdˈoɹ
avassaladora	ˌɐvɐsˌɐlɐdˈoɾɐ
avassaladoramente	avatsaladʊramente
avaí	avai
avaí	ˌɐvɐˈi
ave	ase
ave	aːvj
ave	ˈavɨ
ave-maria	avˌemɐɾˈiɐ
aveadado	ˌɐvɨɐdˈadw
aveado	ˌɐveˈadw
aveal	ˌɐveˈɑl
avecla	avrkla
avedon	ˌɐvɨdˈoŋ
aveia	avˈeɪɐ
aveia	ˌɐvˈeɪɐ
aveias	aveioz
aveirense	ɐvˌeɪɾˈeɪŋsj
aveiro	aveio
aveiro	ɐvˈeɪɾʊ
avelado	avˈeladʊ
avelaine	avelajne
avelanar	aːvɛlɐnˈaɾ
avelaneira	avˈelɐnˈeɪɾˈɐ
avelar	ˌɐvɨlˈaɹ
avelarmos	ˌɐvilˈaʒmʊʒ
aveleda	ɐvˌelˈedɐ
aveleira	avɨlˈeɪɾɐ
aveleiral	ˌɐvɨlˌeɪɾˈaʊ
avelhantar	aːvˌeʎɐŋtˈa
avelhentar	ɐvˌeʎɐ̃ŋtˈaɹ
avelhuscado	ɐvˈeʎuʃkˈadʊ
avelinoético	ɐvˈelɨnˌuˈɛtikʊ
avellaneda	ˌɐvɨlɐnˈedɐ
avellar	ˌɐvɨlˈaɹ
aveludado	ˌɐvɨludˈadw
aveludado	ˌɐvˈelˌudˈadw
avelã	ˌɐvɨlˈɐ̃
avelós	aveloz
avena	avˈeɪnɐ
avenal	ɐvˈɛnɐl
avenca	avˈɛnkɐ
avenida	avɨŋidɨ
avenida	ˌɐvɨnˈidɐ
avenidas	ˌɐvɨnˈidɐʒ
aveniforme	avˈenɨfˈɔɾmɨ
aventada	ˌɐveɪŋtˈadɐ
aventais	ˌɐveɪŋtˈaɪʒ
avental	avˈentˈal
avental	ˌɐveɪŋtˈɑl
aventesma	avˌeɪŋtˈizmɐ
aventura	abent̪uɾa
aventura	ˌɐveɪŋtˈuɾɐ
aventurado	ˌɐviˌeɪŋtuɾˈadw
aventuram	ˌɐveɪŋtˈuɾɐ̃ʊ̃
aventurar	ˌɐveɪŋtuɾˈa
aventurar	ˌɐveɪŋtuɾˈaɹ
aventuraria	ˌɐveɪŋtˌuɾɐɾˈiɐ
aventuras	ˌɐveɪŋtˈuɾɐʒ
aventurava	ˌɐvɨŋtˌuɾˈavɐ
aventuravam	avˌeɪŋtuɾˈˈavˌɐ̃ʊ̃
aventureira	ˌɐveɪŋtuɾˈeɪɾɐ
aventureiras	ˌɐveɪŋtˌuɾˈeɪɾɐʒ
aventureiro	ˌɐveɪŋtuɾˈeɪɾw
aventureiro	ˌɐveɪŋtˌuɾˈeɪɾʊ
aventureiro	ˌɐvˌeɪŋtuɾˈeɪdw
aventureiros	ˌɐveɪŋtuɾˈeɪɾʊʒ
aventuresco	ˌɐveɪŋtˌuɾˈiʃkʊ
aventurinado	ˌɐveɪŋtˌuɾinˈadw
aventuro	ˌɐveɪŋtˈuɾw
aventurou	avˌeɪŋtˌuɾˈow
aventurou	ˌɐveɪŋtuɾˈow
avenue	ˌɐvɨnˈuɨ
avença	ɐvˈeɪŋsɐ
avençal	avˈeɪŋsɐl
avençar	ˌɐveɪŋsˈaɹ
average	ˌɐvɨɾˈaʒɨ
averano	ɐvˌeɾˈɐ̃nˌʊ
averbar	ˌɐvɨɾəbˈaʁ
averbação	ˌɐvɨʁəbɐsˈɐ̃ʊ̃
averbável	ˌɐviɾəbˈavˌɛl
averdado	ɐvˌeɾədˈadʊ
averdurado	ɐvˈeɹdˌuɾˈadʊ
avergir	avˈɛɾʒiɹ
avergoado	ˌɐvɨɾəgulˈadw
avergonhar	avˌeʁgunˈiɐʁ
averiguar	ˌɐvɨɾigwˈaɹ
averiguação	ˌɐvɨɾˌigwɐsˈɐ̃ʊ̃
averiguações	ˌɐvɨɾˌigwɐsˈõjʒ
averiguei	avˈeɾigʊˈeɪ
avermelhada	avˌeɾəmɨʎˈadɐ
avermelhada	ˌɐvɨɾəmɨʎˈadɐ
avermelhado	ɐvˌeɾəmˌeʎˈadw
avermelhado	ˌɐvɨɾəmɨʎˈadw
avermelhados	avˌiɾəmˌeljˈadʊʒ
avermelhar	ɐvˈiɹmɨʎˈaɹ
avermelhar	ɐvˌeɾəmɨʎˈaɹ
avermelhação	ɐvˌeɾəmɨʎɐsˈɐ̃ʊ̃
avernal	ˌɐvɨɾənˈɑl
avernoso	ɐvˌeɾənˈozʊ
averroa	avˈehoˈa
averroização	ɐvˌeʁuɪzɐsˈɐ̃ʊ̃
averso	avˈɛɾəsʊ
aversão	ɐvˌeɾəsˈɐ̃ʊ̃
averter	ˌɐvɨɾətˈɛɹ
avery	ˌɐvˈeɾi
aves	avis
aves	ˈavɨʒ
avessa	ˌɐvˈɛsɐ
avessedo	ɐvˈeʃsˈedʊ
avesseiro	avˈɛsˈeɪɾʊ
avessia	avˈeʃiɐ
avessidade	avˈeʃsidˈadɨ
avesso	ˌɐvˈesw
avessos	ˌɐvˈesʊʒ
avestaico	avˈeʃtaɪkʊ
avestrujar	ɐvˈeʃtɹʊʒˈaɹ
avestruz	avɛʃtrʊʃ
avestruz	aːvɛstɾuz
avestruz	ˌɐvɨʃtɹˈuʃ
avestruzeiro	ɐvˈeʃtɹuzˌeɪɾʊ
avestruzismo	avɛʃtrʊzˈismʊ
avestruzário	avˈeʃtɹuzˈaɾjʊ
avestá	avˈɛstˈa
avetoninha	ˌɐvɨtˈonˌiŋjɐ
aveus	ɐvˈeʊʒ
avexado	ˌɐvɐʃˈadw
avexado	ˌɐvɨʃˈadw
avexar	aːveʃaːh
avezeirar	ɐvˈezˈˈiɾˈaɹ
aviabilidade	aviabilidaðe
aviado	avˈjɐdˈɔ
aviador	aviaduʁ
aviador	ˌɐviɐdˈoɹ
aviajado	avˌiɐʒˈadʊ
aviamento	aviamintɔ
aviação	ˌɐviɐsˈɐ̃ʊ̃
avicela	abisˈela
aviceptológico	ɐvˌisɨptˈolɔʒikˈɔ
avicultor	avikutɔr
avicultura	ˌɐvikuwtˈuɾɐ
aviculárida	avikulˈɑɾida
avidamente	avidamˈeɪŋtˌe
avidamente	ˌɐvidɐmˈeɪŋtɨ
avidez	ˌɐvidˈeʃ
avieirado	ˌɐvieɪɾˈadw
avifauna	avifau̯na
avignon	ˌɐvignˈoŋ
avigorar	ˌɐvigwɐɾˈaɹ
avigorentar	ɐvˌigˌuɾɨŋtˈaɹ
avigorentação	ɐvˌigˌuɾentɐsˈɐ̃ʊ̃
avigouro	avˈigowʁʊ
avilanar	aɣˌilanˈaɹ
avildar	ˌɐvjudˈaɹ
aviltado	ˌɐviltˈadw
aviltador	ˌɐvjultɐdˈoɹ
aviltamento	ˌɐviltɐmˈeɪŋtw
aviltante	ˌɐviltˈɐ̃ŋtɨ
aviltantes	ˌɐviltˈɐ̃ŋtɨʒ
aviltar	ˌɐvjutˈaɹ
aviltação	ɐvˌiutɐsˈɐ̃ʊ̃
aviltoso	aviultˈozʊ
avinagrado	aːvjnaˈgɹadu
avinagrar	avinagɾa
avinda	ɐvˈeɪŋdɐ
avindeiro	ɐvˈiŋdˌeɪɾʊ
avindor	avˈeɪŋdɔɹ
avinhar	aːviŋaːr
avinhão	aviɲˈɐ̃ʊ
avintes	avˈeɪŋtɨʒ
avio	apio
avionado	ˌɐviunˈadw
avioneta	avionet̪a
avipal	ˌɐvipˈɑl
avir	avˈiʁ
avirulência	ɐvˌiɾulˈeɪŋsjɐ
avisa	ɐvˈizɐ
avisa	ˌɐvˈizɐ
avisada	ˌɐvizˈadɐ
avisadas	ˌɐvizˈadɐʒ
avisado	ˌɐvizˈadw
avisador	avˈiʒadˈoɹ
avisados	ˌɐvizˈadʊʒ
avisam	ˌɐvˈizɐ̃ʊ̃
avisando	ˌɐvizˈɐ̃ŋdw
avisar	ˌɐvizˈaɹ
avisaram	ˌɐvizˈaɾɐ̃ʊ̃
avisassem	ˌɐvizˈaɹseɪŋ
avisava	avizˈaʎa
avisava	ˌɐvizˈavɐ
aviscondalhar	ɐvˌiʃkˈowŋdɐʎˈaɹ
avise	avizˈe
avisei	ˌɐvizˈeɪ
avisem	ˌɐvˈiseɪŋ
aviso	ˌɐvˈizw
aviso	ˌɐvˈiʒw
avisos	ˌɐvˈizʊʒ
avisos	ˌɐvˈiːzʊʒ
avisou	ˌɐvizˈow
avispado	ˌɐviʃpˈadw
avisseiro	avisˈeɪɾʊ
avissuga	ˌɐvisˈugɐ
avista	ˌɐvˈiʃtɐ
avistado	ˌɐviʃtˈadw
avistamento	ˌɐviʒtɐmˈeɪŋtw
avistando	ˌɐviʃtˈɐ̃ŋdw
avistar	avˈisˌtˈaɹ
avistar	ˌɐviʃtˈaɹ
avistei	ˌɐviʃtˈeɪ
avistou	aviʃtˈo
avistou	ˌɐviʃtˈow
avistável	ˌɐviʃtˈavˌɛl
avisá	ˌɐvizˈa
avisável	ˌɐvizˈavˌɛl
avitaminoses	avitˈamˌinˈɔzˈɨʃ
avitelado	ˈavˈitɨlˈadʊ
avito	avˈitˈo
aviv	ɐvˈiv
avivado	ˌɐvivˈadw
avivar	avivas
avivação	ɐvˌivɐsˈɐ̃ʊ̃
aviventação	ɐvˌivɨntɐsˈɐ̃ʊ̃
avizafona	ˌɐvˈizɐfˈɔnɐ
avizinha	ɐvizˈiŋɐ
avizinha	ˌɐvizˈiɲɐ
avizinhado	ˌɐviziɲˈadw
avizinhar	ˌɐviziɲˈaɹ
avizinhava	avˌiziɲˈavɐ
avião	avio
avião	avioɔ
avião	avjɐ̃w
aviônica	avionjka
aviões	aviois
aviões	ˌɐviˈõjʒ
avoadinha	avwadʒiɲˈa
avoaçar	avwˈasˈaɹ
avoação	ɐvˌuɐsˈɐ̃ʊ̃
avobenzona	ɐvˈoɾəbˌeɪŋzˈɔnˌɐ
avocar	aːvˈokaɾ
avocateira	ˌɐvukˈɐteɪɾə
avocatura	ˌɐvukɐtˈuɾɐ
avocatória	ˌɐvukɐtˈɔɾjɐ
avoceta	ˌɐvosˈetɐ
avola	avolas
avolumam	ˌɐvulˈumɐ̃ʊ̃
avon	ɐvˈoŋ
avondoso	avˌɐ̃ŋdˈozʊ
avorina	ˌɐvuɾˈiŋɐ
avos	avos
avos	ˈavʊʒ
avozear	avˌɔzˈeɐ̃
avozinha	ˌɐvɐzˈiɲɐ
avozinho	ɐvˈoziɲˌw
avoão	avoˈaʊ
avp	ˈavp
avruga	avrˈugɐ
avulsivo	avusˈivʊ
avultado	ˌɐvultˈadw
avultação	ɐvˌutɐsˈɐ̃ʊ̃
avunculato	aːvˌũŋkulˈatʊ
avusca	avˈuʃka
avá	ava
avás-canoeiros	ɐvˈaʃkɐnˌueɪɾʊʒ
avão	avˈɐ̃w
avícola	ˌɐvˈikulɐ
avó	avo
avó	avˈo
avó	avˌɑ̃
avó	ɐvˈɔ
avós	ɐvˈɔɪs
avós	ɐvˈɔʒ
avô	avo
avô	avu
avô	avˈoɐ
avô	ɐvˈo
avôs	ɐvˈoɪʒ
award	ɐwˈaɾəd
awards	ɐwˈaɾədʒ
away	ɐwˈaɪ
awb	ˈawb
ax	ˈaks
axabeba	aʃabˈɛba
axabó	aʃabɑ
axadrezar	aʃadɹɨsˈaɾ
axanto	aʃˈɐ̃ŋtwɐ
axel	ɐksˈɛl
axia	aksjlæ
axial	aksjˈaʊ
axicarado	aʃikaɾˈadʊ
axila	ˌɐksˈilɐ
axilifloro	aʃlifloro
axilose	aksilɔzˈɛ
axinela	aksjneala
axixaense	aʃiʃaejsj
axixá	aʃiʃa
axl	ˈasl
axolote	aksɔlot
axonométrico	aksonometriko
axonoplasma	aksɔnɔplaʲsmɐ
axonoplásmico	aksonopliːzmiko
axorca	aʃˈaɾkɐ
axp	ˈasp
axuá	aʃwa
axé	aʃe
axé	aʃæ
axé	aʃˈɛ
axé	aʃˈɛɹ
axífugo	aʃifwgɔ
axígrafo	aksigrafo
axônico	aksɔnʲiku
aydar	aɪdˈaɹ
aykroyd	aɪkɹˈɔɪd
aylton	aɪltˈoŋ
aylwin	aɪlwˈin
aymoré	ˌaɪmuɾˈɛ
ayres	ˈaɪɾɨʒ
ayrton	aiɾtõŋ
ayrton	aɪɾətˈoŋ
ayupe	ˌaɪˈupɨ
azabumbado	azabˌoŋbˈadʊ
azabumbante	azabumbɐ̃ŋtˈɛ
azado	azaadu
azador	asadoʁ
azafamado	asafamˈadʊ
azagaia	azˈagˈajˈɐ
azaguncho	azagˈoŋʃʊ
azal	azˈau
azaléia	ˌɐzɐlˈɛɪɐ
azaléias	ˌɐzɐlˈɛɪɐʒ
azamboamento	azˌɐ̃mbuɐmˈeɪŋtʊ
azamboar	azaŋboaʁ
azambuja	ˌɐzɐ̃mbˈuʒɐ
azambujal	azɐ̃mbwʒˈaɹ
azango	ɑzɐ̃ŋgɔ
azanha	ˌɐzˈɐ̃ɲɐ
azaqui	azake
azar	ɐzˈaɹ
azar	ɑzɑh
azarado	azaradu
azarado	ˌɐzɐɾˈadw
azaranzar	azaɾaŋsˈaɾ
azares	ˌɐzˈaɾɨʒ
azarias	azariˈeʒ
azaroleiro	ɐzɑːrɔlɪrɔ
azarão	ˌɐzɐɾˈɐ̃ʊ̃
azarões	ˌɐzɐɾˈõjʒ
aze	ˈazɨ
azebre	azˈebɹɨ
azebuado	azˈibwˈadʊ
azeda	azˈedɐ
azeda	ˌɐzˈedɐ
azedamente	asedamente
azedamento	azedamˈeɪŋtʊ
azedar	azedauɾ
azedar	ˌɐzɨdˈaɹ
azedas	azˈedɐɪ
azedeira	aːzˈidˌeɪɾɐ
azederaque	azidɛɾakːe
azedia	aziʒˈiɐ
azedinha	mɐʒɨdˈiɲɐ
azedinha	ɐʒɨdˈinɐ
azedo	azˈedʊ
azedo	azˈɛdʊ
azedo	ˌɐzˈedw
azedo'	ɐzˈedʊ
azeglio	ˌɐzɨglˈiʊ
azeirado	ɐzeɪɾˈadw
azeitadeira	azˈeɪtɐdˌeɪɾɐ
azeitado	ˌɐzeɪtˈadw
azeitar	azˈaɪtˈaɹ
azeite	azˈeitɨ
azeite	ˌɐzˈeɪtɨ
azeiteiro	ˌɐzeɪtˈeɪɾʊ
azeitona	ˌɐzeɪtˈonɐ
azeitona-preta	ˌɐzɨitˈonɐpɹˈetɐ
azeitonas	ˌɐzeɪtˈonɐʒ
azeitonense	azˈeɪtʊnˈeɪŋsɨ
azeitão	aʒeitˈɐ̃ʊ̃
azemel	asemˈɛl
azerbaijão	azɨɾəbaɪʒˈɐ̃ʊ̃
azerbaijão	ɐzˈɨɾəbˌaiʒˈɐ̃ʊ̃
azerbaijão	ˌɐzɨɾəbaɪʒˈɐ̃ʊ̃
azeredo	azeɾˈiɐdʊ
azeredo	ˌɐzɨɾˈedw
azevedo	ˌɐzɨvˈedw
azevim	azɨvˈiŋ
azia	asˌiːɐ
azia	ˌɐzˈiɐ
azimutal	azimutˈɑl
azinhaga	asˌiɲˈagɐ
azinhaga	ɐʒiŋˈaɣa
azinhavrado	ɐʒˈiɲavˈɾɐdʊ
azinhavragem	ɐʒˈiɲɐvɹˈaʒeɪŋ
azinhavre	azˈiŋˌˈavˈɾɨ
azinheira	aziɲˈeɪɾɐ
azinio	azinja
azinofobia	ɐʒiŋufubˈiɐ
aziumar	asiumaɾ
aziz	ɐzˈiʃ
azkargorta	ˌɐʃkɐɾəgˈɔɾətɐ
azmi	ɐʒmˈi
azo	azum
azoinado	azoinˈadw
azores	aswɾiʃ
azorrubina	azoʁubinɐ
azotado	azɐtˈadw
azoto	asˈotʊ
azotorreia	azˈotˈˈʁɛɪɐ
azotômetro	azɔtɔmetrʊ
azt	ˈaʃt
azteca	ˌɐʃtˈɛkɐ
azucrinar	azukrɨnˈaɹ
azucrinar	azukrɪnaːr
azuis	aswjz
azuis	ɐzˈuɪʒ
azul	azoˈ
azul	azu
azul	azum
azul	azˈu
azul	ɐzˈuw
azul-celeste	azˈuwsˌelˈɛʃtɨ
azulada	ˌɐzulˈadɐ
azulado	ˌɐzulˈadw
azulejar	ɐzˈulɨʒaɹ
azulejaria	ˌɐzulˌeʒaɾˈiɐ
azulejo	ˌɐzulˈeʒw
azulejos	aʒulɨʒiʃ
azulejos	ˌɐzulˈeʒʊʒ
azuleno	azulˈenʊ
azulão	azulˈɐ̃w
azulão	azulˈɐ̃ʊ̃
azulão	ˌɐzulˈɐ̃ʊ̃
azulíneas	azulˈines
azzurra	ˌɐʒzˈuʁɐ
azálea	azalea
azóico	azojkʊ
aça	as
açacalado	ɐsˌakalˈadʊ
açacalador	asɐkˈaɾadˈoɾ
açacaladura	asakaladuɾe
açacalamento	asɐkɐlɐmˈeɪŋtʊ
açacalar	asakalaːx
açacu	asakˈu
açacurana	asakuraːna
açacuzeiro	ɐsˌɐkuzˈeɪɾʊ
açadacão	asˌɐdˈakɐ̃ʊ̃
açafateiro	asafatˈeɪɾʊ
açafranado	asafɾɐnˈaðu
açafrar	asafraɾ
açafreiro	asafɾeɪɾʊ
açafroa	asafrɔɐ
açafroado	asˌɐfɹuˈadʊ
açafroador	asafroadoˈx
açafroamento	asɐfɾˈoɐmˈeɪŋtˌu
açafroeira	asafrʊejre
açafroeiral	asˈafɹuejɾˈɑl
açafroeiro	asɐfˌɾˈɔɪɾˈɔ
açafrol	asafrou
açafrão	asafɾɐ̃ʊ
açafrão	ˌɐsɐfɹˈɐ̃ʊ̃
açailândia	ˌɐsaɪlˈɐ̃ŋdjɐ
açaime	asˈaɪm
açambarcador	ɐsɨmbˈaɾkadˌoɾ
açambarcação	asmbɐɾkɐsˈɐ̃ʊ̃
açame	asɑmi
açangalhada	asˌɐ̃ŋgˌɐʎˈadɐ
açanuíra	asɐnˈʊiɾɐ
açao	asθɐ̃ʊ̃
açapuva	asapovɐ
açatonga	asɐtˈɔŋɐ
açauiani	asau̯jãn̪ʲi
