一蕊花	tsit˧ lui˥ hue˧
伊予車挵一下毋知人。	i˧ hɔ˦ tsʰia loŋ˨ tsit˧e˦ m̄tsailaŋ˩.
人欲來揣你算數矣，你閣毋知死。	laŋ˩ beʔ˧ lai˩ tsʰue˧ li˥ sŋ̩˨siau˨aʔ˧, li˥ koʔ˧ m̄tsaisi˥.
逐家攏毋知影伊走去佗位。	ta˧̍kke˧ loŋ˥ m̄ tsaiĩã˥ i˧ tsau˥kʰi˨ to˥ui˧.
阮這个庄頭的交通真無方便。	guan˥ tsit e˩ tsŋ̍tʰau˩ e˩ kau˧tʰoŋ˧ tsin bo˩ hoŋ˧pian˦.
予人客方便，人客才會愛來。	hɔ˦ laŋ˩kʰeʔ˧ hoŋ˧pian˦, laŋ˩kʰeʔ˧ tsiaʔ e˦ ai˨ lai˩.
我來去方便一下。	gua˥ lai˩kʰi˨ hoŋ˧pian˦tsit˧e˦.
你手頭若方便，一屑仔借我。	li˥ tsʰiu˥tʰau˩ na˦ hoŋ˧pian˦, tsit˧sut˧a˥ tsioʔgua˥.
伊是我拄過上歹剃頭的人。	i˧ si˦ gua˥ tu˥kue˨ sioŋ˦ pʰãĩ˥tʰi˨tʰau˩ e˩ laŋ˩.
你著好好仔拍拚，日後才有出脫。	li˥ tioʔ˩ ho˥ho˥a˥ pʰaʔ˧pĩã˨, dzit˩au˦ tsiaʔ u˧ tsʰuttʰuat˧.
我已經支持袂牢矣。	gua˥ i˥kiŋ˧ tsitsʰi˧˥ be˦ tiau˩aʔ˧.
我希望恁共我支持。	gua˥ hi˧baŋ˦ lin˥ ka˦ gua˥ tsitsʰi˧˥.
物件猶閣好好你就毋挃矣，按呢敢袂傷討債？	mi˧̍hkĩã˦ iau˥koʔ˧ ho˥ho˥ li˥ to˦ m̄ ti˧̍haʔ˧, an˥ne˧ kam˥ be˦ sĩũ˧ tʰo˥tse˩?
這毋是我的。	tse m̄ si˦ gua˥ e˩.
等一下看毋是勢，你就緊走。	tan˥tsit˧e˦ kʰuã˨ m̄si˦se˨, li˥ to˦ kin˥ tsau˥.
飯猶未煮好，你先去食一塊餅止枵。	pŋ̩˦ iau˥bue˦ tsu˥ho˥, li˥ siŋ˧ kʰi˨ tsiaʔ˧ tsit˧ te˨ pĩã˥ tsi˥iau˧.
這港水泉的水誠甘。	tsit kaŋ˥ tsui˥tsua˧˥˧ e˩ tsui˥ tsia˧˥˧ kam˧.
初三四，月眉意。	tsʰesã˧si˨, gueʔ˩bai˩ i˨.
彼幅圖真歹看。	hit˧ pak˧ tɔ˩ tsin pʰãĩ˥kʰuã˨.
我欲予伊歹看。	gua˥ beʔ˧ hɔ˦ i˧ pʰãĩ˥kʰuã˨.
那行那食物件，實在真歹看相。	na˥ kĩã˩ na˥ tsiaʔ˧ mi˧̍hkĩã˦, si˧̍ttsai˧ tsin pʰãĩ˥kʰuã˨sĩũ˨.
想袂到伊會為著利益來反背眾人。	sĩũ˦be˦kau˨ i˧ e˦ ui˧tioʔ˩ li˦ik˧ lai˩ huan˥pue˦ tsiŋ˩laŋ˩.
巴郎好食毋分翁。	pa˧laŋ˧ ho˥tsiaʔ˧ m̄ pun˧ aŋ˧.
洗手面	se˥ tsʰiu˥bin˦
手面真大	tsʰiu˥bin˦ tsin tua˧
伊對語言方面真有興趣	i˧ tui˩ g˥gan˩ hoŋ˧bin˦ tsin u˧ hiŋ˨tsʰu˩.
我愛對佗一方面去才揣會著這項物件？	gua˥ ai˨ tui˩ to˥ tsit˧ hoŋ˧bin˦ kʰi˨ tsiaʔ tsʰue˧ e˦ tioʔ˩ tsit haŋ˦ mi˧̍hkĩã˦?
伊煮的物件真歹食。	i˧ tsu˥ e˩ mi˧̍hkĩã˦ tsin pʰãĩ˥tsiaʔ˧.
你做甲遐辛苦閣予人嫌，實在真毋值！	li˥ tso˩ kaʔ˧ hiaʔ˧ sin˧kʰɔ˥ koʔ˧ hɔ˦ laŋ˩ hiam˩, si˧̍ttsai˧ tsin m̄ta˧̍t!
這件代誌我毋准你按呢做。	tsit kĩã˦ tai˦tsi˩ gua˥ m̄tsun˥ li˥ an˥ne˧ tso˩.
伊毋但無抾恨，反倒轉閣來共咱鬥相共。	i˧ m̄na˦ bo˩ kʰioʔ˧hin˦, huan˥to˨tŋ̩˥ koʔ˧ lai˩ ka˦ lan˥ tau˨sã˧kaŋ˦.
下昏暗月娘真光。	e˧hŋ̩˧am˨ gueʔ˩niu˩ tsin kŋ̩˧.
明明都講好矣，哪會使反悔？	biŋ˩biŋ˩ to˧ koŋ˥ho˥aʔ˧, na˥ e˦sai˥ huan˥hue˥?
天時不如地利。	tʰian˧si˩ put˧dzu˩ te˦li˦.
伊日時攏無佇厝裡。	i˧ dzit˩si˩ loŋ˥ bo˩ ti˦ tsʰu˩li˥.
我毋捌出國過。	gua˥ m̄ bat˧ tsʰutkok˧kue˨.
伊毋捌字。	i˧ m̄ bat˧dzi˦.
你哪會日時仔就咧睏？	li˥ na˥ e˦ dzit˩si˩a˥ to˦ teʔ˧ kʰun˨?
毋通講袂贏人就欲反桌。	m̄tʰaŋ˧ koŋ˥ be˦ ĩã˩laŋ˩ to˦ beʔ˧ piŋ˥toʔ˧.
伊佇病院做文書。	i˧ ti˦ pẽ˦ĩ˦ tso˩ bun˩su˧.
今仔日天氣無好，你出門的時愛會記得紮雨幔。	kin˧a˥dzit˩ tʰĩ˧kʰi˨ bo˩ ho˥, li˥ tsʰutmn̩˩ e˩ si˩ ai˨ e˦ki˨tit˧ tsaʔ hɔ˦mua˧.
下早仔水氣真重。	e˧tsai˥a˥ tsui˥kʰi˨ tsin taŋ˦.
伊昨昏都有較好矣，是按怎今仔日閣反症？	i˧ tsahŋ̩˧ to˧ u˧ kʰaʔ˧ ho˥aʔ˧, si˦an˥tsua˥˧ kin˧a˥dzit˩ koʔ˧ huan˥tsiŋ˩?
食藥仔會當止疼，毋過嘛有副作用。	tsiaʔ˧ io˧̍ha˥ e˦taŋ˨ tsi˥tʰĩã˨, m̄koʔ˧ ma˦ u˧ hu˨tsokioŋ˦.
伊規身軀全毛病。	i˧ kui˧sin˧kʰu˧ tsuan˧˥ mɔ˩pẽ˦.
致著這款歹症頭真歹醫。	ti˨tioʔ˩ tsit kʰuan˥ pʰãĩ˥tsiŋ˩tʰau˩ tsin pʰãĩ˥ i˧.
伊袂插你，你莫枉費心神矣。	i˧ be˦ tsʰapli˥, li˥ mai˨ oŋ˥hui˨ sim˧sin˩aʔ˧.
你買這欲創啥？咱兜少缺！	li˥ be˥ tse beʔ˧ tsʰɔŋ˩ sĩãʔ˧? lan˥ tau˧ tsio˥kʰueʔ˧!
這種物件菜市仔少缺，免驚買無。	tsit tsiɔŋ˥ mi˧̍hkĩã˦ tsʰai˩tsʰi˧a˥ tsio˥kʰueʔ˧, bian˥ kĩã˧ be˥bo˩.
你若欠缺啥，先提伊的去用。	li˥ na˦ kʰiam˨kʰueʔ˧ sĩãʔ˧, siŋ˧ tʰe˧̍h i˧ e˩ kʰi˨ iŋ˦.
看你閣欠缺偌濟，我來想辦法。	kʰuã˨ li˥ koʔ˧ kʰiam˨kʰueʔ˧ gua˦tse˧, gua˥ lai˩ sĩũ˦ pan˦huat˧.
拍斷手骨顛倒勇。	pʰaʔ˧tn̩˦ tsʰiu˥kut˧ tian˧to˨ ioŋ˥.
伊在生的時陣做真濟好代，死了後一定會上天堂。	i˧ tsai˧sẽ˧ e˩ si˩tsun˧ tso˩ tsin tse˧ ho˥tai˦, si˥ liau˥au˦ it˧tiŋ˦ e˦ tsiu˧˧ tʰian˧toŋ˩.
夫婦著愛仝心。	hu˧hu˦ tioʔ˩ai˨ kaŋ˦sim˧.
食飯食甲遮爾仔毋情願，規氣莫食。	tsiaʔ˧pŋ̩˦ tsiaʔ˧ kaʔ˧ tsiaʔni˦a˥ m̄tsiŋ˧˥guan˦, kui˧kʰi˨ mai˨ tsiaʔ˧.
伊最近看起來誠心爽。	i˧ tsue˩kin˦ kʰuã˨kʰi˥lai˩ tsia˧˥˧ sim˧soŋ˥.
天理昭昭，地理何在？	tʰian˧li˥ tsiautsiau, te˦li˥ ho˩ tsai˧?
你會有這款心理，實在予人想袂到。	li˥ e˦ u˧ tsit kʰuan˥ sim˧li˥, si˧̍ttsai˧ hɔ˦ laŋ˩ sĩũ˦be˦kau˨.
手烏烏去摸壁會有手痕。	tsʰiu˥ ɔ˧ɔ˧ kʰi˨ boŋ˧ piaʔ˧ e˦ u˧ tsʰiu˥hun˩.
水產試驗所	tsui˥san˥ tsʰi˩gam˦sɔ˥
風湧大才會反船。	hoŋ˧iŋ˥ tua˧ tsiaʔ e˦ piŋ˥tsun˧˥.
你毋通傷晏轉來。	li˥ m̄tʰaŋ˧ sĩũ˧ ua˩˧ tŋ̩˥lai˩.
天頂天公，地下母舅公。	tʰĩ˧tiŋ˥ tʰĩ˧koŋ˧, te˦e˦ bu˥ku˦koŋ˧.
這个囡仔真歹喙，人較無愛佮伊鬥陣。	tsit e˩ gn˥a˥ tsin pʰãĩ˥tsʰui˩, laŋ˩ kʰaʔ˧ bo˩ ai˨ kaʔ˧ i˧ tau˨tin˦.
伊真歹喙斗。	i˧ tsin pʰãĩ˥tsʰui˩tau˥.
伊講話真歹喙斗。	i˧ koŋ˥ue˧ tsin pʰãĩ˥tsʰui˩tau˥.
啉水止喙焦。	lim˧ tsui˥ tsi˥ tsʰui˩ta˧.
伊講你是一蕊花，這是一个比喻。	i˧ koŋ˥ li˥ si˦ tsit˧ lui˥ hue˧, tse si˦ tsit˧ e˩ pi˥dzu˦.
伊予人比喻做菩薩。	i˧ hɔ˦ laŋ˩ pi˥dzu˦ tso˩ pʰɔ˩sat˧.
做人著愛想予伊開，較袂心悶。	tso˩laŋ˩ tioʔ˩ai˨ sĩũ˦ hɔ˦ i˧ kʰui˧, kʰaʔ˧ be˦ sim˧bun˦.
老母心悶咧做兵的囝。	lau˦bu˥ sim˧bun˦ teʔ˧ tso˩piŋ˧ e˩ kĩã˥.
看你敢抑是毋敢？	kʰuã˨ li˥ kã˥ ia˧̍hsi˦ m̄ kã˥?
水晶宮	tsui˥tsi˧kioŋ˧
水晶目	tsui˥tsi˧ bak˩
囡仔人食飯袂使歹款，逐項物件攏愛食。	gn˥a˥laŋ˩ tsiaʔ˧pŋ̩˦ be˦sai˥ pʰãĩ˥kʰuan˥, ta˧̍k haŋ˦ mi˧̍hkĩã˦ loŋ˥ ai˨ tsiaʔ˧.
天然的素材上好。	tʰian˧dzian˩ e˩ sɔ˨tsai˧˥ sioŋ˦ ho˥.
雨潑對天窗落來。	hɔ˦ pʰuaʔ˧ tui˩ tʰĩ˧tʰaŋ˧ lo˧̍hlai˩.
昨暝我真歹睏。	tsame˩ gua˥ tsin pʰãĩ˥kʰun˨.
伊真巴結，拄著艱難攏袂放棄。	i˧ tsin pa˧kiat˧, tu˥tioʔ˩ kan˧lan˩ loŋ˥ be˦ hoŋ˨kʰi˨.
這件代誌毋著的人是你。	tsit kĩã˦ tai˦tsi˩ m̄tioʔ˩ e˩ laŋ˩ si˦ li˥.
伊講話真文雅。	i˧ koŋ˥ue˧ tsin bun˩ŋa˥.
手勢無啥著。	tsʰiu˥se˨ bo˩ sĩã˥ tioʔ˩.
人講會做翁仔某是頂世人相欠債。	laŋ˩ koŋ˥ e˦ tso˩ aŋ˧a˥bɔ˥ si˦ tiŋ˥si˨laŋ˩ sio˧kʰiam˨tse˩.
誠歹勢，我無拄好煞共恁的玻璃杯仔摃破去。	tsia˧˥˧ pʰãĩ˥se˨, gua˥ bo˩tu˥ho˥ suaʔ˧ ka˦ lin˥ e˩ po˧le˩ pue˧a˥ koŋ˨pʰua˨kʰi˨.
你傷過主動啦，伊會歹勢。	li˥ sĩũ˧ kue˨ tsu˥toŋ˦laʔ˧, i˧ e˦ pʰãĩ˥se˨.
咱會佇遮相拄，攏是天意。	lan˥ e˦ ti˦ tsia sio˧tu˥, loŋ˥ si˦ tʰĩ˧i˨.
各人有各人的心意。	kok˧laŋ˩ u˧ kok˧laŋ˩ e˩ sim˧i˨.
伊按呢講，無歹意。	i˧ an˥ne˧ koŋ˥, bo˩ pʰãĩ˥i˨.
目睭掛斗概，看人物就愛。	bak˩tsiu kua˨ tau˥kai˨, kʰuã˨ laŋ˩ mi˧̍h to˦ ai˨.
彼个人誠無水準。	hit˧ e˩ laŋ˩ tsia˧˥˧ bo˩ tsui˥tsun˥.
陳家的少爺人品真好，恁共查某囝嫁伊就無毋著啦。	tan˩ka˧ e˩ siau˨ia˩ dzin˩pʰin˥ tsin ho˥, lin˥ ka˦ tsabɔ˥kĩã˥ ke˨i˧ to˦ bo˩ m̄tioʔ˩laʔ˧.
阮少爺對阮這寡下跤手人攏真好。	guan˥ siau˨ia˩ tui˩ guan˥ tsit kua˥ e˦kʰa˧tsʰiu˥laŋ˩ loŋ˥ tsin ho˥.
這魚仔真臭臊，予人鼻著強欲反腹。	tse hi˩a˥ tsin tsʰau˩tsʰo, hɔ˦ laŋ˩ pʰĩ˦ tioʔ˩ kioŋ˦beʔ˧ piŋ˥pak˧.
烏白食會歹腹肚。	ɔ˧pe˧̍h tsiaʔ˧ e˦ pʰãĩ˥pak˧tɔ˥.
伊專門佇後壁講人的歹話。	i˧ tsuanbun˩ ti˦ au˦piaʔ˧ koŋ˥ laŋ˩ e˩ pʰãĩ˥ue˧.
鬧熱時仔毋通講歹話。	lau˦dzia˧̍tsi˩a˥ m̄tʰaŋ˧ koŋ˥ pʰãĩ˥ue˧.
毛跤欲修無？	mn̩˩kʰa˧ beʔ˧ siu˧bo˩?
伊捌足濟種做瓷仔的手路。	i˧ bat˧ tsiok tse˧ tsiɔŋ˥ tso˩ hui˩a˥ e˩ tsʰiu˥lɔ˦.
伊這款做法手路傷粗啦。	i˧ tsit kʰuan˥ tso˩huat˧ tsʰiu˥lɔ˦ sĩũ˧ tsʰɔlaʔ˧.
你千萬毋通閣行歹路。	li˥ tsʰianban˦ m̄tʰaŋ˧ koʔ˧ kĩã˩ pʰãĩ˥lɔ˦.
阿英仔有夠歹運，見若儉寡錢，人就破病。	a˧iŋ˧a˥ u˧kau˨ pʰãĩ˥un˧, kian˨na˦ kʰiam˦ kua˥ tsi˧˥˧, laŋ˩ to˦ pʰua˨pẽ˦.
這兩个計畫性質差傷濟，真歹比較。	tsit nn̩˦ e˩ ke˨ue˧ siŋ˨tsit tsʰa sĩũ˧ tse˧, tsin pʰãĩ˥ pi˥kau˨.
山頂無牽水道！	suã˧tiŋ˥ bo˩ kʰan˧ tsui˥to˦!
這是阮阿母的手路菜。	tse si˦ guan˥ a˧bu˥ e˩ tsʰiu˥lɔ˦tsʰai˩.
囡仔人毋通傷手銃。	gn˥a˥laŋ˩ m̄tʰaŋ˧ sĩũ˧ tsʰiu˥tsʰiŋ˩.
伊是做水電的啦！	i˧ si˦ tso˩ tsui˥tian˦e˩laʔ˧!
明仔暗會停電，你敢有攢手電仔？	bin˩a˥am˨ e˦ tʰiŋ˩tian˦, li˥ kam˥ u˧ tsʰuan˧˥ tsʰiu˥tian˦a˥?
咱已經品好矣，希望你毋通反僥。	lan˥ i˥kiŋ˧ pʰin˥ho˥aʔ˧, hi˧baŋ˦ li˥ m̄tʰaŋ˧ huan˥hiau˧.
聽講這款藥仔會當止嗽化痰兼顧肺管。	tʰĩã˧koŋ˥ tsit kʰuan˥ io˧̍ha˥ e˦taŋ˨ tsi˥sau˨ hua˨ tʰam˩ kiam˧ kɔ˨ hi˨kŋ̩˥.
你按呢做毋驚會夭壽！	li˥ an˥ne˧ tso˩ m̄ kĩã˧ e˦ iau˥siu˦!
夭壽！阮這條巷仔昨昏又閣著賊偷矣。	iau˥siu˦! guan˥ tsit tiau˩ haŋ˦a˥ tsahŋ̩˧ iu˦koʔ˧ tioʔ˩tsʰa̍ttʰau˧aʔ˧.
這粒木瓜夭壽甜！	tsit liap˩ bok˩kue˧ iau˥siu˦ tĩ˧!
你這款人，啥物夭壽代誌做袂出來！	li˥ tsit kʰuan˥ laŋ˩, sĩã˥miʔ˧ iau˥siu˦ tai˦tsi˩ tso˩ be˦ tsʰutlai˩!
你這个夭壽短命的，共我的錢提去跋筊輸了了。	li˥ tsit e˩ iau˥siu˦te˥mia˦e˩, ka˦ gua˥ e˩ tsi˧˥˧ tʰe˧̍hkʰi˨ puaʔ˩kiau˥ su˧liau˥liau˥.
我反對你這款做法。	gua˥ huan˥tui˩ li˥ tsit kʰuan˥ tso˩huat˧.
你的手摺簿仔好換矣。	li˥ e˩ tsʰiu˥tsiʔpʰɔ˦a˥ ho˥ ua˧˧aʔ˧.
我欲去買一本手摺簿仔轉來記數。	gua˥ beʔ˧ kʰi˨ be˥ tsit˧ pun˥ tsʰiu˥tsiʔpʰɔ˦a˥ tŋ̩˥lai˩ ki˨siau˨.
毋管是啥人共你問，你攏袂使講。	m̄kuan˥ si˦ sĩã˥laŋ˩ ka˦ li˥ mn̩˦, li˥ loŋ˥ be˦sai˥ koŋ˥.
這條水管破去矣。	tsit tiau˩ tsui˥koŋ˥ pʰua˨kʰi˨aʔ˧.
引誘賊仔出來。	in˥iu˥ tsʰa̍ta˥ tsʰutlai˩.
伊的身世予人聽著感覺誠心酸。	i˧ e˩ sin˧se˨ hɔ˦ laŋ˩ tʰĩã˧ tioʔ˩ kam˥kak˧ tsia˧˥˧ sim˧sŋ̩˧.
有酒矸，通賣無，歹銅舊錫簿仔紙通賣無？	u˧ tsiu˥kan˧, tʰaŋ˧ be˦bo˩, pʰãĩ˥taŋ˩ku˦siaʔ˧ pʰɔ˦a˥tsua˥ tʰaŋ˧ be˦bo˩?
反對的人是少數，你就放心去做。	huan˥tui˩ e˩ laŋ˩ si˦ tsio˥sɔ˨, li˥ to˦ hoŋ˨sim˧ kʰi˨ tso˩.
我毋捌咧共人欠數。	gua˥ m̄ bat˧ teʔ˧ ka˦ laŋ˩ kʰiam˨siau˨.
今仔日有一个和尚來遮化緣。	kin˧a˥dzit˩ u˧ tsit˧ e˩ hue˩sĩũ˦ lai˩ tsia hua˨ian˩.
比論講伊若共你借錢，你敢會借伊？	pi˥lun˦koŋ˥ i˧ na˦ ka˦ li˥ tsioʔ tsi˧˥˧, li˥ kã˥ e˦ tsioʔi˧?
伊人有夠心適。	i˧ laŋ˩ u˧kau˨ sim˧sik˧.
囡仔人毋通坐戶橂。	gn˥a˥laŋ˩ m̄tʰaŋ˧ tse˧ hɔ˦tiŋ˦.
天氣真寒，你愛會記得掛手橐仔。	tʰĩ˧kʰi˨ tsin kuã˩, li˥ ai˨ e˦ki˨tit˧ kua˨ tsʰiu˥lok˧a˥.
伊這个人歹積德，後擺無好尾。	i˧ tsit e˩ laŋ˩ pʰãĩ˥tsiktik˧, au˦pai˥ bo˩ ho˥bue˥.
伊的一句話予我規个心頭挐絞絞。	i˧ e˩ tsit˧ ku˨ ue˧ hɔ˦ gua˥ kui˧e˩ sim˧tʰau˩ dzu˩ka˥ka˥.
心頭掠予伊定，大步向前行。	sim˧tʰau˩ liaʔ˩ hɔ˦ i˧ tĩã˦, tua˧ pɔ˦ hioŋ˨tsian˧˥ kĩã˩.
這站仔手頭真絚。	tsittsam˧a˥ tsʰiu˥tʰau˩ tsin an˩.
手頭拄拄仔好無閒。	tsʰiu˥tʰau˩ tu˥tu˥a˥ho˥ bo˩iŋ˩.
這个醫生的手頭有較重。	tsit e˩ i˧siŋ˧ e˩ tsʰiu˥tʰau˩ u˧ kʰaʔ˧ taŋ˦.
今仔日的日頭真猛。	kin˧a˥dzit˩ e˩ dzit˩tʰau˩ tsin me˥.
送日頭	saŋ˨ dzit˩tʰau˩
我月頭愛納厝稅錢。	gua˥ gueʔ˩tʰau˩ ai˨ lap˩ tsʰu˩sue˨tsi˧˥˧.
請朋友鬥允頭路	tsʰia˥˧ piŋ˩iu˥ tau˨ in˥tʰau˩lɔ˦
鴛鴦水鴨	uanĩũ˧ tsui˥aʔ˧
反應無好。	huan˥iŋ˨ bo˩ ho˥.
大摒掃的時，天篷嘛著清清咧。	tua˧pĩã˨sau˨ e˩ si˩, tʰian˧poŋ˩ ma˦ tioʔ˩ tsʰiŋtsʰiŋleʔ˧.
伊講話誠歹聲嗽，予人聽著心肝頭袂爽快。	i˧ koŋ˥ue˧ tsia˧˥˧ pʰãĩ˥sĩã˧sau˨, hɔ˦ laŋ˩ tʰĩã˧ tioʔ˩ sim˧kuã˧tʰau˩ be˦ soŋ˥kʰuai˨.
船欲入港的時會霆水螺。	tsun˧˥ beʔ˧ dzip˩kaŋ˥ e˩ si˩ e˦ tan˩tsui˥le˩.
未來社會會變按怎，真歹講。	bi˦lai˩ sia˦hue˦ e˦ pian˨ an˥tsua˥˧, tsin pʰãĩ˥koŋ˥.
後日遮欲舉行一場歌唱比賽。	au˦dzit˩ tsia beʔ˧ ki˥hiŋ˩ tsit˧ tĩũ˩ kua˧tsʰiu˩˧ pi˥sai˨.
現代的水觳仔塑膠做的較濟。	hian˦tai˦ e˩ tsui˥kʰok˧a˥ sok˧ka˧ tso˩e˩ kʰaʔ˧ tse˧.
伊車駛傷緊，駛甲規台車反輾轉。	i˧ tsʰia sai˥ sĩũ˧ kin˥, sai˥ kaʔ˧ kui˧ tai˩ tsʰia piŋ˥lian˨tŋ̩˥.
腹肚若水櫃，胸坎若樓梯。	pak˧tɔ˥ na˥ tsui˥kui˦, hiŋ˧kʰam˥ na˥ lau˩tʰui˧.
伊的歹癖一大堆，連鞭咬指甲，連鞭搝頭鬃。	i˧ e˩ pʰãĩ˥pʰiaʔ˧ tsit˧tua˧tui, liam˩mi˧ ka˦ tsiŋ˥kaʔ˧, liam˩mi˧ kʰiu˥ tʰau˩tsaŋ.
伊毋願共你鬥相共，你就揣別人嘛。	i˧ m̄guan˦ ka˦ li˥ tau˨sã˧kaŋ˦, li˥ to˦ tsʰue˧ pa˧̍tlaŋ˩maʔ˧.
伊連一點仔機會都毋予我，我誠毋願。	i˧ lian˩ tsit˧tiam˥a˥ ki˧hue˦ to˧ m̄ hɔ˦gua˥, gua˥ tsia˧˥˧ m̄guan˦.
辦手續	pan˦ tsʰiu˥sio˧̍k
這件代誌若是傳出去，會真歹聽。	tsit kĩã˦ tai˦tsi˩ na˦si˦ tʰuan˩tsʰutkʰi˨, e˦ tsin pʰãĩ˥tʰĩã˧.
三更半暝走去墓仔埔，你敢毋驚去看著歹物仔？	sã˧kẽ˧puã˨me˩ tsau˥kʰi˨ boŋ˦a˥pɔ˧, li˥ kam˥ m̄ kĩã˧ kʰi˨ kʰuã˨tioʔ˩ pʰãĩ˥miʔ˧a˥?
大地動會予人心驚膽嚇。	tua˧ te˦taŋ˦ e˦ hɔ˦ laŋ˩ sim˧kĩã˧tã˥hĩãʔ˧.
電火	tian˦hue˥
火化去矣。	hue˥ hua˧kʰi˨aʔ˧.
火大	hue˥tua˧
火氣大	hue˥kʰi˨ tua˧
退火	tʰe˨hue˥
雞跤爪	ke˧kʰa˧dziau˥
歹手爪	pʰãĩ˥tsʰiu˥dziau˥
有其父必有其子。	iu˥ ki˩ hu˦ pit˧ iu˥ ki˩ tsu˥.
這爿	tsit piŋ˩
東爿	taŋ˧piŋ˩
一爿	tsit˧ piŋ˩
王梨爿	oŋ˩lai˩ piŋ˩
一爿西瓜	tsit˧ piŋ˩ si˧kue˧
木字爿	bok˩ dzi˦piŋ˩
名片	biŋ˩pʰĩ˨
一片枋仔	tsit˧ pʰĩ˨ paŋ˧a˥
歹癖片	pʰãĩ˥ pʰiaʔ˧pʰĩ˨
這支螺絲的牙萎去矣！	tsit ki˧ lɔ˩si˧ e˩ ga˩ uikʰi˨aʔ˧!
虎牙	hɔ˥ ge˩
象牙	tsʰiu˧˧ ge˩
今仔日十六，有真濟生理人做牙。	kin˧a˥dzit˩ tsap˧lak˩, u˧ tsin tse˧ siŋ˧li˥laŋ˩ tso˩ge˩.
國王	kok˧oŋ˩
囡仔王	gn˥a˥oŋ˩
蜂王	pʰaŋ˧oŋ˩
王牌	oŋ˩pai˩
王昭君	oŋ˩ tsiaukun˧
王見王	oŋ˩kian˨oŋ˩
若想著這層代誌，我就火大。	na˦ sĩũ˦tioʔ˩ tsit tsan˧˥ tai˦tsi˩, gua˥ to˦ hue˥tua˧.
阮阿公攑爪仔欲去整理菜園。	guan˥ a˧koŋ˧ gaʔ˩ dziau˥a˥ beʔ˧ kʰi˨ tsiŋ˥li˥ tsʰai˩hn̩˩.
彼隻貓仔的爪仔真利，毋通去予伊抓著。	hit˧ tsiaʔ niau˧a˥ e˩ dziau˥a˥ tsin lai˦, m̄tʰaŋ˧ kʰi˨ hɔ˦ i˧ dziau˨tioʔ˩.
阿三仔彼箍無路用人，干焦會曉佇牛牢內觸牛母爾爾。	a˧sam˧a˥ hit˧ kʰɔ˧ bo˩lɔ˦iŋ˦ laŋ˩, kan˧na˧ e˦hiau˥ ti˦ gu˩tiau˩lai˦ tak˧ gu˩bo˥ nia˦nia˦.
放煙火的時陣愛注意，毋通去予火星噴著。	paŋ˨ ian˧hue˥ e˩ si˩tsun˧ ai˨ tsu˩i˨, m̄tʰaŋ˧ kʰi˨ hɔ˦ hue˥tsʰe˧ pʰun˨tioʔ˩.
這馬較少人咧燃火炭。	tsitma˥ kʰaʔ˧ tsio˥ laŋ˩ teʔ˧ hĩã˩ hue˥tʰuã˨.
交朋友愛細膩，毋通去交著王哥柳哥。	kau˧ piŋ˩iu˥ ai˨ se˨dzi˦, m̄tʰaŋ˧ kʰi˨ kau˧tioʔ˩ oŋ˩ko˧liu˥ko˧.
你哪會使攑牛捽仔咧捽囡仔？	li˥ na˥ e˦sai˥ gaʔ˩ gu˩sut˧a˥ teʔ˧ sut˧ gn˥a˥?
這个牛牢內底有幾隻牛犅？	tsit e˩ gu˩tiau˩ lai˦te˥ u˧ kui˥ tsiaʔ gu˩kaŋ˥?
伊定定佇這箍圍仔佮人冤家相拍，又閣欲食毋討趁，袂輸王爺咧。	i˧ tĩã˦tĩã˦ ti˦ tsitkʰɔ˧ui˧˥a˥ kaʔ˧ laŋ˩ uanke˧ sio˧pʰaʔ˧, iu˦koʔ˧ beʔ˧ tsiaʔ˧ m̄ tʰo˥tʰan˨, be˦su˧ oŋ˩ia˩leʔ˧.
鐵齒銅牙槽	tʰiʔ˧kʰi˥ taŋ˩ ge˩tso˧˥
舊年遮火燒山，樹仔攏燒了了。	ku˦ni˩ tsia hue˥sio˧suã˧, tsʰiu˧a˥ loŋ˥ sio˧liau˥liau˥.
巷仔口火燒厝，足濟人圍咧看。	haŋ˦a˥kʰau˥ hue˥sio˧tsʰu˩, tsiok tse˧ laŋ˩ ui˧˥ leʔ˧ kʰuã˨.
就是天氣傷熱，毋才會火燒埔。	to˦ si˦ tʰĩ˧kʰi˨ sĩũ˧ dzuaʔ˩, m̄tsiaʔ e˦ hue˥sio˧pɔ˧.
六月火燒埔，真正會熱死人。	lak˩gueʔ˩ hue˥sio˧pɔ˧, tsintsia˩˧ e˦ dzuaʔ˩si˥ laŋ˩.
伊敢若牛螕咧，欲叫伊出錢是無可能的代誌。	i˧ kã˥na˥ gu˩pi˧leʔ˧, beʔ˧ kio˨ i˧ tsʰut tsi˧˥˧ si˦ bo˩ kʰo˥liŋ˩ e˩ tai˦tsi˩.
牛頭馬面	gu˩tʰau˩be˥bin˦
你講話若火雞母咧。	li˥ koŋ˥ue˧ na˥ hue˥ke˧bo˥leʔ˧.
世交	se˨kau˧
世事	se˨su˦
世局	se˨kiok˩
一世人	tsit˧si˨laŋ˩
出世	tsʰutsi˨
丙等	pĩã˥ tiŋ˥
一家之主	it˧ ka˧ tsi tsu˥
苦主	kʰɔ˥tsu˥
厝主	tsʰu˩tsu˥
賓主盡歡	pin˧ tsu˥ tsin˧ huan˧
