ააბარგებს	aabaɾgebs
ემპირიულად	empʼiɾiuɫatʰ
ემპირიული	empʼiɾiuli
ემუქრები	emukʰɾebi
ენა	ena
ენაბლუ	enabɫu
ენაბლუობა	enabɫuoba
ენათმეცნიერება	enatʰmetsʰnieɾeba
ენამოჩლექილად	enamotʃʰlekʰiɫatʰ
ენას	enas
ენაში	enaʃi
ენაჩლუნგი	enatʃʰɫuŋgi
ენაჭარტალა	enatʃʼaɾtʼaɫa
ენგური	eŋguɾi
ენდემური	endemuɾi
ენდოდონტიური	endodontʼiuɾi
ენდრო	endɾo
ენერგია	eneɾgia
ენერგიულად	eneɾgiuɫatʰ
ენერგიული	eneɾgiuli
ენერგომომარაგება	eneɾgomomaɾageba
ენერგოუსაფრთხოება	eneɾgousapʰɾtʰχoeba
ენის	enis
ენტერიტი	entʼeɾitʼi
ენტომოლოგი	entʼomoɫogi
ენტომოლოგია	entʼomoɫogia
ეპარება	epʼaɾeba
ეპარქია	epʼaɾkʰia
ეპიგრამა	epʼigɾama
ეპიგრამული	epʼigɾamuli
ეპიდემიოლოგი	epʼidemioɫogi
ეპიდემიური	epʼidemiuɾi
ეპიდერმისი	epʼideɾmisi
ეპიზოდური	epʼizoduɾi
ეპიკურეული	epʼikʼuɾeuli
ეპიკური	epʼikʼuɾi
ეპილეფსიური	epʼilepʰsiuɾi
ეპილოგი	epʼiɫogi
ეპისტემოლოგია	epʼistʼemoɫogia
ეპისტოლარული	epʼistʼoɫaɾuli
ეპიცენტრი	epʼitsʰentʼɾi
ეპოქალური	epʼokʰaɫuɾi
ერა	eɾa
ერაყი	eɾaχʼi
ერბიუმი	eɾbiumi
ერგო	eɾgo
ერდის	eɾdis
ერევანი	eɾevani
ერესი	eɾesi
ერეტიკოსი	eɾetʼikʼosi
ერეტიკული	eɾetʼikʼuli
ერთად	eɾtʰatʰ
ერთადერთი	eɾtʰadeɾtʰi
ერთბაშად	eɾtʰbaʃatʰ
ერთგანზომილებიანი	eɾtʰganzomilebiani
ერთგვაროვანი	eɾtʰgʷaɾovani
ერთგულად	eɾtʰguɫatʰ
ერთგულება	eɾtʰguleba
ერთგულები	eɾtʰgulebi
ერთგული	eɾtʰguli
ერთდროულად	eɾtʰdɾouɫatʰ
ერთდროული	eɾtʰdɾouli
ერთდროულობა	eɾtʰdɾouɫoba
ერთერთი	eɾtʰeɾtʰi
ერთთავად	eɾtʰtʰavatʰ
ერთი	eɾtʰi
ერთიანი	eɾtʰiani
ერთიანობა	eɾtʰianoba
ერთმაგი	eɾtʰmagi
ერთმანეთი	eɾtʰmanetʰi
ერთმანეთს	eɾtʰmanetʰs
ერთმხრივი	eɾtʰmχɾivi
ერთნაირობა	eɾtʰnaiɾoba
ერთობა	eɾtʰoba
ერთობის	eɾtʰobis
ერთობლივად	eɾtʰoblivatʰ
ერთობლივი	eɾtʰoblivi
ერთობლიობა	eɾtʰoblioba
ერთსულოვანი	eɾtʰsuɫovani
ერთსულოვნად	eɾtʰsuɫovnatʰ
ერთსულოვნება	eɾtʰsuɫovneba
ერთსქესიანი	eɾtʰskʰesiani
ერთუჯრედიანი	eɾtʰudʒɾediani
ერთუჯრედიანობა	eɾtʰudʒɾedianoba
ერთფერი	eɾtʰpʰeɾi
ერთფეროვანი	eɾtʰpʰeɾovani
ერთფეროვნად	eɾtʰpʰeɾovnatʰ
ერთფეროვნება	eɾtʰpʰeɾovneba
ერთქმრიანობა	eɾtʰkʰmɾianoba
ერთქორწინება	eɾtʰkʰoɾtsʼineba
ერთცოლიანობა	eɾtʰtsʰolianoba
ერთცხენიანი	eɾtʰtsʰχeniani
ერთწლიანი	eɾtʰtsʼliani
ერთხელ	eɾtʰχel
ერთხელაც	eɾtʰχeɫatsʰ
ერთხმად	eɾtʰχmatʰ
ერთხმივი	eɾtʰχmivi
ერთხმივობა	eɾtʰχmivoba
ერი	eɾi
ერიკა	eɾikʼa
ერიკი	eɾikʼi
ერისთავი	eɾistʰavi
ერისკაცი	eɾiskʼatsʰi
ერიტრეა	eɾitʼɾea
ერკემალი	eɾkʼemali
ერმა	eɾma
ერნესტი	eɾnestʼi
ეროზია	eɾozia
ეროზიული	eɾoziuli
ეროტიკულად	eɾotʼikʼuɫatʰ
ეროტიკული	eɾotʼikʼuli
ეროტიულად	eɾotʼiuɫatʰ
ეროტიული	eɾotʼiuli
ერს	eɾs
ერუდირებულად	eɾudiɾebuɫatʰ
ერუდირებული	eɾudiɾebuli
ერუდიცია	eɾuditsʰia
ერქვა	eɾkʰʷa
ერქვანი	eɾkʰʷani
ერცჰერცოგი	eɾtsʰheɾtsʰogi
ეს	es
ესაია	esaia
ესე	ese
ესვატინი	esʷatʼini
ესთეტიკური	estʰetʼikʼuɾi
ესთეტიურად	estʰetʼiuɾatʰ
ესკადრონი	eskʼadɾoni
ესკალატორი	eskʼaɫatʼoɾi
ესკალაცია	eskʼaɫatsʰia
ესკიზურად	eskʼizuɾatʰ
ესკიზური	eskʼizuɾi
ესკორტი	eskʼoɾtʼi
ესპანური	espʼanuɾi
ესპარცეტები	espʼaɾtsʰetʼebi
ესპარცეტი	espʼaɾtsʰetʼi
ესპერანტო	espʼeɾantʼo
ესტონური	estʼonuɾi
ეტარებინა	etʼaɾebina
ეტიმოლოგია	etʼimoɫogia
ეტიმოლოგიურად	etʼimoɫogiuɾatʰ
ეტიმოლოგიური	etʼimoɫogiuɾi
ეტრატი	etʼɾatʼi
ეტყვის	etʼχʼʷis
ეტყობა	etʼχʼoba
ეუფროსება	eupʰɾoseba
ეფემერული	epʰemeɾuli
ეფექტურად	epʰekʰtʼuɾatʰ
ეფექტური	epʰekʰtʼuɾi
ეფექტურობა	epʰekʰtʼuɾoba
ექვსგზის	ekʰʷsgzis
ექვსი	ekʰʷsi
ექვსკუთხა	ekʰʷskʼutʰχa
ექვსკუთხედი	ekʰʷskʼutʰχedi
ექვსჯერ	ekʰʷsdʒeɾ
ექიმად	ekʰimatʰ
ექიმის	ekʰimis
ექსკრემენტი	ekʰskʼɾementʼi
ექსკურსანტი	ekʰskʼuɾsantʼi
ექსკურსია	ekʰskʼuɾsia
ექსპანსიურად	ekʰspʼansiuɾatʰ
ექსპანსიური	ekʰspʼansiuɾi
ექსპედიცია	ekʰspʼeditsʰia
ექსპერიმენტალურად	ekʰspʼeɾimentʼaɫuɾatʰ
ექსპერიმენტი	ekʰspʼeɾimentʼi
ექსპერიმენტულად	ekʰspʼeɾimentʼuɫatʰ
ექსპერიმენტული	ekʰspʼeɾimentʼuli
ექსპერტები	ekʰspʼeɾtʼebi
ექსპერტი	ekʰspʼeɾtʼi
ექსპლუატაცია	ekʰspʼɫuatʼatsʰia
ექსპონენტურად	ekʰspʼonentʼuɾatʰ
ექსპორტიორი	ekʰspʼoɾtʼioɾi
ექსპრესი	ekʰspʼɾesi
ექსპრესია	ekʰspʼɾesia
ექსპრომტად	ekʰspʼɾomtʼatʰ
ექსპრომტი	ekʰspʼɾomtʼi
ექსპრომტული	ekʰspʼɾomtʼuli
ექსტაზურად	ekʰstʼazuɾatʰ
ექსტაზური	ekʰstʼazuɾi
ექსტრავაგანტულად	ekʰstʼɾavagantʼuɫatʰ
ექსტრაქტი	ekʰstʼɾakʰtʼi
ექსტრემისტი	ekʰstʼɾemistʼi
ექსჰუმაცია	ekʰshumatsʰia
ეღვიძება	eʁʷidzeba
ეშელონი	eʃeɫoni
ეშვები	eʃʷebi
ეშვი	eʃʷi
ეშმაკად	eʃmakʼatʰ
ეშმაკისებრ	eʃmakʼisebɾ
ეშმაკურად	eʃmakʼuɾatʰ
ეშხი	eʃχi
ეშხიანი	eʃχiani
ეჩო	etʃʰo
ეწვევა	etsʼʷeva
ეჭვი	etʃʼʷi
ეჭვიანად	etʃʼʷianatʰ
ეჭვიანი	etʃʼʷiani
ეჭვიანობა	etʃʼʷianoba
ეხა	eχa
ეხლა	eχɫa
ეხლავე	eχɫave
ეხმარება	eχmaɾeba
ეხმაურება	eχmauɾeba
ეხუტება	eχutʼeba
ვაგინალური	vaginaɫuɾi
ვადა	vada
ვაიომინგი	vaiomiŋgi
ვაკანტური	vakʼantʼuɾi
ვალიშვილი	valiʃʷili
ვალონელი	vaɫoneli
ვალონია	vaɫonia
ვალონიელი	vaɫonieli
ვალონური	vaɫonuɾi
ვალუტა	vaɫutʼa
ვამპირი	vampʼiɾi
ვაპირებ	vapʼiɾepʰ
ვაჟი	vaʒi
ვაჟის	vaʒis
ვაჟიშვილი	vaʒiʃʷili
ვაჟკაცი	vaʒkʼatsʰi
ვაჟკაცობა	vaʒkʼatsʰoba
ვაჟკაცურად	vaʒkʼatsʰuɾatʰ
ვაჟკაცური	vaʒkʼatsʰuɾi
ვაჟკაცურობა	vaʒkʼatsʰuɾoba
ვარ	vaɾ
ვარამი	vaɾami
ვარაუდი	vaɾaudi
ვარაუდით	vaɾauditʰ
ვარგისად	vaɾgisatʰ
ვარგისი	vaɾgisi
ვარგისობა	vaɾgisoba
ვარდანიძე	vaɾdanidze
ვარდი	vaɾdi
ვარდისუბანი	vaɾdisubani
ვარდისფერი	vaɾdispʰeɾi
ვარდისფერსაყელოიანი	vaɾdispʰeɾsaχʼeɫoiani
ვარდკაჭაჭა	vaɾdkʼatʃʼatʃʼa
ვარდნა	vaɾdna
ვართ	vaɾtʰ
ვარია	vaɾia
ვარიაცია	vaɾiatsʰia
ვარსკვლავი	vaɾskʼʷɫavi
ვარსკვლავური	vaɾskʼʷɫavuɾi
ვარშავა	vaɾʃava
ვარშანიძე	vaɾʃanidze
ვარცხნილობა	vaɾtsʰχniɫoba
ვარხვი	vaɾχʷi
ვარჯიში	vaɾdʒiʃi
ვარჯიშობს	vaɾdʒiʃobs
ვასალური	vasaɫuɾi
ვატერლოო	vatʼeɾɫoo
ვაქცინა	vakʰtsʰina
ვაქცინაცია	vakʰtsʰinatsʰia
ვაშინგტონი	vaʃiŋgtʼoni
ვაშლატამა	vaʃɫatʼama
ვაცი	vatsʰi
ვაჭარი	vatʃʼaɾi
ვაჭრობა	vatʃʼɾoba
ვახ	vaχ
ვახო	vaχo
ვახტანგ	vaχtʼaŋkʰ
ვახტანგი	vaχtʼaŋgi
ვახტანგური	vaχtʼaŋguɾi
ვახშამი	vaχʃami
ვახში	vaχʃi
ვგრძნობ	vgɾdznopʰ
ვგრძნობთ	vgɾdznobtʰ
ვებგვერდი	vebgʷeɾdi
ვებკამერა	vebkʼameɾa
ვებკონფერენცია	vebkʼonpʰeɾentsʰia
ვედრებით	vedɾebitʰ
ვედრო	vedɾo
ვეებერთელა	veebeɾtʰeɫa
ვეზირი	veziɾi
ველვეტი	velʷetʼi
ველოსიპედი	veɫosipʼedi
ველურად	veɫuɾatʰ
ველური	veɫuɾi
ველურობა	veɫuɾoba
ვენა	vena
ვენახი	venaχi
ვენერა	veneɾa
ვენერიული	veneɾiuli
ვენესუელა	venesueɫa
ვენეცია	venetsʰia
ვენეციური	venetsʰiuɾi
ვენის	venis
ვენტილაცია	ventʼiɫatsʰia
ვენური	venuɾi
ვერ	veɾ
ვერა	veɾa
ვერაგად	veɾagatʰ
ვერაგი	veɾagi
ვერაგობა	veɾagoba
ვერანა	veɾana
ვერანდა	veɾanda
ვერასგზით	veɾasgzitʰ
ვერასდროს	veɾasdɾos
ვერასოდეს	veɾasodes
ვერაფერი	veɾapʰeɾi
ვერბენა	veɾbena
ვერდიქტი	veɾdikʰtʼi
ვერმიშელი	veɾmiʃeli
ვერმონტი	veɾmontʼi
ვერნონი	veɾnoni
ვერონაში	veɾonaʃi
ვერონიკა	veɾonikʼa
ვერსალი	veɾsali
ვერსია	veɾsia
ვერტიკალურად	veɾtʼikʼaɫuɾatʰ
ვერტიკალური	veɾtʼikʼaɫuɾi
ვერტმფრენი	veɾtʼmpʰɾeni
ვერფი	veɾpʰi
ვერცხლად	veɾtsʰχɫatʰ
ვერცხლი	veɾtsʰχli
ვერცხლით	veɾtsʰχlitʰ
ვერცხლის	veɾtsʰχlis
ვერცხლისფერი	veɾtsʰχlispʰeɾi
ვერცხლისწყალი	veɾtsʰχlistsʼχʼali
ვერცხლისწყლიანი	veɾtsʰχlistsʼχʼliani
ვერცხლმა	veɾtsʰχlma
ვერცხლს	veɾtsʰχls
ვერძი	veɾdzi
ვერხვი	veɾχʷi
ვესტერნი	vestʼeɾni
ვეტერანი	vetʼeɾani
ვეტერინალური	vetʼeɾinaɫuɾi
ვეტერინარი	vetʼeɾinaɾi
ვეფხვი	vepʰχʷi
ვეფხისტყაოსანი	vepʰχistʼχʼaosani
ვექტორი	vekʰtʼoɾi
ვთქვა	ftʰkʰʷa
ვთქვათ	ftʰkʰʷatʰ
ვთქვი	ftʰkʰʷi
ვიაროთ	viaɾotʰ
ვიბრატორი	vibɾatʼoɾi
ვიგინდარა	vigindaɾa
ვიდეო	video
ვიდეოგრაფი	videogɾapʰi
ვიდეოგრაფია	videogɾapʰia
ვიდეოგრაფიულად	videogɾapʰiuɫatʰ
ვიდეოგრაფიული	videogɾapʰiuli
ვიდეოკამერა	videokʼameɾa
ვიდეოკონფერენცია	videokʼonpʰeɾentsʰia
ვიდრე	vidɾe
ვივისექცია	vivisekʰtsʰia
ვიზუალურად	vizuaɫuɾatʰ
ვიზუალური	vizuaɫuɾi
ვითარება	vitʰaɾeba
ვითარებითი	vitʰaɾebitʰi
ვიკინგი	vikʼiŋgi
ვიკიპედიად	vikʼipʼediatʰ
ვილა	viɫa
ვილაპარაკოთ	viɫapʼaɾakʼotʰ
ვინეგრეტი	vinegɾetʼi
ვიოლა	vioɫa
ვირთაგვა	viɾtʰagʷa
ვირთევზა	viɾtʰevza
ვირთხა	viɾtʰχa
ვირი	viɾi
ვირილიზაცია	viɾilizatsʰia
ვიროლოგია	viɾoɫogia
ვირტუალურად	viɾtʼuaɫuɾatʰ
ვირტუალური	viɾtʼuaɫuɾi
ვირტუოზი	viɾtʼuozi
ვირტუოზობა	viɾtʼuozoba
ვირული	viɾuli
ვირუსი	viɾusi
ვირუსოლოგია	viɾusoɫogia
ვირჯინია	viɾdʒinia
ვისვენებ	visʷenepʰ
ვისლა	visɫa
ვისურვებდით	visuɾʷebditʰ
ვისწავლო	vistsʼavɫo
ვიტრინა	vitʼɾina
ვიქტორი	vikʰtʼoɾi
ვიქტორია	vikʰtʼoɾia
ვიღაც	viʁatsʰ
ვიყავი	viχʼavi
ვიჩინა	vitʃʰina
ვიცი	vitsʰi
ვიწრო	vitsʼɾo
ვიწროდ	vitsʼɾotʰ
ვიხდი	viχdi
ვიხდიდი	viχdidi
ვლაპარაკობ	vɫapʼaɾakʼopʰ
ვმუშაობ	vmuʃaopʰ
ვნახე	vnaχe
ვნახოთ	vnaχotʰ
ვნებიანად	vnebianatʰ
ვოკალური	vokʼaɫuɾi
ვოლგოგრადი	volgogɾadi
ვოლფრამი	volpʰɾami
ვორონეჟი	voɾoneʒi
ვრჩები	vɾtʃʰebi
ვრცელი	vɾtsʰeli
ვრცლად	vɾtsʰɫatʰ
ვსაუბრობ	fsaubɾopʰ
ვსვავ	fsʷav
ვსვამ	fsʷam
ვსიო	fsjo
ვუბნობ	vubnopʰ
ვუთხრა	vutʰχɾa
ვულგარიზაცია	vulgaɾizatsʰia
ვულგარიზმი	vulgaɾizmi
ვულგარულად	vulgaɾuɫatʰ
ვულგარული	vulgaɾuli
ვულგარულობა	vulgaɾuɫoba
ვულკანიზაცია	vulkʼanizatsʰia
ვულკანური	vulkʼanuɾi
ვუპერტალი	vupʼeɾtʼali
ვუყურებ	vuχʼuɾepʰ
ვფლობთ	fpʰɫobtʰ
ვწუხვარ	ftsʼuχʷaɾ
ვჭამ	ftʃʼam
ვხოცავდი	fχotsʰavdi
ზ	z
ზაარბრიუკენი	zaaɾbɾiukʼeni
ზაარლანდი	zaaɾɫandi
ზაგარი	zagaɾi
ზაგრები	zagɾebi
ზავთი	zaftʰi
ზავთიანი	zaftʰiani
ზავთობა	zaftʰoba
ზავი	zaʷi
ზაზა	zaza
ზაირი	zaiɾi
ზაკვა	zakʼʷa
ზალა	zaɫa
ზალაყინი	zaɫaχʼini
ზალვანა	zalʷana
ზალცბურგი	zaltsʰbuɾgi
ზამბარა	zambaɾa
ზამბარაკი	zambaɾakʼi
ზამბარაკიანი	zambaɾakʼiani
ზამბახი	zambaχi
ზამბახიანი	zambaχiani
ზამბახიძე	zambaχidze
ზამბურაკი	zambuɾakʼi
ზამთარი	zamtʰaɾi
ზამთრის	zamtʰɾis
ზანგი	zaŋgi
ზანგურაშვილი	zaŋguɾaʃʷili
ზანზარით	zanzaɾitʰ
ზანური	zanuɾi
ზაპოროჟიე	zapʼoɾoʒie
ზარალი	zaɾali
ზარაფხანა	zaɾapʰχana
ზარბაზანი	zaɾbazani
ზარდახშა	zaɾdaχʃa
ზარდლი	zaɾdli
ზარი	zaɾi
ზარმაცად	zaɾmatsʰatʰ
ზარმაცი	zaɾmatsʰi
ზაფრანა	zapʰɾana
ზაფხულად	zapʰχuɫatʰ
ზაფხული	zapʰχuli
ზაფხულით	zapʰχulitʰ
ზაფხულის	zapʰχulis
ზაფხულმა	zapʰχulma
ზაფხულს	zapʰχuls
ზაქარო	zakʰaɾo
ზაყენი	zaχʼeni
ზდაროვა	zdaɾova
ზეადამიანურად	zeadamianuɾatʰ
ზეადამიანური	zeadamianuɾi
ზებგერითი	zebgeɾitʰi
ზებრა	zebɾa
ზებუნებრივად	zebunebɾivatʰ
ზებუნებრივი	zebunebɾivi
ზეგ	zekʰ
ზეგანაკვეთურად	zeganakʼʷetʰuɾatʰ
ზედ	zetʰ
ზედადგარი	zedadgaɾi
ზედამხედველი	zedamχedʷeli
ზედამხედველობა	zedamχedʷeɫoba
ზედაპირი	zedapʼiɾi
ზედაპირულად	zedapʼiɾuɫatʰ
ზედაპირული	zedapʼiɾuli
ზედაპირულობა	zedapʼiɾuɫoba
ზედახორა	zedaχoɾa
ზედიზედ	zedizetʰ
ზედმეტად	zedmetʼatʰ
ზევსი	zefsi
ზეთავს	zetʰafs
ზეთანამედროვე	zetʰanamedɾove
ზეთისცხება	zetʰistsʰχeba
ზეთისხილი	zetʰisχili
ზეინკალი	zeiŋkʼali
ზელანდია	zeɫandia
ზელანდიური	zeɫandiuɾi
ზემამაკაცური	zemamakʼatsʰuɾi
ზემო	zemo
ზენიტური	zenitʼuɾi
ზეპარტიული	zepʼaɾtʼiuli
ზეპირად	zepʼiɾatʰ
ზეპირი	zepʼiɾi
ზეჟანგი	zeʒaŋgi
ზერელე	zeɾele
ზერელედ	zeɾeletʰ
ზერელობა	zeɾeɫoba
ზესახელმწიფო	zesaχelmtsʼipʰo
ზეფირი	zepʰiɾi
ზეფიროსი	zepʰiɾosi
ზეციერი	zetsʰieɾi
ზეციური	zetsʰiuɾi
ზეძალა	zedzaɫa
ზეწარი	zetsʼaɾi
ზვავი	zʷavi
ზვარა	zʷaɾa
ზვარაკი	zʷaɾakʼi
ზვარი	zʷaɾi
ზვერავს	zʷeɾafs
ზვიგენი	zʷigeni
ზვინი	zʷini
ზვირთი	zʷiɾtʰi
ზვირთცემა	zʷiɾtʰtsʰema
ზიანს	zians
ზიარება	ziaɾeba
ზიგზაგურად	zigzaguɾatʰ
ზიდვა	zidʷa
ზიზილა	ziziɫa
ზიზღი	zizʁi
ზიზღიანად	zizʁianatʰ
ზიზღიანი	zizʁiani
ზიზღით	zizʁitʰ
ზიმბაბვე	zimbabʷe
ზინდისი	zindisi
ზირაქაშვილი	ziɾakʰaʃʷili
ზლოტი	zɫotʼi
ზმნიზედური	zmnizeduɾi
ზოგადად	zogadatʰ
ზოგავს	zogafs
ზოგიერთი	zogieɾtʰi
ზოგჯერ	zogdʒeɾ
ზოლის	zolis
ზოლში	zolʃi
ზომვა	zomʷa
ზომვადი	zomʷadi
ზომიერად	zomieɾatʰ
ზომიერება	zomieɾeba
ზომიერი	zomieɾi
ზომის	zomis
ზონარი	zonaɾi
ზონდის	zondis
ზოოლოგი	zooɫogi
ზოოლოგია	zooɫogia
ზოოლოგიური	zooɫogiuɾi
ზორბა	zoɾba
ზორვა	zoɾʷa
ზორვარი	zoɾʷaɾi
ზრდა	zɾda
ზრდასრული	zɾdasɾuli
ზრდილობა	zɾdiɫoba
ზრდილობიანად	zɾdiɫobianatʰ
ზრდილობიანი	zɾdiɫobiani
ზრდის	zɾdis
ზუბი	zubi
ზუთხი	zutʰχi
ზუმფარა	zumpʰaɾa
ზურაბი	zuɾabi
ზურაბიშვილი	zuɾabiʃʷili
ზურგზე	zuɾgze
ზურგი	zuɾgi
ზურგჩანთა	zuɾgtʃʰantʰa
ზურმუხტი	zuɾmuχtʼi
ზურმუხტისფერი	zuɾmuχtʼispʰeɾi
ზურნა	zuɾna
ზუსტად	zustʼatʰ
ზღაპარი	zʁapʼaɾi
ზღარბი	zʁaɾbi
ზღვა	zʁʷa
ზღვაოსნობა	zʁʷaosnoba
ზღვარი	zʁʷaɾi
ზღვის	zʁʷis
ზღვისიქითა	zʁʷisikʰitʰa
ზღვისიქითური	zʁʷisikʰitʰuɾi
ზღვისკენ	zʁʷiskʼen
ზღვისფერი	zʁʷispʰeɾi
ზღმარტლი	zʁmaɾtʼli
ზღურბლი	zʁuɾbli
თაბაშირი	tʰabaʃiɾi
თაგვი	tʰagʷi
თაგვისფერი	tʰagʷispʰeɾi
თავად	tʰavatʰ
თავაზიანად	tʰavazianatʰ
თავაშვებული	tʰavaʃʷebuli
თავაწყვეტილი	tʰavatsʼχʼʷetʼili
თავბრუ	tʰavbɾu
თავბრუდამხვევად	tʰavbɾudamχʷevatʰ
თავგანწირვა	tʰavgantsʼiɾʷa
თავგანწირული	tʰavgantsʼiɾuli
თავგზააბნეულად	tʰavgzaabneuɫatʰ
თავდამსხმელი	tʰavdamsχmeli
თავდაპირველად	tʰavdapʼiɾʷeɫatʰ
თავდაპირველი	tʰavdapʼiɾʷeli
თავდასხმა	tʰavdasχma
თავდაუზოგავად	tʰavdauzogavatʰ
თავდაყირა	tʰavdaχʼiɾa
თავდაცვა	tʰavdatsʰʷa
თავდაცვითი	tʰavdatsʰʷitʰi
თავდაჭერილი	tʰavdatʃʼeɾili
თავდაჯერებულად	tʰavdadʒeɾebuɫatʰ
თავზარი	tʰavzaɾi
თავის	tʰavis
თავისებურება	tʰavisebuɾeba
თავისებური	tʰavisebuɾi
თავისთვის	tʰavistʰʷis
თავისუფლად	tʰavisupʰɫatʰ
თავკაცი	tʰafkʼatsʰi
თავკომბალა	tʰafkʼombaɫa
თავლა	tʰavɫa
თავმდაბლად	tʰavmdabɫatʰ
თავმდაბლობა	tʰavmdabɫoba
თავმდაბლურად	tʰavmdabɫuɾatʰ
თავმჯდომარე	tʰavmdʒdomaɾe
თავნებად	tʰavnebatʰ
თავნებურად	tʰavnebuɾatʰ
თავს	tʰafs
თავსაბურავი	tʰafsabuɾavi
თავსატეხი	tʰafsatʼeχi
თავსაფარი	tʰafsapʰaɾi
თავსახური	tʰafsaχuɾi
თავქარიანად	tʰafkʰaɾianatʰ
თავქარიანი	tʰafkʰaɾiani
თავქვეშ	tʰafkʰʷeʃ
თავქუდმოგლეჯილი	tʰafkʰudmogledʒili
თავყვითელა	tʰavχʼʷitʰeɫa
თავშალი	tʰafʃali
თავშეკავება	tʰafʃekʼaveba
თავშეკავებულად	tʰafʃekʼavebuɫatʰ
თავშესაფარი	tʰafʃesapʰaɾi
თავშესაქცევად	tʰafʃesakʰtsʰevatʰ
თავშეუკავებლად	tʰafʃeukʼavebɫatʰ
თავშეყუკავებლად	tʰafʃeχʼukʼavebɫatʰ
თავშიშველი	tʰafʃiʃʷeli
თავხე	tʰafχe
თავხედი	tʰafχedi
თავხედობა	tʰafχedoba
თავხედურად	tʰafχeduɾatʰ
თავხედური	tʰafχeduɾi
თათარიახნი	tʰatʰaɾiaχni
თათბირი	tʰatʰbiɾi
თათები	tʰatʰebi
თათრული	tʰatʰɾuli
თაკარა	tʰakʼaɾa
თაკარად	tʰakʼaɾatʰ
თალგამურა	tʰalgamuɾa
თამამად	tʰamamatʰ
თამარი	tʰamaɾi
თამაშგარე	tʰamaʃgaɾe
თამაშგარეთ	tʰamaʃgaɾetʰ
თამაშის	tʰamaʃis
თამბაქოსფერი	tʰambakʰospʰeɾi
თან	tʰan
თანაარსებობა	tʰanaaɾseboba
თანაბარი	tʰanabaɾi
თანაბარმნიშვნელოვანი	tʰanabaɾmniʃʷneɫovani
თანაბარძალიანი	tʰanabaɾdzaliani
თანაბრად	tʰanabɾatʰ
თანაგრძნობა	tʰanagɾdznoba
თანაგრძნობით	tʰanagɾdznobitʰ
თანადროულად	tʰanadɾouɫatʰ
თანადროული	tʰanadɾouli
თანამგზავრი	tʰanamgzavɾi
თანამგრძნობი	tʰanamgɾdznobi
თანამებრძოლი	tʰanamebɾdzoli
თანამეგობრობა	tʰanamegobɾoba
თანამედროვე	tʰanamedɾove
თანამედროვედ	tʰanamedɾovetʰ
თანამოგზაური	tʰanamogzauɾi
თანამოიჯარე	tʰanamoidʒaɾe
თანამოსაუბრე	tʰanamosaubɾe
თანამშრომელი	tʰanamʃɾomeli
თანაპრინცი	tʰanapʼɾintsʰi
თანაპროდუქტი	tʰanapʼɾodukʰtʼi
თანასპონსორი	tʰanaspʼonsoɾi
თანასწორი	tʰanastsʼoɾi
თანასწორობა	tʰanastsʼoɾoba
თანაფარდობა	tʰanapʰaɾdoba
თანაყვავილი	tʰanaχʼʷavili
თანაც	tʰanatsʰ
თანაცხოვრება	tʰanatsʰχovɾeba
თანახმა	tʰanaχma
თანახმად	tʰanaχmatʰ
თანდაყოლილად	tʰandaχʼoliɫatʰ
თანდაყოლილი	tʰandaχʼolili
თანმიმდევრობა	tʰanmimdevɾoba
თანმიმდევრულად	tʰanmimdevɾuɫatʰ
თანმხლები	tʰanmχlebi
თანხა	tʰanχa
თანხლება	tʰanχleba
თანხმობა	tʰanχmoba
თანხმოვანი	tʰanχmovani
თარაზო	tʰaɾazo
თარგი	tʰaɾgi
თარგმანები	tʰaɾgmanebi
თარგმანი	tʰaɾgmani
თარგმნა	tʰaɾgmna
თართი	tʰaɾtʰi
თარიღი	tʰaɾiʁi
თარო	tʰaɾo
თარფი	tʰaɾpʰi
თარჯიმანი	tʰaɾdʒimani
თაფლა	tʰapʰɫa
თაფლისფერი	tʰapʰlispʰeɾi
თაფლუჭი	tʰapʰɫutʃʼi
თაღი	tʰaʁi
თაღლითი	tʰaʁlitʰi
თაღლითობა	tʰaʁlitʰoba
თაღლითურად	tʰaʁlitʰuɾatʰ
თაღლითური	tʰaʁlitʰuɾi
თაყაიშვილი	tʰaχʼaiʃʷili
თაყვანისცემა	tʰaχʼʷanistsʰema
თახვი	tʰaχʷi
თახსირი	tʰaχsiɾi
თბილა	tʰbiɫa
თბილად	tʰbiɫatʰ
თბილსისხლიანი	tʰbilsisχliani
თეატრალი	tʰeatʼɾali
თეატრალურად	tʰeatʼɾaɫuɾatʰ
თეატრალური	tʰeatʼɾaɫuɾi
თეატრი	tʰeatʼɾi
თებერვალი	tʰebeɾʷali
თევდორე	tʰevdoɾe
თეთრეული	tʰetʰɾeuli
თეთრი	tʰetʰɾi
თეთრკანიანი	tʰetʰɾkʼaniani
თეთრსაყელოიანი	tʰetʰɾsaχʼeɫoiani
თეთრყვავილა	tʰetʰɾχʼʷaviɫa
თეირანი	tʰeiɾani
თეისტური	tʰeistʼuɾi
თეკლა	tʰekʼɫa
თელა	tʰeɫa
თელავი	tʰeɫavi
თელავის	tʰeɫavis
თელავს	tʰeɫafs
თელვადი	tʰelʷadi
თელვადობა	tʰelʷadoba
თემაზე	tʰemaze
თემატური	tʰematʼuɾi
თემშარა	tʰemʃaɾa
თეოდიცეა	tʰeoditsʰea
