Ⴀ	ɑ
გ	ɡ̊
გააადამიანებს	ɡ̊aaadamianebs
გააადვილებს	ɡ̊aaadʷilebs
გააგრძელებ	ɡ̊aaɡɾdzelepʰ
გააგრძელებს	ɡ̊aaɡɾdzelebs
გაადიდებს	ɡ̊aadidebs
გაათავებს	ɡ̊aatʰavebs
გააკეთებდა	ɡ̊aakʼetʰebda
გააკეთებს	ɡ̊aakʼetʰebs
გააკეთეთ	ɡ̊aakʼetʰetʰ
გააკუებს	ɡ̊aakʼuebs
გაალამაზებს	ɡ̊aaɫamazebs
გაამდიდრებს	ɡ̊aamdidɾebs
გაამოთ	ɡ̊aamotʰ
გაანდო	ɡ̊aando
გაასწორებს	ɡ̊aastsʼoɾebs
გაატარებს	ɡ̊aatʼaɾebs
გაატარეს	ɡ̊aatʼaɾes
გააფთრებული	ɡ̊aapʰtʰɾebuli
გააქტიურებული	ɡ̊aakʰtʼiuɾebuli
გააღებს	ɡ̊aaʁebs
გააჩნია	ɡ̊aatʃʰnia
გააცნობს	ɡ̊aatsʰnobs
გააძნელებს	ɡ̊aadznelebs
გააწიწმატებს	ɡ̊aatsʼitsʼmatʼebs
გაახურებს	ɡ̊aaχuɾebs
გაახურეთ	ɡ̊aaχuɾetʰ
გააჯვი	ɡ̊aadʒʷi
გაბარდინი	ɡ̊abaɾdini
გაბარდული	ɡ̊abaɾduli
გაბატონებულად	ɡ̊abatʼonebuɫatʰ
გაბატონებული	ɡ̊abatʼonebuli
გაბაშვილი	ɡ̊abaʃʷili
გაბედულად	ɡ̊abeduɫatʰ
გაბედულება	ɡ̊abeduleba
გაბედული	ɡ̊abeduli
გაბერილი	ɡ̊abeɾili
გაბზარული	ɡ̊abzaɾuli
გაბიაბრუება	ɡ̊abiabɾueba
გაბნეული	ɡ̊abneuli
გაბონი	ɡ̊aboni
გაბრაზებით	ɡ̊abɾazebitʰ
გაბრაზებული	ɡ̊abɾazebuli
გაბრუებული	ɡ̊abɾuebuli
გაბუტულად	ɡ̊abutʼuɫatʰ
გაბღენძილი	ɡ̊abʁendzili
გაგებით	ɡ̊aɡebitʰ
გაგიმარჯოს	ɡ̊aɡimaɾdʒos
გაგიჟებით	ɡ̊aɡiʒebitʰ
გაგიჟებული	ɡ̊aɡiʒebuli
გაგონება	ɡ̊aɡoneba
გაგრა	ɡ̊aɡɾa
გაგრძელება	ɡ̊aɡɾdzeleba
გადააადგილებს	ɡ̊adaaadɡilebs
გადააგდებს	ɡ̊adaaɡdebs
გადაადგილება	ɡ̊adaadɡileba
გადაარქმევს	ɡ̊adaaɾkʰmefs
გადააღწევს	ɡ̊adaaʁtsʼefs
გადაგდება	ɡ̊adaɡdeba
გადადიან	ɡ̊adadian
გადადის	ɡ̊adadis
გადავაღწიე	ɡ̊adavaʁtsʼie
გადავიხადე	ɡ̊adaviχade
გადავიხადო	ɡ̊adaviχado
გადავიხდი	ɡ̊adaviχdi
გადავწყვიტე	ɡ̊adaftsʼχʼʷitʼe
გადათარგმნის	ɡ̊adatʰaɾɡmnis
გადაიხადა	ɡ̊adaiχada
გადაიხადოს	ɡ̊adaiχados
გადაიხდი	ɡ̊adaiχdi
გადაიხდიან	ɡ̊adaiχdian
გადაიხდის	ɡ̊adaiχdis
გადაკრული	ɡ̊adakʼɾuli
გადამდგარი	ɡ̊adamdɡaɾi
გადამდები	ɡ̊adamdebi
გადამთიელი	ɡ̊adamtʰieli
გადამოწმებადი	ɡ̊adamotsʼmebadi
გადამუშავება	ɡ̊adamuʃaveba
გადამცემი	ɡ̊adamtsʰemi
გადამწერი	ɡ̊adamtsʼeɾi
გადამწყვეტად	ɡ̊adamtsʼχʼʷetʼatʰ
გადამწყვეტი	ɡ̊adamtsʼχʼʷetʼi
გადარეული	ɡ̊adaɾeuli
გადარეცხილი	ɡ̊adaɾetsʰχili
გადარქმევა	ɡ̊adaɾkʰmeva
გადასაზიდი	ɡ̊adasazidi
გადასაწყვეტი	ɡ̊adasatsʼχʼʷetʼi
გადასახადი	ɡ̊adasaχadi
გადასვლა	ɡ̊adasʷɫa
გადასინჯავს	ɡ̊adasindʒafs
გადატანა	ɡ̊adatʼana
გადატანითი	ɡ̊adatʼanitʰi
გადატანილი	ɡ̊adatʼanili
გადატვირთვა	ɡ̊adatʼʷiɾtʰʷa
გადატვირთული	ɡ̊adatʼʷiɾtʰuli
გადაუდებლად	ɡ̊adaudebɫatʰ
გადაულახავად	ɡ̊adauɫaχavatʰ
გადაულახავი	ɡ̊adauɫaχavi
გადაუხაზავი	ɡ̊adauχazavi
გადაუხდელი	ɡ̊adauχdeli
გადაუხდელობა	ɡ̊adauχdeɫoba
გადაუხურავი	ɡ̊adauχuɾavi
გადაქანცული	ɡ̊adakʰantsʰuli
გადაღეჭილი	ɡ̊adaʁetʃʼili
გადაწერეთ	ɡ̊adatsʼeɾetʰ
გადაწერს	ɡ̊adatsʼeɾs
გადაწყვეტილება	ɡ̊adatsʼχʼʷetʼileba
გადაწყვეტს	ɡ̊adatsʼχʼʷetʼs
გადაწყვიტა	ɡ̊adatsʼχʼʷitʼa
გადაჭარბებულად	ɡ̊adatʃʼaɾbebuɫatʰ
გადაჭიმული	ɡ̊adatʃʼimuli
გადაჭრით	ɡ̊adatʃʼɾitʰ
გადახდა	ɡ̊adaχda
გადახდები	ɡ̊adaχdebi
გადახდილი	ɡ̊adaχdili
გადახდის	ɡ̊adaχdis
გადახოტრილი	ɡ̊adaχotʼɾili
გადახრილად	ɡ̊adaχɾiɫatʰ
გადახრილი	ɡ̊adaχɾili
გადის	ɡ̊adis
გადმოდის	ɡ̊admodis
გადმოიქცა	ɡ̊admoikʰtsʰa
გადმოიქცევა	ɡ̊admoikʰtsʰeva
გადმომტვირთავი	ɡ̊admomtʼʷiɾtʰavi
გადმონაშთი	ɡ̊admonaʃtʰi
გადმოსაკონტრრევოლუციონერებლებისნაირებისათვისაცო	ɡ̊admosakʼontʼɾɾevoɫutsʰioneɾeblebisnaiɾebisatʰʷisatsʰo
გადოლინიუმი	ɡ̊adoliniumi
გაერთიანება	ɡ̊aeɾtʰianeba
გაერთიანებული	ɡ̊aeɾtʰianebuli
გაეღვიძა	ɡ̊aeʁʷidza
გაეღვიძება	ɡ̊aeʁʷidzeba
გავა	ɡ̊ava
გავაკეთე	ɡ̊avakʼetʰe
გავარვარებულად	ɡ̊avaɾʷaɾebuɫatʰ
გავიგე	ɡ̊aviɡe
გავლენა	ɡ̊avlena
გავლენიანად	ɡ̊avlenianatʰ
გავლენიანი	ɡ̊avleniani
გავრცელება	ɡ̊avɾtsʰeleba
გავრცელებული	ɡ̊avɾtsʰelebuli
გაზაფხული	ɡ̊azapʰχuli
გაზეთი	ɡ̊azetʰi
გაზელი	ɡ̊azeli
გაზვიადება	ɡ̊azʷiadeba
გაზი	ɡ̊azi
გაზიფიკაცია	ɡ̊azipʰikʼatsʰia
გაზმომარაგება	ɡ̊azmomaɾaɡeba
გაზომეტრი	ɡ̊azometʼɾi
გაზომვადი	ɡ̊azomʷadi
გაზონი	ɡ̊azoni
გაზრდა	ɡ̊azɾda
გაზრდილიყო	ɡ̊azɾdiliχʼo
გაზსადენი	ɡ̊azsadeni
გაზუთხვა	ɡ̊azutʰχʷa
გაზქურა	ɡ̊azkʰuɾa
გათალეთ	ɡ̊atʰaletʰ
გათანაბრება	ɡ̊atʰanabɾeba
გათევა	ɡ̊atʰeva
გათეთრდება	ɡ̊atʰetʰɾdeba
გათვალისწინება	ɡ̊atʰʷalistsʼineba
გათიშავს	ɡ̊atʰiʃafs
გათიშე	ɡ̊atʰiʃe
გათლა	ɡ̊atʰɫa
გათხოვება	ɡ̊atʰχoveba
გათხოვილი	ɡ̊atʰχovili
გაიანა	ɡ̊aiana
გაიგებს	ɡ̊aiɡebs
გაივლის	ɡ̊aivlis
გაიზრდება	ɡ̊aizɾdeba
გაიზუთხავს	ɡ̊aizutʰχafs
გაითვალისწინებს	ɡ̊aitʰʷalistsʼinebs
გაიმეორებს	ɡ̊aimeoɾebs
გაისად	ɡ̊aisatʰ
გაიფიქრეთ	ɡ̊aipʰikʰɾetʰ
გაიძვერა	ɡ̊aidzʷeɾa
გაიჭაჭება	ɡ̊aitʃʼatʃʼeba
გაიჭაჭებიან	ɡ̊aitʃʼatʃʼebian
გაიხარე	ɡ̊aiχaɾe
გაიხსენებს	ɡ̊aiχsenebs
გაკეთება	ɡ̊akʼetʰeba
გაკეთებული	ɡ̊akʼetʰebuli
გაკვამლული	ɡ̊akʼʷamɫuli
გაკვეთილი	ɡ̊akʼʷetʰili
გაკვირვებული	ɡ̊akʼʷiɾʷebuli
გაკოტრებული	ɡ̊akʼotʼɾebuli
გაკუება	ɡ̊akʼueba
გალანტურად	ɡ̊aɫantʼuɾatʰ
გალანტური	ɡ̊aɫantʼuɾi
გალაქტიკა	ɡ̊aɫakʰtʼikʼa
გალაქტიკური	ɡ̊aɫakʰtʼikʼuɾi
გალდავა	ɡ̊aldava
გალერა	ɡ̊aleɾa
გალერეა	ɡ̊aleɾea
გალვანური	ɡ̊alʷanuɾi
გალია	ɡ̊alia
გალიონი	ɡ̊alioni
გალისია	ɡ̊alisia
გალიუმი	ɡ̊aliumi
გალიცია	ɡ̊alitsʰia
გალობა	ɡ̊aɫoba
გალონი	ɡ̊aɫoni
გალუმპული	ɡ̊aɫumpʼuli
გალური	ɡ̊aɫuɾi
გამა	ɡ̊ama
გამათბობელი	ɡ̊amatʰbobeli
გამაკი	ɡ̊amakʼi
გამალებით	ɡ̊amalebitʰ
გამალებულად	ɡ̊amalebuɫatʰ
გამალებული	ɡ̊amalebuli
გამამხნევებლად	ɡ̊amamχnevebɫatʰ
გამანადგურებლად	ɡ̊amanadɡuɾebɫatʰ
გამართული	ɡ̊amaɾtʰuli
გამართულობა	ɡ̊amaɾtʰuɫoba
გამარჯვება	ɡ̊amaɾdʒʷeba
გამარჯობა	ɡ̊amaɾdʒoba
გამარჯობათ	ɡ̊amaɾdʒobatʰ
გამატარეთ	ɡ̊amatʼaɾetʰ
გამაუპატიურებელი	ɡ̊amaupʼatʼiuɾebeli
გამაღიზიანებლად	ɡ̊amaʁizianebɫatʰ
გამაში	ɡ̊amaʃi
გამაცოცხლებლად	ɡ̊amatsʰotsʰχlebɫatʰ
გამაცხელებელი	ɡ̊amatsʰχelebeli
გამბედავად	ɡ̊ambedavatʰ
გამბედავი	ɡ̊ambedavi
გამბედაობა	ɡ̊ambedaoba
გამბია	ɡ̊ambia
გამბიტი	ɡ̊ambitʼi
გამგზავრება	ɡ̊amɡzavɾeba
გამგზავრებები	ɡ̊amɡzavɾebebi
გამეფებული	ɡ̊amepʰebuli
გამზირი	ɡ̊amziɾi
გამკილავად	ɡ̊amkʼiɫavatʰ
გამო	ɡ̊amo
გამოადგება	ɡ̊amoadɡeba
გამოადგებოდა	ɡ̊amoadɡeboda
გამოატანს	ɡ̊amoatʼans
გამოაქვეყნებს	ɡ̊amoakʰʷeχʼnebs
გამოაცხობს	ɡ̊amoatsʰχobs
გამოდიან	ɡ̊amodian
გამოდის	ɡ̊amodis
გამოვატან	ɡ̊amovatʼan
გამოთქმა	ɡ̊amotʰkʰma
გამოთქმული	ɡ̊amotʰkʰmuli
გამოითქმის	ɡ̊amoitʰkʰmis
გამოითქმოდა	ɡ̊amoitʰkʰmoda
გამოიკვლევს	ɡ̊amoikʼʷlefs
გამოიკითხავს	ɡ̊amoikʼitʰχafs
გამოკვლევა	ɡ̊amokʼʷleva
გამოკლება	ɡ̊amokʼleba
გამომგონებელი	ɡ̊amomɡonebeli
გამომგონებლურად	ɡ̊amomɡonebɫuɾatʰ
გამომდინარე	ɡ̊amomdinaɾe
გამომივიდა	ɡ̊amomivida
გამომსახველი	ɡ̊amomsaχʷeli
გამომქვეყნებელი	ɡ̊amomkʰʷeχʼnebeli
გამომცდელი	ɡ̊amomtsʰdeli
გამომძალველურად	ɡ̊amomdzalʷeɫuɾatʰ
გამომწვევად	ɡ̊amomtsʼʷevatʰ
გამომწვევი	ɡ̊amomtsʼʷevi
გამომხატველად	ɡ̊amomχatʼʷeɫatʰ
გამომხატველურად	ɡ̊amomχatʼʷeɫuɾatʰ
გამონაყარი	ɡ̊amonaχʼaɾi
გამონაშვერი	ɡ̊amonaʃʷeɾi
გამოპრანჭული	ɡ̊amopʼɾantʃʼuli
გამორჩეული	ɡ̊amoɾtʃʰeuli
გამოსადეგი	ɡ̊amosadeɡi
გამოსადეგობა	ɡ̊amosadeɡoba
გამოსავალი	ɡ̊amosavali
გამოსასყიდი	ɡ̊amosasχʼidi
გამოსაცდელი	ɡ̊amosatsʰdeli
გამოსაცვლელად	ɡ̊amosatsʰʷleɫatʰ
გამოსახავს	ɡ̊amosaχafs
გამოსახატავად	ɡ̊amosaχatʼavatʰ
გამოსახულება	ɡ̊amosaχuleba
გამოსახული	ɡ̊amosaχuli
გამოსდის	ɡ̊amosdis
გამოსვლად	ɡ̊amosʷɫatʰ
გამოსვლამ	ɡ̊amosʷɫam
გამოსვლას	ɡ̊amosʷɫas
გამოსვლით	ɡ̊amosʷlitʰ
გამოსვლის	ɡ̊amosʷlis
გამოსულიყო	ɡ̊amosuliχʼo
გამოსყიდვა	ɡ̊amosχʼidʷa
გამოსხივება	ɡ̊amosχiveba
გამოტანება	ɡ̊amotʼaneba
გამოტვინებული	ɡ̊amotʼʷinebuli
გამოუვიდა	ɡ̊amouvida
გამოუთქმელად	ɡ̊amoutʰkʰmeɫatʰ
გამოუთქმელი	ɡ̊amoutʰkʰmeli
გამოუკვლევი	ɡ̊amoukʼʷlevi
გამოუსწორებლად	ɡ̊amoustsʼoɾebɫatʰ
გამოუცდელად	ɡ̊amoutsʰdeɫatʰ
გამოუცდელი	ɡ̊amoutsʰdeli
გამოუცდელობა	ɡ̊amoutsʰdeɫoba
გამოუცნობი	ɡ̊amoutsʰnobi
გამოფენა	ɡ̊amopʰena
გამოფიტული	ɡ̊amopʰitʼuli
გამოქანებულად	ɡ̊amokʰanebuɫatʰ
გამოქვაბული	ɡ̊amokʰʷabuli
გამოყენება	ɡ̊amoχʼeneba
გამოყენებადი	ɡ̊amoχʼenebadi
გამოყენებითი	ɡ̊amoχʼenebitʰi
გამოყენებული	ɡ̊amoχʼenebuli
გამოყოფილი	ɡ̊amoχʼopʰili
გამოშვერილი	ɡ̊amoʃʷeɾili
გამოშტერებული	ɡ̊amoʃtʼeɾebuli
გამოჩენილად	ɡ̊amotʃʰeniɫatʰ
გამოჩენილი	ɡ̊amotʃʰenili
გამოჩენილობა	ɡ̊amotʃʰeniɫoba
გამოჩორკნილი	ɡ̊amotʃʰoɾkʼnili
გამოცანა	ɡ̊amotsʰana
გამოცდილება	ɡ̊amotsʰdileba
გამოცდილი	ɡ̊amotsʰdili
გამოცემა	ɡ̊amotsʰema
გამოცემად	ɡ̊amotsʰematʰ
გამოცემამ	ɡ̊amotsʰemam
გამოცემას	ɡ̊amotsʰemas
გამოცემით	ɡ̊amotsʰemitʰ
გამოცემის	ɡ̊amotsʰemis
გამოცვლა	ɡ̊amotsʰʷɫa
გამოცხობა	ɡ̊amotsʰχoba
გამოძახება	ɡ̊amodzaχeba
გამოხატავს	ɡ̊amoχatʼafs
გამოხატვა	ɡ̊amoχatʼʷa
გამოჯავრებით	ɡ̊amodʒavɾebitʰ
გამრყვნელად	ɡ̊amɾχʼʷneɫatʰ
გამსახურდია	ɡ̊amsaχuɾdia
გამტარობა	ɡ̊amtʼaɾoba
გამტკნარება	ɡ̊amtʼkʼnaɾeba
გამუდმებით	ɡ̊amudmebitʰ
გამურულად	ɡ̊amuɾuɫatʰ
გამყიდველი	ɡ̊amχʼidʷeli
გამძლე	ɡ̊amdzle
გამძლეობა	ɡ̊amdzleoba
გამჭვირვალე	ɡ̊amtʃʼʷiɾʷale
გამჭვირვალედ	ɡ̊amtʃʼʷiɾʷaletʰ
გამჭოლად	ɡ̊amtʃʼoɫatʰ
გამჭრიახად	ɡ̊amtʃʼɾiaχatʰ
გამჭრიახი	ɡ̊amtʃʼɾiaχi
გამჭრიახობა	ɡ̊amtʃʼɾiaχoba
გამხდარი	ɡ̊amχdaɾi
გამხდრად	ɡ̊amχdɾatʰ
განა	ɡ̊ana
განადგურება	ɡ̊anadɡuɾeba
განათებული	ɡ̊anatʰebuli
განათებულობა	ɡ̊anatʰebuɫoba
განათლება	ɡ̊anatʰleba
განათლებას	ɡ̊anatʰlebas
განათლების	ɡ̊anatʰlebis
განათლებული	ɡ̊anatʰlebuli
განაყოფიერება	ɡ̊anaχʼopʰieɾeba
განაჩენი	ɡ̊anatʃʰeni
განაცხადა	ɡ̊anatsʰχada
განაცხადებს	ɡ̊anatsʰχadebs
განაწილება	ɡ̊anatsʼileba
განახლება	ɡ̊anaχleba
განახლებადი	ɡ̊anaχlebadi
განახლებადობა	ɡ̊anaχlebadoba
განგაში	ɡ̊aŋɡaʃi
განგმირვა	ɡ̊aŋɡmiɾʷa
განგრენა	ɡ̊aŋɡɾena
განგსტერი	ɡ̊aŋɡstʼeɾi
განდგომილები	ɡ̊andɡomilebi
განებივრებული	ɡ̊anebivɾebuli
განედი	ɡ̊anedi
განვითარება	ɡ̊anʷitʰaɾeba
განვითარებადი	ɡ̊anʷitʰaɾebadi
განვითარებამ	ɡ̊anʷitʰaɾebam
განვითარებას	ɡ̊anʷitʰaɾebas
განვითარების	ɡ̊anʷitʰaɾebis
განვითარებული	ɡ̊anʷitʰaɾebuli
განზე	ɡ̊anze
განზოგადება	ɡ̊anzoɡadeba
განზომილება	ɡ̊anzomileba
განზომილებათაშორისი	ɡ̊anzomilebatʰaʃoɾisi
განზომილებიანი	ɡ̊anzomilebiani
განზრახ	ɡ̊anzɾaχ
განზრახულად	ɡ̊anzɾaχuɫatʰ
განთიადი	ɡ̊antʰiadi
განიარაღება	ɡ̊aniaɾaʁeba
განიერი	ɡ̊anieɾi
განივ	ɡ̊aniv
განივად	ɡ̊anivatʰ
განივი	ɡ̊anivi
განიცდიან	ɡ̊anitsʰdian
განიცდის	ɡ̊anitsʰdis
განიხილავს	ɡ̊aniχiɫafs
განკარგულება	ɡ̊aŋkʼaɾɡuleba
განმანათლებლობა	ɡ̊anmanatʰlebɫoba
განმარტება	ɡ̊anmaɾtʼeba
განმარტებითი	ɡ̊anmaɾtʼebitʰi
განმგმირავად	ɡ̊anmɡmiɾavatʰ
განმეორებადი	ɡ̊anmeoɾebadi
განმეორებით	ɡ̊anmeoɾebitʰ
განმეორებითი	ɡ̊anmeoɾebitʰi
განრიგები	ɡ̊anɾiɡebi
განრიგი	ɡ̊anɾiɡi
განრისხებულად	ɡ̊anɾisχebuɫatʰ
განსაზღვრა	ɡ̊ansazʁʷɾa
განსაზღვრავს	ɡ̊ansazʁʷɾafs
განსაზღვრულად	ɡ̊ansazʁʷɾuɫatʰ
განსაზღვრული	ɡ̊ansazʁʷɾuli
განსაკუთრებით	ɡ̊ansakʼutʰɾebitʰ
განსაკუთრებულად	ɡ̊ansakʼutʰɾebuɫatʰ
განსაკუთრებული	ɡ̊ansakʼutʰɾebuli
განსაცდელი	ɡ̊ansatsʰdeli
განსაცვიფრებლად	ɡ̊ansatsʰʷipʰɾebɫatʰ
განსახლება	ɡ̊ansaχleba
განსწავლული	ɡ̊anstsʼavɫuli
განსხვავება	ɡ̊ansχʷaveba
განსხვავებები	ɡ̊ansχʷavebebi
განსხვავებით	ɡ̊ansχʷavebitʰ
განსხვავებულად	ɡ̊ansχʷavebuɫatʰ
განსხვავებული	ɡ̊ansχʷavebuli
განტვირთვა	ɡ̊antʼʷiɾtʰʷa
განუზომლად	ɡ̊anuzomɫatʰ
განუზრახავად	ɡ̊anuzɾaχavatʰ
განურჩევლად	ɡ̊anuɾtʃʰevɫatʰ
განუსაზღვრელად	ɡ̊anusazʁʷɾeɫatʰ
განუწყვეტლად	ɡ̊anutsʼχʼʷetʼɫatʰ
განუხორციელებელი	ɡ̊anuχoɾtsʰielebeli
განუხორციელებლად	ɡ̊anuχoɾtsʰielebɫatʰ
განყენებულად	ɡ̊anχʼenebuɫatʰ
განყოფილება	ɡ̊anχʼopʰileba
განყუთვა	ɡ̊anχʼutʰʷa
განცალკევებით	ɡ̊antsʰalkʼevebitʰ
განძი	ɡ̊andzi
განწყობა	ɡ̊antsʼχʼoba
განხეთქილება	ɡ̊anχetʰkʰileba
განხილვა	ɡ̊anχilʷa
განხორციელება	ɡ̊anχoɾtsʰieleba
გაოცებულად	ɡ̊aotsʰebuɫatʰ
გაჟღენთილი	ɡ̊aʒʁentʰili
გარანტი	ɡ̊aɾantʼi
გარანტია	ɡ̊aɾantʼia
გარაჟი	ɡ̊aɾaʒi
გარგარი	ɡ̊aɾɡaɾi
გარდა	ɡ̊aɾda
გარდამავალი	ɡ̊aɾdamavali
გარდამავლად	ɡ̊aɾdamavɫatʰ
გარდამქმნელი	ɡ̊aɾdamkʰmneli
გარდაუვალად	ɡ̊aɾdauvaɫatʰ
გარდაუვალი	ɡ̊aɾdauvali
გარდაუვალობა	ɡ̊aɾdauvaɫoba
გარდაუვლად	ɡ̊aɾdauvɫatʰ
გარდაქმნა	ɡ̊aɾdakʰmna
გარდაცვალებად	ɡ̊aɾdatsʰʷalebatʰ
გარდაცვალებამ	ɡ̊aɾdatsʰʷalebam
გარდაცვალებას	ɡ̊aɾdatsʰʷalebas
გარდაცვალებით	ɡ̊aɾdatsʰʷalebitʰ
გარდაცვალების	ɡ̊aɾdatsʰʷalebis
გარდაცვლილი	ɡ̊aɾdatsʰʷlili
გარდერობი	ɡ̊aɾdeɾobi
გარდიგარდმო	ɡ̊aɾdiɡaɾdmo
გარე	ɡ̊aɾe
გარეგანი	ɡ̊aɾeɡani
გარეგნობა	ɡ̊aɾeɡnoba
გარეგნულად	ɡ̊aɾeɡnuɫatʰ
გარეგნული	ɡ̊aɾeɡnuli
გარედან	ɡ̊aɾedan
გარეთ	ɡ̊aɾetʰ
გარეთა	ɡ̊aɾetʰa
გარემო	ɡ̊aɾemo
გარემოება	ɡ̊aɾemoeba
გარემოსმცოდნეობა	ɡ̊aɾemosmtsʰodneoba
გარესამყარო	ɡ̊aɾesamχʼaɾo
გარეუბანი	ɡ̊aɾeubani
გარეშე	ɡ̊aɾeʃe
გართულებული	ɡ̊aɾtʰulebuli
გარიჟრაჟი	ɡ̊aɾiʒɾaʒi
გარკვევით	ɡ̊aɾkʼʷevitʰ
გარკვეული	ɡ̊aɾkʼʷeuli
გარნიზონი	ɡ̊aɾnizoni
გარნირი	ɡ̊aɾniɾi
გარონა	ɡ̊aɾona
გარსი	ɡ̊aɾsi
გარყვნილად	ɡ̊aɾχʼʷniɫatʰ
გარყვნილება	ɡ̊aɾχʼʷnileba
გარყვნილები	ɡ̊aɾχʼʷnilebi
გარყვნილი	ɡ̊aɾχʼʷnili
გარშემო	ɡ̊aɾʃemo
გარჩევადობა	ɡ̊aɾtʃʰevadoba
გასაგებად	ɡ̊asaɡebatʰ
გასაგები	ɡ̊asaɡebi
გასავლიანი	ɡ̊asavliani
გასამათრახებელი	ɡ̊asamatʰɾaχebeli
გასამრჯელო	ɡ̊asamɾdʒeɫo
გასაოცარი	ɡ̊asaotsʰaɾi
გასაოცრად	ɡ̊asaotsʰɾatʰ
გასართობად	ɡ̊asaɾtʰobatʰ
გასასვლელი	ɡ̊asasʷleli
გასაღები	ɡ̊asaʁebi
გასაჭირი	ɡ̊asatʃʼiɾi
გასვლა	ɡ̊asʷɫa
გასინჯვა	ɡ̊asindʒʷa
გასტრიტი	ɡ̊astʼɾitʼi
გასული	ɡ̊asuli
გასულიერება	ɡ̊asulieɾeba
გასულიყო	ɡ̊asuliχʼo
გასწვრივ	ɡ̊astsʼʷɾiv
გასწორება	ɡ̊astsʼoɾeba
გატაცება	ɡ̊atʼatsʰeba
გატეხვა	ɡ̊atʼeχʷa
გატრუნვა	ɡ̊atʼɾunʷa
გაუბედავად	ɡ̊aubedavatʰ
გაუბედაობა	ɡ̊aubedaoba
გაუგებრად	ɡ̊auɡebɾatʰ
გაუგებრობა	ɡ̊auɡebɾoba
გაუმართლებელი	ɡ̊aumaɾtʰlebeli
გაუმართლებლად	ɡ̊aumaɾtʰlebɫatʰ
გაუმარჯოს	ɡ̊aumaɾdʒos
გაუმაძღრად	ɡ̊aumadzʁɾatʰ
გაუმაძღრობა	ɡ̊aumadzʁɾoba
გაუმჯობესება	ɡ̊aumdʒobeseba
გაუნათლებელი	ɡ̊aunatʰlebeli
გაუნათლებლად	ɡ̊aunatʰlebɫatʰ
გაუნძრევლად	ɡ̊aundzɾevɫatʰ
გაუპატიურება	ɡ̊aupʼatʼiuɾeba
გაურკვეველი	ɡ̊auɾkʼʷeveli
გაურკვევლად	ɡ̊auɾkʼʷevɫatʰ
გაურკვევლობა	ɡ̊auɾkʼʷevɫoba
გაუსაძლისი	ɡ̊ausadzlisi
გაუფრთხილებლად	ɡ̊aupʰɾtʰχilebɫatʰ
გაუქმება	ɡ̊aukʰmeba
გაუშვებს	ɡ̊auʃʷebs
გაუჩინარება	ɡ̊autʃʰinaɾeba
გაუწონასწორებლად	ɡ̊autsʼonastsʼoɾebɫatʰ
გაუხშოებულად	ɡ̊auχʃoebuɫatʰ
გაფანტული	ɡ̊apʰantʼuli
გაფართოება	ɡ̊apʰaɾtʰoeba
გაფატრავს	ɡ̊apʰatʼɾafs
გაფატრვა	ɡ̊apʰatʼɾʷa
გაფენს	ɡ̊apʰens
გაფინა	ɡ̊apʰina
გაფიცვა	ɡ̊apʰitsʰʷa
გაფორმების	ɡ̊apʰoɾmebis
გაფრენა	ɡ̊apʰɾena
გაფუფუნებული	ɡ̊apʰupʰunebuli
გაფუჭება	ɡ̊apʰutʃʼeba
გაფუჭებული	ɡ̊apʰutʃʼebuli
გაქ	ɡ̊akʰ
გაქვთ	ɡ̊akʰʷtʰ
გაქვს	ɡ̊akʰʷs
გაქრობა	ɡ̊akʰɾoba
გაქცევა	ɡ̊akʰtsʰeva
გაღიზიანებულად	ɡ̊aʁizianebuɫatʰ
გაღიმება	ɡ̊aʁimeba
გაღიმებული	ɡ̊aʁimebuli
გაღმერთება	ɡ̊aʁmeɾtʰeba
გაყალბება	ɡ̊aχʼalbeba
გაყიდვა	ɡ̊aχʼidʷa
გაყინული	ɡ̊aχʼinuli
გაყოფადი	ɡ̊aχʼopʰadi
გაშეშებულად	ɡ̊aʃeʃebuɫatʰ
გაშეშებული	ɡ̊aʃeʃebuli
გაშვება	ɡ̊aʃʷeba
გაშლილი	ɡ̊aʃlili
გაშმაგება	ɡ̊aʃmaɡeba
გაშორდა	ɡ̊aʃoɾda
გაშორდება	ɡ̊aʃoɾdeba
გაშორება	ɡ̊aʃoɾeba
გაშრობა	ɡ̊aʃɾoba
გაშუქება	ɡ̊aʃukʰeba
გაჩენა	ɡ̊atʃʰena
გაჩერებული	ɡ̊atʃʰeɾebuli
გაჩეჩილი	ɡ̊atʃʰetʃʰili
გაჩითული	ɡ̊atʃʰitʰuli
გაჩმახება	ɡ̊atʃʰmaχeba
გაჩუმება	ɡ̊atʃʰumeba
გაცემა	ɡ̊atsʰema
გაცვეთილად	ɡ̊atsʰʷetʰiɫatʰ
გაცვეთილი	ɡ̊atsʰʷetʰili
გაცვლა	ɡ̊atsʰʷɫa
გაცვლითი	ɡ̊atsʰʷlitʰi
გაცილება	ɡ̊atsʰileba
გაცილებით	ɡ̊atsʰilebitʰ
გაცინებული	ɡ̊atsʰinebuli
გაციფრულება	ɡ̊atsʰipʰɾuleba
გაცრეცილი	ɡ̊atsʰɾetsʰili
გაძლევთ	ɡ̊adzleftʰ
გაწევრიანება	ɡ̊atsʼevɾianeba
გაწვრთნის	ɡ̊atsʼʷɾtʰnis
