aakkonen	ˈɑɑkkonen
ambulanssi	ˈɑmbuˌlɑnssi
ambulanssilentokone	ˈɑmbuˌlɑnssiˌlentoˌkone
ameba	ˈɑmebɑ
amenorrea	ˈɑmeˌnorreɑ
amerikanenglanti	ˈɑmeˌrikɑˌnenglɑnti
amerikanrauta	ˈɑmeriˌkɑnrɑutɑ
amerikansalaatti	ˈɑmeriˌkɑnsɑˌlɑɑtti
amerikansuomalainen	ˈɑmeriˌkɑnsuomɑˌlɑinen
amerikansuomi	ˈɑmeriˌkɑnsuomi
amerikkalainen	ˈɑmeˌrikkɑˌlɑinen
amerikkalaistua	ˈɑmeˌrikkɑˌlɑistuɑ
amerikkalaisuus	ˈɑmeˌrikkɑˌlɑisuus
ametisti	ˈɑmeˌtisti
amfetamiini	ˈɑmfetɑˌmiini
amfibioajoneuvo	ˈɑmfiˌbioˌɑjoˌneuvo
amfibiolentokone	ˈɑmfiˌbioˌlentoˌkone
amfibiopanssarivaunu	ˈɑmfiˌbioˌpɑnssɑriˌvɑunu
amfiteatteri	ˈɑmfiteˌɑtteri
amfora	ˈɑmforɑ
aminohappo	ˈɑminoˌhɑppo
amiraali	ˈɑmiˌrɑɑli
ämmä	ˈæmmæ
ämmänlänget	ˈæmmænˌlænget
ämmänsolmu	ˈæmmænˌsolmu
ammateittain	ˈɑmmɑˌteittɑin
ammateittainen	ˈɑmmɑˌteittɑinen
ammatillinen	ˈɑmmɑˌtillinen
ammatillisesti	ˈɑmmɑˌtilliˌsesti
ammatillistaa	ˈɑmmɑˌtillistɑɑ
ammatillistua	ˈɑmmɑˌtillisˌtuɑ
ammatillisuus	ˈɑmmɑˌtillisuus
ammatinharjoitus	ˈɑmmɑˌtinhɑrˌjoitus
ammatinkuva	ˈɑmmɑˌtinkuvɑ
ammatinopettaja	ˈɑmmɑˌtinoˌpettɑjɑ
ammatinvalinnanohjaaja	ˈɑmmɑˌtinvɑˌlinnɑnohˌjɑɑjɑ
ammatinvalinnanohjaus	ˈɑmmɑˌtinvɑˌlinnɑˌnohjɑus
ammatinvalinta	ˈɑmmɑˌtinvɑˌlintɑ
ammattiaine	ˈɑmmɑttiˌɑine
ammattiajokortti	ˈɑmmɑtˌtiɑjoˌkortti
ammattiala	ˈɑmmɑtˌtiɑlɑ
ammattiapu	ˈɑmmɑtˌtiɑpu
ammattiautoilija	ˈɑmmɑttiˌɑutoiˌlijɑ
ammattiauttaja	ˈɑmmɑtˌtiɑˌuttɑjɑ
ammatti	ˈɑmmɑtti
ammatti-	ˈɑmmɑtti
ammattietiikka	ˈɑmmɑtˌtietiikkɑ
ammattihaureus	ˈɑmmɑttiˌhɑureus
ammatti-ihminen	ˈɑmmɑtˌtiihminen
ammattijärjestö	ˈɑmmɑttiˌjærjestø
ammattijulkaisu	ˈɑmmɑttiˌjulkɑisu
ammattikalastaja	ˈɑmmɑtˌtikɑˌlɑstɑjɑ
ammattikasvatus	ˈɑmmɑttiˌkɑsvɑtus
ammattikateus	ˈɑmmɑtˌtikɑˌteus
ammattikieli	ˈɑmmɑttiˌkieli
ammattikirjailija	ˈɑmmɑttiˌkirjɑiˌlijɑ
ammattikirjallisuus	ˈɑmmɑttiˌkirjɑlˌlisuus
ammattikokemus	ˈɑmmɑtˌtikoˌkemus
ammattikorkeakoulu	ˈɑmmɑttiˌkorkeɑˌkoulu
ammattikoulu	ˈɑmmɑttiˌkoulu
ammattikoululainen	ˈɑmmɑttiˌkouluˌlɑinen
ammattikoulunopettaja	ˈɑmmɑttiˌkoulunoˌpettɑjɑ
ammattikoulutus	ˈɑmmɑttiˌkoulutus
ammattikunnia	ˈɑmmɑttiˌkunniɑ
ammattikunta	ˈɑmmɑttiˌkuntɑ
ammattikuntalaitos	ˈɑmmɑttiˌkuntɑˌlɑitos
ammattikurssi	ˈɑmmɑttiˌkurssi
ammattikurssikeskus	ˈɑmmɑttiˌkurssiˌkeskus
ammattikuva	ˈɑmmɑtˌtikuvɑ
ammattilainen	ˈɑmmɑttiˌlɑinen
ammattilaisjoukkue	ˈɑmmɑttiˌlɑisjoˌukkue
ammattilaisottelu	ˈɑmmɑttiˌlɑisotˌtelu
ammattilaissopimus	ˈɑmmɑttiˌlɑissoˌpimus
ammattilaistaa	ˈɑmmɑttiˌlɑistɑɑ
ammattilaistua	ˈɑmmɑttiˌlɑistuɑ
ammattilaisurheilija	ˈɑmmɑttiˌlɑisurˌheilijɑ
ammattilaisurheilu	ˈɑmmɑttiˌlɑisurˌheilu
ammattilaisuus	ˈɑmmɑttiˌlɑisuus
ammattilehti	ˈɑmmɑttiˌlehti
ammattiliikenne	ˈɑmmɑttiˌliikenne
ammattiliitto	ˈɑmmɑttiˌliitto
ammattimainen	ˈɑmmɑttiˌmɑinen
ammattimaisesti	ˈɑmmɑttiˌmɑisesti
ammattimaisuus	ˈɑmmɑttiˌmɑisuus
ammattimies	ˈɑmmɑtˌtimies
ammattiministeri	ˈɑmmɑtˌtimiˌnisteri
ammattimuusikko	ˈɑmmɑttiˌmuusikko
ammattinimike	ˈɑmmɑtˌtiniˌmike
ammattinyrkkeilijä	ˈɑmmɑttiˌnyrkkeiˌlijæ
ammattinyrkkeily	ˈɑmmɑttiˌnyrkkeily
ammattiopetus	ˈɑmmɑtˌtioˌpetus
ammattiopinnot	ˈɑmmɑtˌtioˌpinnot
ammattioppilaitos	ˈɑmmɑttiˌoppiˌlɑitos
ammattioppilas	ˈɑmmɑttiˌoppilɑs
ammattioppilaslautakunta	ˈɑmmɑttiˌoppilɑsˌlɑutɑˌkuntɑ
ammattiosasto	ˈɑmmɑtˌtioˌsɑsto
ammattipätevyys	ˈɑmmɑtˌtipæˌtevyys
ammattipoliitikko	ˈɑmmɑtˌtipoˌliitikko
ammattirikollinen	ˈɑmmɑtˌtiriˌkollinen
ammattisalaisuus	ˈɑmmɑtˌtisɑˌlɑisuus
ammattisana	ˈɑmmɑtˌtisɑnɑ
ammattisanasto	ˈɑmmɑtˌtisɑˌnɑsto
ammattislangi	ˈɑmmɑtˌtislɑngi
ammattisotilas	ˈɑmmɑtˌtisoˌtilɑs
ammattisuoja	ˈɑmmɑttiˌsuojɑ
ammattitaidoton	ˈɑmmɑttiˌtɑidoton
ammattitaito	ˈɑmmɑttiˌtɑito
ammattitaitoinen	ˈɑmmɑttiˌtɑitoinen
ammattitappaja	ˈɑmmɑttiˌtɑppɑjɑ
ammattitauti	ˈɑmmɑttiˌtɑuti
ammattitermi	ˈɑmmɑttiˌtermi
ammattitoveri	ˈɑmmɑtˌtitoˌveri
ammattitulo	ˈɑmmɑtˌtitulo
ammattitutkinto	ˈɑmmɑttiˌtutkinto
ammattityö	ˈɑmmɑtˌtityø
ammattityöntekijä	ˈɑmmɑttiˌtyønteˌkijæ
ammattityöväki	ˈɑmmɑttiˌtyøvæki
ammattiurheilija	ˈɑmmɑttiˌurheiˌlijɑ
ammattiurheilu	ˈɑmmɑttiˌurheilu
ammattiyhdistys	ˈɑmmɑttiˌyhdistys
ammattiyhdistysliike	ˈɑmmɑttiˌyhdistysˌliike
ammattiyhdistystoiminta	ˈɑmmɑttiˌyhdistysˌtoimintɑ
ammattiylpeys	ˈɑmmɑttiˌylpeys
amme	ˈɑmme
ammekylpy	ˈɑmmeˌkylpy
ammematto	ˈɑmmeˌmɑtto
ammennus	ˈɑmmennus
ammentaa	ˈɑmmentɑɑ
ammis	ˈɑmmis
ammoin	ˈɑmmoin
ammoinen	ˈɑmmoinen
ammollaan	ˈɑmmollɑɑn
ammolla	ˈɑmmollɑ
ammolle	ˈɑmmolle
ammolleen	ˈɑmmolleen
ammoniakki	ˈɑmmoniˌɑkki
ammoniumkloridi	ˈɑmmoniˌumkloˌridi
ammottaa	ˈɑmmottɑɑ
ammua	ˈɑmmuɑ
ammu	ˈɑmmu
ammunta	ˈɑmmuntɑ
ammus	ˈɑmmus
ammuskelija	ˈɑmmusˌkelijɑ
ammuskella	ˈɑmmusˌkellɑ
ammuskelu	ˈɑmmusˌkelu
ammustäydennys	ˈɑmmusˌtæydennys
ammustenkulutus	ˈɑmmusˌtenkuˌlutus
ammusvarasto	ˈɑmmusvɑˌrɑsto
ammuttaa	ˈɑmmuttɑɑ
ammuu	ˈɑmmuu
amnesia	ˈɑmneˌsiɑ
amnestia	ˈɑmnesˌtiɑ
amok	ˈɑmok
amokjuoksija	ˈɑmokˌjuoksijɑ
amokjuoksu	ˈɑmokˌjuoksu
amorfinen	ˈɑmorˌfinen
amorfisuus	ˈɑmorˌfisuus
amoriini	ˈɑmoˌriini
amorinkaari	ˈɑmorinˌkɑɑri
ampaista	ˈɑmpɑistɑ
ämpäreittäin	ˈæmpæˌreittæin
ämpäri	ˈæmpæri
ämpärillinen	ˈæmpæˌrillinen
ampeeri	ˈɑmpeeri
ampeerimittari	ˈɑmpeeriˌmittɑri
ampiainen	ˈɑmpiˌɑinen
ampiaispesä	ˈɑmpiˌɑispesæ
ampiaisvyötärö	ˈɑmpiˌɑisvyøˌtærø
amplitudi	ˈɑmpliˌtudi
amplitudimodulaatio	ˈɑmpliˌtudiˌmoduˌlɑɑtio
amppeli	ˈɑmppeli
amppelikasvi	ˈɑmppeliˌkɑsvi
ampua	ˈɑmpuɑ
ampu	ˈɑmpu
ampuhaukka	ˈɑmpuhɑˌukkɑ
ampuilla	ˈɑmpuillɑ
ampuja	ˈɑmpujɑ
ampulli	ˈɑmpulli
ampuma-ala	ˈɑmpuˌmɑɑlɑ
ampuma-ase	ˈɑmpuˌmɑɑse
ampuma-asento	ˈɑmpuˌmɑɑsento
ampuma-aukko	ˈɑmpuˌmɑɑukko
ampumaetäisyys	ˈɑmpuˌmɑeˌtæisyys
ampumahaava	ˈɑmpumɑˌhɑɑvɑ
ampumaharjoitus	ˈɑmpumɑˌhɑrjoitus
ampumahiihto	ˈɑmpumɑˌhiihto
ampumakilpailu	ˈɑmpumɑˌkilpɑilu
ampumakunto	ˈɑmpumɑˌkunto
ampumaleiri	ˈɑmpumɑˌleiri
ampumalinja	ˈɑmpumɑˌlinjɑ
ampumaoppi	ˈɑmpumɑˌoppi
ampumarata	ˈɑmpuˌmɑrɑtɑ
ampumatarkkuus	ˈɑmpumɑˌtɑrkkuus
ampumatarvike	ˈɑmpumɑˌtɑrvike
ampumatarviketäydennys	ˈɑmpumɑˌtɑrvikeˌtæydennys
ampumaurheilu	ˈɑmpumɑˌurheilu
amputaatio	ˈɑmpuˌtɑɑtio
amputoida	ˈɑmpuˌtoidɑ
amputointi	ˈɑmpuˌtointi
amuletti	ˈɑmuˌletti
ämyri	ˈæmyri
anaalinen	ˈɑnɑɑˌlinen
anaboli	ˈɑnɑˌboli
anabolinen	ˈɑnɑˌbolinen
anaerobinen	ˈɑnɑˌeroˌbinen
anagrammi	ˈɑnɑˌgrɑmmi
anakoluutti	ˈɑnɑkoˌluutti
anakoluuttinen	ˈɑnɑkoˌluuttinen
anakonda	ˈɑnɑˌkondɑ
anakronismi	ˈɑnɑkroˌnismi
anakronistinen	ˈɑnɑkroˌnistinen
anakronistisesti	ˈɑnɑkroˌnistiˌsesti
anakronistisuus	ˈɑnɑkroˌnistisuus
analfabeetti	ˈɑnɑlfɑˌbeetti
analgeetti	ˈɑnɑlˌgeetti
analgeettinen	ˈɑnɑlˌgeettinen
analgeettisesti	ˈɑnɑlˌgeettiˌsesti
analgeettisuus	ˈɑnɑlˌgeettisuus
analgesia	ˈɑnɑlˌgesiɑ
analogia	ˈɑnɑˌlogiɑ
analogia-digitaalimuunnin	ˈɑnɑˌlogiˌɑdigiˌtɑɑliˌmuunnin
analogialaite	ˈɑnɑˌlogiɑˌlɑite
analogianäyttö	ˈɑnɑˌlogiˌɑnæˌyttø
analogianäyttöinen	ˈɑnɑˌlogiˌɑnæytˌtøinen
analogiatekniikka	ˈɑnɑˌlogiɑˌtekniikkɑ
analoginen	ˈɑnɑˌloginen
analogisesti	ˈɑnɑˌlogiˌsesti
analogisuus	ˈɑnɑˌlogisuus
analysaattori	ˈɑnɑlyˌsɑɑttori
analysoida	ˈɑnɑlyˌsoidɑ
analysointi	ˈɑnɑlyˌsointi
analytiikka	ˈɑnɑlyˌtiikkɑ
analyysi	ˈɑnɑˌlyysi
analyytikko	ˈɑnɑˌlyytikko
analyyttinen	ˈɑnɑˌlyyttinen
analyyttisesti	ˈɑnɑˌlyyttiˌsesti
analyyttisuus	ˈɑnɑˌlyyttisuus
analyyttisyys	ˈɑnɑˌlyyttisyys
anamneesi	ˈɑnɑmˌneesi
anamnestinen	ˈɑnɑmˌnestinen
ananas	ˈɑnɑnɑs
ananaskasvi	ˈɑnɑˌnɑskɑsvi
ananaskirsikka	ˈɑnɑˌnɑskirˌsikkɑ
ananasmurska	ˈɑnɑˌnɑsmurskɑ
ananasrengas	ˈɑnɑˌnɑsrengɑs
anarkia	ˈɑnɑrˌkiɑ
anarkismi	ˈɑnɑrˌkismi
anarkisti	ˈɑnɑrˌkisti
anarkistinen	ˈɑnɑrˌkistinen
anarkistisesti	ˈɑnɑrˌkistiˌsesti
anarkistisuus	ˈɑnɑrˌkistisuus
anastaa	ˈɑnɑstɑɑ
anastaja	ˈɑnɑsˌtɑjɑ
anastus	ˈɑnɑstus
anatomia	ˈɑnɑˌtomiɑ
anatomi	ˈɑnɑˌtomi
anatominen	ˈɑnɑˌtominen
anatomisesti	ˈɑnɑˌtomiˌsesti
andante	ˈɑndɑnte
andantino	ˈɑndɑnˌtino
and	ɑnd
androgeeni	ˈɑndroˌgeeni
androgeeninen	ˈɑndroˌgeeninen
androgynia	ˈɑndroˌgyniɑ
androgyyni	ˈɑndroˌgyyni
androgyyninen	ˈɑndroˌgyyninen
andrologia	ˈɑndroˌlogiɑ
andrologi	ˈɑndroˌlogi
androloginen	ˈɑndroˌloginen
andrologisesti	ˈɑndroˌlogiˌsesti
ane	ˈɑne
aneeminen	ˈɑneeˌminen
aneemisesti	ˈɑneemiˌsesti
aneemisuus	ˈɑneeˌmisuus
anekauppa	ˈɑnekɑˌuppɑ
anekdootti	ˈɑnekˌdootti
anella	ˈɑnellɑ
anemia	ˈɑneˌmiɑ
aneroidibarometri	ˈɑneˌroidiˌbɑroˌmetri
aneroidi-ilmapuntari	ˈɑneˌroidiilmɑˌpuntɑri
anesteetti	ˈɑnesˌteetti
anestesia-aine	ˈɑnesˌtesiˌɑɑine
anestesia	ˈɑnesˌtesiɑ
anestesialääkäri	ˈɑnesˌtesiɑˌlæækæri
anestesiologia	ˈɑnesˌtesiˌoloˌgiɑ
anestesiologi	ˈɑnesˌtesiˌologi
anestesiologinen	ˈɑnesˌtesiˌoloˌginen
anestesiologisesti	ˈɑnesˌtesiˌologiˌsesti
aneurysma	ˈɑneuˌrysmɑ
ängelmä	ˈængelmæ
angervo	ˈɑngervo
ängetä	ˈængetæ
angiina	ˈɑngiinɑ
angiinamyrkytys	ˈɑngiinɑˌmyrkytys
angiografia	ˈɑngiˌogrɑˌfiɑ
anglikaaninen	ˈɑngliˌkɑɑninen
anglismi	ˈɑnglismi
anglisti	ˈɑnglisti
anglistiikka	ˈɑnglisˌtiikkɑ
angloamerikkalainen	ˈɑngloˌɑmeˌrikkɑˌlɑinen
anglosaksi	ˈɑngloˌsɑksi
anglosaksinen	ˈɑngloˌsɑksinen
angora	ˈɑngorɑ
angorakaniini	ˈɑngoˌrɑkɑˌniini
angorakissa	ˈɑngorɑˌkissɑ
angoralanka	ˈɑngorɑˌlɑnkɑ
angorapusero	ˈɑngoˌrɑpuˌsero
angoravilla	ˈɑngorɑˌvillɑ
angoravuohi	ˈɑngorɑˌvuohi
ångström	ångstrøm
ani	ˈɑni
aniitti	ˈɑniitti
aniliini	ˈɑniˌliini
aniliininpunainen	ˈɑniˌliininpuˌnɑinen
aniliiniväri	ˈɑniˌliiniˌværi
animaalinen	ˈɑniˌmɑɑlinen
animaalisuus	ˈɑniˌmɑɑlisuus
animaatio	ˈɑniˌmɑɑtio
animaatioelokuva	ˈɑniˌmɑɑtiˌoeˌlokuvɑ
animismi	ˈɑniˌmismi
animistinen	ˈɑniˌmistinen
anioni	ˈɑniˌoni
anis	ˈɑnis
aniskaramelli	ˈɑnisˌkɑrɑˌmelli
anislikööri	ˈɑnisliˌkøøri
anispastilli	ˈɑnisˌpɑstilli
anjovis	ˈɑnjovis
ankanpoikanen	ˈɑnkɑnˌpoikɑnen
ankara	ˈɑnkɑrɑ
ankarasanainen	ˈɑnkɑˌrɑsɑˌnɑinen
ankarasti	ˈɑnkɑˌrɑsti
ankaruus	ˈɑnkɑruus
änkätä	ˈænkætæ
ankea	ˈɑnkeɑ
ankeasti	ˈɑnkeˌɑsti
ankerias	ˈɑnkeˌriɑs
ankeroinen	ˈɑnkeˌroinen
ankeus	ˈɑnkeus
änkkä	ˈænkkæ
ankka	ˈɑnkkɑ
ankkalammikko	ˈɑnkkɑˌlɑmmikko
ankkuri	ˈɑnkkuri
ankkurihissi	ˈɑnkkuriˌhissi
ankkuriketju	ˈɑnkkuriˌketju
ankkuriköysi	ˈɑnkkuriˌkøysi
ankkurimiina	ˈɑnkkuriˌmiinɑ
ankkurinhaara	ˈɑnkkurinˌhɑɑrɑ
ankkurinkoura	ˈɑnkkurinˌkourɑ
ankkuriosuus	ˈɑnkkuˌriosuus
ankkuripaikka	ˈɑnkkuriˌpɑikkɑ
ankkurivalo	ˈɑnkkuˌrivɑlo
ankkuroida	ˈɑnkkuˌroidɑ
ankkurointi	ˈɑnkkuˌrointi
ankkuroitua	ˈɑnkkuˌroituɑ
änkyrä	ˈænkyræ
änkyräkänni	ˈænkyræˌkænni
änkyttää	ˈænkyttææ
änkyttäjä	ˈænkytˌtæjæ
änkytys	ˈænkytys
annansilmä	ˈɑnnɑnˌsilmæ
annella	ˈɑnnellɑ
anniskella	ˈɑnnisˌkellɑ
anniskelu	ˈɑnnisˌkelu
anniskelukahvila	ˈɑnnisˌkeluˌkɑhvilɑ
anniskeluoikeus	ˈɑnnisˌkeluˌoikeus
anniskeluravintola	ˈɑnnisˌkelurɑˌvintolɑ
annoksittain	ˈɑnnokˌsittɑin
annoona	ˈɑnnoonɑ
annos	ˈɑnnos
annosmittari	ˈɑnnosˌmittɑri
annospala	ˈɑnnosˌpɑlɑ
annostaa	ˈɑnnostɑɑ
annostella	ˈɑnnosˌtellɑ
annostelu	ˈɑnnosˌtelu
annostelulokerikko	ˈɑnnosˌteluˌlokeˌrikko
annostelupumppu	ˈɑnnosˌteluˌpumppu
annostus	ˈɑnnostus
annostusohje	ˈɑnnostuˌsohje
annuiteetti	ˈɑnnuiˌteetti
annuiteettilaina	ˈɑnnuiˌteettiˌlɑinɑ
anoa	ˈɑnoɑ
anodi	ˈɑnodi
anoja	ˈɑnojɑ
anomaalinen	ˈɑnoˌmɑɑlinen
anomaalisesti	ˈɑnoˌmɑɑliˌsesti
anomaalisuus	ˈɑnoˌmɑɑlisuus
anomalia	ˈɑnoˌmɑliɑ
anomus	ˈɑnomus
anomuskirjelmä	ˈɑnoˌmuskirˌjelmæ
anonymiteetti	ˈɑnoˌnymiˌteetti
anonyymi	ˈɑnoˌnyymi
anonyymius	ˈɑnoˌnyymius
anonyymiys	ˈɑnoˌnyymiys
anopikset	ˈɑnoˌpikset
anopinkieli	ˈɑnopinˌkieli
anoppi	ˈɑnoppi
anoppila	ˈɑnopˌpilɑ
anoppimuori	ˈɑnoppiˌmuori
anorakki	ˈɑnoˌrɑkki
anoreksia	ˈɑnoˌreksiɑ
anorektikko	ˈɑnoˌrektikko
ansa	ˈɑnsɑ
ansainta	ˈɑnsɑintɑ
ansaintateoria	ˈɑnsɑinˌtɑteˌoriɑ
ansaintatulo	ˈɑnsɑinˌtɑtulo
ansaita	ˈɑnsɑitɑ
ansaitsematon	ˈɑnsɑitˌsemɑton
ansaitusti	ˈɑnsɑiˌtusti
ansari	ˈɑnsɑri
ansarikukka	ˈɑnsɑriˌkukkɑ
ansaripetopunkki	ˈɑnsɑˌripetoˌpunkki
ansas	ˈɑnsɑs
ansatsi	ˈɑnsɑtsi
ansioäiti	ˈɑnsioˌæiti
ansio	ˈɑnsio
ansioeläke	ˈɑnsiˌoeˌlæke
ansioitua	ˈɑnsiˌoituɑ
ansiokas	ˈɑnsiˌokɑs
ansiokehitys	ˈɑnsiˌokeˌhitys
ansiokehitystakuu	ˈɑnsiˌokehiˌtystɑkuu
ansiokkaasti	ˈɑnsiokˌkɑɑsti
ansiokkuus	ˈɑnsiˌokkuus
ansiolähde	ˈɑnsioˌlæhde
ansiolentäjä	ˈɑnsioˌlentæjæ
ansioluettelo	ˈɑnsiˌoluˌettelo
ansiomahdollisuus	ˈɑnsioˌmɑhdolˌlisuus
ansiomerkki	ˈɑnsioˌmerkki
ansiomitali	ˈɑnsiˌomiˌtɑli
ansionmenetys	ˈɑnsiˌonmeˌnetys
ansioristi	ˈɑnsioˌristi
ansiosidonnainen	ˈɑnsiˌosidonˌnɑinen
ansiosta	ˈɑnsiˌostɑ
ansiotakuu	ˈɑnsiˌotɑkuu
ansiotaso	ˈɑnsiˌotɑso
ansioton	ˈɑnsiˌoton
ansiottomasti	ˈɑnsiˌottoˌmɑsti
ansiottomuus	ˈɑnsiˌottomuus
ansiotulo	ˈɑnsiˌotulo
ansiotyö	ˈɑnsiˌotyø
ansoittaa	ˈɑnsoittɑɑ
ansoitus	ˈɑnsoitus
antaa	ˈɑntɑɑ
antagonismi	ˈɑntɑgoˌnismi
antagonisti	ˈɑntɑgoˌnisti
antagonistinen	ˈɑntɑgoˌnistinen
antaja	ˈɑntɑjɑ
antarktinen	ˈɑntɑrkˌtinen
antasidi	ˈɑntɑˌsidi
antaumuksellinen	ˈɑntɑuˌmukselˌlinen
antaumuksellisesti	ˈɑntɑuˌmukselliˌsesti
antaumuksellisuus	ˈɑntɑuˌmukselˌlisuus
antaumus	ˈɑntɑumus
antautua	ˈɑntɑuˌtuɑ
anteeksiannettava	ˈɑnteeksiˌɑnnetˌtɑvɑ
anteeksiantamaton	ˈɑnteeksiˌɑntɑˌmɑton
anteeksiantamattomasti	ˈɑnteeksiˌɑntɑˌmɑttoˌmɑsti
anteeksiantamattomuus	ˈɑnteeksiˌɑntɑˌmɑttomuus
anteeksiantamus	ˈɑnteeksiˌɑntɑmus
anteeksiantava	ˈɑnteeksiˌɑntɑvɑ
anteeksianto	ˈɑnteeksiˌɑnto
anteeksi	ˈɑnteeksi
anteeksipyyntö	ˈɑnteeksiˌpyyntø
anteliaasti	ˈɑnteliˌɑɑsti
anteliaisuus	ˈɑnteliˌɑisuus
antelias	ˈɑnteˌliɑs
antenni	ˈɑntenni
antennimasto	ˈɑntenniˌmɑsto
antennivahvistin	ˈɑntenniˌvɑhvistin
antiaine	ˈɑntiˌɑine
anti	ˈɑnti
anti-	ˈɑnti
antibiootti	ˈɑntibiˌootti
antibioottihoito	ˈɑntibiˌoottiˌhoito
antibioottinen	ˈɑntibiˌoottinen
antidepressiivi	ˈɑntideˌpressiivi
antigeeni	ˈɑntiˌgeeni
antihistamiini	ˈɑntiˌhistɑˌmiini
antihiukkanen	ˈɑntihiˌukkɑnen
antiikki	ˈɑntiikki
antiikkiesine	ˈɑntiikˌkiesine
antiikkihuonekalu	ˈɑntiikkiˌhuoneˌkɑlu
antiikkikynttilä	ˈɑntiikkiˌkynttilæ
antiikkiliike	ˈɑntiikkiˌliike
antiikkinahka	ˈɑntiikkiˌnɑhkɑ
antiikkinen	ˈɑntiikˌkinen
antiikva	ˈɑntiikvɑ
anti-inflammatorinen	ˈɑntiinˌflɑmmɑˌtorinen
antikommunistinen	ˈɑntiˌkommuˌnistinen
antikristus	ˈɑntiˌkristus
antikvaarinen	ˈɑntiˌkvɑɑrinen
antikvariaatti	ˈɑntiˌkvɑriˌɑɑtti
antilooppi	ˈɑntiˌlooppi
antilooppirotta	ˈɑntiˌlooppiˌrottɑ
antimateria	ˈɑntiˌmɑteˌriɑ
antimet	ˈɑntimet
antimilitarismi	ˈɑntiˌmilitɑˌrismi
antimilitaristi	ˈɑntiˌmilitɑˌristi
antimilitaristinen	ˈɑntiˌmilitɑˌristinen
antimoni	ˈɑntiˌmoni
antioksidantti	ˈɑntiˌoksiˌdɑntti
antipartikkeli	ˈɑntiˌpɑrtikˌkeli
antipasto	ˈɑntiˌpɑsto
antipatia	ˈɑntiˌpɑtiɑ
antiperspirantti	ˈɑntiˌperspiˌrɑntti
antisankari	ˈɑntiˌsɑnkɑri
antisemiitti	ˈɑntiseˌmiitti
antisemiittinen	ˈɑntiseˌmiittinen
antisemiittisesti	ˈɑntiseˌmiittiˌsesti
antisemitismi	ˈɑntiˌsemiˌtismi
antisepti	ˈɑntiˌsepti
antiseptinen	ˈɑntiˌseptinen
antisosiaalinen	ˈɑntiˌsosiˌɑɑlinen
antistaattinen	ˈɑntisˌtɑɑttinen
antiteesi	ˈɑntiˌteesi
anto	ˈɑnto
antoisa	ˈɑntoisɑ
antoisasti	ˈɑntoiˌsɑsti
antoisuus	ˈɑntoisuus
antolainaus	ˈɑntoˌlɑinɑus
antolainauskorko	ˈɑntoˌlɑinɑˌuskorko
antologia	ˈɑntoˌlogiɑ
antrasiitti	ˈɑntrɑˌsiitti
antropologia	ˈɑntroˌpoloˌgiɑ
antropologi	ˈɑntroˌpologi
antropologinen	ˈɑntroˌpoloˌginen
antropologisesti	ˈɑntroˌpologiˌsesti
antroposofia	ˈɑntroˌposoˌfiɑ
antroposofi	ˈɑntroˌposofi
antura	ˈɑnturɑ
anturamaa	ˈɑntuˌrɑmɑɑ
anturanahka	ˈɑnturɑˌnɑhkɑ
anturi	ˈɑnturi
äo	ˈæo
a-oikeudet	ˈɑoiˌkeudet
aortta	ˈɑorttɑ
apaattinen	ˈɑpɑɑtˌtinen
apaattisesti	ˈɑpɑɑttiˌsesti
apaattisuus	ˈɑpɑɑtˌtisuus
apaja	ˈɑpɑjɑ
apajapaikka	ˈɑpɑjɑˌpɑikkɑ
äpärä	ˈæpæræ
aparaatti	ˈɑpɑˌrɑɑtti
äpäre	ˈæpære
äpärikkö	ˈæpæˌrikkø
apartamento	ˈɑpɑrtɑˌmento
apartheid	ˈɑpɑrtheid
apartheidpolitiikka	ˈɑpɑrtˌheidpoliˌtiikkɑ
apassi	ˈɑpɑssi
apatia	ˈɑpɑˌtiɑ
apatiitti	ˈɑpɑˌtiitti
apea	ˈɑpeɑ
apeasti	ˈɑpeˌɑsti
ape	ˈɑpe
apeissaan	ˈɑpeissɑɑn
aperitiivi	ˈɑperiˌtiivi
apeus	ˈɑpeus
apeutua	ˈɑpeuˌtuɑ
apila	ˈɑpilɑ
apilaheinä	ˈɑpilɑˌheinæ
apilaniitty	ˈɑpilɑˌniitty
apilankukka	ˈɑpiˌlɑnkukkɑ
apilanlehti	ˈɑpiˌlɑnlehti
apilanurmi	ˈɑpilɑˌnurmi
apilapelto	ˈɑpilɑˌpelto
apina	ˈɑpinɑ
apinaihminen	ˈɑpiˌnɑihminen
apinalaatikko	ˈɑpinɑˌlɑɑtikko
apinankukka	ˈɑpiˌnɑnkukkɑ
apinanleipäpuu	ˈɑpinɑnˌleipæpuu
apinoida	ˈɑpiˌnoidɑ
apinointi	ˈɑpiˌnointi
aplodeerata	ˈɑploˌdeerɑtɑ
aplodeeraus	ˈɑploˌdeerɑus
aplodi	ˈɑplodi
apnea	ˈɑpneɑ
apokalypsi	ˈɑpokɑˌlypsi
apokalyptinen	ˈɑpokɑˌlyptinen
apokryfi	ˈɑpoˌkryfi
apokryfikirja	ˈɑpoˌkryfiˌkirjɑ
apokryfinen	ˈɑpoˌkryfinen
apokryfisesti	ˈɑpoˌkryfiˌsesti
apokryfisuus	ˈɑpoˌkryfisuus
apokryfisyys	ˈɑpoˌkryfisyys
apolloperhonen	ˈɑpolloˌperhonen
