aaberg	ˈɑbɚg
christiansted	kɹˈɪstʃənstˌɛd
christic	kɹˈɪstɪk
christie	kɹˈɪsti
christie's	kɹˈɪstiz
christies	kɹˈɪstiz
christi	kɹˈɪsti
christina	kɹɪstˈinə
christine	kɹɪstˈin
christine's	kɹɪstˈinz
christison	kɹˈɪstɪsən
christ	kɹˈaɪst
christlieb	kɹˈɪstlˌib
christman	kɹˈɪstmən
christmann	kɹˈɪstmən
christman's	kɹˈɪstmənz
christmases	kɹˈɪsməsɪz
christmas	kɹˈɪsməs
christmastime	kɹˈɪstməstˌaɪm
christner	kɹˈɪstnɚ
christoffel	kɹˈɪstəfɛl
christoffersen	kɹɪstˈɑfɚsən
christoffersen	kɹɪstəfˈɚsən
christofferson	kɹɪstˈɑfɚsən
christoff	kɹˈɪstɔf
christo	kɹˈɪstoʊ
christon	kɹˈɪstən
christophe	kɹɪstˈɔf
christophel	kɹˈɪstəfɛl
christopher	kɹˈɪstəfɚ
christophersen	kɹˈɪstəfɚsən
christopher's	kɹˈɪstəfɚz
christopherson	kɹˈɪstəfɚsən
christoph	kɹˈɪstɔf
christopoulos	kɹɪstˈɑpəlɪs
christ's	kɹˈaɪsts
christy	kɹˈɪsti
christy's	kɹˈɪstiz
chriswell	kɹˈɪswˌɛl
chrobak	kɹˈoʊbək
chromakalim	kɹˌoʊməkˌɑlˈim
chroma	ˈkɹəʊmə	["noun"]
chromalloy	kɹoʊmˈælɔɪ
chromatid	ˈkɹəʊmətɪd	["noun"]
chromatin	ˈkɹəʊmətɪn	["noun"]
chromatogram	kɹoʊmˈætəgɹæm
chromatograms	kɹoʊmˈætəgɹæmz
chromatography	ˌkɹəʊməˈtɒgɹəfɪ	["noun"]
chromatography	kɹoʊmətˈɑgɹəfi
chromecast	kɹˈoʊmkˌæst
chrome	kɹəʊm	["noun","verb"]
chrome	kɹˈoʊm
chrominance	kɹˈoʊmənəns
chromium	ˈkɹəʊmɪəm	["noun"]
chromium	kɹˈoʊmiəm
chromosomal	kɹˈoʊməzˌoʊməl
chromosome	ˈkɹəʊməˌsəʊm	["noun"]
chromosome	kɹˈoʊməzˌoʊm
chromosomes	kɹˈoʊməzˌoʊmz
chronar	kɹˈɑnɚ
chronically	kɹˈɑnɪkəli
chronically	kɹˈɑnɪkli
chronic	kɹˈɑnɪk
chronic	ˈkɹɒnɪk	["noun","adjective"]
chronicled	kɹˈɑnɪkəld
chronicle	kɹˈɑnɪkəl
chronicle	ˈkɹɒnɪkəl	["noun","verb"]
chronicler	kɹˈɑnɪklɚ
chroniclers	kɹˈɑnɪklɚz
chronicle's	kɹˈɑnɪkəlz
chronicles	kɹˈɑnɪkəlz
chronicles	ˈkɹɒnɪkəlz	["noun","verb"]
chronicling	kɹˈɑnɪklɪŋ
chronis	kɹˈoʊnɪs
chronister	kɹˈɑnɪstɚ
chron	kɹɒn	["noun"]
chronograph	ˈkɹɒnəgɹɑːf	["noun","verb"]
chronological	kɹˌɑnəlˈɑdʒɪkəl
chronological	ˌkɹɒnəˈlɒdʒɪkəl	["adjective"]
chronologically	kɹˌɑnəlˈɑdʒɪkli
chronologies	kɹənˈɑlədʒiz
chronology	kɹənˈɑlədʒi
chronology	kɹəˈnɒlədʒɪ	["noun"]
chronometer	kɹəˈnɒmətəɹ	["noun"]
chronowitz	kɹˈɑnəwɪts
chrostowski	kɹəstˈɔfski
chrusciel	kɹˈʌsˌil
chrysalis	kɹˈɪsəlɪs
chrysalis	ˈkɹɪsəlɪs	["noun"]
chrysanthemum	kɹɪsˈænθəməm
chrysanthemums	kɹɪsˈænθəməmz
chryseis	kɹˈɪsəz
chryselephantine	kɹɪselɪˈfæntɪn	["adjective"]
chrysler	kɹˈaɪslɚ
chrysler's	kɹˈaɪslɚz
chryslers	kɹˈaɪslɚz
chrysoberyl	ˈkɹɪsəʊbeɹɪl	["noun"]
chrysolite	ˈkɹɪsəlaɪt	["noun"]
chrysotile	ˈkɹɪsətɪl	["noun"]
chrystal	kɹˈɪstəl
chryst	kɹˈɪst
chrzanowski	tʃˌɚzənˈɔfski
chrzan	tʃˈɚzˌæn
chseing	tʃˈeɪŋ
chthonian	ˈkθəʊnɪən	["noun","adjective"]
chthonic	ˈkθɒnɪk	["adjective"]
chuah	tʃˈuɑ
chua	kˈuə
chua	kwˈɑ
chuang	tʃˈæŋ
chuang	tʃwˈɑŋ
chuan	tʃˌuˈɑn
chubais	tʃˌubˈaɪ
chuba	tʃˈubə
chubb's	tʃˈʌbz
chubb	tʃˈʌb
chubbuck	tʃˈʌbək
chubby	tʃˈʌbi
chubby	ˈtʃʌbɪ	["noun","adjective"]
chubs	tʃʌbz	["noun"]
chub	tʃʌb	["noun"]
chubu	tʃˈubu
chucked	tʃˈʌkt
chucked	tʃʌkt	["verb"]
chuckie	tʃˈʌki
chucking	tʃˈʌkɪŋ
chucking	ˈtʃʌkɪŋ	["noun","verb"]
chuckled	tʃˈʌkəld
chuckles	tʃˈʌkəlz
chuckle	tʃˈʌkəl
chuckle	ˈtʃʌkəl	["noun","verb"]
chuckling	tʃˈʌklɪŋ
chuck's	tʃˈʌks
chucks	tʃʌks	["noun","verb"]
chuck	tʃˈʌk
chuck	tʃʌk	["noun","verb"]
chudler	tʃˈʌdlɚ
chudy	tʃˈudi
chudzik	tʃˈʌdzɪk
chudzinski	tʃədʒˈɪnski
chuffed	ˈtʃʌft	["adjective","verb"]
chuff	tʃʌf	["noun","adjective"]
chugai	tʃugˈaɪ
chugged	tʃˈʌgd
chugged	tʃʌgd	["verb"]
chugger	tʃʌgəɹ	["noun"]
chugging	tʃˈʌgɪŋ
chugging	ˈtʃʌgɪŋ	["noun","verb"]
chugoku	tʃugˈoʊkˌu
chugs	tʃʌgz	["noun","verb"]
chug	tʃˈʌg
chug	tʃʌg	["noun","verb"]
chui	kˈuɪ
chujitsuya	tʃˈudʒɪtsˌujə
chukar	ˈtʃʌkə	["noun"]
chukchi	tʃˈuktʃi
chukwunonso	tʃˌʌkwʌnˈɔnzoʊ
chula	tʃˈulə
chul	tʃˈʌl
chumble	ˈtʃʌmbəl	["verb"]
chumbley	tʃˈʌmbli
chumley	tʃˈʌmli
chummed	tʃʌmd	["verb"]
chumming	ˈtʃʌmɪŋ	["verb"]
chummy	tʃˈʌmi
chummy	ˈtʃʌmɪ	["noun","adjective"]
chumney	tʃˈʌmni
chumps	tʃʌmps	["noun"]
chump	tʃˈʌmp
chump	tʃʌmp	["noun","verb"]
chums	tʃˈʌmz
chums	tʃʌmz	["noun","verb"]
chum	tʃˈʌm
chum	tʃʌm	["noun","verb"]
chunder	ˈtʃændə	["noun","verb"]
chung's	tʃˈʌŋz
chung	tʃˈʌŋ
chunks	tʃˈʌŋks
chunks	tʃʌŋks	["noun","verb"]
chunk	tʃˈʌŋk
chunk	tʃʌŋk	["noun","verb"]
chunky	tʃˈʌŋki
chunky	ˈtʃʌŋkɪ	["adjective"]
chunnel	tʃˈʌnəl
chunn	tʃˈʌn
chun's	tʃˈʌnz
chunter	ˈtʃʌntə	["verb"]
chun	tʃˈʌn
chuppah	ˈhʊpə	["noun"]
chupp	tʃˈʌp
chura	tʃˈʊɹə
churches	tʃˈɚtʃɪz
churches	ˈtʃɜːtʃɪz	["noun","verb"]
churchgoers	tʃˈɚtʃgˌoʊɚz
churchgoer	tʃˈɚtʃgˌoʊɚ
churchgoing	tʃˈɚtʃgˌoʊɪŋ
churchhouse	tʃˈɚtʃhˌaʊs
churchill's	tʃˈɚtʃɪlz
churchill	tʃˈɚtʃɪl
churchman	tʃˈɚtʃmən
churchmen	tʃˈɚtʃmən
church's	tʃˈɚtʃɪz
church	tʃˈɚtʃ
church	tʃɜːtʃ	["noun","verb"]
churchwell	tʃˈɚtʃwˌɛl
churchyard	tʃˈɚtʃjˌɑɹd
churchyard	ˈtʃɜːtʃjɑːd	["noun"]
churchy	ˈtʃəːtʃɪ	["noun","adjective"]
churilla	tʃɚˈɪlə
churkin's	tʃˈɚkənz
churkin	tʃˈɚkən
churlish	tʃˈɚlɪʃ
churl	tʃəːl	["noun"]
churned	tʃˈɚnd
churning	tʃˈɚnɪŋ
churns	tʃˈɚnz
churn	tʃˈɚn
churn	tʃɜːɹn	["noun","verb"]
churrasco	tʃʊˈɹæskəʊ	["noun"]
churro	ˈtʃʊɹəʊ	["noun"]
churry	tʃˈɚi
chuse	tʃjˈuz
chuse	tʃˈuz
chusmir	tʃʊsmˈɪɹ
chustz	tʃˈʌsts
chutes	ʃˈuts
chute	ʃjuːt	["noun"]
chute	ʃˈut
chutney	ˈtʃətnɪ	["noun"]
chutney	tʃˈʌtni
chu	tʃˈu
chutzpah	hˈʊtspˌɑ
chutzpah	tʃˈʌtspˌɑ
chutzpah	ˈxʊtspɒ	["noun"]
chykatka	tʃikˈɑtkə
chyle	kaɪl	["noun"]
chyme	kaɪm	["noun"]
chynoweth	tʃˈɪnaʊɛθ
chyron's	tʃˈaɪɹənz
chyron	tʃˈaɪɹən
ciaccia	siəsˈiə
ciaccia	tʃiətʃˈiə
ciaccio	tʃˈɔtʃioʊ
cialis	saɪˈælɪs
ciampa	tʃˈɔmpə
ciampi	tʃˈɔmpi
cianciola	tʃˈɔntʃoʊlə
cianciolo	tʃˈɔntʃoʊloʊ
ciancio	tʃˈɔntʃioʊ
cianci	tʃˈɔntʃi
cianciulli	tʃˈɔntʃuli
ciani	tʃˈɔni
ciano	tʃiˈɑnoʊ
cian	ʃˈin
ciaobella	tʃˌaʊbˈɛlə
ciao	tʃˈaʊ
ciao	tʃaʊ	["noun","interjection"]
ciaramella	tʃiˌɑɹəmˈɛlə
ciaramitaro	tʃiˌɑɹəmɪtˈɑɹoʊ
ciarán	kˈɪɹɔn
ciaravino	tʃiˌɑɹəvˈinoʊ
ciardi	tʃiˈɑɹdi
ciarlo	tʃiˈɑɹloʊ
ciavarella	tʃiəvɚˈɛlə
ciba	sˈaɪbə
ciba	sˈibə
ciba's	sˈaɪbəz
ciba's	sˈibəz
ciborium	sɪˈbɔːɹɪəm	["noun"]
ciborowski	tʃɪbɚˈɔfski
cibro	sˈɪbɹoʊ
cibula	tʃibˈulə
cicada	sɪkˈeɪdə
cicada	sɪˈkeɪdə	["noun"]
cicadas	sɪkˈeɪdəz
cicala	sɪkˈɑlə
cicalese	tʃikɑlˈeɪzi
cicatrise	ˈsɪkətɹaɪz	["verb"]
cicatrix	sɪˈkeɪtɹɪks	["noun"]
ciccarelli	tʃikɚˈɛli
ciccarello	tʃikɚˈɛloʊ
ciccarone	sˈɪkɚˌoʊn
ciccone	tʃikˈoʊni
cicco	sˈɪkoʊ
cicely	sˈɪsəli
cicerone	sɪsəˈɹəʊnɪ	["noun","verb"]
cicerone	sˈɪsɚˌoʊn
ciceroni	ˌtʃɪtʃəˈɹəʊnɪ	["noun"]
cicero	sˈɪsɚoʊ
cichlid	ˈsɪklɪd	["noun"]
cichocki	sɪtʃˈɑki
cichon	sˈɪtʃən
cichowski	tʃɪhˈɔfski
cichy	sˈɪtʃi
cicily	tʃˈɪtʃəli
cicio	sˈɪsioʊ
cicippio	sɪsˈɪpioʊ
cicisbeo	ˌtʃɪtʃɪzˈbeɪəʊ	["noun"]
cider	sˈaɪdɚ
cid	sˈɪd
ciel	sˈil
ciera	siˈɛɹə
cierge	sɪə̯dʒ	["noun"]
cieri	siˈɛɹi
cie	sˈi
ciesielski	tʃɛsˈilski
cieslak	tʃˈɛslək
ciesla	tʃˈɛslə
cieslewicz	tʃˈɛslɪvɪtʃ
cieslik	tʃˈɛslɪk
cieslinski	tʃɛslˈɪnski
cifelli	sɪfˈɛli
cifra	sˈɪfɹə
cifuentes	sifwˈɛntɛs
cigarette	sˌɪgɚˈɛt
cigarette	sɪgəˈɹet	["noun","verb"]
cigarette's	sˌɪgɚˈɛts
cigarettes	sˌɪgɚˈɛts
cigarillo	ˌsɪgəˈɹɪləʊ	["noun"]
cigar	sɪgˈɑɹ
cigar	sɪˈgɑːɹ	["noun"]
cigars	sɪgˈɑɹz
cigars	sɪˈgɑːz	["noun"]
ciga	sˈigə
cigna	sˈɪgnə
cigna's	sˈɪgnəz
cig	ˈsɪg	["noun"]
cihak	sˈɪhək
cihlar	sˈɪlɚ
cilag	sˈɪlæg
cilantro	sɪˈlæntɹəʊ	["noun"]
cilantro	sɪlˈæntɹoʊ
cilcorp	sˈɪlkɔɹp
cilenti	sɪlˈɛnti
cilento	sɪlˈɛntoʊ
ciliates	sˈɪliɪts
ciliberto	tʃilibˈɛɹtoʊ
cilicia	sɪlˈɪʃə
cilium	ˈsɪlɪəm	["noun"]
ciller	sˈɪlɚ
cilley	sˈɪli
cillo	sˈɪloʊ
cilluffo	sɪlˈufoʊ
cilva	sˈɪlvə
cimaglia	sɪmˈægliə
cimarron	sˈɪmɚˌɑn
cima	tʃˈimə
cimbalom	ˈsɪmbələm	["noun"]
ciments	sɪmˈɛnts
ciminero	sˌimɪnˈɛɹoʊ
cimini	tʃimˈini
cimino	tʃimˈinoʊ
cimmerian	sɪˈmɪəɹɪən	["adjective"]
cimmino	tʃimˈinoʊ
cimorelli	tʃimɔɹˈɛli
cimo	tʃˈimoʊ
cina	tʃˈinə
cinched	sˈɪntʃt
cinched	sɪntʃt	["verb"]
cinches	ˈsɪntʃɪz	["noun","verb"]
cinching	ˈsɪntʃɪŋ	["noun","verb"]
cinchona	sɪŋˈkəʊnə	["noun"]
cinch	sˈɪntʃ
cinch	sɪntʃ	["noun","verb"]
cincinnati	sˌɪnsənˈæti
cincinnati's	sˌɪnsɪnˈætiz
cinco	sˈɪŋkoʊ
cincotta	tʃiŋkˈoʊtə
cincture	sɪŋkʃə	["noun","verb"]
cinderella	sˌɪndɚˈɛlə
cinder	ˈsɪndə	["noun","verb"]
cinder	sˈɪndɚ
cinders	sˈɪndɚz
cindie	sˈaɪndi
cindric	sˈɪndɹɪk
cindy	sˈɪndi
cindy's	sˈɪndiz
cinelli	sɪnˈɛli
cinemark	sˈɪnəmˌɑɹk
cinema	sˈɪnəmə
cinema	ˈsɪnɪmɑː	["noun"]
cinema's	sˈɪnəməz
cinemas	sˈɪnəməz
cinematic	sˌɪnəmˈætɪk
cinematic	sɪnəˈmætɪk	["noun","adjective"]
cinematographer	sˌɪnɪmətˈɑgɹəfɚ
cinematography	ˈsɪnəməˌtɒgɹəfiː	["noun"]
cinematography	sˌɪnɪmətˈɑgɹəfi
cinemax	sˈɪnəmæks
cineplex	sˈɪnəplˌɛks
cineplex's	sˈɪnəplˌɛksɪz
cinergy	sˈɪnɚdʒi
cingular	sˈɪŋgjəlɚ
cini	tʃˈini
cinnabar	ˈsɪnəbɑːɹ	["noun","adjective"]
cinnabar	sˈɪnəbˌɑɹ
cinnabon	sˈɪnəbˌɔn
cinnaminson	sˈɪnəmɪnsən
cinnamon	sˈɪnəmən
cinnamon	ˈsɪnəmən	["noun","adjective"]
cinnamonson	sˈɪnəmənsən
cino	tʃˈinoʊ
cinq	sˈɪŋk
cinquain	sɪnken	["noun"]
cinquefoil	ˈsɪŋkfɔɪl	["noun"]
cinquemani	tʃiŋkwɛmˈɑni
cinque	sæŋk	["noun"]
cinque	sˈɪŋk
cinques	sɪŋks	["noun"]
cinram	sˈɪnɹæm
cinthie	sˈɪnθi
cintron	sˈɪntɹən
ciocca	tʃˈoʊkə
cioffi	tʃiˈoʊfi
ciolek	tʃiˈoʊlɛk
ciolino	tʃoʊlˈinoʊ
ciotti	tʃˈoʊti
cipher	ˈsaɪfə	["noun","verb"]
cipher	sˈaɪfɚ
cipolla	sɪpˈɑlə
cipollone	sˌɪpəlˈoʊn
cipollone	sˌɪpəlˈoʊni
cipriani	tʃipɹiˈɑni
cipriano	tʃipɹiˈɑnoʊ
cipri	sˈɪpɹi
cira	sˈɚə
ciraulo	sɚˈɔloʊ
circadian	sɚkˈeɪdiən
circa	sˈɚkə
circa	ˈsɜːkə	["preposition"]
circled	sˈɚkəld
circled	ˈsɜːɹkəld	["adjective","verb"]
circle	sˈɚkəl
circle	ˈsɜːkəl	["noun","verb"]
circle's	sˈɚkəlz
circles	sˈɚkəlz
circles	ˈsɜːkəlz	["noun","verb"]
circlet	ˈsɜːɹklət	["noun"]
circling	sˈɚkəlɪŋ
circling	sˈɚklɪŋ
circon	sˈɚkɑn
circs	sɜːks	["noun","verb"]
circuited	sˈɚkɪtɪd
circuitous	sɚkjˈuɪtəs
circuitous	sɜːˈkjuːɪtəs	["adjective"]
circuitry	sˈɚkɪtɹi
circuitry	ˈsɜːkɪtɹɪ	["noun"]
circuit	ˈsəɾkɪʈ	["noun","verb"]
circuit	sˈɚkɪt
circuit's	sˈɚkɪts
circuits	sˈɚkɪts
circularize	sˈɚkjəlɚˌaɪz
circularizing	sˈɚkjəlɚˌaɪzɪŋ
circularly	sˈɚkjəlɚli
circular	sˈɚkjəlɚ
circular	ˈsɜːkjələɹ	["noun","verb","adjective"]
circulars	sˈɚkjəlɚz
circulated	sˈɚkjəlˌeɪtɪd
circulate	ˈsəˌkjʊleɪt	["verb"]
circulate	sˈɚkjəlˌeɪt
circulates	sˈɚkjəlˌeɪts
circulating	sˈɚkjəlˌeɪtɪŋ
circulation	sˈɚkjəlˌeɪʃən
circulation	ˌsɜːɹkjʊˈleɪʃən	["noun"]
circulations	sˌɚkjəlˈeɪʃənz
circulatory	sˈɚkjələtˌɔɹi
circumambulate	ˌsəkəmˈæmbjʊleɪt	["verb"]
circumcised	sˈɚkəmsˌaɪzd
circumcise	sˈɚkəmsˌaɪz
circumcision	sˌɚkəmsˈɪʒən
circumference	sɚkˈʌmfɹəns
circumference	sɜːˈkʌmfɹəns	["noun","verb"]
circumferential	səɹkəmfəˈɹenʃəl	["adjective"]
circumflex	ˈsɜːkəmˌfleks	["noun","verb","adjective"]
circumfuse	ˈsɜːɹkəmˌfjʊz	["verb"]
circumlocution	ˌsɜːkəmləˈkjuːʃən	["noun"]
circumnavigate	sɚkʌmnˈævɪgˌeɪt
circumscribed	sˌɚkəmskɹˈaɪbd
circumscribe	sˌɚkəmskɹˈaɪb
circumscribing	sˌɚkəmskɹˈaɪbɪŋ
circumspection	sˌɚkəmspˈɛkʃən
circumspect	sˈɚkəmspˌɛkt
circumstance	sˈɚkəmstˌæns
circumstances	sˈɚkəmstˌænsɪz
circumstances	ˈsɜːkəmstənsɪz	["noun"]
circumstantially	sˌɚkəmstˈænʃəli
circumstantial	səːkəmˈstænʃəl	["noun","adjective"]
circumstantial	sˌɚkəmstˈænʃəl
circumvallate	sɜːkəmˈvæleɪt	["adjective","verb"]
circumvallation	sɜːkəmvæˈleɪʃən	["noun"]
circumvene	sˌɚkəmvˈin
circumvented	sˌɚkəmvˈɛntɪd
circumventing	sˌɚkəmvˈɛntɪŋ
circumvention	sˌɚkəmvˈɛnʃən
circumvention	ˌsɜːɹkəmˈvenʃən	["noun"]
circumvent	sˌɚkəmvˈɛnt
circumvents	sˌɚkəmvˈɛnts
circuses	sˈɚkəsɪz
circus	sˈɚkəs
circus	ˈsɜːkəs	["noun","verb"]
circus's	sˈɚkəsɪz
cirelli	sɪɹˈɛli
ciresi	sɚˈɛsi
ciriaco	sˌɪɹiˈɑkoʊ
ciriello	sɚiˈɛloʊ
cirigliano	sɚigliˈɑnoʊ
cirillo	sɪɹˈɪloʊ
cirincione	sɚintʃˈoʊni
cirino	sɚˈinoʊ
cirkin	sˈɚkɪn
cirone	sɪɹˈoʊn
ciros	sˈɪɹoʊz
cirque	sˈɚk
cirque	sɜːk	["noun"]
cirrhosis	sɚˈoʊsəs
cirrhosis	sɪˈɹəʊsɪs	["noun"]
cirrincione	sɚɹintʃˈoʊni
cirrostratus	ˌsɪɹəˈstɹeɪtəs	["noun"]
cirrus	sˈɪɹəs
cirrus	ˈsɪɹəs	["noun"]
cisar	sɪsˈɑɹ
cisco	ˈsɪskəʊ	["noun"]
cisco	sˈɪskoʊ
cisco's	sˈɪskoʊz
cisek	tʃˈɪsɛk
cisewski	tʃɪsˈɛfski
ciskei	sɪskˈeɪ
cisler	sˈɪsəlɚ
cisler	sˈɪslɚ
cislo	tʃˈisloʊ
cisneros	sɪsnˈɛɹoʊs
cisney	sˈɪzni
cissell	sˈɪsəl
cissie	sˈɪsi
cis	sɪs	["adjective"]
cissna	sˈɪsnə
cissy	ˈsɪsɪ	["noun"]
cistercian	sɪstˈɚʃən
cistern	sˈɪstɚn
cisterns	sˈɪstɚnz
cist	kɪst	["noun"]
cist	sˈɪst
ciszek	tʃˈɪʃɛk
ciszewski	tʃɪʃˈɛfski
citadel	ˈsɪtədəl	["noun"]
citadel	sˈɪtədˌɛl
citadel's	sˈɪtədˌɛlz
citation	saɪtˈeɪʃən
citation	ˌsaɪˈteɪʃən	["noun"]
citations	saɪtˈeɪʃənz
cited	sˈaɪtɪd
cited	ˈsaɪtɪd	["verb"]
cite	sˈaɪt
cite	saɪt	["verb"]
cites	sˈaɪts
cites	saɪts	["noun","verb"]
citgo	sˈɪtgoʊ
citibank	sˈɪtibˌæŋk
citibank's	sˈɪtibˌæŋks
citicorp	sˈɪtikˌɔɹp
citicorp's	sˈɪtikˌɔɹps
citicorps	sˈɪtikˌɔɹps
citic	sˈɪtɪk
cities	sˈɪtiz
cities	ˈsɪtɪz	["noun"]
citing	sˈaɪtɪŋ
citing	ˈsaɪtɪŋ	["noun","verb"]
citi	sˈɪti
citisteel	sˈɪtistˌil
citizenry	sˈɪtɪzənɹi
citizenry's	sˈɪtɪzənɹiz
citizenship	sˈɪtɪzənʃˌɪp
citizen	sˈɪtɪzən
citizen	ˈsɪtɪzən	["noun"]
citizen's	sˈɪtɪzənz
citizens	sˈɪtɪzənz
citizens	ˈsɪtɪzənz	["noun"]
citrano	tʃitɹˈɑnoʊ
citric	sˈɪtɹɪk
citric	ˈsɪtɹɪk	["adjective"]
citrine	sˌɪtɹˈin
citrine	ˈsɪtɹɪn	["noun","adjective"]
citrin	sˈɪtɹɪn
citrix	sˈɪtɹɪks
citroen	sˈɪtɹoʊn
citronella	sˌɪtɹɑnˈɛlə
citron	sˈɪtɹən
citron	ˈsɪtɹən	["noun","adjective"]
citron's	sˈɪtɹɑnz
citron's	sˈɪtɹənz
citro	sˈɪtɹoʊ
citrosuco	sˌɪtɹəsˈukoʊ
citrucel	sˈɪtɹəsˌɛl
citrucel's	sˈɪtɹəsˌɛlz
citrus	sˈɪtɹəs
citrus	ˈsɪtɹəs	["noun","adjective"]
citrus's	sˈɪtɹəsɪz
cittadino	tʃitɑdˈinoʊ
cityfed	sˈɪtifˌɛd
cityplace	sˈɪtiplˌeɪs
citysearch	sˈɪtisˌɚtʃ
cityside	sˈɪtisˌaɪd
city	sˈɪti
city	sɪtɪ	["noun"]
city's	sˈɪtiz
citytrust	sˈɪtitɹˌʌst
citywide	sˈɪtiwˌaɪd
ciucci	tʃˈutʃi
ciudad	sˌiudˈæd
ciulla	tʃˈulə
ciullo	tʃˈuloʊ
civet	sˈɪvət
civet	ˈsɪvɪt	["noun"]
civic	sˈɪvɪk
civic	ˈsɪvɪk	["adjective"]
civics	sˈɪvɪks
civics	ˈsɪvɪks	["noun"]
civiletti	sˌivɪlˈɛti
civilian	səvˈɪljən
civilian	sɪˈvɪljən	["noun","adjective"]
civilians	səvˈɪljənz
civilise	ˈsɪvɪlaɪz	["verb"]
civility	səvˈɪləti
civility	sɪˈvɪlɪtɪ	["noun"]
civilization	ˌsɪvəlaɪˈzeɪʃən	["noun","propernoun"]
civilization	sˌɪvəlɪzˈeɪʃən
civilizations	sˌɪvəlɪzˈeɪʃənz
civilized	sˈɪvəlˌaɪzd
civilized	ˈsɪvɪlaɪzd	["adjective","verb"]
civilize	sˈɪvəlˌaɪz
civilly	sˈɪvɪli
civil	sˈɪvəl
civil	ˈsɪvəl	["adjective"]
civitello	tʃivitˈɛloʊ
civvies	ˈsɪvɪs	["noun"]
civvy	sɪvɪ	["noun"]
cizek	tʃˈɪzɛk
cizik	sˈizɪk
cizneros	sˌɪznˈɛɹoʊs
claar	klˈɑɹ
claassen	klˈɑsən
clabaugh	klˈæbɔ
clabber	ˈklæbəɹ	["noun","verb"]
clabir	klˈæbɪɹ
clabo	klˈɑboʊ
claborn	klˈæbɚn
clabough	klˈæbaʊ
clachan	ˈklækən	["noun"]
clackamas	klˈækəməs
clack	klˈæk
clack	klæk	["noun","verb"]
clacks	klæks	["noun","verb"]
claddagh	klˈædˌʌ
cladding	ˈklædɪŋ	["noun","verb"]
clade	kleɪd	["noun","verb"]
cladification	klˌædəfɪkˈeɪʃən
clad	klˈæd
clad	klæd	["adjective","verb"]
claes	klˈeɪz
claeys	klˈeɪz
claffey	klˈæfi
claflin	klˈæflɪn
clagett	klˈædʒɪt
claggett	klˈægɪt
clagg	klˈæg
claggy	klægiː	["adjective"]
clag	klæg	["noun","verb"]
clague	klˈɑg
claiborne	klˈeɪbɚn
claiborne's	klˈeɪbɚnz
claiborne's	klˈeɪbɔɹnz
claiborn	klˈeɪbɚn
claimant	klˈeɪmənt
claimants	klˈeɪmənts
claimed	klˈeɪmd
claimed	kleɪmd	["verb"]
claiming	klˈeɪmɪŋ
claiming	ˈkleɪmɪŋ	["verb"]
claim	klˈeɪm
claim	kleɪm	["verb","noun"]
claims	klˈeɪmz
claims	kleɪmz	["verb","noun"]
claire	klˈɛɹ
claire's	klˈɛɹz
clair	klˈɛɹ
clairmont	klˈɛɹmənt
clairol	klˈɛɹɑl
clairson	klˈɛɹsən
clairvoyance	klɛɹvˈɔɪəns
clairvoyant	klɛɹvˈɔɪənt
clamant	ˈkleɪmənt	["adjective"]
clambered	klˈæmbɚd
clamber	ˈklæmbə	["verb","noun"]
clamber	klˈæmbɚ
clamen	klˈeɪmən
clam	klˈæm
clam	klæm	["verb","noun"]
clammed	klˈæmd
clammed	klæmd	["verb"]
clamming	ˈklæmɪŋ	["verb"]
clammy	klˈæmi
clammy	ˈklæmɪ	["adjective"]
clamored	klˈæmɚd
clamoring	klˈæmɚɪŋ
clamor	ˈklæmə	["verb","noun"]
clamor	klˈæmɚ
clamoured	klˈæmɚd
clamourer	klˈæmɚɚ
clamour	ˈklæmə	["verb","noun"]
clamour	klˈæmɚ
clampdown	klˈæmpdˌaʊn
clamped	klˈæmpt
clamped	klæmpt	["verb"]
clampett	klˈæmpɪt
clamping	klˈæmpɪŋ
clamping	ˈklæmpɪŋ	["verb","noun"]
clampitt	kləmpˈɪt
clamp	klˈæmp
clamp	klæmp	["verb","noun"]
clamps	klˈæmps
clamps	klæmps	["verb","noun"]
clamshell	klˈæmʃˌɛl
clams	klˈæmz
clams	klæmz	["verb","noun"]
clancey	klˈænsi
clancy	klˈænsi
clancy's	klˈænsiz
clandestine	klænˈdestɪn	["adjective"]
clandestine	klændˈɛstɪn
clandestinely	klænˈdestɪnlɪ	["adverb"]
clandestinely	klændˈɛstənli
clanging	klˈæŋɪŋ
clang	klˈæŋ
clang	klæŋ	["verb","noun"]
clangour	ˈklæŋəɹ	["verb","noun"]
clanin	klˈænɪn
clanking	klˈæŋkɪŋ
clank	klˈæŋk
clank	klæŋk	["verb","noun"]
clan	klˈæn
clan	klæn	["noun"]
clannish	klˈænɪʃ
clannish	ˈklænɪʃ	["adjective"]
clans	klˈænz
clans	klænz	["noun"]
clanton	klˈæntən
clapboard	ˈklæbəɹd	["verb","noun"]
clapboard	klˈæpbˌɔɹd
clapboards	klˈæpbˌɔɹdz
clapham	klˈæfəm
clap	klˈæp
clap	klæp	["verb","noun"]
clapman	klˈæpmən
clapped	klˈæpt
clapped	klæpt	["verb"]
clapper	ˈklæpə	["verb","noun"]
clapper	klˈæpɚ
clapping	klˈæpɪŋ
clapping	ˈklæpɪŋ	["verb","noun"]
clapp	klˈæp
clapsaddle	klˈæpsˌædəl
claps	klˈæps
