अंकगणित	əŋkəgəɳiːt̪
कलाकारांनी	kəlɑːkɑːrɪɳɳi
कलाकारांनीही	kəlɑːkɑːɾɪn̪n̪iː
कलाकाराने	kal̪aːkaːraːne
कलाकारांपासून	kəlɑkɑːɾɑːm̃pɑːs̪un̪
कलाकारांपैकी	kal̪aːkaːɾaːŋpaːi̯ki
कलाकारांप्रमाणेच	kəlɑkɑrɑːmprəmɑːɳɛtʃ
कलाकारांबरोबर	kəlɑːkɑːrɑːmʋɑːrɑːbʋɑːr
कलाकारांबरोबरच	kəlɑkɑrɑːmbɑrɑbɾtʃ
कलाकारांमधील	kal̪aːkaːɾ̃ːmɘɭil
कलाकारांमध्ये	kəlɑːkɑːrɑːmɳʰe
कलाकाराला	kəlɑkɑːɾɑːlɑ
कलाकारांवर	kəlɑkɑrɑːnʋər
कलाकारांसाठी	kalɑːkɑːrɑːntʃʰiː
कलाकारांसोबत	kəlɑkɑrɑːnsobət
कलाकुसर	kəlɑːkʊsəɾ
कलाकृती	kəlɑːkɾiːtiː
कलाकृतीतून	kal̪aːkr̪iːt̪iːt̪uːn̪
कलागुणांना	kəlɑːguɳɑːɳɑː
कलाटणी	kəlɑːʈɳi
कलात्मक	kəlɑːt̪ʌg
कलादालनात	kal̪aːdaːl̪naːt̪
कलादिग्दर्शक	kəlɑːd̪igd̪əɾʂkə
कलादिग्दर्शन	kəlɑːd̪igd̪əɾs̪n̪
कलाम	kəlɑːm
कलावंत	kəlɑːʋənt̪
कलावंतांच्या	kal̪aʋəɳʈɪəɳʈʰi
कलावंतांनी	kalɑːʋənt̪iː
कलावंतीण	kəlɑːʋəntiːɳ
कलाविश्व	kəlɑːʋɪɕʋ
कलाविश्वात	kəlɑːʋɪɕʋɑːt̪
कलाविश्वातील	kəlɑːʋiʃʋɑːt̪iːl̪
कलाविश्वामध्ये	kəlɑːʋɪɕʋɑːmʤʰe
कलाविश्वाशी	kəlɑːʋɪʃʋɑːʃiː
कलिंगड	kəliŋɖ
कलिता	kəlɪt̪ə
कलेक्शन	kɭeːkʂɳ
कलेक्शनमध्ये	kɭeːkʂɳəmd̪ʱe
कलेक्शन्स	kɭeːkʂəɳs
कलेची	kələtʃiː
कलेचे	kələtɕe
कलेच्या	kaletɕə
कलेला	kɭeːɭə
कल्की	kalki
कल्चर	kalʈ
कल्चरल	kalʈʈʈɾəl
कल्पक	kalpək
कल्पकता	kalpəkt̪ə
कल्पकता	kalpʌkt̪ə
कल्पकतेने	kalpəkət̪en̪e
कल्पकतेला	kalpəkət̪eːlə
कल्पना	kalpənə
कल्पनाच	kalpənɑtʃ
कल्पनाशक्ती	kalpəɳɑːʃəkt̪iː
कल्पनाशक्तीच्या	kalpənɑʃkt̪iːtʃjɑ
कल्पनाही	kalpənɑːhi
कल्पिता	kalpɪt̪ə
कल्पिताने	kalpɪt̪ɑːne
कल्याण	kaljɑːɳ
कल्याणकारी	kaljəɳkari
कल्याणपूर	kaljəɳpuːr
कल्याणी	kaljaniː
कल्ला	kəlɭɑ
कळ	kɭəɭ
कळणार	kəɭɳaɾ
कळण्यास	kəɭɳjas
कळत	kəɭət
कळतं	kəɭət̪ə
कळतच	kəɭətʃ
कळतंय	kəɭət̪əɳ
कळताच	kəɭətɑːtʃ
कळतात	kəɭt̪aːt̪
कळते	kəɭt̪e
कळतो	kəɭto
कळलं	kəɭəɭə
कळलंच	kəɭəɭəɳtɕ
कळला	kəɭəla
कळली	kɭ̆li
कळले	kəɭəle
कळलेच	kɭəleʈʈʰ
कळलेलं	kəɭleːlə
कळल्यानंतर	kɭəlyənt̪ɾə
कळल्यावर	kəɭəlyəʋəɾ
कळवण्यात	kəɭʋəɳjɑːt̪
कळवला	kəɭʋlə
कळवली	kəɭʋli
कळवले	kəɭʋlə
कळवा	kəɭʋə
कळविले	kəɭʋilə
कळवू	kəɭvu
कळस	kəɭs
कळस	kɭəs
कळसूबाई	kəɭsuːbai
कळा	kəɭə
कळायच्या	kəɭəjʈʰe
कळायला	kəɭɑjɭə
कळीचा	kəɭiːtɕʰə
कळू	kəɭu
कळून	kəɭuːn
कळेना	kəɭeɳə
कळेल	kəɭel
कळेलच	kɭeːlʈ
कवच	kəʋtɕ
कवटाळू	kəʋəʈaːluː
कंवर	kə̃ʋəɾ
कविता	kəʋɪt̪ə
कवितेवर	kəʋɪt̪eʋəɾ
कवी	kavi
कव्हर	kʌʋɾə
कव्हरेज	kaʋʱreːdʒ
कव्हर्स	kʌvʌɾs
कव्हर्सवर	kʌʋʱəɾsʋəɾ
कशा	kɑʂɑ
कशाचीही	kəʃətʃiː
कशात	kɕɑːt̪
कशापद्धतीने	kəʃɑːpʰəd̪ːʈiːne
कशाप्रकारे	kəʃɐpɾkɑːɾe
कशामुळे	kəʃɑːmuɭe
कशाला	kəʃɑːlə
कशावर	kəʃɑːʋəɾ
कशासाठी	kəʃɑːsɑːʈʈi
कशी	kɕi
कशीही	kɕiː
कश्यप	kəʂjəp
कश्यपने	kɕʰəʂpən̪e
कश्यपला	kɕʌʂɪpɭə
कष्ट	kɕʰəʈ
कष्टाची	kɕʰʈɔt̪tʃi
कष्टाचे	kɑʂʈɑtʃe
कष्टाच्या	kɕʈaːt̪aː
कस	kəs
कसं	kəsaŋ
कसदार	kɑsd̪ɑɾ
कसब	kəsəb
कसम	kəsəm
कसंय	kəsəɳ
कसर	kɕəɾ
कसरत	kəʂəɾət
कसरतच	kəsəɾət̪ətʃʰ
कसलं	kəsəɭəɳ
कसला	kəsɭə
कसलाच	kəsəɭətɕ
कसलाही	kəsɾəɦiː
कसली	kəsli
कसलीच	kɑsliːtʃ
कसलीही	kəslihi
कसले	kɑs̪le
कसलेल्या	kəsleɳɑ
कसलेही	kəslehi
कसा	kəsa
कसाही	kəsoːhi
कसून	kəsuːn
कसूर	kəsuːr
कसे	kɑse
कसेही	kɑsehi
कसोटी	kəsoːʈi
कसोटीच	kɔsɔʈiːtʃ
कसोटीचा	kəsoʈiːtʃə
कसोटीचे	kəsoʈitʃe
कसोटींच्या	kəsoːʈiːnʧʰə
कसोटीच्या	kəsoʈiːtʃjə
कसोटीत	kəsoʈiːt
कसोटीतही	kəsoʈiːt̪ʰi
कसोटीतील	kəsoʈiːt̪iːl̪
कसोटीतून	kəsoʈiːt̪uːn
कसोटीदरम्यान	kəsoʈiːd̪ərmjan
कसोटीनंतर	kəsoːtiːn̪t̪əɾ
कसोटीने	kəsoʈiːn̪e
कसोटीपटू	kəsoʈiʈəpu
कसोटीप्रमाणे	kəsoʈiprəmɑːɳe
कसोटींमध्ये	kəsoʈiːmɖʱe
कसोटीमध्ये	kəsoʈiːmʰd̪ʋe
कसोटीला	kəsoːʈiːlə
कसोटीवर	kəsoːʈiʋəɾ
कसोटीस	kəsoːʈiːs
कसोटीसह	kɔsɔʈiːsəɦ
कसोटीसाठी	kəsoːʈiːsɑːʈʈi
कसौटी	kəsoːʈi
कस्टम	kʌsʈəm
कस्टमाईज	kʌsʈəmaɪz
कस्तुरी	kɑst̪uɾi
कह	kəʰ
कहर	kʰəɾ
कहलाता	kəhɭɑːt̪ə
कहाँ	kəhɑ̃
कहा	kʰə
कहाणी	kəhæːɳi
कहानी	kəhāni
कहानी	kəhɑːni
कहो	kəɳo
का	ka
कां	kɑːɳ
का	kə
काइली	kaɪliː
काई	kɑiː
काईल	kaɪl
काउच	kɔuʈʈʃ
काउंटी	kaʊ̯ʈiː
काऊच	koːuʈʃ
काऊंटी	kaʊ̯n̪ʈiː
काकडी	kɑːkɑɖi
काकडीचा	kɑːkɖiːtʃɑ
काकडे	kɑːkɑːɖe
काका	kɑːkɑː
काकांच्या	kɑːkəɳɳɑː
काकू	kɑːkuː
कांग	kaːŋg
कागणे	kaːgəɳe
कागद	kaːgəd̪
कागदपत्र	kaːgəd̪pəʈɾ
कागदपत्रांचा	kaːgɾəpətrəɳtɕa
कागदपत्रांची	kaːgɑːd̪pəʈɾɑːɲtʃiː
कागदपत्रे	kaːgɑːd̪pətr̪eː
कागदाचा	kaːgɾəʈʧə
कागदावर	kaːgəɖəʋəɾ
कागदी	kaːgɾiː
कांगरी	kɑːŋgri
कांगारुंना	kaːŋgaːruːnːa
कांगारू	kɑːŋgɑːruː
कांगारूंची	kaːŋgaːruːntʃiː
कांगारूंनी	kaːŋgaːruːɳiː
कागिसो	kaːgis̪oː
काँग्रेस	koːŋgɾɛs
काँग्रेसच्या	koːŋgɾɛstɕə
काँग्रेसमध्ये	koːŋgreːsəmdʑe
काँग्रेसमध्ये	koːŋgreːsmɑːɳɖe
काच	kɑːtʃ
कांचन	kɑːntʃən
कांचनमाला	kɑːntɕəˈmɑːlɑː
काचा	kɑːtʃə
कांचीपुरम	kaːɳtʃipuɾəm
काचेचं	kɑːtʃeʈʂə
काचेची	kɑːtʃeːtʃiː
काचेच्या	kaːtɕeːtɕɑː
काजल	kɑːdʒəl
काजळ	kaːdʒəɭ
काजवे	kɑːdʒʋɛ
काजव्यांचा	kaːdʒʋjɑːtɕə
काजव्यांचे	kaːdʒʋjɑːtɕe
काजू	kaːdʒuː
काजोल	kɑːdʒol
काजोलच्या	kaːdʒoːl̪tʃeː
काजोलने	kaːdʒoːln̪eː
काजोलला	kɑːdʒoːl̪l̪ə
काझा	kɑːdʒə
काटकोनात	kaːʈkoːnaːt
काटा	kaːʈa
काटे	kaːʈe
काटेकोर	kaːʈeːkoːr
काटेकोरपणे	kaːʈeːkoːrpaɳe
काटेरी	kaːʈeːri
काट्यावर	kaːʈʲəʋəɾ
काठ	kaːʈʰ
काठमांडू	kaːʈʰmaːɳɖuː
काठावर	kɑːʈʰɑːvəɾ
काठी	kəʈʈʰi
काठ्या	kaːʈʰjɑː
काडेपेटी	kaːɖepeːʈi
काढणं	kɑɳəɳ
काढणार	kaːɖʱɳaːr
काढणारा	kaːɖɳaːra
काढणारी	kaːɖʱɳaːriː
काढणाऱ्या	kaːɖʱɳaːɾjɑː
काढणे	kaːɖɳe
काढण्याचा	kaːɖɳjəʧə
काढण्याची	kaːɖɳjəʧiː
काढण्याचे	kaːɖɳjɛtʃe
काढण्याच्या	kaːɖɳjəʧʰə
काढण्यात	kaːɖɳjɑːt̪
काढण्यास	kɑɳɳjɑs
काढण्यासाठी	kaːɖɳjɑːʃt̪i
काढत	kɑɳɖət
काढता	kaːɖʈaː
काढतात	kaːɖʈaːt̪aː
काढताना	kaːɖət̪aːn̪ə
काढते	kaːɖt̪e
काढतो	kɑɳɖʈo
काढलं	kaːɖʱələ̃
काढला	kɑːɖəla
काढली	kɑːɖliː
काढले	kaːɖle
काढलेला	kɑːɖl̪eːl̪ə
काढलेली	kɑɳɖleːli
काढलेले	kɑɳɖlele
काढलेल्या	kaːɖʱleːɭjɑ
काढल्या	kaːɖʎɛ
काढल्यानंतर	kaːɖʱl̪jənt̪ɾ
काढल्याने	kaːɖʱl̪jɛːn̪e
काढल्याप्रकरणी	kaːɖʱl̪jɑːpɾkəɳi
काढल्यामुळे	kaːɖʱl̪jɑːmuɭ̆e
काढल्यावर	kaːɖʱljoʋəɾ
काढल्यास	kaːɖʱljas
काढा	kaːɖʌ
काढायचा	kaːɖɑːtʃə
काढायची	kaːɖʱaiːtʃi
काढायचे	kaːɖʌːtɕe
काढायला	kaːɖʰaːjə
काढावा	kaːɖʌʋaː
काढावी	kaːɖʱaviː
काढावे	kaːɖʌwe
काढू	kɑːɖuː
काढून	kaːɖuːn
काढेल	kaːɖʱel
कांत	kəːɳʈ
कांतिरावा	kaːɳʈiɾaːʋaː
कांती	kəːɳʈi
कात्री	kaːʈriː
कादंबरी	kɑːd̪əmbɾi
कादंबरीकार	kɑːd̪əmb̪riːkɑːr̩
कांदबरीवर	kaːɳd̪bɾiʋəɾ
कादंबरीवर	kɑːd̪əmbɾiʋəɾ
कादर	kaːɖəɾ
कांदा	kɑːn̪d̪ə
कांदे	kə̃ːɳɖe
कांद्याचा	kaːɳd̪jɑːtʃə
कांद्याची	kaːɳɖjəʨiː
कांद्याच्या	kaːɳd̪jɑːtʃə
कान	kaːn
कान	kɑːn
कानठळ्या	kɑːnəʈʰəɭjɑː
कानन	kəːnən
कानपूर	kɑːnpuːr
कानपूरच्या	kɑːnpuːrtɕə
कानपूरला	kɑːnpuːɾələ
कानमंत्र	kɑːnəmt̪ɾə
कानाकोपऱ्यात	kɑːnɑːkɔːpəɽjɑːt̪
कानाकोपऱ्यातून	kaːnakoːpəɾjɑːtun
कानाडोळा	kɑːnɑːɖoɭɑː
कानात	kɑːnɑːt̪
कानातले	kɑːnɑːt̪l̪e
कानावर	kaːnəʋəɾ
कानी	kɑːniː
कानेटकर	kɑːnɛːʈkəɾ
कान्स	kɑːns
कान्ह	kəɳʰ
कान्हा	kəɳʰə
कान्हेरे	kəɳʰeːre
काप	kɑːp
कापड	kaːpɖ
कापडाचा	kaːpɖɑːtɕə
कापडाचे	kaːpɖɑːtʃe
कापडाच्या	kɑːpɖɑːtʃʰə
कापडात	kaːpɖaːt̪
कापडाने	kaːpɖaːne
कापडापासून	kaːpɖaːpaːs̪uːn
कापत	kɑːpət
कापताना	kaːpət̪aːn̪ə
कापला	kɔːpɭə
कापली	kaːpəliː
कापले	kaːp̚le
कापसाच्या	kaːpəsɑːtɕʰə
कापसाने	kɑːpəsɑːn̪e
कापू	kaːpuː
कापून	kaːpuːn
कापूर	kaːpuːr
कापूस	kaːpuːs
कांबळी	kɔːmbəɭi
कांबळे	kaːmɭ̆e
काबिल	kaːbɪl
काबीज	kɑːbiːdʒ
कामं	kaːm̃
काम	kɑːm
कामकाज	kaːmkaːdʒ
कामकाजाचे	kaːmkaːdʒɑːtʃe
कामगार	kaːmgaːr
कामगारांच्या	kaːmgaːɾeːɳʈʰiː
कामगारांना	kaːmgaːɾɑːnnaː
कामगिरी	kaːmgiːɾi
कामगिरीआधारे	kaːmgiːɾiːɑːd̪ʱɑːrɛː
कामगिरीकडे	kaːmgiːɾiːkɑːɳeː
कामगिरीचं	kaːmgiːɾitʃəɳ
कामगिरीचा	kaːmgiːɾitʃʰə
कामगिरीची	kaːmgiːɾitʃiː
कामगिरीचे	kaːmgiːɾitʃe
कामगिरीच्या	kaːmgiːɾitʃʰe
कामगिरीत	kaːmgiːɾit̪
कामगिरीतील	kaːmgiːɾiːt̪iːl
कामगिरीदेखील	kaːmgiːɾiːd̪eːkʰiːl
कामगिरीनंतर	kaːmgiːɾiːn̪t̪əɾ
कामगिरीने	kaːmgiːɾine
कामगिरीबद्दल	kaːmgiːɾiːbɐɖɭ̆
कामगिरीबाबत	kaːmgiːɾiːbɑːbʌt̪
कामगिरीमुळे	kaːmgiːɾiːmuɭe
कामगिरीला	kaːmgiːɾiːlɑː
कामगिरीवर	kaːmgiːɾiʋaɾ
कामगिरीवरही	kaːmgiːɾiʋəɾʰi
कामगिरीसह	kaːmgiːɾisəɦ
कामगिरीसाठी	kaːmgiːɾiːsɑːʈʈʰiː
कामगिरीही	kaːmgiːɾiːhiː
कामच	kaːmʈ
कामचलाऊ	kɑːmʈʃəlɑːu
कामत	kɑːmt̪ə
कामरान	kaːmɾaːn
कामला	kaːmlə
कामवासना	kaːmʋaːsəɳə
कामवासनेचा	kaːmʋaːsneːtʃə
कामही	kaːmʰiː
कामा	kaːmə
कामाचं	kɑːmɑːtʃəɳ
कामाचा	kaːmaːtɕə
कामांची	kaːmaːntɕiː
कामाची	kaːmaːtʃiː
कामाचे	kaːmaːtʃe
कामाच्या	kaːmaːtɕʰi
कामांच्या	kaːmeɳɳe
कामात	kɑːmɑːt̪
कामातील	kaːmaːt̪iːl̪
कामातुर	kaːmaːt̪uɾ
कामातून	kaːmaːtuːn
कामांना	kaːmaːɳɑː
कामानिमित्त	kaːmaːn̪imit̪t̪
कामाने	kaːmaːne
कामाबद्दल	kaːmɑːbɑɖɖəl
कामामध्ये	kaːmaːmɖʱe
कामांमध्ये	kaːmaːmʈʰeː
कामामुळे	kaːmaːmuɭe
कामांमुळे	kaːmaːmʊɭe
कामाला	kɑːmɑːlɑː
कामावर	kaːmoːʋəɾ
कामास	kaːmaːs
कामांसाठी	kaːmaːnsɘːʈʃiː
कामासाठी	kaːmaːsɑːʈʈi
कामिनी	kaːmiːniː
कामिल	kaːmɪl
कामी	kaːmiː
कामे	kaːme
कामेही	kaːmehiː
काम्या	kaːmjɑː
काम्याने	kaːmjɑːne
काय	kaːj
कायदा	kaːjɖə
कायदे	kaɪɖe
कायदेशीर	kəiːɖeːʃiːɾ
कायदेशीररित्या	kəiːɳɳeːʃiːɾɾɪt̪jɑː
कायद्याचा	kəɪd̪jətʃə
कायद्याचे	kəiɖjəʧe
कायद्याच्या	kəiɖjəʧə
कायद्यातील	kəɪd̪jəɭ̆t̪iːl̆
कायद्यानुसार	kəɪd̪jəɳusɑːr
कायम	kəjəm
कायमच	kaːjəmtɕ
कायमचं	kaːjəmʈ
कायमचा	kaːjəmtɕə
कायमची	kaːjəmtʃi
कायमचे	kaːjəmʧe
कायमस्वरुपी	kaːjməsʋəɾupiː
कायमस्वरूपी	kaːjməsʋəruːpiː
कायले	kɑjle
कायापालट	kaːjɑːpɑːlʈ
कार	kɑːr
कारकिर्द	kɑːɾkɪɾd̪
कारकिर्दीचा	kɑːɾkɪɾɪdʒə
कारकिर्दीची	kɑːɾkɪɾɖiːtʃiː
कारकिर्दीच्या	kaːɾkʰiɾdiːtʃʰə
कारकिर्दीत	kɑːɾkɪɾd̪iːt̪
कारकिर्दीतलं	kɑːɾkɪɾd̪iːt̪əɭəɳ
कारकिर्दीतला	kaːɾkɪɾd̪iːt̪ɭə
कारकिर्दीतील	kaːɾkʰiɾdiːt̪iːl̪
कारकिर्दीमधील	kaːɾkʰiɾdiːmɾiːl
कारकिर्दीला	kɑːɾkɪɾɖiːlɑː
कारकिर्दीवर	kɑːɾkɪɾd̪iʋəɾ
कारकिर्दीसाठी	kɑːɾkɪɾɖiːsɑːʈʈi
कारकीर्द	kɑːɾkiɾɾ
कारकीर्दीच्या	kaːɾkiɾdiːtʃə
कारकीर्दीत	kɑːɾkiɾd̪iːt̪
कारकीर्दीतील	kɑːɾkɪɾɖiːt̪iːl̪
कारकीर्दीमध्ये	kɑːɾkiɾd̪iːmɖʱe
कारकीर्दीला	kɑːɾkiɾɾiːlɑː
कारकीर्दीवर	kɑːɾkiɾd̪iʋəɾ
कारकीर्दीसाठी	kaːɾkiɾdiːsaːtʃi
कारखाना	kɑːɾkʰɑːnə
कारखान्याच्या	kaːɾkʰaːɳjɕɑː
कारगिल	kɑːɾgɪl
कारचं	kɑːɾʈɕəɳ
कारचा	kɑːrʈʈʌ
कारची	kɑːɾtʃi
कारचे	kɑːɾtɕe
कारच्या	kɑːɾcʰi
कारंजे	kɑːrɑɳdʒe
कारंडे	kɑːɾɑːɳɖe
कारण	kɑːrɳ
कारणं	kɑːɾəɳə̃
कारणमीमांसा	kɑːɾɑɳmiːmɑːɳsə
कारणही	kɑːrɑɳɦi
कारणांची	kɑːɾɑɳəɳtɕʰi
कारणानं	kɑːrɑɳɑːn̪ə
कारणांनी	kɑːɾɑɳɪɳi
कारणाने	kɑːrɑɳɑːnɛ
कारणांमुळे	kɑːrɑɳɑːmʊɭe
कारणामुळे	kɑːɾɑɳɑːmuɭe
कारणामुळेच	kɑːɾɑɳɑːmuɭeʧ
कारणावरून	kɑːɾɳəʋəɾuːn
कारणांसाठी	kɑːrɑɳɑːsɑːtʃi
कारणासाठी	kɑːɾɑɳɑːsɑːtʃi
कारणास्तव	kɑːɾəɳəst̪əʋ
कारणीभूत	kɑːɾɑɳiːbʱuːt̪
कारणे…	kɑːɾɑɳe
कारणे	kɑːɾɳe
कारनामा	kɑːrənɑːmə
कारनामे	kɑːrənɑːme
कारभार	kɑːɾbʱɑːɾ
कारभारामुळे	kɑːɾbʱɑːɾɑːmuɭe
कारमधून	kɑːɾəmd̪ʱuːn
कारमध्ये	kɑːɾəmd̪ʋe
कारला	kɑːrələ
कारले	kɑːr̄le
कारल्याचा	kɑːɾəljəʧə
कारल्याची	kɑːɾəljəʧi
कारवर	kɑːrʋər
कारवाँ	kɑːrʋɑ̃ː
कारवाई	kɑːɾʋaːi
कारवाईचा	kɑːɾʋaːiʈʃə
कारवाईची	kɑːɾʋaːiːtʃi
कारवाईचे	kɑːɾʋaiːtʃe
कारवाईमुळे	kɑːɾʋaiːmʊɭe
कारवाईला	kɑːɾʋaɪlɑː
कारवाया	kɑːɾʋɑːjə
कारसाठी	kɑːɾəsɑːʈʰi
कारस्थान	kɑːrəs̪t̪ʰʌːn̪
काराकोरम	kɑːɾɑːkɔɾəm
कारागिरांनी	kaːraːgiɾɑːɳiː
कारागिरी	kɑːrɑːgiːrɪ
कारागीर	kɑːrɑːgiːr
कारागृहात	kɑːrɑːgɾʰʌt
कारावास	kɑːɾɑːʋɑːs
कारुआना	kɑːɾuːɑːnə
कारुआनाने	kɑːrujɑːnɑːne
कारेकर	kɑːreːkəɾ
कार्गो	kɑːɾgo
कार्टराईट	kɑːʈɾɑːɪʈ
कार्टून	kɑːɾʈuːn
कार्ड	kɑːɾɖ
कार्डचा	kɑːɾɖtɕə
कार्डची	kɑːɾɖtʃi
कार्डचे	kɑːɾɖtʃe
कार्डच्या	kɑːɾɖtɕə
कार्डद्वारे	kɑːɾɖɖʋɑːɾe
कार्डने	kɑːɾɖne
कार्डमध्ये	kɑːɾɖəmd̪ʱe
कार्डमुळे	kɑːɾɖəmuɭe
कार्डला	kɑːɾɖə
कार्डवर	kɑːɾɖʋəɾ
कार्डवरुन	kɑːɾɖʋəɾun
कार्डशी	kɑːɾɖʃi
कार्डसाठी	kɑːɾɖəʂt̪i
कार्डही	kɑːɾɖʱi
कार्डाचा	kɑːɾɖɔtʃə
कार्डाची	kɑːɾɖɑːtʃi
कार्डाचे	kɑːɾɖɑːtʃe
कार्डाच्या	kɑːɾɖɑːtʃə
कार्डावर	kɑːɾɖɑːʋəɾ
कार्डावरील	kɑːɾɖɑːʋɾiːl
कार्डिअॅक	kɑːɾɖiɑːk
कार्डिओ	kɑːɾɖio
कार्डिओलॉजी	kɑːɾɖiːoɭɔdʒiː
कार्डे	kɑːɾɖe
कार्ड्स	kɑːɾɖs
कार्तवीर्य	kɑːɾt̪ʋiːɾʋ
कार्तिक	kɑːɾt̪ɪk
कार्तिकचा	kɑːɾt̪ɪk̪tʃə
कार्तिकच्या	kɑːɾt̪ɪkts̪ə
कार्तिकने	kɑːɾt̪ɪkne
कार्तिकला	kɑːɾt̪ɪkɭ̆ə
कार्निवल	kɑːrnɪʋəl
कार्निवलमध्ये	kɑːɾnɪʋəlmɑːɳɖʱe
कार्पेट	kɑːrpɛʈ
कार्पेटवर	kɑːrpɛːtʋəɾ
कार्पेटवरील	kaːrpɛʈʋaɾiːl
कार्बन	kɑːɾbən
कार्बिडोपा	kɑːrbɪd̪oːpɑː
कार्बोहायड्रेट	kɑːrbohɑjɽeʈ
कार्बोहायड्रेटस	kɑːɾbɔhɑjɾɛːt̪s̪
कार्य	kɑːɾɨ
कार्यकर्ता	kɑːɾjəkəɾt̪ə
कार्यकर्ते	kɑːɾjəkɾt̪e
कार्यकर्त्यांच्या	kɑːɾjɑːɾt̪jɑːt̪ʃiɑː
कार्यकर्त्यांना	kɑːɾjəkt̪ɾjɑːn̪n̪ə
कार्यकर्त्यांनी	kɑːɾjəkt̪ɾjɑɳɳi
कार्यकारिणी	kɑːɾjɑːkɑːɾiɳi
कार्यकारिणीने	kɑːɾjɑːɾiɳine
कार्यकारी	kɑːɾjəkɑːɾi
कार्यकाळ	kɑːɾjəkɑːɭ̆
कार्यकाळात	kɑːɾjəkɑːɭɑːt̪
कार्यक्रम	kɑːɾjkrɑːm
कार्यक्रमपत्रिका	kaːɾjkrəmpəʈɾiːkə
कार्यक्रमही	kɑːɾjkrəɣiː
कार्यक्रमाचं	kaːɾjkrɑːmɑːtɕəɳ
कार्यक्रमांचा	kɑːɾjkrɑːmɑːɲtʃə
कार्यक्रमाचा	kɑːɾjkrɑːməʈʃə
कार्यक्रमाची	kɑːɾjkrɑːmɑːtʃi
कार्यक्रमांची	kɑːɾjkrəmaːtɕi
कार्यक्रमाचे	kɑːɾjkrɑːmɑːtʃe
कार्यक्रमांचे	kɑːɾjkrəmɑːɲtʃe
कार्यक्रमाच्या	kɑːɾjkrɑːmɑːtʃʰɑː
कार्यक्रमांच्या	kɑːɾjkrəmeʈʰi
कार्यक्रमात	kaːɾjkrɑːmɑːt̪
कार्यक्रमातील	kɑːɾjkrəmɑːt̪iːl̪
कार्यक्रमांतून	kɑːɾjkrɑːmɑːɳt̪uːn
कार्यक्रमातून	kɑːɾjkrɑːmɑːt̪uːn
कार्यक्रमादरम्यान	kɑːɾjkrɑːmɑːd̪əɾmjɑːn
कार्यक्रमाद्वारे	kɑːɾjkrɑːmɑːɖʋɑːɾe
कार्यक्रमांना	kɑːɾjkrɑːmɳɑː
कार्यक्रमांनाही	kɑːɾjkrɑːmɑːɳɑːɦi
कार्यक्रमानुसार	kɑːɾjkrɑːmɑːnʊsɑːɾ
कार्यक्रमाने	kɑːɾjkrɑːmɑːnɛ
कार्यक्रमाबद्दल	kɑːɾjkrɑːmɑːbɑɖɖəl
कार्यक्रमामधील	kaːɾjkramaːmɖʱiːl
कार्यक्रमामध्ये	kaːɾjkramaːmd̪ʱe
कार्यक्रमांमध्ये	kaːɾjkrəmaːmʤʰe
कार्यक्रमामुळे	kɑːɾjkrɑːmʊɭe
कार्यक्रमाला	kɑːɾjkrɑmɑːlɑ
कार्यक्रमावर	kɑːɾjkrɑːməvəɾ
कार्यक्रमाविषयी	kɑːɾjkrɑːmɑːʋiʂjɛ
कार्यक्रमाशी	kɑːɾjkrəmɑːʃi
कार्यक्रमास	kɑːɾjkrɑːmɑːs
कार्यक्रमासाठी	kaːɾjkrɑːmɑːʃɑːtʃi
कार्यक्षम	kɑːɾjəksəɱ
कार्यक्षमता	kɑːɾjəksmt̪ə
कार्यक्षमतेवर	kɑːɾjəksəmt̪eʋəɾ
कार्यपद्धती	kɑːɾjəpɑɖʈʈi
कार्यरत	kɑːɾjəɾət̪
कार्यवाह	kɑːɾjəvɑːh
कार्यवाही	kɑːɾjəʋɑːɦi
कार्यशाळा	kɑːɾjəʃɑːɭə
कार्यशाळांचे	kɑːɾjəʃɑːɭəɳtʃe
कार्याचा	kɑːɾjəʧə
कार्याची	kaːɾjəʨiː
कार्यात	kɑːɾjɑːt̪
कार्याध्यक्ष	kɑːɾjɑːd̪ʰjəks̪
कार्यान्वित	kɑːɾjɑːnʋɪt
कार्यालय	kɑːɾʌjəl
कार्यालयात	kɑːɾjəlɑːt̪
कार्यालयातील	kaːɾʌjəlaːt̪iːl
कार्यालयाने	kɑːɾʌjɛlɛnɛ
कार्यालयांमध्ये	kɑːɾjəlɑːɳmʰɳd̪e
कार्यालयावर	kɑːɾɪjɑːlɑːʋəɾ
कार्यालयीन	kaːɾɪjɛːlɪn
कार्यालये	kɑːɾjɑːləjɛ
कार्यावर	kɑːɾjɑːvəɾ
कार्यासाठी	kɑːɾjɑːsɑːʈʰi
कार्लसन	kɑːɭs̪n̪
कार्लसनने	kɑːɭsənnɛ
कार्लसनला	kɑːɭsənlə
कार्ला	kɑːɭə
कार्लोस	kɑːɭoːs
काल	kaːl
कालखंड	kaːlkaɳɖ
कालच	kaːlʈ
कालच्या	kaːl̪tɕə
कालरा	kaːləɾə
कालराने	kaːləɾɑːne
कालरे	kaːləɾe
कालरेस	kaːləɾes
कालवत	kaːlʋət
कालवी	kaːləʋiː
कालवून	kaːləʋun
कालवे	kaːləʋe
काला	kɑːlɑː
काला	kɑːlə
कालांतराने	kaːlaːnt̪əɾɑːne
कालानुरूप	kaːlaːnuːruːp
कालावधी	kaːləʋɖʱiː
