aberaeron	abɛreɨ̯rɔn
bioddiraddio	bɪɔðɪraðjɔ
bioleg	bɪɔlɛɡ
biolegol	bɪɔlɛɡɔl
biolegwyr	bɪɔlɛɡwɨ̞r
biolegydd	bɪɔlɛɡɨ̞ð
bipa	bɪpa
bipes	bɪpɛs
bipi	bɪpi
bipo	bɪpɔ
bisged	bɪsɡad
bisged	bɪsɡɛd
bisgedi	bɪskedi
bismwth	bɪsmʊθ
biti	bɪtɪ
biwi	bɪu̯ɪ
biws	bɪu̯s
biwïaid	bɪu̯iːai̯d
biwïaid	bɪu̯iːɛd
bla	blaː
blacmêl	blakmeːl
bladur	bladɨ̞r
blaen	blaːɨ̯n
blaenau	bleɨ̯na
blaenau	bleɨ̯naɨ̯
blaenau	bleɨ̯nɛ
blaenor	bleɨ̯nɔr
blaenori	bleɨ̯nɔrɪ
blaenoriaeth	bleɨ̯nɔrjaɨ̯θ
blaenoriaeth	bleɨ̯nɔrjɛθ
blaenoriaethau	bleɨ̯nɔrjeɨ̯θa
blaenoriaethau	bleɨ̯nɔrjeɨ̯θaɨ̯
blaenoriaethau	bleɨ̯nɔrjeɨ̯θɛ
blaenoriaid	bleɨ̯nɔrjai̯d
blaenoriaid	bleɨ̯nɔrjɛd
blaenorol	bleɨ̯nɔrɔl
blaenyrru	bleɨ̯nərɨ̞
blagur	blaɡɨ̞r
blaguriad	blaɡɨ̞rjad
blaguro	blaɡɨ̞rɔ
blaid	blai̯d
blaidd	blai̯ð
blanced	blaŋkad
blanced	blaŋkɛd
blancedi	blaŋkɛdɪ
blaned	blanɛd
blas	blaːs
blasau	blasa
blasau	blasaɨ̯
blasau	blasɛ
blasu	blasɨ
blasus	blasɨ̞s
blawd	blau̯d
blawr	blau̯r
ble	bleː
bleiddiaid	blei̯ðjai̯d
bleiddiaid	blei̯ðjɛd
bleiddiau	blei̯ðja
bleiddiau	blei̯ðjaɨ̯
bleiddiau	blei̯ðjɛ
bleidiol	blei̯djɔl
bleidleisio	blei̯dlei̯ʃɔ
blentynnaidd	blɛntənai̯ð
blew	bleːu̯
blewog	blɛu̯ɔɡ
blewyn	blɛu̯ɨ̞n
blin	bliːn
blinder	blɪndar
blinder	blɪndɛr
blinderog	blɪndɛrɔɡ
blinedig	blɪnɛdɪɡ
blingo	blɪŋɔ
blino	blɪnɔ
blith	bliːθ
blodau	blɔda
blodau	blɔdaɨ̯
blodau	blɔdɛ
blodeuad	blɔdeɨ̯ad
blodeuo	blɔdeɨ̯ɔ
blodeuyn	blɔdeɨ̯ɨ̞n
blodfresych	blɔdvrɛsɨ̞χ
blodfresychen	blɔdvrɛsəχan
blodfresychen	blɔdvrɛsəχɛn
blodyn	blɔdɨ̞n
blog	blɔɡ
blogiau	blɔɡja
blogiau	blɔɡjaɨ̯
blogiau	blɔɡjɛ
blogio	blɔɡjɔ
blogiwr	blɔɡjʊr
blogwyr	blɔɡwɨ̞r
bloneg	blɔnɛɡ
blorai	blɔrai̯
bloreion	blɔrei̯ɔn
blows	blou̯s
blowsys	blou̯sɨ̞s
blu	blɨː
blwch	bluːχ
blwydd	bluːɨ̯ð
blwyddi	blʊɨ̯ðɪ
blwyddyn	blʊɨ̯ðɨ̞n
blychau	bləχaɨ̯
blymio	bləmjɔ
blynedd	blənað
blynedd	blənɛð
blynyddoedd	blənəðɔɨ̯ð
blêr	bleːr
bob	boːb
bobl	bɔbl
bobl	bɔbɔl
bobloedd	bɔblɔɨ̯ð
boch	boːχ
bochdew	bɔχdɛu̯
bochgoch	bɔχɡɔχ
bochlwyd	bɔχlʊɨ̯d
bocs	bɔks
bocsio	bɔkʃɔ
bocsiwr	bɔkʃʊr
bocswyr	bɔkswɨ̞r
bod	boːd
bodd	boːð
boddi	bɔði
bodiau	bɔdja
bodiau	bɔdjaɨ̯
bodiau	bɔdjɛ
bodlon	bɔdlɔn
bodoli	bɔdɔlɪ
boed	boːɨ̯d
boenen	bɔɨ̯nɛn
boeni	bɔɨ̯nɨ
boeth	boːɨ̯θ
boethach	bɔi̯θaχ
bogail	bɔɡai̯l
bohriwm	bɔrjʊm
boi	bɔi̯
bol	bɔl
bola	bɔla
bonclust	bɔŋklɨ̞sd
bonclustiad	bɔŋklɨ̞sdjad
bonclustio	bɔŋklɨ̞sdjɔ
boncyff	bɔŋkɨ̞f
bondigrybwyll	bɔndɪɡrəbʊɨ̯ɬ
boneddiges	bɔnɛðɪɡɛs
boneddigesau	bɔnɛðɪɡɛsa
boneddigesau	bɔnɛðɪɡɛsaɨ̯
boneddigesau	bɔnɛðɪɡɛsɛ
boneddigion	bɔnɛðɪɡjɔn
bongorff	bɔŋɡɔrf
bonheddig	bɔnhɛðɪɡ
bontinog	bɔntɪnɔɡ
bop	bɔp
boptai	bɔptai̯
bopty	bɔptɨ
bord	bɔrd
bordydd	bɔrdɨ̞ð
bore	bɔra
bore	bɔrɛ
boron	bɔrɔn
bosib	bɔsɪb
botel	bɔtal
botel	bɔtɛl
both	boːθ
bothau	bɔθa
bothau	bɔθaɨ̯
bothau	bɔθɛ
bowlio	bɔu̯ljɔ
brad	braːd
bradu	bradɨ̞
braen	braːɨ̯n
braenu	brei̯ni
braenu	breɨ̯nɨ̞
braf	braːv
brag	braːɡ
bragur	braɡɨ̞r
braich	brai̯χ
brain	brai̯n
braint	brai̯nt
braith	brai̯θ
bras	braːs
braster	brasdɛr
brasterog	brasdɛrɔɡ
brat	brat
brath	braːθ
brathu	braθɨ̞
brau	braɨ̯
braw	braːu̯
brawd	brau̯d
brawddeg	brau̯ðɛɡ
brawiau	brau̯ja
brawiau	brau̯jaɨ̯
brawiau	brau̯jɛ
brawychdod	brau̯əχdɔd
brawychiad	brau̯əχjad
brawychiadau	brau̯əχjada
brawychiadau	brau̯əχjadaɨ̯
brawychiadau	brau̯əχjadɛ
brawychiaeth	brau̯əχjaɨ̯θ
brawychiaeth	brau̯əχjɛθ
brawychus	brau̯əχɨ̞s
brawychwr	brau̯əχʊr
brawychwyr	brau̯əχwɨ̞r
brech	breːχ
brechdan	brɛχdan
brechlyn	brɛχɬɨ̞n
brecwast	brɛkwast
bref	breːv
brefu	brɛvɨ̞
breichiau	brei̯χja
breichiau	brei̯χjaɨ̯
breichiau	brei̯χjɛ
breifat	brei̯vat
breinlen	brei̯nlɛn
brenhines	brɛnhɪnas
brenhines	brɛnhɪnɛs
brenhinoedd	brɛnhɪnɔɨ̯ð
brenhinol	brɛnhɪnɔl
brenin	brɛnɪn
breninesau	brɛnɪnɛsa
breninesau	brɛnɪnɛsaɨ̯
breninesau	brɛnɪnɛsɛ
brest	brɛsd
breswyl	brɛsʊɨ̯l
bresych	brɛsɨ̞χ
bresychen	brɛsəχan
bresychen	brɛsəχɛn
brethyn	brɛθɨ̞n
breuan	breɨ̯an
breuddwyd	breɨ̯ðʊɨ̯d
breuddwydio	breɨ̯ðʊɨ̯djɔ
breuddwydion	breɨ̯ðʊɨ̯djɔn
breuwydd	brɛɨ̯wɨ̞ð
bri	briː
briallen	brjaɬɛn
briallen	brɪaɬɛn
briallu	brjaɬɨ̞
briallu	brɪaɬɨ̞
bric	brɪk
briciau	brikja
briciau	brikjaɨ̯
briciau	brikjɛ
brics	brɪks
bricsen	brɪksan
bricsen	brɪksɛn
bricyll	brɪkɨ̞ɬ
bricyllen	brɪkəɬɛn
brid	briːd
bridge	brɪd͡ʒ
brif	briːv
brifddinas	briːvðɪnas
brifddinas	brɪvðɪnas
brifo	brɪvɔ
brig	briːɡ
briger	brɪɡar
briger	brɪɡɛr
brigerog	brɪɡɛrɔɡ
brigâd	briɡaːd
briod	briɔd
briodas	brjɔdas
briodas	brɪɔdas
briodi	briɔdi
bris	briːs
bris	briːʃ
brith	briːθ
brithddu	brɪθðɨ̞
brithion	brɪθjɔn
briw	brɪu̯
briweg	brɪu̯aɡ
bro	broː
broblem	brɔblam
broblem	brɔblɛm
broblemau	brɔblɛma
broblemau	brɔblɛmaɨ̯
broblemau	brɔblɛmɛ
broc	brɔk
broch	broːχ
brochell	brɔχɛɬ
brochion	brɔχjɔn
brochod	brɔχɔd
brodyr	brɔdɨ̞r
broga	brɔɡa
bromid	brɔmɪd
bromin	brɔmɪn
bron	brɔn
brongoch	brɔŋɡɔχ
bronlas	brɔnlas
bronleision	brɔnlei̯ʃɔn
bronnau	brɔna
bronnau	brɔnaɨ̯
bronrhuddyn	brɔnr̥ɨ̞ðɨ̞n
bronwen	brɔnwɛn
bronwyn	brɔnwɨ̞n
brotest	brɔtɛst
brown	brou̯n
brwd	bruːd
brwdfrydedd	brʊdvrədað
brwdfrydedd	brʊdvrədɛð
brwmstan	brʊmsdan
brwnt	brʊnt
brws	brʊʃ
brwsh	brʊʃ
brwshys	brʊʃɨ̞s
brwsiau	brʊʃa
brwsiau	brʊʃaɨ̯
brwsiau	brʊʃɛ
brwsio	brʊʃɔ
brwsioch	brʊʃɔχ
brwsiodd	brʊʃɔð
brwsion	brʊʃɔn
brwsys	brʊʃɨ̞s
brwydr	brʊɨ̯dr
brwydrau	brʊɨ̯dra
brwydrau	brʊɨ̯draɨ̯
brwydrau	brʊɨ̯drɛ
brwydro	brʊɨ̯drɔ
brwydrwr	brʊɨ̯drʊr
brwydrwyr	brʊɨ̯drwɨ̞r
brwyn	bruːɨ̯n
brwyna	brʊɨ̯na
brwynen	brʊɨ̯nan
brwynen	brʊɨ̯nɛn
brwysg	bruːɨ̯sɡ
brych	brɨːχ
bryd	brɨːd
brydferth	brədvɛθ
bryf	brɨːv
bryfed	brəvad
bryfed	brəvɛd
bryn	brɨ̞n
bryna	brəna
bryngaer	brəŋɡaɨ̯r
bryngaer	brɨ̞ŋɡaɨ̯r
bryniau	brənja
bryniau	brənjaɨ̯
bryniau	brənjɛ
brynoch	brənɔχ
brynodd	brənɔð
brynon	brənɔð
brynu	brənɨ
bryoffyt	brɨːɔfɨ̞t
brys	brɨːs
brysio	brəʃɔ
brysur	brəsɨ̞r
brân	braːn
brëyr	breːɨ̞r
bu	bɨː
buail	bɨai̯l
bual	bɨ̞al
buan	bɨːan
buarth	bɨːarθ
budd	bɨːð
buddai	bɨ̞ðai̯
buddion	bɨ̞ðjɔn
buddsoddi	bɨ̞ðsɔðɪ
buddug	bɨ̞ðɨ̞ɡ
buddugol	bɨ̞ðɨ̞ɡɔl
buddugoliaeth	bɨ̞ðɨ̞ɡɔljaɨ̯θ
buddugoliaeth	bɨ̞ðɨ̞ɡɔljɛθ
buddugwr	bɨ̞ðɨ̞ɡʊr
buddugwyr	bɨ̞ðɨ̞ɡwɨ̞r
budr	bɨ̞dɨ̞r
bues	bɨɛs
buest	bɨːɛst
bugail	bɪɡai̯l
bugail	bɪɡɛl
bum	bɨ̞m
bumdegau	bɨ̞mdɛɡa
bunnau	bɨ̞na
bunnau	bɨ̞naɨ̯
bunnau	bɨ̞nɛ
bunt	bɨ̞nt
buoch	bɨɔχ
buodd	bɨɔð
buon	bɨɔn
bur	bɨːr
busnes	bɨ̞snas
busnes	bɨ̞snɛs
buwch	bɨ̞u̯χ
bwa	buːa
bwced	bʊkad
bwced	bʊkɛd
bwch	buːχ
bwci	bʊkɪ
bwffe	bʊfɛ
bwgan	bʊɡan
bwl	bʊl
bwlch	bʊlχ
bwletin	bʊlɛtɪn
bwletinau	bʊlɛtɪna
bwletinau	bʊlɛtɪnaɨ̯
bwletinau	bʊlɛtɪnɛ
bwmpen	bʊmpan
bwmpen	bʊmpɛn
bwn	bʊn
bwrdd	bʊrð
bwriadol	bʊrjadɔl
bwriadu	bʊrjadɨ̞
bwrlwm	bʊrlʊm
bwrw	bʊrʊ
bws	bʊs
bwth	buːθ
bwthyn	bʊθɨ̞n
bwyd	buːɨ̯d
bwydlen	bʊɨ̯dlɛn
bwydo	bʊɨ̯dɔ
bwydwch	bʊɨ̯dʊχ
bwydydd	bʊɨ̯dɨ̞ð
bwyeill	bʊɨ̯ei̯ɬ
bwyell	bʊɨ̯aɬ
bwyell	bʊɨ̯ɛɬ
bwyelli	bʊɨ̯ɛɬɪ
bwyll	buːɨ̯ɬ
bwys	buːɨ̯s
bwysig	bʊɨ̯sɪɡ
bwyst	bʊɨ̯sd
bwyta	bəta
bwyta	bʊɨ̯ta
bwytadwy	bʊɨ̯tadʊɨ̯
bwytais	buɨ̯tai̯s
bwytais	bətɛs
bwytaist	buɨ̯tai̯sd
bwytaist	bətɛsd
bwytoch	bətɔχ
bwytoch	bʊɨ̯tɔχ
bwytodd	bətɔð
bwytodd	bʊɨ̯tɔð
bwyton	bətɔn
bwyton	bʊɨ̯tɔn
bwytwch	bʊɨ̯tʊχ
bwyty	bʊɨ̯tɨ̞
bychain	bəχai̯n
bychain	bəχɛn
bychan	bəχan
bychod	bəχɔd
byd	bɨːd
bydd	bɨːð
bydda	bəða
byddai	bəða
byddai	bəðai̯
byddai	bəðɛ
byddan	bəðan
byddar	bəðar
byddarol	bəðarɔl
byddaru	bəðarɨ̞
bydded	bəðdɛd
byddi	bəðɪ
byddin	bəðɪn
byddwch	bəðʊχ
byddwn	bəðʊn
bydysawd	bədəsau̯d
bylchog	bəlχɔɡ
byliau	bəlja
byliau	bəljaɨ̯
byliau	bəljɛ
byngalo	bəŋɡalɔ
bynnag	bənaɡ
bynnen	bənɛn
byns	bəns
bynsen	bənsan
bynsen	bənsɛn
byr	bɨ̞r
byrddau	bərða
byrddau	bərðaɨ̯
byrddau	bərðɛ
byrddydd	bərðɨ̞ð
byrdra	bərdra
byrhoedlog	bɨ̞rhoːɨ̯dlɔɡ
byrlymau	bərləmaɨ̯
byrlymu	bərləmɨ̞
byrraf	bərav
bys	bɨːs
bysbrint	bəsbrɪnt
bysedd	bəsað
bysedd	bəsɛð
bysell	bəsɛɬ
bysellfwrdd	bəsɛɬvʊrð
bysgod	bəsɡɔd
bysgodyn	bəsɡɔdɨ̯n
bysgota	bəsɡɔta
bysys	bəsɨ̞s
byth	bɨːθ
byth	bɨ̞θ
bythynnod	bəθənɔd
byw	bɨ̞u̯
byw	bɪu̯
bywgraffiadur	bɨu̯ɡrafjadɨ̞r
bywgraffiadur	bɪu̯ɡrafjadɨ̞r
bywiocáu	bɨ̞u̯jɔkaɨ̯
bywiog	bɨ̞u̯jɔɡ
bywiogrwydd	bɨ̞u̯jɔɡrʊɨ̯ð
bywyd	bəu̯ɨ̞d
bywydeg	bəu̯ədɛɡ
bàth	baθ
bêl	beːl
bêr	beːr
bòs	bɔs
bôm	boːm
bôn	boːn
bônt	boːnt
bûm	bɨːm
bŵt	buːt
ca	kaː
cacen	kakan
cacen	kakɛn
cacennau	kakɛna
cacennau	kakɛnaɨ̯
cacennau	kakɛnɛ
cach	kaːχ
cacha	kaχa
cachai	kaχai̯
cachai	kaχɛ
cachais	kaχai̯s
cachais	kaχɛs
cachan	kaχan
cachen	kaχɛn
caches	kaχɛs
cachet	kaχɛt
cachgi	kaχɡɪ
cachgwn	kaχɡʊn
cachi	kaχɪ
cachlwyth	kaχlʊɨ̯θ
cachu	kaχɨ̞
cacs	kaks
cactws	kaktʊs
cacwn	kakʊn
cacynen	kakənan
cacynen	kakənɛn
cad	kaːd
cadach	kadaχ
cadair	kadai̯r
cadair	kadar
cadair	kadɛr
cadarn	kadarn
cadarnhaol	kadarnhau̯ɔl
cadarnhaol	kadarnhaːɔl
cadarnhau	kadarnhaɨ̯
cadarnwedd	kadarnwɛð
cadd	kaːð
cadeiriau	kadei̯rja
cadeiriau	kadei̯rjaɨ̯
cadeiriau	kadei̯rjɛ
cadeirio	kadeɪ̯rjɔ
cadeiriol	kadei̯rjɔl
cadeirlan	kadei̯rlan
cader	kadɛr
cader	kaːdɛr
cadernid	kadɛrnɪd
cadlas	kadlas
cadmiwm	kadmjʊm
cadnawes	kadnau̯ɛs
cadno	kadnɔ
cadnöes	kadnoːɛs
cadw	kadʊ
cadwch	kadʊχ
cadwyn	kadʊɨ̯n
cae	kaːɨ̯
caeaf	keɨ̯a
caeaf	keɨ̯av
caeau	keɨ̯a
caeau	keɨ̯aɨ̯
caeau	keɨ̯ɛ
caed	kaːɨ̯d
caeir	keɨ̯ɪr
cael	kaːl
cael	kaːɨ̯l
caem	kaːɨ̯m
caen	kaːɨ̯n
caer	kaːɨ̯r
caerau	keɨ̯ra
caerau	keɨ̯raɨ̯
caerau	keɨ̯rɛ
caeriwrch	keɨ̯rjʊrχ
caeth	kaːɨ̯θ
caeth	kaːθ
caethiwed	keɨθɪu̯ɛd
caethiwo	keɨθɪu̯ɔ
caethoch	keɨ̯θɔχ
caethon	keɨ̯θɔn
caethwas	keɨ̯θwas
caethwasiaeth	keɨ̯θwaʃaɨ̯θ
caethwasiaeth	keɨ̯θwaʃɛθ
caethweision	keɨ̯θwei̯ʃɔn
caf	kaː
caf	kaːv
cafas	kavas
caffai	kafai̯
caffed	kafɛd
caffel	kafɛl
caffent	kafɛnt
caffer	kafɛr
caffi	kafɪ
caffis	kafɪs
caffîn	kafiːn
cafiar	kavjar
cafiâr	kavjaːr
cafod	kavɔd
cafodd	kavɔð
cafon	kavɔn
cafwyd	kavʊɨ̯d
caifn	kai̯vn
caill	kai̯ɬ
cain	kai̯n
cais	kai̯s
cait	kai̯t
cala	kala
calan	kalan
calch	kalχ
calchfaen	kalχvaɨ̯n
caled	kalad
caled	kalɛd
caledu	kalɛdɨ̞
caledwedd	kalɛdwɛð
calenigion	kalɛnɪɡjɔn
caleted	kalɛtɛd
califforniwm	kalɪfɔrnjʊm
call	kaɬ
callestr	kaɬasd
callestr	kaɬɛsd
callestr	kaɬɛsdr
callio	kaɬjɔ
calon	kalɔn
calonnau	kalɔna
calonnau	kalɔnaɨ̯
calonnau	kalɔnɛ
calsiwm	kalsjʊm
cam	kam
camau	kama
camau	kamaɨ̯
camau	kamɛ
camddealltwriaeth	kamðɛaɬdʊrjaɨ̯θ
camddealltwriaeth	kamðɛaɬdʊrjaθ
camddealltwriaeth	kamðɛaɬdʊrjɛθ
camdreiglad	kamdrei̯ɡlad
camdreiglo	kamdrei̯ɡlɔ
camesgor	kamɛsɡɔr
camesgoriad	kamɛsɡɔrjad
camfa	kamva
camgymeriad	kamɡəmɛrjad
camlas	kamlas
camlesi	kamlɛsɪ
camlwrw	kamlʊrʊ
camp	kamp
campfa	kampva
campus	kampɨ̞s
campwaith	kampwai̯θ
campwr	kampʊr
camsefyll	kamsɛvɨ̞ɬ
camu	kamɨ̞
camwedd	kamwɛð
camweinyddu	kamwei̯nəðɨː
can	kan
cana	kana
canaf	kanav
canai	kanai̯
canai	kanɛ
canais	kanai̯s
canais	kanɛs
canais	kanɛʃ
canais	kanɪʃ
canant	kanant
canem	kanɛm
canen	kanɛn
canent	kanɛnt
caner	kanɛr
canes	kanɛs
canet	kanɛt
caneuon	kaneɨ̯ɔn
canfed	kanvɛd
canfod	kanvɔd
canfodydd	kanvɔdɨ̞ð
canfodyddion	kanvɔdəðjɔn
canfyddadwy	kanvəðadʊɨ̯
canfyddiad	kanvəðjad
cangarŵ	kaŋɡaruː
cangarŵod	kaŋɡaruːɔd
cangen	kaŋan
cangen	kaŋɛn
canghellor	kaŋhɛɬɔr
canghennau	kaŋhɛna
canghennau	kaŋhɛnaɨ̯
canghennau	kaŋhɛnɛ
canghennog	kaŋhɛnɔɡ
canhwyllau	kanhʊi̯ɬa
canhwyllau	kanhʊi̯ɬɛ
canhwyllau	kanhʊɨ̯ɬaɨ̯
canhwyllbren	kanhʊɨ̯ɬbrɛn
cani	kanɪ
caniatáu	kanjataɨ̯
caniatâd	kanjataːd
caniau	kanja
caniau	kanjaɨ̯
caniau	kanjɛ
canit	kanɪt
canlyn	kanlɨ̞n
canlyniad	kanlənjad
canlyniadau	kanlənjada
canlyniadau	kanlənjadaɨ̯
canlyniadau	kanlənjadɛ
canlynol	kanlənɔl
canmol	kanmɔl
canmoladwy	kanmɔladʊɨ̯
canmoliaeth	kanmɔljaɨ̯θ
canmoliaeth	kanmɔljɛθ
canmoliaethau	kanmɔljeɨ̯θa
canmoliaethau	kanmɔljeɨ̯θaɨ̯
canmoliaethau	kanmɔljeɨ̯θɛ
canmolwr	kanmɔlʊr
canmolwyr	kanmɔlwɨ̞r
cannaid	kanai̯d
cannu	kanɨ̞
cannwyll	kanʊɨ̯ɬ
cannydd	kanɨ̞ð
cano	kanɔ
canol	kanɔl
canolaf	kanɔlav
canolbarth	kanɔlbarθ
canolbarthau	kanɔlbarθa
canolbarthau	kanɔlbarθaɨ̯
canolbarthau	kanɔlbarθɛ
canolfan	kanɔlvan
canoli	kanɔli
canolig	kanɔlɪɡ
canolog	kanɔlɔɡ
canolradd	kanɔlrað
canolwr	kanɔlʊr
canolwyr	kanɔlwɨ̞r
canon	kanɔn
canrif	kanrɪv
cansai	kansai̯
cansai	kansɛ
cansen	kansɛn
canslo	kanslɔ
cant	kant
cantor	kantɔr
cantores	kantɔras
cantores	kantɔrɛs
cantorion	kantɔrjɔn
canu	kanɨ̞
canwr	kanʊr
canwraidd	kanwrai̯ð
canwyllbrennau	kanʊɨ̯ɬbrɛna
canwyllbrennau	kanʊɨ̯ɬbrɛnaɨ̯
canwyllbrennau	kanʊɨ̯ɬbrɛnɛ
canwyr	kanʊɨ̯r
canyddion	kanəðjɔn
capel	kapɛl
capten	kaptan
capten	kaptɛn
car	kar
cara	kara
carafannau	karavana
carafannau	karavanaɨ̯
carafannau	karavanɛ
carafán	karavan
carafáns	karavans
carai	karai̯
carai	karɛ
carais	karai̯s
carais	karɛs
carais	karɛʃ
carais	karɪʃ
caran	karan
carant	karant
carbon	karbɔn
carchar	karχar
carcharu	karχarɨ̞
carco	karkɔ
caren	karɛn
carent	karɛnt
cares	karɛs
carest	karɛsd
cari	karɪ
caridým	karɪdɨ̞m
cario	karjɔ
carneddau	karnɛðaɨ̯
caro	karɔ
carsi	karsi
cartre	kartra
cartre	kartrɛ
caru	karɨ̞
cas	kaːs
casach	kasaχ
castell	kasdaɬ
castell	kasdɛɬ
castelli	kasdɛɬɪ
casáu	kasaɨ̯
cath	kaːθ
cathau	kaθa
cathau	kaθaɨ̯
cathau	kaθɛ
cathbysgod	kaθbəsɡɔd
cathod	kaθɔd
cato	katɔ
cau	kaɨ̯
cawell	kawɛɬ
cawl	kau̯l
cawlach	kau̯laχ
cawn	kau̯n
cawna	kau̯na
cawod	kau̯ɔd
cawodi	kawɔdɪ
cawr	kau̯r
caws	kau̯s
cecraeth	kɛkraɨ̯θ
cefnddu	kɛvnðɨ̞
cefnfor	kɛvn̩vɔr
cefnog	kɛvnɔɡ
cefnwyrdd	kɛvnwɨ̞rð
cegid	kɛɡɪd
ceidwadol	kei̯dwadɔl
ceillgwd	keiɬɡʊd
celdy	kɛldɨ
celficyn	kɛlvɪkɨ̞n
cell	kɛɬ
celli	kɛɬɪ
celloedd	kɛɬɔɨ̯ð
cellog	kɛɬɔɡ
celwydd	kɛlwɨ̞ð
celynna	kɛləna
celynnen	kɛlənan
celynnen	kɛlənɛn
cemeg	kɛmɛɡ
cenhinen	kɛnhɪnan
cenhinen	kɛnhɪnɛn
ceni	kɛnɪ
cenna	kɛna
cennad	kɛnad
cennin	kɛnɪn
cennog	kɛnɔɡ
cerais	kɛrai̯s
cerbyd	kɛrbɨ̞d
cerddorfaol	kɛrðɔrvaːɔl
cerddorion	kɛrðɔrjɔn
cerddwr	kɛrðʊr
cerflun	kɛrvlɨ̞n
cerfluniau	kɛrvlɨ̞nja
cerfluniau	kɛrvlɨ̞njaɨ̯
cerwch	kɛrʊχ
cerwyn	kɛruɨ̯n
cesiwm	kɛsjʊm
ch'mod	χmɔd
chacen	χakan
chacen	χakɛn
chacha	χaχa
chachi	χaχɪ
chad	χaːd
chadair	χadai̯r
chadair	χadar
chadair	χadɛr
chadeiriau	χadei̯rja
chadeiriau	χadei̯rjaɨ̯
chadeiriau	χadei̯rjɛ
chae	χaːɨ̯
chael	χaːl
chael	χaːɨ̯l
chaen	χaːɨ̯n
chaeth	χaːɨ̯θ
chaethoch	χeɨ̯θɔχ
chaethon	χeɨ̯θɔn
chaf	χaː
chaf	χaːv
chafas	χavas
chaffi	χafi
chafodd	χavɔð
chain	χai̯n
chais	χai̯s
chalennig	χalɛnɪɡ
chaleted	χalɛtɛd
challio	χaɬjɔ
chalon	χalɔn
chamdreiglo	χamdrei̯ɡlɔ
chamlas	χamlas
chana	χana
chanfyddadwy	χanvəðadʊɨ̯
chanu	χanɨ̞
chanwr	χanʊr
char	χar
chara	χara
charafán	χaravan
charai	χarai̯
charai	χarɛ
charan	χaran
charcharu	χarχarɨ̞
chardinaliaid	χardɪnaljai̯d
chardinaliaid	χardɪnaljɛd
chared	χarɛd
charet	χarɛt
charo	χarɔ
charreg	χaraɡ
charreg	χarɛɡ
charthen	χarθan
charthen	χarθɛn
charu	χarɨ̞
charwr	χarʊr
chath	χaːθ
chato	χatɔ
chawl	χau̯l
chdi	χdiː
cherddoriaeth	χɛrðɔrjaɨ̯θ
cherddoriaeth	χɛrðɔrjɛθ
cheri	χɛrɪ
ches	χeːs
chest	χɛst
chestyll	χɛsdɨ̞ɬ
chewch	χɛu̯χ
chi	χiː
chladdu	χlaðɨ̞
chlwb	χlʊb
chlwyfo	χlʊɨ̯vɔ
chlybiau	χləbja
chlybiau	χləbjaɨ̯
chlybiau	χləbjɛ
chlyw	χlɨu̯
chlyw	χlɪu̯
chlywed	χləu̯ad
chlywed	χləu̯ɛd
chnau	χnaɨ̯
chnwd	χnuːd
chofio	χɔvjɔ
choginio	χɔɡɪnjɔ
chogyddesau	χɔɡəðɛsa
chogyddesau	χɔɡəðɛsaɨ̯
chogyddesau	χɔɡəðɛsɛ
chor	χɔr
chorff	χɔrf
choronafeirws	χɔrɔnavei̯rʊs
chrug	χrɨːɡ
chu	χɨː
chul	χɨːl
chusan	χɨ̞san
chut	χɨ̞t
chwaethus	χweɨ̯θɨ̞s
chwain	χwai̯n
chwalu	χwalɨ̞
chwannen	χwanɛn
chwannog	χwanɔɡ
chwaraeon	χwareɨ̯ɔn
chwaraewr	χwaɾeɨ̯ʊr
chwardd	χwarð
chwarenglwyf	χwarɛŋɡluːɨ̯v
chwarennol	χwarɛnɔl
chwech	χweːχ
chwedl	χwɛdl
chwenychu	χwɛnəχɨ
chwern	χwɛrn
chwerthin	χwɛrθɨ̞n
chwerw	χwɛru
chwery	χwɛrɨ
chwestiwn	kwɛsdjʊn
chwilen	χwɪlan
chwilen	χwɪlɛn
chwilod	χwɪlɔd
chwip	χwɪp
chwith	χwiːθ
chwiw	χwɪu̯
chwiwell	χwɪu̯ɛɬ
chwmni	χʊmni
chwpan	χʊpan
chwpwrdd	χʊpʊrð
chwrw	χʊru
chwyddiannau	χwəðjana
chwyddiannau	χwəðjanaɨ̯
chwyddiannau	χwəðjanɛ
chwyddiant	χwəðjant
chwyldro	χwɨ̞ldrɔ
chwys	χwɨːs
chwythu	χwəθɨ̞
chychwyn	χəχwɨ̞n
chydbreswylwyr	χɨːdbrɛsʊɨ̯lwɨ̞r
chyflym	χəvlɨ̞m
chymedrolwr	χəmɛdrɔlʊr
chymylog	χəməlɔɡ
chynffon	χənfɔn
chynhadledd	χənhadlɛð
chynnes	χənɛs
chynnwrf	χənʊrv
chyrliog	χərljɔɡ
chyrraedd	χərað
chyrraedd	χəraɨ̯ð
chyrraedd	χərɛð
chysgu	χəsɡɨ
chysgwch	χəsɡʊχ
chythraul	χəθral
chythraul	χəθraɨ̯l
chythraul	χəθrɛl
chân	χaːn
ci	kiː
cic	kɪk
cilbost	kɪlbɔst
cilbren	kɪlbrɛn
ciledrych	kɪlɛdrɨ̞χ
cilfach	kɪlvaχ
cilydd	kɪlɨ̞ð
cimwch	kɪmʊχ
cinio	kɪnjɔ
cipio	kɪpjɔ
ciwt	kɪu̯t
claddu	klaðɨ̞
