א	ʔ
אתם	ʔäte̞m
אתמודד	atmudad
אתמוך	atmuχ
אתמול	ɛtmul
אתן	atˈn
אתן	ʔäte̞n
אתנגד	etˈngɔd
אתנה	atˈnɑ
אתנהג	atnɑχ
אתנו	atnu
אתני	atˈni
אתנצל	atnʦal
אתעורר	atˈʕurʁ
אתעכב	atˈʕɛxɛv
אתעלם	atˈʕalm
אתעסק	atˈʕasɛk
אתערב	atˈʕɛʁɛb
אתפוס	atˈfuʃ
אתפטר	atpetʁ
אתפלא	atfala
אתפלל	atfallæ
אתפנה	atfana
אתפס	atˈpɛs
אתקבל	atkɑvel
אתקל	atˈkel
אתקן	atˈken
אתקע	atˈke
אתקרב	ʔatkarav
אתקשר	ʔatkæʃer
אתר	atɛr
אתראה	atriʔa
אתרגל	atˈɾgɛl
אתרחק	ʔetˈʁaχ
אתרי	atʁi
אתרים	atˈrim
ב-100	biːˈmoːn
ב-10	beː
ב10	biˈtɛs
ב-11	biː
ב-12	beː
ב-13	beːˈʃɛn
ב-14	beː
ב-15	beːˈtseːn
ב-16	biːˈʃɛs
ב-17	beː
ב-18	beː
ב-19	beːˈnɛf
ב-1	bi
ב-2006	biːtauːʃiːn
ב-2008	biʃmone
ב-2009	beː
ב-200	biː
ב-20	beː
ב20	betwɑ
ב-21	be
ב-22	betseʃ
ב-23	betseː
ב-24	beː
ב-25	beː
ב-2	beː
ב-30	beːθˈmeː
ב-3	beʃ
ב-40	beː
ב-48	biːθmoʃ
ב-4	beː
ב-500	biːθalɑ
ב-50	biː
ב-5	beː
ב5	bi
ב-60	beʃɪˈnɑ
ב-6	beʃ
ב-7	beː
ב-80	beː
ב-8	beː
ב-90	beː
ב-99	binin
ב-9	biːn
ב	β
בא	ba
באב	baːb
באבא	baːbɑ
באבה	baːba
באבו	baˈbu
באבט	baˈvaʈ
באבטחה	baːvaʈχa
באבי	baːbi
באביב	baːbiv
באביך	baˈvik
באבל	baːbel
באבלס	baːbɛls
באבן	baˈven
באבנים	bavenim
באבס	baˈbɛs
באבק	baˈvik
באג	bag
באגדה	bagaða
באגדות	bagaˈdot
באגוול	bagul
באגי	bagi
באגים	bagim
באגם	bagam
באגן	bagan
באגס	bags
באגסי	bagˈsi
באגף	bagaf
באגרוף	bagruf
באד	baːd
באדום	baːduːm
באדי	baːdi
באדיבות	baɑdiβɛt
באדם	badam
באדמה	badama
באדמות	badamuθ
באדמת	badamet
באה	baː
באהבה	bahava
באהבת	baɑvat
באו	baʔo
באואר	baʊ̯ɛr
באובדן	baːvdeːn
באוגוסט	baʔuˈguːst
באודישן	baʔodiʃn
באוהיו	bavaju
באוהל	baːol
באוויר	baˈvir
באווירה	bavira
באוור	baʔoʕer
באוזן	baʔozen
באוזני	baˈʔozni
באוזניים	baʔozen
באוטו	baˈotːo
באוטובוס	baʔotobos
באויב	baˈojv
באויר	baˈojɛr
באוכל	baˈoχel
באולימפיאדה	baolimpjɑðɑ
באולינג	bauling
באולם	baːulɑm
באולפן	baʔolpan
באום	baʔum
באומן	baˈum
באומנות	baʔominaθ
באומץ	baʔomts
באונ	baʔon
באונה	baˈona
באוניברסיטה	baunivɛrsitɑ
באוניברסיטת	baunivɛrsitɛt
באונס	baʔuns
באוסטין	baˈustin
באוסטרליה	baʔosˈtʁaljɑ
באוסף	baˈɔsɛf
באוסקר	baʔoskar
באופי	baʔuˈfi
באופן	baˈogan
באופנה	baʔofenɑ
באופנוע	baʔopnoʔ
באופניים	baʔoˈfɛnɛj
באופק	baˈofek
באופרה	baˈopʁa
באוצר	baˈʔoʈsɛr
באוקטובר	baːʔɛkˈtɔbɛr
באוקיאנוס	baokjanos
באוקיינוס	baokajnos
באוקלהומה	baokloma
באוקלנד	baoklɛnd
באוקספורד	baɔksˈpɔrd
באוקראינה	baʔokɾɑiˈnɑ
באור	baʔur
באורגון	baɔˈʁɛʦ
באורווה	baʔuːrva
באורות	baoːʁot
באורח	baʔoʁ
באורך	baːoːr
באורלנדו	baʔuʁlaːndu
באושוויץ	baʔoʃˈvits
באושר	baʔoʃer
באות	baˈot
באותה	baˈote
באותו	baˈotav
באותיות	bautaj
באותם	baˈotam
באותן	baˈutɛn
באז	baːz
באזור	baˈzuʁ
באזורי	bazuri
באזורים	bazurim
באזיל	baziːl
באזיקים	bazikim
באזרחים	baːzɛʁaχim
באח	baχ
באחד	baχada
באחו	baχu
באחווה	baχva
באחוות	baχvet
באחוזה	baχuza
באחוזת	baχuθat
באחורי	baχoʁi
באחותי	baχuθi
באחותך	baχuːṣə
באחי	baːχi
באחיך	baːχɛx
באחר	baχer
באחרונה	baχroˈna
באחריות	baχʁiˈjut
באחריותי	baχʁejˈjetʃi
באחריותך	baχʁijotˈχe
באחרים	baχˈʁim
באחת	baχat
באט	baːt
באטלנטה	baːtlanˈte
באטלנטיס	baːtlanˈtis
באטלנטיק	baːtlanˈtɪk
באטלר	baːtɛlɛr
באטמוספירה	baːtmosfɪra
באטמן	baːtman
באטרס	baːtɛrs
באי	baɪ
באיבר	baˈivɛr
באיברים	baːibɛɾim
באיגוד	baːjgod
באיווה	baɪvɑ
באיום	baˈjam
באיומי	baˈjomi
באיומים	baˈjom
באיות	baˈit
באיזה	baˈiza
באיזו	baˈjuː
באיזור	baˈizur
באיזושהי	baɪzoːʃa
באיזשהו	baɪʃaʔu
באיחוד	baʔiχud
באיחור	baˈjɛxʊr
באיטיות	baːitˈjot
באיטליה	baɪtaliʔa
באיטלקית	baɪtˈlɛkit
באיי	baɪj
באיידהו	baidaː
באיידס	baˈjɛds
באיים	baˈjim
באיך	baɪχ
באיכות	baːʔiχot
באילו	baˈjɛlu
באילינוי	baɪlɪˈnuː
באים	baːjim
באימא	baːima
באימה	baˈima
באימון	baɪˈmon
באימונים	baːjmoːn
באי-מור	baɪmoʁ
באימייל	baːʔimejl
באימפריה	baːʔimpiˈreʔ
באינדיאנה	baindjɑnɑ
באינטרנט	baɪntrɛnɛt
באינסטגרם	bainstgra'm
באיסוף	baɪsɔf
באיסט	baˈist
באיסטנבול	baɪstɑnˈbɔl
באיסלנד	baɪsˈland
באיצטדיון	baːʔitsdiˈon
באיראן	bairan
באירוע	baɪroʕ
באירועים	bajeruʕim
באירופה	baɪroˈpɔvə
באירלנד	baɪɾɛlɛnd
באיש	baʔiʃ
באישה	baʔiʃa
באישור	baʔiʃuʁ
באישיות	baʔiʃit
באיתור	baʔiθor
באך	baχ
באכזריות	baχzaˈɾjot
באכיפת	baχipet
באכסניה	baχʃniʔa
באל	baːl
באל-איי	baːlʔaj
באלארד	balaːʁɑːd
באלבום	baːlˈbom
באלג	baˈleg
באלה	baːla
באלו	baːluː
באלוהים	baːloːhem
באלי	baːli
באליל	baːliːl
באלימות	balimɛs
באליפות	baːlihut
באלכוהול	baːlχoːol
באלסקה	baːlɛska
באלף	baːlɛf
באלפי	baːlfi
באם	baːm
באמא	baːma
באמבולנס	bambolans
באמבט	bambat
באמבטיה	bambatja
באמון	baˈmon
באמונה	bamona
באמונות	bamonate
באמי	baːmi
באמנות	baːmoːnet
באמסטרדם	baːmestərˈdom
באמצע	bamitsˈʕa
באמצעות	baˈʔamtsoˑʕes
באמצעותו	baɛmtsɑʕoθo
באמצעי	baɪmtsəʔi
באמצעים	bamitsˈʣɛm
באמריקה	baːmeːrikɑ
באמת	baˈmet
בֶּאֱמֶת	beʔemət
באן	baːn
באנג	baŋ
באנגליה	baːnglija
באנגלית	bajɪŋge
באנדי	baːnɛdi
באנו	baːnuː
באני	bani
באנץ	baːnɛts
באנק	baːnk
באנר	baːner
באנרגיה	baːnɛrgiː
באנשי	baːnʃi
באנשים	banɛʃim
באס	baːs
באסה	baːsɑ
באסון	baˈson
באסט	baːst
באסטר	baˈster
באסטרטגיה	baʔestʁaˈtʃiʔo
באסיה	baːsiʔa
באסיפה	baːʔsifɑ
באסלה	baːsɫa
באסם	baːsam
באספן	baˈsfen
באף	baːf
באף-אחד	baːfʔaχad
באף-בי-איי	baːfbiːaj
באפגניסטן	baʔfɛganisˈtan
באפי	baːpi
באפילה	baphila
באפלה	bafela
באפלו	baːpelo
באפס	baʔps
באפר	baːfeʁ
באפריל	baːʔpʁil
באפריקה	baːfeʁiˈka
באפשרויות	baʔpoˈxalut
באפשרות	baʔimˈlaˌʔoθ
באפשרותך	baʔimlaχoθe
באצבע	baːtsˈva
באצבעות	baːtsˈvaʔoθ
באצטדיון	baʦetdiˈon
באק	baːk
באקדח	baqədaχ
באקדחים	baqɛdˈχim
באקדמיה	baqədeˈmiʔa
באקו	baːko
באקווריום	baqoʁiʔum
באקט	baˈket
באקי	baki
באקלי	baːkli
באקלים	baːkliːm
באקס	baːks
באקסטר	baːksˈtɛr
באקראי	bakarai
באר	baːr
בארב	baːʁb
בארבי	baːɾbi
בארבע	baʁɑʕ
בארבעה	baʁɑva
בארבעת	baːraʕat
בארגון	baʁɣon
בארגז	baʁgaz
בארגזים	baʁgɑzɪm
בארגנטינה	baʁɑntina
בארה	baːra
בארו	baːru
בארובה	baːruva
בארוחה	baruχa
בארוחות	baːruːxat
בארוחת	baroːχat
בארון	baːron
בארונות	baːronot
בארונית	baːronit
בארות	baʁoθ
בארט	baːʁet
בארטווסקי	baːɾtoʋski
בארטון	baːɾton
בארטלט	baːɾtelt
בארי	baːri
באריזה	baːriːza
באריזונה	baːrizoːnɑ
בארכיון	baʁxiˈjon
בארלו	baːʁlo
בארמון	baːɾmoːn
בארנט	baːɾɑnɛt
בארני	baːrni
בארנס	baːɾenʃ
בארנק	baːʁenɛk
בארץ	baʁets
בארצות	baːʀaθoːs
בארצי	baʁeʦi
בארצנו	baʁˈʦno
בארקלי	baːɾkli
בארקר	baːɾˈkɛr
באש	baʃ
באשה	baːʃa
באשיר	baʃir
באשכים	baʃˈχim
באשליות	baʃliˈot
באשמה	baʃma
באשמת	baʃˈmat
באשמתה	baʃˈmatɑ
באשמתו	baʃˈmatʰo
באשמתי	baʃˈmate
באשמתך	baʃˈmatχ
באשמתנו	baʃˈmatnʊ
באשפה	baʃpɑ
באשר	baʃer
באשראי	baʃraʔi
באשתו	baʃto
באשתי	baʃti
באשתך	baʃˈteχ
באת	baːθ
באתגר	bateger
באתגרים	bateɣrim
באתי	baːθi
באתם	baːθam
באתר	baˈtɛr
באתרי	bateri
באתרים	baterim
בב	ɛv
בבאר	baˈbaʁ
בבגד	vavagɛd
בבגדד	babgaðad
בבגדי	babgaði
בבגדים	vabɑgɛd
בבגידה	babɣida
בבד	baβad
בבדידות	baβdiˈdot
בבדיחה	baβdiˈχa
בבדיקה	baβdiˈka
בבדיקות	babəðikot
בבדיקת	babɛdiket
בבה	vaˈba
בבהירות	babɑjˈʁit
בבהלה	baβɛˈlo
בבוא	beˈvuː
בבובות	babuvot
בבוורלי	bavɛʁli
בבוז	baˈbuz
בבולטימור	baboːltimuːr
בבולשת	babuʃa
בבון	baˈvon
בבונקר	babɔnkar
בבוסטון	baˈbostɔn
בבועה	baˈvuʕa
בבוץ	baˈbuʦ
בבוקר	baboːqer
בבור	baˈbuʁ
בבורסה	babursa
בבושה	baˈvuʃa
בבחור	babɑχuʁ
בבחורה	baboˈχora
בבחורות	babɑχorotɛ
בבחורים	vabɑχoɾim
בבחינה	babəχina
בבחינות	babəχinatɛ
בבחינת	babəħint
בבחירה	babɛχira
בבחירות	babɑχɑˈɾotɛ
בבחירת	baβaχiret
בבטון	baβton
בבטחה	baβteχa
בבטחון	babətʃone
בבטן	baˈβatn
בבטנו	babɛtnu
בבי	baˈbi
בבידוד	babidoð
בביה	baˈbiʔa
בביהמ	beːbiːhem
בביוב	baviov
בביולוגיה	babiologija
בביטוח	babitoχ
בביטוי	babituːj
בביטחה	babitʃa
בביטחון	babiteχaː
בבייג	babig
בבייסבול	babajsabol
בבילון	babilon
בביצה	baˈbitsɑ
בביצוע	babitsˈʔuʔ
בביצות	babitsot
בביצים	babiːʦim
בביקור	babikuʁ
בביקיני	babikini
בבירה	babira
בבירור	babiroʁ
בבישול	babiʃul
בבית	beˈβit
בביתה	baβiθa
בבית-החולים	baβitχaˈloːm
בבית-המשפט	baβiθhamʃpɛt
בבית-הספר	baβiθhɛsɛfɛr
בביתו	baβiθo
בבית-חולים	baβiθχoliːm
בביתי	baβiθi
בביתך	baβiθex
בביתם	baβiθam
בבית-משפט	baˈβitmeˈʃpɛt
בביתן	babiθan
בביתנו	baβiθo
בבית-ספר	baβitˈsɛr
בבכי	baˈbexi
בבל	baˈbal
בבלאגן	bablagan
בבלגיה	bebalʒiʃa
בבלגן	beβlegɛn
בבלוג	babugol
בבלוטת	bablotat
בבלוק	baˈblok
בבלט	baˈblet
בבן	baˈban
בבנגקוק	babəŋgɔk
בבנות	vabənot
בבני	bavani
בבנייה	babəniʃə
בבניין	babəniː
בבניינים	babəniːn
בבניית	babənijot
בבנים	bavanim
בבנין	babəniːn
בבנך	babɛnχɛ
בבנק	babɛnɛk
בבסיס	babɛsis
בבעיה	babɑʃɑ
בבעיות	bavaʔite
בבעיטה	bavaʔiθa
בבעל	baˈbaʔal
בבעלה	baβaʕala
בבעלות	babɛlɔt
בבעלותה	baβaʕaloθa
בבעלותו	babɛluθo
בבעלותי	babɛloθi
בבעלותך	babɛlɔsteχ
בבעלי	babɑli
בבעלך	babɛlɛx
בבקבוק	babakbuq
בבקוק	baboːq
בבקרים	babɑˈkɛrim
בבקשה	babɛʃa
בְּבַקָשָׁה	ʋɪbaqɑʃɑ
בבקתה	babakθa
בבקתת	babakˈθat
בבר	beβer
בברודווי	bebruːðɑːj
בברודוויי	bebruːðɑːj
בברונקס	bebruˈnɛk
בברוקלין	bebruˈkliŋ
בברור	beβɛˈʁuʁ
בברזיל	bebɾaziːl
בברזל	bebɾaˈzɛl
בבריאות	beβʁiˈʔot
בבריחה	bebriχɑ
בבריטניה	bebɾitinaja
בבריכה	beβriχɑ
בבריכת	beβriχot
בברים	baˈbɛʁim
בברית	beβʁit
בברך	baˈvaχ
בברכה	babɾaχɑ
בברכיים	babɾaχajmi
בברכת	babɾatχ
בברלי	beβʁɛli
בברלין	beβɛʁˈlin
בברצלונה	beβɛʁtsəlɔnɑ
בברקלי	bebɛʁki
בבשר	baˈvaʃer
בבת	baˈbat
בבתי	baˈβat
בבתים	baˈbɑtim
בג	bag
בגאווה	bagove
בגב	bagɛv
בגבו	bagˈbo
בגבול	bagˈbol
בגבולות	bagboˈlɔt
בגבורה	bagboˈra
בגבינה	bagbiˈna
בגביע	bagviˈʔa
בגבעה	bagiˈbɑ
בגבעות	bagaˈvuːt
בגבעת	bagaˈvaθ
בגבר	bagɛɛr
בגברים	bagɛrm
בגברת	bagɾat
בגג	bag
בגד	bagad
בגד	be̞ge̞d
בגדד	bagad
בגדה	bagaða
בגדו	bagdo
בגדוד	bagˈduːd
בגדול	bagˈdol
בגדי	bagdi
בגדיה	bagˈdiːa
בגדיו	bagdiː
בגדיי	bagdiː
בגדייך	bagdiːχ
בגדיך	bagdiχ
בגדים	bagɛd
בגדר	bagɛdɛr
בגדת	bagˈdaθ
בגדתי	bagaˈdi
בגובה	bagoˈvu
בגוגל	bagogəl
בגודל	bagoːdl
בגודלה	bagoˈdɛlɑ
בגודלו	bagoˈdlo
בגוון	bagoʊn
בגולגולת	bagolgoˈlot
בגולף	bagoːlfe
בגוף	bagof
בגופה	bagoˈfa
בגופו	bagoˈfu
בגופות	bagoˈfot
בגופי	bagoːfi
בגופך	bagofχe
בגורל	bagoʁal
בגורלו	bagoʁlo
בגז	bagaz
בגזע	bagˈʒaʕ
בגזרה	bagˈzeʁa
בגטו	baget
בגיא	bagja
בגידה	bagiˈda
בגידול	bagiˈdul
בגידות	bagiˈdot
בגיהינום	bagiˈjɛnum
בגיהנום	bagihaˈnum
בגיוס	bagjuːs
בגיטרה	bagiˈtɛrɑ
בגיל	bagil
בגילה	bagiˈlo
בגילו	bagiˈlo
בגילוי	bagi'lo
בגילי	bagiˈli
בגיליון	bagiˈlon
בגילך	bagilχ
בגילנו	bagilno
בגין	bagin
בגינה	bagiˈna
בגירושים	bagiʁoʃim
בגירושין	bagiroʃin
בגישה	bagiʃa
בגל	bagal
בגלגול	bagalgul
בגלגל	bagalgal
בגלוי	bagloˈji
בגלות	bagloːt
בגלי	bagli
בגלים	bagˈlim
בגלימה	baglimɑ
בגלל	bagaˈle
בגללה	bagaˈla
בגללו	bagaˈlu
בגללי	bagalˈli
בגללך	bagaˈleːk
בגללכם	bagaˈleχem
בגללם	bagaˈlem
בגללנו	bagaˈlɛnʊ
בגלקסיה	bagalˈksejɑ
בגלריה	bagalriˈja
בגמילה	bagmiˈla
בגמלאות	bagmaˈlot
בגמר	bagˈmar
בגן	bagan
בגניבה	bagniˈva
בגניבת	bagnivɛt
בגנים	bagan
בגן-עדן	baganˈʔadnɑ
בגסות	bagˈsot
בגרון	bagˈron
בגרונו	bagruːno
בגרוש	bagˈruʃ
בגרות	bagˈruːt
בגרזן	bagˈʁazn
בגריל	bagˈɾil
בגרמניה	bagʁaˈmansja
בגרמנית	bagʁaˈmit
בגרנד	bagˈɾand
בגרסה	bagˈɾesa
בגשם	bagʃem
בגשר	bageʃer
בד	bed
בדאגה	badaga
בדאלאס	bedɑlɑs
בדבר	baðˈvaʁ
בדברי	bedˈre
בדבריה	baðævariɑ
בדבריו	baðviro
בדבריך	bedbriχ
בדברים	bedeʁɛm
בדבש	bedˈvɛʃ
בדג	bedg
בדגים	bedgim
בדגל	bedgɔl
בדה	beda
בדו	bedo
בדוא	beduʕ
בדואר	bedoʔar
בדובאי	bedoˈvaʔi
בדוח	bedoχ
בדוחות	bedoχe
בדוי	bedoʔi
בדויה	bedoja
בדויים	bedojim
בדוכן	bedoχen
בדולח	bedoːlaχ
בדולר	bedoˈlar
בדולרים	bedoˈlɛʁim
בדום	bedom
בדומה	bedoʊmɑ
בדוק	bedok
בדו-קרב	bedoˈkɛɾv
בדור	bedoʁ
בדחיפות	bedəχifet
בדחף	baðˈχaf
בדחפים	bedəχapim
בדטרויט	bedetˈroit
בדי	bedi
בדיאטה	bediɑte
בדיבור	bediːboʁ
בדיבורים	bediːboːr
בדידות	bediːðo
בדיה	bedja
בדיו	bediː
בדיווח	bediwoχ
בדיון	bediˈon
בדיוני	bedjoːni
בדיונית	bedjɔn
בדיוק	bedˈjuːq
בְּדִיוּק	bedjuq
בדיחה	badiχa
בדיחות	bediχot
בדיחת	bediχaθ
בדייט	bediːt
בדיינר	bediːner
בדיכאון	bediχɔn
בדים	bedim
בדימוס	bediˈmos
בדין	bedin
בדיסק	bedɪsk
בדיסקרטיות	bediskɛʁtiˈot
בדיעבד	baðjaˈβɛð
בדיקה	bediˈka
בדיקות	bediˈkot
בדיקת	bediˈket
בדירה	bediʁa
בדירוג	bediˈrug
בדירת	bediʁat
בדירתה	bediʁɑ
בדירתו	bediʁto
בדירתי	bediʁti
בדירתך	bediʁatx
בדל	bedɛl
בדלי	bedˈli
בדלפק	bedlɛfɛk
בדלק	bedlɛk
בדלקת	bedlɛkθat
בדלת	bedˈlet
בדלתות	bedəloːt
בדלתיים	bedəleːm
בדם	bed̪m
בדמה	bedmɑ
בדמו	bedmo
בדמות	bedmote
בדמי	bedˈmi
בדמיון	bedmijon
בדמך	bedmɛx
בדמם	bedmɔm
בדממה	bedmɛmɑ
בדמעות	baðˈmorot
בדנ	bedn
בדנבר	bednɛvɛr
בדנוור	bednuːr
בדנמרק	bednɛmark
בדעה	bedɑʁ
בדעתה	badaθa
בדעתו	badaθo
בדעתי	badaθi
בדעתך	badaθe
בדעתם	badaθɛm
בדף	bedaf
בדפוס	bedpus
בדפורד	bedfoːɾd
בדפי	bedfi
בדצמבר	bedemˈʁɛʃɛʁ
בדק	bedek
בדקה	bedˈqɑ
בדקו	bedˈku
בדקות	bedˈqot
בדקי	bedˈki
בדקנו	bedeknu
בדקת	bedˈket
בדקתי	bedɛkti
בדקתם	bedˈketem
בדר	beder
בדרג	bedˈʁɛg
בדרגה	bedˈʁega
בדרגת	bedˈʁagat
בדרום	bedˈrom
בדרישות	bedriˈʃot
בדרך	baðˈʁaχ
בדרכה	bedɛʁɛkɑ
בדרכו	baðɾaxo
בדרכי	bedɛʁki
בדרכים	bedɛʁˈχim
בדרכינו	baðɾaχino
בדרכך	baðɾaχ
בדרך-כלל	baðɾaχeːlɛl
בדרככם	bedɛʁkɛm
בדרכם	bedɛrɛxɛm
בדרכן	bedˈʁaxn
בדרכנו	bedɛʁkˈno
בדרמה	bedʁɑmɑ
בדרן	bedˈron
בדשא	bedˈʃa
בדת	bedat
בה	va
בהאזנה	beɑzenɑ
בהאיטי	bahaːʔiːti
בהאמה	bahama
בהאנגר	beɑngɛr
בהארוורד	beɑˈʁɔːʁɛd
בהארלם	beʔaʁlɛm
בהאשמות	beʔaʃmot
בהבדל	beɦaβɛdel
בהבטחה	behɑbɛtˈχɑ
בהבנה	behævˈnɑ
בהגדרה	beχgeðɾo
בהגה	beχɑ
בהגזמה	beχgeˈzma
בהגיון	beχgiˈon
בהגינות	beχgiˈnɔt
בהגנה	beɣˈna
בהגרלה	beχgɾoʎo
בהדרגה	behadɾga
בהה	beː
בהוא	baʔuː
בהודו	beːhoːduː
בהודעה	boːdeʔa
בהודעות	bahoduʕa
בהוואי	beːvaɪ
בהוואנה	behoˈvana
בהווה	beːˈɑv
בהול	boːl
בהוליווד	boːloːvɛd
בהולנד	boːlɛnd
בהונאה	bonɛ
בהונג	beʔoŋ
בהונות	behoːnɛs
בהופעה	boˈfaʔa
בהופעות	bahopeʦotʃim
בהוצאה	beχɔtsɑ
בהוצאות	boːtsɔt
בהוראה	beɔre
בהוראת	bahorat
בהורים	beːhoːrim
בהזדמנות	beχzdmˈnʌt
בהזמנה	beχʦˈmanɑ
בהחלט	beχɫɛt
בהחלטה	beχɫɛtɑ
בהחלטות	beχɫɛtut
בהיגיון	bajigjon
בהיותו	bajoːt
בהיותי	bajoti
בהיותך	bajoːtˈχe
בהיי	baje
בהייבן	beːhɛvɛn
בהיכון	baˈχon
בהיכל	baːʔχɛl
בהילוך	baheːluːχ
בהימור	beːmoːr
בהימורים	beːhimoːʁ
בהינתן	bajaθan
בהיסטוריה	baːhistɔːrjɑ
בהיסטוריית	baɪstuʁite
בהיעדר	bejaˈʔeðer
בהיעדרי	bajəˈdɛri
בהיקף	baˈjɛf
בהיר	baˈjɛr
בהירה	baheːra
בהירות	beːaˈret
בהיריון	baʁijon
בהירים	beːʁiːm
בהישג	beʃɛg
בהישרדות	beʃaʁˈdot
בהיתי	baˈjati
בהכול	beχɔl
בהכחשה	beχaχeʃa
בהכל	beχɑl
בהכנה	beχnɑ
בהכנות	beχˈnot
בהכנעה	beχneʔa
בהכנת	beχnaθ
בהכרה	beχɾa
בהכרח	beχɾaʕ
בהכשרה	beχʃeʁa
בהלה	beˈlo
בהלוויה	beɬviʔa
בהליך	beːɫix
בהליכה	beɬxiˈkɑ
בהליכים	beːloːχim
בהלם	beˈhalem
בהלנה	beχˈlena
בהם	beːɛm
בהמה	behemɑ
בהמון	behomːon
בהמות	behomot
בהמפטונס	behemˈpɛtons
בהמשך	beːmoʃex
בהמתנה	behemːatˈnɑ
בהן	beːn
בהנאה	behnɑhɑ
בהנדסה	behnɛsɛ
בהנהלה	behnɛˈlo
בהנחה	behnəχa
בהסגר	beʃger
בהסטוריה	beːstuːrijɑ
בהסכם	beχɛsɛgɛm
בהסכמה	beɣaˈʃma
בהסתמך	beʔsˈtamex
בהעברה	beʔevaʁa
בהעברת	beʕaʁet
בהערכה	beʕeʁaχa
בהערכת	beʕeʁatˈs
בהפסד	beɪhapˈsɛd
בהפסקה	beχpɛsˈkɑ
בהפסקת	behɛfˈsɛt
בהפקה	beχpɛkɑ
בהפרעה	behɛpˈreʔɑ
בהפרש	beɪhɛfɛʁʃ
בהפתעה	beɣfaˈteʕa
בהפתעות	beɸetaˈʔot
בהצבעה	beχtsva
בהצגה	beχˈʦga
בהצגת	beχˈʦaʈ
בהצהרה	beχtsˈharɑ
בהצטיינות	beχʦtaˈjinɛs
בהצלחה	beːtsˈloʃa
בהצלת	beχɛlɛt
בהצעה	beχˈʃoʔ
בהצעת	beχˈsot
בהקדם	beχdɛm
בהקיץ	beχɑˈʦ
בהקלטה	beχleˈtɑ
בהקפאה	beχpa
בהקשר	beχʃɛr
בהר	beʁ
בהרבה	behɛrba
בהרגשה	beʁgeʃa
בהרואין	beʁoˈʔin
בהרווארד	beʁaˈvard
בהרי	beheri
בהריגה	beʁiga
בהריגת	behrigat
בהריון	behɛriˈon
בהרים	beˈʁim
בהריסות	beχʁisot
בהרכב	beʁχɛv
בהרמוניה	beʁmoˈniʔa
בהרס	beʁas
בהרפתקה	beʁfatˈqɑ
בהשאלה	beʃɑlɑ
בהשגחה	beʃgɑʃɑ
בהשגת	beʃget
בהשוואה	beʃva
בהשפעה	beʃpaʃ
בהשפעת	beʃpaˈʕa
בהשראת	beʃˈʁat
בהתאבדות	beθɑvɛdot
בהתאוששות	beθaʔoʃaʃ
בהתאם	beθaˈm
בהתאמה	beθaˈma
בהתבסס	beθasas
בהתגלמותו	beθgɑlmuθ
בהתהוות	beθaˈvaθ
בהתחלה	beteχala
בהתחשב	beθaχˈʃev
בהתלהבות	beθɛlhɛvuθ
בהתמדה	beθmɛdɑ
בהתמודדות	beθmɔdˈdot
בהתנגדות	beθengoðes
בהתנדבות	beθɪndɛboʔ
בהתנהגות	beθatnəɣut
בהתערבות	beθɛʕaʁˈvɛt
בהתפתחות	beθapetˈχot
בהתקדמות	beθikədomutə
בהתקף	beθaˈkɛf
בהתקפה	beθaˈkfe
בהתראה	beteʁa
בהתרגשות	beɪθɛrguʃ
בהתרסקות	beθerˈsɛket
בו	bo
בוא	boʔ
בואה	boʔa
בואו	boʔu
בואי	boʔi
בואך	boʔaχ
בואן	boʔan
בואנה	boʔa
בואנוס	boʔnɔs
בואש	boʔaʃ
בוב	boːb
בובה	buːvɑ
בו-בו	boːboː
בובו	boˈbo
בובות	boˈvɛt
בובי	bobi
בוביקו	bobiko
בובספוג	boːbspɔg
בובת	buˈbɔt
בוג	bog
בוגאס	bogas
בוגד	bogɛd
בוגדים	bogeðim
בוגדני	bogˈdeːni
בוגדנית	bogdaˈnit
בוגדת	bogˈdæt
בוגי	bogi
בוגס	boges
בוגר	bogɛr
בוגרות	bogˈruθ
בוגרי	bogeʁi
בוגרים	bogaʁim
בוגרת	bogˈɾet
בודאות	bodaot
בודאי	bodai
בודד	boðd
בודדה	boˈde
בודדות	boːðoθ
בודדים	boˈdið
בודדת	boˈdið
בודהה	boˈdeh
בודהיסטי	boːðaˈistɪ
בודי	boːdi
בודלר	boðleʁ
בודן	boˈdən
בודפשט	boːdˈpeʃt
בודק	boðek
בודקים	boːðkim
בודקת	boːðkət
בוהה	bohe
בוהים	boˈxim
בוהם	boˈxem
בוהן	bohɛn
בוהנון	bohˈnon
בוהק	boχek
בוהקים	boχeːm
בוו	bi
בוואן	boˈvan
בווגאס	boʊvɑs
בוודאות	boʊdaˈot
בוודאי	boʊdaˈi
בווידאו	bividaʔ
בווייטנאם	bowitnaːm
בוויכוח	biβχɔx
בוויסקונסין	biwiskɔnˈsin
בווירג	biʋiʁg
בווירוס	bivuʁos
בוול	boːl
בוונציה	boveniʦja
בווסט	boʊst
בוועדה	boʕaða
בוועדת	boʕaˈdit
בוועידה	boʕida
בוורוד	boʁod
בוורלי	boʊvɛrli
בוורמונט	boʊvɛrmɔnt
בוושינגטון	boʊˈʃɪŋtən
בוז	buz
בו-זמנית	bozəmaniθ
בוחן	boχan
בוחנים	boχˈnaːn
בוחנת	boχˈnɑt
בוחר	boχer
בוחרים	boχaʁim
בוחרת	boχˈɾet
בוט	boʈ
בוטה	boˈte
בוטווין	boˈtvin
