一下咬指甲	liam˨˦mi˥˥ka˧˧tsiŋ˥˧kaʔ˨
他常常被老闆斥責	i˥˥put˨si˨˦hɔ˧˧tʰau˨˦ke˥˥tiŋ˨˩
他待人很好	i˥˥laŋ˨˦tsin˥˥ho˥˧
他很不孝順	i˥˥tsin˥˥put˨hau˨˩
他很喜歡說自以為是的話	i˥˥tsiok˨ai˨˩koŋ˥˧tua˧˧sĩã˥˥ue˧˧
他很堅強、上進	i˥˥tsin˥˥pa˥˥kiat˨
他很愛偷竊	i˥˥tsin˥˥pʰãĩ˥˧tsʰiu˥˧dziau˥˧
他很挑嘴	i˥˥tsin˥˥pʰãĩ˥˧tsʰui˨˩tau˥˧
他很有人緣	i˥˥tsin˥˥u˧˧laŋ˨˦ian˨˦
他很有內涵	i˥˥tsiok˨u˧˧lai˧˧tsai˨˦e˨˦
他很有名氣	i˥˥tsin˥˥u˧˧dzin˨˦boŋ˧˧
他很有年紀了吧	i˥˥m˥˥tsin˥˥tse˧˧hue˨˩aʔ˨
他很有本事	i˥˥tsin˥˥u˧˧tsai˨˦tiau˧˧
他很聰明	i˥˥tsiok˨kʰiau˥˧e˨˦
他很詼諧	i˥˥tsin˥˥ŋɔ˥˧dzin˨˦
他從南部上來臺北工作	i˥˥tui˨˩e˧˧kaŋ˥˧kʰi˥˧lai˨˦tai˨˦pak˨tsiaʔ˦tʰau˨˦lɔ˧˧
他怎麼這麼不要臉	i˥˥na˥˧e˧˧tsiaʔ˨put˨su˥˧kui˥˧
他怎麼那麼有才華	i˥˥na˥˧e˧˧hiaʔ˨tsai˨˦tsiŋ˨˦
他怕搭車會來不及	i˥˥kĩã˥˥kĩ˨˩hu˨˩be˧˧tioʔ˨tsʰia˥˥paŋ˥˥
他想買一刀紙	i˥˥beʔ˨be˥˧tsit˦to˥˥tsua˥˧
他懂得很多種做瓷器的專門技術	i˥˥bat˨tsiok˨tse˧˧tsioŋ˥˧tso˨˩hui˨˦a˥˧e˨˦tsʰiu˥˧lɔ˧˧
他懷孕挺了個大肚子	i˥˥pʰãĩ˧˧tsit˦e˨˦tua˧˧tɔ˧˧kui˥˥
他所說的和事實很不一致	i˥˥sɔ˥˧koŋ˥˧e˨˦kaʔ˨su˧˧sit˦u˧˧tsin˥˥tua˧˧e˨˦tsʰut˨dzip˦
他才十七歲而已	i˥˥tsiaʔ˨tsap˦tsʰit˨hue˨˩nia˧˧nia˧˧
他才會記得	i˥˥tsiaʔ˨e˧˧ki˨˩tit˨
他才退伍沒多久	i˥˥tsiaʔ˨tʰe˨˩ŋɔ˥˧bo˨˦ɡua˧˧ku˥˧
他打得太用力	i˥˥pʰaʔ˨tsit˦e˧˧sĩũ˥˥tua˧˧e˧˧
他打球打到喘不過氣來	i˥˥pʰaʔ˨kiu˨˦pʰaʔ˨kaʔ˨tua˧˧sim˥˥kʰui˨˩
他把他的私人花園公開展覽	i˥˥koŋ˥˥kʰai˥˥tian˥˧lam˥˧i˥˥e˨˦su˥˥dzin˨˦hue˥˥hŋ˥˥
他把所有的事情都說出來了	i˥˥ka˧˧sɔ˥˧u˧˧e˨˦tai˧˧tsi˨˩loŋ˥˧koŋ˥˧tsʰut˨lai˨˦aʔ˨
他把西瓜切成四塊	i˥˥ka˧˧si˥˥kue˥˥tsʰiat˨tso˨˩si˨˩te˨˩
他排行老大	i˥˥si˧˧tua˧˧han˨˩e˨˦
他故意這麼說要惹你生氣	i˥˥tiau˥˥kɔ˨˩i˨˩beʔ˨koŋ˥˧hɔ˧˧li˥˧kʰi˨˩
他明天要就職了	i˥˥bin˨˦a˥˧tsai˨˩beʔ˨tsĩũ˧˧dzim˧˧aʔ˨
他昨天三更半夜才回來	i˥˥tsa˥˥hŋ˥˥sã˥˥kẽ˥˥pũã˨˩me˨˦tsiaʔ˨tńg1lai˨˦
他昨晚住院	i˥˥tsa˥˥am˨˩dzip˦ĩ˧˧
他昨晚被人砍了好幾刀	i˥˥tsa˥˥me˨˦kʰi˨˩hɔ˧˧laŋ˨˦tʰai˨˦kui˥˧na˧˧to˥˥
他昨晚酒醉漚吐	i˥˥tsa˥˥am˨˩tsʰut˨tsiu˥˧
他是一個半吊子	i˥˥si˧˧tsit˦e˨˦pũã˨˩lɔ˧˧sai˥˥
他是一個沒良心的人	i˥˥si˧˧tsit˦e˨˦bo˨˦tʰian˥˥lioŋ˨˦e˨˦laŋ˨˦
他是一個粗人	i˥˥si˧˧tsit˦e˨˦tʰɔ˥˧laŋ˨˦
他是一個老實人	i˥˥si˧˧tsit˦e˨˦kɔ˥˧i˨˩laŋ˨˦
他是助手	i˥˥si˧˧dzi˧˧tsʰiu˥˧
他是我哥哥	i˥˥si˧˧ɡuan˥˧hĩã˥˥ko˥˥
他是我妹妹	i˥˥si˧˧ɡuan˥˧sio˥˧mue˧˧
他是我嫂嫂	i˥˥si˧˧ɡuan˥˧hĩã˥˥so˥˧
他是我遇過最難相處的人	i˥˥si˧˧ɡua˥˧tu˥˧kue˨˩sioŋ˧˧pʰãĩ˥˧tʰi˨˩tʰau˨˦e˨˦laŋ˨˦
他是收養的	i˥˥si˧˧pun˥˥e˨˦
他是故意要和我作對的	i˥˥si˧˧tiau˥˥ti˨˦beʔ˨kaʔ˨ɡua˥˧tso˨˩tui˨˩e˨˦
他是有錢人	i˥˥si˧˧ho˥˧ɡiaʔ˦laŋ˨˦
他是本尊	i˥˥si˧˧pun˥˧tsun˥˥
他是水電工啦	i˥˥si˧˧tso˨˩tsui˥˧tian˧˧e˨˦laʔ˨
他是老師	i˥˥si˧˧lau˧˧su˥˥
他是耳根軟的人	i˥˥si˧˧tsit˦e˨˦tua˧˧hĩ˧˧ti˥˥
他是製作家具的木工	i˥˥si˧˧tso˨˩sio˥˧bak˦e˨˦
他是這個歌仔劇團裡的小旦	i˥˥si˧˧tsit˨e˨˦kua˥˥a˥˧hi˨˩pan˥˥e˨˦sio˥˧tũã˨˩
他時常在這地方與人吵架、鬥毆	i˥˥tĩã˧˧tĩã˧˧ti˧˧tsit˨kʰɔ˥˥ui˨˦a˥˧kaʔ˨laŋ˨˦uan˥˥ke˥˥sio˥˥pʰaʔ˨
他最喜歡出風頭	i˥˥sioŋ˧˧ai˨˩tsʰut˨hoŋ˥˥tʰau˨˦
他最喜歡拿望遠鏡看稀奇的鳥類	i˥˥sioŋ˧˧ai˨˩tʰeʔ˦tsʰian˥˥li˥˧kĩã˨˩kʰũã˨˩hi˥˥han˥˧e˨˦tsiau˥˧a˥˧
他最近看起來很舒爽	i˥˥tsue˨˩kin˧˧kʰũã˨˩kʰi˥˧lai˨˦tsĩã˨˦sim˥˥soŋ˥˧
他會不會有惡疾	i˥˥kam˥˧e˧˧sẽ˥˥pʰãĩ˥˧miʔ˦
他會害羞	i˥˥e˧˧pʰãĩ˥˧se˨˩
他有一個很大的肚子	i˥˥u˧˧tsit˦e˨˦tua˧˧tɔ˧˧kui˥˥
他有一筆呆帳	i˥˥u˧˧tsit˦pit˨pʰã˨˩siau˨˩
他死的時候很痛苦	i˥˥si˥˧e˨˦si˨˦tsun˧˧tsin˥˥pʰãĩ˥˧si˥˧
他比較不會那麼累	i˥˥kʰaʔ˨be˧˧hiaʔ˨tʰiam˥˧
他決定要公開所有的事情	i˥˥kuat˨tiŋ˧˧beʔ˨koŋ˥˥kʰai˥˥sɔ˥˧u˧˧e˨˦tai˧˧tsi˨˩
他活著的時候做了很多好事	i˥˥tsai˧˧sẽ˥˥e˨˦si˨˦tsun˧˧tso˨˩tsin˥˥tse˧˧ho˥˧tai˧˧
他為了自己的利益出賣朋友	i˥˥ui˧˧tioʔ˨ka˥˥ki˧˧e˨˦li˧˧ik˨tsʰut˨be˧˧piŋ˨˦iu˥˧
他為人忠厚老實	i˥˥tso˨˩laŋ˨˦tsĩã˨˦kɔ˥˧i˨˩
他煮的東西很難吃	i˥˥tsu˥˧e˨˦miʔ˦kĩã˧˧tsin˥˥pʰãĩ˥˧tsiaʔ˦
他用錢很大方	i˥˥ioŋ˧˧tsĩ˨˦tsin˥˥pʰã˨˩tsʰiu˥˧
他白天都不在家裡	i˥˥dzit˦si˨˦loŋ˥˧bo˨˦ti˧˧tsʰu˨˩li˥˧
他的一句話使得我的心裡一片雜亂	i˥˥e˨˦tsit˦ku˨˩ue˧˧hɔ˧˧ɡua˥˧kui˥˥e˨˦sim˥˥tʰau˨˦dzu˨˦ka˥˧ka˥˧
他的人個性比較直率	i˥˥e˨˦laŋ˨˦kʰaʔ˨tʰɔ˥˧tit˦
他的人緣還算不錯	i˥˥koʔ˨put˨tsi˥˧a˥˧u˧˧dzin˨˦kʰi˨˩
他的人脈很廣	i˥˥e˨˦laŋ˨˦bin˧˧tsin˥˥kʰuaʔ˨
他的個性就是那麼粗魯	i˥˥to˧˧si˧˧hit˨kʰuan˥˧tʰɔ˥˧koŋ˥˥a˥˧siŋ˨˩
他的個性較老土	i˥˥e˨˦laŋ˨˦kʰaʔ˨tʰɔ˥˧
他的動作真快	i˥˥kʰa˥˥tsʰiu˥˧tsin˥˥kin˥˧
他的口氣很大	i˥˥e˨˦kʰau˥˧kʰi˨˩tsin˥˥tua˧˧
他的壞習慣一大堆	i˥˥e˨˦pʰãĩ˥˧pʰiaʔ˨tsit˦tua˧˧tui˥˥
他的大名	i˥˥e˨˦tua˧˧mia˨˦
他的大拇指被小刀割到了	i˥˥e˨˦tua˧˧tʰau˨˦bu˥˧hɔ˧˧to˥˥a˥˧kuaʔ˨tioʔ˨aʔ˨
他的手工很細緻	i˥˥e˨˦tsʰiu˥˧kaŋ˥˥tsin˥˥iu˨˩
他的病怎麼好得那麼快	i˥˥e˨˦pẽ˧˧na˥˧e˧˧ho˥˧kaʔ˨hiaʔ˨ni˧˧a˥˧kin˥˧
他的脾氣很壞	i˥˥tsin˥˥pʰãĩ˥˧siŋ˨˩te˧˧
他的膿瘡流膿了	i˥˥e˨˦liap˦a˥˧tsʰut˨laŋ˨˦aʔ˨
他的英文說得很流利	i˥˥iŋ˥˥ɡi˥˧koŋ˥˧kaʔ˨siaʔ˨siaʔ˨kio˨˩
他的行為舉止真令人懷疑	i˥˥e˨˦toŋ˧˧tsok˨tsin˥˥kʰo˥˧ɡi˨˦
他的身世聽著讓人覺得很傷心	i˥˥e˨˦sin˥˥se˨˩hɔ˧˧laŋ˨˦tʰĩã˥˥tioʔ˨kam˥˧kak˨tsĩã˨˦sim˥˥sŋ˥˥
他的食量真的很大	i˥˥tsʰin˥˥tsʰĩũ˧˧tua˧˧tɔ˧˧kui˥˥
他相隔很久才來一次	i˥˥ku˥˧ku˥˧tsiaʔ˨lai˨˦tsit˦pai˥˧
他看到人總是微微笑著	i˥˥kʰũã˨˩tioʔ˨laŋ˨˦loŋ˥˧bun˨˦bun˨˦a˥˧tsʰio˨˩
他看起來年輕多了	i˥˥kʰũã˨˩kʰi˥˧lai˨˦ke˥˥kʰaʔ˨siau˨˩lian˨˦
他真小氣	i˥˥tsin˥˥taŋ˨˩sŋ˥˥
他眼睛翻白眼	i˥˥bak˦tsiu˥˥piŋ˥˧peʔ˦kãĩ˨˦
他瞧不起別人	i˥˥kʰũã˨˩pat˦laŋ˨˦bo˨˦tsĩũ˧˧bak˦
他竟然敢動手打我	i˥˥kiŋ˨˩dzian˨˦kã˥˧tsʰut˨tsʰiu˥˧pʰaʔ˨ɡua˥˧
他經商成功主要的原因就是認真努力	i˥˥tso˨˩siŋ˥˥li˥˧e˧˧taŋ˨˩siŋ˨˦koŋ˥˥tsu˥˧iau˨˩e˨˦ɡuan˨˦in˥˥to˧˧si˧˧dzin˧˧tsin˥˥pʰaʔ˨pĩã˨˩
他經常在讀書	i˥˥put˨si˨˦ma˧˧teʔ˨tʰak˦tsʰeʔ˨
他總共生了六個兒子	i˥˥loŋ˥˧tsoŋ˥˧sẽ˥˥lak˦e˨˦hau˧˧sẽ˥˥
他美得像仙女	i˥˥sui˥˧kaʔ˨na˥˧sian˥˥li˥˧
他花錢很大方	i˥˥tsʰut˨tsʰiu˥˧tsin˥˥tai˧˧hoŋ˥˥
他花錢很大方	i˥˥tsin˥˥pʰã˨˩tsʰiu˥˧
他被人比喻成菩薩	i˥˥hɔ˧˧laŋ˨˦pi˥˧dzu˧˧tso˨˩pʰɔ˨˦sat˨
他被警察叫去問口供	i˥˥kʰi˨˩hɔ˧˧kiŋ˥˧tsʰat˨tiau˨˩kʰi˨˩mŋ˥˥kʰau˥˧kiŋ˥˥
他被車子撞得不醒人事	i˥˥hɔ˧˧tsʰia˥˥loŋ˨˩tsit˦e˧˧m˥˥tsai˥˥laŋ˨˦
他被那個不肖之徒氣個半死	i˥˥kʰi˨˩hɔ˧˧hit˨e˨˦m˥˥tsĩã˨˦laŋ˨˦kʰi˨˩kaʔ˨beʔ˨si˥˧
他要送給別人的東西都會包裝得很漂亮	i˥˥beʔ˨saŋ˨˩hɔ˧˧laŋ˨˦e˨˦miʔ˦kĩã˧˧loŋ˥˧pau˥˥tsoŋ˥˥kaʔ˨tsin˥˥sui˥˧
他說他大後天會回來	i˥˥koŋ˥˧i˥˥tua˧˧au˧˧dzit˦e˧˧to˨˩tńg1lai˨˦
他說你是一朵花	i˥˥koŋ˥˧li˥˧si˧˧tsit˦lui˥˧hue˥˥
他說要中立	i˥˥koŋ˥˧beʔ˨tioŋ˥˥lip˦
他說要請我吃好料耶	i˥˥koŋ˥˧beʔ˨tsʰĩã˥˧ɡua˥˧tsiaʔ˦ho˥˧liau˧˧e˨˦
他說話不留口德	i˥˥koŋ˥˧ue˧˧tsin˥˥pʰãĩ˥˧tsʰui˨˩tau˥˧
他說話口氣很粗暴	i˥˥koŋ˥˧ue˧˧tsĩã˨˦pʰãĩ˥˧sĩã˥˥sau˨˩
他說話用語很文雅	i˥˥koŋ˥˧ue˧˧tsin˥˥bun˨˦
他講話很文雅	i˥˥koŋ˥˧ue˧˧tsin˥˥bun˨˦ŋa˥˧
他講話總是這樣翻來覆去	i˥˥koŋ˥˧ue˧˧an˥˧ne˥˥piŋ˥˧lai˨˦piŋ˥˧kʰi˨˩
他越是故意和你唱反調	i˥˥dzu˥˧tʰiau˥˥kaŋ˥˥
他跌得整個人撲倒在地	i˥˥puaʔ˦tsit˦e˧˧kui˥˥e˨˦laŋ˨˦pʰak˨loʔ˨kʰi˨˩
他跌落山谷	i˥˥puaʔ˦loʔ˨kʰi˨˩sũã˥˥kau˥˥
他跟我的看法並不一致	i˥˥kaʔ˨ɡua˥˧e˨˦kʰũã˨˩huat˨piŋ˧˧bo˨˦it˨ti˨˩
他車子開得太快	i˥˥tsʰia˥˥sai˥˧sĩũ˥˥kin˥˧
他這人不做善事積陰德	i˥˥tsit˨e˨˦laŋ˨˦pʰãĩ˥˧tsik˨tik˨
他這個人很有趣	i˥˥laŋ˨˦u˧˧kau˨˩sim˥˥sik˨
他這樣的做事手法太過粗魯了	i˥˥tsit˨kʰuan˥˧tso˨˩huat˨tsʰiu˥˧lɔ˧˧sĩũ˥˥tsʰɔ˥˥laʔ˨
他這樣說	i˥˥an˥˧ne˥˥koŋ˥˧
他這次出國	i˥˥tsit˨kue˨˩tsʰut˨kok˨
他這麼認真練習	i˥˥tsiaʔ˨dzin˧˧tsin˥˥lian˧˧sip˦
他連一點機會都不給我	i˥˥lian˨˦tsit˦tiam˥˧a˥˧ki˥˥hue˧˧to˥˥m˥˥hɔ˧˧ɡua˥˧
他還是聽不進去	i˥˥ia˧˧si˧˧tʰĩã˥˥be˧˧dzip˦ni˥˧
他還要一個多月才會回來	i˥˥ai˨˩koʔ˨ɡueʔ˦ɡua˧˧dzit˦tsiaʔ˨e˧˧tńg1lai˨˦
他那個人不太可靠	i˥˥hit˨e˨˦laŋ˨˦bo˨˦sĩã˥˧kʰo˥˧kʰo˨˩
他那幅畫有沒有入選	i˥˥hit˨pak˨tɔ˨˦u˧˧dzip˦suan˥˧bo˨˦
他都要等到下半夜才睡得熟	i˥˥loŋ˥˧ai˨˩tan˥˧kaʔ˨e˧˧pũã˨˩me˨˦tsiaʔ˨kʰun˨˩e˧˧loʔ˨bin˨˦
他都跑在最前頭	i˥˥loŋ˥˧tsau˥˧tai˧˧siŋ˥˥
他長得很高大	i˥˥sẽ˥˥tso˨˩tsiok˨tua˧˧han˨˩
他長得真可愛	i˥˥sẽ˥˥tso˨˩tsin˥˥kɔ˥˧tsui˥˥
他離開很久了	i˥˥li˧˧kʰui˥˥tsin˥˥ku˥˧aʔ˨
他食量很小	i˥˥tsin˥˥sio˥˧kʰau˥˧
付錢	hu˨˩tsĩ˨˦
仙人打鼓也會有差錯	sian˥˥dzin˨˦pʰaʔ˨kɔ˥˧iu˥˧si˨˦tsʰo˨˩
仙女下凡	sian˥˥li˥˧ha˧˧huan˧˧
令堂	liŋ˧˧toŋ˨˦
令尊	liŋ˧˧tsun˥˥
以你的經驗來看	i˥˧li˥˧e˨˦kiŋ˥˥ɡiam˧˧lai˨˦kʰũã˨˩
以免欲速則不達	m˥˥tʰaŋ˥˥tsiaʔ˦kin˥˧loŋ˨˩pʰua˨˩ũã˥˧
以前人覺得生男孩子是福氣	kʰaʔ˨tsa˥˧e˨˦laŋ˨˦kam˥˧kak˨tsʰut˨tiŋ˥˥si˧˧hok˨kʰi˨˩
以前有很多山賊在這裡出沒	kʰaʔ˨tsa˥˧u˧˧tsin˥˥tse˧˧sũã˥˥tsʰat˦ti˧˧tsia˥˥tsʰut˨dzip˦
以後不得善終	au˧˧pai˥˧bo˨˦ho˥˧bue˥˧
以後我再告訴你	au˧˧pai˥˧ɡua˥˧tsiaʔ˨ka˧˧li˥˧koŋ˥˧
以後才不會不認帳	tsiaʔ˨be˧˧au˧˧dzit˦a˥˧m˥˥dzin˧˧siau˨˩
以後才有成就	dzit˦au˧˧tsiaʔ˨u˧˧tsʰut˨tʰuat˨
以過量餵養的方式，把豬隻的體型在短時間之內撐得更大，通常在即將販售或競賽之前進行	kiŋ˥˥tua˧˧ti˥˥
仲介者	tioŋ˥˥laŋ˨˦
但他認真努力	m˥˥koʔ˨i˥˥dzin˧˧tsin˥˥pʰaʔ˨pĩã˨˩
但是也有副作用	m˥˥koʔ˨ma˧˧u˧˧hu˨˩tsok˨ioŋ˧˧
位於苗栗縣內	koŋ˥˥kuan˥˧hioŋ˥˥
低音	ke˧˧im˥˥
住在深山裡的男性，又指老實的莊稼人	lai˧˧sũã˥˥hĩã˥˥ko˥˥
何況凡人？比喻誰能無過	kʰa˥˥pɔ˧˧taʔ˦tsʰa˥˥sĩã˥˧laŋ˨˦bo˨˦
你一個月賺多少錢	li˥˧tsit˦ɡueʔ˦dzit˦tʰan˨˩ɡua˧˧tse˧˧tsĩ˨˦
你不可以來我家	li˥˧be˧˧sai˥˧lai˨˦ɡuan˥˧tau˥˥
你不可以到處晃蕩	li˥˧m˥˥tʰaŋ˥˥si˨˩ke˨˩so˨˦
你不會寫的題目先打勾作記號	li˥˧be˧˧hiau˥˧sia˥˧e˨˦te˨˦bok˨to˧˧siŋ˥˥kau˥˥kʰi˥˧lai˨˦
你不用來了	li˥˧m˥˥bian˥˧lai˨˦aʔ˨
你不能中途就反悔不做	li˥˧be˧˧taŋ˨˩ti˧˧tioŋ˥˥tɔ˨˦huan˥˧hue˥˧m˥˥tso˨˩
你不要一天到晚四處亂跑	li˥˧m˥˥ho˥˧tsit˦dzit˦kau˨˩am˨˩pʰa˥˥pʰa˥˥tsau˥˧
你不要和他計較	li˥˧mai˨˩kaʔ˨i˥˥ke˨˩kau˨˩
你不要打得那麼用力	li˥˧m˥˥tʰaŋ˥˥ka˧˧pʰaʔ˨kaʔ˨hiaʔ˨ni˧˧a˥˧tua˧˧lat˦
你不要捉弄他了	li˥˧mai˨˩ka˧˧i˥˥tsʰoŋ˨˩ti˧˧laʔ˨
你不要放蕩過一生	li˥˧m˥˥tʰaŋ˥˥hoŋ˨˩toŋ˧˧kue˨˩it˨siŋ˥˥
你不要浪費精神了	li˥˧mai˨˩oŋ˥˧hui˨˩sim˥˥sin˨˦aʔ˨
你不要為難他	li˥˧mai˨˩ka˧˧i˥˥tiau˥˥kɔ˥˧toŋ˥˧
你不要落入圈套	li˥˧m˥˥tʰaŋ˥˥tioŋ˨˩ke˨˩
你不要跟他計較	li˥˧m˥˥tʰaŋ˥˥kaʔ˨i˥˥ke˨˩kau˨˩
你不要這麼三八	li˥˧m˥˥tʰaŋ˥˥hiaʔ˨pat˨tin˥˥
你不過是個學徒	li˥˧tsi˥˧put˨ko˨˩si˧˧tsit˦e˨˦pũã˨˩tʰaŋ˥˧sai˥˥a˥˧
你也不能亂來	li˥˧ma˧˧be˧˧iŋ˧˧tit˨ɔ˥˥peʔ˦lai˨˦
你以為裝得漠不關心就沒事了是嗎	li˥˧sĩũ˧˧koŋ˥˧kik˨ɡua˧˧ɡua˧˧to˧˧bo˨˦tai˧˧tsi˨˩aʔ˨si˧˧bo˨˦
你何時要搬入新家	li˥˧taŋ˥˥si˨˦beʔ˨dzip˦tsʰu˨˩
你們倆就別再爭吵了	lin˥˧to˧˧mai˨˩koʔ˨uan˥˥aʔ˨laʔ˨
你們這些年輕小伙子不要太衝動莽撞	lin˥˧tsia˥˥e˨˦siau˨˩lian˨˦ke˥˥m˥˥tʰaŋ˥˥sĩũ˥˥tsʰoŋ˥˧poŋ˧˧
你偏要	li˥˧kan˥˥kan˥˥a˥˧beʔ˨
你做事情不要猶豫不決	li˥˧tso˨˩tai˧˧tsi˨˩m˥˥tʰaŋ˥˥sam˥˥sim˥˥lioŋ˥˧i˨˩
你做得這麼辛苦還讓人嫌棄	li˥˧tso˨˩kaʔ˨hiaʔ˨sin˥˥kʰɔ˥˧koʔ˨hɔ˧˧laŋ˨˦hiam˨˦
你做這樣就可以了	li˥˧tso˨˩an˥˧ne˥˥to˧˧e˧˧sai˥˧aʔ˨
你先去吃一塊餅充飢	li˥˧siŋ˥˥kʰi˨˩tsiaʔ˦tsit˦te˨˩pĩã˥˧tsi˥˧iau˥˥
你先點菜	li˥˧siŋ˥˥kio˨˩tsʰai˨˩
你再怎麼說	li˥˧koʔ˨an˥˧tsũã˥˧koŋ˥˧
你出去之後	li˥˧tsʰut˨mŋ˥˥liau˥˧au˧˧
你出門在外	li˥˧tsʰut˨mŋ˥˥tsai˧˧ɡua˧˧
你出門的時候要記得帶雨衣	li˥˧tsʰut˨mŋ˥˥e˨˦si˨˦ai˨˩e˧˧ki˨˩tit˨tsaʔ˨hɔ˧˧mua˥˥
你別去釣魚	li˥˧m˥˥tʰaŋ˥˥kʰi˨˩tio˨˩hi˨˦
你別太晚回來	li˥˧m˥˥tʰaŋ˥˥sĩũ˥˥ũã˨˩tńg1lai˨˦
你別想騙他	li˥˧bian˥˧sĩũ˧˧beʔ˨kuai˥˧i˥˥
你別老說一些不三不四的話	li˥˧mai˨˩kian˨˩koŋ˥˧loŋ˥˧si˧˧tsit˦kua˥˧put˨tap˨put˨tsʰit˨e˨˦ue˧˧
你千萬不要再做壞事	li˥˧tsʰian˥˥ban˧˧m˥˥tʰaŋ˥˥koʔ˨kĩã˨˦pʰãĩ˥˧lɔ˧˧
你去叫他出來	li˥˧kʰi˨˩kio˨˩i˥˥tsʰut˨lai˨˦
你去問別人	li˥˧kʰi˨˩mŋ˥˥pat˦laŋ˨˦
你去將掉在床底下的東西勾出來	li˥˧kʰi˨˩ka˧˧ka˥˥lauʔ˦ti˧˧bin˨˦tsʰŋ˥˥kʰa˥˥e˨˦miʔ˦kĩã˧˧kau˥˥tsʰut˨lai˨˦
你去幫我買一個裝酒的小容器	li˥˧kʰi˨˩ka˧˧ɡua˥˧be˥˧tsit˦e˨˦tsiu˥˧tau˥˧a˥˧
你去看是誰	li˥˧kʰi˨˩kʰũã˨˩si˧˧sĩã˥˧miʔ˨laŋ˨˦
你去買一些零食來吃吃	li˥˧kʰi˨˩be˥˧tsit˦kua˥˧si˨˩siu˨˩a˥˧lai˨˦tam˧˧sam˥˧tsit˦e˧˧
你叫什麼名字	li˥˧kio˨˩sĩã˥˧miʔ˨mia˨˦
你吃飽了沒有	li˥˧tsiaʔ˦pa˥˧bue˧˧
你問我的事我都不知道	li˥˧mŋ˥˥ɡua˥˧e˨˦tai˧˧tsi˨˩ɡua˥˧loŋ˥˧m˥˥tsai˥˥
你四周去找找看	li˥˧kʰi˨˩si˨˩kʰɔ˥˥lian˨˩tńg1tsʰue˧˧kʰũã˨˩mai˧˧
你多少吃一點	li˥˧ai˨˩ke˥˥kiam˥˧tsiaʔ˦tsit˦kua˥˧
你太主動啦	li˥˧sĩũ˥˥kue˨˩tsu˥˧toŋ˧˧laʔ˨
你如果安靜不出聲	li˥˧na˧˧tiam˧˧tiam˧˧mai˨˩tsʰut˨sĩã˥˥
你如果想要做衣服	li˥˧na˧˧beʔ˨tso˨˩sã˥˥
你如果把錢借給我	li˥˧na˧˧ka˧˧tsĩ˨˦tsioʔ˨ɡua˥˧
你如果有何不測	li˥˧na˧˧si˧˧u˧˧sĩã˥˧miʔ˨sã˥˥tŋ˥˥nŋ˥˥te˥˧
你如果有心要做	li˥˧na˧˧si˧˧u˧˧sim˥˥beʔ˨tso˨˩
你如果有需要什麼	li˥˧na˧˧kʰiam˨˩kʰueʔ˨sĩãʔ˨
你如果要買房子	i˥˥teʔ˨tso˨˩tioŋ˥˥laŋ˨˦
你媳婦人人稱讚	lin˥˧sin˥˥pu˧˧laŋ˨˦laŋ˨˦o˥˥lo˥˧
你對這件事情有什麼看法	li˥˧tui˨˩tsit˨kĩã˧˧tai˧˧tsi˨˩u˧˧sĩã˥˧miʔ˨tsu˥˧tĩũ˥˥
你就安心去做	li˥˧to˧˧hoŋ˨˩sim˥˥kʰi˨˩tso˨˩
你就快點走	li˥˧to˧˧kin˥˧tsau˥˧
你就想休息	li˥˧to˧˧sĩũ˧˧beʔ˨hioʔ˨kʰun˨˩
你就找別人嘛	li˥˧to˧˧tsʰue˧˧pat˦laŋ˨˦maʔ˨
你工作要好好地做	li˥˧kʰaŋ˥˥kʰue˨˩tioʔ˨ai˨˩ho˥˧ho˥˧a˥˧tso˨˩
你帶頭	li˥˧tso˨˩tai˧˧siŋ˥˥
你幾公分高呢	li˥˧u˧˧kui˥˧koŋ˥˥hun˥˥kuan˨˦
你幾點要出門	li˥˧kui˥˧tiam˥˧beʔ˨tsʰut˨mŋ˥˥
你弟弟今年幾歲了	lin˥˧sio˥˧ti˧˧kin˥˥ni˨˦kui˥˧hue˨˩aʔ˨
你往這個方向直走就到了	li˥˧tui˨˩tsit˨e˨˦hoŋ˥˥hioŋ˨˩tit˦tit˦kĩã˨˦to˧˧kau˨˩aʔ˨
你很明顯地是在騙我	li˥˧hun˥˥biŋ˨˦si˧˧teʔ˨pʰian˨˩ɡua˥˧
你得收下	li˥˧to˧˧siu˥˥kʰi˥˧lai˨˦
你心裡在想什麼我清楚得很	li˥˧sim˥˥kũã˥˥teʔ˨sĩũ˧˧sĩã˥˧miʔ˨ɡua˥˧tsai˥˥tsai˥˥
你怎麼可以拿趕牛鞭打小孩呢	li˥˧na˥˧e˧˧sai˥˧ɡiaʔ˦ɡu˨˦sut˨a˥˧teʔ˨sut˨ɡin˥˧a˥˧
你怎麼白天就在睡覺	li˥˧na˥˧e˧˧dzit˦si˨˦a˥˧to˧˧teʔ˨kʰun˨˩
你想要定我的罪	li˥˧sĩũ˧˧beʔ˨pʰũã˨˩ɡua˥˧e˨˦tsue˧˧
你應該開朗大方一點	li˥˧tioʔ˨kʰaʔ˨tua˧˧lɔ˧˧leʔ˨
你才五十歲而已	li˥˧tã˥˥a˥˧ɡɔ˧˧tsap˦hue˨˩nia˧˧nia˧˧
