-аж	ˈɑɹd
грудень	grˈudin
грудзинский	grudʑˈinskij
груди	grˈudɪ
грудились	grˈudiɭis
грудина	grudˈina
грудине	grudˈini
грудинина	grudˈinina
грудинка	grudinko
грудинка	grudˈinka
грудинки	grudˈinkɪ
грудинкой	grudˈinkʌj
грудинку	grudˈinku
грудино-ключично-сосцевидной	grudˈinʌkɭuˌtʃˈitʃnʌsʌstsyvˈidnʌj
грудиной	grudˈinʌj
грудину	grudˈinu
грудины	grudˈiny
грудка	grˈudka
грудками	grudkˈɑmɪ
грудках	grˈudkʌx
грудке	grˈutki
грудки	grutkʲi
грудки	grˈutkɪ
грудки	gɾˈutkɪ
грудков	grutkɔf
грудкова	grutkɔva
грудкой	grˈudkʌj
грудкою	grudkˈoju
грудку	grˈudku
грудн	grˈudŋ
грудная	grudnaje
грудная	grudnˈɑja
грудник	krutnʲik
грудника	grudnʲika
грудника.	grudnʲika
грудница	grudnʲitsa
груднички	grudnʲitʂkʲi
грудного	grudnˈovʌ
грудное	grudnˈojɪ
грудной	grudnoj
грудной	grudnˈoj
грудном	grudnˈom
грудному	grudnomu
грудному	grudnɔmu
грудному	grudnˈomu
грудную	grudnˈuju
грудные	grudnˈyjɪ
грудным	grudnˈym
грудными	grudnˈymɪ
грудных	grudnɨx
грудных	grudnˈyx
грудня	grˈudnʌ
грудобрюшной	grudʌbrˈuˌʃnʌj
грудой	grudɒj
грудой	grˈudʌj
грудок	grudak
грудок	grˈudʌk
грудочка	grudˈotʃka
грудочки	grudˈotʃkɪ
грудочку	grudˈotʃku
грудою	grudˈoju
груду	grˈudu
грудцы	grˈudtsy
груды	grudɨ
груды	grˈudy
грудь	grut
грудь	grˈut
грудь	grˈuts
грудь-то	grˈuttˈo
грудьми	grˈudmɪ
грудью	grˈudjju
грудям	grudˈɑm
грудям	gruzʲam
грудями	grudzjami
грудями	grudˈɑmɪ
грудях	grudˈjax
грудях	grˈudʌx
груец	gruʲets
груженая	gruʒˈɛnʌja
груженная	grˈuʒynnʌja
груженного	gruʒˈɛnnʌvʌ
груженное	grˈuʒynnʌjɪ
груженной	gruʒˈɛnnʌj
груженную	gruʒˈɛnnuju
груженные	gruʒˈɛnnyjɪ
груженный	gruʒˈɛnnyj
груженным	gruʒˈɛnnym
груженными	gruʒˈɛnnymɪ
груженных	grˈuʒynnyx
груженого	gruʒˈɛnʌvʌ
груженой	gruʒˈɛnʌj
груженую	gruʒˈɛnuju
гружеными	gruʒˈɛnymɪ
груженых	gruʒˈɛnyx
гружу	gruʐu
гружёные	gruʒˈonyjɪ
гружёный	gruʒˈonyj
груз	grˈus
груза	grˈuza
грузам	grˈuzʌm
грузами	grˈuzʌmɪ
грузах	grˈuzʌx
грузберга	gruzbˈerga
груздев	gruzˈdˈev
груздев	grˈuʑdiv
груздева	grˈuʑdiva
груздеву	gruʑdˈevu
груздевым	gruʑdˈevym
груздей	grˈuʑdij
грузди	grˈuʑdɪ
грузди	gʌrˈuzdi
груздок	gruzdʊk
груздочки	gruzdˈotʃkɪ
груздь	grˈust
груздь	grˈuʑt
груздя	gruʑdˈɑ
груздями	gruʑdˈɑmɪ
груздём	gruʑdˈɵm
грузе	grˈuʑi
грузен	grˈuʑiŋ
грузи	gruʑˈi
грузией	gruʑˈijij
грузии	gruʒiː
грузии	grˈuʑiɪ
грузик	gruʑˈik
грузиком	gruʑˈikʌm
грузил	gruziu
грузил	gruʑˈiɭ
грузила	gruziɫa
грузила	gruʑˈiɭa
грузилами	gruʑˈiɭʌmɪ
грузилась	gruʑˈiɭʌs
грузили	gruʑˈiɭɪ
грузились	gruʑˈiɭis
грузило	gruʑˈiɭʌ
грузилом	gruʑˈiɭʌm
грузился	gruʑˈiɭsʌ
грузим	grˈuʑim
грузимся	grˈuʑimsʌ
грузимый	gruzʲimɨj
грузин	gruzˈin
грузин	gruʑˈiŋ
грузин	gɾuzˈin
грузина	gruʑˈina
грузинам	gruʑˈinʌm
грузинами	gruʑˈinʌmɪ
грузинах	gruzʲinax
грузинах	gruʑˈinʌx
грузине	gruʑˈini
грузинизация	gruzinʲizatsɨja
грузинка	gruzˈinkɑ
грузинка	gruzˈinkʌ
грузинка	gruʑˈinka
грузинки	gruʑˈinkɪ
грузинов	gruʑˈinʌv
грузиновъ	gruʑˈinʌv
грузинок	gruʑˈinʌk
грузином	gruʑˈinʌm
грузинская	gruʑˈinskʌja
грузинские	gruʑˈinskijɪ
грузинский	gruzʲinskʲi
грузинский	gruzʲinskʲij
грузинский	gruʑˈinskij
грузинским	gruʑˈinskim
грузинскими	gruʑˈinskimɪ
грузинских	gruzʲinskʲix
грузинских	gruʑˈinskix
грузинского	gruzʲinskavo
грузинского	gruʑˈinskʌvʌ
грузинское	gruʑˈinskʌjɪ
грузинской	gruzinskaj
грузинской	gruʑˈinskʌj
грузинском	gruʑˈinskʌm
грузинскому	gruʑˈinskʌmu
грузинскую	gruʑˈinskuju
грузину	gruʑˈinu
грузины	gruzʲinɨ
грузины	gruʑˈiny
грузины	gruˈzɪny
грузит	grˈuʑit
грузите	gruʑˈiti
грузитесь	gruʑˈitis
грузится	grˈuʑitsʌ
грузить	gruzˈit
грузить	gruʑˈit
грузиться	gruzʲitsːa
грузиться	gruʑˈitsʌ
грузиться	kruzʲitsːa
грузишь	grˈuʑiʒ
грузию	grˈuʑiju
грузия	gruzi
грузия	grˈuʑija
грузли	grˈuzɭɪ
грузная	grˈuznʌja
грузнее	gruznˈeja
грузнее	gruʑnˈejɪ
грузно	gruzna
грузно	grˈuznʌ
грузноватый	gruznʌvˈɑtyj
грузного	grˈuznʌvʌ
грузное	grˈuznʌjɪ
грузной	grˈuznʌj
грузном	grˈuznʌm
грузному	gruznˈomu
грузности	gruznˈostɪ
грузность	gruznˈost
грузность	grˈuznʌst
грузнуть	gruznˈut
грузную	grˈuznuju
грузные	grˈuznyjɪ
грузный	grˈuznyj
грузным	grˈuznym
грузными	grˈuznymɪ
грузных	grˈuznyx
грузо-подъёмных	grˈuzʌpʌdjˈɵmnyx
грузов	grˈuzʌv
грузовая	gruzʌvˈɑja
грузовик	gruzavik
грузовик	gruzʌvˈik
грузовика	gruzovʲiko
грузовика	gruzʌvikˈɑ
грузовикам	gruzʌvikˈɑm
грузовиками	gruzovikami
грузовиками	gruzʌvikˈɑmɪ
грузовиках	gruzavʲikax
грузовиках	gruzʌvikˈɑx
грузовике	gruzʌvikˈe
грузовики	gruzʌvikˈi
грузовиков	gruzavˈikʌf
грузовиков	gruzʌvikˈov
грузовиком	gruzʌvikˈom
грузовику	gruzovʲiku
грузовику	gruzʌvikˈu
грузовичка	gruzʌvitʃkˈɑ
грузовичке	gruzʌvitʃkˈe
грузовички	gruzɔvitʃkʲi
грузовички	gruzʌvitʃkˈi
грузовичком	gruzʌvitʃkˈom
грузовичку	gruzʌvitʃkˈu
грузовичок	gruzɔvitʃok
грузовичок	gruzɨvitʃok
грузовичок	gruzʌvitʃˈok
грузовище	gruzˈoviɕi
грузовладелец	gruzovɭʌdˈeɭits
грузового	gruzovova
грузового	gruzʌvˈovʌ
грузовое	gruzʌvˈojɪ
грузовоз	gruzʌvˈos
грузовоза	gruzʌvˈoza
грузовозов	gruzʌvˈozʌv
грузовозы	gruzˈovʌzy
грузовой	gruzavˈoj
грузовой	gruzʌvˈoj
грузовом	gruzʌvˈom
грузовому	gruzʌvˈomu
грузовую	gruzʌvˈuju
грузовые	gruzʌvˈyjɪ
грузовым	gruzʌvˈym
грузовыми	gruzʌvˈymɪ
грузовых	gruzʌvˈyx
грузом	gruzam
грузом	grˈuzʌm
грузония	gruzoˈnija
грузооборот	grˈuzaʌbʌrˈot
грузоотправители	gruzʌʌtprˈɑvitiɭɪ
грузопассажирский	gruzʌpʌssaʒˈyrskij
грузопереработка	gruzapʲerʲirabotka
грузоподъемностью	gruzʌpʌdjjˈemnʌstjju
грузоподъёмности	gruzʌpʌdjˈɵmnʌstɪ
грузоподъёмность	gruzʌpʌdjˈɵmnʌst
грузополучатель	grˈuzapʌɭutʃˈɑtiɭ
грузополучателя	gruzʌpʌɭutʃˈɑtiɭʌ
грузу	gruzum
грузу	grˈuzu
грузчик	grussʲik
грузчик	grˈuɕik
грузчика	grˈuɕika
грузчикам	grˈuɕikʌm
грузчиками	grˈuɕikʌmɪ
грузчиками	grˈuˌɕikʌmɪ
грузчики	gruʂtʃˈikɪ
грузчики	grˈuɕikɪ
грузчиков	grˈuɕikʌv
грузчиком	grˈuɕikʌm
грузчику	grˈuɕiku
грузчица	gruʃitsa
грузы	grˈuzy
грузят	gruːzʲat
грузят	grˈuʑʌt
грузятся	grˈuʑʌtsʌ
грум	grˈum
грум	grˈumb
грум-гржимайло	grˈumgrʒymˈɑjɭʌ
грума	grˈuma
грумант	grumˈɑnt
груманта	grumˈɑnta
груманте	grumˈɑnti
грумдруки	grumdrˈukɪ
грумдруков	grumdrˈukʌv
груме	grˈumi
грумером	grumirɨm
грумз	grˈums
грумио	grumˈiʌ
грумм	grˈumm
грумм-гржимайло	grˈummgrʒymˈɑjɭʌ
грумман	grˈummʌŋ
грумов	grˈumʌv
грумом	grˈumʌm
груму	grˈumu
грумы	grˈumy
грун	grˈuŋ
грунау	grunau̯
грундвиг	grundvˈik
грундвига	grundvˈiga
груне	grˈuni
груневальду	grunˈevʌɭdu
груней	grˈunij
грунер	grˈunir
груни	grˈunɪ
грунин	grˈuniŋ
грунина	grunˈina
груниной	grunˈinʌj
грунт	grˈunt
грунт	runt
грунта	grˈunta
грунтах	grˈuntʌx
грунте	grˈunti
грунти	grˈuntɪ
грунтлак	gruntɫak
грунтов	gruntˈov
грунтовали	gruntovalʲi
грунтоваться	gruntʌvˈɑtsʌ
грунтовая	gruntʌvˈɑja
грунтовка	gruntˈofka
грунтовке	gruntˈofki
грунтовки	gruntˈofkɪ
грунтовку	gruntˈofku
грунтовой	gruntʌvˈoj
грунтовую	gruntˈovuju
грунтовщик	grˈundʌvʃˈik
грунтовые	gruntˈovyjɪ
грунтовый	gruˌntʌvˈyj
грунтовым	gruntˈovym
грунтовыми	gruntˈovymɪ
грунтовых	gruntʌvˈyx
грунтом	grˈuntʌm
грунтонос	gruntˈanˈos
грунторез	grunːtariz
грунту	grˈuntu
грунты	gruntˈy
грунь	grˈun
грунька	grˈunka
груню	grˈunuˌ
груня	grˈunʌ
груняхин	grunˈɑxiŋ
груп	grˈup
група	grˈupa
групами	grupˈɑmɪ
групата	grupˈɑta
групи	grˈupɪ
групком	grupkˈo
групою	grupˈoju
групп	grup
групп	grˈupp
группа	grupa
группа	grupːa
группа	gruːpa
группа	grˈuppa
группам	grupam
группам	grˈuppʌm
группами	grˈuppʌmɪ
группах	grupˈax
группах	grˈuppʌx
группе	grˈuppi
группенфюрер	gruppinfˈuˌrir
группенфюрера	gruppinfˈuˌrira
группенфюрером	gruppinfˈuˌrirʌm
группенфюреру	gruppinfˈuˌriru
группировавшихся	gruppirˈovʌfʃyxsʌ
группировал	gruppirˈovʌɭ
группировалась	gruppirˈovʌɭʌs
группировались	gruppirˈovʌɭis
группировалось	gruppirʌvˈɑɭʌs
группирование	gruppirʌvˈɑnijɪ
группировать	gruppirʌvˈɑt
группироваться	gruppirʌvˈɑtsʌ
группировка	gruppirˈofka
группировка	gruˌpirʌvka
группировкам	gruppirˈofkʌm
группировками	gruppirˈofkʌmɪ
группировках	gruppirˈofkʌx
группировке	gruppirˈofki
группировки	gruppirˈofkɪ
группировки	gruˌpirʌvki
группировкой	gruppirˈofkʌj
группировку	gruppirˈofku
группировок	gruppirˈovʌk
группирует	gruppirˈujit
группируется	gruppirˈujitsʌ
группируются	gruppirˈujutsʌ
группируя	gruppˈiruja
группируясь	gruppirˈujas
группка	grupka
группка	grˈuppka
группками	grˈuppkʌmɪ
группке	grˈuppki
группки	grupkʲi
группки	grˈuppkɪ
группкой	grˈuppkʌj
группку	grˈuppku
групповая	gruppʌvˈɑja
групповичок	gruppovitʃok
группового	gruppʌvˈovʌ
групповое	gruppʌvˈojɪ
групповой	gruppʌvˈoj
групповой	grupʌvˈoj
групповом	gruppʌvˈom
групповому	gruppʌvˈomu
групповуха	gruppovuxa
групповухе	grubpavuxʲe
групповую	gruppʌvˈuju
групповую	grupˈpˈovuju
групповые	gruppʌvˈyjɪ
групповым	gruppʌvˈym
групповыми	gruppʌvˈymɪ
групповых	gruppʌvˈyx
группой	grupʌj
группой	grˈuppʌj
группок	gruppˈok
группою	gruppˈoju
группу	grupu
группу	grˈuppu
группы	grˈuppy
групу	grˈupu
грус	grˈus
груст	grˈust
грустен	grˈustiŋ
грусти	grusʲtsʲi
грусти	grˈustɪ
грустил	grustˈiɭ
грустил	grusʲtsʲiu̯
грустила	grustˈiɭa
грустили	grustzʲiɫʲi
грустили	grustˈiɭɪ
грустилин	grustˈiɭiŋ
грустилиной	grustiɭˈinʌj
грустило	grustˈiɭa
грустилов	grustˈiɭʌv
грустим	grustˈim
грустим	grusʲtsʲim
грустинкой	grustˈinkʌj
грустит	grustˈit
грустите	grustˈiti
грустить	grustˈit
грустишь	grustˈiʒ
грустию	grustˈiju
грустия	grustja
грустна	grustnˈɑ
грустная	grusnaja
грустная	grˈusnʌja
грустная	grˈustnʌja
грустнее	grustnˈejɪ
грустней	grˈustnij
грустно	grˈustnʌ
грустно-грустно	grˈustnʌgrˈustnʌ
грустно-сантиментальный	grˈustnʌsʌntimˈentʌɭnyj
грустновато	grustnˈovʌtʌ
грустного	grˈustnʌvʌ
грустное	grˈustnʌjɪ
грустной	grˈustnʌj
грустном	grˈustnʌm
грустному	grustnˈomu
грустною	grustnˈoju
грустную	grˈustnuju
грустны	grustnˈy
грустные	grˈustnyjɪ
грустный	grˈustnyj
грустным	grˈustnym
грустными	grˈustnymɪ
грустных	grˈustnyx
грусть	grˈust
грустью	grˈustjju
грустью	grˈusʲtsʲjju
грустя	grustsʲa
грустя	grustˈɑ
грустят	grustˈɑt
грустящий	grˈuˌstjaɕˈj
грут	grˈut
груч	grˈudʒ
груш	grˈuʒ
груша	gruʂa
груша	grˈuʃa
грушам	gruʂam
грушами	grˈuʃʌmɪ
грушах	grˈuʃʌx
груше	gruʃɛ
груше	grˈuʃy
грушевидная	gruʃyvˈidnʌja
грушевидной	gruʃyvˈidnʌj
грушевидную	gruʃyvˈidnuju
грушевидные	gruʃyvˈidnyjɪ
грушевидный	gruʃyvˈidnyj
грушевидный	grˈuʃyvˈidny
грушевидный	grˈuʃyvˈidnʌj
грушевич	gruʃyvˈidʒ
грушевого	grˈuʃyvʌvʌ
грушевое	grˈuʃyvʌjɪ
грушевой	gruʃˈɛvʌj
грушевский	gruʃˈɛfskij
грушевского	grˈuʃyfskʌvʌ
грушевые	gruʃˈɛvyjɪ
грушевый	grˈuʃeɭyj
грушевый	grˈuʃyvyj
грушевым	gruʃˈɛvym
грушевых	gruʃˈɛvyx
грушей	grusɛj
грушей	grˈuʃyj
грушенька	grˈuʃinkʌ
грушенька	grˈuʃynka
грушеньке	grˈuʃynki
грушеньки	gruʃˈɛnkɪ
грушеньку	grˈuʃynku
грушею	grˈuʃyju
груши	gruːʃɪ
груши	grˈuʃɪ
грушин	grˈuʃyŋ
грушина	grˈuʃyna
грушиной	grˈuʃynʌj
грушинский	grˈuʃynskij
грушинского	grˈuʃynskʌvʌ
грушинском	grˈuʃynskʌm
грушка	gruʂka
грушка	grˈuʃka
грушкавец	gruʃkavˈets
грушкавца	gruʃkˈɑftsa
грушки	grˈuʃkɪ
грушко	gruʃkˈo
грушницкий	gruʃnˈitskij
грушницким	gruʃnˈitskim
грушницкого	gruʃnˈitskʌvʌ
грушницком	gruʃnˈitskʌm
грушницкому	gruʃnˈitskʌmu
грушовка	gruʂofka
грушок	gruʃˈok
грушу	grˈuʃu
грущу	gruɕˈu
груэр	grˈuɛr
груэра	gruˈɛra
грши	grʃˈi
гръб	gˌɛˌɛrtvˈɵrdyjznˌɑkbˈɛ
грыб	grˈyp
грыж	grˈyʒ
грыжа	grˈyʒa
грыжах	grɨʒax
грыжах	grˈyʒʌx
грыже	grˈyʒy
грыжевого	gryʒˈɛvʌvʌ
грыжевое	gryʒyvˈojɪ
грыжевой	gryʒyvˈoj
грыжевом	gryʒˈɛvʌm
грыжевые	gryʒˈɛvyjɪ
грыжевых	gryʒˈɛvyx
грыжей	grˈyʒyj
грыжи	grˈyʒɪ
грыжу	grˈyʒu
грыз	grˈys
грызем	grˈyʑim
грызете	gryʑˈeti
грызи	gryʑˈi
грызите	gryʑˈiti
грызла	grˈyzɭa
грызлась	grˈyzɭʌs
грызли	grˈyzɭɪ
грызлись	grˈyzɭis
грызло	grˈyzɭʌ
грызлов	grˈyzɭʌv
грызлова	gryzɭˈova
грызне	gryʑnˈe
грызней	gryʑnˈej
грызни	gryʑnˈi
грызню	gryʑnˈuˌ
грызня	gryʑnˈɑ
грызся	grˈyssʌ
грызть	grˈyst
грызться	grˈystsʌ
грызу	grˈyzu
грызун	gryzˈuŋ
грызуна	gryzunˈɑ
грызуна	grɨzuna
грызунам	gryzunˈɑm
грызунами	gryzunˈɑmɪ
грызунов	gryzunˈov
грызуны	gryzunˈy
грызут	gryzˈut
грызутся	gryzˈutsʌ
грызущая	gryzˈuɕʌja
грызущего	gryzˈuɕivʌ
грызущее	gryzˈuɕijɪ
грызущей	gryzˈuɕij
грызущие	gryzˈuɕijɪ
грызущий	gryzˈuɕij
грызущим	gryzˈuɕim
грызущих	gryzˈuɕix
грызущихся	gryzˈuɕixsʌ
грызущую	gryzˈuɕuju
грызь	grˈyʑ
грызя	gryʑˈɑ
грызёт	gryʑˈɵt
грызёт	krizʲot
грызёшь	gryʑˈɵʒ
грымза	grɨmza
грымза	grˈymza
грымзин	grˈymʑiŋ
грымзина	grymʑˈina
грымзину	grymʑˈinu
грымзу	grˈymzu
грымзы	grˈymzy
грымов	grˈymʌv
грышнак	gryʃnˈɑk
грэвз	grˈɛvs
грэвитер	grɛvˈitir
грэг	grˈɛk
грэга	grˈɛga
грэгг	grˈɛgk
грэгом	grˈɛgʌm
грэгори	grɛgˈorɪ
грэгу	grˈɛgu
грэд	grˈɛt
грэдграйнд	grɛdgrˈɑjnt
грэдграйнда	grɛdgrˈɑjnda
грэди	grˈɛdɪ
грэдмен	grˈɛdmiŋ
грэем	grˈɛjim
грэй	grˈɛj
грэйб	grˈɛjp
грэйба	grˈɛjba
грэйвз	grˈɛjvs
грэйвза	grˈɛjvza
грэйвзом	grˈɛjvzʌm
грэйвзу	grˈɛjvzu
грэйди	grˈɛjdɪ
грэйл	grˈɛjɭ
грэйс	grˈɛjs
грэйхеллок	grɛjxiɭɭˈok
грэйхеллоке	grɛjxˈeɭɭʌki
грэйэн	grˈɛjɛŋ
грэм	grˈɛm
грэма	grˈɛma
грэмерскул	grɛmˈerskuɭ
грэмом	grˈɛmʌm
грэмп	grˈɛmp
грэмпи	grˈɛmpɪ
грэмпс	grˈɛmps
грэму	grˈɛmu
грэн	grˈɛŋ
грэна	grˈɛna
грэнберри	grɛnbˈerrɪ
грэнвил	grˈɛnviɭ
грэнд	grˈɛnt
грэнд-бульвар	grˈɛntbuɭvˈɑr
грэнд-кэньон	grˈɛntkˈɛnʌŋ
грэнд-кэньона	grˈɛntkɛnˈona
грэнд-кэньоне	grˈɛntkɛnˈoni
грэнд-сити	grˈɛntsˈitɪ
грэнджер	grˈɛndʒyr
грэнди	grˈɛndɪ
грэндкэньон	grɛndkˈɛnʌŋ
грэнжер	grˈɛnʒyr
грэну	grˈɛnu
грэс	grˈɛs
грэсовский	grɛsʌvˈsˈkix
грэтиана	grɛtˈiʌna
грэтли	grˈɛtɭɪ
грэу	grˈɛu
грэф	grˈɛv
грэфа	grˈɛfa
грэхем	grˈɛxim
грэхема	grɛxˈema
грэхемом	grɛxˈemʌm
грэхему	grɛxˈemu
грэхэм	grˈɛxɛm
грэхэма	grɛxˈɛma
грэхэмс	grˈɛxɛms
грэхэму	grɛxˈɛmu
грэшем	grˈɛʃym
грэю	grˈɛju
грэя	grˈɛja
грю	grˈuˌ
грюбер	grˈuˌbir
грюджиус	gruˌdʒˈyus
грюджиуса	gruˌdʒˈyusa
грюйер	grʲujʲer
грюйтер	grˈuˌjtir
грюк	grˈuˌk
грюкнув	grˈuˌknuv
грюкнувши	gruˌknˈufʃɪ
грюкнули	gruˌknˈuɭɪ
грюкотом	gruˌkˈotʌm
грюн	grˈuˌŋ
грюна	grˈuˌna
грюнвальд	grˈuˌnvʌɭt
грюнвальда	grˈuˌnvʌɭda
грюнвальде	grˈuˌnvʌɭdi
грюнвальдом	gruˌnvˈɑɭdʌm
грюнвальдской	grˈuˌnvʌɭdskʌj
грюндер	grˈuˌndir
грюндера	gruˌndˈera
грюндиг	gruˌndˈik
грюндих	grˈuˌndix
грюнлих	grˈuˌnɭix
грюнлиха	gruˌnɭˈixa
грюнштейн	grˈuˌnʃtijŋ
гря	grˈɑ
гряд	grˈɑt
гряда	gradˈɑ
грядам	gradˈɑm
грядами	gradˈɑmɪ
грядах	gradˈɑx
гряде	gradˈe
грядеши	gradˈeʃɪ
гряди	gradˈi
грядка	grˈɑdka
грядка	gɭˈɑtka
грядкам	grˈɑdkʌm
грядками	grˈɑdkʌmɪ
грядках	grˈɑdkʌx
грядке	grˈɑtki
грядки	grˈɑtkɪ
грядковый	grˈɛdkʌvyj
грядкой	grˈɑdkʌj
грядку	grˈɑdku
грядой	gradˈoj
грядок	grˈɑdʌk
грядочка	grʲadotʂka
грядочный	grˈɑdʌtʃnˈj
грядою	gradˈoju
гряду	gradˈu
грядут	gradˈut
грядушка	grʲidːˈuʃka
грядущая	gradˈuɕʌja
грядущего	gradˈuɕivʌ
грядущее	gradˈuɕijɪ
грядущее	grˈiduɕijɪ
грядущей	gradˈuɕij
грядущем	gradˈuɕim
грядущем	grʌduˈɕim
грядущем	grˈeduɕim
грядущему	gradˈuɕimu
грядущие	gradˈuɕijɪ
грядущие	gridˈuɕijɪ
грядущий	gradˈuɕij
грядущий	grˈiduɕij
грядущим	gradˈuɕim
грядущими	gradˈuɕimɪ
грядущих	gradˈuɕix
грядущих	grˈeduɕix
грядущую	gradˈuɕuju
гряды	gradˈy
грядый	grˈɑdyj
грядёт	gradˈɵt
гряжское	graʃskˈojɪ
гряжскому	graʃskˈomu
гряз	grˈɑs
грязев	gɾaʒif
грязевая	grʌʑivˈɑja
грязевик	grɛzʲevʲik
грязевого	graʑˈevʌvʌ
грязевой	grɨzivˈoj
грязевой	grʌʑivˈoj
грязевую	grˈɑʑivuju
грязевые	graʑˈevyjɪ
грязевый	graʑˈevyj
грязевым	graʑˈevym
грязевых	grˈɑʑivyx
грязей	grˈɑʑij
грязелечебница	grˈɑʑaɭitʃˈebnitsa
грязелечебный	grˈɑzijɪɭitʃˈebnyj
грязелечение	grʌzʌɭitʃˈenijɪ
грязен	grˈɑʑiŋ
грязеуловитель	grˈɑzijuɭʌvˈitiɭ
грязи	grˈɑʑɪ
грязи	gɾˈɑzɪ
грязища	graʑˈiɕʌ
грязище	graʑˈiɕi
грязищи	graʑˈiɕɪ
грязищу	graʑˈiɕu
грязна	graznˈɑ
грязна	grizna
грязная	grˈɑznʌja
грязнее	graʑnˈejɪ
грязней	graʑnˈej
грязнейший	graʑnˈejʃyj
грязненькая	grasnʲenʲkaja
грязнит	graʑnˈit
грязнить	graʑnˈit
грязниться	kriznʲitsːa
грязница	grˈjɑʑnitsa
грязно	grˈɑzna
грязно	grˈɑzny
грязно	grˈɑznʌ
грязно-белая	grˈɑznʌbˈeɭʌja
грязно-белого	grˈɑznʌbˈeɭʌvʌ
грязно-белой	grˈɑznʌbˈeɭʌj
грязно-белые	grˈɑznʌbˈeɭyjɪ
грязно-белый	grˈɑznʌbˈeɭyj
грязно-белым	grˈɑznʌbˈeɭym
грязно-белыми	grˈɑznʌbˈeɭymɪ
грязно-белых	grˈɑznʌbˈeɭyx
грязно-бурый	grˈɑznʌbˈuryj
грязно-голубой	grˈɑznʌgʌɭubˈoj
грязно-жёлтого	grˈɑznʌʒˈoɭtʌvʌ
грязно-жёлтой	grˈɑznʌʒˈoɭtʌj
грязно-жёлтые	grˈɑznʌʒˈoɭtyjɪ
грязно-жёлтый	grˈɑznʌʒˈoɭtyj
грязно-жёлтым	grˈɑznʌʒˈoɭtym
грязно-зелёного	grˈɑznʌʑiɭˈɵnʌvʌ
грязно-зелёной	grˈɑznʌʑiɭˈɵnʌj
грязно-зелёные	grˈɑznʌʑiɭˈɵnyjɪ
грязно-зелёный	grˈɑznʌʑiɭˈɵnyj
грязно-коричневое	grˈɑznʌkʌrˈitʃnivʌjɪ
грязно-коричневой	grˈɑznʌkʌrˈitʃnivʌj
грязно-серая	grˈɑznʌsˈerʌja
грязно-серого	grˈɑznʌsˈerʌvʌ
грязно-серое	grˈɑznʌsˈerʌjɪ
грязно-серой	grˈɑznʌsˈerʌj
грязно-серую	grˈɑznʌsˈeruju
грязно-серые	grˈɑznʌsˈeryjɪ
грязно-серый	grˈɑznʌsˈeryj
грязно-серым	grˈɑznʌsˈerym
грязно-серыми	grˈɑznʌsˈerymɪ
грязно-серых	grˈɑznʌsˈeryx
грязнов	graznˈov
грязнов	grɨznʌf
грязнова	graznˈova
грязноватая	grʌznʌvˈɑtʌja
грязновато	grʌznʌvˈɑtʌ
грязновато-желтою	grʌznʌvˈɑtʌʒˈɛɭtʌju
грязноватого	grʌznʌvˈɑtʌvʌ
грязноватое	grʌznʌvˈɑtʌjɪ
грязноватой	grʌznʌvˈɑtʌj
грязноватом	grʌznʌvˈɑtʌm
грязноватую	grʌznʌvˈɑtuju
грязноватые	grʌznʌvˈɑtyjɪ
грязноватый	grʌznʌvˈɑtyj
грязноватым	grʌznʌvˈɑtym
грязноватыми	grʌznʌvˈɑtymɪ
грязноватых	grʌznʌvˈɑtyx
грязного	grˈɑznʌvʌ
грязное	grˈɑznʌjɪ
грязножелтою	grʌznʌʒˈɛɭtʌju
грязной	grˈɑznyj
грязной	grˈɑznʌj
грязном	grˈɑznʌm
грязному	grˈɑznʌmu
грязною	grˈɑznʌju
грязнули	graznˈuɭɪ
грязнуля	graznˈuɭʌ
грязнуха	graznˈuxa
грязнушка	griznˈuʃka
грязную	grˈɑznuju
грязную	grˈɑznʌju
грязны	grˈɑzny
грязные	grˈɑznyjɪ
грязный	drˈɑznyj
грязный	grˈeznyj
грязный	grˈɑznyj
грязным	grˈɑznym
грязным	grˈɑznʌm
грязными	grˈɑznymɪ
грязных	grˈɑznyx
грязных-то	grˈɑznyxtˈo
грязнющая	graʑnˈuˌɕʌja
грязь	grˈɑs
грязь	grˈɑʑ
грязью	grˈɑʑjju
грязюка	graʑˈuˌka
грязюки	graʑˈuˌkɪ
грязюкою	graʑˈuˌkʌju
грязюку	graʑˈuˌku
грязюц	graʑˈuˌts
грянем	grˈɑnim
грянет	grˈɑnit
грянув	grˈɑnuv
грянувший	grˈɑnufʃyj
грянул	grˈɑnuɭ
грянула	grˈɑnuɭa
грянулась	granˈuɭʌs
грянули	grˈɑnuɭɪ
грянулись	granˈuɭis
грянуло	grˈɑnuɭʌ
грянулось	grˈɑnuɭʌs
грянулся	grˈɑnuɭsʌ
грянут	grˈɑnut
грянуть	grˈɑnut
грянуться	grˈɑnʌtsʌ
грянь	grˈɑn
грят	grˈɑt
грёб	grˈeb
грёб	grˈɵp
грёбаный	grˈɵbɪnˈyj
грёз	grˈɵs
грёз	gɭˈos
грёза	grʲozˈɑ
грёза	grˈɵza
грёзам	grˈɵzʌm
грёзами	grˈɵzʌmɪ
грёзах	grˈɵzʌx
грёзе	grˈɵʑi
грёзу	grˈɵzu
грёзы	grˈɵzy
грёзы	gɭˈɵzy
грёнтэм	grˈɵntɛm
гс	gˌɛˈɛs
