а	a
газобетон	ɡɐzobɛtɔn
гайда	ɡajdɐ
гайка	ɡajkɐ
гакам	ɡakɐm
гала	ɡaɫɐ
галата	ɡaɫɐtɐ
галата	ɡɐɫatɐ
галатка	ɡɐɫatkɐ
галба	ɡɐɫba
гален	ɡalɛn
галий	ɡalij
галица	ɡɐlitsɐ
галицизъм	ɡɐlitsizɐm
галун	ɡɐɫun
галфон	ɡɐɫfɔn
галфони	ɡɐɫfɔni
галя	ɡalʲɐ
гамаш	ɡɐmaʃ
гангстер	ɡaŋkstɛr
гара	ɡarɐ
гараж	ɡɐraʃ
гарант	ɡɐrant
гаранта	ɡɐrantɐ
гаранти	ɡɐranti
гаранции	ɡɐrantsii
гаранция	ɡɐrantsijɐ
гарван	ɡarvɐn
гарга	ɡarɡɐ
гарда	ɡardɐ
гардероб	ɡɐrdɛrɔp
гасна	ɡasnɐ
гаснал	ɡasnɐɫ
гаснат	ɡasnɐt
гасне	ɡasnɛ
гаснейки	ɡasnɛjki
гаснел	ɡasnɛɫ
гаснем	ɡasnɛm
гаснене	ɡasnɛnɛ
гаснете	ɡasnɛtɛ
гаснете	ɡɐsnɛtɛ
гаснех	ɡasnɛx
гаснеха	ɡasnɛxɐ
гаснехме	ɡasnɛxmɛ
гаснехте	ɡasnɛxtɛ
гаснеш	ɡasnɛʃ
гаснеше	ɡasnɛʃɛ
гаснещ	ɡasnɛʃt
гася	ɡɐsʲɤ̟
гащат	ɡɐʃtat
гащеризон	ɡɐʃtɛrizɔn
гащета	ɡɐʃtɛtɐ
гащи	ɡaʃti
гаяче	ɡɐja̟tʃɛ
гвардеец	ɡvɐrdɛɛts
гвардия	ɡvardijɐ
гвоздей	ɡvɔzdɛj
где	dɛ
гдето	dɛto
гей	ɡɛj
гемия	ɡɛmijɐ
генгерлик	ɡɛŋɡɛrlik
генерал	ɡɛnɛraɫ
генералисимус	ɡɛnɛrɐlisimos
гений	ɡɛnij
географ	ɡɛoɡraf
география	ɡɛoɡrafijɐ
географка	ɡɛoɡrafkɐ
географски	ɡɛoɡrafski
гепард	ɡɛpart
гепя	ɡɛpʲɐ
гербераст	ɡɛrbɛrast
гергеф	ɡɛrɡɛf
гергефа	ɡɛrɡɛfɐ
гергефи	ɡɛrɡɛfi
германец	ɡɛrmanɛts
германий	ɡɛrmanij
германка	ɡɛrmaŋkɐ
германски	ɡɛrmanski
германците	ɡɛrmantsitɛ
героиня	ɡɛroinʲɐ
герой	ɡɛrɔj
гета	ɡɛtɐ
ги	ɡi
гибам	ɡibɐm
гибел	ɡibɛɫ
гибелен	ɡibɛlɛn
гибък	ɡibɐk
гигалитър	ɡiɡɐlitɐr
гигаметър	ɡiɡɐmɛtɐr
гигант	ɡiɡant
гигантски	ɡiɡantski
гидия	ɡidijɐ
гидюха	ɡidʲu̟xɐ
гиздав	ɡizdɐf
гиздавец	ɡizdɐvɛts
гимназия	ɡimnazijɐ
гимнастика	ɡimnɐstikɐ
гина	ɡinɐ
гипсокартон	ɡipsokɐrtɔn
гира	ɡirɐ
глабам	ɡɫabɐm
глава	ɡɫɐva
главен	ɡɫavɛn
главоболие	ɡɫɐvobɔliɛ
главоного	ɡɫɐvonɔɡo
главоч	ɡɫɐvɔtʃ
глагол	ɡɫɐɡɔɫ
глаголе	ɡɫɐɡɔlɛ
глаголи	ɡɫɐɡɔli
глаголите	ɡɫɐɡɔlitɛ
глаголица	ɡɫɐɡɔlitsɐ
глад	ɡɫat
гладач	ɡɫɐdatʃ
гладен	ɡɫadɛn
гладък	ɡɫadɐk
гладя	ɡɫadʲɐ
гламав	ɡɫamɐf
гларус	ɡɫaros
глас	ɡɫas
гласува	ɡɫɐsova
гласува	ɡɫɐsuvɐ
гласувай	ɡɫɐsuvɐj
гласувайки	ɡɫɐsuvɐjki
гласувайте	ɡɫɐsuvɐjtɛ
гласувал	ɡɫɐsovaɫ
гласувал	ɡɫɐsuvɐɫ
гласувала	ɡɫɐsovaɫɐ
гласувала	ɡɫɐsuvɐɫɐ
гласувалата	ɡɫɐsovaɫɐtɐ
гласувалата	ɡɫɐsuvɐɫɐtɐ
гласували	ɡɫɐsovali
гласували	ɡɫɐsuvɐli
гласувалите	ɡɫɐsovalitɛ
гласувалите	ɡɫɐsuvɐlitɛ
гласувалия	ɡɫɐsovalijɐ
гласувалия	ɡɫɐsuvɐlijɐ
гласувалият	ɡɫɐsovalijɐt
гласувалият	ɡɫɐsuvɐlijɐt
гласувало	ɡɫɐsovaɫo
гласувало	ɡɫɐsuvɐɫo
гласувалото	ɡɫɐsovaɫoto
гласувалото	ɡɫɐsuvɐɫoto
гласувам	ɡɫɐsuvɐm
гласуваме	ɡɫɐsuvɐmɛ
гласуван	ɡɫɐsuvɐn
гласувана	ɡɫɐsuvɐnɐ
гласуваната	ɡɫɐsuvɐnɐtɐ
гласуване	ɡɫɐsuvɐnɛ
гласуванета	ɡɫɐsuvɐnɛtɐ
гласуванетата	ɡɫɐsuvɐnɛtɐtɐ
гласуването	ɡɫɐsuvɐnɛto
гласувани	ɡɫɐsuvɐni
гласуваните	ɡɫɐsuvɐnitɛ
гласувания	ɡɫɐsuvɐnijɐ
гласуваният	ɡɫɐsuvɐnijɐt
гласуванията	ɡɫɐsuvɐnijɐtɐ
гласувано	ɡɫɐsuvɐno
гласуваното	ɡɫɐsuvɐnoto
гласуват	ɡɫɐsuvɐt
гласувате	ɡɫɐsuvɐtɛ
гласувах	ɡɫɐsovax
гласувах	ɡɫɐsuvɐx
гласуваха	ɡɫɐsovaxɐ
гласуваха	ɡɫɐsuvɐxɐ
гласувахме	ɡɫɐsovaxmɛ
гласувахме	ɡɫɐsuvɐxmɛ
гласувахте	ɡɫɐsovaxtɛ
гласувахте	ɡɫɐsuvɐxtɛ
гласуваш	ɡɫɐsuvɐʃ
гласуваше	ɡɫɐsuvɐʃɛ
гласуващ	ɡɫɐsuvɐʃt
гласуваща	ɡɫɐsuvɐʃtɐ
гласуващата	ɡɫɐsuvɐʃtɐtɐ
гласуващи	ɡɫɐsuvɐʃti
гласуващите	ɡɫɐsuvɐʃtitɛ
гласуващия	ɡɫɐsuvɐʃtijɐ
гласуващият	ɡɫɐsuvɐʃtijɐt
гласуващо	ɡɫɐsuvɐʃto
гласуващото	ɡɫɐsuvɐʃtoto
глася	ɡɫɐsʲɤ̟
глашатай	ɡɫɐʃɐtaj
гледам	ɡlɛdɐm
гледач	ɡlɛdatʃ
гледка	ɡlɛtkɐ
глезен	ɡlɛzɛn
глезла	ɡlɛzɫɐ
глезльо	ɡlɛzlʲo̟
глезя	ɡlɛzʲɐ
глен	ɡlɛn
глетав	ɡlɛtɐf
глеч	ɡlɛtʃ
глиб	ɡlip
глиган	ɡliɡan
глина	ɡlinɐ
глинест	ɡlinɛst
глист	ɡlist
глоба	ɡɫɔbɐ
глобели	ɡɫobɛli
глобен	ɡɫobɛn
глобена	ɡɫobɛnɐ
глобената	ɡɫobɛnɐtɐ
глобени	ɡɫobɛni
глобените	ɡɫobɛnitɛ
глобения	ɡɫobɛnijɐ
глобеният	ɡɫobɛnijɐt
глобено	ɡɫobɛno
глобеното	ɡɫobɛnoto
глобете	ɡɫobɛtɛ
глобеше	ɡɫobɛʃɛ
глоби	ɡɫobi
глобил	ɡɫobiɫ
глобила	ɡɫobiɫɐ
глобилата	ɡɫobiɫɐtɐ
глобили	ɡɫobili
глобилите	ɡɫobilitɛ
глобилия	ɡɫobilijɐ
глобилият	ɡɫobilijɐt
глобило	ɡɫobiɫo
глобилото	ɡɫobiɫoto
глобим	ɡɫobim
глобите	ɡɫobitɛ
глобих	ɡɫobix
глобиха	ɡɫobixɐ
глобихме	ɡɫobixmɛ
глобихте	ɡɫobixtɛ
глобиш	ɡɫobiʃ
глобус	ɡɫɔbos
глобя	ɡɫobʲɤ̟
глобява	ɡɫobʲa̟vɐ
глобявай	ɡɫobʲa̟vɐj
глобявайки	ɡɫobʲa̟vɐjki
глобявайте	ɡɫobʲa̟vɐjtɛ
глобявал	ɡɫobʲa̟vɐɫ
глобявала	ɡɫobʲa̟vɐɫɐ
глобявалата	ɡɫobʲa̟vɐɫɐtɐ
глобявали	ɡɫobʲa̟vɐli
глобявалите	ɡɫobʲa̟vɐlitɛ
глобявалия	ɡɫobʲa̟vɐlijɐ
глобявалият	ɡɫobʲa̟vɐlijɐt
глобявало	ɡɫobʲa̟vɐɫo
глобявалото	ɡɫobʲa̟vɐɫoto
глобявам	ɡɫobʲa̟vɐm
глобяваме	ɡɫobʲa̟vɐmɛ
глобяван	ɡɫobʲa̟vɐn
глобявана	ɡɫobʲa̟vɐnɐ
глобяваната	ɡɫobʲa̟vɐnɐtɐ
глобяване	ɡɫobʲa̟vɐnɛ
глобяванета	ɡɫobʲa̟vɐnɛtɐ
глобяванетата	ɡɫobʲa̟vɐnɛtɐtɐ
глобяването	ɡɫobʲa̟vɐnɛto
глобявани	ɡɫobʲa̟vɐni
глобяваните	ɡɫobʲa̟vɐnitɛ
глобявания	ɡɫobʲa̟vɐnijɐ
глобяваният	ɡɫobʲa̟vɐnijɐt
глобяванията	ɡɫobʲa̟vɐnijɐtɐ
глобявано	ɡɫobʲa̟vɐno
глобяваното	ɡɫobʲa̟vɐnoto
глобяват	ɡɫobʲa̟vɐt
глобявате	ɡɫobʲa̟vɐtɛ
глобявах	ɡɫobʲa̟vɐx
глобяваха	ɡɫobʲa̟vɐxɐ
глобявахме	ɡɫobʲa̟vɐxmɛ
глобявахте	ɡɫobʲa̟vɐxtɛ
глобяваш	ɡɫobʲa̟vɐʃ
глобяваше	ɡɫobʲa̟vɐʃɛ
глобяващ	ɡɫobʲa̟vɐʃt
глобяваща	ɡɫobʲa̟vɐʃtɐ
глобяващата	ɡɫobʲa̟vɐʃtɐtɐ
глобяващи	ɡɫobʲa̟vɐʃti
глобяващите	ɡɫobʲa̟vɐʃtitɛ
глобяващия	ɡɫobʲa̟vɐʃtijɐ
глобяващият	ɡɫobʲa̟vɐʃtijɐt
глобяващо	ɡɫobʲa̟vɐʃto
глобяващото	ɡɫobʲa̟vɐʃtoto
глобял	ɡɫobʲa̟ɫ
глобяла	ɡɫobʲa̟ɫɐ
глобяло	ɡɫobʲa̟ɫo
глобят	ɡɫobʲɤ̟t
глобях	ɡɫobʲa̟x
глобяха	ɡɫobʲa̟xɐ
глобяхме	ɡɫobʲa̟xmɛ
глобяхте	ɡɫobʲa̟xtɛ
гложда	ɡɫɔʒdɐ
глождя	ɡɫɔʒdʲɐ
глозгам	ɡɫɔzɡɐm
глота	ɡɫɔtɐ
глотница	ɡɫotnitsɐ
глуж	ɡɫuʃ
глуп	ɡɫup
глупав	ɡɫupɐf
глупак	ɡɫopak
глупачка	ɡɫopatʃkɐ
глупец	ɡɫopɛts
глупост	ɡɫupost
глупоч	ɡɫupotʃ
глупчо	ɡɫuptʃo̟
глутница	ɡɫutnitsɐ
глух	ɡɫux
глухар	ɡɫoxar
глухарче	ɡɫoxartʃɛ
глухоням	ɡɫoxonʲa̟m
глушец	ɡɫoʃɛts
глъч	ɡɫɤtʃ
гмеж	ɡmɛʃ
гмеча	ɡmɛtʃɐ
гмурец	ɡmorɛts
гмуркач	ɡmorkatʃ
гмуркиня	ɡmorkinʲɐ
гмуря	ɡmurʲɐ
гневен	ɡnɛvɛn
гневлив	ɡnɛvlif
гнездо	ɡnɛzdɔ
гнил	ɡniɫ
гнилоч	ɡniɫɔtʃ
гния	ɡnijɐ
гной	ɡnɔj
гном	ɡnɔm
гностицизъм	ɡnostitsizɐm
гнусен	ɡnusɛn
гняв	ɡnʲa̟f
го	ɡo
го	ɡɔ
гоблин	ɡɔblin
говедар	ɡovɛdar
говедо	ɡovɛdo
говея	ɡovɛjɐ
говно	ɡovnɔ
говор	ɡɔvor
говорейки	ɡovɔrɛjki
говорел	ɡovɔrɛɫ
говорела	ɡovɔrɛɫɐ
говорели	ɡovɔrɛli
говорело	ɡovɔrɛɫo
говорен	ɡovɔrɛn
говорена	ɡovɔrɛnɐ
говорената	ɡovɔrɛnɐtɐ
говорене	ɡovɔrɛnɛ
говоренета	ɡovɔrɛnɛtɐ
говоренетата	ɡovɔrɛnɛtɐtɐ
говоренето	ɡovɔrɛnɛto
говорени	ɡovɔrɛni
говорените	ɡovɔrɛnitɛ
говорения	ɡovɔrɛnijɐ
говореният	ɡovɔrɛnijɐt
говоренията	ɡovɔrɛnijɐtɐ
говорено	ɡovɔrɛno
говореното	ɡovɔrɛnoto
говорете	ɡovorɛtɛ
говорех	ɡovɔrɛx
говореха	ɡovɔrɛxɐ
говорехме	ɡovɔrɛxmɛ
говорехте	ɡovɔrɛxtɛ
говореше	ɡovɔrɛʃɛ
говорещ	ɡovɔrɛʃt
говореща	ɡovɔrɛʃtɐ
говорещата	ɡovɔrɛʃtɐtɐ
говорещи	ɡovɔrɛʃti
говорещите	ɡovɔrɛʃtitɛ
говорещия	ɡovɔrɛʃtijɐ
говорещият	ɡovɔrɛʃtijɐt
говорещо	ɡovɔrɛʃto
говорещото	ɡovɔrɛʃtoto
говори	ɡovori
говори	ɡovɔri
говорил	ɡovoriɫ
говорил	ɡovɔriɫ
говорила	ɡovoriɫɐ
говорила	ɡovɔriɫɐ
говорилата	ɡovoriɫɐtɐ
говорилата	ɡovɔriɫɐtɐ
говорили	ɡovorili
говорили	ɡovɔrili
говорилите	ɡovorilitɛ
говорилите	ɡovɔrilitɛ
говорилия	ɡovorilijɐ
говорилия	ɡovɔrilijɐ
говорилият	ɡovorilijɐt
говорилият	ɡovɔrilijɐt
говорилня	ɡovoriɫnʲɐ
говорило	ɡovoriɫo
говорило	ɡovɔriɫo
говорилото	ɡovoriɫoto
говорилото	ɡovɔriɫoto
говорим	ɡovɔrim
говорите	ɡovɔritɛ
говорител	ɡovoritɛɫ
говорих	ɡovorix
говорих	ɡovɔrix
говориха	ɡovorixɐ
говориха	ɡovɔrixɐ
говорихме	ɡovorixmɛ
говорихме	ɡovɔrixmɛ
говорихте	ɡovorixtɛ
говорихте	ɡovɔrixtɛ
говориш	ɡovɔriʃ
говория	ɡovorijɐ
говоря	ɡovɔrʲɐ
говорят	ɡovɔrʲɐt
годеж	ɡodɛʃ
годен	ɡɔdɛn
годеник	ɡodɛnik
годеница	ɡodɛnitsɐ
година	ɡodinɐ
годинак	ɡodinak
годишен	ɡodiʃɛn
годишнина	ɡodiʃninɐ
годищ	ɡodiʃt
гозба	ɡɔzbɐ
гой	ɡɔj
гол	ɡɔɫ
големичък	ɡolɛmitʃɐk
голтак	ɡoɫtak
голям	ɡolʲa̟m
гомно	ɡomnɔ
гоненица	ɡɔnɛnitsɐ
гонче	ɡɔntʃɛ
гоня	ɡɔnʲɐ
гора	ɡora
горва	ɡɔrvɐ
горд	ɡɔrt
гордее	ɡordɛɛ
гордеейки	ɡordɛɛjki
гордеел	ɡordɛɛɫ
гордеела	ɡordɛɛɫɐ
гордеели	ɡordɛɛli
гордеело	ɡordɛɛɫo
гордеем	ɡordɛɛm
гордеене	ɡordɛɛnɛ
гордеенета	ɡordɛɛnɛtɐ
гордеенетата	ɡordɛɛnɛtɐtɐ
гордеенето	ɡordɛɛnɛto
гордеения	ɡordɛɛnijɐ
гордеенията	ɡordɛɛnijɐtɐ
гордеете	ɡordɛɛtɛ
гордеех	ɡordɛɛx
гордееха	ɡordɛɛxɐ
гордеехме	ɡordɛɛxmɛ
гордеехте	ɡordɛɛxtɛ
гордееш	ɡordɛɛʃ
гордееше	ɡordɛɛʃɛ
гордеещ	ɡordɛɛʃt
гордееща	ɡordɛɛʃtɐ
гордеещата	ɡordɛɛʃtɐtɐ
гордеещи	ɡordɛɛʃti
гордеещите	ɡordɛɛʃtitɛ
гордеещия	ɡordɛɛʃtijɐ
гордеещият	ɡordɛɛʃtijɐt
гордеещо	ɡordɛɛʃto
гордеещото	ɡordɛɛʃtoto
гордей	ɡordɛj
гордейте	ɡordɛjtɛ
гордели	ɡordɛli
горделите	ɡordɛlitɛ
горделия	ɡordɛlijɐ
горделият	ɡordɛlijɐt
гордеят	ɡordɛjɐt
гордо	ɡɔrdo
гордя	ɡordʲa̟
гордял	ɡordʲa̟ɫ
гордяла	ɡordʲa̟ɫɐ
гордялата	ɡordʲa̟ɫɐtɐ
гордяло	ɡordʲa̟ɫo
гордялото	ɡordʲa̟ɫoto
гордях	ɡordʲa̟x
гордяха	ɡordʲa̟xɐ
гордяхме	ɡordʲa̟xmɛ
гордяхте	ɡordʲa̟xtɛ
горе	ɡɔrɛ
горелка	ɡorɛɫkɐ
горен	ɡɔrɛn
горест	ɡɔrɛst
горещ	ɡorɛʃt
гориво	ɡorivo
горила	ɡoriɫɐ
горист	ɡorist
горица	ɡoritsɐ
горча	ɡortʃɤ̟
горчив	ɡortʃif
горчивка	ɡortʃifkɐ
горчилка	ɡortʃiɫkɐ
горчица	ɡortʃitsɐ
горък	ɡɔrɐk
горя	ɡorʲɤ̟
господ	ɡɔspot
господа	ɡospoda
господа	ɡɔspodɐ
господар	ɡospodar
господарка	ɡospodarkɐ
господарски	ɡospodarski
господарства	ɡospodarstvɐ
господарствай	ɡospodarstvɐj
господарствайки	ɡospodarstvɐjki
господарствайте	ɡospodarstvɐjtɛ
господарствал	ɡospodarstvɐɫ
господарствала	ɡospodarstvɐɫɐ
господарствалата	ɡospodarstvɐɫɐtɐ
господарствали	ɡospodarstvɐli
господарствалите	ɡospodarstvɐlitɛ
господарствалия	ɡospodarstvɐlijɐ
господарствалият	ɡospodarstvɐlijɐt
господарствало	ɡospodarstvɐɫo
господарствалото	ɡospodarstvɐɫoto
господарствам	ɡospodarstvɐm
господарстваме	ɡospodarstvɐmɛ
господарстване	ɡospodarstvɐnɛ
господарстванета	ɡospodarstvɐnɛtɐ
господарстванетата	ɡospodarstvɐnɛtɐtɐ
господарстването	ɡospodarstvɐnɛto
господарствания	ɡospodarstvɐnijɐ
господарстванията	ɡospodarstvɐnijɐtɐ
господарстват	ɡospodarstvɐt
господарствате	ɡospodarstvɐtɛ
господарствах	ɡospodarstvɐx
господарстваха	ɡospodarstvɐxɐ
господарствахме	ɡospodarstvɐxmɛ
господарствахте	ɡospodarstvɐxtɛ
господарстваш	ɡospodarstvɐʃ
господарстваше	ɡospodarstvɐʃɛ
господарстващ	ɡospodarstvɐʃt
господарстваща	ɡospodarstvɐʃtɐ
господарстващата	ɡospodarstvɐʃtɐtɐ
господарстващи	ɡospodarstvɐʃti
господарстващите	ɡospodarstvɐʃtitɛ
господарстващия	ɡospodarstvɐʃtijɐ
господарстващият	ɡospodarstvɐʃtijɐt
господарстващо	ɡospodarstvɐʃto
господарстващото	ɡospodarstvɐʃtoto
господарство	ɡospodarstvo
господарствува	ɡospodarstvovɐ
господарствувай	ɡospodarstvovɐj
господарствувайки	ɡospodarstvovɐjki
господарствувайте	ɡospodarstvovɐjtɛ
господарствувал	ɡospodarstvovɐɫ
господарствувала	ɡospodarstvovɐɫɐ
господарствувалата	ɡospodarstvovɐɫɐtɐ
господарствували	ɡospodarstvovɐli
господарствувалите	ɡospodarstvovɐlitɛ
господарствувалия	ɡospodarstvovɐlijɐ
господарствувалият	ɡospodarstvovɐlijɐt
господарствувало	ɡospodarstvovɐɫo
господарствувалото	ɡospodarstvovɐɫoto
господарствувам	ɡospodarstvovɐm
господарствуваме	ɡospodarstvovɐmɛ
господарствуване	ɡospodarstvovɐnɛ
господарствуванета	ɡospodarstvovɐnɛtɐ
господарствуванетата	ɡospodarstvovɐnɛtɐtɐ
господарствуването	ɡospodarstvovɐnɛto
господарствувания	ɡospodarstvovɐnijɐ
господарствуванията	ɡospodarstvovɐnijɐtɐ
господарствуват	ɡospodarstvovɐt
господарствувате	ɡospodarstvovɐtɛ
господарствувах	ɡospodarstvovɐx
господарствуваха	ɡospodarstvovɐxɐ
господарствувахме	ɡospodarstvovɐxmɛ
господарствувахте	ɡospodarstvovɐxtɛ
господарствуваш	ɡospodarstvovɐʃ
господарствуваше	ɡospodarstvovɐʃɛ
господарствуващ	ɡospodarstvovɐʃt
господарствуваща	ɡospodarstvovɐʃtɐ
господарствуващата	ɡospodarstvovɐʃtɐtɐ
господарствуващи	ɡospodarstvovɐʃti
господарствуващите	ɡospodarstvovɐʃtitɛ
господарствуващия	ɡospodarstvovɐʃtijɐ
господарствуващият	ɡospodarstvovɐʃtijɐt
господарствуващо	ɡospodarstvovɐʃto
господарствуващото	ɡospodarstvovɐʃtoto
господарува	ɡospodɐruvɐ
господарувай	ɡospodɐruvɐj
господарувайки	ɡospodɐruvɐjki
господарувайте	ɡospodɐruvɐjtɛ
господарувал	ɡospodɐruvɐɫ
господарувала	ɡospodɐruvɐɫɐ
господарувалата	ɡospodɐruvɐɫɐtɐ
господарували	ɡospodɐruvɐli
господарувалите	ɡospodɐruvɐlitɛ
господарувалия	ɡospodɐruvɐlijɐ
господарувалият	ɡospodɐruvɐlijɐt
господарувало	ɡospodɐruvɐɫo
господарувалото	ɡospodɐruvɐɫoto
господарувам	ɡospodɐruvɐm
господаруваме	ɡospodɐruvɐmɛ
господаруване	ɡospodɐruvɐnɛ
господаруванета	ɡospodɐruvɐnɛtɐ
господаруванетата	ɡospodɐruvɐnɛtɐtɐ
господаруването	ɡospodɐruvɐnɛto
господарувания	ɡospodɐruvɐnijɐ
господаруванията	ɡospodɐruvɐnijɐtɐ
господаруват	ɡospodɐruvɐt
господарувате	ɡospodɐruvɐtɛ
господарувах	ɡospodɐruvɐx
господаруваха	ɡospodɐruvɐxɐ
господарувахме	ɡospodɐruvɐxmɛ
господарувахте	ɡospodɐruvɐxtɛ
господаруваш	ɡospodɐruvɐʃ
господаруваше	ɡospodɐruvɐʃɛ
господаруващ	ɡospodɐruvɐʃt
господаруваща	ɡospodɐruvɐʃtɐ
господаруващата	ɡospodɐruvɐʃtɐtɐ
господаруващи	ɡospodɐruvɐʃti
господаруващите	ɡospodɐruvɐʃtitɛ
господаруващия	ɡospodɐruvɐʃtijɐ
господаруващият	ɡospodɐruvɐʃtijɐt
господаруващо	ɡospodɐruvɐʃto
господаруващото	ɡospodɐruvɐʃtoto
господи	ɡɔspodi
господин	ɡospodin
госпожа	ɡospoʒa̟
госпожица	ɡospɔʒitsɐ
госпожо	ɡospɔʒo̟
гост	ɡɔst
гостилница	ɡostiɫnitsɐ
гостна	ɡɔsnɐ
гот	ɡɔt
готвар	ɡotvar
готвари	ɡotvari
готварка	ɡotvarkɐ
готварски	ɡotvarski
готваря	ɡotvarʲɐ
готвач	ɡotvatʃ
готвачка	ɡotvatʃkɐ
готвя	ɡɔtvʲɐ
готин	ɡɔtin
готов	ɡotɔf
готован	ɡotovan
готово	ɡotɔvo
грабеж	ɡrɐbɛʃ
грабейки	ɡrabɛjki
грабел	ɡrabɛɫ
грабела	ɡrabɛɫɐ
грабели	ɡrabɛli
грабело	ɡrabɛɫo
грабен	ɡrabɛn
грабена	ɡrabɛnɐ
грабената	ɡrabɛnɐtɐ
грабене	ɡrabɛnɛ
грабенета	ɡrabɛnɛtɐ
грабенетата	ɡrabɛnɛtɐtɐ
грабенето	ɡrabɛnɛto
грабени	ɡrabɛni
грабените	ɡrabɛnitɛ
грабения	ɡrabɛnijɐ
грабеният	ɡrabɛnijɐt
грабенията	ɡrabɛnijɐtɐ
грабено	ɡrabɛno
грабеното	ɡrabɛnoto
грабете	ɡrɐbɛtɛ
грабех	ɡrabɛx
грабеха	ɡrabɛxɐ
грабехме	ɡrabɛxmɛ
грабехте	ɡrabɛxtɛ
грабеше	ɡrabɛʃɛ
грабещ	ɡrabɛʃt
грабеща	ɡrabɛʃtɐ
грабещата	ɡrabɛʃtɐtɐ
грабещи	ɡrabɛʃti
грабещите	ɡrabɛʃtitɛ
грабещия	ɡrabɛʃtijɐ
грабещият	ɡrabɛʃtijɐt
грабещо	ɡrabɛʃto
грабещото	ɡrabɛʃtoto
граби	ɡrabi
граби	ɡrɐbi
грабил	ɡrabiɫ
грабил	ɡrɐbiɫ
грабила	ɡrabiɫɐ
грабила	ɡrɐbiɫɐ
грабилата	ɡrabiɫɐtɐ
грабилата	ɡrɐbiɫɐtɐ
грабили	ɡrabili
грабили	ɡrɐbili
грабилите	ɡrabilitɛ
грабилите	ɡrɐbilitɛ
грабилия	ɡrabilijɐ
грабилия	ɡrɐbilijɐ
грабилият	ɡrabilijɐt
грабилият	ɡrɐbilijɐt
грабило	ɡrabiɫo
грабило	ɡrɐbiɫo
грабилото	ɡrabiɫoto
грабилото	ɡrɐbiɫoto
грабим	ɡrabim
грабите	ɡrabitɛ
грабих	ɡrabix
грабих	ɡrɐbix
грабиха	ɡrabixɐ
грабиха	ɡrɐbixɐ
грабихме	ɡrabixmɛ
грабихме	ɡrɐbixmɛ
грабихте	ɡrabixtɛ
грабихте	ɡrɐbixtɛ
грабиш	ɡrabiʃ
грабли	ɡrabli
грабливец	ɡrɐblivɛts
грабя	ɡrabʲɐ
грабят	ɡrabʲɐt
гравитационен	ɡrɐvitɐtsiɔnɛn
гравитация	ɡrɐvitatsijɐ
гравитон	ɡrɐvitɔn
гравитони	ɡrɐvitɔni
град	ɡrat
града	ɡradɐ
града	ɡrɐda
граде	ɡradɛ
градеж	ɡrɐdɛʃ
градина	ɡrɐdinɐ
градинар	ɡrɐdinar
градинарка	ɡrɐdinarkɐ
градини	ɡrɐdini
градинка	ɡrɐdiŋkɐ
градинска	ɡrɐdinskɐ
градински	ɡrɐdinski
градове	ɡrɐdovɛ
градовете	ɡrɐdovɛtɛ
градски	ɡratski
градус	ɡrados
градушка	ɡrɐduʃkɐ
градът	ɡradɐt
градът	ɡrɐdɤt
градя	ɡrɐdʲɤ̟
гражданин	ɡraʒdɐnin
граждански	ɡraʒdɐnski
гражданство	ɡraʒdɐnstvo
грай	ɡraj
грак	ɡrak
гракам	ɡrakɐm
граматика	ɡrɐmatikɐ
грамофон	ɡrɐmofɔn
грамофони	ɡrɐmofɔni
грамуда	ɡrɐmudɐ
граната	ɡrɐnatɐ
гранив	ɡrɐnif
граника	ɡrɐnikɐ
граница	ɡranitsɐ
граница	ɡrɐnitsɐ
гранича	ɡrɐnitʃɐ
граничат	ɡrɐnitʃɐt
граничейки	ɡrɐnitʃɛjki
граничел	ɡrɐnitʃɛɫ
граничела	ɡrɐnitʃɛɫɐ
граничели	ɡrɐnitʃɛli
граничело	ɡrɐnitʃɛɫo
граничене	ɡrɐnitʃɛnɛ
граниченета	ɡrɐnitʃɛnɛtɐ
граниченетата	ɡrɐnitʃɛnɛtɐtɐ
граниченето	ɡrɐnitʃɛnɛto
граничения	ɡrɐnitʃɛnijɐ
граниченията	ɡrɐnitʃɛnijɐtɐ
граничете	ɡrɐnitʃɛtɛ
граничех	ɡrɐnitʃɛx
граничеха	ɡrɐnitʃɛxɐ
граничехме	ɡrɐnitʃɛxmɛ
граничехте	ɡrɐnitʃɛxtɛ
граничеше	ɡrɐnitʃɛʃɛ
граничещ	ɡrɐnitʃɛʃt
граничеща	ɡrɐnitʃɛʃtɐ
граничещата	ɡrɐnitʃɛʃtɐtɐ
граничещи	ɡrɐnitʃɛʃti
граничещите	ɡrɐnitʃɛʃtitɛ
граничещия	ɡrɐnitʃɛʃtijɐ
граничещият	ɡrɐnitʃɛʃtijɐt
граничещо	ɡrɐnitʃɛʃto
граничещото	ɡrɐnitʃɛʃtoto
граничи	ɡrɐnitʃi
граничил	ɡrɐnitʃiɫ
граничила	ɡrɐnitʃiɫɐ
граничилата	ɡrɐnitʃiɫɐtɐ
граничили	ɡrɐnitʃili
граничилите	ɡrɐnitʃilitɛ
граничилия	ɡrɐnitʃilijɐ
граничилият	ɡrɐnitʃilijɐt
граничило	ɡrɐnitʃiɫo
граничилото	ɡrɐnitʃiɫoto
граничим	ɡrɐnitʃim
граничите	ɡrɐnitʃitɛ
