-am	ɔːm
birtokán	biɾtokaːn
birtokára	birtokaːrɒ
birók	bjruːk
bishop	biʃkoːp
biskek	biʃkɛk
bislama	bizlɛmɒ
bissza	bisˈsa
biszexualitás	bisɛksuɒlitaːʃ
biszexuális	bisɛksuaːliʃ
biszexuális	biʃɛkʃu̯aːliʃ
bisztraterebes	biːstraːtɛrɛbɛʃ
bisztró	bistro
bit	bit
bit	bjit
bitang	bitɒŋg
bitang	bitɔng
bitangul	bitɒŋgul
bitcoin	bitkojn
bitcoin	bitʃoin
bited	bitɛd
bitek	bitɛk
biten	bitɛn
bitet	bitɛt
bitje	bicːɛ
bitorlás	bitorlaʃ
bitorlás	biturlaːʃ
bitorol	bitɔrɔl
bitorolt	bitoˈrɔlt
bitre	bitrɛ
bitumen	bitumen
bitumenfekete	bitumenfɛkɛtɛ
bitófa	bitoːfoː
bivaly	bivɒj
bivaly	bivɒli
bivalybasznád	biːvɒjbɒsnaːd
bivalybőr	bivajpøːr
bivalyerős	bivɒjɛrøːʃ
bivalyerős	biːvɒjɛrøːʃ
bivalyerősek	bivajjɛrøʃɛk
bivalyerősre	biːvojɛroːʃrɛ
bivalygulya	bivɑjguja
bivalymúzeum	biːvɒjmuːzeːum
bivalyok	bivɒjok
bivalytehén	biːvɒjtɛheːn
biz	biʒ
biza	bizɒ
bizakodik	bizakoˈdik
bizakodás	bizokodaːʃ
bizakodó	bizakodoː
bizalma	bizɒlmɒ
bizalmad	bizɒlmɒd
bizalmai	bizɒlmɒji
bizalmaid	bizɒlmɒjid
bizalmaik	bizɒlmɒjik
bizalmaim	bizɒlmɒjim
bizalmaitok	bizɒlmɒjitok
bizalmak	bizɒlmɒk
bizalmam	bizɒlmɒm
bizalmamat	bizɒlmɒmɒt
bizalmas	bizɒlmɒʃ
bizalmas	ˈbizɒlˌmɒʃ
bizalmasabb	bizɒlmɒʃɒbː
bizalmasan	vizalmaʃɒn
bizalmasan	ˈbizɒlˌmɒʃɒn
bizalmaskodik	vizɒlmɒʃkodik
bizalmasához	bizolmɒʃaːhoz
bizalmat	bizɒlmɒt
bizalmatlan	bizolmɒtlon
bizalmatlan	bizɒlmɒtlɒn
bizalmatlan	bizɒlˈmɒtlɒn
bizalmatlanabb	bizɒlmɒtlɒnɒbː
bizalmatlanság	bizolmɒtlɒnʃaːg
bizalmatlanság	bizɒlmɒtlɒnʃaːg
bizalmatok	bizɒlmɒtok
bizalmi	bizɒlmi
bizalmuk	bizɒlmuk
bizalmukat	bizɒlmukɒt
bizalmunk	bizɒlmuŋk
bizalmába	bizɒlmaːbɒ
bizalmát	bizɒlmaːt
bizalmát	bizɒlmɒt
bizalom	bizalom
bizalom	bizaloːn
bizalom	bizalum
bizalom	bizɒlom
bizalomerősítő	bizolonɛroːʃiːtøː
bizalommal	bizalummal
bizalommal	bizɒlomːɒl
bizalommal	ˈbizɒlomːɒl
bizalomról	bizɒloːmroːl
bizalomteljes	bizolomtɛljɛʃ
bizantinizmus	bizantənizmuʃ
bizarr	bizoɾ
bizarr	bizɒr
bizarr	bizɒrː
bizarrabb	bizɒrːɒbː
bizgat	biːsgot
bizmut	bizmut
bizmut	bizmuːt
bizmutos	bizmuːtʃ
biznisz	biʒnis
biznisz	bˈɪznɪs
bizniszben	biʒnisbɛn
bizomány	bizomaːɲ
bizományi	bizomɒaɲi
bizományok	bizomaːɲok
bizományos	bizomaːɲɔʃ
bizonnyal	bizoɲːɒl
bizonnyal	biʒoɲɲal
bizonnyal	ˈbizonɲɒl
bizony	bizonʲ
bizony	bizoɲ
bizony	biˈzoɲ
bizonygat	biːzoɲgɒt
bizonylat	bizoɲlɒt
bizonylat	bizɒɲlɒt
bizonylatok	bizoɲlɒtok
bizonyos	bizoɲoʃ
bizonyos	biˈzoɲoʃ
bizonyos	biːzoɲoʃ
bizonyosabb	bizoɲoʃɒbː
bizonyosan	bizoɲoʃɒn
bizonyosan	biˈzoɲoʃɒn
bizonyosan	biːzoɲoʃan
bizonyosodj	biˈzoɲoʃodʒ
bizonyosodni	biˈzojnoʃodni
bizonyosság	bizoɲoʃːaːg
bizonyosság	biˈzoɲoʃːaːg
bizonyossággal	bizoɲoʃːaːgːɒl
bizonyosságok	bizoɲoʃːaːgok
bizonyosságának	biːzoɲɒsːaːgɒnɒk
bizonyság	bizoɲʃaːg
bizonyság	biːzɒɲʃɒːg
bizonysága	bizoɲʃaːgɒ
bizonyságtevő	bizoɲɒʃaːktɛvøː
bizonyságul	bizoɲʃaːgul
bizonytalan	bizoɲtɑlɑn
bizonytalan	bizoɲtɒlɒn
bizonytalanabb	bizoɲtɒlɒnɒbː
bizonytalankodik	bizoɲtɒlɒŋkodik
bizonytalanság	bizoɲtɒlɒnʃaːg
bizonytalanság	ˈbizonʲtɒlɒnʃaːg
bizonytalanságok	bizoɲtɒlɒnʃaːgok
bizonytalanul	bizoɲtɒlɒnul
bizonyul	bizoɲul
bizonyul	biˈzoɲul
bizonyult	bizoɲult
bizonyultak	bizoɲultɒk
bizonyultak	biːzɒɲuɛtɒg
bizonyára	bizoɲaːra
bizonyára	bizoɲaːrɒ
bizonyára	biːzoɲaːrɒ
bizonyít	bizonit
bizonyít	bizoɲiːt
bizonyítani	bizoniːteː
bizonyítani	bizoɲiːtɒni
bizonyítania	bizoɲiːtaːniʌ
bizonyítanod	bizoɲiːtoːnod
bizonyítanom	bizoɲiːtoːnom
bizonyítanunk	biˈzoɲiːtaːnuk
bizonyítható	bizoɲiːthɒtoː
bizonyítható	biˈzojniːthɒtoː
bizonyítja	biˈzoɲiːtɒ
bizonyítjuk	biˈzoɲiːtʃuk
bizonyítják	biˈzoɲiːtʃaːk
bizonyítod	biˈzoɲiːtot
bizonyítom	biˈzoɲiːtom
bizonyított	bizoɲiːtotː
bizonyított	biˈzoɲiːtː
bizonyított	vizɒɲiːtotː
bizonyította	bizoɲoːltɛltɒ
bizonyította	biˈzoɲiːtotːa
bizonyítottad	bizoɲiːotːɒd
bizonyítottam	biˈzoɲiːtːoːm
bizonyítsa	biˈzoɲiːtʃɒ
bizonyítsam	biˈzoɲiːtʃɒm
bizonyítsd	biˈzoɲiːtʃd
bizonyítsuk	biˈzoɲiːtʃuk
bizonyítva	biˈzoɲiːtva
bizonyítvány	bizoɲiːtvaːɲ
bizonyítványok	bizoɲiːtvaːɲok
bizonyítványt	bizoɲiːtvaːɲt
bizonyítás	bizoɲiːtaːʃ
bizonyítás	biːzoɲiːtæʃ
bizonyítása	bizoɲiːtaːʃɒ
bizonyítások	bizoɲiːtaːʃok
bizonyíték	bizoɲiːteːk
bizonyítéka	bizoɲiteːkɒ
bizonyítéka	bizoɲiːteːka
bizonyítéka	bizoɲiːteːkɒ
bizonyítékai	bizoɲiːteːkai
bizonyítékait	biːzoɲiːteːkɒit
bizonyítékkal	bizoɲiːteːkkɒl
bizonyítékként	bizoɲiːteːkænt
bizonyítéknak	biˈzoɲiːteːkŋɒk
bizonyítékod	bizoɲiːteːkoːd
bizonyítékok	bizoɲiːteːkok
bizonyítékok	bizoɲiːteːkɔk
bizonyítékok	vizɒɲiːteːkok
bizonyítékokat	bizoɲiːteːkokɒt
bizonyítékokat	bizoɲiːteːkoʈ
bizonyítékokkal	bizoɲiːteːkkɔlː
bizonyítékom	bizoɲiːteːkom
bizonyítékot	bizoɲiːteːkot
bizonyítékot	bizoɲiːteːkoːt
bizonyítékra	biˈzoɲiːteːkrɒ
bizonyítékuk	bizoɲiːteːkuː
bizonyítékunk	bizoɲiːteːkuŋk
bizonyítékát	bizoɲiːteːkaːt
bizottság	bizoʃːaːg
bizottsága	bizotʃːaːgɒ
bizottságban	bizoʃːaːgbɒn
bizottsággal	bizotʃaːgɒl
bizottságnak	bizotʃaːgnɒk
bizottságnak	bizoʔʃaːgnɒk
bizottságok	bizotʃːaːgok
bizottságot	bizotʃːaːgot
bizottságot	bizoʃːaːgot
bizottságának	bizotʃːaːgaːnɒk
bizsereg	biʒʃɛrɛg
bizsergés	beːzsɛrgeːʃ
bizsu	bijˈu
biztat	bistɒt
biztat	biːstad
biztatok	bistɒtok
biztatás	bistɒtaːʃ
biztatás	istɒtaːʃ
biztató	bistɒtoː
biztató	biʃtɒtoː
biztatóbb	bistɒtoːbː
biztatók	bistɒtoːk
bizton	biston
bizton	biʒton
biztonság	bistonʃaːg
biztonság	biztonsaːg
biztonság	ˈbiztonsaːg
biztonsága	bistonʃaːgɒ
biztonsága	biʃtɒnʃaːgɒ
biztonsága	ˈbiztjonʃaːgɒ
biztonságban	bistonʃaːgbɒn
biztonsággal	bistonʃaːgːɒl
biztonsági	bistonʃaːgi
biztonsági	biʒtonsaːgi
biztonságod	ˈbiztɔnʃaːgɔd
biztonságok	bistonʃaːgok
biztonságos	bistonʃaːgoʃ
biztonságos	biztonsaːgoʃ
biztonságos	ˈbiztʊnʃaːgoʃ
biztonságosabb	bistonʃaːgoʃɒbː
biztonságosabb	biʃtɒnʃaːgoʃɒb
biztonságosabb	ˈbistjonʃaːgoʃːɒb
biztonságosan	bistonʃaːgoʃɒn
biztonságosan	biʃtonʃaːgoʃːɒn
biztonságpolitika	bistoɲʃaːkpoˈlɪtika
biztonságra	biʒtonsaːgra
biztonságát	bistonʃaːgaːt
biztonságát	biʃtonʃaːgaːt
biztonságáért	ˈbiztɔnʃaːgaːɾt
biztonságérzet	bistonʃaːgeːrzɛt
biztos	bistoʃ
biztos	bistɔʃ
biztos	biʃtoʃ
biztosa	bistoʃa
biztosabb	bistoʃɒbː
biztosabban	bistoʃɒbːɒn
biztosak	bistoʃɒk
biztosak	vistoʃɒk
biztosak	ˈbistosaːk
biztosan	bistoʃɒn
biztosan	bistɔʃanɑ
biztosan	ˈbistosaːn
biztosat	ˈbistɔʃɒt
biztosra	bistoʃra
biztosra	bistoʃrɒ
biztosra	ˈbistoʃrɒ
biztosság	bɪstɒʃːaːg
biztosít	bistoʃiːt
biztosít	bistɒʃiːt
biztosít	ˈbɪstɒʃiːt
biztosítani	bistoʃiːtoni
biztosítani	bistoʃiːtɒni
biztosítani	ˈbistoniː
biztosíthatom	ˈbistoshiθɒtom
biztosítja	bistoʃitʃo
biztosítja	bistoʃiːcːɒ
biztosítják	ˈbistojiːʝɒk
biztosítok	bistoʃiːtok
biztosított	bistoʃiːtotː
biztosította	bistoʃiːtotːɒ
biztosította	mistɒʃiːtotːa
biztosítsa	bistoʃitʃa
biztosítson	ˈbistoshiʃon
biztosítsuk	ˈbistoshiːtʃuk
biztosítsák	ˈbistosiːtʃaːk
biztosítunk	biztɔʃiːtunk
biztosítva	bistoʃiːtɬo
biztosítva	vistoʃiːtva
biztosítás	bistoʃitaːʃ
biztosítás	bistoʃiːtaːʃ
biztosítás	ˈbistosiːʃ
biztosítása	bistoʃiːtaːʃɒ
biztosítási	bistoʃitaːʃi
biztosítási	bistoʃiːtaːʃi
biztosítási	biztosítaːʃi
biztosítási	ˈbistosiːʃiː
biztosítások	bistoʃiːtaːʃok
biztosításom	bistoʃiːtaːʃom
biztosítására	bistoʃiːtaɒʃaːrɒ
biztosítására	bistoʃiːtaːʃaːrɒ
biztosítását	bistoʃiːtaːʃaːt
biztosítását	biʃtoʃiːtaːʃaːt
biztosíték	bistoʃiːteːk
biztosíték	biʃtɒʃiːteːk
biztosíték	bɪstoʃiːteːk
biztosítéka	bistoʃiteːkɒ
biztosítéka	bistoʃiːteːkɒ
biztosítékok	bistoʃiːteːkok
biztosító	bistoʃiːtoː
biztosítók	bistoʃiːtoːk
biztosítótű	bistoʃiːtoːtyː
biztosítótű	bistoʃiːtoːtøː
bizánci	bizaːntsi
bizánci	bɪzaːntsi
bizánciak	bizaːntsijɒk
bizánctól	bɪzaːntstuːl
bla	blɒ
bla-bla-bla	blɒblɒblɒ
blade	blɛːdɛ
blah	blɒ
blaha	blaxa
blaine	blɛɪnɛ
blake	blɒkɛ
blamál	blɒmaːl
blamázs	blɔmaːʒ
blamíroz	blɒmiːroz
blanchard	blɒntʃɑːrd
blanche	blɒnʃ
blanka	blɒŋkɒ
blansíroz	blɒnʃiːroz
blaskó	blɑʃku
blastos	blɔstoʃ
blatt	blɒtː
blattol	blɒtːol
blattolás	blɒtːolaːʃ
blattolás	plɒtːolaːʃ
blende	blɛndɛ
bliccel	blitsɛl
bliccel	blitsːɛl
bliccelés	blitszɛlɛːʃ
bliccelő	blitsːɛløː
bligh	blɪx
block	blɒk
blog	blog
blog	blɔg
blogger	blogːɛr
bloggereket	blogːɛrɛkɛt
blogján	blɒgjaːn
blogmotor	blɔkmotɔr
blogok	blogok
blogol	blogol
blogol	blɔgɔl
blogot	blɔgot
blogunk	blɔgunk
blogértesítő	blogeːrtɛʃːiːtøː
blokk	blokː
blokk	blɔkː
blokkban	blɔkːbɒn
blokklánc	blooklaːns
blokknak	bloknɒk
blokknak	ploknak
blokkok	blokːok
blokkol	blokːol
blokkolja	blɔkːɔjɒ
blokkolni	blɔkːolni
blokkoló	blokkolo
blokkot	blɔkːɔt
blokád	blokaːd
blokád	blɒkaːd
blokád	blɔkaːd
blokádja	blokaːɟːa
blokádok	blokaːdok
blood	blud
bloody	blɔdi
bloom	bluːm
blue	bluː
bluebell	bluːbɛl
blues	bluːz
blunt	blunt
blur06	bluːrɒ
blur1	bluːr
blur11	bluɾ
blur2	bluːr
blur4	blur
bluth	bluːt
blye	blɛː
blázek	blaːzak
blézer	blaːsɛr
blézer	bleːzɛr
blézerek	bleːzɛrɛk
blöff	bløfː
blöfföl	bløfːøl
blöffölsz	bløfːølʃ
blúdár	blutɑr
blúz	bluːz
blúz	blˈuːz
blúzok	bluːzok
blúzt	bluːst
boa	bɔ
bob	bob
bob	boːb
bob	bɔb
bobadzsúsz	bubadʒus
bobbal	ˈbobːɒl
bobbi	ˈbɔbːi
bobbie	ˈbobbi
bobby	ˈbɔbi
bobbyt	ˈbobːit
bobig	bobig
bobnak	ˈbɔbnɒk
bobo	boːboː
bobo	bubu
bobojsza	ˈboboʝʒɒ
bobok	bobok
bobon	bobon
bobos	boˈbɔʃ
bobot	bobot
bobot	ˈbobot
bobsport	bopspɔrt
bobvilágbajnokság	bɒbvilaːgbɒjnokʃaːg
bocfa	bɔtsfɑ
boci	botsi
boci	butsi
bocs	botʃ
bocs	boʧ
bocs	butʃ
bocs	bɔtʃ
bocsa	botʃɒ
bocsa	bɔtʃa
bocsesz	botʃɛs
bocsi	botʃi
bocsi	butʃi
bocsi	butʃɛj
bocsi	ˈbotʃi
bocsika	ˈbotʃikɒ
bocskaikert	botʃkɒikɛt
bocskor	botʃkor
bocskor	bɔtʃkɔr
bocskora	botʃkorɒ
bocskorai	botʃkorɒji
bocskoraid	botʃkorɒjid
bocskoraik	botʃkorɒjik
bocskoraim	botʃkorɒjim
bocskoraink	botʃkorɒjiŋk
bocskoraitok	botʃkorɒjitok
bocskorod	botʃkorod
bocskorok	botʃkorok
bocskorom	botʃkorom
bocskoros	botʃkoroʃ
bocskorotok	botʃkorotok
bocskoruk	botʃkoruk
bocskorunk	botʃkoruŋk
bocsok	botʃok
bocsok	bɔtʃɔk
bocsájt	botʃaːjt
bocsájtanak	pɒtʃaːjtɒnok
bocsájts	botʃaːjtʃ
bocsájtsd	botʃaːjdʒd
bocsánat	botʃaːnɒt
bocsánat	bɒtʃaːnɒ
bocsánat	potʃaʔnɑt
bocsánat	ˈbotʃaːnɒt
bocsánatkérés	bɔtʃaːnɒtkeːreːʃ
bocsánatkérés	ˈbotʃaːnɒtkereːʃ
bocsánatkérésemet	ˈbotʃaːnɒtkereːʃɛmɛt
bocsánatkérésre	bɒtʃaːnɒtkeːreːʃrɛ
bocsánatkéréssel	ˈbotʃaːnɒtkereːʃɛl
bocsánatkérést	ˈbotʃaːnɒtkɛreːʃt
bocsánatkérő	ˈbotʃaːnɒtkɛrøː
bocsánatos	bɔtʃaːnɑtɑʃ
bocsánatot	botʃaːnɒtot
bocsánatot	bɔtʃaːnɒtot
bocsánatot	ˈbotʃaːnɒtot
bocsánatát	ˈbotʃaːnɒtaːt
bocsánatáért	ˈbotʃaːnɒteːrt
bocsánatért	ˈbotʃaːnɒtɛrt
bocsásd	ˈbotʃaːʃd
bocsáss	botʃaːʃː
bocsáss	boʧaʃː
bocsássa	botʃaːʃːɒ
bocsássa	ˈbotʃaʃːɒ
bocsássad	botʃaːʃːɒd
bocsássak	botʃaːʃːɒk
bocsássak	ˈbotʃaːʃɒk
bocsássalak	botʃaːʃːɒlɒk
bocsássam	botʃaːʃːɒm
bocsássanak	botʃaːʃːɒnɒk
bocsássanak	ˈbotʃaːʃɒnɒk
bocsássatok	botʃaːʃːɒtok
bocsássatok	ˈbotʃaːʃɒtok
bocsásson	botʃaːʃːon
bocsásson	ˈbotʃaːʃon
bocsássuk	botʃaːʃːuk
bocsássunk	botʃaːʃːuŋk
bocsássák	botʃaːʃːaːk
bocsássál	botʃaːʃːaːl
bocsássátok	botʃaːʃːaːtok
bocsát	botʃaːt
bocsát	bɒtʃaːt
bocsát	ˈbotʃaːt
bocsátalak	botʃaːtɒlɒk
bocsátana	botʃaːtɒnɒ
bocsátanak	botʃaːtɒnɒk
bocsátanak	ˈbotʃaːtɒnɒk
bocsátani	botʃaːtɒni
bocsátani	butʃaːtoni
bocsátani	ˈbotʃaːtɒni
bocsátania	botʃaːtɒnijɒ
bocsátaniuk	botʃaːtɒnijuk
bocsátanod	botʃaːtɒnod
bocsátanod	ˈbotʃaːtonod
bocsátanom	botʃaːtɒnom
bocsátanotok	botʃaːtɒnotok
bocsátanunk	botʃaːtɒnuŋk
bocsátaná	botʃaːtɒnaː
bocsátanád	botʃaːtɒnaːd
bocsátanák	botʃaːtɒnaːk
bocsátanál	botʃaːtɒnaːl
bocsátanálak	botʃaːtɒnaːlɒk
bocsátanám	botʃaːtɒnaːm
bocsátanának	botʃaːtɒnaːnɒk
bocsátanánk	botʃaːtɒnaːŋk
bocsátanátok	botʃaːtɒnaːtok
bocsátanék	botʃaːtɒneːk
bocsátasz	botʃaːtɒs
bocsáthat	botʃaːthɒt
bocsátja	ˈbotʃaːʝɒ
bocsátjuk	botʃaːcːuk
bocsátjátok	botʃaːcːaːtok
bocsátod	botʃaːtod
bocsátok	botʃaːtok
bocsátok	ˈbotʃaːtok
bocsátom	botʃaːtom
bocsátom	ˈbotʃaːtom
bocsátotok	botʃaːtotok
bocsátott	botʃaːtotː
bocsátott	ˈbotʃaːtot
bocsátotta	botʃaːtotːɒ
bocsátotta	ˈbotʃaːtotːɒ
bocsátottad	botʃaːtotːɒd
bocsátottak	botʃaːtotːɒk
bocsátottalak	botʃaːtotːɒlɒk
bocsátottam	botʃaːtotːɒm
bocsátottam	ˈbotʃaːtotːɒm
bocsátottatok	botʃaːtotːɒtok
bocsátottuk	botʃaːtotːuk
bocsátottunk	botʃaːtotːuŋk
bocsátották	botʃaːtotːaːk
bocsátottál	botʃaːtotːaːl
bocsátottátok	botʃaːtotːaːtok
bocsátunk	botʃaːtuŋk
bocsátva	botʃaːtvɒ
bocsátva	ˈbotʃaːtvɒ
bocsátás	botʃaːtaːʃ
bocsátó	botʃaːtoː
bodag	bodaɣ
bodajk	bodɒjk
bodega	budɛkɔ
boden	bodɛn
bodnár	bodnaːr
bodnárok	bodnaːrok
bodomér	boð̞omər
bodonkúti	bodonkuti
bodony	bodoɲ
bodony	potoɲa
bodonyi	budoni
bodor	bɔdɔr
bodorka	budɔrka
bodorkeszeg	budoɾkɛsɛg
bodorpáfrány	budorpɒːfraːn
bodos	budoʃ
bodra	bodrɒ
bodri	bodri
bodri	bɔdri
bodrog	bodrog
bodros	bo˩˥ːdros
bodza	bodzːɒ
bodza	pot̪sa
bodzabokor	botsɑpɔkɔr
bodzafa	bodzafa
bodzaforduló	bodsafordulu
bodzaszörp	butsɒsœrp
bodzavásár	bodzːɒvaːʃaːr
bodó	budu
bog	bog
bog	boka
bogarak	bogɒrɒk
bogarak	bogɒɾɒk
bogarakat	bogaɾakɑt
bogarakat	ˈbogɒrɒkɒt
bogaram	bogɒɾɒm
bogaras	bogaɾaʃ
bogaras	bogɒɾɒʃ
bogarat	bogaɾat
bogarat	bogɒɾɒt
bogas	bogaˈs
bogatir	bogɒtir
bogdán	bogdaːn
bogdánháza	boːgdaːnhaːzoː
bogi	bogi
boglya	bogja
boglya	bogjɒ
boglyas	boʒjɒʃ
boglyák	bogjaːk
boglár	boglɛr
boglárka	boglaːrkɒ
boglárkalepke	boglaːrkɔlɛpkɛ
boglárkalepkék	boːglaːrkɒlɛpkeːk
bognár	bognaːr
bognár	bugnaɛr
bognárok	bognaːrok
bogok	bogok
bogon	bogon
bogot	bogot
bogotá	bogɔta
bogoz	bugɒz
bogozod	bokozɔd
bogra	bogrɒ
bogrács	bograːtʃ
bográcsok	bograːtʃok
bográcsos	bograːtʃos
bogumil	boːgumˈil
bogumilizmus	bogumiɾizmuʃ
bogyó	boɟoː
bogyók	boɟoːk
bogyókat	boɟoːkɒt
bogyót	boɟoːt
bogyózöld	boːɟoːsɛld
bogád	bogaːd
bogáncs	bogaːntʃ
bogáncs	bo˩˥ːgaːnʧ
bogáncsok	bogaːntʃok
bogáncsos	bogaːntʃɒʃ
bogár	bogaːr
bogárcsiga	bogaːrtʃigo
bohannon	bohɒnː
boholy	bohoj
bohrium	boːrijum
bohém	boɦeːm
bohémabb	boɦeːmɒbː
bohémebb	boɦeːmɛbː
bohémek	boɦeːmɛk
bohémia	boɦeːmijɒ
bohó	boɦoː
bohó	buho
bohóc	bohoːts
bohóc	boɦoːts
bohóchal	boɦoːhɒl
bohóckodik	boɦoːtskodik
bohócok	bohoːtsok
bohócok	boɦoːtsok
bohócot	bohoːtsot
bohócvirág	buɦoːtsviraːg
bohózata	boɦuːzɒtɒ
boirebisztasz	bujrɛbistɒs
bojack	bojaʧ
bojkott	bojkot
bojkott	bojkotː
bojkotthoz	bɔjkɔtxɔz
bojkottál	bojkotːaːl
bojkottálás	bojkɒtaːlaːʃ
bojler	bojlɛr
bojler	bɔjlɛr
bojlerek	bojlɛrɛk
bojli	boili
bojlik	bˈɔjlik
bojlikat	bojlikot
bojlis	bojlis
bojnyik	bujnʲik
bojt	bojt
bojt	bɔːɪt
bojta	bɔjta
bojtocska	bɔjtɔtʃːka
bojtok	bojtok
bojtorján	bojtorjaːn
bojtorjánok	bojtorjaːnok
bojtos	bojtoʃ
bojtos	bojtɔʃ
bojtár	boːjtaːr
bojtárgyerek	boɛtaːrɟɛrɛk
bojár	bojaːr
bojár	boːjɒːɾ
bok	boːk
boka	boka
boka	bokɒ
boka	buka
bokacipő	bokatsipɨ
bokacsizma	bɔka˥˩tʃizma
bokacsont	bɔkɑtʃont
bokaként	bokɒkeːnt
bokalánc	okɒlaːnts
bokaperec	okɒpɛrɛts
bokazokni	bokasokne
bokazokni	bokɒzokni
bokeh	bokeː
bokeh	bokɛ
boklya	bukjɑ
bokod	bɔkɔd
bokor	bokor
bokor	bukor
bokor	ˈbokor
bokorban	ˈbokorbaŋ
bokorból	bukɔrbɔj
bokorhoz	bukorhoz
bokorpacsirta	bokorpatʃirta
bokorról	bokorːoːl
bokra	bokrɒ
bokra	bukra
bokrai	bokrɒji
bokraid	bokrɒjid
bokraik	bokrɒjik
bokraim	bokrɒjim
bokraink	bokrɒjiŋk
bokraitok	bokrɒjitok
bokrod	bokrod
bokrok	bokrok
bokrok	bɔkɾɔ
bokrok	ˈbokrok
bokrom	bokrom
bokron	bokron
bokros	bɔkɾɔʃ
bokrotok	bokrotok
bokruk	bokruk
bokrunk	bokruŋk
bokréta	bokrɛta
boksa	bokʃa
boksa	bokʃɒ
boksz	boks
boksz	boʊks
boksz	bɔks
bokszbajnok	bogzbɒjnok
bokszbajnokok	bogzbɒjnokok
bokszer	boksaɾ
bokszkesztyű	bokskɛscyː
bokszkesztyű	boːkskɛstjʊ
bokszok	boksok
bokszol	boksol
bokszolni	ˈboksolni
bokszolok	boksolok
bokszoló	boksoloː
bokszoló	ˈboksoloː
bokszolók	boksoloːk
bokszutca	boksutsːɒ
bokszzsák	bogzʒaːk
bokába	bokaːbɒ
bokában	bokaːbɒn
bokából	bokaːboːl
bokád	bokaːd
bokához	bokaːɦoz
bokái	bokaːji
bokáid	bokaːjid
bokáik	bokaːjik
bokáim	bokaːjim
bokáink	bokaːjiŋk
bokáitok	bokaːjitok
bokája	bokaːjɒ
bokája	bokaːjɔ
bokája	ˈbokaːjɒ
bokájuk	bokaːjuk
bokájú	bokaːjuː
bokák	bokaːk
bokákat	bokaːkɒt
bokákba	bokaːgbɒ
bokákban	bokaːgbɒn
bokákból	bokaːgboːl
bokákhoz	bokaːkhoz
bokákig	bokaːkig
bokákkal	bokaːkːɒl
bokákká	bokaːkːaː
bokákként	bokaːkːeːnt
bokáknak	bokaːknɒk
bokáknál	bokaːknaːl
bokákon	bokaːkon
bokákra	bokaːkrɒ
bokákról	bokaːkroːl
bokáktól	bokaːktoːl
bokáké	bokaːkeː
bokákért	bokaːkeːrt
bokály	bokaːj
bokálya	bokaːjɒ
bokályig	bokaːjig
bokályuk	bokaːjuk
bokám	bokaːm
bokám	ˈbokaːm
bokán	bokaːn
bokának	bokaːnɒk
bokánk	bokaːŋk
bokánál	bokaːnaːl
bokára	bokaːrɒ
bokáról	bokaːroːl
bokát	bokaːt
bokátok	bokaːtok
bokától	bokaːtoːl
bokával	bokaːvɒl
bokává	bokaːvaː
bokáé	bokaːjeː
bokáért	bokaːjeːrt
boldizsár	boldiʒaːr
boldog	boldo
boldog	boldog
boldog	boltɔg
boldogabb	boldogɒbː
boldogabb	ˈboldogɒbː
boldogabbak	ˈboldogɒbːɒk
boldogabbá	ˈboldogɒbːɒ
boldogak	ˈboldogɒk
boldogan	boldogɒn
boldogan	boltɒgɒn
boldoggá	ˈboldogːaː
boldogkőváralja	boldokːøːvaːrɒjːɒ
boldogkőújfalu	boldokːøːuːjfɒlu
boldognak	ˈboldognɒk
boldogok	boldogok
boldogok	bolədugok
boldogok	bolːdokok
boldogok	ˈboldogok
boldogon	boːldːogon
boldogság	boldokʃaːg
boldogság	boldoːkʃaːg
boldogság	bolðɒkʃaːg
boldogság	ˈboldokʃaːg
boldogsága	boldokʃaːgɒ
boldogsága	ˈboldogʃaːgɒ
boldogságaid	boldokʃaːgɒjid
boldogságaik	boldokʃaːgɒjik
boldogságaim	boldokʃaːgɒjim
boldogságaink	boldokʃaːgɒjiŋk
boldogságaitok	boldokʃaːgɒjitok
boldogságban	boldokʃaːgbɒn
boldogságban	ˈboldokʃaːgbɒn
boldogsághoz	ˈboldokʃaːgɔʃ
boldogságkutató	boldoːgʃaːɾkutɒtoː
boldogságod	boldokʃaːgod
boldogságod	ˈboldokʃaːgod
boldogságok	boldokʃaːgok
boldogságokon	boldokʃaːgokon
boldogságokra	boldokʃaːgokrɒ
boldogságom	boldokʃaːgom
boldogságom	ˈboldogʃaːgom
boldogságon	boldokʃaːgon
boldogságos	bɒldoːgʃaːgoʃ
boldogságot	boldokʃaːgot
boldogságot	bolˈdokʃaːgot
boldogságot	ˈboldogʃaːgot
boldogságotok	boldokʃaːgotok
boldogságra	boldokʃaːgrɒ
boldogságtól	ˈboldogʃaːgtoːl
boldogságuk	boldokʃaːguk
boldogságunk	boldokʃaːguŋk
boldogtalan	boldoktɒlɒn
boldogtalan	ˈboldogtɒlɒn
boldogtalanabb	boldoktɒlɒnɒbː
boldogtalanná	ˈboldogtɒlɒnːɒ
boldogtalanok	ˈboldogtɒlɒnok
boldogtalanság	boldoktɒlɒnʃaːg
boldogtalanság	bolgoktɒlaːʃaːg
boldogtalanságok	boldoktɒlɒnʃaːgok
boldogtalanul	boldoktɒlɒnul
boldogul	boldogul
boldogul	ˈboldogul
boldogulnak	ˈboldogulnɒk
boldogulni	ˈboldogulni
