00-ig	ɒːg
fizetve	fizɛtvɛ
fizika	fizikɒ
fizikai	fizikaɪ
fizikai	fizikɒji
fizikailag	fizikɒjilɒg
fizikailag	ˈfiʒikɒligɒ
fizikák	fizikaːk
fizikálisan	ˈfiʒikaːliʃɒn
fizikát	fizikaːt
fizikus	fizikus
fizikus	fizikuʃ
fizikusok	fizikuʃok
fiziológia	fizijoloːgijɒ
fiziológiai	fizijoloːgijɒji
fjodor	fjodor
fjord	fjord
fjordok	fjordok
f	ɟ
flack	flɒk
flakon	flɒkon
flakonon	flɒkonon
flamand	flɒmɒnd
flamandok	flɒmɒndok
flambíroz	flɒmbiːroz
flamingó	flɒmiŋgoː
flamingók	flɒmiŋgoːk
flancos	flɒntʃoʃ
flanders	flɒndɛʃ
flandria	flɒndrijɒ
flanel	flɒnɛl
flash	flɒʃ
flaska	flɒʃkɒ
flaskák	flɒʃkaːk
flastrom	flɒʃtrom
flegmatikus	flɛgmɒtikuʃ
fleming	flɛmiŋ
fleróvium	flɛroːvijum
fletcher	flɛtʃɛr
flexel	flɛksɛl
flexibilitás	flɛksibilitaːʃ
flexibilitások	flɛksibilitaːʃok
flick	flɪk
flight	flɛɪt
flint	flint
flo	foː
flopi	flopi
flopilemezek	flopilɛmɛzɛk
flopilemez	flopilɛmɛz
flóra	floːrɒ
flora	flɔrɒ
florence	fluːrɛntsɛ
flores	fluʁɛʃ
floridába	fluridɒbɒ
floridában	ˈfloriðaːbɒn
floridából	flɔriˈdaːbʌʃ
florida	flɔriːdɒ
floridai	flɒriɟɒi
florrick	flɒritʃ
flört	flørt
flörtölés	flørtøleːʃ
flörtöl	flørtøl
flörtölni	flørtølni
flörtölsz	flørtølʃ
flörtöltem	fløɾtøltɛm
flörtölt	fløːrtølt
flótás	floːtaːʃ
flotta	flotːɒ
flotta	flɔtːɒ
flották	flotːaːk
flottát	flɔtɒt
floyd	floːj
flúgos	fluːgoʃ
fluktuáció	fluktuaːtsijoː
fluktuációk	fluktuaːtsijoːk
fluktuál	fluktuaːl
fluoreszkál	fluorɛskaːl
fluoreszkálóbb	fluorɛskaːloːbː
fluoreszkáló	fluorɛskaːloː
fluor	fluor
fluorid	fluorid
fluorit	fluorit
fluorok	fluorok
fluxus	fluksuʃ
fly	flɨ
flynn	flɨn
fmark	ɸmɑrk
fncomic	ˈfɲoːmitʃ
fnhzst	fɲɒst
fnzennor	ˈfɲɛnːor
főbb	foːbː
főbb	føːbː
főbe	foːbɛ
főbejárat	foːˈbɛjaːrɒt
főbejárat	føːbɛjaːrɒt
főbejáraton	foːbeːjaːrɒton
főbérlő	foːbeːrløː
fóbia	foːbijɒ
fóbiák	foːbijaːk
fóbiás	foːbijaːʃ
focicsapat	fotʃitʃɑpɑt
foci	fotsi
föci	føtsi
focik	fotsik
focilabda	fotsilɒbdɒ
focilabdák	fotsilɒbdaːk
főcím	foːtsiːm
focipálya	fotsipaːjɒ
fociról	foʃiroːl
focis	fotʃis
focista	foʃista
focista	fotsiʃtɒ
focit	foʃit
focizik	fotsizik
focizni	foʃizni
född	fødː
födémek	fødeːmɛk
födém	fødeːm
föderáció	ˈføːdɛraːʃjoː
föderáció	fødɛraːtsijoː
föderációk	fødɛraːtsijoːk
föderációs	ˈfødøraːtsioːʃ
főd	føːd
föd	fød
fodor	fodor
fodormenta	fodormɛntɒ
fodormenták	fodormɛntaːk
fodra	fodrɒ
fodrászat	fodraːsɒt
fodrászatok	fodraːsɒtok
fodrász	foːdraːʃ
fodrász	fodraːs
fodrászhoz	foːdraːʃoː
fodrászinas	fodraːsinɒʃ
fodrásznál	foːdraːsnɑːl
fodrásznő	fodraːsnøː
fodrászok	fodraːsok
fodrászszalon	fodraːsːɒlon
fodrászüzlet	fodraːsyzlɛt
fodrok	fodrok
födte	føtːɛ
főfelügyelő	foːfɛlyːɛløː
fo	fo
fő	foː
fő	føː
fogadalmak	fogɒdɒlmɒk
fogadalmat	fogɒdɒlmɒt
fogadalom	fogɒdɒlom
fogadása	fogɒdaːʃɒ
fogadására	fogaːdaːʃɒrɒ
fogadására	fogɒdaːʃaːrɒ
fogadás	fogaːdaːʃ
fogadás	fogɒdaːʃ
fogadásokat	fogɒdaːʃokɒt
fogadások	fogɒdaːʃok
fogadáson	fogɒdaːʃon
fogadásra	fogɒdaːʃrɒ
fogadást	fogɒdaːʃt
fogadd	fogɒdː
fogad	fogɒd
fogadhat	fogɒthɒt
fogadhatok	fogɒthɒtok
fogadhatom	fogɒdɒtom
fogadhoz	fogɒthoz
fogadja	fogɒɟːɒ
fogadja	fogɒɟɒ
fogadják	fogɒdʒɒk
fogadják	fogɒɟːaːk
fogadjam	fogɒdʒɒm
fogadjátok	fogɒɟoːtɒk
fogadj	fogɒɟ
fogadj	fogɒɟː
fogadjisten	fogɒɟːiʃtɛn
fogadjon	fogɒɟon
fogadjuk	fogɒɟuk
fogadjunk	fogɒdʒuŋk
fogadlak	fogɒdlɒk
fogadná	fogɒdnaː
fogadna	fogɒdɲɒ
fogadnak	fogɒdnɒk
fogadnék	fogɒdneːk
fogadnia	fogɒdniɒ
fogadni	fogɒdni
fogadnod	fogɒdnɔd
fogadnom	fogɒdnɔm
fogadnunk	fogɒdnunk
fogadóba	fogaːdoːbɒ
fogadóban	fogaːdoːbɒn
fogadod	fogɒdoː
fogadó	fogaːdoː
fogadó	fogɒdoː
fogadók	fogɒdoːk
fogadok	fogɒdok
fogadom	fogɒdom
fogadós	fogɒdoːʃ
fogadósné	fogɒdoːʃneː
fogadósok	fogɒdoːʃok
fogadót	fogaːdot
fogadott	fogɒdotː
fogadott	fogɒtː
fogadsz	fogɒts
fogadtad	fogɒdːtɒd
fogadtad	fogɒtːɒd
fogadta	fogɒdːɒ
fogadta	fogɒtːɒ
fogadták	fogɒtːaːk
fogadtak	fogɒtːɒk
fogadtál	fogɒtːaːl
fogadtam	fogɒtːm
fogadtatás	fogɒtːɒtaːʃ
fogadtatás	fogɒttɒtaːʃ
fogadtatások	fogɒtːɒtaːʃok
fogadtuk	fogɒtːuk
fogadtunk	fogɒtːuŋk
fogadunk	fogɒduŋk
foga	fogɒ
foga	fɔgɒ
fogához	fogaːɦoz
fogaidat	fogɒidɒt
fogaid	fogɒj
fogai	fogɒi
fogaim	fogɒim
fogait	fogɒjt
fogakat	fogɒkɒt
fogakban	fogɒgbɒn
fogakért	fogɒkeːrt
fogak	fogɒk
fogakig	fogɒkig
fogakká	fogɒkːaː
fogakkal	fogɒkːɒl
fogakként	fogɒkːeːnt
fogaknak	fogɒknɒk
fogakon	fogɒkon
fogalmad	fogɒlmɒd
fogalma	fogɒlma
fogalma	fogɒlmɒ
fogalmaid	fogɒlmɒjid
fogalmai	fogɒlmɒji
fogalmaik	fogɒlmɒjik
fogalmaim	fogɒlmɒjim
fogalmaink	fogɒlmɒjiŋk
fogalmaitok	fogɒlmɒjitok
fogalmakat	fogɒlmɒkɒt
fogalmak	fogɒlmɒk
fogalmam	fogɒlmɒ
fogalmam	fogɒlmɒm
fogalmának	fogɒlmaːnɒk
fogalmát	fogɒlmaːt
fogalmat	fogɒlmɒt
fogalmatok	fogɒlmɒtok
fogalmaz	fogɒlmɒz
fogalmazni	fogɒlmɒzɲi
fogalmazott	fogɒlmazot
fogalmazta	fogɒlmɒstɒ
fogalmaztam	fogɒlmɒstɒm
fogalmazva	fogɒlmɒzva
fogalmazvány	fogɒlmɒzvaːɲ
fogalmazványok	fogɒlmɒzvaːɲok
fogalmazzak	fogɒlmɒzɒk
fogalmazzam	fogɒlmɒzzɒm
fogalmazzunk	fogɒlmɒzunk
fogalmuk	fogɒlmuk
fogalmunk	fogɒlmuŋk
fogalmunk	fogɒlmʊŋk
fogalom	fogɒlom
fogamat	fogɒmɒt
fogam	fogɒm
fogamhoz	fogɒmɦoz
fogamzás	fogɒmzaːʃ
fogamzásgátló	fogɒmzaːʃgaːtloː
fogamzásgátló	fogɒmzaːʒgaːtloː
fogamzásgátlók	fogɒmzaːʒgaːtloːk
fogamzásgátlót	fogɒmzaːʃgaːtolot
fogamzások	fogɒmzaːʃok
fogamzz	fogɒmz
fogantatás	fogɒntɒtaːʃ
fogant	fogɒnt
fogantyú	fogɒɲcuː
fogaras	fogɒrɒʃ
fogás	fogaːʃ
fogas	fogɒʃ
fogaskerekek	fogɒʃkɛrɛkɛk
fogaskerék	fogɒʃkɛreːk
fogások	fogaːʃok
fogasok	fogɒʃok
fogást	fogaːst
fogászat	fogaːsɒt
fogászati	fogaːʃɒti
fogászatok	fogaːsɒtok
fogász	fogaːs
fogászok	fogaːsok
fogata	fogɒtɒ
fogát	fogaːt
fogat	fogɒt
fogatlan	fogɒtlɒn
fogatni	fogɒtni
fogatok	fogɒtok
fogatokhoz	fogɒtokhoz
fogban	fogbɒn
fogdába	fogdɒbɒ
fogdában	fogdaːbɒn
fogda	fogdɒ
fogdák	fogdaːk
fogd	fogd
fogdmeg	fogdmɛg
fog-e	fogɛ
fogékonyabban	fogeːkoɲɒbːɒn
fogékonyabb	fogeːkoɲɒbː
fogékonyan	fogeːkoɲɒn
fogékony	fogeːkoɲ
fogékonyság	fogeːkoɲʃaːg
fogékonyságok	fogeːkoɲʃaːgok
fogért	fogeːrt
fog	fog
fog	fɔg
foggá	fogːaː
foggal	fogːɒl
foggyökér	fogɟøkeːr
foghat	fokhɒt
fogható	foghoːtɒloː
fogható	fokhɒtoː
foghatom	foghɒtom
foghatót	foghɒtoːt
fogig	fogig
fogjad	fogjɒd
fogja	fogjɒ
fogja	foɟɒ
fogják	fogjaːk
fogjak	fogjɒk
fogják	foɟaːk
fogjam	fogjɒm
fogjanak	fogjɒnɒk
fogjátok	fogjaːtok
fogjatok	fogjɒtok
fogjátok	foɟːaːtok
fogj	fogʝ
fogj	fɔɟ
fogjon	fogjon
fogjuk	fogjuk
fogjunk	fogjunk
fogjunk	fogjuŋk
fogkefe	fogkɛfɛ
fogkefe	fokːɛfɛ
fogkefék	fokːɛfeːk
fogkefét	fogkɛfeːt
fogként	fokːeːnt
fogkrémek	fokreːmɛk
fogkrémet	fogkreːmɛt
fogkrém	fogkreːm
fogkrém	fokreːm
foglak	foglɒk
foglalás	foglɒlaːs
foglalás	foglɒlaːʃ
foglalást	foglɒlaːʃt
foglalatosság	foglɒlɒtoʃːaːg
foglalatosságok	foglɒlɒtoʃːaːgok
foglald	foglɒld
foglal	foglɒl
foglalja	foglaːja
foglalja	foglɒjːɒ
foglalják	foglaːj
foglaljanak	foglɒjɒnɒk
foglaljatok	foglɒjɒtok
foglalj	foglɒj
foglaljon	foglɒʝon
foglaljuk	foglɒɟuk
foglalkozása	fogɒlɒkɒzɒʃɒ
foglalkozás	foglɒlkozaːʃ
foglalkozás	foglokaːzoːʃ
foglalkozási	foglɒlkozaːʃi
foglalkozások	foglɒlkozaːʃok
foglalkozást	foglokaːzaːʃt
foglalkozik	foglɒlkozik
foglalkozik	fogloˈkɒzɪk
foglalkoznak	fogloˈkoltsnak
foglalkoznia	fogloˈkɔʃɲɒ
foglalkozni	foglɒlkozni
foglalkozni	fogloˈkoltsi
foglalkoznod	fogloʊkɒznoːd
foglalkoznom	fogloˈkɒlɒʃom
foglalkoznunk	fogloˈkoltsung
foglalkozó	foglɒlkozoː
foglalkozó	fogloʊkɒzoː
foglalkozok	fogloˈkɒzok
foglalkozol	fogloʊkɒzol
foglalkozom	foglɒlkozom
foglalkozom	fogloʊkɒzom
foglalkozott	fogloʃoʊt
foglalkoztak	foglɒlkoʃtɒk
foglalkoztál	foglɒlkoʃtaːl
foglalkoztam	foglɒlkoztɒm
foglalkoztatás	foglɒlkostɒtaːʃ
foglalkoztatási	foglɒlkostɒtaːʃi
foglalkoztat	foglɒlkostɒt
foglalkoztató	foglɒlkostɒtoː
foglalkoztatottak	foglɒlkostɒtotːɒk
foglalkoztatott	foglɒlkostɒtotː
foglalkoztunk	foglɒlkostunk
foglalkozunk	foglokozunk
foglalkozzak	fogloˈkɒlɒs
foglalkozzanak	fogloʊkɒlɒʃɒnɒk
foglalkozzatok	fogloˈkɔzɒtok
foglalkozz	foglɒlkozː
foglalkozz	fogloˈkɔs
foglalkozzon	fogloˈkoltson
foglalkozzunk	fogloˈkɒlɒtsunk
foglalni	foglɒlni
foglaló	foglɒloː
foglalok	fogɫɒloʊ
foglalót	foglɒloːt
foglalta	foglɒltɒ
foglalták	foglɒltaːk
foglaltak	foglɒltɒk
foglaltak	foglɒtɒk
foglaltam	foglɒltɒm
foglaltatik	foglɒltɒtik
foglalt	foglɒlt
foglaltunk	foglɒtunk
foglalva	foglɒlvɒ
foglya	fogjɒ
foglya	fogljɒ
foglyod	fogjod
foglyokat	fogloʝɒt
foglyok	fogjok
foglyok	fogloːk
foglyom	fogjom
foglyom	foɟloːm
foglyot	foglojot
foglyotok	fogjotok
foglyukak	fogjukɒk
foglyuk	fogjuk
foglyul	fogjuːl
foglyul	fogjul
foglyunk	fogjuŋk
fogmeder	fogmɛdɛr
fogmedernyúlvány	fogmɛdɛrɲuːlvaːɲ
fogmedernyúlványok	fogmɛdɛrɲuːlvaːɲok
fogmedrek	fogmɛdrɛk
fognád	fognaːd
fogná	fognaː
fogna	fognɒ
fognák	fognaːk
fognak	fognɒk
fognál	fognaːl
fognia	fogniɒ
fogni	fogni
fognod	fognɔd
fognom	fognom
fognunk	fognunk
fogócska	fogoːtʃkɒ
fogócskák	fogoːtʃkaːk
fogod	fogod
fogó	fogoː
fogók	fogoːk
fogok	fogok
fogolycsere	fogojtʃɛrɛ
fogolycserék	fogojtʃɛreːk
fogoly	fogoj
fogoly	fogol
fogom	fogom
fogon	fogon
fogorvos	fogorvoʃ
fogorvoshoz	fogorvoʃ
fogorvosi	fogorvoʃiː
fogorvosnál	fogorvoʃnaːl
fogorvosok	fogorvoʃok
fogót	foːgoːt
fogott	fogotː
fogpiszkáló	fokpiskaːloː
fogságba	fogʃaːgbɒ
fogságban	fogʃaːgbɒn
fogság	fokʃaːg
fogselyem	fokʃɛjɛm
fogselymek	fokʃɛjmɛk
fogszabályzó	foksɒbaːjzoː
fogszám	foksaːm
fogsz	fogs
fogsz	foks
fogtad	fogtɒd
fogta	fogtɒ
fogta	foktɒ
fogták	fogtaːk
fogtak	fogtɒk
fogtál	fogtaːl
fogtam	fogtɒm
fogtam	foktɒm
fogtok	fogtok
fogtok	foktok
fogtuk	fogtuk
fogtündérek	foktyndeːrɛk
fogtündér	fogtyndeːr
fogtündér	foktyndeːr
fogtunk	fogtuŋk
fogú	foguː
foguk	foguk
fogukhoz	fogukhoz
fogunk	foguŋk
fogunkhoz	foguŋkhoz
fogva	fogvɒ
fogvatartott	fogvɒtɒrtotː
fogyasztása	foɟɒstaːʃɒ
fogyasztás	foɟaʃtaːʃ
fogyasztás	foɟɒstaːʃ
fogyasztási	foɟɒstaːʃi
fogyasztások	foɟɒstaːʃok
fogyasztásra	foɟɒstaːʃrɒ
fogyasztasz	foɟɒstɒs
fogyaszt	foɟɒst
fogyasztó	foɟɒstoː
fogyasztói	foɟɒstoːji
fogyasztók	foɟɒstoːk
fogyasztok	foɟɒstok
fogyasztott	foɟɒstot
fogyasztóvédelem	foɟɒstoːveːdɛlɛm
fogyaték	foɟɒteːk
fogyatékkal	foɟɒteːkːɒl
fogyatékos	foɟaːteːkoʃ
fogyatékos	foɟɒteːkoʃ
fogyatékosok	foɟɒteːkoʃok
fogyatékosság	foɟɒteːkoʃːaːg
fogyatkozás	foɟɒtkozaːʃ
fogyatkozások	foɟɒtkozaːʃok
fogyatkozik	foɟɒtkozik
fogyd	foɟd
fogy	foɟ
fogy	fɔɟ
fogyj	foɟː
fogynak	foɟɲɒk
fogyni	foɟni
fogyóbb	foɟoːbː
fogyó	foɟoː
fogyóhold	foɟoːɦold
fogyott	foɟoːt
fogyott	foɟotː
fogysz	focs
fogytál	foɟtaːl
fogytam	foɟtɒm
fogytán	foɟtaːn
fogzománc	fogzomaːnts
fogzománcok	fogzomaːntsok
főhadiszállása	foːhadisːaːlɒʃɒ
főhadiszállás	foːhadisːaːlaːʃ
főhadiszállásra	foːˈhɒdisːɒlɒsɾɒ
főhadnagy	foːˈhɒdɲɒɟ
fohász	foɦaːs
fohászok	foɦaːsok
főhercegek	føːɦɛrtsɛgɛk
főherceg	føːɦɛrtsɛg
főhet	føːɦɛt
főhős	foːøʃ
főidény	føːjideːɲ
főigazgató	føːjigɒzgɒtoː
főiskola	foːiskɔlɒ
főiskola	føːjiʃkolɒ
főiskolai	foːiʃkolaːi
főiskolai	føːjiʃkolɒji
főiskolák	føːjiʃkolaːk
főiskolán	foːiʃkolaːn
főiskolára	foːiʃkolaːrɒ
főiskoláról	foːiskolaːrʊl
főiskolás	foːiskolaːʃ
főiskolát	foːiʃkoːlaːt
főispán	føːjiʃpaːn
főispánja	føːjiʃpaːɲːɒ
főj	føːj
fojtani	fojtɒni
fojt	fojt
fojthat	fojthɒt
fojtja	fojcɒ
fojtogatás	fojtogɒtaːʃ
fojtogató	fojtogato
fojtottabb	fojtotːɒbː
fojtotta	fojtotta
fojtották	fojtották
fojtott	fojtotː
fojtsd	fojdʒd
fojts	fojtʃ
fojtunk	fojtuŋk
fóka	foːkɒ
foka	fokɒ
fókák	foːkaːk
főkapitány	foːkɒpiˈtaːɲ
fókát	foːkaːt
fokát	fokaːt
főként	foːkælt
főként	føːkeːnt
főképpen	føːkeːpːɛn
főképp	foːkeːp
főképp	føːkeːpː
fok	foːk
fők	føːk
fok	fok
fokhagyma	foːkˈhɒɟmɒ
fokhagyma	fokhɒɟmɒ
fokhagymák	fokhɒɟmaːk
fokhagymás	foːkɦɒɟmaːʃ
fokhagymát	foːkˈhɒɟmaːt
foki	foki
fokig	fokig
fokkal	fokːɒl
fokkal	fɔkɒl
fokok	fokok
főkolompos	føːkolompoʃ
fokom	fokom
főkön	føːkøn
fokon	fokon
fokon	fokoɲ
főkör	føːkør
fokos	fokoʃ
fokot	fokot
főkötő	føːkøtøː
főkötők	føːkøtøːk
fokozás	fokozaːʃ
fokozások	fokozaːʃok
fokozat	ˈfokotaʃ
fokozat	fokozɒt
fokozatok	fokozɒtok
fokozatosabban	fokozɒtoʃɒbːɒn
fokozatosabb	fokozɒtoʃɒbː
fokozatosan	ˈfokozɒtoʃɒn
fokozatosan	fokozɒtoʃɒn
fokozatos	fokozɒtoʃ
fokozatú	ˈfokotaːzuː
fokoz	fokoz
fokozhat	fokoshɒt
fokozható	fokoshɒtoː
fokozódik	fokozoːdik
fokozódik	ˈfokozodiːk
fokozottabb	fokozotːɒbː
fokozottan	fokozotːɒn
fokozott	ˈfokotsot
fokozott	fokozotː
fokozza	ˈfokozːɒ
fokra	fokra
főkre	føːkrɛ
foksány	fokʃaːɲ
fokú	foku
fokú	fokuː
fókuszál	foːkusaːl
fókuszálni	ˈfokuʃaːlni
fókuszcsoport	foːkustʃoport
fókuszcsoportok	foːkustʃoportok
fókusz	foːkus
fókusztávolság	foːkustaːvolʃaːg
fokváros	fokvaːroʃ
fölbecsül	følbɛtʃyl
fölborul	følborul
földalatti	føldɒlɒtːi
földalatti	ˈføldɒlɒtti
földalattik	føldɒlɒtːik
földbe	ˈføldbɛ
földbe	føldbɛ
földben	ˈføldbɛn
földbirtok	føldbirtok
földbirtokos	føldbirtokoʃ
földbirtokosok	føldbirtokoʃok
földből	ˈføldbøːl
földcsuszamlás	følttʃusɒmlaːʃ
földdarab	føldɒrɒb
földdé	føldeː
földdel	ˈføldɛl
földdel	føldɛl
földeák	føldɛaːk
földeken	ˈføldɛkɛn
földeket	ˈfølgɛkɛt
földek	ˈføldɛk
földek	føldɛk
földekre	føldɛkrɛ
földelések	føldɛleːʃɛk
földelés	føldɛleːʃ
földel	føldɛl
földem	føldɛm
földesebb	føldɛʃɛbː
földes	føldɛʃ
földesúr	føldɛʃuːr
földet	ˈføldɛt
földet	føldɛt
föld	foːld
föld	føld
földgáz	føldgaːz
földgázok	føldgaːzok
földgömb	føldgømb
földhöz	ˈføldhøs
földhöz	følthøz
földiek	føldijɛk
földiek	ˈfølɟɛk
földieper	føldijɛpɛr
földi	ˈføldi
földi	føldi
földig	ˈføldig
földigiliszta	føldigilistɒ
földimalac	føldimɒlɒts
földimalacok	føldimɒlɒtsok
földimogyoró	føldimoɟoroː
földimogyorók	føldimoɟoroːk
földje	ˈføldjɛ
földje	følɟɛ
földjén	ˈføldjeːn
földjére	ˈføldjɛrɛ
földjét	ˈføldjeːt
földkéreg	føltkeːrɛg
földkupac	føltkupɒts
földművelésügyi	føldmyːvɛleːʃyɟi
földműves	ˈføldmyːvɛʃ
földműves	føldmyːvɛʃ
földnek	ˈføldnɛk
földnyelvek	føldɲɛlvɛk
földnyelv	føldɲɛlv
földön	ˈføldøn
földön	føldøn
földönkívüliek	ˈføldøŋkiːvylieːk
földönkívüli	føldøŋkiːvyli
földönkívüli	ˈføldøŋkiʋɛli
földpát	føltpaːt
földrajz	ˈføldrɒj
földrajz	føldrɒjz
földrajzi	ˈføldrɒjzi
földrajzi	føldrɒjzi
földrajztudós	føldrɒjstudoːʃ
földrajztudósok	føldrɒjstudoːʃok
földre	ˈføldrɛ
földre	føldrɛ
földrengések	ˈføldrɛŋgeːʃ
földrengések	føldrɛŋgeːʃɛk
földrengés	ˈføldrɛŋgeːs
földrengés	føldrɛŋgeːʃ
földrengést	ˈføldrɛŋeːst
földrész	føldreːs
földről	ˈfølgørː
földszín	føltsiːn
földszinten	ˈføldsɛtɛn
földszinten	føltsintɛn
földszint	ˈføldsint
földszint	føltsint
földszinti	ˈføldsintʃi
földszintre	ˈføldsɛntɾɛ
földszoros	føltsoroʃ
földszorosok	føltsoroʃok
földtan	føltɒn
földtani	føltɒni
földteke	føltɛkɛ
földtekék	føltɛkeːk
földterület	føltɛrylɛt
földtől	ˈføltøːl
földtől	føltøːl
földtudomány	føltudomaːɲ
földünket	ˈføldyŋkɛt
földünk	ˈføldyŋk
földutak	føldutɒk
földút	følduːt
föléd	føleːd
fölé	ˈføle
fölé	føleː
főleg	foːleːg
főleg	føːlɛg
föléje	føleːjɛ
föléjük	føleːjyk
fölém	føleːm
fölénk	føleːŋk
fölény	føleːɲ
fölétek	føleːtɛk
foley	foleː
fölfelé	følfɛleː
fölfelé	følfɛlɛ
föl	føl
fölfújódik	følfuːjoːdik
fölfúvódik	følfuːvoːdik
fölhagy	følɦɒɟ
fólia	foːlijɒ
fóliasátor	foːlijɒʃaːtor
fóliasátrak	foːlijɒʃaːtrɒk
fölír	føliːr
följebb	føjːɛbː
fölkavar	følkɒvɒr
fölkeres	følkɛrɛʃ
folklór	folkloːr
folklorista	folkloriʃtɒ
folklorisztika	folkloristikɒ
folklorizáció	folklorizaːtsijoː
folklorizmus	folklorizmuʃ
fölmegy	følmɛɟ
fölmérgesít	følmeːrgɛʃiːt
fölnyúlik	følɲuːlik
fölös	føløʃ
fölöslegesebb	føløʃlɛgɛʃɛbː
fölöslegesen	ˈføløʃlɛgɛʃɛn
fölösleges	føløʃlɛgɛʃ
fölösleges	ˈføløʃløgɛʃ
fölöttébb	føløtːeːbː
fölötted	føløtːɛd
fölötte	føløtːɛ
fölötte	føˈløtːø
fölöttem	ˈføløtːɛm
fölöttem	føløtːɛm
fölöttetek	føløtːɛtɛk
fölött	føløt
fölött	føløtː
fölötti	føˈløtːi
fölötti	føløtːi
fölöttük	føløtːyk
fölöttünk	føˈløtːøŋk
fölöttünk	føløtːyŋk
folpack	folpɒkː
folsav	folʃɒv
fölső	følʃøː
fölszállás	følsaːlːaːʃ
fölszáll	følsaːlː
föltalál	føltɒlaːl
folt	folt
foltokat	foltokɒt
foltok	foltok
foltosabb	foltoʃɒbː
foltosak	foltoʃɒk
foltos	foltoʃ
foltot	folot
foltot	foltot
fölüle	følylɛ
fölületesebb	følylɛtɛʃɛbː
fölületes	følylɛtɛʃ
fölül	følyl
fölülír	følyliːr
fölülmúl	følylmuːl
fölülünk	følylyŋk
fölvált	følvaːlt
folyadék	fojɒdeːk
folyadék	foljɒdeːk
folyadékkal	foljɒdeːkːɒl
folyadékok	fojɒdeːkok
folyadékot	foljɒdeːkɔt
folyamán	fojɒmaːn
folyamán	folaːmaːn
folyamatában	fojɒmɒtaːbɒn
folyamatábra	fojɒmɒtaːbrɒ
folyamata	fojɒmɒtɒ
folyamata	folaːmɒtɒ
folyamatát	fojɒmɒtaːt
folyamatba	fojɒmɒdbɒ
folyamatban	fojɒmɒdbɒn
folyamatban	foljɒmɒtbɒn
folyamatért	fojɒmɒteːrt
folyamat	fojɒmɒt
folyamat	foljɒmɒt
folyamatig	fojɒmɒtig
folyamatjelző	fojɒmɒcːɛlzøː
folyamatként	fojɒmɒtkeːnt
folyamatnak	fojɒmɒtnɒk
folyamatokat	fojɒmɒtokɒt
folyamatokért	fojɒmɒtokeːrt
folyamatok	fojɒmɒtok
folyamatokig	fojɒmɒtokig
folyamatokká	fojɒmɒtokːaː
folyamatokkal	fojɒmɒtokːɒl
folyamatoknak	fojɒmɒtoknɒk
folyamatokon	fojɒmɒtokon
folyamatokra	fojɒmɒtokrɒ
folyamaton	fojɒmɒton
folyamatosabban	fojɒmɒtoʃɒbːɒn
folyamatosabb	fojɒmɒtoʃɒbː
folyamatosan	fojɒmɒtoʃɒn
folyamatosan	folajamotosɒn
folyamatos	fojɒmɒtoʃ
folyamatos	foʎɒmɒtoʃ
folyamatot	foːjɒmɒtot
folyamatot	fojɒmɒtot
folyamatra	fojɒmɒtrɒ
folyamattá	fojɒmɒtːaː
folyamattal	fojɒmɒtːɒl
folyam	fojɒm
folyamkilométer	fojɒmkilomeːtɛr
folyamodik	fojɒmodik
folyamodvány	fojɒmodvaːɲ
folyamodványok	fojɒmodvaːɲok
folyamok	fojɒmok
folyékonyabban	fojeːkoɲɒbːɒn
folyékonyabb	fojeːkoɲɒbː
folyékonyan	fojeːkoɲɒn
folyékonyan	foljeːkɔɲɒn
folyékony	fojeːkoɲ
folyékony	foʎeːkoːɲ
folyik	fojik
folyik	foliːk
folyj	fojː
folyjon	fojːon
folynak	foˈlynɒk
folyni	folynɪ
folyóba	foʎoːbɒ
folyóban	fojoːbɒn
folyóban	foˈloːbɒn
folyóból	foljoːboːl
folyó	foːloː
folyó	fojoː
folyóhoz	foˈlojohoz
folyóirat	fojoːjirɒt
folyóiratok	fojoːjirɒtok
folyókat	fojoːkɒt
folyók	fojoːk
folyok	fojok
folyók	foljoːk
folyókon	fojoːkon
folyomány	fojomaːɲ
folyományok	fojomaːɲok
folyómeder	fojoːmɛdɛr
folyónál	fojoːnaːl
folyónál	foljoːnaːl
folyón	fojoːn
folyón	foljoːn
folyópart	fojoːpɒrt
folyópartok	fojoːpɒrtok
folyóparton	foˈloːpɑrton
folyósabb	fojoːʃɒbː
folyós	fojoːʃ
folyosó	fojoʃoː
folyosó	foljoʃoː
folyosók	fojoʃoːk
folyosókon	foljoʃoːkɔn
folyosón	fojoʃoːn
folyosón	foljoʃoːn
folyosóra	foljoʃoːrɒ
folyosót	foljoʃoːt
folyószámla	fojoːsaːmlɒ
folyót	foljoːt
folyótorkolat	fojoːtorkolɒt
folyóvíz	fojoːviːz
folysz	fojs
folytán	fojtaːn
folytán	folytɒn
folytasd	folotɑʃd
folytassa	foˈlotɒsɒ
folytassák	foljtɒsɒk
folytassam	foˈlotɒsːm
folytassátok	foljtɒʃaːtok
folytassuk	foljtɒsːk
folytatása	fojtɒtaːʃɒ
folytatása	foljtɒtɒʃɒ
folytatás	fojtɒtaːʃ
folytatás	foˈlotaːʃ
folytatások	fojtɒtaːʃok
folytatást	foljtɒtɑʃt
folytat	fojtɒt
folytat	foljtɒt
folytathatja	foljɒthɒtjɒ
folytathatjuk	foˈlotɒhatjuk
folytathatnánk	foljtɒhɒtɒnːk
