!xóõ	ksˈoː
'bekeren	bəkˈeːrən
allen	alən
allen	ˈɑlən
allenig	ˈɑlˌeːnˌɪɣ
aller	ˈɑlər
alleraardigst	ˌɑlɪːrˈaːrdəxst
alleraardigste	ˌɑlɪːrˈaːrdəxstə
allerbelabberdste	ˈɑlərbˌeːlɑbˌɛrtstə
allerbelangrijkst	ˈɑlərbəlˈɑŋrɛɪkst
allerberoerdst	ɑˈlɛrbəroːrdst
allerbeste	ˈɑlərbˌɛstə
allereerst	ˈɑləˈɪːɾst
allereerst	ˈɑlɪːrˌɪːrst
allergenenbeheer	ɑllɛrɣənɛnbəhˈeːr
allergie	ˌɑlərɣˈi
allergisch	ɑlˈɛrɣis
allerheiligen	ˌɑlərhˈɛɪləɣən
allerhoogst	ˌɑlərhˈoːxst
allerlaatst	ˈɑlərlˌaːtst
allerlaatste	ˈɑlərlˌaːtstə
allerlei	ˈɑlərlˌɛɪ
allerlekkerste	ˈɑlərlˈɛkərstə
allerliefst	ˌɑlərlˈifst
allerliefste	ˈɑlərlˌivstə
allerminst	ˈɑlərmˌɪnst
allerminste	ˈɑlərmˈɪnstə
allermooiste	ˈɑlərmˈɔˈɵstˌeː
allerscherpste	ɑlˌərɛsxˈɛrpstə
allerwegen	ˈɑlərʋˈeːɣən
allerzielen	ˌɑlərzˈilən
alles	ˈɑləs
allesbepalend	ˈɑləsbəpˈaːlənt
allesbrander	ˈaləsbrˈɑndər
allesomvattend	ˈɑləsˈɔmvˌɑtənt
allesomvattende	ˈɑləsɔmvˈɑtəntɛɪ
allesoverheersend	ɑlməzoːvərhˈɪrzɛnt
allesverwoestend	ˈɑləsvərʋˈustən
allesweter	ˈɑləsʋˈeːtər
alletwee	ˌɑlɛtʋˈeː
alliage	aliˈaʒˈ
alliance	ˈɑliˌɑnsə
alliantie	alljensi
allicht	ɑlˈɪxt
allicht	ˈɑllˈɪxt
allicht	ˈɑlɪxt
allison	ˌɑlizˈɔn
allochtoon	ˌɑlɔxtˈoːn
allotria	ˈɑlɔtrˌiaː
allotropie	ˌɑlɔtroːpˈi
alluderen	alydˈeːrən
alluderen	alɛt̪leɾes
alluderen	ˌɑlydˈɪːrən
allure	alˈyːrə
alluvium	ˈɑlyvˌiɵm
alma	ɑlma
alma	ˈɑlmaː
alma's	ˈɑlmaːs
alma-ata	ˈɑlmaːˈaːtaː
almacht	ˈɑlmɑxt
almanak	almanak
almaty	ˈɑlmaːtˌi
almaviva	ˌɑlmaːvˈivaː
almaviva's	ˌɑlmaːvˈivaːs
almee	ɑlmˈeː
almeeën	ˈɑlmeːən
almelo	almɛlɔ
almemmer	ˈɑlmɛmər
almemmers	ˈɑlmɛmərs
almemmor	ˈɑlmɛmˌɔr
almemmors	ˈɑlmɛmˌɔrs
almen	ˈɑlmən
almende	almɛndø
almenum	ɑlminəm
almere	almeɾa
almere	almiɾe
almone	ɑlmˈoːnə
almones	ɑlmˈoːnəs
aloene	ˈaːlunə
alom	alum
alomvattend	ɑlɔmvˈɑtənt
alone	aːlˈoːnə
alopecia	ˈaːloːpˌeːʃaː
aloud	ˈɑlˈaʊt
alp	ˈɑlp
alpaca	aupaka
alpaca	elpaka
alpaca	ɑlpˈaːkaː
alpen	alpɛn
alpen	ˈɑlpən
alpenbosmuis	alpənbˈɔʃmˈœys
alpenetappe	alpɛneːttˈɑpə
alpenforel	alpɛnfoɾɛl
alpengems	ɑlpənɣɛms
alpenhoorn	alpənhˈɔɾn
alpenrit	alpeɾit
alpensteenbok	ˈɑlpɛnstˈeːnbˈɔk
alpenstok	alpənstoːk
alpenstok	ˈɑlpənstˌɔk
alpenstokje	ˈɑlpənstˌɔkjə
alpenstokjes	ˈɑlpənstˌɔkjəs
alpenstokken	ˈɑlpənstˌɔkən
alpenweide	alpənʋˈɛɪdə
alpha	ˈɑlphaː
alpien	alpjn
alpine	alpina
alpinisme	alpinɪsmɪ
alpinist	alpinist
alpino	ɑlpˈinoː
alpino's	ɑlpˈinoːs
alpinootje	ˈɑlpinˌoːtjə
alpinootjes	ˈɑlpinˌoːtjəs
alras	alɣaːs
als	fals
als	ˈɑls
alsde	ˈɑlzdə
alseen	ɑlsˈeːn
alshet	ˈɑlshɛt
alsik	ˈɑlsɪk
alsje	ˈɑlsjə
alsjeblieft	ˌɑlʃɛblˈift
alsmede	ɑlsmˈeːdə
alsnog	alsnˈɔx
alsnog	ˈɑlsnɔx
alsof	alsˈɔf
alsof	ˈɑlsɔf
alsook	alsɔk
alstublieft	ˈɑlsˈyblˈift
alstublieft	ˌɑlstɵblˈift
alswe	ˈɑlsʋə
alsze	ˈɑlsə
altaar	altˈaɾ
altaarstukken	ˌɑltˈaːrstˌɵkən
altaimarmot	ɑltaːjmɑːrmˈɔt
altblokfluit	ˈɑltblˈɔkflˈœyt
altemets	ˈɑltəmˌɛts
alter	ˈɑltər
altercatie	alteɾkaːtsi
alternant	ˌɑltərnˈɑnt
alternantie	alt̪eɾnaɾẽn̪si
alternatie	alteɾnaːtˈsi
alternatief	al̪t̪eɾnat̪if
alternatief	ˌɑltərnaːtˈif
alternatieven	ɑltɛrnatiːvən
alternator	al̪t̪eɾnat̪oɾ
alterwetsj	ˈɑltərʋˌɛtʃ
alterwetsje	ˈɑltərʋˌɛtʃə
altforst	altfɔːst
althans	altˈtɑŋs
althobo	althoːmoː
althoorn	alˈtɣoːrn
althoren	altvˈoːrən
altijd	ˈɑltɛɪt
altimeter	altimejtˈɾ
alting	ˈaltɪŋ
altist	altˈɪst
altluit	ˈɑtlˌœyt
alto	ˈɑltoː
alto's	ˈɑltoːs
altoos	ɑltˈoːs
altruïst	ˌɑltryˈɪst
altruïste	ˈɑltryˌɪstə
altruïstes	ˌɑltryɪstˈɛs
altruïstisch	ˌɑltryˈɪstis
altviool	ˌɑltviˈoːl
aluin	lˈoʊn
alumineren	alymˈiɑ̃eːrˈɛn
aluminium	ˈaːlymˌiniˌɵm
aluminiumlaminaat	alymˈiniymlˈaːminˈaːtˈ
alumni	alomni
alumni	alˈɛmni
alumnus	alymnʊz
alvarez	ˈɑlvaːrˌɛs
alvast	alfɔst
alvast	alvˈɛst
alvast	ˈɑlvɑst
alveole	ˈɑlvəˌoːlə
alveolus	alviiolɛs
alvinne	alvˈɪnən
alvleesklier	ˈɑlfləsklˈir
alwederom	aːlʋeːdeɾɔm
alweer	ɑlʋˈɪr
alwetend	aːlveːtənt
alwin	alβ̞in
alzo	ˈɑlzoː
amabiliteit	amabilitˈɛt
amadina	amat̪ina
amah	ˈaːmɑh
amahai	ˈaːmaːhˌɑj
amahs	ˈaːmɑhs
amai	ãmai̯
amai	ˈaːmɑj
amakondera	amakuŋdɨɾa
amalekiet	ˌaːmaːləkˈit
amalekieten	ˌaːmaːləkˈitən
amalgaam	ˌaːmɑlɣˈaːm
amalgama	lamalxama
amalgama	ˌaːmɑlɣˈaːmaː
amalgama's	ˌaːmɑlɣˈaːmaːs
amanda	aːmˈɑndaː
amandava	amaldava
amandelbroden	ˌaːmɑndɛlbrˈoːdən
amandelbrood	ˌaːmɑndɛlbrˈoːt
amandelbroodje	ˈaːmɑndˌɛlbroːtjə
amandelbroodjes	ˈaːmɑndˌɛlbroːtjəs
amandelgebak	aːmˈɑndəlɣəbˈɑk
amandelschaafsel	aːmˈɑndəlˌsxˌɑfˈsɛl
amandelwolfsmelk	əmˈɑndəlwˈɔlfsmˈɛlk
amant	amˈant
amarant	aːmaːrˈɑlt
amaretto	ˌaːmaːrˈɛtoː
amaretto's	ˌaːmaːrˈɛtoːs
amarillo	ˌaːmaːrˈɪloː
amarillo's	ˌaːmaːrˈɪloːs
amateur	amatːoːr
amateurastronomen	amatˈøːlastroːnˈoːmɛn
amateurdetective	ˈaːmaːtˌøːrdətˌɛktivə
amateurdetectives	ˈaːmaːtˌøːrdətˌɛktivəs
amateurdichters	ɑmɑtˈøːrdˈɪxtərs
amateurkoor	amatˈøːrkˈur
amateuropname	ɑmɑtˈøːrˈɔpnˈaːmə
ambassade	ˌɑmbɑsˈaːdə
ambassadeur	ˌɑmbɑsaːdˈøːr
amber	ambɯr
amber	ˈɑmbər
ambergris	ɑmbˌɵrɣrɪs
ambetant	ˌɑmbətˈɑnt
ambitie	ambitʃi
ambitie	amβ̞jt̪si
ambitie	ɑmbˈitsi
ambities	ambjtʃis
ambities	amβ̞jt̪sis
ambitieus	ˌɑmbiʃˈøːs
ambly	ampli
amblyornis	ampliɔɾnes
ambon	ambon
ambrosia	ˈɑmbroːzˌiaː
ambt	amt
ambtenaar	ˈɑmbtənˌaːr
ambtenaartjes	ˈɑmptɛnˈaːtjəs
ambtenaren	ɑmteːnˈaːrɛn
ambtenares	ˌɑmbtənaːrˈɛs
ambtsbericht	ˈɑmtsbərˌɪxt
ambtsedig	ɑmtsɛədəx
ambtsketen	ɑmbtskˈeːtən
ambtstijd	amtsztˈɛɪt
ambulance	ˈɑmbylˌɑnsə
ambulancedienst	ˌɑmbylˌɑnsədˈinst
ambulancediensten	ˈɑmbylˌɑnsədˌinstən
ambulancevlucht	ˈɑmbˈɵlˌɑnkɛflˈɵxt
ambulancier	ˌɑmbylɑnsˈir
ambulanciers	ˌɑmbylɑnsˈirs
amby	ambj
amechtig	aːmˈɛxtəx
ameen	aːmˈeːn
amelo	amelo
amen	aːmmin
amen	ˈaːmən
amendabel	amɛndaːbɨl
amendement	amɛn̪d̪amˈɛnt
amendement	ˌaːməndəmˈɛnt
amendementen	ˌaːməndəmˈɛntən
amendementje	ˈaːməndəmˌɛntjə
amendementjes	ˈaːməndəmˌɛntjəs
amer	amor
america	ameriˈka
americium	amiɾisjəm
amerij	ɑmɛɾɛj
amerika	ameriːka
amerika	aːmˈɪːrikˌaː
amerikaan	ˌaːmɪːrikˈaːn
amerikaans	amɛɾjkans
amesz	ames
amfetaminegebruik	ɑpfˈeːtˈaːmˈinˌeːɣɛbrˈœyk
amfibie	amfibi
amfibie	ɑmfibi
amfibie	ˈɑmfibi
amfisbena	amfisbena
amfitheater	ˈɑmfɪtˌeːaːtər
amfoor	amfɔː
amfora	ɑmfˈoːraː
amicaliteit	amikalit̪eɾs
amice	amis
amict	amˈikt
amida	aːmˈidaː
amigo	aːmˈiɣoː
amigo's	aːmˈiɣoːs
amira	aːmˈiraː
amish	amiʃ
amitose	amitˈoz
ammelaken	ˌɑməlˈaːkən
ammelakens	ˈɑməlˌaːkəns
ammeratsem	ˈɑmɪːrˌɑtsəm
ammoniak	ɑmmoːniak
ammoniet	ˌɑmoːnˈit
ammonieten	ˌɑmoːnˈitən
ammonitische	ˌɑmoːnˈitisə
amnesie	amnesi
amnestie	ɑmnɛʃti
amnestieregeling	ɑmnɛstəɪrˈeːɣəlˌɪŋ
amnestiëren	amnestjɛrɛn
amoebe	amoːbə
amoebe	aːmˈubi
amoebe	ˈaːmubə
amoed	aːmˈut
amoediem	ˌaːmudˈim
amoeregel	amuɾeːɣˌo
amoerpanter	ɑmuʁpˌɑntˌeːr
amok	amˈok
amoledscherm	amɔlɛtʃtʃɜrm
amoniet	ˌaːmoːnˈit
amonieten	ˌaːmoːnˈitən
amonitische	ˌaːmoːnˈitisə
amor	ˈaːmɔr
amoraïtisch	ˌaːmoːraːˈitis
amoraïtische	ˌaːmoːraːˈitisə
amorets	ˈaːmoːrˌɛts
amorf	almɔrv
amorf	amˈɔʁf
amorf	ˈaːmɔrf
amoriet	ˌaːmoːrˈit
amorieten	ˌaːmoːrˈitən
amors	ˈaːmɔrs
amos	amos
amos	ˈaːmɔs
amotie	amutsi
amourette	ˌaːmuɾˈɛtə
amourettes	ˌaːmʌʊrɛtˈɛs
amoveren	amɛvɛrɛn
ampel	ɑmpˈɛl
ampele	ampɛlɛr
amper	ˈɑmpər
ampersand	ɑmpərsˈɑnt
ampliatie	ompliatsi
amplitudo	ampli̯tˈydˈo
ampsen	ɑmpʃɛn
ampul	ˈæmfˈɪl
amputatie	ampɔtˈaːsi
amputatie	apytaʁtsi
amratsem	ˈɑmrɑtsəm
amratses	ˌɑmrɑtsˈɛs
amstel	hæmstəl
amstelpark	ɑmstɑlpaːrk
amsterdam	ɑmstɑɾdɑm
amsterdam	ɑmstədam
amsterdam	ɑmʃtɪ̞rdɑm
amsterdam	ˈɑmstərdˌɑm
amsterdam	ˈɑmstəɣdˈɑm
amsterdammertje	ˈɑmstərdˌɑmɛrtjə
amsterdams	ɑmstɛrdams
amsterdamse	anstərdɑmse
amulet	ˌaːmylˈɛt
amuletje	ˈaːmylˌɛtjə
amuletjes	ˈaːmylˌɛtjəs
amuletten	ˌaːmylˈɛtən
amusant	ˌaːmyzˈɑnt
amuse	amuzi
amusement	amuzəmɛnt
amuseren	amuziɾin
amuzgo	aːmˈɵzɣoː
amvb	amvb
amy	ˈaːmi
amygdala	ˌaːmɪxdˈaːlaː
amygdalae	ˈaːmɪxdˌaːlaː
amytornis	amitˈoɾnis
amélia	amilia
an	ˈɑn
ana	ˈaːnaː
anabaptisme	ˌaːnaːbɑptˈɪsmə
anabasis	anabasis
anabole	ˌaːnaːbˈoːlə
anabolen	ãnaboːlən
anachronisme	anaxɾˈonɪsmɛ
anaconda	anakunda
anaconda	ˌaːnaːkˈɔndaː
anafora	anafoaɾa
anafylaxie	anafilaksj
anafylaxie	ˌaːnaːfˌilɑksˈi
anagram	anaɣram
anakiet	ˌaːnaːkˈit
anakieten	ˌaːnaːkˈitən
anakoloet	ʁanakolut
analecten	ˈaːnaːlˌɛktən
analepsis	anallɛpsis
analfabeet	ˌaːnɑlfaːbˈeːt
analfabete	ˈɑnˈɑlfˈɑbətən
analfabete	ˌaːnɑlfaːbˈeːtə
analfabetes	ˌaːnɑlfaːbˈeːtəs
analist	analiːst
analist	ˌaːnaːlˈɪst
analisten	ˌaːnaːlˈɪstən
analogon	ɑnɑlɔkɔn
analyse	analaʝɛs
analyse	ˈaːnaːlˌiɪsə
analyseren	ˌaːnaːlizˈɪːrən
analyst	analist
analytici	anaːlitiʃi
analyticus	analitikɛs
anamnesis	anɑmɲesis
ananas	ɑŋɑnɑs
ananasvezels	ananˈosfˈezˈɛls
anancasme	anɑnkaʃmɛ
anancus	anankas
anapest	annapest
anarchie	ɑnɑːrˈsiː
anarchie	ˌaːnɑrxˈi
anarcho-syndicalisme	aːnˈɑrxoːsˌɪndikaːlˈɪsmə
anarchosyndicalisme	ˌaːnɑrxˌoːzɪndˌikaːlˈɪsmə
anas	anas
anasjiem	ˌaːnɑʃˈim
anastrofe	anastʁɔfɛ
anathema	ˌaːnɑtˈeːmaː
anatomist	ˌaːnaːtoːmˈɪst
anatoom	anatum
anava	aːnˈaːvaː
anaïs	anaiʃ
and	ˈɑnt
andamanenspecht	ɑndˈaːmˈaːnənʃpˈɛxt
ander	anˈdɯr
ander	ˈɑndər
anderdaags	ˈɑndərədˈaːɣs
andere	ˈɑndərə
anderen	ˈɑndərən
anderhalf	ˈɑndərhˌɑlf
anderhalve	ˈɑndərhˈɑlvən
andermaal	ˌɑndərmˈaːl
anderman	ɑndɯ̞rmɑn
andermans	ˈɑndərmˌɑns
andermans	ˌɑndərmˈɑns
anders	ˈɑndərs
anders'	ˈɑndərs
andersgelovigen	ˈɑndərsɣəlˈoːvərən
anderslezen	ˈɑndərslˈeːzən
andersom	ˈɑndərsˌɔm
andersom	ˈɑndərˌsˈɔm
anderson	ˌɑndərsˈɔn
andersoortig	ˌɑndərsˈɔːrtəx
anderstalige	ɑndərstˈaːlɪɣən
anderstaligen	ˌɑndɜkstˈaːləɣən
anderwereld	ˈɑndərʋˈeːrəlt
anderzijds	ˈɑndərzˌɛɪds
andes	andɪs
andesibis	ɑmdɛzɪbɪ̞ʃ
andesmoerasrat	ɑmdɛsmuːrasrˈat
andespluimoor	aːndəsplˈœynˈɔːr
andesrat	andɛsɛrat
andijvie	ˌɑndɛɪvˈi
andragoge	andrˈaːxɣˈoːɣə
andravida	ant̪ɾafida
andreaskruisen	ˈɑndrˌeːˈɑskrˈœysən
andrew	ˈɑndrɛw
andrews	ˈɑndrɛws
andré	andrˈeː
andy	ˈɑndi
anekdote	anɛkdˈoːtə
anekdote	ˌaːnɛgdˈoːtə
anekdotiek	anɛkdotˈik
anemisch	aːnˈeːmis
anemoon	ˌaːnəmˈoːn
anesthesiemedewerker	ˈɑnɛstdzˈimmˈeːdəʋˌɛrkər
anevelde	aːnəvˈɛldə
anevrisme	anivrˈism
angejiddeld	ˈɑŋəjˌɪdəlt
angel	ˈɑŋəl
angela	ɑŋˈeːlaː
angelsaksisch	ˌɑŋɛlsˈɑksis
angevaare	anɣəvare
angika	ˈɑŋikˌaː
angina	ɑ̃xˈina
angioneuroticum	ˈɑŋiˌoːnøːrˌoːtikˌɵm
angiosperme	ɑŋɣioːspɛrmɛ
angisa	ɑŋˈizaː
angisa's	ɑŋˈizaːs
anglicaanse	ˈɑŋlikˌaːnsə
anglicaanser	ˈɑŋlikˌaːnsər
anglicaansere	ˈɑŋlikˌaːnsərə
anglicaanst	ˈɑŋlikˌaːnst
anglicaanste	ˈɑŋlikˌaːnstə
angola	ɑŋˈoːlaː
angolar	ˈɑŋoːlˌɑr
angre	anqrɛ
angst	ˈɑŋst
angstaanjagend	ˈɑŋstˈaːnjˈaːɣənt
angstdroom	aːŋstdrˈɑm
angsten	aŋstɵn
angsten	ˈɑŋstən
angstig	ˈɑŋstəx
angstiger	aŋstiɣər
angstigste	aŋstɪkstɛ
angstjes	aŋstˈjˈs
angstklimaat	ɑŋstklimaːts
angstkramp	ˌɑŋstkrˈɑmp
angstzweet	ɑŋstzʋeːd
anhedonie	ˌɑnhədoːnˈi
anhima	anima
anhinga	ɑnhˈɪŋɣˈaː
aniek	aːnˈik
anieëm	ˈaːniəm
anijs	anˈɛis
anijshagel	anəshˈaːɣəl
anijslikeur	anˈɛɪslɪkˈøːr
aniline	aniline
anima	anima
anima	aːnˈimaː
anima's	aːnˈimaːs
animaal	animal
animalisme	animalismes
animatie	animatsi
animatie	animaːtsi
animatiefilm	animatsifjlm
animato	animatun
anime	ˈaːnimə
anime's	ˈaːniməs
animeerdame	alimieɾdaːmə
animeren	animeːrən
animisme	animɪsmɛ
animisten	animistɛn
animistisch	ˌaːnimˈɪstis
animistische	ˌaːnimˈɪstisə
animistischer	ˈaːnimˌɪstɪsər
animistischere	ˈaːnimˌɪstɪsxərə
animistischers	ˈaːnimˌɪstɪsərs
animo	animo
animositeit	ˌaːnimˌoːzitˈɛɪt
animus	ˈaːnimˌɵs
animussen	ˈaːnimˌɵsən
aninoet	ˌaːninˈut
anioet	ˌaːniˈut
anionisch	ˌaːniˈoːnis
anisette	anizˈɛt
anjerrevolutie	ˌɑɲərrˌeːvoːlˈytsi
anjum	anjˈɛm
ank	ˈɑŋk
anken	ˈɑŋkən
ankerboei	ˈɑlkəɾbˈuj
ankeren	ˈɑŋkərən
ankertros	aŋkɛrtrɔs
ankole	alkˈɔlə
anloo	anlɔ
ann	ˈɑn
anna	ɔnˈa
anna	ˈɑnaː
annamprinia	anamprɪnia
anne	ˈɑnə
anneburen	anɛbˈyːrən
annemarie	ɑ̃nˈemaʁˈi
annexatie	ˌɑnɛksˈaːtsi
annexaties	aneksaʲtsis
annexeer	ˌɑnɛksˈɪr
annexeerde	ˌɑnɛksˈɪrdə
annexeerden	ˌɑnɛksˈɪrdən
annexeert	ˌɑnɛksˈɪrt
annexere	ˈɑnɛksərə
annexeren	ˌɑnɛksˈɪːrən
annexerend	ˌɑnɛksˈɪːrənt
annie	ɑnˈi
annie	ˈaɪnˈi
annika	anika
annualiseren	anˈyʁaːliseːrˌeːn
annuleren	ˌɑnylˈɪːrən
annulering	anˈyvəriŋ
anoa	aʁnˈoːa
anode	œ̃nnˈodˈø
anofeles	anufilas
anogenitaal	ˌaːnoːɣˌeːnitˈaːl
anoniem	anɔnim
anoniem	ˌaːnoːnˈim
anonieme	ˌaːnoːnˈimə
anonimiseren	ˌaːnoːnˌimizˈɪːrən
anorak	anurak
anorak	ˈaːnoːrˌɑk
anorakje	ˈaːnoːrˌɑkjə
anorakjes	ˈaːnoːrˌɑkjəs
anorakken	ˈaːnoːrˌɑkən
anoraks	ˈaːnoːrˌɑks
anorectaal	anurɛktɑl
anorexia	anˈoːɾɛksia
anosmie	ˌaːnɔsmˈi
anreep	anrˈeːp
ans	ans
ansart	ɑnsaːr
anser	ˈɑnsɛ
ansichtkaart	aːnzˌɪxtkˈaːrt
ansichtkaarten	ˈɑnzˌɪxtkˈaːrtən
ansjovis	alsɛufis
antagonisme	ˈɑntaːɣrˈɔnɪzmɛ
antakarinja	ˌɑntaːkaːrˈɪɲaː
antarctisch	ɑntˈɑrktis
ante	ˈɑntə
antecedent	antˈeːsʌdˈeːnt
antecedenten	altɛsɛd̪eŋt̪ɛn
antedateren	ˈɑntədˈɑtɪrən
antedatering	ɑntədaːtˈiːrɪŋ
antenne	antsɛnɛ
antenne	antˈɛnə
antenne-inrichting	ɑntˈɛnəˈɪnrˌɪxtɪŋ
antenne-inrichtingen	ɑntˈɛnəˈɪnrˌɪxtɪŋən
anthisnes	antˈɪsnes
anthony	ˈɑntoːnˌi
anthornis	antˈɔɾnɪʃ
anthurus	ɑntˈyːrəs
anthée	antˈe
anti	tanti
anti	ˈɑnti
antiaanbaklaag	ˈɑntiˈaːnbˌɑklˈaːɑx
antiaanbakpan	ˈɑntiˈaːnbˌɑkpɑn
antiacidum	ˈɑnʃaːsˌidɵm
antiapartheidsactivist	ɑntiɑpɑrtɾɛɪdsaktivɪst
antiaritmica	ˌɑnʃaːrˈɪtmikˌaː
antiaritmicum	ˈɑnʃaːrˌɪtmikˌɵm
antiasovliegtuig	ˈɑnʃaːzˌɔvlixtˌœyx
antiasovliegtuigen	ˈɑnʃaːzˌɔvlixtˌœyɣən
antiasovliegtuigje	ˈɑnʃaːzˌɔvlixtˌœyɣjə
antiasovliegtuigjes	ˈɑnʃaːzˌɔvlixtˌœyɣjəs
antibiotica	altibjɔtika
antibiotica	ɔntibioːtika
antibiotica	ˌɑntibiˈoːtikˌaː
anticipatief	ɑ̃tisipatˈif
anticipeer	ɑntisiːpˈɪːr
anticiperen	ɑntivipˈeːrən
anticiperen	ˈɑntɪkɪpˌɪːrən
anticonceptiemiddel	antikɔnsɛpsimɛdɔl
antideeltje	aʁˈtidˈeːltjə
antideeltje	aːntidˈeːltjə
antidepressivum	ˈɑntidˌɛprɛsˌivɵm
antidotaria	antidɔtˈarˈia
antidrugsoperatie	antidɾˈɛksˌɔpeːrˈɑtsi
antiek	ɑntˈik
antiekbeurs	ɑntˈikbˈøːrs
antieke	ɑntˈikə
antieken	ɑntˈikən
antiekhandels	ˈɑntəkhˈɑndəlz
antiekmarkt	ɑntˈikmˈɑrkt
antiekveiling	ˈɑftˈɪkvəəlɪŋ
antifebrilia	aʊtifebɾilia
antifer	ɑmtifɛr
antigeluid	ˈɑntiɣəlˌœyt
antikartelwetgeving	aːntikˈaːrtəlʋˈətɣˌeːvɪŋ
antiklerikaal	ˌɑntɪklˌɪːrikˈaːl
antillen	antɪlɛn
antillenlijster	aːltɪlˌeːnlɛɪstɛr
antilobby	antˈilˈɑbi
antilope	ˌɑntilˈoːpə
antilopes	antˈilˈoːpəs
antimoon	antimun
antioxidant	aːntˈiˈɔksidˈɑnt
antipode	antipˈoːlˈə
antiqua	antikva
antiquariaat	ˌɑntikvˌaːriˈaːt
antirakettenschild	aːntiɾakɛtˈeːnsxɪlt
antisemitisch	ˌɑntizəmˈitis
antislipcursus	ˈɑntɪslˌɪpkɵrsˌɵs
antistrofe	antistroːvɛ
antitankgeschut	aːntitˈɛŋkɣəzxˌɵt
antiterreureenheid	ˌɑntitˌɛrrøːrˈeːnhɛɪt
antithese	ɑntitˈeːzˈeː
antiviraal	ˌɑntivirˈaːl
antivirus	ˈɑntivˌirɵs
antje	aːnitʃe
anton	ɑntˈɔn
antonia	antˈonja
antoniem	ˌɑntoːnˈim
antoniemen	antoːnˈimmə
antoniuskerk	aːntˈoːniəskˈɛrk
antraciet	ˌɑntraːsˈit
antrax	ãn̪t̪ɾaks
antropogene	aːntrɔpɔɣene
antropoloog	ˈɑntrˌɔpɔlˈoːɣ
antum	ɑntˌɛmˈ
antwerpen	ˈɑntʋɛrpən
antwerps	ɑntʋˈɛrps
antwerps	ˈɑntʋɛrps
antwerpse	ɔntʋˈɛrpzˌeː
antwerpse	ˈɑntʋɛrpsə
antwoord	ˈɑntwˌɔr
antwoord	ˈɑntʋɔːrt
antwoordalternatief	ˈɑntʋɔːrtˌɑltɛrnˌɑtˈif
antwoordde	ˈɑntʋɔːrdən
antwoorde	ɑntwˈoːrdə
antwoorden	ˈɑntʋɔːrdən
antwoordende	aˈɑntoːɔrdəndɛ
antwoordnummer	ˈɑntwˌɔrnˈɵmər
antwoordt	ˈɑntvɔːrt
antwoordt	ˈɑntʋɔːrt
antwoordtijd	ɑntwˈɔːrttˈɛɪ
anurie	anyʁˈi
anus	anɪs
anus	aːnəs
any	ˈaːni
anzegem	anzˈɪxəm
ao	ˈʌʊ
aonyx	auniks
aorta	aoɾta
aorta	aːˈɔrtaː
aow	auvi
apache	aːpˈɑʃ
apalis	apalis
apanage	ˌaːpaːnˈaːʒə
apanages	ˌaːpaːnˈaːʒəs
apart	ˈaːpɑrt
aparte	apartɛ
aparte	ˈaːpɑrtə
aparter	apaɾt̪eɾ
apathie	apatˈi
apatiet	apatˈit
apatride	apatsidɛ
apegapen	aːpəxaːpə
apegapen	ˌaːpəɣˈaːpən
apekool	apɛkɔl
apekop!	ˈɑpəkˌɔp
apen	ˈapən
apen	ˈaːpən
apenaids	ˈaːpənˌɑjts
apenarend	apynɑːrənt
apenarend	ˈaːpənˌaːrənt
apenarenden	ˈaːpənˌaːrəndən
apengeil	ˈaːpəŋˌɛɪl
apengeluiden	ʔapənɣəlˈœdən
apengezicht	ˈɑpənɣəzˈɪxt
apenhuis	ˈaːpɛnhˌœys
apenhuizen	ˈaːpɛnhˌœyzən
apenkont	aːpɛɾkɔnt
apenland	aːpɛnlˈɑt
apenliefde	ˈaːpənlˌivdə
apenliefdes	ˈaːpənlˌivdəs
apenreservaat	ˈaːpənrˈeːzɛrvˌaːt
apenrots	ˈaːpɛnrˌɔts
apenspel	aːpənspil
apenstaartje	ˈaːpənstˌaːrtjə
apenvlees	ʔɑpənflˈɛis
apepsie	apepzi
apert	apˈɛʁt
aperçu	ˈaːpərkˌy
aperçu's	ˈaːpərkˌys
aperçuutje	ˈaːpərkˌytjə
aperçuutjes	ˈaːpərkˌytjəs
apesnel	aːpəsnˈɛl
apetrots	ˈaːpətrˈɔts
apex	apɛks
apicomplexa	ˌaːpikɔmplˈɛksaː
apin	t̪apin
apinnen	apɪ̞nən
apinti	apɛnˈti
apirie	apiri
apistie	apisti
aplaneren	aplanɛrɛm
aplomb	aplˈob
apneu	ˈɑpnøː
apneuklacht	apneːʊklaxt
apocope	apukupi
apocrief	ˌaːpɔkrˈif
apodictisch	ˌaːpoːdˈɪktis
apoftegma	ɑpuftɛxmæ
apokoinou	ˈaːpoːkˌoːinˌʌʊ
apokoinous	ˈaːpoːkˌoːinˌʌʊs
apolitiek	apolitˈik
apolocotinga	afɔlɔkɔtʰjnʃa
apoptose	ˌaːpɔptˈoːsə
apostel	aːpˈɔstəl
apostelen	apostɛlɛn
apostille	ˈaːpɔstˌɪlə
apostolaat	apostˈɵlˈat
apostrof	ˈaːpɔstrˌɔf
apotheek	ˌaːpɔtˈeːk
app	kɛp
apparaat	ˌɑpaːrˈaːt
apparaten	aparaːtən
apparaten	ˌɑpaːrˈaːtən
apparatenbezit	ˈaparaːtənbəzˈɪt
apparatuur	ˌɑpaːraːtˈyr
appartement	ˌɑpɑrtəmˈɛnt
appartementen	ˌɑpɑrtəmˈɛntən
