ஃ	ʔ
அது	ɐdu
அது	ɐd̪ɯ
அதுகுறித்த	əɖʊguɾit̪ː
அதுகுறித்து	əɖuguɾit̪u
அதுக்காக	ɐt̪ukːɑːgɐ
அதுக்கு	əɖukːu
அதுக்குப்	əɖukːop̚
அதுக்கும்	əɖukːu
அதுக்குள்ள	ɐt̪ːukːuɭː
அதுக்குள்ளே	ɐt̪ukːuɭːeː
அதுதான்	ɐt̪ud̪aːn̪
அதுதொடர்பாக	əɖʊd̪oɾpɑːg̊
அதுதொடர்பான	ɐt̪uɖoɾbɑːn̪
அதுபற்றி	əɖʊpɾːi
அதுபோன்ற	əɖʊpõːɾ̪ə
அதுபோன்றதொரு	əɖʊpoːɳɖoɾu
அதுபோல	əɖʊp̚oːl̪
அதுபோலவே	əɖʊpɔːlʋeː
அதுபோல்	ɐd̪uˈboːɭ
அதுமட்டுமல்ல	əɖumɑʈumɑɭː
அதுமட்டுமல்லாமல்	əɖumɑʈumɑllaːmɨɭ
அதுமட்டுமின்றி	əɾumɑɾumɨn̪d̪i
அதுமட்டுமில்லாமல்	əɾumɑːɾumɨlːɑːməl
அதுமட்டும்	əɾʊmɐɻu
அதுமாதிரியான	ɐt̪umɑːd̪iɾi̯ɑːn̪
அதுல	ɐt̪uɭ
அதுல்	ɐd̪uɭ
அதுவரை	əɖuʋəɾaɪ
அதுவரையில்	əɖuʋəɾaɪl
அதுவல்ல	əɖuʋɑɭː
அதுவும்	ɐt̪uʋ
அதுவே	əɖuʋe
அதெப்படி	əde̤p̚ɖi
அதெல்லாம்	ədeɭːaːm
அதே	ɐd̪eː
அதேசமயம்	ədeːsəməjəm
அதேதான்	ɐt̪eːdaːn
அதேநாளில்	əɖeːn̪aːɭil
அதேநேரத்தில்	ədeːn̪eːɾːɪɭ̆
அதேநேரம்	ədeːn̪eːrəm
அதேபோன்ற	əɖeːboːɳɽ
அதேபோன்றதொரு	ɐt̪eːboːɳɖɐt̪uɾu
அதேபோன்று	əɖeːboːɳɳu
அதேபோல	əɖeːboːɭ
அதேபோலத்தான்	əɾeːboːlɐt̪ːaːn̪
அதேபோலவே	əɖeːboːlʋeː
அதேபோல்	əɖeːboːɭ
அதேமாதிரி	ɐt̪eːmaːt̪iɾi
அதேவேளையில்	ɐd̪eːʋeːɭaɪ̯l
அதை	ədaɪ
அதைக்	ətaɪk
அதைக்கண்ட	ɐd̪aɪkːɐɳɖ̪
அதைக்கண்டு	ɐd̪aɪ̯kɐɳɖu
அதைக்கூட	əɾaɪkːuːɖ
அதைச்	ətaɪtʃ
அதைதொடர்ந்து	əɾɪɾɨɾɨ̃n̪t̪u
அதைத்	ɐt̪aɪ̯t̪
அதைத்தவிர	əɾɨɾɨvɨɾ
அதைத்தாண்டி	ɐt̪ːaɪ̯ɳɖi
அதைத்தான்	ɐt̪ːaɪ̯ɳ
அதைத்தொடர்ந்து	əɾəɾɪɾʌn̪t̪u
அதைப்	əɾɪp̚
அதைப்பற்றி	əɾaɪpr̪ːi
அதைப்பற்றியெல்லாம்	əɾɑjpr̪iɾjɛɭɭɑːm
அதையடுத்து	əɖaɪɑɭʊt̪u
அதையாவது	əɖaɪʋoː
அதையும்	ədiʝu
அதையெல்லாம்	əɾɐjɛllaːm
அதையே	əɾɐjɛ
அதையொட்டி	əɖaɪjoːʈːi
அதைவிட	əɾɐjʋɪɭ
அதைவிடுத்து	əɾɐjʋiɾʈːu
அதைவிட்டு	əɾɐjʋɨʈːu
அதைவிட்டுவிட்டு	əɾɛɪ̯vɨɾɨ
அதோ	ɐt̪oː
அதோட	ɐt̪oːɖ
அதோடு	ɐt̪oːɖu
அத்தகைய	ətagaɪ
அத்தனை	ɐt̪ːənaɪ̯
அத்தனைக்கும்	ətaːn̪aːkːum
அத்தனையிலும்	ətaɳaɪjilam
அத்தனையும்	ɐt̪ːaniɯm
அத்தனையையும்	ətaɳəɲəj
அத்தி	ɐt̪ːi
அத்திக்கடவு	ɐt̪ːikːɐɖɐʋu
அத்தியாயத்தை	əɭʈijaːʈai̯
அத்தியாயம்	ɐt̪ːijɑːjɑm
அத்தியாயம்’	ɐt̪ːijɑːjɑm
அத்தியாவசிய	əɭɭiɑːʋɑɕi
அத்தியாவசியப்	ɐt̪ːijɑːʋɐsiːb̪
அத்து	ɐt̪ːu
அத்துடன்	ɐt̪ːuɖ̆an
அத்துமீறல்	ɐt̪ːumiːɾɐɭ
அத்துமீறல்களை	əːt̪ːumiːɾɑːɭɯi̯
அத்துமீறல்கள்	ɐt̪ːumiːɾɐɭgɯ
அத்துமீறி	əːt̪ːumiːɾi
அத்தை	əʈːai
அத்தைக்கு	ɐt̪ːaɪkːu
அத்தையின்	əʈːai̯n̪
அத்தையை	ɐt̪ːɐj
அத்தொகுதி	ətoguɭɯʈi
அத்தோடு	ɐt̪ːoɖu
அத்னன்	ɐt̪nən
அத்ரி	əɖɾi
அத்வானி	ɐdʋaːni
அத்வாலே	ɐdʋaːleː
அநாகரிகமாக	ən̪aːgɐɾigəmaːgɯ
அநாகரிகம்	ənɑːgərɪgəm
அநாகரீகமாக	ənaːgəriːkəmaːgaː
அநாகரீகமானவர்	ənaːgəriːkɔːmɑːnɑːvɑrɛ
அநாயசமாக	ənaɪjɐsəmaːgɐ
அநியாய	əniˈjɑː
அநியாயத்துக்கு	ənijɑːt̪ːukːu
அநீதி	əniːti
அநீதிக்கு	əniːt̪ikːu
அநீதியாகும்	əniːɖiʲaːm
அநேகமாக	əneːgəmaːgə
அந்த	ɑn̪d̪
அந்தக்	əntək
அந்தச்	ɑn̪d̪ɯtʃ̪
அந்தத்	ɐn̪d̪ɐt̪
அந்தந்த	ɐn̪d̪ɐn̪d̪
அந்தப்	ɑn̪d̪ɐp̪
அந்தப்பக்கம்	ənt̪ːəpːəgːəm
அந்தப்படம்	ənt̪ːəp̚p̚ɑm
அந்தம்மா	ənt̪ɐmːɐ
அந்தரங்க	ənt̪əɾəŋg̊
அந்தரத்தில்	ɑn̪d̪əɾət̪t̪iɭ
அந்தர்	ɑ̃ːt̪ər
அந்தளவிற்கு	ənt̪əɭəvig̊u
அந்தளவுக்கு	ə̃ɳɖɛɭəʋugːu
அந்தவகையில்	əntəʋəgaɪ̯l
அந்தஸ்தில்	ɑn̪d̪ɑs̪t̪il
அந்தஸ்து	ɐn̪d̪ɐs̪t̪u
அந்தஸ்தை	ə̃ɳɖɑs̪t̪ai̯
அந்தஸ்தைப்	ə̃ɳɖɑs̪t̪aɪ̯p̚
அந்தஸ்தையும்	ənt̪ɑːs̪t̪ɑj
அந்தோணி	ɑn̪d̪oːɲi
அந்தோனி	ɑ̃ːtoːni
அந்த்	ɑ̃ːɖ̪
அந்நாட்டின்	ənːɑt̪ːiŋ̩
அந்நாட்டில்	ən̪ːɑːt̪ːiɭ̆
அந்நாட்டு	ən̪ːɑtːu
அந்நாட்டுக்கு	ən̪ːɑtːukːu
அந்நின்று	ɐn̪ːɪndrɯ
அந்நிய	ənɲ
அந்நியன்	ənɲjɑ̃
அந்நிறுவத்தைச்	ənniruʋɐʈːai̯tʃ
அந்நிறுவனத்தின்	ənɳɪruʋənat̪t̪i
அந்நிறுவனம்	ənːɪruʋənəm
அனந்தகுமார்	əˌnəɳɖəˈkuˌmaːr
அனந்த்	əˈn̪ɐɳɖ
அனன்யா	ən̪əɳɲaː
அனல்	ənɐl
அனா	əna
அனாதை	ən̪aːd̪aɪ̯
அனாதையாக	ənaːdaːjɑːgʌ
அனால்	ɑːnɑːl
அனாவசியம்	ɐnaːʋɐsɪjɐm
அனாஸ்	ənɑs
அனி	əni
அனிகா	əniga
அனிகெட்	ənigɛʈ
அனிசா	əniɕə
அனிசாவின்	ənɪsɑːvi
அனிதா	əniɾə
அனிதாவின்	əniːt̪aːviː
அனிமேஷன்	ənimeːʂə
அனிருதா	əniɾudaː
அனிருத்	ənirʊt̪
அனிருத்தா	əniɾut̪ːa
அனிருத்தின்	əɳirut̪ːin
அனிரூத்	əniɾuːt̪
அனிரூத்தின்	əɳiruːt̪ːim
அனில்	ənil
அனிஷா	əɳiɕɑ
அனிஷ்	əniɕ
அனீஸ்	əneːs
அனு	ənu
அனுகுல்	ənugul
அனுசரிக்க	ənʊsɐrikːɨ
அனுசரிக்கப்படுகிறது	ənʊsɐrikːʌpːɪt̪ːɪ
அனுசரித்து	ənuɕəriʈːu
அனுஜா	ənuɟɑ
அனுஜ்	ənug
அனுதாப	ən̪ud̪aːp̚
அனுபமா	ənʊbɑmɑ
அனுபவ	ənʊbɐʋ
அனுபவங்களை	ənʊbɐʋəɲi
அனுபவங்கள்	ənʊbɐŋgəɭ
அனுபவத்தின்	ənʊbɐt̪ːam
அனுபவத்தில்	ən̪ubəʋatːil
அனுபவத்துடன்	ənʊbɐt̪ːɯɳ
அனுபவத்தை	ənʊbɐʈːɐj
அனுபவத்தையும்	ənʊbɐt̪ːɐj
அனுபவமற்ற	ənʊbɐʋəʈːə
அனுபவமாக	ənʊbɐʋəmaːgɐ
அனுபவமான	ənʊbɐʋəmaːnə
அனுபவமிக்க	ənʊbɐʋamikː
அனுபவமில்லாத	ənʊbɐʋəmaɪllɐː
அனுபவமும்	ənʊbɐʋəm
அனுபவம்	ənʊbɐʋəm
அனுபவி	ɐnʊbɐʋi
அனுபவிக்க	ənʊbɐʋikːɐ
அனுபவித்த	ənʊbɐʋit̪ː
அனுபவித்து	ənʊbɐʋit̪ːu
அனுபா	ənʊbɑ
அனுப்	ən̪uʈ
அனுப்ப	ənuɳ
அனுப்பப்படும்	ənupːɾɑːm
அனுப்பப்பட்ட	əɳupːakːəɭːi
அனுப்பப்பட்டது	ənuppəntu
அனுப்பப்பட்டனர்	ənupːəɭːəɳːəɾ
அனுப்பப்பட்டார்	əɳupːəɖəɾɑːr
அனுப்பப்பட்டு	əɳupːakːəɭu
அனுப்பப்பட்டுள்ளது	ənuppət̪ːəɭəɭʊn̪t̪ə
அனுப்பலாம்	əɳupːəlaːm
அனுப்பவில்லை	ənuppəvilːi
அனுப்பவும்	əɳupːəʋum
அனுப்பாமல்	ənuppaməl
அனுப்பி	ənuɸi
அனுப்பிக்கொண்டிருக்கிறார்	ənuɸikːoɳɖirukkiɾɑːr
அனுப்பினர்	ənupinɾ
அனுப்பினார்	ənupinɾɐ
அனுப்பினார்கள்	ənuɳiɳaːɾgɯ
அனுப்பினால்	ənupːinɑːl
அனுப்பினேன்	əɳupːineːn
அனுப்பிய	ənuɸij
அனுப்பியதாக	əɳupːijɐɖɐgɐ
அனுப்பியது	ənupːit̪u
அனுப்பியவர்	ənuɸijəʋəɾə
அனுப்பியிருக்கிறது	ənupːijɾukːɪɾɪʈːɪ
அனுப்பியிருக்கிறார்	ənuɸijɾukirɯrɑːr
அனுப்பியிருக்கும்	əɳupːijɪrɯkːu
அனுப்பியிருந்தது	ənuɸijirʌnt̪u
அனுப்பியிருந்தார்	ənupːiɾiɳɖɑːr
அனுப்பியும்	ənuɸijum
அனுப்பியுள்ள	ənuːpijul̪ː
அனுப்பியுள்ளதாக	ənuɸijɯɭɯt̪ak̟ːo
அனுப்பியுள்ளது	ənuːpiʝɯɭt̪ə
அனுப்பியுள்ளனர்	əɳupːijulːən̪d̪ɾ̪u
அனுப்பியுள்ளார்	ənupːijɯɭɭɑːr
அனுப்பியுள்ளோம்	ənuɸijul̪ːoːm
அனுப்பிவிட்டனர்	ənuɸiʋit̪ːnɯɾ
அனுப்பிவிட்டார்	ənupːiʋiʈːaːr
அனுப்பிவிட்டார்கள்	ənupːiʋiːɖɑːɾgɯ
அனுப்பிவிட்டு	ənuʋpiʋiʈːu
அனுப்பிவைக்க	ənupːivɑjkːɑ
அனுப்பிவைத்தனர்	ənupːiʋaɪtaɳːər
அனுப்பிவைத்தார்	ənuɸiʋaɪtaːɾ
அனுப்பு	ɐnʊpːɯ
அனுப்புகிறார்கள்	ənuɳukirɑːɾgɯ
அனுப்புமாறு	ənuːpumɑːru
அனுப்பும்	ənuːpum
அனுப்பும்படி	ənuɳupumbaɖi
அனுப்புவது	ənuppuʋɖʌ
அனுப்புவோம்	ənupːuʋom
அனுமதி	ɐnʊmɐd̪i
அனுமதி	ən̪um̩t̪i
அனுமதிக்க	ənʊmɐɖikː
அனுமதிக்கக்	ənʊmɐd̪ɪkːɐ
அனுமதிக்கக்கூடாது	ənumad̪ikːɐkːuːd̪ɐtu
அனுமதிக்கபட்டார்	ən̪uməɖikkəpəʈːaːr
அனுமதிக்கப்பட	ənʊmɐd̪ikːəpːəɖ̪ə
அனுமதிக்கப்படவில்லை	ənumɐd̪ikpɐɖəʋəlimːɭə
அனுமதிக்கப்படும்	ənʊmɐd̪igɐɾɯm
அனுமதிக்கப்பட்ட	ənuməd̪it̪i
அனுமதிக்கப்பட்டது	ən̪umət̪ikːəɾt̪ə
அனுமதிக்கப்பட்டனர்	ənumad̪iʈːiɳːɐr
அனுமதிக்கப்பட்டபோது	ən̪uməd̪it̪iʈːəpuːɖ̪ə
அனுமதிக்கப்பட்டார்	ənʊməd̪iʈːiɾɐːr
அனுமதிக்கப்பட்டிருக்கும்	ənumad̪iʈːiɾukːu
அனுமதிக்கப்பட்டிருந்த	ənʊmɐt̪iʈːiɾʈuŋ
அனுமதிக்கப்பட்டிருந்தபோது	ənuməd̪it̪iʈiɾen̪daːpuːɽɯ
அனுமதிக்கப்பட்டிருந்தார்	ən̪uməd̪it̪iʈiraː
அனுமதிக்கப்பட்டு	ənʊmɐd̪iʈːiʈu
அனுமதிக்கப்பட்டுள்ள	ənʊmɐt̪iʈːəɾɯɭ̩
அனுமதிக்கப்பட்டுள்ளனர்	ənumad̪iʈːiɯɭɭənɾɯ
அனுமதிக்கப்பட்டுள்ளார்	ənumad̪iʈːiɾɯɭɯɾɑːr
அனுமதிக்கலாம்	ənʊmɐd̪ikːɭæːm
அனுமதிக்கவில்லை	ən̪uməɖikːəʋiɭːi
அனுமதிக்காத	ənʊmətikːɑː
அனுமதிக்காது	ənumad̪ikːɑːdu
அனுமதிக்காமல்	ənumɐt̪ikːɑːmɐl
அனுமதிக்கின்றனர்	ənʊmɐd̪ikːinɐɾ
அனுமதிக்கும்	ənuməɖikːu
அனுமதித்த	ənʊmətiʈː
அனுமதித்தது	ən̪uməd̪it̪ːt̪ə
அனுமதித்தனர்	ənʊmɐd̪it̪ːən̪ɾɯ
அனுமதித்தார்	ən̪uməd̪it̪ːaːr
அனுமதித்தால்	ənumad̪it̪ːɑːl̪
அனுமதித்து	ənʊmɐd̪it̪ːu
அனுமதிப்பதில்லை	ənumad̪ipːid̪ilːai
அனுமதிப்பது	ən̪uməd̪ipːuɖə
அனுமதியளித்தது	ən̪uməɖijɑːɭɨt̪ədu
அனுமதியின்றி	ən̪uməd̪ijin̪ɾi
அனுமதியில்லை	ənumad̪iʎiː
அனுமதியுடன்	ənuməd̪ijɯ̟ᵈ̊
அனுமதியும்	ənʊmətiʝ
அனுமதியை	ənʊməti
அனுமதியோடு	ənʊmɐd̪iʲoːɖʈu
அனுயா	ənuja
அனுரா	ən̪uɾɑ
அனுராக்	ən̪uɾaːk̪
அனுராதா	ənʊɾaːd̪aː
அனுவும்	ənʊm
அனுஷா	ənuɕa
அனுஷ்கா	ənuɕkɑ
அனுஷ்காவின்	ənuɕkɑːvi
அனுஷ்காவும்	ənuɕgaːʋ
அனுஷ்காவை	ənuɕgaːʋaɪ
அனேகன்	əneːgən
அனைத்திந்திய	ənaɪt̪int̪iɳɖi
அனைத்திற்கும்	ənaɪt̪iɾkːu
அனைத்திலுமே	ənaɪt̪iɭumeː
அனைத்திலும்	ənaɪt̪iɭam
அனைத்து	ɐnɐɪ̯t̪ːɯ
அனைத்து	ənaɪt̪u
அனைத்துகட்சி	ənaɪt̪ugɐɖtɕi
அனைத்துக்	ənaɪtuk
அனைத்துக்கட்சி	ənaɪt̪ugɐɖtɕːi
அனைத்துக்கட்சிகளும்	ənaɪt̪ːukːɐɖʂiɭuɾum
அனைத்துக்கும்	ənaɪtːukːu
அனைத்துத்	ənaɪt̪ːʊ
அனைத்துப்	ənaɪtup
அனைத்துமே	ənaɪt̪umɛ
அனைத்தும்	ənaɪt̪um
அனைத்துவிதமான	ənaɪt̪uʋid̪əmoːn̪
அனைத்தையுமே	ənaɪt̪ːəjuːmɛ
அனைத்தையும்	ənaɪt̪ːijʌj
அனைவரது	ənaɪʋəɾuɾʌ
அனைவராலும்	ənaɪvɐɾɐmu
அனைவரிடத்திலும்	ənaɪvəɾiɖːiɭum
அனைவரிடமும்	ənaɪvɐɾɨd̪am̩
அனைவரின்	ənaɪvəɾiɳ
அனைவருக்கு	ənaɪvəruːkːu
அனைவருக்குமே	ənaɪvɐɾukːumeː
அனைவருக்கும்	ənaɪvɐɾukːu
அனைவருடனும்	ənaɪ̯ɾuɾɯɳum
அனைவருடைய	ənaɪ̯ɾuɾɯj
அனைவருமே	ənaɪvʊrʊmɛ
அனைவரும்	ənaɪvɐɾum
அனைவரையுமே	ənaɪvəɾajumɛ
அனைவரையும்	ənaɪvəɾəju
அனைவர்	ənaɪʋəɾ
அனைவர்க்கும்	ənaɪvɐɾkːu
அனோஷ்கா	ənoːʂga
அன்	ən
அன்குஷிதா	əŋkuʂiɖɑ
அன்சாரி	ən̪s̪aːɾi
அன்சார்	əɳɕaːr
அன்ட்	əɳɖ
அன்னவூர்தி	ɐnːɐʋuːɾd̪i
அன்னா	ənaː
அன்னிய	əɳːj
அன்னை	ənaɪ
அன்னைக்கு	ənaɪkːu
அன்பளிப்பாக	əːn̪bɐɭipːɑːgʌ
அன்பளிப்பு	ɐnbɐɭɪpːɯ
அன்பழகனிடம்	əːn̪bɐɻɐkən̪iɖəm
அன்பழகனுக்கு	ɑːn̪pɐɻɐkənukːu
அன்பழகன்	əːn̪bɐɻɐgən̪
அன்பாக	ɑːn̪bɑːg̊
அன்பான	ɑːn̪bɑːn̪
அன்பானவன்	ɑːn̪bɑːnəʋən
அன்பார்ந்த	ɑːn̪bɑːɾn̪d̪i
அன்பால்	ɑːnpaːl
அன்பில்	əːnbiɭ
அன்பு	ɐnbɯ
அன்பு	əːnpu
அன்புக்கு	əːn̪bukːu
அன்புக்கும்	ɑːnbaːkːuː
அன்புசெழியனை	əːn̪buɕijənaɪ
அன்புசெழியன்	ə̃n̪buɕijɪ̃j
அன்புச்செழியன்	əːn̪b̪utɕːejjɪ̃
அன்புடன்	ɑːn̪b̪uɖ̪an̪
அன்புத்	ə̃n̪pɯt̪
அன்புநாதன்	əːnpuːnaːɖə̆
அன்புமணி	əːn̪p̪uʋəni
அன்புமணிக்கு	əːn̪b̪uʋəniʋkːu
அன்புமணியின்	əːn̪puːmaɳiɲ
அன்புமணியும்	əːn̪b̪uməɳijum
அன்புமணியை	əːn̪b̪uməɳijɐj
அன்பும்	əːnpu
அன்புள்ள	əːnpuɭɭə
அன்புவிடம்	əːn̪b̪uʋɪɖəm
அன்புவின்	əːn̪b̪uʋiɳ
அன்பே	ənpeː
அன்பை	ɑːnbaɪ
அன்பைப்	əːn̪bɪp̚
அன்பையும்	əːnpiɨm
அன்போடு	ɑːnpoːɖʊ
அன்மோல்	ɐnmoːɭ
அன்மோல்பிரீத்	ənmoːlpriːt̪
அன்றாட	ɑːnɽɑːɖ
அன்றிக்	ɐnɾik
அன்றியில்	ɐndrɪjɪl
அன்றியும்	ɐndrɪjʊm
அன்றிலிருந்து	ɑːn̪d̪iɾɪntʃʌ
அன்றில்	ɐndrɪl
அன்று	ɐndrɯ
அன்று	ənɾu
அன்றுதான்	ɑːn̪ːɾuːdaːn̪
அன்றும்	ɑːn̪ːɾɯm
அன்றே	ɑːnɽeː
அன்றைக்கு	ɑːn̪d̪ɾaɪkːu
அன்றைய	ɑːn̪ːɾɑj
அன்வர்	ənʋər
அபகரிக்க	əpagəriʔk
அபத்தமாக	əpaʈːəmaːgə
அபத்தமான	əpaːt̪ːəmaːn̪
அபத்தம்	əpaːt̪ːəm
அபய்	əpaɪ
அபராஜித்	əpɐɾɑːdʒit̪
அபராத	əpɐɾɑːt̪
அபராதத்தை	əpɐɾɑːt̪ːɑj
அபராதமாக	əpəɾaːd̪əmaːgɐ
அபராதமும்	əpɐɾɑːd̪əmʊ
அபராதம்	əpəɾaːt̪əm
அபரிமிதமாக	əpɐrimit̪əmaːgɐ
அபரிமிதமான	əpɐrimit̪əmoːn̪
அபரிமிதமானது	əpɐɾimɪd̪əmoːn̪d̪u
அபர்ணதி	əpaɾɳɖi
அபாட்	əpaːɖ
அபாண்டமாக	əpaːɳɖəmaːgɑ
அபாய	əpaːj
அபாயகரமான	əpaːjɐgəmɐnɐ
அபாயகரமானது	əpaːjɐgaramɐnɐt̪u
அபாயம்	əpaːjəm
அபார	əpaːr
அபாரமாக	əpaːɾəmaːgɐ
அபாரமான	əpaːɾəmaːn̪
அபாரமானது	əpaːɾomaːnɐɖu
அபாரம்	əpaːɾəm
அபார்ட்மெண்டில்	əpaːɾʈəment̪ɪl
அபார்ட்மெண்ட்	əpaːɾʈəment̪
அபி	əpi
அபிகைல்	əpigaɪl
அபிசரவணன்	əpiɕəɾəʋɳə
அபிநவ்	əpiˈnəʋ
அபினவ்	əpiɳəʋ
அபிப்ராயம்	əpiːbɾaɪm
அபிமன்னு	ɐbɪmɐnːɯ
அபிமன்யூ	əpiːmanjuː
அபிமானத்தை	əpiːmɑːnət̪ːai̯
அபியும்	əpijum
அபிராமி	əpiɾaːmi
அபிராம்	əpiɾaːm
அபிவிருத்தி	ɐbɪʋɪɾʊt̪ːi
அபிஷேகம்	əpiɕeːgəm
அபிஷேக்	əpiɕeːk
அபு	əpu
அபுதாபி	əpuɖɑːbi
அபுதாபியில்	əpuɖɑːbiʏ
அபுபக்கர்	əɓupakːə
அபூர்வ	əpuːɾʋ
அபூர்வா	əpuːɾʋɑː
அபூர்வி	əbuːrʋi
அப்	əʙ
அப்செட்	əpɕɛʈ
அப்செட்டில்	əp̚seʈːil
அப்டி	əpaɖi
அப்டியே	əpaɖiæ
அப்டேட்	əpaɖeːɖ̪
அப்துல்	əɓɖuɭ
அப்துல்கலாமின்	əɓɖ̪ulgɑlɑːmɪn
அப்துல்கலாம்	əɓɖ̪ulgɭaːm
அப்துல்கோசிமை	əɓɖulgoːsimɑj
அப்துல்லா	əɓɖ̪ulːɑː
அப்ப	əpː
அப்பகுதி	əpagʊɖi
அப்பகுதியில்	əpaguɖiʎ
அப்பட	əpaɖː
அப்படத்தின்	əpaɖaʈʈin
அப்படத்திற்கு	əpaɖːʈugu
அப்படத்தில்	əp̚aɖ̪ːt̪ːiɭ
அப்படத்தை	əpaɭattaɪ
அப்படம்	əp̚ːɑm
அப்படி	ɐpːɐɖi
அப்படி	əpaɖi
அப்படிக்	əpaɾig
அப்படிங்கிற	əpaɖiŋiɾ
அப்படிச்	əpaɖitɕ
அப்படிதான்	əp̚aɖi̯taːn
அப்படித்	əp̚aɖit̪
அப்படித்தானே	əpaɖit̪ːaːneː
அப்படித்தான்	əpaɾiɾtaːn
அப்படின்னா	əpaɖiɳː
அப்படின்னு	əpaɖiɳː
அப்படிப்	əpaɖip̚
அப்படிப்பட்ட	əpaɖipːəɖː
அப்படியான	əp̚ɐg̟iəɳ
அப்படியானால்	əpaɖijaːɭɔːl
அப்படியிருக்க	əp̚aɖiɾuk̚
அப்படியிருக்கையில்	əpaɖiɾukaiɲ
அப்படியில்லை	əpaɖimɨli
அப்படியும்	əpaɖiʲum
அப்படியென்றால்	əp̚aɖije̯n̪d̪oːl̪
அப்படியெல்லாம்	əp̚ɐg̟ijɛlːɑːm
அப்படியே	əp̚aɖijeː
அப்படியொரு	əpaɖijoɾu
அப்பட்டமாக	əpaʈːəmaːgɐ
அப்பட்டமான	əpaʈːəmaːn̪
அப்பதவியில்	əpaːd̪əviʎ
அப்பன்	əpaːn
அப்பறம்	əpaɾam
அப்பலோ	əpaːloː
அப்பல்லோ	əpaɭːoː
அப்பல்லோவில்	əpaɭːoːʋil
அப்பல்லோவுக்கு	əpaɭːoːʋuːkːu
அப்பவே	əpaʋeː
அப்பா	əpaː
அப்பாற்பட்டு	əpaːɾːɐʈːu
அப்பாலிக்கா	əpaːlikːə
அப்பால்	əpaːl
அப்பாவாக	əpaːvaːg
அப்பாவி	əpːɑːʋi
அப்பாவிகள்	əpaːʋiɭə
அப்பாவிடம்	əpaːʋiɖəm
அப்பாவின்	əpaːʋə
அப்பாவுக்கு	əpaːvukːu
அப்பாவுக்கும்	əpaːʋɐkːu
அப்பாவும்	əpaːvu
அப்பாவை	əpːɑːʋɑj
அப்பாஸ்	əpaːs̺
அப்பில்	əpːil
அப்பீல்	əpiːl
அப்பு	əpu
அப்புக்குட்டி	əpːukːɯɖːi
அப்புறப்படுத்த	əpaːrɯɖɯt̪ː
அப்புறப்படுத்தினர்	əpaːrɯɽɐɖːiŋɾɐ
அப்புறப்படுத்தும்	əpaːrɯɖɯm
அப்புறமா	əpːuɾəma
அப்புறம்	əpaːrʌm
அப்பேர்ப்பட்ட	əpaːɾpɛɾpɑʈː
அப்பேர்ப்பட்டவர்	əpaːpeːɾpɐʈːəʋəɾ
அப்பொழுது	ɐpːɔɻʊd̪ɯ
அப்பொழுது	əpoɻuɖu
அப்போ	əpːo
அப்போட்	əpoːʈ
அப்போட்டியில்	əpoːʈːiʲ
அப்போதான்	əpːoːɖaːn
அப்போதிருந்தே	əpːoːt̪iɾʌnd̪eː
அப்போது	əpaːsuː
அப்போதுதான்	əpːoːɖʈaːn
அப்போதும்	əpaːt̪um
அப்போதெல்லாம்	əpaːt̪eːɭɭɑːm
அப்போதே	əpaːt̪eː
அப்போதைக்கு	əpːoːɖaɪkːu
அப்போதைய	əpːoːd̪aɪ̯
அப்போலோ	əpoːloː
அப்போலோவில்	əpoːloːʋil
அப்போல்லோ	əpoːɭːoː
அப்ரிடி	əpɾiɖi
அப்ரிடியின்	əpɾiɖiʝ
அப்ரிதி	əpɾiɾi
அப்ளிகேஷன்	əɓɭigeːʃəɳ
அமமுக	əmamuɣ
அமமுகவினர்	əmamuɣəʋineɾ
அமமுகவின்	əmamuɣəʋiɳ
அமமுகவில்	əmamuɣəʋil
அமமுகவை	əmamugəʋai
அமர	əmaɾ
அமரன்	əmaɾən
அமராவதி	əmaɾaːʋɐti
அமராவதியில்	əmaɾaːʋɑːdiʎ
அமரிந்தர்	əmaɾin̪d̪əɾ
அமரீந்தர்	əmaɾiːn̪d̪əɾ
அமரும்	əmaɾum
அமரேந்திர	əmaɾeːn̪d̪ɾ̩
அமர்	əmaɾ
அமர்க்களம்	əmaɾgɣəlaʋə
அமர்த்தி	əmaɾt̪ːi
அமர்நாத்	əmaɾnaːt̪
அமர்ந்த	əmaɾn̪d̪ə
அமர்ந்தார்	əmaɾɳɖaːɾ
அமர்ந்திருக்க	əmaɾɳɖiɾukː
அமர்ந்திருக்கிறார்	əmaɾɳɖiɾukːiɾɑːɾ
அமர்ந்திருக்கும்	əmaɾɳɖiɾukːu
அமர்ந்திருந்த	əmaɾ̪n̪d̪iɾ̪uɳ̪
அமர்ந்திருந்தனர்	əmaɾɳɖiɾun̪daɾ
அமர்ந்திருந்தார்	əmaɾɳɖiɾʉn̪daːɾ
அமர்ந்திருப்பார்	əmaɾɳɖiɾupːɑːr
அமர்ந்து	əmaɾɳɯ
அமர்ந்துகொண்டு	əmaɾɳɖugoɳɖu
அமர்வின்	əmaɾʋin
அமர்வில்	əmaɾʋil
அமர்வு	əmaɾʋu
அமர்வுக்கு	əmaɾʋukːu
அமலா	əmaɭə
அமலாக்கத்	əmaɭaːkːɐt̪
அமலாக்கத்துறை	əmaɭaːkːɐt̪ːuɾɑj
அமலாக்கத்துறையினர்	əmaɭaːkːəɾːujinɐr
அமலாக்கப்	əmaɭaːkːap̪
