آ	ɑ
سبا	səˈbɑ
سبب	səbəb
سبو	ˈsəbo
سبک	ˈsəbək
ستا	stə
ستاسو	stɑso
ستاسې	stɑse
ستايل	stɑjəl
ستاینه	stəˈjənə
ستر	stər
سترو	ˈstɾo
سترګه	stərga
سترګو	ˈstərgo
سترګي	ˈstərgi
سترګې	ˈstərge
سترگو	ˈstərgo
سترې	ˈstərə
سته	ˈstə
ستوري	ˈstori
ستورڅک	storsak
ستوری	storaɪ
ستون	ˈstun
ستړو	ˈstəɾo
ستړي	ˈstəri
ستړیا	stərˈjɑ
سجده	ˈsəddʒdə
سحر	ˈsəhər
سخاوت	səxɑˈwət
سخت	ˈsəxt
سخته	ˈsəxtə
سختو	ˈsəxto
سختي	ˈsəxti
سخر	ˈsəxər
سخط	ˈsəxt
سخندر	səxənˈdər
سخوندر	sxwəunˈdər
سخی	sxaɪ
سر	ˈsər
سراسر	sərɑˈsər
سراسري	sərɑˈsəri
سرته	sərˈtə
سرتیرو	sərˈtiro
سردار	sərˈdɑr
سرلیکونه	sərliˈkuna
سرمشق	sərˈməʃq
سره	ˈsərə
سرو	ˈsəro
سرونه	səˈruna
سرچینو	sərˈtʃino
سرکه	ˈsərkə
سرکې	ˈsərke
سرۀ	ˈsərə
سرېښ	sreʃ
سستو	ˈsəsto
سستي	ˈsəsti
سعد	ˈsæd
سفر	ˈsəfər
سل	ˈsəl
سلام	səˈlɑm
سلم	ˈsələm
سلنه	səˈlənə
سلو	ˈsəlo
سلګونه	ˈsəlgune
سم	səm
سمارټ	səˈmɑrt
سمبال	səmˈbɑl
سمبول	ˈsəmbol
سمدستي	səmdəˈsti
سمسور	səmˈsor
سمندر	səməndər
سمنډوله	səmənˈdolə
سمه	ˈsəmə
سمولو	səˈmolo
سمون	ˈsəmon
سموي	ˈsəmoj
سمي	ˈsəmi
سمیر	səˈmiɾ
سمینار	səˈminɑr
سمې	ˈsəme
سنتو	ˈsənto
سنډا	sanɖɑ
سنګر	ˈsəŋgər
سه	sə
سهار	səˈhɑr
سهاره	səˈhɑrə
سهکه	ˈsəhkə
سو	so
سواد	ˈswɑd
سوارلۍ	ˈswɑrləj
سوال	soˈwɑl
سوخت	ˈsoxt
سودا	soˈdɑ
سور	ˈsor
سورت	ˈsurət
سورلنډی	surlənɖai
سوري	ˈsuri
سوز	ˈsuz
سوشل	ˈsoʃəl
سول	ˈsol
سوله	ˈsolə
سولی	ˈsoli
سولې	ˈsole
سوم	ˈsom
سوماليا	somɑljɑ
سومر	sumər
سومره	ˈsomrə
سون	ˈson
سوه	so
سوو	ˈsowo
سوى	ˈswej
سوي	ˈswoj
سوټک	soʈak
سوپ	ˈsop
سوځي	ˈsuzəj
سوړ	soɺ
سوژو	ˈsogo
سوک	ˈsok
سوی	ˈswej
سوۍ	ˈswəj
سوې	ˈswe
سي	si
سياست	sijɑˈsət
سياسي	siˈjɑsi
سيل	ˈsel
سيلونو	ˈseluno
سيلۍ	siləi
سيمه	sima
سيمې	ˈseme
سيند	sin̪d
سُوپر	ˈsuper
سټک	saʈak
سپارل	ˈspɑrəl
سپتمبر	sepˈtembər
سپرلي	ˈsprəle
سپره	spəra
سپما	ˈspəmə
سپنج	spəndʒ
سپور	ˈspor
سپورت	ˈspoɾt
سپورټ	ˈspoj
سپوږمۍ	spogməi
سپى	ˈspi
سپي	ˈspi:
سپيتانه	speˈtɑnə
سپين	spin
سپينه	ˈspinə
سپک	spək
سپی	spe
سپیو	ˈspijo
سپېرې	speˈre
سپېلني	spelani
سړه	səɺa
سړو	ˈsəɾo
سړى	ˈsəɾəj
سړي	ˈsəri
سړک	ˈsərk
سړی	səˈɺai
سږ	ˈsəz
سږو	ˈsəzo
سږى	sədʒaɪ
سکاره	ˈskɑrə
سکال	ˈskɑl
سکالو	skɑlo
سکرو	skərˈu
سکرین	ˈskrin
سکه	saka
سکو	ˈsko
سکور	ˈskor
سکول	ˈskol
سی	si
سیاسي	siˈjɑsi
سیال	ˈsijɑl
سیستم	ˈsistəm
سیم	ˈsem
سیمه	ˈseme
سیمې	ˈseme
سیند	ˈsind
سینې	ˈsene
سې	ˈse
سېف	ˈsef
سېلاب	ˈselɑb
سېلابونو	selɑˈbuno
سېلۍ	seləi
سېي	ˈseji
ش	ʃin
شئ	ʃəi
شا	ˈʃɑ
شاباسي	ˈʃɑbɑsi
شابه	ˈʃɑbə
شات	ˈʃɑt
شاته	ˈʃɑtə
شاتو	ˈʃɑto
شاخ	ˈʃɑx
شاخص	ˈʃɑxəs
شاشې	ˈʃɑʃe
شاعر	ˈʃɑɛɾ
شاعري	ˈʃɑɛri
شال	ˈʃɑl
شالي	ʃɑli
شامل	ˈʃɑməl
شان	ˈʃɑn
شانه	ˈʃɑnə
شانګله	ˈʃɑŋglə
شاه	ˈʃɑh
شاهد	ʃɑhed
شاهین	ˈʃɑhin
شاوخوا	ˈʃɑwxwɑ
شاکر	ʃaˈker
شاکړم	ʃaˈkaɺəm
شاید	ˈʃaːjad
شبانه	ʃaˈbana
شبِ	ʃab
شبکه	ʃaˈbaka
شبکې	ʃaˈbakə
شتمن	ʃatˈman
شتمني	ʃatˈmani
شته	ʃta
شتون	ʃtuːn
شر	ʃər
شراب	ʃaˈrab
شرابو	ʃaˈrabo
شرابي	ʃaˈrabi
شرایط	ʃaˈɾaːjət
شرط	ʃart
شرقي	ʃarˈqi
شرم	ʃaram
شرموي	ʃarˈmoi
شرمښ	ʃʊrməx
شروع	ʃʊːrʊː
شريک	ʃaˈrik
شری	ʃaˈri
شریف	ʃaˈrif
شریک	ʃaˈrik
شعر	ʃiʔr
شعرونو	ʃiˈʔɾuno
شعري	ʃaˈʔɾi
شعور	ʃaˈu:ɾ
شغال	ʃaɣɑl
شفیق	ʃaˈfiq
شل	ʃəl
شلتالو	ʃaltɑlu
شلم	ʃələm
شلمه	ʃaˈləma
شلمو	ʃalˈmo
شلو	ʃəlo
شلوم	ʃaˈlom
شلومبې	ʃaˈlombe
شم	ʃəm
شمال	ʃaˈmal
شمالي	ʃmɑli
شمسي	ʃamˈsi
شمله	ʃamˈla
شمولیت	ʃaˈmolijat
شمیر	ʃaˈmiɾ
شمیره	ʃaˈmiɾa
شمېر	ʃeˈmeɾ
شمېرپوهنه	ʃmerpohəna
شنبې	ʃamˈbe
شنني	ʃanˈani
شنه	ʃəna
شنو	ʃəno
شنډ	ʃand
شنې	ʃəne
شه	ʃa
شهرت	ʃˈʊhrat
شهيد	ʃaˈhiːd
شو	ʃo
شوئ	ʃwe
شوال	ʃoˈwal
شوتالو	ʃawtɑlu
شوخ	ʃoχ
شوخه	ʃoχa
شور	ʃoɾ
شورا	ʃoˈɾa
شوق	ʃoˈq
شول	ʃol
شولو	ʃolo
شوم	ʃom
شوملې	ʃumle
شومه	ʃoˈma
شومېر	ʃumer
شونی	ʃonai
شوه	ʃoˈwa
شوو	ʃu
شوى	ʃwe
شوي	ʃwi
شوپه	ʃoˈpa
شوی	ʃwiː
شوې	ʃwe
شي	ʃi
شيتک	ʃiˈtak
شيخ	ʃeχ
شيدې	ʃiˈde
شيطان	ʃeˈtaːn
شين	ʃin
شينواري	ʃiˈnwaːɾi
شيګره	ʃigara
شپانه	ʃpaˈna
شپاړس	ʃpɑɺəs
شپاړسم	ʃpaˈɺsəm
شپاړلس	ʃpaˈɺləs
شپه	ʃpə
شپو	ʃpo
شپون	ʃpuːn
شپيشتو	ʃpeˈʃto
شپږ	ʃpəg
شپږم	ʃpəgəm
شپږمه	ʃpəgəˈma
شپې	ʃpe
شپېته	ʃpeˈta
شډل	ʃəɖəl
شړۍ	ʃaɺai
شک	ʃək
شکاڼه	ʃaˈkana
شکر	ʃaˈkar
شکل	ʃakl
شکلونه	ʃakˈlona
شکمن	ʃakˈman
شکه	ʃaka
شکونه	ʃaˈkuna
شکوڼ	ʃˈkuɳ
شکي	ʃaki
شکیلا	ʃaˈkila
شګه	ʃaga
شګو	ʃago
شګې	ʃəge
شڼ	ʃaɳ
شی	ʃi
شیان	ʃiˈjan
شیانو	ʃiˈjano
شیبه	ʃiˈba
شیدې	ʃiˈde
شین	ʃin
شیک	ʃik
شیګل	ʃiˈgal
شۍ	ʃi
شې	ʃe
شېبه	ʃeˈba
شېر	ʃeːɾ
شے	ʃe
ص	s
صبر	sabər
صدقه	saˈdaqa
صلوات	salwaːt
ض	z
ضايع	zaˈja
ضربان	zarˈbaan
ضمانت	zamˈanat
ط	t
طالب	tɑlɪb
طامع	taˈmɛʕ
طب	tab
طبيعت	təbiaːt
طرز	taɾz
ظ	z
ظلم	zʊlm
ع	a
عادت	aˈdat
عاقبت	ʔaːqibat
عالم	ʔaːlam
عالي	ʔaːli
عام	ʔaːm
عامه	ʔaːma
عامې	ʔaːme
عبادت	ʔebadat
عبارت	ʔebarat
عباس	ʔabˈbas
عجیبه	aˈddʒiba
عدالت	ʔaːdaːlat
عدل	ʔadl
عدم	ʔadəm
عدنان	ʔadˈnaːn
عرب	ʔaːrab
عربو	ʔaːrabo
عربي	ʔaːrabi
عزت	ʔɛzət
عزم	ʔəzm
عسکر	ʔəsˈkar
عشق	ʔɛʃq
عصر	ʔəsɾ
عصري	ʔəsˈri
عطرو	ʔətɾo
عفوه	ʔəfwa
عقل	ʔəqəl
علامې	ʔəlaːme
علایم	ʔalaːjəm
علت	ʔələt
علم	ʔəlm
علماء	ʔuləmaː
علمي	ʔəlmi
علوم	ʔuluːm
علومو	ʔuluːmo
على	ʔali
علي	ʔəli
علی	ʔaliː
علیکم	ʔaliːkam
عمره	ʔumra
عمري	ʔumri
عمل	ʔəməl
عمله	ʔəməla
عملي	ʔəməli
عمومي	ʔumumi
عن	ʔan
عنه	ʔanə
عواملو	ʔawaːmlo
عيب	ʔeːb
عکاسي	ʔəkasi
عکس	ʔəkas
عکسونه	ʔəkasuna
غ	ɣ
غار	ɣaːr
غازي	ɣaːzi
غالب	ɣaːləb
غالباً	ɣaːləbən
غالۍ	ɣɑləi
غاړه	ɣaːɺa
غاړی	ɣɑɺai
غاښ	ɣɑx
غبرګاوی	ɣbargɑwai
غبرګه	ɣəbəɾga
غبي	ɣabi
غذا	ɣəza
غر	ɣar
غربت	ɣəɾbat
غربي	ɣəɾbi
غرق	ɣəɾaq
غرمه	ɣərma
غرمې	ɣərme
غرني	ɣərni
غره	ɣəɾa
غرور	ɣəɾuɾ
غرونه	ɣəɾuna
غرونو	ɣəɾuno
غريب	ɣəˈrib
غريبانو	ɣəɾiˈbano
غريو	ɣɾijo
غرڅنی	ɣarsənai
غریب	ɣɾi:b
غزا	ɣaza
غزل	ɣazal
غزلچی	ɣazaltʃi
غزنوي	ɣaznawi
غزني	ɣazni
غزه	ɣaza
غزوه	ɣazwa
غسل	ɣʊsl
غل	ɣal
غلا	ɣlɑ
غلامان	ɣʊlamɑn
غلط	ɣalat
غلمينه	ɣalminə
غله	ɣala
غلۀ	ɣala
غلې	ɣale
غم	ba
غماز	ɣamɑz
غمبور	ɣambor
غمجن	ɣamdʒan
غمه	ɣama
غمو	ɣamo
غمی	ɣamai
غنا	ɣana
غندل	ɤandəl
غنم	ɣanəm
غنمو	ɣanmo
غني	ɣani
غنی	ɣani
غو	ɣo
غوآړي	ɣwaːɾi
غوا	ɣwa
غواړم	ɣwɑɺ̢əm
غواړو	ɣwaɾo
غواړي	ɣwaɾi
غواړې	ɣwaɾe
غوبه	ɣoba
غوربند	ɣoɾband
غوره	ɣwəra
غورځول	ɣorzawəl
غورځي	ɣoɾzi
غوسه	ɣosa
غول	ɣoːl
غولي	ɣoli
غومبه	ɣumba
غوندي	ɣonde
غونه	ɣuna
غونډ	ɣwəŋɖ
غونډاری	ɣwənɖɑrai
غونډۍ	ɣondɪj
غوول	ɣowəl
غويی	ɣwajaɪ
غوټه	ɣoʈa
غوړ	ɣoɾ
غوړو	ɣoɾo
غوړي	ɣwaɺ̢i
غوږ	ɣwag
غوږو	ɣogo
غوښتل	ɣwaxtal
غوښتنه	ɣwaxtana
غوښه	ɣwaxa
غوښو	ɣwaxo
غویي	ɣwəji
غيم	ɣəjəm
غيي	ɣiji
غيڼ	ɣun
غټ	ɣaʈ
غټه	ɣaʈa
غټي	ɣaʈi
غټې	ɣaʈe
غپا	ɣapɑ
غپل	ɣapəl
غپول	ɣapawəl
غپېدل	ɣapedəl
غړو	ɣaɾo
غړومبل	ɣɺumbəl
غړي	ɣaɾi
غړپ	ɣaɾp
غړی	ɣəɺaɪ
غړے	ɣaɾe
غږ	ɣaɣ
غږيز	ɣaɣiz
غږېدل	gaɣedəl
غښتل	ɣəxtəl
غڼ	ɣan
غڼه	ɣəɳa
غیر	ɣejɾ
غیرتي	ɣejɾati
غېږ	ɣwjeg
غېږه	ɣega
ف	f
فارس	faɾs
فارم	faɾm
فارمیسټانو	faɾmistɑno
فاروق	faɾoq
فاع	faːʕ
فتنې	fatane
فدا	fada
فدای	fadɑj
فراغت	faɾaːɣat
فرانس	prɑŋs
فرانسه	ɸrɑnsa
فراه	faɾɑ
فردوس	fɪrdaws
فرش	faɾx
فرعي	faɾʕi
فرق	faɾaq
فرهنګ	faɾhanga
فرهنګي	faɾhange
فریښتو	faɾiʃto
فشار	fəʃaːɾ
فصل	fasal
فضل	fazal
فعال	faʕal
فعالان	faʕalɑn
فعل	faʕl
فلسفي	falsafi
فلم	fɪlm
فني	fani
فهام	fahaːm
فهمه	fahma
فورم	foɾm
فورمول	foɾmol
فولکلور	folkaloɾ
فوټبال	fotbal
فکر	fɪkaɾ
فکري	fɪkaɾi
ق	q
قائل	qaːel
قام	qam
قامت	qamat
قاموس	kɑmos
قبر	qabɾ
قبول	qabʊl
قبيلو	qabilo
قبیله	qabɪla
قتل	qatl
قدر	qadar
قدره	qadra
قدم	qadam
قر	qaɾ
قرآن	qʊɾaːn
قرار	qaɾaːɾ
قران	qaɾan
قرض	qaɾz
قسم	qasəm
قطار	qataɾ
قطر	qatər
قــدر	qadar
قلم	qalam
قمبر	qambɾ
قمر	qamɑɾ
قمعل	qamʕal
قهر	qahɾ
قهوه	qahwa
قوت	qʊwat
قول	qowl
قوم	qawm
قومونو	qawmʊno
قومي	qawmi
قوه	qoha
قوي	qawi
قوې	qawe
قيامت	qijaːmat
قیمت	qimat
كاچوغه	kɑtʃoɣa
كره	kara
كوتره	kawtəra
كړو	kaɾo
ل	l
لآتَقْنَطُوْا	laːtaqnatuː
لا	laː
لار	lɑːr
لاره	laːɾa
لارو	laːɾo
لاري	laːɾi
لاريون	lɑrjun
لارښود	laːɾxod
لارې	laːɾe
لازم	laːzəm
لازما	laːzɪma
لاس	laːs
لاسته	laːsta
لاسرسي	laːsaɾsi
لاسليک	laːslɪk
لاسلیک	laːslɪk
لاسه	laːsa
لاسونه	laːsʊna
لالا	laːlaː
لالي	laːli
لامبل	lɑmbəl
لامبو	lɑmbo
لامل	laːmal
لانجه	gərzanˈdoai
لاندي	laːnde
لاندۍ	laːndiː
لاندې	laːnde
لاهم	laham
لاړم	laːʈəm
لاړي	laːʈi
لاړې	laːʈe
لاښه	laːxa
لاښي	laːxi
لباس	lɪbaːs
لخوا	laxwaː
لر	laɾ
لرئ	laɾe
لرغوني	laɾɣoni
لرغونپوهنه	lərɣunpohəna
لرغونی	laɾɣoni
لرل	larəl
لرله	laɾla
لرلید	laɾlid
لرلې	laɾle
لرم	laɾəm
لره	laɾa
لرو	laɾo
لرونکی	laɾʊnki
لرى	laɾe
لري	laɾi
لري۔	laɾi
لرګيو	laɾgijo
لرګی	lərgai
لرګیو	laɾgijo
لری	laɾi
لری۔	laɾi
لرې	laɾe
لس	lɑs
لسم	lasəm
لسو	laso
لسيزو	lasizo
لسی	lasi
لشه	laʃa
لغات	lɪɣat
لغت	lɪɣat
لغتونه	lɪɣatʊna
لغړي	lɪɣaɾi
لمانځل	lmɑnzəl
لمبې	lambɪ
لمر	lamar
لمريز	lmariz
لمریز	lamɾiz
لمسول	ləmsəwəl
لمسی	lmasai
لمسۍ	lamsiː
لمن	lamən
لمونځ	lamonz
لنډ	land
لنډې	lande
لنګه	laŋa
لنګوټې	laŋʊʈe
له	la
لهجه	lahddʒa
لهجو	lahddʒo
لهجې	lahddʒe
لو	lo
لوئ	loai
لوبغالي	lobɣaːli
لوبه	loba
لوبو	loːbo
لوبول	lobawəl
لوبولی	loːboli
لوبوي	loːbowi
لوبې	loːbe
لوبېدل	lobedəl
لور	lor
لوز	ləoːz
لوست	lwəst
لوستل	lwəstəl
لوستنې	loːstane
لولم	lolam
لولي	loli
لولی	loːli
لومه	loma
لومړي	lomrai
لومړی	lumɺai
لوند	lund
لوى	loj
لوي	loj
لويه	loja
لويو	lojo
لويې	loje
لوټ	loːt
لوټه	loːta
لوپټه	loːpaʈa
لوڅ	lus
لوړ	lwaɺ
لوړل	loɺəl
لوړه	loɺa
لوړو	loɺo
لوړې	loɺe
لوښي	loʃi
لوک	lok
لوکس	loːks
لوګر	logar
لوګی	logi
لوی	loi
لویه	loja
لویې	loje
لوې	loːja
لوېديځ	loediz
ليا	lja
ليدل	lidəl
ليست	list
ليوان	liːwaːn
ليږو	ligo
ليکل	liːkal
ليکلي	liːkli
ليکلی	liːkli
ليکم	liːkam
ليکو	liːko
ليکوال	likwɑl
لټه	lata
لټوه	laʈwa
لپاره	lapara
لپه	lapa
لڅ	las
لړ	laɺ
لړم	laɺam
لړمانو	laɺmaːno
لړه	ləɺa
لړۍ	laɺai
لږ	ləg
لږه	laga
لښته	laxta
لښکر	laxkar
لک	lak
لکه	laka
لکو	lako
لکۍ	lakiː
لکې	lake
لګ	lag
لګته	lagta
لګه	laga
لګي	lagi
لګښت	lagaxt
لۀ	la
لہ	la
لیا	ljaː
لید	lid
لیدلو	lidl̩o
لیدنې	lidne
لیدو	lido
لیست	list
لینک	link
لیږم	ligam
لیک	liːk
لیکل	liːkal
لیکلي	liːkli
لیکو	liːko
لیکوال	liːkwaːl
لېسې	lese
لېور	lewar
لېونی	lewanai
لېونۍ	lewənəi
لېوۀ	lewə
لېږل	legəl
م	m
مآر	maːr
مؤثق	moːsaq
ما	mɑ
مات	maːt
ماتمه	maːtma
ماته	maːta
ماتې	maːte
ماخوستن	maːxostan
مار	maːr
مارشل	maːrʃal
مارغه	maːrga
مارګله	maːrgala
مازدیګر	maːzdigar
ماسپښین	maːspahin
ماسک	maːsk
ماشوم	maːʃum
ماشومان	mɑʃuˈmɑn
ماشومانو	maːʃumaːno
ماشومه	maːʃuma
ماشين	maːʃin
ماغزو	maːgzo
مال	mɑl
مالداري	maːlɖaːri
ماله	maːla
مالومات	maːlumaːt
مالوماتو	maːlumaːto
مالي	maːli
مالک	mɑlɪk
مالګه	mɑlga
مالګې	maːlge
مالیاتو	maːlijaːto
ماما	mɑmɑ
مانا	maːna
مانامې	maːnaːme
مانه	maːna
مانګر	maːŋgər
ماهيان	maːhijaːn
ماى	maːj
ماځيګر	maːzdigar
ماځيگر	maːzdigar
ماښام	mɑxɑm
ماکو	maːko
ماڼو	mɑɳo
ماڼۍ	mɑɳəi
مایار	maːjaːr
مباح	mabaːh
مبارز	mubaːrez
مبارزه	mubaːreza
مبارزین	mubaːreziːn
مبارک	mubaːrak
مبو	mabo
مت	mat
مترجمان	mətərˈdʒəma:n
مترو	matro
متل	matl
متلي	matli
متن	matn
متوقع	mutaːwaqq
مثال	mesaːl
مثبت	musbat
مثبتو	musbato
مجرم	muddʒrim
مجله	maddʒala
محبوب	maːhbuːb
محتاجه	muhtaːddʒa
محشر	maːhʃar
محله	mahalla
محلي	mahalli
محمد	mohammad
محکمې	maːhkame
مخ	maːx
مخامخ	maːxamax
مختلف	muxtalif
مختلفو	muxtalifo
مختګ	muxtag
مخلوقاتو	maxluːkaːto
مخه	maːxa
مخوېينه	məxwejəna
مخي	maːxi
مخکې	maːxke
مخې	maːxe
مد	mad
مدرسو	madraso
مدني	madani
مدنیت	madanijjat
مدیریت	mʊdiːriˈjɑt
مذهب	mazhab
مذهبي	mazhabi
مر	mar
مراتب	maraːtib
مراجعو	maraːddʒo
مراسمو	maraːsmo
مرجان	marddʒaːn
مرجع	marddʒaʕ
مرخېړی	marxeɺ̢ai
مردار	mʊrdar
مردان	mardaːn
مرسته	marestːa
مرستو	marestu
مرستونی	mrastunaɪ
مرستې	mareste
مرض	maraz
مرغ	mraɣ
مرغانو	margaːno
مرغه	mərɣə
مرغړی	marɣaɺ̢ai
مرغۀ	mʊrɣa
مرغۍ	margaj
مرم	marm
مرو	maro
مروت	marwat
مروه	marwa
مري	mari
مرکز	markaz
مرکزي	markazi
مرکې	marke
مرګ	marg
مرګه	marga
مرۍ	mari
مز	maz
مزار	mazaːr
مزری	mzaraɪ
مزل	mazal
مسؤل	masʔuːl
مسؤليته	masʔulijta
مسافر	masaːfer
مسايلو	masaːjelo
مسایل	masaːjel
مستانه	mastaːna
مستحب	mustahab
مستغني	mustaɣna
مستقل	mustaql
مستۍ	mastiː
مستې	masta
مسح	masah
مسلمان	muslmaːn
مسله	masala
مسلک	maslak
مسلکي	maslaki
مسه	m̩sa
مسکين	maskin
مسکین	maskin
مسې	mase
مشتري	muʃtari
مشر	maʃar
مشران	maʃraːn
مشرانو	maʃraːno
مشرتوب	məxəˈrotob
مشري	məxˈri
مشهور	məxˈhoːr
مشهوره	məxˈhoːra
مشوره	məˈʃoːra
مشکل	moʃˈkil
مشکلات	moʃkiˈlat
مشې	məxe
مصر	mɪsɾ
مصرف	mɑsˈrəf
مضمون	məzˈmun
مطلب	mətˈləb
مظلوم	mɑzˈluːm
معاش	maˈʔaːʃ
معالجه	moˈɑlədzɑ
معتبرو	muʔtæˈbəro
معدن	mɑdən
معدې	mæˈɺe
معرفي	maʔrəˈfi
معلومات	maːluˈmat
معما	muʔamˈma
معمول	maːˈmuːl
معنا	mæʔˈna
معنیٰ	mæʔˈna
معين	muˈʕin
مغز	məɣz
مغزي	məɣˈzi
مغل	moˈɣəl
مغولو	məˈɣoːlo
مفکر	moˈfəkir
مفکورو	məfəˈkoːro
مفید	moˈfiːd
مقابل	moqaˈbil
مقابلې	moqaˈbile
مقام	maˈqam
مقاومت	moqɑˈwəmat
مل	mal
ملا	məˈla
ملاتړ	mɪlætˈəɺ
ملالۍ	məˈlaːle
ملالې	məˈlaːle
ملامت	məlaˈmat
ملت	mɪlˈlat
ملتانه	mɪltaˈna
ملغلره	mɪlɣaˈlara
ملنګ	məˈlaŋ
ملي	mɪˈli
ملک	mɪlˈək
ملکي	mɪlˈki
ملکیت	mɪlkiˈjat
ملګرو	mɪlgəˈro
ملګري	mɪlˈgri
ملګری	məlgərai
ملګرې	məlgəre
ملی	mɪˈli
ممکن	momˈkən
من	mæn
مناسب	moˈnasɪb
منت	mɪnˈt
منتر	mɪnˈtər
منده	mɪnˈda
مندوزي	mɪnˈdoːzi
منزل	mænˈzɪl
منزله	mænˈzɪla
منظرو	mænˈzaro
منظرې	mænˈzare
منظم	mʊˈnazəm
منظور	mænˈzuːr
منع	mæna
منعه	mæˈnʕa
منل	manəl
منلی	mænˈli
منم	mænˈam
مننه	mænˈna
منو	mænˈo
مني	mani
منټ	mɪnəʈ
منځ	manz
منځني	mənzˈni
منځنی	mənzənəi
منځه	mənˈza
منډه	mənɖa
منږک	məngak
منګر	maŋgər
منگر	məngar
منیر	muˈniːr
منې	mənˈe
مه	ma
مهارت	məhaˈrat
مهال	məˈhal
مهم	mʊˈham
مهمه	məˈhama
مهمو	mʊˈhamo
مهمې	məˈhame
مهٔ	ma
مو	mu
مواد	moˈwad
موادو	moˈwado
موبایل	moˈbajəl
موجود	moˈddʒud
موخه	moxa
موخو	moˈxo
موده	moˈda
مودی	moˈdi
مور	moːr
موره	moˈra
موزي	moˈzi
موسم	moːˈsam
موسيقي	musiqi
موقع	moˈqa
مولا	moˈla
مولوي	moˈlowi
موندل	mundəl
موندلی	monˈdɪli
مونږ	mung
مونګ	moŋ
موټر	moˈʈər
موټک	muʈak
موړ	moːɺ
موږ	mug
موږي	moːgi
موږک	mugək
موژ	moːg
مي	mi
مياشت	mjɑʃt
ميان	miˈjan
ميرويس	miˈroːis
ميز	miz
ميشت	miˈʃt
ميلمه	milma
ميليون	miˈlion
مينه	mina
مينې	miˈne
ميوي	mijoːi
ميوې	mijoːe
ميړانه	miˈɺana
ميژ	miːg
ميېر	mjer
مُفغن	mʊfˈɣən
مټ	məʈ
مټونګى	məʈungai
مټې	mətˈte
مځکه	mədʒka
مچ	mətʃ
مچان	mətʃan
مچه	mətʃa
مچیو	mətʃijo
مړ	məɺ
مړؤی	mɪɺoj
مړه	məɺa
مړه	mɪɺa
مړوي	mɪɺoːi
مړوښه	mɪɺoxa
مړۍ	maɺ̢əi
مړې	məɺe
مږه	məɣa
مږوري	məɣoːri
مکان	məˈkan
مکتب	məkˈtab
مکرو	mʊkˈro
مکمل	məkəmˈmal
مکه	məˈka
مکړه	məkˈra
مکې	məke
مګر	məgər
مگر	məgər
مڼی	mɳi
مڼې	mɳe
می	mi
میاشت	miɑʃt
میراث	miˈras
میرزا	mirzɑ
میرمن	miˈrman
میز	miz
میشته	miˈʃta
مین	min
مینه	miˈna
مینځل	miˈnzal
مینې	miˈne
میوو	mijoːo
میړنو	miɺno
مې	me
مېجی	medʒɑi
مېخ	me:x
مېرمنې	mermaˈne
مېز	meːz
مېشت	meʃt
مېشته	meʃˈta
مېشيکو	meʃiko
مېشکوړ	meʃkoɺ
مېلمنې	melmaˈne
مېلمه	melma
مېله	mela
مېلوه	melawa
مېنه	meˈna
مېوه	meˈwa
مېچن	metʃən
مېړه	meːɺa
مېړګی	meɺgɑi
مېړۀ	meɺə
مېږو	meːɣo
مېښه	mexa
مېکسیکاني	meksiˈkani
ن	n
نا	nɑ
ناحق	naˈhaq
ناراضي	naːraˈzi
نارنجي	nɑrəndʒi
ناره	naˈra
ناروا	naːroˈwa
ناروغه	naːroˈɣa
ناروغۍ	naːroˈɣai
ناري	naːri
ناری	naːˈri
نارې	naːre
ناز	naz
نازل	naˈzal
نازو	nazu
نازک	naˈzak
ناست	naːst
ناستي	naːsti
ناستې	naːste
ناسم	nɑsəm
ناشته	naːʃta
ناصر	naːsir
نام	naːm
نامه	naːma
نان	naːn
ناټک	naːʈək
ناپوه	naːpoˈha
ناړولی	nɑɺawɘlai
ناکامه	naːˈkama
ناکتلى	naːkˈtali
نبي	nabi
نثر	naˈsar
نثري	nasˈri
نجات	naˈddʒat
نجلۍ	nədʒələi
نجونو	naːddʒoːno
نجيب	naddʒib
نجېب	naddʒeb
نخترو	naxtaro
نده	nəda
ندی	nədi
ندې	nəde
نر	nar
نرخ	narx
نرى	narai
نرکاشه	nərkɑʃa
نرے	naːre
نزدې	nizde
نس	nas
نسته	nasˈta
نسخو	nasˈxo
نسل	nasl
نسم	nəsəm
نسواري	naswɑri
نسٸ	nasˈi
نسې	nəse
نشئ	nəʃai
نشت	nəʃt
نشته	nəʃta
نشتوالي	nɪʃˈtwaːləi
نشر	naˈʃar
نشم	naʃˈʊm
نشه	ˈnaʃa
نشو	naˈʃo
نشي	naˈʃi
نشی	naˈʃi
نشیب	naˈʃeːb
نصيب	naˈseːb
نطفه	nʊtpa
نظارت	nazˈaːrat
نظر	ˈnazɪr
نظریاتي	nazəˈrjaːtiː
نظمونه	nazˈmuna
نغمه	naɣˈma
نغمو	naɣˈmo
نفره	naˈfara
نفس	nəfˈs
نقش	naqˈʃ
نقشه	naqˈʃa
نل	nal
نلري	nalˈri
نمایش	namˈjaːʃ
نمه	ˈnama
نمونځ	nəmuŋz
نمی	ˈnami
نن	nan
ننه	ˈnana
ننګ	nəŋg
ننګه	ˈnanga
ننګیالی	nəŋgiˈaːlai
نه	nə
نهر	ˈnahr
نهم	nəˈham
نهمو	nəˈhmo
نهه	nəh
نهو	nəˈho
نهي	nəˈhi
