ــ	æ
الْبَلْقَاءُ	aːlbalqaːʔ
الْبَلْقَانُ	aːlbalqaːn
الْبَلَّلُ	aːlbalal
الْبَلْهَاءُ	aːlbalhaːʔ
البلهاء	ælbælɑhɑː
البلوتونيوم	ælbæluːtuːnijuːm
البلورات	ælbæloːraːtˤ
البلورة	ælbæloːra
الْبلُوزُ	aːlbluːz
البلوز	ælboluːz
الْبَلُوشِيُّ	aːlbaluːʃijj
الْبَلُّوطُ	aːlballuːtˤ
البلوط	ælbælɑt
الْبُلُوغُ	aːlbuluːɣ
البلوغ	ælbaˈluːɣ
الْبُلُوكُ	aːlbuluːk
البلياردو	ælbæljɑːrduː
الْبَليدُ	aːlbaliːd
الْبَليغُ	aːlbaliːɣ
اُلْبُنْ	aːlbunn
اُلْبُنْ	ʔalabna
اُلْبُنْ	ʔallabna
اُلْبُنْ	ʔulabbin
اُلْبُنَا	ʔalabanaː
اُلْبُنَا	ʔalabnaː
اُلْبُنَا	ʔallabanaː
اُلْبُنَا	ʔallabnaː
الْبِنَاءُ	aːlbannaːʔ
الْبِنَاءُ	aːlbinaːʔ
البناء	ælbaˈnaːʔ
الْبِنَائِيُّ	aːlbinaːʔijj
البناتِ	ælbenæti
البنات	ælbonaːt
الْبَنَادِقُ	aːlbanaːdiq
البنادق	ælbænæˈdæqi
البناطيل	ælbænɑːtˤɪl
اُلْبُنَانِّ	aːlbanaːn
البنايات	ælbænɑjɑt
البناية	ælbaˈnaja
الْبِنْتُ	aːlbint
البنتِ	ælbenti
البنت	ælˈbɛnt
البنتاجون	ælbʌntɪˈθuːn
البنتاغون	ælbæntɑɣuːn
الْبَنْجَرُ	aːlbandʒar
الْبَنْدُ	aːlband
البند	ælˈbænd
الْبَنْدَرُ	aːlbandar
الْبُنْدُقُ	aːlbunduq
البندق	ælˈbɑndɑr
البندقية	ælbændˈqɪja
البندقيه	ælbɪndɪqiːhæ
الْبَنْدُولُ	aːlbanduːl
الْبَنْزِينُ	aːlbinziːn
البنزين	ælbenziːn
البنطال	ælbæntæʔ
الْبَنْطَلُونُ	aːlbantˤaluːn
البنطلون	ælbæntˈlˤuːn
الْبَنَفْسَجُ	aːlbanafsadʒ
البنفسج	ælbænsɑdʒ
الْبَنَفْسَجِيُّ	aːlbanafsadʒijj
البنفسجي	ælbæfnesˈdʒiː
البنفسجية	ælbæfnafsˈdʒijja
اُلْبُنْكَ	aːlbank
اُلْبُنْكَ	aːlbunk
البنك	ælˈbæŋk
اُلْبُنْكَ	ʔalabnaka
اُلْبُنْكَ	ʔalabnaki
اُلْبُنْكَ	ʔallabnaka
اُلْبُنْكَ	ʔallabnaki
اُلْبُنْكَ	ʔulabbinka
اُلْبُنْكَ	ʔulabbinki
الْبَنْكِرْيَاسُ	aːlbankriːaːs
البنكرياس	ælbæŋkɾijɑs
الْبَنْكِيُّ	aːlbankijj
البنكي	ælˈbæŋki
البنكية	ælbæŋkijæ
الْبُنُودُ	aːlbunuːd
الْبُنُوكُ	aːlbunuːk
البنوك	ælbænoːk
اُلْبُنِي	aːlbaniː
اُلْبُنِي	aːlbunajj
البني	ælˈbæni
اُلْبُنِي	ʔalabaniː
اُلْبُنِي	ʔallabaniː
الْبُنْيَانُ	aːlbunjaːn
البنية	ælˈbæniʔa
الْبُنَّيْنِ	aːlbaniːn
الْبُنَّيْنِ	aːlbiniːn
الْبُنْيَوِيُّ	aːlbinjauijj
الْبُنْيَوِيُّ	aːlbunjauijj
الْبَهَاءُ	aːlbahaːʔ
الْبَهَائِمُ	aːlbahaːʔim
الْبُهْتَانُ	aːlbuhtaːn
البهجة	ælbehˈʒa
الْبَهْلَوَانُ	aːlbahlauaːn
الْبَهْوُ	aːlbahw
البهو	ælbeːhu
الْبَهِيُّ	aːlbahijj
الْبَهِيجُ	aːlbahiːdʒ
الْبَوَّابُ	aːlbawwaːb
البوّاب	ælboːb
البواب	ælboːbæ
البوابات	ælbowwaːtˤaːt
البوّابة	ælboːtˤɑːbɑ
البوابة	ælboːwɑːtæ
البوابه	ælboːhæb
الْبَوَاخِرُ	aːlbauaːxir
الْبَوَادِي	aːlbauaːdiː
الْبَوَارِجُ	aːlbauaːridʒ
الْبَوَاسِلُ	aːlbauaːsil
الْبوَاسِيرُ	aːlbauaːsiːr
الْبُوبُ	aːlbuːb
البوب	ælˈbob
الْبُوتَاجَازُ	aːlbuːtaːdʒaːz
الْبُوتَاسُ	aːlbuːtaːs
البوتاسيوم	ælbotɑsijum
الْبُوحُ	aːlbauħ
الْبُوحُ	aːlbuːħ
البوح	ælboːħ
البودرة	ælboːdˤɑrɑ
البوذية	ælbuːðijæ
الْبُورُ	aːlbuːr
البوربون	ælboːrbʊn
البورش	ælˈboːrʃ
البورصة	ælboːrsˁɑ
الْبُوسْتُ	aːlbuːst
البوسنة	ælbusˈnɑ
الْبُوسْنِيُّ	aːlbuːsnijj
البوصلة	ælbusˈsˤa
البوظة	ælbuːðɑ
الْبُوفِيهُ	aːlbuːfiːh
الْبُوقُ	aːlbuːq
البوق	ælboːq
الْبُوكَرُ	aːlbuːkar
البوكر	ælboːkɪr
الْبَوْلُ	aːlbaul
الْبَوْلُ	aːlbuːl
البول	ælboːl
الْبُولَنْدِيُّ	aːlbuːlandijj
البولندي	ælbolindi
البولندية	ælbuːliːnija
الْبَوْلِيُّ	aːlbaulijj
الْبُولِيسُ	aːlbuːliːs
البوليس	ælboliːs
الْبُولِيسِيُّ	aːlbuːliːsijj
البولينج	ælboliːndʒ
البولينغ	ælboliŋ
الْبُومُ	aːlbuːm
البوم	ælˈboːm
الْبُومُ	ʔalbuːm
البومة	ælboːmah
اِلْبَوُنَّ	aːlbaun
اِلْبَوُنَّ	aːlbuːn
اِلْبَيْ	aːlbiː
البي	ælbi
اِلْبَيْ	ʔalbijj
اِلْبَيْ	ʔulabbiː
البيئة	ælbiːʕa
الْبِيئِيُّ	aːlbiːʔijj
البيئي	ælbiˈʔiː
البيئية	ælbiːʕɪjːah
الْبِيَاتُ	aːlbajjaːt
الْبِيَاتُ	aːlbiiaːt
الْبَيَاضُ	aːlbiiaːdˤ
البياض	ælbiːˈæːd
اِلْبَيَانِّ	aːlbiiaːn
البيان	ælbiːˈæːn
البيانات	ælbiːæˈnɑːtˤɑːs
البيانو	ælbiˈæno
الْبَيَانِيُّ	aːlbiiaːnijj
البياني	ælbiːˈæni
الْبَيْتُ	aːlbiit
البيت	ælbeːt
البيتَ	ælbeːtɑ
البيتِ	ælˈbeːtˤi
البيتزا	ælbiːtsæ
البيتلز	ælbiːtelz
الْبَيْتِيُّ	aːlbiitijj
الْبِيدَاغُوجِيُّ	aːlbiːdaːɣuːdʒijj
الْبِيرُ	ʔalbiːr
البيرة	ælbeːrɑ
الْبَيْرَقُ	aːlbiiraq
البيره	ælbiːrɑ
البيرو	ælbeɾo
الْبيرُوقْرَاطِيُّ	aːlbiːruːqraːtˤijj
البيروقراطية	ælbiroːˈqraːtijæ
الْبِيزَنْطِيُّ	aːlbiːzantˤijj
البيسبول	ælpeɪsˈbol
الْبُيْضُ	aːlbiːdˤ
الْبُيْضُ	aːlbiidˤ
البيض	ælˈbæjθ
الْبَيْضَاءُ	aːlbiidˤaːʔ
البيضاء	ælbiːdˤɑː
الْبَيْضَاوِيُّ	aːlbiidˤaːwijj
البيضة	ælbiːdˁa
الْبَيْطَارُ	aːlbiitˤaːr
الْبَيْطَرِيُّ	aːlbiitˤarijj
البيطري	ælbiːtˤɾiː
الْبَيْعُ	aːlbiiʕ
البيع	ælbiːʕ
البيك	aːlbiːk
البيك	ʔalbijjka
البيك	ʔalbijjki
البيك	ʔulabbiːka
البيك	ʔulabbiːki
اِلْبَيِنَّ	aːlbajjin
الْبَيْنِيُّ	aːlbiinijj
الْبُيُوتُ	aːlbajjuːt
الْبُيُوتُ	aːlbujuːt
البيوت	ælbiːwɑt
الْبُيوعُ	aːlbujuːʕ
الْبَيُولُوجِيُّ	aːlbiːuːluːdʒijj
البيولوجي	ælbiːɔːlɔːʒiː
الْبِيُولُوجِيَّا	aːlbiːuːluːdʒiːaː
البيولوجية	ælbiːoːloːgʲiː
الة	ælɑ
التَّ	aːlat
التَّ	ʔalat
التَّ	ʔalutt
التَّ	ʔulta
التَّ	ʔulti
التَّ	ʔultu
التَّآخي	aːltaaːxiː
التآكل	aːltaaːkul
التَّآلُفُ	aːltaaːluf
التَّآمُرُ	aːltaaːmur
التآمر	ɑltɑːmɑr
التَّأْبِينُ	aːltaʔbiːn
التَّأَثُّرُ	aːltaʔaθθur
التأثر	taʔatˤar
التَّأْثِيرُ	aːltaʔθiːr
التأثير	ɑltæˈhiːθa
التأثيرات	ɪltæħˈmiːʕɑːt
التَّأْجِيرُ	aːltaʔdʒiːr
التَّأْجِيلُ	aːltaʔdʒiːl
التأجيل	ɑltægiːl
التَّأَخُّرُ	aːltaʔaxxur
التأخر	talaːraː
التَّأْخِيرُ	aːltaʔxiːr
التأخير	taχiːr
التَّأَدُّبُ	aːltaʔaddub
التَّأْدِيبُ	aːltaʔdiːb
التَّأْرِيخُ	aːltaʔriːx
التأريخ	tariːx
التَّأَزُّمُ	aːltaʔazzum
التَّأْسِيسُ	aːltaʔsiːs
التَّأْسِيسِيُّ	aːltaʔsiːsijj
التأشير	aːltaʔʃiːr
التَّأْصِيلُ	aːltaʔsˤiːl
التأقلم	aːltaʔaqlum
التأقلم	taʔaqlam
التَّأَكُّدُ	aːltaʔakkud
التأكّد	ɑltæˈkɑdˤ
التأكد	taʔakad
التَّأْكِيدُ	aːltaʔkiːd
التأكيد	ɑltæθiːˈbɑːʔ
التَّأَلُّقُ	aːltaʔalluq
التَّأْلِيفُ	aːltaʔliːf
التَّأَمُّلُ	aːltaʔammul
التأمل	taʔamla
التَّأْمِيمُ	aːltaʔmiːm
التَّأْمِينُ	aːltaʔmiːn
التأمين	ɑltæmiːn
اِلْتَأْنِي	aːltaʔanniː
التأنيث	aːltaʔniːθ
التَّأَهُّبُ	aːltaʔahhub
التَّأَهُّلُ	aːltaʔahhul
التأهيل	aːltaʔhiːl
التأهيل	ɑltæħiːl
التأويل	aːltaʔwiːl
التَّأْيِيدُ	aːltaʔjiːd
التَّاءُ	aːltaːʔ
التَّائِبُ	aːltaːʔib
التَّائِهُ	aːltaːʔih
التَّابِعُ	aːltaːbiʕ
التابع	ɑltɑwɑbiː
التابعة	æltæbʕa
التَّابِعِيُّ	aːltaːbiʕijj
التابعين	æltæbʕiːn
التَّابُوتُ	aːltaːbuːt
التابوت	æltæːbuːt
التاثير	aːltaʔθiːr
التَّاجُ	aːltaːdʒ
التاج	tɑːdʒ
التَّاجِرُ	aːltaːdʒir
التاجر	taʒar
التَّاجِيُّ	aːltaːdʒijj
التارديس	ɑltɑɾˈdiːs
التَّارِيخُ	aːltaːriːx
التاريخ	tæltæˈriːx
التَّارِيخِيُّ	aːltaːriːxijj
التاريخي	ɪttɑɾɪːχij
التاريخية	ɑltæriːxijja
التَّاسِعُ	aːltaːsiʕ
التاسع	tasˤiːʕ
التاسعة	ɪltɑˈsˤɑˑhɑ
التاسعه	taːsaʕa
التَّافِهُ	aːltaːfih
التافه	tælæfe
التافهة	tæfha
التاكد	aːltaʔakkud
التَّاكْسِيُّ	aːltaːksijj
التاكسي	tæˈkæsi
التاكو	tako
التاكيد	aːltaʔkiːd
التاكيلا	takiːla
التَّالِفُ	aːltaːlif
التالى	ɑɫˈtæːlɪ
التَّالِي	aːltaːliː
التالي	ˈlæːliː
التالية	ɑltɑːlijɑ
التاليه	ˈlæːteːha
التاليين	ˈlæːteːniːn
التَّامُّ	aːltaːmm
التَّامُّ	iltaːma
التام	tæˈlæm
التَّامُّ	ʔaltaːm
التامة	tˤɑːmɑː
التَّامِّينَ	aːltaːmmiini
التَّامِّينَ	aːltaʔmiːn
التانغو	tælˈtæŋgo
التاهيل	aːltaʔhiːl
التايلاندي	aːltaːjlaːndijj
التايمز	ɑlˈtæjmez
التَّبَاحُثُ	aːltabaːħuθ
التَّبَادُلُ	aːltabaːdul
التبادل	æltæbɑːdil
اِلْتِبَاسٌ	iltibaːs
التَّبَاطُؤُ	aːltabaːtˤuʔ
التَّبَاعَدُ	aːltabaːʕud
التبانة	æltæbɑːnæ
التَّبَاهِي	aːltabaːhiː
التباهي	ɑltɑˈbɑːj
التَّبَايُنُ	aːltabaːjun
التِّبِتُ	aːltibit
التبت	ælˈtæbæt
التَّبْجِيلُ	aːltabdʒiːl
التَّبَخُّرُ	aːltabaxxur
التَّبْدِيلُ	aːltabdiːl
التبديل	æltæbdiːl
التَّبْذِيرُ	aːltabðiːr
التَّبَرُّعُ	aːltabarruʕ
التبرع	tæltæbɾuʕ
التبرعات	ɑltæbɾiʕɑt
التَّبْرِيدُ	aːltabriːd
التبريد	æltæbriːd
التَّبْرِيرُ	aːltabriːr
التَّبْرِيزِيُّ	aːltabriːzijj
التَّبْسِيطُ	aːltabsiːtˤ
التَّبْشِيرُ	aːltabʃiːr
التَّبِعِيُّ	aːltabaʕijj
التَّبَغُ	aːltibɣ
التبغ	ælˈtæbɣ
التَّبْلِيغُ	aːltabliːɣ
التبليغ	æltebligh
اُلْتُبِنَّ	aːltibn
اُلْتُبِنَّ	iltabana
اُلْتُبِنَّ	iltabanna
اُلْتُبِنَّ	ʔaltabin
اُلْتُبْنِي	aːltabanniː
اُلْتُبْنِي	aːltibnijj
التبني	æltebni
التبول	æltæbuːl
التَّبْوِيبُ	aːltabwiːb
التَّبْيِيضُ	aːltabjiːdˤ
التَّتَابُعُ	aːltataːbuʕ
التتار	aːltataːr
التَّتَبُّعُ	aːltatabbuʕ
التتبع	ɪlttaˈbɑʕ
التَّتَرُ	aːltatar
التَّتْوِيجُ	aːltatwiːdʒ
التتويج	ɪltetˈwiːg
التَّثَبُّتُ	aːltaθabbut
التَّثْبِيتُ	aːltaθbiːt
التَّثْقِيفُ	aːltaθqiːf
التَّثْلِيثُ	aːltaθliːθ
اِلْتَجَأَ	iltadʒaʔa
التُّجَّارُ	aːltudʒaːr
التجار	ɑltˈɑdʒɑr
التَّجَارِبُ	aːltadʒaːrib
التجارب	tæltaʒæɾiːb
التجارة	ɪltiːdʒɑːrɑːhɑ
التجارى	ɪltæˈdʒɑːrɪ
التِّجَارِيُّ	aːltidʒaːrijj
التجاري	tæltaˈgɑːri
التجارية	ɑltigɑːɾijɑ
التَّجَاعِيدُ	aːltadʒaːʕiːd
التجاعيد	talaːʕiːd
التّجَانُسُ	aːltadʒaːnus
التَّجَاهُلُ	aːltadʒaːhul
التَّجَاوُبُ	aːltadʒaːwub
التَّجَاوُزُ	aːltadʒaːwuz
التجاوز	ɑltɑjɑwʃ
التَّجَدُّدُ	aːltadʒaddud
التَّجْدِيدُ	aːltadʒdiːd
التجديد	ɑltædʒdiːd
التَّجْدِيفُ	aːltadʒdiːf
التجديف	ɑltɑgdɪf
التجربة	tælteʒriːba
التجربه	tælˈtæxra
التَّجَرُّدُ	aːltadʒarrud
التَّجْرِيبُ	aːltadʒriːb
التَّجْرِيبِيُّ	aːltadʒriːbijj
التجريبي	ɑltigriːbiː
التجريبية	ɑltɪgˈɾibja
التَّجْرِيحُ	aːltadʒriːħ
التَّجْرِيدُ	aːltadʒriːd
التَّجْرِيدِيُّ	aːltadʒriːdijj
التَّجْرِيفُ	aːltadʒriːf
التَّجْرِيمُ	aːltadʒriːm
التَّجَسُّدُ	aːltadʒassud
التَّجَسُّسُ	aːltadʒassus
التجسس	tɑlˈtɑgesˤ
التَّجْسِيدُ	aːltadʒsiːd
التَّجْفِيفُ	aːltadʒfiːf
التَّجَلِّي	aːltadʒalliː
التَّجَمَّدُ	aːltadʒammud
التجمد	ɪltægˈmɪd
التَّجَمُّعُ	aːltadʒammuʕ
التجمع	ɑltædʒmɑb
التَّجَمْهُرُ	aːltadʒamhur
التَّجْمِيدُ	aːltadʒmiːd
التجميد	ɑltɑdʒmiːd
التَّجْمِيعُ	aːltadʒmiːʕ
التجميع	tæltæˈmiːʕ
التَّجْمِيلُ	aːltadʒmiːl
التجميل	ɪltægˈmiːl
التَّجْمِيلِيُّ	aːltadʒmiːlijj
التجميلية	ɑltɑmbiːʕijjɑlijɑ
التَّجْنِيدُ	aːltadʒniːd
التجنيد	ɑlˈtɪnɪd
التَّجْنِيسُ	aːltadʒniːs
التَّجْهِيزُ	aːltadʒhiːz
التجهيز	ɪltæħiːz
التجهيزات	ɑltædʒihiˈzɑt
التَّجْهِيلُ	aːltadʒhiːl
التَّجْوَالُ	aːltadʒwaːl
التجوال	tæltaˈguːl
التَّجَوُّلُ	aːltadʒawwul
التجول	tælˈtɑguːl
التَّجْوِيدُ	aːltadʒwiːd
التَّجْوِيعُ	aːltadʒwiːʕ
التَّجْوِيفُ	aːltadʒwiːf
التجويف	ɪltɑdʒˈjiːf
اِلْتِحَاقٌ	iltiħaːq
التَّحَالُفُ	aːltaħaːluf
التحالف	ɑltæħɑlɑf
التحاليل	aːltaħaːliːl
التحاليل	ɑltɑħɑˈlil
اِلْتِحَامٌ	iltiħaːm
التَّحَامُلُ	aːltaħaːmul
التَّحَاوُرُ	aːltaħaːwur
التَّحَايُلُ	aːltaħaːjul
التحتية	ɑltˤɑhtˤijja
التَّحَدُّثُ	aːltaħadduθ
التحدُّث	ɑltahdudðˈuθ
التحدّث	ɑltɑhˈdɑθ
التحدث	ɪltɑhˈdiːd
التحدى	ɑltæhˈdiː
التَّحَدِّي	aːltaħaddiː
التحدي	ɑltahˈdiː
التحديات	ɑltɑhdijɑːt
التَّحْدِيثُ	aːltaħdiːθ
التحديث	ɑltˁɑðˈɾˤɪn
التَّحْدِيدُ	aːltaħdiːd
التحديد	ɑltahdiːd
التحديق	taltaðiːq
التَّحْذِيرُ	aːltaħðiːr
التحذير	ɑltɑħðɪr
التَّحَرُّرُ	aːltaħarrur
التحرر	tɑltɑħrʊr
التَّحَرُّرِيُّ	aːltaħarrurijj
التَّحَرُّشُ	aːltaħarruʃ
التحرش	ɑltɑħɾɪʃ
التَّحَرُّكُ	aːltaħarruk
التحرك	ɪltɑħɾɑk
التحرّك	tɑɫtˤɑrˈɾˤɑk
التحركات	ɑltɑħraːkaːtˤ
التَّحَرِّي	aːltaħarriː
التحري	tɑɫˈhɑɾi
التحريات	ɑltɑħriːjɑːt
التَّحْرِيرُ	aːltaħriːr
التحرير	tælteˈriːr
التَّحْرِيرِيُّ	aːltaħriːrijj
التَّحْرِيضُ	aːltaħriːdˤ
التَّحْرِيفُ	aːltaħriːf
التَّحْرِيكُ	aːltaħriːk
التحريك	taθariːk
التَّحْرِيمُ	aːltaħriːm
التَّحَزُّبُ	aːltaħazzub
التَّحَسُّسُ	aːltaħassus
التَّحَسُّنُ	aːltaħassun
التحسن	ɪltˈħɑsˤn
التَّحْسِينُ	aːltaħsiːn
التَّحْصِيلُ	aːltaħsˤiːl
التَّحْصِينُ	aːltaħsˤiːn
التَّحْضِيرُ	aːltaħdˤiːr
التحضير	ɑltæħðˈjɑːr
التحضيرات	ɑltˁɑðˁiːɾɑːtˁ
التَّحْضِيرِيُّ	aːltaħdˤiːrijj
التحطم	talaħθum
اِلْتَحَفَ	aːltuħaf
اِلْتَحَفَ	iltaħafa
التحف	tɑltˈhɑf
اِلْتَحَفَ	ʔaltaħif
التَّحَفُّظُ	aːltaħaffuðˤ
التحفظ	taɬahfiθ
التحفيز	ɪltahfiːz
التَّحْفِيظُ	aːltaħfiːðˤ
اِلْتَحَقَ	iltaħaqa
التحق	tˤaħiːq
اِلْتَحَقَ	ʔaltaħiq
التحقت	talaħqatˁ
التَّحَقُّقُ	aːltaħaqquq
التحقق	taleħum
التَّحْقِيرُ	aːltaħqiːr
التَّحْقِيقُ	aːltaħqiːq
التحقيق	tɑltaħiːq
التحقيقات	ɑltɑħqiːʕɑːtˤ
اِلْتَحِكُمْ	aːltaħakkum
التحكّم	tɑlteˈħɑkm
التحكم	tɑlˈtˤɑxm
اِلْتَحِكُمْ	ʔaltaħkum
التَّحْكِيمُ	aːltaħkiːm
التحكيم	ɑltɑħkiːm
التَّحَلُّلُ	aːltaħallul
التحلل	ɑltæħlæl
التَّحَلِّي	aːltaħalliː
التحلي	taħliː
التحلية	ɑltˤɑħlija
التَّحْلِيقُ	aːltaħliːq
التحليق	ɑltɑħliːq
التَّحْلِيلُ	aːltaħliːl
التحليل	tˤɑħˈlˤiːn
التَّحْلِيلِيُّ	aːltaħliːlijj
التَّحَمُّلُ	aːltaħammul
التحمّل	ɑltɑħˈmɑl
التحمل	tɑtˈħɑmɑl
التَّحْمِيلُ	aːltaħmiːl
التحميل	ɑltæħmiːl
التَّحَوُّطُ	aːltaħawwutˤ
التَّحَوُّلُ	aːltaħawwul
التحوّل	ɪltɑħˈwul
التحول	ɪltˈħawwʊl
التَّحْوِيرُ	aːltaħwiːr
التَّحْوِيلُ	aːltaħwiːl
التحويل	ɑltɑwɑɾiːʔ
التحيّة	ɑltiħijja
التحية	tɑltiħɑja
التَّحَيُّزُ	aːltaħajjuz
التحيه	ɑltˈħajja
التَّخَابُرُ	aːltaxaːbur
التَّخَاذُلُ	aːltaxaːðul
التَّخَاطُبُ	aːltaxaːtˤub
التخاطر	tɑxɑːri
التَّخَبُّطُ	aːltaxabbutˤ
التَّخَثُّرُ	aːltaxaθθur
التَّخْدِيرُ	aːltaxdiːr
التخدير	ɑltɑxdiːr
التَّخَرُّجُ	aːltaxarrudʒ
التخرج	ɑlˈtɑxɾɑʒ
التخرّج	tɑɫˈtɑxˈɾˈɾɑg
التَّخْرِيبُ	aːltaxriːb
التخريب	tɑxriːb
التَّخْرِيبِيُّ	aːltaxriːbijj
التَّخْرِيجُ	aːltaxriːdʒ
التَّخْزِينُ	aːltaxziːn
التخزين	tɑxˈziːn
التَّخْسِيسُ	aːltaxsiːs
التَّخَصُّصُ	aːltaxasˤˤusˤ
التَّخَصُّصِيُّ	aːltaxasˤˤusˤijj
التَّخْصِيبُ	aːltaxsˤiːb
التَّخْصِيصُ	aːltaxsˤiːsˤ
التَّخْطِيطُ	aːltaxtˤiːtˤ
التخطيط	tæltaxːiːd
التَّخَفِّي	aːltaxaffiː
التخفي	tɑxˈfiː
التَّخْفِيضُ	aːltaxfiːdˤ
التخفيضات	ɑltɑxfiːˈsˤɑːt
التَّخْفِيفُ	aːltaxfiːf
التخفيف	tɑɫtaxˈfiːn
التَّخَلُّصُ	aːltaxallusˤ
التخلّص	ɑltɪħlɑsˤ
التخلص	ɪltɑxˈlɑf
التَّخَلُّفُ	aːltaxalluf
التخلى	ɑltɑxˈliː
التَّخَلِّي	aːltaxalliː
التخلّي	tɑlˈtˤɑlˈli
التخلي	tɑxˈliː
التَّخْلِيصُ	aːltaxliːsˤ
التَّخْمِيرُ	aːltaxmiːr
التَّخْمِينُ	aːltaxmiːn
التَّخْمِينُ	aːltaxmiini
التَّخْمِينُ	aːltuxmiini
التخمين	ɑltɑxmeːn
التَّخَوُّفُ	aːltaxawwuf
التَّخْوِيفُ	aːltaxwiːf
التَّخَيُّلُ	aːltaxajjul
التخيل	tɑxɪl
التَّخْيِيرُ	aːltaxjiːr
التَّخْيِيلُ	aːltaxjiːl
التخييم	ɑltəxˈjiːm
التَّدَابِيرُ	aːltadaːbiːr
التدابير	ɑltædæbiːr
التَّدَاخُلُ	aːltadaːxul
التداخل	tadaːxil
التَّدَاعي	aːltadaːʕiː
التَّدَاوُلُ	aːltadaːwul
التداول	tadaːwul
التَّدَاوِي	aːltadaːwiː
التَّدَبُّرُ	aːltadabbur
التَّدْبِيرُ	aːltadbiːr
التدبير	ɪltedˈbɪr
التَّدَخُّلُ	aːltadaxxul
التدخّل	ɪltɑdˈxɑlˤ
التدخل	ɪltˈdagal
التَّدْخِينُ	aːltadxiːn
التدخين	ɪttadˈxɪn
التَّدَرُّبُ	aːltadarrub
التدرب	taladrab
التَّدَرُّجُ	aːltadarrudʒ
التَّدَرُّجُ	aːltadrudʒ
التَّدْرِيبُ	aːltadriːb
التدريب	taɬdariːb
التدريبات	tældriːbæt
التَّدْرِيبِيُّ	aːltadriːbijj
التدريبية	ɪttadˈɾiːbijja
التَّدْرِيجِيُّ	aːltadriːdʒijj
التَّدْرِيسُ	aːltadriːs
التدريس	tælˈtædriːs
التَّدْرِيسِيُّ	aːltadriːsijj
التَّدْشِينُ	aːltadʃiːn
التدفئة	ɪltɑfˈʔæʔ
التَّدَفُّقُ	aːltadaffuq
التدفق	taɬdagʕ
التَّدْقيقُ	aːltadqiːq
التدقيق	tælˈdiːq
التَّدْلِيسُ	aːltadliːs
التَّدْلِيكُ	aːltadliːk
التدليك	ɑltɑdˈlɑki
التَّدْلِيلُ	aːltadliːl
التَّدْمِيرُ	aːltadmiːr
التدمير	tɑldɪmɑːɾiː
التَّدَهْوُرُ	aːltadahwur
التَّدْويرُ	aːltadwiːr
التدوير	ɪltɑdˈwiːr
التَّدْويلُ	aːltadwiːl
التَّدْوِينُ	aːltadwiːn
التَّدَيُّنُ	aːltadajjun
التَّذَاكِرُ	aːltaðaːkir
التذاكر	tælðɑkiɾɑ
التَّذَبْذُبُ	aːltaðabðub
التَّذْكَارِيُّ	aːltaðkaːrijj
التذكاري	ɪltazˈmɑːrɪ
التذكارية	ɑltazkiːɾijjɑ
التَّذَكُّرُ	aːltaðakkur
التذكر	ɪltˈzˤɪkˤr
التذكرة	ɑltɪðˈkɑːɾɑ
التَّذْكِيرُ	aːltaðkiːr
التَّذَمُّرُ	aːltaðammur
التذمر	tɑθˈðumːɑr
التَّذَوُّقُ	aːltaðawwuq
التذوق	tæðˈwɔg
التُّرَابُ	aːlturaːb
التراب	æltæɾɑb
التَّرَابُطُ	aːltaraːbutˤ
الترابط	æltæɾɑbiːt
التُّرَابِيُّ	aːlturaːbijj
التُّرَاثُ	aːlturaːθ
التراث	æltæɾɑθ
التُّرَاثِيُّ	aːlturaːθijj
التَّرَاجُعُ	aːltaraːdʒuʕ
التراجع	æltæɾɑʒɑʕ
التَّرَاجِمُ	aːltaraːdʒim
التَّرَاخِي	aːltaraːxiː
التراخيص	aːltaraːxiːsˤ
التَّرَاضِي	aːltaraːdˤiː
التَّرَاكُمُ	aːltaraːkum
التَّرَاكِيبُ	aːltaraːkiːb
الترام	aːltaraːm
التَّرَانِيمُ	aːltaraːniːm
التراهات	ɑltɑɾɑhɑːt
التَّرَاوِيحُ	aːltaraːwiːħ
التربة	æltɑrbogæ
التَّرَبُّصُ	aːltarabbusˤ
التَّرْبَوِي	aːltarbauijj
التربية	æltirbija
التَّرْتِيبُ	aːltartiːb
الترتيب	æltɾiːdˈdʒiːb
الترتيبات	æltæɾtiːbɑːt
الترجمة	æltɾædʒma
الترجمه	æltɑrdʒuːmæ
التَّرَجِّي	aːltaradʒiː
التَّرْجِيحُ	aːltardʒiːħ
التَّرْحَالُ	aːltarħaːl
الترحال	ælteɾˈɾɑːl
التَّرْحِيبُ	aːltarħiːb
الترحيب	æltˁɾiːhɪb
التَّرْحِيلُ	aːltarħiːl
التَّرْخِيصُ	aːltarxiːsˤ
الترخيص	æltˁɾɪxˈsˁ
التَّرَدُّدُ	aːltaraddud
التردد	ɑltɑrdɑd
الترددات	ɑltɑrdɑdɑt
التُّرْسُ	aːltirs
التُّرْسُ	aːlturs
التَّرْسِيمُ	aːltarsiːm
التَّرَشُّحُ	aːltaraʃʃuħ
الترشح	ɑltɑrʃɑħ
التَّرْشِيحُ	aːltarʃiːħ
الترشيح	æltˁɪħˈiːħ
التَّرْشِيدُ	aːltarʃiːd
التُّرَعُ	aːlturaʕ
التَّرْغِيبُ	aːltarɣiːb
التَّرَفُ	aːltaraf
التَّرَفُ	aːltarif
التَّرَفُّعُ	aːltaraffuʕ
التَّرْفِيعُ	aːltarfiːʕ
