અં	ə̃ː
કિંમતોએ	kimːʋtoe
કિંમતોથી	kimːʋtoːʃti
કિંમતોની	kimːʋtoːniː
કિંમતોનું	kimːʋtoːnʋ
કિંમતોને	kimːʋtoːne
કિંમતોનો	kimːʋtoːno
કિમતોમાં	kimːt̪oŋ
કિંમતોમાં	kimːʋtoːmɑ̃
કિમના	kimnə
કિમની	kimni
કિમને	kimne
કિંમમાં	kimmə̃
કિમી	kiːmiː
કિમે	kimɛ
કિયા	kijɑ
કિરણ	kiɾɳ
કિરણે	kiɾne
કિરદારમાં	kiɾd̪ɑɾmɑ̃
કિરદારો	kiɾd̪ɑɾo
કિરન	kiɾən
કિરના	kiɾnə
કિરેકિરે	kiɾeʔkiɾe
કિરૉન	kiɾoːn
કિરોન	kɪɾon
કિર્ગિસ્તાનની	kiːɾgiːsʈaːniː
કિર્તિમાન	kiːɾt̪ʰiːmaːn
કિર્તીદાન	kiɾt̪iːdaːn
કિલ	kiːl
કિલર	kiːləɾ
કિલરના	kilɾənə
કિલા	kiːlə
કિલો	kilo
કિલોગ્રામ	kiːlogɾɑːm
કિલોગ્રામમાં	kiːloːgɾɑːmmɑ̃
કિલોના	kilona
કિલોની	kiloniː
કિલોમીટર	kiloːmiːt̪əɾ
કિલોવોટ	kiːloʋɔt
કિલ્ડ	kilɖ
કિલ્લાની	kiɭaːni
કિલ્લાને	kilːaːne
કિશન	kiʃən
કિશોર	kiʃoɾ
કિશોરીની	kiʃoɾiːniː
કિસ	kiːs
કિસર	kisəɾ
કિસરના	kisəɾna
કિસાન	kisɑ̃n
કિસિંગ	kisiŋ
કિસ્મત	kiːsmət
કિસ્મતમાં	kiːsmət̪mæ̃
કિસ્સા	kisːə
કિસ્સાઓ	kisːo
કિસ્સાઓના	kisːɑːonɑ
કિસ્સાઓમાં	kisːɑomɑ̃
કિસ્સાની	kisənaː
કિસ્સામાં	kisːomɑ̃
કિસ્સો	kiːsso
કી	kiː
કીએ	kiːe
કીકૂ	kiːkuː
કીકૂની	kiːkuːniː
કીચ	kiːtʃ
કીચડ	kiːʈʈʰ
કીચડને	kiːtʃəne
કીથ	kiːθ
કીનો	kiːno
કીપર	kiːpər
કીપરની	kiːpəɾniː
કીપર્સ	kiːpəɾs
કીપિંગ	kiːpiŋg
કીંમત	kiːmət
કીરણ	kiːɾəɳ
કીરન	kiːɾən
કીરા	kiːɾɑː
કીરાએ	kiːɾɑːe
કીરીટ	kiːɾit̪
કીરેન	kiːɾen
કીરોન	kiːroːn
કીર્તિ	kiːɾti
કીર્તિમાન	kiːɾt̪ʰiːmaːn
કીર્તિમાનોના	kiːɾt̪ʰiːmaːnoːna
કીવર્ડ	kiːvaːɾɖ
કીવિઓને	kiːʋiːo̯ne
કીવી	kiːʋiː
કીવીલેન્ડમાં	kiːʋiːlə́nd̪mæ̃
કીવોન	kiːʋoːn
કીસવેટર	kiːsʋeːʈəɾ
કુક	kʊk
કુકને	kuːkne
કુકીંગનું	kʊkiŋn̪u
કુકે	kʊkɛ
કુછ	kuʈʈʰ
કુટીરમાં	kuʈiːrmæ̃
કુટુંબ	kuʈʊmb
કુટુંબના	kuʈʊmbnɑ
કુટુંબની	kuʈʊmbni
કુટુંબને	kuʈʊmbne
કુટુમ્બ	kʊʈʊmb
કુટુમ્બની	kuʈʊmbn̪i
કુટેવોના	kʊʈeʋoɳə
કુંડળી	kuɳɖəliː
કુંડળીભાગ્ય	kuɳɖəliːbʌgj
કુંડળીભાગ્યની	kuɳɖɛliːbʌgjniː
કુણાલ	kuɳaːl
કુણાલે	kuɳaːle
કુણો	kʊɳo
કુદકો	kʊd̪kʊ
કુંદન	kuɳɖən
કુંદનની	kuːnd̪əniː
કુંદનનો	kʊɳɖənno
કુંદર	kuːɳɖəɾ
કુદરતી	kʊd̪əɾət̪i
કુદી	kʊɾi
કુંદ્રા	kʊnd̪ɾɑ
કુંદ્રાની	kuːnd̪ɾɑːniː
કુનલાવુત	kun̪əlaːʋʊt̪
કુનાલ	kʊnaːl
કુનેહથી	kuneːʈʰi
કુનેહપૂર્વક	kuːneːɦpuːɾʋk
કુન્દ્રા	kuːnd̪raː
કુન્દ્રાએ	kʊnd̪ɾɑe
કુન્દ્રાની	kuːnd̪ɾɑːniː
કુન્દ્રાનું	kuːnd̪ɾɑːnuː
કુન્દ્રાને	kuːnd̪ɾɑːneː
કુપનના	kupənna
કુંબલે	kʊmb̪le
કુંબલેએ	kumbəlee
કુંબલેના	kumbəlneɳə
કુંબલેને	kumbəlne
કુબૂલ	kubuːl
કુમકુમ	kʊmkʊm
કુમકુમા	kuməkuma
કુમરાની	kuːməɾaːniː
કુમાર	kuːmaːr
કુમારનની	kuːmaːɾənniː
કુમારના	kuːmaːɾəna
કુમારની	kʊmaːɾniː
કુમારનું	kuːmaːɾn̪uː
કુમારને	kuːmaːr̩ne
કુમારનો	kuːmaːrno
કુમારા	kʊmɑːrə
કુમારી	kuːmaːɾiː
કુમારીના	kuːmaːɾiːna
કુમારે	kʊmɑːre
કુમીન્સને	kumiːns̪n̪e
કુમ્બલે	kumbəle
કુરાન	kuɾɑːn
કુરાનમાં	kuɾɑːnmɑ̃
કુરેને	kuɾenɛ
કુરૈશી	kuɾəiʃi
કુર્તા	kʊɾt̪ʰɑ
કુર્તામાં	kʊɾtɑoʋ
કુર્બાન	kurbaːn
કુર્સી	kuɾsi
કુર્સીએ	kʊɾs̪iːe
કુલ	kuːl
કુલકર્ણી	kuləkərɳiː
કુલકર્ણીએ	kʊlkɾɳie
કુલકર્ણીને	kuləkərɳine
કુલદીપ	kuːld̪iːp
કુલદીપની	kuːlɾiːpniː
કુલશેકરા	kuːlʃeːkəɾɑː
કુલસેકરાની	kuləs̪eːkaɾɑːniː
કુલ્ટર	kuɭt̪ɾ
કુલ્લે	kʊl̪l̪e
કુવાના	kuʋaːnə
કુવાનું	kuʋaːnu
કુવામાં	kʊmɑː
કુંવારા	kʊʋaːɾe
કુંવારો	kuŋʋaːro
કુશલ	kʊʃəl
કુશળ	kuʃɛl
કુશળતાં	kuʃɛɭt̪ɑ̃
કુશળતાનો	kuʃɛɭt̪ɑːno
કુશળતાપૂર્વક	kuʃɛl̪t̪ɑːpuːɾʋk
કુશાન	kuʃɑːn
કુશાલ	kʊʃɑl
કુશાસનને	kuʃɑːsn̪e
કુશ્તિમાં	kuʃt̪ĩmɑ̃
કુશ્તી	kʊʃt̪i
કુશ્તીના	kuʃtiːnɑ
કુશ્તીબાજ	kuʃt̪iːbɑːdʒ
કુશ્તીમાં	kuʃtiːmɑ̃
કુસલ	kʊsəl
કુસુમ	kusum
કુસ્તી	kuːst̪iː
કુસ્તીમાં	kʊsʈiːmɑ̃
કુળવધુ	kuɭʋəɖʋʌ
કૂક	kuːk
કૂકના	kʊkna
કૂકની	kuːkniː
કૂકનું	kuːkʊnd̪ʋ̪
કૂકને	kukne
કૂકનો	kuːknoː
કૂકે	kuːke
કૂખે	kʰuːkʰe
કૂતરા	kuːt̪ɾɑ
કૂતરાઓ	kuːt̪ɾɑːo
કૂતરાઓના	kuːt̪ɾɑːo̯nɑ
કૂતરાઓને	kuːt̪ɾɑːo̯n̪e
કૂતરાને	kʊt̪ɾɑːnɛ
કૂતરો	kʊt̪ro
કૂદકો	kʰuːdko
કૂદતાં	kuːd̪t̪ãː
કૂદતી	kuːd̪tiː
કૂદી	kuːɖiː
કૂદીને	kuːdiːne
કૂપ	kuːp
કૂપર	kuːpər
કૂપરે	kuːpɾe
કૂર્તામાં	kuːɾtɑːm
કૂલ	kuːl
કૂલકર્ણીએ	kʰuːlkəɾɳiːe
કૂલના	kuːlnɑ
કૃણાલ	krɪɳɑːl
કૃત	krɪt̪
કૃતજ્ઞતા	krɪtɟn̪t̪ɑː
કૃતિ	krɪti
કૃતિકા	krɪtɪkɑ
કૃતિકાના	krɪtɪkɔːnɑ
કૃતિકાની	krɪtɪkɑːniː
કૃતિની	kɾitini
કૃત્ય	kɾɪt̪j
કૃપયા	kɾɪpjɑ
કૃપા	krɪpɑ
કૃષ	kɾɪʂ
કૃષિ	krɪʂi
કૃષિલક્ષી	krɪʂɪləkʃi
કૃષ્ણ	krɪʂɳ
કૃષ્ણન	krɪʂɳən
કૃષ્ણના	krɪʂɳə
કૃષ્ણની	krɪʂɳiː
કૃષ્ણને	krɪʂɳne
કૃષ્ણનો	krɪʂɳoː
કૃષ્ણમય	krɪʂɳəmaj
કૃષ્ણમૂર્તિ	krɪʂɳmoːɾti
કૃષ્ણા	krɪʂɳə
કૃષ્ણામૂર્તિ	krɪʂɳɑːmuːɾti
કૃષ્ણાર્જન	krɪʂɳaːrdʒən
કૃષ્ણાર્જુન	krɪʂɳaːrdʒun
કૃષ્ણાર્પણ	krɪʂɳɑːrpəɳ
કૃષ્ણે	krɪʂɳe
કૅટ	kɛʈ
કૅટની	kəʈni
કૅટનું	kəʈn̪ʊ
કૅટને	kəʈne
કૅટરિના	kaʈʈeɾina
કૅટરીના	kəʈɾiːnə
કૅટરીનાએ	kaʈɾiːnɑe
કૅટરીનાનો	kaʈɾiːnɑːno
કૅટલૉગ	kaʈɾog
કૅટે	kəʈe
કૅટેગરીઓમાં	kəʈəgəɾiə̃
કૅન	kæ̃
કૅનવાસ	kænʋɑs
કૅનવાસે	kæːnʋɑːse
કૅનેડા	kəneːɾə
કૅનેડામાં	kəneːɽoːm
કૅન્યે	kəɳje
કૅન્સ	kaːns
કૅપ્ટન	kəʌpt̪n
કૅપ્શન	kaʔpʃən
કૅપ્શનમાં	ˈkæpʂənmæ̃
કૅપ્સ	kæps
કૅપ્સના	kaɪpsnə
કૅફે	kəpʰe
કૅફેના	kaɸeɳə
કૅફેમાં	kafemæ̃
કૅમરન	kaːmərən
કૅમરને	kəːməɾnə
કૅમરાની	kəːməɾaːni
કૅમિયો	kaːmiːjo
કૅમેરા	kamera
કૅમેરામાં	kəːmeːɾoʊm
કૅમેરે	kəːmeːre
કૅમેરો	kæːmeːro
કૅમેસ્ટ્રી	kəmesʈri
કૅમ્પ	ˈkæmp
કૅમ્પના	kæmpnə
કૅમ્પની	kæmpni
કૅમ્પમાં	kæmpmɑ̃
કૅમ્પેઇન	kæmpɛɪn
કૅમ્પેન	kæmpɛn
કૅરિયર	kaɾijɛr
કૅરિયરના	ˈkæɾjəɾnə
કૅરિયરની	ˈkæɾijəɾni
કૅરિયરને	kəɾiəɾnə
કૅરિયરનો	kəɾiːjəɾno
કૅરિયરમાં	ˈkæɾjəɾmæ̃
કૅરિયો	kəɾio
કૅરેક્ટર	kæɾɛkt̪ɾ
કૅરેક્ટરમાંથી	kəɾɛkt̪ɾəmaɳʈʰi
કૅલીને	kəleːne
કૅલીફૉર્નિયામાં	kalifɔːɾniʌm
કૅલેન્ડર	kalɛːnd̪əɾ
કૅલેન્ડરની	kɛlɛːnd̪əɾni
કૅલેન્ડરમાં	kalendaːm
કૅંસર	kə̃ːsəɾ
કૅંસરથી	kə̃ːsərt̪ʰi
કૅંસરની	kə̃ːsəɾni
કૅંસરમાં	kə̃ːsərmɑ̃
કૅંસરમાંથી	kəɳsərmɑ̃tʰi
કૅસેટો	kəseːto
કે	ke
કેઆરકે	keːɾke
કેઆરકેએ	keːɾkeː
કેઆરકેને	keːɾkeːne
કેઆરકેનો	kɛːɾkɛno
કેઆરસી	keːɾsiː
કેએએફ	keæːf
કેએલ	keːl
કેએલપડી	keːlpaɖi
કેએલપીડી	keɪlpiːdiː
કેએલપીડીમાં	keɪlpiːdaːm
કેએસકે	kɛːsɛkɛ
કેક	keːk
કેકે	kɛkɛ
કેકેઆર	keːkeːɾ
કેકેઆરના	keːkeːəɾnə
કેકેઆરની	keːkeːɾniː
કેકેઆરે	keːkeːreː
કેચ	keʈʈʰ
કેચઆઉટ	keʈʈɔʈ
કેચાઉટ	keːtʃɑuʈ
કેજ	kɛdʒ
કેજનું	keːdʒun̪dʒu
કેજને	kɛdʒnɛ
કેજરીવાલ	keːʐəriʋɑl
કેજરીવાલના	keːdʒəɾiʋɑːlnɑ
કેજરીવાલને	keːdʒəriʋɑːln̪e
કેજરીવાલનો	keːdʒəɾiʋɑːln̪o
કેજરીવાલે	keːdʒəɾiʋɑːlə
કેજી	kɛdʒi
કેજીમાં	keːdʒiːmɑ̃
કેઝ્યુઅલ	keːdʒʱuəɾɑːl
કેંટ	keːɳʈ
કેટ	kɛʈ
કેટગરીમાં	keʈgəriːmɑ̃
કેટના	kəʈnə
કેટરિના	keʈɾina
કેટરીના	keʈɾiːnə
કેટરીનાની	kəʈɾiːnɑːniː
કેટલા	kɛʈlə
કેટલાક	keʈlɑk
કેટલાંક	keʈlɑ̃k
કેટલાંકના	kɛʈlɑ̃kna
કેટલાકના	kɛʈlɑk̪nɑ
કેટલાકનું	keʈlɑːkʊn̪dʒi
કેટલાકને	keʈləkne
કેટલાંકને	kɛʈlɑ̃kne
કેટલાંકે	kɛʈlɑ̃ke
કેટલાકે	kɛʈlɑkɛ
કેટલાગ	kɛʈlɑːg
કેટલાની	kɛʈlɑːni
કેટલાય	kɛʈlɑj
કેટલાંય	kɛʈlɑ̃j
કેટલી	kɛʈliː
કેટલીક	kɛʈliːk
કેટલીંક	kɛʈliŋk
કેટલીકવાર	kɛʈliːkʋɑːr
કેટલીય	kɛʈliː
કેટલીવાર	kɛʈliʋɑːr
કેટલુ	kɛːt̪lu
કેટલું	kɛʈl̪ʊ̃
કેટલે	keʈle
કેટલો	kɛʈloː
કેટલોક	kɛʈloʊk
કેટી	keːʈiː
કેટેગરી	kɛʈɛgəri
કેટેગરીઓની	keʈegəɾiːoːniː
કેટેગરીની	kɛt̪egɾiːniː
કેટેગરીનું	keʈegəriːn̪u
કેટેગરીને	kɛt̪eːgɾiːne
કેટેગરીમાં	keʈegɾiːmɑ̃
કેડ	kɛɖ
કેડબલ્યુપી	kɛɖbʌlʌpi
કેડર	keːɖəɾ
કેડરના	keːɽna
કેડિલા	keːɖɪlə
કેણ	kɛɳ
કેતકી	keːt̪kiː
કેથરિન	keːt̪ʰəɾɪn
કેથરીન	kɛtʰrɪn
કેદ	keːd̪
કેદની	keːd̪ni
કેદાર	keːɖɑːɾ
કેદીઓ	keːɾɪo
કેદીઓને	keːɖiːo̯ne
કેન	keːn
કેનરા	kenɾə
કેનાડાના	keːnɑːd̪oːnɑː
કેનાડામાં	kenɑːd̪omɑːn
કેની	kɛni
કેનું	keːnu
કેનેક્શન	kenekʃən
કેનેડાઃ	kenɛdɑː
કેનેડા	kenɛɖɑ
કેનેડાના	kenɛd̪oːnə
કેનેડાની	kenɛd̪ɑːniː
કેનેડામાં	kɛnɛdɑːm
કેનેરા	kənɛːrɑ
કેન્કશન	keːŋkʃən
કેન્દ્ર	keːnd̪ɾə
કેન્દ્રના	keːnd̪ɾəna
કેન્દ્રની	keːnd̪ɾniː
કેન્દ્રને	keːnd̪ɾəneː
કેન્દ્રમાં	keːnd̪ɾəmaːn
કેન્દ્રિત	keːnd̪ɾit̪
કેન્દ્રિય	keːnd̪ɾiː
કેન્દ્રીચ	keːnd̪ɾiːtʃ
કેન્દ્રીત	keːnd̪ɾiːt̪
કેન્દ્રીય	keːnd̪ɾiː
કેન્દ્રો	keːnd̪roː
કેન્યા	kenjə
કેન્યાએ	kenjɑe
કેન્યાના	kenjɑːnɑː
કેન્યાની	kenjaniː
કેન્યાને	kenjɑne
કેન્સર	kensər
કેન્સરથી	kensərtʰiː
કેન્સરના	kensəɾna
કેન્સરની	kensərniː
કેન્સલ	kenɬʌl
કેન્સલેશન	keːnɕleːʃən
કેપ	kɛp
કેપજમેમિનીમાં	keːpʒəmeːmiːmɑ̃
કેપટાઉનમાં	keːpʈɑ̃u̯n̪mæ̃
કેપના	kɛpna
કેપની	kɛpni
કેપમાં	kɛːpmɑ̃
કેપલ	kɛpil
કેપવાળી	keːpʋɑːliː
કેપિટલ	keːpiːt̪əl
કેપિટલને	keːpiːt̪əl̪n̪eː
કેપિટલમાં	keːpiːt̪əl̪mɑ̃ː
કેપિટલાઇજેશન	keːpiːt̪ɪlɑɪdʒeːʃən
કેપિટલાઇઝેશન	keːpiːt̪ɪlɑɪʒeːʃən
કેપિટલે	keːpiːt̪lə
કેપિટલ્સ	keːpiːt̪əls
કેપીએમજી	keːpiːmgiː
કેપીએમજીના	keːpiːmgiːnə
કેપીએમજીની	keːpiːmgiːniː
કેપ્ટન	keːpʈən
કેપ્ટનના	keːpʈənə
કેપ્ટનમાંથી	keːpʈən̪mɑ̃ːtʰi
કેપ્ટનશીપમાં	keːpʈənʃiːpmɑ̃
કેપ્ટનસીમાં	kɛːpʈənsiːmɑ̃
કેપ્ટને	kɛpʈnɛ
કેપ્ટન્સી	keːpʈənsiː
કેપ્ટિવ	keːpʈɪʋ
કેપ્ડ	keːpɽ
કેપ્શન	keːpʃən
કેપ્શનમાં	keːpʂənmɑ̃
કેપ્સ	kɛps
કેપ્સના	kɛpʰs̪n̪ə
કેપ્સની	kɛpsni
કેબ	keːb
કેબના	keːbənə
કેબની	keːbniː
કેબરે	keːbɾe
કેબરેનું	keːbɾen̪u
કેબલ	kɛbəl
કેબલની	keːbəlniː
કેબલ્સ	keːbəls
કેબિન	keːbin
કેબિનેટ	keːbɪnɛt̪
કેબિનેટના	keːbɪnɛʈnɑ
કેબિનેટની	keːbɪnɛːt̪niː
કેબિનેટમાં	keːbɪnɛːtmɑ̃
કેબિનેટે	keːbɪnɛːt̪e
કેબીનેટની	keːbiːnɛːt̪niː
કેબીપીએસની	keːbiːpiːsniː
કેબીસી	keːb̥iːsiː
કેબીસીના	keːbiːsiːnə
કેબીસીનો	keːbiːsiːnoː
કેબીસીમાં	keːb̥iːsiːmɑ̃
કેમ	kɛm
કેમર	kɛmər
કેમરા	kemɾɑ
કેમરાઃ	kɛmɾɑː
કેમરુન	kəmerun
કેમરોન	kɛmroːn
કેમાં	kə̄mɑ̄
કેમિકલ્સ	kemɪkəls
કેમિકલ્સની	kemɪkəlzniː
કેમિયો	kemijo
કેમિસ્ટ્રી	kemistriː
કેમેરા	keːmeːɾə
કેમેરાના	kemeroːnə
કેમેરાની	kɛmeːɾɑːni
કેમેરાને	kemeraːne
કેમેરામાં	kemeraːm
કેમેરાવાળા	keməɾɑʋɑɭɑ
કેમેરાવાળો	kəmeːɾɑʋɑɭo
કેમેરો	kemero
કેમેરોઃ	kɛmɛroː
કેમેસ્ટ્રી	kemɛsʈɾi
કેમેસ્ટ્રીના	kemɛsʈɾiːnə
કેમેસ્ટ્રીને	kɛmesːt̪riːne
કેમેસ્ટ્રીનો	kemɛsʈɾiːno
કેમોથેરાપી	kemotʰeraːpiː
કેમ્પ	kæmp
કેમ્પની	kɛmpni
કેમ્પનું	kempən̪du
કેમ્પમા	kɛmpəmə
કેમ્પે	kempe
કેમ્પેઈનને	kempiːn̪n̪e
કેમ્પેન	kɛmpeːn
કેમ્પ્યુટરાઈઝેશન	kempjʌt̪ɾɑjʃɛn
કેયસ	kejs
કેયસને	kejsəne
કેયૂડબ્લ્યુટીકે	keːjuːdbʟʊːtiːkeː
કેર	keːr
કેરનો	kəɾno
કેરલ	kɛɾəl
કેરલા	kɛrɾɑː
કેરલાએ	kɛɾlɑe
કેરલાના	kerəlɑːnə
કેરસી	kʌɾs̪i
કેરળ	kɛrɑɭ
કેરળના	kɛrɑɭnɑ
કેરળની	kerəɭni
કેરળનો	kɛɾəɭno
કેરળમાં	kɛrɑɭmaː
કેરાલા	keːɾɑːlə
કેરિયર	keːɾiːjəɾ
કેરિયરની	keːɾiːjəɾniː
કેરિયરનો	keɾijəɾno
કેરિયરમાં	kɛɾijəɾmɑ̃
કેરી	keːri
કેરીફોવર્ડ	keriːfoːʋəɾɽ
કેરૂન	kɛɾuːn
કેરેક્ટર	kɛɾɛkʈɾ
કેરેક્ટરની	kɛɾɛkʈɾəni
કેરેટ	keːɾeːʈ
કેરેબિઆઇ	keːɾeːbiːaɪ
કેરેબિયન	keːɾeːbɪjən
કેરેબિયનનો	keːɾeːbɪjənnoː
કેરેબિયને	kɛɾɛbɪjɪne
કેરેબિયનોને	keːɾeːbijoːne
કેરેલિના	kʌreːliːnə
કેરોન	kɛːɾon
કેરોસીન	kerosiːn
કેર્ન્સનું	kerːns̪uɳː
કેર્ન્સે	kerːnse
કેલિફોર્નિયા	keːlifoːɾniːjə
કેલિફોર્નિયામાં	keːlifoːɾniʌmɑːgɪ̃
કેલિસ	keːlis
કેલી	kɛliː
કેલેન્ડર	keːleːnd̪əɾ
કેલ્ક્યુલેટરનો	kelkjulet̪ːəno
કેવન	keʋən
કેવા	kəʋɑ
કેવાંક	kəʋɑ̃k
કેવાયસી	keʋaːjsiː
કેવિન	keʋin
કેવિને	kəʋɪnɛ
કેવી	keʋi
કેવીક	keʋiːk
કેવુ	keʋu
કેવું	kəʋũ
કેવો	kɛvo
કેશ	keːʃ
કેશથી	keːʃt̪ʰi
કેશની	keːʃniː
કેશબેક	keʃbeːk
કેશમાં	keːʃmiːn
કેશલેશ	keːʃaleːʃ
કેશલેસ	keːʃələs
કેશવ	keːʃʋ
કેસ	keːs
કેસના	keːsne
કેસની	kɛsni
કેસને	kɛsne
કેસનો	kɛsno
કેસમાં	keːsmɑ̃
કેસમાંથી	keːsmɑ̃θʰi
કેસર	kɛsəɾ
કેંસલ	keːnɕəl
કેસીએ	keːsiːe
કેસો	keːso
કેસોની	keːsoːniː
કેસોમાં	kɛsoːmɑ̃
કેહવા	keːʋə
કેહવું	keːɦʋũ
કેળવવા	kɛɭʋʋɑ
કેળાના	keːɭoːnə
કૈઝાદ	kaɪzɑːd
કૈટરીના	kaɪʈɾiːnə
કૈદી	kaːiɖiː
કૈપજેમિનિ	kaɪpʰadʒemiːni
કૈપજૈમિની	kaɪpʰdʒaimini
કૈફ	kaɪf
કૈફથી	kaɪft̪ʰi
કૈફના	kaɪpʰnə
કૈફની	kaɪpʰniː
કૈફને	kɑɪpʰnɛ
કૈફી	kaɪpʰi
કૈફે	kaɪ̯fe
કૈબ	kaɪb
કૈમરૂન	kaɪməruːn
કૈરેબીયાઇ	kaɪreːbiːaɪ
કૈરોલિન	kaɪɾoːlɪn
કૈરોલિનને	kaɪroːlɪnne
કૈરોલિનનો	kaɪroːlɪnno
કૈરોલિના	kaɪɾɔlɪna
કૈરોલે	kaɪroːle
કૈલાશ	kaɪlɑʃ
કૉઇન	koɪn
કૉકટેલ	kɔkʈɛl
કૉક્રોચ	kɔkɾɔtʃ
કૉટરેલ	kɔt̪ɾel
કૉનર	kɔnɾ
કૉનોર	kənoːr
કૉનોરે	kənoːre
કૉન્ટેસ્ટંટોના	kɔn̪t̪eːs̪t̪ɔn̪o
કૉન્ટેસ્ટંટોને	koːn̪t̪es̪t̪ʌn̪t̪oːne
કૉન્ટ્રાક્ટ	koːn̪t̪ɾɑkʈʰ
કૉન્ફરંસ	koːn̪pʰəɾə̃s
કૉન્ફરંસિંગ	kɔn̪ɸɾən̪sɪŋ
કૉન્ફિડંટ	koɳɸiɳɖʌ̃
કૉન્સર્ટ	koːnʃəɾʈ
કૉન્સીકાઓ	kɔ̃sɪkɑːmo
કૉન્સેપ્ટ	koːnʃɛpt
કૉન્સેપ્ટના	kɔ̃seːptnɑ
કૉન્સ્ટેબલ	koːn̪s̪teːbəl
કૉપી	kɔpi
કૉપીના	kɔpɪna
કૉપીરાઇટ	koːpiɾɑɪt̪
કૉફી	kɔfɪ
કૉમન	koːmən
કૉમમાં	kɔːmmɑ̃
કૉમર્શિયલ	kɔmərʃɪəl
કૉમર્સ	kɔmərs
કૉમર્સિયલ	koːmərsiʌl
કૉમામાં	kɔmɑ̃
કૉમિક	kɔːmɪk
કૉમેંટ્સ	koːmẽːʈs
કૉમેંટ્સે	kəʊmẽːʈse
કૉમેડની	kəʊmɛɳɖi
કૉમેડિયન	koːmeːɾɪjən
કૉમેડી	koːmeːɾiː
કૉમેડીએ	koːmeːdiːe
કૉમેડીથી	kəʊmeːd̪iːt̪ʰi
કૉમેડીના	koːmeːɖiːnə
કૉમેડીનું	koːmeːɾiːn̪u
કૉમેડીનો	koːmeːɖiːno
કૉમેન્ટ	koːmeːnt̪
કૉમેન્ટ્સ	koːmɛnʈʰs
કૉમ્પીટિશનના	koːmpiːʈiʃəno
કૉમ્પીટિશનમાં	koːmpt̪iʃəɳmæ̃
કૉમ્પ્યુટર	koːmpjʊʈər
કૉરિડોર	kɔrɪd̪oɾ
કૉરિડોરમાં	kɔːɾɪd̪oːɾ̪mɑ̃
કૉર્નિશ	kɔːrniʃ
કૉર્પોરેશન	koːɾpoɾeʃn̪
કૉર્પોરેશનની	kɔːrpoɾeʃəɳi
કૉલ	koːl
કૉલગર્લની	kɔːlgəɾlni
કૉલર	kɔːlɾ
કૉલિન	kɔlɪn
કૉલેજ	kɔleːʒ
કૉલેજમાં	kɔleːʤmɑ̃
કૉલ્ડ	kɔːld
કૉલ્સ	kɔːls
કૉસ્ચ્યુમ	kɔːʃtʃʰʊm
કૉસ્ટ્યુમમાં	kɔst̪jʊm̆mæ̃
કો	kɔ
કોંઇ	koːɲi
કોઇ	kɔi
કોઇએ	koe
કોઇક	kɔik
કોઇકને	kɔikənɛ
કોઇકે	koikɛ
કોઇના	kɔi̯nə
કોઇની	kɔi̯ni
કોઇનું	koːiːn̪uː
કોઇને	kɔi̯nɛ
કોઇપણ	kɔipəɳ
કોઈ	kɔi
કોઈએ	kɔiɛ
કોઈક	kɔi̯k
કોઈકના	kɔi̯kna
કોઈકે	kɔiːke
કોઈના	kɔina
કોઈનાથી	koʊnɑːtʰi
કોઈની	kɔi̯ni
કોઈનું	kɔiːn̪u
કોઈને	kɔi̯nɛ
કોઈનો	kɔi̯no
કોઈપણ	kɔipəɳ
કોઈમાં	kɔimɑ̃
કોઈરાલા	koːɾɑːlə
કોઈરાલાએ	koɪɾɑːlɑːe
કોઈરાલાના	kɔɪɾɑːlɑːnɑː
કોઈરાલાની	kɔiɾɑːlɑːni
કોઈરાલાને	koɪɾɑːlɑːne
કોઈલાલા	kɔɪlɑlɑ
કોઉલ	kɔul
કોએના	kɔe̯nə
કોઓપરેટિવ	kɔːɔpɾeːtiːv
કોક	kɔk
કોકડું	kɔkɑɖũ
કોંકણા	kʰoŋkəɳə
કોંકણાએ	kɔŋkɑɳɑe
કોંકણાના	kɔŋkɑɳɑːnɑ
કોંકણાની	kɔ̃kəɳaːni
કોંકણી	kɔ̃kɳi
કોકની	kɔkni
કોકલતા	kɔkələt̪ə
કોકા	kɔkə
કોકાકોલા	kɔkɔkɔlɔ
કોકિલાબહેન	kɔkɪlɑbəhɛn
કોકીલાબેન	kɔkɪlɑbɛn
કોકે	kɔkɛ
કોકો	kɔkɔ
કોકોડ્રાઈવ	kɔkɔɖraiʋ
કોકોડ્રાઈવની	kɔkɔɖraiʋni
કોકોનટ	kɔkɔnʈ
કોંગ	kɔŋ
કોંગની	kɔŋgni
કોંગ્રેસ	kɔŋgɾɛs
કોંગ્રેસના	kɔŋgɾɛsna
કોંગ્રેસની	kɔŋgɾɛsni
કોંગ્રેસનું	koŋgɾesːn̪u
કોંગ્રેસને	kɔŋgɾɛsne
કોંગ્રેસમાં	kɔŋgɾɛsmɑ̃
કોંગ્રેસી	kɔŋgɾɛsi
કોંગ્રેસે	kɔŋgɾɛsɛ
કોચ	kɔtʃ
કોચના	kɔtʃnɑ
કોચની	kɔtʃni
કોચને	kɔtʃne
કોચનો	kɔtʃno
કોચમાં	kɔtʃmɑ̃
કોચર	kɔtʃəɾ
કોચરના	kɔtʃəɾnə
કોચરની	kɔtʃəɾni
કોચરનું	kɔtʃəɾnʊ
કોચરને	kɔtʃəɾne
કોચરે	kɔtʃəɾe
કોચલીન	koʈʈʰliːn
કોચિંગ	kɔtʃɪŋ
