กก	gok
ลอย	lɔ:i
ละ	la
ละคอน	lakhɔ:n
ละงับ	laŋap
ละบาย	laba:i
ละยะ	laya
ละลาย	lala:i
ละวัง	lawaŋ
ละว่าง	lawa:ŋ
ละเกะละกะ	lagelaga
ละเบียง	labi:aŋ
ละเบียบ	labi:ap
ละเหย	lahə:i
ละเหล้น	lalen
ละแวก	lawɛ:k
ลัก	lak
ลักสะนะ	laksana
ลักสา	laksa:
ลัง	laŋ
ลับ	lap
ลับจ้าง	lapja:ŋ
ลับลู้	laplu:
ลับส่ง	lapsoŋ
ลาก	la:k
ลาคา	la:kha:
ลาง	la:ŋ
ลาด	la:t
ลาน	la:n
ลายกาน	la:iga:n
ลายได้	la:idai
ลาว	la:o
ลาวๆ	la:ola:o
ลำ	lam
ลำคาน	lamkha:n
ลำต้น	lamton
ลำโต	lamto:
ลำโพง	lampho:ŋ
ลำไย	lamyai
ลำไส้	lamsai
ลิง	liŋ
ลิน	lin
ลิบบิ้น	lipbin
ลิ้น	lin
ลิ้นชัก	linchak
ลีโหมด	li:mo:t
ลีไซเคิน	li:saikən
ลี้	li:
ลึก	lʉk
ลึดู	lʉdu:
ลึดูฝน	lʉdu:fon
ลึดูฮ้อน	lʉdu:hɔ:n
ลึดูแล้ง	lʉdu:lɛ:ŋ
ลืม	lʉ:m
ลุก	luk
ลุง	luŋ
ลุน	lun
ลุล่วง	lulu:aŋ
ลุ้น	lun
ลูก	lu:k
ลูกกก	lu:kgok
ลูกค้า	lu:kkha:
ลูกซาย	lu:ksa:i
ลูกซิ้น	lu:ksin
ลูกบอน	lu:kbɔ:n
ลูกสอน	lu:ksɔ:n
ลูกสาว	lu:ksa:o
ลูกหวีด	lu:kwi:t
ลูบ	lu:p
ลูบพาบ	lu:pphap
ลูบพาบถ่าย	lu:ppha:ptha:i
ลูบลัก	lu:plak
ลูบแบบ	lu:pbɛ:p
ลู้	lu:
ลู้จัก	lu:jak
ลู้สึก	lu:sʉk
ล็อก	lɔk
ล่วมกัน	lu:amgan
ล้น	lon
ล้อ	lɔ:
ล้อง	lɔ:ŋ
ล้อม	lɔ:m
ล้อมลอบ	lɔ:mlɔ:p
ล้อย	lɔ:i
ล้า	la:
ล้าง	la:ŋ
ล้างกาย	la:ŋga:i
ล้าน	la:n
ล้านขายของ	la:nkha:ikhɔ:ŋ
ล้านตัดผม	la:ntatphom
ล้านอาหาน	la:na:ha:n
ล้านแนวกิน	la:nnɛ:ogin
ล้าย	la:i
วง	woŋ
วงกม	woŋgom
วงเล็บ	woŋlep
วะสั้น	wasan
วัด	wat
วัดทะนะทัม	watthanatham
วัน	wan
วันจัน	wanjan
วันพะ	wanpha
วันพะลึหัด	wanphalʉhat
วันพุด	wanphut
วันสุก	wansuk
วันอังคาน	wanaŋkha:n
วันอาทิด	wana:thit
วันเกิด	wangə:t
วันเสา	wansao
วัย	wai
วัยทอง	waithɔ:ŋ
วัยลุ้น	wailun
วั่งหั้น	waŋhan
วา	wa:
วาง	wa:ŋ
วาจา	wa:ja:
วาด	wa:t
วิชา	wicha:
วิดีโอ	widi:o:
วิทะยุ	withayu
วิที	withi:
วินาที	wina:thi:
ว่า	wa:
ว่าแต่	wa:tɛ:
ว้อ	wɔ:
ว้าง	wa:ŋ
สกกะปก	sokgapok
สงคาม	soŋkha:m
สงสัย	soŋsai
สด	sot
สดซื้น	sotsʉ:n
สดใส	sotsai
สนทะนา	sonthana:
สบ	sop
สมมุด	sommut
สวด	su:at
สวน	su:an
สวนสัด	su:ansat
สอก	sɔ:k
สอง	sɔ:ŋ
สอด	sɔ:t
สอน	sɔ:n
สอบ	sɔ:p
สะ	sa
สะดวก	sadu:ak
สะดุด	sadut
สะถานที่	satha:nti:
สะถานะกาน	satha:naga:n
สะถานี	satha:ni:
สะบาย	saba:i
สะบู	sabu:
สะพาน	sapha:n
สะพาย	sapha:i
สะมะแจะ	samajɛ
สะมาชิก	sama:chik
สะวิด	sawit
สะหนาม	sana:m
สะหนามกีลา	sana:mgi:la:
สะหนิด	sanit
สะหมอง	samɔ:ŋ
สะหมัย	samai
สะหมุด	samut
สะหมุนไพ	samunphai
สะหลิด	salid
สะหลึง	salʉŋ
สะหลุบ	salup
สะหวัดดี	sawatdi:
สะหว่าง	sawa:ŋ
สะหว้ายน้ำ	sawa:ina:m
สะออน	saɔ:n
สะอาด	saa:t
สะอาดหูสะอาดตา	saa:thu:saa:tta:
สะแดง	sadɛ:ŋ
สักสิด	saksit
สังสัน	saŋsan
สัด	sat
สัดเคิ่งบกเคิ่งน้ำ	satkhəŋbokkhəŋna:m
สัดเลี้ยง	satli:aŋ
สัน	san
สันญะลัก	sanɲalak
สันญาน	sanɲa:n
สันยะกัม	sanyagam
สับ	sap
สั่ง	saŋ
สั่น	san
สั้น	san
สาก	sa:k
สาด	sa:t
สาม	sa:m
สามสิบ	sa:msip
สามาด	sa:ma:t
สามเหลี่ยม	sa:mli:am
สามแย้ก	sa:myɛ:k
สาย	sa:i
สายไฟ	sa:ifai
สาละ	sa:la
สาละคะดี	sa:lakadi:
สาลา	sa:la:
สาลาวัด	sa:la:wat
สาสะนา	sa:sana:
สาสะนาพุด	sa:sana:phut
สำคัน	samkhan
สำลอง	samlɔ:ŋ
สำหลับ	samlap
สิ	si
สิงหาคม	siŋha:khom
สิบ	sip
สิ่ง	siŋ
สิ่งของ	siŋkhɔ:ŋ
สิ้น	sin
สี	si:
สีก	si:k
สีดยา	si:tya:
สีตับหมู	si:tapmu:
สีน	si:n
สีสัน	si:san
สีหน้า	si:na:
สีหน้าสีตา	si:na:si:ta:
สี่	si:
สี่สิบ	si:sip
สี่เหลี่ยม	si:li:am
สึกสา	sʉksa:
สึม	sʉm
สุก	suk
สุกขะพาบ	sukkhapha:p
สุข	suk
สุด	sut
สุดท้อง	sutthɔ:ŋ
สุบ	sup
สุพาบ	supha:p
สูง	su:ŋ
สูด	su:t
สูน	su:n
สูบ	su:p
สู่	su:
สู้	su:
ส่ง	soŋ
ส่วน	su:an
ส่วนปะกอบ	su:anpagɔ:p
ส่วนมาก	su:anma:k
ส่วนหน้อย	su:annɔ:i
ส่วนหลาย	su:anla:i
ส่วนโต	su:anto:
ส่อง	sɔŋ
ส่าย	sa:i
ส่ำ	sam
ส่ำนั้น	samnan
ส่ำนี้	samni:
ส้ง	soŋ
ส้น	son
ส้ม	som
ส้มตำ	somtam
ส้อม	sɔm
ส้อมแซม	sɔmsɛ:m
ส้อย	sɔ:i
ส้าง	sa:ŋ
หก	hok
หงอก	ŋɔ:k
หงอน	ŋɔ:n
หญอง	ɲɔŋ
หญัง	ɲaŋ
หญุ้ง	ɲuŋ
หญุ้งญาก	ɲuŋɲa:k
หญ้ม	ɲom
หญ้า	ɲa:
หนทาง	hontha:ŋ
หนวด	nu:at
หนอง	nɔ:ŋ
หนะ	na
หนัก	nak
หนัง	naŋ
หนังสือ	naŋsʉ:
หนังสือพิม	naŋsʉ:phim
หนั้น	nan
หนั้นหละ	nanla
หนา	na:
หนาว	na:o
หนิ	ni
หนิหละ	nila
หนี	ni:
หนีบ	ni:p
หนี้	ni:
หนึ่ง	nʉŋ
หนุ่ม	num
หน่อย	nɔ:i
หน่อยหนึ่ง	nɔ:inʉŋ
หน่อยเดียว	nɔ:idi:ao
หน้อย	nɔ:i
หน้า	na:
หน้าจอ	na:jɔ:
หน้าจะ	na:ja
หน้าตา	na:ta:
หน้าต่าง	na:ta:ŋ
หน้าที่	na:thi:
หน้าผาก	na:pha:k
หน้าฝน	na:fon
หน้าหนาว	na:na:o
หน้าฮ้อน	na:hɔ:n
หน้าเอิก	na:ək
หน้าแล้ง	na:lɛ:ŋ
หมวก	mu:ak
หมวกกันน็อก	mu:akgannɔk
หมอ	mɔ:
หมอง	mɔ:ŋ
หมอน	mɔ:n
หมอฟัน	mɔ:fan
หมั้น	man
หมั้นใจ	manjai
หมา	ma:
หมากไม้	ma:kmai
หมาด	ma:t
หมายความ	ma:ikhwa:m
หมายถึง	ma:ithʉŋ
หมื่น	mʉ:n
หมุน	mun
หมู	mu:
หมู่	mu:
หมู่บ้าน	mu:ba:n
หม้น	mon
หม้อ	mɔ:
หม้อง	mɔŋ
หยาบ	ya:p
หยิบ	yip
หยุด	yut
หลก	lok
หลงเหลีย	loŋli:a
หลบ	lop
หลบซ้อน	lopsɔn
หลอด	lɔ:t
หละ	la
หลัก	lak
หลักอากาด	laka:ga:t
หลัง	laŋ
หลังกะสี	laŋgasi:
หลังคา	laŋka:
หลังจาก	laŋja:k
หลับ	lap
หลาน	la:n
หลาย	la:i
หลายสิ่งหลายอย่าง	la:isiŋla:iya:ŋ
หลายเติบ	la:itə:p
หลือ	lʉ:
หลุด	lut
หลุดมือ	lutmʉ:
หลุม	lum
หล่น	lon
หล่อ	lɔ:
หล่อเลี้ยง	lɔ:li:aŋ
หล้า	la:
หวอ	wɔ:
หวัดดี	watdi:
หวาน	wa:n
หวี	wi:
หว่าน	wa:n
หว้าย	wa:i
หว้ายน้ำ	wa:ina:m
หอ	hɔ:
หอบ	hɔ:p
หอม	hɔ:m
หอมหัวแดง	hɔ:mhu:adɛ:ŋ
หอั้น	an
หัก	hak
หัน	han
หันใจ	hanjai
หัว	hu:a
หัวขวัน	hu:akwan
หัวล้อ	hu:alɔ:
หัวหน้า	hu:ana:
หัวหอม	hu:ahɔ:m
หัวเข่า	hu:akhao
หัวเตอะหัวเติน	hu:atəhu:atə:n
หัวใจ	hu:ajai
หั่น	han
หั้น	han
หา	ha:
หาง	ha:ŋ
หาย	ha:i
หายใจ	ha:ijai
หิน	hin
หิว	hiu
หิ้ว	hiu
หุ่น	hun
หุ้ม	hum
หู	hu:
หูจับ	hu:jap
หูฟัง	hu:faŋ
หูหนวก	hu:nu:ak
ห่ม	hom
ห่อ	hɔ:
ห่าง	ha:ŋ
ห้อง	hɔŋ
ห้องนอน	hɔŋnɔ:n
ห้องน้ำ	hɔŋna:m
ห้องสะหมุด	hɔŋsamut
ห้องเลียน	hɔŋli:an
ห้อย	hɔ:i
ห้า	ha:
ห้าง	ha:ŋ
ห้าสิบ	ha:sip
อก	ok
อง	oŋ
องสา	oŋsa:
อบอุ่น	opun
อยาก	ya:k
อยากหัว	ya:khu:a
อยู่	yu:
อย่า	ya:
อย่าง	ya:ŋ
อย่างหลาย	ya:ŋla:i
อย่างเซ้น	ya:ŋsen
อย่างเดียว	ya:ŋdi:ao
ออก	ɔ:k
ออกกำลังกาย	ɔ:kgamlaŋga:i
ออนสอน	ɔ:nsɔ:n
อะดีด	adi:t
อะทิดถาน	athittha:n
อะทิบาย	athiba:i
อะนาคด	ana:khot
อะพิทัม	aphitham
อะวัยยะวะ	awaiyawa
อักสน	aksɔ:n
อังกิด	aŋgit
อัด	at
อัน	an
อันตะลาย	antala:i
อันแต่ว่า	antɛ:wa:
อับ	ap
อา	a:
อากาด	a:ga:t
อากาน	a:ga:n
อาจาน	a:ja:n
อาซีบ	a:si:p
อาด	a:t
อาดจะ	a:tja
อาทิ	a:thi
อาทิด	a:thit
อาบ	a:p
อาบน้ำ	a:pna:m
อายุ	a:yu
อาลม	a:lom
อาวุโส	a:wuso:
อาสัย	a:sai
อาหาน	a:ha:n
อำเพอ	amphə:
อิด	it
อิ่จิ่หนึ่ง	ijinʉŋ
อิ่ม	im
อีก	i:k
อี่ปู	i:pu:
อี่สาน	i:sa:n
อี่หยัง	i:yaŋ
อี่หลี	i:li:
อี่หลีอี่หลอ	i:li:i:lɔ:
อี่หล้า	i:la:
อี่เกิ้ง	i:gə:ŋ
อี่แม่	i:mɛ:
อึ้งตึ้ง	ʉŋtʉŋ
อึ้มคึ้ม	ʉmkhʉm
อื่น	ʉ:n
อุดมสมบูน	udomsombu:n
อุบะติเหด	ubatihe:t
อุปะกอน	upagɔ:n
อุ่น	un
อุ้ม	um
อุ้ย	ui
อุ้ยปุ้ย	uipui
อ่มๆ	om
อ่วย	u:ai
อ่องต่อง	ɔŋtɔŋ
อ่อน	ɔ:n
อ่าง	a:ŋ
อ่างล้างหน้า	a:ŋla:ŋna:
อ่าน	a:n
อ่ามล่าม	a:mla:m
อ้วน	u:an
อ้อม	ɔ:m
อ้อยต้อย	ɔ:itɔ:i
อ้า	a:
อ้าย	a:i
ฮวมกัน	hu:amgan
ฮอง	hɔ:ŋ
ฮอด	hɔ:t
ฮอย	hɔ:i
ฮัก	hak
ฮับ	hap
ฮั่ว	hu:a
ฮั้ว	hu:a
ฮาก	ha:k
ฮาน	ha:n
ฮาว	ha:o
ฮำ	ham
ฮึ	hʉ
ฮึ่มๆ	hʉm
ฮุ	hu
ฮุ่ง	huŋ
ฮูด	hu:t
ฮู้	hu:
ฮู้จัก	hu:jak
ฮู้สึก	hu:sʉk
ฮู้สึกโต	hu:sʉkto:
ฮ่ม	hom
ฮ่อน	hɔn
ฮ้อง	hɔ:ŋ
ฮ้องไห้	hɔ:ŋhai
ฮ้อน	hɔ:n
ฮ้าง	ha:ŋ
ฮ้าน	ha:n
ฮ้าย	ha:i
เก	ge:
เกม	ge:m
เกสอน	ge:sɔ:n
เกะกะ	gega
เกาะ	gɔ
เกิด	gə:t
เกิน	gə:n
เกินเหด	gə:nhe:t
เกิบ	gə:p
เกิบคีบ	gə:pkhi:p
เกิบผ้าใบ	gə:ppha:bai
เกิบแตะ	gə:ptɛ
เกิบโบก	gə:pbo:k
เกีย	gi:a
เกียก	gi:ak
เกียบ	gi:ap
เกี่ยว	gi:ao
เกี่ยวกับ	gi:aogap
เกี้ยง	gi:aŋ
เกี้ยงมิ่นลิ่น	gi:aŋminlin
เกี้ยงเกา	gi:aŋgao
เก็ด	get
เก็บ	gep
เก่ง	geŋ
เก่ด	get
เก่า	gao
เก้า	gao
เก้าอี้	gaoi:
เขา	khao
เขียน	khi:an
เขียว	khi:ao
เข็ม	khem
เข่า	khao
เข้ง	kheŋ
เข้ม	khem
เข้า	khao
เข้างาย	khaoŋa:i
เข้าสวย	khaosu:ai
เข้าสาน	khaosa:n
เข้าเจ้า	khaojao
เข้าเซ้า	khaosao
เข้าแลง	khaolɛ:ŋ
เคย	khə:i
เคา	khao
เคาลบ	khaolop
เคาเต้อ	khaotə:
เคิ่ง	khəŋ
เคียง	khi:aŋ
เคียด	khi:at
เคี่ยง	khi:aŋ
เคี่ยงคิดเลข	khi:aŋkitle:k
เคี่ยงญก	khi:aŋɲok
เคี่ยงบิน	khi:aŋbin
เคี่ยงปุง	khi:aŋpuŋ
เคี่ยงสำอาง	khi:aŋsama:ŋ
เคี้ยงหมาย	khi:aŋma:i
เคื้อนที้	khʉ:anthi:
เค็ม	khem
เค่งเคียด	kheŋkhi:at
เงิน	ŋən
เงินสด	ŋənsot
เจดี	je:di:
เจ็ด	jet
เจ็บ	jep
เจ้า	jao
เจ้าของ	jaokhɔ:ŋ
เช็ค	chek
เซา	sao
เซียก	si:ak
เซี้ยม	si:am
เซี้ยวซาน	si:aosa:n
เซี้ยโลก	si:alo:k
เซื้อเพิง	sʉ:aphə:ŋ
เซเว้น	se:wen
เซ็ก	sek
เซ็ด	set
เซ้น	sen
เซ้า	sao
เญียง	?
เญี่ย	ɲi:a
เญี่ยว	ɲi:ao
เญ็บ	ɲep
เดา	dao
เดินทาง	də:ntha:ŋ
เดิ่น	də:n
เดียน	di:an
เดียว	di:ao
เดียวกัน	di:aogan
เด็ก	dek
เด็กน้อย	deknɔ:i
เด็กเสิบ	deksə:p
เด่	de:
เด่ะ	de
เด้อ	də:
เด๊	de:
เตะ	te
เตา	tao
เติบ	tə:p
เติม	tə:m
เตียง	ti:aŋ
เตียม	ti:am
เตี้ย	ti:a
เตือน	tʉ:an
เตือนสะติ	tʉ:ansati
เต็น	ten
เต็ม	tem
เต็มปี้ลี้	tempi:li:
เต่า	tao
เต้น	ten
เถียง	thi:aŋ
เถ้า	thao
เท	the:
เทา	thao
เทิง	thə:ŋ
เทิงเบิด	thə:ŋbət
เทียน	thi:an
เที่ย	thi:a
เที่ยง	thi:aŋ
เที่ยงคืน	thi:aŋkhʉ:n
เที่ยว	thi:ao
เท่า	thao
เท่านั้น	thaonan
เท่านี้	thaoni:
เท่าใด	thaodai
เนาะ	nɔ
เนิน	nə:n
เนินเขา	nə:nkhao
เนี้ย	ni:a
เนี้ยง	ni:aŋ
เนื้อหา	nʉ:aha:
เน่า	nao
เบก	be:k
เบา	bao
เบาหวาน	baowa:n
เบาะ	bɔ
เบาะนั่ง	bɔnaŋ
เบิด	bə:t
เบิด	bət
เบิดมื้อเบิดค่ำ	bətmʉ:bətkham
เบิ่ง	bəŋ
เบิ่งแญง	bəŋɲɛ:ŋ
เบิ้น	bən
เบีย	bi:a
เป	pe:
เปวไฟ	pe:ofai
เปิด	pə:t
เปียก	pi:ak
เปียง	pi:aŋ
เปียบเทียบ	pi:apthi:ap
เปี่ยง	pi:aŋ
เปี่ยน	pi:an
เปี่ยย	pi:ai
เปี้ยน	pi:an
เปี้ยว	pi:ao
เป็ด	pet
เป็น	pen
เป็นที่เป็นทาง	penthi:pentha:ŋ
เป่ง	peŋ
เป่า	pao
เป้าหมาย	paoma:i
เผา	phao
เผี้ย	phi:a
เผ็ด	phet
เฝ้า	fao
เพ	phe:
เพง	phe:ŋ
เพงซาด	phe:ŋsa:t
เพดาน	phe:da:n
เพน	phe:n
เพาะว่า	phɔwa:
เพาะสะนั้นแล้ว	phɔsananlɛ:o
เพิง	phə:ŋ
เพิดเพิน	phə:tphə:n
เพิ่น	phən
เพิ้ม	phə:m
เพีย	phi:a
เพียง	phi:aŋ
เพี่ย	phi:a
เพื่อ	phʉ:a
เพื่อที่	phʉ:athi:
เพ็ด	phet
เฟอนิเจอ	fə:nijə:
เฟียง	fi:aŋ
เมสา	me:sa:
เมสาย๊น	me:sa:yon
เมา	mao
เมีย	mi:a
เมียง	mi:aŋ
เมียงหลวง	mi:aŋlu:aŋ
เมี่ยย	mi:ai
เมี้ยน	mi:an
เม็ด	met
เม็ดพัน	metphan
เม้ม	mem
เย็น	yen
เลข	le:k
เลน	le:n
เลย	lə:i
เลว	le:o
เลาะ	lɔ
เลิก	lə:k
เลิ้ม	lə:m
เลีย	li:a
เลียก	li:ak
เลียง	li:aŋ
เลียด	li:at
เลียน	li:an
เลียบ	li:ap
เลียบล้อย	li:aplɔ:i
เลี่ยง	li:aŋ
เลี้ยง	li:aŋ
เลี้ยน	li:an
เลี้ยยๆ	li:ai
เล็ก	lek
เล็บ	lep
เล็บตีน	lepti:n
เล็ว	leo
เวลา	we:la:
เวียดนาม	vi:atna:m
เว้า	wao
เว้าพื้น	waophʉ:n
เสด	se:t
เสย	sə:i
เสา	sao
เสิบ	sə:p
เสิมสวย	sə:msu:ai
เสีย	si:a
เสียง	si:aŋ
เสียงดัง	si:aŋdaŋ
เสียบ	si:ap
เสียหลัก	si:alak
เสียหาย	si:aha:i
เสียใจ	si:ajai
เสี่ยง	si:aŋ
เสี้ย	si:a
เสี้ยผ้า	si:apha:
เสี้ยยื้ด	si:ayʉ:t
เสี้ยว	si:ao
เสี้ยเกาะอก	si:agɔok
เส็ด	set
เส้น	sen
เส้า	sao
เหงียก	ŋi:ak
เหงี่ย	ŋi:a
เหด	he:t
เหดกาน	he:tga:n
เหดผน	he:tphon
เหดล้าย	he:tla:i
เหน้ก	nek
เหมาะสม	mɔsom
เหมิกเถิก	mə:kthə:k
เหม็น	men
เหม้	me:
เหยียด	yi:at
เหยียบ	yi:ap
เหลว	le:o
เหลีย	li:a
เหลียง	li:aŋ
เหลียน	li:an
เหลียว	li:ao
เหลี่ยม	li:am
เหล็ก	lek
เหล้น	len
เหล้ม	lem
เหล้า	lao
เหี่ย	hi:a
เห็น	hen
เห่า	hao
เอง	e:ŋ
เอทีเอ็ม	e:thi:em
เอน	e:n
เออ	ə:
เอา	ao
เอาโลด	aolo:t
เอิก	ək
เอิ้น	ə:n
เอี่ยม	i:am
เอื้อย	ʉ:ai
เอเซีย	e:si:a
เอ็ด	et
เอ่ย	ə:i
เอ่าะเจ่าะ	ɔjɔ
เอ่าะเญาะ	ɔɲɔ
เอ้ม	em
เอ้ย	ə:i
เอ้อเฮ้อ	ə:hə:
เอ๊า	ao
เฮา	hao
เฮียง	hi:aŋ
เฮียน	hi:an
เฮ็ด	het
เฮ็ดกานเฮ็ดงาน	hetga:nhetŋa:n
เฮ็ดงาน	hetŋa:n
เฮ็ดนา	hetna:
เฮ็ดบุน	hetbun
เฮ็ดไฮ่	hethai
เฮ้ย	hə:i
แก	gɛ:
แกง	gɛ:ŋ
แกะ	gɛ
แก่	gɛ:
แก่งจ่างป่าง	gɛŋja:ŋpa:ŋ
แก้	gɛ:
แก้ง	gɛ:ŋ
แก้ม	gɛ:m
แก้ว	gɛ:o
แขน	khɛ:n
แข็ง	khɛŋ
แข็งแลง	khɛŋlɛ:ŋ
แข่ง	khɛŋ
แข้ว	khɛ:o
แค่	khɛ:
แจ้ง	jɛ:ŋ
แชะ	chɛ
แซง	sɛ:ŋ
แซบ	sɛ:p
แซม	sɛ:m
แซมพู	sɛ:mphu:
แซ่	sɛ:
แซ่แข็ง	sɛ:khɛŋ
แญง	ɲɛ:ŋ
แดง	dɛ:ŋ
แดด	dɛ:t
แตก	tɛ:k
แตกต่าง	tɛ:kta:ŋ
แตงโม	tɛ:ŋmo:
แต่	tɛ:
แต่กี้	tɛ:gi:
แต่ง	tɛŋ
แต่งงาน	tɛŋŋa:n
แต่งโต	tɛŋto:
แต่ละ	tɛ:la
แต่ว่า	tɛ:wa:
แต่ใส	tɛ:sai
แถว	thɛ:o
แถะ	thɛ
แทน	thɛ:n
แท่ง	thɛŋ
แท้	thɛ:
แนบ	nɛ:p
แนม	nɛ:m
แนมเบิ่ง	nɛ:mbəŋ
แนว	nɛ:o
แนวกิน	nɛ:ogin
แนวขั้น	nɛ:okhan
แนวค้อง	nɛ:okhɔ:ŋ
แนวญก	nɛ:oɲok
แนวบำลุง	nɛ:obamluŋ
แนวบิด	nɛ:obit
แนวมัก	nɛ:omak
แนวหนีบ	nɛ:oni:p
แนวโกนหนวด	nɛ:ogo:nnu:at
แนวใส่	nɛ:osai
แนะนำ	nɛnam
แน่	nɛ:
แน่ใจ	nɛ:jai
แบก	bɛ:k
แบน	bɛ:n
แบนเนม	bɛ:nne:m
แบบ	bɛ:p
แบ็ด	bɛt
แบ็ดเตอลี้	bɛttə:li:
แบ็น	bɛn
แบ้ง	bɛŋ
แป	pɛ:
แปง	pɛ:ŋ
แปงสีฟัน	pɛ:ŋsi:fan
แปด	pɛ:t
แปน	pɛ:n
แป่บเดียว	pɛpdi:ao
แป้นพิม	pɛ:nphim
แผ	phɛ:
แผนที่	phɛ:nthi:
แผนผัง	phɛ:nphaŋ
แผ่น	phɛn
แพง	phɛ:ŋ
แฟน	fɛ:n
แฟบ	fɛ:p
แมง	mɛ:ŋ
แมงวัน	mɛ:ŋwan
แมงหวี่	mɛ:ŋwi:
แมว	mɛ:o
แม่	mɛ:
แม่ค้า	mɛ:kha:
แม่ซี	mɛ:si:
แม่น	mɛ:n
แม่นบ่	mɛ:nbɔ:
แม่น้ำ	mɛ:na:m
แม่บ้าน	mɛ:ba:n
แม่หญิง	mɛ:ɲiŋ
แย้ก	yɛ:k
แลก	lɛ:k
แลง	lɛ:ŋ
แลบลิ้น	lɛ:plin
และ	lɛ
แล่น	lɛ:n
แล้ว	lɛ:o
แล้วแต่	lɛ:otɛ:
แว่นตา	wɛnta:
แสง	sɛ:ŋ
แหน้น	nɛn
แหลก	lɛ:k
แหลม	lɛ:m
แหล้ว	lɛ:o
แหวน	wɛ:n
แหวว	wɛ:o
แห่ง	hɛŋ
แห้ง	hɛ:ŋ
แห้งแล้ง	hɛ:ŋlɛ:ŋ
แห้น	hɛ:n
แอ	ɛ:
แออัด	ɛ:at
แอ็นกอฮอ	ɛngɔ:hɔ:
แอ็ปเปิ้น	ɛppən
แฮง	hɛ:ŋ
โกน	go:n
โก่งโด่ง	go:ŋdo:ŋ
โคก	kho:k
โค้ง	kho:ŋ
โจก	jo:k
โจน	jo:n
โจ่งโป่ง	jo:ŋpo:ŋ
โจ่โล่	jo:lo:
โจ้กๆ	jo:k
โจ้น	jo:n
โซ	so:
โซกดี	so:kdi:
โซฟา	so:fa:
โซ้	so:
โญก	ɲo:k
โญน	ɲo:n
โดด	do:t
โดน	do:n
โดยสาน	do:isa:n
โด่งดัง	do:ŋdaŋ
โต	to:
โตหนังสือ	to:naŋsʉ:
โตอย่าง	to:ya:ŋ
โต่ง	to:ŋ
โต่ะ	to
โถส้วม	tho:su:am
โถแก้ว	tho:gɛ:o
โท	tho:
โทน	tho:n
โทละทัด	tholathat
โทละสับ	tholasap
โนน	no:n
โน่ดบุ่ก	no:tbuk
โบก	bo:k
โบด	bo:t
โผ่	pho:
โพด	pho:t
โพดโพ	pho:tpho:
โมง	mo:ŋ
โมโห	mo:ho:
โล	lo:
โลก	lo:k
โลงบาน	lo:ŋba:n
โลงพะยาบาน	lo:ŋphaya:ba:n
โลงหนัง	lo:ŋnaŋ
โลงเลียน	lo:ŋli:an
โลตั่ด	lo:tat
โล่งโจ่ง	lo:ŋjo:ŋ
โล้ง	lo:ŋ
โล้น	lo:n
โอ	o:
โอกาด	o:ga:t
โอน	o:n
โอ่ง	o:ŋ
โอ่งโล่ง	o:ŋlo:ŋ
โอ๊ย	o:i
ใก้	gai
ใคแน่	khainɛ:
ใจ	jai
ใจกาง	jaiga:ŋ
ใจฮ้าย	jaiha:i
ใซ้	sai
ใซ้งาน	saiŋa:n
ใซ้ซีวิด	saisi:wit
ใด	dai
ใต้	tai
ใน	nai
ในเมียง	naimi:aŋ
ใบ	bai
ใบดอก	baidɔ:k
ใบหน้า	baina:
ใบเส็ด	baiset
ใบไม้	baimai
ใบ้	bai
ใผ	phai
ใส	sai
ใส่	sai
ใหญ่	ɲai
ใหม่	mai
ให้	hai
ไก	gai
ไก่	gai
ไขมัน	khaiman
ไข่	khai
ไข่ขาว	khaikha:o
ไข่ดาว	khaida:o
ไข่เจียว	khaiji:ao
ไข่แดง	khaidɛ:ŋ
ไข้เลือดออก	khailʉ:atɔ:k
ไง่	ŋai
ไซ	sai
ได้	dai
ได้ญิน	daiɲin
ได้ลับ	dailap
ได้ฮับ	daihap
ไต	tai
ไต้	tai
ไถ	thai
ไถฮุด	thaihut
ไทย	tha:i
ไบบ่าย	baiba:i
ไป	pai
ไป่	pai
ไพเลาะ	phailɔ
ไฟ	fai
ไฟฟ้า	faifa:
ไฟแซ็ก	faisɛk
ไม	ma:i
ไม้	mai
ไม้ขีด	maikhi:t
ไม้ไผ่	maiphai
ไล่	lai
ไว	wai
ไว้	wai
ไว้ถ้า	waitha:
ไหน	nai
ไหม้	mai
ไหล	lai
ไหล่	lai
ไหล้	lai
ไหว	wai
ไหว้	wai
ไหว้พะ	waipha
ไอ	ai
ไอติม	aitim
ไอน้ำ	aina:m
ไฮ่	hai
