3	ʏ̞tʃ
bioloji	bioloʒɯ
bioqrafik	piʝˈɒgɾafiˈk
biqeyrət	bigejræt
bir	bir
bir	biʒ
biraz	birɑz
bircə	birdzæ
bircə	birdʒæ
birdən	birdæn
birgə	birɟæ
birgə	piɾgæ
birgəlik	biɾgæ̹lʲɪç
biri	biɾi
birinci	birimdzi
birinci	birindzi
birinci	birindʒi
birisigün	birisiɟyn
birisigün	byrsyɟyn
birja	virʒa
birlikdə	birlikdæ
birlikdə	birliktæ
birləşdirmək	birlæʃdirmæj
birləşdirmək	birːæʃdirmæj
birləşmə	bi̠ɫæʃmæ
birləşmək	birlæʃmæj
birləşmək	birːæʃmæj
birminqhem	bʲirmʲiŋkhæm
birtərəfli	biɾtæˈræfli
birçək	viɾtʃɑj
bismut	piːsmuːt
bit	bit
bitirmək	bitirmæj
bitirmək	bitirmæk
bitirmək	bitirmætʃ
bitirmək	bitiɾmæj
bitişik	bitiʃik
bitmək	bitmej
bitmək	bitmæj
bitmək	bitmæk
bitmək	bitmɑχ
bitmək	biˈtmej
biyaban	bijabam
biyabanlıq	bijɑbɑnɫɯχ
biyabanlıq	bijɑbɑnːɯχ
biyabanlıq	bijɑvɑnːɯχ
biz-biz	bizbiz
bizimki	ˈbizimkɪ
biznes	pizmɛs
biçin	bitsin
biçin	bitʃin
bişirmək	biʃirmæk
bişirmək	piʃirmej
bişirmək	piʃirmæk
bişirmək	piʃirmɑχ
bişmiş	diʃmiʃ
bişmək	biʃmæk
bişmək	piʃmej
bişmək	piʃmæk
bişmək	piʃmɑχ
bişərəf	biʃæræf
bişərəf	biːʃæɾaf
blank	plɑɴk
boa	boa
bodrum	pɔdrum
bol	bɔl
bolluq	boɫːuχ
bolqar	balˈgɑɾ
bomba	bomba
bomboz	pombos
boran	borrɑn
boran	bɔɾɑn
boranlamaq	buɾɑnnɑmɑq
boranlıq	pʊ̞rɑnɫɯ̞χ
boranı	boraˈnɯ
borc	bordz
borc	bordʒ
borium	boreum
boru	boru
boru	poɾu
bostan	tɑstɑm
boya	baja
boyalamaq	bojɑɫɑmɑχ
boyamaq	bojɑmɑχ
boyana	pɑjɑmɑ
boyaqotu	bojɑɣotu
boylanmaq	bojlɑmmɑq
boylu	vojɫo
boyun	bojun
boyun	pojɯn
boyunca	bojundzɑ
boyunca	bojundʒɑ
boyunduruq	bojunduruχ
boyunduruq	bojunnurup
bozarma	ozɑɾma
bozarmaq	bozɑɾmɑq
bozartma	pozaɾtɯmɑ
bozbaş	bozbɑʃ
boçka	pɔtʃka
boğaz	boɣɑz
boğmaq	boɣmɑχ
boğulmaq	boɣuɫmɑχ
boş	boʃ
boşalmaq	boʃɑɫmɑχ
boşalmaq	paʃaɫmaɣ
boşaltmaq	bɑʃɑltmɑq
boşanmaq	boʃɑmːɑχ
boşqab	boʃgɑb
boşqab	buʃɣab
boşqab	poʃkɑ
brauzer	brauzar
bravo	brava
brilyant	brɪljant
broker	brokir
bu	bu
bucaq	budzɑχ
bucaq	budʒaɾ
bucaq	budʒɑχ
budaq	budɑχ
bugün	buɟyn
bugün	byjyn
bugün	byɟyn
bugünkü	bugynki
buket	bukˈet
bulanlıq	buɫɑnɫɯχ
bulanlıq	buɫɑnːɯχ
bulanmaq	buɫɑmˈmɑq
bulanıq	bulɑnɯχ
bulanıq	puɫanɯ̞q
bulmaq	buɫmɑχ
bulud	ulut
bumeranq	pˌumˌerˈaŋkˌa
bunca	bundzɑ
bunca	bundʒɑ
bunlar	bunɫɑɾ
bunlar	duːnɫɑɾ
bunlara	bunlarɑ
buqələmun	bugælæ-mun
bura	buɾa
burada	burda
burada	burɑdɑ
buradan	burdɑn
buradan	burɑdɑn
buraxmaq	burɑχmɑχ
burda	buɾdɑ
burdurmaq	burdu̯rmɑq
burmaq	burmɑχ
burulma	puɾulma
burum	buɾum
burum-burum	buɾumbuɾum
burun	burun
burğac	burɣɑdz
burğac	burɣɑdʒ
butulka	butɯɫka
butulka	putulka
butulka	putɯlka
buxaq	buχɑχ
buxar	buxaɾ
buxta	puxtɑ
buxur	buxur
buynuz	bujnuz
buyruq	bujrux
buyruq	ujrux
buyurmaq	bujurmɑχ
buz	uz
buzlu	buzɫu
buzlu	buˈzdu
buzov	buzov
buğa	buʁa
buğda	buɫdɑ
buğur	buɣur
buğur	bɯɣɯr
böhran	bœhrɑn
böhranlı	bʊ̞hrɑnðːɯ̞
böhtan	bʊ̞htɑn
bölmə	bœlmæ
bölmə	bʉlmæ
börk	bœrc
böyründə	bœjryndæ
böyük	bœjyc
böyümək	bœjymæc
böyür	bœjyr
böyürmək	bœjyrmæj
böyürmək	bœjyrmæk
böyürmək	bœjyrmæç
böyürtkən	bœjyrtcæn
böyütmək	bœjytmæk
böyələk	bœjælæc
bükmək	byhmɑχ
bükmək	bykmæj
bükmək	bykmæk
bükmək	bytʃmætʃ
bükmək	byçmɑχ
bülbül	bylbyl
bülöv	bylœv
bülövləmək	bylœvlæmæk
bünyad	bynjɑd
bünövrə	bynœvræ
büst	bˈɛst
bütpərəst	bytpæræst
bütün	buˈtyn
bıçaq	bɯtʃɑχ
bıçaq	ptsɑχ
bıçaq	ptʃɑχ
bıçaq	pɯtsɑχ
bıçaq	pɯtʃɑχ
bəbir	bɑbʲir
bədbin	bædbin
bədən	bædæn
bəhmən	bæˈhmæn
bəhrə	bæhræ
bəhrə	bæhɾæ
bəkarət	bætʃɑːræt
bəla	bæɫɑ
bəla	bɛɫa
bəlağət	bæɫɑːɣæt
bəlağətli	bæɫɑːɣætli
bəlağətli	bæɫɑːɣætːi
bəlgə	bælijæ
bəlgə	bælɟæ
bəlkə	bælkæ
bəlkə	bælkæm
bəlkə	bærkæ
bəlğəm	bælɣæm
bələd	bælæd
bələdçi	bælædtsi
bələdçi	bælædtʃi
bələmək	fælæmæj
bənd	bænd
bəndə	bɛndɑ
bəniz	bæniz
bəniz	bæŋiz
bəniz	peniz
bənna	bænːɑ
bənzər	bænzær
bənzərsiz	bænzærsiz
bənövşə	bænœvʃæ
bənövşəyi	bænœvʃæji
bənək	bænæj
bənək	bænæç
bərabər	bærɑːbær
bərbər	bærbæɾ
bərk	bærk
bərk	bɛɾk
bərkdən	bærkdæn
bərkdən	bærktæn
bərpa	bærpɑ
bərpa	bˈɒɾpˈa
bərzəx	bæɾˈzæx
bərəkallah	bæræcɑnːɑh
bərəkallah	bæræcɑɫːɑh
bərəkət	bæræcæt
bərəkət	bærætʃæt
bəs	bɑs
bəsləmək	bæslæmæk
bəsləmək	bæstæmæj
bəsləmək	bæstæmæk
bəstə	bæstæ
bəstə	pæsˈtæ
bəxt	bæχt
bəxtəvər	bæχtævær
bəxşiş	bæxʃiʃ
bəyan	pajam
bəz	bæz
bəzi	bæzi
bəzən	bæːzæn
bəşər	bæʃær
bəə	fæˈ
cadu	dzɑːdu
cadu	dʒɑːdu
cahangir	dʒɑhɑngɯɾ
calal	ʒɑlɑl
calamaq	dzɑɫɑmɑχ
calamaq	dʒɑɫɑmɑχ
calaq	dzɑɫɑx
calaq	dʒɑɫɑx
camaat	dzɑmɑhɑt
camaat	dzɑmɑɑt
camaat	dʒɑmɑhɑt
camaat	dʒɑmɑɑt
can	dzɑn
can	dʒɑn
can	jɒn
canavar	dzɑnɑvɑr
canavar	dʒɑnɑvɑr
canavar	ʒɑnɑvaɾ
cangüdən	dzɑndʒydæn
cangüdən	dʒɑngydæn
cangüdən	tʃaŋjydæn
cani	dʒane
canlandırmaq	dzɑnɫɑndɯrmɑx
canlandırmaq	dʒɑnɫɑndɯrmɑx
canlı	tʃanˈɫɯ
cansız	tʃaŋsɯz
casus	dzɑːsus
casus	dʒɑːsus
cavab	dzɑvɑb
cavab	dʒɑvɑb
cavablandırmaq	dzɑvɑbɫɑndɯrmɑχ
cavablandırmaq	dʒɑvɑbɫɑndɯrmɑχ
cavan	dzɑvɑn
cavan	dʒɑvɑn
cavanlıq	dzɑvɑnɫɯχ
cavanlıq	dzɑvɑnːɯχ
cavanlıq	dʒɑvɑnɫɯχ
cavanlıq	dʒɑvɑnːɯχ
caz	tʃas
cazibə	dzɑːzibæ
cazibə	dʒɑːzibæ
cem	dʒen
cib	dzib
cib	dʒib
ciddi	tʃitˈti
cihad	dzihɑd
cincilim	dzindzilim
cincilim	dʒindʒilim
cindar	tʃindɑr
cins	dʒɪnˈs
cinsi	dzinsi
cinsi	dʒinsi
cismən	dʒysmɛn
civi	dzivi
civi	dʒivi
cizgi	dzizdʒi
cizgi	dʒizgi
cizgi	tʃiːzgi
cizyə	dzizjæ
cizyə	dʒizjæ
cod	xˈot
corab	dʒuɾɑb
cuhud	dzuhud
cuhud	dʒuhud
cübeyl	dʒybejl
cücə	dzydzæ
cücə	dʒydʒæ
cüllüd	tʃyɫlyt
cümhuriyyət	dzymhuːrijæt
cümhuriyyət	dʒymhuːrijæt
cümlə	dzymlæ
cümlə	dʒymlæ
cümlə	ʒymle
cüt	dzyt
cüt	dʒyt
cüt	tsˈyt
cütlük	dzytlyk
cütlük	dʒytlyk
cütçü	dzyttsy
cütçü	dʒyttʃy
cütçülük	dzyttsylyk
cütçülük	dʒyttʃylyk
cüzi	dʒuzi
cılız	ʒɯɫɯz
cındır	dzɯndɯr
cındır	dʒɯndɯr
cındır	tʃɯndɯr
cırmaq	dzɯrmɑχ
cırmaq	dʒɯrmɑχ
cırıq	dzɯrɯχ
cırıq	dʒɯrɯχ
cığal	dʒɯɣɑɫ
cığır	dzɯɣɯr
cığır	dʒɯɣɯr
cəbhəçi	dzæphætsi
cəbhəçi	dʒæphætʃi
cəbri	dzæbri
cəbri	dʒæbri
cəfəri	dʒfæˈɾiː
cəhan	dʒæhɑn
cəhd	dzæhd
cəhd	dʒæhd
cəm	dzæm
cəm	dʒæm
cəmi	dzæmi
cəmi	dʒæmi
cəmiyyət	dzæmijæt
cəmiyyət	dʒæmijæt
cənab	dʒænɑb
cərimə	dzærimæ
cərimə	dʒærimæ
cəsarət	dzæsɑːræt
cəsarət	dʒæsɑːræt
cəvabən	dzævɑːbæn
cəvabən	dʒævɑːbæn
cəvabən	dʒɑvɑːbæn
cəviz	dzæviz
cəviz	dʒæviz
cəza	dzæzɑ
cəza	dʒæzɑ
cəzalandırmaq	dzæzɑɫɑndɯrmɑχ
cəzalandırmaq	dʒæzɑɫɑndɯrmɑχ
cəzalandırıcı	dzæzɑɫɑndɯrɯdzɯ
cəzalandırıcı	dʒæzɑɫɑndɯrɯdʒɯ
cəzalanmaq	dzæzɑɫɑnmɑχ
cəzalanmaq	dʒæzɑɫɑnmɑχ
da	dˈas
daban	tɑˈbɑn
dabankeş	dɑˈbɑnkeʃ
dad	dɑd
dad	dɑːd
dad	tat
dadmaq	tadmaɾ
dadı	dɑdɯ
daha	daha
daha	daxˈa
daha	dɑhɑ
daim	dajɛm
daim	dɑim
daima	dɑimɑ
daimi	täːiːmi
dair	dæˈr
dairəvi	dɑirævi
dal	dɑɫ
dal	dɑːl
dala	dɑɫɑ
dalamaq	tɑɫamˈɑx
dalan	bɑɫɑm
dalandar	dɑɫɑndɑr
dalaq	dɑɫɑχ
dalaşmaq	tɑlɑʃmɑq
dalbadal	dɑɫbɑdɑɫ
daldırmaq	dɑɫdɯrmɑχ
dalmaq	dɑɫmɑχ
daltonizm	tɑltɑnʲizm
dalğa	dɑɫɣɑ
dalğa	tɑɫɑɢɑ
dalınca	dɑɫɯndzɑ
dalınca	dɑɫɯndʒɑ
dam	tɑːm
dama	tama
damaq	dɑmɑx
damaqarxası	dɑmɑɣɑrxasɯ
damaqortası	dɑmɑɣortɑsɯ
damaqönü	dɑmɑɣœny
damar	dɑmɑr
damar	tɑˈmɑːr
damarsız	taːmaɾsɯz
damcı	dɑmdzɯ
damcı	dɑmdʒɯ
damcı	tamʒɒ
damla	dɑmɫɑ
dammaq	tɑmmɑq
damğa	tɑmɣa
damğalı	dɑmɣɑɫɯ
dan	dɑn
dan	dɒn
dana	tɑmɑ
danimarka	tanʲemarka
danimarkalı	dɑnimɑrkɑɫɯ
danlamaq	tɑnnɑmɑq
danmaq	dɑmːɑχ
danmaq	dɑnmɑχ
danmaq	tɑmmɑq
danna	dɑnːɑ
danışdırmaq	dɑnɯʃdɯr
danışdırmaq	tɑŋɯʃtɯrmɑq
danışmaq	danɯʃmɑχ
danışqan	tɑnɯʃkan
danışıq	dɑnɯʃɯχ
dar	dɑr
dar	dˈɑɾ
daramaq	dɑrɑmɑχ
daramaq	tɑramɑx
daraq	dɑrɑχ
daraq	tɑrɑχ
dartmaq	dɑrtmɑχ
dartmaq	dˈɑːrtəmˈɑːx
darvaza	dɑrvɑzɑ
darvin	tɑɾwjɔn
darçın	tɑɾtʃɯn
darı	tɑrɑ
darılmaq	dɑrɯɫmɑχ
darıxdırıcı	tɑɾɯxtɯrɯdʒɯ
dastan	tɑːstɑːn
dava	dava
dava	dɑːvɑ
davam	tɑˈvɑm
davamlı	tɑvɑmɫɑ
davamçı	dɑvɑmtsɯ
davamçı	dɑvɑmtʃɯ
davar	dɑvɑr
davud	zavut
daxil	dɑːxɪl
daxil	dɑːχil
daxili	dɑːχili
daxma	dɑxmɑ
daxıl	tɑχɯ̞ɫ
day	dɑj
dayamaq	dajɑmɑχ
dayamaq	tajamɑh
dayanacaq	dɑjɑnɑdʒɑχ
dayandırmaq	dɑjɑndɯrmɑx
dayanmaq	dajɑmːɑχ
dayanmaq	dajɑnmɑχ
dayanmaq	tajamˈmaːx
dayanın!	dajɑnɯn
dayaz	kajɑz
dayaz	tajɑz
dayça	dɑjtsɑ
dayça	dɑjtʃɑ
dayı	dɑjɯ
dayı	tɑjɯ̞
dayıoğlu	dɑjɯoɣɫu
dayıqızı	dɑjɯgɯzɯ
dayə	daja
dayə	daːjæ
daz	dɑz
dağ	dax
dağ	dˈas
dağlı	dɑɣɫɯ
dağılmaq	dɑɣɯɫmɑχ
dağılmaq	dɑːɫmɑχ
dağıntı	dɑɣɯntɯ
daş	dɑʃ
daşmaq	nˈaʃmˈax
daşımaq	dɑʃɯmɑχ
daşımaq	tɑʃɯmaq
daşınmaz	tɑʃɯnmas
daşıyırlar	taʃɯjɯlˈlɑr
deaktivləşdirmək	deɑktivlæʃtirmæk
debat	debat
deist	teːst
demon	tɛmmoŋ
demək	demek
demək	demæk
denver	tenvˈɛr
desert	tɨsʲert
detektiv	dedektɪv
detroyt	tɛtrojt
devirmək	devirmæj
devirmək	devirmæk
deyinmək	dejinmæc
deyəsən	dejæsæn
deyəsən	dijæsæn
deşik	deʃij
deşik	deʃiç
diaqnoz	tsiaɣnos
didik	didic
didmək	didmæc
didərgin	didærɟin
digər	didʒær
digər	diɟær
dik	dic
dik	ditʃ
dik	tɯk
dikbaş	dikbɑʃ
dikbaş	ditʃbɑʃ
dikmək	dicmæc
dikmək	dikmæj
dikmək	ditʃmæç
diksinmə	tiˈksinme
diktor	diktor
dil	dil
dilab	diɫɑb
dilab	diɫɑf
dilarə	tʲiɫɑrɛ
dilbər	tʲi̠lbæɾ
dilim	dilim
dilimi	dilimi
dilmanc	dilmɑndz
dilmanc	dilmɑndʒ
dilçi	diltsi
dilçi	diltʃi
dilçilik	diltsilij
dilçilik	diltsilik
dilçilik	diltʃilij
dilçilik	diltʃilik
diləmək	tiɾæmæj
dilənmək	dilæmːæj
dilənmək	dilæmːæk
dilənmək	dilænmæj
dilənmək	dilænmæk
dilənmək	tʲilænmæj
dilənçi	dilæntsi
dilənçi	dilæntʃi
dilənçilik	dilæntsilitʃ
dilənçilik	dilæntʃilik
din	din
din	t̪in
dinamik	dɪnaˈmʲik
dincəlmək	dindzælmæj
dincəlmək	dindzælmæk
dincəlmək	dindʒælmæj
dincəlmək	dindʒælmæk
dindar	dindar
dindar	tʲiŋdɑɾ
dindarlıq	tʲindɑrɯ̞χ
dindirmə	dindirmæ
dindirmək	ti̠ndi̠rmæj
dini	tiːne
dinləmək	dinlæmæc
dinləmək	dinlæmɑχ
dinləmək	dinːæmæc
diplom	dplom
diplomat	dɛplomɑt
diplomatik	diplomʌtˈik
diqqətli	tikːɛtːi
diqqətsiz	tikːetsiz
diri	t̪iɾe
dirçəliş	dirtsæliʃ
dirçəliş	dirtʃæliʃ
dirənmə	diːræmme
dirənmək	tiːrænmæj
diskriminasiya	diskriminɑsija
diva	tɪva
divan	divɑːn
divar	divɑr
divar	duvɑr
diyar	tijˈaɾ
diş	diʃ
dişaçan	kʲiʃatʃaŋ
dişləmək	diʃtæmæj
dişləmək	diʃtæmæk
dişləmək	diʃtæmɑχ
dolab	doɫɑb
dolama	dɔlama
dolamac	doɫɑmɑdz
dolan	tɔˈɫɑn
dolanma	tɔɫɑnmɑ
dolayı	dolaji
dolaşdırmaq	tɑɫɑʃtɯɾmɑq
dolaşmaq	doɫɑʃmɑx
dolaşmaq	tɑlɑʃmɑq
doldurmaq	doɫdurmɑχ
dolma	doɫmɑ
dolma	toɫma
dolmaq	doɫmɑχ
dolu	doɫu
dolğun	doɫɣun
domba	tomba
dombalaq	domːbɑlɑx
domino	damʲiˈno
donanma	tɔnɑnma
dondurma	dondurmɑ
dondurmaq	dondurmɑχ
dondurmaq	toŋduɾmaɾ
dondurucu	dɔnduɾudʒu
donmaq	domːɑχ
donmaq	donmɑχ
donmaq	tomˈmɑ
donuz	donuz
doqquzuncu	dokːuzundʒu
dosent	tˈɑsjˈent
dost	dost
dost	dɒːst
dostluq	dostɫuχ
dostluq	dostːuχ
dostluq	tostux
doxsanıncı	doxsɑnɯndʒɯ
doymaq	tojmah
doymaz	toimas
doğmaq	doɣmɑχ
doğramaq	doɣrɑmɑχ
doğrudan	doɣrudɑn
doğrudan	doɣurdɑn
doğrudur	doʁɾu'duɾ
doğulmaq	doɣuɫmɑχ
doşab	dɔʃɑːb
dram	dram
dua	duɑ
dua	tua
dublyaj	dubljɑʒ
dublyaj	tuˈblʲɑʒ
dul	tˈu
dulus	duɫus
dulusçu	duɫustsu
dulusçu	duɫustʃu
duman	dumɑn
duman	tʊmɑn
dumanlı	tumanˈni
durmaq	durmɑχ
durna	durnɑ
durulmaq	tuɾulma
durum	duɾum
durumsuz	tuɾimsus
duruş	duruʃ
duruş	dʊɾuʃ
durğuzmaq	durɣuzmɑx
dustaq	dustɑχ
duvaq	duvɑx
dux	duχ
duymaq	dujmɑχ
duyğu	dujɣu
duzsuz	tustuz
döl	dœl
dölləndirmək	dœlːændirmæc
dönmək	dœmːæj
dönmək	dœmːæk
dönmək	dœnmæj
dönmək	dœnmæk
dönüş	dœnyʃ
dönər	dœnær
dönərxana	dœnærχɑnɑ
dörd	dœrd
dördgöz	dœrddʒœz
dördgöz	dœrdɟœz
dördüncü	dœɾdyndʒy
dövr	dœvr
dövri	devri
dövri	dœvri
dövri	dœvry
dövriyyə	dœvrijæ
dövrə	dœvræ
dövrəvi	dœvrævi
döymək	dœgmej
döymək	dœgmæj
döymək	dœjmæc
döymək	dœjmæj
döymək	dœjmɑχ
döyülmək	tœjylmej
döyüş	dœjyʃ
dözmək	dœzmæj
dözmək	dœzmæk
dözülməz	dœzylmæz
dözüm	dœzym
dözümlü	dœzymly
dözümlülük	dœzymlylyj
dözümlülük	dœzymlylyk
dözümsüz	dœzymsyz
dözümsüzlük	dœzymsyzlyj
dözümsüzlük	dœzymsyzlyk
döş	dˈøʃ
döşək	dœʃæj
döşək	dœʃæk
döşəkağı	dœʃæjɑɣɯ
dübarə	dybaːræ
düha	dyhɑ
dükan	dycan
dükan	dytʃan
dükan	tycan
dükan	tytʃan
dükançı	dycantʃɯ
dükançı	dytʃantsɯ
dülgər	dylɟær
dünyanın	dynˈnjɑnɯn
dünyəvi	dynjæːvi
dünən	dynæn
dürüst	dyryst
dürüstlük	dyɾysdyç
düymə	tʏ̞jʏ̞mæ
düyü	dyjy
düyə	dyjɑ
düz	dyz
düz	tøz
düzbucaq	tʏzbudʒɑk
düzbucaqlı	dyzbudzɑɣɫɯ
düzbucaqlı	dyzbudʒɑɣɫɯ
düzgün	dyzɟyn
düzəlmək	dyzælmej
düzəlmək	dyzælmæj
düzəlmək	dyzælmæk
düzəlmək	dyzælmɑχ
düzəltmək	dyzæltmej
düzəltmək	dyzæltmæc
düzəltmək	dyzæltmæj
düzəltmək	dyzætmɑχ
düzən	dyzæn
düzən	dyˈzen
düş	dyʃ
düş	tyʃ
düşkün	tyʃkɪn
düşman	dyʃmɑːn
düşmək	dyʃmæk
düşmək	tyʃmæk
düşmən	dyʃman
düşmən	dyʃmæn
düşmənçilik	dyʃmæntsilitʃ
düşmənçilik	dyʃmæntʃilij
düşmənçilik	dyʃmæntʃilik
düşmənçilik	dyʃmæntʃiliç
düşünmək	dyʃymːæj
düşünmək	dyʃymːɑχ
dılaq	dɯɫɑχ
dıllaq	dɯɫːɑχ
dındıq	dɯndɯx
dırmıq	dɯrmɯχ
dırnaq	dɯrnɑχ
dığa	dɯɣɑ
dışarı	dɯʃɑrɯ
dəb	dæb
dəbdəbəli	tæpdæbælʲɪ
dədə	dædæ
dəf	tɛf
dəfn	dˈæfən
dəfnə	dæfnæ
dəftər	dæftær
dəftər-qələm	tæftærgæ̹læm
dəfə	dæfæ
dəfə	tɑfɑ
dəhənz	dæhænz
dəli	dæli
dəlixana	dæliχɑnɑ
dəlixana	tælʲiχɑnɑ
dəlmək	fælmæj
dələ	dælæ
dəm	dæm
dəm	tɛm
dəmiryol	dæmirjoɫ
dəmirçi	dæmirtsi
dəmirçi	dæmirtʃi
dəmləmək	dæmlæmæj
dəmləmək	dæmlæmæk
dəmləmək	dæmlæmæç
dəmşalax	tæmʃɑɫɑχ
dənizçilik	dæniztsiliç
dənizçilik	dæniztʃilik
dənə	dæmæ
dənə	dænæ
dəqiq	dægig
dəqiqə	dægigæ
dəqiqə	dægiːgæ
dəqiqə	dæjgæ
dəqiqə	dæːgæ
dəqiqə	dɑɣɑ
dərbənd	tæɾbænt
dərd	dærd
dərd	dæɾ
dərd	dæɾt
dərd	tɛrt
dərdləşmək	tærtæʃmæj
dərhal	dærhɑɫ
dəri	dæri
dərin	dærin
dərin	tɛrin
dərinlik	dærinlij
dərk	tɛrk
dərman	dærmɑn
dərman	tɛrmɑn
dərs	dærs
dərs	dæɾˈs
dərzi	dærzi
dərə	tæɾa
dəst	tˈɛst
dəstə	tɛstæ
dəstək	dæstæj
dəstək	dæstæç
dəstəmaz	dæstæmɑz
dəxil	dæxil
dəxl	dæxl
dəxmə	dæxmæ
dəyirman	dæjirmɑn
dəyişdirmək	dæjiʃdirmæj
dəyişdirmək	dæjiʃdirmæk
dəyişdirmək	dæjiʃtirmæj
dəyişdirmək	dæjiʃtirmæk
dəyişik	dæjiʃic
dəyişkən	dæjiʃcæn
dəyişmək	dæjiʃmæj
dəyişmək	dæjiʃmæk
dəymiş	dæjmiʃ
dəymək	dæjmæj
dəymək	dæjmæk
dəymək	dæjmɑχ
dəyməz	dejmæs
dəyməz	dæjmæz
dəyə	dæjæ
dəyə	dɑjæ
dəyər	dæjær
dəyər	dæjɑr
ecgahan	edʒɟɑhɑn
ecgahan	ejdzɑhɑn
ecgahan	ejdzɑːn
ecgahan	ejdʒɑhɑn
ecgahan	ejdʒɑːn
ecgahan	eʒɟæhin
ecgahan	eʒɟɑhɑn
ecgahan	eʒɟɑn
ecgahan	eʒɟɑːn
ecgahan	ædzdʒɑhɑn
ecgahan	ædʒɟɑhɑn
ecgahan	æʒɟejin
edam	eˈdam
edam	eːdam
efir	eʃiɾ
ehkam	æhkɑm
ehtimal	ɛhtimɑl
ehtiram	ehtirɑm
ehtiramlı	ehtirɑmɫɯ
ehtiramsız	ehtirɑmsɯz
ehtiras	ehtirɑs
ehtiras	ehtɯɾas
ehtiyac	ehtijɑʒ
ehtiyatla	ehtijɑtɫɑ
ekran	akram
ekstaz	ekstaz
ekstrasens	ekstɾesens
ekvator	əkvatˈoɾ
el-oba	eloba
elan	ɛɫɑn
elektromaqnit	ɛlʲektromagnʲit
element	elemˈɛnt
elita	elitɑ
elita	ɛlita
elitar	elitɑr
elitar	ɛliˈtaɾ
elman	elman
elmir	ɛlɪmiɾ
elmira	elmira
elmsiz	ɛlmsiz
elvin	elviˈn
elvira	eld̪iɾa
elxan	alˈxam
elxan	elχɑn
elçilik	eltsilitʃ
elçilik	eltʃilik
elçilik	eltʃiliç
elçin	ltʃin
elşad	elʃɒd
elə	elæ
elə	æ̹læ
eləmək	elæmæk
emil	emɪl
emin	ɛmin
en	en
endirmə	endirmæ
endirmək	endirmæc
enli	enːe
enmək	emːæk
enmək	enmæj
enmək	enmæk
epidemiologiya	epidemioɫoɟijɑ
epidemioloji	epidemioloʒɯ
epidemiya	epidemijɑ
erməni	ærmænʲi
ertə	ertæ
ertələmə	ertælæmæ
eskiz	eskis
etanol	etimol
etdirmək	etdirmæj
etdirmək	etdirmæk
etdirmək	etːirmæj
etdirmək	etːirmæk
etibar	et̪baɾ
etibarsız	etbaɾsɯz
etimoloji	etimoloʒɯ
etiraf	eːtirɑf
etiraz	eːtirɑz
etiraz	ˈɛjtˈiːɾˈɑz
etmək	etmej
etmək	etmæj
etmək	etmæk
etna	etma
etnik	ɛtnik
ev	ev
ev	əv
evcik	evdzitʃ
evcik	evdʒij
evcik	evdʒik
evdə	evda
evdə	evde
evlənmək	evlæmːæj
evlənmək	evlæmːæk
evsiz	evsiz
exo	ˈexo
eybəcər	ejbædzær
eybəcər	ejbædʒær
eyham	ejhɑm
eyib	ejib
eyib	æjib
eyib	æɟib
eyib	ɑjɯb
eyləmək	ejlæmæk
eyləmək	ejlæmɑχ
eyni	ejne
eyni	ejni
eyni	ɑjnɯ
eynək	ejnæj
eynək	ejnæk
eynək	ejnæç
eyvan	æjˈvɑn
eşitmək	eʃitmæj
eşitmək	eʃitmæk
eşmək	æʃmæj
eşq	ʃk
fabrik	fabrɪk
fabrik	fɑbrik
fahişə	fɑhiʃæ
fahişəlik	fɑhiʃælik
fahişəxana	fɑhiʃæχɑnɑ
faiq	fˈaɪg
faiz	fɑiz
faiz	fɑjɯz
faiz	fˈaɪz
fakültə	fokultæ
fal	fɑːl
falçı	faltʃɯ
falçılıq	fɑɫtʃɯɫɯ̞q
famil	fɑːmɪl
fani	fane
fani	fɑːni
fanta	fanta
fantaziya	fantazja
faqot	fagot
fariz	farɛz
fars	fɑrs
fars	fɑːs
fata	fata
fatma	kɑtma
fatmanisə	fatmanisɛ
fauna	fau̯na
fayda	fajda
faydalı	fajdɑɫɯ̞
faydasız	fajdasɯz
faza	faza
fağır	fɑˈgɯr
faşist	fɑʃˈɪst
faşizm	fɑʃizm
fel	fɛjl
femida	femida
ferma	fermɑ
ferma	fɪrma
fikir	fikɪr
fikirləşmək	ficirlæʃmæj
fikirləşmək	ficirːæʃmæj
fil	fˈil
filan	filaːn
filankəs	fiːlˈɑːnkɒs
filiz	feliz
film	film
film	ˈfɪlɪm
filologiya	fiɫaɫogʲija
filosof	fʲilˈosʊf
final	fˌinˈɑl
fincan	findʒam
fiqur	figuɾ
firqə	firgæ
firuzə	firuːzæ
fit	fit
fitnə	fitnæ
fitri	fetɾi
fizik	ˈfizik
fizika	fizika
fiziki	fizikɛ
flora	flora
florida	florida
flüor	flʲor
folklend	fˈolklˈænt
folklor	falgɫor
fonem	fonˈɛm
fonoloji	fonoɫoʒɯ
fontan	fantˈɑːm
forma	foɾma
forvard	fˈɔɾˈvɑɾˈd
fosfor	fosfoɾ
fransa	frˈɑntsˈa
fransa	fˈɾˈɑnsˈa
fransızca	fɾɑnˈsɯzdʒɑ
franşiza	framʃɪza
freska	frɛska
funksiya	funktsijɑ
funt	fond
futbolçu	futboɫtsu
futbolçu	futboɫtʃu
fövqəladə	fœvgælɑːdæ
fövqəladə	fœvgɑɫɑdɑ
füzelyaj	fyzeljɑʒ
