'z	z
dokaži	doka˥˩ːʒi˩˥ː
dokler	doklər
dokler	do˥˩klɛr
dokler	do˥˩ːklɛr
dokler	dɔklɛ́r
dokument	dɔkwment
dokumente	dɔkumɛntɛ
dol	do˥˩ːʋ
dol	do˩˥ːl
dol	gɔl
dolar	dɔlar
dolg	do˥˩ːʋk
dolg	dɔlk
dolgo	dɔu̯gɔ
dolgovaloven	dɔʋgɔʋalo˥˩ːʋən
dolgočasen	dɔʋgɔtʃa˩˥ːsən
dolgočasnejši	dɔlgɔtʃa˩˥ːsnɛjʃi
dolgočasno	do˥˩ːgo˥˩ːtʃasno˥˩ː
dolgčas	dɔugtʃas
dolina	dɔli˩˥ːna
določene	do˥˩ːlo˥˩ːtʃanɛ
dolžan	dou̯ʒan
dolžina	dɔuʒina
dom	do˥˩ːm
doma	doma
doma	dɔma˥˩ː
domače	dɔmatʃɛ
domačija	dɔmatʃia
domačije	dɔmatɕjɛ
domačin	dɔmatʃim
domišljija	dɔmiʃlji˥˩ːja
domoljub	dɔmɔlju˥˩ːp
domov	dɔmo˥˩ːʋ
domov	dɔmo˩˥ːʋ
domov	dɔmɔw
domovina	dɔmɔʋi˩˥ːna
donava	do˥˩ːnaʋa
dopis	dopis
dopoldan	dɔpo˥˩ːʋdan
dosežek	dɔseˈʒak
dostopa	dɔstɔˈpa
dotacija	dɔtatsia
dotakniti	dɔtakni˥˩ːti
dotakniti	dɔtakni˩˥ːti
dotakniti	dɔta˩˥ːkniti
dovolj	dɔʋo˥˩l
dovoljenje	dɔʋɔljɛ̀ːnjɛ
dovršen	dɔʋə˥˩rʃən
dovtip	dɔʋti˥˩ːp
dočakat'	tɔtʃakat
dočakat’	dɔtʃa˥˩ːkat
doživeti	dɔʒiʋe˩˥ːti
drag	drak
drag	dra˥˩ːk
drago	drago
drago	dra˥˩ːgɔ
dragulj	draguɫj
dragulj	dragu˥˩ːl
dragulj	dragu˩˥ːl
dramaturg	dramaturɨk
dramaturgija	dramaturgia
drava	drava
dražji	dra˥˩ːʒji
drek	drɛ́k
dremati	drɛmatɛ
dren	drɛ́n
dreti	dre˩˥ːti
drevesa	drɛʋɛsɑ
drevesno	drɛʋɛsno
drevo	drɛvɔ
drevo	drɛʋo˥˩ː
drkaj	də˥˩rkaj
drkajo	də˥˩rkajɔ
drkajte	də˥˩rkajtɛ
drkajva	də˥˩rkajʋa
drkamo	də˥˩rkamɔ
drkanje	də˥˩rkanjɛ
drkata	də˥˩rkata
drkate	də˥˩rkatɛ
drkati	də˥˩rkati
drkava	də˥˩rkaʋa
drkaš	də˥˩rkaʃ
drl	dʊru
drnovšek	drnɔuʃɛk
droben	dro˩˥ːbən
drobnič	drɔbɲitʃ
drobnjak	drɔbnja˩˥ːk
drog	dro˥˩ːk
droga	druga
dromedar	drɔmɛda˩˥ːr
dromlja	dro˥˩ːmlja
drozd	dro˥˩ːst
drozg	dro˥˩ːsk
drsati	tarsati
drseti	dərse˩˥ːti
drsi	ðərsˈi
drug	druk
drug	dru˥˩ːk
drugače	drukakɛ
drugačna	drugatʃnɛ
drugega	drugɛgɔ
drugi	dru˥˩ːgi
drugi	dru˩˥ːgi
drugje	drugje
drugoten	drugo˩˥ːtən
družba	dru˥˩ːʒba
družbe	dru˩ʒbɛ
družbene	druːʒbɛnɛ
družbenih	drˈuʒbɛnˈiːx
družbenik	druːʒbɛnig
družbi	druːʒbi
družina	druʒi˩˥ːna
družino	druʒinɔ
družinski	druʒʲimɨskʲi
drva	dərʋa˥˩
držaj	dˈɛrˈʒaj
držati	drʒate
država	dərʒa˥˩ːʋa
državljan	dərʒaʋlja˥˩ːn
dualizem	dualizm
dubnij	dubni
ducat	du˥˩ːtsat
ducat	du˩˥ːtsat
duda	du˥˩ːda
duda	du˩˥ːda
dude	du˥˩ːdɛ
dude	du˩˥ːdɛ
duh	du˥˩ːx
duh	dˈux
duhovi	duxɔʋi
duhovičiti	duxɔʋʲitʃːɪtʲi
dunaj	dunaɪ
dunaj	du˩˥ːnaj
dunajski	du˩˥ːnajski
duplicirati	duplitsiratɪ
dur	dˈuɾ
duša	du˩˥ːʃa
dušik	duʃi˥˩ːk
dušik	duˈʃiˈk
dva	dvˈa
dva	dʋa˥˩ː
dvajset	dvajsɛt
dvajset	dʋa˥˩ːjsɛt
dvakrat	dvakraʲt
dvanajst	dʋana˩˥ːjst
dvanajst	dʋa˥˩ːnajst
dvd	dvd
dve	dvˈe
dve	dʋe˥˩ː
dveh	dvʲex
dvigne	dvignˈe
dvigniti	dʋi˩˥ːgniti
dvigniti	dˈvigniti
dvoboj	dvɔbɔj
dvojka	dʋo˥˩ːjka
dvojna	duɔjna
dvojnost	dvɔjnɔst
dvojček	dʋo˥˩ːjtʃək
dvojček	dʋo˩˥ːjtʃək
dvolomnost	dvɔlɔmnɔst
dvom	dʋo˥˩m
dvom	dʋo˥˩ːm
dvomiti	dʋo˥˩ːmiti
dvomiti	dʋo˩˥ːmiti
dvomiti	dʋɔmi˥˩ːti
dvomiti	dʋɔmi˩˥ːti
dvovidski	dʋo˥˩ːʋi˥˩ːtski
dvoživka	dʋɔʒi˥˩ːʋka
dz	de˥˩ːze˩˥
dz	de˥˩ːze˩˥ː
dz	de˩˥ːze˩˥
dz	dz
dz	dze˥˩ː
dz	dze˩˥ː
dz	dzə˥˩
dz	də˥˩zə˥˩
dójmiti	do˩˥ːjmiti
dójnica	dojnitsa
dž	də˥˩ʃ
dž	dʒ
dž	dʒe˥˩ː
dž	dʒe˩˥ː
dž	dʒə˥˩
džamija	dʒa˩˥ːmija
džentelmen	dʒentəlmən
džez	dʒe˥˩ːs
džihad	dʒixa˥˩ːt
džihad	dʒi˥˩ːxat
džungla	dʒu˥˩ːngla
džungla	dʒˈʊngla
e	e
e	e˥˩ː
e	e˩˥ː
e	lɪ
e	ə˥˩
e	ə˩˥
e	ɛ
e	ɛ̀ː
e	ɛ́
eden	ɛ̀ːdən
edinost	edinost
ednina	ednina
ednina	ɛdni˩˥ːna
edvard	e˥˩ːdʋart
egipt	ɛgi˥˩ːpt
ehe	ˈaxe
ejakulacija	ɛjakula˩˥ːtsija
ekipi	ekipi
ekonomija	ɛkɔnɔmi˥˩ːja
ekonomist	ɛkɔnɔmi˥˩ːst
ekonomska	ɛkoˈnɔmska
ekosistem	e˥˩ːkɔsiste˥˩ːm
eksperiment	ɛkspeɾimɛnt
ekstirpirati	ɛkstɪrpʲirati
ekstrakcije	ɛkstraktsie
elektrarne	elektrarne
električen	ɛlɛktritʃɔn
električnega	ɛliktritʃnɛga
elektromagnetski	ɛle˥˩ːktrɔmagne˥˩ːtski
elektron	elektron
elektron	ɛle˥˩ːktrɔn
elektron	ɛlɛktro˩˥ːn
elektronski	elektronski
elipsa	ɛɬipsa
ema	tema
embalaža	embalaza
emigracija	ɛmigra˩˥ːtsija
en	ɛn
en	ɛ́n
ena	ɛ̀ːna
enaindvajset	ɛ̀ːnaindʋa˥˩ːjsɛt
enaindvajset	ɛ́ːnaindʋa˥˩ːjsɛt
enajst	ənˈajst
enajst	ɛna˩˥ːjst
enak	ənˈak
enaka	enaka
enako	enako
enakonočje	ɛnakɔno˥˩ːtʃjɛ
enakost	ɛnaːkɔst
enačaj	ɛnatʃa˥˩ːj
enačba	ɛnadʒba
enačba	ɛna˥˩ːdʒba
enačbe	enadʒbe
enega	eneɣa
energija	ɛnɛrgi˥˩ːja
energije	energˈie
enkrat	ɛnkra˥˩t
enkrat	ɛ̀ːnkrat
enostavni	ɛnɔstauˈni
enota	eˈnata
enota	ɛno˩˥ːta
entomologija	ɛntɔmɔlɔgi˥˩ːja
eon	ˈeɪoːn
epicenter	ɛpitse˥˩ːntər
epicenter	ɛpitse˩˥ːntər
epicenter	ɛpitsɛ̀ːntər
epicenter	ɛpitsɛ́ːntər
epir	ɛpi˥˩ːr
epistemologija	ɛpistɛmɔlɔgi˩˥ːja
epitel	epitell
era	era
erazem	ɛrazam
erbij	ɛ̀ːrbij
erekcija	ɛre˩˥ːktsija
erik	ɛ́ːrik
eritreja	ɛritrɛ́ːja
erotičen	ɛro˩˥ːtitʃən
erotičen	ɛrɔtikɛn
eržen	ɛrʒe˥˩ːn
esej	ɛsɛ́ːj
estetika	estɛtɪka
estonec	ɛsto˥˩ːnəts
estonija	ɛsto˩˥ːnija
estonka	ɛsto˥˩ːnka
estonski	ɛsto˥˩ːnski
estonsko	ɛsto˥˩ːnskɔ
estonščina	ɛsto˥˩ːnʃtʃina
estuarij	ɛstua˩˥ːrij
etika	etika
etimologija	ɛtimɔlɔgi˥˩ːja
etiopija	ɛtijo˩˥ːpija
eto	e˥˩ːtɔ
eto	ɛ́tɔ
evo	e˥˩ːʋɔ
evo	ɛ́ʋɔ
evro	ɛʋrɔ
evrokrem	ˈɛurɔkˈrɛm
evropa	ɛʋro˥˩ːpa
evropij	ɛʋro˩˥ːpij
evropski	ɛurɔpski
f	f
f	fə
f	fɯˈ
fagot	fagot
fagot	fago˥˩ːt
faks	fˈaks
faksimile	faksimile
faktor	faktor
fakulteta	fakulte˥˩ːta
falzet	falze˥˩ːt
fanatičen	fanatitʃɔn
fanfara	fˈˈanfˈarˈa
fant	fa˥˩nt
fantje	fantja
fantu	fanto
farmacija	farmatsia
farmakopeja	farmakopɛja
farmar	farmɑr
fasada	fasadɐ
fazan	faza˥˩ːn
fazan	fˈɑzˈan
fašizem	faʃi˥˩ːzɛm
fašizem	faʃi˩˥ːzɛm
februar	fe˥˩ːbruar
federacija	fɛdɛratsɪja
federacija	fɛdɛra˩˥ːtsija
felicijan	fɛlitsija˥˩ːn
feminizem	fɛmini˥˩ːzɛm
feminizem	fɛmini˩˥ːzɛm
feniks	fe˥˩ːniks
fenomen	fɛnɔmɛn
fenotip	fɛnoˈtip
fermij	fɛrmi
fermij	fɛ̀ːrmij
festival	fɛstival
fevd	fɛɫt
fiesa	fjɛsa
figa	fi˩˥ːga
figa	fˈiga
filatelija	filatelia
file	file˥˩ː
filipini	filipi˥˩ːni
filme	fˈilmə
filozof	filɔzo˥˩ːf
filter	fjltɛr
filtrirati	filtriraˈti
fin	fi˥˩ːn
fin	fˈil
finale	fĩnale
finančen	fˈiːnanːtʃən
finec	fi˥˩ːnəts
finec	fˈiːnəts
finka	fi˥˩ːnka
fino	fino
finska	fi˥˩ːnska
finski	fi˥˩ːnski
finsko	fi˥˩ːnskɔ
finščina	fi˥˩ːnʃtʃina
fizika	fi˩˥ːzika
fizikalen	fizikalem
fižol	fiʒo˥˩ʋ
flancata	flantsˈɛtˈa
flavta	flaʊta
flavta	fla˥˩ːʋta
flegmatičen	flɛgmatɪtʃɛn
flirt	flˈɪrt
flirtati	flirtate
flota	flɔta
fluor	flu˥˩ːɔr
format	fɔrmɑːt
fosfor	fo˥˩ːsfɔr
fosfor	fɔsfɔr
fosil	fosˈil
fotoefekt	fɔtɔɛfɛkt
fotografija	fɔtɔgrafi˥˩ːja
frajer	frajeɾ
franc	fra˥˩nts
franc	fˈɾˈants
francij	frantsi
francij	fra˩˥ːntsij
francija	frantsja
francija	fra˩˥ːntsija
francoski	frantso˥˩ːski
francosko	frantso˥˩ːskɔ
francoz	frantso˥˩ːs
francozinja	frantso˥˩ːzinja
francoščina	frantso˥˩ːʃtʃina
frankiran	francˈirˈan
fraza	frasa
frekvenca	frɛkʋe˥˩ːntsa
friz	fri˥˩ːs
frizura	frˈiːzura
frizuro	frizˈuːrˌɑ
frkolin	frkolin
frnikola	fɛrˈnikɔla
fronta	frˈonta
fukajoč	fukajo˥˩ːtʃ
fukajoč	fukajo˩˥ːtʃ
fukati	fu˥˩ːkati
funkcionirati	funktsionirati
funt	funt̪
funtov	funtɔ
fuzija	fuzia
fužina	fuʒˈinˈ
g	g
g	gə
gaber	gabr
gaberje	gabɛɾjɛ
gabez	ga˥˩ːbɛs
gadolinij	gadɔlini
gadolinij	gadɔli˩˥ːnij
gagati	gagate
galanten	galantan
galeb	gale˥˩ːp
galeb	gˈaleɪp
galeja	galea
galerija	galeˈria
galicija	gali˩˥ːtsija
galij	ga˩˥ːlij
galij	gˈaɪli
gamaše	gamaʃa
gambija	ga˩˥ːmbija
gams	ga˥˩ms
gams	ga˩˥ːms
gana	ga˥˩ːna
ganjenost	ganienɔst
garancija	garantsia
garanje	garanːja
garaža	garˈɑʒa
garda	gardɑ
garderoba	garderoba
garjav	garjau
gasa	ga˥˩ːsa
gasilec	gassilets
gaz	gas
gaziti	ga˩˥ːziti
gašenje	gaʃɛnʲːɛ
gašper	ga˥˩ʃbɛr
gejzir	gɛjzi˥˩ːr
gejzir	gɛjzi˩˥ːr
gen	gen
generacija	generatsia
generacija	gɛnɛra˩˥ːtsija
general	general
generala	generala
generalka	gˌeneralka
genetika	gẽn̪et̪ika
genialen	ge˩˥ːnja˥˩lɛn
genij	geni
genij	ge˩˥ːnij
genitiv	ge˥˩ːnitiʋ
genocid	gɛnɔtsi˥˩ːt
geodet	gɛldɛt
geodezija	gɛɔdɛzi˥˩ːja
geofizika	ɠɛɔfizika
geografija	gɛɔgrafi˥˩ːja
geologija	gɛɔlɔgi˥˩ːja
gepard	ge˥˩ːpart
germanij	gɛrma˩˥ːnij
geslo	gɛ̀ːslɔ
gibanje	gi˩˥ːbanjɛ
gimnazija	gimna˩˥ːzija
ginekologija	ginɛkɔlɔgi˥˩ːja
glad	gla˥˩ːt
gladek	glˈadk
gladilka	gladi˥˩ːlka
glagol	glagɔl
glagol	gla˩˥ːgɔl
glagolica	glago˥˩ːlitsa
glagolnik	gla˩˥ːgɔlnik
glagolski	gla˩˥ːgɔlski
glas	gla˥˩ːs
glasba	gla˥˩ːzba
glasbe	glasbẽ
glasben	gla˥˩ːzbɛn
glasbeni	glasbəini
glasbenik	gla˥˩ːzbɛnik
glasbilo	glasbilo
glasen	gla˩˥ːsən
glasen	glˈasən
glasnejši	glasnɛ́ːjʃi
glasnik	glasnˈiːk
glasoslovje	glasɔslo˥˩ːʋjɛ
glava	glava
glava	gla˩˥ːʋa
glaven	gla˥˩ːʋən
glaven	gla˩˥ːʋən
glavni	glau̯ni
glavnik	glaʋni˩˥ːk
glavonožec	glaʋɔno˥˩ːʒɛts
glazba	gla˥˩ːzba
gledali	glʲeˈdɑlʲi
gledališče	glɛdali˩˥ːʃtʃɛ
gledat	glˈeːdat
gledate	glʲeˈdate
gledati	gle˩˥ːdati
gleženj	gle˩˥ːʒən
glina	gli˩˥ːna
glivice	glˈivitse
globlji	glo˥˩ːblji
globok	glɔbo˥˩k
globok	glʊbɔk
glodalec	glɔda˥˩ːləts
glog	glo˥˩k
glog	glo˥˩ːk
gluh	glu˥˩ːx
gluh	glˈuːx
glup	glu˥˩ːp
glušji	glu˥˩ːʃji
gnati	gna˩˥ːti
gnesti	gnɛ̀ːsti
gnezdo	gne˩˥ːzdɔ
gnezdom	gnɛzdom
gnil	gni˥˩ːʋ
gniti	gni˩˥ːti
gnoj	gno˥˩ːj
gnosticizem	gnɔstitsi˩˥ːzəm
gnostičen	gno˩˥ːstitʃən
goba	go˩˥ːba
gobec	gɔbɛts
god	go˥˩ːt
god	gˈod
godba	godba
godba	go˥˩ːdba
gol	go˥˩ʋ
gol	go˥˩ːl
gol	go˥˩ːʋ
golibar	gɔli˥˩ːbar
goljuf	gʊlˈjuf
golobica	gɔlɔbi˩˥ːtsa
golobrad	gɔlɔbra˥˩t
golobrad	gɔlɔbra˥˩ːt
golt	go˥˩ːʋt
gonoreja	gɔnɔrɛ́ːja
gor	go˩˥ːr
gor	gɔr
gora	go˩˥ːra
gora	kora
gore	gɔre
gorek	go˩˥ːrək
gorek	go˩˥ːrɛk
gorica	gɔritsa
gorica	gɔri˩˥ːtsa
gorivo	gɔri˩˥ːʋɔ
goriška	kɔriʃka
gorišnica	gɔriʃnitsa
gorjansko	gɔrˈjanskɔ
gorovje	gɔrɔu̯jɛ
gorčica	gortʃitsa
gorčica	go˥˩ːrtʃitsa
gos	gos
gos	go˥˩ːs
gosar	gɔsa˩˥ːr
gosenica	gose˥˩ːnitsa
gosenica	gɔse˥˩ːnitsa
goska	gɔska
gospa	gɔspa˩˥ː
gospod	gɔspo˥˩ːt
gospodar	gɔspɔdar
gospodar	gɔspɔda˩˥ːr
gospodarske	gɔspɔdaːrskɛ
gospodarsko	gɔspɔdaːrskɔ
gospodinjski	gɔspɔdinski
gospodična	gɔspɔdi˥˩ːtʃna
gost	go˥˩st
gost	go˥˩ːst
gosti	go˩˥ːsti
gostilna	gɔstiɫna
gostilna	gɔsti˥˩ːlna
gostitelj	gɔsti˥˩ːtɛl
gostišče	gɔstiʃtʃɛ
gotovina	gɔtɔvina
govedina	gɔʋe˥˩ːdina
govedo	gɔʋe˥˩ːdɔ
govno	go˩˥ːʋnɔ
govor	go˥˩ːʋɔr
govorec	gɔʋo˥˩ːrəts
govoriti	gɔʋɔri˥˩ːti
govoriti	gɔʋɔri˩˥ːti
gozd	go˥˩ːst
gozdar	gɔzda˩˥ːr
gozdarstvo	gɔzda˥˩ːrstʋɔ
gozden	go˥˩ːzdən
gozden	go˩˥ːzdən
gozdu	goːzdu
grabim	graːbim
grabiti	graːbiti
grablje	grablʲe
grablje	gra˩˥ːbljɛ
grad	gra˥˩ːt
gradben	graːdbɛn
gradbišče	gratbiʃtʃe
gradec	gra˥˩ːdəts
gradec	grɑdɛts
gradišče	gradiʃtʃe
grah	gra˥˩x
granica	gra˥˩ːnitsa
grant	grand
grapa	gra˩˥ːpa
gravitacija	graʋita˩˥ːtsija
gravitacijski	graʋitatsi˥˩ːjski
grb	gə˥˩rp
grba	gə˩˥rba
grd	gə˥˩rt
grda	gɾda
grdoba	gərdɔba
greben	grɛbe˥˩ːn
grebsti	grɛ̀ːpsti
greg	grɛk
gregor	grɛkɔr
gregorič	gre˩˥ːgɔritʃ
greh	gre˩˥ːx
gremo	grɛmɔ
grenak	grɛna˥˩ːk
grenek	grɛmɛk
grenek	grɛ̀ːnək
grenivka	grɛni˥˩ːʋka
grenlandija	gre˥˩ːnla˥˩ːndija
gres	gɾes
greti	gre˩˥ːti
grešiti	gresçiti
grešiti	grɛʃi˥˩ːti
grešiti	grɛʃi˩˥ːti
grešnik	grɛʃnæk
gripa	gri˩˥ːpa
gristi	gristɪ
gristi	gri˩˥ːsti
griva	gri˩˥ːʋa
griža	gri˥˩ːʒa
grji	gə˥˩rji
grlica	gəɾlitsa
grlica	gə˩˥rlitsa
grlo	gə˩˥rlɔ
grm	gə˥˩rm
grob	gro˥˩p
grobem	grɔbɛm
grof	gro˥˩f
grofica	grɔfi˩˥ːtsa
grofija	grɔfi˥˩ːja
grom	gro˥˩m
grom	grˈɔm
gros	gro˥˩ː
grozdje	gro˩˥ːzdjɛ
grozdje	grɔzdjɛ
groziti	grɔzi˥˩ːti
groziti	grɔzi˩˥ːti
grozljivejši	grɔzlji˩˥ːʋɛjʃi
grozljivka	grɔzlji˥˩ːʋka
grozna	grɔzna
grozno	grɔznɔ
gruden	gru˩˥ːdən
gruzija	gru˥˩ːzija
gruzijski	gru˥˩ːzijski
gruzinski	gruzi˥˩ːnski
grčija	gə˥˩rtʃija
grši	gə˥˩rʃi
grški	gɐrˈʃki
grški	gə˥˩rʃki
grško	gə˥˩rʃkɔ
grščina	gə˥˩rʃtʃina
guba	gu˩˥ːba
gubiti	gubi˥˩ːti
gubiti	gubi˩˥ːti
gumb	gump
gumb	gu˥˩ːmp
gvajana	gʋaja˥˩ːna
gvineja	gʋinɛ́ːja
h	x
h	xɛ
ha	xa˥˩
ha	xa˥˩ː
habakuk	xabaku˥˩ːk
hadron	xadro˥˩ːn
hafnij	xa˩˥ːfnij
haitijski	xai˥˩ːtijski
halucinacija	xalutsina˩˥ːtsija
harfa	xa˥˩ːrfa
harmonika	xarmo˩˥ːnika
hasidizem	xasidi˥˩ːzəm
hašiš	xa˥˩ːʃiʃ
heksagon	xɛksago˥˩ːn
hektoliter	xe˥˩ːktɔli˩˥ːtər
helij	xeli
helij	xe˩˥ːlij
hematologija	xɛmatɔlɔgi˥˩ːja
hemoglobin	xɛmo˥˩glɔbim
heraldika	xɛra˩˥ːldika
herbivor	xɛrbiʋo˥˩ːr
hercegovina	xɛrtsɛgɔʋi˩˥ːna
hermelin	xɛrmɛli˥˩ːn
herodot	xɛro˥˩ːdɔt
heteroseksualnost	xɛtɛrɔsɛksua˥˩ːlnɔst
heziod	xɛzijo˥˩ːt
hidrat	xidra˥˩ːt
hidrolog	xidrɔlo˥˩ːk
hidrologija	xidrɔlɔgi˥˩ːja
hidroplan	xidrɔpla˥˩ːn
hidžra	xi˥˩ːdʒra
higrometer	xigrɔme˥˩ːtɛr
higrometer	xigrɔme˩˥ːtɛr
hijena	xije˥˩ːna
hinavski	xina˥˩ːʋski
hinje	xinˈjɛ
hip	xi˥˩ːp
hipnoza	xipnoza
hipoteza	xipɔtɛzɑ
historičen	xisto˩˥ːritʃən
hiteti	xitete
hitreje	xitrɛ̀ːjɛ
hitrejše	xitrɛ̀ːjʃɛ
hitro	xi˩˥ːtrɔ
hitrost	xitro˥˩ːst
hiša	tʃiʃa
hiša	xi˩˥ːʃa
hišica	tʃiʃitsa
hišico	kʲiʃitsɔ
hiške	ɕiʃkɛ
hišnik	xʲiʃnik
hladen	xla˥˩ːdən
hladilnik	xladi˥˩ːlnik
hladilnik	xlaˈd̪eˈlnik
hladno	xlʲadno
hlače	xla˩˥ːtʃɛ
hleb	xle˥˩ːp
hleb	xlɛ́p
hlev	xle˥˩ːʋ
hlev	xle˩˥ːʋ
hlod	xlˈɔt
hmelj	xme˥˩ːl
hmelj	xmɛ́l
hobotnica	xɔbo˥˩ːtnitsa
hoditi	xɔdi˥˩ːti
hodiš	xɔdiʃ
hodniku	xudnˈiku
holandski	xɔla˥˩ːntski
holm	xo˥˩ːlm
holm	xo˩˥ːlm
holmij	xo˩˥ːlmij
homeopatija	xɔmɛɔpati˥˩ːja
homoseksualec	xɔmɔsɛksua˥˩ːləts
homoseksualen	xɔmɔsɛksua˥˩ːlən
homoseksualnost	xɔmɔsɛksua˥˩ːlnɔst
horvat	xo˥˩ːrʋat
hosta	xo˥˩ːsta
hostnik	xo˥˩ːstnik
hotedršica	xɔtɛ˥ːdarʃitsa
hotel	xɔtɛ̀ːl
hoteti	xɔte˩˥ːti
hočem	ko˥˩ːtʃɛm
hrana	xra˩˥ːna
hrani	xrami
hraniti	xrani˥˩ːti
hraniti	xrani˩˥ːti
hraniti	xra˩˥ːniti
hrano	xraːnɔ
hrastnik	xraːstnik
hrbet	hərbet
hrbet	xərbə˥˩t
hrbet	xə˩˥rbət
hrbtenica	xərptɛni˩˥ːtsa
hrbtišče	xrptiʃtʃe
hren	xrɛ́n
hrepené	xrɛpɛnɪ
hrib	xri˩˥ːp
hriba	xrʲiba
hripav	xri˩˥ːpaʋ
hropsti	xro˩˥ːpsti
hrošč	xro˥˩ʃtʃ
hrošč	xrɔʃtʃ
hrup	xru˥˩ːp
hrup	xup
hrupen	xru˥˩ːpən
hrupen	xru˩˥ːpən
hruška	xru˥˩ːʃka
hruške	xruʂkɛ
hrvaški	xərʋa˥˩ːʃki
hrvaščina	xərʋa˥˩ːʃtʃina
hrček	xə˥˩rtʃək
hud	xu˥˩ːt
hudič	xudi˩˥ːtʃ
huje	xuːjɛ
hujši	xu˥˩ːjʃi
hurija	xu˩˥ːrija
huriska	xuri˥˩ːska
husit	xusi˥˩ːt
hvala	xʋa˩˥ːla
hvaliti	xʋali˥˩ːti
hvaliti	xʋali˩˥ːti
hvaliti	xʋa˩˥ːliti
hvošč	xʋo˥˩ːʃtʃ
hójka	xɔjka
hčer	xtʃtʃɪr
hčerka	xtʂɛrka
hči	xtʃi˥˩ː
i	e
i	i
i	iː
i	i˥˩
i	i˥˩ː
i	i˩˥ː
ideje	ideja
ideologija	idɛɔlɔgi˥˩ːja
idila	idi˥˩ːla
idiom	idiom
idolatrija	idɔlatria
idrija	idria
igla	i˥˩ːgla
iglica	i˥˩ːglitsa
iglokožec	iglɔko˥˩ːʒəts
igo	igo˥˩ː
igra	i˥˩ːgra
igrajmo	igra˥˩imo˥˩ː
igrajo	igrajɔ
igralec	igra˥˩ːləts
igralka	iɣrau̯ka
igralnice	igraˈlnitsɛ
igramo	igrɑːmɔ
igrati	igra˩˥ːti
igrača	igra˩˥ːtʃa
igrišče	igri˩˥ːʃtʃɛ
ihan	ixa˥˩n
ikona	iko˥˩ːna
ilirščina	ilirʃtʃɪna
ilić	iliːtʃ
ima	imˈa
imajo	imajɔ
ime	ime˥˩ː
imeli	imele
imelo	imelo
imen	imem
imenovalnik	imɛnɔʋa˥˩ːlnik
imenovati	imɛnɔʋa˩˥ːti
imenuje	iminuje
imeti	ime˩˥ːti
in	iːn
indij	i˩˥ːndij
indija	i˩˥ːndija
indijec	i˥˩ːndijəts
indijka	i˩˥ːndijka
indijski	i˩˥ːndijski
indonezija	indɔne˩˥ːzija
inflacija	infla˩˥ːtsija
informacij	infɔrmatsi
informatik	infɔrma˩˥ːtik
informatika	informatika
ingver	i˥˩ːngʋɛr
ingver	i˩˥ːngʋɛr
insekt	inse˥˩ːkt
instrumental	instrumɛnta˥˩ːl
instrumental	i˥˩ːnstrumɛntal
instrumentalen	instrumɛnta˥˩ːlən
inteligenca	inteligˈɛntsa
inteligenco	inteligentso
invazija	inʋazi˥˩ːja
inventura	inventura
inštitut	inʃtitu˥˩ːt
inštitut	ˈiʃtitˌut
inženir	ʲinʐɛnʲir
irak	ira˥˩ːk
irec	i˥˩ːrəts
irh	ɪrx
irhovice	irxɔvitsɛ
iridij	iriti
iridij	iri˩˥ːdij
irka	i˥˩ːrka
ironija	irɔni˥˩ːja
irska	i˥˩ːrska
irski	i˥˩ːrski
irsko	i˥˩ːrskɔ
irščina	i˥˩ːrʃtʃina
iskanje	iskanʲe
iskati	iska˩˥ːti
islam	i˥˩ːslam
islandija	isla˩˥ːndija
islandski	isla˥˩ːntski
iste	vistɛ
isti	i˥˩ːsti
istra	i˥˩ːstra
it	pˈit
itak	itˈak
italija	italja
italija	ita˩˥ːlija
italijan	italija˥˩n
italijan	italija˥˩ːn
italijan	italiˈan
italijanka	italija˥˩ːnka
italijanski	italija˥˩ːnski
italijansko	italija˥˩ːnskɔ
italijanščina	italija˥˩ːnʃtʃina
iterbij	itɛ̀ːrbij
iti	it̪
iti	i˥˩ːti
iti	i˩˥ːti
itrij	itri
itrij	i˩˥ːtrij
ivan	i˥˩ːʋan
ivana	ivˈana
iz	is
izberi	isperi
izbira	izbi˥˩ːra
izboljšava	izbɔlʃa˥˩ːʋa
izbrati	izbra˩˥ːti
izdajalec	izdaja˥˩ːləts
izdati	izda˩˥ːti
izginili	isginili
izglagolski	izgla˩˥ːgɔlski
izgledate	izgɫɛˈdate
izgovor	izgɔˈvɔr
izgovoriti	izgɔʋɔri˥˩ːti
izgovoriti	izgɔʋɔri˩˥ːti
izgovorjava	izgɔʋɔrja˥˩ːʋa
izguba	bizguba
izgubiti	izgubi˥˩ːti
izgubiti	izgubi˩˥ːti
izkazati	iskazate
izključiti	isklju˩˥ːtʃiti
izklopiti	isklo˥˩ːpiti
izklopiti	isklo˩˥ːpiti
izklopiti	isklɔpi˥˩ːti
izklopiti	isklɔpi˩˥ːti
izliv	izlʲiu̯
izložba	izlo˥˩ːʒba
izmed	izmæt
izmena	izmɛ́ːna
izmišljal	izmiʃlʲau̯
izmolsti	izmo˩˥ːʋsti
izobraženci	izɔbraʒɛntsj
izola	izola
izpeljanka	ispɛlja˩˥ːnka
izpeljati	ispɛlja˩˥ːti
izpiske	aspiske
izpit	espˈit
izposoditi	ispɔso˩˥ːditi
izposoditi	ispɔsɔdi˥˩ːti
izposoditi	ispɔsɔdi˩˥ːti
