ئا	a
مۇۋەپپەقىيەت	muwɛppɛqijɛt
مۈشكۈل	myʃkyl
مۈشۈك	myʃyk̚
مۈلۈك	mylyk
مۈمكىن	mymkin
مېتان	metɑn
مېترو	metro
مېتود	metod
مېتىر	metir
مېدال	medɑl
مېردىيان	merdijɑn
مېركۇرى	merkuri
مېندېلېيېۋىي	mendelejewij
مېنىنگىت	meningit
مېھراپ	mehrɑp
مېھمان	mehmɑn
مېھنەت	mehnɛt
مېۋە	mewɛ
مەبلەغ	mɛblɛʁ
مەتبە	mɛtbɛ
مەجبۇر	mɛdʒbur
مەجلىس	mɛdʒlis
مەجنۇن	mɛdʒnun
مەجھۇل	mɛdʒhul
مەخلۇق	mɛχluq
مەدەت	mɛdɛt
مەدەن	mɛdɛn
مەدەنىي	mɛdɛnij
مەرت	mɛrt
مەرتىۋە	mɛrtiwɛ
مەركەز	mɛrkɛz
مەرمەر	mɛrmɛr
مەرھۇم	mɛrhum
مەرھەمەت	mɛrhɛmɛt
مەزلۇم	mɛzlum
مەزھەپ	mɛzhɛp
مەسئۇل	mɛsʔul
مەسخىرە	mɛsχirɛ
مەسلىھەت	mɛslihɛt
مەسلەك	mɛslɛk
مەسۇم	mɛsum
مەشغۇل	mɛʃʁul
مەشھۇر	mɛʃhur
مەغرۇر	mɛʁrur
مەغلۇپ	mɛʁlup
مەقئەت	mɛqʔɛt
مەقبۇل	mɛqbul
مەقسەت	mɛqsɛt
مەكتۇپ	mɛktup
مەكتەپ	mɛktɛp
مەمنۇن	mɛmnun
مەمۇر	mɛmur
مەن	mæn
مەنتىق	mɛntiq
مەنزىرە	mɛnzirɛ
مەنزىل	mɛnzil
مەنسۇپ	mɛnsup
مەنپىي	mɛnpij
مەنپەئەت	mɛnpɛʔɛt
مەيدان	mɛjdɑn
مەيىل	mɛjil
مەيۈس	mɛjys
مەھبۇس	mɛhbus
مەھرۇم	mɛhrum
مەھسۇل	mɛhsul
مەھكىمە	mɛhkimɛ
مەھكۇم	mɛhkum
مەھەممەت	mæmæt̚
مەھەممەت	mɛmɛt̚
مەۋسۈم	mɛwsym
مەۋھۈم	mɛwhym
ن	n
ن	ne
نائىل	nɑʔil
نائىلاج	nɑʔilɑdʒ
نائىنساپ	nɑʔinsɑp
نائىپ	nɑʔip
نائۇستا	nɑʔustɑ
نائۈمىت	nɑʔymit
ناترىي	nɑtrij
ناتسىست	nɑtsist
ناتوغرا	nɑtoʁrɑ
نادامەت	nɑdɑmɛt
نادان	nɑdɑn
نادىر	nɑdir
ناز	nɑz
نازارەت	nɑzɑrɛt
نازاكەت	nɑzɑkɛt
نازىم	nɑzim
نالايىق	nɑlɑjiq
نام	nɑm
ناماز	nɑmɑz
ناماقۇل	nɑmɑqul
نامايىش	nɑmɑjiʃ
نامزات	nɑmzɑt
نامۇس	nɑmus
نامە	nɑmɛ
نامەرت	nɑmɛrt
نامەلۇم	nɑmɛlum
نان	nɑn
نانكور	nɑnkor
ناپاك	nɑpɑk
ناھىيە	nɑhijɛ
نوبېلىي	nobelij
نورمال	normɑl
نوغاي	noʁɑj
نومۇر	nomur
نومۇس	nomus
نويابر	nojɑbr
نوپۇز	nopuz
نوپۇس	nopus
نىجات	nidʒɑt
نىجىس	nidʒis
نىزام	nizɑm
نىسبەت	nisbɛt
نىسپىي	nispij
نىشان	niʃɑn
نىكا	nikɑ
نىكېل	nikel
نىلۇپەر	nilupɛr
نىوبىي	niobij
نىيەت	nijɛt
نىگار	nigɑr
نۆشۈدۈر	nøʃydyr
نۆل	nøl
نۆل	nœl
نۆلىنچى	nølintʃi
نۆلىنچى	nœlintʃi
نۆۋەت	nøwɛt
نۇتۇق	nutuq
نۇر	nur
نۇرانى	nurɑni
نۇسخە	nusχɛ
نۇسرەت	nusrɛt
نۇقسان	nuqsɑn
نېرۋا	nerwɑ
نېسىپ	nesip
نېفىت	nefit
نېمە	nemɛ
نېودىم	neodim
نېون	neon
نېيترون	nejtron
نېپتۇنىي	neptunij
نەبى	nɛbi
نەتىجە	nɛtidʒɛ
نەرە	nɛrɛ
نەزەر	nɛzɛr
نەسىر	nɛsir
نەسىل	nɛsil
نەسىھەت	nɛsihɛt
نەشتەر	nɛʃtɛr
نەشر	nɛʃr
نەغمە	nɛʁmɛ
نەقلىيات	nɛqlijɑt
نەقىش	nɛqiʃ
نەقىل	nɛqil
نەمۇنە	nɛmunɛ
نەي	nɛj
نەپرەت	nɛprɛt
نەپس	nɛps
نەپىس	nɛpis
نەپەس	nɛpɛs
نەپەقە	nɛpɛqɛ
نەۋ	nɛw
ى	i
ى	ɪ
ى	ɯ
ي	j
ي	je
يات	jɑt
ياخشى	jɑχʃi
ياخشىمۇسىز	jɑχʃimusiz
ياخشىمۇسىلەر	jakʰʃimusilær
ياخشىمۇسىلەر	jakʰʃimusilɛr
ياخشىمۇسىلەر	jɑxʃimusilær
ياخشىمۇسىلەر	jɑxʃimusilɛr
ياد	jɑd
يادىكار	jɑdikɑr
يار	jɑr
يارا	jɑrɑ
ياستۇق	jɑstuq
ياسىن	jɑsin
ياغ	jɑʁ
ياغاچ	jɑʁɑtʃ
ياق	jɑq
ياقا	jɑqɑ
ياقماق	jɑqmɑq
ياقۇت	jɑqut
ياكور	jɑkor
يالاڭ	jɑlɑŋ
يالاڭئاياق	jɑlɑŋʔɑjɑq
يالغان	jɑlʁɑn
يالپۇز	jɑlpuz
يالۋۇرماق	jɑlwurmɑq
يامغۇر	jɑmʁur
يانغىن	jɑnʁin
يانفون	jɑŋpon
يانماق	jɑnmɑq
يانۋار	jɑnwɑr
ياپونىيە	jɑponijɛ
ياڭاق	jɑŋɑq
ياڭيۇ	jɑŋju
ياگاو	jɑgɑo
ياۋروپا	jɑwropɑ
ياۋۇز	jɑwuz
يوتقان	jotqɑn
يود	jod
يورۇقلۇق	joruqluq
يوغان	joʁɑn
يوق	joq
يول	jol
يولداش	joldɑʃ
يولۋاس	jolwɑs
يوپىتېر	jopiter
يوپۇرماق	jopurmɑq
يىتىم	jitim
يىراقلىق	jirɑqliq
يىرتماق	jirtmɑq
يىرىڭ	jiriŋ
يىل	jil
يىلان	jilɑn
يىلىك	jilik
يىپ	jip
يىپەك	jipɛk
يىڭنە	jiŋnɛ
يىگىت	jigit
يىگىرمە	jigirmæ
يىگىرمە	jigirmɛ
يۇتقۇنچاق	jutquntʃɑq
يۇتماق	jutmɑq
يۇرت	jurt
يۇغۇرماق	juʁurmɑq
يۇققا	juqqɑ
يۇقۇرى	juquri
يۇلتۇز	jultuz
يۇلماق	julmɑq
يۇماق	jumɑq
يۇمماق	jummɑq
يۇمۇق	jumuq
يۇپقا	jupqɑ
يۇڭ	juŋ
يۇۋاش	juwɑʃ
يۈتمەك	jytmɛk
يۈرەكلىك	jyrɛklik
يۈز	jyz
يۈسۈپ	jysyp
يۈگەن	jygɛn
يېتەرسىز	jetɛrsiz
يېتەرلىك	jetɛrlik
يېشىل	jeʃil
يېقىلغۇ	jeqilʁu
يېنىك	jenik
يېپىشقاق	jepiʃqɑq
يېپىشماق	jepiʃmɑq
يېڭىلىق	jeŋiliq
يېۋروپىي	jewropij
يەتتىنچى	jɛttintʃi
يەتتە	jættæ
يەتتە	jæt̚tæ
يەتتە	jɛttɛ
يەتتە	jɛt̚tɛ
يەتمىش	jɛtmiʃ
يەريۈزى	jɛrjyzi
يەكشەنبە	jækʃæmbæ
يەكشەنبە	jæxʃæmbæ
يەكشەنبە	jɛkʃɛmbɛ
يەكشەنبە	jɛxʃɛmbɛ
يەكۈن	jɛkyn
يەل	jɛl
يەلكەن	jɛlkɛn
يەم	jɛm
يەنى	jɛni
يەڭ	jɛŋ
يەڭگىل	jɛŋgil
يەھۇدى	jɛhudi
پ	p
پ	pe
پاراخوت	pɑrɑχot
پارازىت	pɑrɑzit
پاراشوت	pɑrɑʃot
پاراشوك	pɑrɑʃok
پاراكەندە	pɑrɑkɛndɛ
پاراگىراپ	pɑrɑgirɑp
پاراۋوز	pɑrɑwoz
پاسپورت	pɑsport
پاقا	pɑqɑ
پاكىت	pɑkit
پال	pɑl
پايتەخت	pɑjtɛχt
پايدا	pɑjdɑ
پاھىشە	pɑhiʃɛ
پروفېسسور	propessor
پوق	poq
پولات	polɑt
پولشا	polʃɑ
پويىز	pojiz
پىت	pit
پىشلاق	piʃlɑq
پىيادە	pijɑdɛ
پۇت	put
پۇرسەت	pursɛt
پۇرچاق	purtʃɑq
پېقىر	peqir
پەردە	pɛrdɛ
پەرۋانە	pɛrwɑnɛ
پەلتو	pɛlto
پەلسەپە	pɛlsɛpɛ
پەن	pɛn
پەنجاب	pɛndʒɑb
پەيشەنبە	pæjʃænbæ
پەيشەنبە	pɛjʃɛnbɛ
پەيغەمبەر	pɛjʁɛmbɛr
چ	tʃ
چ	tʃe
چارشەنبە	tʃarʃænbæ
چارشەنبە	tʃarʃɛnbɛ
چارشەنبە	tʃɑrʃænbæ
چارشەنبە	tʃɑrʃɛnbɛ
چارەك	tʃɑrɛk
چاشكا	tʃɑʃkɑ
چاي	tʃɑj
چايان	tʃɑjɑn
چاچ	tʃɑtʃ
چوكا	tʃokɑ
چولاق	tʃolɑq
چىراق	tʃirɑq
چىش	tʃiʃ
چىكەتكە	tʃikɛtkɛ
چىمەن	tʃimɛn
چىۋىن	tʃiwin
چېركاۋ	tʃerkɑw
چېچەك	tʃetʃæk̚
چېچەك	tʃetʃɛk̚
ژ	ʒ
ژ	ʒe
ژارگون	ʒɑrgon
ژاندارما	ʒɑndɑrmɑ
ژانىر	ʒɑnir
ژۇرنال	ʒurnɑl
ژېڭۋېي	ʒeŋwej
ڭ	ŋ
ڭ	ŋe
گ	g
گ	ge
گاباردىن	gɑbɑrdin
گادولىنىي	gɑdolinij
گاز	gɑz
گافنىي	gɑfnij
گاللىي	gɑllij
گاڭبى	gɑŋbi
گاڭپەن	gɑŋpɛn
گاھ	gɑh
گرېتسىيە	gretsijɛ
گوللاندىيە	gollɑndijɛ
گولمىي	golmij
گويا	gojɑ
گىتار	gitɑr
گىرانات	girɑnɑt
گىرانىت	girɑnit
گىرداپ	girdɑp
گىرىپ	girip
گىياھ	gijɑh
گۆش	gøʃ
گۆھەر	gøhɛr
گۇنا	gunɑ
گۇناھ	gunɑh
گۈشە	gyʃɛ
گۈل	gyl
گۈلباغ	gylbɑʁ
گۈلباھار	gylbɑhɑr
گۈلخانا	gylχɑnɑ
گۈللەر	gyllær
گۈللەر	gyllæː
گۈللەر	gyllɛr
گۈلىستان	gylistɑn
گۈڭگۈرت	gyŋgyrt
گېرمانىي	germɑnij
گېزىت	gezit
گېكتار	gektɑr
گېلىي	gelij
گەدەن	gɛdɛn
ھ	h
ھ	he
ھارارەت	hɑrɑrɛt
ھازىر	ɦɑzɪr
ھازىرقى	ɦɑzɪrqɨ
ھالۋا	hɑlwɑ
ھايا	hɑjɑ
ھايات	hɑjɑt
ھاۋا	hɑwɑ
ھاۋز	hɑwz
ھىكايە	hikɑjɛ
ھۆرمەت	hørmɛt
ھۆكۈم	høkym
ھۇجۇم	hudʒum
ھېكايە	hikɑjæ
ھەئە	hɛʔɛ
ھەجىم	hɛdʒim
ھەدىيە	hɛdijɛ
ھەسەل	hɛsɛl
ھەممە	hɛmmɛ
ھەيكەل	hæjkæl
ھەپتە	hæptæ
ھەپتە	hæp̚tæ
ھەپتە	hɛptɛ
ھەپتە	hɛp̚tɛ
ھەپتە	ɦæptæ
ھەپتە	ɦæp̚tæ
ھەپتە	ɦɛptɛ
ھەپتە	ɦɛp̚tɛ
ۆ	ø
ۇ	u
ۈ	y
ۋ	v
ۋ	ve
ۋائىز	wɑʔiz
ۋابا	wɑbɑ
ۋادى	wɑdi
ۋاراق	wɑrɑq
ۋارىس	wɑris
ۋاز	wɑz
ۋاكسىنا	wɑksinɑ
ۋاپا	wɑpɑ
ۋاھە	wɑhɛ
ۋىرۇس	wirus
ۋۇجۇت	wudʒut
ۋېلسىپىت	welsipit
ۋېلىنېمەت	welinemɛt
ۋە	wɛ
ۋەتەن	wɛtɛn
ۋەدە	wɛdɛ
ۋەز	wɛz
ۋەزىپە	wɛzipɛ
ۋەسىقە	wɛsiqɛ
ۋەسىيەت	wɛsijɛt
ۋەسۋەسە	wɛswɛsɛ
ۋەلسىپىت	wɛlsipit
ۋەلىئەھد	wɛliʔɛhd
ۋەھشەت	wɛhʃɛt
ئابلىز	ʔɑbliz
ئاپئاق	ʔɑpʔaq
ئاپا	ʔapa
ئاپام	ʔɑpɑm
ئاپتاپ	ʔaptɑp
ئاپتور	ʔɑptor
ئاپەت	ʔɑpɛt
ئاپەتمۇ	ʔɑpɛtmu
ئاپەتنى	ʔɑpɛtni
ئات	ɑt
ئاتا	ʔɑtɑ
ئاتاپ	ʔɑtɑp
ئاتالمىش	ʔɑtɑlmɪʃ
ئاتمىش	ɑtmiʃ
ئاتنى	ʔɑtni
ئاتوم	ʔɑtom
ئاتوملار	ʔɑtomlar
ئاتىغا	ʔɑtiʁɑ
ئاجايىپ	ʔɑdʒɑjip
ئاجىز	ʔɑdʒiz
ئاچ	ʔɑtʃ
ئاچام	ʔɑtʃɑm
ئاخۇنۇم	ʔɑχunum
ئادا	ʔɑdɑ
ئادالاپ	ʔɑdɑlɑp
ئادەت	ʔɑdɛt
ئادەم	ɑdæm
ئادەمدۇر	ʔɑdɛmdur
ئادەملەر	ʔɑdɛmlɛr
ئادەممۇ	ʔɑdɛmmu
ئادىل	ʔɑdil
ئادىمى	ʔɑdimi
ئارا	ʔɑra
ئارال	ʔɑrɑl
ئارام	ʔɑrɑm
ئارتۇق	ʔɑrtuq
ئارزۇ	ʔɑrzu
ئارقا	ʔɑrqɑ
ئارمان	ʔɑrmɑn
ئارىسى	ʔɑrisɪ
ئارىسىدا	ʔɑrisidɑ
ئارىسىدىن	ʔarisidin
ئاز	ʔɑz
ئاز؛	ʔɑz
ئازادە	ʔɑzɑdɑ
ئازار	ʔɑzɑr
ئازراق	ʔazrɑq
ئازگال	ʔɑzgɑl
ئازلاپ	ʔɑzlɑp
ئازوت	ʔɑzot
ئاساس	ʔɑsɑs
ئاساسەن	ʔɑsɑsɛm
ئاسان	ʔɑsɑn
ئاستا	ʔɑstɑ
ئاستى	ʔɑsti
ئاستىلاپ	ʔɑstilɑp
ئاسمان	ɑsmɑn
ئاسماندىن	ʔɑsmɑndɨm
ئاسمىنى	ʔɑsmini
ئاسىيا	ʔɑsijɑ
ئاش	ʔɑʃ
ئاشار	ʔaʃɑr
ئاشپەز	ʔɑʃpɛz
ئاشپەزگە	ʔɑʃpɛzgɛ
ئاشپەزنىڭ	ʔɑʃpɛznɪŋ
ئاشتا	ʔaʃtɑ
ئاشقا	ʔɑʃqɑ
ئاشقان	ʔɑʃqɑn
ئاشۇ	ʔɑʃu
ئاشىدۇ	ʔɑʃidu
ئاق	ɑq
ئاققان	su
ئاقلاش	jɛni
ئاڭلاپ	ʔɑŋlɑp
ئاڭلىنىدۇ	ʔaŋlinɨdu
ئال	ʔɑl
ئالا	ʔɑlɑ
ئالار	ʔalar
ئالارمىش	ʔɑlɑrmiʃ
ئالالماي	ʔɑlɑlmɑj
ئالامەت	ʔɑlɑmɛt
ئالاي	ʔalɑj
ئالايلى	ʔɑlɑjli
ئالتاي	ʔɑltɑj
ئالتە	altæ
ئالتە	altɛ
ئالتە	ɑltɛ
ئالچاڭلاپ	ʔɑltʃɑŋlɑp
ئالداپ	ʔɑldɑp
ئالدام	ʔɑldɑm
ئالدايدۇ	ʔɑldajdu
ئالدىراش	ʔɑldirɑʃ
ئالدىغا	kɛldi
ئالدىم	qɑp
ئالدىم	ʔɑldɨm
ئالدىمىزدا	ʔɑldɨmizdɑ
ئالساڭ	ʔɑlsɑŋ
ئالسام	ʔɑlsam
ئالسۇن	ʔɑlsun
ئالسىلا	ʔɑlsɨlɑ
ئالغىلى	ʔalʁɪlɪ
ئاللا	ʔɑllɑ
ئالما	ɑlmɑ
ئالماق	ʔɑlmɑq
ئالماي	ʔɑlmɑj
ئالەم	ʔɑlɛm
ئالىم	ʔɑlim
ئالىملارنىڭ	ʔalimlɑrniŋ
ئامال	ʔɑmɑl
ئامالسىز	ʔɑmɑlsɪz
ئامان	qɑldi
ئامراق	ʔɑmrɑq
ئامەت	ʔɑmɛt
ئامىل	ʔɑmil
ئامىللىرىنىڭ	biri
ئامىلى	ʔɑmili
ئان	ʔɑn
ئانا	ɑnɑ
ئانار	ʔɑnɑr
ئانارلار	ʔɑnɑrlɑr
ئانام	qɑldi
ئانام	sɨz
ئانام	ʔanɑm
ئاندىن	ʔandɪm
ئانىلار	ʔɑnilɑr
ئاھالە	ʔɑhɑlɛ
ئاھالىنى	ʔɑhɑlini
ئاۋات	ʔɑwɑt
ئاۋاز	ʔɑwɑz
ئاۋازى	kɛldi
ئاۋايلاپ	ʔɑvɑjlɑp
ئاي	ʔɑj
ئاياق	ʔɑjɑq
ئاياللار	ʔɑjallɑr
ئايالمۇ	ʔɑjɑlmu
ئايالى	ʔɑjali
ئايلار	ʔɑjlɑr
ئايلىق	ʔɑjliq
ئەبۇ	ʔebu
ئەپ	ʔɛp
ئەپلەپ	ʔɛplɛp
ئەپلىك	ʔɛplik
ئەپەندى	ʔɛpɛndi
ئەپەندىم	bu
ئەت	ʔɛt
ئەتەي	bir
ئەجەل	ʔɛdʒɛl
ئەجىر	ʔɛdʒir
ئەخلەت	bu
ئەخلەت	ʔɛxlɑt
ئەر	ʔɛr
ئەرزىگەن	ʔɛrzigɛn
ئەرلا	ʔɛrlɑ
ئەرنى	ʔɛrni
ئەزا	ʔɛzɑ
ئەزمە	ʔɛzmɛ
ئەزىز	ʔɛziz
ئەسلا	ʔɛslɑ
ئەسلەپ	ʔɑslɛp
ئەسلەش	ʔɛslɛʃ
ئەسلەيمەن	ʔɛslɛjmɛn
ئەسلى	ʔɑslɪ
ئەسلىمە	ʔɛslimɛ
ئەسنادا	ʔɛsnɑdɑ
ئەسنەپ	ʔɛsnɛp
ئەسەر	ʔɛsɛr
ئەسەرگە	ʔɛsɛrgɛ
ئەسۋاپ	ʔɛswɑp
ئەسىر	ʔɛsir
ئەقىل	ʔɛqil
ئەكسىنى	ʔɛksini
ئەڭ	muhim
ئەڭ	tʃoŋ
ئەڭ	ʔɛŋ
ئەگەر	ɛgɛr
ئەلا	ʔɛlɑ
ئەلنىڭ	ʔɛlniŋ
ئەلەم	ʔɛlɛm
ئەلى	ʔɛli
ئەمدى	ʔɛmdɪ
ئەمگەك	ʔɛmgɛk
ئەمەك	bolup
ئەمەل	ʔɛmɑl
ئەمەلنىڭ	ʔɛmɛlniŋ
ئەمىلى	bɑr
ئەنسىرەپ	bir
ئەنسىرىگەن	ʔɛnsirigɛm
ئەھلىنىڭ	bu
ئەھۋالنى	ʔɛhwɑlni
ئەۋلىيا	tɛp
ئو	o
ئوت	ʔot
ئوتلاپ	ʔotlɑp
ئوتۇن	ʔotun
ئوچاق	ʔotʃɑq
ئوچۇقچىلىق	bɑr
ئوچۇملاپ	ʔotʃumlɑp
ئوخشاش	ʔoχʃaʃ
ئورنى	ʔɔrni
ئورنىدىن	turup
ئوسال	ʔosal
ئوغلاق	ʔoʁlɑq
ئوغلى	ʔoʁli
ئوغۇت	ʔoʁut
ئوغۇل	bɑlɑ
ئوغۇل	oʁul
ئوغۇلنى	ʔoʁulni
ئوق	ʔoq
ئوقۇتقۇچىسى	ɑnɑ
ئوقۇتۇپ	ʔoqutup
ئوقۇتىدىغاندۇ	tɛp
ئوقۇر	ʔoqur
ئوڭ	bolur
ئوڭ	ʔɔŋ
ئوم	ʔom
ئوماق	ʔomɑq
ئومۇم	ʔomum
ئون	on
ئون	ɔn
ئوي	ʔoj
ئويدا	ʔojda
ئويلاپ	ʔojlɑp
ئويلايدۇ	ʔojlajdu
ئويلايمەن	ʔojlajmɛn
ئويلىمايدۇ	ʔojlimajdu
ئويۇپ	ʔojup
ئويۇن	ʔojun
ئۆپكە	ʔøpkɛ
ئۆت	ʔøt
ئۆتكەنتىم	ʔøtkɛntim
ئۆتكۈزمەيلى	ʔøtkyzmɛjli
ئۆتمە	ʔøtmɛ
ئۆتمەي	ʔøtmɛj
ئۆتمۈشكە	bɛk
ئۆتە	ʔøtɛ
ئۆتەر	ʔøtɛr
ئۆتەي	ʔøtɛj
ئۆتۈپ	ʔøtyp
ئۆتۈش	ʔøtyʃ
ئۆتۈكۈمنىڭ	ʔøtykymniŋ
ئۆتى	ʔøti
ئۆچ	ʔøtʃ
ئۆچكە	ʔøtʃkɛ
ئۆرلەپ	ʔørlɛp
ئۆرنەك	boluʃtur
ئۆرە	turmɑjdu
ئۆرە	ʔørɛ
ئۆرۈپ	tɑʃlɑp
ئۆز	ʔøz
ئۆزرە	ʔøzrɛ
ئۆزگە	ʔøzgɛ
ئۆزگەرتمەڭ	søz
ئۆزگەرتىش	ʔøzgɛrtiʃ
ئۆزگەرمەس	ʔøzgɛrmɛs
ئۆزگىچە	ʔøzgitʃɑ
ئۆزۈم	ʔøzym
ئۆزۈممۇ	bir
ئۆزىدە	ʔøzidɛ
ئۆزىگە	ʔøzigɛ
ئۆزىمىزدىن	ʔøzimizdim
ئۆزىنى	ʔizdɛp
ئۆزىنى	ʔøzɪnɪ
ئۆستەڭ	østɛŋ
ئۆسكەن	ʔøskɛn
ئۆسكەندە	ʔøskɛndɛ
ئۆسمە	ʔøsmɛ
ئۆسۈپ	ʔøsip
ئۆسۈك	ʔøsyk
ئۆسۈم	ʔøsim
ئۆسىدۇ	ʔøsidu
ئۆكۈزلەر	ʔøkizlɛr
ئۆگزىنىڭ	bir
ئۆگەن	ʔøgɛm
ئۆگەندىم	ʔøgændim
ئۆگەي	ʔøgɛj
ئۆگۈن	ʔøgyn
ئۆل	ʔøl
ئۆلچەشتە	ʔøltʃɛʃtɛ
ئۆلچىمىدىن	ʔøltʃimidin
ئۆلدۈم	ʔøldim
ئۆلدى	ʔøldi
ئۆلگەن	ʔølgɛn
ئۆلمىدىم	ʔølmidim
ئۆلۈپ	ʔølyp
ئۆم	ʔøm
ئۆمرۈم	ʔømrim
ئۆمرى	ʔømri
ئۆمەر	ʔømɛr
ئۆمۈچۈك	ʔømytʃyk
ئۆمۈر	køriʃnɪŋ
ئۆي	jɑsɑp
ئۆي	øj
ئۆيدە	ʔøjdæ
ئۆيدىن	ʔøjtin
ئۆيمۇ	ʔøjmu
ئۆيى	ʔøji
ئۇ	u
ئۇچار	ʔutʃɑr
ئۇچالماس	ʔutʃɑlmas
ئۇچالماي	qɑldi
ئۇچراشقان	jipɛk
ئۇچقۇن	ʔutʃqun
ئۇران	ʔurɑn
ئۇراي	ʔurɑj
ئۇرغۇپ	ʔurʁup
ئۇرۇش	ʔuruʃ
ئۇرۇنغان	ʔurunʁɑn
ئۇز	ʔuz
ئۇزاق	ʔuzɑq
ئۇزۇن	bolup
ئۇزۇن	ʔuzun
ئۇزۇندا	ʔuzumdɑ
ئۇستا	ʔustɑ
ئۇسقاندا	ʔusqɑndɑ
ئۇسۇپ	ʔusup
ئۇسۇل	ʔusul
ئۇسۇللار	bilɛn
ئۇسۇلى	ʔusulɪ
ئۇسۇلىمىز	turmuʃ
ئۇل	ʔul
ئۇلار	ulɑr
ئۇلارچە	ʔulɑrtʃe
ئۇلارمۇ	ʔulɑrmu
ئۇلارنى	ʔulɑrni
ئۇلارنىڭ	bir
ئۇلاش	ʔulɑʃ
ئۇمۇ	ʔumu
ئۇنى	bir
ئۇنى	uni
ئۇنىڭ	bilɛn
ئۇنىڭ	ʔuniŋ
ئۇنىڭغا	bu
ئۇياقتا	tursun
ئۇيالماس	ʔujɑlmɑs
ئۇيغۇر	ʔujʁur
ئۇيغۇرنىڭ	bɑʃ
ئۈجمە	ʔydʒmɛ
ئۈچ	ʔytʃ
ئۈچۈن	jumulsa
ئۈچۈن	ʔytʃin
ئۈچىمىز	ʔytʃimiz
ئۈزمە	ʔyzmɛ
ئۈزمەي	ʔyzmɛj
ئۈزۈش	ʔyzyʃ
ئۈزۈك	ʔyzyk
ئۈزۈلمەي	ʔyzilmɛj
ئۈزۈم	ʔyzym
ئۈستىدە	ʔystidɛ
ئۈندەك	ʔyŋdɛk
ئۈنسىز	ʔynsɪz
ئۈنلۈك	ʔynlyk
ئى	i
ئىبارەت	ʔibarɛt
ئىپادىلەشنى	tɛlɛp
ئىت	it
ئىتلار	ʔitlar
ئىتمىكىن	ʔitmikin
ئىتنىڭ	ʔɪtnɪŋ
ئىجرا	ʔidʒra
ئىچ	ʔitʃ
ئىچكى	ʔitʃkɨ
ئىچمەك	ʔitʃmɛk
ئىچىپ	ʔitʃip
ئىچىدە	ʔitʃɨdɛ
ئىچىگە	ʔitʃigɛ
ئىچىمگە	ʔitʃimgɛ
ئىچىۋالدىم	ʔitʃiwaldim
ئىدراك	ʔidrɑk
ئىدى	ʔiti
ئىدىكى	ʔɪdikɪ
ئىرادە	ʔirɑdɛ
ئىراق	ʔirɑq
ئىز	ʔiz
ئىزاھاتمۇ	ʔizɑhɑtmu
ئىزدەپ	ʔizdɛp
ئىزدەش	ʔizdeʃ
ئىس	ʔis
ئىسپات	bilɛn
ئىسلاپ	ʔislɑp
ئىسلام	ʔislɑm
ئىسىم	ʔisim
ئىسيان	ʔisjɑn
ئىش	iʃ
ئىشتا	ʔiʃtɑ
ئىشتۇر	ʔiʃtur
ئىشتىن	ʔɪʃtɨn
ئىشقا	ʔiʃqɑ
ئىشلار	ʔiʃlɑr
ئىشلارمۇ	ʔiʃlɑrmu
ئىشلارنى	ʔiʃlɑrmi
ئىشلە	ʔiʃlɛ
ئىشلەپ	ʔɪʃlɛp
ئىشلەش	ʔɪʃlɛʃ
ئىشلىرى	bilɛn
ئىشلىرىنىڭ	ʔiʃlirinɨŋ
ئىشلىسەك	ʔiʃlisɛk
ئىشلىمەس	ʔiʃlimes
ئىشەن	ʔɨʃɛn
ئىشى	ʔiʃi
ئىشىغا	ʔiʃiʁɑ
ئىشىم	ʔiʃim
ئىشىنى	ʔiʃinɪ
ئىقتىدارلىق	ʔɑlim
ئىككى	ikːi
ئىگە	bir
ئىگە	ʔigɛ
ئىگىلىك	ʔigilɪk
ئىل	ʔil
ئىلاجى	ʔilɑdʒɪ
ئىلاھ	ʔilɑh
ئىلدام	ʔildam
ئىللىپ	ʔillip
ئىلھام	ʔilhɑm
ئىلھامى	ʔilhɑmi
ئىلى	ʔili
ئىلىك	ʔilik
ئىلىم	bilɛn
ئىلىم	ʔilim
ئىمزا	ʔimza
ئىنساپنى	ʔinsapni
ئىنسان	ʔinsɑn
ئىنسانلارنى	bir
ئېپىدە	jɛr
ئېتىدىن	ʔitidin
ئېتىزلار	ʔetizlɑr
ئېچىپ	ʔetʃip
ئېچىش	ʔetʃiʃ
ئېچىلار	ʔetʃilɑr
ئېچىنىشلىق	bir
ئېسىپ	ʔesip
ئېسىلىپ	ʔisilip
ئېشەك	ʔiʃɛk
ئېشى	ʔeʃi
ئېشىپ	ʔeʃip
ئېشىم	ʔeʃim
ئېكران	ʔekrɑn
ئېگىز	ʔegiz
ئېگىل	ʔegil
ئېلان	ʔelɑn
ئېلىپ	ʔelip
ئېلىش	ʔilɨʃ
ب	be
باتۇر	bɑtur
باتىل	bɑtɪl
باچكا	batʃkɑ
بادام	bɑdɑm
بار	bɑr
بار؛	bɑr
بار	iʃ
بار	sɛn
بارا	bɑra
باراي	barɑj
بار-دە	bɑrdɛ
باردۇ	bɑrdu
باردۇق	bɑrduq
باردى	bɑrdi
باردىم	bɑrdim
بارسا	bɑrsɑ
بارسام	bɑrsam
باركى	bɑrki
بارلار	bɑrlɑr
بارلارنى	bɑrlɑrni
بارلىق	bɑrliq
بارما	bɑrmɑ
بارماق	bɑrmɑq
بارماي	bɑrmɑj
