!sil	sˈil
'c'que	skə
attaqua	atakˈa
attaquable	atakˈabl
attaquaient	atakˈɛt
attaquait	atakˈɛt
attaquant	atakˈɑ̃
attaque	atˈak
attaquent	atˈakt
attaquent-ils	atˈaktilz
attaquer	atakˈe
attaquera	atakʁˈa
attaqueraient	atakʁˈɛt
attaqueraient-ils	atakʁˈɛtilz
attaquerait	atakʁˈɛt
attaquerons	atakʁˈɔ̃z
attaqueront	atakʁˈɔ̃t
attaques	atˈakz
attaquez	atakˈez
attaquez-moi	atakˈemwˌa
attaquons	atakˈɔ̃z
attaquons-le	atakˈɔ̃lə-
attaquâmes	atakˈaːmz
attaqué	atakˈe
attaquée	atakˈe
attaquées	atakˈez
attaqués	atakˈez
attard	atˈaʁ
attardez	ataʁdˈez
attardé	ataʁdˈe
attardées	ataʁdˈez
attardés	ataʁdˈez
atteignaient	atɛɲˈɛt
atteignait	atɛɲˈɛt
atteignant	atɛɲˈɑ̃
atteigne	atˈɛɲ
atteignent	atˈɛɲt
atteignez-vous	atɛɲˈevuz
atteignions	atɛɲjˈɔ̃z
atteignirent	atɛɲˈiʁt
atteignit	atɛɲˈi
atteignons	atɛɲˈɔ̃z
atteignîmes	atɛɲˈimz
atteignît	atɛɲˈi
atteindra	atɛ̃dʁˈa
atteindrait	atɛ̃dʁˈɛt
atteindre	atˈɛ̃dʁ
atteindront	atɛ̃dʁˈɔ̃t
atteint	atˈɛ̃
atteinte	atˈɛ̃t
atteintes	atˈɛ̃tz
atteints	atˈɛ̃z
attela	atlˈa
attelable	atlˈabl
attelage	atlˈaʒ
attelages	atlˈaʒz
attelait	atlˈɛt
attelant	atlˈɑ̃
atteler	atlˈe
attelle	atˈɛl
attellera	atɛlʁˈa
attelles	atˈɛlz
attellée	atɛlˈe
attelât	atlˈaː
attelé	atlˈe
attelée	atlˈe
attelées	atlˈez
attelés	atlˈez
atten	atˈɛn
attenait	atnˈɛt
attenant	atnˈɑ̃
attend	atˈɑ̃t
attend-elle	atˈɑ̃tɛl
attend-il	atˈɑ̃til
attendaient	atɑ̃dˈɛt
attendais	atɑ̃dˈɛz
attendait	atɑ̃dˈɛt
attendait-il	atɑ̃dˈɛtil
attendant	atɑ̃dˈɑ̃
attende	atˈɑ̃d
attendent	atˈɑ̃dt
attendes	atˈɑ̃dz
attendez	atɑ̃dˈez
attendez-donc	atɑ̃dˈedˈɔ̃k
attendez-moi	atɑ̃dˈemwˌa
attendiez	atɑ̃djˈez
attendions	atɑ̃djˈɔ̃z
attendirent	atɑ̃dˈiʁt
attendit	atɑ̃dˈi
attendons	atɑ̃dˈɔ̃z
attendons-y	atɑ̃dˈɔ̃zi
attendra	atɑ̃dʁˈa
attendrai	atɑ̃dʁˈe
attendrai-je	atɑ̃dʁˈeʒ
attendraient	atɑ̃dʁˈɛt
attendrais	atɑ̃dʁˈɛz
attendrait	atɑ̃dʁˈɛt
attendrait-il	atɑ̃dʁˈɛtil
attendras	atɑ̃dʁˈaz
attendre	atˈɑ̃dʁ
attendrez	atɑ̃dʁˈez
attendri	atɑ̃dʁˈi
attendrie	atɑ̃dʁˈi
attendrir	atɑ̃dʁˈiʁ
attendrirait	atɑ̃dʁiʁˈɛt
attendris	atɑ̃dʁˈi
attendrissait	atɑ̃dʁisˈɛt
attendrissant	atɑ̃dʁisˈɑ̃
attendrissante	atɑ̃dʁisˈɑ̃t
attendrissement	atɑ̃dʁismˈɑ̃
attendrons	atɑ̃dʁˈɔ̃z
attendront	atɑ̃dʁˈɔ̃t
attends	atˈɑ̃z
attends-le	atˈɑ̃lə-
attends-moi	atˈɑ̃mwˌa
attends-toi	atˈɑ̃twˌa
attends-tu	atˈɑ̃ty
attendu	atɑ̃dˈy
attendue	atɑ̃dˈy
attendues	atɑ̃dˈyz
attendus	atɑ̃dˈy
attendît	atɑ̃dˈi
attentat	atɑ̃tˈa
attentats	atɑ̃tˈaz
attente	atˈɑ̃t
attente-là	atˈɑ̃tlˈa
attenten	atɑ̃tˈɛn
attenter	atɑ̃tˈe
attentes	atˈɑ̃tz
attentif	atɑ̃tˈif
attentifs	atɑ̃tˈifz
attention	atɑ̃sjˈɔ̃
attentionné	atɑ̃sjɔnˈe
attentionnées	atɑ̃sjɔnˈez
attentions	atɑ̃sjˈɔ̃z
attentive	atɑ̃tˈiv
attentivement	atɑ̃tivmˈɑ̃
attentives	atɑ̃tˈivz
attentât	atɑ̃tˈaː
atterrage	atɛʁˈaʒ
atterrages	atɛʁˈaʒz
atterrait	atɛʁˈɛt
atterre	atˈɛʁ
atterrer	atɛʁˈe
atterri	atɛʁˈi
atterrir	atɛʁˈiʁ
atterrirait	atɛʁiʁˈɛt
atterrirait-il	atɛʁiʁˈɛtil
atterrirent	atɛʁˈiʁt
atterris	atɛʁˈi
atterrissage	atɛʁisˈaʒ
atterrissait	atɛʁisˈɛt
atterrissant	atɛʁisˈɑ̃
atterrisse	atɛʁˈis
atterrit	atɛʁˈi
atterré	atɛʁˈe
atterrée	atɛʁˈe
atterrés	atɛʁˈez
attestaient	atɛstˈɛt
attestait	atɛstˈɛt
attestations	atɛstasjˈɔ̃z
atteste	atˈɛst
attestent	atˈɛstt
attester	atɛstˈe
attestera-t-elle	atɛstʁˈatɛl
attesté	atɛstˈe
attestée	atɛstˈe
attifée	atifˈe
attira	atiʁˈa
attiraient	atiʁˈɛt
attirait	atiʁˈɛt
attirant	atiʁˈɑ̃
attire	atˈiʁ
attire-le	atˈiʁlə-
attirent	atˈiʁt
attirer	atiʁˈe
attirera	atiʁʁˈa
attireraient	atiʁʁˈɛt
attirerait	atiʁʁˈɛt
attires	atˈiʁz
attirât	atiʁˈaː
attiré	atiʁˈe
attirée	atiʁˈe
attirées	atiʁˈez
attirés	atiʁˈez
attisait	atizˈɛt
attiserait	atizʁˈɛt
attisé	atizˈe
attitré	atitʁˈe
attitrés	atitʁˈez
attitude	atitˈyd
attitude-là	atitˈydlˈa
attitudes	atitˈydz
attiédi	atjedˈi
attiédie	atjedˈi
attouchement	atuʃmˈɑ̃
attrac	atʁˈak
attractif	atʁaktˈif
attraction	atʁaksjˈɔ̃
attractions	atʁaksjˈɔ̃z
attractive	atʁaktˈiv
attractives	atʁaktˈivz
attractivité	atʁaktivitˈe
attrait	atʁˈɛt
attraits	atʁˈɛz
attrap	atʁˈap
attrapaient	atʁapˈɛt
attrapant	atʁapˈɑ̃
attrape	atʁˈap
attrape-rêve	atʁˈapʁˈɛv
attrapent	atʁˈapt
attraper	atʁapˈe
attraperait	atʁapʁˈɛt
attraperas	atʁapʁˈaz
attrapes	atʁˈapz
attrapper	atʁapˈe
attrapé	atʁapˈe
attrapée	atʁapˈe
attrapés	atʁapˈez
attrayant	atʁɛjˈɑ̃
attrayante	atʁɛjˈɑ̃t
attrayantes	atʁɛjˈɑ̃tz
attrayants	atʁɛjˈɑ̃z
attri	atʁˈi
attribua	atʁibyˈa
attribuaient	atʁibyˈɛt
attribuait	atʁibyˈɛt
attribuant	atʁibyˈɑ̃
attribue	atʁibˈy
attribuer	atʁibyˈe
attributs	atʁibˈyz
attribué	atʁibyˈe
attribuée	atʁibyˈe
attribuées	atʁibyˈez
attribués	atʁibyˈez
attristaient	atʁistˈɛt
attristais	atʁistˈɛz
attristant	atʁistˈɑ̃
attriste	atʁˈist
attristerait	atʁistʁˈɛt
attristé	atʁistˈe
attristée	atʁistˈe
attristés	atʁistˈez
attrition	atʁisjˈɔ̃
attroce	atʁˈɔs
attroupement	atʁupmˈɑ̃
attroupements	atʁupmˈɑ̃z
attroupés	atʁupˈez
attèle	atˈɛl
atté	atˈe
atténuante	atenyˈɑ̃t
atténuantes	atenyˈɑ̃tz
atténuation	atenyasjˈɔ̃
atténue	atenˈy
atténuer	atenyˈe
atténué	atenyˈe
atu	atˈy
atypique	atipˈik
atypiques	atipˈikz
au	ˈo
au-bouroum	obuʁˈum
au-d'là	odlˈa
au-d'ssus	odəsjˈuːz
au-dedans	odədˈɑ̃z
au-dehors	odəˈɔʁz
au-delà	odəlˈa
au-dessous	odəsˈu
au-dessus	odəsˈy
au-devant	odəvˈɑ̃
au-feu	ofˈø
au-revoir	oʁəvwˈaʁ
aubade	obˈad
aubagne	obˈaɲ
aubaine	obˈɛn
aubaines	obˈɛnz
auban	obˈɑ̃
aube	ˈob
aubenas	obnˈaz
auberge	obˈɛʁʒ
aubergenville	obɛʁʒɑ̃vˈil
auberges	obˈɛʁʒz
aubergine	obɛʁʒˈin
aubergines	obɛʁʒˈinz
aubergiste	obɛʁʒˈist
aubert	obˈɛʁ
aubervilliers	obɛʁvijjˈez
aubes	ˈobz
aubevoye	obvwˈaj
aubiac	objˈak
aubiers	objˈez
aubigny	obiɲˈi
aubigny-en-artois	obiɲjɑ̃naʁtwˈaz
aubigny-en-plaine	obiɲjɑ̃plˈɛn
aubigny-sur-nère	obiɲˈisyʁnˈɛʁ
aubigné	obiɲˈe
aubin	obˈɛ̃
aublet	oblˈɛ
aubord	obˈɔʁ
aubrac	obʁˈak
aubrais	obʁˈɛz
aubry	obʁˈi
aubry-le-boucher	obʁˈilə-buʃˈe
aubusson	obysˈɔ̃
aubépines	obepˈinz
auc	ˈok
aucamville	okamvˈil
auch	ˈoʃ
auchan	oʃˈɑ̃
auchy-les-mines	oʃˈile-mˈinz
auckland	oklˈɑ̃
auclair	oklˈɛʁ
auclert-descôttes	oklˈɛʁdɛskˈoːtz
auco	okˈo
auctoritate	oktoʁitˈat
aucu	okˈy
aucun	okˈœ̃n
aucune	okˈyn
aucunement	okynmˈɑ̃
aucunes	okˈynz
aucuns	okˈœ̃z
audace	odˈas
audacieuse	odasjˈøz
audacieusement	odasjøzmˈɑ̃
audacieuses	odasjˈøzz
audacieux	odasjˈøz
aude	ˈod
audeat	ˈɔːdiːt
audenge	odˈɑ̃ʒ
audibert	odibˈɛʁ
audience	odjˈɑ̃s
audiences	odjˈɑ̃sz
audient	odˈi
audierne	odjˈɛʁn
audigier	odiʒjˈe
audincourt	odɛ̃kˈuʁ
audio-vis	odjˈovˈi
audio-visuel	odjˈovizyˈɛl
audio-visuelle	odjˈovizyˈɛl
audio-visuelles	odjˈovizyˈɛlz
audio-visuels	odjˈovizyˈɛlz
audiométrie	odjometʁˈi
audios	odjˈoz
audiovisuel	odjovizyˈɛl
audiovisuelle	odjovizyˈɛl
audit	odˈi
auditeur	oditˈœʁ
auditeurs	oditˈœʁz
auditif	oditˈif
auditifs	oditˈifz
audition	odisjˈɔ̃
auditionné	odisjɔnˈe
auditions	odisjˈɔ̃z
auditive	oditˈiv
auditives	oditˈivz
auditoire	oditwˈaʁ
auditorium	oditoʁjˈɔm
auditrice	oditʁˈis
audressein	odʁɛsˈɛ̃
audrey	odʁˈɛ
auf	ˈof
auffray	ofʁˈɛ
aufgefuhrt	ofʒfˈyʁ
auge	ˈoʒ
auger	oʒˈe
auges	ˈoʒz
augier	oʒjˈe
augmenta	ogmɑ̃tˈa
augmentaient	ogmɑ̃tˈɛt
augmentait	ogmɑ̃tˈɛt
augmentait-elle	ogmɑ̃tˈɛtɛl
augmentant	ogmɑ̃tˈɑ̃
augmentation	ogmɑ̃tasjˈɔ̃
augmentations	ogmɑ̃tasjˈɔ̃z
augmente	ogmˈɑ̃t
augmentent	ogmˈɑ̃tt
augmenter	ogmɑ̃tˈe
augmentera	ogmɑ̃tʁˈa
augmenteront	ogmɑ̃tʁˈɔ̃t
augmentez	ogmɑ̃tˈez
augmenté	ogmɑ̃tˈe
augmentée	ogmɑ̃tˈe
augmentés	ogmɑ̃tˈez
augsbourg	ogzbˈuʁ
augu	ogˈy
augura	ogyʁˈa
augurant	ogyʁˈɑ̃
augure	ogˈyʁ
augurer	ogyʁˈe
augurez	ogyʁˈez
augurât	ogyʁˈaː
augus	ogˈys
auguste	ogˈyst
augustes	ogˈystz
augustin	ogystˈɛ̃
augusto	ogystˈo
auj	ˈoʒ
aujou	oʒˈu
aujour	oʒˈuʁ
aujourd	oʒˈuʁ
aujourd'	oʒˈuʁ
aujourd'hui	oʒuʁdyˈi
aulagnier	olanjˈe
aulnais	olnˈɛz
aulnay-sous-bois	olnˈɛsubwˈaz
aulnes	ˈolnz
aulnois-sous-laon	olnwˈasulˈɑ̃
aulnoy	olnwˈa
aulostones	olɔstˈonz
aulx-lès-cromary	ˈolkslˈɛkɹˈɒməɹi
aumières	omjˈɛʁz
aumont	omˈɔ̃t
aumont-aubrac	omˈɔ̃tobʁˈak
aumontzey	omɔ̃tsˈɛ
aumône	omˈɔ̃n
aumône-là	omˈɔ̃nlˈa
aumônes	omˈɔ̃nz
aumônier	omonjˈe
aumônière	omonjˈɛʁ
aun	ˈon
aunait	onˈɛt
aune	ˈon
auneau	onˈo
aunes	ˈonz
auparavant	opaʁavˈɑ̃
auprès	opʁˈɛ
auprés	opʁˈez
auq	ˈok
auquel	okˈɛl
auquelles	okˈɛlz
auquels	okˈɛlz
aur	ˈoʁ
aura	oʁˈa
aura-t-elle	oʁˈatɛl
aura-t-il	oʁˈatil
aurai	oʁˈe
aurai-je	oʁˈeʒ
auraient	oʁˈɛt
auraient-ils	oʁˈɛtilz
aurais	oʁˈɛz
aurais-je	oʁˈɛʒ
aurais-tu	oʁˈɛty
aurait	oʁˈɛt
aurait-elle	oʁˈɛtɛl
aurait-il	oʁˈɛtil
aurait-on	oʁˈɛtɔ̃n
auras	oʁˈaz
auras-tu	oʁˈaty
auray	oʁˈɛ
aurec-sur-loire	oʁˈɛksyʁlwˈaʁ
aureilhan	oʁɛilˈɑ̃
aures	ˈoʁz
aurevoi	oʁvwˈa
aurevoir	oʁvwˈaʁ
aurez	oʁˈez
aurez-vous	oʁˈevuz
aurianne	oʁjˈan
auribeau-sur-siagne	oʁibˈosyʁsjˈaɲ
auricules	oʁikˈylz
auriez	oʁjˈez
auriez-vous	oʁjˈevuz
auriflammes	oʁiflˈamz
aurifère	oʁifˈɛʁ
aurillac	oʁijˈak
auriol	oʁjˈɔl
aurions	oʁjˈɔ̃z
auroi	oʁwˈa
aurons	oʁˈɔ̃z
aurons-nous	oʁˈɔ̃nuz
auront	oʁˈɔ̃t
auront-ils	oʁˈɔ̃tilz
aurorale	oʁoʁˈal
aurore	oʁˈɔʁ
aurores	oʁˈoʁz
aurélia	oʁeljˈa
aurélie	oʁelˈi
aurélie	ˈɛm
aurélien	oʁeljˈɛ̃
aurélies	oʁelˈiz
auréole	oʁeˈɔl
auréoles	oʁeˈolz
aus	ˈoz
ausculte	oskˈylt
ausculté	oskyltˈe
ausi	ozˈi
auspices	ospˈisz
auss	ˈos
aussevielle	osəvjˈɛl
aussi	avˌɛk
aussi	osˌi
aussi-t-un	osˌitœ̃n
aussillon	osijˈɔ̃
aussit	osˈi
aussitôt	ositˈɔ̃
aussonne	osˈɔn
austerlitz	ostɛʁlˈits
austin	ostˈɛ̃
austra	ostʁˈa
austral	ostʁˈal
australe	ostʁˈal
australes	ostʁˈalz
australie	ostʁalˈi
australien	ostʁaljˈɛ̃
australienne	ostʁaljˈɛn
australiennes	ostʁaljˈɛnz
australiens	ostʁaljˈɛ̃z
austère	ostˈɛʁ
austères	ostˈɛʁz
austérité	osteʁitˈe
austérités	osteʁitˈez
aut	ˈot
autant	otˌɑ̃
aute	ˈot
autechaux	otɛʃˈoz
autel	otˈɛl
autels	otˈɛlz
autement	otmˈɑ̃
auteuil	otˈœj
auteur	otˈœʁ
auteurs	otˈœʁz
authenticité	ɔːθˌɛntɪsɪtˈeɪ
authentique	ɔːθəntˈiːk
authentiques	ɔːθəntˈiːks
autheuil-authouillet	ˈɔːθjuːˌɪlˈɔːθuːˌɪlɪt
authier	otjˈe
authume	ˈɔːθjuːm
autistes	otˈistz
auto	otˈo
auto-entraînement	otˈoɑ̃tʁɛnmˈɑ̃
auto-entrepreneur	otˈoɑ̃tʁəpʁənˈœʁ
auto-entrepreneurs	otˈoɑ̃tʁəpʁənˈœʁz
auto-forma	otˈofɔʁmˈa
auto-formation	otˈofɔʁmasjˈɔ̃
auto-géré	otˈoʒeʁˈe
auto-orchestré	otˈoɔʁkɛstʁˈe
autobag	otobˈag
autobiographies	otobjɔgʁafˈiz
autobiographique	otobjɔgʁafˈik
autobiographiques	otobjɔgʁafˈikz
autobus	otobˈys
autocar	otokaʁ
autochnones	otoknˈonz
autochto	otoktˈo
autochtone	otoktˈɔn
autochtones	otoktˈonz
autocollantes	otokɔlˈɑ̃tz
autocollants	otokɔlˈɑ̃z
autodidacte	otodidˈakt
autodidactique	otodidaktˈik
autofictions	otofiksjˈɔ̃z
autogestion	otoʒɛstjˈɔ̃
autographe	otogʁˈaf
autolib	otolˈib
automate	otomˈat
automates	otomˈatz
automatique	otomatˈik
automatiquement	otomatikmˈɑ̃
automatiques	otomatˈikz
automatisme	otomatˈism
automatismes	otomatˈismz
automatisés	otomatizˈez
automnales	otɔnˈalz
automne	otˈɔn
automobile	otomobˈil
automobiles	otomobˈilz
automobiliste	otomobilˈist
automobilistes	otomobilˈistz
autonome	otonˈɔm
autonomes	otonˈomz
autonomie	otonomˈi
autonomie-là	otonomˈilˈa
autopartage	otopaʁtˈaʒ
autoproclamée	otopʁɔklamˈe
autopsie	otopsˈi
autoradio	otoʁadjˈo
autorisa	otoʁizˈa
autorisait	otoʁizˈɛt
autorisant	otoʁizˈɑ̃
autorisation	otoʁizasjˈɔ̃
autorisations	otoʁizasjˈɔ̃z
autorise	otoʁˈiz
autoriser	otoʁizˈe
autorisé	otoʁizˈe
autorisée	otoʁizˈe
autorisées	otoʁizˈez
autorisés	otoʁizˈez
autoritaire	otoʁitˈɛʁ
autoritarisme	otoʁitaʁˈism
autorité	otoʁitˈe
autoritéplus	otoʁiteplˈyz
autorités	otoʁitˈez
autorités-là	otoʁitˈelˈa
autoroute	otoʁˈut
autoroutes	otoʁˈutz
autos	otˈoz
autour	otˌuʁ
autours	otˌuʁz
autr	ˈotʁ
autre	otʁ
autre-ci	otʁsˈi
autrefois	otʁəfwˈaz
autrement	otʁəmˈɑ̃
autres	otʁz
autriche	otʁˈiʃ
autrichien	otʁiʃjˈɛ̃
autrichienne	otʁiʃjˈɛn
autrichiens	otʁiʃjˈɛ̃z
autruche	otʁˈyʃ
autrui	otʁyˈi
autun	otˈœ̃n
auvent	ovˈɑ̃
auvents	ovˈɑ̃z
auvergnat	ovɛʁɲˈa
auvergnate	ovɛʁɲˈat
auvergnats	ovɛʁɲˈaz
auvergne	ovˈɛʁɲ
auvergne-rhône-alpes	ovˈɛʁɲʁˈɔ̃nˈalpz
auvernats	ovɛʁnˈaz
auvers-sur-oise	ovˈɛʁsyʁwˈaz
auvillar	ovijˈaʁ
aux	ˈoz
aux-clercs	oklˈɛʁz
auxances	oksˈɑ̃sz
auxerre	oksˈɛʁ
auxiliaire	oksiljˈɛʁ
auxiliaires	oksiljˈɛʁz
auxonne	oksˈɔn
auxquelles	okˈɛlz
auxquels	okˈɛlz
auzouer-en-touraine	ozwˈeɑ̃tuʁˈɛn
av	ˈav
ava	avˈa
avachie	avaʃˈi
avai	avˈe
avaient	avˈɛt
avaient-elles	avˈɛtɛlz
avaient-ils	avˈɛtilz
avais	avˈɛz
avais-je	avˈɛʒ
avait	a
avait	avˈɛt
avait-elle	avˈɛtɛl
avait-il	avˈɛtil
avait-on	avˈɛtɔ̃n
aval	avˈal
avala	avalˈa
avalait	avalˈɛt
avalanche	avalˈɑ̃ʃ
avalanches	avalˈɑ̃ʃz
avalant	avalˈɑ̃
avale	avˈal
avalent	avˈalt
avaler	avalˈe
avalerions	avaləʁjˈɔ̃z
avales	avˈalz
avalez	avalˈez
avallon	avalˈɔ̃
avalèrent	avalˈɛʁt
avalé	avalˈe
avan	avˈɑ̃
avance	avˈɑ̃s
avance-t-il	avˈɑ̃stil
avancement	avɑ̃smˈɑ̃
avancements	avɑ̃smˈɑ̃z
avancent	avˈɑ̃st
avancer	avɑ̃sˈe
avancera	avɑ̃sʁˈa
avanceriez	avɑ̃səʁjˈez
avancerions	avɑ̃səʁjˈɔ̃z
avances	avˈɑ̃sz
avancez	avɑ̃sˈez
avancions	avɑ̃sjˈɔ̃z
avancèrent	avɑ̃sˈɛʁt
avancé	avɑ̃sˈe
avancée	avɑ̃sˈe
avancées	avɑ̃sˈez
avancés	avɑ̃sˈez
avant	avˌɑ̃
avant-bras	avˌɑ̃bʁˈaz
avant-coureurs	avˌɑ̃kuʁˈœʁz
avant-dernier	avˌɑ̃dɛʁnjˈeʁ
avant-garde	avˌɑ̃gˈaʁd
avant-gardes	avˌɑ̃gˈaʁdz
avant-hier	avˌɑ̃jˈɛʁ
avant-postes	avˌɑ̃pˈɔstz
avant-projet	avˌɑ̃pʁoʒˈɛ
avant-propos	avˌɑ̃pʁopˈoz
avantage	avɑ̃tˈaʒ
avantageant	avɑ̃taʒˈɑ̃
avantages	avɑ̃tˈaʒz
avantageuse	avɑ̃taʒˈøz
avantageusement	avɑ̃taʒœzmˈɑ̃
avantageuses	avɑ̃taʒˈøzz
avantageux	avɑ̃taʒˈøz
avantagé	avɑ̃taʒˈe
avantagée	avɑ̃taʒˈe
avantagés	avɑ̃taʒˈez
avança	avɑ̃sˈa
avançaient	avɑ̃sˈɛt
avançait	avɑ̃sˈɛt
avançant	avɑ̃sˈɑ̃
avançons	avɑ̃sˈɔ̃z
avare	avˈaʁ
avares	avˈaʁz
avarice	avaʁˈis
avarie	avaʁˈi
avaries	avaʁˈiz
avarié	avaʁjˈe
avariée	avaʁjˈe
avast	avˈast
avatar	avatˈaʁ
avce	ˈavs
ave	ˈav
avec	avˌɛk
avel	avˈɛl
aven	avˈɛn
avenant	avnˈɑ̃
avenante	avnˈɑ̃t
avenante	avˌɛk
avenantes	avnˈɑ̃tz
avenants	avnˈɑ̃z
avenir	avnˈiʁ
aventis	avɑ̃tˈi
aventurai	avɑ̃tyʁˈe
aventuraient	avɑ̃tyʁˈɛt
aventurant	avɑ̃tyʁˈɑ̃
aventure	avɑ̃tˈyʁ
aventurent	avɑ̃tˈyʁt
aventurer	avɑ̃tyʁˈe
aventures	avɑ̃tˈyʁz
aventureuse	avɑ̃tyʁˈøz
aventureuses	avɑ̃tyʁˈøzz
aventureux	avɑ̃tyʁˈøz
aventurez	avɑ̃tyʁˈez
aventurier	avɑ̃tyʁjˈe
aventuriers	avɑ̃tyʁjˈez
aventuré	avɑ̃tyʁˈe
aventurée	avɑ̃tyʁˈe
aventurés	avɑ̃tyʁˈez
avenu	avnˈy
avenue	avnˈy
avenues	avənˈyz
averdon	avɛʁdˈɔ̃
avermes	avˈɛʁmz
averse	avˈɛʁs
averses	avˈɛʁsz
aversion	avɛʁsjˈɔ̃
aversions	avɛʁsjˈɔ̃z
averti	avɛʁtˈi
avertie	avɛʁtˈi
averties	avɛʁtˈiz
avertir	avɛʁtˈiʁ
avertira	avɛʁtiʁˈa
avertiras	avɛʁtiʁˈaz
avertis	avɛʁtˈi
avertissaient	avɛʁtisˈɛt
avertissait	avɛʁtisˈɛt
avertissant	avɛʁtisˈɑ̃
avertisse	avɛʁtˈis
avertissement	avɛʁtismˈɑ̃
avertissements	avɛʁtismˈɑ̃z
avertissent	avɛʁtˈist
avertissez	avɛʁtisˈez
avertissez-moi	avɛʁtisˈemwˌa
avertissons	avɛʁtisˈɔ̃z
avertit	avɛʁtˈi
aveu	avˈø
aveuglaient	avøglˈɛt
aveuglait	avøglˈɛt
aveuglante	avøglˈɑ̃t
aveugle	avˈøgl
aveugle-né	avˈøglnˈe
aveuglement	avøgləmˈɑ̃
aveugler	avøglˈe
aveugles	avˈøglz
aveuglé	avøglˈe
aveuglée	avøglˈe
aveuglément	avøglemˈɑ̃
aveuglés	avøglˈez
aveux	avˈøz
aveyronnais	avɛʁɔnˈɛz
avez	avˈez
avez-vous	avˈevuz
avi	avˈi
aviateur	avjatˈœʁ
avide	avˈid
avidement	avidmˈɑ̃
avides	avˈidz
avidité	aviditˈe
avier	avjˈe
aviez	avjˈez
aviez-vous	avjˈevuz
avignon	aviɲˈɔ̃
avignon-lès-saint-claude	aviɲˈɔ̃lˈɛsˈɛ̃klˈod
avilie	avilˈi
avilissement	avilismˈɑ̃
avilit	avilˈi
avion	avjˈɔ̃
avions	avjˈɔ̃z
avions-nous	avjˈɔ̃nuz
aviragnet	aviʁaɲˈɛ
aviron	aviʁˈɔ̃
avirons	aviʁˈɔ̃z
avis	avˈi
avisa	avizˈa
avisant	avizˈɑ̃
avise	avˈiz
aviser	avizˈe
aviseraient	avizʁˈɛt
aviserait	avizʁˈɛt
aviserons	avizʁˈɔ̃z
avisez	avizˈez
avisons	avizˈɔ̃z
avisèrent	avizˈɛʁt
avisé	avizˈe
avisée	avizˈe
avit	avˈi
avitallé	avitalˈe
avivait	avivˈɛt
aviver	avivˈe
avocat	avokˈa
avocat-conseil	avokˈakɔ̃sˈɛj
avocats	avokˈaz
avoi	avwˈa
avoine	avwˈan
avoines	avwˈanz
avoir	a
avoir	avwˈaʁ
avoisinaient	avwazinˈɛt
avoisinant	avwazinˈɑ̃
avoisinante	avwazinˈɑ̃t
avoisinantes	avwazinˈɑ̃tz
avoisinants	avwazinˈɑ̃z
avoisine	avwazˈin
avoisinent	avwazˈint
avoit	avwˈa
avollées	avɔlˈez
avon	avˈɔ̃
avon-les-roches	avˈɔ̃le-ʁˈoʃz
avons	avˈɔ̃z
avons-nous	avˈɔ̃nuz
avord	avˈɔʁ
avorta	avɔʁtˈa
avorte	avˈɔʁt
avortements	avɔʁtəmˈɑ̃z
avortent	avˈɔʁtt
avorter	avɔʁtˈe
avorton	avɔʁtˈɔ̃
avorté	avɔʁtˈe
avortée	avɔʁtˈe
avortées	avɔʁtˈez
avoua	avwˈa
avouable	avwˈabl
avouait	avwˈɛt
avouant	avwˈɑ̃
avoue	avˈu
avoue-le	avˈulə-
avoue-moi	avˈumwˌa
avouent	ˈavwt
avouer	avwˈe
avouera	avwʁˈa
avouera-t-on	avwʁˈatɔ̃n
avouerai	avwʁˈe
avouerait	avwʁˈɛt
avouerait-elle	avwʁˈɛtɛl
avouerez	avwʁˈez
avoueriez	avwʁiˈez
avoues	ˈavwz
avouez	avwˈez
avouez-le	avwˈelə-
avouez-moi	avwˈemwˌa
avouons-le	avwˈɔ̃lə-
avouât	avwˈaː
avoué	avwˈe
avouée	avwˈe
avoués	avwˈez
avr	ˈavʁ
avrain	avʁˈɛ̃
avranche	avʁˈɑ̃ʃ
avressieux	avʁɛsjˈøz
avreuil	avʁˈœj
avril	avʁˈil
avrillé	avʁijˈe
avu	avˈy
avyot	avjˈo
avènement	avɛnmˈɑ̃
avènements	avɛnmˈɑ̃z
avéré	aveʁˈe
avérée	aveʁˈe
aware	ɐwˈeəɹ
ax	ˈaks
ax-les-thermes	ˈaksle-tˈɛʁmz
axa	aksˈa
axe	ˈaks
axel	aksˈɛl
axenos	aksnˈoz
axes	ˈaksz
axiome	aksjˈɔm
axiomes	aksjˈomz
axyle	aksˈil
axé	aksˈe
axée	aksˈe
axées	aksˈez
axés	aksˈez
ayant	ɛjˈɑ̃
ayants	ɛjˈɑ̃z
aydat	ɛdˈa
aydes	ˈɛdz
ayez	ɛjˈez
aygas	ɛgˈaz
ayguemorte-les-graves	ɛgmˈɔʁtle-gʁˈavz
aymar	ɛmˈaʁ
aymard	ɛmˈaʁ
aymeric	ɛmʁˈik
aynans	ɛnˈɑ̃z
aynats	ɛnˈaz
ayons	ɛjˈɔ̃z
ayrault	ɛʁˈo
ayrelles	ɛʁˈɛlz
ayrton	ɛʁtˈɔ̃
aytré	ɛtʁˈe
ayvelles	ɛvˈɛlz
azalées	azalˈez
azelma	azɛlmˈa
azereix	azʁˈɛks
azerot	azʁˈo
azille	azˈij
azincourt	azɛ̃kˈuʁ
aziz	azˈiz
aziza	azizˈa
