10منٹ	ɒnməɳʈ
پٹہ	pəʈʰə
پٹی	peːti
پٹیشن	peːʈiːʃən
پٹے	peːʈe
پجاما	peːdʒɑːmɑː
پچ	peːtʃ
پچارا	petʃɑːɾɑː
پچاس	peːtʃɑs
پچاسی	pəʧɑːsi
پچھتاوا	pɪtʃt̪ɑːʋɑː
پچھلا	pɪtʃlɑ
پچھلی	pɪtʃli
پِچھلے	piːtʃlə
پچھلے	pɪʈʰle
پچھواڑے	pɪtʃʰʋɑːɽe
پچیس	peːtʃɪs
پذیر	peːziɾ
پذیری	peːdʒiːriː
پر	pər
پرائر	peːraɪr
پرائیویٹ	peːɾɑːɪʋeːt
پرائیویسی	peːɾɑːiːviːsiː
پراپرٹی	peːɾəppeːɾiː
پراسرار	peɾɑsɑɾɑr
پراسیکیوٹر	pəɾɑːsiːkuːt̪əɾ
پرامڈ	peːɾɑːmɪd
پرامن	peɾɑːmn̪eː
پرانا	pɾɑːnɑː
پرانی	pəɾəni
پرانے	prɑːnɛ
پربامنڈل	pɾəbəmd̪əl
پربل	peɾbəl
پربووں	pɾəboːŋ
پرت	peɾt
پرتگالی	peɾtgɑːliː
پرتیاورتن	peːrt̪ijɑːʋəɾt̪n
پرتیبھا	peːrt̪eːbʱɑː
پرجوش	peːrgoːʃ
پرچم	pɑrtʃəm
پرچی	peːɾtʃiː
پرخلوص	peːrxəloːs
پردافاش	peɾd̪ɑːfɑːʃ
پردہ	pərd̪ə
پرزہ	peːɾze
پرس	peɾs
پرست	pɾəste
پرستار	peɾst̪əɾ
پرستی	pɾɛst̪i
پرسکون	pɛrsəkʊn
پرفیکٹ	pɪɾfeːkʰt̪
پرکشیپوکر	peːrkeːʃiːpuːkər
پرکشیپی	peːrkeːʃiːpiː
پرل	peːrl
پرنٹرز	pɾənt̪ɾeːz
پرنٹروں	peːrn̪t̪əroː
پرنٹنگ	pɾənt̪ɪŋ
پرندہ	pərn̪d̪ə
پرندہ	pəɾɪnd̪a
پرندوں	peːɾən̪d̪oː
پرندے	peːɾənɖeː
پرنس	prəns
پرنسپل	prənsɪl
پرہار	pɾəɦɑːɾ
پرہیز	peːɾhɛz
پرہیزگاروں	peːɾeːzaːgɑːɾoːn
پروا	pɪɾɑː
پرواز	puːrɑːz
پروازوں	puːrɑːzoːn
پروازیں	puːrɑːzɪ̃ː
پرواہ	puːɑːh
پروپیگنڈہ	puroːpɪgænɖə
پروٹوٹائپ	puːroːt̪oːt̪ɑːɪp
پروٹوکول	puːroːt̪oːkɔl
پروٹیکشن	puːroːt̪eɪkʃn̪
پروڈجی	puːɽoːdʒiː
پروڈکشن	puːɽɪkʃən
پروڈیوسر	pruːdiːʊsər
پروردگار	peːroːrdaːgəɾ
پرورش	peːɾoːʃ
پروسیسنگ	puːroːsɪsŋ
پروف	puːroːf
پروفائل	puːroːfɑːil
پروفیسر	puːroːfiːsər
پروگرام	puːɾoːgɾɑːm
پروگرامز	prəʊgrɑːmz
پروگرامنگ	puːroːgrɑːmɪŋ
پروگراموں	puroːgəɾɑːmõː
پروموٹر	puːroːmʊt̪r̪
پروں	peːroː
پرووڈنس	puːroːd̪əns
پری	peːriː
پریڈ	peːɾɪɖ
پریزنٹیشن	prɪzənˈteːʃən
پریس	prɪs
پریشان	peːriːʃɑːn
پریشانی	peːriːʃɑːniː
پریمکا	peːɾiːmkə
پریمی	prɪmi
پریمیم	peːriːmiː
پریوں	peːrijõː
پریی	peːriː
پرے	peː
پزا	peːzə
پزیر	peːziːr
پڑ	pəɽ
پڑا	pəɽɑ
پڑتا	peɽt̪ə
پڑتال	pəɽt̪ɑl
پڑتی	peɽt̪iː
پڑرہا	pəɽɾəɦɑ
پڑنا	peɽna
پڑنے	peɽne
پڑھ	peɽʰ
پڑھا	pəɽʰɑ
پڑھائیں	peɽʰɑ̃e̯i̯
پڑھاتی	pəɽʰɑːti
پڑھانے	peɽʰɑːne
پڑھتا	pəɽʈʰt̪ə
پڑھتی	pəɽʈʰti
پڑھتے	pəɽʈeː
پڑھنا	peɽʰnə
پڑھنے	pəɽʰne
پڑھو	peɽʰo
پڑھی	pəɽʰiː
پڑھیں	pəɽʰẽː
پڑوس	peɽoːs
پڑوسیوں	peɽoːsɪ̃oː
پڑی	peːɽiː
پڑیں	pəɽeː
پڑے	peɽe
پس	pɪs
پست	peːst
پستول	peːst̪oːl
پسٹن	psɪt̪n
پسسٹ	peːsːeʈ
پسند	pəˈsənd
پسندی	psənˈdiː
پسندیدہ	psənˈdiːd̪ə
پسینہ	psɪnə
پسینے	psɪneː
پش	pəʃ
پشاور	peːʃɑːʋəɾ
پشت	pʊʃt
پف	pʰ
پک	pɪk
پکا	pəka
پکار	pɪkɑːr
پکارا	pɪkɑːrɑ
پکارنے	peːkɑːrˈneː
پکارے	peːkɑːreː
پکاکر	pəkɑkər
پکانا	pɪkɑːnɑː
پکانے	peːkɑːneː
پکایا	peːkɑːjɑː
پکرے	peːkɾeː
پکڑ	pəkəɽ
پکڑا	peːkəɽɑ
پکڑنا	pəkɽnə
پکڑنے	pəkɽne
پکڑو	pəkɽo
پکڑوں	peːkəɽõː
پکڑے	peːkəɽeː
پکوان	peːkʊɑːn
پکی	peːki
پکے	pɪkːe
پگڈنڈی	pegɖənɖiː
پگھلا	peːɣlə
پل	pəl
پلا	pəlɑ
پلاٹون	ˈpəlɑːt̪ʊn
پلازما	ˈplɑːzmɑː
پلان	pəlɑːn
پلانٹ	pəlɑ̃ːt̪
پلایا	pulɑːjɑː
پلٹ	puːlʈ
پلٹا	ɽəʈə
پلٹانے	puːlʈɑːne
پلٹن	puːlʈən
پلس	pɛls
پلگ	puɭ
پلندے	ɛl̪ʌn̪d̪e
پلی	piːli
پلیٹ	peːliːt̪
پلیٹوں	piːlɪʈoː
پلیز	pleɪz
پلے	peːle
پمپ	pʌmp
پن	pən
پناہ	peːnɑː
پناہی	peːnɑːɦiː
پنپتی	peːnpʈiː
پنجرا	peːŋgrɑ
پنجری	pənɟri
پنجرے	peːŋgreː
پنجی	pəndʒi
پنجے	pəndʒeː
پندرہ	peːnd̪əɾə
پنڈ	pə̃ɳɖ
پنڈت	pənd̪d̪eːt̪
پنرجہرن	pənɾeʒɾən
پنرجیویت	peːnɾdʒiːʋeːt
پنرملن	pənɾəmələn
پنکھوں	pɪŋkʰoː
پنکھے	peːŋkʰeː
پنگا	peːŋgə
پنیر	peːniːr
پھاٹک	pʰɑːʈk
پھاڑ	fəɽ
پھاڑنا	fəɽnə
پھانسی	ɸɑ̃ːsi
پھٹ	ɸəʈ
پھٹے	ɸəʈe
پھر	pʰəɾ
پھرتھوڑا	ɸəɾt̪ʰoɽɑ
پھرجب	ɸəɾdʒb
پھرحوالات	ɸəɾɦəwaːlɑːt
پھرنے	ɸəɾne
پھریں	ɸəɾẽː
پَھس	ɸəs
پھسل	ɸəsl
پھسلائیں	ɸəslɑːẽː
پھل	ɸəl
پھلی	ɸəli
پھلیاں	ɸəliæ̃
پھلیوں	ɸəliːõ
پھنس	ɸəns
پھنسا	ɸɛnsə
پھنسایا	ɸənsɑjɑ
پھنسے	ɸənse
پھوڑ	ɸoɽ
پھوڑا	ɸoːɽə
پھول	puɽ
پھولوں	puːlõː
پھونکا	ɸoːŋkə
پھیر	ɸɪr
پھیری	peːriː
پھیل	feːl
پھیلا	peːlə
پھیلاؤ	feːlɑːo
پھیلایا	feːlɑːjɑː
پھیلتی	feːlt̪iː
پھیلی	pʰɪliː
پھینک	ɸɪ̃k
پھینکتا	ɸeːŋkəta
پھینکنے	ɸeːŋkneː
پھینکو	ɸeːŋkoː
پھینکی	ɸeːŋki
پھینکے	ɸeːŋkeː
پہ	pe
پہاڑ	peːɑːɽ
پہاڑ	pəɦɑːɽ
پہاڑوں	peːɑːɽõː
پہاڑی	peːɑːɽiː
پہاڑیاں	peːɑːɽjɑ̃
پہاڑیوں	peːɑːɽiːõː
پہچ	peːtʃ
پہچان	peːtʃɑːn
پہچانا	peːtʃɑːnɑː
پہر	peːr
پہرہ	peːɾə
پہل	peːl
پہلا	peːlə
پہلو	peːloː
پہلوٹھا	peːloːʈʰɑː
پہلی	peːli
پہلے	peːlə
پہن	peːn
پہنا	peːnə
پہنتے	pəɳt̪e
پہنچ	peːnʧ
پہنچا	pəɲtʃə
پہنچاؤ	peːntʃɑːoː
پہنچائی	peːntʃɑːiː
پہنچائے	peːntʃɑːeː
پہنچاتا	peːnʧɑːt̪ɑː
پہنچاتی	peːntʃɑːt̪iː
پہنچانا	peːntʃɑːnɑː
پہنچانے	peːntʃɑːneː
پہنچاو	peːntʃɑːu
پہنچاو-مجھے	peːntʃɑːʊmʊdʒheː
پہنچایا	peːntʃɑːjɑː
پہنچنا	peːnʧnɑ
پہنچنے	peːnʧneː
پہنچوں	pəɳtʃʊ̃
پہنچی	peːntʃiː
پْہنچی	peɪntʃiː
پہنچیں	peːnʧiː
پہنچے	peːntʃeː
پہننے	peːnneː
پہنوگے	peːnʊgeː
پہنی	peːni
پہنیں	peːɲːeː
پہنے	peːɳeː
پہیلی	peːɪliː
پہیلیوں	peːɪliːõ
پہیوں	peɪɦoː
پو	po
پوائنٹ	poːɪ̃ːt̪
پوائنٹس	poːɪ̃ːʈs
پوپ	poːp
پوتی	poːti
پوتے	poːt̪eː
پوٹن	poːʈən
پوجھو	poːʈʈʰo
پوچھ	poːtʃ
پوچھا	poːtʃʰɑː
پوچھتا	poːtʃt̪ɑː
پوچھتے	poːtʃʰteː
پوچھنا	poːtʃnɑ
پوچھنے	poːtʃne
پوچھو	poːtʃo
پوچھوں	poːtʃʰõ
پوچھیں	poːtʃʰeːn
پوچھے	poːtʃʰe
پورا	poːrɑ
پورانیک	puːɾɑːnɪk
پورٹ	pɔːɾt
پورٹریٹ	puːrt̪eːɾət̪
پورٹل	pɔːrʈəl
پورٹو	puːɾtoː
پورش	puːrʃ
پوری	puːriː
پورے	pʊreː
پوزیشن	poːziːʃən
پوسٹ	poːst
پوسٹر	poːst̪ər
پوشیدہ	puːʃɪd̪ə
پول	pɔːl
پولارڈ	poːlɑːɾɪd
پولس	pɔːlɪs
پولستانی	poːlɑsˈtɑːniː
پولیس	poːlɪs
پولیگراف	poːliːgʌɾəf
پولینڈ	poːlɪ̃ːd̪
پولیو	poːliːoː
پونڈ	pʊ̃ːɳɖ
پویلین	peːʋɪlɪn
پی	pi
پیئرس	piːɑːrɪs
پیئرسن	piːr̩sən
پیئے	piːe
پیار	pijɑr
پیار	pjaːɾ
پیارا	piːəɾə
پیاری	peːɑːriː
پیارے	pijəɾeː
پیاسا	piːsɑː
پیاسے	piːɑːse
پیانو	pijɑːnoː
پیپا	piːpə
پیپر	piːpər
پیپلز	piːpəlz
پیتا	piːt̪ə
پیتھالوجیکل	piːθɑːlɔːdʒɪkəl
پیتے	piːt̪eː
پیٹ	peːʈ
پیٹا	peːt̪aː
پیٹر	peːt̪r
پیٹرسن	peːt̪ɾʌsən
پیٹرک	peːt̪rək
پیٹرن	peːt̪ərn
پیٹن	peːʈən
پیٹنا	peːʈnə
پیٹنے	peːʈneː
پیٹھ	peːʈʰ
پیٹو	peːʈoː
پیٹیو	peːtiːu
پیج	peːdʒ
پیجر	peːgər
پیچ	piːtʃ
پیچھ	piːtʃː
پیچھا	piːtʃʰɑː
پیچھے	piːtʃʰeː
پیچیدہ	piːtʃɪd̪ə
پیدا	piːd̪ə
پیدائش	piːdɑːʃ
پیداش	piːdɑːʃ
پیداوار	piːdɑːʋɑːr
پیداواری	piːdɑːʋɑːriː
پیدل	piːdəl
پیر	peːr
پیراشوٹ	peːɾɑːʃɔːt
پیراگراف	peːrɑːgrɑːf
پیرس	peːrs
پیروکاروں	piːroːkɑːroːn
پیروں	piːɾoː
پیروی	peːriː
پیری	peːriː
پیزا	piːzə
پیڑوں	peːɽoːŋ
پیس	peːs
پیسٹ	peɪst̪
پیسنا	peːsˈnə
پیسہ	piːsə
پیسوں	piːsõː
پیسیفک	piːsiːfɪk
پیسے	piːse
پیش	piːʃ
پیشاب	piːʃæb
پیشانی	piːʃɑːniː
پیشکش	piːʃkɪʃ
پیشگی	piːʃgiː
پیشن	piːʃn
پیشہ	piːʃə
پیشے	piːʃe
پیغام	pæɪˈɣɑːm
پیغام	piːɣɑm
پیغامات	piːɣɑmɑt̪
پیغمبر	piɣæmbər
پیغمبروں	piːɣæmbəroːn
پیک	piːk
پیکٹ	peːkʈ
پیکج	peːkɑdʒ
پیکجوں	piːkʲdʒoːn
پیگی	piːgiː
پیلوڈ	piːloːd
پیلی	piːliː
پیلے	piːlə
پیمانہ	piːmɑːnə
پیمانے	piːmɑːnɛ
پینا	piːnə
پینتیس	piːnːtis
پینٹ	peːnt
پینٹاگن	piːn̪t̪əgən
پینٹاگون	piːn̪t̪əgoːn
پینسل	piːnsəl
پینسلوانیا	piːnsəlʋɑːniɑː
پینشن	piːnʃən
پینل	piːnəl
پینے	peːne
پیوست	piːoːst
پیوں	piːõ
پے	peː
ةء	ə
ةءِ	ə
ةاد	ɑːd
ةادءِ	ɑːdɑː
ةاز	ɑz
ةاط	ɑːt̪
ةہ	ə
ةہج	ɛg
ت	t
تµµ	teːm
تءِ	te
تأ	tɑ
تئیس	teːs
تا	tɑ
تاؤ	tɔː
تائید	tɑːʔiːd
تاب	tɑːb
تابوت	t̪ɑːboːt̪
تاثر	t̪ɑːt̪ʰər
تاج	tɑːdʒ
تاجدار	tɑːdʒd̪ɑːr
تاخیر	tɑːxɪr
تار	t̪ɑːr
تارکین	tɑːɾkɪn
تاریخ	t̪aːɾiːx
تاریخ	t̪ɑːɾɪx
تاریخی	t̪ɑːɾɪχɪ
تاریک	tɑːɾɪk
تازہ	taːze
تازی	tɑːzi
تازے	taːze
تاش	t̪ɑʃ
تاکنا	tɑknɑ
تاکہ	tɑːkʰə
تال	t̪ɑːl
تالا	t̪ɑːlɑː
تالاب	t̪ɑːlɑːb
تالے	t̪ɑːl̪eː
تان	t̪ɑːn
تاہم	tɑːhəm
تاوان	tɑːʋɑːn
تب	t̪eːb
تبادلہ	t̪eːbɑːd̪ɪlə
تبادلوں	t̪əbɑːd̪ɪluːŋ
تبادلے	t̪eːbɑːd̪ɪleː
تباہ	t̪əbɑːh
تباہی	t̪əbaːhi
تبدیل	t̪eːbd̪ɪl
تبدیلی	təbdɪliː
تبدیلیوں	t̪eːbd̪ɪliːjõː
تبصرہ	t̪eːbəsɾə
تُبّع	tʊbˤb
تبولی	t̪eːboːli
تپپڑ	teppəɽ
تپتے	tept̪e
تٹرکشک	t̪eːt̪əɾkɪʃk
تجارت	tʌdʒɑːɾət
تجارتی	teːʒɑːɾeːtiː
تجاست	teːgɑːst
تجاوز	tejɑːgɑːz
تجاویز	teːgɑːʋiːz
تجدید	tegdiːd
تجربات	tegɾɑbɑt
تجرباتی	tʌʐrəbɑːtiː
تجربہ	tʌʐrəbɑ
تجربے	tʌʐɾəbɛ
تجزیہ	təʒziʌ
تجسس	tʌges
تجھ	teʒ
تجھے	teʒʰe
تجوری	teːguːriː
تجویز	tegoːiz
تحائف	t̪əɦɑːɪf
تحت	t̪əŋ
تحریر	t̪əɾiːr
تحریری	təɦɾiːɾiː
تحریک	t̪əɦɾiːk
تحریک	t̪ɛɦɾiːk
تحفظ	t̪əɦfɑz
تحفہ	t̪ʊhfɑː
تحفہ	t̪ʊhfə
تحفہ	θɑhfɑ
تحفے	t̪əɦfe
تحقیق	t̪əɣɪq
تحقیقات	t̪əɣqɪqɑːt̪
تحلیل	təɦniːl
تحول	t̪əɦuːl
تحویل	t̪əɦʋiːl
تخبوہیتا	təxbuːhiːtə
تخت	təxt
تختہ	təxtə
تخرکشک	tɑxɾɪkɛʃk
تخروپن	təxɾoːpən
تخکرمن	t̪əxkərmən
تخلص	tʌlɪʃ
تخلیق	təxliːq
تخیل	təxɪl
تدریس	tɪdrɪs
تدفین	tɪd̪fiːn
تدویر	teːd̪viːr
تدویروں	tɪdʋɪɾoː
تذکرے	teðkɪre
تر	tɪr
تربیت	t̪eɾbiːt̪
تربیتی	t̪əɾbiːtiː
ترتیب	tɪɾtɪb
ترجمان	t̪eɾʒʊˈmɑːn
ترجمہ	t̪əɾʒʊmə
ترجمے	t̪əɾdʒʊmeː
ترجیح	t̪əɾziːh
ترجیحا	t̪əɾziɦɑ
ترجیحات	təɾʒiːhɑːt̪
ترس	t̪əɾs
ترسی	t̪eɾsi
ترسیل	t̪əɾsiːl
ترقی	t̪əɾqi
ترک	t̪əɾk
ترکون	t̪əɾkoːn
ترکوں	t̪əɾkõː
ترکی	t̪eɾki
ترکیبی	t̪eːɾkiːbiː
ترمیم	tɪɾmiːm
ترین	t̪eːriːn
تزئین	teːzæːin
تسبیح	tsæbʰiː
تسلسل	t̪əseleːs
تسلی	tsɪli
تسلیم	tsɪliːm
تسمہ	tsəma
تشخیص	tɪʃhɪd̪ɪs
تشدد	tʃʰeːd̪ː
تشریح	tʃʰeːriːɦ
تشریف	tʃəɾiːf
تشکیل	tʃʰeːkɪl
تشویش	tʃoʊʃ
تصادم	təsɑːd̪əm
تصاویر	t̪əsaːʋiːr
تصدیق	t̪əsdeːq
تصور	təsaːr
تصویر	t̪əˈsˈuːɾ
تصویر	t̪əswiːɾ
تعارف	teːɑːɾiːf
تعاقب	tɑʕɑqː
تعالی	teːʋɑːliː
تعاملات	teːʕɑːmɑːlɑːt
تعاون	tɑːʕɑːwɑːn
تعجب	tɑˈɣːab
تعداد	teːdɑːbɑːr
تعدد	tedul
تعریف	tɑːrɪfɪ
تعزیتی	teːziːtiː
تعطل	teˈʋal
تعلق	teːlaːq
تعلق	t̪əllək
تعلقات	teːlaːqɑːt
تعلیم	t̪ɑːliːm
تعلیم	teːlɪm
تعمیر	teːmɪr
تعمیرات	teʕmiːrɑːt
تعمیراتی	teːmɪraːtiː
تعمیرکرکے	teːmɪrkɾeːkʰeː
تعمیل	teːmɪl
تعویذ	t̪ɑːʋiːð
تعین	teːˈɪn
تعینات	teːʋiːnɑːt
تعیناتی	t̪ɛːnɑːt̪iː
تفتشی	t̪ʊft̪ʃiː
تفتشیش	t̪ʊft̪ʃiːʃ
تفتیش	t̪eːft̪iːʃ
تفتیشی	t̪eːft̪iːʃiː
تفریح	t̪əfɾiːh
تفریحی	t̪əfeːɾɪhɪ
تفصیل	t̪əfɪsɪl
تفصیلات	t̪əfɪsɪlɑːt̪
تفصیلی	t̪əfɪsɪliː
تفہیم	t̪əfeːɦiːm
تفویض	t̪əfoːʋɪd̪
تقاضہ	t̪əqɑːdʒə
تقدیر	ʈʊqɪɾ
تقرر	tɪqɾɾ
تقریب	tɪqriːb
تقریبا	t̪əqɾiːbɑ
تقریباً	tɪqriːbɑːn
تقریبات	t̪əqɾiːbɑːt̪
تقریر	t̪eːqɾiːɾ
تقسیم	t̪əqɪziːm
تقصانات	teqsɑnɑːt̪
تقطیع	təqtiːʕ
تک	t̪ek
تکالیف	t̪əkaːliːf
تکان	t̪əkaːn
تکبر	tegbeɾ
تکڑے	təkɽe
تکلفی	t̪ekl̪fi
تکلیف	t̪ekliːf
تکلیفیں	t̪ekliːfɛ̃
تکمیل	t̪əkmɪl
تکنیکی	t̪ekniːkiː
تکور	t̪əkuːr
تکی	t̪eːkiː
تلاش	t̪əˈlɑːʃ
تلاشی	t̪əlaːʃiː
تلاشیاں	t̪əlaːʃjɑ̃
تلافی	teːlafɪ
تلاوت	t̪əlaːʊt̪
تلخ	t̪əlx
تلفظ	t̪əɭfɪz
تلنگانہ	t̪ɪləŋgɑːna
تلوار	t̪əlʋɑːr
تلواروں	t̪əloːɾɑ̃ː
تلواریں	t̪əloːəɾĩː
تلی	t̪eːliː
تم	t̪eːm
تمارا	t̪əˈmɑːrɑː
تماشا	t̪əmaːʃɑː
تمام	t̪æmɑːm
تمباکو	t̪əmbɑːkoː
تمغہ	t̪əmɣɑ
تمنا	t̪əmnɑ
تمھیں	tə̃meːŋ
تمہارا	t̪əmaːɾə
تمہاراتعلق	t̪əmaːɾaːt̪əɾəlɑq
تمہاری	t̪əmaːɾiː
تمہارے	t̪əmaːɾe
تمہورے	t̪əmoːɾe
تمہيں	t̪eːmɛ̃
تمہیں	t̪əmeːŋ
تمیز	t̪eːmiːz
تن	t̪ən
تناؤ	t̪ənaʊ̯
تنازعات	t̪ənaːzæˈʋæt̪
تنازعہ	t̪ənaːzeʋə
تناسْب	t̪ənaːsb
تناظر	t̪əˈnɑːzər
تنبیہہ	t̪ənbeːɦɑː
تنخواہ	t̪əŋkʰɑː
تنزل	t̪ənzel
تنزیہ	t̪ənziːɑ̃
تنصیب	t̪ənsɪb
تنظیم	t̪əneːdʒ
تنظیمِ	t̪əneːʒiː
تنظیموں	t̪əneːdʒiːũ
تنقید	t̪əŋgiːd̪
تنگ	t̪eŋ
تنگاوالا	t̪eŋgɑːʋɑːlə
تنہا	tənaː
تنہائی	t̪ənaːɪ
تنے	t̪əneː
تھا	θɑː
تھاپ	θɑːp
تھام	θɑːm
تھامس	θɑːməs
تھاموں	θɑːmoːn
تھپتھپائیں	θəpθəpɑ̃
تھرتھری	θɪɾθɪɾi
تھرٹی	θʌrtiː
تھرمل	θɛrml
تھرمین	θɛrmiːn
تھرو	θəro
تھریڈنگ	θɪɾɪɖəŋ
تھک	θək
تھکا	θəkɑ
تھکائیں	θəkɑːẽ
تھکانے	θʊkɑːnɛ
تھکاوٹ	θəkɑːʋt̪
تھکن	θɪkən
تھکی	θəki
تھکے	θeːkə
تھلگ	θəlg
تھنڈر	θənd̪r
تھوڑا	θoɽɑ
تھوڑی	θoːɽi
تھوڑے	θoɽe
تھوکتا	θoːkəta
تھوکتے	θoːkʈe
تھی	θeː
تھیئٹر	θeːʔt̪r̪
تھیٹر	θeːʈʌr
تھیلے	θɪleː
تھیں	θeːn
تھیورو	θeːro
تھے	θeː
تہ	t̪eː
تہا	t̪ɑː
تہائی	teːhɑiː
تہارا	teːɾɑː
تہارے	teːɑːɾeː
تہخµ	teːxʊ
تہذیب	teːhziːb
تہذیبیں	teːʔziːbɪ̃ː
تہران	t̪ɛɦɾɑːn
تہمینہ	teːmɪnə
تہھانے	teːhɑːneː
تہہ	t̪eːh
تہوار	teːɦɑːr
تہوار	t̪eɦʋɑːɾ
تہیں	teː
تو	toː
توازن	ʈoːæzæn
توانائی	ʈʋɑːnɑːiː
توبہ	t̪oːbʱə
توپ	ʈoːp
توپاک	t̪oːpɑk
توثیقی	ʈoːθɪqiː
توجہ	toːgʌ
تورا	t̪oːrɑː
تورات	t̪oːɾɑːt̪
توری	t̪oːɾiː
توڑ	t̪oːɽ
توڑا	t̪oːɽɑː
توڑنا	t̪oːɽnɑː
توڑنے	ʈoːɽneː
توڑو	t̪oːɽoː
توسیع	teːsuːsiːʔ
توقع	tɑːʋɑːjæ
توقف	tʊqˈfɑː
توک	t̪oːk
توکیا	t̪oːki̯ɑː
توگئے	t̪oːgeː
تول	t̪oːl
تولیدی	t̪oːliːdi
تولیہ	t̪oːliːɑː
تولیے	t̪oːliːe
تومعلوم	t̪oːmoːzɑːm
تومیں	t̪oːmẽː
تونہیں	t̪oːnʱẽː
تونے	t̪oːn̪e
توہین	toːhɪn
تیار	t̪iːəɾ
تیار-کھانے	t̪iːəɾkʰɑːne
تیاری	t̪iːɑːɾiː
تیج	t̪iːdʒ
تیر	t̪iːr
تیرا	teːrɑː
تیری	t̪iːriː
تیرے	teːre
تیز	tiːz
تیزی	t̪iːziː
تیس	t̪iːs
تیسرا	teːsəɾɑ
تیسری	teːsriː
تیسرے	t̪iːsəɾe
تیل	t̪iːl
تیلا	tɪlə
تیمتیس	teːmtiːs
تیمور	teːmoːr
تین	tin
تینوں	t̪iːnuː
تے	te
ث	θ
ثءِ	θeː
ثءز	θeːz
ثؤ	θoʊ
ثإُ	θɛu
ثابت	θɑːbɪt
ثانی	θɑːniː
ثبوت	θəboːt
ثقافت	θɑqɑft
ثقافتی	θɪkɑːftiː
ثمود	θʊmʊd
ثہ	θɛ
ثواب	θʊˈβɑː
ثيودوسيوس	θeːoːd̪oːsiːoːs
ٹا	ʈɑː
ٹائٹس	ʈɑɪt̪s
ٹائٹن	ʈɑɪt̪n
ٹائر	ʈɑɪr
ٹائم	ʈɑːɪm
ٹائمر	ʈɑːɪmər
ٹائمز	ʈɑːimeːz
ٹائی	ʈɑi
ٹائیگر	ʈɑɪgər
ٹاپ	ʈɑp
ٹار	t̪ɑːr
ٹارگٹ	ʈɑːɾgəʈ
ٹارگیٹ	ʈɑːɾgɪt̪
ٹاسک	ʈɑːsk
ٹافٹ	ʈɑːfʈ
ٹاک	ʈɑk
ٹاکنگ	ʈɑːkɪŋ
ٹام	ʈɑːm
ٹامی	ʈəmi
ٹانگ	ʈaŋ
ٹانگوں	ʈaːŋgoːn
ٹانگیں	ʈəŋgeː
ٹاور	ʈɑuːr
ٹاورز	ʈɔːʋəɾz
ٹپکاو	ʈʊpkaʊ
ٹچ	ʈɪtʃ
ٹرائل	tɾɑɪl
ٹرائلز	tɾɑɪlz
ٹرالی	tɾɑːli
ٹرانزٹ	ʈrɑnzɪt̪
ٹرانسپورٹ	ʈrɑːnspʊɾt̪
ٹرانسپورٹر	ʈɾənspʊɾt̪əɾ
ٹرانسپونڈر	ʈrɑnspʊnɖəɾ
ٹرانسپیرنسی	ʈɾənsəpɪrnsi
ٹرانسفر	t̪rənsfeɾ
ٹرانسمیٹر	ʈrɑnsəmɪt̪r
ٹرانسمیشن	ʈrɑnsmiːʃɑn
ٹربو	ʈʊɾboː
ٹرپل	tɾʊpəl
ٹرسٹ	ʈəɾsət
ٹرف	ʈəɾf
ٹرک	ʈʊɾk
ٹرکوں	tɾəkõː
ٹرگر	tɪgɾ
ٹرم	ʈəɾm
ٹرمنیٹر	tɾʊmɪnɪt̪ɾ
ٹرمینل	ʈɾeːmiːnəl
ٹرن	t̪rən
ٹرناراؤنڈ	ʈɾənɑːɾoʊ̯nd
ٹرنک	tɾənk
ٹروجن	ʈroːgən
ٹریٹمنٹ	treːt̪mən̪t̪
ٹریڈ	tɾeːɽ
ٹریڈنگ	ʈɾeːɖiŋ
ٹریس	tɾeːs
ٹریفک	ʈɾɪfɪk
ٹریک	ʈɾeːk
ٹریکر	tɾeːkəɾ
ٹریکنگ	ʈɾeːkɪŋ
ٹریکی	t̪ɾeːki
ٹریلر	t̪ɾeːlɾ
ٹرین	ʈɾeːn
ٹرینر	t̪ɾeːnɾ
ٹریننگ	ʈɾeːnɪŋ
ٹرینوں	t̪ɾeːnõː
ٹریور	t̪ɾeːoɾ
ٹریول	tɾeːol
ٹشو	ʈʃo
ٹکتا	ʈʰkʈʰt̪ɑ
ٹکٹ	ʈkʌt̪
ٹکٹکی	ʈʌkʈi
ٹکرا	ʈkɾɑ
ٹکرانا	ʈʊkɾɑːnɑ
ٹکرانے	ʈkɾɑːne
ٹکرایا	ʈʊkɾɑːjɑː
ٹکڑا	ʈkəɽɑ
ٹکڑے	ʈkəɽe
ٹکی	ʈʰkiː
ٹمٹمانے	ʈʊmt̪mʊnɛ
ٹن	t̪ə̃
ٹنکر	ʈəŋkəɾ
ٹھاک	ʈʰaːk
ٹھٹھہ	ʈʈʰə
ٹھکانہ	ʈʰkɑːnə
ٹھکانے	ʈʰkəne
ٹھگ	ʈʰəg
ٹھنڈا	ʈʰə̃ɳɖɑ
ٹھنڈی	ʈʰənd̪iː
ٹھنڈے	ʈʰənde
ٹھہر	ʈʰʰeːr
ٹھہرئے	ʈʰʰeːrɛː
ٹھہرایا	ʈʰʰeːɾɑːjɑː
ٹھہرنا	ʈʰɛːɾnɑː
ٹھہرو	ʈʰəro
ٹھہریئے	ʈʰəɾiːe
ٹھہریں	ʈʰəɾeːn
ٹھہرے	ʈʰʰeːre
