吖笨	aa˥ ban˨
禁慾主義	gam˧ juk˨ zyu˧˥ ji˨
禁漁	gam˧ jyu˨˩
咁勤奮	gam˧ kan˨˩ fan˩˧
咁近城隍廟都唔求支好籤	gam˧ kan˩˧ sing˨˩ wong˨˩ miu˧˥ dou˥ m˨˩ kau˨˩ zi˥ hou˧˥ cim˥
禁購	gam˧ kau˧
贛劇	gam˧ kek˨
禁區	gam˧ keoi˥
咁巧	gam˧ kiu˧˥
咁巧呀	gam˧ kiu˧˥ aa˨˩
咁懶喎	gam˧ laan˩˧ wo˧
咁爛個喎	gam˧ laan˨ go˧ waa˥
咁撈	gam˧ laau˥
咁論盡	gam˧ leon˨ zeon˨
咁零丁	gam˧ ling˨˩ ding˥
禁令	gam˧ ling˨
咁瞭解	gam˧ liu˩˧ gaai˧˥
咁咯喔	gam˧ lok˧ ak˥
咁狼胎	gam˧ long˨˩ toi˥
咁老友	gam˧ lou˩˧ jau˩˧
咁慢嘅	gam˧ maan˨ ge˧
咁吻水	gam˧ man˩˧ seoi˧˥
咁盟塞	gam˧ mang˨˩ sak˥
咁嚤	gam˧ mo˥
咁無奈	gam˧ mou˨˩ noi˨
咁難明	gam˧ naan˨˩ ming˨˩
咁撚重口	gam˧ nan˧˥ cung˩˧ hau˧˥
咁撚死樣	gam˧ nan˧˥ sei˧˥ joeng˨
咁啱	gam˧ ngaam˥
咁啱吖	gam˧ ngaam˥ aa˥
咁啱啊	gam˧ ngaam˥ aa˧˥
咁啱得咁橋	gam˧ ngaam˥ dak˥ gam˧ kiu˧˥
咁啱得咁蹺	gam˧ ngaam˥ dak˥ gam˧ kiu˧˥
咁啱嘅嘢	gam˧ ngaam˥ ge˧˥ je˩˧
咁啱線	gam˧ ngaam˥ sin˧
咁內	gam˧ noi˨
咁耐㗎	gam˧ noi˨ gaa˧
咁耐以嚟	gam˧ noi˨ ji˩˧ lai˨˩
咁耐喇	gam˧ noi˨ laa˧
咁耐冇見	gam˧ noi˨ mou˩˧ gin˧
咁惡頂	gam˧ ok˧ ding˧˥
咁惡啃	gam˧ ok˧ kang˧˥
咁孱	gam˧ saan˨˩
咁神速	gam˧ san˨˩ cuk˥
咁神心	gam˧ san˨˩ sam˥
禁受	gam˧ sau˨
禁食	gam˧ sik˨
噤聲令	gam˧ sing˥ ling˨
咁少少嘢	gam˧ siu˧˥ siu˧˥ je˩˧
咁上下	gam˧ soeng˨ haa˧˥
咁熟都吠	gam˧ suk˨ dou˥ fai˨
禁書	gam˧ syu˥
咁嘆	gam˧ taan˧
咁睇得起	gam˧ tai˧˥ dak˥ hei˧˥
咁睇唔開	gam˧ tai˧˥ m˨˩ hoi˥
禁條	gam˧ tiu˨˩
禁衛	gam˧ wai˨
禁運	gam˧ wan˨
禁運令	gam˧ wan˨ ling˨
咁渣嘅	gam˧ zaa˥ ge˧
咁盞	gam˧ zaan˧˥
禁制	gam˧ zai˧
禁制令	gam˧ zai˧ ling˨
咁制	gam˧ zai˨
咁滯	gam˧ zai˨
咁濟	gam˧ zai˨
贛州地區	gam˧ zau˥ dei˨ keoi˥
禁止	gam˧ zi˧˥
禁止喧嘩	gam˧ zi˧˥ hyun˥ waa˥
禁止吸菸	gam˧ zi˧˥ kap˥ jin˥
禁止外出	gam˧ zi˧˥ ngoi˨ ceot˥
禁止駛入	gam˧ zi˧˥ sai˧˥ jap˨
禁止停車	gam˧ zi˧˥ ting˨˩ ce˥
咁直接	gam˧ zik˨ zip˧
咁賤	gam˧ zin˨
咁正常	gam˧ zing˧ soeng˨˩
咁早返	gam˧ zou˧˥ faan˥
禁做	gam˧ zou˨
禁足	gam˧ zuk˥
禁絕	gam˧ zyut˨
撳沉	gam˨ cam˨˩
㩒錢	gam˨ cin˧˥
撳錢	gam˨ cin˧˥
撳錯	gam˨ co˧
㩒地游水	gam˨ dei˨ jau˨˩ seoi˧˥
撳地游水	gam˨ dei˨ jau˨˩ seoi˧˥
㩒釘	gam˨ deng˥
撳釘	gam˨ deng˥
撳電掣	gam˨ din˨ zai˧
㩒風琴	gam˨ fung˥ kam˨˩
㩒機	gam˨ gei˥
撳機	gam˨ gei˥
㩒下盅	gam˨ haa˩˧ zung˥
㩒𨋢	gam˨ lip˥
撳𨋢	gam˨ lip˥
撳門鐘	gam˨ mun˨˩ zung˥
撳芯筆	gam˨ sam˥ bat˥
撳實	gam˨ sat˨
㩒水	gam˨ seoi˧˥
撳熄	gam˨ sik˥
撳停個掣	gam˨ ting˨˩ go˧ zai˧
㩒掣	gam˨ zai˧
撳掣	gam˨ zai˧
㩒鷓鴣	gam˨ ze˧ gu˥
撳鷓鴣	gam˨ ze˧ gu˥
撳鐘仔	gam˨ zung˥ zai˧˥
撳住嚟搶	gam˨ zyu˨ lai˨˩ coeng˧˥
㩒住頭	gam˨ zyu˨ tau˨˩
撳住頭	gam˨ zyu˨ tau˨˩
跟班	gan˥ baan˥
跟包	gan˥ baau˥
根本	gan˥ bun˧˥
根本法	gan˥ bun˧˥ faat˧
根茬	gan˥ caa˨˩
跟車	gan˥ ce˥
跟車太貼	gan˥ ce˥ taai˧ tip˧
根除	gan˥ ceoi˨˩
跟隨	gan˥ ceoi˨˩
跟前	gan˥ cin˨˩
跟唱	gan˥ coeng˧
跟從	gan˥ cung˨˩
跟大隊	gan˥ daai˨ deoi˧˥
根底	gan˥ dai˧˥
根柢	gan˥ dai˧˥
跟得夫人	gan˥ dak˥ fu˥ jan˨˩
跟兜	gan˥ dau˥
筋斗	gan˥ dau˧˥
跟斗	gan˥ dau˧˥
筋斗雲	gan˥ dau˧˥ wan˨˩
觔斗雲	gan˥ dau˧˥ wan˨˩
跟隊	gan˥ deoi˧˥
跟到貼	gan˥ dou˧ tip˧
跟風	gan˥ fung˥
斤斤較量	gan˥ gan˥ gaau˧ loeng˨
斤斤計較	gan˥ gan˥ gai˧ gaau˧
根基	gan˥ gei˥
跟機	gan˥ gei˥
根據	gan˥ geoi˧
跟腳	gan˥ goek˧
跟官咁耐唔知官姓乜	gan˥ gun˥ gam˧ noi˨ m˨˩ zi˥ gun˥ sing˧ mat˥
筋骨	gan˥ gwat˥
巾幗英雄	gan˥ gwok˧ jing˥ hung˨˩
巾幗鬚眉	gan˥ gwok˧ sou˥ mei˨˩
跟下眼	gan˥ haa˩˧ ngaan˩˧
根號	gan˥ hou˧˥
跟紅頂白	gan˥ hung˨˩ ding˧˥ baak˨
根音	gan˥ jam˥
根由	gan˥ jau˨˩
斤嘢	gan˥ je˩˧
根源	gan˥ jyun˨˩
跟距	gan˥ keoi˩˧
斤両	gan˥ loeng˧˥
斤兩	gan˥ loeng˧˥
跟佬	gan˥ lou˧˥
跟屘	gan˥ mei˥
跟屘狗	gan˥ mei˥ gau˧˥
跟尾	gan˥ mei˩˧
跟尾狗	gan˥ mei˩˧ gau˧˥
跟屁蟲	gan˥ pei˧ cung˨˩
筋疲力盡	gan˥ pei˨˩ lik˨ zeon˨
根深柢固	gan˥ sam˥ dai˧˥ gu˧
根深蒂固	gan˥ sam˥ dai˧ gu˧
根深葉茂	gan˥ sam˥ jip˨ mau˨
跟身	gan˥ san˥
跟手	gan˥ sau˧˥
跟手尾	gan˥ sau˧˥ mei˩˧
跟誰打	gan˥ seoi˨˩ daa˧
根鬚	gan˥ sou˥
根數	gan˥ sou˧
跟頭蟲	gan˥ tau˨˩ cung˨˩
跟團	gan˥ tyun˨˩
根汁汽水	gan˥ zap˥ hei˧ seoi˧˥
跟進	gan˥ zeon˧
根治	gan˥ zi˨
跟着	gan˥ zoek˨
根狀莖	gan˥ zong˨ ging˧
跟足	gan˥ zuk˥
跟蹤	gan˥ zung˥
跟蹤狂	gan˥ zung˥ kwong˨˩
跟注	gan˥ zyu˧
跟住	gan˥ zyu˨
跟住你就	gan˥ zyu˨ nei˩˧ zau˨
跟住我	gan˥ zyu˨ ngo˩˧
根絕	gan˥ zyut˨
緊握	gan˧˥ aak˥
緊巴巴	gan˧˥ baa˥ baa˥
緊閉	gan˧˥ bai˧
緊繃繃	gan˧˥ bang˥ bang˥
緊迫	gan˧˥ bik˥
緊逼	gan˧˥ bik˥
緊迫盯人	gan˧˥ bik˥ deng˥ jan˨˩
緊湊	gan˧˥ cau˧
僅次	gan˧˥ ci˧
緊俏	gan˧˥ ciu˧
堇菜	gan˧˥ coi˧
僅存	gan˧˥ cyun˨˩
緊火	gan˧˥ fo˧˥
謹防	gan˧˥ fong˨˩
謹防假冒	gan˧˥ fong˨˩ gaa˧˥ mou˨
謹防扒手	gan˧˥ fong˨˩ paa˨˩ sau˧˥
僅僅	gan˧˥ gan˧˥
僅僅如此	gan˧˥ gan˧˥ jyu˨˩ ci˧˥
緊急	gan˧˥ gap˥
緊急危害	gan˧˥ gap˥ ngai˨˩ hoi˨
緊記	gan˧˥ gei˧
謹記	gan˧˥ gei˧
僅據	gan˧˥ geoi˧
巹飲	gan˧˥ jam˧˥
僅有	gan˧˥ jau˩˧
緊衣縮食	gan˧˥ ji˥ suk˥ sik˨
僅以身免	gan˧˥ ji˩˧ san˥ min˩˧
謹嚴	gan˧˥ jim˨˩
謹言慎行	gan˧˥ jin˨˩ san˨ hang˨˩
緊要	gan˧˥ jiu˧
緊要啦	gan˧˥ jiu˧ la˥
僅餘	gan˧˥ jyu˨˩
謹啓	gan˧˥ kai˧˥
緊鑼密鼓	gan˧˥ lo˨˩ mat˨ gu˧˥
緊唔緊要	gan˧˥ m˨˩ gan˧˥ jiu˧
緊綳綳	gan˧˥ maang˥ maang˥
緊密	gan˧˥ mat˨
緊密配合	gan˧˥ mat˨ pui˧ hap˨
緊密相聯	gan˧˥ mat˨ soeng˥ lyun˨˩
緊身	gan˧˥ san˥
緊身褲	gan˧˥ san˥ fu˧
謹慎	gan˧˥ san˨
謹小慎微	gan˧˥ siu˧˥ san˨ mei˨˩
謹上	gan˧˥ soeng˩˧
緊縮	gan˧˥ suk˥
緊貼	gan˧˥ tip˧
緊集	gan˧˥ zaap˨
緊擠	gan˧˥ zai˥
緊接	gan˧˥ zip˧
緊張	gan˧˥ zoeng˥
緊張大師	gan˧˥ zoeng˥ daai˨ si˥
緊張感	gan˧˥ zoeng˥ gam˧˥
緊張緩和	gan˧˥ zoeng˥ wun˨ wo˨˩
僅作參考	gan˧˥ zok˧ caam˥ haau˧˥
緊絀	gan˧˥ zyut˧
覲見	gan˧ gin˧
近磅	gan˨ bong˨
近親	gan˨ can˥
近親交配	gan˨ can˥ gaau˥ pui˧
近似	gan˨ ci˩˧
近似等級	gan˨ ci˩˧ dang˧˥ kap˥
近似解	gan˨ ci˩˧ gaai˧˥
近廚得食	gan˨ cyu˨˩ dak˥ sik˨
近地點	gan˨ dei˨ dim˧˥
近地天體	gan˨ dei˨ tin˥ tai˧˥
近代	gan˨ doi˨
近端胞漿	gan˨ dyun˥ baau˥ zoeng˥
近況	gan˨ fong˧
近乎	gan˨ fu˨˩
近乎同步	gan˨ fu˨˩ tung˨˩ bou˨
近郊	gan˨ gaau˥
近郊區	gan˨ gaau˥ keoi˥
近幾週來	gan˨ gei˧˥ zau˥ loi˨˩
近光燈	gan˨ gwong˥ dang˥
近鄉情怯	gan˨ hoeng˥ cing˨˩ hip˧
近因	gan˨ jan˥
近日	gan˨ jat˨
近日點	gan˨ jat˨ dim˧˥
近義詞	gan˨ ji˨ ci˨˩
近期	gan˨ kei˨˩
近來	gan˨ loi˨˩
近聞	gan˨ man˨˩
近年	gan˨ nin˨˩
近排	gan˨ paai˨˩
近身妹	gan˨ san˥ mui˥
近臣	gan˨ san˨˩
近水樓臺	gan˨ seoi˧˥ lau˨˩ toi˨˩
近水樓臺先得月	gan˨ seoi˧˥ lau˨˩ toi˨˩ sin˥ dak˥ jyut˨
近視	gan˨ si˨
近體詩	gan˨ tai˧˥ si˥
近戰	gan˨ zin˧
近在咫尺	gan˨ zoi˨ zi˧˥ cek˧
近朱近墨	gan˨ zyu˥ gan˨ mak˨
近朱者赤，近墨者黑	gan˨ zyu˥ ze˧˥ cek˧ gan˨ mak˨ ze˧˥ haak˥
近住	gan˨ zyu˨
更始	gang˥ ci˧˥
羹匙	gang˥ ci˨˩
更遞	gang˥ dai˨
更代	gang˥ doi˨
粳稻	gang˥ dou˨
更番	gang˥ faan˥
更改	gang˥ goi˧˥
㹴犬	gang˥ hyun˧˥
更衣室	gang˥ ji˥ sat˥
更弦易轍	gang˥ jin˨˩ ji˨ cit˧
羹藜含糗	gang˥ lai˨˩ ham˨˩ cau˧
羹藜唅糗	gang˥ lai˨˩ ham˨˩ cau˧
粳米	gang˥ mai˩˧
更名	gang˥ ming˨˩
更年期	gang˥ nin˨˩ kei˨˩
更生人士	gang˥ saang˥ jan˨˩ si˨
庚申	gang˥ san˥
更新	gang˥ san˥
更生	gang˥ sang˥
更替	gang˥ tai˧
羹湯	gang˥ tong˥
更換	gang˥ wun˨
庚子國變	gang˥ zi˧˥ gwok˧ bin˧
更正	gang˥ zing˧
更正錯誤	gang˥ zing˧ co˧ ng˨
梗板	gang˧˥ baan˧˥
耿餅	gang˧˥ beng˧˥
骾嚫	gang˧˥ can˥
鯁嚫	gang˧˥ can˧
梗廚	gang˧˥ cyu˨˩
梗房	gang˧˥ fong˧˥
耿耿於懷	gang˧˥ gang˧˥ jyu˥ waai˨˩
梗頸	gang˧˥ geng˧˥
骾頸	gang˧˥ geng˧˥
梗頸四	gang˧˥ geng˧˥ sei˧
亙古不變	gang˧˥ gu˧˥ bat˥ bin˧
亘古以來	gang˧˥ gu˧˥ ji˩˧ loi˨˩
亙古未有	gang˧˥ gu˧˥ mei˨ jau˩˧
亙古通今	gang˧˥ gu˧˥ tung˥ gam˥
梗係	gang˧˥ hai˨
梗係得啦	gang˧˥ hai˨ dak˥ laa˥
梗係啦	gang˧˥ hai˨ laa˥
梗係識喇	gang˧˥ hai˨ sik˥ laa˧
梗係制啦	gang˧˥ hai˨ zai˧ laa˥
哽咽	gang˧˥ jin˥
哽噎	gang˧˥ jit˧
梗咽	gang˧˥ jit˧
梗約	gang˧˥ joek˧
梗概	gang˧˥ koi˧
鯁唔落	gang˧˥ m˨˩ lok˨
梗塞	gang˧˥ sak˥
梗心梗肺	gang˧˥ sam˥ gang˧˥ fai˧
梗頭	gang˧˥ tau˧˥
耿直	gang˧˥ zik˨
更加	gang˧ gaa˥
更加之	gang˧ gaa˥ zi˥
更高性能	gang˧ gou˥ sing˧ nang˨˩
更上一層樓	gang˧ soeng˩˧ jat˥ cang˨˩ lau˨˩
更之	gang˧ zi˥
急呀	gap˥ aa˨˩
急板	gap˥ baan˧˥
急不可待	gap˥ bat˥ ho˧˥ doi˨
急不及待	gap˥ bat˥ kap˨ doi˨
急步	gap˥ bou˨
急馳	gap˥ ci˨˩
急切	gap˥ cit˧
急纔	gap˥ coi˨˩
急噪	gap˥ cou˧
急躁	gap˥ cou˧
急促	gap˥ cuk˥
急速	gap˥ cuk˥
急匆匆	gap˥ cung˥ cung˥
急到爆缸	gap˥ dou˧ baau˧ gong˥
急到瀨	gap˥ dou˧ laai˨
急凍	gap˥ dung˧
急凍食物	gap˥ dung˧ sik˨ mat˨
急婚族	gap˥ fan˥ zuk˨
急風暴雨	gap˥ fung˥ bou˨ jyu˩˧
急急	gap˥ gap˥
急急腳	gap˥ gap˥ goek˧
急急腳噉	gap˥ gap˥ goek˧ gam˧˥
急急腳去	gap˥ gap˥ goek˧ heoi˧
急急口	gap˥ gap˥ hau˧˥
急急忙忙	gap˥ gap˥ mong˨˩ mong˨˩
急救	gap˥ gau˧
急救醫療	gap˥ gau˧ ji˥ liu˨˩
急驚	gap˥ geng˥
急件	gap˥ gin˧˥
急功近利	gap˥ gung˥ gan˨ lei˨
蛤拐	gap˥ gwaai˧˥
急行軍	gap˥ hang˨˩ gwan˥
急口令	gap˥ hau˧˥ ling˨
急起直追	gap˥ hei˧˥ zik˨ zeoi˥
急人之難	gap˥ jan˨˩ zi˥ naan˨˩
急於	gap˥ jyu˥
急於求成	gap˥ jyu˥ kau˨˩ sing˨˩
急於星火	gap˥ jyu˥ sing˥ fo˧˥
急如星火	gap˥ jyu˨˩ sing˥ fo˧˥
急劇	gap˥ kek˨
急流勇退	gap˥ lau˨˩ jung˩˧ teoi˧
急唔急	gap˥ m˨˩ gap˥
急唔嚟	gap˥ m˨˩ lai˨˩
急忙	gap˥ mong˨˩
急難	gap˥ naan˨
急眼	gap˥ ngaan˩˧
急尿	gap˥ niu˨
急拍拍	gap˥ paak˧ paak˧
急剎車	gap˥ saat˧ ce˥
急修	gap˥ sau˥
急需	gap˥ seoi˥
急需品	gap˥ seoi˥ ban˧˥
急需解決	gap˥ seoi˥ gaai˧˥ kyut˧
急屎	gap˥ si˧˥
急事	gap˥ si˨
急性	gap˥ sing˧
急性腸炎	gap˥ sing˧ coeng˧˥ jim˨˩
急性人	gap˥ sing˧ jan˨˩
急性咽炎	gap˥ sing˧ jin˥ jim˨˩
急性照射	gap˥ sing˧ ziu˧ se˨
急湍	gap˥ teon˥
急停	gap˥ ting˨˩
急彎	gap˥ waan˥
急彎位	gap˥ waan˥ wai˧˥
急襲	gap˥ zaap˨
急驟	gap˥ zau˨
急就章	gap˥ zau˨ zoeng˥
急進	gap˥ zeon˧
急智	gap˥ zi˧
急症	gap˥ zing˧
急症室	gap˥ zing˧ sat˥
急中生智	gap˥ zung˥ sang˥ zi˧
急住	gap˥ zyu˨
急轉直下	gap˥ zyun˧˥ zik˨ haa˨
合肥	gap˧ fei˨˩
合口	gap˧ hau˧˥
蛤蜊	gap˧ lei˨˩
合唔合格	gap˧ m˨˩ hap˨ gaak˧
合你意	gap˧ nei˩˧ ji˧
佮手佮腳	gap˧ sau˧˥ gap˧ goek˧
鴿子	gap˧ zi˧˥
及第粥	gap˨ dai˧˥ zuk˥
𥄫到實	gap˨ dou˧ sat˨
𥄫緊	gap˨ gan˧˥
𥄫𥄫	gap˨ gap˨
𥄫下	gap˨ haa˩˧
𥄫嘢	gap˨ je˧
𥄫女	gap˨ neoi˩˧
𥄫實晒	gap˨ sat˨ saai˧
𥄫仔	gap˨ zai˧˥
𥄫住	gap˨ zyu˨
𥄫住佢	gap˨ zyu˨ keoi˩˧
𥄫住晒	gap˨ zyu˨ saai˧
吉布提	gat˥ bou˧ tai˨˩
吉卜賽人	gat˥ buk˥ coi˧ jan˨˩
㓤親	gat˥ can˥
㓤親手	gat˥ can˥ sau˧˥
㓤出血	gat˥ ceot˥ hyut˧
吉祥	gat˥ coeng˨˩
吉祥物	gat˥ coeng˨˩ mat˨
咭咭呱呱	gat˥ gat˥ gwaa˥ gwaa˥
㓤個窿	gat˥ go˧ lung˥
㓤喉	gat˥ hau˨˩
吉凶未卜	gat˥ hung˥ mei˨ buk˥
吉人天相	gat˥ jan˨˩ tin˥ soeng˧
吉人自有天相	gat˥ jan˨˩ zi˨ jau˩˧ tin˥ soeng˧
吉日	gat˥ jat˨
吉儀	gat˥ ji˨˩
吉爾吉斯	gat˥ ji˩˧ gat˥ si˥
㓤肉	gat˥ juk˨
吉林	gat˥ lam˨˩
吉利	gat˥ lei˨
吉列	gat˥ lit˨
訖了	gat˥ liu˩˧
吉隆坡	gat˥ lung˨˩ bo˥
吉隆波	gat˥ lung˨˩ bo˥
吉木乃	gat˥ muk˨ naai˩˧
吉尼斯	gat˥ nei˨˩ si˥
吉安鄉	gat˥ on˥ hoeng˥
吉澳	gat˥ ou˧
吉普車	gat˥ pou˧˥ ce˥
吉普賽	gat˥ pou˧˥ coi˧
吉普賽人	gat˥ pou˧˥ coi˧ jan˨˩
吉士	gat˥ si˧˥
吉時	gat˥ si˨˩
吉事	gat˥ si˨
吉士蛋	gat˥ si˨ daan˧˥
吉事果	gat˥ si˨ gwo˧˥
吉星高照	gat˥ sing˥ gou˥ ziu˧
吉兆	gat˥ siu˨
㓤傷	gat˥ soeng˥
拮傷	gat˥ soeng˥
吉他	gat˥ taa˥
吉屋招租	gat˥ uk˥ ziu˥ zou˥
吉娃娃	gat˥ waa˥ waa˥
吉州區	gat˥ zau˥ keoi˥
吉之島	gat˥ zi˥ dou˧˥
桔子	gat˥ zi˧˥
吉字節	gat˥ zi˨ zit˧
趌跛跛	gat˨ bai˥ bai˥
趷跛跛	gat˨ bai˥ bai˥
趌腳	gat˨ goek˧
趷腳	gat˨ goek˧
趷高	gat˨ gou˥
趷下趷下	gat˨ haa˩˧ gat˨ haa˩˧
喫口喫舌	gat˨ hau˧˥ gat˨ sit˨
趷起	gat˨ hei˧˥
趷起身	gat˨ hei˧˥ san˥
趷起條尾	gat˨ hei˧˥ tiu˨˩ mei˩˧
趌開	gat˨ hoi˥
趷路	gat˨ lou˨
疙疸	gat˨ taan˧˥
鳩噏	gau˥ ap˥
鳩揈	gau˥ fing˨
鳩揈揈	gau˥ fing˨ fing˨
鳩鳩地	gau˥ gau˥ dei˧˥
鳩江	gau˥ gong˥
鳩痕	gau˥ han˨˩
鳩合	gau˥ hap˨
鳩笠	gau˥ lap˥
佝僂病	gau˥ lau˨˩ beng˨
鳩流流	gau˥ lau˨˩ lau˨˩
鳩佬	gau˥ lou˧˥
鳩毛	gau˥ mou˨˩
鳩毛放紙鷂	gau˥ mou˨˩ fong˧ zi˧˥ jiu˧˥
鳩毛咁少	gau˥ mou˨˩ gam˧ siu˧˥
鳩硬冇親戚	gau˥ ngaang˨ mou˩˧ can˥ cik˥
鳩噏當祕笈	gau˥ ngap˥ dong˧ bei˧ kap˥
鳩劈	gau˥ pek˧
㞗屎	gau˥ si˧˥
鳩屎	gau˥ si˧˥
鳩屎嘢	gau˥ si˧˥ je˩˧
鳩縮	gau˥ suk˥
鳩話	gau˥ waa˧˥
鳩嗚	gau˥ wu˥
鳩集	gau˥ zaap˨
鳩就	gau˥ zau˨
鳩支孖碌	gau˥ zi˥ maa˥ luk˥
鳩佔鵲巢	gau˥ zim˧ zoek˧ caau˨˩
鳩朘	gau˥ zoe˥
鳩做	gau˥ zou˨
九廿幾	gau˧˥ aa˨ gei˧˥
狗噏	gau˧˥ ap˥
九巴	gau˧˥ baa˥
九巴總部	gau˧˥ baa˥ zung˧˥ bou˨
九百畝	gau˧˥ baak˧ mau˩˧
九不搭八	gau˧˥ bat˥ daap˧ baat˧
久不久	gau˧˥ bat˥ gau˧˥
狗不理	gau˧˥ bat˥ lei˨˩
狗屄	gau˧˥ bei˥
狗髀架	gau˧˥ bei˧˥ gaa˧˥
狗臂架	gau˧˥ bei˧ gaa˧˥
狗餅	gau˧˥ beng˧˥
久病牀前無孝子	gau˧˥ beng˨ cong˨˩ cin˨˩ mou˨˩ haau˧ zi˧˥
久病成醫	gau˧˥ beng˨ sing˨˩ ji˥
久別重逢	gau˧˥ bit˨ cung˨˩ fung˨˩
狗賊	gau˧˥ caak˨
糾察	gau˧˥ caat˧
九七	gau˧˥ cat˥
苟且	gau˧˥ ce˧˥
狗扯羊皮	gau˧˥ ce˧˥ joeng˨˩ pei˨˩
苟且偷安	gau˧˥ ce˧˥ tau˥ on˥
苟且偷生	gau˧˥ ce˧˥ tau˥ sang˥
苟取	gau˧˥ ceoi˧˥
九旬老人	gau˧˥ ceon˨˩ lou˩˧ jan˨˩
九出十三歸	gau˧˥ ceot˥ sap˨ saam˥ gwai˥
九齒釘耙	gau˧˥ ci˧˥ deng˥ baa˧
九淺一深	gau˧˥ cin˧˥ jat˥ sam˥
糾纏	gau˧˥ cin˨˩
糾纏不清	gau˧˥ cin˨˩ bat˥ cing˥
韭菜	gau˧˥ coi˧
韮菜	gau˧˥ coi˧
狗衝	gau˧˥ cung˥
九重霄	gau˧˥ cung˨˩ siu˥
九重天	gau˧˥ cung˨˩ tin˥
苟存	gau˧˥ cyun˨˩
九泉之下	gau˧˥ cyun˨˩ zi˥ haa˨
狗帶	gau˧˥ daai˧˥
九大簋	gau˧˥ daai˨ gwai˧˥
九大鬼	gau˧˥ daai˨ gwai˧˥
狗膽包天	gau˧˥ daam˧˥ baau˥ tin˥
狗逮老鼠	gau˧˥ dai˨ lou˩˧ syu˧˥
狗竇	gau˧˥ dau˧
狗竇大開	gau˧˥ dau˧ daai˨ hoi˥
狗竇咁亂	gau˧˥ dau˧ gam˧ lyun˨
九鼎	gau˧˥ ding˧˥
狗屌	gau˧˥ diu˧˥
九代單傳	gau˧˥ doi˨ daan˥ cyun˨˩
狗都唔睺	gau˧˥ dou˥ m˨˩ hau˥
九反地	gau˧˥ faan˧˥ dei˨
九反之地	gau˧˥ faan˧˥ zi˥ dei˨
狗吠	gau˧˥ fai˨
糾紛	gau˧˥ fan˥
九分之一	gau˧˥ fan˨ zi˥ jat˥
久負盛名	gau˧˥ fu˨ sing˨ ming˨˩
狗獾	gau˧˥ fun˥
久闊	gau˧˥ fut˧
久假不歸	gau˧˥ gaa˧ bat˥ gwai˥
九咁長	gau˧˥ gam˧ coeng˨˩
九九表	gau˧˥ gau˧˥ biu˧˥
九九重陽	gau˧˥ gau˧˥ cung˨˩ joeng˨˩
九九九	gau˧˥ gau˧˥ gau˧˥
九九機	gau˧˥ gau˧˥ gei˥
九九歸一	gau˧˥ gau˧˥ gwai˥ jat˥
狗狗浴室	gau˧˥ gau˧˥ juk˨ sat˥
九九乘法	gau˧˥ gau˧˥ sing˨˩ faat˧
赳赳	gau˧˥ gau˧˥[dau˧˥ dau˧˥]
枸杞	gau˧˥ gei˧˥
久經	gau˧˥ ging˥
狗經	gau˧˥ ging˥
久經考驗	gau˧˥ ging˥ haau˧˥ jim˨
糾結	gau˧˥ git˧
狗叫聲	gau˧˥ giu˧ seng˥
狗腳	gau˧˥ goek˧
狗牯	gau˧˥ gu˧˥
狗官	gau˧˥ gun˥
狗公	gau˧˥ gung˥
九宮格	gau˧˥ gung˥ gaak˧
狗公山	gau˧˥ gung˥ saan˥
狗棍	gau˧˥ gwan˧
九廣鐵路	gau˧˥ gwong˧˥ tit˧ lou˨
九校聯盟	gau˧˥ haau˨ lyun˨˩ mang˨˩
狗閪	gau˧˥ hai˥
狗口長不出象牙	gau˧˥ hau˧˥ zoeng˧˥ bat˥ ceot˥ zoeng˨ ngaa˨˩
狗喫屎	gau˧˥ hek˧ si˧˥
九號	gau˧˥ hou˨
九號波	gau˧˥ hou˨ bo˥
九號風球	gau˧˥ hou˨ fung˥ kau˨˩
九號球	gau˧˥ hou˨ kau˨˩
九號碼頭	gau˧˥ hou˨ maa˩˧ tau˨˩
狗雄	gau˧˥ hung˨˩
狗圈	gau˧˥ hyun˥
狗血淋頭	gau˧˥ hyut˧ lam˨˩ tau˨˩
狗血噴頭	gau˧˥ hyut˧ pan˧ tau˨˩
狗也不屌	gau˧˥ jaa˩˧ bat˥ diu˧˥
九因歌	gau˧˥ jan˥ go˥
久而久之	gau˧˥ ji˨˩ gau˧˥ zi˥
久已	gau˧˥ ji˩˧
苟延殘喘	gau˧˥ jin˨˩ caan˨˩ cyun˧˥
久仰	gau˧˥ joeng˩˧
久仰大名	gau˧˥ joeng˩˧ daai˨ ming˨˩
狗肉煲	gau˧˥ juk˨ bou˥
狗肉湯	gau˧˥ juk˨ tong˥
九如堂	gau˧˥ jyu˨˩ tong˨˩
久遠	gau˧˥ jyun˩˧
九月	gau˧˥ jyut˨
九曲十三彎	gau˧˥ kuk˥ sap˨ saam˥ waan˥
九曲水	gau˧˥ kuk˥ seoi˧˥
久曠	gau˧˥ kwong˧
狗拳	gau˧˥ kyun˨˩
狗笠	gau˧˥ lap˥
九流	gau˧˥ lau˨˩
九流十家	gau˧˥ lau˨˩ sap˨ gaa˥
九里咁遠	gau˧˥ lei˩˧ gam˧ jyun˩˧
九零後	gau˧˥ ling˨˩ hau˨
狗糧	gau˧˥ loeng˨˩
狗窿	gau˧˥ lung˥
九龍	gau˧˥ lung˨˩
九龍城	gau˧˥ lung˨˩ sing˨˩
