㓟皮	pʰɐi̯˥pʰei̯˨˩
低音管	tɐi̯˥jɐm˥kuːn˧˥
低領口	tɐi̯˥lɛːŋ˩˧hɐu̯˧˥
低頭	tɐi̯˥tʰɐu̯˨˩
低頭族	tɐi̯˥tʰɐu̯˨˩tsʊk̚˨
低頭認罪	tɐi̯˥tʰɐu̯˨˩jeŋ˨tsɵy̯˨
低首下心	tɐi̯˥sɐu̯˧˥haː˨sɐm˥
低體溫症	tɐi̯˥tʰɐi̯˧˥wɐn˥tseŋ˧
低齲齒性	tɐi̯˥kɵy̯˧˥tsʰiː˧˥seŋ˧
住响	tsyː˨hœːŋ˧˥
住唔落	tsyː˨m̩˨˩lɔːk̚˨
住址	tsyː˨tsiː˧˥
住宅	tsyː˨tsaːk̚˨
住宅泡沫	tsyː˨tsaːk̚˧˥pʰou̯˩˧muːt̚˨
住客	tsyː˨haːk̚˧
住家	tsyː˨kaː˥
住家婆	tsyː˨kaː˥pʰɔː˧˥
住家工	tsyː˨kaː˥kʊŋ˥
住家菜	tsyː˨kaː˥tsʰɔːi̯˧
住家飯	tsyː˨kaː˥faːn˨
住宿	tsyː˨sʊk̚˥
住屋	tsyː˨ʊk̚˥
住年妹	tsyː˨niːn˨˩muːi̯˥
住戶	tsyː˨wuː˨
住房	tsyː˨fɔːŋ˨˩
住所	tsyː˨sɔː˧˥
住持	tsyː˨tsʰiː˨˩
住邊㗎	tsyː˨piːn˥kaː˧˥
住院	tsyː˨jyːn˧˥
住院部	tsyː˨jyːn˧˥pʰou̯̯˨
佐敦	tsɔː˧˥tɵn˥
佐敦地鐵	tsɔː˧˥tɵn˥tei̯˨tʰit̚˧
佐敦谷	tsɔː˧˥tɵn˥kʊk̚˥
佐治亞	tsɔː˧˥tsiː˨aː˧
佐獅龍	tsɔː˧˥siː˥lʊŋ˨˩
佐證	tsɔː˧tseŋ˧
佐貳	tsɔː˧jiː˨
佔上風	tsiːm˧sœːŋ˨fʊŋ˥
佔下風	tsiːm˧haː˨fʊŋ˥
佔便宜	tsiːm˧pʰiːn˨˩jiː˧˥
佔先	tsiːm˧siːn˥
佔咁多位	tsiːm˧kɐm˧tɔː˥wɐi̯˧˥
佔地	tsiːm˧tei̯˨
佔多點	tsiːm˧tɔː˥tiːm˧˥
佔婆	tsiːm˧pʰɔː˨˩
佔據	tsiːm˧kɵy̯˧
佔據地	tsiːm˧kɵy̯˧tei̯˨
佔族	tsiːm˧tsʊk̚˨
佔晒	tsiːm˧saːi̯˧
佔有	tsiːm˧jɐu̯˩˧
佔有權	tsiːm˧jɐu̯˩˧kʰyːn˨˩
佔爲	tsiːm˧wɐi̯˨˩
佔爲己有	tsiːm˧wɐi̯˨˩kʰei̯̯˧˥jɐu̯˩˧
佔用	tsiːm˧jʊŋ˨
佔線	tsiːm˧siːn˧
佔美尼斯	tsiːm˧mei̯˩˧nei̯˨˩siː˥
佔領	tsiːm˧leŋ˩˧
佔領軍	tsiːm˧leŋ˩˧kʷɐn˥
何不	hɔː˨˩pɐt̚˥
何人	hɔː˨˩jɐn˨˩
何仔	hɔː˨˩tsɐi̯˧˥
何仙姑廟	hɔː˨˩siːn˥kuː˥miːu̯˧˥
何以	hɔː˨˩jiː˩˧
何以自處	hɔː˨˩jiː˩˧tsiː˨tsʰyː˩˧
何以見得	hɔː˨˩jiː˩˧kiːn˧tɐk̚˥
何來	hɔː˨˩lɔːi̯˨˩
何其	hɔː˨˩kʰei̯˨˩
何去何從	hɔː˨˩hɵy̯˧hɔː˨˩tsʰʊŋ˨˩
何啻	hɔː˨˩tsʰiː˧
何嘗	hɔː˨˩sœːŋ˨˩
何嘗唔係	hɔː˨˩sœːŋ˨˩m̩˨˩hɐi̯˨
何奇不有	hɔː˨˩kʰei̯˨˩pɐt̚˥jɐu̯˩˧
何妨	hɔː˨˩fɔːŋ˨˩
何媽	hɔː˨˩maː˥
何年何月	hɔː˨˩niːn˨˩hɔː˨˩jyːt̚˨
何德何能	hɔː˨˩tɐk̚˥hɔː˨˩nɐŋ˨˩
何必	hɔː˨˩piːt̚˥
何必如此	hɔː˨˩piːt̚˥jyː˨˩tsʰiː˧˥
何文田	hɔː˨˩mɐn˨˩tʰiːn˨˩
何方神聖	hɔː˨˩fɔːŋ˥sɐn˨˩seŋ˧
何時	hɔː˨˩siː˨˩
何樂而不爲	hɔː˨˩lɔːk̚˨jiː˨˩pɐt̚˥wɐi̯˨˩
何止	hɔː˨˩tsiː˧˥
何氏家祠	hɔː˨˩siː˨kaː˥tsʰiː˨˩
何況	hɔː˨˩fɔːŋ˧
何濟公	hɔː˨˩tsɐi̯˧kʊŋ˥
何濟於事	hɔː˨˩tsɐi̯˧jyː˥siː˨
何爲	hɔː˨˩wɐi̯˨˩
何等	hɔː˨˩tɐŋ˧˥
何至於此	hɔː˨˩tsiː˧jyː˥tsʰiː˧˥
何苦	hɔː˨˩fuː˧˥
何處	hɔː˨˩tsʰyː˧
何西阿書	hɔː˨˩sɐi̯˥aː˧syː˥
何解	hɔː˨˩kaːi̯˧˥
何謂	hɔː˨˩wɐi̯˨
何足掛齒	hɔː˨˩tsʊk̚˥kʷaː˧tsʰiː˧˥
何須	hɔː˨˩sɵy̯˥
佗人	tʰɔː˨˩jɐn˨˩
佗仔	tʰɔː˨˩tsɐi̯˧˥
佗住	tʰɔː˨˩tsyː˨
佗住個細	tʰɔː˨˩tsyː˨kɔː˧sɐi̯˧
佗佗擰	tʰɔː˨˩tʰɔː˧˥neŋ˨
佗佻	tʰaː˥tʰiːu̯˨˩
佗地	tʰɔː˨˩tei̯˧˥
佗地費	tʰɔː˨˩tei̯˧˥fɐi̯˧
佗手㨢腳	tʰɔː˨˩sɐu̯˧˥pʰei̯˥kœːk̚˧
佗手掕腳	tʰɔː˨˩sɐu̯˧˥lɐŋ˧kœːk̚˧
佗手褦腳	tʰɔː˨˩sɐu̯˧˥nɐŋ˧kœːk̚˧
佗槍	tʰɔː˨˩tsʰœːŋ˥
佗炮	tʰɔː˨˩pʰaːu̯˧
佗累	tʰɔː˨˩lɵy̯˨
佗衰	tʰɔː˨˩sɵy̯˥
佗衰人	tʰɔː˨˩sɵy̯˥jɐn˨˩
佗衰家	tʰɔː˨˩sɵy̯˥kaː˥
佗錶	tʰɔː˨˩piːu̯˥
佗鐵	tʰɔː˨˩tʰit̚˧
佘族	sɛː˨˩tsʊk̚˨
佚名	tiːt̚˨meŋ˨˩
佛偈	fɐt̚˨kɐi̯˧˥
佛像	fɐt̚˨tsœːŋ˨
佛光普照	fɐt̚˨kʷɔːŋ˥pʰou̯˧˥tsiːu̯˧
佛典	fɐt̚˥tiːn˧˥
佛口蛇心	fɐt̚˨hɐu̯˧˥sɛː˨˩sɐm˥
佛坪	fɐt̚˨pʰeŋ˨˩
佛堂	fɐt̚˨tʰɔːŋ˨˩
佛境	fɐt̚˨keŋ˧˥
佛壇	fɐt̚˨tʰaːn˨˩
佛學	fɐt̚˨hɔːk̚˨
佛學界	fɐt̚˥hɔːk̚˨kaːi̯˧
佛家弟子	fɐt̚˥kaː˥tɐi̯˨tsiː˧˥
佛寶	fɐt̚˥pʰou̯̯˧˥
佛寺	fɐt̚˨tsiː˧˥
佛山	fɐt̚˨saːn˥
佛山了	fɐt̚˨saːn˥liːu̯˩˧
佛山人	fɐt̚˨saːn˥jɐn˨˩
佛廟	fɐt̚˨miːu̯˨
佛得角	fɐt̚˨tɐk̚˥kɔːk̚˧
佛性	fɐt̚˥seŋ˧
佛手柑	fɐt̚˨sɐu̯˧˥kɐm˥
佛手瓜	fɐt̚˨sɐu̯˧˥kʷaː˥
佛教	fɐt̚˨kaːu̯˧
佛教正覺	fɐt̚˥kaːu̯˧tseŋ˧kɔːk̚˧
佛教語	fɐt̚˨kaːu̯˧jyː˩˧
佛曆	fɐt̚˨lik̚˨
佛書	fɐt̚˨syː˥
佛朗機銃	fɐt̚˨lɔːŋ˩˧kʰei̯̯˥tsʰʊŋ˧
佛沙	fɐt̚˨saː˥
佛法	fɐt̚˨faːt̚˧
佛法僧目	fɐt̚˨faːt̚˧tsɐŋ˥mʊk̚˨
佛洛斯特	fɐt̚˨lɔːk̚˨siː˥tɐk̚˨
佛爺	fɐt̚˨jɛː˨˩
佛祖	fɐt̚˨tsou̯˧˥
佛系	fɐt̚˨hɐi̯˨
佛經	fɐt̚˨keŋ˥
佛羅倫斯	fɐt̚˨lɔː˨˩lɵn˨˩siː˥
佛舍利	fɐt̚˨sɛː˧lei̯˨
佛蒙特	fɐt̚˨mʊŋ˨˩tɐk̚˨
佛蘭德	fɐt̚˨laːn˨˩tɐk̚˥
佛號	fɐt̚˨hou̯˨
佛要金裝	fɐt̚˨jiːu̯˧kɐm˥tsɔːŋ˥
佛話	fɐt̚˨waː˨
佛誕	fɐt̚˨taːn˧
佛語	fɐt̚˨jyː˩˧
佛跳牆	fɐt̚˨tʰiːu̯˧tsʰœːŋ˨˩
佛都有火	fɐt̚˨tʰou̯̯˥jɐu̯˩˧fɔː˧˥
佛門	fɐt̚˨muːn˨˩
佛門弟子	fɐt̚˥muːn˨˩tɐi̯˨tsiː˧˥
佛陀	fɐt̚˨tʰɔː˨˩
佛骨	fɐt̚˥kʷɐt̚˥
佛骨塔	fɐt̚˨kʷɐt̚˥tʰaːp̚˧
佛龕	fɐt̚˨hɐm˥
作主	tsɔːk̚˧tsyː˧˥
作亂	tsɔːk̚˧lyːn˨
作伴	tsɔːk̚˧pʰuːn˧˥
作供	tsɔːk̚˧kʊŋ˥
作俑	tsɔːk̚˧jʊŋ˧˥
作個故仔	tsɔːk̚˧kɔː˧kuː˧tsɐi̯˧˥
作價	tsɔːk̚˧kaː˧
作出	tsɔːk̚˧tsʰɵt̚˥
作動	tsɔːk̚˧tʊŋ˨
作勢	tsɔːk̚˧sɐi̯˧
作反	tsɔːk̚˧faːn˧˥
作古	tsɔːk̚˧kuː˧˥
作品	tsɔːk̚˧pɐn˧˥
作嘔	tsɔːk̚˧ɐu̯˧˥
作嘔作悶	tsɔːk̚˧ɐu̯˧˥tsɔːk̚˧muːn˨
作壁上觀	tsɔːk̚˧pʰik̚̚˥sœːŋ˨kuːn˥
作夢	tsɔːk̚˧mʊŋ˨
作大	tsɔːk̚˧taːi̯˨
作大嚟講	tsɔːk̚˧taːi̯˨lɐi̯˨˩kɔːŋ˧˥
作奸犯科	tsɔːk̚˧kaːn˥faːn˨fɔː˥
作姦犯科	tsɔːk̚˧kaːn˥faːn˨fɔː˥
作威作福	tsɔːk̚˧wɐi̯˥tsɔːk̚˧fʊk̚˥
作客	tsɔːk̚˧haːk̚˧
作家	tsɔːk̚˧kaː˥
作實	tsɔːk̚˧sɐt̚˨
作對	tsɔːk̚˧tɵy̯˧
作廢	tsɔːk̚˧fɐi̯˧
作弄	tsɔːk̚˧lʊŋ˨
作弊	tsɔːk̚˧pɐi̯˨
作怪	tsɔːk̚˧kʷaːi̯˧
作息	tsɔːk̚˧sik̚˥
作惡	tsɔːk̚˧ɔːk̚˧
作惡多端	tsɔːk̚˧ɔːk̚˧tɔː˥tyːn˥
作戰	tsɔːk̚˧tsiːn˧
作戰方案	tsɔːk̚˧tsiːn˧fɔːŋ˥ɔːn˧
作手腳	tsɔːk̚˧sɐu̯˧˥kœːk̚˧
作數	tsɔːk̚˧sou̯˧
作文	tsɔːk̚˧mɐn˧˥
作文	tsɔːk̚˧mɐn˨˩
作文法	tsɔːk̚˧mɐn˧˥faːt̚˧
作文集	tsɔːk̚˧mɐn˧˥tsaːp̚˨
作曲	tsɔːk̚˧kʰʊk̚˥
作曲家	tsɔːk̚˧kʰʊk̚˥kaː˥
作案	tsɔːk̚˧ɔːn˧
作梗	tsɔːk̚˧kɐŋ˧˥
作業	tsɔːk̚˧jiːp̚˨
作業環境	tsɔːk̚˧jiːp̚˨waːn˨˩keŋ˧˥
作業系統	tsɔːk̚˧jiːp̚˨hɐi̯˨tʰʊŋ˧˥
作樂	tsɔːk̚˧lɔːk̚˨
作歌	tsɔːk̚˧kɔː˥
作死	tsɔːk̚˧sei̯˧˥
作殊死戰	tsɔːk̚˧syː˨˩sei̯˧˥tsiːn˧
作法	tsɔːk̚˧faːt̚˧
作法自斃	tsɔːk̚˧faːt̚˧tsiː˨pɐi̯˨
作渴	tsɔːk̚˧hɔːt̚˧
作準	tsɔːk̚˧tsɵn˧˥
作爲	tsɔːk̚˧wɐi̯˨˩
作牙	tsɔːk̚˧ŋaː˨˩
作物	tsɔːk̚˧mɐt̚˨
作狀	tsɔːk̚˧tsɔːŋ˨
作用	tsɔːk̚˧jʊŋ˨
作用理論	tsɔːk̚˧jʊŋ˨lei̯˩˧lɵn˨
作畫	tsɔːk̚˧waː˧˥
作病	tsɔːk̚˧pɛːŋ˨
作祟	tsɔːk̚˧sɵy̯˨
作福	tsɔːk̚˧fʊk̚˥
作禡	tsɔːk̚˧ŋaː˨˩
作禡	tsɔːk̚˨ŋaː˨˩
作筆記	tsɔːk̚˧pɐt̚˥kʰei̯̯˧
作答	tsɔːk̚˧taːp̚˧
作繭	tsɔːk̚˧kaːn˧˥
作繭自縛	tsɔːk̚˧kaːn˧˥tsiː˨pɔːŋ˧˥
作置	tsɔːk̚˧tsiː˧
作罷	tsɔːk̚˧paː˨
作者	tsɔːk̚˧tsɛː˧˥
作者不詳	tsɔːk̚˧tsɛː˧˥pɐt̚˥tsʰœːŋ˨˩
作者未詳	tsɔːk̚˧tsɛː˧˥mei̯˨tsʰœːŋ˨˩
作者權	tsɔːk̚˧tsɛː˧˥kʰyːn˨˩
作育英纔	tsɔːk̚˧jʊk̚˨jeŋ˥tsʰɔːi̯˨˩
作記號	tsɔːk̚˧kʰei̯̯˧hou̯˨
作詞	tsɔːk̚˧tsʰiː˨˩
作誓	tsɔːk̚˧sɐi̯˨
作證	tsɔːk̚˧tseŋ˧
作證能力	tsɔːk̚˧tseŋ˧nɐŋ˨˩lik̚˨
作賊心虛	tsɔːk̚˧tsʰaːk̚˨sɐm˥hɵy̯˥
作賤	tsɔːk̚˧tsiːn˨
作賤自己	tsɔːk̚˧tsiːn˨tsiː˨kʰei̯̯˧˥
作踐	tsɔːk̚˧tsiːn˨
作雨	tsɔːk̚˧jyː˩˧
作風	tsɔːk̚˧fʊŋ˥
作風修養	tsɔːk̚˧fʊŋ˥sɐu̯˥jœːŋ˩˧
作風正派	tsɔːk̚˧fʊŋ˥tseŋ˧pʰaːi̯˧
佝僂病	kɐu̯˥lɐu̯˨˩pɛːŋ˨
佞人	neŋ˨jɐn˨˩
佟佳江	tʰʊŋ˨˩kaːi̯˥kɔːŋ˥
你一陣	nei̯˩˧jɐt̚˥tsɐn˨
你上咗	nei̯˩˧sœːŋ˩˧tsɔː˧˥
你中意	nei̯˩˧tsʊŋ˥jiː˧
你中意咯	nei̯˩˧tsʊŋ˥jiː˧lɔːk̚˧
你中意啦	nei̯˩˧tsʊŋ˥jiː˧laː˥
你乜誰啊	nei̯˩˧mɐt̚˥sɵy̯˧˥aː˧
你今日做	nei̯˩˧kɐm˥jɐt̚˨tsou̯˨
你今朝	nei̯˩˧kɐm˥tsiːu̯˥
你以前都	nei̯˩˧jiː˩˧tsʰiːn˨˩tʰou̯̯˥
你以爲	nei̯˩˧jiː˩˧wɐi̯˨˩
你以爲我	nei̯˩˧jiː˩˧wɐi̯˨˩ŋɔː˩˧
你仲唔走	nei̯˩˧tsʊŋ˨m̩˨˩tsɐu̯˧˥
你仲想呃	nei̯˩˧tsʊŋ˨sœːŋ˧˥aːk̚˥
你仲激佢	nei̯˩˧tsʊŋ˨kʰik̚̚˥kʰɵy̯˩˧
你仲記	nei̯˩˧tsʊŋ˨kʰei̯̯˧
你仲記得	nei̯˩˧tsʊŋ˨kʰei̯̯˧tɐk̚˥
你仲賴貓	nei̯˩˧tsʊŋ˨laːi̯˧maːu̯˥
你估下	nei̯˩˧kuː˧˥haː˩˧
你位	nei̯˩˧wɐi̯˨
你住邊度	nei̯˩˧tsyː˨piːn˥tʰou̯̯˨
你係乜水	nei̯˩˧hɐi̯˨mɐt̚˥sɵy̯˧˥
你係得嘅	nei̯˩˧hɐi̯˨tɐk̚˥kɛː˧
你係老細	nei̯˩˧hɐi̯˨lou̯˩˧sɐi̯˧
你係話	nei̯˩˧hɐi̯˨waː˨
你係邊位	nei̯˩˧hɐi̯˨piːn˥wɐi̯˧˥
你個名	nei̯˩˧kɔː˧mɛːŋ˧˥
你個死人頭	nei̯˩˧kɔː˧sei̯˧˥jɐn˨˩tʰɐu̯˨˩
你個肺	nei̯˩˧kɔː˧fɐi̯˧
你個邊	nei̯˩˧kɔː˧piːn˥
你個頭像	nei̯˩˧kɔː˧tʰɐu̯˨˩tsœːŋ˨
你個頭啊	nei̯˩˧kɔː˧tʰɐu̯˨˩aː˧
你們	nei̯˩˧muːn˨˩
你做乜啊	nei̯˩˧tsou̯˨mɐt̚˥aː˧˥
你做乜遮	nei̯˩˧tsou̯˨mɐt̚˥tsɛː˥
你做初一	nei̯˩˧tsou̯˨tsʰɔː˥jɐt̚˥
你做初一我做十五	nei̯˩˧tsou̯˨tsʰɔː˥jɐt̚˥ŋɔː˩˧tsou̯˨sɐp̚˨ŋ̍˩˧
你做咗	nei̯˩˧tsou̯˨tsɔː˧˥
你做咩啊	nei̯˩˧tsou̯˨mɛː˥aː˧
你做完未	nei̯˩˧tsou̯˨jyːn˨˩mei̯˨
你做緊	nei̯˩˧tsou̯˨kɐn˧˥
你做緊乜	nei̯˩˧tsou̯˨kɐn˧˥mɐt̚˥
你傻㗎	nei̯˩˧sɔː˨˩kaː˧˥
你傻咗呀	nei̯˩˧sɔː˨˩tsɔː˧˥aː˨˩
你儂我儂	nei̯˩˧nʊŋ˨˩ŋɔː˩˧nʊŋ˨˩
你先係	nei̯˩˧siːn˥hɐi̯˨
你入來啦	nei̯˩˧jɐp̚˨lɔːi̯˨˩la˥
你兩公婆	nei̯˩˧lœːŋ˩˧kʊŋ˥pʰɔː˧˥
你冇乜啩	nei̯˩˧mou̯˩˧mɐt̚˥kʷaː˧
你冇事嘛	nei̯˩˧mou̯˩˧siː˨maː˧
你冇咩嘛	nei̯˩˧mou̯˩˧mɛː˥maː˧
你冇路走	nei̯˩˧mou̯˩˧lou̯˨tsɐu̯˧˥
你冇遮	nei̯˩˧mou̯˩˧tsɛː˥
你冇點嘛	nei̯˩˧mou̯˩˧tiːm˧˥maː˧
你出去先	nei̯˩˧tsʰɵt̚˥hɵy̯˧siːn˥
你出咗	nei̯˩˧tsʰɵt̚˥tsɔː˧˥
你出發	nei̯˩˧tsʰɵt̚˥faːt̚˧
你出門口	nei̯˩˧tsʰɵt̚˥muːn˨˩hɐu̯˧˥
你到未	nei̯˩˧tʰou̯̯˧mei̯˨
你到深圳	nei̯˩˧tʰou̯̯˧sɐm˥tsɐn˧
你到邊	nei̯˩˧tʰou̯̯˧piːn˥
你前度	nei̯˩˧tsʰiːn˨˩tʰou̯̯˨
你副	nei̯˩˧fuː˧
你加油啦	nei̯˩˧kaː˥jɐu̯˧˥laː˥
你即刻走	nei̯˩˧tsik̚˥haːk̚˥tsɐu̯˧˥
你原先	nei̯˩˧jyːn˨˩siːn˥
你去咗	nei̯˩˧hɵy̯˧tsɔː˧˥
你去咗邊	nei̯˩˧hɵy̯˧tsɔː˧˥piːn˥
你去死啦	nei̯˩˧hɵy̯˧sei̯˧˥laː˥
你去邊	nei̯˩˧hɵy̯˧piːn˥
你去香港	nei̯˩˧hɵy̯˧hœːŋ˥kɔːŋ˧˥
你又係	nei̯˩˧jɐu̯˨hɐi̯˨
你又信	nei̯˩˧jɐu̯˨sɵn˧
你又睇	nei̯˩˧jɐu̯˨tʰɐi̯˧˥
你又話去	nei̯˩˧jɐu̯˨waː˨hɵy̯˧
你又識	nei̯˩˧jɐu̯˨sik̚˥
你反正	nei̯˩˧faːn˧˥tseŋ˧
你叫咩	nei̯˩˧kiːu̯˧mɛː˥
你叫咩名	nei̯˩˧kiːu̯˧mɛː˥mɛːŋ˧˥
你叫啦	nei̯˩˧kiːu̯˧la˥
你同你	nei̯˩˧tʰʊŋ˨˩nei̯˩˧
你同我定	nei̯˩˧tʰʊŋ˨˩ŋɔː˩˧teŋ˨
你同我鬥	nei̯˩˧tʰʊŋ˨˩ŋɔː˩˧tɐu̯˧
你吹乜	nei̯˩˧tsʰɵy̯˥mɐt̚˥
你吹呀	nei̯˩˧tsʰɵy̯˥aː˨˩
你吹水	nei̯˩˧tsʰɵy̯˥sɵy̯˧˥
你呢	nei̯˩˧nɛː˥
你咁冇膽	nei̯˩˧kɐm˧mou̯˩˧taːm˧˥
你咁叻	nei̯˩˧kɐm˧lɛːk̚˥
你咁嚤㗎	nei̯˩˧kɐm˧mɔː˥kaː˧˥
你咁夜	nei̯˩˧kɐm˧jɛː˨
你咁大	nei̯˩˧kɐm˧taːi̯˨
你咁撚衰	nei̯˩˧kɐm˧lɐn˧˥sɵy̯˥
你咁百厭	nei̯˩˧kɐm˧paːk̚˧jiːm˧
你咁豬	nei̯˩˧kɐm˧tsyː˥
你咩料呀	nei̯˩˧mɛː˥liːu̯˧˥aː˨˩
你咪理	nei̯˩˧mɐi̯˩˧lei̯˩˧
你咪行住	nei̯˩˧mɐi̯˩˧haːŋ˨˩tsyː˨
你哋	nei̯˩˧tei̯˨
你哋啦	nei̯˩˧tei̯˨laː˥
你哋好麼	nei̯˩˧tei̯˨hou̯˧˥mɔː˥
你哋想點	nei̯˩˧tei̯˨sœːŋ˧˥tiːm˧˥
你哋點咯	nei̯˩˧tei̯˨tiːm˧˥lɔːk̚˧
你唔使問	nei̯˩˧m̩˨˩sɐi̯˧˥mɐn˨
你唔係㗎	nei̯˩˧m̩˨˩hɐi̯˨kaː˧
你唔係去	nei̯˩˧m̩˨˩hɐi̯˨hɵy̯˧
你唔信	nei̯˩˧m̩˨˩sɵn˧
你唔好	nei̯˩˧m̩˨˩hou̯˧˥
你唔好理	nei̯˩˧m̩˨˩hou̯˧˥lei̯˩˧
你唔得	nei̯˩˧m̩˨˩tɐk̚˥
你唔早講	nei̯˩˧m̩˨˩tsou̯˧˥kɔːŋ˧˥
你唔會再	nei̯˩˧m̩˨˩wuːi̯˩˧tsɔːi̯˧
你唔瞭解	nei̯˩˧m̩˨˩liːu̯˩˧kaːi̯˧˥
你唔知	nei̯˩˧m̩˨˩tsiː˥
你唔米	nei̯˩˧m̩˨˩mɐi̯˩˧
你唔繫好	nei̯˩˧m̩˨˩hɐi̯˨hou̯˧˥
你唔要	nei̯˩˧m̩˨˩jiːu̯˧
你唔覺咩	nei̯˩˧m̩˨˩kɔːk̚˧mɛː˥
你唔試下	nei̯˩˧m̩˨˩siː˧haː˩˧
你唔返去	nei̯˩˧m̩˨˩faːn˥hɵy̯˧
你啊媽	nei̯˩˧aː˧maː˥
你啞咗呀	nei̯˩˧aː˧tsɔː˧˥aː˨˩
你啲人	nei̯˩˧tiː˥jɐn˨˩
你喫飽點	nei̯˩˧hɛːk̚˧paːu̯˧˥tiːm˧˥
你單車	nei̯˩˧taːn˥tsʰɛː˥
你喺度嗎	nei̯˩˧hɐi̯˧˥tɔːk̚˨ma˧
你喺邊	nei̯˩˧hɐi̯˧˥piːn˥
你喺邊吖	nei̯˩˧hɐi̯˧˥piːn˥ɐ˥
你喺邊啊	nei̯˩˧hɐi̯˧˥piːn˥aː˧
你喺邊啊	nei̯˩˧hɐi̯˧˥piːn˥aː˧˥
你喺邊度	nei̯˩˧hɐi̯˧˥piːn˥tʰou̯̯˨
你嗌乜呀	nei̯˩˧aːi̯˧mɐt̚˥aː˨˩
你嗰個	nei̯˩˧kɔː˧˥kɔː˧
你嗰隻	nei̯˩˧kɔː˧˥tsɛːk̚˧
你嘅乸	nei̯˩˧kɛː˧naː˧˥
你嘅意見	nei̯˩˧kɛː˧jiː˧kiːn˧
你嘅懷抱	nei̯˩˧kɛː˧waːi̯˨˩pʰou̯˩˧
你嘅藥	nei̯˩˧kɛː˧jœːk̚˨
你噉㗎咯	nei̯˩˧kɐm˧˥kaː˧lɔːk̚˧
你噉做	nei̯˩˧kɐm˧˥tsou̯˨
你噉冇膽	nei̯˩˧kɐm˧˥mou̯˩˧taːm˧˥
你噉嘅	nei̯˩˧kɐm˧˥kɛː˧
你噉屎㗎	nei̯˩˧kɐm˧˥siː˧˥kaː˧˥
你噉快走	nei̯˩˧kɐm˧˥faːi̯˧tsɐu̯˧˥
你噉樣	nei̯˩˧kɐm˧˥jœːŋ˧˥
你噉樣做	nei̯˩˧kɐm˧˥jœːŋ˧˥tsou̯˨
你噉衰㗎	nei̯˩˧kɐm˧˥tsʰɵy̯˥kaː˧
你噉話佢	nei̯˩˧kɐm˧˥waː˨kʰɵy̯˩˧
你噉都得	nei̯˩˧kɐm˧˥tʰou̯̯˥tɐk̚˥
你嚟先	nei̯˩˧lɐi̯˨˩siːn˥
你回到了	nei̯˩˧wuːi̯˨˩tʰou̯̯˧liːu̯˩˧
你回到去	nei̯˩˧wuːi̯˨˩tʰou̯̯˧hɵy̯˧
你因住	nei̯˩˧jɐn˥tsyː˨
你在廣州	nei̯˩˧tsɔːi̯˨kʷɔːŋ˧˥tsɐu̯˥
你在惠州	nei̯˩˧tsɔːi̯˨wɐi̯˨tsɐu̯˥
你在沙井	nei̯˩˧tsɔːi̯˨saː˥tsɛːŋ˧˥
你在深圳	nei̯˩˧tsɔːi̯˨sɐm˥tsɐn˧
你在番禺	nei̯˩˧tsɔːi̯˨pʰuːn˥jyː˨˩
你坐入面	nei̯˩˧tsʰɔː˩˧jɐp̚˨miːn˨
你坐啦	nei̯˩˧tsʰɔː˩˧la˥
你坐就坐	nei̯˩˧tsʰɔː˩˧tsɐu̯˨tsʰɔː˩˧
你報唔報	nei̯˩˧pʰou̯̯˧m̩˨˩pʰou̯̯˧
你夠係咯	nei̯˩˧kɐu̯˧hɐi̯˨lɔːk̚˧
你夠錢	nei̯˩˧kɐu̯˧tsʰiːn˧˥
你大佬	nei̯˩˧taːi̯˨lou̯˧˥
你大個	nei̯˩˧taːi̯˨kɔː˧
你太天真	nei̯˩˧tʰaːi̯˧tʰiːn˥tsɐn˥
你好叻咩	nei̯˩˧hou̯˧˥lɛːk̚˥mɛː˥
你好咯喎	nei̯˩˧hou̯˧˥lɔː˧wɔː˧
你好嘢	nei̯˩˧hou̯˧˥jɛː˩˧
你好少	nei̯˩˧hou̯˧˥siːu̯˧˥
你好得意	nei̯˩˧hou̯˧˥tɐk̚˥jiː˧
你好悶	nei̯˩˧hou̯˧˥muːn˨
你好慢啊	nei̯˩˧hou̯˧˥maːn˨aː˧˥
你好有心	nei̯˩˧hou̯˧˥jɐu̯˩˧sɐm˥
你好煩	nei̯˩˧hou̯˧˥faːn˨˩
你好煩啊	nei̯˩˧hou̯˧˥faːn˨˩aː˧
你好耐	nei̯˩˧hou̯˧˥nɔːi̯˨
你好賤格	nei̯˩˧hou̯˧˥tsiːn˨kaːk̚˧
你好靚女	nei̯˩˧hou̯˧˥lɛːŋ˧nɵy̯˧˥
你妒忌	nei̯˩˧tʰou̯̯˧kʰei̯̯˨
你姑姐	nei̯˩˧kuː˥tsɛː˥
你媽閪	nei̯˩˧maː˥hɐi̯˥
你家下	nei̯˩˧kaː˥haː˩˧
你家姐	nei̯˩˧kaː˥tsɛː˥
你家婆	nei̯˩˧kaː˥pʰɔː˧˥
你家衣櫃	nei̯˩˧kaː˥jiː˥kʷɐi̯˨
你就嚟咗	nei̯˩˧tsɐu̯˨lɐi̯˨˩tsɔː˧˥
你就想	nei̯˩˧tsɐu̯˨sœːŋ˧˥
你就知錯	nei̯˩˧tsɐu̯˨tsiː˥tsʰɔː˧
你屎忽	nei̯˩˧siː˧˥fɐt̚˥
